Orthogroup	Arabidopsis_lyrata_Rawat	Erysimum_linariifolium
OG0007951	AL3G18880	El005G242850
OG0007952	AL3G19020	El005G243070
OG0007953	AL3G19110	El005G243160
OG0007954	AL3G19120	El005G243170
OG0007955	AL3G19330	El005G243410
OG0007956	AL3G19460	El005G243540
OG0007958	AL4G37900	El006G289440
OG0007959	AL4G37860, AL4G37870	El006G289510, El006G289490
OG0007960	AL4G37830	El006G289530
OG0007961	AL4G37570	El006G289780
OG0007962	AL4G37440	El006G289940
OG0007963	AL4G36880, AL938U10010	El006G290400, El006G290440
OG0007964	AL4G36120	El006G291310
OG0007965	AL4G32140	El006G294820
OG0007966	AL4G32180	El006G294770
OG0007967	AL4G32320	El006G294630
OG0007968	AL4G32630	El006G294280
OG0007969	AL4G32660	El006G294240
OG0007970	AL4G32870	El006G294020
OG0007971	AL4G33170	El006G293600
OG0007972	AL4G33210	El006G293570
OG0007973	AL4G33430	El006G293450
OG0007974	AL4G33570	El006G293300
OG0007975	AL4G34120, AL4G34180	El006G292710
OG0007976	AL4G34600	El006G292620
OG0007977	AL4G34670	El006G292530
OG0007978	AL4G34820	El006G292400
OG0007979	AL4G35110	El006G292150
OG0007980	AL4G35250, AL4G35340	El006G291990
OG0007981	AL4G35590, AL4G35550	El006G291840
OG0007982	AL4G31900	El006G295190
OG0007983	AL1G27510	El002G099470
OG0007984	AL1G28390	El002G100260
OG0007985	AL1G28910	El002G100720
OG0007986	AL1G30180	El002G101960
OG0007987	nbis-gene-101	El002G102450
OG0007988	AL1G30580	El002G102350
OG0007989	AL1G30790	El002G102510
OG0007990	AL1G30800	El002G102530
OG0007991	AL1G30910	El002G102640
OG0007992	AL1G31060	El002G102800
OG0007993	AL1G31110	El002G102850
OG0007994	AL1G31380	El002G103030
OG0007995	AL1G31850	El002G103550
OG0007996	AL1G31890	El002G103570
OG0007997	AL1G32190	El002G103740
OG0007998	AL1G32230	El002G103770
OG0007999	AL1G32590	El002G104180
OG0008000	AL1G32600	El002G104190
OG0008001	AL1G32680	El002G104270
OG0008002	AL1G33020	El002G104520
OG0008003	AL1G33140	El002G104610
OG0008004	AL1G33860	El002G105200
OG0008005	AL2G36570	El004G229360
OG0008006	AL1G34060	El002G105370
OG0008007	AL1G34440	El002G105770
OG0008008	AL1G34560	El002G105900
OG0008009	AL1G34590	El002G105920
OG0008010	AL2G37290	El004G230140
OG0008011	AL1G34640	El002G105930
OG0008012	AL1G34730	El002G106040
OG0008013	AL1G34820	El002G106130
OG0008014	AL1G35710	El002G107200
OG0008015	AL1G35780	El002G107380
OG0008016	AL1G36030, AL1G36040	El002G107590, El002G107580
OG0008017	AL1G36150	El002G107730
OG0008018	AL1G36610	El002G108300
OG0008019	AL1G37230	El002G108770
OG0008020	AL1G37550	El002G109200
OG0008021	AL1G38250	El002G109690
OG0008022	AL1G39700	El002G111820
OG0008023	AL1G39720	El002G111860
OG0008024	AL1G39790	El002G111940
OG0008025	AL2G26740	El006G319480, El004G230290, El004G218790
OG0008026	AL1G40450	El002G112610
OG0008027	AL1G40700	El002G112910
OG0008028	AL1G40690	El002G112900
OG0008029	AL1G40850	El002G113070
OG0008030	AL7G29070	El003G160580
OG0008031	AL7G29020	El003G160530
OG0008032	AL7G28950	El003G160470
OG0008033	AL7G28730	El003G160230
OG0008034	AL7G28650	El003G160150
OG0008035	AL7G28090	El003G159570
OG0008036	AL7G28020	El003G159500
OG0008037	AL7G27890	El003G159350
OG0008038	AL7G27810	El003G159190
OG0008039	AL7G27790	El003G159210
OG0008040	AL7G24830	El003G156230
OG0008041	AL7G24700	El003G156110
OG0008042	AL4G15860	El006G316080, El006G316060
OG0008043	AL4G15210	El006G316710
OG0008044	AL4G14660	El006G317100, El006G317110
OG0008045	AL4G13270	El006G318570
OG0008046	AL2G34140	El004G226810
OG0008047	AL4G12300	El006G319410
OG0008048	AL4G12290	El006G319430
OG0008049	AL4G12240	El006G319500
OG0008050	AL4G12140	El006G319610
OG0008051	AL4G12080	El006G319660
OG0008052	AL4G11320	El006G320340
OG0008053	AL4G11180	El006G320460
OG0008054	AL4G11050	El006G320550
OG0008055	AL4G10650	El006G321140
OG0008056	AL4G10440	El006G321310
OG0008057	AL4G10390	El006G321400
OG0008058	AL4G10240	El006G321550
OG0008059	AL1G27170	El002G099170
OG0008060	AL1G27090	El002G099090
OG0008061	AL1G27060	El002G099070
OG0008062	AL1G26920	El002G098950
OG0008063	AL1G26810, AL7G45380	El002G098840
OG0008064	AL1G26570	El002G098610
OG0008065	AL1G26320	El002G098360
OG0008066	AL1G25920	El002G097930
OG0008067	AL1G25840	El002G097860
OG0008068	AL1G25500	El002G097390
OG0008069	AL1G24800	El002G096740
OG0008070	AL1G24700	El002G096610
OG0008071	AL1G24690	El002G096600
OG0008072	AL1G24090, AL1G23980	El002G096120
OG0008073	AL1G23850	El002G095970
OG0008074	AL1G23750	El002G095890
OG0008075	AL1G23270	El002G095440
OG0008076	AL1G23030	El002G095230
OG0008077	AL1G23010	El002G095210
OG0008078	AL1G22730	El002G094910
OG0008079	AL1G22610	El002G094770
OG0008080	AL1G22530	El002G094720
OG0008081	AL1G21460	El002G093650
OG0008082	AL1G21180	El002G093370
OG0008083	AL1G20900	El002G093170
OG0008084	AL1G20820	El002G093100
OG0008085	AL1G20350	El002G092590
OG0008086	AL5G35520	El001G025240
OG0008087	AL1G19220	El002G091540
OG0008088	AL1G18970	El002G091270
OG0008089	AL1G18990	El002G091290
OG0008090	AL1G17720	El002G090110
OG0008091	AL1G17360	El002G089690
OG0008092	AL1G17160	El002G089500
OG0008093	AL1G16600	El002G088950
OG0008094	AL1G16790	El002G089170
OG0008095	AL1G16670	El007G345360, El002G089030
OG0008096	AL1G16590	El002G088940
OG0008098	AL1G16510	El002G088860
OG0008099	AL1G16350	El002G088720
OG0008100	AL1G16060	El002G088480
OG0008101	AL1G15790	El002G088200
OG0008102	AL1G15530	El002G087850
OG0008103	AL1G14770	El002G087150
OG0008104	AL6G24340	El001G067930
OG0008105	AL1G14240	El002G086580
OG0008106	AL1G14100	El002G086470
OG0008107	AL1G14070	El002G086430
OG0008108	AL1G13810	El002G086110
OG0008109	AL1G13060	El002G085390
OG0008110	AL1G13090	El002G085410
OG0008111	AL1G13100	El002G085420
OG0008112	AL1G13130	El002G085450
OG0008113	AL1G13380	El002G085630
OG0008114	AL1G12760	El002G085100
OG0008115	AL1G12660	El002G085010
OG0008116	AL1G12580	El002G084920
OG0008117	AL1G12270	El002G084580
OG0008118	AL1G11750	El002G084090
OG0008119	AL5G32960	El002G084140
OG0008120	AL1G11790	El002G084150
OG0008121	AL1G11680	El002G084030
OG0008122	AL1G11370	El002G083750
OG0008123	AL1G10720	El002G083130
OG0008124	AL6G53520	El001G000030
OG0008125	AL1G10090	El002G082470
OG0008126	AL6G25170	El001G067050
OG0008128	AL6G25480	El001G066770
OG0008129	AL6G25490	El001G066760
OG0008130	AL6G25590	El001G066680
OG0008131	AL6G26440	El001G065790
OG0008132	AL6G26400	El001G065840
OG0008133	AL6G26390	El001G065900
OG0008134	AL6G27000	El001G065220
OG0008135	AL6G27400	El001G064560
OG0008136	AL6G27430	El001G064530
OG0008137	AL6G27480	El001G064470
OG0008138	AL6G27590	El001G064340
OG0008139	AL6G27930	El001G064020
OG0008140	AL6G28520	El001G063510
OG0008141	AL6G28800	El001G063150
OG0008142	AL6G28940	El001G062950
OG0008143	AL6G28960	El001G062930
OG0008144	AL1G51410	El001G062830
OG0008145	AL6G29440	El001G062430
OG0008146	AL6G29690	El001G062250
OG0008147	AL6G29710	El001G062220
OG0008148	AL6G29820	El001G062090
OG0008149	AL6G29980	El001G061890
OG0008150	AL6G30190	El001G061670
OG0008151	AL6G30400	El001G061440
OG0008152	AL6G30430	El001G061420
OG0008153	AL6G30480	El001G061370
OG0008154	AL6G30570	El001G061250
OG0008155	AL6G30830	El001G061000
OG0008156	AL6G38240	El001G051530
OG0008157	AL6G38290	El001G051470
OG0008158	AL6G38300	El001G051450
OG0008159	AL6G38390	El001G051350
OG0008160	AL6G38720	El001G050810
OG0008161	AL6G39110	El001G050280
OG0008162	AL6G39200	El001G049990
OG0008163	AL6G39420	El001G049650
OG0008164	AL6G39640	El001G049360
OG0008165	AL6G41130	El001G047510, El004G199240
OG0008166	AL167U10010, AL8G22630	El007G346230
OG0008167	AL8G22840	El007G346040
OG0008168	AL8G22000	El007G347030
OG0008169	AL8G21660	El007G347850, El007G347860, El007G348830
OG0008170	AL6G24380	El001G067900
OG0008171	AL8G21510	El007G348330
OG0008172	AL6G24260	El001G068010
OG0008173	AL6G24180	El001G068090
OG0008174	AL6G24130	El001G068150
OG0008175	AL6G17180	El001G074800
OG0008176	AL6G16830	El001G075150
OG0008177	AL6G16620	El001G075380
OG0008178	AL6G16560	El001G075430
OG0008179	AL6G16340	El001G075850
OG0008180	AL6G15020	El001G077120
OG0008181	AL6G14200	El001G077970
OG0008182	AL6G14180	El001G077990
OG0008183	AL6G30840	El001G060990
OG0008184	AL6G37100	El001G052950
OG0008185	AL6G36710	El001G054070
OG0008186	AL6G36300	El001G054770
OG0008187	AL6G36240	El001G055040
OG0008188	AL6G36210	El001G055070, El001G055100
OG0008189	AL6G35850	El001G055530
OG0008190	AL6G35560	El001G055750
OG0008191	AL6G35030	El001G056270
OG0008192	AL6G34980	El001G056340
OG0008193	AL6G34740	El001G056580
OG0008194	AL2G26910	El004G218580
OG0008195	AL6G34390	El001G056920
OG0008196	AL6G34290	El001G057030
OG0008197	AL6G34270	El001G057060
OG0008198	AL8G37570	El007G329950
OG0008199	AL8G38050	El007G329450
OG0008200	AL653U10020	El007G329100
OG0008201	AL8G38620	El007G328870
OG0008202	AL8G39090	El007G328420
OG0008203	AL8G39110	El007G328400
OG0008204	AL8G39220	El007G328300
OG0008205	AL8G39410	El007G328140
OG0008206	AL8G39450	El007G328100
OG0008207	AL8G39710	El005G278300, El007G327870
OG0008208	AL8G39960	El007G327680
OG0008209	AL8G40150	El007G327500
OG0008210	AL8G34750	El007G332970
OG0008211	AL8G34730	El007G332980
OG0008212	AL7G45820	El006G304220, El007G333030
OG0008213	AL5G31580	El001G021420
OG0008214	AL5G31540	El001G021380
OG0008215	AL5G31510	El001G021360
OG0008216	AL5G31110	El001G021020
OG0008217	AL5G30700	El001G020640
OG0008218	AL5G30160	El001G020100
OG0008219	AL5G29360	El001G019450
OG0008220	AL5G29350	El001G019440
OG0008221	AL5G28970	El001G019130
OG0008222	AL5G27810	El001G018030
OG0008223	AL5G25730	El001G016050
OG0008224	AL5G22830	El001G013040
OG0008224	AL5G22760	El001G012880
OG0008226	AL2G26430	El004G218150
OG0008227	AL2G26410	El004G218130
OG0008228	AL2G26390	El004G218110
OG0008229	AL2G26360	El004G218090, El004G218080
OG0008230	AL2G26260	El004G217980
OG0008231	AL2G26230	El004G217810
OG0008232	AL4G30870	El006G296310
OG0008233	AL2G25980	El004G217560
OG0008234	AL2G26600	El004G218330
OG0008235	AL2G25870	El004G217460
OG0008236	AL2G27940	El004G219880
OG0008237	AL2G27950	El004G219910
OG0008238	AL2G28060	El004G220060
OG0008239	AL2G29130	El004G221120
OG0008240	AL1G38400	El002G109830
OG0008241	AL3G35870	El007G350220, El007G350270, El005G260110
OG0008242	AL2G29440	El004G221690
OG0008243	AL2G29460	El004G221720
OG0008244	AL2G29530	El004G221770
OG0008245	AL2G29660	El004G221880
OG0008246	AL2G29800	El004G222010
OG0008247	AL2G30580	El004G222850
OG0008248	AL2G30900	El004G223180
OG0008249	AL2G31400	El004G223610
OG0008250	AL2G31850	El004G224110
OG0008251	AL2G38450	El004G231470
OG0008252	AL2G38430	El004G231450
OG0008253	AL2G38410	El004G231410
OG0008254	AL2G38080	El060G376090, El004G231010
OG0008255	AL2G38040	El004G230950
OG0008256	AL2G37670	El004G230540
OG0008257	AL2G37370	El004G230210
OG0008258	AL2G37270	El004G230100
OG0008259	AL2G37020	El004G229860
OG0008260	AL2G36630	El004G229410
OG0008261	AL2G36080	El004G228840
OG0008262	AL2G36000	El004G228770
OG0008263	AL2G35800	El004G228460
OG0008264	AL2G35790	El004G228450
OG0008265	AL2G35660	El004G228300
OG0008266	AL2G35600	El004G228240
OG0008267	AL2G35500	El004G228110
OG0008268	AL2G35110	El004G227740
OG0008269	AL2G34830	El004G227480
OG0008270	AL2G34620	El004G227280
OG0008271	AL2G34220	El004G226910
OG0008272	AL2G34010	El004G226660
OG0008273	AL2G33770	El004G226350
OG0008274	AL2G33660	El004G226240
OG0008275	AL2G33610	El004G226180
OG0008276	AL2G33470	El004G226050
OG0008277	AL2G33210	El004G225680
OG0008278	AL2G33140	El004G225590
OG0008279	AL2G32870	El004G225230
OG0008280	AL2G32770	El004G225130
OG0008281	AL2G32200	El004G224580
OG0008282	AL2G31920	El004G224200
OG0008283	AL2G39510	El004G232500
OG0008284	AL2G40090	El004G232990
OG0008285	AL2G40330, AL6G12410	El004G233230
OG0008286	AL2G40430	El004G233370
OG0008287	AL2G40650	El004G233610
OG0008288	AL2G40800	El004G233740
OG0008289	AL2G40940	El004G233890
OG0008290	AL2G41150	El004G234150
OG0008291	AL7G51770	El004G211670
OG0008292	AL2G41400	El004G234380
OG0008293	AL2G41690	El004G234680
OG0008294	AL3G24370	El005G248500
OG0008295	AL3G24760	El005G248950
OG0008296	AL3G24810	El005G248990
OG0008297	AL3G25090	El005G249220
OG0008298	AL3G25340	El005G271970
OG0008299	AL3G26060	El005G249970
OG0008300	AL3G45760	El001G052440
OG0008301	AL3G26090	El005G250000
OG0008302	AL3G26120	El005G250030, El004G203340, El001G047600
OG0008304	AL3G26340	El005G250270
OG0008305	AL3G26390	El005G250310
OG0008306	AL3G26440	El007G352450, El005G250360, El006G307930, El006G307800
OG0008307	AL3G26520	El005G250490
OG0008308	AL3G27210	El005G251250
OG0008309	AL3G27440	El005G251490
OG0008310	AL3G27660	El005G251730
OG0008311	AL3G27690	El005G251760
OG0008312	AL1G61080	El002G137670
OG0008313	AL3G28530	El005G252560
OG0008314	AL3G28950	El005G252990
OG0008315	AL3G29050	El005G253040
OG0008316	AL3G29660	El005G253490
OG0008317	AL3G30250	El005G254140
OG0008318	AL3G30430	El005G254300
OG0008319	AL3G30960	El005G254710
OG0008320	AL3G31120	El005G254970
OG0008321	AL3G31530	El005G255480
OG0008322	AL3G31980	El005G255970
OG0008323	AL3G32020, AL3G32000	El005G255990
OG0008324	AL3G32110	El005G256060
OG0008325	AL3G32460	El005G256510
OG0008326	AL3G32870	El005G256960
OG0008327	AL3G32900	El005G256990
OG0008328	AL3G33850	El005G257880
OG0008329	AL5G35710	El001G025420
OG0008330	AL3G34440	El005G258440
OG0008331	AL7G40500	El003G173630
OG0008332	AL3G36700	El005G236540
OG0008333	AL3G37540	El005G263650
OG0008334	AL3G37940	El005G264680
OG0008335	AL3G39160	El005G266970
OG0008336	AL3G39610	El001G045250
OG0008337	AL3G40840	El005G266300, El005G268640
OG0008338	AL8G27070	El007G340900
OG0008339	AL3G51470	El005G276560, El005G276590, El005G276460
OG0008340	AL3G47010	El005G272730
OG0008341	AL3G47370	El005G272990
OG0008342	AL3G47650	El005G273230
OG0008343	AL3G52490	El005G273600
OG0008344	AL3G49260	El005G273820
OG0008345	AL3G49670	El005G274160
OG0008346	AL3G49820	El005G274320
OG0008347	AL3G50280	El005G274830
OG0008348	AL3G50330	El005G274880
OG0008349	AL3G50400	El005G274900
OG0008350	AL3G50770	El005G275290
OG0008351	AL3G51980	El005G277030, El007G362660
OG0008352	AL3G51890	El005G276950
OG0008353	AL3G53190	El005G277180
OG0008354	AL5G18050	El001G043630
OG0008355	AL3G48620	El005G278060
OG0008356	AL3G53370	El005G278840
OG0008357	AL1G64060	El002G141070
OG0008358	AL1G63960	El002G140960
OG0008359	AL1G63370	El002G140330
OG0008360	AL8G10240	El007G366900
OG0008361	AL1G63300	El002G140260
OG0008362	AL1G62610	El002G139480
OG0008363	AL1G62570	El002G139460
OG0008364	AL1G62170	El002G139050
OG0008365	AL1G62040	El002G138880
OG0008366	AL1G61830	El002G138230
OG0008367	AL1G61590	El002G138490
OG0008368	AL1G61580	El002G138500
OG0008369	AL1G61500	El002G138660, El002G138580
OG0008370	AL1G61400	El002G138060
OG0008371	AL1G60170	El002G136690
OG0008372	AL1G59980	El002G136560
OG0008373	AL1G59640	El002G136190
OG0008374	AL1G59260	El002G135730
OG0008375	AL1G58270	El002G134820
OG0008376	AL1G57940	El002G134540
OG0008377	AL1G57820	El002G134480
OG0008379	AL1G55870	El002G132890
OG0008380	AL7G38910	El003G171470
OG0008381	AL7G39060	El003G171630
OG0008382	AL4G30920	El006G296200
OG0008383	AL924U10010, AL4G30850	El006G296340
OG0008384	AL4G30780	El006G296370, El005G276040, El005G275930
OG0008385	AL5G32430	El001G022280
OG0008386	AL5G32700	El001G022490
OG0008387	AL5G32860	El001G022640
OG0008388	AL5G33040	El001G022730
OG0008389	AL5G33500	El001G023250
OG0008390	AL5G33660	El001G023420
OG0008391	AL5G34450	El001G024160
OG0008392	AL5G34570	El001G024250
OG0008393	AL5G34770	El001G024430
OG0008394	AL5G34880	El001G024550
OG0008395	AL5G35140	El001G024830
OG0008396	AL5G32210	El001G022020
OG0008397	AL5G35370	El001G025070
OG0008398	AL5G35380	El001G025080
OG0008399	AL5G35800	El001G025510
OG0008400	AL5G35330	El001G025040
OG0008401	AL5G35770	El001G025480
OG0008402	AL5G36060	El001G025830
OG0008403	AL5G36570	El001G026410
OG0008404	AL5G36660	El001G026510
OG0008405	AL5G37320	El001G027320
OG0008406	AL5G37810	El001G027810
OG0008407	AL5G38440	El001G028350
OG0008408	AL5G39180	El001G029060
OG0008409	AL5G39850	El001G029730
OG0008410	AL5G40210	El001G030070
OG0008411	AL5G40390	El001G030250
OG0008412	AL5G40400	El001G030270
OG0008413	AL5G40480	El001G030360
OG0008414	AL5G40530	El001G030410
OG0008415	AL5G40640	El001G030470
OG0008416	AL5G40650	El001G030480
OG0008417	AL4G41490	El006G286100
OG0008418	AL3G42300	El005G269640
OG0008419	AL5G41300	El001G030990
OG0008420	AL5G41420	El001G031080
OG0008421	AL5G41450	El001G031110
OG0008422	AL5G41740	El001G031280
OG0008423	AL5G41780	El001G031330
OG0008424	AL5G41920	El001G031420
OG0008425	AL5G42320	El001G031740
OG0008426	AL5G42410	El001G031890
OG0008427	AL5G42620	El001G032090
OG0008428	AL5G42880	El001G032340
OG0008429	AL5G42960	El001G032410
OG0008430	AL5G44330	El001G033940
OG0008431	AL5G44530	El001G034190
OG0008432	AL5G44560	El001G034230
OG0008433	AL5G44880, AL5G44760, AL5G29600	El008G369950, El001G034360, El001G033760
OG0008434	AL5G44930	El001G034460
OG0008435	AL5G44810	El001G034420
OG0008436	AL5G45680	El001G035190
OG0008437	AL5G45690	El001G035200
OG0008438	AL5G45720	El001G035230
OG0008439	AL5G45930	El001G035420
OG0008440	AL5G46100	El001G035620
OG0008441	AL1G62890	El002G139810
OG0008443	AL7G22700	El003G153690, El006G315310
OG0008445	AL8G12700, AL8G12710	El007G364120
OG0008446	AL6G47220	El001G006260
OG0008447	AL4G35240, AL811U10010	El006G292000
OG0008448	AL8G20000	El004G198840, El001G009950, El001G012240, El001G016320
OG0008449	AL2G37100	El007G357790
OG0008450	AL2G32040	El004G224410
OG0008451	AL1G49970	El002G124250
OG0008451	AL1G50080	El002G124230
OG0008452	AL7G24190	El003G155520
OG0008453	AL7G19950, AL7G19940	El003G150930
OG0008454	AL7G17890	El003G149050
OG0008455	AL7G19540	El003G150560
OG0008456	AL1G16840	El002G089220
OG0008457	nbis-gene-50	El002G090850
OG0008458	AL1G19880	El002G092150
OG0008459	AL1G22050	El002G094140
OG0008460	AL6G42520	El001G010800
OG0008461	AL5G10490	El001G036360
OG0008462	AL2G31800	El004G224060
OG0008463	AL2G30360	El004G222630
OG0008464	AL2G27250	El004G219130
OG0008465	AL2G27210	El004G219100
OG0008466	AL2G25060	El004G216360, El005G237710
OG0008468	AL3G22700	El005G246650
OG0008469	AL6G12460	El001G079770
OG0008470	AL8G16850	El007G359060
OG0008471	AL4G23040	El006G305020
OG0008473	AL8G35840	El007G331760, El007G347880
OG0008474	AL5G13620	El001G038990
OG0008475	AL8G27360	El007G340570, El007G340630
OG0008476	AL8G33910	El007G333710
OG0008477	AL6G33760	El001G057580
OG0008478	AL6G36820	El001G053590
OG0008479	AL8G39310	El007G328240
OG0008480	AL334U10030	El007G324170
OG0008481	AL5G23770, AL5G21850	El001G000290
OG0008482	AL1G39140	El002G111240
OG0008485	nbis-gene-1621	El005G253540, El004G212470
OG0008485	AL9U11470	El002G120660, El006G296210
OG0008485	AL4G17590	El002G120670, El006G296220, El002G120690, El006G296250
OG0008485	AL1G26430	El002G120680, El004G212440
OG0008486	AL8G24730	El007G343770
OG0008486	AL3G46350, AL8G24750, AL8G24770	El007G343720
OG0008487	AL4G31660	El006G295480
OG0008489	AL649U10030, AL7G31220, AL649U10010	El003G163140, El003G163170, El003G183170
OG0008491	AL8G20990, AL8G20980	El007G349500
OG0008492	nbis-gene-963	El006G317760
OG0008504	AL7G24340	El003G155680
OG0008505	AL7G23900	El003G155230
OG0008506	AL7G23660	El003G154980
OG0008507	AL7G23460	El003G154810
OG0008508	AL7G23370	El003G154670
OG0008509	AL7G22350	El003G153280
OG0008510	AL7G22330	El001G013720, El001G027240, El003G153260
OG0008511	AL7G22320	El003G153250
OG0008512	AL7G22300	El003G153220
OG0008513	AL7G22180	El003G153090
OG0008514	AL7G21920	El003G152870
OG0008515	AL7G21830	El003G152750
OG0008516	AL7G21740	El003G152650
OG0008517	AL7G21710	El003G152620
OG0008518	AL6G31390	El001G060300
OG0008519	AL7G21290	El003G152200
OG0008520	AL7G21260	El003G152170
OG0008521	AL7G20660, AL1G32760	El003G151560
OG0008522	AL343U10010	El003G151400
OG0008523	AL7G20260	El003G151180
OG0008524	AL7G20150	El003G151080
OG0008525	AL7G20060	El003G151020
OG0008526	AL7G19700	El003G150680
OG0008527	AL7G19580	El003G150600
OG0008528	AL7G19550	El003G150570
OG0008529	AL7G19110	El003G150100
OG0008530	AL7G18740	El003G149720
OG0008531	AL7G18770	El003G149750
OG0008532	AL7G18760	El003G149740
OG0008533	AL7G18370	El003G149490
OG0008534	AL7G19040	El003G150050
OG0008535	AL7G18230	El003G149360
OG0008536	AL7G18220	El003G149350
OG0008537	AL7G18210	El003G149340
OG0008538	AL7G18150	El003G149280
OG0008540	AL7G17040	El003G148240
OG0008541	AL7G17300	El003G148450
OG0008542	AL7G17460	El003G148620
OG0008543	AL7G16820	El003G148030
OG0008544	AL7G16800	El003G148010
OG0008545	AL7G16700	El003G147910
OG0008546	AL7G16470	El003G147690
OG0008547	AL7G16280	El003G147510
OG0008548	AL1G49750	El002G118410
OG0008549	AL1G45840	El002G118940
OG0008550	AL1G45900, AL5G22520	El002G119020
OG0008551	AL1G46050	El002G124560, El002G119190
OG0008552	AL1G46300	El002G119550
OG0008553	AL1G46590	El002G119790
OG0008554	AL7G37640	El003G170020
OG0008555	AL7G37670	El003G170080
OG0008556	AL7G38090	El003G170700
OG0008557	AL1G23420	El002G095630
OG0008558	AL4G28430	El006G299130
OG0008559	nbis-gene-1946, AL1G65120	El004G210060
OG0008560	AL1G66140	El004G207570, El004G207590
OG0008561	AL7G18640	El003G149650
OG0008562	AL2G18180	El004G204600
OG0008563	nbis-gene-58	El002G092840
OG0008564	AL2G17800	El004G203060
OG0008565	AL2G16680	El004G201490
OG0008566	AL2G16630	El004G201450
OG0008567	AL2G15810	El004G200510
OG0008568	AL2G15920	El004G200600
OG0008569	AL3G39110	El005G266920
OG0008570	AL2G15200	El004G199840
OG0008571	AL2G15050	El004G199710
OG0008572	AL2G14990	El004G199610
OG0008573	AL2G14620	El004G199320
OG0008574	AL2G14600	El004G199280
OG0008575	AL2G14540	El004G199250
OG0008576	AL2G14210	El004G198990
OG0008577	AL1G23000	El002G095180
OG0008578	AL1G27270	El002G099250
OG0008579	AL5G10710	El001G036550
OG0008580	AL5G10920	El001G036770
OG0008581	AL5G11040	El001G036890
OG0008582	AL5G11600	El001G037540
OG0008583	AL5G12400	El001G037940
OG0008584	AL5G13260	El001G038570
OG0008585	AL5G13520	El001G038870
OG0008586	AL5G14120	El001G039420
OG0008587	AL5G14510	El001G039970
OG0008588	AL5G14580	El001G040070
OG0008589	AL5G14790	El001G040340
OG0008590	AL5G15270	El001G040880
OG0008591	AL5G15510	El001G041130
OG0008592	AL5G15870	El001G041450
OG0008593	AL5G15890	El001G041470
OG0008594	AL5G16270	El001G041840
OG0008595	AL5G16440	El001G042060
OG0008596	AL5G16590	El001G042180
OG0008597	AL5G17230	El001G042740
OG0008598	AL5G17240	El001G042750
OG0008599	AL5G18030	El001G043590
OG0008600	AL5G18070	El001G043640
OG0008601	AL5G18480	El001G044140
OG0008602	AL5G18600	El001G044250
OG0008603	AL5G18630	El001G044300
OG0008604	AL5G19420	El001G045440, El001G045400
OG0008604	AL5G19400	El001G045430
OG0008606	AL2G24050	El004G215520
OG0008607	AL5G13610	El001G038980
OG0008608	AL2G22830	El004G214210
OG0008609	AL2G22080	El004G212840
OG0008610	AL2G10080	El004G193830
OG0008611	AL2G10110	El004G193870
OG0008612	AL2G10460	El004G194220
OG0008613	AL2G10490	El004G194290
OG0008614	AL2G10970	El004G194770
OG0008615	AL2G11110	El004G195090
OG0008616	AL2G11270	El004G195280, El004G195410
OG0008617	nbis-gene-376	El004G196270, El004G196300
OG0008618	nbis-gene-375	El004G196280, El004G196290, El001G051770
OG0008619	AL2G12580	El004G196970
OG0008620	AL2G13230	El004G197760
OG0008621	AL7G43500, AL3G24320	El005G248450
OG0008622	AL8G33420	El007G334220
OG0008623	AL4G39210	El006G288150
OG0008624	AL4G38960	El006G288430
OG0008625	AL4G39050	El006G288340
OG0008626	AL3G20480	El005G244490
OG0008627	AL6G13140	El001G079070
OG0008628	AL3G21590	El005G245590
OG0008629	AL3G22150	El005G246070
OG0008630	AL3G22390	El005G246270
OG0008631	AL3G22500	El005G246380
OG0008632	AL3G23030	El005G247040
OG0008633	AL3G23090	El005G247110
OG0008634	AL3G23440, AL3G23470	El005G247640
OG0008635	AL3G23560	El005G247740
OG0008636	AL3G23570	El005G247750
OG0008637	AL3G23830	El005G248000
OG0008638	AL3G24010	El005G248170
OG0008639	AL8G23870	El007G344780
OG0008640	AL8G24390, AL664U10010	El007G344140
OG0008641	AL8G24590	El007G343900
OG0008642	AL8G24830	El007G343560
OG0008643	AL8G25030	El007G343310
OG0008644	AL8G25090	El007G343280
OG0008645	AL8G25260	El007G343100
OG0008646	AL8G25950	El007G342130
OG0008647	AL8G26090	El007G341990
OG0008648	AL8G27130	El007G340850
OG0008649	AL8G27420	El007G340500
OG0008650	AL8G27820	El007G340000
OG0008651	AL8G27700	El007G340150
OG0008652	AL8G27650	El007G340200
OG0008653	AL8G28190	El007G339620
OG0008654	AL8G28220	El007G339600
OG0008655	AL8G28300	El007G339470
OG0008656	AL8G28330	El007G339450
OG0008657	AL8G29240	El007G338560
OG0008658	AL8G28710	El007G338950
OG0008659	AL8G29430	El007G338370
OG0008660	AL8G29610	El007G338110
OG0008661	AL8G29710	El007G338020
OG0008662	AL8G30450	El007G337340
OG0008663	AL8G30640	El007G337130, El007G337150
OG0008664	AL8G30760	El007G337020
OG0008665	AL8G31080	El007G336610
OG0008666	AL8G31180	El007G336500
OG0008667	AL8G31200	El007G336490
OG0008668	AL8G31740	El007G336040
OG0008669	AL8G31990	El007G335770
OG0008670	AL8G32010	El007G335750
OG0008671	AL8G32370	El007G335390
OG0008672	AL8G32570	El007G335200
OG0008673	nbis-gene-2156	El007G335180
OG0008674	AL52U10040	El007G334910
OG0008675	AL8G33030	El007G334710
