Orthogroup	Arabis_alpina	Arabidopsis_lyrata_Rawat
OG0008094	Aa_G216060.h1.t1	AL3G23080
OG0008095	Aa_G216050.h1.t1	AL3G23090
OG0008096	Aa_G102810.h1.t1	AL3G23250
OG0008097	Aa_G102820.h1.t1	AL3G23260
OG0008098	Aa_G5630.h1.t1	AL3G23370
OG0008099	Aa_G5610.h1.t1	AL3G23380
OG0008101	Aa_G5470.h1.t1	AL3G23550
OG0008102	Aa_G5330.h1.t1, Aa_G5340.h1.t1	AL3G23670
OG0008103	Aa_G40580.h1.t1	AL3G23930
OG0008104	Aa_G40540.h1.t1, Aa_G167270.h1.t1	AL3G23970
OG0008105	Aa_G40410.h1.t1	AL3G24110
OG0008106	Aa_G40220.h1.t1	AL3G24290
OG0008107	Aa_G40200.h1.t1	AL3G24310
OG0008108	Aa_G40190.h1.t1	AL7G43500, AL3G24320
OG0008109	Aa_G40140.h1.t1	AL3G24370
OG0008110	Aa_G290310.h1.t1	AL3G24660
OG0008111	Aa_G290240.h1.t1	AL3G24760
OG0008112	Aa_G374000.h1.t1	AL3G24940
OG0008113	Aa_G373900.h1.t1	AL3G25100, nbis-gene-308
OG0008114	Aa_G176090.h1.t1	AL3G25340
OG0008115	Aa_G243350.h1.t1	AL3G26010
OG0008116	Aa_G641610.h1.t1	AL3G26060
OG0008118	Aa_G237650.h1.t1	AL3G25980
OG0008119	Aa_G237550.h1.t1	AL3G26340
OG0008120	Aa_G76690.h1.t1	AL3G26520
OG0008122	Aa_G56220.h1.t1	nbis-gene-967, AL3G26770
OG0008123	Aa_G140280.h1.t1	AL3G27120
OG0008124	Aa_G1450.h1.t1	AL3G27210
OG0008125	Aa_G1220.h1.t1	AL3G27440
OG0008126	Aa_G1200.h1.t1	AL3G27450
OG0008127	Aa_G421880.h1.t1	AL3G28070
OG0008128	Aa_G32040.h1.t1	AL3G28320
OG0008129	Aa_G32060.h1.t1	AL3G28340
OG0008130	Aa_G32200.h1.t1	AL3G28420
OG0008131	Aa_G32250.h1.t1	AL3G28470
OG0008132	Aa_G241910.h1.t1	AL3G28710
OG0008133	Aa_G223370.h1.t1	AL3G28870
OG0008134	Aa_G223510.h1.t1	AL3G29050
OG0008136	Aa_G367510.h1.t1	AL3G29330
OG0008137	Aa_G97070.h1.t1	AL3G29660
OG0008138	Aa_G56910.h1.t1	AL3G30040
OG0008139	Aa_G527550.h1.t1	AL3G30350
OG0008140	Aa_G53630.h1.t1	AL3G30430
OG0008141	Aa_G53540.h1.t1	AL3G30540
OG0008142	Aa_G53530.h1.t1	AL3G30550
OG0008143	Aa_G498890.h1.t1	AL3G30950
OG0008144	Aa_G498900.h1.t1	AL3G30960
OG0008146	Aa_G176960.h1.t1	AL3G31120
OG0008147	Aa_G86810.h1.t1	AL3G31250
OG0008148	Aa_G584450.h1.t1, Aa_G456300.h2.t1	AL5G33370
OG0008149	Aa_G82050.h1.t1	AL3G31630
OG0008150	Aa_G104700.h1.t1	AL3G31890
OG0008151	Aa_G522280.h1.t1	AL3G32000, AL3G32020
OG0008152	Aa_G9740.h1.t1	AL7G19290
OG0008153	Aa_G922750.h1.t1, Aa_G922750.h2.t1	AL3G32110
OG0008154	Aa_G429460.h1.t1	AL3G32220
OG0008155	Aa_G342850.h1.t1	AL3G32240
OG0008156	Aa_G382290.h1.t1	AL3G32520
OG0008157	Aa_G371340.h1.t1	AL3G32670
OG0008158	Aa_G20160.h1.t1	AL3G32870
OG0008159	Aa_G20190.h1.t1	AL3G32890
OG0008160	Aa_G604180.h1.t1	AL3G32970
OG0008161	Aa_G214230.h1.t1	AL7G13890
OG0008162	Aa_G184900.h1.t1	AL7G47130
OG0008163	Aa_G152530.h1.t1	AL3G33940
OG0008164	Aa_G173290.h1.t1	AL7G37720
OG0008165	Aa_G250540.h1.t1	AL3G34190
OG0008166	Aa_G64110.h1.t1	AL7G17320
OG0008167	Aa_G136650.h1.t1	AL3G34850
OG0008168	Aa_G161920.h1.t1	AL249U10010, AL3G35010
OG0008169	Aa_G162020.h1.t1	AL3G35110
OG0008170	Aa_G430380.h1.t1	AL3G35190
OG0008171	Aa_G398440.h1.t1	AL8G27360
OG0008172	Aa_G238040.h1.t1	AL8G27070
OG0008173	Aa_G190330.h1.t1	AL8G27130
OG0008174	Aa_G169320.h1.t1	AL7G50640
OG0008175	Aa_G365230.h1.t1	AL7G51550
OG0008176	Aa_G266720.h1.t1	AL7G45910
OG0008177	Aa_G103490.h1.t1	AL8G19900
OG0008178	Aa_G428250.h1.t1	AL3G38560
OG0008179	Aa_G293440.h1.t1	AL3G38300
OG0008180	Aa_G261500.h1.t1	AL242U10020
OG0008181	Aa_G543600.h1.t1	AL3G37940
OG0008182	Aa_G391640.h1.t1	AL3G37540
OG0008183	Aa_G51870.h1.t1, Aa_G408730.h1.t1	AL3G37340
OG0008184	Aa_G413540.h1.t1	AL3G37260
OG0008185	Aa_G413600.h1.t1	AL3G37220
OG0008186	Aa_G280080.h1.t1	AL3G37060
OG0008187	Aa_G212420.h1.t1	AL3G36790
OG0008188	Aa_G326750.h1.t1	AL3G36650
OG0008189	Aa_G326740.h1.t1	AL5G17040
OG0008189	Aa_G326760.h1.t1	AL3G36640
OG0008190	Aa_G698510.h1.t1	AL3G36350
OG0008191	Aa_G603130.h1.t1	AL3G36380
OG0008192	Aa_G384930.h1.t1	AL3G36300
OG0008193	Aa_G640070.h1.t1	AL5G10710
OG0008194	Aa_G388600.h1.t1	AL662U10020, AL3G35570
OG0008195	Aa_G229440.h1.t1	AL3G35500
OG0008196	Aa_G229430.h1.t1	AL3G35480
OG0008197	Aa_G279930.h1.t1	AL7G21910
OG0008198	Aa_G279910.h1.t1	AL7G21920
OG0008199	Aa_G368090.h1.t1	AL7G21950
OG0008200	Aa_G620360.h1.t1	AL7G22010
OG0008201	Aa_G172860.h1.t1	AL7G22090
OG0008202	Aa_G543310.h1.t1	AL7G22120
OG0008203	Aa_G506660.h1.t1	AL7G22230
OG0008204	Aa_G289470.h1.t1	AL7G22320
OG0008205	Aa_G214910.h1.t1, Aa_G966540.h1.t1	AL2G22970
OG0008207	Aa_G359630.h1.t1	AL2G22850
OG0008208	Aa_G213070.h1.t1	AL2G19160
OG0008208	Aa_G996260.h1.t1	AL2G19220
OG0008209	Aa_G669770.h1.t1, Aa_G882550.h1.t1	AL2G17900
OG0008210	Aa_G62070.h1.t1	AL1G64870
OG0008211	Aa_G456080.h1.t1	AL4G28430
OG0008212	Aa_G6720.h1.t1	AL1G65120, nbis-gene-1946
OG0008213	Aa_G256280.h1.t1	AL1G65130
OG0008214	Aa_G83560.h1.t1	AL6G30400
OG0008215	Aa_G126140.h1.t1	AL6G30190
OG0008216	Aa_G280280.h1.t1	AL6G29850
OG0008217	Aa_G280200.h1.t1	AL6G29760
OG0008218	Aa_G416080.h1.t1	AL6G29630
OG0008219	Aa_G411000.h1.t1	AL6G29440
OG0008221	Aa_G236270.h1.t1, Aa_G447140.h1.t1	AL7G47080
OG0008223	Aa_G28550.h1.t1	AL8G21330
OG0008224	Aa_G328480.h1.t1	AL5G33200
OG0008225	Aa_G478780.h1.t1	AL5G33040
OG0008226	Aa_G114570.h1.t1	AL5G33010
OG0008227	Aa_G114500.h1.t1	AL5G32850
OG0008228	Aa_G300360.h1.t1	AL5G32700
OG0008229	Aa_G87970.h1.t1	AL5G32430
OG0008230	Aa_G236030.h1.t1	AL5G32210
OG0008231	Aa_G178550.h1.t1	AL5G32190
OG0008232	Aa_G726980.h1.t1	AL5G32100
OG0008233	Aa_G122850.h1.t1	AL5G31960
OG0008234	Aa_G326340.h1.t1	AL5G31580
OG0008235	Aa_G106280.h1.t1	AL1G10090
OG0008236	Aa_G290650.h1.t1	AL1G11370
OG0008237	Aa_G6370.h1.t1	AL5G32960
OG0008238	Aa_G6380.h1.t1	AL1G11790
OG0008239	Aa_G6470.h1.t1, Aa_G6480.h1.t1	AL1G11900
OG0008240	Aa_G6770.h1.t1	AL1G12270
OG0008241	Aa_G6950.h1.t1	AL1G12440
OG0008242	Aa_G228310.h1.t1	AL1G12580
OG0008243	Aa_G358030.h1.t1	AL1G12660
OG0008244	Aa_G135120.h1.t1	AL1G12760
OG0008245	Aa_G135100.h1.t1	AL1G12820
OG0008246	Aa_G135050.h1.t1	AL1G12870
OG0008247	Aa_G134860.h1.t1	AL1G13060
OG0008248	Aa_G134840.h1.t1	AL1G13090
OG0008249	Aa_G134830.h1.t1	AL1G13100
OG0008250	Aa_G134690.h1.t1	AL1G13280
OG0008251	Aa_G134610.h1.t1	AL1G13380
OG0008252	Aa_G400270.h1.t1	AL8G18130, AL7G25630, AL1G64620, AL1G13580
OG0008253	Aa_G400310.h1.t1	AL1G13620
OG0008254	Aa_G217720.h1.t1	AL1G13790
OG0008255	Aa_G320700.h1.t1	AL7G29020
OG0008256	Aa_G38740.h1.t1	AL1G14070
OG0008257	Aa_G38870.h1.t1	AL1G14230
OG0008258	Aa_G38880.h1.t1	AL1G14240
OG0008259	Aa_G217800.h1.t1	AL1G14600
OG0008260	Aa_G493510.h1.t1	AL1G14770
OG0008261	Aa_G218990.h1.t1	nbis-gene-35
OG0008262	Aa_G219070.h1.t1	AL1G15150
OG0008263	Aa_G219090.h1.t1	AL1G15190
OG0008264	Aa_G79280.h1.t1	AL1G15260
OG0008265	Aa_G79330.h1.t1	AL1G15320
OG0008266	Aa_G219970.h1.t1	AL1G15660
OG0008267	Aa_G220020.h1.t1	AL1G15700
OG0008268	Aa_G114740.h1.t1, Aa_G220660.h1.t1	AL1G15790
OG0008269	Aa_G220650.h1.t1	AL1G15800
OG0008270	Aa_G140050.h1.t1	AL1G15940
OG0008271	Aa_G140130.h1.t1	AL1G16020
OG0008272	Aa_G469740.h1.t1	AL1G16190
OG0008273	Aa_G22850.h1.t1	AL1G16420
OG0008274	Aa_G22790.h1.t1	AL1G16480
OG0008275	Aa_G22430.h1.t1	AL1G16790
OG0008276	Aa_G22410.h1.t1	AL1G16800
OG0008277	Aa_G663690.h1.t1	AL1G17160
OG0008278	Aa_G182230.h1.t1	AL1G17340
OG0008279	Aa_G182210.h1.t1	AL1G17360
OG0008280	Aa_G275850.h1.t1	AL1G17440
OG0008281	Aa_G275830.h1.t1	AL1G17460
OG0008282	Aa_G257680.h1.t1, Aa_G686500.h1.t1	AL1G17850
OG0008284	Aa_G151800.h1.t1, Aa_G151810.h1.t1	AL1G18640
OG0008285	Aa_G442640.h1.t1	AL1G18970
OG0008286	Aa_G442620.h1.t1	AL1G18990
OG0008287	Aa_G442580.h1.t1	AL1G19030
OG0008288	Aa_G92620.h1.t1, Aa_G80730.h1.t1	AL1G19220
OG0008289	Aa_G19280.h1.t1	AL1G19440
OG0008290	Aa_G19180.h1.t1	AL1G19570
OG0008291	Aa_G394800.h1.t1	AL1G19760
OG0008292	Aa_G697320.h1.t1, Aa_G238080.h1.t1	AL8G27030
OG0008293	Aa_G161020.h1.t1	AL1G20210
OG0008294	Aa_G160850.h1.t1	AL1G20350
OG0008295	Aa_G550210.h1.t1	AL1G20520
OG0008296	Aa_G440230.h1.t1	AL1G20690
OG0008297	Aa_G171310.h1.t1	AL1G20720
OG0008299	Aa_G495660.h1.t1	AL1G20820
OG0008300	Aa_G165500.h1.t1	AL1G20860
OG0008301	Aa_G446350.h1.t1	AL1G20900
OG0008302	Aa_G446400.h1.t1	AL1G21010
OG0008303	Aa_G226540.h1.t1	AL1G21180
OG0008304	Aa_G535910.h1.t1	AL1G21460
OG0008305	Aa_G240660.h1.t1	AL7G27050
OG0008306	Aa_G457660.h1.t1	AL1G22040
OG0008307	Aa_G572760.h1.t1	AL1G22130
OG0008308	Aa_G688400.h1.t1	AL1G22520
OG0008309	Aa_G688390.h1.t1	AL1G22530
OG0008310	Aa_G469880.h1.t1	AL1G22610
OG0008311	Aa_G548740.h1.t1	AL2G13860
OG0008312	Aa_G338870.h1.t1	AL1G23030
OG0008313	Aa_G647510.h1.t1	AL1G23040
OG0008314	Aa_G299000.h1.t1	AL1G23160
OG0008315	Aa_G270640.h1.t1	AL1G23750
OG0008316	Aa_G10850.h1.t1	AL1G23790
OG0008317	Aa_G10790.h1.t1	AL1G23850
OG0008318	Aa_G10770.h1.t1	AL1G23880
OG0008320	Aa_G26640.h1.t1	AL1G24640
OG0008321	Aa_G26680.h1.t1	AL1G24690
OG0008322	Aa_G26690.h1.t1	AL1G24700
OG0008323	Aa_G584910.h1.t1	AL1G24880
OG0008324	Aa_G164230.h1.t1	AL1G25090
OG0008325	Aa_G109510.h1.t1	AL1G25340
OG0008326	Aa_G585800.h1.t1	AL1G25840
OG0008327	Aa_G599470.h1.t1	AL1G25810
OG0008328	Aa_G676720.h1.t1	AL1G26050
OG0008329	Aa_G93080.h1.t1, Aa_G93070.h1.t1	AL1G26210
OG0008330	Aa_G117730.h1.t1	AL1G26310
OG0008331	Aa_G117720.h1.t1	AL1G26320
OG0008332	Aa_G393300.h1.t1	AL1G26510
OG0008333	Aa_G523760.h1.t1	AL1G26570
OG0008334	Aa_G115510.h1.t1	AL1G48790
OG0008335	Aa_G676340.h1.t1	AL1G26750
OG0008337	Aa_G284130.h1.t1	AL1G26810, AL7G45380
OG0008338	Aa_G121210.h1.t1	AL1G27350
OG0008339	Aa_G375710.h1.t1	AL1G26920
OG0008340	Aa_G278140.h1.t1	AL5G10490
OG0008341	Aa_G668570.h1.t1, Aa_G668560.h1.t1	AL1G27060
OG0008342	Aa_G668540.h1.t1	AL1G27090
OG0008343	Aa_G121050.h1.t1	AL1G27170
OG0008344	Aa_G163870.h1.t1	AL1G27500
OG0008345	Aa_G163860.h1.t1	AL1G27510
OG0008346	Aa_G707370.h1.t1	AL1G27960
OG0008347	Aa_G66490.h1.t1	AL1G28390
OG0008348	Aa_G103760.h1.t1	AL1G28910
OG0008349	Aa_G131920.h1.t1	AL1G29010
OG0008350	Aa_G560590.h1.t1	AL2G19660
OG0008351	Aa_G278290.h1.t1	AL1G30060
OG0008352	Aa_G379830.h1.t1	AL1G30580
OG0008354	Aa_G55250.h1.t1	nbis-gene-101
OG0008355	Aa_G718690.h1.t1	AL1G30790
OG0008356	Aa_G132310.h1.t1	AL1G30800
OG0008357	Aa_G119030.h1.t1	AL1G31060
OG0008358	Aa_G119100.h1.t1	AL1G31090
OG0008359	Aa_G119130.h1.t1	AL1G31110
OG0008361	Aa_G493830.h1.t1	AL1G31550
OG0008362	Aa_G493820.h1.t1	AL1G31560
OG0008363	Aa_G762130.h1.t1	AL1G31620
OG0008364	Aa_G407800.h1.t1	AL1G31890
OG0008365	Aa_G329250.h1.t1	AL1G32550
OG0008366	Aa_G329280.h1.t1	AL1G32590
OG0008367	Aa_G329290.h1.t1	AL1G32600
OG0008368	Aa_G643700.h1.t1	AL1G32660
OG0008369	Aa_G266370.h1.t1	AL1G32920
OG0008370	Aa_G436650.h1.t1	AL1G33140
OG0008371	Aa_G622570.h1.t1	AL1G33260, AL1G33330
OG0008372	Aa_G119540.h1.t1	AL1G33640
OG0008373	Aa_G546730.h1.t1	AL1G33750
OG0008374	Aa_G334130.h1.t1	AL1G33860
OG0008375	Aa_G60710.h1.t1	AL1G34110
OG0008376	Aa_G331060.h1.t1	AL1G34440
OG0008377	Aa_G374420.h1.t1	AL1G34160, AL1G34560
OG0008378	Aa_G374380.h1.t1	AL1G34640
OG0008379	Aa_G86940.h1.t1	AL1G34720
OG0008380	Aa_G86930.h1.t1	AL1G34730
OG0008381	Aa_G86830.h1.t1	AL1G34820
OG0008382	Aa_G454180.h1.t1	AL1G34870
OG0008383	Aa_G329450.h1.t1	AL1G35100
OG0008384	Aa_G166160.h1.t1	AL1G35510
OG0008385	Aa_G292690.h1.t1	AL1G35780
OG0008386	Aa_G367180.h1.t1	AL1G36610
OG0008387	Aa_G289300.h1.t1	AL6G45350
OG0008388	Aa_G367310.h1.t1	AL1G36690
OG0008389	Aa_G245810.h1.t1	AL2G31400
OG0008390	Aa_G319460.h1.t1	AL2G31180
OG0008391	Aa_G297550.h1.t1	AL2G31020
OG0008392	Aa_G297630.h1.t1	AL1G12770, AL2G30920
OG0008393	Aa_G170710.h1.t1	AL2G30810
OG0008394	Aa_G56760.h1.t1	AL2G30770
OG0008395	Aa_G214090.h1.t1	AL2G30600
OG0008396	Aa_G214070.h1.t1	AL2G30580
OG0008397	Aa_G342030.h1.t1	AL2G30450
OG0008398	Aa_G163350.h1.t1	AL2G30240
OG0008399	Aa_G101680.h1.t1	nbis-gene-584
OG0008400	Aa_G521040.h1.t1	AL2G29660
OG0008401	Aa_G221970.h1.t1	AL2G29460
OG0008402	Aa_G221940.h1.t1	AL2G29440
OG0008403	Aa_G332020.h1.t1	AL7G29160
OG0008404	Aa_G380470.h1.t1	AL1G47290
OG0008405	Aa_G107930.h1.t1	AL1G47670
OG0008406	Aa_G324270.h1.t1	AL2G10990
OG0008407	Aa_G72490.h1.t1	nbis-gene-375
OG0008408	Aa_G72480.h1.t1	nbis-gene-376
OG0008409	Aa_G72470.h1.t1	AL2G11980, AL2G12020
OG0008410	Aa_G95410.h1.t1, Aa_G95400.h1.t1	AL2G12390
OG0008411	Aa_G274760.h1.t1	AL2G12630
OG0008412	Aa_G415700.h1.t1	AL1G40850
OG0008413	Aa_G18480.h1.t1	nbis-gene-386
OG0008414	Aa_G472910.h1.t1	AL1G42020
OG0008415	Aa_G400850.h1.t1	AL2G14350
OG0008416	Aa_G400810.h1.t1	AL2G14400
OG0008417	Aa_G149990.h1.t1, Aa_G149960.h1.t1	AL2G14520
OG0008418	Aa_G341990.h1.t1	AL2G15200
OG0008420	Aa_G645840.h1.t1	AL2G16280
OG0008421	Aa_G225920.h1.t1	AL2G16750
OG0008422	Aa_G282490.h1.t1	AL2G17480
OG0008423	Aa_G282520.h1.t1	AL2G17530
OG0008424	Aa_G11200.h1.t1, Aa_G348410.h1.t1	AL2G18350
OG0008425	Aa_G167210.h1.t1	AL2G18660, AL2G18480
OG0008426	Aa_G229590.h1.t1	AL1G67330
OG0008427	Aa_G233480.h1.t1	AL1G40080
OG0008428	Aa_G186250.h1.t1	AL2G10490
OG0008429	Aa_G270040.h1.t1	AL2G10460
OG0008430	Aa_G488490.h1.t1	AL2G10290
OG0008431	Aa_G277390.h1.t1	AL2G10170
OG0008432	Aa_G615250.h1.t1	AL2G10040, AL2G10050
OG0008433	Aa_G160500.h1.t1	nbis-gene-1983
OG0008434	Aa_G160430.h1.t1	AL8G11790
OG0008435	Aa_G295500.h1.t1	AL8G11440
OG0008436	Aa_G523250.h1.t1	AL8G11370
OG0008437	Aa_G63440.h1.t1	AL8G10240
OG0008438	Aa_G63470.h1.t1	AL8G10210
OG0008440	Aa_G480010.h1.t1	AL8G15300
OG0008442	Aa_G577840.h1.t1	AL8G15670
OG0008443	Aa_G41860.h1.t1	AL6G48810
OG0008444	Aa_G631470.h1.t1	AL6G48750
OG0008445	Aa_G798900.h1.t1	AL6G48600
OG0008446	Aa_G257020.h1.t1	AL6G48460
OG0008447	Aa_G301220.h1.t1	AL7G22360
OG0008448	Aa_G461410.h1.t1	AL7G38910
OG0008449	Aa_G689480.h1.t1	AL7G38900
OG0008450	Aa_G57540.h1.t1	AL1G54650
OG0008451	Aa_G57580.h1.t1	AL1G54700
OG0008452	Aa_G110850.h1.t1	AL1G54920
OG0008453	Aa_G161150.h1.t1	AL1G55450
OG0008454	Aa_G464600.h1.t1	AL1G55580
OG0008456	Aa_G477010.h1.t1	AL2G34830
OG0008457	Aa_G374900.h1.t1	AL7G11520
OG0008458	Aa_G557580.h1.t1	AL7G11920
OG0008459	Aa_G437420.h1.t1	AL7G12110
OG0008460	Aa_G486240.h1.t1	AL7G12270
OG0008461	Aa_G294330.h1.t1	AL7G12440
OG0008462	Aa_G237290.h1.t1	AL7G12700
OG0008463	Aa_G237370.h1.t1	AL7G12810
OG0008464	Aa_G615880.h1.t1	nbis-gene-1699
OG0008465	Aa_G95210.h1.t1, Aa_G95200.h1.t1	AL7G12940
OG0008466	Aa_G661990.h1.t1	AL7G13000
OG0008467	Aa_G661980.h1.t1	AL7G13090
OG0008469	Aa_G402110.h1.t1	AL7G13580
OG0008470	Aa_G139460.h1.t1	AL7G13760
OG0008471	Aa_G214220.h1.t1	AL7G13910
OG0008473	Aa_G223170.h1.t1	AL7G14240
OG0008474	Aa_G342290.h1.t1	AL7G14450
OG0008475	Aa_G179590.h1.t1	AL7G14550
OG0008476	Aa_G179400.h1.t1	AL7G14770
OG0008477	Aa_G514670.h1.t1	AL7G15100
OG0008478	Aa_G157020.h1.t1, Aa_G157010.h1.t1	AL7G15380
OG0008479	Aa_G426370.h1.t1, Aa_G396490.h1.t1	AL7G15680
OG0008480	Aa_G379300.h1.t1	AL7G15890
OG0008481	Aa_G293830.h1.t1	AL7G15830
OG0008482	Aa_G548440.h1.t1	AL7G15820
OG0008483	Aa_G724130.h1.t1	AL7G16250
OG0008484	Aa_G385130.h1.t1	AL7G16360
OG0008485	Aa_G547700.h1.t1	AL7G16630
OG0008486	Aa_G614640.h1.t1	AL7G16650
OG0008487	Aa_G144840.h1.t1	AL7G16790
OG0008488	Aa_G737720.h1.t1	AL7G17080
OG0008489	Aa_G97330.h1.t1	AL7G17210
OG0008490	Aa_G395000.h1.t1	AL7G19600
OG0008491	Aa_G395020.h1.t1	AL7G19580
OG0008492	Aa_G395030.h1.t1	AL7G19570
OG0008493	Aa_G395050.h1.t1	AL7G19550
OG0008494	Aa_G9640.h1.t1	AL7G19220
OG0008495	Aa_G425190.h1.t1	AL7G19060
OG0008496	Aa_G58550.h1.t1	AL7G18710
OG0008497	Aa_G432660.h1.t1	AL7G18460
OG0008498	Aa_G432610.h1.t1	AL7G18390
OG0008499	Aa_G288290.h1.t1	AL7G18340
OG0008500	Aa_G328880.h1.t1	AL7G18090
OG0008501	Aa_G214580.h1.t1	AL7G17680
OG0008502	Aa_G274220.h1.t1	AL7G17400
OG0008503	Aa_G274260.h1.t1	AL7G17360
OG0008504	Aa_G274290.h1.t1	AL7G17330
OG0008505	Aa_G394950.h1.t1	AL7G19670
OG0008506	Aa_G394910.h1.t1	AL7G19700
OG0008507	Aa_G45780.h1.t1	AL7G20060
OG0008508	Aa_G59780.h1.t1	AL7G20550
OG0008509	Aa_G59710.h1.t1	AL7G20650
OG0008510	Aa_G860280.h1.t1	AL1G32760, AL7G20660
OG0008511	Aa_G32970.h1.t1	AL7G20790
OG0008512	Aa_G33070.h1.t1	AL7G20930
OG0008513	Aa_G436810.h1.t1, Aa_G436810.h2.t1, Aa_G436850.h1.t1	AL4G14460
OG0008514	Aa_G179120.h1.t1	AL3G38890
OG0008515	Aa_G358500.h1.t1	AL3G39090
OG0008516	Aa_G199100.h1.t1	AL3G39150
OG0008517	Aa_G199090.h1.t1	AL3G39160
OG0008518	Aa_G568380.h1.t1	AL3G39610
OG0008519	Aa_G187250.h1.t1	AL2G32330
OG0008520	Aa_G187130.h1.t1, Aa_G187140.h1.t1	AL2G32220
OG0008521	Aa_G187100.h1.t1	AL2G32200
OG0008522	Aa_G199250.h1.t1	AL2G32060
OG0008523	Aa_G347870.h1.t1	AL2G31990
OG0008524	Aa_G347940.h1.t1	AL2G31920
OG0008525	Aa_G347950.h1.t1	AL2G31910
OG0008526	Aa_G252160.h1.t1, Aa_G252140.h1.t1	AL2G31860
OG0008527	Aa_G252130.h1.t1	AL2G31850
OG0008528	Aa_G252090.h1.t1, Aa_G46980.h1.t1	AL2G31820
OG0008529	Aa_G62610.h1.t1	AL1G36920
OG0008530	Aa_G62480.h1.t1	AL1G37120
OG0008531	Aa_G62370.h1.t1	AL1G37230
OG0008532	Aa_G352740.h1.t1	AL1G38240
OG0008533	Aa_G126620.h1.t1	AL1G38400
OG0008534	Aa_G617570.h1.t1	AL1G39170
OG0008535	Aa_G490150.h1.t1	AL1G39470
OG0008536	Aa_G475520.h1.t1	AL1G40690
OG0008537	Aa_G367130.h1.t1	AL7G28730
OG0008538	Aa_G46540.h1.t1	AL6G51130
OG0008540	Aa_G46810.h1.t1	AL6G51680
OG0008541	Aa_G46860.h1.t1, Aa_G347350.h1.t1, Aa_G443950.h1.t1	AL6G51740
OG0008542	Aa_G347390.h1.t1	AL6G51780
OG0008543	Aa_G53150.h1.t1	AL6G51990
OG0008544	Aa_G67840.h1.t1	AL6G52400
OG0008545	Aa_G67880.h1.t1	AL6G52350
OG0008546	Aa_G67900.h1.t1	AL6G52330
OG0008547	Aa_G356870.h1.t1	AL6G52080
OG0008548	Aa_G724620.h1.t1	AL6G52750
OG0008549	Aa_G425560.h1.t1	AL6G52860
OG0008550	Aa_G299860.h2.t1, Aa_G299860.h1.t1	AL6G53010
OG0008551	Aa_G69780.h1.t1	AL7G26300
OG0008552	Aa_G36610.h1.t1	AL4G10140
OG0008553	Aa_G61670.h1.t1	AL1G40420
OG0008554	Aa_G442200.h1.t1	AL1G39940
OG0008555	Aa_G596310.h1.t1	AL1G39760
OG0008556	Aa_G587350.h1.t1	AL1G39720
OG0008557	Aa_G587360.h1.t1	AL1G39700
OG0008558	Aa_G227920.h1.t1	AL7G26470
OG0008559	Aa_G234070.h1.t1	AL7G25900
OG0008560	Aa_G183300.h1.t1	AL7G25370
OG0008561	Aa_G107220.h1.t1	AL7G25380
OG0008563	Aa_G141560.h1.t1	AL7G25120
OG0008564	Aa_G291810.h1.t1, Aa_G279160.h1.t1, Aa_G121490.h1.t1	AL7G25070
OG0008565	Aa_G1820.h1.t1	AL7G24700
OG0008566	Aa_G469130.h1.t1	AL1G39070
OG0008567	Aa_G391300.h1.t1	AL7G24590
OG0008568	Aa_G200880.h1.t1	AL7G24570
OG0008569	Aa_G232890.h1.t1	AL7G24560
OG0008570	Aa_G231300.h1.t1	AL7G24530
OG0008571	Aa_G44430.h1.t1	AL7G24270
OG0008572	Aa_G22920.h1.t1	AL1G16350
OG0008573	Aa_G457670.h1.t1, Aa_G91510.h1.t1	AL1G22050
OG0008574	Aa_G284070.h1.t1	AL1G32090, AL1G26860, AL1G32100
OG0008575	Aa_G562120.h1.t1	AL1G37740
OG0008576	Aa_G617620.h1.t1	AL1G39110
OG0008577	Aa_G442260.h1.t1	AL1G39860
OG0008580	Aa_G494400.h1.t1, Aa_G127730.h1.t1	AL1G51900
OG0008581	Aa_G382660.h1.t1	AL1G52190
OG0008582	Aa_G273870.h1.t1, Aa_G184270.h1.t1	AL1G52270
OG0008583	Aa_G317680.h1.t1	AL3G26850
OG0008584	Aa_G234480.h1.t1	AL2G11560
OG0008586	Aa_G698400.h2.t1, Aa_G698400.h1.t1, Aa_G609190.h1.t1	AL2G27090
OG0008587	Aa_G305310.h1.t1	AL2G28040
OG0008590	Aa_G134150.h1.t1	AL3G16200
OG0008592	Aa_G327400.h1.t1	AL3G25880
OG0008594	Aa_G446610.h1.t1, Aa_G391600.h1.t1, Aa_G575080.h1.t1, Aa_G626880.h1.t1	AL3G37500
OG0008596	Aa_G279310.h1.t1	AL4G11050
OG0008599	Aa_G375070.h1.t1	AL4G12320
OG0008600	Aa_G253050.h1.t1	AL4G13260
OG0008601	Aa_G162600.h1.t1	AL4G14270
OG0008602	Aa_G271140.h1.t1	AL4G14550
OG0008603	Aa_G35780.h1.t1	AL4G17290
OG0008605	Aa_G657420.h1.t1	AL4G30100
OG0008606	Aa_G509960.h1.t1	nbis-gene-1867, AL5G10570, AL5G10590
OG0008607	Aa_G120880.h1.t1	AL5G16060
OG0008609	Aa_G514460.h1.t1	AL5G19600
OG0008611	Aa_G354650.h1.t1	AL6G24750
OG0008612	Aa_G162180.h1.t1, Aa_G461550.h1.t1	AL6G27950
OG0008615	Aa_G742240.h1.t1, Aa_G225530.h1.t1	AL6G46610
OG0008616	Aa_G404970.h1.t1	AL7G18910
