Orthogroup	Capsella_rubella	Aethionema_saxatile
OG0008695	XP_006287037.1	As002G051380
OG0008696	XP_006290206.1	As002G051430
OG0008698	XP_006286661.1	As002G051930
OG0008699	XP_006288148.2	As002G052500
OG0008700	XP_023636026.1	As012G274060, As002G052790
OG0008701	XP_006286881.2	As002G052930
OG0008702	XP_006287841.1	As002G053160
OG0008703	XP_023635812.1	As002G053450
OG0008704	XP_006294981.1, XP_006281092.1	As002G053590
OG0008705	XP_006288635.1, XP_006298528.1	As002G053670
OG0008706	XP_006287905.1	As002G053930
OG0008707	XP_006289881.1	As002G054190
OG0008708	XP_006286619.1	As002G054210
OG0008709	XP_023635876.1	As002G054460
OG0008710	XP_006288486.1	As002G054660
OG0008711	XP_006286671.1	As002G054890
OG0008712	XP_023636227.1	As002G054920
OG0008713	XP_006287366.1	As002G055000
OG0008714	XP_006288681.1	As002G055200
OG0008715	XP_006283554.1	As003G055620
OG0008716	XP_006284396.1	As004G089690, As003G056010
OG0008718	XP_006285445.1	As003G056140
OG0008719	XP_006285880.1	As003G056170
OG0008720	XP_006285463.1	As003G056180
OG0008721	XP_006284290.1	As003G056340
OG0008722	XP_023635327.1	As003G056510
OG0008723	XP_006283762.1	As003G057220
OG0008724	XP_006280720.1	As004G087920
OG0008725	XP_006284190.1	As003G057580
OG0008726	XP_006282800.1	As003G057610
OG0008727	XP_023634387.1	As003G057770
OG0008728	XP_006283058.1	As003G057840
OG0008729	XP_006284421.2	As003G057860
OG0008730	XP_006284454.1	As003G058190
OG0008731	XP_006284687.1	As003G058220
OG0008732	XP_006286233.1	As003G058400
OG0008733	XP_023635553.1	As004G086690, As003G058690, As003G058650
OG0008734	XP_006285638.1	As003G058950
OG0008735	XP_006284832.2	As003G059090
OG0008736	XP_006284004.2	As003G059480
OG0008737	XP_006283935.1	As003G059850
OG0008738	XP_006285440.1	As003G060570
OG0008739	XP_006286788.1	As004G085080, As003G060630
OG0008740	XP_023635126.1	As003G060690
OG0008741	XP_006284969.1	As003G060880
OG0008742	XP_006283352.2	As003G060970
OG0008743	XP_006284043.1	As003G060990
OG0008744	XP_006283533.1	As003G061130
OG0008745	XP_023634548.1	As003G061490
OG0008746	XP_023643554.1	As003G061620
OG0008747	XP_023635319.1	As003G061970
OG0008748	XP_006288470.1	As004G083660, As003G062650
OG0008749	XP_006307443.1	As003G062840, As012G271210
OG0008750	XP_006306636.1	As003G063220
OG0008751	XP_006303943.1	As003G063300
OG0008752	XP_023645684.1	As003G063360
OG0008753	XP_006305490.1	As003G063500
OG0008754	XP_006307395.1	As003G063830
OG0008755	XP_006304193.1	As003G064530
OG0008756	XP_006304103.1	As003G064550
OG0008757	XP_006305392.1	As003G065960, As003G065970
OG0008758	XP_006304899.2	As003G066170
OG0008759	XP_006304065.1	As003G067890
OG0008760	XP_006304012.1	As003G068780
OG0008761	XP_006300692.1	As003G069490, As010G240240
OG0008763	XP_006304099.1	As003G069900
OG0008764	XP_006304465.2	As003G070230
OG0008765	XP_006307568.1	As003G071240
OG0008766	XP_023645795.1	As003G071410
OG0008767	XP_006306855.1	As003G071550
OG0008768	XP_006305545.2	As003G071640
OG0008769	XP_006283590.2	As003G072030
OG0008770	XP_023635448.1	As003G072060
OG0008771	XP_006284196.1	As003G072300
OG0008772	XP_006283005.1, XP_006290550.1	As003G072670
OG0008773	XP_006285754.1	As003G072950
OG0008774	XP_006283367.1	As003G073260
OG0008775	XP_006283771.1	As003G073360
OG0008776	XP_006283745.1	As003G073420
OG0008777	XP_006283942.1	As003G073460
OG0008778	XP_023635534.1	As003G074110
OG0008779	XP_006284822.1	As003G074130
OG0008780	XP_006283782.1	As003G074410
OG0008781	XP_006286045.1	As003G074570
OG0008782	XP_006284157.1	As003G074590
OG0008783	XP_006283685.1	As003G074860
OG0008784	XP_023635436.1	As003G075590
OG0008785	XP_006283050.1	As004G076900
OG0008786	XP_006283724.1	As004G076920
OG0008787	XP_006283615.1	As004G077020
OG0008788	XP_006291157.1	As004G077640
OG0008789	XP_023644426.1, XP_006293813.1	As004G077680
OG0008790	XP_006285675.1	As004G078190
OG0008791	XP_006307462.2	As004G078710
OG0008792	XP_006287622.1	As004G079270
OG0008793	XP_006303981.1	As004G079420
OG0008794	XP_006296076.2	As004G079970
OG0008795	XP_023637439.1, XP_006289428.1	As004G080160
OG0008796	XP_023640264.1	As004G081320
OG0008797	XP_006280856.2	As004G081830
OG0008798	XP_006280587.1	As004G082140
OG0008799	XP_006281025.1	As004G082210
OG0008800	XP_006294219.1	As004G082550
OG0008801	XP_006282231.1	As004G082920
OG0008802	XP_006288313.1	As004G083670
OG0008803	XP_006287133.1	As004G084330
OG0008804	XP_006289237.1	As004G084900
OG0008805	XP_006287903.1	As004G085040
OG0008806	XP_006289479.2	As004G085140
OG0008807	XP_006287348.1	As004G085170
OG0008808	XP_006286437.2	As004G085340
OG0008809	XP_006287112.1	As004G085880
OG0008810	XP_006287750.1	As004G086170
OG0008811	XP_023635476.1	As004G086240
OG0008812	XP_023644020.1	As004G086700
OG0008813	XP_006281139.1	As004G086750
OG0008814	XP_006281440.1	As004G087130
OG0008815	XP_006279704.1	As004G087430
OG0008816	XP_006280242.1	As004G087830
OG0008817	XP_006280105.1	As004G088310
OG0008818	XP_006279569.1	As004G088380
OG0008819	XP_023641766.1	As004G089190
OG0008820	XP_006280942.2	As004G089240
OG0008821	XP_023635393.1	As004G089610
OG0008822	XP_006282352.1	As004G090130
OG0008823	XP_023643032.1	As004G090140
OG0008824	XP_006282617.1	As004G092100
OG0008825	XP_006282464.1	As004G092980
OG0008826	XP_006284212.1	As004G093630
OG0008827	XP_006284538.2	As004G093740
OG0008828	XP_006283302.1	As004G094340
OG0008829	XP_006296695.1	As004G094420
OG0008830	XP_023635500.1	As004G095210
OG0008831	XP_006283452.1	As004G095280
OG0008832	XP_006283701.1	As004G095380
OG0008833	XP_006283879.1	As004G095860
OG0008834	XP_006282926.1	As004G096200
OG0008835	XP_023635013.1	As004G096230
OG0008836	XP_006283360.1	As004G096560
OG0008837	XP_023635616.1	As004G096600
OG0008839	XP_006282571.1	As004G097450, As004G097780
OG0008840	XP_006283863.1	As004G097470, As008G190170
OG0008841	XP_023635074.1	As004G097710
OG0008842	XP_006283939.1	As004G097730
OG0008843	XP_023634878.1	As004G098060
OG0008844	XP_006283727.1	As004G098280
OG0008845	XP_006282949.2	As004G098350
OG0008846	XP_023640156.1	As005G098680
OG0008847	XP_006295823.1	As005G098760
OG0008848	XP_006295942.1	As005G098810
OG0008849	XP_006294192.1	As005G100300
OG0008850	XP_023640105.1	As005G100380
OG0008851	XP_006293427.2	As005G100510
OG0008852	XP_006294928.2	As005G100930
OG0008853	XP_006294507.1	As005G101000
OG0008854	XP_006293834.1	As005G101330
OG0008855	XP_006295913.1	As005G101710
OG0008856	XP_006294906.1	As005G101930
OG0008857	XP_006294897.1	As005G102000
OG0008858	XP_006294606.1	As005G102080
OG0008859	XP_006290364.1	As012G286140, As005G102540
OG0008860	XP_006294139.2	As005G103010
OG0008861	XP_023639790.1	As005G103150
OG0008862	XP_006295662.1	As005G103190
OG0008863	XP_006294992.1	As005G103200
OG0008864	XP_006293646.1	As005G103400
OG0008865	XP_006294500.1	As005G104000
OG0008866	XP_006294020.1	As005G104260
OG0008867	XP_006291237.2	As005G104370
OG0008869	XP_006295653.1	As005G104890
OG0008870	XP_006294933.2	As005G104920
OG0008871	XP_006294919.1	As005G104960
OG0008872	XP_006289249.1	As005G105000
OG0008873	XP_006296029.1	As005G105460
OG0008874	XP_023639691.1	As005G105770
OG0008875	XP_006295090.1	As005G106130
OG0008876	XP_006293945.2	As005G106140
OG0008877	XP_006288271.1	As005G106690
OG0008878	XP_006287885.1	As005G106830
OG0008879	XP_006287534.1	As005G106880
OG0008880	XP_006287256.1	As005G106970, As005G106960
OG0008881	XP_023636751.1	As005G107490
OG0008882	XP_006288341.2	As005G107760
OG0008883	XP_006286413.1	As005G108060
OG0008884	XP_006287496.1	As005G108590
OG0008885	XP_006287469.1	As005G108710
OG0008886	XP_006289149.1	As005G108880
OG0008887	XP_006288211.1	As005G109250
OG0008888	XP_006287044.1	As005G109920
OG0008889	XP_006286463.2	As005G110230
OG0008890	XP_006288582.1	As005G110460
OG0008891	XP_006287923.1	As005G110610
OG0008892	XP_006286390.1	As005G111310
OG0008893	XP_006288232.2	As005G111360
OG0008894	XP_006289636.1	As005G111650
OG0008895	XP_023637303.1	As005G111820
OG0008896	XP_006280458.1	As008G192090
OG0008897	XP_023636170.1	As005G112420
OG0008898	XP_006286473.1	As005G112450
OG0008899	XP_006286832.1	As005G112710
OG0008900	XP_006287493.1	As005G112920
OG0008901	XP_006288523.1	As005G112950
OG0008902	XP_006287048.1	As005G113110
OG0008903	XP_006290047.1	As005G113320
OG0008904	XP_006288668.1	As005G113360
OG0008905	XP_006287602.1	As005G113710
OG0008906	XP_006286724.1	As005G113870
OG0008907	XP_006279968.1	As005G114030
OG0008908	XP_006290831.1, XP_023645188.1	As005G114450
OG0008909	XP_023640806.1	As005G114520
OG0008910	XP_006280985.1	As005G114660
OG0008911	XP_023634992.1	As005G114670
OG0008912	XP_023638254.1	As005G114750
OG0008913	XP_006280519.1	As005G114820
OG0008914	XP_006281031.1	As005G114900
OG0008915	XP_023641139.1	As005G115290
OG0008916	XP_006279627.1	As010G224270, As005G115400
OG0008917	XP_006280937.1	As005G115610
OG0008918	XP_006281963.1	As005G115750
OG0008919	XP_006280372.1	As005G115810
OG0008920	XP_006279671.1	As005G115850
OG0008921	XP_006281961.1	As005G115890
OG0008922	XP_006280667.1	As005G116720
OG0008923	XP_006279958.2	As005G116780
OG0008924	XP_006304092.1	As005G116820
OG0008925	XP_006279577.1	As005G116880
OG0008926	XP_006280716.1	As005G117200
OG0008927	XP_023635098.1	As005G117330
OG0008928	XP_006280216.1	As005G117630
OG0008929	XP_006281397.1	As005G117790
OG0008930	XP_006279651.1	As005G118120
OG0008931	XP_006280815.1	As005G118210
OG0008932	XP_006280660.1	As005G118230
OG0008933	XP_006281233.1	As005G118980
OG0008934	XP_006280319.1	As005G119070
OG0008935	XP_006280202.1	As005G119240
OG0008936	XP_006279673.2	As005G119360
OG0008937	XP_006281085.1	As005G119710
OG0008938	XP_006279796.1	As005G119860
OG0008939	XP_006281688.1	As005G119870
OG0008940	XP_006282122.1	As005G120000
OG0008941	XP_023643146.1, XP_023640825.1	As005G120250
OG0008942	XP_006279868.1	As005G120320
OG0008943	XP_006279495.1	As005G120350
OG0008944	XP_006281818.1	As005G120520
OG0008945	XP_006282185.1	As005G120660
OG0008946	XP_006282359.1	As005G120880
OG0008947	XP_006287568.1	As006G121320
OG0008948	XP_006304383.1	As006G121330
OG0008949	XP_023636564.1	As006G121570
OG0008950	XP_006289824.1	As006G121650
OG0008951	XP_023636365.1	As006G121670
OG0008952	XP_006288476.1	As006G121800
OG0008953	XP_006287527.1	As006G122120
OG0008954	XP_006288590.1	As006G122350
OG0008955	XP_006287157.1	As006G122870
OG0008956	XP_006294756.1	As006G122950
OG0008957	XP_006289757.1	As006G123090
OG0008958	XP_006288757.2	As006G123550
OG0008959	XP_006289666.1	As006G123680
OG0008960	XP_006287030.2	As006G123860
OG0008961	XP_023636316.1	As006G123880
OG0008962	XP_023639758.1	As006G124700, As006G125370
OG0008963	XP_023639888.1	As006G124740
OG0008964	XP_006281163.1	As006G124760
OG0008965	XP_006280398.1	As006G124970
OG0008966	XP_006282017.1	As006G125010
OG0008967	XP_023640799.1	As006G125410
OG0008968	XP_006295125.1	As006G125490
OG0008969	XP_006295661.1	As006G125560
OG0008970	XP_006293803.1	As006G125940
OG0008971	XP_006293722.2	As006G126000
OG0008972	XP_006294769.1	As006G126210
OG0008973	XP_006295515.1	As006G126240
OG0008974	XP_006295854.1	As006G126270
OG0008975	XP_006303737.1, XP_006303767.1, XP_006307576.1	As006G126750, As007G153780
OG0008976	XP_006295860.1	As006G126800
OG0008977	XP_006295020.1	As006G127280
OG0008978	XP_006293452.1	As006G127390
OG0008979	XP_006294476.1	As006G127540
OG0008980	XP_006295576.1	As006G127750
OG0008981	XP_006296395.1	As006G127910
OG0008982	XP_006280685.1	As006G128240
OG0008983	XP_023640977.1	As006G128280
OG0008984	XP_023639895.1	As006G128900
OG0008985	XP_023639734.1	As006G129120
OG0008986	XP_006296014.2	As006G129140
OG0008987	XP_006294561.1	As006G129300
OG0008988	XP_006296496.1	As006G129340
OG0008989	XP_006294126.1	As006G129590
OG0008990	XP_006295654.1	As006G129630
OG0008991	XP_006294226.1	As006G129880
OG0008992	XP_006294984.1	As006G129950
OG0008993	XP_023639861.1	As006G130070
OG0008994	XP_006295096.1	As006G130350
OG0008995	XP_006295271.1	As006G130360
OG0008996	XP_006293814.1	As006G130760
OG0008997	XP_006294532.1	As006G130820
OG0008998	XP_006295716.1	As006G130860
OG0008999	XP_006294358.1	As006G130940
OG0009000	XP_006294169.1	As006G131400
OG0009001	XP_006295731.1	As006G131550
OG0009002	XP_006293919.2	As006G132080
OG0009003	XP_006294138.1	As006G132180
OG0009004	XP_006283803.1	As006G132280
OG0009005	XP_006284409.1	As006G132310
OG0009006	XP_023634642.1	As006G132590
OG0009007	XP_006298510.1	As006G132800
OG0009008	XP_006296811.1	As006G132820
OG0009009	XP_006299626.1	As006G132830
OG0009010	XP_023642779.1	As006G132920, As008G184190
OG0009011	XP_023641074.1	As006G132930
OG0009012	XP_006298568.1	As006G133240
OG0009013	XP_006284202.1	As006G134080
OG0009014	XP_006284523.2	As006G134370
OG0009015	XP_006282479.2	As006G134500
OG0009016	XP_006297283.2	As006G134920
OG0009017	XP_006296946.1	As006G135170
OG0009018	XP_006299215.1	As006G135550
OG0009019	XP_006297994.1	As006G135610
OG0009020	XP_006300058.1	As006G135840
OG0009021	XP_006298631.1	As006G135930
OG0009022	XP_006298755.2	As006G136080
OG0009023	XP_006299220.1	As006G136150
OG0009024	XP_006298826.1	As006G136160
OG0009025	XP_006298615.1	As006G136460
OG0009026	XP_006299961.1	As006G136720
OG0009027	XP_006296725.1	As006G137270
OG0009028	XP_006298074.1	As006G137330
OG0009029	XP_006297959.1	As006G137340
OG0009030	XP_006297961.1	As006G137480
OG0009031	XP_006297070.1	As006G137660
OG0009032	XP_023642530.1	As006G137830
OG0009033	XP_006299280.1	As009G207100, As006G137860
OG0009034	XP_006297651.1	As006G137910
OG0009035	XP_023641219.1	As006G138100
OG0009036	XP_006300215.2	As006G138400
OG0009037	XP_006297922.1	As006G138450
OG0009038	XP_006296950.1	As006G139040
OG0009039	XP_006299015.1	As006G139060
OG0009040	XP_023642117.1	As006G139590
OG0009041	XP_006299214.1	As006G139860
OG0009042	XP_006297217.1	As006G140160
OG0009043	XP_023642726.1	As006G140280
OG0009044	XP_006298817.1	As006G140540
OG0009045	XP_006298333.1	As006G140780, As009G208470
OG0009046	XP_006281072.1	As009G208490, As006G140790
OG0009047	XP_023642476.1	As006G141030
OG0009048	XP_006297120.1	As006G141060
OG0009049	XP_006298220.1	As006G141080
OG0009050	XP_006297652.1	As006G141670
OG0009051	XP_023640004.1	As006G141700
OG0009052	XP_006296839.2	As006G141800
OG0009053	XP_006297975.1	As006G141810
OG0009054	XP_006298128.1	As006G141880
OG0009055	XP_006305686.1	As006G142230
OG0009056	XP_006295545.1	As006G142280
OG0009057	XP_023640682.1	As006G142350
OG0009058	XP_006295151.1	As006G142450
OG0009059	XP_006293898.1	As006G142550
OG0009060	XP_006294281.1	As006G142590
OG0009061	XP_006296102.1	As006G142720
OG0009062	XP_006294229.2	As006G143340
OG0009063	XP_006295330.1	As006G143350
OG0009064	XP_006296517.1	As006G143520
OG0009065	XP_006294078.1	As006G143720
OG0009066	XP_006295146.1	As006G143920
OG0009067	XP_023640506.1	As006G143950
OG0009068	XP_006295009.1	As006G144360
OG0009069	XP_006301325.1	As006G144370
OG0009070	XP_006294982.1	As006G144400
OG0009071	XP_006296281.1	As006G144660
OG0009072	XP_006296508.1	As006G144720
OG0009073	XP_006294667.1	As006G144740
OG0009074	XP_006292144.1	As012G276230, As006G144760
OG0009075	XP_023640147.1	As006G145080
OG0009076	XP_006294211.2	As006G145190
OG0009077	XP_023639505.1	As006G145460
OG0009078	XP_023639829.1	As006G145720
OG0009079	XP_006296230.1	As006G146050
OG0009080	XP_006294261.1	As006G146930
OG0009081	XP_006295228.2	As006G146940
OG0009082	XP_006294628.2	As006G147260
OG0009083	XP_006296330.1	As006G147310
OG0009084	XP_023640763.1	As006G147940
OG0009085	XP_006295055.1	As006G148410
OG0009086	XP_023640810.1	As006G148420
OG0009087	XP_006294306.1	As006G148610
OG0009088	XP_006293693.1	As006G148830
OG0009089	XP_006306663.1	As007G151900
OG0009090	XP_006306014.1	As007G151920
OG0009091	XP_006305911.1	As007G152000
OG0009092	XP_006306731.1	As007G152060
OG0009093	XP_006305164.1	As007G152180
OG0009094	XP_006305168.1	As007G152210
OG0009095	XP_006305230.1	As007G152440
OG0009097	XP_006304434.1	As007G152890, As007G162460
OG0009098	XP_006305887.1	As007G152980
OG0009099	XP_006303462.2	As007G153010
OG0009100	XP_006305477.1	As007G153290
OG0009101	XP_006306659.1	As007G153650, As010G241560
OG0009102	XP_006306647.1	As007G153810
OG0009103	XP_006303246.2	As007G153920
OG0009104	XP_006304958.1	As007G154080
OG0009105	XP_006305985.1	As007G154600
OG0009106	XP_006303955.1	As007G155010
OG0009107	XP_006282549.1	As007G155050
OG0009108	XP_023633016.1	As007G155070
OG0009110	XP_006304206.1	As007G155460
OG0009111	XP_006307376.1	As007G156120
OG0009112	XP_006307252.1	As007G156130
OG0009113	XP_006305548.1	As007G156360
OG0009115	XP_006304145.1	As007G157120
OG0009116	XP_006291762.2	As007G157770
OG0009117	XP_006304198.1	As007G157910
OG0009118	XP_006305285.1	As007G158070
OG0009119	XP_023632666.1	As007G158080
OG0009120	XP_006304056.1	As007G158720
OG0009121	XP_006307270.1	As007G158730
OG0009122	XP_006306275.1	As007G159220
OG0009123	XP_006307417.1	As007G159470
OG0009124	XP_023633054.1, XP_023632769.1	As007G159600
OG0009126	XP_023645359.1	As007G160210
OG0009127	XP_006304180.1	As007G160330
OG0009128	XP_006305648.1	As007G160560
OG0009129	XP_006305744.1	As007G160610
OG0009130	XP_023643775.1	As007G160660, As010G232420
OG0009131	XP_006303400.2	As007G160770
OG0009132	XP_006306992.1	As007G160920
OG0009133	XP_023646059.1	As007G161000
OG0009134	XP_006304745.1	As007G161010
OG0009135	XP_006307606.1	As007G161290
OG0009136	XP_006305785.1	As007G161320
OG0009137	XP_006305965.2	As007G161560
OG0009138	XP_006305289.2	As007G161590
OG0009139	XP_006305411.1	As007G161860
OG0009140	XP_006305852.1	As007G162090, As007G162100
OG0009141	XP_006282476.1	As007G162760
OG0009142	XP_006279888.1	As007G162940
OG0009143	XP_023634676.1	As007G162980
OG0009144	XP_006283098.1	As007G163550
OG0009145	XP_006282891.1	As007G163730
OG0009146	XP_006294721.1	As007G167100
OG0009148	XP_006294487.1	As007G176810, As007G176820
OG0009149	XP_006293518.1	As007G177640
OG0009150	XP_006293479.1	As007G177990
OG0009151	XP_006295799.1	As007G178310
OG0009152	XP_006295798.1	As007G178970
OG0009153	XP_006296179.1	As007G179130
OG0009154	XP_006295403.1	As007G179580
OG0009155	XP_006293682.1	As007G179720
OG0009156	XP_023638170.1	As007G179780
OG0009157	XP_023639778.1	As007G180150
OG0009158	XP_006295215.1	As007G180250
OG0009159	XP_006294013.1	As007G180660
OG0009160	XP_006293495.2	As007G181040
OG0009161	XP_006294581.1	As007G181950
OG0009162	XP_006305736.1	As008G182420
OG0009163	XP_006303996.2	As008G182670
OG0009164	XP_023632778.1	As008G182780
OG0009165	XP_006303818.1	As008G183180
OG0009166	XP_006305210.1	As008G183270
OG0009167	XP_006303979.1	As008G183440
OG0009168	XP_006305128.1	As008G183960
OG0009169	XP_006303753.1	As008G183980
OG0009170	XP_006304429.1	As008G184350
OG0009171	XP_006306027.1	As008G184880
OG0009172	XP_023645952.1	As008G185600
OG0009173	XP_006304473.1	As008G185680
OG0009174	XP_006305573.1	As008G186050
OG0009175	XP_023644825.1	As008G186790
OG0009176	XP_006307406.1	As008G186830
OG0009177	XP_006304028.1	As008G186930
OG0009178	XP_006303228.1	As008G187340
OG0009179	XP_006307232.1	As008G187540
OG0009180	XP_023633235.1	As008G187640
OG0009181	XP_006303172.1	As008G188250
OG0009182	XP_006307268.1	As008G188450
OG0009184	XP_023645314.1	As008G188920
OG0009185	XP_023644973.1, XP_023644972.1	As008G189090
OG0009186	XP_006290154.1	As008G189310
OG0009187	XP_006305743.1	As008G189380
OG0009188	XP_006305732.2	As008G189500
OG0009189	XP_006305501.1	As008G189850
OG0009190	XP_006303435.1	As008G189870
OG0009191	XP_006304461.1	As008G190010
OG0009192	XP_006303885.1	As008G190070
OG0009193	XP_006304165.1	As008G190600
OG0009194	XP_023645182.1	As008G190940
OG0009195	XP_006304005.2	As008G191250
OG0009196	XP_006303631.1	As008G191310
OG0009197	XP_006306385.1	As008G192130
OG0009198	XP_006307527.1	As008G192730
OG0009199	XP_006306685.1	As008G193010
OG0009200	XP_006307661.1	As008G193650
OG0009201	XP_006306755.1	As008G193700
OG0009202	XP_006304620.1	As008G193870
OG0009203	XP_006306316.1	As008G193910
OG0009204	XP_006304386.1	As008G194220
OG0009205	XP_023633111.1	As008G194430
OG0009206	XP_006307581.1	As008G194920
OG0009207	XP_023645167.1	As008G194930
OG0009208	XP_006305430.2	As008G195010
OG0009209	XP_023637896.1, XP_023642929.1	As008G195110, As010G244040
OG0009210	XP_006307177.1	As008G195560
OG0009211	XP_006307498.1	As008G195710
OG0009212	XP_023645011.1	As008G195790
OG0009213	XP_006303752.1	As008G196040
OG0009214	XP_006306986.1	As008G196300
OG0009215	XP_023645530.1	As008G196590
OG0009216	XP_006305426.2	As008G197030
OG0009217	XP_006303883.1	As008G197410
OG0009218	XP_006303520.1	As008G197490
OG0009219	XP_006305628.2	As008G197680
OG0009220	XP_006305500.1	As008G197910, As008G198100
OG0009221	XP_006303966.2	As008G198030
OG0009222	XP_006307364.1	As008G198230
OG0009223	XP_006305173.1	As008G198350
OG0009224	XP_006305480.1	As008G198410
OG0009225	XP_006307157.2	As008G198510
OG0009226	XP_006305645.1	As008G198580
OG0009227	XP_006303868.1	As008G198620
OG0009228	XP_006306887.1	As008G198690
OG0009229	XP_023636725.1	As008G199110
OG0009230	XP_023632849.1	As008G199460
OG0009231	XP_006306188.1	As008G199630
OG0009232	XP_006287619.1, XP_023633385.1	As009G199790
OG0009233	XP_006286842.1	As009G199840
OG0009234	XP_006287122.1	As009G200170
OG0009235	XP_006289000.1	As009G200290
OG0009236	XP_006286392.1	As009G200650
OG0009237	XP_006286932.1	As009G200690
OG0009238	XP_023637570.1	As009G200750
OG0009239	XP_006288208.1	As009G200890
OG0009240	XP_006289759.1	As009G201180
OG0009241	XP_006288945.1	As009G201350
OG0009242	XP_006287924.1	As009G201560
OG0009243	XP_006290178.1	As009G202040
OG0009244	XP_006287611.1	As009G202110
OG0009245	XP_006288493.1	As009G202630
OG0009246	XP_006288234.1	As009G202710
OG0009247	XP_006289489.1	As009G202960
OG0009248	XP_006288645.1	As009G203050
OG0009249	XP_023637340.1	As009G203530
OG0009250	XP_006288371.1	As009G204000
OG0009251	XP_006289793.1	As009G204710
OG0009252	XP_006288788.1	As009G204800
OG0009253	XP_006286808.1	As009G205120
OG0009254	XP_023636211.1	As009G205130
OG0009255	XP_006290042.1	As009G206510
OG0009256	XP_006288854.1	As009G207140
OG0009257	XP_006279985.2	As009G207300, As009G207960
OG0009258	XP_006281348.1	As009G207350
OG0009259	XP_006281889.2	As009G207900
OG0009260	XP_006280165.1	As009G208150
OG0009261	XP_006281529.2	As009G208170
OG0009262	XP_006286627.1	As009G210270
OG0009263	XP_006289625.1	As009G210410
OG0009264	XP_006287140.1	As009G210690
OG0009265	XP_023637538.1	As009G210710
OG0009267	XP_006287238.1	As009G211490
OG0009268	XP_006288124.1	As009G211750
OG0009269	XP_006289455.1	As009G211780
OG0009270	XP_006288520.2	As009G212010
OG0009272	XP_006288431.1	As009G212460
OG0009273	XP_006289430.1	As009G212660
OG0009274	XP_006288491.1	As009G212700
OG0009275	XP_006288654.1	As009G212950
OG0009276	XP_023636136.1, XP_006282317.2, XP_006289188.1	As009G213350
OG0009277	XP_006286489.1	As009G213860
OG0009278	XP_006287970.1	As009G213890
OG0009279	XP_006288264.1	As009G214220
OG0009280	XP_006288265.2	As009G214270
OG0009281	XP_006288767.1	As009G215050
OG0009282	XP_006287605.2	As009G215100
OG0009283	XP_006289060.1	As009G215260
OG0009284	XP_006286840.1	As009G215360
OG0009285	XP_006289043.1	As009G215430
OG0009286	XP_006286673.1	As009G215500
OG0009287	XP_023637549.1	As009G215670
OG0009288	XP_006287997.1	As009G215690
OG0009289	XP_006286796.1	As009G215870
OG0009290	XP_023637708.1	As009G215930
OG0009291	XP_023638575.1	As009G215990
OG0009292	XP_006288246.2	As009G216000
OG0009293	XP_006289354.1	As009G216200
OG0009294	XP_006287648.1	As009G216710
OG0009295	XP_006287150.1	As009G217070
OG0009296	XP_006287340.1	As009G217120
OG0009297	XP_006287878.1	As009G217170
OG0009298	XP_023637717.1	As009G217190
OG0009299	XP_006286897.1	As009G217340
OG0009300	XP_006280178.1	As009G217800
OG0009301	XP_023639280.1	As009G218320
OG0009302	XP_023635882.1	As009G218440
OG0009303	XP_006281223.1	As009G219260
OG0009304	XP_023638264.1	As009G219350, As010G223030
OG0009305	XP_006281521.1	As009G219410
OG0009306	XP_006280863.1	As009G219580
OG0009307	XP_023635520.1	As009G219970
OG0009308	XP_006290733.1	As010G220370
OG0009309	XP_006292468.1	As010G220390
OG0009310	XP_006291894.1	As010G220400
OG0009311	XP_006292776.1	As010G220520
OG0009313	XP_006290928.1	As010G220860
OG0009314	XP_006290766.1	As010G220970
OG0009315	XP_006291812.1	As010G221350
OG0009316	XP_006290911.1	As010G221380
OG0009317	XP_006293131.1	As010G221400
OG0009318	XP_006292916.1	As010G221660
OG0009319	XP_006291064.1	As010G222050
OG0009320	XP_006292100.1	As010G222170
OG0009321	XP_006291034.1	As010G222430
OG0009322	XP_006291957.1	As010G222580
OG0009323	XP_006291232.1	As010G222710
OG0009324	XP_006291299.1	As010G222780, As010G222770
OG0009325	XP_006290873.1	As010G223160
OG0009326	XP_006292170.1	As010G223290
OG0009327	XP_006291868.1	As010G223700
OG0009328	XP_006290866.1	As010G226210
OG0009329	XP_006293541.1	As010G226500
OG0009330	XP_006286081.1	As010G226860
OG0009331	XP_023641694.1	As010G227410
OG0009332	XP_023643087.1	As010G228440
OG0009333	XP_006302636.1	As010G230630
OG0009334	XP_006301071.1	As010G231180
OG0009335	XP_006302435.1	As010G231380
OG0009336	XP_023644109.1	As010G231550
OG0009337	XP_006302244.1	As010G232020
OG0009338	XP_006302500.1	As010G232270
OG0009339	XP_006303005.2	As010G232390
OG0009340	XP_006302669.1	As010G232590
OG0009341	XP_006294759.1	As010G232790
OG0009342	XP_006302260.1	As010G232850
OG0009343	XP_006301936.1	As010G232860
OG0009344	XP_006302702.1	As010G233030
OG0009345	XP_023643768.1	As010G233310
OG0009346	XP_006300531.2	As010G233620
OG0009347	XP_006300424.1	As010G234080
OG0009348	XP_023641022.1, XP_023643284.1	As010G234210
OG0009349	XP_006301319.1	As010G234400
OG0009350	XP_006302154.1	As010G234680
OG0009351	XP_006302544.1	As010G234770
OG0009352	XP_006302172.1	As010G235040
OG0009353	XP_006302268.1	As010G235110
OG0009354	XP_006302895.1	As010G235120
OG0009355	XP_006302881.2	As010G235130
OG0009356	XP_023644360.1	As010G235220
OG0009357	XP_023643017.1	As010G236180
