Orthogroup	Rorippa_islandica	Arabidopsis_lyrata_Rawat
OG0006170	Roisl.0033s0050.1.p	AL4G25200
OG0006171	Roisl.0033s0051.1.p	AL4G25210
OG0006172	Roisl.0033s0058.1.p	AL4G25260
OG0006173	Roisl.0033s0095.1.p	AL4G25600
OG0006174	Roisl.0033s0102.1.p	AL4G25810
OG0006175	Roisl.0033s0161.1.p, Roisl.0033s0109.1.p	AL4G25860
OG0006176	Roisl.0033s0154.1.p	AL5G22210, AL4G26000
OG0006177	Roisl.0017s0501.1.p	AL4G26830, AL762U10010
OG0006178	Roisl.0017s0499.1.p	AL5G34840, AL4G26850
OG0006179	Roisl.0017s0477.1.p	AL4G27050
OG0006180	Roisl.0017s0473.1.p	AL4G27070
OG0006181	Roisl.0028s0639.1.p	AL4G27950
OG0006182	Roisl.0028s0637.1.p	AL4G27910
OG0006183	Roisl.0028s0627.1.p	AL4G27790
OG0006184	Roisl.0017s0431.1.p	AL4G27590
OG0006185	Roisl.0028s0684.1.p	AL4G28480
OG0006186	Roisl.0012s0095.1.p	AL8G17060
OG0006187	Roisl.0053s0339.1.p	AL3G38190
OG0006188	Roisl.0012s0186.1.p	AL8G16280
OG0006189	Roisl.0012s0201.1.p	AL8G16170
OG0006190	Roisl.0012s0209.1.p	AL8G16110
OG0006191	Roisl.0012s0221.1.p	AL8G16000
OG0006192	Roisl.0022s0175.1.p	AL7G27820
OG0006193	Roisl.0013s0196.1.p	AL1G53790
OG0006194	Roisl.0066s0354.1.p	AL1G53230
OG0006195	Roisl.0213s0038.1.p	AL1G41270
OG0006196	Roisl.0213s0048.1.p	AL1G41390
OG0006197	Roisl.0213s0091.1.p	AL1G41890
OG0006198	Roisl.0213s0113.1.p	AL1G42130
OG0006199	Roisl.0213s0114.1.p	AL1G42140
OG0006200	Roisl.0213s0137.1.p	AL1G42450
OG0006201	Roisl.0213s0167.1.p	AL1G42910
OG0006202	Roisl.0213s0178.1.p	AL1G43080
OG0006203	Roisl.0213s0184.1.p	AL1G43140
OG0006204	Roisl.0213s0236.1.p	AL1G43590
OG0006205	Roisl.0213s0259.1.p, Roisl.0111s0012.1.p	AL1G43820
OG0006206	Roisl.0213s0269.1.p	AL1G43950
OG0006207	Roisl.0213s0271.1.p	AL1G43980
OG0006208	Roisl.0213s0278.1.p	AL1G44090, AL700U10010
OG0006209	Roisl.0213s0292.1.p	AL1G44260
OG0006210	Roisl.0028s0874.1.p	AL1G44320
OG0006211	Roisl.0213s0302.1.p	AL1G44380
OG0006212	Roisl.0213s0307.1.p	AL1G44490
OG0006213	Roisl.0213s0415.1.p	AL1G49740
OG0006214	Roisl.0213s0457.1.p	AL1G45890
OG0006215	Roisl.0213s0496.1.p	AL1G46150
OG0006216	Roisl.0024s0310.1.p	AL8G41660
OG0006217	Roisl.0209s0205.1.p	AL1G46370
OG0006218	Roisl.0011s0162.1.p	AL5G11920
OG0006219	Roisl.0011s0177.1.p	AL5G12410
OG0006220	Roisl.0011s0249.1.p	AL5G13190
OG0006221	Roisl.0011s0255.1.p	AL5G13280
OG0006222	Roisl.0074s0108.1.p	AL3G31470
OG0006223	Roisl.0024s0584.1.p	AL8G44560
OG0006224	Roisl.0024s0581.1.p	AL8G44530
OG0006225	Roisl.0024s0519.1.p	AL8G43890
OG0006226	Roisl.0024s0495.1.p	AL8G43680
OG0006227	Roisl.0024s0486.1.p	AL334U10030
OG0006228	Roisl.0024s0453.1.p	AL8G43180
OG0006229	Roisl.0024s0449.1.p	AL8G43120
OG0006230	Roisl.0024s0446.1.p	AL8G43090
OG0006231	Roisl.0024s0424.1.p	AL666U10010, AL8G42890
OG0006232	Roisl.0024s0407.1.p	AL8G42690
OG0006233	Roisl.0024s0401.1.p	AL8G42620
OG0006234	Roisl.0024s0391.1.p	AL8G42500
OG0006235	Roisl.0024s0380.1.p	AL8G42400
OG0006236	Roisl.0024s0368.1.p	AL8G42270
OG0006237	Roisl.0024s0353.1.p	AL8G42100
OG0006238	Roisl.0024s0307.1.p	AL8G41630
OG0006239	Roisl.0024s0288.1.p	AL8G41350
OG0006240	Roisl.0024s0277.1.p	AL8G41230
OG0006241	Roisl.0024s0264.1.p	AL8G41090
OG0006242	Roisl.0024s0234.1.p	AL8G40630
OG0006243	Roisl.0024s0186.1.p	AL8G40170
OG0006244	Roisl.0024s0172.1.p	AL8G40040
OG0006245	Roisl.0024s0168.1.p	AL8G39980
OG0006246	Roisl.0028s0912.1.p, Roisl.0018s0181.1.p	AL4G30990
OG0006247	Roisl.0024s0149.1.p	AL8G39770
OG0006248	Roisl.0024s0147.1.p	AL8G39750
OG0006249	Roisl.0068s0003.1.p	AL6G41010
OG0006250	Roisl.0024s0128.1.p	AL8G39490
OG0006251	Roisl.0024s0127.1.p	AL8G39480
OG0006252	Roisl.0080s0008.1.p	AL8G39220
OG0006253	Roisl.0080s0012.1.p	AL8G39180
OG0006254	Roisl.0080s0020.1.p	AL8G39080
OG0006255	Roisl.0080s0022.1.p	AL8G39060
OG0006256	Roisl.0080s0028.1.p	AL8G39010
OG0006257	Roisl.0080s0088.1.p	AL8G38360
OG0006258	Roisl.0080s0127.1.p, Roisl.0080s0126.1.p	AL8G37950
OG0006259	Roisl.0080s0133.1.p	AL8G37890
OG0006261	Roisl.0080s0161.1.p	AL8G37630
OG0006262	Roisl.0080s0165.1.p	AL8G37610
OG0006263	Roisl.0080s0168.1.p	AL8G37570
OG0006264	Roisl.0210s1973.1.p	AL6G34270
OG0006265	Roisl.0210s1994.1.p	AL6G34550
OG0006266	Roisl.0210s1995.1.p	AL6G34560
OG0006267	Roisl.0210s2020.1.p	AL6G34800
OG0006268	Roisl.0210s2001.1.p, Roisl.0210s2029.1.p	AL6G34910
OG0006269	Roisl.0046s0081.1.p	AL6G35470
OG0006270	Roisl.0046s0082.1.p	AL6G35480
OG0006271	Roisl.0046s0158.1.p	AL6G36440
OG0006272	Roisl.0046s0159.1.p	AL6G36450
OG0006273	Roisl.0046s0194.1.p	AL6G36820
OG0006274	Roisl.0046s0234.1.p	AL6G37310
OG0006275	Roisl.0046s0258.1.p	AL6G37660
OG0006276	Roisl.0046s0260.1.p	AL6G37680
OG0006277	Roisl.0046s0263.1.p	AL6G37780
OG0006278	Roisl.0046s0294.1.p	AL6G38160
OG0006279	Roisl.0210s1663.1.p	AL6G30950, AL6G30960
OG0006280	Roisl.0210s1656.1.p	AL6G30880
OG0006281	Roisl.0210s1690.1.p	AL6G31210
OG0006282	Roisl.0210s1713.1.p	AL6G31430
OG0006283	Roisl.0210s1727.1.p	AL6G31580
OG0006284	Roisl.0210s1746.1.p	AL5G13030, AL6G31740
OG0006285	Roisl.0036s0084.1.p	AL8G23180
OG0006286	Roisl.0210s1759.1.p	AL6G31860
OG0006287	Roisl.0210s1787.1.p	AL6G32150
OG0006288	Roisl.0210s1838.1.p	AL6G32720
OG0006289	Roisl.0210s1856.1.p	AL6G32920
OG0006290	Roisl.0210s1868.1.p	AL6G33050
OG0006291	Roisl.0210s1871.1.p	AL6G33090
OG0006292	Roisl.0210s1880.1.p	AL6G33220
OG0006293	Roisl.0080s0205.1.p	AL8G37250
OG0006294	Roisl.0080s0215.1.p	AL8G37170
OG0006295	Roisl.0080s0248.1.p	AL8G36800, AL817U10010
OG0006296	Roisl.0214s0411.1.p, Roisl.0066s0296.1.p	AL3G48030
OG0006297	Roisl.0080s0294.1.p	AL8G36350
OG0006298	Roisl.0080s0396.1.p	AL139U10020, AL8G35300
OG0006299	Roisl.0080s0405.1.p	AL277U10010, AL3G40350
OG0006300	Roisl.0080s0460.1.p	AL8G34450
OG0006301	Roisl.0091s0063.1.p	AL7G30980
OG0006302	Roisl.0091s0891.1.p	AL1G16200
OG0006303	Roisl.0080s0472.1.p	AL8G34330
OG0006304	Roisl.0080s0487.1.p	AL8G34170
OG0006305	Roisl.0091s0608.1.p	AL7G37410
OG0006306	Roisl.0080s0526.1.p, Roisl.0080s0527.1.p	AL8G33760
OG0006307	Roisl.0080s0536.1.p	AL8G33670
OG0006308	Roisl.0080s0538.1.p	AL8G33640
OG0006309	Roisl.0019s0324.1.p	AL2G31530
OG0006310	Roisl.0080s0575.1.p	AL8G33240
OG0006311	Roisl.0080s0606.1.p	AL8G32910
OG0006312	Roisl.0080s0599.1.p	AL8G32980
OG0006313	Roisl.0032s0102.1.p, Roisl.0046s0902.1.p	AL5G29500
OG0006314	Roisl.0080s0614.1.p	AL8G32800, AL52U10030
OG0006316	Roisl.0080s0664.1.p	AL8G32280
OG0006317	Roisl.0080s0665.1.p	AL8G32270
OG0006318	Roisl.0080s0700.1.p	AL8G31900
OG0006319	Roisl.0080s0720.1.p	AL8G31670, AL2G24490, AL2G22990
OG0006320	Roisl.0080s0819.1.p	AL8G30670
OG0006321	Roisl.0213s0005.1.p	AL7G43590
OG0006322	Roisl.0080s0874.1.p	AL8G30110
OG0006323	Roisl.0046s0889.1.p	AL5G29350
OG0006324	Roisl.0046s0852.1.p	AL5G28940
OG0006325	Roisl.0046s0849.1.p	AL5G28900
OG0006326	Roisl.0210s2040.1.p, Roisl.0046s0812.1.p	AL5G28400
OG0006327	Roisl.0046s0798.1.p	AL5G28250
OG0006328	Roisl.0052s0039.1.p	AL8G29250
OG0006329	Roisl.0052s0045.1.p	AL8G29390
OG0006330	Roisl.0082s0443.1.p	AL6G50750
OG0006331	Roisl.0082s0395.1.p	AL6G50180
OG0006332	Roisl.0210s0465.1.p	AL6G17520
OG0006333	Roisl.0210s0470.1.p	AL6G17550
OG0006334	Roisl.0214s0854.1.p	AL1G67190
OG0006335	Roisl.0210s0435.1.p	AL6G17150
OG0006336	Roisl.0210s0408.1.p	AL6G16870
OG0006337	Roisl.0042s0005.1.p	AL6G16660
OG0006338	Roisl.0042s0009.1.p	AL6G16620
OG0006339	Roisl.0042s0017.1.p	AL6G16520, AL6G16990
OG0006340	Roisl.0042s0024.1.p	AL6G16440
OG0006341	Roisl.0042s0028.1.p	AL6G16360
OG0006342	Roisl.0042s0038.1.p	AL6G16270
OG0006344	Roisl.0042s0122.1.p	AL6G15320
OG0006345	Roisl.0042s0128.1.p	AL6G15250
OG0006346	Roisl.0042s0148.1.p	AL6G15020
OG0006348	Roisl.0042s0157.1.p	AL6G14630
OG0006349	Roisl.0030s0215.1.p	AL6G14570
OG0006350	Roisl.0030s0214.1.p	AL6G14560
OG0006351	Roisl.0030s0181.1.p	AL6G14180
OG0006352	Roisl.0006s0117.1.p, Roisl.0030s0178.1.p	AL6G14140
OG0006353	Roisl.0030s0177.1.p	AL6G14130
OG0006354	Roisl.0030s0169.1.p	AL6G14030
OG0006355	Roisl.0030s0121.1.p	AL1G13500, AL1G12230, AL6G13550
OG0006356	Roisl.0030s0115.1.p	AL6G13460
OG0006357	Roisl.0030s0058.1.p	AL6G12700
OG0006358	Roisl.0030s0039.1.p	AL6G12500
OG0006359	Roisl.0030s0029.1.p	AL6G12430
OG0006360	Roisl.0030s0020.1.p	AL6G12340
OG0006361	Roisl.0030s0018.1.p	AL6G12320
OG0006362	Roisl.0034s0170.1.p	AL6G12020
OG0006363	Roisl.0034s0138.1.p	AL6G11590
OG0006364	Roisl.0034s0147.1.p	AL6G11700
OG0006365	Roisl.0034s0148.1.p	AL6G11710
OG0006366	Roisl.0034s0133.1.p	AL6G11540
OG0006367	Roisl.0034s0111.1.p	AL6G11270
OG0006368	Roisl.0012s0045.1.p	AL5G23600
OG0006369	Roisl.0014s0011.1.p	AL8G20880
OG0006370	Roisl.0034s0066.1.p	AL6G10740
OG0006371	Roisl.0074s0098.1.p	AL3G31560
OG0006372	Roisl.0009s0015.1.p	AL7G47280
OG0006373	Roisl.0115s0063.1.p	AL1G33500, AL2G41240
OG0006374	Roisl.0019s0368.1.p	AL2G41190, AL7G51770, AL7G51830
OG0006375	Roisl.0115s0077.1.p	AL2G41090
OG0006376	Roisl.0115s0100.1.p	AL2G40890, AL4G18160
OG0006377	Roisl.0115s0115.1.p	AL2G40740
OG0006378	Roisl.0115s0161.1.p	AL2G40290
OG0006379	Roisl.0115s0190.1.p	AL2G40000
OG0006380	Roisl.0115s0191.1.p	AL2G39990
OG0006381	Roisl.0082s0737.1.p, Roisl.0082s0738.1.p, Roisl.0004s0046.1.p	AL2G38830
OG0006382	Roisl.0004s0051.1.p	AL2G38780
OG0006383	Roisl.0004s0082.1.p	AL2G38470
OG0006384	Roisl.0004s0120.1.p	AL2G38010
OG0006385	Roisl.0004s0165.1.p	AL2G37530
OG0006386	Roisl.0091s0539.1.p	AL7G36630
OG0006387	Roisl.0004s0197.1.p	AL2G37100
OG0006388	Roisl.0004s0205.1.p	AL2G37010
OG0006389	Roisl.0004s0248.1.p	AL2G36530
OG0006390	Roisl.0004s0320.1.p	AL2G35720
OG0006391	Roisl.0004s0323.1.p	AL2G35690
OG0006392	Roisl.0004s0337.1.p	AL2G35560
OG0006393	Roisl.0004s0359.1.p	AL2G35290
OG0006394	Roisl.0004s0374.1.p	AL2G35160
OG0006395	Roisl.0209s0688.1.p	AL1G56360, AL2G14680
OG0006396	Roisl.0066s0208.1.p	AL3G50230
OG0006397	Roisl.0066s0163.1.p	AL3G50710
OG0006398	Roisl.0046s0917.1.p	AL5G29780
OG0006399	Roisl.0046s0916.1.p	AL5G29770
OG0006400	Roisl.0080s0882.1.p	AL8G30030
OG0006401	Roisl.0209s0481.1.p	AL5G26940
OG0006402	Roisl.0079s0029.1.p	AL3G17510
OG0006403	Roisl.0021s0500.1.p	AL1G64040
OG0006404	Roisl.0021s0516.1.p	AL1G63890
OG0006405	Roisl.0021s0517.1.p	AL1G63880
OG0006406	Roisl.0021s0538.1.p	AL1G63600
OG0006407	Roisl.0011s0282.1.p	AL5G13590, AL3G42500
OG0006408	Roisl.0021s0560.1.p	AL1G63390
OG0006409	Roisl.0006s0514.1.p, Roisl.0210s2074.1.p	AL1G63080
OG0006410	Roisl.0006s0494.1.p	AL1G62880
OG0006411	Roisl.0006s0490.1.p	AL1G62840
OG0006412	Roisl.0006s0477.1.p, Roisl.0006s0475.1.p	AL1G62730
OG0006413	Roisl.0006s0444.1.p	AL1G62320
OG0006414	Roisl.0006s0430.1.p	AL1G62170
OG0006415	Roisl.0006s0377.1.p	AL1G61430
OG0006416	Roisl.0006s0375.1.p	AL1G61410
OG0006417	Roisl.0028s1022.1.p	AL4G32040
OG0006418	Roisl.0028s1032.1.p	AL4G32130, AL110U10020
OG0006419	Roisl.0191s0342.1.p	AL1G39000, AL1G38990
OG0006420	Roisl.0091s0465.1.p	AL7G35790
OG0006421	Roisl.0037s0017.1.p	AL5G22480
OG0006422	Roisl.0037s0011.1.p	AL5G22530
OG0006423	Roisl.0054s0009.1.p	AL5G20150
OG0006424	Roisl.0214s0356.1.p, Roisl.0184s0081.1.p, Roisl.0213s0017.1.p	AL7G43750
OG0006425	Roisl.0031s0077.1.p	AL8G27680
OG0006426	Roisl.0031s0083.1.p	AL8G27760
OG0006427	Roisl.0214s0073.1.p	AL8G23890
OG0006428	Roisl.0214s0189.1.p	AL664U10010, AL8G24390
OG0006429	Roisl.0058s0046.1.p	AL9U10660
OG0006430	Roisl.0058s0020.1.p	AL9U10310
OG0006431	Roisl.0053s0005.1.p	AL9U10100
OG0006432	Roisl.0075s0084.1.p	AL7G42780, AL5G12130
OG0006433	Roisl.0075s0135.1.p	nbis-gene-1868
OG0006434	Roisl.0075s0182.1.p	AL7G41860
OG0006435	Roisl.0004s0448.1.p	AL2G34390
OG0006436	Roisl.0002s0163.1.p	AL7G40120
OG0006437	Roisl.0002s0156.1.p	AL7G40070
OG0006438	Roisl.0002s0135.1.p	AL7G39780
OG0006439	Roisl.0002s0105.1.p	AL7G39540
OG0006440	Roisl.0002s0087.1.p	AL7G39340
OG0006441	Roisl.0019s0217.1.p	AL2G32470
OG0006442	Roisl.0019s0163.1.p	AL2G32980
OG0006443	Roisl.0019s0131.1.p	AL2G33280
OG0006444	Roisl.0179s0117.1.p, Roisl.0019s0132.1.p	AL2G33270
OG0006445	Roisl.0019s0103.1.p	AL2G33530
OG0006446	Roisl.0019s0100.1.p	AL2G33570
OG0006447	Roisl.0004s0519.1.p	AL2G33720
OG0006448	Roisl.0004s0514.1.p	AL2G33770
OG0006449	Roisl.0004s0061.1.p, Roisl.0004s0060.1.p	AL2G38710
OG0006450	Roisl.0004s0452.1.p	AL2G34350
OG0006451	Roisl.0004s0419.1.p	AL2G34680
OG0006452	Roisl.0004s0416.1.p	AL2G34720
OG0006454	Roisl.0019s0664.1.p	AL2G27840
OG0006455	Roisl.0019s0603.1.p	AL2G28320
OG0006457	Roisl.0044s0015.1.p	AL7G23830
OG0006458	Roisl.0044s0029.1.p	AL7G23670
OG0006459	Roisl.0044s0036.1.p	AL7G23600
OG0006460	Roisl.0044s0037.1.p	AL7G23580
OG0006461	Roisl.0044s0074.1.p	AL7G23230
OG0006462	Roisl.0050s0103.1.p	AL2G11140
OG0006463	Roisl.0012s0037.1.p	AL8G25010
OG0006464	Roisl.0011s0284.1.p	AL5G13600
OG0006465	Roisl.0184s0190.1.p	AL5G19260
OG0006466	Roisl.0185s0062.1.p	AL5G20010
OG0006467	Roisl.0025s0095.1.p	AL5G18320
OG0006468	Roisl.0037s0084.1.p	AL5G21900
OG0006469	Roisl.0035s0017.1.p	AL4G46770
OG0006470	Roisl.0011s0552.1.p	AL5G16970
OG0006471	Roisl.0011s0537.1.p	AL5G16720
OG0006472	Roisl.0011s0530.1.p	AL5G16680
OG0006473	Roisl.0011s0511.1.p	AL5G16320
OG0006474	Roisl.0011s0502.1.p	AL5G16220
OG0006475	Roisl.0011s0414.1.p	AL5G15130
OG0006476	Roisl.0011s0413.1.p	AL5G15120
OG0006477	Roisl.0011s0382.1.p	AL5G14810
OG0006478	Roisl.0008s0247.1.p	AL7G28910
OG0006479	Roisl.0011s0350.1.p	AL5G14500
OG0006480	Roisl.0025s0034.1.p	AL5G17560
OG0006481	Roisl.0011s0325.1.p	AL5G14160, AL5G14180
OG0006482	Roisl.0019s0544.1.p	AL22U10080
OG0006483	Roisl.0019s0545.1.p	AL22U10090
OG0006485	Roisl.0019s0581.1.p	AL2G28710
OG0006486	Roisl.0019s0593.1.p	AL2G28570
OG0006487	Roisl.0019s0621.1.p	AL2G28500
OG0006488	Roisl.0005s0220.1.p	AL8G12440
OG0006489	Roisl.0005s0245.1.p	AL8G12650
OG0006490	Roisl.0005s0290.1.p	AL8G13090
OG0006491	Roisl.0210s0130.1.p	AL1G11440
OG0006492	Roisl.0012s0386.1.p	AL8G14140
OG0006493	Roisl.0006s0023.1.p	AL1G56960
OG0006494	Roisl.0006s0032.1.p	AL1G57080
OG0006495	Roisl.0006s0051.1.p	AL2G15740, AL1G57390
OG0006496	Roisl.0006s0067.1.p	AL1G57590
OG0006497	Roisl.0006s0100.1.p	AL1G58100
OG0006498	Roisl.0189s0129.1.p	AL271U10010, AL8G26670
OG0006499	Roisl.0006s0214.1.p	nbis-gene-287
OG0006500	Roisl.0006s0216.1.p	AL1G59520
OG0006501	Roisl.0006s0289.1.p	AL1G60410
OG0006502	Roisl.0006s0272.1.p	AL1G60630
OG0006503	Roisl.0080s0863.1.p, Roisl.0009s0248.1.p	AL8G30180
OG0006505	Roisl.0028s0863.1.p	AL4G30530
OG0006506	Roisl.0028s0865.1.p	AL4G30550
OG0006507	Roisl.0028s0869.1.p	AL270U10020, AL4G30590
OG0006508	Roisl.0028s0893.1.p, Roisl.0028s0891.1.p	AL4G30790
OG0006509	Roisl.0028s0906.1.p	AL4G30930
OG0006510	Roisl.0028s0935.1.p	AL4G31200
OG0006511	Roisl.0028s0980.1.p	AL4G31650
OG0006512	Roisl.0028s0989.1.p	AL4G24500, AL4G31740
OG0006513	Roisl.0028s1000.1.p	AL4G31860
OG0006515	Roisl.0115s0693.1.p	AL7G34820
OG0006516	Roisl.0091s0380.1.p	AL486U10010
OG0006517	Roisl.0091s0381.1.p	AL7G34870
OG0006518	Roisl.0074s0258.1.p, Roisl.0091s0387.1.p	AL7G34930
OG0006519	Roisl.0091s0392.1.p	AL7G34970
OG0006520	Roisl.0091s0426.1.p	AL7G35390
OG0006521	Roisl.0091s0436.1.p	AL7G35490
OG0006522	Roisl.0091s0474.1.p	nbis-gene-1818, AL7G35870
OG0006523	Roisl.0184s0175.1.p	AL5G19120
OG0006524	Roisl.0091s0479.1.p	AL7G35970
OG0006525	Roisl.0091s0502.1.p	AL7G36180
OG0006526	Roisl.0091s0510.1.p	AL7G36260
OG0006527	Roisl.0091s0524.1.p	AL7G36440
OG0006528	Roisl.0091s0532.1.p	AL7G36580
OG0006529	Roisl.0091s0540.1.p	AL7G36640
OG0006530	Roisl.0091s0562.1.p	AL7G36920
OG0006531	Roisl.0091s0588.1.p	AL7G37170
OG0006532	Roisl.0091s0617.1.p	AL7G37480
OG0006533	Roisl.0091s0620.1.p	AL7G37520
OG0006534	Roisl.0046s1058.1.p	AL5G31480
OG0006535	Roisl.0046s1052.1.p	AL5G31420
OG0006536	Roisl.0046s1045.1.p	AL5G31270
OG0006537	Roisl.0046s1041.1.p	AL5G31220
OG0006538	Roisl.0046s0982.1.p	AL5G30560
OG0006539	Roisl.0008s0172.1.p	AL7G29720
OG0006540	Roisl.0008s0145.1.p	AL7G29990
OG0006541	Roisl.0031s0012.1.p	AL8G27000
OG0006542	Roisl.0012s0029.1.p	AL8G25080
OG0006544	Roisl.0189s0267.1.p	AL8G25390
OG0006545	Roisl.0188s0004.1.p	AL3G44830
OG0006546	Roisl.0045s0100.1.p	nbis-gene-852
OG0006547	Roisl.0045s0093.1.p, Roisl.0045s0091.1.p	AL3G47010
OG0006548	Roisl.0053s0146.1.p	AL3G52250
OG0006549	Roisl.0066s0233.1.p	AL3G49970
OG0006550	Roisl.0008s0212.1.p	AL7G29270
OG0006551	Roisl.0008s0210.1.p	AL7G29290
OG0006552	Roisl.0008s0191.1.p	AL7G29530
OG0006553	Roisl.0008s0184.1.p	AL7G29610
OG0006554	Roisl.0091s0051.1.p	AL7G30850
OG0006555	Roisl.0019s0031.1.p, Roisl.0214s0116.1.p, Roisl.0091s0055.1.p	AL3G53390, AL7G30880
OG0006556	Roisl.0091s0058.1.p	AL7G30910
OG0006557	Roisl.0091s0059.1.p	AL7G30920
OG0006558	Roisl.0091s0094.1.p	AL7G31350
OG0006559	Roisl.0008s0058.1.p	AL1G66470
OG0006560	Roisl.0010s0146.1.p, Roisl.0027s0010.1.p, Roisl.0050s0023.1.p	AL2G12040, AL2G12140
OG0006561	Roisl.0091s0276.1.p	AL7G33580
OG0006562	Roisl.0022s0330.1.p	AL7G26180
OG0006563	Roisl.0091s0240.1.p	AL7G33210
OG0006564	Roisl.0091s0232.1.p, Roisl.0091s0231.1.p	AL7G33130
OG0006565	Roisl.0118s0003.1.p	AL4G17680
OG0006566	Roisl.0091s0217.1.p	AL7G32970
OG0006567	Roisl.0091s0209.1.p	AL7G32890
OG0006568	Roisl.0091s0189.1.p	AL7G32650
OG0006569	Roisl.0091s0187.1.p	AL7G32620
OG0006570	Roisl.0091s0167.1.p	AL7G32380
OG0006571	Roisl.0091s0152.1.p	AL7G31630, AL7G32200
OG0006572	Roisl.0091s0137.1.p	AL7G32030
OG0006573	Roisl.0091s0319.1.p	AL7G34220
OG0006574	Roisl.0091s0330.1.p	AL7G34360
OG0006575	Roisl.0002s0025.1.p	AL7G38620
OG0006576	Roisl.0091s0685.1.p	AL7G38110
OG0006577	Roisl.0091s0676.1.p	AL7G37820
OG0006578	Roisl.0091s0641.1.p	AL7G37690
OG0006579	Roisl.0024s0619.1.p	AL8G44910
OG0006580	Roisl.0024s0621.1.p	AL8G44930
OG0006581	Roisl.0024s0641.1.p	AL8G45150
OG0006582	Roisl.0018s0487.1.p	AL5G46320
OG0006583	Roisl.0018s0460.1.p	AL5G46030
OG0006584	Roisl.0018s0429.1.p	AL5G45690
OG0006585	Roisl.0018s0400.1.p	AL5G45420
OG0006586	Roisl.0018s0332.1.p	AL5G44680
OG0006587	Roisl.0018s0327.1.p	AL5G44580
OG0006588	Roisl.0018s0297.1.p	AL5G44220
OG0006589	Roisl.0018s0295.1.p	AL5G44190
OG0006590	Roisl.0018s0250.1.p	AL5G43590
OG0006591	Roisl.0018s0241.1.p	AL5G43520
OG0006592	Roisl.0018s0220.1.p	AL5G43280
OG0006593	Roisl.0018s0193.1.p	AL5G43020
OG0006594	Roisl.0055s0037.1.p	AL8G18800
OG0006595	Roisl.0018s0091.1.p	AL5G41920
OG0006596	Roisl.0026s0013.1.p	AL5G40500
OG0006597	Roisl.0026s0017.1.p	AL5G40460
OG0006599	Roisl.0012s0040.1.p	AL8G24980
OG0006600	Roisl.0026s0137.1.p	AL5G39140
OG0006601	Roisl.0026s0143.1.p	AL5G39080
OG0006602	Roisl.0026s0166.1.p	AL5G38830
OG0006603	Roisl.0026s0214.1.p	AL5G38230
OG0006604	Roisl.0046s1651.1.p	AL5G37840
OG0006605	Roisl.0046s1622.1.p	AL5G37510
OG0006606	Roisl.0046s1602.1.p	AL5G37290
OG0006607	Roisl.0046s1587.1.p, Roisl.0046s1582.1.p	AL5G37180
OG0006608	Roisl.0046s1537.1.p	AL5G36620
OG0006609	Roisl.0046s1534.1.p	AL5G36590
OG0006610	Roisl.0046s1511.1.p	AL5G36270
OG0006611	Roisl.0046s1478.1.p	AL5G36000
OG0006612	Roisl.0046s1468.1.p	AL5G35910
OG0006613	Roisl.0046s1342.1.p	AL5G34580
OG0006614	Roisl.0046s1261.1.p	AL5G33660
OG0006615	Roisl.0184s0108.1.p	AL8G28910
OG0006616	Roisl.0184s0102.1.p	AL8G28710
OG0006617	Roisl.0184s0085.1.p	AL8G28640
OG0006618	Roisl.0002s0056.1.p	AL7G38990
OG0006619	Roisl.0053s0198.1.p	AL3G40280
OG0006620	Roisl.0053s0237.1.p	AL3G39850
OG0006621	Roisl.0024s0111.1.p	AL2G25770
OG0006622	Roisl.0019s0782.1.p	AL2G26560
OG0006623	Roisl.0019s0778.1.p	AL2G26600
OG0006624	Roisl.0019s0743.1.p	AL2G27000
OG0006625	Roisl.0019s0727.1.p	AL2G27150
OG0006626	Roisl.0014s0132.1.p	AL8G21800
OG0006627	Roisl.0066s0100.1.p	AL3G51340
OG0006628	Roisl.0066s0067.1.p	AL3G51670
OG0006629	Roisl.0066s0066.1.p	AL3G51680
OG0006630	Roisl.0206s0039.1.p	AL3G52850
OG0006631	Roisl.0206s0021.1.p	AL3G49030
OG0006632	Roisl.0011s0082.1.p	AL5G10920
OG0006633	Roisl.0214s0343.1.p	AL3G48800
OG0006634	Roisl.0016s0117.1.p	AL3G11190
OG0006635	Roisl.0214s0358.1.p	AL3G48660
OG0006636	Roisl.0214s0359.1.p	AL3G48650
OG0006637	Roisl.0214s0381.1.p	AL3G48450
OG0006638	Roisl.0028s0561.1.p	AL4G38520
OG0006639	Roisl.0028s0586.1.p	AL4G38300
OG0006640	Roisl.0035s0145.1.p	AL4G45260
OG0006641	Roisl.0028s0614.1.p	AL4G37980
OG0006642	Roisl.0017s0414.1.p	AL4G37930, AL108U10010
OG0006643	Roisl.0017s0405.1.p	AL4G37820
OG0006644	Roisl.0017s0394.1.p	AL4G37690
OG0006645	Roisl.0017s0360.1.p	AL4G37380
OG0006646	Roisl.0017s0350.1.p	AL4G37230
OG0006647	Roisl.0017s0336.1.p	AL4G37040
OG0006648	Roisl.0091s1040.1.p	AL1G17800
OG0006649	Roisl.0017s0232.1.p	AL4G35950
OG0006650	Roisl.0017s0222.1.p	AL4G35840
OG0006651	Roisl.0017s0213.1.p	AL4G35750
OG0006652	Roisl.0017s0195.1.p	AL4G35520, AL96U10060, AL4G35560
OG0006653	Roisl.0017s0193.1.p	AL4G35500
