Orthogroup	Arabidopsis_lyrata_NCBI	Arabidopsis_lyrata_Rawat
OG0009885	XP_020887626.1	AL3G33120
OG0009886	XP_002885336.1	AL3G33360
OG0009887	XP_002892657.1	AL1G22990
OG0009888	XP_020887414.1	AL3G33620
OG0009889	XP_020888190.1	AL3G33890
OG0009890	XP_020888189.1	AL3G33900
OG0009891	XP_020888887.1	AL3G33960
OG0009892	XP_002885366.1	AL3G34040
OG0009893	XP_002885393.1	AL3G34560
OG0009894	XP_002885409.1	AL3G34830
OG0009895	XP_002870798.1	AL7G51240
OG0009896	XP_002868750.1	AL7G51560
OG0009897	XP_002880588.1	AL4G14970
OG0009898	XP_002868760.1	AL7G51880
OG0009899	XP_020875447.1	AL7G52040
OG0009900	XP_002870862.1	AL7G52660
OG0009901	XP_020874764.1	AL7G46010
OG0009902	XP_020875059.1	AL7G45470
OG0009903	XP_020874235.1	AL7G45420
OG0009904	XP_020882963.1	AL8G19800
OG0009905	XP_020887661.1	AL3G38090
OG0009906	XP_020887662.1	AL3G38070
OG0009907	XP_002883405.1	AL3G37680
OG0009908	XP_002883385.1	AL3G37320
OG0009909	XP_002884228.1	AL3G54110
OG0009909	XP_020886813.1	AL3G54090
OG0009910	XP_020886693.1	AL3G37100
OG0009911	XP_002883363.2	AL3G36700
OG0009912	XP_002883353.1	AL3G36570
OG0009913	XP_020886721.1	AL3G36520
OG0009914	XP_002885479.1	AL3G36260
OG0009915	XP_002875487.1	AL5G18920
OG0009915	XP_020885994.1	AL3G36190
OG0009916	XP_020888026.1, XP_002885475.2	AL3G36070, AL3G36050
OG0009917	XP_002883322.2	AL3G36060
OG0009917	XP_020887673.1	AL3G36040
OG0009918	XP_002885468.1	nbis-gene-751, nbis-gene-752
OG0009919	XP_002885461.1	AL3G35840
OG0009920	XP_020886042.1	AL3G35600, AL5G19540, AL7G43520
OG0009921	XP_020889299.1	AL3G35390
OG0009922	XP_002867352.1	AL7G21780
OG0009923	XP_002869382.2	AL7G21830
OG0009924	XP_020874284.1	AL64U10030
OG0009924	XP_002864115.1	AL8G25810
OG0009925	XP_020875195.1	AL7G22180
OG0009926	XP_002867379.1	AL7G22300
OG0009927	XP_020891676.1	AL2G24050
OG0009928	XP_020890927.1	AL2G19520
OG0009929	XP_020865691.1	AL2G22130
OG0009930	XP_020867964.1	AL1G64840
OG0009931	XP_002873921.1	AL6G30320
OG0009932	XP_002873918.1	AL6G30260
OG0009933	XP_002874473.1	AL6G41130
OG0009934	XP_020877010.1	AL6G40780
OG0009935	XP_002874448.1	AL6G40790
OG0009936	XP_002872327.1	AL6G40810
OG0009937	XP_020889885.1	AL8G22220
OG0009938	XP_002863934.1	AL8G22200
OG0009939	XP_020886604.1	AL8G24420
OG0009940	XP_020880639.1	AL5G32770
OG0009941	XP_020880275.1	AL5G32680
OG0009942	XP_002876124.1	AL5G32650
OG0009943	XP_020882542.1	AL5G32610
OG0009944	XP_002877831.1	AL5G32390
OG0009945	XP_020880074.1	AL5G31930
OG0009946	XP_002877803.1	AL5G31820
OG0009947	XP_020879933.1	AL5G31700
OG0009948	XP_020881649.1	AL5G31620
OG0009949	XP_020866291.1	AL1G10080
OG0009950	XP_020869823.1	AL1G10200
OG0009951	XP_020869828.1	AL1G10220
OG0009952	XP_020868113.1	AL1G10260
OG0009953	XP_020866657.1	AL1G10720
OG0009954	XP_002892053.1	AL1G10810
OG0009955	XP_002867299.1	AL7G20560
OG0009956	XP_002892072.1	AL1G11140
OG0009957	XP_002889375.1	AL1G11210
OG0009958	XP_002889377.1	AL1G11290
OG0009959	XP_002889383.1	AL1G11400
OG0009960	XP_020868152.1	AL1G11460
OG0009961	XP_002889400.1	AL1G11750
OG0009962	XP_002892109.1	AL1G11800
OG0009963	XP_020870286.1	AL1G12120
OG0009964	XP_020870287.1	AL1G12130
OG0009965	XP_020868979.1	AL1G12200
OG0009966	XP_002889431.2	AL1G12460
OG0009967	XP_002892143.1	AL1G12470
OG0009968	XP_002892147.1	AL1G12540
OG0009969	XP_020868322.1	AL1G12560
OG0009970	XP_020868080.1	AL1G12680
OG0009971	XP_020867706.1	AL1G12970
OG0009972	XP_002892167.1	AL1G13040
OG0009973	XP_020868681.1	AL1G13120
OG0009974	XP_002889465.1	AL1G13130
OG0009975	XP_002892182.1	AL1G13400
OG0009976	XP_002889480.1	AL1G13470
OG0009977	XP_002892189.1	AL1G13560
OG0009978	XP_020869564.1	AL1G13610
OG0009979	XP_002892208.1	AL1G13910
OG0009980	XP_002892221.1	AL1G14150
OG0009981	XP_002889512.1	AL1G14190
OG0009982	XP_020870628.1	AL1G14360
OG0009983	XP_020866004.1	AL1G14380
OG0009984	XP_020867116.1	AL1G14410
OG0009985	XP_020867675.1	AL1G14500
OG0009986	XP_002889524.1	AL1G14510
OG0009987	XP_020870781.1	AL1G14960
OG0009988	XP_002892274.1	AL1G14970
OG0009989	XP_002892288.1	AL1G15250
OG0009990	XP_020868615.1	AL1G15290
OG0009991	XP_020866808.1	AL1G15340
OG0009992	XP_020866557.1	AL1G15460
OG0009993	XP_002889580.1	AL1G15960
OG0009994	XP_020867849.1	AL1G16010
OG0009995	XP_020868982.1	AL1G16240
OG0009996	XP_002892332.1	AL1G16290
OG0009997	XP_002889600.1	AL1G16390
OG0009998	XP_020869236.1	AL1G16560
OG0009999	XP_002892349.1	AL1G16600
OG0010000	XP_002892352.1	AL1G16670
OG0010001	XP_002892390.1	AL1G17410
OG0010002	XP_020869763.1	AL1G17580
OG0010003	XP_020868455.1	AL1G17810
OG0010004	XP_020870250.1	AL1G18310
OG0010005	XP_020870049.1	AL1G18360
OG0010007	XP_020870699.1	AL1G18630
OG0010008	XP_020870852.1	AL1G18740
OG0010009	XP_020867508.1	AL1G18750
OG0010010	XP_002892457.1	AL1G18860
OG0010011	XP_020866923.1	AL1G18930
OG0010012	XP_020868473.1	AL1G19000
OG0010013	XP_002892463.1	AL1G19010
OG0010014	XP_020866312.1	AL1G19050
OG0010015	XP_002890719.1	AL1G40700
OG0010016	XP_002892467.1	AL1G19100
OG0010017	XP_020869693.1	AL1G19140
OG0010018	XP_020867231.1	AL1G19210
OG0010019	XP_002888405.1	AL2G22090
OG0010020	XP_002889716.1	AL1G19260
OG0010021	XP_020870849.1	AL1G19280
OG0010022	XP_020867301.1	AL1G19500
OG0010023	XP_020870653.1	nbis-gene-222
OG0010023	XP_002884411.1	AL3G13600
OG0010024	XP_002892499.1	AL1G19810
OG0010025	XP_002889746.2	AL1G19880
OG0010026	XP_020868945.1	AL1G66650
OG0010027	XP_020869902.1	AL1G20050
OG0010028	XP_002889757.1	AL1G20060
OG0010030	XP_020870799.1	AL1G21500
OG0010031	XP_020870807.1	AL1G21510
OG0010032	XP_002889823.1	AL1G21520
OG0010033	XP_002892595.1	AL1G21660
OG0010034	XP_002892597.1	AL1G21690
OG0010035	XP_020870710.1	AL1G21820
OG0010036	XP_020868541.1	AL1G21850
OG0010037	XP_020874333.1	AL7G39320
OG0010038	XP_020870433.1	AL1G22120
OG0010039	XP_020870619.1	AL1G22180
OG0010040	XP_002892642.1	AL1G22480
OG0010041	XP_020866057.1	AL1G22490
OG0010042	XP_020870712.1	AL1G22630
OG0010043	XP_020869929.1	AL1G22710
OG0010044	XP_020891306.1	AL2G14210
OG0010045	XP_002889891.2	AL1G22860
OG0010046	XP_020869317.1	AL1G23000
OG0010047	XP_002889897.2	AL1G23010
OG0010048	XP_020869797.1	AL1G23110
OG0010049	XP_002892677.1	AL1G23420
OG0010050	XP_002889930.1	AL1G23680
OG0010051	XP_020870760.1	AL1G24580
OG0010052	XP_002889978.1	AL1G24630
OG0010053	XP_002892724.1	AL1G24670
OG0010054	XP_002889997.1	AL1G24980
OG0010055	XP_020867538.1	AL1G25100
OG0010056	XP_020868218.1	AL1G25530
OG0010057	XP_002892778.1	AL1G25700
OG0010058	XP_020869725.1	AL1G25920
OG0010059	XP_002892780.1	AL1G25780
OG0010060	XP_002892794.1	AL1G26080
OG0010061	XP_002892796.1	AL1G26110
OG0010062	XP_020867067.1	AL1G26150
OG0010063	XP_020884536.1	AL4G19120
OG0010064	XP_020868994.1	AL1G26600
OG0010065	XP_020868587.1	AL1G27030
OG0010066	XP_020868588.1	AL1G27050
OG0010067	XP_002890083.1	AL1G27070
OG0010068	XP_020867283.1	AL1G27110
OG0010069	XP_020866383.1	AL1G27330
OG0010070	XP_002892866.1	AL1G27530
OG0010071	XP_002892868.1	AL1G27560
OG0010072	XP_002892873.1	AL1G27680
OG0010073	XP_020870107.1	AL1G27770
OG0010074	XP_020867563.1	AL1G28130
OG0010075	XP_002892892.1	AL1G28190
OG0010076	XP_020869372.1	AL1G28450
OG0010077	XP_002890161.1	AL1G28490
OG0010078	XP_020868846.1	AL1G28510
OG0010079	XP_020866011.1	AL1G28670
OG0010080	XP_020869105.1	AL1G28700
OG0010081	XP_020865831.1	AL1G28760, nbis-gene-3
OG0010082	XP_020867454.1	AL1G29050
OG0010083	XP_020867096.1	AL1G29310
OG0010084	XP_020868944.1	AL1G29370
OG0010085	XP_002892948.1	AL1G29650
OG0010087	XP_002892962.2	AL1G29990
OG0010088	XP_020869031.1	AL1G30560
OG0010089	XP_020869881.1	AL1G30600
OG0010089	XP_020869049.1	AL1G30590
OG0010090	XP_002890268.1	AL1G30680
OG0010091	XP_020867084.1	AL1G30890
OG0010092	XP_002890286.1	AL1G31020
OG0010093	XP_020867623.1	AL1G31070
OG0010094	XP_020867615.1	AL1G31120
OG0010095	XP_020867391.1	AL1G31210
OG0010096	XP_002893022.1	AL1G31470
OG0010097	XP_002893033.1	AL1G31790
OG0010098	XP_020866500.1	AL1G31850
OG0010099	XP_020868102.1	AL1G32020
OG0010100	XP_020867722.1	AL1G32190
OG0010101	XP_020870085.1	AL1G32230
OG0010102	XP_002893057.1	AL1G32360
OG0010103	XP_020870163.1	AL1G32420
OG0010104	XP_020867749.1	AL1G32520
OG0010105	XP_020867392.1	AL1G32650
OG0010106	XP_020870430.1	AL1G32680
OG0010107	XP_020866481.1	AL1G32710
OG0010108	XP_020866483.1	AL1G32720
OG0010109	XP_020869772.1	AL1G33020
OG0010110	XP_020869773.1	AL1G33030
OG0010111	XP_020866685.1	AL1G33600
OG0010112	XP_020870744.1	AL1G33870
OG0010113	XP_002893134.1	AL1G33880
OG0010114	XP_002893147.1	AL1G34060
OG0010115	XP_020870759.1	AL1G34140
OG0010116	XP_002894028.2, XP_020866420.1	AL1G35420
OG0010117	XP_002893207.1	AL1G35440
OG0010118	XP_020867952.1	AL1G35460
OG0010119	XP_020881066.1	AL5G10720
OG0010120	XP_002890505.1	AL1G35710
OG0010121	XP_020867351.1	AL1G36150
OG0010122	XP_020870983.1	AL1G36240
OG0010123	XP_002893246.2	AL1G36250
OG0010124	XP_002893254.1	AL1G36530
OG0010125	XP_020869169.1	AL1G36660
OG0010126	XP_002887401.1	AL2G31540
OG0010127	XP_002888851.1	AL2G31470
OG0010128	XP_002887395.1	AL2G31450
OG0010129	XP_002888841.1	AL2G31220
OG0010130	XP_020865957.1	AL2G30120
OG0010131	XP_002887310.1	AL2G29960
OG0010132	XP_002887304.2	AL2G29890
OG0010133	XP_020891125.1	AL2G29800
OG0010134	XP_020865903.1	AL2G29790
OG0010135	XP_020891150.1	AL2G29780
OG0010136	XP_002888771.2	AL2G29680
OG0010137	XP_002888763.1	AL2G29580
OG0010138	XP_002887288.1	AL2G29530
OG0010139	XP_020891771.1	AL2G29240
OG0010140	XP_020868150.1	AL1G47610
OG0010141	XP_002877272.1	AL5G21360
OG0010142	XP_020891142.1	AL8G18770
OG0010144	XP_002887973.1	AL2G12340
OG0010145	XP_002886441.1	AL2G12580
OG0010146	XP_020890578.1	AL2G12590
OG0010147	XP_020891587.1	AL2G13230
OG0010148	XP_002886475.1	AL2G13590
OG0010149	XP_002893764.1	AL1G47750
OG0010150	XP_020890088.1	AL2G14540
OG0010151	XP_002888080.1	AL2G14630
OG0010152	XP_020890084.1	AL2G14660
OG0010153	XP_020890122.1	AL2G14990
OG0010154	XP_002886553.1	AL2G15050
OG0010155	XP_020890081.1	AL2G15090
OG0010156	XP_002886573.1	AL2G15530
OG0010157	XP_002888126.1	AL2G15920
OG0010158	XP_020890104.1	AL2G15950
OG0010159	XP_002886634.1	AL2G16490
OG0010160	XP_020890497.1	AL2G16630
OG0010161	XP_020890168.1	AL2G16710
OG0010162	XP_020890290.1	AL2G17120
OG0010163	XP_020890294.1	AL2G17340
OG0010164	XP_002888216.2	AL2G17800
OG0010165	XP_020865585.1	AL2G17850
OG0010167	XP_002872905.2	nbis-gene-1671
OG0010168	XP_020890872.1	AL2G18180
OG0010169	XP_002886704.1	AL2G18080
OG0010170	XP_002894676.1	AL1G67160
OG0010171	XP_020872068.1	AL7G40010
OG0010172	XP_002887921.1	AL2G10970
OG0010173	XP_020891690.1	AL2G10480
OG0010174	XP_020889951.1	AL2G10450
OG0010175	XP_020877532.1	AL6G41870
OG0010176	XP_002865171.1	AL8G11690
OG0010177	XP_002865162.1	AL8G11560
OG0010178	XP_002863389.1	AL8G11540
OG0010179	XP_002863326.1	AL8G10270
OG0010180	XP_020884195.1	AL8G10260
OG0010181	XP_020891092.1	AL8G14800
OG0010182	XP_002863549.1	AL8G14840
OG0010183	XP_020871193.1	AL8G18440
OG0010184	XP_002863566.1	AL8G15270
OG0010185	XP_002865365.1	AL8G15380
OG0010186	XP_002869728.2	AL7G28970
OG0010187	XP_020876360.1	AL6G48560
OG0010188	XP_002867412.2	AL7G23070
OG0010189	XP_020872537.1	AL7G22660
OG0010190	XP_002869408.1	AL7G22420
OG0010191	XP_020875298.1	AL7G15250
OG0010192	XP_002894133.1	AL1G55510
OG0010193	XP_020868445.1	AL1G55760
OG0010194	XP_020866597.1	AL1G55860
OG0010195	XP_002891472.1	AL1G55890
OG0010196	XP_020870906.1	AL1G56310
OG0010197	XP_020891435.1	AL2G34840
OG0010198	XP_020891094.1	AL2G34820
OG0010199	XP_020872523.1	AL7G10160
OG0010200	XP_020872525.1	AL7G10170
OG0010201	XP_020874960.1	AL7G44710, AL7G10300
OG0010202	XP_020873875.1	AL7G10390
OG0010203	XP_020872408.1	AL7G10510
OG0010204	XP_020872407.1	AL7G10520
OG0010205	XP_002866826.1	AL7G10860
OG0010206	XP_002868892.1	AL7G11130
OG0010207	XP_020872550.1	AL7G11250
OG0010208	XP_002878571.1	AL4G11040
OG0010208	XP_020872778.1	AL7G11340
OG0010209	XP_020875148.1	AL7G11470
OG0010210	XP_020875651.1	AL7G11940
OG0010211	XP_002866884.1	AL7G12010
OG0010212	XP_020874393.1	AL7G12070
OG0010213	XP_020872230.1	AL7G12120
OG0010214	XP_002868943.1	AL7G12450
OG0010215	XP_020875560.1	AL7G12570
OG0010216	XP_020872847.1	AL7G12580
OG0010217	XP_020872846.1	AL7G12600
OG0010218	XP_002868962.1	AL7G12860
OG0010219	XP_020875486.1	AL7G12950
OG0010220	XP_002868977.2	AL7G13110
OG0010221	XP_020872732.1	AL7G13250
OG0010221	XP_020881400.1	AL5G41240
OG0010222	XP_020874667.1	AL7G13360
OG0010223	XP_002868994.1	AL7G13540
OG0010225	XP_002869002.1	AL7G13740
OG0010226	XP_020876182.1	AL9U12240
OG0010227	XP_002869025.1	AL7G14250
OG0010228	XP_002869031.1	AL7G14500
OG0010229	XP_020873066.1	AL7G14530
OG0010230	XP_020873208.1	AL7G14720
OG0010232	XP_020873010.1	AL7G15270
OG0010233	XP_020874956.1	AL7G15340
OG0010234	XP_020874502.1	AL7G15950
OG0010235	XP_002869102.1	AL7G16010
OG0010236	XP_002867093.1	AL7G16160
OG0010237	XP_002869116.1	AL7G16280
OG0010238	XP_020872645.1	AL7G16470
OG0010239	XP_020872145.1	AL7G16540
OG0010240	XP_002869141.1	AL7G16700
OG0010241	XP_020875514.1	AL7G16740
OG0010242	XP_020875513.1	AL7G16750
OG0010243	XP_020873110.1	AL7G16800
OG0010244	XP_020870570.1	AL1G40360
OG0010245	XP_020875244.1	AL7G16820
OG0010246	XP_020873186.1	AL7G18520
OG0010247	XP_020875743.1	AL7G19170
OG0010248	XP_020872745.1	AL7G19110
OG0010249	XP_002869254.1	AL7G19040
OG0010250	XP_002869232.1	AL7G18760
OG0010251	XP_002867218.1	AL7G18740
OG0010252	XP_002869224.1	AL7G18490
OG0010253	XP_002867201.1	AL7G18450
OG0010254	XP_020875432.1	AL7G18370
OG0010255	XP_002867186.2	AL7G18230
OG0010256	XP_002869218.1	AL7G18210
OG0010257	XP_002869215.1	AL7G18160
OG0010258	XP_002869214.1	AL7G18150
OG0010259	XP_002869213.1	AL7G18130
OG0010260	XP_002867181.1	AL7G18120
OG0010261	XP_002869204.2	AL7G17900
OG0010262	XP_002865800.1	AL8G24630
OG0010263	XP_002869183.1	AL7G17460
OG0010264	XP_020874468.1	AL7G17380
OG0010265	XP_020873160.1	AL7G19720
OG0010266	XP_002867277.1	AL7G20150
OG0010267	XP_020872059.1	AL7G20260
OG0010268	XP_002869316.1	AL7G20290
OG0010269	XP_020871143.1	AL343U10010
OG0010270	XP_020873892.1	AL7G20500
OG0010271	XP_002869322.1	AL7G20510
OG0010272	XP_020872386.1	AL7G20630
OG0010273	XP_020874759.1	AL7G20700
OG0010274	XP_020872221.1	AL7G21220
OG0010275	XP_020872120.1	AL7G21260
OG0010276	XP_002883477.1	AL3G39020
OG0010277	XP_020887633.1	AL3G39110
OG0010278	XP_002888889.1	AL2G32400
OG0010279	XP_002888885.1	AL2G32280
OG0010280	XP_002888867.1	AL2G31980
OG0010281	XP_002887423.1	AL2G31900
OG0010282	XP_002888863.1	AL2G31890
OG0010283	XP_002887411.1	AL2G31710
OG0010284	XP_020891258.1	AL2G31660
OG0010285	XP_020891236.1	AL2G31550
OG0010286	XP_020868161.1	AL1G38390
OG0010287	XP_002893358.1	AL1G38430
OG0010288	XP_002893370.1	AL1G38610, AL1G41130
OG0010289	XP_020868966.1	AL1G38960
OG0010290	XP_020869573.1	AL1G39270
OG0010291	XP_002890671.1	AL1G39560
OG0010292	XP_002890723.1	AL1G40740
OG0010293	XP_020879162.1	AL6G50860
OG0010294	XP_020879158.1	AL6G50870
OG0010295	XP_020876316.1	AL6G50920
OG0010296	XP_020876320.1	AL6G50940
OG0010297	XP_002872852.1	AL6G51000
OG0010298	XP_020878397.1	AL6G51110
OG0010299	XP_002874943.1	AL6G51180
OG0010300	XP_002874945.1	AL6G51220
OG0010301	XP_020876300.1	AL6G51450
OG0010302	XP_020879744.1	AL5G18030
OG0010303	XP_002874964.1	AL6G51640
OG0010304	XP_002872891.1	AL6G51900
OG0010305	XP_002874978.1	AL6G51910
OG0010306	XP_020879030.1	AL6G51950
OG0010307	XP_020877997.1	AL6G52340
OG0010308	XP_002872898.1	AL6G52130
OG0010309	XP_002872896.1	AL6G52090
OG0010310	XP_020879298.1	AL6G52730
OG0010311	XP_020878087.1	AL6G52790
OG0010312	XP_020878086.1	AL6G52800
OG0010313	XP_002875021.1	AL6G52840
OG0010314	XP_020878064.1	AL6G52890
OG0010315	XP_020879440.1	AL6G52990
OG0010316	XP_020878834.1	AL6G53180
OG0010317	XP_020873045.1	AL7G21050
OG0010318	XP_020884337.1	AL4G10120
OG0010319	XP_020883422.1	AL4G10160
OG0010320	XP_020867104.1	AL1G40450
OG0010321	XP_002890685.1	AL1G39770
OG0010322	XP_002890677.1	AL1G39650
OG0010323	XP_020868340.1	AL1G51340
OG0010324	XP_002867567.1	nbis-gene-1776
OG0010325	XP_020873765.1	AL7G25870
OG0010326	XP_020873255.1	AL7G25860
OG0010327	XP_002869580.1	AL7G25720
OG0010328	XP_020872368.1	AL7G25480
OG0010329	XP_002869564.1	AL7G25340
OG0010330	XP_002867503.1	AL7G25320
OG0010331	XP_020874347.1	AL7G25290
OG0010332	XP_002867499.1	AL7G25250
OG0010333	XP_020872775.1	AL7G24520
OG0010334	XP_002867461.1	AL7G24400
OG0010335	XP_020874474.1	AL7G24340
OG0010336	XP_020875579.1	AL7G24310
OG0010337	XP_002875227.2	nbis-gene-1200
OG0010338	XP_002876893.1	AL5G13520
OG0010339	XP_020881651.1	AL5G13620
OG0010340	XP_002875265.1	AL5G14120
OG0010341	XP_002889393.1	nbis-gene-24
OG0010342	XP_020869149.1	AL1G14200
OG0010342	XP_020869459.1	nbis-gene-25
OG0010343	XP_020869871.1	AL1G32330
OG0010344	XP_020870741.1	AL1G33930
OG0010345	XP_020867347.1, XP_002893038.1	AL1G37050, AL1G31860
OG0010346	XP_020866477.1	AL1G39890
OG0010347	XP_002893430.1	AL1G40110
OG0010349	XP_020880083.1	AL5G38170
OG0010350	XP_002894301.1	AL1G59020
OG0010351	XP_002885046.1	AL3G26840
OG0010352	XP_020866324.1	AL1G62570
OG0010353	XP_002886552.1	AL2G15040
OG0010353	XP_002884261.1	AL3G10370
OG0010354	XP_002886618.1	AL2G16250
OG0010355	XP_020877633.1, XP_020883451.1, XP_020885652.1, XP_020872521.1, XP_020884695.1, XP_020890719.1	AL7G29800
OG0010355	XP_020877631.1	AL4G14290
OG0010355	XP_020873723.1, XP_020871077.1, XP_020884124.1	AL6G37760
OG0010356	XP_020884214.1	AL4G42210
OG0010356	XP_020875552.1	AL7G53040
OG0010357	XP_020890991.1	nbis-gene-885, AL2G18310
OG0010358	XP_020875174.1	AL7G22770
OG0010358	XP_002869424.2	AL7G22780
OG0010359	XP_020865693.1	AL2G22500
OG0010359	XP_020887006.1	AL3G14010
OG0010360	XP_020865809.1	AL2G27050
OG0010361	XP_020890976.1	AL2G32140
OG0010362	XP_020891508.1	AL2G33430
OG0010363	XP_002884662.1	AL3G19020
OG0010365	XP_020888695.1	AL3G26090
OG0010366	XP_002887000.1	AL4G21920
OG0010366	XP_020879060.1	AL6G42930
OG0010366	XP_002894472.1	AL3G44800, AL1G52330, AL234U10010, AL1G62700
OG0010367	XP_002890732.1	AL1G40970
OG0010368	XP_020883580.1	AL4G11710
OG0010369	XP_020885636.1	AL4G11970
OG0010371	XP_020885202.1	AL4G15100
OG0010372	XP_020885197.1	AL4G15210
OG0010373	XP_020883679.1	AL4G16130
OG0010374	XP_002878853.2	AL4G16850
OG0010375	XP_002867431.1	AL7G23540
OG0010375	XP_020875158.1	AL7G23510
OG0010375	XP_020875157.1	AL7G23520
OG0010376	XP_002881236.2	AL4G28070
OG0010377	XP_002881418.2	AL4G32010
OG0010378	XP_020885506.1	AL4G36130
OG0010379	XP_020873469.1, XP_020884013.1	AL4G36770, AL380U10020
OG0010380	XP_020882991.1, XP_020868202.1	AL1G20360
OG0010380	XP_002881842.1	AL4G40820
OG0010381	XP_002882096.1	AL4G46430
OG0010382	XP_020880019.1	AL5G11040
OG0010383	XP_002876935.1	AL5G14510
OG0010384	XP_020882520.1	AL5G17080
OG0010385	XP_002875475.1	AL5G18600
OG0010386	XP_020880959.1	AL5G28090
OG0010387	XP_002877724.1	AL5G30160
OG0010388	XP_020880458.1	AL5G34160
OG0010389	XP_002876404.2	AL5G38720
OG0010390	XP_020878712.1	AL6G24780
OG0010391	XP_002874103.1	AL6G34050
OG0010392	XP_020877765.1	AL6G40970
OG0010393	XP_020877251.1	AL6G44580
OG0010394	XP_002869443.1	AL7G23160
OG0010395	XP_002869646.1	AL7G27130
OG0010396	XP_002869730.1	AL7G29030
OG0010397	XP_002869807.1	AL7G30860
OG0010397	XP_020881457.1	AL8G12510
OG0010398	XP_002869833.1	AL7G31430
OG0010399	XP_020872406.1	AL7G34560
OG0010400	XP_002870114.2	AL7G37450
OG0010401	XP_002868015.1	nbis-gene-1824
OG0010401	XP_002868143.1	nbis-gene-1842
OG0010402	XP_002868296.1	AL7G42000
OG0010404	XP_002870876.1	AL7G52900
OG0010404	XP_002870880.2	AL7G52980
OG0010404	XP_002870878.1	AL7G52950
OG0010405	XP_020872321.1	AL7G48040
OG0010406	XP_020874451.1	AL7G47680
OG0010407	XP_020871843.1	AL8G18050
OG0010408	XP_020875173.1, XP_020877820.1	AL25U10020, AL8G19580
OG0010409	XP_020869938.1	AL8G21260
OG0010410	XP_002865681.1	AL8G21990
OG0010411	XP_020881199.1	nbis-gene-2074
OG0010412	XP_002865729.1	AL8G22970
OG0010413	XP_002865764.1	AL8G23870
OG0010414	XP_020871186.1	AL8G25760
OG0010415	XP_002865886.1	AL8G26320
OG0010416	XP_020872349.1	AL205U10020
OG0010416	XP_020868578.1	AL8G26970
OG0010417	XP_002864200.1	AL8G27420
OG0010418	XP_002864506.1	AL8G33190
OG0010419	XP_020889340.1	AL8G44980
OG0010420	XP_002877089.2	AL5G17550
OG0010421	XP_002881411.1	AL4G31830
OG0010422	XP_002893463.2	AL1G40780
OG0010423	XP_020871083.1	AL8G27900
OG0010424	XP_020872232.1	AL7G44900
OG0010426	XP_020882363.1	nbis-gene-1250
OG0010427	XP_020888969.1	nbis-gene-995, AL3G44730
OG0010436	XP_020876000.1	AL6G14760
OG0010436	XP_002873215.1	AL6G15530
OG0010437	XP_020875104.1	AL7G21650
OG0010438	XP_002867342.1	AL7G21620
OG0010439	XP_002869371.2	AL7G21590
OG0010440	XP_020874794.1	AL7G21560
OG0010441	XP_002869366.1	AL7G21490
OG0010442	XP_020872112.1	AL7G21400
OG0010443	XP_002878889.1	AL4G17530
OG0010444	XP_020873421.1	AL7G30380
OG0010445	XP_002877497.1	AL5G25520
OG0010446	XP_002877621.1	AL5G28060
OG0010447	XP_002875911.1	AL5G27980
OG0010448	XP_020880354.1	AL5G27880
OG0010449	XP_002877609.2	AL5G27800
OG0010450	XP_020881712.1	AL5G27300
OG0010451	XP_020880368.1	AL5G27490
OG0010452	XP_020880342.1	AL5G27530
OG0010453	XP_002877575.1	AL5G27100
OG0010454	XP_002876732.1	AL5G10080
OG0010455	XP_020882320.1	AL5G10800
OG0010456	XP_020881072.1	AL5G11490
OG0010457	XP_002876787.2	AL5G11090
OG0010458	XP_020881530.1	AL5G10950
OG0010459	XP_020874712.1	AL7G49390
OG0010460	XP_002868660.1	AL7G49550
OG0010461	XP_020877779.1	AL6G29260
OG0010462	XP_020877803.1	AL6G28930
OG0010463	XP_002873854.1	AL6G28880
OG0010464	XP_020876663.1	AL6G28710
OG0010465	XP_020878402.1	AL6G28620
OG0010466	XP_020878075.1	AL6G28580
OG0010467	XP_020876268.1	AL6G28470
OG0010468	XP_002873823.1	AL6G28410
OG0010469	XP_020878885.1	AL6G28270
OG0010470	XP_002889623.1	AL1G16930
OG0010471	XP_002871733.2	AL6G27730
OG0010472	XP_020876803.1	AL6G27680
OG0010473	XP_002873781.1	AL6G27470
OG0010474	XP_002873780.1	AL6G27440
OG0010475	XP_002873772.1	AL6G27310
OG0010476	XP_020879540.1	AL6G27060
OG0010477	XP_002873760.2	AL6G27040
OG0010478	XP_020877232.1	AL6G26940
OG0010479	XP_020884733.1	AL4G30730
OG0010480	XP_002873724.1	AL6G26300
OG0010481	XP_020876583.1	AL6G26280
OG0010482	XP_020879205.1	AL6G25920
OG0010483	XP_020877570.1	AL6G25680
OG0010485	XP_020877101.1	AL6G25500
OG0010486	XP_020878699.1	AL6G25470
OG0010487	XP_020879026.1	AL6G25410
OG0010488	XP_002868324.1	AL7G42490
OG0010489	XP_020876225.1	AL6G25060
OG0010490	XP_020877839.1	AL6G24550
OG0010491	XP_002871586.1	AL6G24430
OG0010492	XP_002873628.1	AL6G24420
OG0010494	XP_020878098.1	AL6G24310
OG0010495	XP_020878097.1	AL6G24270
OG0010496	XP_002873616.1	AL6G24140
OG0010497	XP_002871568.1	AL6G24080
OG0010498	XP_002871552.1	AL6G23810
OG0010499	XP_020878359.1	AL6G23800
OG0010500	XP_020876649.1	AL6G23590
OG0010501	XP_020879131.1	AL6G23460
OG0010502	XP_020871312.1	AL8G28850
