Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_Rawat
OG0007009	As006G145910	AL4G33630
OG0007010	As006G146000, As006G145980, As006G146010	AL4G33710
OG0007011	As006G146070	AL4G33760, AL4G34370
OG0007012	As006G146180	AL4G33830
OG0007013	As006G146970	AL4G34830
OG0007014	As006G147100	AL4G35320
OG0007015	As006G148290	AL4G35780
OG0007016	As007G152300	AL1G27980
OG0007017	As007G152320	AL2G40760
OG0007018	As007G152820	AL1G28450
OG0007019	As007G152840	AL3G24410
OG0007020	As007G153260	AL1G29020
OG0007022	As007G153530	AL1G29310
OG0007023	As010G241460, As007G153710	AL2G31990
OG0007024	As007G154030	AL1G29950
OG0007025	As007G154110, As007G154050	AL1G30030
OG0007026	As007G154310	AL1G30200
OG0007027	As007G154400	AL1G30310
OG0007028	As007G155040	AL1G31050
OG0007029	As007G155400	AL1G31550
OG0007030	As007G155410	AL1G31560
OG0007031	As007G155580	AL1G31790
OG0007032	As007G155590	AL1G31800
OG0007033	As007G155860	AL5G16560, AL1G32290
OG0007034	As007G155960	AL1G32420
OG0007035	As007G156760	AL1G33640
OG0007036	As007G156930, As010G231390	AL1G33910
OG0007037	As007G157330	AL1G34510
OG0007038	As007G157890	AL1G35080
OG0007039	As007G157990	AL1G35150, AL1G35290
OG0007040	As007G158110	AL1G35500
OG0007041	As007G158120	AL1G35540, AL2G17640
OG0007042	As010G234650, As007G158750	AL2G31450
OG0007043	As007G159580	AL1G37210
OG0007044	As007G159730	nbis-gene-144, AL1G37530
OG0007045	As007G159830, As010G233240	AL1G37740
OG0007046	As007G160090	AL1G38240
OG0007047	As007G161190	AL1G39760
OG0007048	As007G161740	AL1G40340
OG0007049	As007G161880	AL1G40500
OG0007050	As007G162770	AL7G28910
OG0007051	As007G163030	AL7G28660
OG0007052	As007G163140	AL7G28520
OG0007053	As007G164680	AL8G25880
OG0007054	As007G177630, As007G177120	AL7G25070
OG0007055	As007G178080	AL4G14860
OG0007056	As007G179390	AL4G13530
OG0007057	As007G179500	AL4G34990
OG0007058	As007G179940	AL4G12320
OG0007059	As007G180460	AL4G11660
OG0007060	As007G182010	AL4G10140
OG0007061	As007G182190	AL8G20810
OG0007062	As008G182850	AL1G26510
OG0007063	As008G183210, As008G183220	AL1G26110
OG0007064	As008G183500	AL1G25730
OG0007065	As008G184150	AL1G24880
OG0007066	As008G184310	AL1G24680
OG0007067	As008G184370	AL1G24590
OG0007068	As008G184760	AL1G23790
OG0007069	As008G184820	AL1G23740
OG0007070	As008G185510	AL1G23040
OG0007072	As008G186290	AL1G22220
OG0007073	As008G186320	AL1G22190
OG0007074	As008G186540	AL1G22040
OG0007075	As008G186560	AL1G22020
OG0007076	As008G187300	AL1G21070
OG0007077	As008G187760	AL1G20720
OG0007078	As008G188030	AL1G20290
OG0007079	As008G188040	AL1G20280
OG0007080	As008G188520	AL1G19760
OG0007081	As008G189030	AL1G19440
OG0007082	As008G189480	AL1G19230
OG0007083	As008G191030	AL1G18690
OG0007084	As008G192230	AL4G45920
OG0007085	As008G192660	AL1G17630, AL1G17640
OG0007086	As008G192910	AL1G17460
OG0007087	As008G192930	AL1G17440
OG0007088	As008G193230	AL1G16920
OG0007089	As008G193280	AL8G25080
OG0007091	As008G193950	AL1G16190
OG0007092	As008G194130, As008G194120	AL1G16030
OG0007093	As008G194500	AL1G15630
OG0007094	As008G195580	AL1G14670
OG0007095	As008G195810	AL1G14480
OG0007096	As008G195920	AL1G14370
OG0007097	As008G195990	AL1G14270
OG0007098	As008G196030	AL1G14230
OG0007099	As008G196320	AL1G13880
OG0007100	As008G196750	AL1G13540, AL1G13000
OG0007101	As008G197010	AL1G13430
OG0007102	As008G197520	AL1G12440
OG0007103	As008G197540	AL1G12410
OG0007104	As008G197590	AL1G12340
OG0007105	As008G197600	nbis-gene-1161, AL1G12300
OG0007106	As008G198770	AL1G10920
OG0007107	As008G199340	AL5G31960
OG0007108	As008G199480	AL1G10200
OG0007109	As009G200050	AL6G25070
OG0007110	As009G200070	AL6G25040
OG0007111	As009G200090	AL8G44270, AL6G25020
OG0007112	As009G200190	AL6G24880
OG0007113	As009G200580	nbis-gene-1517
OG0007114	As009G201200	AL6G26230
OG0007115	As009G201420	AL6G26030, AL6G26010
OG0007116	As009G201470	AL6G26520
OG0007117	As009G202360	AL6G27320
OG0007118	As009G202540	AL7G52670, AL7G52680
OG0007119	As009G202550	AL6G27560
OG0007120	As009G202930	AL6G27950
OG0007121	As009G203160	AL6G28310
OG0007122	As009G203260	AL6G28500
OG0007123	As009G204540	AL6G29950
OG0007124	As009G205050	AL6G30630
OG0007125	As009G205370	AL6G38320
OG0007126	As009G205450	AL6G38460
OG0007127	As009G205890	AL6G39000
OG0007128	As009G206330	AL6G39560
OG0007129	As009G207190	AL6G40840
OG0007130	As009G207530	AL8G23180
OG0007131	As009G208100	AL8G22220
OG0007132	As009G208300	AL8G22070
OG0007133	As009G209190	AL8G21150
OG0007134	As009G209550	AL8G21710
OG0007135	As009G210540	AL6G24120
OG0007136	As009G211320	AL6G17150
OG0007137	As009G211560	AL6G16870
OG0007138	As009G211900	AL6G16660
OG0007139	As009G212000	AL6G24100
OG0007140	As009G212180	nbis-gene-1513
OG0007141	As009G212340	AL6G16360
OG0007142	As009G213140	AL6G15450
OG0007143	As009G214010	AL6G14860
OG0007144	As009G214070	AL6G14560
OG0007145	As009G214130	AL6G14630
OG0007146	As009G214570	AL6G14130
OG0007147	As009G214770	AL6G30960, AL6G30950
OG0007148	As009G214980	AL6G37780
OG0007149	As009G215010	AL6G37680
OG0007150	As009G215080	AL6G37660
OG0007151	As009G215570	AL6G36720
OG0007152	As009G215590	AL6G36670, AL6G36680
OG0007153	As009G215790	AL6G36450
OG0007154	As009G215800	AL6G36440
OG0007155	As009G216380	AL6G35680
OG0007156	As009G216500	AL6G35480
OG0007157	As009G216510	AL6G35470
OG0007158	As010G222330, As009G216880	AL5G28400
OG0007159	As009G216960	AL6G34910
OG0007160	As009G217050	AL6G34800
OG0007161	As009G217200	AL6G34560
OG0007162	As009G217210	AL6G34550
OG0007163	As009G217590	AL8G37500
OG0007164	As009G217610	AL8G37540
OG0007165	As009G217670	AL8G37610
OG0007166	As009G217870	AL8G37890
OG0007167	As009G218150	AL8G38230
OG0007168	As009G218880	AL8G39300
OG0007169	As009G218970	AL8G39390
OG0007170	As009G219040	AL8G39480
OG0007171	As009G219190	AL8G39740
OG0007172	As009G219270	AL5G27350
OG0007172	As010G223100	AL5G27360
OG0007173	As009G219390	AL8G39980
OG0007174	As009G219640	AL8G34990
OG0007175	As010G220670	AL5G31220
OG0007176	As010G221470	AL5G29770
OG0007178	As010G223040	AL5G27480
OG0007181	As010G224110	AL5G26160
OG0007182	As010G224850	AL5G24740
OG0007183	As010G225630	AL5G23600
OG0007184	As010G225690	AL5G23530, AL5G23500
OG0007185	As010G226260	AL5G22480
OG0007186	As010G226490	AL5G21900
OG0007187	As010G228540, As010G229140	AL2G26050
OG0007188	As010G228820	AL2G25990
OG0007190	As010G232180	AL3G19890
OG0007191	As010G232470	AL2G28500
OG0007192	As010G232670	AL2G28710
OG0007193	As010G232810	AL2G27000
OG0007194	As010G232960	AL22U10090
OG0007195	As010G232970	AL22U10080
OG0007196	As010G233010	AL2G29210
OG0007198	As010G233840	AL2G30450
OG0007199	As010G233930	AL2G30570
OG0007200	As010G234090	AL2G30790
OG0007201	As010G234560	AL2G31350
OG0007202	As010G234780	AL2G31550
OG0007203	As010G234820	AL6G31380
OG0007204	As010G235140	AL2G38660
OG0007206	As010G235790	AL378U10010, AL8G13830, AL8G13760, AL8G13870
OG0007207	As010G236130	AL2G37530
OG0007208	As010G236220	AL2G37430
OG0007209	As010G236700	AL2G36900
OG0007210	As010G237060	AL2G36530
OG0007211	As010G237260	AL2G36330
OG0007212	As010G237440	AL2G36110
OG0007213	As010G237760	AL2G35720
OG0007214	As010G237790	AL2G35690
OG0007215	As010G238570	AL2G34860
OG0007216	As010G238650	AL2G34790
OG0007217	As010G238710	AL2G34720
OG0007218	As010G238730	AL2G34680
OG0007219	As010G239040	AL2G34350
OG0007220	As010G239790	AL2G33570
OG0007221	As010G240490	AL2G32980
OG0007222	As010G240770	AL4G47720
OG0007223	As010G240990	AL2G32470
OG0007224	As010G241380	AL2G32060
OG0007225	As010G241640	AL2G38740
OG0007226	As010G242070	AL262U10020, AL2G39090
OG0007227	As010G242180	AL3G21930
OG0007228	As010G242660	AL2G39880
OG0007229	As010G242750	AL2G39990
OG0007230	As010G243030	AL2G40290
OG0007231	As010G243260	AL1G28150, AL1G32490
OG0007232	As010G243280, As010G244230	AL2G41500
OG0007233	As010G243350	AL2G40570
OG0007234	As010G243400	AL2G40620
OG0007235	As010G243450	AL2G40740
OG0007236	As010G243600	AL4G18160, AL2G40890
OG0007237	As010G243650	AL1G27930
OG0007238	As010G243970	AL1G33500, AL2G41240
OG0007239	As010G244020	AL2G41300, AL3G17940
OG0007240	As011G244850	AL3G24720
OG0007241	As011G244870	AL3G24750
OG0007242	As011G245550	AL3G25500
OG0007243	As011G245680	AL3G25780, AL180U10020
OG0007244	As011G245810	AL3G26010
OG0007245	As011G246240	AL3G26410
OG0007246	As011G246290	AL3G26470
OG0007247	As011G246770	AL3G26930
OG0007248	As011G247550	AL3G27870
OG0007249	As011G247690	AL3G28090
OG0007250	As011G247750	AL3G28180
OG0007251	As011G247960	AL3G28420
OG0007252	As011G248010	AL3G28470
OG0007253	As011G248230	AL810U10030, AL3G28700
OG0007254	As011G248240, As012G270780	AL3G28710
OG0007255	As011G248310	AL3G28830
OG0007256	As011G248360	AL3G28890
OG0007257	As011G248680	AL3G31560
OG0007258	As011G249230	AL3G30040
OG0007259	As011G249340	AL3G30230
OG0007260	As011G249560	AL3G30540
OG0007261	As011G249850	AL3G30950
OG0007262	As011G249870	AL3G30970
OG0007263	As011G250000	AL3G31110
OG0007264	As011G250130	AL3G31250
OG0007265	As011G250210	AL3G31340
OG0007266	As011G250540	AL3G31770
OG0007267	As011G250850	AL3G32120
OG0007268	As011G250980	AL3G32240
OG0007269	As011G251360	AL3G32670
OG0007270	As011G251410	AL3G32760
OG0007271	As011G251470	AL3G32830
OG0007272	As011G251570	AL3G32890
OG0007273	As011G251790, As012G272410	AL3G33150
OG0007274	As011G252100	AL3G33640
OG0007275	As011G252500	AL3G33940
OG0007276	As011G253140	AL3G34850
OG0007277	As011G253320	AL3G35200
OG0007278	As011G253400	AL3G35660
OG0007279	As011G253510	AL3G35500
OG0007280	As011G253520	AL3G35480
OG0007281	As011G253590, As012G271280	AL3G35390
OG0007282	As011G254160	AL3G36350
OG0007283	As011G254170	AL3G36380
OG0007284	As011G254290	AL3G36560
OG0007285	As011G254300	AL3G36570
OG0007286	As011G254480	AL3G36790
OG0007287	As011G254580	AL3G36950
OG0007288	As011G254680	AL3G37060
OG0007289	As011G255510	AL3G38310
OG0007290	As011G255640	AL3G38560
OG0007291	As011G255700	AL3G38650
OG0007292	As011G256080	AL3G39090
OG0007293	As011G256180	AL8G20560, AL3G39270
OG0007294	As011G256440	AL3G39850
OG0007295	As011G256640	AL3G40060
OG0007296	As011G260430	AL3G44920
OG0007297	As011G261230	AL4G21890
OG0007298	As011G261850	AL3G44830
OG0007299	As011G262630	nbis-gene-852
OG0007300	As011G263420	AL3G52680
OG0007301	As011G264170	AL3G49970
OG0007302	As011G264340	AL3G50230
OG0007303	As011G264710	AL3G50710
OG0007304	As011G265080	AL3G51340
OG0007305	As011G265680	AL3G53010
OG0007306	As011G265960	AL3G49030
OG0007307	As011G266300	AL3G48650
OG0007308	As011G267100	AL3G53400
OG0007309	As012G267680	AL3G24340
OG0007310	As012G268340	AL1G63600
OG0007311	As012G268730	AL1G63340
OG0007312	As012G268840	AL1G63230
OG0007313	As012G269430	AL1G62470
OG0007314	As012G270580	AL1G60860
OG0007315	As012G270840	AL1G60410
OG0007316	As012G270920	AL1G60240
OG0007317	As012G271320	AL1G59690
OG0007318	As012G271420	AL1G59520
OG0007319	As012G272440	AL1G57590
OG0007320	As012G272970	AL1G56310
OG0007321	As012G273110	AL1G55450
OG0007322	As012G273370	AL1G55760
OG0007323	As012G273780	AL1G55040
OG0007324	As012G273920	AL1G54840
OG0007326	As012G274270	nbis-gene-1173, AL7G38860
OG0007327	As012G274300	AL7G38900
OG0007328	As012G274620	AL7G39340
OG0007329	As012G274940	AL4G30790
OG0007330	As012G274960	AL4G30770
OG0007331	As012G275610	AL3G35760
OG0007332	As012G275630	AL5G32640
OG0007333	As012G275870	AL5G33010
OG0007334	As012G276020	AL5G33200
OG0007335	As012G276040	AL5G33210
OG0007336	As012G276720	AL5G34060
OG0007337	As012G278680	AL5G32280
OG0007338	As012G279050	AL5G32190
OG0007339	As012G279530	AL5G35450
OG0007340	As012G280270	AL5G35690
OG0007341	As012G280940	AL5G36000
OG0007342	As012G281940	AL5G36620
OG0007343	As012G282120	AL7G19290
OG0007344	As012G282270	AL5G37090
OG0007345	As012G282960	AL5G37840
OG0007346	As012G283280	AL5G38230
OG0007347	As012G284950	AL5G40430
OG0007348	As012G284980	AL5G40460
OG0007349	As012G285660	AL5G41640, AL5G41610, AL5G41540
OG0007350	As012G286720	AL5G42910
OG0007351	As012G286820	AL5G43020
OG0007352	As012G287380	AL5G43590
OG0007353	As012G288010	AL5G44680
OG0007354	As012G288070	AL5G29560, AL5G44850
OG0007355	As012G289070	AL5G46030
OG0007413	As001G000150	AL7G24350
OG0007414	As001G000370	AL7G24070
OG0007415	As001G000390	AL7G24050
OG0007416	As001G000570	AL7G23880
OG0007417	As001G000650	AL7G23780
OG0007418	As001G000730	AL7G23670
OG0007419	As001G001370	AL7G22880
OG0007420	As001G001520	AL7G22590
OG0007421	As001G001720	AL7G22420
OG0007422	As001G001890	AL7G22230
OG0007423	As001G002040	AL7G22120
OG0007424	As001G002290	AL7G21880
OG0007425	As001G002640	AL7G21540
OG0007426	As001G003380	AL7G20930
OG0007427	As001G003490	AL7G20790
OG0007428	As001G003640	AL7G20700
OG0007429	As001G003690	AL7G20650
OG0007430	As001G003780	AL7G20550
OG0007431	As001G003800	AL7G20500
OG0007432	As001G003990	AL7G20290
OG0007433	As006G131030, As003G071030, As003G071040, As003G070990, As001G004430, As001G004440, As006G131020, As006G131130	AL7G24620
OG0007434	As001G004660	AL7G19670
OG0007435	As001G004670	AL7G19640
OG0007436	As001G004700	AL7G19600
OG0007437	As001G004730	AL7G19570
OG0007438	As001G004880	AL7G19480
OG0007439	As001G005170	AL7G19220
OG0007440	As001G006410	AL7G19020
OG0007441	As001G009850	AL7G18340
OG0007442	As001G010220	AL7G18450
OG0007443	As001G010250, As001G015350	AL7G18120
OG0007444	As001G010280, As001G015340	AL7G18130
OG0007445	As001G012310	AL7G17680
OG0007446	As001G012840	AL7G17080
OG0007448	As001G013680	AL7G17330
OG0007449	As001G013720	AL7G17360
OG0007450	As001G013760	AL7G17400
OG0007451	As001G014130	AL7G16790
OG0007452	As001G014200, As011G263190	AL7G16740
OG0007453	As001G014260	AL7G16650
OG0007454	As001G014280	AL7G16630
OG0007455	As001G014480	AL7G16430
OG0007456	As001G014770	AL7G16250
OG0007458	As001G016010, As004G079130	AL1G49570
OG0007459	As001G016030	AL1G49550
OG0007460	As001G016440	AL1G46020
OG0007461	As001G016650	AL1G46200
OG0007462	As001G016680	AL1G46250
OG0007464	As001G017540	AL7G37860
OG0007465	As001G017760	AL7G38120
OG0007466	As001G018070	AL7G38550
OG0007467	As001G018240	AL7G38680
OG0007468	As001G018360	AL1G64870
OG0007469	As001G018600	AL1G65130
OG0007470	As001G019110	AL7G40010
OG0007471	As001G019140	AL1G66470
OG0007472	As001G019200	AL6G17760
OG0007473	As001G019690	AL2G18260
OG0007474	As001G020310	AL2G17350
OG0007475	As001G021380	AL2G15450
OG0007476	As001G021500	AL2G15230
OG0007477	As008G186460, As001G021550	AL1G22130
OG0007478	As001G021730	AL2G14630
OG0007479	As001G021870	AL2G14400
OG0007480	As001G021900	AL2G14350
OG0007481	As001G022200	AL5G10010
OG0007482	As001G022300	AL5G10120
OG0007483	As001G022400	AL5G10230
OG0007484	As001G022940, As009G212260	AL5G10940
OG0007485	As001G022980, As008G182690	AL1G26750
OG0007486	As001G023750	AL5G12410
OG0007487	As001G023850	AL5G12640
OG0007488	As001G023910	AL5G12850
OG0007489	As001G024010	AL5G13050
OG0007490	As001G024150	AL5G13280
OG0007491	As001G024210	AL1G31770
OG0007492	As001G024610	AL5G14110
OG0007493	As001G024800	AL5G14360
OG0007494	As001G024930	AL5G14560
OG0007495	As001G025310	AL5G15140
OG0007496	As001G025350	AL5G15190
OG0007497	As001G025690	AL5G15680
OG0007498	As001G025820	AL5G15950
OG0007499	As001G025890	AL5G16020
OG0007501	As001G026080	AL5G16320
OG0007502	As001G026090	AL5G16340
OG0007503	As001G026280	AL5G16660
OG0007504	As001G026630, As001G026650	AL5G17140
OG0007505	As001G027680	AL5G19080
OG0007506	As001G027720	AL5G19120
OG0007507	As001G027870	AL5G19460, AL7G51220
OG0007508	As001G027900	AL5G19600
OG0007509	As001G028100	AL5G20010
OG0007510	As001G028260	AL2G25750
OG0007511	As001G028440	AL2G25380
OG0007512	As001G028570	AL2G25030
OG0007513	As001G029040	AL2G23810
OG0007514	As001G029070	AL2G23740
OG0007515	As001G029280	AL2G22850
OG0007516	As001G029510	AL2G20420
OG0007517	As001G030150	AL6G28880
OG0007518	As001G030360	AL2G10170
OG0007519	As001G030410	AL1G63080
OG0007520	As001G030810	AL2G10890
OG0007521	As001G030970	AL2G11130
OG0007522	As001G031230	AL2G11580
OG0007523	As001G031450	AL2G11980, AL2G12020
OG0007524	As003G064110, As001G031470	AL2G12140, AL2G12040
OG0007525	As001G031600	AL2G12430
OG0007526	As001G031670	AL2G12590
OG0007527	As001G032080	AL2G13420
OG0007528	As001G032120	nbis-gene-386
OG0007529	As001G032210	AL2G13600
OG0007530	As002G032330	AL3G24310
OG0007531	As002G032350	AL3G24290
OG0007532	As002G032360	AL3G24280
OG0007533	As002G032460, As002G039160	AL3G24130
OG0007534	As002G032470	AL7G24590
OG0007535	As002G032510	AL7G27220
OG0007536	As002G032610	AL7G27050
OG0007537	As002G032670	AL7G26940
OG0007538	As002G033640	AL4G38770
OG0007539	As002G033720	AL3G43010
OG0007540	As002G033740	AL4G38590
OG0007541	As002G034000	AL3G20230
OG0007542	As002G034010	AL3G20290
OG0007543	As002G034070	AL3G20340
OG0007544	As002G034350	AL3G20700
OG0007545	As002G034380	AL3G20730
OG0007546	As002G034700	AL3G20970
OG0007547	As002G034850	AL3G21060
OG0007548	As002G035160, As002G035170	AL6G13260
OG0007549	As002G035190	AL3G21330
OG0007550	As002G035290	AL3G21460
OG0007551	As002G035580	AL3G21680
OG0007552	As002G035940, As002G035880	AL3G21900
OG0007553	As002G035980	AL6G14230
OG0007554	As002G036350	AL3G22270
OG0007555	As002G036990	AL3G22730
OG0007556	As002G037160	AL3G22800
OG0007557	As002G037210	AL3G22940
OG0007558	As002G037380	AL3G23080
OG0007559	As002G037460	AL3G23170
OG0007560	As002G037530	AL3G23250
OG0007561	As002G037550	AL3G23290
OG0007562	As002G037620	AL3G23370
OG0007563	As002G037770	AL7G24530
OG0007564	As002G037980	nbis-gene-694
OG0007565	As002G038000	AL3G23550
OG0007566	As002G038170	AL3G23590
OG0007567	As002G038870	AL3G23950
OG0007568	As002G038890	AL3G23970
OG0007569	As002G039630	AL5G38720
OG0007570	As002G040500	AL8G23830
OG0007571	As002G041280, As002G041250, As002G041300, As002G041320, As004G089330	AL8G11450
OG0007572	As002G041540, As003G065590	AL1G53710
OG0007573	As002G042350	AL8G24860
OG0007574	As002G042420	AL8G24920
OG0007575	As002G042580	AL8G24980
OG0007576	As002G042650	AL8G25010
OG0007577	As002G042750	AL7G18190
OG0007578	As002G044270	AL8G26870
OG0007579	As002G044710	AL8G28040
OG0007580	As002G044760	AL8G27900
OG0007581	As002G044880	AL8G27780
OG0007582	As002G044950	AL8G27690
OG0007583	As002G044990	AL8G27660
OG0007584	As002G045050	AL8G28060
OG0007585	As002G045160	AL8G28120
OG0007586	As002G045510	AL8G29250
OG0007587	As002G045650	AL8G29090
OG0007588	As002G046150	AL8G29730
OG0007589	As002G046360	AL8G30040
OG0007590	As002G046700	AL8G30400
OG0007591	As002G047370	AL8G31160
OG0007592	As002G047630, As006G134350	AL236U10010, AL8G31440
OG0007593	As002G047840	AL2G24490, AL2G22990, AL8G31670
OG0007594	As002G047940	AL8G31820
OG0007595	As002G048210, As008G185900	AL1G22680
OG0007596	As002G048580	AL8G32740
OG0007597	As002G048660	AL8G32900
OG0007598	As002G048710	AL8G32930
OG0007599	As002G048760	AL8G32980
OG0007600	As002G049080	AL8G33350
OG0007601	As002G049130	AL8G33400
OG0007602	As002G049330	nbis-gene-2165
OG0007603	As002G049470	AL8G33850
OG0007604	As002G049960	AL8G34260
OG0007605	As002G050100	AL6G39550
OG0007606	As002G050240	AL6G24010
OG0007607	As007G162250, As002G050510	AL6G23750
OG0007608	As002G050580	AL6G23680
OG0007609	As002G050630	AL6G23620
OG0007610	As002G050750	AL6G23460
OG0007611	As002G050880	AL6G23190
OG0007612	As002G050980	AL6G23080
OG0007613	As002G051150	AL6G22900
OG0007614	As002G051200	AL6G22830
OG0007615	As002G051310	AL6G22690
OG0007616	As002G051480	AL6G22540
OG0007617	As002G051800	AL6G22150
OG0007618	As002G051820	AL6G22120
OG0007619	As002G052020	AL6G21870
OG0007620	As002G052200	AL6G21610
OG0007621	As002G052610	AL6G21140
OG0007622	As002G054000	AL6G19660
OG0007623	As002G054180	AL6G19360
OG0007624	As002G054260	AL6G19250
OG0007625	As002G054330	AL6G18950
OG0007626	As002G054700	AL6G18560
OG0007627	As002G054730	AL6G18520
OG0007628	As002G054930	AL6G18240
OG0007629	As002G055450	AL6G17540
OG0007630	As002G055510	AL6G17490
OG0007632	As003G056210	AL7G36690
OG0007633	As003G056350	AL7G36560
OG0007634	As003G056410	AL7G36430
OG0007635	As003G056470	AL7G36360
OG0007636	As003G056830	AL7G35930
OG0007637	As003G057290	AL6G47810
OG0007638	As003G057330	AL7G35290
OG0007639	As003G057410	AL7G35190
OG0007640	As003G057600	AL7G34930
OG0007641	As003G057780	AL7G34680
OG0007642	As003G058150	AL7G33930
OG0007643	As003G058280	AL7G33770
OG0007643	As004G087160	nbis-gene-1996
OG0007644	As003G058290	AL8G38940
OG0007645	As003G058640	AL7G33410
OG0007646	As003G058900	AL7G33210
OG0007647	As004G086180, As003G059420	AL6G48760
OG0007648	As003G059450	AL7G32650
OG0007649	As003G059710	AL7G32290
OG0007650	As003G060110	AL7G31610
OG0007651	As003G060230	AL7G31560
OG0007652	As003G060310	AL7G31380
OG0007653	As003G060380	AL7G31290
OG0007654	As003G060510	AL7G31070
OG0007655	As003G060590	AL7G30970
OG0007656	As003G060680, As004G085030	AL7G30850
OG0007657	As003G060890	AL7G30640
OG0007658	As003G061000	AL7G30470
OG0007659	As003G061020	AL7G30440
OG0007660	As003G061680	AL7G29750
OG0007661	As003G061830	AL7G29620
OG0007662	As003G062020	AL7G29380
OG0007663	As003G062600, As004G083690	AL1G47610
OG0007664	As003G062640	AL1G47670
OG0007665	As003G062770	AL1G47780
OG0007666	As003G063120	AL1G48440
OG0007667	As003G063470	AL1G49100
OG0007668	As003G064170	AL1G50930
OG0007669	As003G064450	AL1G52460
OG0007670	As003G065430	AL1G54060
OG0007671	As003G065880	AL1G53400
OG0007672	As003G066810	AL1G54110
OG0007673	As003G067020, As008G191680	AL3G18990
OG0007674	As003G068540	AL1G41620
OG0007675	As003G068870	AL1G41860
OG0007676	As003G068950, As006G121750, As011G266980	AL7G45930, AL4G16080
OG0007677	As003G069090	AL1G42050
OG0007678	As003G069190	AL1G42140
OG0007679	As003G069840	AL1G42960
OG0007680	As003G070710	AL1G44040
OG0007681	As003G070870	AL1G44290
OG0007682	As003G071260, As012G274930	AL1G44750
OG0007683	As003G071280	AL1G44770
OG0007684	As003G071350	AL1G44850
OG0007685	As003G071760	AL7G15630
OG0007686	As003G071850, As010G236490	AL6G12560
OG0007687	As003G072110	AL7G15270
OG0007688	As003G072240	AL7G15100
OG0007689	As003G072290	AL7G15060
OG0007690	As003G072520	AL7G14770
OG0007691	As003G072710	AL7G14530
OG0007692	As003G072730, As003G072750	AL7G14500
OG0007693	As003G072960	AL7G14240
OG0007694	As003G073210	AL7G13910
OG0007695	As007G179490, As003G073250	AL4G13440
OG0007696	As003G073340	AL7G13760
OG0007697	As003G073830	AL7G13220
OG0007698	As003G073980	AL7G13090
OG0007699	As003G074030	AL7G12950
OG0007700	As003G074040	AL7G12940
OG0007701	As003G074180	AL7G12810
OG0007702	As003G074430	AL7G12580
OG0007703	As003G074580	AL7G12440
OG0007704	As003G074820	AL7G12120
OG0007705	As003G074990	AL7G11920
OG0007706	As003G075150	AL7G11520
OG0007707	As003G076310, As007G182140	AL7G10390
OG0007708	As004G076700	AL7G44290
OG0007709	As004G077200	AL7G46220
OG0007710	As004G078010	AL7G51560
OG0007711	As004G078720	AL4G30990
OG0007712	As004G078790	AL4G31080
OG0007713	As004G078900	AL4G31170
OG0007714	As004G078920	AL1G20860
OG0007715	As004G078940	AL2G29970, AL1G49260
OG0007716	As004G079590	AL6G29260
OG0007717	As004G079720	AL716U10010, AL4G31300
OG0007718	As004G079760	AL4G31240
OG0007719	As004G080100	AL6G43270
OG0007720	As004G080430	AL6G41550
OG0007721	As004G080950	AL6G42240
OG0007722	As004G080990	AL1G43820
OG0007723	As004G081130	AL4G30080
OG0007724	As004G081250	AL4G29930
OG0007725	As004G081340	nbis-gene-1076
OG0007726	As004G081410	AL4G29610
OG0007727	As004G081420	AL4G29600
OG0007728	As004G081720	AL4G29220
OG0007729	As004G081790	AL4G29160
OG0007730	As004G082240	AL8G18080
OG0007731	As004G083650	AL6G44220
OG0007732	As004G084180	AL6G45180
OG0007733	As004G084400	AL6G45460
OG0007734	As004G084650	AL6G46260
OG0007735	As004G085160	AL6G47290
OG0007736	As004G085390	AL6G47620, AL7G41290
OG0007737	As004G085640	AL6G47910
OG0007738	As004G085990	AL6G48460
OG0007740	As004G086080	AL6G48600
OG0007741	As004G087040	AL8G14890
OG0007742	As004G087600	AL8G14110
OG0007743	As004G087870	AL8G13440
OG0007744	As004G088070	AL8G13090
OG0007745	As004G088360	AL8G12660
OG0007746	As004G088470	AL8G12550
OG0007747	As004G088590	AL8G12430
OG0007748	As004G088700	AL8G12240
OG0007749	As004G088750	AL8G12180
OG0007750	As004G088970	AL8G11890
OG0007751	As009G214560, As004G089000	AL6G14140
OG0007752	As004G089070	AL8G11760
OG0007753	As004G089120	AL8G11690
OG0007754	As004G089510	AL8G11400
OG0007755	As004G091350, As004G091390	AL7G39320
OG0007756	As004G092060	AL7G44470
OG0007757	As009G212100, As004G092180	AL7G44560
OG0007758	As004G092630	AL9U12240
OG0007760	As004G093780	AL3G40200
OG0007761	As004G094050	AL9U10290
OG0007762	As004G094850	AL7G42690
OG0007763	As004G095370, As011G255340	AL7G41920
OG0007764	As004G096450, As011G253760	AL7G40170
OG0007765	As004G097770	AL7G48510
OG0007766	As004G098220	AL7G47460
OG0007767	As004G098420	AL7G47130
OG0007768	As004G098510	AL1G56360
OG0007769	As005G098880	AL39U10010, AL4G47430
OG0007770	As005G099130, As005G099110, As005G099120	AL4G47300
OG0007771	As005G099200, As005G099190	AL4G47240
OG0007772	As005G099560	AL4G46910
OG0007773	As005G099660	AL4G46830
OG0007774	As005G099730	AL4G46770
OG0007775	As005G099750	AL4G46750
OG0007776	As005G100460	AL4G45980
OG0007777	As005G100520	AL4G45910
OG0007778	As005G100880	AL4G45480
OG0007779	As005G100990	AL4G45320
