Orthogroup	Aethionema_saxatile	Odontarrhena_muralis
OG0009430	As011G249350	Om002G063760
OG0009431	As011G249400	Om002G063880
OG0009432	As012G276930, As011G249410	Om002G063890
OG0009433	As011G249500	Om004G157890
OG0009434	As011G249700, As012G273820	Om002G064280
OG0009435	As011G250100	Om002G064800
OG0009436	As011G250330	Om002G065160
OG0009437	As011G250440	Om002G065350
OG0009438	As011G250680	Om002G065600
OG0009439	As011G250720	Om002G065660
OG0009440	As011G251070	Om002G066140
OG0009442	As011G251590	Om002G066870
OG0009443	As011G251600	Om002G066880
OG0009444	As011G252010	Om002G067370
OG0009445	As011G252060	Om002G067470
OG0009446	As011G252580	Om002G068020
OG0009447	As011G252730	Om002G068210
OG0009448	As011G252750	Om002G068240
OG0009449	As011G252840	Om002G068370
OG0009450	As011G253130	Om002G068860
OG0009451	As011G253280	Om002G069130
OG0009452	As011G253770	Om002G069740
OG0009453	As011G254280	Om002G070560
OG0009454	As011G254450	Om002G070770
OG0009455	As011G254840	Om002G071310
OG0009456	As011G255370	Om002G072320
OG0009457	As011G255380	Om002G072310
OG0009458	As011G257650	Om002G075070
OG0009459	As011G259020	Om003G112500
OG0009460	As011G259660	Om002G079300
OG0009461	As011G259670	Om002G077890
OG0009462	As011G260590	Om002G078880
OG0009463	As011G260720	Om002G079170
OG0009464	As011G260730	Om002G079190
OG0009465	As011G260910	Om002G079470
OG0009466	As011G262610	Om004G163050
OG0009467	As011G262870	Om005G181460
OG0009468	As011G262880	Om002G081890
OG0009469	As011G262910	Om002G081920
OG0009470	As011G262920	Om002G081930
OG0009471	As011G264240	Om002G083760
OG0009472	As011G264430	Om002G084030
OG0009473	As011G264460	Om002G084120
OG0009474	As011G264840	Om002G084610
OG0009475	As011G265230	Om002G085850
OG0009476	As011G265820	Om002G086620
OG0009477	As011G266250	Om002G087210
OG0009478	As011G266970	Om002G088060
OG0009479	As011G266990	Om002G088070
OG0009480	As011G267060	Om002G088150
OG0009481	As011G267130	Om002G088220
OG0009482	As011G267450	Om002G088580
OG0009483	As012G267870	Om003G089700
OG0009484	As012G268740	Om003G090670
OG0009485	As012G268870	Om003G090940
OG0009486	As012G269250	Om003G091570
OG0009487	As012G269450	Om003G092170
OG0009488	As012G269470	Om003G092190
OG0009489	As012G269690	Om003G092790
OG0009490	As012G269960	Om003G093450
OG0009491	As012G270110	Om003G093710
OG0009492	As012G270180	Om003G093830, Om003G093820
OG0009493	As012G270670	Om003G094560
OG0009494	As012G271610	Om001G014150, Om003G096420
OG0009495	As012G271760	Om003G096100
OG0009496	As012G272230	Om003G097140
OG0009497	As012G272380	Om003G097420
OG0009498	As012G272420	Om003G097520
OG0009499	As012G272570	Om004G161010
OG0009500	As012G272670	Om003G097870
OG0009501	As012G272770	Om003G098030
OG0009502	As012G272800	Om003G098110
OG0009503	As012G273070	Om003G128240
OG0009504	As012G273290	Om003G098820
OG0009505	As012G273320	Om003G098870
OG0009506	As012G273350	Om003G098910
OG0009507	As012G275130	Om008G339830
OG0009509	As012G275440	Om008G340170
OG0009510	As012G275450	Om006G256690
OG0009511	As012G275640	Om006G256490
OG0009512	As012G275710	Om006G256420
OG0009513	As012G276410	Om006G255460
OG0009514	As012G276710	Om006G254990
OG0009515	As012G276780	Om006G255040
OG0009516	As012G277230	Om006G254570
OG0009517	As012G277710	Om006G254140
OG0009518	As012G278120	Om006G253820
OG0009519	As012G278300	Om006G253910
OG0009520	As012G278580	Om006G253930
OG0009521	As012G279180, As012G279190	Om006G256970
OG0009522	As012G279430	Om006G253950
OG0009523	As012G279850	Om008G359850
OG0009524	As012G280040	Om006G253000
OG0009526	As012G280400	Om008G332910
OG0009527	As012G280410	Om006G252850
OG0009528	As012G280980	Om006G252680
OG0009529	As012G281780	Om006G252010
OG0009530	As012G282470	Om006G251080
OG0009531	As012G282490	Om006G251050
OG0009532	As012G282690	Om006G250720
OG0009533	As012G282790	Om006G250560
OG0009534	As012G283440	Om003G119910
OG0009535	As012G283500	Om005G225390, Om008G354860
OG0009536	As012G283600	Om003G120120
OG0009537	As012G284410	Om003G121320
OG0009538	As012G284550	Om003G121570
OG0009539	As012G284620	Om003G121630
OG0009540	As012G285050	Om003G122630
OG0009541	As012G285150	Om003G123060
OG0009542	As012G285350	Om003G123520
OG0009543	As012G285500	Om003G123730
OG0009544	As012G286210	Om006G238140
OG0009545	As012G286640	Om003G125490
OG0009546	As012G286650	Om003G125500
OG0009547	As012G286810	Om003G125740
OG0009548	As012G287120	Om003G126070
OG0009549	As012G287300	Om003G126250
OG0009550	As012G287320	Om003G126270
OG0009551	As012G287580	Om003G126790
OG0009552	As012G288340	Om003G128030
OG0009553	As012G288350	Om008G357830, Om003G128040
OG0009554	As012G288980	Om003G128900
OG0009555	As012G289080	Om003G129030
OG0009556	As012G289170	Om003G129110
OG0009557	As012G289460	Om003G125900
OG0009558	As224G297350	Om007G308930
OG0009635	As001G000140, As011G267520	Om006G237910
OG0009636	As001G000990, As003G056310	Om001G001070
OG0009637	As001G001220, As009G211040	Om001G024380
OG0009638	As001G001430	Om001G024710
OG0009639	As001G001670	Om001G024940
OG0009640	As001G001770	Om001G025120
OG0009641	As001G002120	Om006G271530, Om001G025620
OG0009642	As001G002360	Om001G026040
OG0009643	As009G214200, As001G002400	Om001G026430
OG0009644	As001G002840	Om006G241610
OG0009645	As001G002950	Om001G026800
OG0009646	As001G003310	Om001G027290
OG0009647	As001G003360	Om007G286940, Om007G286930
OG0009648	As001G003970	Om001G028290
OG0009649	As001G004990	Om001G029400
OG0009650	As001G005880	Om001G029980
OG0009651	As001G006070	Om001G029900
OG0009652	As001G006750	Om001G030400
OG0009653	As001G010190	Om001G030860
OG0009654	As001G012040, As001G012030	Om006G243150, Om006G243190
OG0009655	As001G012270	Om001G031490
OG0009656	As001G012360	Om001G031560
OG0009657	As001G013740	Om001G031890
OG0009658	As011G262930	Om002G081940
OG0009659	As001G013920	Om001G032570
OG0009660	As001G014760	Om001G033550
OG0009661	As001G014840	Om001G033680
OG0009662	As001G015030	Om006G244260, Om001G000870
OG0009663	As001G015490	Om001G034240
OG0009664	As001G015670	Om007G291710, Om003G097170
OG0009665	As001G016100, As001G016130, As001G016150, As001G016080	Om007G292340
OG0009666	As001G016360	Om007G292650
OG0009667	As001G016380	Om007G292660
OG0009668	As001G016450	Om007G292730
OG0009669	As001G016810	Om007G276950
OG0009670	As001G016890	Om007G276910
OG0009671	As001G016980	Om007G276810
OG0009672	As001G017070	Om007G276670
OG0009673	As001G017110	Om001G009800
OG0009674	As001G017130, As004G079770	Om007G276600
OG0009675	As001G017170	Om007G276580
OG0009676	As001G017180	Om007G276570
OG0009677	As001G017200	Om007G276550
OG0009678	As001G017420	Om006G266820, Om006G266830, Om007G276320
OG0009679	As001G017450	Om007G276300
OG0009680	As001G018100	Om007G275680
OG0009681	As001G018310	Om007G301860, Om007G275590
OG0009682	As001G018940	Om002G086170, Om005G217090
OG0009683	As001G019220	Om002G082240, Om005G185810
OG0009684	As001G019250	Om005G217980
OG0009685	As001G019270	Om005G205560
OG0009686	As001G019540	Om011G365200, Om020G374460
OG0009687	As001G019710	Om005G218840
OG0009688	As008G187290, As001G020180	Om005G219860
OG0009689	As001G020190, As001G020200	Om005G219820
OG0009690	As001G020470	Om005G220140
OG0009691	As001G021370, As001G021300	Om005G221970
OG0009692	As009G211840, As001G021390	Om005G222010
OG0009693	As001G021930	Om005G223740
OG0009694	As001G022310	Om002G066840
OG0009695	As001G022480	Om008G334830
OG0009696	As001G022500	Om002G066050
OG0009697	As001G022550	Om008G353640
OG0009698	As001G022560	Om005G195620
OG0009699	As001G022610	Om006G275320
OG0009700	As001G022760	Om006G275170
OG0009701	As008G182830, As001G023290	Om005G194810
OG0009702	As001G023360	Om006G274670
OG0009703	As001G023870	Om006G274210
OG0009704	As001G024330	Om006G273680
OG0009705	As001G024390	Om006G273630
OG0009706	As001G024410	Om006G273600
OG0009707	As001G024720	Om006G273100, Om006G267900
OG0009708	As001G024730	Om006G273070
OG0009709	As001G024980	Om006G272820
OG0009710	As001G025370	Om006G272460
OG0009711	As001G025460	Om006G272320
OG0009712	As001G025650	Om006G272070
OG0009713	As001G025660	Om008G356560
OG0009714	As001G026360	Om006G271200
OG0009716	As001G027450	Om006G269600
OG0009717	As001G027470	Om003G098720
OG0009718	As001G027540	Om006G269580
OG0009719	As001G027780	Om006G269360
OG0009720	As001G027960	Om006G269280
OG0009721	As001G027970	Om006G269260
OG0009722	As001G028070	Om007G315180
OG0009723	As001G028330	Om005G212870
OG0009724	As001G028340	Om005G212880
OG0009725	As001G028740	Om005G213520
OG0009726	As001G029100	Om006G233340, Om005G208770
OG0009727	As001G029130	Om007G302930, Om005G214200
OG0009728	As001G029400	Om005G214990
OG0009730	As001G029470	Om005G215160
OG0009731	As001G029660	Om005G215370, Om002G044940, Om004G156760, Om006G256820
OG0009732	As001G029700	Om004G159040
OG0009733	As001G029770	Om005G215770
OG0009734	As001G030310	Om005G228830
OG0009735	As001G030340	Om005G228800
OG0009736	As001G030500	Om005G228560
OG0009737	As001G030590	Om005G228390
OG0009738	As001G030870	Om005G227660
OG0009739	As001G031020	Om005G227140
OG0009740	As001G031150	Om005G226800
OG0009741	As001G031560	Om005G225720
OG0009742	As001G031710	Om005G225480
OG0009743	As001G031730	Om005G191970
OG0009744	As001G032270	Om005G224470
OG0009745	As002G032450	Om004G156070
OG0009747	As002G032640	Om001G018200
OG0009749	As002G033160	Om008G328460, Om008G328470
OG0009750	As002G033590	Om008G328970
OG0009751	As002G033610	Om008G328990
OG0009752	As002G033630	Om008G329010
OG0009753	As002G033650	Om008G329090
OG0009754	As002G033690	Om008G329160
OG0009755	As002G033700	Om008G329170
OG0009756	As002G034150, As002G034120	Om002G051760
OG0009757	As002G034470, As002G034560, As002G034630	Om002G052300
OG0009758	As002G035300	Om002G052960
OG0009759	As002G036030	Om002G053660
OG0009760	As002G036650	Om002G054320
OG0009761	As002G036850	Om002G054410
OG0009762	As002G037130	Om002G054720
OG0009763	As002G037850	Om002G055480
OG0009764	As002G038830	Om002G055970
OG0009765	As002G040280	Om004G131660
OG0009767	As002G041820	Om003G110260
OG0009768	As002G041860	Om003G110210
OG0009769	As002G041980	Om003G110870
OG0009770	As002G042120	Om003G111290
OG0009771	As002G042740	Om003G111500
OG0009772	As002G043120	Om003G112120
OG0009773	As002G043130	Om003G112150
OG0009774	As002G043360	Om008G325920
OG0009776	As002G043420	Om004G160880
OG0009777	As002G043720	Om003G112960
OG0009778	As002G043920	Om003G113200
OG0009779	As002G044040	Om003G113350
OG0009780	As002G044130	Om003G113480
OG0009781	As002G044180	Om003G113550
OG0009783	As002G044610	Om003G114090
OG0009784	As002G044660	Om003G114140
OG0009785	As002G044680	Om003G114220
OG0009786	As002G044700	Om003G114770
OG0009787	As002G044750	Om003G114660
OG0009788	As002G044800	Om003G114600
OG0009789	As002G045070	Om003G114820
OG0009790	As002G045320	Om003G115120
OG0009791	As002G045590	Om003G115670
OG0009792	As002G045710	Om003G115510
OG0009793	As002G045760	Om003G115430
OG0009794	As002G045840	Om003G115350
OG0009795	As002G046060	Om003G115950
OG0009796	As002G046380	Om003G116230
OG0009797	As002G046480	Om008G341840
OG0009798	As002G046850	Om003G116860
OG0009799	As002G046990	Om003G116990
OG0009800	As002G047380	Om003G117630
OG0009801	As002G047470	Om003G117720
OG0009802	As002G047580	Om003G117940
OG0009803	As002G048050	Om003G118580
OG0009804	As002G048190	Om003G119070
OG0009805	As002G048260	Om006G250430
OG0009806	As002G048460	Om006G250270
OG0009807	As002G048510	Om006G250110
OG0009808	As002G048640	Om006G249890
OG0009809	As002G049220	Om006G249200
OG0009810	As002G049380	Om006G248650
OG0009811	As002G049420	Om006G248580
OG0009812	As002G049450	Om006G248550
OG0009813	As002G049820	Om006G248180
OG0009814	As002G049900	Om006G248110
OG0009815	As002G049920	Om006G248090
OG0009816	As002G050040	Om002G064810, Om003G122860
OG0009817	As002G050200	Om003G092210
OG0009818	As002G050470	Om004G161690
OG0009819	As002G050500	Om004G161740
OG0009820	As002G050970	Om004G162440
OG0009821	As002G050990	Om004G162460
OG0009822	As002G051010	Om004G162500
OG0009823	As002G051020	Om004G162510
OG0009824	As002G051130	Om004G162700
OG0009825	As002G051230	Om004G162840
OG0009826	As002G051260	Om004G162870
OG0009827	As002G051330	Om004G163070
OG0009828	As002G051720	Om004G163590
OG0009829	As002G051770	Om004G163680
OG0009830	As002G052170	Om004G164400
OG0009831	As002G052250	Om004G164570
OG0009832	As002G052330	Om004G164680
OG0009833	As002G052390	Om004G164750
OG0009834	As002G052900, As002G052890	Om004G165540, Om004G165550
OG0009835	As002G053130	Om004G165830
OG0009836	As002G053750	Om004G166740
OG0009837	As002G053760	Om006G233140
OG0009838	As002G053960	Om004G166980
OG0009839	As002G054340	Om004G167430
OG0009840	As002G054480	Om004G167590
OG0009841	As002G054820	Om004G168020
OG0009842	As002G054900	Om004G168120
OG0009843	As002G055110	Om004G168470
OG0009844	As002G055280	Om004G168760
OG0009845	As003G055690	Om006G264110
OG0009846	As003G055840	Om001G000330
OG0009847	As003G056160	Om001G000910
OG0009848	As003G056710	Om002G075640, Om001G002030
OG0009849	As003G056730	Om001G002130
OG0009850	As003G056890	Om001G002330
OG0009851	As003G057180	Om001G002740
OG0009852	As003G057380	Om001G003130
OG0009853	As003G057640	Om001G003720
OG0009854	As003G057760	Om001G004090
OG0009855	As003G058110	Om001G005020
OG0009856	As003G059000	Om001G006730
OG0009857	As003G059080	Om001G006900
OG0009858	As003G059810	Om001G007910, Om001G007920
OG0009859	As003G059980	Om001G008200
OG0009860	As003G061010	Om001G009970, Om001G009980
OG0009861	As003G061030	Om001G010000
OG0009862	As003G061410	Om001G010500
OG0009863	As003G061500	Om001G010630
OG0009865	As003G062180	Om001G011590
OG0009867	As003G063000	Om001G012590
OG0009868	As003G063240	Om001G013030
OG0009869	As003G063330	Om001G013270
OG0009870	As003G063340	Om001G013310
OG0009871	As003G063380	Om001G013360
OG0009872	As003G063940	Om001G014190
OG0009873	As003G064790	Om001G015850
OG0009874	As003G065500	Om007G287150
OG0009875	As003G066330	Om001G016820
OG0009876	As003G066780	Om007G287900
OG0009877	As003G068460	Om007G288420
OG0009878	As003G069330, As008G190140	Om007G288930
OG0009879	As003G069930	Om007G289600
OG0009880	As003G070130	Om007G290100
OG0009881	As003G070150	Om007G290120
OG0009882	As003G070330	Om007G290320
OG0009883	As003G070470	Om007G290470
OG0009884	As003G070480	Om007G290480
OG0009885	As003G070790	Om007G290820
OG0009886	As003G070840	Om007G290860
OG0009887	As003G070860	Om007G290890
OG0009888	As003G071070	Om007G291040
OG0009889	As003G071320	Om007G291410, Om007G291400
OG0009890	As003G071540	Om007G291610
OG0009891	As003G071690	Om001G034610
OG0009892	As003G071730	Om001G034670
OG0009893	As003G072440	Om001G035870
OG0009894	As003G072550	Om001G036090
OG0009895	As003G072880	Om001G036640
OG0009896	As003G072900	Om001G036660
OG0009897	As003G072980	Om001G036750
OG0009898	As003G073060	Om001G036880
OG0009900	As003G073240	Om001G037220
OG0009901	As003G073470	Om001G037900
OG0009902	As003G073540	Om001G037970
OG0009903	As003G073680, As007G179700	Om004G151550
OG0009904	As003G073760	Om001G038260
OG0009905	As003G073880	Om001G038360
OG0009906	As003G074070	Om001G038700
OG0009907	As003G074140	Om001G038830
OG0009908	As003G074260	Om001G038980
OG0009909	As003G074390	Om001G039150
OG0009910	As003G074440	Om001G039210
OG0009911	As003G074700	Om001G039560
OG0009912	As003G074970	Om001G039860
OG0009913	As003G075040	Om001G039930
OG0009914	As003G075460	Om001G040410
OG0009915	As003G075810	Om001G040880
OG0009916	As003G075910	Om001G041050
OG0009917	As003G076650	Om001G041980
OG0009918	As004G076730	Om003G106500
OG0009919	As004G076780	Om003G108670
OG0009920	As004G077800	Om007G314760
OG0009921	As004G078320	Om007G315470
OG0009922	As004G078370	Om007G315570
OG0009923	As004G078480	Om007G315720
OG0009924	As004G078770	Om005G224270, Om005G224240, Om008G339270
OG0009925	As004G079050	Om008G338340
OG0009926	As004G079100	Om005G223010
OG0009927	As004G079280	Om003G126400, Om005G208780
OG0009928	As004G079450	Om008G338570
OG0009929	As004G079460	Om008G338610
OG0009930	As004G079540	Om008G338850
OG0009931	As004G079620	Om008G338920
OG0009932	As004G079690	Om008G338960
OG0009933	As004G080000	Om008G346220
OG0009934	As004G080050	Om008G345970
OG0009935	As004G080200	Om008G343350
OG0009936	As004G080940	Om003G113850
OG0009937	As004G081200	Om008G340480
OG0009938	As004G081590	Om008G340900
OG0009939	As004G081680	Om008G340990
OG0009940	As004G081700	Om008G341010
OG0009941	As004G082390	Om002G086900
OG0009942	As004G082500	Om008G342360
OG0009943	As004G082940	Om008G342880
OG0009944	As004G083330	Om008G346450
OG0009945	As004G083400	Om008G346970, Om008G348220
OG0009946	As004G083450	Om008G347060
OG0009947	As004G083860	Om006G242090
OG0009948	As004G083900	Om008G349860, Om008G349880
OG0009949	As004G084720	Om008G351910
OG0009950	As004G084790	Om008G352750
OG0009951	As004G085280	Om008G353440
OG0009952	As004G085560	Om008G353750
OG0009953	As004G085620	Om008G353860
OG0009954	As004G085720	Om008G354010
OG0009955	As004G085740	Om008G354050
OG0009956	As004G085750	Om008G354090, Om008G354100
OG0009957	As004G086110	Om008G354910
OG0009958	As004G086680	Om008G356120, Om008G356090
OG0009959	As004G087640	Om008G357670
OG0009960	As004G087760	Om008G357990
OG0009961	As004G087880	Om008G358160
OG0009962	As004G087890	Om008G358180
OG0009963	As004G088530	Om008G359540
OG0009964	As004G088870	Om008G360010
OG0009965	As004G089030	Om008G360890
OG0009967	As004G089600	Om008G361830
OG0009968	As004G090120, As005G098720	Om008G318780
OG0009969	As004G090320	Om008G362780
OG0009970	As004G090670	Om008G362820, Om006G263120
OG0009971	As004G091000	Om008G362590
OG0009972	As004G092850	Om003G105210
OG0009973	As011G255290, As004G093540	Om002G072070, Om002G072000
OG0009974	As004G093580	Om001G037300
OG0009975	As004G093990	Om003G104180
OG0009976	As004G094060	Om006G253630
OG0009977	As004G094460	Om003G103950
OG0009978	As004G094580	Om003G103770
OG0009979	As004G095220	Om003G103320
OG0009980	As004G095710	Om003G102600
OG0009981	As004G095890	Om003G102360
OG0009982	As004G096640	Om002G069560
OG0009983	As004G096780	Om007G316280
OG0009984	As004G096790	Om007G316320
OG0009985	As004G096800	Om007G316330
OG0009986	As004G096980	Om007G316610
OG0009987	As004G097010, As004G097000	Om007G316620, Om001G005820
OG0009988	As004G097220	Om008G332840
OG0009989	As004G097960	Om007G318150
OG0009991	As004G098340	Om007G318470
OG0009992	As005G098590	Om008G346130
OG0009993	As005G098670	Om008G318730
OG0009994	As005G099250	Om008G319180
OG0009995	As005G099550	Om008G319550
OG0009996	As005G099590	Om008G319590
OG0009997	As005G100260	Om008G320340
OG0009998	As005G100280	Om008G320380
OG0009999	As005G100360	Om008G320540
OG0010000	As009G210800, As005G100840	Om008G321110
OG0010001	As005G100870	Om008G321140
OG0010002	As005G101290	Om008G321590
OG0010003	As005G101640	Om008G322100
OG0010004	As005G101770	Om008G322250
OG0010005	As005G101870	Om008G350040, Om008G322320
OG0010006	As005G101880	Om008G322330
OG0010007	As005G102230	Om008G322820, Om008G322810
OG0010008	As005G102250	Om008G322840
OG0010009	As005G103180, As011G267580	Om002G071340
OG0010010	As005G103230, As012G285850	Om008G324130
OG0010011	As005G103440	Om008G324540
OG0010012	As005G103460	Om008G324550
OG0010013	As005G103590	Om008G324780
OG0010014	As005G103770	Om008G325040
OG0010015	As005G104190	Om008G325640
OG0010016	As005G104230	Om008G325680
OG0010017	As005G104250	Om008G325700
OG0010018	As005G104280	Om008G325760
OG0010019	As005G105100	Om008G327090
OG0010020	As005G105130	Om008G327020
OG0010021	As005G105320	Om003G120860
OG0010022	As005G105500	Om008G327520
OG0010023	As005G105730, As005G105760	Om008G327350
OG0010024	As005G106010	Om008G327870
OG0010025	As005G106120	Om008G327930
OG0010026	As005G107200	Om004G175800
OG0010027	As005G107210	Om004G175810
OG0010028	As005G107460	Om004G175710
OG0010029	As005G107630	Om004G175530
OG0010030	As005G107720	Om004G175340
OG0010031	As005G107830	Om004G175110
OG0010032	As005G108150	Om004G174550
OG0010033	As005G108220	Om004G174480
OG0010034	As005G108260	Om004G174440
OG0010035	As005G108290	Om004G174360
OG0010036	As005G108390	Om004G174230
OG0010037	As005G108410	Om004G174220
OG0010038	As005G108840	Om004G173650
OG0010039	As005G108910	Om004G173590
OG0010040	As005G109900	Om006G241080
OG0010041	As005G110190	Om006G241250
OG0010042	As005G110390	Om006G241120
OG0010043	As005G110520	Om006G241810
OG0010044	As005G110750	Om006G241820
OG0010045	As005G110780	Om006G241960
OG0010046	As005G110960	Om006G241920
OG0010047	As005G111720	Om006G242200
OG0010048	As005G111760	Om006G242210
OG0010049	As009G201830, As005G111840	Om007G299000
OG0010050	As005G112170	Om006G242450
OG0010051	As005G112340	Om006G242620
OG0010052	As005G112580	Om006G242910
OG0010054	As005G112820	Om001G029100
OG0010055	As005G113540	Om006G244100
OG0010056	As005G113960	Om006G244490
OG0010057	As005G114140, As008G189680, As005G114150	Om005G180910, Om006G244780
OG0010058	As005G114240	Om006G244920
OG0010059	As005G114560	Om006G245390
OG0010060	As005G115470	Om006G245910
OG0010061	As005G115770	Om007G288240
OG0010062	As005G115940	Om006G247140
OG0010063	As005G116160	Om006G234460
OG0010064	As005G116230	Om006G234340
OG0010065	As005G116250	Om006G234320
OG0010066	As005G116290	Om006G234270
OG0010067	As005G116320	Om003G117710
OG0010069	As005G117140	Om006G233300
OG0010070	As005G117290	Om006G233190
OG0010071	As005G117370	Om006G233110
OG0010072	As005G117970	Om006G232390
OG0010073	As005G118200	Om006G232160
OG0010074	As005G118220	Om006G232150
OG0010075	As005G118710	Om006G231510
OG0010076	As005G118740	Om006G231460
OG0010077	As005G119450	Om006G230500
OG0010078	As005G119630	Om006G230290
OG0010079	As005G119670	Om006G230260
OG0010080	As005G119690	Om006G230240
OG0010081	As005G119700	Om006G230220
OG0010082	As005G119900	Om006G229940
OG0010083	As005G120330	Om006G229540
OG0010084	As005G120410	Om006G229460
OG0010085	As005G120820	Om006G257340
OG0010086	As005G120890	Om006G228980, Om002G045320
OG0010087	As006G121090	Om004G157110
OG0010088	As006G121310	Om004G157780
OG0010089	As006G121360	Om004G157750
OG0010090	As007G154480	Om005G199880
OG0010091	As006G121880	Om004G158080
OG0010092	As006G122400	Om004G158700
OG0010093	As006G122670	Om004G159050
OG0010094	As006G122990	Om004G159450
OG0010095	As006G123020	Om004G159500
OG0010096	As006G123150	Om004G159740
OG0010097	As006G123370	Om004G160040
OG0010098	As006G123510	Om002G077450, Om004G160230
OG0010099	As006G123890	Om004G160760
OG0010100	As006G123960	Om004G160840
OG0010101	As006G124000	Om007G302180
OG0010102	As006G124030	Om007G302220
OG0010103	As006G124060	Om007G302250
OG0010104	As006G124240	Om007G293090
OG0010105	As006G124920	Om007G277840
OG0010106	As006G125320	Om007G278300
OG0010107	As006G125400	Om007G278400
OG0010108	As006G126150	Om007G279350
OG0010109	As006G126220	Om007G279540
OG0010110	As006G126790	Om007G279900
OG0010111	As006G126950	Om007G280080
OG0010112	As006G127450	Om007G280740
OG0010113	As006G127610	Om007G280960
OG0010114	As006G127890	Om007G281260
OG0010115	As006G128130	Om007G281650
OG0010116	As006G128510	Om007G282060
OG0010117	As006G128630	Om007G282210
OG0010118	As006G129220	Om007G283080
OG0010119	As006G129640	Om007G283450
OG0010120	As006G129820	Om007G283620
OG0010121	As006G130000	Om007G283890
OG0010122	As006G130020	Om007G283910
OG0010123	As006G130080	Om007G283970
OG0010124	As006G130280	Om007G284310
OG0010125	As006G130290	Om007G284320, Om003G111540, Om003G111570
OG0010126	As006G130300	Om002G085390, Om007G284330, Om002G085460, Om003G111550
OG0010127	As006G130850	Om007G284790
OG0010128	As006G131100	Om007G285340
OG0010129	As006G131220	Om007G300970
OG0010130	As006G131260	Om007G285470
OG0010131	As006G131710	Om004G149490
OG0010132	As006G132330	Om001G020380
OG0010133	As006G133360	Om002G042220
OG0010134	As006G141930, As006G133720	Om002G051010, Om002G051030
OG0010135	As006G133850	Om004G177340
OG0010136	As006G134020	Om008G328050
OG0010137	As006G134060	Om008G328130
OG0010139	As006G134140	Om001G017760
OG0010140	As006G134790	Om002G042970
OG0010141	As006G135810	Om002G044160
OG0010142	As006G136220	Om002G044660
OG0010143	As006G136240	Om002G044680
OG0010144	As006G136670	Om002G045140
OG0010145	As006G136730	Om002G045210
OG0010146	As009G203880, As009G209970	Om002G045290
OG0010147	As006G136950	Om002G045370
OG0010148	As006G137520	Om002G046050
OG0010149	As006G137670	Om002G046080
OG0010150	As006G138000	Om002G046600
OG0010151	As006G139110	Om002G048010
OG0010152	As006G140310	Om002G049350
OG0010153	As006G140320	Om002G049360
OG0010154	As006G140560	Om002G049630
OG0010155	As006G140620	Om002G049710
OG0010156	As006G140770	Om002G049790
OG0010157	As006G141510	Om002G050560
OG0010158	As006G141710	Om002G050760
OG0010159	As009G218570, As006G141740	Om006G235990
OG0010160	As006G142020	Om002G051170
OG0010161	As006G143000	Om008G330840
OG0010162	As006G143190	Om008G331120
OG0010163	As006G143220	Om008G331080
OG0010164	As006G143560	Om008G331870
OG0010165	As012G280990, As006G143680, As006G143700	Om006G252670
OG0010166	As006G144090, As006G144100	Om008G332620
OG0010167	As006G144320	Om008G333170
OG0010168	As006G145000	Om008G337190
OG0010169	As006G145200	Om008G336820
OG0010170	As006G145400	Om008G336530
OG0010171	As006G145760	Om008G336060
OG0010172	As006G145770	Om008G336020
OG0010173	As006G145920	Om008G335900
OG0010175	As006G147430, As006G147420	Om008G334260, Om008G334350
OG0010176	As006G147710	Om008G334410
OG0010178	As006G148550	Om005G184080
OG0010179	As006G148870	Om008G333290
OG0010180	As007G152030	Om005G196150
OG0010181	As007G152090	Om005G196200
OG0010182	As007G153220	Om005G197750
OG0010183	As007G153980	Om005G198840
OG0010184	As007G154120	Om005G199030
OG0010185	As007G154460	Om006G241770
OG0010186	As007G154670	Om005G199620
OG0010187	As007G155120	Om005G200450
OG0010188	As007G155180	Om005G200560
OG0010189	As007G155600	Om005G201170
OG0010190	As007G155780	Om005G201380
OG0010191	As007G155840	Om005G201490
OG0010192	As007G156140	Om005G202060
OG0010193	As007G156180	Om005G202090
OG0010194	As007G156190	Om005G202100, Om004G170760
OG0010195	As007G156200	Om005G202130
OG0010196	As007G156260	Om005G202190
OG0010197	As007G156610	Om005G202560
OG0010198	As007G156820	Om005G202850
OG0010199	As007G156830	Om005G202860
OG0010200	As007G156890	Om005G202990
OG0010201	As007G157090	Om005G203270
OG0010202	As007G157700	Om005G204080
OG0010203	As007G157720	Om005G204110
OG0010204	As007G158010	Om004G134360
OG0010205	As007G158690	Om005G205190
OG0010206	As007G158960, As010G234280	Om005G205370
OG0010207	As007G159060	Om005G205530
OG0010208	As007G159260, As007G159270	Om005G205730
OG0010209	As007G159380	Om004G143620
OG0010210	As007G159500, As010G233410	Om005G207560
OG0010211	As007G159820	Om004G144500
OG0010212	As007G160350	Om004G145250
OG0010214	As007G160860	Om005G209690
OG0010215	As007G160870	Om004G146410
OG0010216	As007G161100	Om004G146760
OG0010217	As007G161200	Om004G146920
OG0010218	As007G161450	Om005G211320
OG0010220	As007G161760	Om004G147710
OG0010221	As007G161770	Om004G147720
OG0010222	As007G162070	Om004G148380
OG0010223	As007G163130	Om006G240760
OG0010224	As007G164330	Om007G285940
OG0010225	As007G164340	Om007G285970
OG0010226	As007G164470	Om007G286080
OG0010227	As007G164490	Om007G286090
OG0010228	As007G165860	Om007G286790
OG0010229	As007G166590	Om004G149240
