Orthogroup	Aethionema_saxatile	Arabidopsis_arenosa
OG0006620	As001G024470	jg13198
OG0006621	As001G024660	jg13224
OG0006622	As001G024870	jg13253
OG0006624	As001G025340	jg13329
OG0006625	As001G025580	jg13360
OG0006626	As001G025610	jg13366
OG0006628	As001G025920	jg13404
OG0006629	As001G026460	jg13509
OG0006630	As001G026510	jg13511
OG0006631	As001G026870	jg13565
OG0006632	As001G027140	jg13633
OG0006633	As001G027240	jg13654
OG0006634	As001G027600	jg13713
OG0006635	As002G046370, As001G028960	jg22283
OG0006636	As001G029710	jg1801
OG0006637	As001G029720	jg1798
OG0006638	As001G029760	jg1765
OG0006639	As001G029950	jg1713, jg28128
OG0006640	As001G029990	jg23046
OG0006641	As001G030110	jg1214
OG0006642	As001G030210	jg12863
OG0006643	As001G030270	jg12842
OG0006644	As001G030990	jg465
OG0006645	As001G031490	jg554
OG0006646	As001G031640	jg592
OG0006647	As002G033810	jg19331
OG0006648	As002G033930	jg24826
OG0006649	As002G033980	jg24831
OG0006650	As003G071750, As003G071770, As002G034130	jg8798
OG0006651	As002G034160	jg24852
OG0006652	As005G108050	jg4046
OG0006653	As002G035210	jg24935
OG0006654	As002G036010	jg24997, jg27434
OG0006655	As009G214000, As002G036340	jg25019
OG0006656	As002G036500	jg25037
OG0006657	As002G036660	jg25051
OG0006658	As002G036670	jg25049
OG0006659	As002G037230	jg25095
OG0006660	As002G037480	jg25116
OG0006661	As002G037560	jg25125
OG0006662	As002G037690, As002G037660	jg25135
OG0006663	As002G038360, As002G038470	jg25159
OG0006664	As002G038680	jg25171
OG0006665	As002G039060	jg25202
OG0006666	As002G040680	jg21644
OG0006667	As002G041760	jg19377, jg5868
OG0006668	As002G042490, As007G164030	jg9975
OG0006669	As002G042890	jg21768
OG0006670	As002G043320	jg21794
OG0006671	As002G044250	jg21937
OG0006672	As002G044320, As007G164900	jg21951
OG0006673	As002G044890	jg22036
OG0006674	As002G044900	jg22035
OG0006675	As002G045140	jg22060
OG0006676	As002G045430	jg22202
OG0006677	As002G045750	jg22147
OG0006678	As002G046180	jg22249, jg22245
OG0006679	As002G046240	jg22252
OG0006680	As002G046340	jg22281
OG0006681	As002G046420	jg22290
OG0006682	As002G046760	jg22326
OG0006683	As002G046950, As002G046930	jg23691
OG0006684	As002G047510	jg22409
OG0006685	As002G048030	jg22477
OG0006686	As002G048230	jg22532
OG0006687	As002G048860	jg22611
OG0006688	As002G048980	jg22624, jg22626
OG0006689	As002G049180	jg22650
OG0006691	As002G050140	jg21273
OG0006692	As002G050670	jg5110
OG0006693	As002G050730	jg5104
OG0006694	As002G050820	jg5091
OG0006695	As002G050860	jg5082
OG0006696	As002G052620	jg4888
OG0006697	As005G118560, As002G052780	jg4878
OG0006698	As002G053150	jg4846
OG0006699	As002G053210	jg4834
OG0006700	As002G053480	jg4803
OG0006701	As002G053890	jg23404
OG0006703	As002G054280	jg4708
OG0006704	As002G054510	jg4482, jg4686, jg4467
OG0006706	As002G054800	jg4652
OG0006707	As002G055120	jg4610
OG0006708	As003G055630	jg10896
OG0006709	As003G055670	jg10889
OG0006710	As004G079890, As003G055990	jg10853
OG0006711	As003G056030	jg10849
OG0006712	As003G056400	jg10807
OG0006713	As003G056430	jg10804
OG0006714	As003G056600	jg10782
OG0006715	As003G056970	jg10743
OG0006716	As003G057430	jg10689
OG0006717	As003G057670	jg8174
OG0006718	As003G057930	jg10615
OG0006719	As003G057980	jg10609
OG0006720	As004G087180, As003G058180	jg20654
OG0006721	As003G058470, As004G087010	jg10543
OG0006722	As003G058530	jg10537
OG0006723	As003G058790	jg10892
OG0006724	As003G059470	jg10420
OG0006726	As003G059940	jg10367
OG0006727	As003G060610	jg10262
OG0006728	As003G061480	jg10155
OG0006729	As003G061520	jg10151
OG0006731	As003G061870	jg10113, jg7473
OG0006732	As003G061910	jg10107
OG0006733	As004G084060, As003G062050	jg10090
OG0006734	As003G062070	jg10085
OG0006735	As003G062100	jg10084
OG0006736	As003G062230	jg10070
OG0006737	As003G062270	jg10068
OG0006738	As003G062960	jg32036
OG0006739	As003G063990	jg32259
OG0006740	As003G064520	jg30356
OG0006741	As003G064610	jg11070, jg32602
OG0006742	As003G064760	jg32538, jg32539
OG0006743	As003G065070	jg30009
OG0006745	As003G065830	jg32754
OG0006746	As003G066870	jg31307
OG0006747	As003G067040, As008G191580	jg29114
OG0006748	As003G067370	jg10062
OG0006749	As004G082010, As003G067930	jg31294
OG0006750	As003G068020, As004G082250	jg32728
OG0006751	As003G068280	jg31300
OG0006752	As003G068710, As011G266700	jg28217
OG0006753	As003G069180	jg31380
OG0006754	As003G069720	jg31425
OG0006755	As003G069780	jg31427
OG0006756	As003G069810	jg31437
OG0006757	As003G069950	jg31458
OG0006758	As003G070240	jg31517
OG0006759	As003G070660	jg31550
OG0006760	As003G070850	jg31579
OG0006761	As012G275100, As003G071050	jg31589
OG0006762	As003G071270	jg31628
OG0006763	As003G071560	jg31661
OG0006764	As003G072010	jg8771
OG0006765	As003G072480	jg8708
OG0006766	As003G072800	jg8675
OG0006767	As003G072930	jg8664
OG0006768	As003G073330	jg8625
OG0006769	As003G073410	jg8617
OG0006770	As003G073900	jg8573
OG0006771	As003G073960	jg8569
OG0006774	As007G180490	jg16641
OG0006775	As007G181790, As003G075940	jg16540
OG0006776	As003G075980, As007G181820, As007G181830	jg8357
OG0006777	As003G076210	jg8327
OG0006778	As003G076560	jg8302, jg8309
OG0006779	As004G076800	jg33023
OG0006781	As004G079510	jg18671
OG0006782	As004G080490	jg7188, jg7199
OG0006783	As004G080960, As004G080980	jg32570
OG0006784	As004G081170	jg18521
OG0006785	As004G081470	jg18484
OG0006786	As004G082220	jg21003
OG0006787	As004G082270	jg21011, jg21013
OG0006788	As004G082580	jg21069
OG0006789	As004G083030	jg24110
OG0006790	As004G083220, As004G083210, As004G083200	jg7321
OG0006791	As004G084410	jg7491
OG0006792	As004G084610	jg7549
OG0006793	As004G084680	jg7567, jg7561, jg7476, jg27439, jg2204
OG0006794	As004G084690	jg7569
OG0006795	As004G084750	jg7581
OG0006796	As004G084970	jg7608
OG0006797	As004G085670	jg7701
OG0006798	As004G085800, As004G085830	jg7732
OG0006799	As004G086480	jg7822
OG0006800	As004G086550	jg20746
OG0006801	As004G086740	jg20704
OG0006802	As004G087410	jg9685
OG0006803	As004G088300	jg20497
OG0006804	As004G088620	jg20460
OG0006805	As004G089090	jg20398
OG0006806	As004G089140	jg20392
OG0006807	As004G089200	jg20388
OG0006808	As004G089260	jg20382
OG0006809	As004G089480	jg20375
OG0006810	As004G089660	jg20352
OG0006811	As006G147080, As004G089740	jg18965
OG0006812	As004G090250	jg20276
OG0006813	As004G090510	jg20262
OG0006815	As011G258230	jg26933
OG0006816	As011G257610, As004G093430	jg26852
OG0006817	As004G093730	jg26801
OG0006818	As004G093800	jg11562
OG0006819	As004G095140	jg11380
OG0006820	As011G254890	jg26532
OG0006821	As004G095880	jg11276
OG0006822	As004G095960	jg11260
OG0006823	As004G096490	jg11171
OG0006824	As004G096570	jg11164
OG0006825	As004G096660	jg11147
OG0006826	As004G097580	jg12693
OG0006827	As004G097700	jg11561, jg12704
OG0006828	As004G098440	jg12857
OG0006830	As005G098620	jg20224
OG0006831	As012G288890, As005G098650	jg20220
OG0006832	As005G099380	jg13342, jg31989
OG0006833	As005G099490	jg20154
OG0006834	As005G100190	jg18553
OG0006835	As005G100210	jg20088
OG0006836	As005G100340	jg20073
OG0006837	As005G100720	jg20040
OG0006838	As005G100810	jg20032
OG0006839	As005G101060	jg20002
OG0006840	As005G101110	jg19997
OG0006841	As005G101240	jg19980
OG0006842	As005G101380	jg19963
OG0006843	As005G101400	jg19961
OG0006844	As005G101700	jg19935
OG0006845	As005G102320, As012G286240	jg19844
OG0006846	As005G104040	jg19667
OG0006847	As005G104180	jg19638
OG0006848	As005G104510	jg19605
OG0006849	As005G104560	jg19600
OG0006850	As005G104900	jg19545
OG0006851	As005G105250	jg19529
OG0006852	As005G105510	jg19470
OG0006853	As005G106170	jg19428
OG0006854	As005G107190	jg3942
OG0006855	As005G107380	jg3963
OG0006856	As005G107520	jg3981
OG0006857	As005G107530	jg3982
OG0006858	As005G107980	jg4039
OG0006859	As005G108040	jg4045
OG0006860	As005G108130	jg4052
OG0006861	As005G108230	jg4064
OG0006862	As005G108860	jg4133
OG0006863	As005G108890	jg4136
OG0006864	As005G109710	jg31401
OG0006865	As007G179320, As005G110070	jg5830
OG0006866	As005G110630	jg5852
OG0006867	As005G110650	jg5859
OG0006868	As005G111390	jg5883
OG0006869	As005G111480	jg5896
OG0006870	As005G112320, As005G112310	jg5948
OG0006871	As010G226880, As005G112370	jg5955
OG0006872	As005G112470, As005G112460	jg5963
OG0006873	As005G112970	jg5992
OG0006874	As005G113160	jg6010
OG0006875	As005G113830, As010G225760	jg6129
OG0006876	As005G114080, As006G129840	jg23005
OG0006878	As006G145260, As005G114640	jg22937
OG0006879	As005G114810	jg22917
OG0006880	As005G116100	jg23287
OG0006881	As005G116730	jg23356
OG0006882	As005G116740	jg23357
OG0006883	As005G116950	jg23391
OG0006884	As005G117040	jg23399
OG0006885	As005G117230	jg23415
OG0006886	As005G117300	jg23421
OG0006887	As005G117450	jg23446
OG0006888	As005G117460	jg23447
OG0006889	As005G117810	jg23486
OG0006890	As005G117940	jg22815, jg23498
OG0006891	As005G118110	jg23507
OG0006892	As005G118180	jg23517
OG0006893	As005G118440	jg23547
OG0006894	As005G118600	jg23563
OG0006895	As005G119140	jg23631
OG0006896	As005G119180	jg23634
OG0006897	As005G119280	jg23645
OG0006899	As005G120400	jg23754
OG0006900	As005G120470	jg5556
OG0006901	As005G120500	jg23761
OG0006902	As006G121020	jg8244
OG0006903	As006G121180, As009G214500	jg8223
OG0006904	As006G121280	jg8172
OG0006905	As008G199070, As006G121520	jg8198
OG0006906	As006G121980	jg8120
OG0006907	As006G122240	jg8158
OG0006908	As008G198460	jg28515
OG0006909	As006G122930	jg8014
OG0006910	As006G123720	jg7874
OG0006911	As006G123770	jg7897
OG0006912	As006G123870	jg7907
OG0006913	As006G124040	jg7922
OG0006914	As008G196910, As006G124250	jg28688, jg7823
OG0006915	As006G124580	jg20799
OG0006916	As006G124640	jg20804
OG0006917	As006G124750	jg20817
OG0006918	As006G125360	jg18435
OG0006919	As008G195830	jg18395
OG0006920	As006G125740	jg18293
OG0006921	As006G125780, As008G195760	jg18346
OG0006922	As006G125820	jg18351
OG0006923	As006G125830	jg18352
OG0006924	As008G195570, As006G125950	jg18366
OG0006925	As006G126260	jg18322
OG0006926	As006G126300	jg18317
OG0006927	As006G126360	jg18287
OG0006928	As006G126460	jg18274
OG0006929	As006G126940	jg18244
OG0006930	As006G126960	jg18242
OG0006931	As006G127100	jg18220
OG0006932	As006G127640	jg18152
OG0006933	As006G127900	jg18118
OG0006934	As006G128040	jg18092
OG0006935	As006G128160	jg18076
OG0006936	As006G128190	jg29047
OG0006937	As006G128370	jg18053
OG0006938	As006G128420	jg18043
OG0006939	As006G128720	jg17985
OG0006940	As006G129170, As006G129150	jg17898
OG0006942	As006G129530	jg17850
OG0006943	As006G129700	jg17826
OG0006944	As006G129870	jg17802
OG0006945	As006G130520	jg17555
OG0006946	As006G130590	jg17574
OG0006947	As006G130660	jg17589
OG0006948	As006G130830	jg17635
OG0006949	As006G130910	jg17658
OG0006950	As006G131860	jg17261, jg10823
OG0006951	As006G131980	jg17228
OG0006952	As006G132060	jg17199
OG0006953	As006G132730	jg5208, jg23962
OG0006954	As006G134110	jg9815
OG0006955	As006G134400	jg9757
OG0006956	As006G134760	jg23974
OG0006957	As006G134930	jg23995
OG0006958	As006G134980	jg23998
OG0006959	As006G135150	jg24021
OG0006960	As006G135590	jg24076
OG0006961	As006G135660	jg24086
OG0006962	As006G135850	jg24107
OG0006963	As006G135990	jg24123
OG0006964	As006G136070	jg24134
OG0006965	As006G136660	jg24207
OG0006966	As006G136820	jg24219
OG0006967	As006G136960	jg24234
OG0006968	As006G137300	jg24265
OG0006969	As006G137460	jg24307
OG0006970	As006G137560	jg24316
OG0006971	As006G137740, As009G207040	jg24336
OG0006972	As006G138010	jg24367
OG0006973	As006G138160	jg24382
OG0006974	As006G138620	jg24434
OG0006975	As006G138800	jg24455
OG0006976	As006G139480	jg24528
OG0006977	As006G139490	jg24529
OG0006978	As006G139580	jg24539
OG0006979	As006G139790	jg24557, jg24556
OG0006980	As006G139840	jg24559
OG0006981	As009G204370, As006G140050	jg5695
OG0006982	As006G140420	jg24627
OG0006983	As006G140440	jg24629
OG0006984	As006G140680	jg24653
OG0006985	As006G140850	jg24668
OG0006986	As006G141150	jg24695
OG0006987	As006G141530	jg24736
OG0006988	As006G142260	jg24816
OG0006989	As006G142740	jg19270
OG0006990	As006G142830	jg19254
OG0006991	As006G142920	jg19243
OG0006992	As006G143200	jg19212
OG0006993	As006G143280	jg19198
OG0006994	As006G143430	jg19183
OG0006995	As006G143770	jg19125
OG0006996	As006G143830	jg19115
OG0006997	As006G144250	jg19068
OG0006998	As006G144300	jg19063
OG0006999	As006G144340	jg19059
OG0007000	As006G144350	jg19058
OG0007001	As006G144420	jg18721
OG0007002	As006G144450	jg18723
OG0007003	As006G144600	jg18736
OG0007004	As006G144630	jg18740
OG0007005	As012G276150, As006G144710	jg18751
OG0007007	As006G145050	jg18778
OG0007008	As006G145730	jg18857
OG0007009	As006G145910	jg18874
OG0007010	As006G146000, As006G145980, As006G146010	jg18882
OG0007011	As006G146070	jg18886
OG0007012	As006G146180	jg18895
OG0007013	As006G146970	jg18953
OG0007014	As006G147100	jg19004, jg18997
OG0007015	As006G148290	jg19034
OG0007016	As007G152300	jg30073
OG0007017	As007G152320	jg3695
OG0007018	As007G152820	jg30119
OG0007019	As007G152840	jg25229
OG0007020	As007G153260	jg30203, jg30191
OG0007021	As007G153310	jg30209
OG0007023	As010G241460, As007G153710	jg2866
OG0007024	As007G154030	jg30288
OG0007025	As007G154110, As007G154050	jg30293
OG0007026	As007G154310	jg30309
OG0007027	As007G154400	jg30321
OG0007028	As007G155040	jg30384
OG0007029	As007G155400	jg30425
OG0007030	As007G155410	jg30426
OG0007031	As007G155580	jg30448
OG0007032	As007G155590	jg30449
OG0007033	As007G155860	jg13463, jg30482
OG0007034	As007G155960	jg30495
OG0007035	As007G156760	jg30605
OG0007036	As007G156930, As010G231390	jg30634, jg24040
OG0007037	As007G157330	jg30687
OG0007038	As007G157890	jg30739
OG0007039	As007G157990	jg3436, jg30745
OG0007040	As007G158110	jg30766
OG0007041	As007G158120	jg30771, jg1117
OG0007043	As007G159580	jg30915, jg32006
OG0007044	As007G159730	jg30946, jg30947
OG0007045	As007G159830, As010G233240	jg30962
OG0007046	As007G160090	jg31011
OG0007047	As007G161190	jg31158
OG0007048	As007G161740	jg31217
OG0007049	As007G161880	jg31233, jg31234
OG0007050	As007G162770	jg10049, jg10047
OG0007051	As007G163030	jg10022
OG0007052	As007G163140	jg10008
OG0007053	As007G164680	jg21831
OG0007054	As007G177630, As007G177120	jg9680
OG0007055	As007G178080	jg16926
OG0007056	As007G179390	jg16815
OG0007057	As007G179500	jg18967
OG0007058	As007G179940	jg16708
OG0007059	As007G180460	jg16649
OG0007060	As007G182010	jg16508
OG0007061	As007G182190	jg21347
OG0007062	As008G182850	jg29935
OG0007063	As008G183210, As008G183220	jg29895
OG0007064	As008G183500	jg29859
OG0007065	As008G184150	jg29781
OG0007066	As008G184310	jg29760
OG0007067	As008G184370	jg29753
OG0007068	As008G184760	jg29688
OG0007069	As008G184820	jg1304, jg29685
OG0007070	As008G185510	jg29626
OG0007071	As008G185780	jg19648, jg31814
OG0007072	As008G186290	jg29535
OG0007073	As008G186320	jg29531
OG0007074	As008G186540	jg29515
OG0007075	As008G186560	jg29512
OG0007076	As008G187300	jg29417
OG0007077	As008G187760	jg29379
OG0007078	As008G188030	jg29344
OG0007079	As008G188040	jg29343
OG0007080	As008G188520	jg29289
OG0007081	As008G189030	jg29259
OG0007082	As008G189480	jg29241
OG0007083	As008G191030	jg29191
OG0007084	As008G192230	jg20057
OG0007085	As008G192660	jg29101, jg29102
OG0007086	As008G192910	jg29085
OG0007087	As008G192930	jg29083
OG0007088	As008G193230	jg29039
OG0007089	As008G193280	jg21747
OG0007091	As008G193950	jg28971
OG0007092	As008G194130, As008G194120	jg28956
OG0007093	As008G194500	jg28917
OG0007094	As008G195580	jg28818
OG0007095	As008G195810	jg28798
OG0007096	As008G195920	jg28788
OG0007097	As008G195990	jg28779
OG0007098	As008G196030	jg28774
OG0007099	As008G196320	jg28745
OG0007100	As008G196750	jg28713
OG0007101	As008G197010	jg28703
OG0007102	As008G197520	jg28613
OG0007103	As008G197540	jg10967
OG0007104	As008G197590	jg28604
OG0007105	As008G197600	jg28601
OG0007106	As008G198770	jg28473
OG0007107	As008G199340	jg15038
OG0007108	As008G199480	jg28412
OG0007109	As009G200050	jg5255
OG0007110	As009G200070	jg5252
OG0007111	As009G200090	jg5250
OG0007112	As009G200190	jg5236
OG0007113	As009G200580	jg5304
OG0007114	As009G201200	jg5362
OG0007115	As009G201420	jg5344, jg5343
OG0007116	As009G201470	jg5392
OG0007117	As009G202360	jg5464
OG0007118	As009G202540	jg12320
OG0007119	As009G202550	jg5487
OG0007120	As009G202930	jg5524
OG0007121	As009G203160	jg5553
OG0007122	As009G203260	jg5576
OG0007123	As009G204540	jg5715
OG0007124	As009G205050	jg5779
OG0007125	As009G205370	jg6542
OG0007126	As009G205450	jg6551
OG0007127	As009G205890	jg6604
OG0007128	As009G206330	jg6656
OG0007129	As009G207190	jg6862
OG0007130	As009G207530	jg21578
OG0007131	As009G208100	jg21479
OG0007132	As009G208300	jg21464
OG0007133	As009G209190	jg21372
OG0007134	As009G209550	jg21430
OG0007135	As009G210540	jg5163
OG0007136	As009G211320	jg4525
OG0007137	As009G211560	jg4497
OG0007138	As009G211900	jg4454, jg4437
OG0007139	As009G212000	jg5161
OG0007140	As009G212180	jg5160
OG0007141	As009G212340	jg4406
OG0007142	As009G213140	jg4477, jg4312
OG0007143	As009G214010	jg4258
OG0007144	As009G214070	jg4236
OG0007145	As009G214130	jg4243
OG0007146	As009G214570	jg4200
OG0007147	As009G214770	jg5806, jg5805
OG0007148	As009G214980	jg6467
OG0007149	As009G215010	jg6461
OG0007150	As009G215080	jg6458
OG0007151	As009G215570	jg6379
OG0007152	As009G215590	jg6375
OG0007153	As009G215790	jg6351
OG0007154	As009G215800	jg6350
OG0007155	As009G216380	jg6278
OG0007156	As009G216500	jg6264
OG0007157	As009G216510	jg6263
OG0007158	As010G222330, As009G216880	jg14713
OG0007159	As009G216960	jg6211
OG0007160	As009G217050	jg6201
OG0007161	As009G217200	jg6179
OG0007162	As009G217210	jg6178
OG0007163	As009G217590	jg23028
OG0007164	As009G217610	jg23034
OG0007165	As009G217670	jg23039
OG0007166	As009G217870	jg23068
OG0007167	As009G218150	jg23100
OG0007168	As009G218880	jg23195
OG0007169	As009G218970	jg23202
OG0007170	As009G219040	jg23211
OG0007171	As009G219190	jg23231
OG0007172	As009G219270	jg14607
OG0007172	As010G223100	jg14608
OG0007173	As009G219390	jg23258
OG0007174	As009G219640	jg22786
OG0007175	As010G220670	jg14963
OG0007176	As010G221470	jg14837
OG0007178	As010G223040	jg14622
OG0007179	As010G223220	jg14597
OG0007181	As010G224110	jg14490
OG0007182	As010G224850	jg14382
OG0007183	As010G225630	jg14273, jg17675
OG0007184	As010G225690	jg14266, jg14262
OG0007185	As010G226260	jg14148
OG0007186	As010G226490	jg14077
OG0007187	As010G228540, As010G229140	jg2279
OG0007188	As010G228820	jg2269
OG0007190	As010G232180	jg24804
OG0007191	As010G232470	jg2522
OG0007192	As010G232670	jg2544
OG0007193	As010G232810	jg2379
OG0007194	As010G232960	jg2588, jg13738
OG0007195	As010G232970	jg2589
OG0007196	As010G233010	jg2598
OG0007198	As010G233840	jg2712
OG0007199	As010G233930	jg2720
OG0007200	As010G234090	jg2742
OG0007201	As010G234560	jg2800
OG0007202	As010G234780	jg2821
OG0007204	As010G235140	jg3507
OG0007205	As010G235730	jg3439
OG0007206	As010G235790	jg20580, jg20582
OG0007207	As010G236130	jg3401
OG0007208	As010G236220	jg3391
OG0007209	As010G236700	jg3338
OG0007210	As010G237060	jg3304
OG0007211	As010G237260	jg3285
OG0007212	As010G237440	jg3262
OG0007213	As010G237760	jg3230
OG0007214	As010G237790	jg3228
OG0007215	As010G238570	jg3149
OG0007217	As010G238710	jg3135
OG0007218	As010G238730	jg3131
OG0007219	As010G239040	jg3100
OG0007220	As010G239790	jg3018
OG0007221	As010G240490	jg2963
OG0007222	As010G240770	jg20227
OG0007223	As010G240990	jg2913
OG0007224	As010G241380	jg2873
OG0007225	As010G241640	jg3513
OG0007226	As010G242070	jg3550
OG0007227	As010G242180	jg24991
OG0007228	As010G242660	jg3616
OG0007229	As010G242750	jg3627
OG0007230	As010G243030	jg3651
OG0007231	As010G243260	jg30090, jg30502
OG0007232	As010G243280, As010G244230	jg3766
OG0007233	As010G243350	jg3678
OG0007234	As010G243400	jg3683
OG0007235	As010G243450	jg3693
OG0007236	As010G243600	jg17235, jg3708
OG0007237	As010G243650	jg30068
OG0007238	As010G243970	jg30597
OG0007239	As010G244020	jg24631
OG0007240	As011G244850	jg25264
OG0007241	As011G244870	jg25270
OG0007242	As011G245550	jg25343, jg25342
OG0007243	As011G245680	jg25366
OG0007244	As011G245810	jg25387
OG0007245	As011G246240	jg25425
OG0007246	As011G246290	jg25430
OG0007247	As011G246770	jg25475
OG0007248	As011G247550	jg25575
OG0007250	As011G247750	jg25600
OG0007251	As011G247960	jg25620
OG0007252	As011G248010	jg25625
OG0007253	As011G248230	jg25649
OG0007254	As011G248240, As012G270780	jg25650
OG0007255	As011G248310	jg25660
OG0007256	As011G248360	jg25666
OG0007257	As011G248680	jg25955
OG0007258	As011G249230	jg25784
OG0007259	As011G249340	jg25813
OG0007260	As011G249560	jg25850
OG0007261	As011G249850	jg25889
OG0007262	As011G249870	jg25895
OG0007263	As011G250000	jg25914
OG0007264	As011G250130	jg25930, jg26641
OG0007265	As011G250210	jg25936
OG0007266	As011G250540	jg25978
OG0007267	As011G250850	jg26009
OG0007268	As011G250980	jg26021
OG0007269	As011G251360	jg26064
OG0007270	As011G251410	jg26073
OG0007271	As011G251470	jg26080
OG0007272	As011G251570	jg26089
OG0007273	As011G251790, As012G272410	jg26116
OG0007274	As011G252100	jg26148
OG0007275	As011G252500	jg26176
OG0007276	As011G253140	jg26259
OG0007277	As011G253320	jg26301
OG0007278	As011G253400	jg26351
OG0007279	As011G253510	jg26336
OG0007280	As011G253520	jg26332
OG0007281	As011G253590, As012G271280	jg26322
OG0007282	As011G254160	jg26436
OG0007283	As011G254170	jg26440
OG0007284	As011G254290	jg26455
OG0007285	As011G254300	jg26456
OG0007286	As011G254480	jg26479
OG0007287	As011G254580	jg26495
OG0007288	As011G254680	jg26511
OG0007289	As011G255510	jg26614
OG0007290	As011G255640	jg26632
OG0007291	As011G255700	jg26638
OG0007292	As011G256080	jg26677
OG0007293	As011G256180	jg21323, jg26702
OG0007294	As011G256440	jg26748
OG0007295	As011G256640	jg26768
OG0007296	As011G260430	jg27363
OG0007297	As011G261230	jg7224, jg17783
OG0007298	As011G261850	jg27356
OG0007299	As011G262630	jg27552
OG0007300	As011G263420	jg27705
OG0007301	As011G264170	jg27833
OG0007302	As011G264340	jg27863
OG0007303	As011G264710	jg27905
OG0007304	As011G265080	jg27962
OG0007305	As011G265680	jg28068
OG0007306	As011G265960	jg28113
OG0007307	As011G266300	jg28149
OG0007308	As011G267100	jg28259
OG0007309	As012G267680	jg25222
OG0007310	As012G268340	jg33716
OG0007311	As012G268730	jg33689
OG0007312	As012G268840	jg33678
OG0007313	As012G269430	jg33604
OG0007314	As012G270580	jg33450
OG0007315	As012G270840	jg33408
OG0007316	As012G270920	jg33394
OG0007317	As012G271320	jg33334
OG0007318	As012G271420	jg33320
OG0007319	As012G272440	jg33126, jg33134
OG0007320	As012G272970	jg33039
OG0007321	As012G273110	jg32954
OG0007322	As012G273370	jg32977
OG0007323	As012G273780	jg32921
OG0007324	As012G273920	jg32902
OG0007326	As012G274270	jg11030, jg11035
OG0007327	As012G274300	jg11038
OG0007328	As012G274620	jg11090
OG0007329	As012G274940	jg18597
OG0007330	As012G274960	jg18595
OG0007331	As012G275610	jg26361
OG0007332	As012G275630	jg15118
OG0007333	As012G275870	jg15146
OG0007334	As012G276020	jg15167
OG0007335	As012G276040	jg15168
OG0007336	As012G276720	jg15249
OG0007337	As012G278680	jg15081, jg15066, jg15059
OG0007338	As012G279050	jg15065, jg15072
OG0007339	As012G279530	jg15375
OG0007340	As012G280270	jg15396
OG0007341	As012G280940	jg15426
OG0007342	As012G281940	jg15485
OG0007343	As012G282120	jg9141
OG0007344	As012G282270	jg15535
OG0007345	As012G282960	jg15621
OG0007346	As012G283280	jg15701
OG0007347	As012G284950	jg15894
OG0007348	As012G284980	jg15896
OG0007349	As012G285660	jg16009
OG0007350	As012G286720	jg16119
OG0007351	As012G286820	jg16129
OG0007352	As012G287380	jg16183
OG0007353	As012G288010	jg16271
OG0007354	As012G288070	jg16281
OG0007355	As012G289070	jg16406, jg16397, jg16390
OG0007413	As001G000150	jg9611
OG0007414	As001G000370	jg9584
OG0007415	As001G000390	jg9582
OG0007416	As001G000570	jg9566
OG0007417	As001G000650	jg9558
OG0007418	As001G000730	jg9549
OG0007419	As001G001370	jg9484
OG0007420	As001G001520	jg9457
OG0007422	As001G001890	jg9417
OG0007423	As001G002040	jg9404
OG0007424	As001G002290	jg9384
OG0007425	As001G002640	jg9350
OG0007426	As001G003380	jg9285
OG0007427	As001G003490	jg9273
OG0007428	As001G003640	jg9265
OG0007429	As001G003690	jg9261
OG0007430	As001G003780	jg9253
OG0007431	As001G003800	jg9249
OG0007432	As001G003990	jg9228
OG0007433	As006G131030, As003G071030, As003G071040, As003G070990, As001G004430, As001G004440, As006G131020, As006G131130	jg9638
OG0007434	As001G004660	jg9180
OG0007435	As001G004670	jg9171
OG0007436	As001G004700	jg9169
OG0007437	As001G004730	jg9167
OG0007438	As001G004880	jg9158
OG0007439	As001G005170	jg9137
OG0007440	As001G006410	jg9116
OG0007441	As001G009850	jg9062
OG0007442	As001G010220	jg9071
OG0007443	As001G010250, As001G015350	jg9038
OG0007444	As001G010280, As001G015340	jg9039
OG0007445	As001G012310	jg8992
OG0007446	As001G012840	jg8937
OG0007447	As003G064330, As004G092950, As001G013360, As001G013040	jg8075, jg22196
OG0007448	As001G013680	jg8961
OG0007449	As001G013720	jg8963
OG0007450	As001G013760	jg8967
OG0007451	As001G014130	jg8909
OG0007452	As001G014200, As011G263190	jg8904
OG0007453	As001G014260	jg8896
OG0007454	As001G014280	jg8894
OG0007455	As001G014480	jg8874
OG0007456	As001G014770	jg8859
OG0007458	As001G016010, As004G079130	jg31776
OG0007459	As001G016030	jg31778
OG0007460	As001G016440	jg31825
OG0007461	As001G016650	jg31844
OG0007462	As001G016680	jg31854
OG0007464	As001G017540	jg10935
OG0007465	As001G017760	jg10958
OG0007466	As001G018070	jg11002
OG0007467	As001G018240	jg11015
OG0007468	As001G018360	jg6688, jg1554
OG0007469	As001G018600	jg1520
OG0007470	As001G019110	jg11159
OG0007471	As001G019140	jg1363
OG0007472	As001G019200	jg4588
OG0007473	As001G019690	jg1178
OG0007474	As001G020310	jg1091
OG0007475	As001G021380	jg876, jg877
OG0007476	As001G021500	jg857
OG0007477	As008G186460, As001G021550	jg29524
OG0007478	As001G021730	jg795
OG0007479	As001G021870	jg776
OG0007480	As001G021900	jg771
OG0007481	As001G022200	jg12896
OG0007482	As001G022300	jg12908
OG0007483	As001G022400	jg12918
