Orthogroup	Aethionema_saxatile	Arabidopsis_lyrata_NCBI
OG0007857	As005G120310	XP_020890730.1
OG0007858	As005G120510	XP_020881060.1
OG0007859	As005G120540	XP_020887419.1
OG0007860	As006G121250	XP_020878513.1
OG0007861	As006G121380	XP_002872940.1
OG0007862	As006G121780	XP_002874990.1
OG0007863	As006G122040	XP_020877996.1
OG0007864	As006G122090	XP_020876522.1
OG0007865	As006G122370	XP_020879030.1
OG0007866	As006G122570	XP_002872881.1
OG0007867	As006G122920	XP_020879250.1
OG0007868	As006G123080	XP_020879158.1
OG0007869	As006G123110	XP_002872847.1
OG0007870	As006G123140	XP_020877293.1
OG0007871	As006G123520	XP_020878201.1
OG0007872	As006G123570	XP_020878566.1
OG0007873	As006G123810	XP_002872801.1
OG0007874	As006G123990	XP_020876449.1
OG0007875	As006G124350	XP_002865378.2
OG0007876	As006G124670	XP_020871732.1
OG0007877	As006G125220	XP_020884674.1
OG0007878	As006G125270	XP_020884392.1
OG0007879	As006G125310, As008G196130	XP_002879448.1
OG0007880	As006G125650	XP_002879382.1
OG0007881	As006G125670	XP_020884388.1
OG0007882	As006G125690	XP_020884594.1
OG0007884	As006G126120	XP_002881220.2, XP_020873169.1
OG0007885	As008G194640, As006G126930	XP_020882667.1
OG0007886	As006G127420	XP_020884017.1
OG0007887	As006G127530	XP_020884628.1
OG0007888	As006G127650	XP_020883084.1
OG0007890	As006G127730, As008G193570	XP_020869236.1
OG0007891	As006G127810	XP_020885289.1
OG0007892	As006G128030	XP_020883063.1
OG0007893	As006G128140	XP_020884381.1
OG0007894	As006G128170	XP_020884301.1
OG0007895	As006G128290	XP_020882690.1
OG0007896	As006G128450	XP_002889633.1
OG0007897	As006G128460	XP_020884160.1
OG0007898	As006G129430	XP_020885214.1
OG0007899	As006G129440	XP_002881008.1
OG0007900	As006G129790	XP_020883973.1
OG0007901	As006G129830	XP_002880928.1
OG0007902	As006G129940	XP_002862929.1, XP_002880935.1
OG0007903	As006G130240	XP_020883779.1
OG0007904	As006G130560	XP_020883961.1
OG0007905	As006G131190	XP_020883953.1
OG0007906	As006G131510	XP_002871235.1, XP_002873255.1
OG0007907	As006G131650	XP_020882784.1
OG0007908	As006G131740	XP_002880771.1
OG0007909	As006G132380	XP_020874358.1
OG0007910	As006G132570	XP_020873640.1
OG0007911	As006G132860, As009G200510	XP_002873688.1
OG0007912	As006G133110	XP_002882176.1
OG0007913	As006G133400	XP_020878712.1
OG0007914	As006G133970	XP_002870500.1
OG0007915	As006G134170	XP_020873715.1
OG0007916	As006G134830	XP_002882193.1
OG0007917	As006G134870	XP_002882196.1
OG0007918	As006G134890, As009G201310	XP_020876815.1
OG0007919	As006G135130	XP_020886913.1
OG0007920	As006G135370	XP_020886899.1
OG0007921	As006G135670	XP_020887111.1
OG0007922	As006G135800	XP_002884340.1
OG0007923	As006G135880	XP_002882256.1
OG0007924	As006G136110	XP_002884359.1
OG0007925	As009G203430, As006G136480	XP_002882294.1
OG0007926	As006G136880	XP_020887002.1
OG0007927	As006G137360	XP_002884428.1
OG0007928	As006G137900	XP_020888965.1
OG0007929	As006G137940	XP_020886530.1
OG0007930	As006G138110	XP_002882382.1
OG0007931	As006G138210	XP_020887058.1
OG0007932	As006G138340	XP_020886443.1, XP_002862604.2
OG0007933	As009G206580, As006G138430	XP_020888188.1
OG0007934	As006G138470	XP_020886934.1
OG0007935	As006G138630	XP_002884502.1
OG0007936	As006G138780	XP_002882421.2
OG0007937	As006G138840	XP_002884514.1
OG0007938	As006G139070	XP_020888748.1
OG0007939	As006G139390	XP_002884544.1
OG0007940	As006G139520	XP_002882446.1
OG0007941	As006G139700	XP_020888616.1
OG0007942	As006G140130	XP_002884588.1
OG0007943	As006G140180	XP_002884589.1
OG0007944	As006G140200	XP_020887927.1
OG0007945	As006G140220	XP_002884593.1
OG0007946	As006G140240	XP_002884595.1
OG0007947	As006G140250	XP_002882482.1
OG0007948	As006G140690	XP_002863925.1
OG0007949	As006G140810	XP_002882512.1
OG0007950	As006G141050	XP_002884642.1
OG0007951	As006G141220	XP_020887273.1
OG0007952	As006G141400	XP_002884662.1
OG0007953	As006G141490	XP_002882547.1
OG0007954	As006G141500	XP_002882548.1
OG0007955	As006G141690	XP_002882562.1
OG0007956	As006G141840	XP_020889442.1
OG0007957	As006G142100	XP_020887216.1
OG0007958	As006G142770	XP_002879851.1
OG0007959	As006G142800	XP_020884498.1, XP_020884499.1
OG0007960	As006G142820	XP_020884066.1
OG0007961	As006G142990	XP_002881688.1
OG0007962	As006G143150	XP_020885427.1
OG0007963	As006G143540	XP_020885188.1, XP_020871527.1
OG0007964	As006G144270	XP_020885465.1
OG0007965	As006G144610	XP_020883723.1
OG0007966	As006G144640	XP_002879591.1
OG0007967	As006G144730	XP_020885464.1
OG0007968	As006G145060	XP_020884245.1
OG0007969	As006G145090	XP_020883988.1
OG0007970	As006G145230	XP_020883023.1
OG0007971	As006G145480	XP_002881482.1
OG0007972	As006G145520	XP_002879636.1
OG0007973	As006G145690	XP_020883879.1
OG0007974	As006G145840	XP_002881495.1
OG0007975	As006G146570	XP_020885011.1, XP_020883180.1
OG0007976	As006G146760	XP_020885727.1
OG0007977	As006G146800	XP_002881549.1
OG0007978	As006G146960	XP_020885599.1
OG0007979	As006G147600	XP_020885159.1
OG0007980	As006G147980	XP_002879733.1, XP_020883347.1
OG0007981	As006G148510	XP_020882753.1, XP_020884749.1
OG0007982	As006G149020	XP_002879574.1
OG0007983	As007G152010	XP_002892865.1
OG0007984	As007G152770	XP_020868648.1
OG0007985	As007G153170	XP_002890186.1
OG0007986	As007G154300	XP_002892968.1
OG0007987	As007G154490	XP_002890269.1
OG0007988	As007G154580	XP_002892987.1
OG0007989	As007G154780	XP_002893000.1
OG0007991	As007G154880	XP_002890278.1
OG0007992	As007G155060	XP_020867610.1
OG0007993	As007G155110	XP_020867617.1
OG0007994	As007G155270	XP_002893020.1
OG0007995	As007G155640	XP_020866500.1
OG0007996	As007G155660	XP_002893040.1
OG0007997	As010G238350, As007G155760	XP_020867722.1
OG0007998	As007G155800	XP_020870085.1
OG0007999	As007G156060	XP_020866995.1
OG0008000	As007G156070	XP_002893077.1
OG0008001	As007G156150	XP_020870430.1
OG0008002	As007G156350	XP_020869772.1
OG0008003	As007G156480	XP_020869122.1
OG0008004	As007G156880	XP_020870736.1
OG0008005	As010G237040, As007G156900	XP_002889084.1
OG0008006	As007G157040	XP_002893147.1
OG0008007	As007G157260	XP_002890437.2
OG0008008	As010G236370, As007G157380	XP_020867511.1
OG0008009	As007G157410	XP_002893165.1
OG0008010	As007G157420, As010G236320	XP_002887670.1
OG0008011	As007G157440	XP_002893169.1
OG0008012	As007G157580	XP_020868555.1
OG0008013	As007G157670	XP_020868864.1
OG0008014	As007G158270	XP_002890505.1
OG0008015	As007G158330	XP_002890509.1
OG0008016	As007G158540	XP_020866361.1, XP_020869830.1
OG0008017	As007G158630	XP_020867351.1
OG0008018	As007G159200	XP_020870660.1
OG0008019	As007G159590	XP_002890583.1
OG0008020	As010G233280, As007G159740	XP_002890596.1
OG0008021	As007G160100	XP_002890615.1
OG0008022	As007G161140	XP_002890680.1
OG0008023	As007G161150	XP_002890682.1
OG0008024	As007G161220	XP_002890686.1
OG0008025	As007G161500	XP_020891774.1
OG0008026	As007G161840	XP_020867104.1
OG0008027	As007G162140	XP_002890719.1
OG0008028	As007G162150	XP_020868421.1
OG0008029	As007G162260	XP_002893467.1
OG0008030	As007G162670	XP_002867675.2
OG0008031	As007G162730	XP_002867673.1
OG0008032	As007G162780	XP_020873383.1
OG0008033	As007G162970	XP_020873353.1
OG0008034	As007G163040	XP_020873252.1
OG0008035	As007G164310	XP_002869691.1
OG0008036	As007G164390	XP_020873681.1
OG0008037	As007G164580	XP_002869681.1
OG0008038	As007G164690	XP_002869679.1
OG0008039	As007G164750	XP_020873454.1
OG0008040	As007G166640	XP_020872159.1
OG0008041	As007G166690	XP_002869530.1
OG0008042	As007G177540	XP_002878803.1
OG0008043	As007G177920	XP_020885197.1
OG0008044	As007G178190, As007G178250	XP_020885751.1
OG0008045	As007G179570	XP_020884079.1
OG0008046	As007G179800	XP_002888969.1
OG0008047	As007G179960	XP_020885815.1
OG0008048	As007G179970	XP_020882825.1
OG0008049	As007G179980	XP_020884304.1
OG0008050	As007G180130	XP_020884236.1
OG0008051	As007G180160	XP_020884932.1
OG0008052	As007G180580	XP_020883231.1
OG0008053	As007G180650	XP_002880402.1
OG0008055	As007G180960	XP_020884194.1
OG0008056	As007G181760	XP_020884326.1
OG0008057	As007G181800	XP_020884999.1, XP_002880370.1
OG0008058	As007G181910	XP_020883928.1
OG0008059	As008G182330	XP_020867015.1
OG0008060	As008G182400	XP_002892845.1
OG0008061	As008G182430	XP_002890082.1
OG0008062	As008G182500	XP_020869340.1
OG0008063	As008G182650	XP_020870534.1
OG0008064	As008G182810	XP_020866304.1
OG0008065	As008G182990	XP_002890054.1
OG0008066	As008G183360	XP_020869725.1
OG0008067	As008G183410	XP_020868249.1
OG0008068	As008G183650	XP_002892768.1
OG0008070	As008G184290	XP_002889981.1
OG0008071	As008G184300	XP_002889980.1
OG0008072	As008G184630	XP_002889951.2, XP_002889943.1
OG0008073	As008G184730	XP_002892692.1
OG0008074	As008G184810	XP_020870193.1
OG0008075	As008G185300	XP_020867843.1
OG0008076	As008G185520	XP_020866976.1
OG0008077	As008G185570	XP_002889897.2
OG0008078	As008G185810	XP_002889880.1
OG0008080	As008G186010	XP_002889868.1
OG0008081	As008G186980	XP_020870794.1
OG0008082	As008G187220	XP_020866470.1
OG0008084	As008G187870	XP_002889791.1
OG0008085	As008G187970	XP_020868180.1
OG0008086	As008G188130	XP_002877980.1
OG0008087	As008G189490	XP_020868148.1
OG0008088	As008G189820	XP_020868665.1
OG0008089	As008G189840	XP_002892462.1
OG0008090	As008G192490	XP_002892405.1
OG0008091	As008G192990	XP_002892388.1
OG0008092	As008G193100	XP_020867297.1
OG0008094	As008G193340	XP_020868596.1
OG0008095	As008G193500	XP_002892352.1
OG0008096	As008G193550	XP_002889609.1
OG0008097	As008G193600	XP_020882829.1, XP_002879289.1, XP_020867817.1
OG0008098	As008G193630	XP_002889606.1
OG0008099	As008G193780, As008G193800	XP_002892335.1
OG0008100	As008G194080	XP_002892320.1
OG0008101	As008G194340	XP_020867688.1
OG0008102	As008G194660	XP_020867573.1
OG0008103	As008G195440	XP_002892260.1
OG0008104	As008G195720	XP_020877242.1
OG0008105	As008G196020	XP_002889515.1
OG0008106	As008G196150	XP_020870357.1
OG0008107	As008G196170	XP_020867603.1
OG0008108	As008G196400	XP_002889497.1
OG0008109	As008G196790	XP_020869776.1
OG0008110	As008G196810	XP_002892170.1
OG0008111	As008G196820	XP_020869877.1
OG0008112	As008G196850	XP_002889465.1
OG0008113	As008G196990	XP_002892181.1
OG0008114	As008G197230	XP_020870316.1
OG0008115	As008G197320	XP_002889441.2
OG0008116	As008G197370	XP_002889437.1
OG0008117	As008G197640	XP_020868245.1
OG0008118	As008G197970	XP_002889400.1
OG0008119	As008G198000	XP_020869088.1
OG0008120	As008G198010	XP_002892108.2
OG0008121	As008G198130	XP_002892102.2
OG0008122	As008G198470	XP_020866513.1
OG0008123	As008G199010	XP_020866657.1
OG0008124	As008G199540	XP_002872976.2
OG0008125	As008G199620	XP_002889330.1
OG0008126	As009G199990	XP_020879039.1
OG0008127	As009G200160	XP_020878248.1
OG0008128	As009G200450	XP_002871627.1
OG0008129	As009G200460	XP_020877426.1
OG0008130	As009G200570	XP_020877087.1
OG0008131	As009G200930	XP_020876568.1
OG0008132	As009G201000	XP_002873731.1
OG0008133	As009G201010	XP_002871669.1
OG0008134	As009G202010	XP_020878877.1
OG0008135	As009G202410	XP_020878626.1
OG0008136	As009G202440	XP_002873779.1
OG0008137	As009G202490	XP_002871722.1
OG0008138	As009G202570	XP_002871727.1
OG0008139	As009G202880	XP_002871744.1
OG0008140	As009G203400	XP_002871767.1
OG0008141	As009G203680	XP_002873846.1
OG0008142	As009G203780	XP_020877815.1
OG0008143	As009G203790	XP_002873859.1
OG0008144	As009G203900	XP_020867418.1
OG0008145	As009G204120	XP_020879004.1
OG0008146	As009G204300	XP_020879127.1
OG0008147	As009G204320	XP_020878736.1
OG0008148	As009G204430	XP_020878766.1
OG0008149	As009G204580	XP_020878001.1
OG0008150	As009G204650	XP_020878235.1
OG0008151	As009G204880	XP_002873926.1
OG0008152	As009G204890	XP_020879015.1
OG0008153	As009G204930	XP_020878367.1
OG0008154	As009G205020	XP_002873934.1
OG0008155	As009G205180	XP_002873942.2
OG0008156	As009G205200	XP_002874307.1
OG0008157	As009G205330	XP_020876088.1
OG0008158	As009G205340	XP_020878278.1
OG0008159	As009G205420	XP_020878691.1
OG0008160	As009G205700	XP_020878872.1
OG0008162	As009G206000	XP_020876942.1
OG0008163	As009G206180	XP_020876875.1
OG0008164	As009G206550	XP_020876908.1
OG0008165	As009G207280	XP_002874473.1
OG0008166	As009G207940	XP_002862777.1, XP_002865710.1
OG0008167	As009G208010	XP_002863975.1
OG0008168	As009G208410	XP_002865682.1
OG0008169	As009G209500	XP_002865656.1
OG0008170	As009G209650	XP_020879552.1
OG0008171	As009G209880	XP_020867823.1
OG0008172	As009G210310	XP_002871578.1
OG0008173	As009G210480	XP_020879227.1
OG0008174	As009G210520	XP_002871572.1
OG0008175	As009G211270	XP_002873291.1
OG0008176	As009G211690	XP_002871229.1
OG0008177	As009G211950	XP_020877974.1
OG0008178	As009G211990	XP_002873258.1
OG0008179	As009G212370	XP_002873247.1
OG0008180	As009G213920	XP_020875986.1
OG0008181	As009G214510	XP_002873156.1
OG0008182	As009G214530	XP_020878726.1
OG0008183	As009G214780	XP_020876322.1
OG0008184	As009G215330	XP_002874254.1
OG0008185	As009G215580	XP_020879144.1
OG0008186	As009G215880	XP_002874216.1
OG0008187	As009G215920	XP_020877090.1
OG0008188	As009G215950	XP_002874211.2
OG0008189	As009G216110	XP_020878567.1
OG0008190	As009G216460	XP_002872094.1
OG0008191	As009G216820	XP_020878036.1
OG0008192	As009G216900	XP_002874144.1
OG0008193	As009G217090	XP_020877040.1
OG0008194	As009G217230	XP_020890542.1
OG0008195	As009G217320	XP_002874114.1
OG0008196	As009G217390	XP_002872035.1
OG0008197	As009G217410	XP_002874111.1
OG0008198	As009G217640	XP_020878503.1
OG0008199	As009G217980	XP_020871237.1
OG0008200	As009G218250	XP_002862354.1
OG0008201	As009G218410	XP_002864757.1
OG0008202	As009G218740	XP_020891149.1
OG0008203	As009G218760	XP_020886232.1
OG0008204	As009G218850	XP_002866486.1
OG0008205	As009G218980	XP_020889253.1
OG0008206	As009G219020	XP_020871222.1
OG0008207	As009G219160	XP_020886496.1
OG0008208	As009G219370	XP_002866523.1
OG0008210	As009G219860	XP_020884463.1
OG0008211	As009G219870	XP_002866271.1
OG0008212	As009G219920	XP_002868500.1
OG0008213	As010G220430	XP_020880216.1
OG0008214	As010G220450	XP_020880063.1
OG0008215	As010G220470	XP_002877787.2
OG0008216	As010G220700	XP_002877776.1
OG0008217	As010G220950	XP_002877750.1
OG0008218	As010G221330, As012G274920	XP_002877724.1
OG0008219	As010G221730	XP_002875971.1
OG0008220	As010G221740	XP_002877683.1
OG0008221	As010G222070	XP_002875957.1
OG0008222	As010G222760	XP_020880375.1
OG0008223	As010G224340	XP_020879898.1
OG0008224	As010G226050	XP_002875675.1
OG0008225	As010G226700, As011G258480	XP_020871377.1, XP_020883066.1
OG0008226	As010G227790	XP_002887140.1
OG0008227	As010G227920	XP_002888617.1
OG0008228	As010G227970	XP_020890573.1
OG0008229	As010G228060, As010G228070	XP_002887137.1
OG0008230	As010G228230	XP_020891579.1
OG0008231	As010G228240	XP_020890661.1
OG0008232	As010G228430	XP_020884734.1
OG0008233	As010G228830	XP_002888596.1
OG0008234	As010G229490	XP_020891080.1
OG0008235	As010G230510	XP_002887113.1
OG0008236	As010G238090, As010G231770	XP_020865836.1
OG0008237	As010G231800	XP_020891421.1
OG0008238	As010G231860	XP_020890489.1
OG0008239	As010G232870	XP_002888742.1
OG0008240	As010G232910	XP_002890619.1
OG0008241	As010G232950, As011G253840	XP_002885464.1
OG0008242	As010G233160	XP_020890265.1
OG0008243	As010G233180	XP_020891317.1
OG0008244	As010G233220	XP_002887288.1
OG0008245	As010G233290	XP_002888770.1
OG0008246	As010G233330	XP_020891125.1
OG0008247	As010G233940	XP_002888813.1
OG0008248	As010G234190	XP_020889860.1, XP_002887360.2
OG0008249	As010G234610	XP_020865926.1
OG0008250	As010G235070	XP_020889936.1
OG0008251	As010G235290	XP_020890356.1
OG0008252	As010G235310	XP_002889175.1
OG0008253	As010G235330	XP_020891408.1
OG0008254	As010G235590	XP_020891389.1
OG0008255	As010G235620	XP_020889669.1
OG0008256	As010G236010	XP_020891160.1
OG0008257	As010G236270	XP_002889129.1
OG0008258	As010G236340	XP_002889123.1
OG0008260	As010G236990	XP_002887642.2
OG0008261	As010G237460	XP_020890532.1
OG0008263	As010G237680	XP_020891601.1
OG0008264	As010G237690	XP_002887611.1
OG0008265	As010G237830	XP_002889037.1
OG0008266	As010G237900	XP_002889034.1
OG0008267	As012G277330, As010G238000	XP_002889029.1
OG0008268	As010G238370	XP_002889015.1
OG0008269	As010G238620	XP_002887567.1
OG0008270	As010G238800	XP_020865800.1
OG0008271	As010G239160	XP_020890839.1
OG0008272	As010G239390	XP_002888964.1
OG0008273	As010G239580	XP_020865790.1
OG0008274	As010G239690	XP_020891646.1
OG0008275	As010G239760	XP_002888946.1
OG0008276	As010G239920	XP_002888940.1
OG0008277	As010G240190	XP_002887484.1
OG0008278	As010G240250	XP_020890987.1
OG0008279	As010G240590	XP_020889764.1
OG0008281	As010G241250	XP_020891596.1
OG0008282	As010G241550	XP_020891695.1
OG0008283	As010G242430	XP_020891757.1
OG0008284	As010G242880	XP_020889666.1
OG0008285	As010G243070	XP_002889261.1
OG0008286	As010G243170	XP_020889625.1
OG0008287	As010G243420	XP_002889274.1
OG0008288	As010G243510	XP_020890867.1
OG0008289	As010G243660	XP_002887824.1
OG0008290	As010G243860	XP_002887834.1
OG0008291	As010G243910	XP_002889298.1, XP_020873124.1
OG0008292	As010G244130	XP_002887845.1
OG0008293	As010G244430	XP_002889322.1
OG0008294	As011G244630	XP_020886403.1
OG0008295	As011G244880	XP_002882803.1
OG0008296	As011G244910	XP_020889349.1
OG0008297	As011G245150	XP_020887694.1
OG0008298	As011G245370	XP_002882825.1
OG0008299	As011G245870	XP_020888037.1
OG0008300	As011G245890	XP_002885900.1, XP_002872181.1
OG0008301	As011G245900	XP_020888695.1
OG0008302	As011G245940	XP_002884998.1
OG0008304	As011G246170	XP_020886612.1
OG0008305	As011G246220	XP_020886595.1
OG0008306	As011G246270	XP_002882871.1
OG0008307	As011G246340	XP_002885024.1
OG0008309	As011G247200	XP_020888077.1
OG0008310	As011G247370	XP_020887186.1
OG0008311	As011G247400	XP_002885078.2
OG0008312	As012G270440, As011G247770	XP_002891714.1
OG0008313	As011G248080	XP_020886989.1
OG0008314	As011G248420	XP_002885131.1
OG0008315	As011G248470	XP_002885133.1
OG0008316	As011G248950	XP_002885164.1
OG0008317	As011G249360	XP_002885193.2
OG0008318	As011G249470	XP_002885207.1
OG0008319	As011G249860	XP_020889156.1
OG0008320	As011G250010	XP_002883098.1
OG0008321	As011G250380	XP_002883123.1
OG0008323	As011G250760	XP_002883143.1, XP_002883144.1
OG0008324	As011G250830	XP_002885278.1
OG0008325	As011G251190	XP_002883162.1
OG0008326	As011G251550	XP_002883184.1
OG0008327	As011G251580	XP_002885311.1
OG0008328	As011G252360	XP_020886675.1
OG0008329	As011G252590	XP_020881311.1
OG0008330	As011G252880	XP_020887690.1
OG0008331	As011G254090	XP_020875427.1
OG0008332	As011G254410	XP_002883363.2
OG0008333	As011G255020	XP_020889464.1
OG0008334	As011G255300	XP_002883419.1
OG0008335	As011G256150	XP_020887971.1
OG0008336	As011G256280	XP_002885627.1
OG0008338	As011G260660	XP_002865922.1
OG0008339	As011G260780	XP_020887498.1
OG0008340	As011G262670	XP_020888694.1
OG0008341	As011G262830	XP_002883906.1
OG0008342	As011G262970	XP_020888194.1
OG0008343	As011G263330	XP_020887679.1
OG0008344	As011G263510	XP_002884010.1
OG0008345	As011G263740	XP_002884023.2
OG0008346	As011G263870	XP_020888423.1
OG0008347	As011G264400	XP_020887586.1
OG0008348	As011G264440	XP_020889265.1
OG0008349	As011G264450	XP_020889257.1
OG0008350	As011G264740	XP_020886205.1, XP_020886201.1
OG0008351	As011G265130	XP_002884146.1
OG0008352	As011G265150	XP_002886182.2
OG0008353	As011G265580	XP_002886266.1
OG0008354	As011G266000	XP_002877107.1
OG0008355	As011G266310	XP_002886030.1
OG0008356	As011G267090	XP_020887251.1
OG0008357	As012G267930	XP_002891861.1
OG0008358	As012G268030	XP_002891855.1
OG0008359	As012G268660	XP_020866478.1
OG0008360	As012G268680	XP_002865106.1
OG0008361	As012G268770	XP_002891826.2
OG0008362	As012G269360	XP_002891779.1
OG0008363	As012G269380	XP_020866324.1
OG0008364	As012G269650	XP_020867190.1
OG0008365	As012G269720	XP_002891754.2
OG0008366	As012G269790	XP_002891746.2
OG0008367	As012G269910	XP_002891736.2
OG0008369	As012G269970	XP_002891730.1
OG0008370	As012G270070	XP_002894423.1
OG0008371	As012G270970	XP_020867267.1
OG0008372	As012G271060	XP_020869290.1
OG0008373	As012G271360	XP_020868162.1
OG0008374	As012G271880	XP_020870845.1
OG0008375	As012G272050	XP_002891583.1
OG0008376	As012G272290	XP_020870394.1
OG0008377	As012G272340	XP_002894237.2
OG0008378	As012G273050	XP_020866183.1
OG0008379	As012G273310	XP_002894152.1
OG0008380	As012G274290	XP_020874392.1
OG0008381	As012G274450	XP_002870182.1
OG0008382	As012G274860	XP_002879524.1
OG0008383	As012G274900	XP_020883018.1
OG0008384	As012G274950	XP_002881357.1
OG0008385	As012G275480	XP_020882150.1
OG0008386	As012G275690	XP_002877844.1
OG0008387	As012G275840	XP_002877854.1, XP_002877852.1
OG0008388	As012G275920	XP_002876141.1
OG0008389	As012G276240	XP_002877881.1
OG0008390	As012G276440	XP_020881373.1
OG0008391	As012G277260	XP_020880624.1
OG0008392	As012G277360	XP_020882300.1
OG0008393	As012G277610	XP_002877941.1
OG0008394	As012G277760	XP_002877946.1
OG0008395	As012G278280	XP_002877956.1
OG0008396	As012G278960	XP_002877820.1
OG0008397	As012G279870	XP_020880907.1
OG0008398	As012G279900	XP_020879680.1
OG0008399	As012G279910	XP_020881252.1
OG0008400	As012G279990	XP_020882450.1
OG0008401	As012G280030	XP_002876265.1
OG0008402	As012G281030	XP_020881680.1
OG0008403	As012G281830	XP_020880023.1
OG0008404	As012G281960, As012G281970, As012G281980	XP_020882173.1
OG0008405	As012G282560	XP_020880897.1
OG0008406	As012G282950	XP_002878087.1
OG0008407	As012G283490	XP_020879809.1
OG0008408	As012G284090	XP_002876426.1
OG0008409	As012G284580	XP_002876459.1
OG0008410	As012G284720	XP_002876463.1
OG0008411	As012G284910	XP_020880580.1
OG0008412	As012G284920	XP_002878231.1
OG0008413	As012G285000	XP_002876476.1
OG0008414	As012G285030	XP_020880543.1
OG0008415	As012G285080	XP_020880574.1
OG0008416	As012G285090	XP_020880614.1
OG0008417	As012G285100	XP_020884060.1
OG0008418	As012G285410	XP_020888051.1
OG0008419	As012G285440	XP_002878269.2
OG0008420	As012G285540	XP_002878275.1
OG0008421	As012G285580	XP_002876509.1
OG0008422	As012G285690	XP_020881634.1
OG0008423	As012G285730	XP_020880123.1
OG0008424	As012G285810	XP_020880942.1
OG0008425	As012G286040	XP_002876536.1
OG0008426	As012G286130	XP_002876540.1
OG0008427	As012G286290	XP_002878332.1
OG0008428	As012G286690	XP_002876567.1
OG0008429	As012G286770	XP_002876573.2
OG0008430	As012G287780	XP_002876638.1
OG0008431	As012G287930	XP_020880851.1
OG0008432	As012G287950	XP_002878423.1
OG0008433	As012G288040	XP_002878438.1, XP_020881996.1, XP_002877692.2
OG0008434	As012G288130	XP_002878441.2
OG0008436	As012G288730	XP_020882439.1
OG0008437	As012G288760	XP_002878486.1
OG0008438	As012G288790	XP_020879773.1
OG0008440	As012G289160	XP_020879987.1
OG0008504	As001G000180	XP_020874474.1
OG0008505	As001G000550	XP_020873170.1
OG0008506	As001G000740	XP_002869471.1
OG0008507	As001G000850	XP_020874783.1
OG0008508	As001G000890	XP_020875095.1
OG0008509	As001G001780	XP_020872501.1
OG0008510	As001G001810	XP_002867380.1
OG0008511	As001G001820	XP_020875440.1
OG0008512	As001G001840	XP_002867379.1
OG0008513	As001G001920	XP_020875195.1
OG0008514	As001G002240	XP_002869385.1
OG0008515	As001G002330	XP_002869382.2
OG0008516	As001G002420, As001G002430	XP_020872141.1
OG0008518	As001G002850	XP_002873968.1
OG0008519	As001G002970	XP_020872117.1
OG0008520	As001G003000	XP_020872120.1
OG0008521	As001G003680	XP_002869328.1
OG0008522	As001G003840	XP_020871143.1
OG0008523	As001G004010	XP_020872059.1
OG0008524	As001G004140	XP_002867277.1
OG0008525	As001G004220	XP_020873921.1
OG0008526	As001G004640	XP_020874315.1
OG0008527	As001G004710	XP_020872421.1
OG0008528	As001G004780	XP_002867248.1
OG0008529	As001G005390	XP_020872745.1
OG0008530	As001G005630	XP_002867218.1
OG0008531	As001G005730	XP_002867220.1
OG0008532	As001G005760	XP_002869232.1
OG0008533	As001G006030	XP_020875432.1
OG0008534	As001G006490	XP_002869254.1
OG0008535	As001G006610	XP_002867186.2
OG0008536	As001G006640	XP_020875466.1
OG0008537	As001G007120	XP_002869218.1
OG0008538	As001G009960	XP_002869214.1
OG0008540	As001G012830, As011G262590	XP_020875583.1
OG0008541	As001G013640	XP_002869176.1
OG0008542	As001G013790	XP_002869183.1
OG0008543	As001G013820	XP_020875244.1
OG0008544	As001G014120	XP_020873110.1
OG0008545	As001G014230	XP_002869141.1
OG0008546	As001G014430	XP_020872645.1
OG0008547	As001G014730	XP_002869116.1
OG0008548	As004G078980, As001G015890	XP_020868808.1
OG0008549	As004G079200, As001G016210	XP_020868760.1
OG0008550	As001G016330	XP_002893690.1, XP_002877336.1
OG0008551	As001G016460	XP_002890959.1
OG0008552	As001G016700	XP_020870518.1
OG0008553	As001G016930	XP_020869390.1
OG0008554	As001G017310	XP_002868086.1
OG0008555	As001G017370	XP_002868088.1
OG0008556	As001G017690	XP_020872071.1
OG0008557	As001G018270	XP_002892677.1
OG0008558	As001G018540	XP_020885801.1
OG0008559	As001G018570	XP_002870786.2, XP_002891907.1
OG0008560	As001G019050	XP_020868287.1
OG0008561	As001G019300, As010G232740	XP_020874519.1
OG0008562	As001G019640	XP_020890872.1
OG0008563	As008G187600	XP_002892532.2
OG0008564	As001G020010	XP_002888216.2
OG0008565	As001G020510	XP_002886640.1
OG0008566	As001G020550	XP_020890497.1
OG0008567	As001G021060	XP_002886593.1
OG0008568	As001G021110	XP_002888126.1
OG0008569	As001G021120, As011G256100	XP_020887633.1
OG0008570	As001G021510	XP_020890116.1
OG0008571	As001G021610	XP_002886553.1
OG0008572	As001G021630	XP_020890122.1
OG0008573	As001G021750	XP_020890108.1
OG0008574	As001G021760	XP_002888077.1
OG0008575	As001G021800	XP_020890088.1
OG0008576	As008G185790, As001G021980	XP_020891306.1
OG0008577	As008G185580	XP_020869317.1
OG0008578	As001G022230	XP_020867017.1
OG0008579	As001G022750	XP_002876765.1
OG0008580	As001G022920	XP_002875094.1
OG0008581	As001G023070	XP_020880019.1
OG0008582	As001G023440	XP_020881088.1
OG0008583	As001G023730	XP_002876842.1
OG0008584	As001G024130	XP_002875207.1
OG0008585	As001G024350	XP_002876893.1
OG0008586	As001G024620	XP_002875265.1
