Raphanus_sativus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_018455532.1	109				GO:0016020;GO:0016772;GO:0004605;GO:0005789	
XP_018455533.1	302	AT4G01500.1	AT4G01500.1	orthologue	GO:0005634;GO:0005515;GO:1901371;GO:0048366;GO:0003700;GO:0009908;GO:0003677	B3 domain-containing transcription factor NGA4 (Protein NGATHA 4)
XP_018455534.1	112					
XP_018455536.1	326				GO:0005515	
XP_018455537.1	134	AT5G44720.1	AT5G44720.1	other	GO:0005739;GO:0030170;GO:0005829;GO:0030151;GO:0003824;GO:0032787	Molybdenum cofactor sulfurase family protein;Molybdenum cofactor sulfurase family protein (Similarity to unknown) (T19K24.17 protein)
XP_018455540.1	120	AT4G36840.1	AT4G36840.1	orthologue	GO:0005634;GO:0003674	Galactose oxidase/kelch repeat superfamily protein
XP_018455541.1	115					
XP_018455542.1	385					
XP_018455543.1	722	AT1G64300.1	AT1G64300.1	orthologue	GO:0006468;GO:0098542;GO:0007165;GO:0034052;GO:0005737;GO:0004672;GO:0004712;GO:0005881;GO:0005524;GO:0005886;GO:0004674	At1g64300/F15H21_13 (Protein kinase family protein)
XP_018455544.1	361	AT5G12270.1	AT5G12270.1	orthologue	GO:0003674;GO:0005737;GO:0009805;GO:0046872;GO:0051213	1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-like protein (2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
XP_018455545.1	182	AT5G52650.1, AT4G25740.1	AT4G25740.1	other	GO:0003729;GO:0022626;GO:0005737;GO:0005515;GO:0003735;GO:0005829;GO:0022627;GO:0003723;GO:0009536;GO:0009505;GO:0005840;GO:1990904	RNA binding Plectin/S10 domain-containing protein;Small ribosomal subunit protein eS10x (40S ribosomal protein S10-3);Small ribosomal subunit protein eS10z (40S ribosomal protein S10-1)
XP_018455546.1	174	AT2G37435.1	AT2G37435.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
XP_018455547.1	519	AT4G12610.2	AT4G12610.2	orthologue	GO:0005634;GO:0001096;GO:0006367;GO:0032968;GO:0005674;GO:0005515;GO:0016251;GO:0003677	Transcription initiation factor IIF subunit alpha (TFIIF-alpha) (General transcription factor IIF subunit 1) (Transcription initiation factor RAP74 homolog) (AtRAP74)
XP_018455548.1	577				GO:0000166;GO:0004812;GO:0005524;GO:0006418;GO:0004816;GO:0006421;GO:0003676;GO:0005739	
XP_018455549.1	625	AT3G10370.1	AT3G10370.1	other	GO:0004368;GO:0006127;GO:0019563;GO:0005739;GO:0006072;GO:0005829;GO:0005743	Glycerol-3-phosphate dehydrogenase SDP6, mitochondrial (EC 1.1.5.3) (Protein SUGAR-DEPENDENT 6)
XP_018455550.1	250	AT4G02810.1	AT4G02810.1	orthologue	GO:0005634;GO:0003674;GO:0008150	Protein FANTASTIC FOUR 1
XP_018455551.1	250	AT4G02810.1	AT4G02810.1	orthologue	GO:0005634;GO:0003674;GO:0008150	Protein FANTASTIC FOUR 1
XP_018455552.1	170	AT5G56880.1	AT5G56880.1	orthologue	GO:0005634;GO:0003674	At5g56880
XP_018455553.1	384	AT5G12270.1	AT5G12270.1	orthologue	GO:0003674;GO:0005737;GO:0009805;GO:0046872;GO:0051213	1-AMINOCYCLOPROPANE-1-CARBOXYLATE OXIDASE-like protein (2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein)
XP_018455554.1	792	AT5G61550.2	AT5G61550.2	orthologue	GO:0004672;GO:0016567;GO:0005524;GO:0009507;GO:0004842;GO:0004674;GO:0106310;GO:0006468	RING-type E3 ubiquitin transferase (EC 2.3.2.27);U-box domain-containing protein 52 (Plant U-box protein 52) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)]
XP_018455555.1	621	AT4G03490.3	AT4G03490.3	orthologue	GO:0005737;GO:0008150;GO:0016020;GO:0003674;GO:0005886;GO:0005515	Ankyrin repeat family protein
XP_018455556.1	488	AT2G18080.1	AT2G18080.1	orthologue	GO:0005576;GO:0070008;GO:0008239;GO:0009561;GO:0006508;GO:0005773	Probable serine protease EDA2 (EC 3.4.-.-) (Protein EMBRYO SAC DEVELOPMENT ARREST 2)
XP_018455559.1	425	AT5G59260.1	AT5G59260.1	orthologue	GO:0002229;GO:0042742;GO:0004675;GO:0004674;GO:0005886;GO:0005576;GO:0005524;GO:0030246;GO:0106310;GO:0004672;GO:0006468	Probable L-type lectin-domain containing receptor kinase II.1 (LecRK-II.1) (EC 2.7.11.1)
XP_018455560.1	260	AT1G77160.1, AT1G77145.1	AT1G77145.1	orthologue	GO:0005634;GO:0003674;GO:0005576;GO:0008150;GO:0016020	T14N5.3 protein (Transmembrane protein, putative (DUF506));Transmembrane protein, putative (DUF506);Uncharacterized protein
XP_018455561.1	287	AT1G58300.1	AT1G58300.1	orthologue	GO:0004392;GO:0006788;GO:0009507;GO:0003729;GO:0020037;GO:0015979;GO:0046872;GO:0010024	Heme oxygenase 4, chloroplastic (EC 1.14.14.18)
XP_018455562.1	425	AT5G59260.1	AT5G59260.1	orthologue	GO:0002229;GO:0042742;GO:0004675;GO:0004674;GO:0005886;GO:0005576;GO:0005524;GO:0030246;GO:0106310;GO:0004672;GO:0006468	Probable L-type lectin-domain containing receptor kinase II.1 (LecRK-II.1) (EC 2.7.11.1)
XP_018455563.1	204	AT5G64990.2	AT5G64990.2	orthologue	GO:0042147;GO:0006886;GO:0006890;GO:0005525;GO:0003924;GO:0009536;GO:0005794;GO:0006891;GO:0005739;GO:0012505;GO:0000139;GO:0015031;GO:0016192	RAB GTPase homolog H1A;Ras-related protein RABH1a (AtRABH1a)
XP_018455564.1	99	AT5G66816.1	AT5G66816.1	orthologue	GO:2000280;GO:1901371;GO:0006995;GO:0048364;GO:0048046;GO:1902025;GO:0005576;GO:0005179	Precursor of CEP6 (PCEP6) [Cleaved into: C-terminally encoded peptide 6.1 (CEP6.1) (CEP6a); C-terminally encoded peptide 6.2 (CEP6.2) (CEP6b)]
XP_018455565.1	373	AT4G35110.3	AT4G35110.3	orthologue	GO:0003674;GO:0005634	AT4g35110/M4E13_160 (Phospholipase-like protein (PEARLI 4) family protein);Phospholipase-like protein (PEARLI 4) family protein
XP_018455566.1	189	AT1G73890.1	AT1G73890.1	orthologue	GO:0016020;GO:0003674;GO:0005886;GO:0008150;GO:0098552	Non-specific lipid transfer protein GPI-anchored 10 (AtLTPG-10) (Protein LTP-GPI-ANCHORED 10)
XP_018455567.1	958	AT5G51800.1	AT5G51800.1	orthologue	GO:0005634;GO:0003674;GO:0016301	Gb|AAB80672.1 (Protein kinase superfamily protein)
XP_018455568.1	430	AT5G23970.1	AT5G23970.1	orthologue	GO:0008150;GO:0005737;GO:0003674;GO:0016746	Acetyl-CoA:benzylalcohol acetyltranferase-like protein (At5g23970) (HXXXD-type acyl-transferase family protein)
XP_018455569.1	129					
XP_018455570.1	736	AT4G01970.2	AT4G01970.2	orthologue	GO:0047274;GO:0047268;GO:0005737;GO:0006979	Probable galactinol--sucrose galactosyltransferase 4 (EC 2.4.1.82) (Raffinose synthase 4);Stachyose synthase
XP_018455571.1	292	AT1G72490.3	AT1G72490.3	orthologue	GO:0005634;GO:0080181;GO:0005886;GO:0009630;GO:0005515;GO:0009501;GO:0040008	Protein LAZY 4 (AtLAZY4) (Protein DEEPER ROOTING 1) (AtDRO1) (Protein LAZY1-LIKE 3) (Protein NEGATIVE GRAVITROPIC RESPONSE OF ROOTS 2) (AtNGR2);Uncharacterized protein
XP_018455574.1	238	AT5G61590.1	AT5G61590.1	orthologue	GO:0000976;GO:0006355;GO:0009414;GO:0005634;GO:1904277;GO:0003700;GO:0045893;GO:0019760;GO:0009873;GO:0003677	Ethylene-responsive transcription factor ERF107
XP_018455576.1	282	AT5G45830.1	AT5G45830.1	orthologue	GO:2000033;GO:0005515;GO:0009738;GO:0005634;GO:0010162;GO:0010182;GO:0006351;GO:0043565;GO:0042802	Delay of germination 1;Protein DELAY OF GERMINATION 1 (GLUCOSE SENSING QTL 5)
XP_018455577.1	339	AT1G23500.1, AT1G73610.1	AT1G73610.1	other	GO:0008150;GO:0005576;GO:0016298;GO:0016042;GO:0006629;GO:0016788	GDSL esterase/lipase At1g23500 (EC 3.1.1.-) (Extracellular lipase At1g23500);GDSL esterase/lipase At1g73610 (EC 3.1.1.-) (Extracellular lipase At1g73610)
XP_018455579.1	108					
XP_018455580.1	247	AT5G52540.1	AT5G52540.1	other	GO:0009941;GO:0003674;GO:0009507;GO:0016020	Keratin-associated protein, putative (DUF819) (Similarity to unknown protein)
XP_018455581.1	46	AT1G68825.1	AT1G68825.1	orthologue	GO:0048367;GO:0005886;GO:0005739;GO:0008285;GO:0003674	Small polypeptide DEVIL 5 (Small polypeptide ROTUNDIFOLIA like 15) (Small polypeptide ROT-FOUR-LIKE 15)
XP_018455582.1	108	AT5G24860.2	AT5G24860.2	orthologue	GO:0005634;GO:0009909;GO:0010228;GO:0009911;GO:0005515;GO:0009739;GO:0005739	Flowering promoting factor 1;Flowering-promoting factor 1 (AtFPF1)
XP_018455583.1	147	AT2G15610.1, AT2G15590.2	AT2G15590.2	orthologue	GO:0005739;GO:0003674;GO:0005634;GO:0008150	Spire, putative (DUF1685);Uncharacterized protein
XP_018455584.1	97	AT2G24615.1, AT2G24625.1	AT2G24625.1	orthologue	GO:0008150;GO:0005576;GO:0003674;GO:0031640;GO:0050832	Putative defensin-like protein 38;Putative defensin-like protein 39
XP_018455585.1	583	AT1G64210.1	AT1G64210.1	orthologue	GO:0005515;GO:0042802;GO:0005739;GO:0004672;GO:0016301;GO:0005524;GO:0005886;GO:0006468	Putative inactive receptor-like protein kinase At1g64210
XP_018455586.1	541	AT5G51500.1	AT5G51500.1	orthologue	GO:0005576;GO:0042545;GO:0046910;GO:0030599;GO:0045490;GO:0004857	Probable pectinesterase/pectinesterase inhibitor 60 [Includes: Pectinesterase inhibitor 60 (Pectin methylesterase inhibitor 60); Pectinesterase 60 (PE 60) (EC 3.1.1.11) (Pectin methylesterase 60) (AtPME60)]
XP_018455587.1	213	AT4G22320.1	AT4G22320.1	orthologue	GO:0005576;GO:0003674;GO:0005634	Golgin family A protein
XP_018455588.1	717	AT1G64300.1	AT1G64300.1	orthologue	GO:0006468;GO:0098542;GO:0007165;GO:0034052;GO:0005737;GO:0004672;GO:0004712;GO:0005881;GO:0005524;GO:0005886;GO:0004674	At1g64300/F15H21_13 (Protein kinase family protein)
XP_018455589.1	567	AT1G51850.2	AT1G51850.2	other	GO:0016301;GO:0004672;GO:0005515;GO:0006468;GO:0010119;GO:0004674;GO:0009506;GO:0005886;GO:0005524	Leucine-rich repeat protein kinase family protein
XP_018455590.1	75	AT1G68765.1	AT1G68765.1	orthologue	GO:0045490;GO:0010468;GO:0005102;GO:0050829;GO:0010227;GO:0009723;GO:0005576;GO:0009838;GO:0060305;GO:0048046;GO:0010102;GO:0060866	Protein IDA (Protein INFLORESCENCE DEFICIENT IN ABSCISSION)
XP_018455591.1	202	AT1G01640.1	AT1G01640.1	other	GO:0016567;GO:0005737;GO:0005515;GO:0009908	BTB/POZ domain-containing protein;BTB/POZ domain-containing protein At1g01640
XP_018455593.1	200	AT2G02060.1	AT2G02060.1	orthologue	GO:0006355;GO:0005515;GO:0005739;GO:0003700;GO:0005634;GO:0000976;GO:0010158;GO:0003677;GO:0016740	Glycosyltransferase (Homeodomain-like superfamily protein);Homeodomain-like superfamily protein
XP_018455594.1	565	AT5G58910.2	AT5G58910.2	orthologue	GO:0016491;GO:0005576;GO:0005507;GO:0052716;GO:0046274;GO:0048046	Laccase (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase) (Diphenol oxidase) (Urishiol oxidase);Laccase-16 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 16) (Diphenol oxidase 16) (Urishiol oxidase 16)
XP_018455595.1	338	AT1G34500.1	AT1G34500.1	orthologue	GO:0047196;GO:0008150;GO:0005575;GO:0006629;GO:0016020;GO:0008374	Probable long-chain-alcohol O-fatty-acyltransferase 9 (EC 2.3.1.75) (Wax synthase 9)
XP_018455596.1	211	AT2G20430.1, AT4G28556.1	AT2G20430.1	other	GO:0003674;GO:0009860;GO:0016324;GO:0005634;GO:0009416;GO:0005886;GO:0005737	CRIB domain-containing protein RIC6 (ROP-interactive CRIB motif-containing protein 6) (Target of ROP protein RIC6);CRIB domain-containing protein RIC7 (ROP-interactive CRIB motif-containing protein 7) (Target of ROP protein RIC7);PAK-box/P21-Rho-binding family protein
XP_018455597.1	339	AT1G29080.1, AT1G29110.1	AT1G29080.1	orthologue	GO:0005576;GO:0005615;GO:0051603;GO:0005764;GO:0004197;GO:0006508;GO:0008234	Cysteine proteinases superfamily protein;Papain family cysteine protease (Peptidase C1A papain family protein) (Putative cysteine proteinase)
XP_018455598.1	131	AT3G26934.1	AT3G26934.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Uncharacterized protein
XP_018455599.1	584	AT5G19580.1, AT1G67290.1	AT5G19580.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0004031	Aldehyde oxidase GLOX1 (EC 1.2.3.1) (Glyoxal oxidase 1);Glyoxal oxidase-related protein
XP_018455600.1	398					
XP_018455601.1	244	AT5G62280.1	AT5G62280.1	orthologue	GO:0005575	At5g62280 (DUF1442 family protein (DUF1442)) (Gb|AAB82627.1)
XP_018455602.1	117	AT2G43670.1, AT3G28250.1, AT1G78520.1	AT1G78520.1	other	GO:0003674;GO:0008150;GO:0005576;GO:0005886;GO:0009506;GO:0098552	At2g43670 (Carbohydrate-binding X8 domain superfamily protein);Carbohydrate-binding X8 domain superfamily protein
XP_018455603.1	194	AT5G46795.1	AT5G46795.1	orthologue	GO:0003674;GO:0009507;GO:0009555	Microspore-specific promoter 2
XP_018455604.1	127	AT3G27785.1	AT3G27785.1	other	GO:0010262;GO:2001280;GO:2000014;GO:0010228;GO:0000976;GO:0045723;GO:0045995;GO:0043565;GO:0045893;GO:1904095;GO:0010439;GO:0005634;GO:0000978;GO:0009960;GO:2000034;GO:0006355;GO:0000981;GO:2000692;GO:0003700;GO:0055089	Transcription factor MYB118 (Myb-related protein 118) (AtMYB118) (Protein PLANT GROWTH ACTIVATOR 37)
XP_018455605.1	797				GO:0019867;GO:0009658;GO:0009707;GO:0016020;GO:0045037	
XP_018455606.1	153	AT5G23290.1	AT5G23290.1	orthologue	GO:1990114;GO:0071370;GO:0006457;GO:0005515;GO:0016272;GO:0006397;GO:0009409;GO:0009651;GO:0051082;GO:0005737;GO:1990113;GO:0043622;GO:0005634;GO:1990115;GO:0009631;GO:0009536;GO:1901703	Prefoldin subunit 5 (Gene involved in microtubule biogenesis 5)
XP_018455607.1	137	AT5G19570.1	AT5G19570.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
XP_018455608.1	250	AT5G66440.1	AT5G66440.1	orthologue	GO:0003674;GO:0005634;GO:0016020	tRNA-methyltransferase non-catalytic subunit trm6MTase subunit
XP_018455609.1	426	AT5G67440.1	AT5G67440.1	orthologue	GO:0016567;GO:0071365;GO:0005634;GO:0071944;GO:0009911;GO:0009958;GO:0009908;GO:0003674;GO:0005886;GO:1901703;GO:2000012;GO:0005829;GO:0005515	Phototropic-responsive NPH3 family protein;Phototropic-responsive NPH3 family protein NPY3 (MAB4/ENP/NPY1-like proten 1) (MAB4/ENP/NPY1-like proten 2) (Protein NAKED PINS IN YUC MUTANTS 3)
XP_018455610.1	94	AT3G59930.1, AT5G33355.1	AT3G59930.1	orthologue	GO:0005576;GO:0002215;GO:0097501;GO:0120127;GO:0003674;GO:0031640;GO:0050832	Defensin-like protein 206;Defensin-like protein 207
XP_018455611.1	717	AT1G64300.1	AT1G64300.1	orthologue	GO:0006468;GO:0098542;GO:0007165;GO:0034052;GO:0005737;GO:0004672;GO:0004712;GO:0005881;GO:0005524;GO:0005886;GO:0004674	At1g64300/F15H21_13 (Protein kinase family protein)
XP_018455612.1	171	AT3G27416.1	AT3G27416.1	orthologue	GO:0005886;GO:0003674;GO:0016020	Transmembrane protein
XP_018455613.1	196	AT3G44890.1	AT3G44890.1	orthologue	GO:0000311;GO:0009941;GO:0005829;GO:0009570;GO:0005739;GO:0003735;GO:0009507;GO:0006412;GO:0003729;GO:0019843;GO:0005840	Large ribosomal subunit protein bL9c (50S ribosomal protein L9, chloroplastic) (CL9)
XP_018455614.1	946	AT4G01030.1	AT4G01030.1	orthologue	GO:0005575;GO:0008270;GO:0009451;GO:0003723;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At4g01030, mitochondrial
XP_018455615.1	847	AT5G58460.1, AT5G37060.1	AT5G37060.1	orthologue	GO:0012505;GO:0006885;GO:0098662;GO:0015385;GO:0006812;GO:1902600;GO:0006813;GO:0015297;GO:0016020;GO:0055085	Cation/H(+) antiporter 24 (Protein CATION/H+ EXCHANGER 24) (AtCHX24);Cation/H(+) antiporter 25 (Protein CATION/H+ EXCHANGER 25) (AtCHX25)
XP_018455616.1	278	AT1G77960.1	AT1G77960.1	orthologue	GO:0005634;GO:0003674	Repressor ROX1-like protein
XP_018455617.1	118	AT4G03740.1	AT4G03740.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein AT4g03740 (Uncharacterized protein T5L23.25)
XP_018455619.1	345	AT1G10810.1, AT1G60680.1, AT1G60690.1, AT1G60710.1, AT1G60730.3, AT1G60750.1	AT1G60690.1	other	GO:0005737;GO:0004033;GO:0005829;GO:0005634;GO:0016491;GO:0008150;GO:0005886;GO:0009941	NAD(P)-linked oxidoreductase superfamily protein;Probable aldo-keto reductase 1 (EC 1.1.1.-);Probable aldo-keto reductase 2 (EC 1.1.1.-) (ARF-GAP domain-containing protein 2);Probable aldo-keto reductase 3 (EC 1.1.1.-);Probable aldo-keto reductase 4 (EC 1.1.1.-);Probable aldo-keto reductase 5 (EC 1.1.1.-);Probable aldo-keto reductase 6 (EC 1.1.1.-)
XP_018455620.1	344	AT1G10810.1, AT1G60680.1, AT1G60690.1, AT1G60710.1, AT1G60730.3, AT1G60750.1	AT1G60690.1	other	GO:0005737;GO:0004033;GO:0005829;GO:0005634;GO:0016491;GO:0008150;GO:0005886;GO:0009941	NAD(P)-linked oxidoreductase superfamily protein;Probable aldo-keto reductase 1 (EC 1.1.1.-);Probable aldo-keto reductase 2 (EC 1.1.1.-) (ARF-GAP domain-containing protein 2);Probable aldo-keto reductase 3 (EC 1.1.1.-);Probable aldo-keto reductase 4 (EC 1.1.1.-);Probable aldo-keto reductase 5 (EC 1.1.1.-);Probable aldo-keto reductase 6 (EC 1.1.1.-)
XP_018455621.1	225					
XP_018455622.1	111	AT1G60783.1	AT1G60783.1	orthologue	GO:0003674;GO:0032875;GO:0005634;GO:0004860	Cyclin-dependent protein kinase inhibitor SMR15 (Protein SIAMESE-RELATED 15)
XP_018455623.1	491	AT1G60770.1	AT1G60770.1	orthologue	GO:0005739;GO:0003729;GO:0008150;GO:0005840;GO:1990904;GO:0005515	Large ribosomal subunit protein mL101 (rPPR4) (Pentatricopeptide repeat-containing protein At1g60770)
XP_018455624.1	178	AT1G60760.1	AT1G60760.1	orthologue	GO:0005575;GO:0004857;GO:0043086	F8A5.27 protein (Plant invertase/pectin methylesterase inhibitor superfamily protein)
XP_018455625.1	545	AT1G60790.1	AT1G60790.1	orthologue	GO:0008374;GO:0016413;GO:0005794;GO:0016020;GO:0016740	Protein trichome birefringence-like 2
XP_018455626.1	423	AT1G60810.1	AT1G60810.1	orthologue	GO:0006085;GO:0005737;GO:0003878;GO:0140615;GO:0005524;GO:0005829;GO:0006629;GO:0004775;GO:0006099;GO:0006104;GO:0042709	ATP-citrate synthase alpha chain protein 2 (ATP-citrate synthase A-2) (EC 2.3.3.8) (ATP-citrate lyase A-2) (Citrate cleavage enzyme A-2)
XP_018455627.1	192	AT4G28270.1	AT4G28270.1	orthologue	GO:0006511;GO:0036503;GO:0005737;GO:0004842;GO:0005783;GO:0005515;GO:0061630;GO:0016567;GO:0044390;GO:0005789;GO:0008270	E3 ubiquitin-protein ligase RMA2 (EC 2.3.2.27) (Protein RING membrane-anchor 2) (RING-type E3 ubiquitin transferase RMA2)
XP_018455628.1	276					
XP_018455629.1	462	AT2G17160.1, AT2G17090.1	AT2G17090.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0009742;GO:0010098;GO:0009898;GO:0080159;GO:1902533;GO:0005515;GO:0004674;GO:0005524;GO:0016301;GO:0004672;GO:0006468	Interleukin-1 receptor-associated kinase 4 protein;Probable inactive receptor-like kinase BSK12 (Brassinosteroid-signaling kinase 12) (Protein SHORT SUSPENSOR)
XP_018455630.1	653	AT4G11530.1, AT4G11521.1, AT4G23220.1, AT4G23190.1, AT4G23300.1, AT4G23210.3	AT4G11530.1	other	GO:0004674;GO:0009626;GO:0005886;GO:0042742;GO:0007165;GO:0016301;GO:0009507;GO:0005576;GO:0003674;GO:0004672;GO:0002237;GO:0005829;GO:0005634;GO:0016020;GO:0006979;GO:0002229;GO:0005524;GO:0030246;GO:0106310;GO:0006950;GO:0009751;GO:0006468	Cysteine-rich RLK (RECEPTOR-like protein kinase) 11;Cysteine-rich RLK (RECEPTOR-like protein kinase) 34;Cysteine-rich receptor-like protein kinase 11 (Cysteine-rich RLK11) (EC 2.7.11.-) (Receptor-like protein kinase 3);Cysteine-rich receptor-like protein kinase 13 (Cysteine-rich RLK13) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 14 (Cysteine-rich RLK14) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 22 (Cysteine-rich RLK22) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 34 (Cysteine-rich RLK34) (EC 2.7.11.1);Putative cysteine-rich receptor-like protein kinase At4g11521 (Cysteine-rich RLK At4g11521);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_018455634.1	457	AT4G05320.2	AT4G05320.2	orthologue	GO:0031386;GO:0009751;GO:0019941;GO:0005634;GO:0016567;GO:0005737;GO:0031625;GO:0003729;GO:0005829;GO:0005515	AT4g05320/C17L7_240 (Polyubiquitin 10);Polyubiquitin (Ubiquitin 11);Polyubiquitin 10 [Cleaved into: Ubiquitin]
XP_018455635.1	311	AT1G65350.1, AT4G02890.3, AT4G05320.2, AT5G03240.1, AT5G20620.1, AT5G37640.1	AT5G20620.1	other	GO:0006511;GO:0000325;GO:0019941;GO:0005634;GO:0016567;GO:0031625;GO:0005737;GO:0031386;GO:0003729;GO:0005829;GO:0009536;GO:0009505;GO:0005622;GO:0005730;GO:0010224;GO:0005886;GO:0009751;GO:0005515	AT4g05320/C17L7_240 (Polyubiquitin 10);Polyubiquitin (Ubiquitin 11);Polyubiquitin 10 [Cleaved into: Ubiquitin];Polyubiquitin 14 [Cleaved into: Ubiquitin];Polyubiquitin 3 [Cleaved into: Ubiquitin];Polyubiquitin 4 [Cleaved into: Ubiquitin];Polyubiquitin 9 [Cleaved into: Ubiquitin-related 1; Ubiquitin-related 2; Ubiquitin-related 3; Ubiquitin-related 4];Ubiquitin 13;Ubiquitin 4
XP_018455637.1	295	AT4G05210.1, AT4G21220.1	AT4G21220.1	other	GO:0005739;GO:0009507;GO:0016410;GO:0103118;GO:2001289;GO:0005737;GO:0009245;GO:0016020	Probable UDP-3-O-acylglucosamine N-acyltransferase 1, mitochondrial (EC 2.3.1.191) (Protein LIPID X D1) (AtLpxD1);Probable UDP-3-O-acylglucosamine N-acyltransferase 2, mitochondrial (EC 2.3.1.-) (Protein LIPID X D2) (AtLpxD2);Trimeric LpxA-like enzymes superfamily protein
XP_018455638.1	231	AT4G05220.1	AT4G05220.1	orthologue	GO:0005739;GO:0009506;GO:0098542;GO:0003674;GO:0005886	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
XP_018455639.1	229	AT4G05050.1	AT4G05050.1	orthologue	GO:0006511;GO:0005622;GO:0031625;GO:0031386;GO:0005737;GO:0003729;GO:0005634;GO:0019941;GO:0016567;GO:0005829;GO:0005515	Polyubiquitin (Ubiquitin 11);Polyubiquitin 11 [Cleaved into: Ubiquitin]
XP_018455640.1	209	AT4G05230.1	AT4G05230.1	orthologue	GO:0070628;GO:0043161;GO:0031593;GO:0043130;GO:0005829;GO:0005634;GO:0005654;GO:0005515	Ubiquitin-like superfamily protein
XP_018455641.1	412	AT5G44480.1	AT5G44480.1	orthologue	GO:0005794;GO:0050373;GO:0033358;GO:0005996;GO:0005829;GO:0003978;GO:0045227;GO:0006012;GO:0016020;GO:0032580	NAD(P)-binding Rossmann-fold superfamily protein;Putative UDP-arabinose 4-epimerase 4 (EC 5.1.3.5) (UDP-D-xylose 4-epimerase 4)
XP_018455642.1	118	AT5G44540.1	AT5G44540.1	orthologue	GO:0009507;GO:0008150;GO:0003674	Similarity to tapetum-specific protein (Tapetum specific protein TAP35/TAP44)
XP_018455643.1	175	AT4G37450.2, AT2G23130.1	AT2G23130.1	other	GO:0003674;GO:0005886;GO:0010306;GO:0016020;GO:0009554;GO:0098552	Arabinogalactan protein 17;Arabinogalactan protein 18;Lysine-rich arabinogalactan protein 17 (Lys-rich AGP 17);Lysine-rich arabinogalactan protein 18 (Lys-rich AGP 18)
XP_018455644.1	585	AT1G68210.1	AT1G68210.1	orthologue	GO:0006355;GO:0003677;GO:0009507;GO:0000156;GO:0000160;GO:0005634	Putative two-component response regulator-like APRR6 (Pseudo-response regulator 6)
XP_018455645.1	355	AT1G79580.1	AT1G79580.1	orthologue	GO:0006355;GO:0005515;GO:0003700;GO:0005634;GO:0048829;GO:0003002;GO:0010455;GO:0009834;GO:0003677	Protein SOMBRERO (NAC domain-containing protein 33) (ANAC033)
XP_018455646.1	361	AT5G65790.1	AT5G65790.1	orthologue	GO:0005634;GO:1900034;GO:0009414;GO:2000280;GO:0048364;GO:0003700;GO:1901000;GO:0003677;GO:0006355	At5g65790 (MYB transcription factor) (Myb - related protein) (Myb domain protein 68) (Transcription factor-like protein)
XP_018455647.1	210	AT1G73260.1	AT1G73260.1	other	GO:0005576;GO:0009751;GO:0042742;GO:0005783;GO:0009625;GO:0009624;GO:0002238;GO:0002237;GO:0099503;GO:0005739;GO:0042542;GO:0012501;GO:0009611;GO:0004866;GO:0004867;GO:0004869	Kunitz trypsin inhibitor 4 (AtKTI4) (Kunitz trypsin inhibitor 1) (AtKTI1) (Trypsin protease inhibitor)
XP_018455648.1	772	AT5G51270.1	AT5G51270.1	orthologue	GO:0004842;GO:0004672;GO:0016567;GO:0005634;GO:0005524;GO:0004674;GO:0106310;GO:0006468	Putative U-box domain-containing protein 53 (Plant U-box protein 53) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)];RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_018455649.1	358	AT1G47210.2	AT1G47210.2	orthologue	GO:0044772;GO:0000307;GO:0005737;GO:0016538;GO:0005634;GO:0000082;GO:0051301;GO:0016301	Cyclin-A3-2 (G2/mitotic-specific cyclin-A3-2) (CycA3;2);Cyclin-dependent protein kinase 32
XP_018455650.1	1177	AT5G58040.1	AT5G58040.1	orthologue	GO:0005515;GO:0006396;GO:0003723;GO:0016607;GO:0005634;GO:0042802;GO:0006397	FIP1[V]-like protein;FIP1[V]-like protein (AtFIP1(V)) (Factor interacting with poly(A) polymerase 1-like 5) (AtFIPS5) (Protein HOMOLOG OF YEAST FIP1 [V])
