Euclidium_syriacum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
ESY4_g26638_DN3_SP0_c0.t1	170	AT1G26290.1	AT1G26290.1	orthologue	GO:0003674;GO:0005739	Uncharacterized protein F28B23.5
ESY4_g26640_DN3_SP0_c0.t1	134	AT4G40100.1, AT2G22475.1	AT4G40100.1	other	GO:0009637;GO:0003674;GO:0005737;GO:0010119;GO:0048765;GO:0010026;GO:0005634;GO:0010482;GO:0005773;GO:0040029	GLABRA2 expression modulator;Putative GEM-like protein 3
ESY4_g26642_DN3_SP0_c0.t1	349	AT4G40080.1	AT4G40080.1	orthologue	GO:0005546;GO:0072583;GO:0000149;GO:0005739;GO:0030136;GO:0006900;GO:0005545;GO:0048268;GO:0005905;GO:0032050;GO:0005543;GO:0005794	Putative clathrin assembly protein At4g40080
ESY4_g26643_DN3_SP0_c0.t1	319	AT4G40070.1	AT4G40070.1	orthologue	GO:0016567;GO:0005575;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL32 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL32)
ESY4_g26644_DN3_SP1_c0.t1	282	AT4G40060.1	AT4G40060.1	orthologue	GO:0045893;GO:0043565;GO:0048573;GO:0009637;GO:0030308;GO:0003700;GO:0000981;GO:0000976;GO:0048510;GO:0005634;GO:0003677;GO:0006355	Homeobox-leucine zipper protein ATHB-16 (HD-ZIP protein ATHB-16) (Homeodomain transcription factor ATHB-16)
ESY4_g26645_DN3_SP0_c39.t1	381	AT2G14288.1, AT3G24610.1	AT3G24610.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/kelch-repeat SKIP6-like protein;Putative F-box/kelch-repeat protein At3g24610
ESY4_g26646_DN2_SP0_c0.t1	380	AT2G14288.1, AT3G24610.1	AT3G24610.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/kelch-repeat SKIP6-like protein;Putative F-box/kelch-repeat protein At3g24610
ESY4_g26647_DN1_SP0_c0.t1	285	AT2G14288.1, AT3G24610.1	AT3G24610.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/kelch-repeat SKIP6-like protein;Putative F-box/kelch-repeat protein At3g24610
ESY4_g26648_DN3_SP0_c0.t1	703	AT4G40050.1	AT4G40050.1	orthologue	GO:0003714;GO:0005634;GO:0006351	Signal transducer, putative (DUF3550/UPF0682)
ESY4_g26649_DN3_SP0_c0.t1	92	AT4G40042.1	AT4G40042.1	orthologue	GO:0005787;GO:0006465;GO:0003674;GO:0045047;GO:0016020	Signal peptidase complex subunit 1
ESY4_g26652_DN2_SP0_c0.t1	58	AT1G15910.1, AT4G00380.1	AT1G15910.1	other	GO:0009506;GO:0080188;GO:0010569;GO:0005515;GO:0005737;GO:0003723;GO:0003725;GO:0003677;GO:0005886;GO:0003674	Factor of DNA methylation 1 (Protein IDN2 PARALOG 1) (Protein IDN2-LIKE 1);Factor of DNA methylation 2 (Protein IDN2 PARALOG 2) (Protein IDN2-LIKE 2);XH/XS domain-containing protein
ESY4_g26653_DN1_SP0_c0.t1	631	AT1G15910.1, AT4G00380.1	AT1G15910.1	orthologue	GO:0009506;GO:0080188;GO:0010569;GO:0005515;GO:0005737;GO:0003723;GO:0003725;GO:0003677;GO:0005886;GO:0003674;GO:0031047	Factor of DNA methylation 1 (Protein IDN2 PARALOG 1) (Protein IDN2-LIKE 1);Factor of DNA methylation 2 (Protein IDN2 PARALOG 2) (Protein IDN2-LIKE 2);XH/XS domain-containing protein
ESY4_g26654_DN3_SP0_c0.t1	558	AT4G40020.1	AT4G40020.1	orthologue	GO:0007131;GO:0005737;GO:0003674	Myosin heavy chain-related protein
ESY4_g26655_DN3_SP0_c0.t1	274	AT1G49610.1, AT3G03360.1, AT3G18150.1	AT3G03360.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005737;GO:0005739	F-box/LRR-repeat protein At3g03360;F-box/RNI-like superfamily protein;Putative F-box protein At1g49610;Putative F-box/LRR-repeat protein At3g18150
ESY4_g26656_DN1_SP0_c0.t1	68	AT2G39415.1	AT2G39415.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Putative F-box protein At2g39415
ESY4_g26657_DN1_SP0_c0.t1	132					
ESY4_g26661_DN3_SP8_c0.t1	347	AT4G40010.1	AT4G40010.1	orthologue	GO:0004674;GO:0009651;GO:0005634;GO:0006970;GO:0005737;GO:0016301;GO:0005524;GO:0106310;GO:0006468;GO:0004672	Serine/threonine-protein kinase SRK2F (EC 2.7.11.1) (OST1-kinase-like 5) (SNF1-related kinase 2.7) (SnRK2.7)
ESY4_g26665_DN2_SP0_c0.t1	71					
ESY4_g26666_DN1_SP0_c0.t1	130					
ESY4_g26667_DN3_SP0_c0.t1	177	AT3G45910.1	AT3G45910.1	other	GO:0003674;GO:0005739;GO:0008150;;GO:0004540	Uncharacterized protein F16L2_120
ESY4_g26669_DN2_SP0_c0.t1	72					
ESY4_g26670_DN2_SP0_c0.t1	246	AT2G38365.1	AT2G38365.1	orthologue	GO:0008150;GO:0003674;GO:0005739;GO:0004519;GO:0016787;GO:0005777;GO:0010468	Endonuclease/glycosyl hydrolase
ESY4_g26671_DN3_SP0_c0.t1	85	AT4G39980.1	AT4G39980.1	other	GO:0003849;GO:0009507;GO:0009073;GO:0009423;GO:0005515;GO:0009617;GO:0005739;GO:0009611;GO:0008652	Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1) (DAHP synthase 1) (Phospho-2-keto-3-deoxyheptonate aldolase 1)
ESY4_g26674_DN3_SP0_c0.t1	337	AT4G39980.1	AT4G39980.1	orthologue	GO:0003849;GO:0009507;GO:0009073;GO:0009423;GO:0005515;GO:0009617;GO:0005739;GO:0009611;GO:0008652	Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1) (DAHP synthase 1) (Phospho-2-keto-3-deoxyheptonate aldolase 1)
ESY4_g26675_DN1_SP3_c0.t1	71	AT4G39990.1	AT4G39990.1	orthologue	GO:0032588;GO:0031901;GO:0042546;GO:0035619;GO:0005794;GO:0003924;GO:0005886;GO:0032456;GO:0005525;GO:0019900;GO:0090404;GO:0005768;GO:0015031	Ras-related protein RABA4b (AtRABA4b) (Ras-related protein GB3) (AtGB3) (Ras-related protein Rab11G) (AtRab11G)
ESY4_g26676_DN3_SP8_c0.t1	527	AT4G39980.1	AT4G39980.1	orthologue	GO:0003849;GO:0009507;GO:0009073;GO:0009423;GO:0005515;GO:0009617;GO:0005739;GO:0009611;GO:0008652	Phospho-2-dehydro-3-deoxyheptonate aldolase 1, chloroplastic (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase 1) (DAHP synthase 1) (Phospho-2-keto-3-deoxyheptonate aldolase 1)
ESY4_g26677_DN3_SP8_c0.t1	310	AT4G39970.1	AT4G39970.1	orthologue	GO:0009570;GO:0009941;GO:0005886;GO:0003674;GO:0009507;GO:0016787;GO:0046872	Haloacid dehalogenase-like hydrolase domain-containing protein At4g39970 (EC 3.1.3.-)
ESY4_g26678_DN3_SP0_c0.t1	344	AT2G22360.1, AT4G39960.1	AT4G39960.1	other	GO:0009941;GO:0051082;GO:0009535;GO:0009507;GO:0042026;GO:0005737;GO:0051085;GO:0005773;GO:0006457;GO:0009408;GO:0031072;GO:0005524;GO:0005506;GO:0005515;GO:0005886;GO:0008270	AT4g39960/T5J17_130 (Molecular chaperone Hsp40/DnaJ family protein);Chaperone protein dnaJ A6, chloroplastic (atDjA6) (Chaperone protein dnaJ A26) (AtDjA26)
ESY4_g26679_DN3_SP0_c0.t1	436	AT4G39960.1	AT4G39960.1	other	GO:0051085;GO:0042026;GO:0009941;GO:0006457;GO:0051082;GO:0005886;GO:0009535;GO:0005515;GO:0009408;GO:0031072;GO:0009507;GO:0005737;GO:0005506;GO:0005524;GO:0008270	AT4g39960/T5J17_130 (Molecular chaperone Hsp40/DnaJ family protein)
ESY4_g26680_DN3_SP3_c0.t1	325	AT4G39955.1	AT4G39955.1	orthologue	GO:0003824;GO:0005575	Alpha/beta-Hydrolases superfamily protein (At4g39955)
ESY4_g26681_DN1_SP0_c0.t1	64	AT4G39952.1	AT4G39952.1	other	GO:0009451;GO:0003723;GO:0005739	Pentatricopeptide repeat-containing protein At4g39952, mitochondrial
ESY4_g26683_DN3_SP0_c17.t1	548	AT4G39950.2	AT4G39950.2	orthologue	GO:0009617;GO:0042742;GO:0006952;GO:0009507;GO:0016020;GO:0010120;GO:0009414;GO:0052544;GO:0009684;GO:0009682;GO:0009625;GO:0020037;GO:0002229;GO:0016705;GO:0006569;GO:0016709;GO:0005506;GO:0004497;GO:0090489	Cytochrome P450, family 79, subfamily B, polypeptide 2;Tryptophan N-monooxygenase 1 (EC 1.14.14.156) (Cytochrome P450 79B2) (Tryptophan N-hydroxylase 1)
ESY4_g26684_DN2_SP8_c22.t1	542	AT4G39950.2	AT4G39950.2	orthologue	GO:0009617;GO:0042742;GO:0006952;GO:0009507;GO:0016020;GO:0010120;GO:0009414;GO:0052544;GO:0009684;GO:0009682;GO:0009625;GO:0020037;GO:0002229;GO:0016705;GO:0006569;GO:0016709;GO:0005506;GO:0004497;GO:0090489	Cytochrome P450, family 79, subfamily B, polypeptide 2;Tryptophan N-monooxygenase 1 (EC 1.14.14.156) (Cytochrome P450 79B2) (Tryptophan N-hydroxylase 1)
ESY4_g26685_DN3_SP5_c0.t1	290	AT4G39940.1	AT4G39940.1	orthologue	GO:0009536;GO:0016310;GO:0004020;GO:0009507;GO:0010439;GO:0000103;GO:0070814;GO:0048232;GO:0005524;GO:0019344	Adenylyl-sulfate kinase 2, chloroplastic (EC 2.7.1.25) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 2) (Adenosine-5'-phosphosulfate kinase 2) (APS kinase 2)
ESY4_g26686_DN3_SP0_c0.t1	349	AT4G39920.1	AT4G39920.1	orthologue	GO:0007021;GO:0006457;GO:0007023;GO:0005737;GO:0000911;GO:0000226;GO:0015631	Tubulin-folding cofactor C (AtTFCC) (TFC C) (Protein PORCINO)
ESY4_g26687_DN3_SP8_c19.t1	370	AT4G39910.1	AT4G39910.1	orthologue	GO:0005634;GO:0006499;GO:0004843;GO:0016579;GO:0005829;GO:0005737;GO:0031647;GO:0006508	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12) (Deubiquitinating enzyme 3) (AtUBP3) (Ubiquitin thioesterase 3) (Ubiquitin-specific-processing protease 3)
ESY4_g26688_DN3_SP0_c0.t1	349	AT4G15500.1	AT4G15500.1	orthologue	GO:0080044;GO:0016757;GO:0080043;GO:0050412;GO:0005737;GO:0050284;GO:0047218;GO:0008194	UDP-glycosyltransferase 84A4 (EC 2.4.1.120) (EC 2.4.1.177) (Hydroxycinnamate glucosyltransferase 1) (AtHCAGT1)
ESY4_g26689_DN3_SP0_c0.t1	108	AT4G15500.1	AT4G15500.1	other	GO:0080044;GO:0016757;GO:0080043;GO:0050412;GO:0005737;GO:0050284;GO:0047218	UDP-glycosyltransferase 84A4 (EC 2.4.1.120) (EC 2.4.1.177) (Hydroxycinnamate glucosyltransferase 1) (AtHCAGT1)
ESY4_g26690_DN3_SP4_c0.t1	194	AT4G39900.1	AT4G39900.1	other	GO:0003674;GO:0005634;GO:0016020	AT4g39900/T5J17_70 (Adenine deaminase)
ESY4_g26691_DN3_SP0_c5.t1	409	AT2G14288.1, AT3G24610.1	AT3G24610.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/kelch-repeat SKIP6-like protein;Putative F-box/kelch-repeat protein At3g24610
ESY4_g26692_DN1_SP0_c0.t1	381	AT2G14288.1, AT3G24610.1	AT3G24610.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005634;;GO:0005515	F-box/kelch-repeat SKIP6-like protein;Putative F-box/kelch-repeat protein At3g24610
ESY4_g26693_DN3_SP8_c0.t1	212	AT4G39890.1	AT4G39890.1	orthologue	GO:0003924;GO:0006886;GO:0005886;GO:0006890;GO:0000139;GO:0042147;GO:0006891;GO:0005515;GO:0005794;GO:0005829;GO:0012505;GO:0005525;GO:0015031;GO:0016192	Ras-related protein RABH1c (AtRABH1c)
ESY4_g26694_DN3_SP0_c0.t1	174	AT4G39880.1	AT4G39880.1	orthologue	GO:0006412;GO:0032543;GO:0005762;GO:0009507;GO:0003735;GO:0003729;GO:0005840	Large ribosomal subunit protein uL23m
ESY4_g26695_DN3_SP0_c0.t1	238	AT4G39870.1	AT4G39870.1	orthologue	GO:0008150;GO:0003674;GO:0005739	Oxidation resistance protein 1
ESY4_g26696_DN3_SP3_c0.t1	394	AT4G39870.1	AT4G39870.1	orthologue	GO:0008150;GO:0003674;GO:0005739	Oxidation resistance protein 1
ESY4_g26697_DN3_SP5_c0.t1	302	AT4G39860.1	AT4G39860.1	orthologue	GO:0005634;GO:0005737;GO:0003674	Hematological/neurological-like protein
ESY4_g26698_DN3_SP8_c0.t1	937	AT5G57610.1	AT5G57610.1	orthologue	GO:0004712;GO:0004672;GO:0007165;GO:0006468;GO:0005634;GO:0005737;GO:0004674;GO:0005524;GO:0009734;GO:0010928;GO:0005515	Kinase superfamily with octicosapeptide/Phox/Bem1p domain-containing protein (Similarity to protein kinase)
ESY4_g26699_DN3_SP8_c0.t1	1338	AT4G39850.3	AT4G39850.3	orthologue	GO:0016042;GO:0005324;GO:0006635;GO:0140359;GO:0005778;GO:0015910;GO:0046861;GO:0016887;GO:0042760;GO:0055085;GO:0042626;GO:0005777;GO:0010030;GO:0015916;GO:0005515;GO:0006744;GO:0005524;GO:0015607;GO:0007031;GO:0016020	ABC transporter D family member 1 (ABC transporter ABCD.1) (AtABCD1) (EC 7.6.2.4) (Peroxisomal ABC transporter 1) (AtPXA1) (Protein ACETATE NON-UTILIZING 2) (Protein COMATOSE) (Protein PEROXISOME DEFECTIVE 3) (Ped3p);Peroxisomal ABC transporter 1
ESY4_g26703_DN1_SP0_c0.t1	82					
ESY4_g26704_DN2_SP0_c0.t1	446	AT4G39840.1	AT4G39840.1	orthologue	GO:0005768;GO:0003674;GO:0005802;GO:0005794;GO:0016020	Cell wall integrity/stress response component-like protein
ESY4_g26705_DN3_SP1_c0.t1	579	AT4G39830.1	AT4G39830.1	orthologue	GO:0005507;GO:0005576;GO:0008447;GO:1900367;GO:0048046;GO:0010039;GO:0016491	L-ascorbate oxidase (EC 1.10.3.3)
ESY4_g26707_DN2_SP0_c0.t1	393	AT4G39820.2	AT4G39820.2	orthologue	GO:0005737;GO:0005886;GO:0003674;GO:0005515	At4g39820 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
ESY4_g26708_DN3_SP0_c0.t1	218	AT2G14830.1	AT2G14830.1	other	GO:0015031;GO:0005634;GO:0003674;GO:0008104	Ist1p
ESY4_g26709_DN3_SP4_c0.t1	255	AT4G39810.1	AT4G39810.1	orthologue	GO:0008408;GO:0008150;GO:0005737;GO:0003676;GO:0004527;GO:0005634;GO:0046872	Protein NEN4 (NAC45/NAC86-dependent exonuclease-domain protein 4) (EC 3.1.11.-)
ESY4_g26710_DN3_SP8_c0.t1	510	AT4G39800.1	AT4G39800.1	orthologue	GO:0009793;GO:0006021;GO:0004512;GO:0005737;GO:0009791;GO:0005515;GO:0010264;GO:0006659;GO:0005634;GO:0005829;GO:0008654	Inositol-3-phosphate synthase isozyme 1 (AtIPS1) (MIP synthase 1) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase 1) (AtMIPS 1) (MI-1-P synthase 1)
ESY4_g26711_DN3_SP0_c0.t1	108	AT4G39795.1	AT4G39795.1	orthologue	GO:1905582;GO:0005634;GO:0019900;GO:0009744;GO:0005737;GO:0009749;GO:0008270	FCS-Like Zinc finger 7
ESY4_g26712_DN3_SP0_c0.t1	186				GO:0005777;GO:0010468;GO:0004540	
ESY4_g26713_DN1_SP0_c0.t1	60	AT4G39790.1	AT4G39790.1	orthologue	GO:0005634;GO:0003674	BZIP transcription factor, putative (DUF630 and DUF632)
ESY4_g26714_DN3_SP0_c0.t1	184				GO:0004540;GO:0005777;GO:0010468	
ESY4_g26715_DN3_SP1_c0.t1	636	AT4G39790.1	AT4G39790.1	orthologue	GO:0005634;GO:0003674	BZIP transcription factor, putative (DUF630 and DUF632)
ESY4_g26717_DN3_SP7_c0.t1	349	AT4G39770.1	AT4G39770.1	orthologue	GO:0005992;GO:0004805;GO:0005634;GO:0005737;GO:0005829	Probable trehalose-phosphate phosphatase H (AtTPPH) (EC 3.1.3.12) (Trehalose 6-phosphate phosphatase);Trehalose 6-phosphate phosphatase (EC 3.1.3.12)
ESY4_g26719_DN2_SP0_c0.t1	289	AT4G39745.1	AT4G39745.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Hydroxyproline-rich glycoprotein family protein
ESY4_g26720_DN3_SP0_c0.t1	285	AT4G39740.1	AT4G39740.1	orthologue	GO:0033617;GO:0055070;GO:0005739;GO:0003674;GO:0005743	Protein SCO1 homolog 2, mitochondrial (Homolog of the copper chaperone SCO1 member 2) (HCC2)
ESY4_g26721_DN3_SP3_c49.t1	181	AT4G39730.1	AT4G39730.1	orthologue	GO:0009535;GO:0000325;GO:0009651;GO:0005886;GO:0099503;GO:0009409;GO:0009579;GO:0005576;GO:0009414;GO:0005783;GO:0070300;GO:0010287;GO:0005515	PLAT domain-containing protein 1 (AtPLAT1) (PLAT domain protein 1)
ESY4_g26722_DN3_SP0_c0.t1	303	AT4G39720.2	AT4G39720.2	orthologue	GO:0005634;GO:0003674	At4g39720 (VQ motif-containing protein);VQ motif-containing protein
ESY4_g26723_DN3_SP2_c0.t1	217	AT4G39710.1	AT4G39710.1	orthologue	GO:0009535;GO:0005886;GO:0009579;GO:0009543;GO:0009507;GO:0005515;GO:0005576;GO:0003755	Photosynthetic NDH subunit of lumenal location 4, chloroplastic (FK506-binding protein 16-2) (AtFKBP16-2) (Immunophilin FKBP16-2) (Peptidyl-prolyl cis-trans isomerase FKBP16-2) (PPIase FKBP16-2) (EC 5.2.1.8) (Rotamase);peptidylprolyl isomerase (EC 5.2.1.8)
ESY4_g26724_DN3_SP6_c0.t1	160	AT4G39700.1	AT4G39700.1	orthologue	GO:0003674;GO:0005737;GO:0008150;GO:0046872	Heavy metal-associated isoprenylated plant protein 23 (AtHIP23)
ESY4_g26725_DN3_SP0_c0.t1	640	AT4G39690.1	AT4G39690.1	orthologue	GO:0061617;GO:0005743;GO:0032368;GO:1901612;GO:0098800;GO:0016036;GO:0005886;GO:0005739;GO:0042407;GO:0005515;GO:0097035;GO:0006869	MICOS complex subunit MIC60, mitochondrial (AtMic60) (Mitochondrial contact site and cristae organizing system 60 kDa subunit) (Mitofilin)
ESY4_g26726_DN3_SP0_c0.t1	528	AT4G39680.1	AT4G39680.1	orthologue	GO:0005737;GO:0003676;GO:0005886;GO:0008150	SAP domain-containing protein
ESY4_g26727_DN2_SP0_c0.t1	68	AT4G39675.1	AT4G39675.1	orthologue	GO:0005575;GO:0003674;GO:0008150	At4g39675
ESY4_g26728_DN3_SP0_c0.t1	248	AT4G39670.1	AT4G39670.1	orthologue	GO:0005737;GO:1902388;GO:0120009;GO:0035627;GO:0005829;GO:1902387;GO:0005634;GO:0120013;GO:0016020	ACD11 homolog protein (Probable ceramide-1-phosphate transfer protein)
ESY4_g26729_DN3_SP3_c0.t1	113	AT2G27710.1	AT2G27710.1	orthologue	GO:0022626;GO:0009507;GO:0005730;GO:0022625;GO:0009409;GO:0002182;GO:0099503;GO:0003729;GO:0005777;GO:0003735;GO:0005840;GO:0006414	60S acidic ribosomal protein family;Large ribosomal subunit protein P2y (60S acidic ribosomal protein P2-2)
ESY4_g26730_DN3_SP8_c0.t1	483	AT4G39660.1	AT4G39660.1	orthologue	GO:0005886;GO:0005739;GO:0008270;GO:0009436;GO:0005737;GO:0019481;GO:0030170;GO:0008453;GO:0000325;GO:0009853;GO:0008483	Alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial (EC 2.6.1.44) (Beta-alanine-pyruvate aminotransferase 1);alanine--glyoxylate transaminase (EC 2.6.1.44)
ESY4_g26734_DN3_SP0_c0.t1	228	AT4G39630.1	AT4G39630.1	orthologue	GO:0005515;GO:0000775;GO:0005634;GO:0003743	Translation initiation factor
ESY4_g26735_DN3_SP0_c0.t1	104	AT4G39640.1	AT4G39640.1	other	GO:0016756;GO:0103068;GO:0006751;GO:0036374;GO:0005576;GO:0009506;GO:0006979;GO:0048046;GO:0005886	Glutathione hydrolase 1 (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (EC 2.3.2.2)
ESY4_g26736_DN3_SP0_c0.t1	181	AT1G73490.2	AT1G73490.2	orthologue	GO:0005634;GO:0003723;GO:0005730;GO:0008150;GO:0003676	At1g73490 (RNA-binding (RRM/RBD/RNP motifs) family protein);RNA-binding (RRM/RBD/RNP motifs) family protein
ESY4_g26737_DN1_SP0_c0.t1	370	AT4G39620.1	AT4G39620.1	orthologue	GO:0006397;GO:0009507;GO:0003729;GO:0009793;GO:0005737;GO:0005515	Pentatricopeptide repeat-containing protein At4g39620, chloroplastic (Protein EMBRYO DEFECTIVE 2453);Tetratricopeptide repeat (TPR)-like superfamily protein
ESY4_g26738_DN1_SP0_c0.t1	127	AT4G39620.1	AT4G39620.1	orthologue	GO:0006397;GO:0009507;GO:0003729;GO:0009793;GO:0005737	Pentatricopeptide repeat-containing protein At4g39620, chloroplastic (Protein EMBRYO DEFECTIVE 2453);Tetratricopeptide repeat (TPR)-like superfamily protein
ESY4_g26739_DN2_SP0_c0.t1	257	AT4G39610.1	AT4G39610.1	orthologue	GO:0003674;GO:0005575;GO:0010274	At4g39610
ESY4_g26740_DN3_SP0_c0.t1	80					
ESY4_g26741_DN3_SP0_c0.t1	122					
ESY4_g26742_DN3_SP0_c0.t1	184	AT4G39580.1	AT4G39580.1	other	GO:0003674;GO:0005737;;GO:0005515	F-box/kelch-repeat protein At4g39580
ESY4_g26743_DN2_SP0_c0.t1	327					
ESY4_g26745_DN2_SP0_c0.t1	156				GO:0005515	
ESY4_g26746_DN1_SP0_c0.t1	97	AT5G48990.1	AT5G48990.1	other	GO:0006511;GO:0005515;GO:0005634	F-box/kelch-repeat protein At5g48990
ESY4_g26750_DN3_SP0_c0.t1	290	AT4G39540.3	AT4G39540.3	orthologue	GO:0009507;GO:0009423;GO:0005515;GO:0019632;GO:0004765;GO:0009073;GO:0005524;GO:0008652;GO:0046872;GO:0005829	Shikimate kinase 2, chloroplastic (AtSK2) (EC 2.7.1.71);shikimate kinase (EC 2.7.1.71)
ESY4_g26752_DN3_SP8_c0.t1	368	AT4G39520.1	AT4G39520.1	orthologue	GO:0010494;GO:0002181;GO:0003924;GO:0005737;GO:0005525;GO:0019003	Developmentally-regulated G-protein 3 (AtDRG3) (Developmentally-regulated G-protein 1) (AtDRG1)
ESY4_g26753_DN3_SP0_c0.t1	508	AT1G47620.1, AT4G32170.1, AT4G39500.2, AT4G39510.1, AT5G02900.1	AT4G39510.1	other	GO:0005506;GO:0005576;GO:0016705;GO:0020037;GO:0009507;GO:0008150;GO:0005575;GO:0005886;GO:0004497;GO:0006629;GO:0016020	AT4g39510/F23K16_140 (Cytochrome P450, family 96, subfamily A, polypeptide 12) (Cytochrome P450-like protein);At1g47620 (Cytochrome P450, family 96, subfamily A, polypeptide 8) (F16N3.8 protein);Cytochrome P450, family 96, subfamily A, polypeptide 11;Cytochrome P450, family 96, subfamily A, polypeptide 11 (Cytochrome P450-like protein);Cytochrome P450, family 96, subfamily A, polypeptide 13 (Cytochrome P450-like protein);Cytochrome P450, family 96, subfamily A, polypeptide 2 (Cytochrome P450-like protein) (Cytochrome p450 - like protein)
ESY4_g26754_DN3_SP0_c0.t1	509	AT4G39510.1	AT4G39510.1	other	GO:0016705;GO:0005506;GO:0020037;GO:0005575;GO:0008150;GO:0004497;GO:0006629;GO:0016020	AT4g39510/F23K16_140 (Cytochrome P450, family 96, subfamily A, polypeptide 12) (Cytochrome P450-like protein)
ESY4_g26755_DN3_SP0_c0.t1	521	AT1G47620.1	AT1G47620.1	orthologue	GO:0020037;GO:0005506;GO:0009507;GO:0008150;GO:0016705;GO:0004497;GO:0006629;GO:0016020	At1g47620 (Cytochrome P450, family 96, subfamily A, polypeptide 8) (F16N3.8 protein)
ESY4_g26756_DN3_SP0_c0.t1	546	AT1G47620.1, AT4G32170.1, AT4G39500.2, AT4G39510.1, AT5G02900.1	AT1G47620.1	other	GO:0005506;GO:0005576;GO:0016705;GO:0020037;GO:0009507;GO:0008150;GO:0005575;GO:0005886;GO:0004497;GO:0006629;GO:0016020	AT4g39510/F23K16_140 (Cytochrome P450, family 96, subfamily A, polypeptide 12) (Cytochrome P450-like protein);At1g47620 (Cytochrome P450, family 96, subfamily A, polypeptide 8) (F16N3.8 protein);Cytochrome P450, family 96, subfamily A, polypeptide 11;Cytochrome P450, family 96, subfamily A, polypeptide 11 (Cytochrome P450-like protein);Cytochrome P450, family 96, subfamily A, polypeptide 13 (Cytochrome P450-like protein);Cytochrome P450, family 96, subfamily A, polypeptide 2 (Cytochrome P450-like protein) (Cytochrome p450 - like protein)
ESY4_g26757_DN3_SP0_c0.t1	520	AT1G47620.1, AT4G32170.1, AT4G39500.2, AT4G39510.1, AT5G02900.1	AT1G47620.1	other	GO:0005506;GO:0005576;GO:0016705;GO:0020037;GO:0009507;GO:0008150;GO:0005575;GO:0005886;GO:0004497;GO:0006629;GO:0016020	AT4g39510/F23K16_140 (Cytochrome P450, family 96, subfamily A, polypeptide 12) (Cytochrome P450-like protein);At1g47620 (Cytochrome P450, family 96, subfamily A, polypeptide 8) (F16N3.8 protein);Cytochrome P450, family 96, subfamily A, polypeptide 11;Cytochrome P450, family 96, subfamily A, polypeptide 11 (Cytochrome P450-like protein);Cytochrome P450, family 96, subfamily A, polypeptide 13 (Cytochrome P450-like protein);Cytochrome P450, family 96, subfamily A, polypeptide 2 (Cytochrome P450-like protein) (Cytochrome p450 - like protein)
ESY4_g26758_DN3_SP0_c0.t1	514	AT4G39490.1	AT4G39490.1	orthologue	GO:0020037;GO:0016705;GO:0005576;GO:0008150;GO:0005506;GO:0004497;GO:0006629;GO:0016020	Cytochrome P450, family 96, subfamily A, polypeptide 10;Cytochrome P450, family 96, subfamily A, polypeptide 9 (Cytochrome P450-like protein)
ESY4_g26759_DN3_SP0_c0.t1	476	AT4G39480.1	AT4G39480.1	other	GO:0020037;GO:0005506;GO:0016705;GO:0005576;GO:0004497;GO:0006629;GO:0016020	Cytochrome P450, family 96, subfamily A, polypeptide 9 (Cytochrome P450-like protein)
