Eutrema_salsugineum	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006407228.1	554	AT3G13390.1	AT3G13390.1	orthologue	GO:0005507;GO:0005576;GO:0016491;GO:0008150	L-ascorbate oxidase pectinesterase-like protein pollen-specific protein-like (Putative pectinesterase (Pectin methylesterase) family protein) (SKU5 similar 11)
XP_006407229.1	1166	AT3G13380.1	AT3G13380.1	orthologue	GO:0009414;GO:0005515;GO:0009755;GO:0004674;GO:0004714;GO:0005886;GO:0009416;GO:0038023;GO:0005496;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Receptor-like protein kinase BRI1-like 3 (EC 2.7.10.1) (EC 2.7.11.1) (BRASSINOSTEROID INSENSITIVE 1-like protein 3)
XP_006407230.1	476	AT3G13360.2	AT3G13360.2	orthologue	GO:0005515;GO:0005634;GO:0005635;GO:0006997;GO:0031965;GO:0016020	WPP domain interacting protein 3;WPP domain-interacting protein 3
XP_006407232.1	323	AT3G13350.1	AT3G13350.1	orthologue	GO:0005634;GO:0003677;GO:0005515;GO:0003700	High mobility group B protein 10 (Nucleosome/chromatin assembly factor group D 10)
XP_006407233.1	447	AT3G13340.1	AT3G13340.1	orthologue	GO:0005634;GO:0080008;GO:0003674;GO:0005515	AT3g13340/MDC11_13 (Transducin/WD40 repeat-like superfamily protein)
XP_006407234.1	1808	AT3G13330.1	AT3G13330.1	orthologue	GO:0070628;GO:0010499;GO:0070577;GO:0016504;GO:0005634;GO:0005829;GO:0000502;GO:0006281	Proteasome activator subunit 4 (Proteasome activator PA200)
XP_006407236.1	441	AT3G13320.1	AT3G13320.1	orthologue	GO:0015369;GO:0009705;GO:0030001;GO:0015691;GO:0070588;GO:0006816;GO:0015368;GO:0006874;GO:0005773;GO:0012505;GO:0006828;GO:0016020;GO:0055085;GO:0006812;GO:0008324	Vacuolar cation/proton exchanger 2 (Ca(2+)/H(+) antiporter CAX2) (Ca(2+)/H(+) exchanger 2) (Protein CATION EXCHANGER 2)
XP_006407237.1	159	AT3G13310.1	AT3G13310.1	orthologue	GO:0003674;GO:0071456;GO:0009507	At3g13310 (Chaperone DnaJ-domain superfamily protein) (DnaJ protein, putative) (DnaJ-like protein)
XP_006407239.1	1359	AT3G13290.1, AT3G13300.1	AT3G13300.1	orthologue	GO:0031087;GO:0000932;GO:0005634;GO:0006402;GO:0042803;GO:0007186;GO:0005515;GO:0071365;GO:0010494;GO:0010071;GO:0009965;GO:0003729;GO:0010072;GO:0009791;GO:0006397	Enhancer of mRNA-decapping protein 4 (Protein VARICOSE);Transducin/WD40 repeat-like superfamily protein;Varicose-related protein
XP_006407240.1	1349	AT3G13290.1, AT3G13300.1	AT3G13300.1	orthologue	GO:0031087;GO:0000932;GO:0005634;GO:0006402;GO:0042803;GO:0007186;GO:0005515;GO:0071365;GO:0010494;GO:0010071;GO:0009965;GO:0003729;GO:0010072;GO:0009791;GO:0006397	Enhancer of mRNA-decapping protein 4 (Protein VARICOSE);Transducin/WD40 repeat-like superfamily protein;Varicose-related protein
XP_006407241.2	69	AT3G13275.1	AT3G13275.1	orthologue	GO:0005576;GO:0003674;GO:0016020	Transmembrane protein
XP_006407243.1	409	AT3G13235.1	AT3G13235.1	orthologue	GO:0005737;GO:0004190;GO:0005829;GO:0006508;GO:0031593;GO:0005515	Protein DNA-DAMAGE INDUCIBLE 1 (EC 3.4.23.-);Ubiquitin family protein
XP_006407244.1	212	AT3G13230.1	AT3G13230.1	orthologue	GO:0008150;GO:0005634;GO:0003723;GO:0005730	At3g13230 (RNA-binding KH domain-containing protein)
XP_006407245.1	282	AT3G13229.1	AT3G13229.1	orthologue	GO:0008150;GO:0003674;GO:0005634	Kinesin-like protein (DUF868)
XP_006407246.1	392	AT3G13226.1	AT3G13226.1	orthologue	GO:0006282;GO:0003674;GO:0005737	Regulatory protein RecX
XP_006407248.1	115	AT3G13227.1	AT3G13227.1	orthologue	GO:0005575;GO:0003674	At3g13227 (Serine-rich protein-like protein)
XP_006407249.1	348	AT3G13224.2	AT3G13224.2	orthologue	GO:0010468;GO:0005576;GO:0003729;GO:0003723;GO:0005654;GO:0000785;GO:0005634;GO:0016020;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
XP_006407250.1	685	AT3G13220.1	AT3G13220.1	orthologue	GO:0080110;GO:0042626;GO:0005886;GO:0009555;GO:0010152;GO:0005789;GO:0055085;GO:0010584;GO:0140359;GO:0030638;GO:0016887;GO:0005634;GO:0016020;GO:0005524	ABC transporter G family member 26 (ABC transporter ABCG.26) (AtABCG26) (Putative white-brown complex homolog protein 27) (AtWBC27)
XP_006407251.1	231	AT3G13200.1	AT3G13200.1	orthologue	GO:0000398;GO:0005515;GO:0005634;GO:0045292;GO:0000974;GO:0071013;GO:0005681;GO:0003723	Cwf15 / Cwc15 cell cycle control family protein
XP_006407252.1	362	AT3G13190.1	AT3G13190.1	orthologue	GO:0005737;GO:0003674;GO:0009903;GO:0005829;GO:0009904;	WEB family protein At3g13190
XP_006407253.1	524	AT3G13180.1	AT3G13180.1	orthologue	GO:0008173;GO:0006355;GO:0005634;GO:0001510;GO:0003723;GO:0005737;GO:0006364;GO:0008168	NOL1/NOP2/sun family protein / antitermination NusB domain-containing protein (Putative sun (Fmu) protein) (Putative sun protein fmu)
XP_006407254.1	105	AT3G13175.1	AT3G13175.1	orthologue	GO:0005575;GO:0005515;GO:0016020	At3g13171 (Transmembrane protein)
XP_006407255.1	362	AT3G13170.1	AT3G13170.1	orthologue	GO:0051026;GO:0006259;GO:0000706;GO:0042138;GO:0003677;GO:0005515;GO:0007131;GO:0005524;GO:0000228;GO:0005634;GO:0007129;GO:0003918;GO:0034090;GO:0005694;GO:0000724;GO:0046872;GO:0003824	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2);Meiotic recombination protein SPO11-1 (AtSPO11-1) (EC 5.6.2.2)
XP_006407256.1	394	AT3G13160.1	AT3G13160.1	orthologue	GO:0005739;GO:0005829;GO:0008150;GO:0003729;GO:0005840;GO:1990904;GO:0005515	Small ribosomal subunit protein mS79 (rPPR3b) (Pentatricopeptide repeat-containing protein At3g13160, mitochondrial)
XP_006407257.1	430	AT3G13150.1	AT3G13150.1	orthologue	GO:0005575;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At3g13150
XP_006407259.1	196	AT3G13130.1	AT3G13130.1	orthologue	GO:0009507;GO:0003674;GO:0016020	Transmembrane protein
XP_006407260.1	194	AT3G13120.1	AT3G13120.1	orthologue	GO:0009507;GO:0006412;GO:0005739;GO:0009570;GO:0042644;GO:0005515;GO:0003735;GO:0003729;GO:0015935;GO:0005829;GO:0005840;GO:1990904;GO:0003723	Small ribosomal subunit protein uS10c (30S ribosomal protein S10, chloroplastic)
XP_006407261.1	392	AT3G13110.1	AT3G13110.1	orthologue	GO:0005829;GO:0005515;GO:0006535;GO:0009001;GO:0009507;GO:0019344;GO:0008270;GO:0005739;GO:0005737;GO:0016740	Serine acetyltransferase 3, mitochondrial (AtSAT-3) (AtSERAT2;2) (SAT-m) (EC 2.3.1.30)
XP_006407262.1	1488	AT3G13100.1, AT3G13090.1	AT3G13100.1	orthologue	GO:0055085;GO:0016020;GO:0042626;GO:0009507;GO:0009506;GO:0008559;GO:0000325;GO:0016887;GO:0140359;GO:0051707;GO:0005634;GO:0005524	ABC transporter C family member 6 (ABC transporter ABCC.6) (AtABCC6) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 8) (Glutathione S-conjugate-transporting ATPase 8) (Multidrug resistance-associated protein 8);ABC transporter C family member 7 (ABC transporter ABCC.7) (AtABCC7) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 7) (Glutathione S-conjugate-transporting ATPase 7) (Multidrug resistance-associated protein 7);ABC-type xenobiotic transporter (EC 7.6.2.2)
XP_006407263.1	1513	AT3G13080.1	AT3G13080.1	orthologue	GO:0055085;GO:0140359;GO:0042626;GO:0048046;GO:0000325;GO:0015431;GO:0009507;GO:0005773;GO:0005774;GO:0009506;GO:0008559;GO:0016020;GO:0016887;GO:0010290;GO:0005524	ABC transporter C family member 3 (ABC transporter ABCC.3) (AtABCC3) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 3) (Glutathione S-conjugate-transporting ATPase 3) (Multidrug resistance-associated protein 3);ABC-type xenobiotic transporter (EC 7.6.2.2)
XP_006407264.1	660	AT3G13070.1	AT3G13070.1	orthologue	GO:0031969;GO:0005886;GO:0050660;GO:0009941;GO:0015693;GO:0009706;GO:0005829	Putative DUF21 domain-containing protein At3g13070, chloroplastic (CBS domain-containing protein CBSDUFCH1)
XP_006407265.1	688	AT3G13065.1	AT3G13065.1	orthologue	GO:0007165;GO:0005886;GO:0004672;GO:0016301;GO:0005576;GO:0016310;GO:0005524;GO:0016020;GO:0005515;GO:0006468	Protein STRUBBELIG-RECEPTOR FAMILY 4 (Leucine-rich repeat receptor kinase-like protein SRF4)
XP_006407266.1	408	AT3G13062.2	AT3G13062.2	orthologue	GO:0005739;GO:0008289;GO:0005737;GO:0016020	At3g13062 (Polyketide cyclase/dehydrase and lipid transport superfamily protein);Polyketide cyclase/dehydrase and lipid transport superfamily protein
XP_006407268.1	638	AT3G13060.2	AT3G13060.2	orthologue	GO:0061157;GO:0005634;GO:0005737;GO:0009615;GO:0003729;GO:1990247;GO:0003723	YTH domain-containing family protein
XP_006407270.1	505	AT3G13050.1	AT3G13050.1	orthologue	GO:0055085;GO:0090417;GO:0005886;GO:0090416;GO:2001143;GO:2001142;GO:0005524;GO:0006811;GO:0016020;GO:0022857	Organic cation/carnitine transporter 7 (AtOCT7)
XP_006407271.1	442	AT3G13040.1	AT3G13040.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0003677	Myb family transcription factor PHL6 (Protein PHR1-LIKE 6)
XP_006407273.1	590	AT3G13000.2	AT3G13000.2	orthologue	GO:0003700;GO:0006355;GO:0000325;GO:0005634	AT3G13000 protein;At3g13000
XP_006407274.1	1666	AT3G12980.1	AT3G12980.1	orthologue	GO:0045944;GO:0005667;GO:0008270;GO:0004402;GO:0006355;GO:0000123;GO:0005515;GO:0031490;GO:0009908;GO:0006473;GO:0016592;GO:0003713;GO:0005634;GO:0016573	Histone acetyltransferase HAC5 (EC 2.3.1.48);histone acetyltransferase (EC 2.3.1.48)
XP_006407275.1	278	AT3G12977.1	AT3G12977.1	orthologue	GO:0006355;GO:0009831;GO:0043565;GO:0010628;GO:0005634;GO:0003677;GO:0000976	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein;NAC (No Apical Meristem) domain transcriptional regulator superfamily protein (NAM (No apical meristem) protein-like)
XP_006407276.1	385	AT3G12970.1	AT3G12970.1	orthologue	GO:0003674;GO:0005634	At3g12970 (Serine/arginine repetitive matrix-like protein)
XP_006407278.1	139	AT3G12955.1	AT3G12955.1	orthologue	GO:0009733;GO:0005739;GO:0003674	At3g12955 (SAUR-like auxin-responsive protein family)
XP_006407279.1	558	AT3G12950.1	AT3G12950.1	orthologue	GO:0008150;GO:0005575;GO:0003674	At3g12950 (Trypsin family protein)
XP_006407281.1	238	AT3G12930.1	AT3G12930.1	orthologue	GO:0017148;GO:0000427;GO:0009507;GO:0043023;GO:0042644;GO:0005515;GO:0090071	Protein Iojap, chloroplastic
XP_006407282.1	344	AT3G12920.1	AT3G12920.1	orthologue	GO:0043067;GO:0005634;GO:0043161;GO:0004842;GO:0005737;GO:0006952;GO:0008270;GO:0016740	Probable BOI-related E3 ubiquitin-protein ligase 3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase BRG3)
XP_006407283.1	301	AT3G12910.1	AT3G12910.1	orthologue	GO:0003700;GO:0005515;GO:0006355;GO:0005634;GO:0003677;GO:0099402	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
XP_006407286.1	176	AT3G12880.1	AT3G12880.1	orthologue	GO:0009827;GO:0009505;GO:0043086;GO:0004857;GO:0046910;GO:0009507	Plant invertase/pectin methylesterase inhibitor superfamily protein
XP_006407287.1	208	AT3G12870.1	AT3G12870.1	orthologue	GO:0003674;GO:0009506;GO:0005739;GO:0016020	At3g12870 (MJM20.1 protein) (Transmembrane protein)
XP_006407288.1	504	AT3G12860.1	AT3G12860.1	orthologue	GO:0030515;GO:0031428;GO:0032040;GO:0005634;GO:0008150;GO:0005730;GO:0042254	Nucleolar protein 56
XP_006407289.1	132	AT3G12830.1	AT3G12830.1	orthologue	GO:0005515;GO:0005575;GO:0005737;GO:0009734;GO:0009733	Auxin-responsive protein SAUR72 (Protein SMALL AUXIN UP RNA 72)
XP_006407290.1	237	AT3G12820.1	AT3G12820.1	orthologue	GO:0009723;GO:1990641;GO:1990532;GO:0009646;GO:0010468;GO:0005634;GO:0010043;GO:0003700;GO:0003677	Myb domain protein 10;Transcription factor MYB10 (Myb-related protein 10) (AtMYB10)
XP_006407291.1	2031	AT3G12810.1	AT3G12810.1	orthologue	GO:0042393;GO:0042742;GO:0000812;GO:0048441;GO:0016514;GO:0005634;GO:0009910;GO:0016887;GO:0005515;GO:0048451;GO:0046686;GO:0140658;GO:0009505;GO:0006338;GO:0003677;GO:0004386;GO:0005524;GO:0006325;GO:0009908;GO:0030154;GO:0016787;GO:0043486	DNA helicase (EC 3.6.4.12);Protein PHOTOPERIOD-INDEPENDENT EARLY FLOWERING 1 (EC 3.6.4.12) (Independent early flowering 1 protein) (Protein CHROMATIN REMODELING 13) (AtCHR13)
XP_006407293.1	298	AT3G12800.1, AT2G07640.1	AT3G12800.1	orthologue	GO:0006631;GO:0005777;GO:0009062;GO:0016628;GO:0008670;GO:0000325	2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124);Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing] (EC 1.3.1.124)
XP_006407294.1	362	AT3G12775.1	AT3G12775.1	orthologue	GO:0005634;GO:0061631;GO:0008150	Ubiquitin-conjugating enzyme family protein
XP_006407295.1	481	AT3G12780.1	AT3G12780.1	orthologue	GO:0005634;GO:0019375;GO:0019253;GO:0009507;GO:0009941;GO:0006096;GO:0010319;GO:0004672;GO:0009570;GO:0009409;GO:0006094;GO:0005524;GO:0004618;GO:0043531;GO:0003729;GO:0005739;GO:0005737;GO:0018119;GO:0010027;GO:0005829;GO:0009579;GO:0005515;GO:0009505;GO:0048046;GO:0016020;GO:0046872	Phosphoglycerate kinase 1, chloroplastic (EC 2.7.2.3)
XP_006407296.1	694	AT3G12770.1	AT3G12770.1	orthologue	GO:0080156;GO:0005739;GO:0009507;GO:0008270;GO:0003723;GO:0005515;GO:0009451	Pentatricopeptide repeat-containing protein At3g12770
XP_006407297.1	256	AT3G12760.1	AT3G12760.1	orthologue	GO:0097602;GO:0045116;GO:0000151;GO:0032182;GO:0005634;GO:0031624;GO:0005515	Defective in cullin neddylation protein
XP_006407299.1	347	AT3G12740.1	AT3G12740.1	orthologue	GO:0005783;GO:0005794;GO:0005829;GO:0015914;GO:0005886;GO:0003674;GO:0000139;GO:0005789;GO:0016020	ALA-interacting subunit 1 (AtALIS1) (ALA3 beta-subunit 1)
XP_006407300.1	356	AT3G12750.1	AT3G12750.1	orthologue	GO:0006829;GO:0005886;GO:0071577;GO:0010043;GO:0005385;GO:0016020;GO:0030001;GO:0046873;GO:0055085	Zinc transporter 1 (ZRT/IRT-like protein 1)
XP_006407301.1	234	AT3G12730.1	AT3G12730.1	other	GO:0006355;GO:0003700;GO:0005634;GO:0005739;GO:0003677	Homeodomain-like superfamily protein;Myb family transcription factor PHL12 (Protein PHR1-LIKE 12)
XP_006407302.1	294	AT3G12720.1	AT3G12720.1	orthologue	GO:0006355;GO:0000976;GO:0005634;GO:0003700	AT3g12720/MBK21_8 (MYB-related transcription factor-like protein) (Myb domain protein 67)
XP_006407303.1	310	AT3G12710.1	AT3G12710.1	orthologue	GO:0008725;GO:0006284;GO:0005575;GO:0046872;GO:0003824;GO:0006281	DNA glycosylase superfamily protein (DNA-3-methyladenine glycosidase I-like protein)
XP_006407304.1	444	AT3G12700.1	AT3G12700.1	orthologue	GO:0004190;GO:0009507;GO:0010019;GO:0005576;GO:0009744;GO:0005975;GO:0005634;GO:0007623;GO:0006508	Aspartic proteinase NANA, chloroplast (EC 3.4.23.-);Eukaryotic aspartyl protease family protein
XP_006407305.1	579	AT3G12690.1	AT3G12690.1	orthologue	GO:0004674;GO:0005515;GO:0009826;GO:0009860;GO:0005737;GO:0005634;GO:0005886;GO:0016301;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase AGC1-5 (EC 2.7.11.1) (AGC serine/threonine-protein kinase subfamily 1 member 5)
XP_006407306.1	212	AT3G12685.1	AT3G12685.1	orthologue	GO:0003674;GO:0005575	Acid phosphatase/vanadium-dependent haloperoxidase-related protein
XP_006407311.1	242	AT3G12650.1	AT3G12650.1	orthologue	GO:0005739;GO:0003674;GO:0016020	AT3g12650/T2E22_103 (Transmembrane protein)
XP_006407312.1	652	AT3G12640.2	AT3G12640.2	orthologue	GO:0008143;GO:0043488;GO:0005737;GO:0005634;GO:0003676;GO:0003723;GO:1900364	RNA binding (RRM/RBD/RNP motifs) family protein
XP_006407313.1	158	AT3G12630.1	AT3G12630.1	orthologue	GO:0004842;GO:0006970;GO:0009414;GO:0005634;GO:0008270;GO:0016567;GO:0051865;GO:0003677	Zinc finger A20 and AN1 domain-containing stress-associated protein 5 (AtSAP5)
XP_006407314.1	387	AT3G12620.1	AT3G12620.1	orthologue	GO:0005515;GO:1900425;GO:0017018;GO:0005886;GO:1902531;GO:0004722;GO:0046872;GO:0006470;GO:0043169	Probable protein phosphatase 2C 38 (AtPP2C38) (EC 3.1.3.16)
XP_006407315.1	373	AT3G12610.1	AT3G12610.1	orthologue	GO:0009411;GO:0005886;GO:0009507;GO:0009650;GO:0007165;GO:0000166;GO:0006281;GO:0005515	DNA damage-repair/toleration protein DRT100
XP_006407316.1	189	AT3G12600.1	AT3G12600.1	orthologue	GO:0016462;GO:0005737;GO:0005634;GO:0005739;GO:0046872;GO:0016787	Nudix hydrolase 16, mitochondrial (AtNUDT16) (EC 3.6.1.-)
XP_006407317.1	1185	AT3G12590.1	AT3G12590.1	orthologue	GO:0003674;GO:0009507	ARM repeat superfamily protein
XP_006407318.2	37	AT3G12587.1	AT3G12587.1	orthologue	GO:0009507;GO:0003674;GO:0008150;GO:0005789	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 4A
XP_006407319.1	650	AT3G12580.1	AT3G12580.1	orthologue	GO:0042026;GO:0005737;GO:0009617;GO:0016567;GO:0009408;GO:0005829;GO:0010494;GO:0000325;GO:0140662;GO:0006457;GO:0009505;GO:0005515;GO:0009266;GO:0005886;GO:0044183;GO:0009615;GO:0005794;GO:0005524;GO:0009507;GO:0051085;GO:0031072;GO:0016887;GO:0005739;GO:0031625;GO:0005634	Heat shock 70 kDa protein 4 (Heat shock cognate 70 kDa protein 4) (Heat shock cognate protein 70-4) (AtHsc70-4) (Heat shock protein 70-4) (AtHsp70-4)
XP_006407320.1	489	AT3G12570.1	AT3G12570.1	orthologue	GO:0009941;GO:0003674	FYD
XP_006407321.1	637	AT3G12560.1	AT3G12560.1	orthologue	GO:0005634;GO:0042162;GO:0008301	Telomere repeat-binding protein 3 (Protein TRF-LIKE 9) (Telomeric DNA-binding protein 2) (AtTBP2)
XP_006407322.1	637	AT3G12550.1	AT3G12550.1	orthologue	GO:0080188;GO:0003674;GO:0005634;GO:0031047	Factor of DNA methylation 3;XH/XS domain-containing protein
XP_006407324.2	570	AT3G12540.1	AT3G12540.1	orthologue	GO:0008150;GO:0005634;GO:0003674	DUF547 domain-containing protein;Uncharacterized protein
XP_006407325.1	210	AT3G12530.1	AT3G12530.1	orthologue	GO:0003674;GO:0005634;GO:0000727;GO:0000811;GO:0000228;GO:0006260	DNA replication complex GINS protein PSF2;PSF2
XP_006407326.1	160	AT3G12510.1	AT3G12510.1	orthologue	GO:0003674;GO:0005634	At3g12510 (MADS-box family protein)
XP_006407327.1	685	AT3G12520.1	AT3G12520.1	orthologue	GO:0008150;GO:0005886;GO:0008271;GO:0009507;GO:0015116;GO:0015293;GO:0016020;GO:1902358;GO:0055085	Probable sulfate transporter 4.2;Sulfate transporter 42
XP_006407328.1	322	AT3G12500.1	AT3G12500.1	orthologue	GO:0050832;GO:0004568;GO:0009871;GO:0016998;GO:0000325;GO:0005773;GO:0099503;GO:0005622;GO:0005576;GO:0000272;GO:0006032;GO:0008061;GO:0008843;GO:0009626;GO:0031640;GO:0005975	Basic endochitinase B (EC 3.2.1.14) (Pathogenesis-related protein 3) (AtChiB) (PR-3)
XP_006407330.1	294	AT3G12480.1	AT3G12480.1	orthologue	GO:0000976;GO:0005515;GO:0003700;GO:0005634;GO:0001046;GO:0016251;GO:0046982	At3g12480/MQC3.32 (Nuclear factor Y, subunit C11)
XP_006407331.1	234	AT3G12490.2	AT3G12490.2	orthologue	GO:0004869;GO:0005515;GO:0005576;GO:0009409;GO:0005783;GO:0050897;GO:0009414;GO:0005829;GO:0006972;GO:0006979;GO:0006952	Cysteine proteinase inhibitor;Cysteine proteinase inhibitor 6 (AtCYS-6) (PIP-M) (PRLI-interacting factor M)
XP_006407332.1	218	AT3G12440.1, AT3G12430.1, AT3G12460.1	AT3G12460.1	orthologue	GO:0003676;GO:0006139;GO:0008408;GO:0005634;GO:0005737;GO:0005576;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_006407333.2	226	AT3G12470.1	AT3G12470.1	orthologue	GO:0005634;GO:0003676;GO:0008408;GO:0005737;GO:0016740;GO:0006139	At3g12470 (Polynucleotidyl transferase, ribonuclease H-like superfamily protein)
XP_006407335.1	397	AT3G12400.2	AT3G12400.2	orthologue	GO:0043130;GO:0010091;GO:0005515;GO:0005634;GO:0036211;GO:0005770;GO:0032991;GO:0000813;GO:0005769;GO:0008333;GO:0051301;GO:0015031;GO:0005768	Protein ELC (AtELC) (ESCRT-I complex subunit VPS23 homolog 1) (Protein VACUOLAR PROTEIN SORTING 23A) (Vacuolar protein-sorting-associated protein 23 homolog 1);Ubiquitin-conjugating enzyme/RWD-like protein
XP_006407336.1	203	AT3G12390.1	AT3G12390.1	orthologue	GO:0005634;GO:0005829;GO:0006612;GO:0022626;GO:0005737;GO:0009506;GO:0051082;GO:0005854;GO:0015031	Nascent polypeptide-associated complex subunit alpha-like protein 1 (NAC-alpha-like protein 1) (Alpha-NAC-like protein 1)
XP_006407337.1	724	AT3G12380.2	AT3G12380.2	orthologue	GO:0005654;GO:0005634;GO:0080036;GO:0005200;GO:0010082;GO:0031011;GO:0006281;GO:0006355;GO:0005515;GO:0005737;GO:0030029;GO:0007275	Actin-related protein 5
XP_006407338.1	169	AT3G12370.1	AT3G12370.1	orthologue	GO:0009507;GO:0006412;GO:0003735;GO:0015934;GO:0019843	Large ribosomal subunit protein uL10c (50S ribosomal protein L10, chloroplastic) (CL10)
XP_006407339.1	589	AT3G12360.1	AT3G12360.1	orthologue	GO:0005886;GO:0005737;GO:0009651;GO:0005515;GO:0005634	Ankyrin repeat family protein;Ankyrin repeat-containing protein ITN1 (Protein INCREASED TOLERANCE TO NACL)
XP_006407340.1	181	AT3G12345.1	AT3G12345.1	orthologue	GO:0009535;GO:0009507;GO:0003674;GO:0016853	FKBP-type peptidyl-prolyl cis-trans isomerase (Stress-enhanced protein 4)
XP_006407342.1	273	AT3G12320.1	AT3G12320.1	orthologue	GO:0006355;GO:0005515;GO:0007623;GO:0005634	Protein LNK3;Protein LNK3 (Night light-inducible and clock-regulated 3)
XP_006407345.1	191	AT3G12300.1	AT3G12300.1	orthologue	GO:0009507;GO:0003674	AT3g12300/F28J15_117 (Cilia/flagella-associated protein)
XP_006407346.1	299	AT3G12290.1	AT3G12290.1	orthologue	GO:0035999;GO:0009507;GO:0046653;GO:0004477;GO:0005737;GO:0004488;GO:0005829;GO:0009853;GO:0003824	Bifunctional protein FolD 2 (Tetrahydrofolate dehydrogenase/cyclohydrolase 2) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
XP_006407349.2	606	AT3G12270.1	AT3G12270.1	orthologue	GO:0000976;GO:0016274;GO:0006355;GO:0006338;GO:0042054;GO:0005737;GO:0005829;GO:0008270;GO:0032259;GO:0035241;GO:0035242;GO:0018216;GO:0005634;GO:0019919;GO:0034969	Probable protein arginine N-methyltransferase 3 (EC 2.1.1.319)
XP_006407350.1	133	AT3G12260.1	AT3G12260.1	orthologue	GO:0005829;GO:0003674;GO:0045271;GO:0005739;GO:0006979;GO:0005743;GO:0005747	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6
XP_006407353.1	210	AT3G12210.2	AT3G12210.2	orthologue	GO:0005634;GO:0003674	DNA binding protein
XP_006407354.1	435	AT3G12230.1, AT3G12240.1	AT3G12240.1	orthologue	GO:0004185;GO:0019748;GO:0005576;GO:0016747;GO:0009507;GO:0006508	Serine carboxypeptidase-like 14 (EC 3.4.16.-);Serine carboxypeptidase-like 15 (EC 3.4.16.-)
XP_006407356.1	557	AT3G12200.2	AT3G12200.2	orthologue	GO:0005737;GO:0004674;GO:0005524;GO:0005886;GO:0004672;GO:0016310;GO:0005634;GO:0106310;GO:0006468;GO:0007017;GO:0055028	NIMA-related kinase 7;Serine/threonine-protein kinase Nek7 (EC 2.7.11.34) (NimA-related protein kinase 7) (AtNek7)
XP_006407357.1	146	AT3G12180.1	AT3G12180.1	orthologue	GO:0016192;GO:0005575;GO:0005515;GO:0005102;GO:0016020	Protein cornichon homolog 1
XP_006407358.1	262	AT3G12170.2	AT3G12170.2	orthologue	GO:0005737;GO:0003674	At3g12170 (Chaperone DnaJ-domain superfamily protein) (DnaJ protein, putative; 5702-7336) (DnaJ protein-like);Chaperone DnaJ-domain superfamily protein
XP_006407359.1	222	AT3G12160.1	AT3G12160.1	orthologue	GO:0080092;GO:0070382;GO:0003924;GO:0048868;GO:0009860;GO:0005525;GO:0005768;GO:0005794;GO:0045177;GO:0019900;GO:0005829;GO:0090404;GO:0015031;GO:0030659	Ras-related protein RABA4d (AtRABA4d)
XP_006407360.1	361	AT3G12150.1	AT3G12150.1	orthologue	GO:0003674;GO:0005576;GO:0016787	Alpha/beta hydrolase family protein (At3g12156)
XP_006407361.1	325	AT3G12145.1	AT3G12145.1	orthologue	GO:0048574;GO:0005576;GO:0010228;GO:0005515;GO:0008134;GO:0048510;GO:0005634;GO:0005737;GO:0005886;GO:0048471	Leucine-rich repeat protein FLOR 1 (Protein FLORAL TRANSITION AT THE MERISTEM 4)
XP_006407362.1	327	AT3G12140.3	AT3G12140.3	orthologue	GO:0050832;GO:0005634;GO:0010228;GO:0003682;GO:0005515	Protein EMSY-LIKE 1 (AtEML1)
XP_006407365.1	244	AT3G12130.1	AT3G12130.1	orthologue	GO:0006355;GO:2000028;GO:0005737;GO:1900057;GO:0003700;GO:0005634;GO:0003729;GO:0003723;GO:0003677;GO:0008270;GO:0046872;GO:0003676	KH domain-containing protein / zinc finger (CCCH type) family protein;Zinc finger CCCH domain-containing protein 36 (AtC3H36)
XP_006407366.1	383	AT3G12120.1	AT3G12120.1	orthologue	GO:0016720;GO:0045485;GO:0005783;GO:0050184;GO:0102985;GO:0005634;GO:0006636;GO:0005789;GO:0006629;GO:0016491;GO:0016717	Delta(12)-fatty-acid desaturase (Fatty acid desaturase 2) (EC 1.14.19.22) (EC 1.14.19.6) (Omega-6 fatty acid desaturase, endoplasmic reticulum)
