Camelina_sativa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_010476044.1	631	AT4G21380.1	AT4G21380.1	other	GO:0004674;GO:0004675;GO:0005886;GO:0031625;GO:0007165;GO:0005773;GO:0009506;GO:0048544;GO:0009507;GO:0006955;GO:0005524;GO:0030246;GO:0106310;GO:0004672;GO:0006468	Receptor kinase 3;Receptor-like serine/threonine-protein kinase SD1-8 (EC 2.7.11.1) (Arabidopsis thaliana receptor kinase 3) (S-domain-1 (SD1) receptor kinase 8) (SD1-8)
XP_010476045.1	821	AT1G11300.1	AT1G11300.1	orthologue	GO:0005886;GO:0006955;GO:0004674;GO:0005576;GO:0048544;GO:0007165;GO:0005516;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0004672;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_010476046.1	815	AT1G11290.1	AT1G11290.1	orthologue	GO:0004519;GO:0016556;GO:0009507;GO:0003729;GO:0008270;GO:0006397;GO:0005515;GO:0003723;GO:0009451	Pentatricopeptide repeat-containing protein At1g11290, chloroplastic (Protein CHLORORESPIRATORY REDUCTION 22)
XP_010476047.1	797	AT1G11280.1	AT1G11280.1	orthologue	GO:0004674;GO:0002221;GO:0005524;GO:0004672;GO:0045087;GO:0005886;GO:0005576;GO:0005516;GO:0048544;GO:0030246;GO:0031625;GO:0106310;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11280 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_010476050.1	521	AT1G11260.1	AT1G11260.1	other	GO:0005886;GO:0005576;GO:0000325;GO:0015145;GO:0005737;GO:0015749;GO:0009506;GO:0015144;GO:0015293;GO:0016020;GO:0022857;GO:0055085	Sugar transport protein 1 (Glucose transporter) (Hexose transporter 1)
XP_010476053.1	843	AT1G11330.2	AT1G11330.2	orthologue	GO:0004674;GO:0006468;GO:0007165;GO:0004672;GO:0005886;GO:0005516;GO:0005576;GO:0006955;GO:0048544;GO:0002229;GO:0005524;GO:0030246;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11330 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_010476054.1	833	AT1G11340.1	AT1G11340.1	orthologue	GO:0004674;GO:0006955;GO:0005576;GO:0007165;GO:0005886;GO:0048544;GO:0005516;GO:0002229;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0004672;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase RKS1 (EC 2.7.11.1) (Receptor-like protein kinase 1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
XP_010476057.1	242	AT1G11360.1	AT1G11360.1	orthologue	GO:0005576;GO:0005634;GO:0003674;GO:0002238;GO:0005524;GO:0009507;GO:0016787	AT1G11360 protein (Adenine nucleotide alpha hydrolases-like superfamily protein)
XP_010476058.1	250	AT1G11380.1	AT1G11380.1	orthologue	GO:0003674;GO:0005737;GO:0016020	At1g11380 (PLAC8 family protein)
XP_010476059.1	626	AT1G11390.1	AT1G11390.1	orthologue	GO:0016301;GO:0005739;GO:1902074;GO:0016020	Protein kinase superfamily protein
XP_010476060.1	227	AT1G11400.1	AT1G11400.1	orthologue	GO:1903259;GO:0005634;GO:0005515;GO:0005654;GO:0005737;GO:0010628;GO:0003723;GO:0035145;GO:0005730;GO:0000184;GO:0006417;GO:0051028	Partner of Y14 and mago (AtPYM)
XP_010476063.1	234	AT1G11430.1	AT1G11430.1	orthologue	GO:0042803;GO:0046983;GO:1900865;GO:0009570;GO:0005515;GO:0009941;GO:0016554;GO:0009507;GO:0003729;GO:0006397	Multiple organellar RNA editing factor 9, chloroplastic (RNA editing-interacting protein 9)
XP_010476064.1	391	AT1G11440.1	AT1G11440.1	orthologue	GO:0005634;GO:0070300;GO:0046777;GO:0004674;GO:0006468	At1g11440 (Putative serine/threonine protein kinase) (T23J18.11)
XP_010476065.1	357	AT1G11460.1, AT1G11450.3	AT1G11450.3	orthologue	GO:0022857;GO:0005739;GO:0009507;GO:0005886;GO:0016020	WAT1-related protein;WAT1-related protein At1g11450;WAT1-related protein At1g11460
XP_010476066.1	561	AT3G02350.1	AT3G02350.1	orthologue	GO:0047262;GO:0005768;GO:0045489;GO:0000138;GO:0005794;GO:0005802;GO:0016757;GO:0000139	Probable galacturonosyltransferase 9 (EC 2.4.1.-)
XP_010476070.1	71	AT1G11475.1	AT1G11475.1	orthologue	GO:0008270;GO:0006360;GO:0005665;GO:0001056;GO:0000418;GO:0005736;GO:0001055;GO:0006351;GO:0005634;GO:0003677;GO:0006366;GO:0005666;GO:0042797;GO:0003899;GO:0001054;GO:0000419	DNA-directed RNA polymerases II, IV and V subunit 10 (DNA-directed RNA Polymerase II subunit L)
XP_010476071.1	577	AT1G11480.1	AT1G11480.1	orthologue	GO:0003729;GO:0003743;GO:0005634	At1g11480/T23J18_15 (Eukaryotic translation initiation factor-like protein);Eukaryotic translation initiation factor-like protein
XP_010476074.1	362	AT1G11490.1	AT1G11490.1	orthologue	GO:0006355;GO:0003700;GO:0005575	Zinc finger (C2H2 type) family protein
XP_010476077.1	191	AT1G11500.3	AT1G11500.3	orthologue	GO:0048366;GO:0009507;GO:0005783;GO:0009855;GO:0003674;GO:0005789;GO:0012505;GO:0016020	Protein DESIGUAL 3;Transmembrane protein, putative (DUF1218)
XP_010476078.1	381	AT2G20805.1, AT2G20613.1, AT1G11510.1	AT1G11510.1	other	GO:0003674;GO:0006355;GO:0005634;GO:0005515;GO:0003677	DNA-binding storekeeper protein transcriptional regulator-like protein;DNA-binding storekeeper protein-related transcriptional regulator;Probable transcription factor At1g11510 (Storekeeper-like protein At1g11510);Probable transcription factor At2g20613 (Storekeeper-like protein At2g20613)
XP_010476079.1	277	AT5G55690.1	AT5G55690.1	orthologue	GO:0000978;GO:0000987;GO:0006355;GO:0000981;GO:0005634;GO:0006357;GO:0045944;GO:0003700;GO:0046983;GO:0003677	At5g55690 (MADS-box protein AGL47) (MADS-box transcription factor family protein)
XP_010476080.1	118	AT1G11530.1	AT1G11530.1	orthologue	GO:0005576;GO:0005829;GO:0005737;GO:0003756	Thioredoxin-like protein CXXS1 (AtCXXS1) (Mono-cysteine thioredoxin 1)
XP_010476082.1	452	AT1G11540.2	AT1G11540.2	orthologue	GO:0016567;GO:0003674;GO:0031464;GO:0005576;GO:0016020	Sulfite exporter TauE/SafE family protein 1
XP_010476083.1	305	AT1G11545.1	AT1G11545.1	orthologue	GO:0010411;GO:0042546;GO:0030247;GO:0004553;GO:0005576;GO:0016762;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Probable xyloglucan endotransglucosylase/hydrolase protein 8 (At-XTH8) (XTH-8) (EC 2.4.1.207)
XP_010476084.1	347	AT1G11560.1	AT1G11560.1	orthologue	GO:0018279;GO:0034219;GO:0008250;GO:0009507;GO:0015772;GO:0003674;GO:0005789	Probable dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3A
XP_010476086.1	89	AT1G11572.1	AT1G11572.1	orthologue	GO:0005575;GO:0003674	Plant thionin family protein
XP_010476087.1	550	AT1G11580.2	AT1G11580.2	orthologue	GO:0005576;GO:0046910;GO:0000325;GO:0045490;GO:0016020;GO:0009505;GO:0030599;GO:0042545;GO:0009617;GO:0030598;GO:0004857;GO:0017148;GO:0031640;GO:0050832;GO:0090729	Pectinesterase (EC 3.1.1.11);Pectinesterase/pectinesterase inhibitor 18 (AtPMEpcrA) [Cleaved into: Pectinesterase inhibitor 18 (Pectin methylesterase inhibitor 18); Bifunctional pectinesterase 18/rRNA N-glycosylase (PE 18) (EC 3.1.1.11) (EC 3.2.2.22) (Pectin methylesterase 18) (Pectin methylesterase 4) (AtPME4) (Ribosome-inactivating protein)]
XP_010476088.1	465	AT5G28237.1	AT5G28237.1	orthologue	GO:0000162;GO:0004834;GO:0009507;GO:0005737;GO:0006568	Tryptophan synthase (EC 4.2.1.20)
XP_010476089.1	392	AT4G03950.1	AT4G03950.1	orthologue	GO:0009507;GO:0005794;GO:0015297;GO:0015120;GO:0055085;GO:0071917;GO:0015152;GO:0016020;GO:0022857	Putative glucose-6-phosphate/phosphate-translocator-like protein 1
XP_010476090.1	842	AT4G11900.1	AT4G11900.1	other	GO:0004674;GO:0005516;GO:0007165;GO:0006955;GO:0005886;GO:0004672;GO:0005524;GO:0005576;GO:0048544;GO:0005634;GO:0016020;GO:0030246;GO:0106310;GO:0045087;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase At4g11900 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1);S-locus lectin protein kinase family protein
XP_010476093.1	511	AT1G11600.1	AT1G11600.1	orthologue	GO:0016709;GO:0006633;GO:0005886;GO:0020037;GO:0071614;GO:0005506;GO:0016020;GO:0004497;GO:0016705	Cytochrome P450 like protein (Cytochrome P450, family 77, subfamily B, polypeptide 1) (F25C20.25 protein) (Putative cytochrome P450)
XP_010476094.1	358	AT1G11620.1	AT1G11620.1	orthologue	GO:0003674;GO:0008150;GO:0005575;;GO:0005515	Putative F-box/LRR-repeat/kelch-repeat protein At1g11620
XP_010476095.1	404	AT1G11630.1	AT1G11630.1	orthologue	GO:0005739;GO:0003674;GO:0005515	Pentatricopeptide repeat-containing protein At1g11630, mitochondrial
XP_010476096.1	407	AT1G11650.2	AT1G11650.2	orthologue	GO:0003729;GO:0005829;GO:0005634;GO:0010494;GO:0010193;GO:0003723;GO:0005576;GO:0008143;GO:0006397;GO:0003676	Polyadenylate-binding protein RBP45B (Poly(A)-binding protein RBP45B) (RNA-binding protein 45B) (AtRBP45B)
XP_010476098.1	114	AT1G11655.1	AT1G11655.1	orthologue	GO:0008150;GO:0003674;GO:0005739	At1g11655
XP_010476099.1	764	AT1G11660.1	AT1G11660.1	orthologue	GO:0005829;GO:0005634;GO:0006457;GO:1904276;GO:0000774;GO:0009408;GO:0140662;GO:0005524;GO:0016887	Heat shock 70 kDa protein 16 (Heat shock protein 70-16) (AtHsp70-16);Heat shock protein 70 (Hsp 70) family protein
XP_010476100.1	503	AT1G11670.1	AT1G11670.1	orthologue	GO:1990961;GO:0022857;GO:0005886;GO:0016020;GO:0042910;GO:0015297;GO:0055085	Protein DETOXIFICATION 36 (AtDTX36) (Multidrug and toxic compound extrusion protein 36) (MATE protein 36)
XP_010476102.1	488	AT1G11680.1	AT1G11680.1	orthologue	GO:0016126;GO:0009793;GO:0005783;GO:0020037;GO:0005794;GO:0008398;GO:0005576;GO:0005506;GO:0016491;GO:0008168;GO:0016020;GO:0032259;GO:0004497;GO:0016705	Sterol 14-demethylase (EC 1.14.14.154) (Cytochrome P450 51A2) (Cytochrome P450 51G1) (AtCYP51) (Obtusifoliol 14-demethylase) (Protein EMBRYO DEFECTIVE 1738)
XP_010476103.1	230	AT1G11690.1	AT1G11690.1	orthologue	GO:0005634;GO:0003674;GO:0008150	BRANCHLESS TRICHOME-like protein (F25C20.16)
XP_010476104.1	202	AT1G11700.1	AT1G11700.1	orthologue	GO:0003674;GO:0010150;GO:0009751;GO:0005737;GO:0009737;GO:0009646	Protein S40-5 (AtS40-5)
XP_010476105.1	1093	AT1G11720.2	AT1G11720.2	orthologue	GO:2001070;GO:0009011;GO:0004373;GO:0019252;GO:0016757;GO:0009507;GO:0042802;GO:0010021;GO:0033840;GO:0009501	Starch synthase 3, chloroplastic/amyloplastic (AtSS3) (EC 2.4.1.21) (Soluble starch synthase III);starch synthase (EC 2.4.1.21) (Soluble starch synthase III)
XP_010476106.1	385	AT1G11730.1	AT1G11730.1	orthologue	GO:0016757;GO:0008378;GO:0006486;GO:0016758;GO:0000139;GO:0005794;GO:0009101;GO:0016020	Probable beta-1,3-galactosyltransferase 1 (EC 2.4.1.-)
XP_010476108.1	255	AT1G11755.1	AT1G11755.1	orthologue	GO:0045547;GO:0018279;GO:0030968;GO:0019408;GO:0009414;GO:1904423;GO:0009645;GO:0005789;GO:0016765;GO:0006486;GO:0043048	ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyldiphosphate specific] (EC 2.5.1.87)
XP_010476111.1	271	AT1G11750.2	AT1G11750.2	orthologue	GO:0009570;GO:0009941;GO:0004176;GO:0009534;GO:0009532;GO:0006515;GO:0051117;GO:0004252;GO:0009840;GO:0009658;GO:0009507;GO:0009368;GO:0015979;GO:0006508	ATP-dependent Clp protease proteolytic subunit;ATP-dependent Clp protease proteolytic subunit 6, chloroplastic (EC 3.4.21.92) (Endopeptidase ClpP6) (nClpP6) (nClpP1)
XP_010476112.1	150	AT1G11760.1	AT1G11760.1	orthologue	GO:0042542;GO:0045944;GO:0009631;GO:0009738;GO:0016592;GO:0003712;GO:0010150;GO:0048364;GO:0005789;GO:0009414;GO:0009645;GO:0018279;GO:0019408;GO:0030968;GO:0045547;GO:1904423;GO:0006355	Mediator of RNA polymerase II transcription subunit 32 (Mediator of RNA polymerase II transcription subunit 2);ditrans,polycis-polyprenyl diphosphate synthase [(2E,6E)-farnesyldiphosphate specific] (EC 2.5.1.87)
XP_010476114.1	140	AT1G11765.1	AT1G11765.1	orthologue	GO:0008150;GO:0005576;GO:0003674;GO:0060320	S-protein homolog
XP_010476115.1	536	AT1G11770.1	AT1G11770.1	orthologue	GO:0009507;GO:0071949;GO:0016899;GO:0009505;GO:0005576;GO:0016491;GO:0050660	Berberine bridge enzyme-like 2 (AtBBE-like 2) (EC 1.1.1.-)
XP_010476116.1	345	AT1G11780.1	AT1G11780.1	orthologue	GO:0035513;GO:0005737;GO:0008198;GO:0035515;GO:0009845;GO:0035514;GO:0005634;GO:0035516;GO:0006281;GO:0010029;GO:0046872;GO:0141131;GO:0035552	DNA N(6)-methyladenine demethylase ALKBH1A (DNA 6 mA demethylase ALKBH1A) (EC 1.14.11.51) (Alkylated DNA repair protein alkB homolog 1A) (AtALKBH1A) (Protein alkB homolog 1A) (Alpha-ketoglutarate-dependent dioxygenase ALKBH1A)
XP_010476117.1	398	AT1G11790.1	AT1G11790.1	orthologue	GO:0009094;GO:0009507;GO:0004664;GO:0047769;GO:0005737;GO:0009570	Arogenate dehydratase/prephenate dehydratase 1, chloroplastic (AtADT1) (AtPDT1) (EC 4.2.1.51) (EC 4.2.1.91)
XP_010476118.1	446	AT1G11800.1	AT1G11800.1	orthologue	GO:0070260;GO:0006302;GO:0003697;GO:0005634;GO:0005737;GO:0016605;GO:0004519;GO:0008270;GO:0003824	At1g11800/F25C20_3 (Endonuclease/exonuclease/phosphatase family protein) (F25C20.3 protein)
XP_010476119.1	518	AT1G11820.2	AT1G11820.2	orthologue	GO:0005576;GO:0005886;GO:0005975;GO:0042973;GO:0009506;GO:0006952;GO:0098552;GO:0004553	Glucan endo-1,3-beta-glucosidase 1 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 1) ((1->3)-beta-glucanase 1) (Beta-1,3-endoglucanase 1) (Beta-1,3-glucanase 1);glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
XP_010476121.1	322	AT1G11840.6	AT1G11840.6	orthologue	GO:0009941;GO:0000325;GO:0005777;GO:0019243;GO:0005739;GO:0005829;GO:0005737;GO:0099503;GO:0004462;GO:0009507;GO:0005576;GO:0046872;GO:0051213	Lactoylglutathione lyase GLX1 (EC 4.4.1.5) (Glyoxalase I) (AtGLX1) (GlyI)
XP_010476123.1	110	AT1G11850.2	AT1G11850.2	orthologue	GO:0005575;GO:0003674	F12F1.31 protein (Transmembrane protein);Transmembrane protein
XP_010476124.1	408	AT1G11860.3	AT1G11860.3	orthologue	GO:0009941;GO:0005739;GO:0022626;GO:0004047;GO:0009534;GO:0006546;GO:0009570;GO:0009507;GO:0005576;GO:0048046;GO:0003729;GO:0005960;GO:0008483;GO:0005515	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein);Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)
XP_010476128.1	515	AT1G11870.2	AT1G11870.2	orthologue	GO:0005829;GO:0009507;GO:0005737;GO:0009658;GO:0006434;GO:0070158;GO:0048481;GO:0000049;GO:0007005;GO:0004828;GO:0005739;GO:0043039;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Serine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.11) (AtSRS) (Protein OVULE ABORTION 7) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase);serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase)
XP_010476130.1	493	AT1G11880.1	AT1G11880.1	orthologue	GO:0006506;GO:0005789;GO:0031501;GO:0000009;GO:0004376;GO:0000030	GPI mannosyltransferase 2 (EC 2.4.1.-)
XP_010476131.1	218	AT1G11890.1	AT1G11890.1	orthologue	GO:0005484;GO:0000139;GO:0006890;GO:0005886;GO:0007029;GO:0005515;GO:0031201;GO:0048229;GO:0048280;GO:0012507;GO:0005789;GO:0005794;GO:0006888;GO:0009555;GO:0009553;GO:0005783;GO:0005793;GO:0007030;GO:0005576;GO:0015031	25.3 kDa vesicle transport protein SEC22-1 (AtSEC22)
XP_010476133.1	397	AT1G11900.1	AT1G11900.1	orthologue	GO:0006397;GO:0005737;GO:0003729;GO:0005739;;GO:0005515	Pentatricopeptide repeat-containing protein At1g11900
XP_010476134.1	221	AT1G11905.1	AT1G11905.1	orthologue	GO:0070973;GO:0003674;GO:0006888;GO:0005789;GO:0005783;GO:0006886;GO:0016020	Endoplasmic reticulum transmembrane protein
XP_010476135.1	506	AT1G11910.2	AT1G11910.2	orthologue	GO:0005576;GO:0004175;GO:0004190;GO:0005773;GO:0009506;GO:0006508;GO:0099503;GO:0000325;GO:0006629	Aspartic proteinase A1;Aspartic proteinase A1 (EC 3.4.23.-)
XP_010476136.1	291	AT1G53080.1	AT1G53080.1	other	GO:0003674;GO:0005576;GO:0005634;GO:0030246;GO:0048046	Lectin-like protein At1g53080
XP_010476137.1	330	AT1G11915.1	AT1G11915.1	orthologue	GO:0030247;GO:0005576;GO:0016020;GO:0016301	F12F1.23 protein (Wall-associated receptor kinase galacturonan-binding protein)
XP_010476138.1	385	AT1G11920.1	AT1G11920.1	orthologue	GO:0045490;GO:0005576;GO:0030570;GO:0016829;GO:0046872	Putative pectate lyase 2 (EC 4.2.2.2)
XP_010476140.1	189	AT1G11925.1	AT1G11925.1	orthologue	GO:0005576;GO:0003674;GO:0016020	F12F1.21 protein (Stigma-specific Stig1 family protein)
XP_010476141.1	262	AT1G11930.1	AT1G11930.1	orthologue	GO:0018352;GO:0005634;GO:0030170;GO:0005622;GO:0005829;GO:0005737	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)
XP_010476143.1	386	AT1G11940.1	AT1G11940.1	orthologue	GO:0005794;GO:0005739;GO:0016757;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)
XP_010476145.1	868	AT1G11950.1	AT1G11950.1	orthologue	GO:0048188;GO:0032454;GO:0005634;GO:0031490;GO:0000118;GO:0006357;GO:0003712;GO:0000785;GO:0008270;GO:0016491	Lysine-specific demethylase JMJ26 (EC 1.14.11.-) (Jumonji domain-containing protein 26) (AtJMJ26) (Protein JUMONJI 26) (Lysine-specific histone demethylase JMJ26) ([histone H3]-trimethyl-L-lysine monodemethylase JMJ26);Transcription factor jumonji (JmjC) domain-containing protein
XP_010476146.1	772	AT1G11960.1	AT1G11960.1	orthologue	GO:0140426;GO:0005227;GO:0005886;GO:0005515;GO:0005576;GO:0010118;GO:0005262;GO:0016020	ERD (Early-responsive to dehydration stress) family protein;Hyperosmolality-gated Ca2+ permeable channel 1.3 (AtOSCA1.3)
XP_010476147.1	626	AT1G11990.2	AT1G11990.2	orthologue	GO:0005634;GO:0008150;GO:0016757;GO:0006004;GO:0016020	O-fucosyltransferase 2 (O-FucT-2) (EC 2.4.1.-) (O-fucosyltransferase family protein);O-fucosyltransferase family protein
XP_010476153.1	567	AT1G12000.1	AT1G12000.1	orthologue	GO:0047334;GO:0005524;GO:0006002;GO:0009505;GO:0015979;GO:0009749;GO:0010318;GO:0005737;GO:0005829;GO:0003872;GO:0046872;GO:0006096;GO:0008443	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 (PFP 1) (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent 1) (PPi-PFK 1) (Pyrophosphate-dependent 6-phosphofructose-1-kinase 1)
XP_010476154.1	120	AT1G12180.1	AT1G12180.1	orthologue	GO:0003674;GO:0008150;GO:0005575	14.7 kDa heat shock-like protein
XP_010476156.1	229	AT1G12020.1	AT1G12020.1	orthologue	GO:0005575;GO:0003674	F12F1.11
XP_010476157.1	292	AT1G12030.1	AT1G12030.1	orthologue	GO:0005575;GO:0003674	At1g12030 (F12F1.10 protein) (Phosphoenolpyruvate carboxylase, putative (DUF506))
XP_010476160.1	110	AT1G12064.1	AT1G12064.1	orthologue	GO:0003674;GO:0005576	Transmembrane protein
XP_010476161.1	220	AT1G12060.1	AT1G12060.1	orthologue	GO:0006457;GO:0051087;GO:0005634;GO:0005516;GO:0005739;GO:0009506	BAG family molecular chaperone regulator 5, mitochondrial (Bcl-2-associated athanogene 5)
XP_010476162.1	421	AT1G12050.1	AT1G12050.1	orthologue	GO:0006572;GO:0005576;GO:1902000;GO:0006559;GO:0004334;GO:0005829;GO:0008219;GO:0046872;GO:0003824;GO:0009072	Fumarylacetoacetase (EC 3.7.1.2) (Fumarylacetoacetate hydrolase) (AtFAH) (Protein SHORT-DAY SENSITIVE CELL DEATH 1)
XP_010476163.1	225	AT1G12070.1	AT1G12070.1	orthologue	GO:0007266;GO:0005737;GO:0005829;GO:0005094;GO:0016020;GO:0005515	At1g12070 (F12F1.5 protein) (Immunoglobulin E-set superfamily protein) (Rho GDP-dissociation inhibitor 2b)
XP_010476164.1	137	AT1G12080.2	AT1G12080.2	orthologue	GO:1902074;GO:0010555;GO:0043617;GO:0002237;GO:0071370;GO:0051592;GO:0009409;GO:0072708;GO:0010038;GO:0009646;GO:0009749;GO:0005829;GO:0005576;GO:0003674;GO:0009738	Cytosolic calcium-binding protein 2 (Cytosolic Ca(2+)-binding protein 2)
XP_010476165.1	143	AT1G12090.1	AT1G12090.1	orthologue	GO:0003674;GO:0005575	At1g12090/T28K15.14 (Extensin-like protein) (F12F1.3 protein) (Putative pEARLI 1)
XP_010476166.1	143	AT1G12090.1	AT1G12090.1	orthologue	GO:0003674;GO:0005575	At1g12090/T28K15.14 (Extensin-like protein) (F12F1.3 protein) (Putative pEARLI 1)
XP_010476167.1	589	AT1G12110.1	AT1G12110.1	orthologue	GO:0048527;GO:0009414;GO:0015706;GO:0055085;GO:0048573;GO:0006857;GO:0016020;GO:0005515;GO:0010167;GO:0015112;GO:0005886;GO:0010540;GO:0009635;GO:0009734;GO:0015293;GO:0042128;GO:0022857	Protein NRT1/ PTR FAMILY 6.3 (AtNPF6.3) (Nitrate transporter 1.1) (AtNRT1) (Nitrate/chlorate transporter) (Protein CHLORINA 1)
XP_010476168.1	502	AT1G12120.1	AT1G12120.1	orthologue	GO:0005515;GO:0005634	T28K15.14 protein
XP_010476171.2	482	AT1G12130.1	AT1G12130.1	orthologue	GO:0009751;GO:0050661;GO:0009737;GO:0005634;GO:0050660;GO:0009753;GO:0004499;GO:0019761	Flavin-containing monooxygenase FMO GS-OX-like 6 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 6)
XP_010476172.1	546	AT1G12150.1	AT1G12150.1	orthologue	GO:0009904;GO:0009903;GO:0005829;GO:0003674;	WEB family protein At1g12150
XP_010476174.1	474	AT1G12140.1	AT1G12140.1	orthologue	GO:0080107;GO:0005634;GO:0004497;GO:0050660;GO:0019761;GO:0004499;GO:0048444;GO:0046885;GO:0050661;GO:0046620	Flavin-containing monooxygenase FMO GS-OX5 (EC 1.14.13.237) (Flavin-monooxygenase glucosinolate S-oxygenase 5)
XP_010476176.1	468	AT1G12160.1	AT1G12160.1	orthologue	GO:0019761;GO:0050661;GO:0050660;GO:0009753;GO:0004499;GO:0009751;GO:0005575	Flavin-containing monooxygenase FMO GS-OX-like 1 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 1)
XP_010476177.1	399	AT3G09730.2	AT3G09730.2	orthologue	GO:0008356;GO:0005737;GO:0003674	POLAR LOCALIZATION DURING ASYMMETRIC DIVISION AND protein
XP_010476179.1	120	AT1G12180.1	AT1G12180.1	orthologue	GO:0003674;GO:0008150;GO:0005575	14.7 kDa heat shock-like protein
XP_010476180.1	465	AT1G12200.1	AT1G12200.1	orthologue	GO:0050661;GO:0050832;GO:0005634;GO:0050660;GO:0004499;GO:0016020	Flavin-containing monooxygenase (EC 1.-.-.-);Flavin-containing monooxygenase FMO GS-OX-like 2 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 2)
XP_010476182.1	865	AT4G10780.1	AT4G10780.1	orthologue	GO:0098542;GO:0009507;GO:0043531;GO:0005524;GO:0006952	LRR and NB-ARC domains-containing disease resistance protein;Putative disease resistance protein At4g10780
XP_010476184.1	678	AT1G12300.1, AT1G12775.1	AT1G12300.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0090615;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At1g12300, mitochondrial;Pentatricopeptide repeat-containing protein At1g12775, mitochondrial
XP_010476185.1	420	AT1G12230.2	AT1G12230.2	orthologue	GO:0009507;GO:0006098;GO:0009941;GO:0009570;GO:0005737;GO:0005975;GO:0004801;GO:0005576;GO:0008270;GO:0005622	transaldolase (EC 2.2.1.2)
XP_010476187.1	670	AT1G12240.1	AT1G12240.1	orthologue	GO:0004564;GO:0016020;GO:0071370;GO:0005985;GO:0000325;GO:0009617;GO:0005773;GO:0080022;GO:0000139;GO:0005774;GO:0005775;GO:0005789;GO:0009738;GO:0004553;GO:0005975	Acid beta-fructofuranosidase 4, vacuolar (At beta fruct4) (AtBETAFRUCT4) (EC 3.2.1.26) (Acid invertase 4) (AI 4) (Acid sucrose hydrolase 4) (Vacuolar invertase 4) (Inv-V4) (VAC-INV 4) (VI 4)
XP_010476188.1	239	AT1G12244.1	AT1G12244.1	orthologue	GO:0000967;GO:0006364;GO:0003674;GO:0009507;GO:0004518;GO:0005737;GO:0016740;GO:0016787;GO:0006139	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_010476189.1	280	AT1G12250.1	AT1G12250.1	orthologue	GO:0009579;GO:0009534;GO:0009535;GO:0009543;GO:0005576;GO:0003674;GO:0009507	Pentapeptide repeat-containing protein;Thylakoid lumenal protein TL20.3, chloroplastic
XP_010476191.1	395	AT1G12260.1	AT1G12260.1	orthologue	GO:0003700;GO:0006355;GO:0009793;GO:0005634;GO:1901348;GO:0048759;GO:0000976;GO:0043565;GO:0005515;GO:0003677;GO:0071555	NAC 007;NAC domain-containing protein 7 (ANAC007) (Protein EMBRYO DEFECTIVE 2749) (Protein VASCULAR RELATED NAC-DOMAIN 4)
XP_010476194.1	893	AT1G12280.1	AT1G12280.1	orthologue	GO:0098542;GO:0005634;GO:2000377;GO:0006952;GO:0043531;GO:0005515;GO:0005524	Disease resistance protein SUMM2 (Disease resistance protein At1g12280) (Protein SUPPRESSOR OF MKK1 MKK2 2);LRR and NB-ARC domains-containing disease resistance protein
XP_010476198.1	574				GO:0005515;GO:0051879	
