Cardamine_amara	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
evm.model.RL_5.1046	139	AT1G11765.1	AT1G11765.1	orthologue	GO:0008150;GO:0005576;GO:0003674;GO:0060320	S-protein homolog
evm.model.RL_5.1047	536	AT1G11770.1	AT1G11770.1	orthologue	GO:0009507;GO:0071949;GO:0016899;GO:0009505;GO:0005576;GO:0016491;GO:0050660	Berberine bridge enzyme-like 2 (AtBBE-like 2) (EC 1.1.1.-)
evm.model.RL_5.1048	344	AT1G11780.1	AT1G11780.1	orthologue	GO:0035513;GO:0005737;GO:0008198;GO:0035515;GO:0009845;GO:0035514;GO:0005634;GO:0035516;GO:0006281;GO:0010029;GO:0046872;GO:0141131;GO:0035552	DNA N(6)-methyladenine demethylase ALKBH1A (DNA 6 mA demethylase ALKBH1A) (EC 1.14.11.51) (Alkylated DNA repair protein alkB homolog 1A) (AtALKBH1A) (Protein alkB homolog 1A) (Alpha-ketoglutarate-dependent dioxygenase ALKBH1A)
evm.model.RL_5.1049	390	AT1G11790.1	AT1G11790.1	orthologue	GO:0009094;GO:0009507;GO:0004664;GO:0047769;GO:0005737;GO:0009570	Arogenate dehydratase/prephenate dehydratase 1, chloroplastic (AtADT1) (AtPDT1) (EC 4.2.1.51) (EC 4.2.1.91)
evm.model.RL_5.105	646	AT1G24256.1, AT1G06925.1	AT1G24256.1	other	GO:0010468;GO:0003674;GO:0005634;GO:0005777;GO:0004519;GO:0016787;GO:0004540	Endonuclease/glycosyl hydrolase;NYN domain-containing protein
evm.model.RL_5.1050	448	AT1G11800.1	AT1G11800.1	orthologue	GO:0070260;GO:0006302;GO:0003697;GO:0005634;GO:0005737;GO:0016605;GO:0004519;GO:0008270;GO:0003824	At1g11800/F25C20_3 (Endonuclease/exonuclease/phosphatase family protein) (F25C20.3 protein)
evm.model.RL_5.1051	515	AT1G11820.2	AT1G11820.2	orthologue	GO:0005576;GO:0005886;GO:0005975;GO:0042973;GO:0009506;GO:0006952;GO:0098552;GO:0004553	Glucan endo-1,3-beta-glucosidase 1 (EC 3.2.1.39) ((1->3)-beta-glucan endohydrolase 1) ((1->3)-beta-glucanase 1) (Beta-1,3-endoglucanase 1) (Beta-1,3-glucanase 1);glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
evm.model.RL_5.1052	289	AT1G11840.6	AT1G11840.6	orthologue	GO:0009941;GO:0000325;GO:0005777;GO:0019243;GO:0005739;GO:0005829;GO:0005737;GO:0099503;GO:0004462;GO:0009507;GO:0005576;GO:0046872;GO:0051213	Lactoylglutathione lyase GLX1 (EC 4.4.1.5) (Glyoxalase I) (AtGLX1) (GlyI)
evm.model.RL_5.1053	115	AT1G11850.2	AT1G11850.2	orthologue	GO:0005575;GO:0003674	F12F1.31 protein (Transmembrane protein);Transmembrane protein
evm.model.RL_5.1054	408	AT1G11860.3	AT1G11860.3	orthologue	GO:0009941;GO:0005739;GO:0022626;GO:0004047;GO:0009534;GO:0006546;GO:0009570;GO:0009507;GO:0005576;GO:0048046;GO:0003729;GO:0005960;GO:0008483;GO:0005515	Aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein);Aminomethyltransferase, mitochondrial (EC 2.1.2.10) (Glycine cleavage system T protein) (GCVT)
evm.model.RL_5.1055	475	AT4G26910.1	AT4G26910.1	other	GO:0005739;GO:0006099;GO:0004149;GO:0045252;GO:0033512;GO:0005829;GO:0008270;GO:0016746	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex 2, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2-2) (OGDC-E2-2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex 2) (E2K-2)
evm.model.RL_5.1056	514	AT1G11870.2	AT1G11870.2	orthologue	GO:0005829;GO:0009507;GO:0005737;GO:0009658;GO:0006434;GO:0070158;GO:0048481;GO:0000049;GO:0007005;GO:0004828;GO:0005739;GO:0043039;GO:0005524;GO:0000166;GO:0004812;GO:0006418;GO:0005515	Serine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.11) (AtSRS) (Protein OVULE ABORTION 7) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase);serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase)
evm.model.RL_5.1057	499	AT1G11880.1	AT1G11880.1	orthologue	GO:0006506;GO:0005789;GO:0031501;GO:0000009;GO:0004376;GO:0000030	GPI mannosyltransferase 2 (EC 2.4.1.-)
evm.model.RL_5.1058	218	AT1G11890.1	AT1G11890.1	orthologue	GO:0005484;GO:0000139;GO:0006890;GO:0005886;GO:0007029;GO:0005515;GO:0031201;GO:0048229;GO:0048280;GO:0012507;GO:0005789;GO:0005794;GO:0006888;GO:0009555;GO:0009553;GO:0005783;GO:0005793;GO:0007030;GO:0005576;GO:0015031	25.3 kDa vesicle transport protein SEC22-1 (AtSEC22)
evm.model.RL_5.1059	367	AT1G11900.1	AT1G11900.1	orthologue	GO:0006397;GO:0005737;GO:0003729;GO:0005739;;GO:0005515	Pentatricopeptide repeat-containing protein At1g11900
evm.model.RL_5.106	360	AT1G02300.1	AT1G02300.1	orthologue	GO:0004197;GO:0051603;GO:0005615;GO:0050790;GO:0006508;GO:0005576;GO:0005764;GO:0006952;GO:0008234	Cathepsin B-like protease 1 (EC 3.4.22.-) (Cathepsin B1) (AtCathB1)
evm.model.RL_5.1060	221	AT1G11905.1	AT1G11905.1	orthologue	GO:0070973;GO:0003674;GO:0006888;GO:0005789;GO:0005783;GO:0006886;GO:0016020	Endoplasmic reticulum transmembrane protein
evm.model.RL_5.1061	541	AT1G11910.2	AT1G11910.2	orthologue	GO:0005576;GO:0004175;GO:0004190;GO:0005773;GO:0009506;GO:0006508;GO:0099503;GO:0000325;GO:0006629	Aspartic proteinase A1;Aspartic proteinase A1 (EC 3.4.23.-)
evm.model.RL_5.1062	141	AT1G11925.1	AT1G11925.1	orthologue	GO:0005576;GO:0003674;GO:0016020	F12F1.21 protein (Stigma-specific Stig1 family protein)
evm.model.RL_5.1063.3.687c88b1	294	AT1G11930.1	AT1G11930.1	orthologue	GO:0018352;GO:0005634;GO:0030170;GO:0005622;GO:0005829;GO:0005737	Pyridoxal phosphate homeostasis protein (PLP homeostasis protein)
evm.model.RL_5.1064	348	AT1G11940.1	AT1G11940.1	orthologue	GO:0005794;GO:0005739;GO:0016757;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)
evm.model.RL_5.1065.3.687c88b1	844	AT1G11950.1	AT1G11950.1	orthologue	GO:0048188;GO:0032454;GO:0005634;GO:0031490;GO:0000118;GO:0006357;GO:0003712;GO:0000785;GO:0008270;GO:0016491	Lysine-specific demethylase JMJ26 (EC 1.14.11.-) (Jumonji domain-containing protein 26) (AtJMJ26) (Protein JUMONJI 26) (Lysine-specific histone demethylase JMJ26) ([histone H3]-trimethyl-L-lysine monodemethylase JMJ26);Transcription factor jumonji (JmjC) domain-containing protein
evm.model.RL_5.1066	769	AT1G11960.1	AT1G11960.1	orthologue	GO:0140426;GO:0005227;GO:0005886;GO:0005515;GO:0005576;GO:0010118;GO:0005262;GO:0016020	ERD (Early-responsive to dehydration stress) family protein;Hyperosmolality-gated Ca2+ permeable channel 1.3 (AtOSCA1.3)
evm.model.RL_5.1067	612	AT1G11990.2	AT1G11990.2	orthologue	GO:0005634;GO:0008150;GO:0016757;GO:0006004;GO:0016020	O-fucosyltransferase 2 (O-FucT-2) (EC 2.4.1.-) (O-fucosyltransferase family protein);O-fucosyltransferase family protein
evm.model.RL_5.1068	565	AT1G12000.1	AT1G12000.1	orthologue	GO:0047334;GO:0005524;GO:0006002;GO:0009505;GO:0015979;GO:0009749;GO:0010318;GO:0005737;GO:0005829;GO:0003872;GO:0046872;GO:0006096;GO:0008443	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 (PFP 1) (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent 1) (PPi-PFK 1) (Pyrophosphate-dependent 6-phosphofructose-1-kinase 1)
evm.model.RL_5.1069	317	AT1G25380.1	AT1G25380.1	other	GO:0051724;GO:0035352;GO:0043132;GO:0005739;GO:0015297;GO:0031966;GO:0055085;GO:0006862	Nicotinamide adenine dinucleotide transporter 2, mitochondrial (AtNDT2) (NAD(+) transporter 2)
evm.model.RL_5.107	1286	AT1G02530.1, AT1G02520.1	AT1G02520.1	orthologue	GO:0005886;GO:0005634;GO:0005576;GO:0055085;GO:0009506;GO:0140359;GO:0042626;GO:0016020;GO:0016887;GO:0005524;GO:0010328;GO:0010329;GO:0005743;GO:0015421;GO:0090374	ABC transporter B family member 11 (ABC transporter ABCB.11) (AtABCB11) (Multidrug resistance protein 8) (AtMDR8) (P-glycoprotein 11) (Probable auxin exporter ABCB11);ABC transporter B family member 12 (ABC transporter ABCB.12) (AtABCB12) (Multidrug resistance protein 16) (P-glycoprotein 12);p-glycoprotein 12
evm.model.RL_5.1070	320	AT1G12010.1	AT1G12010.1	orthologue	GO:0071398;GO:0016706;GO:0009815;GO:0005829;GO:0010494;GO:0009693;GO:0005737;GO:0006952;GO:0031418;GO:0046872	1-aminocyclopropane-1-carboxylate oxidase 3 (ACC oxidase 3) (AtACO3) (EC 1.14.17.4)
evm.model.RL_5.1071	741	AT1G62390.1	AT1G62390.1	orthologue	GO:0005634;GO:0010494;GO:0003729;GO:0005737;GO:0005515	Protein CLMP1 (CLUMPED CHLOROPLASTS 1) (Protein MADB2) (Protein PHOX2) (Putative myosin adapter B2)
evm.model.RL_5.1072	229	AT1G12020.1	AT1G12020.1	orthologue	GO:0005575;GO:0003674	F12F1.11
evm.model.RL_5.1073	292	AT1G12030.1	AT1G12030.1	orthologue	GO:0005575;GO:0003674	At1g12030 (F12F1.10 protein) (Phosphoenolpyruvate carboxylase, putative (DUF506))
evm.model.RL_5.1074	786	AT1G12040.1	AT1G12040.1	orthologue	GO:0009927;GO:0009826;GO:0010054;GO:0009506;GO:0009505;GO:0000902;GO:0005199;GO:0005576;GO:0071555;GO:0005515	Leucine-rich repeat extensin-like protein 1 (AtLRX1) (LRR/EXTENSIN1) (Cell wall hydroxyproline-rich glycoprotein)
evm.model.RL_5.1075	421	AT1G12050.1	AT1G12050.1	orthologue	GO:0006572;GO:0005576;GO:1902000;GO:0006559;GO:0004334;GO:0005829;GO:0008219;GO:0046872;GO:0009072;GO:0003824	Fumarylacetoacetase (EC 3.7.1.2) (Fumarylacetoacetate hydrolase) (AtFAH) (Protein SHORT-DAY SENSITIVE CELL DEATH 1)
evm.model.RL_5.1076	212	AT1G12060.1	AT1G12060.1	orthologue	GO:0006457;GO:0051087;GO:0005634;GO:0005516;GO:0005739;GO:0009506	BAG family molecular chaperone regulator 5, mitochondrial (Bcl-2-associated athanogene 5)
evm.model.RL_5.1077	109	AT1G12064.1	AT1G12064.1	orthologue	GO:0003674;GO:0005576	Transmembrane protein
evm.model.RL_5.1078	223	AT1G12070.1	AT1G12070.1	orthologue	GO:0007266;GO:0005737;GO:0005829;GO:0005094;GO:0016020;GO:0005515	At1g12070 (F12F1.5 protein) (Immunoglobulin E-set superfamily protein) (Rho GDP-dissociation inhibitor 2b)
evm.model.RL_5.1079	143	AT1G12080.2	AT1G12080.2	orthologue	GO:1902074;GO:0010555;GO:0043617;GO:0002237;GO:0071370;GO:0051592;GO:0009409;GO:0072708;GO:0010038;GO:0009646;GO:0009749;GO:0005829;GO:0005576;GO:0003674;GO:0009738	Cytosolic calcium-binding protein 2 (Cytosolic Ca(2+)-binding protein 2)
evm.model.RL_5.108	232	AT1G02550.1	AT1G02550.1	orthologue	GO:0009507;GO:0043086;GO:0004857	Invertase
evm.model.RL_5.1080	135	AT1G12090.1	AT1G12090.1	orthologue	GO:0003674;GO:0005575	At1g12090/T28K15.14 (Extensin-like protein) (F12F1.3 protein) (Putative pEARLI 1)
evm.model.RL_5.1081	132	AT1G62515.1, AT4G22463.1	AT4G22463.1	orthologue	GO:0003674;GO:0009507;GO:0008150;GO:0005739;GO:0016020	Transmembrane protein
evm.model.RL_5.1082	590	AT1G12110.1	AT1G12110.1	orthologue	GO:0048527;GO:0009414;GO:0015706;GO:0055085;GO:0048573;GO:0006857;GO:0016020;GO:0005515;GO:0010167;GO:0015112;GO:0005886;GO:0010540;GO:0009635;GO:0009734;GO:0015293;GO:0042128;GO:0022857	Protein NRT1/ PTR FAMILY 6.3 (AtNPF6.3) (Nitrate transporter 1.1) (AtNRT1) (Nitrate/chlorate transporter) (Protein CHLORINA 1)
evm.model.RL_5.1083	488	AT1G12120.1	AT1G12120.1	orthologue	GO:0005515;GO:0005634	T28K15.14 protein
evm.model.RL_5.1084	457	AT1G12140.1	AT1G12140.1	orthologue	GO:0080107;GO:0005634;GO:0004497;GO:0050660;GO:0019761;GO:0004499;GO:0048444;GO:0046885;GO:0050661;GO:0046620	Flavin-containing monooxygenase FMO GS-OX5 (EC 1.14.13.237) (Flavin-monooxygenase glucosinolate S-oxygenase 5)
evm.model.RL_5.1085	548	AT1G12150.1	AT1G12150.1	orthologue	GO:0009904;GO:0009903;GO:0005829;GO:0003674;	WEB family protein At1g12150
evm.model.RL_5.1086	464	AT1G12200.1	AT1G12200.1	orthologue	GO:0050661;GO:0050832;GO:0005634;GO:0050660;GO:0004499;GO:0016020	Flavin-containing monooxygenase (EC 1.-.-.-);Flavin-containing monooxygenase FMO GS-OX-like 2 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 2)
evm.model.RL_5.1087	405	AT1G12230.2	AT1G12230.2	orthologue	GO:0009507;GO:0006098;GO:0009941;GO:0009570;GO:0005737;GO:0005975;GO:0004801;GO:0005576;GO:0008270;GO:0005622	transaldolase (EC 2.2.1.2)
evm.model.RL_5.1088	667	AT1G12240.1	AT1G12240.1	orthologue	GO:0004564;GO:0016020;GO:0071370;GO:0005985;GO:0000325;GO:0009617;GO:0005773;GO:0080022;GO:0000139;GO:0005774;GO:0005775;GO:0005789;GO:0009738;GO:0004553;GO:0005975	Acid beta-fructofuranosidase 4, vacuolar (At beta fruct4) (AtBETAFRUCT4) (EC 3.2.1.26) (Acid invertase 4) (AI 4) (Acid sucrose hydrolase 4) (Vacuolar invertase 4) (Inv-V4) (VAC-INV 4) (VI 4)
evm.model.RL_5.1089	231	AT1G12244.1	AT1G12244.1	orthologue	GO:0000967;GO:0006364;GO:0003674;GO:0009507;GO:0004518;GO:0005737;GO:0016740;GO:0016787;GO:0006139	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
evm.model.RL_5.109	298	AT1G02560.1	AT1G02560.1	orthologue	GO:0051117;GO:0009941;GO:0009570;GO:0004176;GO:0018119;GO:0009534;GO:0006515;GO:0009507;GO:0004252;GO:0009532;GO:0009840;GO:0009368;GO:0005576;GO:0009579;GO:0006508	ATP-dependent Clp protease proteolytic subunit 5, chloroplastic (EC 3.4.21.92) (Endopeptidase ClpP5) (nClpP5) (nClpP1)
evm.model.RL_5.1090	439	AT1G02690.2	AT1G02690.2	other	GO:0006607;GO:0005515;GO:0061608;GO:0005634;GO:0010494;GO:0006606;GO:0005737;GO:0008139;GO:0005635	Importin subunit alpha;Importin subunit alpha-6 (IMPa-6)
evm.model.RL_5.1091	732	AT3G54540.1	AT3G54540.1	other	GO:0005524;GO:0005886;GO:0016887;GO:0005829	ABC transporter F family member 4 (ABC transporter ABCF.4) (AtABCF4) (GCN20-type ATP-binding cassette protein GCN4)
evm.model.RL_5.1092	135	AT5G27600.1	AT5G27600.1	orthologue	GO:0005777;GO:0004467;GO:0006631;GO:0005515;GO:0009651;GO:0016020;GO:0005783;GO:0010193;GO:0001676;GO:0009536;GO:0005634;GO:0005524;GO:0102391	Long chain acyl-CoA synthetase 7, peroxisomal (AtLACS7) (EC 6.2.1.3)
evm.model.RL_5.1093	280	AT1G12250.1	AT1G12250.1	orthologue	GO:0009579;GO:0009534;GO:0009535;GO:0009543;GO:0005576;GO:0003674;GO:0009507	Pentapeptide repeat-containing protein;Thylakoid lumenal protein TL20.3, chloroplastic
evm.model.RL_5.1094	392	AT1G12260.1	AT1G12260.1	orthologue	GO:0003700;GO:0006355;GO:0009793;GO:0005634;GO:1901348;GO:0048759;GO:0000976;GO:0043565;GO:0005515;GO:0003677;GO:0071555	NAC 007;NAC domain-containing protein 7 (ANAC007) (Protein EMBRYO DEFECTIVE 2749) (Protein VASCULAR RELATED NAC-DOMAIN 4)
evm.model.RL_5.1095	574	AT1G12270.1	AT1G12270.1	orthologue	GO:0051131;GO:0070678;GO:0051879;GO:0005737;GO:0005576;GO:0005634;GO:0005515	Hsp70-Hsp90 organizing protein 1 (AtHop1) (Stress-induced-phosphoprotein 1) (STI1)
evm.model.RL_5.1096	148	AT1G12310.1	AT1G12310.1	orthologue	GO:0005509;GO:0005886;GO:0005737;GO:0071548;GO:0005634;GO:0005829;GO:0030234;GO:0005576;GO:0016460	Probable calcium-binding protein CML13 (Calmodulin-like protein 13)
evm.model.RL_5.1097	218	AT1G12320.1	AT1G12320.1	orthologue	GO:0005575;GO:0003674	Ankyrin repeat/KH domain protein (DUF1442) (F5O11.5)
evm.model.RL_5.1098	505	AT1G12330.1	AT1G12330.1	orthologue	GO:0009507;GO:0003674;GO:0016301	Cyclin-dependent kinase-like protein (F5O11.6)
evm.model.RL_5.1099	316	AT1G12350.1	AT1G12350.1	orthologue	GO:0015937;GO:0005737;GO:0009507;GO:0004632;GO:0005634	Phosphopantothenate--cysteine ligase 1 (EC 6.3.2.51) (AtCoaB) (Phosphopantothenoylcysteine synthetase 1) (PPC synthetase 1)
evm.model.RL_5.11	480	AT4G00300.1	AT4G00300.1	other	GO:0004714;GO:0005783;GO:0016757;GO:0005576;GO:0004674;GO:0016020;GO:0006468	Receptor-like kinase
evm.model.RL_5.110	257	AT1G02575.1, AT1G02570.1	AT1G02570.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005739;GO:0016020	Transmembrane protein
evm.model.RL_5.1100	665	AT1G12360.1	AT1G12360.1	orthologue	GO:0005515;GO:0006886;GO:0005829;GO:0006904;GO:0016192;GO:0030141;GO:0005886;GO:0000325;GO:0019905;GO:0012505;GO:0000911;GO:0005856;GO:0009524;GO:0015031;GO:0019898	SNARE-interacting protein KEULE
evm.model.RL_5.1101	495	AT1G12370.2	AT1G12370.2	orthologue	GO:0000719;GO:0009650;GO:0009507;GO:0003913;GO:0005737;GO:0003904;GO:0009536;GO:0003677;GO:0005634;GO:0071949;GO:0006281;GO:0016829	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (AtCPDII) (DNA photolyase) (Photoreactivating enzyme 1) (Protein UV RESISTANCE 2);Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase)
evm.model.RL_5.1102	789	AT1G12380.1	AT1G12380.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein
evm.model.RL_5.1103.1.687ccf5d	137	AT1G12340.1, AT1G12390.1	AT1G12390.1	orthologue	GO:0016192;GO:0005102;GO:0005575;GO:0003674;GO:0009507;GO:0005515;GO:0016020	Probable protein cornichon homolog 2;Protein cornichon homolog 4
evm.model.RL_5.1104	279	AT1G12410.1	AT1G12410.1	orthologue	GO:0009941;GO:0006515;GO:0009534;GO:0004176;GO:0005576;GO:0009570;GO:0004252;GO:0009368;GO:0009507;GO:0009840;GO:0051117;GO:0006508;GO:0009658	ATP-dependent Clp protease proteolytic subunit-related protein 2, chloroplastic (ClpR2) (nClpP2)
evm.model.RL_5.1105	441	AT1G12420.1	AT1G12420.1	orthologue	GO:0009737;GO:0016597;GO:0005575	ACT domain-containing protein ACR (Protein ACT DOMAIN REPEATS);ACT domain-containing protein ACR8 (Protein ACT DOMAIN REPEATS 8)
evm.model.RL_5.1106	682	AT1G12430.2	AT1G12430.2	orthologue	GO:0008017;GO:0005737;GO:0007018;GO:0005871;GO:0009574;GO:0005874;GO:0003777;GO:0030705;GO:0008574;GO:0016887;GO:0005524;GO:0005876;GO:0051231;GO:0072686;GO:0090307	Kinesin-like protein;Kinesin-like protein KIN-UA (AtKINUa) (Protein ARMADILLO REPEAT KINESIN3) (Protein ARMADILLO REPEAT-CONTAINING KINESIN 3) (kinesin-like protein PAK)
evm.model.RL_5.1107	163	AT1G12440.1	AT1G12440.1	orthologue	GO:0008270;GO:0005634;GO:0043161;GO:0003677	Zinc finger A20 and AN1 domain-containing stress-associated protein 1 (AtSAP1)
evm.model.RL_5.1108	295	AT1G12450.1	AT1G12450.1	orthologue	GO:0005886;GO:0003674;GO:0016020	At1g12450 (SNARE associated Golgi protein family)
evm.model.RL_5.1109	882	AT1G12460.1	AT1G12460.1	orthologue	GO:0044024;GO:0016301;GO:0004672;GO:0005515;GO:0009507;GO:0006468;GO:0004674;GO:0005524;GO:0016020;GO:0005886;GO:0106310	Leucine-rich repeat protein kinase family protein;Probable LRR receptor-like serine/threonine-protein kinase At1g12460 (EC 2.7.11.1)
evm.model.RL_5.111	689	AT1G02580.1	AT1G02580.1	orthologue	GO:0003682;GO:0048317;GO:0006338;GO:0005515;GO:0046976;GO:0031507;GO:0043565;GO:0005634;GO:0042054;GO:0010484;GO:0031519;GO:0045892;GO:0141044;GO:2000014;GO:0009646;GO:0140951;GO:0032259	Histone-lysine N-methyltransferase MEDEA (EC 2.1.1.356) (Maternal embryogenesis control protein) (Protein EMBRYO DEFECTIVE 173) (Protein FERTILIZATION-INDEPENDENT SEED 1) (Protein SET DOMAIN GROUP 5);SET domain-containing protein
evm.model.RL_5.1110	540	AT1G62960.1	AT1G62960.1	other	GO:0008793;GO:0005575;GO:0006520;GO:0030170;GO:0004069;GO:0009058;GO:0008483	Probable aminotransferase ACS10 (EC 2.6.1.-)
evm.model.RL_5.1111	989	AT1G12470.1	AT1G12470.1	orthologue	GO:0006886;GO:0030897;GO:0010015;GO:0005768;GO:0009705;GO:0048284;GO:0016192;GO:0007032;GO:0005576;GO:0006904;GO:0007033;GO:0030674;GO:0033263;GO:0005737;GO:0008270;GO:0010008	Vacuolar sorting protein 18
evm.model.RL_5.1112	557	AT1G12480.1	AT1G12480.1	orthologue	GO:0006873;GO:0008509;GO:0006820;GO:0009270;GO:0005515;GO:0050891;GO:0090332;GO:0019901;GO:1902456;GO:0010193;GO:0009737;GO:0010037;GO:0005886;GO:0009416;GO:0005634;GO:0010118;GO:0008308;GO:0090333;GO:0009738;GO:0015698;GO:0015711;GO:0016020;GO:0019903;GO:0055085	Guard cell S-type anion channel SLAC1 (Protein CARBON DIOXIDE INSENSITIVE 3) (Protein OZONE-SENSITIVE 1) (Protein RADICAL-INDUCED CELL DEATH 3) (Protein SLOW ANION CHANNEL-ASSOCIATED 1)
evm.model.RL_5.1113	361	AT1G12500.1	AT1G12500.1	orthologue	GO:0055085;GO:0008514;GO:0015297;GO:0005886;GO:0005794;GO:0016020	Probable sugar phosphate/phosphate translocator At1g12500
evm.model.RL_5.1114.1.687c88b2	349	AT1G12520.1	AT1G12520.1	orthologue	GO:0009507;GO:0019430;GO:0016532;GO:0009570;GO:0005507;GO:0005737;GO:0006878;GO:0006801;GO:0005829;GO:0046872	Copper chaperone for superoxide dismutase, chloroplastic/cytosolic (AtCCS) (Superoxide dismutase copper chaperone)
evm.model.RL_5.1115	173	AT1G12530.1	AT1G12530.1	orthologue	GO:0050776;GO:0005515;GO:0005634	Uncharacterized protein
evm.model.RL_5.1116	326	AT1G12550.1	AT1G12550.1	orthologue	GO:0030267;GO:0009507;GO:0005829;GO:0051287;GO:0016618;GO:0009853;GO:0009854;GO:0120509;GO:0016616	Glyoxylate/hydroxypyruvate reductase HPR3 (EC 1.1.1.79) (EC 1.1.1.81) (NAD(P)H-dependent hydroxypyruvate reductase 3) (AtHPR3) (HPR 3)
evm.model.RL_5.1117	387	AT1G12550.1	AT1G12550.1	other	GO:0030267;GO:0009507;GO:0005829;GO:0051287;GO:0016618;GO:0009853;GO:0009854;GO:0120509;GO:0016616	Glyoxylate/hydroxypyruvate reductase HPR3 (EC 1.1.1.79) (EC 1.1.1.81) (NAD(P)H-dependent hydroxypyruvate reductase 3) (AtHPR3) (HPR 3)
evm.model.RL_5.1118	263	AT1G12560.1	AT1G12560.1	orthologue	GO:0009826;GO:0048767;GO:0009828;GO:0005576;GO:0003674;GO:0009664;GO:0016020	Expansin-A7 (AtEXPA7) (Alpha-expansin-7) (At-EXP7) (AtEx7) (Ath-ExpAlpha-1.26)
evm.model.RL_5.1119	567	AT1G12570.1	AT1G12570.1	orthologue	GO:0050660;GO:0016614;GO:0005576	At1g12570 (Glucose-methanol-choline (GMC) oxidoreductase family protein)
evm.model.RL_5.112	221	AT1G02610.1	AT1G02610.1	orthologue	GO:0005634;GO:0005737;GO:0004842;GO:0016567;GO:0008270;GO:0016020	RING/FYVE/PHD zinc finger superfamily protein
evm.model.RL_5.1120	522	AT1G12580.1	AT1G12580.1	orthologue	GO:0009931;GO:0004674;GO:0005737;GO:0004683;GO:0035556;GO:0005634;GO:0046777;GO:0005516;GO:0005524;GO:0046872;GO:0004672;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
evm.model.RL_5.1121	348	AT1G12600.1	AT1G12600.1	orthologue	GO:0046964;GO:0000139;GO:0055085;GO:0005789;GO:0046963;GO:0005886;GO:0015297;GO:0016020;GO:0022857	UDP-galactose/UDP-glucose transporter 4 (AtUTr4)
evm.model.RL_5.1122	205	AT1G12610.1	AT1G12610.1	orthologue	GO:0000976;GO:0043565;GO:0006355;GO:0050826;GO:0003700;GO:0051510;GO:0010371;GO:0048510;GO:0009408;GO:0005634;GO:0009651;GO:0019760;GO:0009414;GO:0003677	Dehydration-responsive element-binding protein 1F (Protein DREB1F)
evm.model.RL_5.1123	175	AT1G12630.1	AT1G12630.1	orthologue	GO:0000976;GO:0006355;GO:0019760;GO:0005634;GO:0003700;GO:0009873;GO:0003677	Ethylene-responsive transcription factor ERF027
evm.model.RL_5.1124	465	AT1G12640.1	AT1G12640.1	orthologue	GO:0019375;GO:0005886;GO:0071617;GO:0016746;GO:0005576;GO:0016020;GO:0045017;GO:0008654;GO:0019432;GO:0047184;GO:0005783;GO:0030258;GO:0005789;GO:0106262;GO:0106263	Lysophospholipid acyltransferase 1 (AtLPLAT1) (EC 2.3.1.-) (1-acylglycerophosphocholine O-acyltransferase) (EC 2.3.1.23) (1-acylglycerophosphoethanolamine O-acyltransferase) (EC 2.3.1.n7) (1-acylglycerophosphoserine O-acyltransferase) (EC 2.3.1.n6) (Lysophosphatidylcholine acyltransferase 1) (LPCAT1) (Lysophosphatidylethanolamine acyltransferase) (LPEAT) (Lysophosphatidylglycerol acyltransferase) (LPGAT) (Lysophosphatidylserine acyltransferase) (LPSAT)
evm.model.RL_5.1125	248	AT1G12650.1	AT1G12650.1	orthologue	GO:0003674;GO:0005634;GO:0000462;GO:0030686;GO:0005730	rRNA biogenesis protein RRP36
evm.model.RL_5.1126	121	AT1G12660.1	AT1G12660.1	orthologue	GO:0003674;GO:0005576;GO:0006952	Thionin-like protein;Thionin-like protein 1
evm.model.RL_5.1127	127	AT1G12672.2	AT1G12672.2	other	GO:0005576;GO:0003674	Thionin-like protein
evm.model.RL_5.1128	467	AT1G12680.1	AT1G12680.1	orthologue	GO:0005516;GO:0004683;GO:0005634;GO:0009931;GO:0035556;GO:0005737;GO:0004674;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase PEPKR2 (EC 2.7.11.-) (Protein PHOSPHOENOLPYRUVATE CARBOXYLASE-RELATED KINASE 2)
