Odontarrhena_muralis	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Om004G156440	81	AT5G13340.1	AT5G13340.1	orthologue	GO:0003674;GO:0005739;GO:0005654;GO:0005634	Arginine/glutamate-rich 1 protein
Om004G156450	334	AT2G21120.1	AT2G21120.1	orthologue	GO:0005783;GO:0051607;GO:0016020;GO:0015095;GO:0009507;GO:0015693;GO:0005769;GO:0005886	Probable magnesium transporter NIPA6
Om004G156460	76					
Om004G156470	188	AT2G21110.1	AT2G21110.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005576;GO:0009699;GO:0048046	Dirigent protein 4 (AtDIR4)
Om004G156480	189	AT2G21100.1	AT2G21100.1	orthologue	GO:0003674;GO:0005575;GO:0009699;GO:0048046	Dirigent protein 23 (AtDIR23)
Om004G156490	589	AT2G21090.1	AT2G21090.1	orthologue	GO:0005575;GO:0005739;GO:0003723;GO:0009451;GO:0005515	Pentatricopeptide repeat-containing protein At2g21090
Om004G156500	491	AT2G21070.3	AT2G21070.3	orthologue	GO:0070475;GO:0048573;GO:0052907;GO:0009648;GO:0005634;GO:0005737;GO:0007623;GO:0008168;GO:0032259	U6 small nuclear RNA (adenine-(43)-N(6))-methyltransferase (EC 2.1.1.-)
Om004G156520	77					
Om004G156530	182	AT2G21060.1	AT2G21060.1	orthologue	GO:0009409;GO:0009793;GO:0008270;GO:0005829;GO:0005634;GO:0003729;GO:0010154;GO:0003677;GO:0005730;GO:0003676	Cold shock domain-containing protein 4 (AtCSP4) (Glycine-rich protein 2b) (AtGRP2b)
Om004G156540	485	AT2G21050.1	AT2G21050.1	orthologue	GO:0015171;GO:0010588;GO:0009624;GO:0048829;GO:0010262;GO:0003333;GO:0016020;GO:0005886;GO:0006865;GO:0009734;GO:0015293	Auxin transporter-like protein 2 (AUX1-like protein 2)
Om004G156550	100					
Om004G156560	540	AT2G21010.1, AT2G20990.3	AT2G20990.3	orthologue	GO:0005783;GO:0008289;GO:0008150;GO:0009409;GO:0006612;GO:0009615;GO:0032541;GO:0001778;GO:0061817;GO:0009612;GO:0005886;GO:0009898;GO:0005515;GO:0032456;GO:0006897;GO:0046740;GO:1901981;GO:0000325;GO:0019992;GO:0009506;GO:0005768;GO:0007029;GO:0140268;GO:0005737;GO:0006869;GO:0012505;GO:0016020;GO:0010008;GO:0046872	Calcium-dependent lipid-binding (CaLB domain) family protein;Synaptotagmin A;Synaptotagmin-1 (NTMC2T1.1) (Synaptotagmin A)
Om004G156570	400	AT2G20980.1	AT2G20980.1	orthologue	GO:0043596;GO:0003690;GO:0006270;GO:0005634;GO:0003697;GO:0003688;GO:0008270;GO:0006260	Minichromosome maintenance 10
Om004G156580	353	AT2G20970.2	AT2G20970.2	other	GO:0005739;GO:0003674;GO:0008150;GO:0016020	Lipid-binding protein
Om004G156590	713	AT2G20960.1	AT2G20960.1	orthologue	GO:0005634;GO:0003674	PEARLI 4 protein (Phospholipase-like protein (PEARLI 4) family protein);Phospholipase-like protein (PEARLI 4) family protein
Om004G156600	532	AT2G20950.7	AT2G20950.7	orthologue	GO:0005737;GO:0005634;GO:0003674	Phospholipase-like protein (PEARLI 4) family protein
Om004G156610	129	AT2G20940.1	AT2G20940.1	orthologue	GO:0005739;GO:0003674;GO:0016020	At2g20940 (Expressed protein) (Transmembrane protein, putative (DUF1279))
Om004G156620	140	AT2G20930.1	AT2G20930.1	orthologue	GO:0005634;GO:0003674;GO:0006888;GO:0005794;GO:0005737;GO:0030008	Trafficking protein particle complex subunit 2-like protein
Om004G156630	288	AT2G20920.1	AT2G20920.1	orthologue	GO:0031969;GO:0009507;GO:0003674	At2g20920/F5H14.11 (Chaperone (DUF3353))
Om004G156660	73	AT5G16830.1	AT5G16830.1	other	GO:0012505;GO:0006906;GO:0005515;GO:0005770;GO:0005484;GO:0045324;GO:0006886;GO:0031201;GO:0048278;GO:0006896;GO:0006623;GO:0016020;GO:0000149;GO:0030140;GO:0005794;GO:0061025	Syntaxin-21 (AtSYP21) (PEP12 homolog) (AtPEP12) (aPEP12)
Om004G156670	157					
Om004G156680	2691	AT5G40820.2	AT5G40820.2	other	GO:0048609;GO:0032204;GO:0004674;GO:0006282;GO:0043247;GO:0006281;GO:0005634;GO:0000077;GO:0033044;GO:0005694;GO:0006303;GO:0000723;GO:0007004;GO:0009506;GO:0031347;GO:0051321;GO:0010044;GO:0010332;GO:0005524;GO:0006952;GO:0106310;GO:0005515;GO:0016301	Serine/threonine-protein kinase ATR (AtATR) (EC 2.7.11.1) (Ataxia telangiectasia-mutated and Rad3-related homolog) (DNA repair protein ATR) (Rad3-like protein) (AtRAD3);Serine/threonine-protein kinase ATR (EC 2.7.11.1)
Om004G156690	230	AT1G16210.1	AT1G16210.1	other	GO:0005737;GO:0006366;GO:0005634;GO:0003713	Coiled-coil protein
Om004G156700	359	AT2G47450.1	AT2G47450.1	orthologue	GO:0009535;GO:0005515;GO:0005829;GO:0009941;GO:0005622;GO:0009507;GO:0042802;GO:0080085;GO:0045038;GO:0009644;GO:0005786;GO:0009570;GO:0019904;GO:0030674;GO:0032991;GO:0046872;GO:0070208;GO:0097718	Signal recognition particle 43 kDa protein, chloroplastic (Chromo protein SRP43) (CpSRP43)
Om004G156730	110					
Om004G156740	119					
Om004G156750	207	AT2G06565.1, AT5G30520.1	AT5G30520.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0005575	Uncharacterized protein
Om004G156760	504	AT1G65080.1	AT1G65080.1	orthologue	GO:0032979;GO:0005743;GO:0032977;GO:0033617;GO:0009507;GO:0005739;GO:0009535;GO:0005515;GO:0016020;GO:0051205	ALBINO3-like protein 2, chloroplastic (Ath5)
Om004G156780	213	AT4G13970.1	AT4G13970.1	other	GO:0008270;GO:0005634	Zinc ion binding protein
Om004G156790	945	AT5G14580.1	AT5G14580.1	orthologue	GO:0006402;GO:0005739;GO:0000963;GO:0000958;GO:0000175;GO:0000965;GO:0000957;GO:0004654;GO:0005829;GO:0009507;GO:0003723;GO:0006364;GO:0006397;GO:0008033;GO:0003676;GO:0006396;GO:0006401;GO:0009570	Polyribonucleotide nucleotidyltransferase 2, mitochondrial (AtmtPNPase) (EC 2.7.7.8) (Polynucleotide phosphorylase 2) (PNPase 2)
Om004G156800	298	AT5G14590.1	AT5G14590.1	orthologue	GO:0005829;GO:0051287;GO:0005739;GO:0000287;GO:0009536;GO:0009507;GO:0004450;GO:0006102;GO:0009534;GO:0009570;GO:0006739;GO:0006099;GO:0016616	Isocitrate dehydrogenase [NADP], chloroplastic/mitochondrial (EC 1.1.1.42)
Om004G156810	321	AT5G14600.1	AT5G14600.1	orthologue	GO:0005515;GO:0160107;GO:0030488;GO:0005634;GO:0031515	tRNA (adenine(58)-N(1))-methyltransferase (EC 2.1.1.220)
Om004G156820	632	AT5G14610.1	AT5G14610.1	orthologue	GO:0005730;GO:0003676;GO:0005737;GO:1990904;GO:0003724;GO:0005634;GO:0003729;GO:0003723;GO:0005524;GO:0016787;GO:0016887;GO:0004386;GO:0005515	DEAD-box ATP-dependent RNA helicase 46 (EC 3.6.4.13);RNA helicase (EC 3.6.4.13)
Om004G156830	773	AT4G13970.1	AT4G13970.1	orthologue	GO:0008270;GO:0005634	Zinc ion binding protein
Om004G156840	1058	AT3G03380.1	AT3G03380.1	orthologue	GO:0009507;GO:0010205;GO:0004252;GO:0005634;GO:0043065;GO:0008233;GO:0006508;GO:0005515	DegP protease 7;Protease Do-like 7 (EC 3.4.21.-)
Om004G156850	128	AT3G03350.2	AT3G03350.2	other	GO:0016491;GO:0005576;GO:0016020	NAD(P)-binding Rossmann-fold superfamily protein
Om004G156870	379	AT3G03340.2	AT3G03340.2	orthologue	GO:0006376;GO:0005634;GO:0005685;GO:0003729;GO:0071004;GO:0009567	LUC7 related protein
Om004G156890	298	AT2G41990.1	AT2G41990.1	orthologue	GO:0005575;GO:0003674;GO:0016020;GO:0098542	At2g41990 (Late embryogenesis abundant protein)
Om004G156900	84	AT2G42000.2, AT2G23240.1	AT2G42000.2	orthologue	GO:0008270;GO:0005737;GO:0005576;GO:0016020;GO:0006829;GO:0005634;GO:0005886	Metallothionein-like protein 4A (MT-4A) (EC protein homolog 1);Metallothionein-like protein 4B (MT-4B) (EC protein homolog 2);Plant EC metallothionein family protein;Plant EC metallothionein-like protein, family 15
Om004G156910	404	AT2G42005.1	AT2G42005.1	orthologue	GO:0005774;GO:0015175;GO:0015179;GO:0015804;GO:0003333;GO:0005737;GO:0016020	Amino acid transporter AVT3B (AtAvt3B) (Aromatic and neutral amino acid transporter-like protein 1)
Om004G156920	431	AT4G17080.1	AT4G17080.1	other	GO:0005794;GO:0005811;GO:0003674;GO:0005737;GO:0008168;GO:0016020;GO:0032259	AT4g17080/dl4570w (Histone H3 K4-specific methyltransferase SET7/9 family protein)
Om004G156970	342	AT1G28700.1, AT1G28710.1, AT1G28695.1	AT1G28710.1	orthologue	GO:0005737;GO:0003674;GO:0008150;GO:0009507;GO:0016020;GO:0016740	Expressed protein (F1K23.10) (Glycosyltransferase) (Nucleotide-diphospho-sugar transferase family protein);F1K23.9 (Glycosyltransferase) (Nucleotide-diphospho-sugar transferase family protein);Uncharacterized protein At1g28695
Om004G156990	343	AT1G28700.1, AT1G28710.1, AT1G28695.1	AT1G28710.1	orthologue	GO:0005737;GO:0003674;GO:0008150;GO:0009507;GO:0016020;GO:0016740	Expressed protein (F1K23.10) (Glycosyltransferase) (Nucleotide-diphospho-sugar transferase family protein);F1K23.9 (Glycosyltransferase) (Nucleotide-diphospho-sugar transferase family protein);Uncharacterized protein At1g28695
Om004G157000	268	AT1G02090.1	AT1G02090.1	other	GO:0005515;GO:0009640;GO:0000338;GO:0010387;GO:0005737;GO:0008180;GO:0009585;GO:0000502	COP9 signalosome complex subunit 7 (CSN complex subunit 7) (Protein FUSCA 5);Proteasome component (PCI) domain protein
Om004G157010	177	AT2G44840.1	AT2G44840.1	other	GO:0003700;GO:0000976;GO:0005634;GO:0009873;GO:0006355;GO:0003677;GO:0005622;GO:0005515;GO:0006952	Ethylene-responsive transcription factor 13 (AtERF13) (Ethylene-responsive element-binding factor 13) (EREBP-13)
Om004G157020	178	AT2G44840.1	AT2G44840.1	other	GO:0003700;GO:0000976;GO:0005634;GO:0009873;GO:0006355;GO:0003677;GO:0005622;GO:0005515;GO:0006952	Ethylene-responsive transcription factor 13 (AtERF13) (Ethylene-responsive element-binding factor 13) (EREBP-13)
Om004G157030	570	AT1G05940.1	AT1G05940.1	orthologue	GO:0015174;GO:0005739;GO:0022857;GO:0009507;GO:0000325;GO:0055085;GO:0015171;GO:0006865;GO:0031969;GO:0016020	Cationic amino acid transporter 9;Cationic amino acid transporter 9, chloroplastic
Om004G157050	282	AT4G00026.1	AT4G00026.1	orthologue	GO:0005739;GO:0005744;GO:0030150;GO:0005829;GO:0090351;GO:0003674	Probable mitochondrial import inner membrane translocase subunit TIM21 (Protein SEGREGATION DISTORTION 3)
Om004G157060	423	AT5G07670.1	AT5G07670.1	other	GO:0031146;GO:0003674;GO:0019005;;GO:0005515	F-box protein At5g07670
Om004G157070	203	AT4G00030.1	AT4G00030.1	orthologue	GO:0005739;GO:0003674;GO:0009534	Probable plastid-lipid-associated protein 11, chloroplastic (Fibrillin-9)
Om004G157080	392	AT4G00040.1	AT4G00040.1	orthologue	GO:0005737;GO:0030639;GO:0016747;GO:0009813;GO:0005783;GO:0016746;GO:0009058	Type III polyketide synthase C (PKS-C) (EC 2.3.1.-)
Om004G157090	388	AT4G00050.1	AT4G00050.1	other	GO:0005515;GO:0003700;GO:0006351;GO:0009416;GO:0009753;GO:0009959;GO:0005634;GO:0009637;GO:0006355;GO:0043565;GO:0046983;GO:0010187;GO:0009567;GO:0009506;GO:0009845;GO:0010218;GO:0090351;GO:0009704;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor UNE10 (Basic helix-loop-helix protein 16) (AtbHLH16) (bHLH 16) (Phytochrome-interacting factor 8) (Protein UNFERTILIZED EMBRYO SAC 10) (Transcription factor EN 108) (bHLH transcription factor bHLH016)
Om004G157100	1474	AT4G00060.1	AT4G00060.1	orthologue	GO:0005634;GO:0043634;GO:0031499;GO:0005730;GO:0009793;GO:0005515;GO:0031123;GO:1990817;GO:0003729	Nucleotidyltransferase family protein
Om004G157110	212	AT4G00080.1	AT4G00080.1	orthologue	GO:0009505;GO:0004857;GO:0005575;GO:0009827;GO:0009567;GO:0048046;GO:0043086	At4g00080 (F6N15.9 protein) (Plant invertase/pectin methylesterase inhibitor superfamily protein)
Om004G157120	429	AT4G00090.1	AT4G00090.1	orthologue	GO:0005783;GO:0005829;GO:0003674;GO:0005737;GO:0016020;GO:0005515	AT4g00090/F6N15_8 (Transducin/WD40 repeat-like superfamily protein)
Om004G157130	151	AT4G00100.1	AT4G00100.1	orthologue	GO:0006412;GO:0005730;GO:0003729;GO:0003735;GO:0022627;GO:0009965;GO:0009507;GO:0005829;GO:0000911;GO:0005783;GO:0010090;GO:0070181;GO:0005840	Small ribosomal subunit protein uS15y (40S ribosomal protein S13-2)
Om004G157140	429	AT4G00110.1	AT4G00110.1	orthologue	GO:0016020;GO:0050378;GO:0008150;GO:0032580	UDP-glucuronate 4-epimerase 3 (EC 5.1.3.6) (UDP-glucuronic acid epimerase 3)
Om004G157150	350	AT1G64770.3	AT1G64770.3	orthologue	GO:0005975;GO:0047938;GO:0009535;GO:0009773;GO:0010598;GO:0009534;GO:0009507;GO:0003824;GO:0005737;GO:0030246;GO:0005634	NDH-dependent cyclic electron flow 1;Photosynthetic NDH subunit of subcomplex B 2, chloroplastic (Protein PnsB2) (NAD(P)H DEHYDROGENASE SUBUNIT 45) (NDH-DEPENDENT CYCLIC ELECTRON FLOW 2)
Om004G157160	741	AT2G45290.1	AT2G45290.1	other	GO:0009507;GO:0019253;GO:0009570;GO:0006098;GO:0005829;GO:0009536;GO:0004802;GO:0009535;GO:0046872	Transketolase-2, chloroplastic (TK) (EC 2.2.1.1)
Om004G157170	178	AT4G00120.1	AT4G00120.1	orthologue	GO:0005515;GO:0010197;GO:0006355;GO:0046983;GO:0005634;GO:0003700;GO:0003677	Transcription factor IND (Basic helix-loop-helix protein 40) (AtbHLH40) (bHLH 40) (Protein INDEHISCENT) (Transcription factor EN 120) (bHLH transcription factor bHLH040)
Om004G157180	278	AT1G73440.1, AT4G00140.1	AT1G73440.1	orthologue	GO:0000226;GO:0005634;GO:0010197;GO:0005815;GO:0005509;GO:0008017	At1g73440 (Calmodulin-like protein);Calcium-binding EF-hand family protein (F6N15.19 protein)
Om004G157190	569	AT4G00150.1	AT4G00150.1	orthologue	GO:0048768;GO:0051301;GO:0006355;GO:0005634;GO:0005515;GO:0007623;GO:0003700;GO:0043565;GO:0030154	Scarecrow-like protein 6 (AtSCL6) (GRAS family protein 22) (AtGRAS-22) (SCL6-IV)
Om004G157200	122	AT4G00165.1	AT4G00165.1	orthologue	GO:0005576;GO:0008150;GO:0003674	Putative lipid-binding protein At4g00165
Om004G157210	238	AT4G00170.1	AT4G00170.1	orthologue	GO:0005886;GO:0005789;GO:0005783;GO:0043495;GO:0003674;GO:0061817;GO:0090158	Plant VAMP (Vesicle-associated membrane protein) family protein;Vesicle-associated protein 1-3 (Plant VAP homolog 13) (AtPVA13) (VAMP-associated protein 1-3) [Cleaved into: Vesicle-associated protein 1-3, N-terminally processed]
Om004G157220	87	AT4G12590.1	AT4G12590.1	other	GO:0072546;GO:0005783;GO:0005739;GO:0003674;GO:0016020;GO:0034975	ER membrane protein complex subunit 3
Om004G157230	513	AT4G00190.1	AT4G00190.1	orthologue	GO:0045490;GO:0042545;GO:0030599;GO:0005575;GO:0004857;GO:0046910;GO:0005576	Putative pectinesterase/pectinesterase inhibitor 38 [Includes: Pectinesterase inhibitor 38 (Pectin methylesterase inhibitor 38); Pectinesterase 38 (PE 38) (EC 3.1.1.11) (Pectin methylesterase 38) (AtPME38)]
Om004G157240	313	AT4G00200.1	AT4G00200.1	orthologue	GO:0005634;GO:0003680	AT-hook motif nuclear-localized protein 7
Om004G157250	217	AT4G00210.1	AT4G00210.1	orthologue	GO:0009755;GO:0045893;GO:0005634;GO:0003674;	LOB domain-containing protein 31 (ASYMMETRIC LEAVES 2-like protein 22) (AS2-like protein 22)
Om004G157280	237	AT4G00220.1	AT4G00220.1	orthologue	GO:0005515;GO:0005634;GO:0009755;GO:0001216;GO:0045893;GO:0010199;GO:0010089	LOB domain-containing protein 30 (ASYMMETRIC LEAVES 2-like protein 19) (AS2-like protein 19)
Om004G157290	411	AT4G31010.2	AT4G31010.2	orthologue	GO:0000373;GO:0009793;GO:0032981;GO:0005739;GO:0033617;GO:0003674;GO:0003723;GO:0006397;GO:1990904	CRS2-associated factor 1, mitochondrial;RNA-binding CRS1 / YhbY (CRM) domain-containing protein
Om004G157300	752	AT4G00230.1	AT4G00230.1	orthologue	GO:0005576;GO:0004252;GO:0009505;GO:0006508;GO:0008236	Subtilisin-like protease SBT4.14 (EC 3.4.21.-) (Cucumisin-like protein) (Subtilase subfamily 4 member 14) (AtSBT4.14) (Xylem serine proteinase 1) (AtXSP1);Xylem serine peptidase 1
Om004G157310	478	AT4G00231.1	AT4G00231.1	orthologue	GO:0009793;GO:0005829;GO:0003674;GO:0051301	ARM repeat superfamily protein (F6N15.2 protein)
Om004G157330	298	AT4G01390.1, AT4G00780.1	AT4G00780.1	other	GO:0003674;GO:0005575;GO:0005576;GO:0005634;GO:0008150;GO:0005737;GO:0005515	TRAF-like family protein
Om004G157340	524	AT4G00290.1, AT4G00234.1	AT4G00290.1	orthologue	GO:0008150;GO:0003674;GO:0009507;GO:0009941;GO:0005743;GO:0005739;GO:0008381;GO:0034599;GO:0005886;GO:0016020;GO:0055085	Mechanosensitive ion channel protein 1, mitochondrial (Mechanosensitive channel of small conductance-like 1) (MscS-Like protein 1);Mechanosensitive ion channel-like protein
Om004G157360	498	AT4G00295.1	AT4G00295.1	orthologue	GO:0008375;GO:0005794;GO:0008150;GO:0016020	Fringe-like protein
Om004G157370	476	AT4G00300.1	AT4G00300.1	orthologue	GO:0004714;GO:0005783;GO:0016757;GO:0005576;GO:0004674;GO:0016020;GO:0006468	Receptor-like kinase
Om004G157380	353	AT1G66720.1	AT1G66720.1	orthologue	GO:0008757;GO:0005634;GO:0032259;GO:0008168;GO:0046872	Paraxanthine methyltransferase 3 (EC 2.1.1.-) (SABATH methyltransferase PXMT3)
Om004G157390	82					
Om004G157400	172	AT5G42905.1	AT5G42905.1	other	GO:0008150;GO:0005575;GO:0004523;GO:0003676;GO:0016740	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
Om004G157410	126	AT4G00305.1	AT4G00305.1	orthologue	GO:0005737;GO:0016567;GO:0061630;GO:0008270	RING/U-box superfamily protein
Om004G157420	243	AT4G00310.1	AT4G00310.1	orthologue	GO:0009793;GO:0009561;GO:0003674;GO:0005634	AT4G00310 protein (AT4g00310/A_IG005I10_17) (A_IG005I10.17 protein) (F5I10.17 protein) (Membrane lipoprotein)
Om004G157430	402	AT4G00330.1	AT4G00330.1	orthologue	GO:0009507;GO:0009555;GO:0004674;GO:0005829;GO:0005524;GO:0106310;GO:0016301;GO:0016310;GO:0004672;GO:0006468	Calmodulin-binding receptor-like cytoplasmic kinase 2 (EC 2.7.11.1)
Om004G157440	190	AT4G00335.1	AT4G00335.1	orthologue	GO:0005634;GO:0016567;GO:0005829;GO:0004842;GO:0008270;GO:0016740	Probable E3 ubiquitin-protein ligase RHB1A (EC 2.3.2.27) (RING-H2 finger B1a) (RING-H2 zinc finger protein RHB1a) (RING-type E3 ubiquitin transferase RHB1A)
Om004G157450	74					
Om004G157460	841	AT4G00340.1	AT4G00340.1	orthologue	GO:0004674;GO:0006468;GO:0016020;GO:0004672;GO:0005515;GO:0005576;GO:0048544;GO:0005516;GO:0005886;GO:0005524;GO:0030246;GO:0031625;GO:0106310	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-2 (EC 2.7.11.1) (Receptor-like kinase 4) (S-domain-2 (SD2) receptor kinase 2) (SD2-2);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
Om004G157470	537	AT4G00350.1	AT4G00350.1	orthologue	GO:0015297;GO:1990961;GO:0016020;GO:0022857;GO:0042910;GO:0009507;GO:0055085	Protein DETOXIFICATION 34 (AtDTX34) (Multidrug and toxic compound extrusion protein 34) (MATE protein 34)
Om004G157480	274	AT4G00355.1	AT4G00355.1	orthologue	GO:0005634;GO:0043231;GO:0005515;GO:0005783;GO:0005789;GO:0006914;GO:0015031	ATG8-interacting protein 2
Om004G157490	93					
Om004G157510	34	AT1G11910.2	AT1G11910.2	other	GO:0005576;GO:0004175;GO:0004190;GO:0005773;GO:0009506;GO:0006508;GO:0099503;GO:0000325;GO:0006629	Aspartic proteinase A1;Aspartic proteinase A1 (EC 3.4.23.-)
Om004G157520	481	AT5G11940.1	AT5G11940.1	other	GO:0004252;GO:0005576;GO:0008150;GO:0006508;GO:0008236	Subtilisin-like protease SBT3.11 (EC 3.4.21.-) (Subtilase subfamily 3 member 11) (AtSBT3.11)
Om004G157530	216	AT5G11940.1	AT5G11940.1	other	GO:0004252;GO:0005576;GO:0008150;GO:0006508	Subtilisin-like protease SBT3.11 (EC 3.4.21.-) (Subtilase subfamily 3 member 11) (AtSBT3.11)
Om004G157540	553	AT4G00360.1	AT4G00360.1	orthologue	GO:0005506;GO:0006631;GO:0005515;GO:0018685;GO:0070330;GO:0020037;GO:0005576;GO:0006952;GO:0016020;GO:0016712;GO:0004497;GO:0016705	Cytochrome P450 86A2 (EC 1.14.14.1) (Protein ABERRANT INDUCTION OF TYPE THREE 1)
Om004G157550	561	AT4G00370.1	AT4G00370.1	orthologue	GO:0009941;GO:0009507;GO:0009536;GO:0015882;GO:0008514;GO:0009706;GO:0015229;GO:0010028;GO:0005315;GO:0022857;GO:0055085	Ascorbate transporter, chloroplastic (Phosphate transporter PHT4;4) (AtPHT4;4) (Probable anion transporter 2)
Om004G157560	496	AT4G00400.1	AT4G00400.1	orthologue	GO:0016791;GO:0090447;GO:0010143;GO:0005783;GO:0016024;GO:0016020;GO:0004366;GO:0016746	Probable glycerol-3-phosphate acyltransferase 8 (EC 2.3.1.15)
Om004G157570	749	AT4G26590.1	AT4G26590.1	orthologue	GO:0035673;GO:0005886;GO:0016020;GO:0005737;GO:0006857;GO:0015031;GO:0055085	Oligopeptide transporter 5 (AtOPT5)
Om004G157580	286	AT1G01620.1, AT4G23400.1	AT1G01620.1	other	GO:0005515;GO:0015267;GO:0005886;GO:0015250;GO:0009414;GO:0055085;GO:0005576;GO:0006833;GO:0009506;GO:0005829;GO:0016020	Aquaporin PIP1-3 (AtPIP1;3) (Plasma membrane intrinsic protein 1c) (PIP1c) (Transmembrane protein B) (TMP-B);Plasma membrane intrinsic protein 1C;Probable aquaporin PIP1-5 (AtPIP1;5) (Plasma membrane intrinsic protein 1d) (PIP1d)
Om004G157600	882	AT4G00440.2	AT4G00440.2	orthologue	GO:0005634;GO:0003674	GPI-anchored adhesin-like protein, putative (DUF3741)
Om004G157610	2219	AT4G00450.1	AT4G00450.1	orthologue	GO:0005634;GO:0040034;GO:0016592;GO:0006357;GO:0090213;GO:0048573;GO:0003712	Mediator of RNA polymerase II transcription subunit 12 (Protein CENTER CITY) (Protein CRYPTIC PRECOCIOUS)
Om004G157620	470	AT4G00460.2	AT4G00460.2	orthologue	GO:0005634;GO:0005886;GO:0005085;GO:0016020	RHO guanyl-nucleotide exchange factor 3;Rop guanine nucleotide exchange factor 3 (AtRopGEF3) (Rho of plants guanine nucleotide exchange factor 3)
Om004G157630	697	AT4G00480.2	AT4G00480.2	other	GO:0005515;GO:0006355;GO:0005634;GO:0048629;GO:0046983;GO:0035618;GO:0003700;GO:0003677;GO:0009889;GO:0080090	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor MYC1 (AtMYC1) (Basic helix-loop-helix protein 12) (AtbHLH12) (bHLH 12) (Transcription factor EN 58) (bHLH transcription factor bHLH012)
Om004G157640	543	AT4G00490.1	AT4G00490.1	orthologue	GO:0016161;GO:0009507;GO:0009570;GO:0005576;GO:0000272	Beta-amylase 2, chloroplastic (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 9)
Om004G157650	454	AT4G00500.1	AT4G00500.1	orthologue	GO:0005886;GO:0005516;GO:0016042;GO:0006629	Alpha/beta-Hydrolases superfamily protein
Om004G157660	427	AT4G00520.2	AT4G00520.2	orthologue	GO:0009062;GO:0005634;GO:0006637;GO:0003674;GO:0047617;GO:0005782;GO:0006631;GO:0051289;GO:0052815;GO:0052816	Acyl-CoA hydrolase 1 (AtACH1) (EC 3.1.2.20) (Acyl-coA thioesterase I) (ACT-I) (Protein CYCLIC NUCLEOTIDE REGULATED THIOESTERASE 1) (AtCNTE1);Acyl-CoA thioesterase family protein
Om004G157680	143	AT4G00525.1	AT4G00525.1	orthologue	GO:0008150;GO:0003674;GO:0005634	At4g00525
Om004G157690	150	AT2G45760.1	AT2G45760.1	other	GO:0005575;GO:0003674;GO:0006952;GO:0016020	BON1-associated protein 2 (Protein BON1-ASSOCIATED PROTEIN 1-LIKE)
Om004G157710	473	AT4G00550.1	AT4G00550.1	orthologue	GO:0009707;GO:0019375;GO:0016036;GO:0009507;GO:0008194;GO:0035250;GO:0046481;GO:0016757;GO:0009247	Digalactosyldiacylglycerol synthase 2, chloroplastic (EC 2.4.1.241)
Om004G157720	324	AT4G00560.4	AT4G00560.4	orthologue	GO:0008150;GO:0003674;GO:0005575	At4g00560 (NAD(P)-binding Rossmann-fold superfamily protein);NAD(P)-binding Rossmann-fold superfamily protein
Om004G157730	607	AT4G00570.1	AT4G00570.1	orthologue	GO:0005739;GO:0006090;GO:0005515;GO:0008270;GO:0004471;GO:0051287;GO:0005524;GO:0005829;GO:0006108;GO:0050897;GO:0042803;GO:0004470;GO:0016616	NAD-dependent malic enzyme 2, mitochondrial (AtNAD-ME2) (NAD-malic enzyme 2) (EC 1.1.1.39)
Om004G157740	85	AT4G00585.1	AT4G00585.1	orthologue	GO:0045271;GO:0031966;GO:0003674;GO:0009853	Transmembrane protein (Uncharacterized protein At4g00585)
Om004G157750	407	AT4G00590.1	AT4G00590.1	orthologue	GO:0004298;GO:0051604;GO:0005737;GO:0006508;GO:0016787	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein;Putative threonine aspartase (Taspase-1) (EC 3.4.25.-) [Cleaved into: Putative threonine aspartase subunit alpha; Putative threonine aspartase subunit beta]
Om004G157760	362	AT4G00620.1, AT4G00600.1	AT4G00620.1	orthologue	GO:0005829;GO:0035999;GO:0004477;GO:0009507;GO:0004488;GO:0009853;GO:0003824	Bifunctional protein FolD 3, chloroplastic (Tetrahydrofolate dehydrogenase/cyclohydrolase 3) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)];Bifunctional protein FolD 4, chloroplastic (Protein EMBRYO DEFECTIVE 3127) (Tetrahydrofolate dehydrogenase/cyclohydrolase 4) [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]
Om004G157770	505	AT4G00660.1	AT4G00660.1	orthologue	GO:0017148;GO:0034063;GO:0016032;GO:0003724;GO:0033962;GO:0005737;GO:0005829;GO:0000932;GO:0010494;GO:0019060;GO:0003729;GO:0005515;GO:0005524;GO:0006397;GO:0006417;GO:0016887;GO:0051028;GO:0003676	DEAD-box ATP-dependent RNA helicase 8 (EC 3.6.4.13)
