Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g2711	443	AT3G48440.1	AT3G48440.1	orthologue	GO:0003729;GO:0005634;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 43 (AtC3H43) (Zinc finger CCCH domain-containing protein ZFN-like 6)
g27110	598	AT1G10340.1	AT1G10340.1	orthologue	GO:0005737;GO:0003674;GO:0016020;GO:0005515;GO:0005886	Ankyrin repeat family protein;Ankyrin repeat family protein (At1g10340/F14N23_22) (F14N23.22)
g27111	212	AT1G10360.1	AT1G10360.1	orthologue	GO:0005737;GO:0004364;GO:0009407;GO:0006749;GO:0005829	Glutathione S-transferase U18 (AtGSTU18) (EC 2.5.1.18) (GST class-tau member 18) (Glutathione S-transferase 29)
g27112	218					
g27113	626				GO:0015074;GO:0003676	
g27114	107	AT4G20220.1	AT4G20220.1	orthologue	GO:0005739;GO:0003674;GO:0008150;GO:0003964	Reverse transcriptase (RNA-dependent DNA polymerase)
g27115	133					
g27116	228	AT1G10370.1	AT1G10370.1	orthologue	GO:0048527;GO:0080148;GO:0009651;GO:0060416;GO:0004364;GO:0009407;GO:0005737;GO:0009507;GO:0009704;GO:0006749;GO:0005829	Glutathione S-transferase U17 (AtGSTU17) (EC 2.5.1.18) (GST class-tau member 17) (Glutathione S-transferase 30) (Protein EARLY RESPONSIVE TO DEHYDRATION 9)
g27117	305	AT1G10380.1	AT1G10380.1	orthologue	GO:0005576;GO:0030247;GO:0004674;GO:0016020	non-specific serine/threonine protein kinase (EC 2.7.11.1)
g27118	405	AT1G10417.4	AT1G10417.4	orthologue	GO:0009507;GO:0005737;GO:0003674;GO:0016020	RUN/FYVE domain protein
g27119	888				GO:0000118;GO:0000122;GO:0000785;GO:0003714;GO:0006355	
g2712	86	AT2G07800.1	AT2G07800.1	other	GO:0005575;GO:0008150;GO:0003674;;GO:0008270	Transmembrane protein
g27120	1026	AT1G10490.1	AT1G10490.1	orthologue	GO:1904812;GO:1990883;GO:0005634;GO:0000049;GO:0003723;GO:0005730;GO:0106162;GO:0005524;GO:0051391;GO:0051392;GO:0008080;GO:0016072;GO:0016747;GO:0030686	RNA cytidine acetyltransferase 1 (EC 2.3.1.-) (18S rRNA cytosine acetyltransferase 1)
g27121	181	AT1G10500.1	AT1G10500.1	orthologue	GO:0016226;GO:0009570;GO:0030674;GO:0009507;GO:0046872;GO:0051536	Iron-sulfur assembly protein IscA, chloroplastic (Plastid SufA-like protein) (Protein scaffold protein AtCpIscA)
g27122	190	AT1G10590.3	AT1G10590.3	orthologue	GO:0003729;GO:0005886;GO:0005576;GO:0008150	At1g10590/F20B24_1 (Nucleic acid-binding, OB-fold-like protein);Nucleic acid-binding, OB-fold-like protein (T10O24.24)
g27123	223	AT1G10600.1	AT1G10600.1	orthologue	GO:0071108;GO:0016020;GO:0005634;GO:0032511;GO:0061578;GO:0101005;GO:0070536;GO:0140492;GO:0005739;GO:0005768;GO:0006508;GO:0046872;GO:0016579;GO:0005515;GO:0008233;GO:0008237	AMSH-like ubiquitin thioesterase 2 (EC 3.4.19.-) (Deubiquitinating enzyme AMSH2)
g27124	319	AT1G10650.1	AT1G10650.1	orthologue	GO:0005737;GO:0005515;GO:0004842;GO:0008270	Putative S-ribonuclease binding protein SBP1 (RING domain protein) (SBP (S-ribonuclease binding protein) family protein);SBP (S-ribonuclease binding protein) family protein
g27125	118					
g27126	461	AT1G10720.1	AT1G10720.1	orthologue	GO:0003674;GO:0005634	BSD domain-containing protein (T16B5.14 protein)
g27127	1389	AT1G10760.1	AT1G10760.1	orthologue	GO:0009507;GO:0005983;GO:0005515;GO:0050521;GO:0009631;GO:0005739;GO:0009941;GO:0009570;GO:0009610;GO:0003729;GO:0005524;GO:0046872;GO:0016301;GO:0016310	Alpha-glucan water dikinase 1, chloroplastic (EC 2.7.9.4) (Protein starch excess 1) (Protein starch-related R1)
g27128	168	AT1G10770.1	AT1G10770.1	orthologue	GO:0009860;GO:0046910;GO:0030599;GO:0005575;GO:0004857	At1g10770 (Plant invertase/pectin methylesterase inhibitor superfamily protein) (T16B5.9)
g27129	471	AT1G10780.2	AT1G10780.2	orthologue	GO:0009506;GO:0005634;GO:0005515	F-box protein At1g10780;F-box/RNI-like superfamily protein
g2713	265	AT5G15685.1	AT5G15685.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0008270	Mutator transposase MUDRA protein
g27130	531	AT5G35360.3	AT5G35360.3	orthologue	GO:0046872;GO:0003989;GO:2001295;GO:0009507;GO:0009570;GO:0004075;GO:0006633;GO:0009536;GO:0009941;GO:0005524;GO:0016874	Biotin carboxylase (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A);Biotin carboxylase, chloroplastic (EC 6.3.4.14) (Acetyl-coenzyme A carboxylase biotin carboxylase subunit A)
g27131	1176	AT1G10930.1	AT1G10930.1	orthologue	GO:0006310;GO:0006281;GO:0005694;GO:0000724;GO:0006260;GO:0006268;GO:0043138;GO:0006974;GO:0071215;GO:0005737;GO:0051276;GO:0005634;GO:0070417;GO:0009378;GO:0009506;GO:0003677;GO:0005524;GO:0016887;GO:0046872;GO:0003676;GO:0000166;GO:0004386;GO:0032508	ATP-dependent DNA helicase Q-like 4A (EC 5.6.2.4) (DNA 3'-5' helicase RecQ4A) (RecQ-like protein 4A) (AtRecQ4A) (AtRecQl4A) (SGS1-like protein) (AtSGS1)
g27132	291					
g27133	366	AT1G10940.2	AT1G10940.2	other	GO:0009651;GO:0004672;GO:0005829;GO:0005515;GO:0016020;GO:0005576;GO:0080022;GO:0006970;GO:0070300;GO:0004674;GO:0006468;GO:0005886;GO:0016301;GO:0005524;GO:0106310;GO:0005634	Serine/threonine-protein kinase SRK2A (EC 2.7.11.1) (Arabidopsis protein SK1) (OST1-kinase-like 7) (SNF1-related kinase 2.4) (SnRK2.4);non-specific serine/threonine protein kinase (EC 2.7.11.1)
g27134	589	AT1G10950.1	AT1G10950.1	orthologue	GO:0005794;GO:0005797;GO:0005768;GO:0005576;GO:0005802;GO:0045489;GO:0016020;GO:0000137;GO:0005801;GO:0072657;GO:0003674;GO:0000139;GO:0010008	Transmembrane 9 superfamily member 1 (Endomembrane protein 12) (Transmembrane nine protein 1) (AtTMN1)
g27135	202	AT3G09160.1, AT5G03480.1, AT5G03495.1, AT5G05430.2, AT5G53700.1	AT5G03495.1	other	GO:0003676;GO:0008150;GO:0005575;GO:0008143;GO:0003723;GO:0005634;GO:0016607;GO:0005739;GO:0009507;GO:0000381;GO:0003729	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein
g27136	626	AT1G11050.1	AT1G11050.1	orthologue	GO:0016301;GO:0004674;GO:0044024;GO:0006468;GO:0016310;GO:0009507;GO:0005524;GO:0016020;GO:0106310;GO:0004672	Probable receptor-like protein kinase At1g11050 (EC 2.7.11.1)
g27137	859	AT1G11060.1	AT1G11060.1	orthologue	GO:0051177;GO:0006281;GO:0007064;GO:0000070;GO:0045144;GO:0003674;GO:0009793;GO:0045132;GO:0010789;GO:0005739;GO:0005634;GO:0005694;GO:0051301	Wings apart-like protein 1 (AtWAPL1)
g27138	769	AT1G11070.4	AT1G11070.4	orthologue	GO:0003674;GO:0005737;;GO:0003677;GO:0006355	Hydroxyproline-rich glycoprotein family protein
g27139	104					
g2714	491	AT1G18050.1	AT1G18050.1	orthologue	GO:0003723;GO:0005686;GO:0071004;GO:0045292;GO:0071013;GO:0005634	SWAP/surp RNA-binding domain protein
g27140	990	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020;GO:0015074;GO:0003676;GO:0008270	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g27141	111	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g27142	775	AT1G11130.1	AT1G11130.1	orthologue	GO:0005515;GO:0010071;GO:0005524;GO:0005886;GO:0000902;GO:0010063;GO:0048437;GO:0010497;GO:0048367;GO:0004672;GO:0048481;GO:0010305;GO:0007165;GO:0048366;GO:0009506;GO:0010059;GO:0042127;GO:0042802;GO:0048729;GO:0016020;GO:0006468	Leucine-rich repeat protein kinase family protein;Protein STRUBBELIG (Leucine-rich repeat receptor kinase-like protein SUB) (Protein SCRAMBLED)
g27143	69	AT4G17510.1	AT4G17510.1	other	GO:0005737;GO:0004843;GO:0016579;GO:0006511	Ubiquitin carboxyl-terminal hydrolase 3 (EC 3.4.19.12)
g27144	306	AT1G11190.1	AT1G11190.1	orthologue	GO:0004521;GO:0010150;GO:1990238;GO:0004519;GO:0006308;GO:0016891;GO:0000014;GO:0043765;GO:0003676;GO:0005576;GO:0080187;GO:0046872;GO:0016788	Endonuclease 1 (AtENDO1) (EC 3.1.30.1) (Bifunctional nuclease I) (AtBFN1) (Deoxyribonuclease ENDO1) (Single-stranded-nucleate endonuclease ENDO1)
g27145	327	AT1G11200.1	AT1G11200.1	orthologue	GO:0016020;GO:0022857	Organic solute transporter ostalpha protein (DUF300)
g27146	298	AT1G11250.1	AT1G11250.1	other	GO:0016192;GO:0006887;GO:0000149;GO:0006886;GO:0005484;GO:0031201;GO:0048278;GO:0006906;GO:0012505;GO:0061025;GO:0005634;GO:0005886;GO:0016020	Syntaxin-125 (AtSYP125)
g27147	807	AT1G61360.1	AT1G61360.1	other	GO:0005634;GO:0002221;GO:0004674;GO:0005576;GO:0045087;GO:0005516;GO:0048544;GO:0005886;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0006468;GO:0004672	G-type lectin S-receptor-like serine/threonine-protein kinase At1g61360 (EC 2.7.11.1)
g27148	823	AT1G11290.1	AT1G11290.1	orthologue	GO:0004519;GO:0016556;GO:0009507;GO:0003729;GO:0008270;GO:0006397;GO:0003723;GO:0009451;GO:0005515	Pentatricopeptide repeat-containing protein At1g11290, chloroplastic (Protein CHLORORESPIRATORY REDUCTION 22)
g27149	818	AT1G11300.1, AT1G11303.1	AT1G11300.1	orthologue	GO:0004674;GO:0006955;GO:0007165;GO:0005576;GO:0005886;GO:0048544;GO:0005516;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0004672;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase At1g11300 (EC 2.7.11.1);G-type lectin S-receptor-like serine/threonine-protein kinase At1g11303 (EC 2.7.11.1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
g2715	1376	AT3G48430.1	AT3G48430.1	orthologue	GO:1904629;GO:0097355;GO:0046345;GO:0010286;GO:0010104;GO:0009408;GO:0009612;GO:0048366;GO:0010628;GO:0040029;GO:0005634;GO:0071558;GO:0010182;GO:2000028;GO:0048838;GO:0009873;GO:0010468;GO:0009737;GO:0043565;GO:0034647;GO:0009826;GO:0031011;GO:0009627;GO:0009741;GO:0000785;GO:0005515;GO:0010228;GO:0006338;GO:0006355;GO:0008270;GO:0009738;GO:0042803;GO:0051260;GO:1901333;GO:0048580;GO:0032452	Lysine-specific demethylase REF6 (EC 1.14.11.-) (Jumonji domain-containing protein 12) (AtJMJ12) (Protein JUMONJI 12) (Lysine-specific histone demethylase REF6) (Protein ENHANCER OF ETHYLENE INSENSITIVITY 6) (Protein ETHYLENE-INSENSITIVE 6) (Protein RELATIVE OF EARLY FLOWERING 6) ([histone H3]-trimethyl-L-lysine(27) monodemethylase JMJ12) ([histone H3]-trimethyl-L-lysine(36) monodemethylase JMJ12) ([histone H3]-trimethyl-L-lysine(4) monodemethylase JMJ12);Relative of early flowering 6
g27150	558	AT1G11310.1	AT1G11310.1	other	GO:0003674;GO:0005576;GO:0009620;GO:0005886;GO:0009506;GO:0031348;GO:0009507;GO:0005794;GO:0005516;GO:0050832;GO:0006952;GO:0016020	MLO-like protein;MLO-like protein 2 (AtMlo2)
g27151	410	AT1G11320.1	AT1G11320.1	orthologue	GO:0009536;GO:0003674	GDSL esterase/lipase (T28P6.3 protein)
g27152	870	AT1G11340.1	AT1G11340.1	orthologue	GO:0004674;GO:0006955;GO:0005576;GO:0007165;GO:0005886;GO:0048544;GO:0005516;GO:0002229;GO:0005524;GO:0030246;GO:0031625;GO:0106310;GO:0004672;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase RKS1 (EC 2.7.11.1) (Receptor-like protein kinase 1);Receptor-like serine/threonine-protein kinase (EC 2.7.11.1)
g27153	1312	ATMG00300.1	ATMG00300.1	orthologue	GO:0005739;GO:0008150;GO:0003674;GO:0015074;GO:0003676;GO:0008270	Uncharacterized mitochondrial protein AtMg00300 (ORF1451) (ORF145a)
g27154	253	AT1G11380.1	AT1G11380.1	orthologue	GO:0003674;GO:0005737;GO:0016020	At1g11380 (PLAC8 family protein)
g27155	233	AT1G11430.1	AT1G11430.1	orthologue	GO:0042803;GO:0046983;GO:1900865;GO:0009570;GO:0005515;GO:0009941;GO:0016554;GO:0009507;GO:0003729;GO:0006397	Multiple organellar RNA editing factor 9, chloroplastic (RNA editing-interacting protein 9)
g27156	71	AT1G11475.1	AT1G11475.1	orthologue	GO:0008270;GO:0006360;GO:0005665;GO:0001056;GO:0000418;GO:0005736;GO:0001055;GO:0006351;GO:0005634;GO:0003677;GO:0006366;GO:0005666;GO:0042797;GO:0003899;GO:0001054;GO:0000419	DNA-directed RNA polymerases II, IV and V subunit 10 (DNA-directed RNA Polymerase II subunit L)
g27157	915	AT1G11545.1	AT1G11545.1	orthologue	GO:0010411;GO:0042546;GO:0030247;GO:0004553;GO:0005576;GO:0016762;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Probable xyloglucan endotransglucosylase/hydrolase protein 8 (At-XTH8) (XTH-8) (EC 2.4.1.207)
g27158	89	AT1G11572.1	AT1G11572.1	orthologue	GO:0005575;GO:0003674	Plant thionin family protein
g27159	558	AT1G11580.2	AT1G11580.2	orthologue	GO:0005576;GO:0046910;GO:0000325;GO:0045490;GO:0016020;GO:0009505;GO:0030599;GO:0042545;GO:0009617;GO:0030598;GO:0004857;GO:0017148;GO:0031640;GO:0050832;GO:0090729	Pectinesterase (EC 3.1.1.11);Pectinesterase/pectinesterase inhibitor 18 (AtPMEpcrA) [Cleaved into: Pectinesterase inhibitor 18 (Pectin methylesterase inhibitor 18); Bifunctional pectinesterase 18/rRNA N-glycosylase (PE 18) (EC 3.1.1.11) (EC 3.2.2.22) (Pectin methylesterase 18) (Pectin methylesterase 4) (AtPME4) (Ribosome-inactivating protein)]
g2716	98	AT3G48425.1	AT3G48425.1	other	GO:0006284;GO:0004518;GO:0008311;GO:0005634;GO:0008081;GO:0003906;GO:0005730;GO:0006281;GO:0046872	DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-) (APEX1-like protein) (Apurinic-apyrimidinic endonuclease)
g27160	77					
g27161	83	AT4G11670.2	AT4G11670.2	other	GO:0005634;GO:0003674	DNA topoisomerase 4 subunit B (DUF810)
g27162	77					
g27163	510	AT1G11600.1	AT1G11600.1	orthologue	GO:0016709;GO:0006633;GO:0005886;GO:0020037;GO:0071614;GO:0005506;GO:0016020;GO:0004497;GO:0016705	Cytochrome P450 like protein (Cytochrome P450, family 77, subfamily B, polypeptide 1) (F25C20.25 protein) (Putative cytochrome P450)
g27164	1337	AT1G61850.2	AT1G61850.2	orthologue	GO:0009695;GO:0004620;GO:0005783;GO:0005737;GO:0005794;GO:0009620;GO:0005634;GO:0047714;GO:0006631;GO:0009507;GO:0016020;GO:0016042;GO:0047372;GO:0050832;GO:0005515;GO:0006629	Phospholipase A I (AtPLA1) (EC 3.1.1.-);Phospholipase A I-like protein
g27165	346	AT5G62860.1	AT5G62860.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein;Uncharacterized protein At5g62860/MQB2_160
g27166	116	AT1G31510.1, AT1G11620.1, AT1G11608.1	AT1G31510.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0005739	F-box associated ubiquitination effector family protein;Putative F-box/LRR-repeat/kelch-repeat protein At1g11620
g27167	398	AT1G11630.1	AT1G11630.1	orthologue	GO:0005739;GO:0003674;GO:0005515	Pentatricopeptide repeat-containing protein At1g11630, mitochondrial
g27168	507	AT1G11670.1	AT1G11670.1	other	GO:1990961;GO:0022857;GO:0005886;GO:0016020;GO:0042910;GO:0015297;GO:0055085	Protein DETOXIFICATION 36 (AtDTX36) (Multidrug and toxic compound extrusion protein 36) (MATE protein 36)
g27169	531	AT1G11770.1	AT1G11770.1	orthologue	GO:0009507;GO:0071949;GO:0016899;GO:0009505;GO:0005576;GO:0050660;GO:0016491	Berberine bridge enzyme-like 2 (AtBBE-like 2) (EC 1.1.1.-)
g2717	292	AT3G48425.1	AT3G48425.1	orthologue	GO:0006284;GO:0004518;GO:0008311;GO:0005634;GO:0008081;GO:0003906;GO:0005730;GO:0006281;GO:0046872;GO:0003824	DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-) (APEX1-like protein) (Apurinic-apyrimidinic endonuclease)
g27170	638	AT1G62290.1	AT1G62290.1	orthologue	GO:0004190;GO:0099503;GO:0005576;GO:0005634;GO:0071484;GO:0000325;GO:0006629;GO:0006508;GO:0005773	Aspartic proteinase A2 (EC 3.4.23.-) (Aspartic protease 57) (AtASP57);Saposin-like aspartyl protease family protein
g27171	311					
g27172	190					
g27173	650				GO:0000723;GO:0003678;GO:0006281	
g27174	83	AT2G35920.3	AT2G35920.3	other	GO:0003724;GO:0140891;GO:0005634;GO:0003723;GO:0003729;GO:0004386;GO:0005829;GO:0003676;GO:0005524;GO:0016787;GO:0016887	DExH-box ATP-dependent RNA helicase DExH1 (EC 3.6.4.13);RNA helicase (EC 3.6.4.13)
g27175	225	AT5G28780.1	AT5G28780.1	orthologue	GO:0006260;GO:0005657;GO:0032508;GO:0005634;GO:0004386	PIF1 helicase
g27176	997				GO:0000723;GO:0003678;GO:0006281	
g27177	229	AT2G04920.1, AT3G22350.1, AT3G22710.1, AT3G22720.1, AT3G22700.1, AT3G23633.1, AT3G22730.1	AT3G22720.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0006511;;GO:0005515	F-box and associated interaction domains-containing protein;F-box associated ubiquitination effector family protein;F-box protein At3g22350;F-box protein At3g22700;Probable F-box protein At3g22720;Putative F-box only protein 9;Putative F-box protein At3g22710;Putative F-box/kelch-repeat protein At3g22730
g27178	381	AT1G11940.1	AT1G11940.1	orthologue	GO:0005794;GO:0005739;GO:0016757;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (Glycosyltransferase)
g27179	856	AT1G11950.1	AT1G11950.1	orthologue	GO:0048188;GO:0032454;GO:0005634;GO:0031490;GO:0000118;GO:0006357;GO:0003712;GO:0000785;GO:0008270;GO:0016491	Lysine-specific demethylase JMJ26 (EC 1.14.11.-) (Jumonji domain-containing protein 26) (AtJMJ26) (Protein JUMONJI 26) (Lysine-specific histone demethylase JMJ26) ([histone H3]-trimethyl-L-lysine monodemethylase JMJ26);Transcription factor jumonji (JmjC) domain-containing protein
g2718	646	AT3G48380.3	AT3G48380.3	orthologue	GO:0009507;GO:0071567;GO:0006508;GO:0008234;GO:0019783	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2;Probable Ufm1-specific protease;Probable Ufm1-specific protease (UfSP) (EC 3.4.22.-)
g27180	748	AT1G62390.1	AT1G62390.1	orthologue	GO:0005634;GO:0010494;GO:0003729;GO:0005737;GO:0005515	Protein CLMP1 (CLUMPED CHLOROPLASTS 1) (Protein MADB2) (Protein PHOX2) (Putative myosin adapter B2)
g27181	567	AT1G12000.1	AT1G12000.1	orthologue	GO:0047334;GO:0005524;GO:0006002;GO:0009505;GO:0015979;GO:0009749;GO:0010318;GO:0005737;GO:0005829;GO:0003872;GO:0046872;GO:0006096;GO:0008443	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase subunit beta 1 (PFP 1) (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent 1) (PPi-PFK 1) (Pyrophosphate-dependent 6-phosphofructose-1-kinase 1)
g27182	111	AT1G12064.1	AT1G12064.1	orthologue	GO:0003674;GO:0005576	Transmembrane protein
g27183	224	AT1G12070.1	AT1G12070.1	orthologue	GO:0007266;GO:0005737;GO:0005829;GO:0005094;GO:0016020;GO:0005515	At1g12070 (F12F1.5 protein) (Immunoglobulin E-set superfamily protein) (Rho GDP-dissociation inhibitor 2b)
g27184	364					
g27185	347				GO:0003676;GO:0008270	
g27186	590	AT1G12110.1	AT1G12110.1	orthologue	GO:0048527;GO:0009414;GO:0015706;GO:0055085;GO:0048573;GO:0006857;GO:0016020;GO:0005515;GO:0010167;GO:0015112;GO:0005886;GO:0010540;GO:0009635;GO:0009734;GO:0015293;GO:0042128;GO:0022857	Protein NRT1/ PTR FAMILY 6.3 (AtNPF6.3) (Nitrate transporter 1.1) (AtNRT1) (Nitrate/chlorate transporter) (Protein CHLORINA 1)
g27187	973	AT1G12150.1	AT1G12150.1	orthologue	GO:0009904;GO:0009903;GO:0005829;GO:0003674;	WEB family protein At1g12150
g27188	445	AT1G12420.1	AT1G12420.1	orthologue	GO:0009737;GO:0016597;GO:0005575	ACT domain-containing protein ACR (Protein ACT DOMAIN REPEATS);ACT domain-containing protein ACR8 (Protein ACT DOMAIN REPEATS 8)
g27189	886	AT1G12460.1	AT1G12460.1	orthologue	GO:0044024;GO:0016301;GO:0004672;GO:0005515;GO:0009507;GO:0006468;GO:0004674;GO:0005524;GO:0016020;GO:0005886;GO:0106310;GO:0033612	Leucine-rich repeat protein kinase family protein;Probable LRR receptor-like serine/threonine-protein kinase At1g12460 (EC 2.7.11.1)
g2719	71	AT3G48360.1	AT3G48360.1	orthologue	GO:0009753;GO:0009734;GO:0009409;GO:0032204;GO:0009611;GO:0009737;GO:0009738;GO:0005515;GO:0009733;GO:0005737;GO:0010182;GO:0003700;GO:0042542;GO:0009651;GO:0009553;GO:0007623;GO:0005516;GO:0009751;GO:0016567;GO:0005634;GO:0009743;GO:0006355;GO:0010167;GO:0009555;GO:0008270;GO:0009725	BTB and TAZ domain protein 2;BTB/POZ and TAZ domain-containing protein 2 (BTB and TAZ domain protein 2)
g27190	188	AT1G12530.1	AT1G12530.1	orthologue	GO:0050776;GO:0005515;GO:0005634	Uncharacterized protein
g27191	142	AT4G21740.1	AT4G21740.1	orthologue	GO:0005739;GO:0003674;GO:0016020	At4g21740 (Transmembrane protein)
g27192	211	AT1G12610.1	AT1G12610.1	orthologue	GO:0000976;GO:0043565;GO:0006355;GO:0050826;GO:0003700;GO:0051510;GO:0010371;GO:0048510;GO:0009408;GO:0005634;GO:0009651;GO:0019760;GO:0009414;GO:0003677	Dehydration-responsive element-binding protein 1F (Protein DREB1F)
g27193	123	AT1G12660.1	AT1G12660.1	orthologue	GO:0003674;GO:0005576;GO:0006952	Thionin-like protein;Thionin-like protein 1
g27194	551	AT1G12770.1	AT1G12770.1	orthologue	GO:0003724;GO:0009663;GO:0010497;GO:0009507;GO:0003729;GO:0005739;GO:0009793;GO:0003723;GO:0005524;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 47, mitochondrial (EC 3.6.4.13) (Protein EMBRYO DEFECTIVE 1586) (Protein INCREASED SIZE EXCLUSION LIMIT 1)
g27195	739	AT1G12800.1	AT1G12800.1	orthologue	GO:0009507;GO:0003729;GO:0019843;GO:0034337;GO:1901259;GO:0005576;GO:0003676	Nucleic acid-binding, OB-fold-like protein (Putative heat shock factor protein hsf8)
g27196	345	AT5G62860.1	AT5G62860.1	orthologue	GO:0005634;GO:0008150;GO:0003674;;GO:0005515	F-box associated ubiquitination effector family protein;Uncharacterized protein At5g62860/MQB2_160
g27197	76	AT1G12800.1	AT1G12800.1	orthologue	GO:0009507;GO:0003729;GO:0019843;GO:0034337;GO:1901259;GO:0005576	Nucleic acid-binding, OB-fold-like protein (Putative heat shock factor protein hsf8)
g27198	183	AT1G12830.1	AT1G12830.1	orthologue	GO:0003674;GO:0005634	F13K23.8 protein (Nucleolin)
g27199	107					
g272	717	AT5G63800.1	AT5G63800.1	orthologue	GO:0009827;GO:0009505;GO:0048354;GO:0048046;GO:0019388;GO:0009536;GO:0004565;GO:0005975;GO:0005576;GO:0005773;GO:0004553	Beta-galactosidase 6 (Lactase 6) (EC 3.2.1.23)
g2720	216	AT5G15685.1	AT5G15685.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0008270	Mutator transposase MUDRA protein
g27200	244	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g27201	242	ATMG00240.1	ATMG00240.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005739;GO:0003676;GO:0015074	Uncharacterized mitochondrial protein AtMg00240 (ORF111a)
g27202	225					
g27203	215					
g27204	351	AT1G12855.1	AT1G12855.1	orthologue	GO:0004842;GO:0005634;GO:0031146	Putative F-box protein At1g12855
g27205	200	AT1G12880.1	AT1G12880.1	orthologue	GO:0005737;GO:0005634;GO:0016462;GO:0005739;GO:0046872;GO:0016787	Nudix hydrolase 12, mitochondrial (AtNUDT12) (EC 3.6.1.-)
g27206	96					
g27207	1001	AT1G12930.1	AT1G12930.1	orthologue	GO:0006606;GO:0003674;GO:0005737	ARM repeat superfamily protein
g27208	263	AT1G13060.2, AT3G26340.1	AT3G26340.1	orthologue	GO:0043161;GO:0019774;GO:0004175;GO:0000502;GO:0051603;GO:0005634;GO:0005829;GO:0006511;GO:0005839;GO:0005576;GO:0004298;GO:0005737	Proteasome subunit beta type-5-A (EC 3.4.25.1) (20S proteasome beta subunit E-1) (Proteasome component E) (Proteasome epsilon-1 chain);Proteasome subunit beta type-5-B (EC 3.4.25.1) (20S proteasome beta subunit E-2) (Proteasome epsilon-2 chain);proteasome endopeptidase complex (EC 3.4.25.1)
g27209	191	AT1G13110.1	AT1G13110.1	other	GO:0016705;GO:0009507;GO:0005506;GO:0020037;GO:0004497;GO:0016020	Cytochrome P450 71B7 (EC 1.14.-.-)
g2721	187	AT1G18050.1, AT3G30370.1, AT5G15685.1	AT5G15685.1	other	GO:0003723;GO:0005686;GO:0071004;GO:0045292;GO:0071013;GO:0005634;GO:0003674;GO:0008150	MuDR family transposase;Mutator transposase MUDRA protein;SWAP/surp RNA-binding domain protein
g27210	265	AT1G13195.1	AT1G13195.1	orthologue	GO:0061630;GO:0016567;GO:0005634;GO:0008270	At1g13195 (F3F19.22 protein) (RING/U-box superfamily protein);RING/U-box superfamily protein
g27211	204					
g27212	1170	AT1G13210.1	AT1G13210.1	orthologue	GO:0000287;GO:0005886;GO:0045332;GO:0140326;GO:0005739;GO:0015914;GO:0015662;GO:1901703;GO:0016887;GO:0005524;GO:0016020;GO:0000166;GO:0005215	Probable phospholipid-transporting ATPase 11 (AtALA11) (EC 7.6.2.1) (Aminophospholipid flippase 11)
