Alyssum_gmelinii	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Ag004G370190	371					
Ag004G370230	397	AT1G65570.1	AT1G65570.1	orthologue	GO:0005576;GO:0004650;GO:0048046;GO:0009506;GO:0005975;GO:0048829;GO:0016829;GO:0071555	F5I14.10 (Pectin lyase-like superfamily protein) (Polygalacturonase/pectinase)
Ag004G370310	365	AT1G59970.1	AT1G59970.1	orthologue	GO:0050832;GO:0030574;GO:0005576;GO:0004222;GO:0016020;GO:0031012;GO:0030198;GO:0008270;GO:0005886;GO:0006508;GO:0098552;GO:0008237	Metalloendoproteinase 5-MMP (At5-MMP) (EC 3.4.24.-)
Ag004G370330	244	AT1G13650.1	AT1G13650.1	orthologue	GO:0005634;GO:0003674;GO:0009786	At1g13650;F21F23.9
Ag004G370340	14					
Ag004G370350	416	AT1G59980.1	AT1G59980.1	orthologue	GO:0005737;GO:0003674;GO:0009737;GO:0016020	ARG1-like 2;Chaperone protein dnaJ 39 (AtDjC39) (AtJ39) (Protein ARG1-LIKE 2) (AtARL2)
Ag004G370360	225	AT1G53345.1	AT1G53345.1	orthologue	GO:0003674;GO:0005575	DHHA1 domain protein
Ag004G370420	573	AT1G59990.1	AT1G59990.1	orthologue	GO:0003729;GO:0003676;GO:0005576;GO:0009507;GO:0008150;GO:0003724;GO:0003723;GO:0005524;GO:0016787;GO:0016887	DEAD-box ATP-dependent RNA helicase 22 (EC 3.6.4.13);RNA helicase (EC 3.6.4.13)
Ag004G370430	269	AT4G17700.1	AT4G17700.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein At4g17700
Ag004G370460	244	AT1G60000.1	AT1G60000.1	orthologue	GO:0009507;GO:1901259;GO:0003729;GO:0005739;GO:0006397;GO:1990904;GO:0003723;GO:0003676;GO:0009535	AT1G60000 protein (Nucleic acid-binding protein, putative) (Putative nucleic acid-binding protein) (RNA-binding (RRM/RBD/RNP motifs) family protein) (T2K10.5 protein);RNA-binding (RRM/RBD/RNP motifs) family protein
Ag004G370470	383	AT4G23120.1, AT2G25120.1	AT4G23120.1	orthologue	GO:0003682;GO:0008150;GO:0005634;GO:0001217;GO:0016020;GO:0045814;GO:0140566;GO:0006351	Bromo-adjacent homology (BAH) domain-containing protein
Ag004G370490	158	AT1G60010.1	AT1G60010.1	orthologue	GO:0009620;GO:0005634;GO:0003674	D-ribose-binding periplasmic protein (T2K10.6 protein)
Ag004G370520	173					
Ag004G370530	536	AT1G60030.1	AT1G60030.1	orthologue	GO:0009506;GO:0005886;GO:0022857;GO:0055085;GO:0016020	Nucleobase-ascorbate transporter 7 (AtNAT7)
Ag004G370540	373	AT1G60050.1	AT1G60050.1	orthologue	GO:0005886;GO:0022857;GO:0016020	WAT1-related protein At1g60050
Ag004G370680	366	AT1G60060.1	AT1G60060.1	orthologue	GO:0005634;GO:0003674;GO:0008150;GO:0005576;GO:0003677;GO:0016301	Serine/threonine-protein kinase WNK (With No Lysine)-like protein;Serine/threonine-protein kinase WNK (With No Lysine)-like protein (T2K10.11 protein)
Ag004G370700	869	AT1G60070.2	AT1G60070.2	orthologue	GO:0030121;GO:0016192;GO:0035615;GO:0006886;GO:0006896;GO:0005794;GO:0030117	AP-1 complex subunit gamma;AP-1 complex subunit gamma-2 (Adaptor protein complex AP-1 large subunit gamma-2) (Adaptor-related protein complex 1 subunit gamma-2) (Clathrin assembly protein complex 1 gamma-2 large chain) (Gamma-adaptin 2)
Ag004G370770	311	AT1G60080.1	AT1G60080.1	orthologue	GO:0071028;GO:0071035;GO:0034475;GO:0000178;GO:0000176;GO:0034476;GO:0000177;GO:0016075;GO:0000467;GO:0006396;GO:0006401;GO:0071038;GO:0035925;GO:0034473;GO:0005737;GO:0003674;GO:0005730;GO:0034427;GO:0043928	Ribosomal RNA-processing protein 43
Ag004G370800	172	AT1G33970.1	AT1G33970.1	orthologue	GO:1900425;GO:0005515;GO:0005739;GO:0005886;GO:0005525	Immune-associated nucleotide-binding protein 9 (AtIAN9) (AIG1-like protein)
Ag004G370940	343	AT3G24270.1	AT3G24270.1	orthologue	GO:0010608;GO:0005737;GO:0005739;GO:0003729;GO:0003723;GO:0006417	Putative pumilio homolog 25 (APUM-25) (AtPUM25)
Ag004G370950	343	AT3G24270.1	AT3G24270.1	orthologue	GO:0010608;GO:0005737;GO:0005739;GO:0003729;GO:0003723;GO:0006417	Putative pumilio homolog 25 (APUM-25) (AtPUM25)
Ag004G371000	250					
Ag004G371060	343	AT3G24270.1	AT3G24270.1	orthologue	GO:0010608;GO:0005737;GO:0005739;GO:0003729;GO:0003723;GO:0006417	Putative pumilio homolog 25 (APUM-25) (AtPUM25)
Ag004G371070	343	AT3G24270.1	AT3G24270.1	orthologue	GO:0010608;GO:0005737;GO:0005739;GO:0003729;GO:0003723;GO:0006417	Putative pumilio homolog 25 (APUM-25) (AtPUM25)
Ag004G371100	94					
Ag004G371170	861	AT1G60140.1	AT1G60140.1	orthologue	GO:0005737;GO:0003824;GO:0016757;GO:0005992;GO:0004805;GO:0005829	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 10 (EC 2.4.1.15) (Trehalose-6-phosphate synthase 10) (AtTPS10);alpha,alpha-trehalose-phosphate synthase (UDP-forming) (EC 2.4.1.15)
Ag004G371180	827	AT1G60160.1	AT1G60160.1	orthologue	GO:0048825;GO:0015079;GO:0006813;GO:0016020;GO:0005739;GO:0071805;GO:0005634;GO:0005886	Putative potassium transporter 12 (AtPOT12)
Ag004G371200	484	AT1G60170.1	AT1G60170.1	other	GO:0000398;GO:0046540;GO:0006346;GO:0000244;GO:0008380;GO:0005515;GO:0005687;GO:0070417;GO:0009793;GO:0097526;GO:0005634;GO:0009409;GO:0009845;GO:0015030;GO:0071011;GO:0003723;GO:0005681	U4/U6 small nuclear ribonucleoprotein Prp31 homolog (Pre-mRNA-processing factor 31 homolog) (Protein EMBRYO DEFECTIVE 1220)
Ag004G371220	691	AT1G60190.1	AT1G60190.1	orthologue	GO:0009507;GO:0016567;GO:0005634;GO:0005737;GO:0010029;GO:0004842;GO:0005515	U-box domain-containing protein 19 (EC 2.3.2.27) (Plant U-box protein 19) (RING-type E3 ubiquitin transferase PUB19)
Ag004G371230	896	AT1G60200.1	AT1G60200.1	orthologue	GO:0009737;GO:0048024;GO:0005634;GO:0009414;GO:0006397;GO:0003674;GO:0003723;GO:0008380;GO:0009738;GO:0003676	RNA-binding motif protein 25;Splicing factor PWI domain-containing protein / RNA recognition motif (RRM)-containing protein
Ag004G371280	287	AT3G20070.1	AT3G20070.1	orthologue	GO:0003674;GO:0009960;GO:0005739;GO:0009793;GO:0003006	Titan9
Ag004G371290	98	AT5G46570.1	AT5G46570.1	other	GO:0004674;GO:0009742;GO:0005886;GO:0005634;GO:0005524;GO:0106310;GO:0004672	Serine/threonine-protein kinase BSK2 (EC 2.7.11.1) (Brassinosteroid-signaling kinase 2)
Ag004G371300	545	AT3G20050.1	AT3G20050.1	orthologue	GO:0006457;GO:0016887;GO:0051082;GO:0005829;GO:0140662;GO:0005737;GO:0005832;GO:0005524	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin CCT1)
Ag004G371390	287	AT3G20070.1	AT3G20070.1	orthologue	GO:0003674;GO:0009960;GO:0005739;GO:0009793;GO:0003006	Titan9
Ag004G371410	545	AT3G20050.1	AT3G20050.1	orthologue	GO:0006457;GO:0016887;GO:0051082;GO:0005829;GO:0140662;GO:0005737;GO:0005832;GO:0005524	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin CCT1)
Ag004G371420	200	AT1G53210.1	AT1G53210.1	other	GO:0000325;GO:0016020;GO:0070588;GO:0055074;GO:0005509;GO:0005774;GO:0005773;GO:0009507;GO:0071472;GO:0006874;GO:0003729;GO:0015369;GO:0005432;GO:0009506;GO:0005886;GO:0006812;GO:0008324	Sodium/calcium exchanger NCL (Na(+)/Ca(2+)-exchange protein NCL) (Protein NCX-like) (AtNCL)
Ag004G371450	304	AT2G20410.1	AT2G20410.1	orthologue	GO:0005739;GO:0003674	Expressed protein (RNA-binding ASCH domain protein)
Ag004G371470	586	AT2G10625.1, AT1G60220.1	AT1G60220.1	orthologue	GO:0005739;GO:0008150;GO:0016929;GO:0005634;GO:0006508;GO:0016926;GO:0070139;GO:0010228;GO:0009651;GO:0016607;GO:0008233;GO:0008234	Ubiquitin-like-specific protease 1D (EC 3.4.22.-) (Protein OVERLY TOLERANT TO SALT 1);Ulp1 protease family, carboxy-terminal catalytic domain protein
Ag004G371480	455	AT1G60230.1	AT1G60230.1	orthologue	GO:0030488;GO:0070475;GO:0008173;GO:0009507;GO:0005737;GO:0046872;GO:0051539;GO:0003824;GO:0051536;GO:0006364	Radical SAM superfamily protein
Ag004G371490	203	AT1G60250.1	AT1G60250.1	orthologue	GO:0005576;GO:0005515;GO:0006355;GO:0008270;GO:0003700	B-box zinc finger family protein (T13D8.14 protein)
Ag004G371510	318	AT1G60280.1, AT1G60380.1, AT1G60340.1, AT1G60300.1, AT1G60350.1	AT1G60350.1	orthologue	GO:0003700;GO:0003677;GO:0006355;GO:0005634;GO:0000976;GO:0005575	Apical meristem formation protein-related (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein) (T13D8.18 protein);Apical meristem formation protein-related (NAC (No Apical Meristem) domain transcriptional regulator superfamily protein) (T13D8.25 protein);At1g60280 (NAC domain containing protein 23) (T13D8.17 protein);NAC (No Apical Meristem) domain transcriptional regulator superfamily protein (T13D8.21 protein);NAC domain containing protein 24 (T13D8.22 protein)
Ag004G371520	103	AT5G39900.1	AT5G39900.1	other	GO:0009507;GO:0045727;GO:0097177;GO:0005739;GO:0003924;GO:0005525;GO:0005743;GO:0005759;GO:0006412;GO:0043022	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)
Ag004G371530	133					
Ag004G371540	608	AT1G60390.1	AT1G60390.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0048046	Polygalacturonase 1 beta-like protein 2 (AtPGL2) (Aromatic-rich glycoprotein At1g60390) (PG1beta-like protein 2) (Polygalacturonase 1) (Probable polygalacturonase non-catalytic subunit At1g60390)
Ag004G371560	1021	AT1G56120.1	AT1G56120.1	other	GO:0045088;GO:0016310;GO:0004672;GO:0005515;GO:0044024;GO:0004674;GO:0005886;GO:0006468;GO:0016301;GO:0005524;GO:0016020	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Ag004G371590	72					
Ag004G371640	501	AT1G51340.2	AT1G51340.2	other	GO:0015746;GO:0055085;GO:0005886;GO:0010044;GO:0035618;GO:0015137;GO:0042910;GO:0015297;GO:0034220;GO:0016020	MATE efflux family protein;Protein DETOXIFICATION 42 (AtDTX42) (Aluminum-activated citrate transporter) (AtMATE) (FRD-like protein) (Multidrug and toxic compound extrusion protein 42) (MATE protein 42)
Ag004G371680	583	AT1G60420.1	AT1G60420.1	orthologue	GO:0080092;GO:0009860;GO:0004791;GO:0005634;GO:0010183;GO:0005829	Probable nucleoredoxin 1 (AtNrx1) (EC 1.8.1.8)
Ag004G371690	174	AT1G60430.1	AT1G60430.1	orthologue	GO:0005885;GO:0005515;GO:0007015;GO:0051015;GO:0005737;GO:0030833;GO:0034314;GO:0003779;GO:0042995;GO:0005856	Actin-related protein 2/3 complex subunit 3 (Actin-related protein C3) (Arp2/3 complex 21 kDa subunit) (p21-ARC);Actin-related protein C3
Ag004G371710	324	AT5G46550.1	AT5G46550.1	orthologue	GO:0005634;GO:0003674	Transcription factor GTE12 (Bromodomain-containing protein GTE12) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E12)
Ag004G371730	382	AT1G60440.1	AT1G60440.1	orthologue	GO:0015937;GO:0004594;GO:0005524;GO:0005737;GO:0005634;GO:0005829	Pantothenate kinase 1 (AtPANK1) (EC 2.7.1.33) (AtCoaA) (Pantothenic acid kinase 1);pantothenate kinase (EC 2.7.1.33)
Ag004G371790	510	AT3G25280.1	AT3G25280.1	other	GO:0055085;GO:0022857;GO:0016020	Protein NRT1/ PTR FAMILY 4.2 (AtNPF4.2) (Protein ABA-IMPORTING TRANSPORTER 4)
Ag004G371820	462	AT1G60460.1	AT1G60460.1	orthologue	GO:0007131;GO:0065003;GO:0048235;GO:0000793;GO:0042138;GO:0005737;GO:0005515;GO:0048314;GO:0009507;GO:0030674;GO:0005634;GO:0003918	Type 2 DNA topoisomerase 6 subunit B-like (Meiotic topoisomerase VIB-like) (AtMTOPVIB);Uncharacterized protein
Ag004G371830	334	AT1G60470.1	AT1G60470.1	orthologue	GO:0006979;GO:0006012;GO:0005634;GO:0016757;GO:0047216;GO:0005737;GO:0046872	Galactinol synthase 4 (AtGolS4) (GolS-4) (EC 2.4.1.123)
Ag004G371850	191	AT1G10630.1	AT1G10630.1	orthologue	GO:0006886;GO:0006499;GO:0003729;GO:0016004;GO:0005886;GO:0005794;GO:0005525;GO:0005507;GO:0005576;GO:0016192;GO:0005829;GO:0000325;GO:0005737;GO:0003924	ADP-ribosylation factor
Ag004G371860	122	AT5G51360.1, AT3G50373.1	AT5G51360.1	orthologue	GO:0008150;GO:0003674;GO:0005739;GO:0003746;GO:0005634	Transcription elongation factor (TFIIS) family protein
Ag004G371870	813	AT1G60490.1	AT1G60490.1	orthologue	GO:0034271;GO:2000214;GO:0036092;GO:0072593;GO:0030242;GO:0016303;GO:0005777;GO:0009617;GO:0009751;GO:0034272;GO:0016020;GO:0006897;GO:0005942;GO:0005737;GO:0000045;GO:1900426;GO:0009651;GO:0090333;GO:0005768;GO:0005515;GO:1902074;GO:0006521;GO:0055046;GO:0048015;GO:0000407;GO:0005794;GO:0005524;GO:0016301;GO:0046854;GO:0052742	Phosphatidylinositol 3-kinase VPS34 (EC 2.7.1.137) (PI3-kinase VPS34) (AtVPS34) (PI3K VPS34) (PtdIns-3-kinase VSP34)
Ag004G371880	673	AT1G60500.1	AT1G60500.1	other	GO:0008017;GO:0005874;GO:0016020;GO:0005737;GO:0008150;GO:0003924;GO:0005525	Dynamin-related protein 4C
Ag004G371890	671	AT1G60530.1	AT1G60530.1	orthologue	GO:0003924;GO:0008150;GO:0005737;GO:0005525;GO:0005874;GO:0008017;GO:0016020	Putative dynamin-related protein 4A
Ag004G371940	600	AT1G60500.1, AT1G60530.1	AT1G60500.1	other	GO:0003924;GO:0008150;GO:0005737;GO:0008017;GO:0005874;GO:0016020;GO:0005525	Dynamin-related protein 4C;Putative dynamin-related protein 4A
Ag004G371950	650	AT1G60500.1, AT1G60530.1	AT1G60500.1	other	GO:0003924;GO:0008150;GO:0005737;GO:0008017;GO:0005874;GO:0016020;GO:0005525	Dynamin-related protein 4C;Putative dynamin-related protein 4A
Ag004G371960	505	AT1G45191.1	AT1G45191.1	orthologue	GO:0005886;GO:0005975;GO:0008422;GO:0004553;GO:0016020	Beta-glucosidase 1 (AtBGLU1) (EC 3.2.1.21);beta-glucosidase (EC 3.2.1.21)
Ag004G371970	331	AT1G60550.1	AT1G60550.1	orthologue	GO:0042372;GO:0005739;GO:0009234;GO:0005777;GO:0008935;GO:0005829;GO:0016853;GO:0003824	1,4-dihydroxy-2-naphthoyl-CoA synthase, peroxisomal (DHNS) (EC 4.1.3.36) (Enoyl-CoA hydratase/isomerase D) (ECHID) (Naphthoate synthase)
Ag004G372010	206	AT2G07290.1	AT2G07290.1	orthologue	GO:0003674;GO:0008150;GO:0005739;;GO:0006508;GO:0008234	Uncharacterized protein At2g07290
Ag004G372020	317	AT5G46550.1	AT5G46550.1	orthologue	GO:0005634;GO:0003674	Transcription factor GTE12 (Bromodomain-containing protein GTE12) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E12)
Ag004G372040	341	AT2G42550.1	AT2G42550.1	orthologue	GO:0004672;GO:0005575;GO:0005524;GO:0007165;GO:0016310;GO:0006468	Protein kinase superfamily protein
Ag004G372050	123	AT5G51360.1, AT3G50373.1	AT5G51360.1	orthologue	GO:0008150;GO:0003674;GO:0005739;GO:0003746;GO:0005634	Transcription elongation factor (TFIIS) family protein
Ag004G372070	342	AT1G60710.1	AT1G60710.1	orthologue	GO:0005737;GO:0004033;GO:0005829;GO:0005634;GO:0016491	Probable aldo-keto reductase 4 (EC 1.1.1.-)
Ag004G372080	152	AT5G60820.1	AT5G60820.1	orthologue	GO:0006511;GO:0005634;GO:0061630;GO:0008270;GO:0016567	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
Ag004G372110	11					
Ag004G372120	710	AT1G60560.1	AT1G60560.1	orthologue	GO:0008270;GO:0005634	At1g60560/F8A5_10 (SWIM zinc finger family protein);SWIM zinc finger family protein
Ag004G372180	526	AT1G60590.1	AT1G60590.1	orthologue	GO:0004650;GO:0005975;GO:0005576;GO:0016829;GO:0071555	Pectin lyase-like superfamily protein (Putative polygalacturonase)
Ag004G372300	378	AT1G60600.2	AT1G60600.2	orthologue	GO:0005886;GO:0042372;GO:0009772;GO:0010236;GO:0004659;GO:0046428;GO:0032194;GO:0009507;GO:0031969;GO:0016020;GO:0016765;GO:0042371	2-carboxy-1,4-naphthoquinone phytyltransferase, chloroplastic (EC 2.5.1.130) (1,4-dihydroxy-2-naphthoate phytyltransferase) (1,4-dihydroxy-2-naphthoate polyprenyltransferase) (Protein ABERRANT CHLOROPLAST DEVELOPMENT 4) (menA-like protein) (AtMENA)
Ag004G372350	70					
Ag004G372360	371					
Ag004G372370	263				GO:0003676;GO:0004523	
Ag004G372380	687	AT1G60500.1, AT1G60530.1	AT1G60500.1	other	GO:0003924;GO:0008150;GO:0005737;GO:0008017;GO:0005874;GO:0016020;GO:0005525	Dynamin-related protein 4C;Putative dynamin-related protein 4A
Ag004G372450	754				GO:0009507	
Ag004G372460	144	AT1G21450.1	AT1G21450.1	other	GO:0005634;GO:0000976;GO:0003700;GO:0006355;GO:0043565	Scarecrow-like protein 1 (AtSCL1) (GRAS family protein 4) (AtGRAS-4)
Ag004G372510	651	AT1G60630.1	AT1G60630.1	orthologue	GO:0004672;GO:0016310;GO:0016301;GO:0009507;GO:0005524;GO:0005886;GO:0006468;GO:0005515	Inactive leucine-rich repeat receptor-like serine/threonine-protein kinase At1g60630
Ag004G372520	257	AT1G60640.1	AT1G60640.1	orthologue	GO:0005634;GO:0008150;GO:0003674	Stress response protein
Ag004G372530	344	AT1G60650.1	AT1G60650.1	orthologue	GO:0048026;GO:0009414;GO:0005737;GO:0005634;GO:0009409;GO:0045892;GO:0003676;GO:0003729;GO:0016607;GO:0008270;GO:0003677;GO:0003723	Glycine-rich RNA-binding protein RZ1B (AtRZ-1a);RNA-binding (RRM/RBD/RNP motifs) family protein with retrovirus zinc finger-like domain-containing protein
Ag004G372540	118	AT1G60660.1	AT1G60660.1	orthologue	GO:0005739;GO:0020037;GO:0043231;GO:0016020;GO:0046872	Cytochrome B5-like protein (AtCb5LP) (Cytochrome b5 isoform F) (AtCb5-F)
Ag004G372550	458	AT4G05320.2	AT4G05320.2	other	GO:0031386;GO:0009751;GO:0019941;GO:0005634;GO:0016567;GO:0005737;GO:0031625;GO:0003729;GO:0005829;GO:0005515	AT4g05320/C17L7_240 (Polyubiquitin 10);Polyubiquitin (Ubiquitin 11);Polyubiquitin 10 [Cleaved into: Ubiquitin]
Ag004G372580	413	AT5G46550.1	AT5G46550.1	orthologue	GO:0005634;GO:0003674;GO:0005515	Transcription factor GTE12 (Bromodomain-containing protein GTE12) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E12)
Ag004G372590	571	AT2G12550.1	AT2G12550.1	orthologue	GO:0003674;GO:2000058;GO:0005634;GO:0031593;GO:0005515	At2g12550 (Ubiquitin-associated (UBA)/TS-N domain-containing protein)
Ag004G372610	24	AT5G07950.1	AT5G07950.1	other	GO:0008150;GO:0003674;GO:0009507	Uncharacterized protein
Ag004G372630	251	AT1G60670.2	AT1G60670.2	orthologue	GO:0003674;GO:0005634	F8A5.19 protein;Uncharacterized protein;Uncharacterized protein At1g60670
Ag004G372640	387	AT1G19930.1, AT1G60570.1, AT1G77880.1, AT4G05620.1, AT4G39550.1, AT4G39560.1, AT4G39570.1, AT4G39580.1, AT5G49000.2	AT5G49000.2	other	GO:0003674;GO:0005737;GO:0008150;GO:0009507;GO:0005739;GO:0005634;GO:0005515;GO:0016567	F-box/kelch-repeat protein At4g39550;F-box/kelch-repeat protein At4g39560;F-box/kelch-repeat protein At4g39570;F-box/kelch-repeat protein At4g39580;F-box/kelch-repeat protein At5g49000;Galactose oxidase/kelch repeat superfamily protein;Putative F-box protein At1g77880;Putative F-box protein At4g05620;Putative F-box/kelch-repeat protein At1g19930;Putative F-box/kelch-repeat protein At1g60570
Ag004G372650	534	AT2G01050.1	AT2G01050.1	other	GO:0005634;GO:0008150;GO:0003674	Zinc ion binding / nucleic acid binding protein
Ag004G372680	345	AT1G60710.1	AT1G60710.1	orthologue	GO:0005737;GO:0004033;GO:0005829;GO:0005634;GO:0016491	Probable aldo-keto reductase 4 (EC 1.1.1.-)
Ag004G372690	189	AT5G35320.1	AT5G35320.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0004497	DBH-like monooxygenase (T26D22.2 protein)
Ag004G372720	69	AT4G30210.3	AT4G30210.3	other	GO:0009698;GO:0010181;GO:0005783;GO:0003958;GO:0009507;GO:0005886;GO:0005829;GO:0050660;GO:0005789;GO:0050661;GO:0016491	NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4);NADPH--cytochrome P450 reductase 2 (CPR 2) (P450R 2) (EC 1.6.2.4)
Ag004G372760	170	AT1G60760.1	AT1G60760.1	orthologue	GO:0005575;GO:0004857;GO:0043086	F8A5.27 protein (Plant invertase/pectin methylesterase inhibitor superfamily protein)
Ag004G372770	491	AT1G60770.1	AT1G60770.1	orthologue	GO:0005739;GO:0003729;GO:0008150;GO:0005840;GO:1990904;GO:0005515	Large ribosomal subunit protein mL101 (rPPR4) (Pentatricopeptide repeat-containing protein At1g60770)
Ag004G372780	95	AT1G36095.1, AT5G33406.1	AT1G36095.1	other	GO:0005575;GO:0046983;GO:0008150;GO:0005634;GO:0003677;GO:0008270	DNA binding protein;HAT dimerization domain-containing protein / transposase-like protein
Ag004G372800	341	AT3G20650.1	AT3G20650.1	other	GO:0005634;GO:0004482;GO:0006370;GO:0003723;GO:0005845	mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase);mRNA cap guanine-N(7) methyltransferase 1 (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase 1) (mRNA cap methyltransferase 1)
Ag004G372810	428	AT1G60780.1	AT1G60780.1	orthologue	GO:0016192;GO:0012510;GO:0031410;GO:0006886;GO:0005802;GO:0030121;GO:0007034;GO:0003674;GO:0006892;GO:0035653;GO:0005634;GO:0031901;GO:0030131	AP-1 complex subunit mu-2 (Adaptor protein complex AP-1 subunit mu-2) (Adaptor protein-1 mu-adaptin 2) (Adaptor-related protein complex 1 subunit mu-2) (At-muB2-Ad) (Clathrin assembly protein complex 1 mu-2 medium chain) (Mu1-adaptin 2) (Protein HAPLESS 13)
Ag004G372910	278	AT5G37820.2	AT5G37820.2	orthologue	GO:0055085;GO:0015267;GO:0015250;GO:0009507;GO:0005737;GO:0016020	NOD26-like intrinsic protein 42;Probable aquaporin NIP4-2 (NOD26-like intrinsic protein 4-2) (AtNIP4;2) (Nodulin-26-like major intrinsic protein 5) (NodLikeMip5) (Protein NLM5)
Ag004G372970	278	AT5G37820.2	AT5G37820.2	orthologue	GO:0055085;GO:0015267;GO:0015250;GO:0009507;GO:0005737;GO:0016020	NOD26-like intrinsic protein 42;Probable aquaporin NIP4-2 (NOD26-like intrinsic protein 4-2) (AtNIP4;2) (Nodulin-26-like major intrinsic protein 5) (NodLikeMip5) (Protein NLM5)
Ag004G372990	114	AT3G14000.1	AT3G14000.1	other	GO:0003674;GO:0010440;GO:0005634;GO:0005886	Protein Brevis radix-like 2 (AtBRXL2)
Ag004G373010	103	AT5G37810.1	AT5G37810.1	other	GO:0015250;GO:0055085;GO:0005886;GO:0015267;GO:0016020	Putative aquaporin NIP4-1 (NOD26-like intrinsic protein 4-1) (AtNIP4;1)
Ag004G373020	1039					
Ag004G373080	533	AT1G60790.1	AT1G60790.1	orthologue	GO:0008374;GO:0016413;GO:0005794;GO:0016020;GO:0016740	Protein trichome birefringence-like 2
Ag004G373110	521	AT1G80460.1	AT1G80460.1	orthologue	GO:0006071;GO:0005829;GO:0019563;GO:0004370;GO:0005739;GO:0042742;GO:0009617;GO:0046167;GO:0002237;GO:0010188;GO:0006641;GO:0006072;GO:0005524;GO:0005975;GO:0016301;GO:0016310;GO:0016773	Glycerol kinase (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Protein GLYCEROL INSENSITIVE 1) (Protein NONHOST RESISTANCE TO P. S. PHASEOLICOLA 1);glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)
Ag004G373130	521	AT1G80460.1	AT1G80460.1	orthologue	GO:0006071;GO:0005829;GO:0019563;GO:0004370;GO:0005739;GO:0042742;GO:0009617;GO:0046167;GO:0002237;GO:0010188;GO:0006641;GO:0006072;GO:0005524;GO:0005975;GO:0016301;GO:0016310;GO:0016773	Glycerol kinase (Glycerokinase) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Protein GLYCEROL INSENSITIVE 1) (Protein NONHOST RESISTANCE TO P. S. PHASEOLICOLA 1);glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase)
Ag004G373180	634	AT1G60800.1	AT1G60800.1	orthologue	GO:0004674;GO:0005515;GO:0048653;GO:0007639;GO:0016301;GO:0015026;GO:0009507;GO:0005524;GO:0005886;GO:0006952;GO:0106310;GO:0016020;GO:0004672;GO:0006468	Protein NSP-INTERACTING KINASE 3 (EC 2.7.11.1) (LRR receptor-like serine/threonine-protein kinase NIK3);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Ag004G373230	423	AT1G60810.1	AT1G60810.1	orthologue	GO:0006085;GO:0005737;GO:0003878;GO:0140615;GO:0005524;GO:0005829;GO:0006629;GO:0004775;GO:0006099;GO:0006104;GO:0042709	ATP-citrate synthase alpha chain protein 2 (ATP-citrate synthase A-2) (EC 2.3.3.8) (ATP-citrate lyase A-2) (Citrate cleavage enzyme A-2)
Ag004G373240	604	AT1G52390.1	AT1G52390.1	orthologue	GO:0008150;GO:0005739;GO:0003674;;GO:0005777;GO:0010468	NYN domain-containing protein
Ag004G373260	376	AT1G60850.1	AT1G60850.1	orthologue	GO:0001054;GO:0005736;GO:0046983;GO:0001056;GO:0005634;GO:0005730;GO:0005666;GO:0000428;GO:0003899;GO:0006351	DNA-directed RNA polymerase family protein;DNA-directed RNA polymerase family protein (RNA polymerase subunit)
Ag004G373300	292	AT1G77010.1	AT1G77010.1	orthologue	GO:0043231;GO:0009451;GO:0003723;GO:0009507;GO:0005739;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g77010, mitochondrial
Ag004G373310	767	AT1G60860.1	AT1G60860.1	orthologue	GO:0008150;GO:0005737;GO:0005515;GO:0005096;GO:0008270	ADP-ribosylation factor GTPase-activating protein;ADP-ribosylation factor GTPase-activating protein AGD2 (ARF GAP AGD2) (Protein ARF-GAP DOMAIN 2) (AtAGD2)
Ag004G373340	146	AT2G42465.1	AT2G42465.1	other	GO:0009507;GO:0008150;GO:0003674	MATH domain and coiled-coil domain-containing protein At2g42465 (RTM3-like protein At2g42465)
