Arabis_alpina	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Aa_G457520.h1.t1	1189	AT1G10930.1	AT1G10930.1	orthologue	GO:0006310;GO:0006281;GO:0005694;GO:0000724;GO:0006260;GO:0006268;GO:0043138;GO:0006974;GO:0071215;GO:0005737;GO:0051276;GO:0005634;GO:0070417;GO:0009378;GO:0009506;GO:0003677;GO:0005524;GO:0016887;GO:0046872;GO:0003676;GO:0000166;GO:0032508;GO:0004386	ATP-dependent DNA helicase Q-like 4A (EC 5.6.2.4) (DNA 3'-5' helicase RecQ4A) (RecQ-like protein 4A) (AtRecQ4A) (AtRecQl4A) (SGS1-like protein) (AtSGS1)
Aa_G457530.h1.t1	360	AT1G10940.2	AT1G10940.2	orthologue	GO:0009651;GO:0004672;GO:0005829;GO:0005515;GO:0016020;GO:0005576;GO:0080022;GO:0006970;GO:0070300;GO:0004674;GO:0006468;GO:0005886;GO:0016301;GO:0005524;GO:0106310;GO:0005634	Serine/threonine-protein kinase SRK2A (EC 2.7.11.1) (Arabidopsis protein SK1) (OST1-kinase-like 7) (SNF1-related kinase 2.4) (SnRK2.4);non-specific serine/threonine protein kinase (EC 2.7.11.1)
Aa_G457540.h1.t1	587	AT1G10950.1	AT1G10950.1	orthologue	GO:0005794;GO:0005797;GO:0005768;GO:0005576;GO:0005802;GO:0045489;GO:0016020;GO:0000137;GO:0005801;GO:0072657;GO:0003674;GO:0000139;GO:0010008	Transmembrane 9 superfamily member 1 (Endomembrane protein 12) (Transmembrane nine protein 1) (AtTMN1)
Aa_G457550.h1.t1	148	AT1G10960.1	AT1G10960.1	orthologue	GO:0009507;GO:0009055;GO:0009570;GO:0022900;GO:0046872;GO:0051537;GO:0051536	Ferredoxin-1, chloroplastic (AtFd1)
Aa_G457560.h1.t1	419	AT1G10970.1	AT1G10970.1	orthologue	GO:0005375;GO:0005385;GO:0071577;GO:0009507;GO:0005515;GO:0005886;GO:0009535;GO:0016020;GO:0030001;GO:0046873;GO:0055085	Zinc transporter 4, chloroplastic (ZRT/IRT-like protein 4)
Aa_G457570.h1.t1	496	AT1G10980.1	AT1G10980.1	orthologue	GO:0000325;GO:0003674;GO:0016020;GO:0009507;GO:0009506;GO:0005794;GO:0006810	Expressed protein (Lung seven transmembrane receptor family protein) (Membrane protein PTM1 isolog; 58165-60455)
Aa_G457580.h1.t1	312	AT1G10980.1	AT1G10980.1	other	GO:0000325;GO:0003674;GO:0016020;GO:0009507;GO:0009506;GO:0005794;GO:0006810	Expressed protein (Lung seven transmembrane receptor family protein) (Membrane protein PTM1 isolog; 58165-60455)
Aa_G457590.h1.t1	571	AT1G11000.1	AT1G11000.1	orthologue	GO:0005739;GO:0003674;GO:0005516;GO:0006952;GO:0016020	MLO-like protein;MLO-like protein 4 (AtMlo4)
Aa_G45760.h1.t1	37					
Aa_G457600.h1.t1	320	AT1G11020.1	AT1G11020.1	orthologue	GO:0008270;GO:0005737;GO:0016020	RING/FYVE/PHD zinc finger superfamily protein
Aa_G457610.h1.t1	1126	AT1G11040.1	AT1G11040.1	orthologue	GO:0009507;GO:0006457;GO:0051085;GO:0051082;GO:0051087;GO:0005829;GO:0005515	DNAJ chaperone C-terminal domain-containing protein (DnaJ isolog; 47062-48761) (HSP40/DnaJ peptide-binding protein)
Aa_G457630.h1.t1	275	AT1G62390.1	AT1G62390.1	other	GO:0005634;GO:0010494;GO:0003729;GO:0005737;GO:0005515	Protein CLMP1 (CLUMPED CHLOROPLASTS 1) (Protein MADB2) (Protein PHOX2) (Putative myosin adapter B2)
Aa_G457640.h1.t1	443	AT1G62390.1	AT1G62390.1	other	GO:0005634;GO:0010494;GO:0003729;GO:0005737;GO:0005515	Protein CLMP1 (CLUMPED CHLOROPLASTS 1) (Protein MADB2) (Protein PHOX2) (Putative myosin adapter B2)
Aa_G457650.h1.t1	624	AT1G11050.1	AT1G11050.1	orthologue	GO:0016301;GO:0004674;GO:0044024;GO:0006468;GO:0016310;GO:0009507;GO:0005524;GO:0016020;GO:0106310;GO:0004672	Probable receptor-like protein kinase At1g11050 (EC 2.7.11.1)
Aa_G457660.h1.t1	869	AT1G11060.1	AT1G11060.1	orthologue	GO:0051177;GO:0006281;GO:0007064;GO:0000070;GO:0045144;GO:0003674;GO:0009793;GO:0045132;GO:0010789;GO:0005739;GO:0005634;GO:0005694;GO:0051301	Wings apart-like protein 1 (AtWAPL1)
Aa_G457670.h1.t1	620	AT1G11070.4	AT1G11070.4	orthologue	GO:0003674;GO:0005737	Hydroxyproline-rich glycoprotein family protein
Aa_G457680.h1.t1	350	AT1G11080.2	AT1G11080.2	orthologue	GO:0005576;GO:0004185;GO:0008150;GO:0006508;GO:0005773	Carboxypeptidase (EC 3.4.16.-);Serine carboxypeptidase-like 31 (EC 3.4.16.-)
Aa_G457690.h1.t1	319	AT1G11090.1	AT1G11090.1	orthologue	GO:0016298;GO:0016020;GO:0005794;GO:0005783;GO:0005634;GO:0047372	Alpha/beta-Hydrolases superfamily protein (At1g11090) (Lysophospholipase isolog; 25331-24357) (Putative lysophospholipase isolog)
Aa_G45770.h1.t1	496	AT4G31890.1	AT4G31890.1	orthologue	GO:0003674;GO:0009507;;GO:0005515	ARM repeat superfamily protein (At4g31890)
Aa_G45780.h1.t1	884	AT4G31880.1	AT4G31880.1	orthologue	GO:0007064;GO:0009556;GO:0006281;GO:0005634;GO:0043565;GO:0035825;GO:0006310;GO:0000785;GO:0005515;GO:0005874;GO:0010468;GO:0051301	Sister chromatid cohesion protein PDS5 homolog C (Precocious dissociation of sisters protein 5-C) (AtPDS5C);Transcriptional regulator
Aa_G457800.h1.t1	412	AT1G16180.1	AT1G16180.1	orthologue	GO:0003674;GO:0016020	Serinc-domain containing serine and sphingolipid biosynthesis protein (T24D18.26 protein)
Aa_G457910.h1.t1	200	AT1G16910.1	AT1G16910.1	orthologue	GO:0009299;GO:0090698;GO:0003674;GO:0005634;GO:0005739;GO:0009416;GO:0003677	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 8 (Protein ORGAN BOUNDARY 8)
Aa_G457920.h1.t1	341				GO:0004674;GO:0005886;GO:0006468;GO:0007166;GO:0004672;GO:0005524	
Aa_G457930.h1.t1	469	AT1G78810.1	AT1G78810.1	orthologue	GO:0005634;GO:0003674;GO:0008150	Uncharacterized protein;Uncharacterized protein At1g78810
Aa_G457940.h1.t1	403	AT1G78800.1	AT1G78800.1	orthologue	GO:0012505;GO:0006486;GO:0004378;GO:0016757;GO:0005575;GO:0102704;GO:0000033;GO:0005789;GO:0006488;GO:0006490;GO:0009101	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase)
Aa_G457950.h1.t1	104	AT1G78790.1	AT1G78790.1	orthologue	GO:0005634;GO:0003674;GO:0000712;GO:0051382;GO:0031297;GO:0007129;GO:0071821;GO:0003677;GO:0006281;GO:0006310	Centromere protein X;Protein MHF2 homolog (AtMHF2)
Aa_G457960.h1.t1	446	AT5G27470.1	AT5G27470.1	other	GO:0006434;GO:0004828;GO:0005829;GO:0002181;GO:0009536;GO:0005737;GO:0000049;GO:0005524;GO:0000166;GO:0004812;GO:0006418	Serine--tRNA ligase, cytoplasmic (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser) synthetase)
Aa_G457970.h1.t1	253	AT1G78780.3	AT1G78780.3	orthologue	GO:0003674;GO:0008150;GO:0005737	Pathogenesis-related family protein;Pathogenesis-related family protein (Pathogenesis-related protein-like protein)
Aa_G457980.h1.t1	538	AT1G78770.1	AT1G78770.1	orthologue	GO:0031145;GO:0016567;GO:0005680;GO:0005515;GO:0045842;GO:0051301;GO:0032875;GO:0010087;GO:0005737;GO:0005634	Anaphase-promoting complex subunit 6 (Cell division cycle protein 16 homolog) (CDC16 homolog) (Cyclosome subunit 6) (Protein NOMEGA)
Aa_G457990.h1.t1	214				GO:0005515	
Aa_G4580.h1.t1	217	AT3G04890.4	AT3G04890.4	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0016757	AT3G04890 protein (Adenine phosphoribosyltransferase-like protein, putative (DUF2358));Adenine phosphoribosyltransferase-like protein, putative (DUF2358)
Aa_G45800.h1.t1	78					
Aa_G458000.h1.t1	160	AT1G78740.1, AT1G69630.1, AT1G78750.1	AT1G78750.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0005515	F-box/FBD/LRR-repeat protein At1g78750;F-box/LRR-repeat protein 13;RNI-like superfamily protein
Aa_G45810.h1.t1	105	AT3G05530.1	AT3G05530.1	orthologue	GO:0010498;GO:0009555;GO:0005829;GO:0005634;GO:0005737;GO:0006511;GO:0036402;GO:0008540;GO:0016887;GO:0043161;GO:0005516;GO:0009553;GO:0000502;GO:0005524	26S proteasome regulatory subunit 6A homolog A (26S proteasome AAA-ATPase subunit RPT5a) (Proteasome 26S subunit 6A homolog A) (Regulatory particle triple-A ATPase subunit 5a) (Tat-binding protein 1 homolog A) (TBP-1 homolog A)
Aa_G458110.h1.t1	359	AT1G13800.1	AT1G13800.1	other	GO:0009793;GO:0005739;GO:0003674;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g13800
Aa_G458120.h1.t1	51					
Aa_G458130.h1.t1	533	AT1G14080.1	AT1G14080.1	orthologue	GO:0009969;GO:0009651;GO:0006486;GO:0031127;GO:0042546;GO:0016757;GO:0008417;GO:0005794;GO:0008107;GO:0032580;GO:0071555;GO:0016020	Fucosyltransferase 6 (AtFUT6) (EC 2.4.1.-)
Aa_G458140.h1.t1	408	AT2G15360.1	AT2G15360.1	orthologue	GO:0008150;GO:0005575;GO:0003674;GO:0016757;GO:0008107;GO:0016020;GO:0042546;GO:0005794;GO:0009969	Fucosyltransferase
Aa_G458150.h1.t1	172	AT1G14060.1	AT1G14060.1	orthologue	GO:0003674;GO:0005634	F7A19.14 protein (GCK domain-containing protein)
Aa_G458160.h1.t1	770	AT1G14040.1	AT1G14040.1	orthologue	GO:0005802;GO:0016036;GO:0005794;GO:0005886;GO:0055062;GO:0006817;GO:0006882;GO:0000822;GO:0005315;GO:0016020;GO:0005737;GO:0015114	Phosphate transporter PHO1 homolog 3 (Protein PHO1 homolog 3) (AtPHO1;H3)
Aa_G458170.h1.t1	41					
Aa_G45820.h1.t1	233	AT4G31870.1	AT4G31870.1	orthologue	GO:0005886;GO:0006979;GO:0009507;GO:1900367;GO:0004601;GO:0004602	Glutathione peroxidase 7;Putative glutathione peroxidase 7, chloroplastic (EC 1.11.1.9)
Aa_G458280.h1.t1	2303	AT4G30990.3	AT4G30990.3	other	GO:0005794;GO:0005634;GO:0030686;GO:0003674;GO:0005730;GO:0032040	ARM repeat superfamily protein
Aa_G458290.h1.t1	176					
Aa_G45830.h1.t1	369	AT4G31860.1	AT4G31860.1	orthologue	GO:0017018;GO:0005634;GO:0007165;GO:0005886;GO:0004722;GO:0046872;GO:0043169;GO:0006470	Probable protein phosphatase 2C 60 (AtPP2C60) (EC 3.1.3.16);protein-serine/threonine phosphatase (EC 3.1.3.16)
Aa_G458300.h1.t1	902	AT1G21730.1	AT1G21730.1	orthologue	GO:0007018;GO:0003777;GO:0008017;GO:0005874;GO:0005739;GO:0005871;GO:0005737;GO:0016887;GO:0005524	Kinesin-like protein KIN-7C, mitochondrial (Mitochondria-targeted kinesin-related protein 1)
Aa_G458310.h1.t1	318	AT5G28830.1	AT5G28830.1	orthologue	GO:0009507;GO:0003674	Calcium-binding EF hand family protein
Aa_G45840.h1.t1	1110	AT4G31850.1	AT4G31850.1	orthologue	GO:0043489;GO:0006412;GO:0032544;GO:0003729;GO:0005575;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At4g31850, chloroplastic (Protein PROTON GRADIENT REGULATION 3)
Aa_G458420.h1.t1	74	AT5G10040.1	AT5G10040.1	orthologue	GO:0005575;GO:0003674;GO:0009061;GO:0016020	At5g10040 (Transmembrane protein)
Aa_G458430.h1.t1	282	AT5G10050.1	AT5G10050.1	orthologue	GO:0005783	At5g10050 (NAD(P)-binding Rossmann-fold superfamily protein)
Aa_G458440.h1.t1	480	AT5G10060.1	AT5G10060.1	orthologue	GO:0005576;GO:0031124;GO:0000993;GO:0005634	At5g10060 (ENTH/VHS family protein)
Aa_G458450.h1.t1	292	AT5G10070.2	AT5G10070.2	orthologue	GO:0030490;GO:0106388;GO:0005634;GO:0000455;GO:0005737;GO:1904047;GO:0006364;GO:0016740	18S rRNA aminocarboxypropyltransferase (EC 2.5.1.157)
Aa_G458460.h1.t1	530	AT5G10080.1	AT5G10080.1	orthologue	GO:0005886;GO:0003674;GO:0016020;GO:0004190;GO:0006508;GO:0098552	Aspartic proteinase-like protein 1 (EC 3.4.23.-)
Aa_G458470.h1.t1	458	AT5G10090.1	AT5G10090.1	orthologue	GO:0003674;GO:0005634;GO:0005737;GO:0008150;GO:0005515	Tetratricopeptide repeat (TPR)-like superfamily protein
Aa_G458480.h1.t1	355	AT5G10100.1	AT5G10100.1	orthologue	GO:0005992;GO:0004805;GO:0009507;GO:0005737	Probable trehalose-phosphate phosphatase I (AtTPPI) (EC 3.1.3.12) (Trehalose 6-phosphate phosphatase);Trehalose 6-phosphate phosphatase (EC 3.1.3.12)
Aa_G45850.h1.t1	114	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45850.h2.t1	114	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45850.h3.t1	114	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45850.h4.t1	114	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45850.h5.t1	114	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G458590.h1.t1	39					
Aa_G45860.h1.t1	78	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45860.h2.t1	78	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45860.h3.t1	78	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45860.h4.t1	78	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45860.h5.t1	78	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45860.h6.t1	78	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G45860.h7.t1	78	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
Aa_G458610.h1.t1	187					
Aa_G458620.h1.t1	308					
Aa_G458630.h1.t1	528	AT3G47360.1	AT3G47360.1	orthologue	GO:0016491;GO:0009507;GO:0005829;GO:0008150;GO:0006694;GO:0016020	11-beta-hydroxysteroid dehydrogenase-like 3 (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase-like 3) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 3) (AtHSD3)
Aa_G458640.h1.t1	201	AT3G47380.1	AT3G47380.1	other	GO:0046910;GO:0009505;GO:0009827;GO:0048046;GO:0071669;GO:0005576;GO:0004857;GO:0043086	Pectinesterase inhibitor 11 (Pectin methylesterase inhibitor 11) (AtPMEI11)
Aa_G458650.h1.t1	595	AT3G47390.1	AT3G47390.1	other	GO:0009507;GO:0008703;GO:0009644;GO:0046443;GO:0008835;GO:0050661;GO:0009231;GO:0016799;GO:1901135;GO:0009658;GO:0003824	Riboflavin biosynthesis protein PYRR, chloroplastic (EC 1.1.1.193);Riboflavin biosynthesis protein PYRR, chloroplastic [Includes: Inactive diaminohydroxyphosphoribosylaminopyrimidine deaminase (DRAP deaminase) (Riboflavin-specific deaminase); 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193) (HTP reductase); Riboflavin biosynthesis intermediates N-glycosidase (EC 3.2.2.-)]
Aa_G458660.h1.t1	589	AT3G47400.1	AT3G47400.1	orthologue	GO:0045490;GO:0046910;GO:0042545;GO:0030599;GO:0004857;GO:0005576	Probable pectinesterase/pectinesterase inhibitor 33 [Includes: Pectinesterase inhibitor 33 (Pectin methylesterase inhibitor 33); Pectinesterase 33 (PE 33) (EC 3.1.1.11) (Pectin methylesterase 33) (AtPME33)]
Aa_G458670.h1.t1	192	AT3G47410.1	AT3G47410.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0016020	Hypthetical protein
Aa_G458680.h1.t1	524	AT3G47420.1	AT3G47420.1	orthologue	GO:0005575;GO:0055062;GO:0055085;GO:0022857;GO:0016020	Putative glycerol-3-phosphate transporter 1 (G-3-P transporter 1) (Glycerol-3-phosphate permease 1) (AtG3Pp1) (G-3-P permease 1) (Protein PHOSPHATE STARVATION-INDUCED GENE 3) (AtPS3)
Aa_G45870.h1.t1	311	AT4G18370.1	AT4G18370.1	orthologue	GO:0005576;GO:0009543;GO:0010206;GO:0031977;GO:0009579;GO:0009507;GO:0005829;GO:0004252;GO:0006508	DEGP protease 5;Protease Do-like 5, chloroplastic (EC 3.4.21.-)
Aa_G458790.h1.t1	93				GO:0000166;GO:0003677	
Aa_G458800.h1.t1	454	AT3G14180.1	AT3G14180.1	orthologue	GO:0000976;GO:0010431;GO:0009793;GO:0003700;GO:0005515;GO:0006355;GO:0005634	Trihelix transcription factor ASIL2 (6B-interacting protein 1-like 2) (Trihelix DNA-binding protein ASIL2)
Aa_G458810.h1.t1	1250	AT3G14172.1	AT3G14172.1	orthologue	GO:0005634;GO:0003674	GPI-anchored adhesin-like protein
Aa_G458820.h1.t1	477	AT3G14170.2	AT3G14170.2	orthologue	GO:0055028;GO:0003674;GO:0009507;GO:0010051;GO:0005886	At3g14170;Uncharacterized protein
Aa_G458830.h1.t1	466	AT3G14160.1	AT3G14160.1	orthologue	GO:0035513;GO:0005737;GO:0035515;GO:0035516;GO:0005634;GO:0008198;GO:0006281;GO:0046872;GO:0141131;GO:0035552	DNA N(6)-methyladenine demethylase ALKBH1C (DNA 6 mA demethylase ALKBH1C) (EC 1.14.11.51) (Alkylated DNA repair protein alkB homolog 1C) (AtALKBH1C) (Protein alkB homolog 1C) (Alpha-ketoglutarate-dependent dioxygenase ALKBH1C)
Aa_G458840.h1.t1	338	AT3G14150.1, AT3G14130.1	AT3G14150.1	orthologue	GO:0042742;GO:0050665;GO:0009507;GO:0003973;GO:0010181;GO:0005777;GO:0006631;GO:0005737;GO:0016491	(S)-2-hydroxy-acid oxidase (EC 1.1.3.15);Peroxisomal (S)-2-hydroxyacid oxidase GLO3 (EC 1.1.3.15) (Glycolate oxidase 3) (AtGLO3) (GOX 3) (Short chain alpha-hydroxy acid oxidase GLO3) (lHAOX2);Peroxisomal (S)-2-hydroxyacid oxidase GLO4 (EC 1.1.3.15) (Glycolate oxidase 4) (AtGLO4) (GOX 4) (lHAOX1)
Aa_G458850.h1.t1	186	AT3G14140.1	AT3G14140.1	orthologue	GO:0005737;GO:0035516;GO:0141131;GO:0035515;GO:0035513;GO:0005634;GO:0008198;GO:0006281;GO:0046872;GO:0035552	Probable DNA N(6)-methyladenine demethylase ALKBH1B (DNA 6 mA demethylase ALKBH1B) (EC 1.14.11.51) (Alkylated DNA repair protein alkB homolog 1B) (AtALKBH1B) (Protein alkB homolog 1B) (Alpha-ketoglutarate-dependent dioxygenase ALKBH1B)
Aa_G458860.h1.t1	159	AT2G16005.1	AT2G16005.1	other	GO:0032366;GO:0032934;GO:0015918;GO:0005515;GO:0009958;GO:0009651;GO:0005737;GO:0009507;GO:0008429	MD-2-related lipid-recognition protein ROSY1 (Protein INTERACTOR OF SYNAPTOTAGMIN 1)
Aa_G458970.h1.t1	57					
Aa_G458990.h1.t1	381	AT1G44835.2	AT1G44835.2	orthologue	GO:0002161;GO:0005737	YbaK/aminoacyl-tRNA synthetase-associated domain-containing protein
Aa_G4590.h1.t1	1148	AT3G05040.2	AT3G05040.2	other	GO:0061716;GO:0009910;GO:0006405;GO:0005634;GO:0009965;GO:0005049;GO:0005515;GO:0048364;GO:0006611;GO:0048367;GO:0009944;GO:0003723;GO:0042565;GO:0005635;GO:0005737;GO:0031047	ARM repeat superfamily protein;Protein HASTY 1 (Protein HASTY)
Aa_G459000.h1.t1	61					
Aa_G459010.h1.t1	56					
Aa_G459120.h1.t1	236	AT5G22380.1	AT5G22380.1	orthologue	GO:0006355;GO:0005515;GO:0003700;GO:0005634;GO:0003677	NAC domain-containing protein 90 (ANAC090)
Aa_G459130.h1.t1	221	AT5G22360.1	AT5G22360.1	orthologue	GO:0005773;GO:0016192;GO:0098876;GO:0009651;GO:1901703;GO:0005794;GO:0031982;GO:0003674;GO:0000139;GO:0015031;GO:0016020	Vesicle-associated membrane protein 714 (AtVAMP714)
Aa_G459140.h1.t1	663	AT5G22355.1	AT5G22355.1	orthologue	GO:0005634;GO:0003674;GO:0008270	Cysteine/Histidine-rich C1 domain family protein (Ta11-like non-LTR retroelement protein-like)
Aa_G459150.h1.t1	424	AT5G22350.1	AT5G22350.1	orthologue	GO:0005829;GO:0000266;GO:0005741;GO:0005515;GO:0005634;GO:0033365	Mitochondrial fission protein ELM1 (Protein ELONGATED MITOCHONDRIA 1)
Aa_G459160.h1.t1	321	AT5G22340.2	AT5G22340.2	orthologue	GO:0009507;GO:0003674;GO:0016020	At5g22340 (NF-kappa-B inhibitor-like protein);NF-kappa-B inhibitor-like protein
Aa_G459170.h1.t1	458	AT5G22330.1	AT5G22330.1	orthologue	GO:0005515;GO:0006357;GO:0008094;GO:0000812;GO:0005634;GO:0035267;GO:0000492;GO:0005730;GO:0006338;GO:0003678;GO:0097255;GO:1900150;GO:0048507;GO:0031011;GO:1905323;GO:0004386;GO:0005524;GO:0009908;GO:0016887;GO:0030154	RuvB-like protein 1 (EC 3.6.4.12) (49 kDa TATA box-binding protein-interacting protein homolog) (AtTIP49a) (Ruv DNA-helicase-like protein)
Aa_G459180.h1.t1	453	AT5G22320.1	AT5G22320.1	orthologue	GO:0005634;GO:0003674;GO:0005886;GO:0015630;GO:0005515	AT5g22320/MWD9_11 (Leucine-rich repeat (LRR) family protein);Leucine-rich repeat (LRR) family protein
Aa_G459190.h1.t1	430	AT5G22310.1	AT5G22310.1	orthologue	GO:0005515;GO:0005575	AT5g22310/MWD9_9 (Trichohyalin-like protein)
Aa_G459200.h1.t1	356	AT5G22300.1	AT5G22300.1	orthologue	GO:0005829;GO:0080061;GO:0047558;GO:0047427;GO:0018822;GO:0051410;GO:0000257;GO:0019499;GO:0005886;GO:0016836;GO:0003824	Bifunctional nitrilase/nitrile hydratase NIT4 (EC 3.5.5.1) (EC 3.5.5.4) (EC 4.2.1.65) (Cyanoalanine nitrilase) (Nitrilase 4);cyanoalanine nitrilase (EC 3.5.5.4)
Aa_G459420.h1.t1	1081	AT5G45200.1	AT5G45200.1	orthologue	GO:0007165;GO:0043531;GO:0006952;GO:0005737	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class) family
Aa_G459430.h1.t1	1000	AT1G50140.1	AT1G50140.1	orthologue	GO:0005741;GO:0005524;GO:0016887	P-loop containing nucleoside triphosphate hydrolases superfamily protein
Aa_G459440.h1.t1	217	AT1G50170.1	AT1G50170.1	orthologue	GO:0019354;GO:0042802;GO:0005515;GO:0009507;GO:0005576;GO:0051266;GO:0051536;GO:0006979;GO:0046872;GO:0051539;GO:0016829	Sirohydrochlorin ferrochelatase B;Sirohydrochlorin ferrochelatase, chloroplastic (AtSirB) (EC 4.99.1.4)
Aa_G459450.h1.t1	828	AT1G50180.1	AT1G50180.1	orthologue	GO:0009506;GO:0098542;GO:0043531;GO:0005524;GO:0006952;GO:0051707	Putative disease resistance protein At1g50180
Aa_G459560.h1.t1	331	AT5G40510.2	AT5G40510.2	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0016020	AT5g40510/MNF13_30 (Sucrase/ferredoxin-like family protein);Sucrase/ferredoxin-like family protein
Aa_G459580.h1.t1	95	AT5G40500.1	AT5G40500.1	orthologue	GO:0003674;GO:0005739	Uncharacterized protein;Uncharacterized protein At5g40500
Aa_G459590.h1.t1	606	AT5G40490.1	AT5G40490.1	orthologue	GO:0097157;GO:0031440;GO:0048578;GO:0048576;GO:0003729;GO:0003730;GO:0009536;GO:0005634;GO:1990904;GO:0003723;GO:0000785;GO:0005654;GO:0010468;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding (RRM/RBD/RNP motifs) family protein (Ribonucleoprotein-like) (Similarity to RNA binding protein)
Aa_G459700.h1.t1	168	AT2G17770.2	AT2G17770.2	orthologue	GO:0003700;GO:2000028;GO:0005515;GO:0045893;GO:0005634;GO:0003677;GO:0006355	bZIP transcription factor 27 (AtbZIP27) (Protein FD PARALOG)
Aa_G459710.h1.t1	326	AT2G17787.1	AT2G17787.1	orthologue	GO:0005634;GO:0003674	At2g17787 (Cylicin)
Aa_G459720.h1.t1	788	AT2G17790.1	AT2G17790.1	orthologue	GO:0010008;GO:0006886;GO:0005515;GO:0042147;GO:0030906;GO:0005739;GO:0030904;GO:0005770;GO:0005794;GO:0005829;GO:0015031	Vacuolar protein sorting-associated protein 35A (Protein ZIG SUPPRESSOR 3) (Vesicle protein sorting 35A)
Aa_G459730.h1.t1	197	AT1G20090.1, AT1G75840.1, AT2G17800.1, AT3G51300.1, AT4G35020.1, AT4G35950.1	AT2G17800.1	other	GO:0003924;GO:0007264;GO:0009958;GO:0043622;GO:0031410;GO:0010928;GO:0048767;GO:0007165;GO:0019003;GO:0005739;GO:0005856;GO:0048766;GO:0005525;GO:0005730;GO:0007015;GO:0005886;GO:0005634;GO:0019901;GO:0007163;GO:0042995;GO:0048446;GO:0032956;GO:0030427;GO:0008360;GO:0030865;GO:0005819;GO:0005737;GO:0051211;GO:0005515;GO:0009860;GO:0032794;GO:0030833;GO:0030834;GO:0051650;GO:0017157;GO:0009524;GO:0045177;GO:0009734;GO:0009738;GO:0010119;GO:0000226;GO:0009416;GO:0000902;GO:0016020	RAC-like 3;Rac-like GTP-binding protein ARAC1 (GTPase protein ROP3);Rac-like GTP-binding protein ARAC11 (EC 3.6.5.-) (GTPase protein ROP1);Rac-like GTP-binding protein ARAC3 (AtRAC1) (GTPase protein ROP6);Rac-like GTP-binding protein ARAC4 (AtRAC4) (GTPase protein ROP2);Rac-like GTP-binding protein ARAC5 (AtRAC5) (GTPase protein ROP4);Rac-like GTP-binding protein ARAC6 (GTPase protein ROP5)
