Arabidopsis_lyrata_NCBI	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_020868074.1	317	AT1G35720.1	AT1G35720.1	orthologue	GO:0009408;GO:0005507;GO:0070588;GO:0005634;GO:0006979;GO:0006970;GO:0000325;GO:0009651;GO:0048046;GO:0001786;GO:0009737;GO:0009579;GO:0008270;GO:0009414;GO:0009506;GO:0042803;GO:0005886;GO:0080022;GO:0009505;GO:0009409;GO:0004601;GO:0110128;GO:0009507;GO:0035619;GO:0005524;GO:0097623;GO:0005737;GO:0009570;GO:0005544;GO:0005829;GO:0005509;GO:0016020;GO:0005739	Annexin D1 (AnnAt1) (Annexin A1)
XP_020868080.1	758	AT1G03190.1	AT1G03190.1	orthologue	GO:0045951;GO:0005634;GO:0006281;GO:0009408;GO:0009411;GO:0006289;GO:0005515;GO:0003684;GO:0006366;GO:0003678;GO:0003677;GO:0005524;GO:0016887;GO:0046872;GO:0051539;GO:0016818;GO:0003676;GO:0004386;GO:0006139	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 5.6.2.3) (DNA 5'-3' helicase XPD) (ERCC2 homolog) (RAD3 homolog) (UV hypersensitive protein 6) (AtUVH6) (XPD homolog) (AtXPD)
XP_020868082.1	265	AT1G03180.1	AT1G03180.1	orthologue	GO:0051026;GO:0005634;GO:0007096;GO:0005739;GO:0005515;GO:0005737	Non-structural protein
XP_020868083.1	354	AT1G24090.1	AT1G24090.1	orthologue	GO:0009534;GO:0008150;GO:0009507;GO:0004523;GO:0005515;GO:0003676	RNase H domain-containing protein (RNase H family protein)
XP_020868087.1	213	AT1G24095.1	AT1G24095.1	orthologue	GO:0015035;GO:0005575	T23E23.25 (Thiol-disulfide oxidoreductase DCC);Thiol-disulfide oxidoreductase DCC
XP_020868088.1	359	AT1G15720.1	AT1G15720.1	orthologue	GO:0003674;GO:0005634	At1g15720 (F7H2.6 protein) (MYB transcription factor) (TRF-like 5)
XP_020868090.1	432	AT1G02310.2	AT1G02310.2	orthologue	GO:0016985;GO:0005576;GO:0000272;GO:0016020;GO:0004553	Mannan endo-1,4-beta-mannosidase 1 (EC 3.2.1.78) (Beta-mannanase 1) (Endo-beta-1,4-mannanase 1) (AtMAN1);mannan endo-1,4-beta-mannosidase (EC 3.2.1.78)
XP_020868094.1	235	AT1G30800.1	AT1G30800.1	orthologue	GO:0009834;GO:0003674;GO:0016020;GO:0005886	At1g30800 (Fasciclin-like arabinogalactan family protein) (T17H7.8)
XP_020868096.1	499	AT1G02260.1	AT1G02260.1	orthologue	GO:0016020;GO:0055085;GO:0003674;GO:0005886	At1g02260 (Divalent ion symporter) (T7I23.21 protein)
XP_020868097.1	484	AT1G02270.1	AT1G02270.1	orthologue	GO:0005509;GO:0009507;GO:0005634;GO:0003824;GO:0003730;GO:0016020;GO:0004519;GO:0000175	Calcium-binding endonuclease/exonuclease/phosphatase family;Uncharacterized calcium-binding protein At1g02270
XP_020868098.1	522	AT1G12580.1	AT1G12580.1	orthologue	GO:0009931;GO:0004674;GO:0005737;GO:0004683;GO:0035556;GO:0005634;GO:0046777;GO:0005516;GO:0005524;GO:0046872;GO:0004672;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_020868102.1	303	AT1G19400.1	AT1G19400.1	orthologue	GO:0009527;GO:0005634;GO:0004617;GO:0016020	Erythronate-4-phosphate dehydrogenase family protein
XP_020868104.1	447	AT1G19410.1	AT1G19410.1	orthologue	GO:0003674;GO:0008150;GO:0005634;;GO:0005515	FBD / Leucine Rich Repeat domains containing protein
XP_020868105.1	413	AT1G57720.1	AT1G57720.1	orthologue	GO:0009505;GO:0000325;GO:0010043;GO:0005507;GO:0005634;GO:0010494;GO:0005829;GO:0004364;GO:0009506;GO:0003746;GO:0006414	Probable elongation factor 1-gamma 2 (EF-1-gamma 2) (eEF-1B gamma 2)
XP_020868106.1	174	AT1G57730.1	AT1G57730.1	orthologue	GO:0006511;GO:0005794;GO:0061630;GO:0016020;GO:0008270;GO:0016567	RING/U-box superfamily protein
XP_020868107.1	298	AT1G17520.2	AT1G17520.2	orthologue	GO:0000976;GO:0005634;GO:0006334;GO:0003691;GO:0000786;GO:0003700;GO:0005730;GO:0003677	MYB transcription factor;Telomere repeat-binding factor 4 (MYB transcription factor)
XP_020868110.1	1295	AT5G45050.1, AT5G45260.1, AT5G17890.1	AT5G45260.1	other	GO:0003700;GO:0005515;GO:0005634;GO:0042742;GO:0009626;GO:0005737;GO:0006355;GO:0043531;GO:0003677;GO:0007165;GO:0043565;GO:0042802;GO:0009409;GO:0043130;GO:0006952;GO:0002758;GO:0000325;GO:0000976;GO:0005524;GO:0046872	Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein RRS1 (Disease resistance protein RCH2) (Disease resistance protein SLH1) (Probable WRKY transcription factor 52) (Protein RPS4-homolog) (Protein SENSITIVE TO LOW HUMIDITY 1) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein) (WRKY DNA-binding protein 52);Disease resistance protein RRS1B (Probable WRKY transcription factor 16) (WRKY DNA-binding protein 16);Protein DA1-related 4 (Protein CHILLING SENSITIVE 3)
XP_020868111.1	680	AT1G02010.4	AT1G02010.4	orthologue	GO:0030141;GO:0019905;GO:0006904;GO:0016192;GO:0005634;GO:0006886;GO:0005886;GO:0015031;GO:0016020	Protein transport Sec1a (AtSec1a);Secretory 1A
XP_020868113.1	608	AT1G02020.1	AT1G02020.1	orthologue	GO:0005634;GO:0016491;GO:0009507;GO:0005739	Nitroreductase family protein;Nitroreductase family protein (T7I23.2 protein)
XP_020868115.1	379	AT1G02010.4	AT1G02010.4	other	GO:0030141;GO:0019905;GO:0006904;GO:0016192;GO:0005634;GO:0006886;GO:0005886;GO:0015031;GO:0016020;GO:0004540	Protein transport Sec1a (AtSec1a);Secretory 1A
XP_020868117.1	334				GO:0004540	
XP_020868119.1	300				GO:0004540	
XP_020868120.1	258	AT1G02030.1	AT1G02030.1	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0008270	Zinc finger protein ZAT1
XP_020868121.1	611	AT1G16830.1	AT1G16830.1	orthologue	GO:0003729;GO:0005739;;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g16830
XP_020868122.1	163	AT1G16840.1	AT1G16840.1	orthologue	GO:0003674;GO:0009507	At1g16840/F17F16.27;At1g16840/F17F16.27 (F6I1.16 protein)
XP_020868124.1	155	AT1G16825.1	AT1G16825.1	orthologue	GO:0005739;GO:0008150;GO:0003674;GO:0005789	Reticulon family protein;Reticulon-like protein B23 (AtRTNLB23)
XP_020868126.1	423					
XP_020868127.1	227	AT1G15860.3	AT1G15860.3	orthologue	GO:0005634;GO:0031624;GO:0032182;GO:0000151;GO:0045116;GO:0097602	Defective in cullin neddylation protein
XP_020868130.1	223	AT1G15880.1	AT1G15880.1	orthologue	GO:0031201;GO:0000139;GO:0006891;GO:0005797;GO:0005794;GO:0006888;GO:0000149;GO:0006906;GO:0005484;GO:0005801;GO:0048219;GO:0015031;GO:0016020	Golgi SNAP receptor complex member 1-1 (Golgi SNARE 11 protein) (AtGOS11)
XP_020868131.1	923	AT1G54710.1	AT1G54710.1	orthologue	GO:0005737;GO:0003674;GO:0005634;GO:0042594;GO:0006914;GO:0000407;GO:0005774;GO:0015031;GO:0034045;GO:0005515	Autophagy 18h-like protein;Autophagy-related protein 18h (AtATG18h)
XP_020868132.1	709	AT1G52520.1	AT1G52520.1	orthologue	GO:0008270;GO:0006355;GO:0005634	Protein FAR1-RELATED SEQUENCE 6
XP_020868134.1	408	AT1G52530.1	AT1G52530.1	orthologue	GO:0030896;GO:0006289;GO:0000723;GO:0044778;GO:0000077;GO:0031573;GO:0003674;GO:0000724;GO:0005730;GO:0033314;GO:0035861	Checkpoint protein
XP_020868136.1	885	AT1G05120.2	AT1G05120.2	orthologue	GO:0006289;GO:0005634;GO:0140658;GO:0070911;GO:0009411;GO:0000109;GO:0008094;GO:0004386;GO:0005524;GO:0008270;GO:0016787;GO:0046872;GO:0006281	Helicase protein with RING/U-box domain-containing protein
XP_020868137.1	557	AT1G49160.5	AT1G49160.5	orthologue	GO:0005737;GO:0004674;GO:0004672;GO:0006468;GO:0035556;GO:0005634;GO:0005524;GO:0106310	Probable serine/threonine-protein kinase WNK7 (AtWNK7) (EC 2.7.11.1) (Protein kinase with no lysine 7);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_020868141.1	126	AT1G49170.1	AT1G49170.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0016301	At1g49170 (Similar to serine/threonine kinase 9 gb|AAD28798.1)
XP_020868142.1	1158	AT5G45250.1	AT5G45250.1	orthologue	GO:0002758;GO:0061809;GO:0012505;GO:0005634;GO:0042802;GO:0005737;GO:0009626;GO:0043531;GO:0016020;GO:0042742;GO:0006952;GO:0005515;GO:0005524;GO:0007165	Disease resistance protein RPS4 (Probable NAD(+) hydrolase RPS4) (EC 3.2.2.6) (Resistance to Pseudomonas syringae 4) (TIR-NBS-LRR class disease resistance protein)
XP_020868143.1	314	AT1G52790.1	AT1G52790.1	orthologue	GO:0016706;GO:0005737;GO:0046872	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (Putative oxidoreductase; 32373-31266)
XP_020868144.1	605	AT1G50600.2	AT1G50600.2	orthologue	GO:0006355;GO:0003700;GO:0005515;GO:0005634;GO:0043565	Scarecrow-like 5;Scarecrow-like protein 5 (AtSCL5) (GRAS family protein 6) (AtGRAS-6)
XP_020868145.1	357	AT1G18350.1	AT1G18350.1	orthologue	GO:0004674;GO:0004708;GO:0005515;GO:0016301;GO:0009862;GO:0042742;GO:0002229;GO:0005737;GO:0009875;GO:0009926;GO:0004713;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase kinase 7 (AtMKK7) (MAP kinase kinase 7) (EC 2.7.12.2) (Protein BUSHY AND DWARF 1)
XP_020868146.1	1125	AT1G08800.1	AT1G08800.1	orthologue	GO:0005737;GO:0005811;GO:0030133;GO:0017022;GO:0080115;GO:0016020	Myosin-binding protein 1
XP_020868148.1	178	AT1G08790.1	AT1G08790.1	orthologue	GO:0003674;GO:0005634;GO:0008150	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase epsilon-1, putative (DUF1685) (F22O13.28)
XP_020868149.1	857	AT1G55020.1	AT1G55020.1	orthologue	GO:0009737;GO:0048364;GO:0009536;GO:0042742;GO:1990136;GO:0030397;GO:0009695;GO:0034440;GO:0010311;GO:0009611;GO:0006952;GO:0016702;GO:0031408;GO:0009753;GO:0005737;GO:0006633;GO:0046872;GO:0005515;GO:0016491	Linoleate 9S-lipoxygenase 1 (EC 1.13.11.58) (Lipoxygenase 1) (AtLOX1)
XP_020868150.1	667	AT1G33240.1	AT1G33240.1	orthologue	GO:0042631;GO:0032876;GO:0006351;GO:0005634;GO:0030308;GO:0009414;GO:0045892;GO:2000037;GO:0003677;GO:0010090;GO:0043565;GO:2000038;GO:0008361;GO:0003700;GO:0006355	GT-2-like 1;Trihelix transcription factor GTL1 (GT2-LIKE protein 1) (AtGTL1) (Protein GT-2-LIKE1) (Trihelix DNA-binding protein GTL1)
XP_020868152.1	644	AT1G01060.1	AT1G01060.1	orthologue	GO:0043433;GO:0006355;GO:0009409;GO:0000976;GO:0003700;GO:0005634;GO:0007623;GO:0042754;GO:0048574;GO:0042752;GO:0003677;GO:0010468	Homeodomain-like superfamily protein;Protein LHY (MYB-related transcription factor LHY) (Protein LATE ELONGATED HYPOCOTYL)
XP_020868157.1	453	AT5G45050.1, AT5G45260.1, AT5G17890.1	AT5G45050.1	other	GO:0003700;GO:0005515;GO:0005634;GO:0042742;GO:0009626;GO:0005737;GO:0006355;GO:0043531;GO:0003677;GO:0007165;GO:0043565;GO:0042802;GO:0009409;GO:0043130;GO:0006952;GO:0002758;GO:0000325;GO:0000976;GO:0005524;GO:0046872	Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein RRS1 (Disease resistance protein RCH2) (Disease resistance protein SLH1) (Probable WRKY transcription factor 52) (Protein RPS4-homolog) (Protein SENSITIVE TO LOW HUMIDITY 1) (Resistance to Colletotrichum higginsianum 2 protein) (Resistance to Ralstonia solanacearum 1 protein) (WRKY DNA-binding protein 52);Disease resistance protein RRS1B (Probable WRKY transcription factor 16) (WRKY DNA-binding protein 16);Protein DA1-related 4 (Protein CHILLING SENSITIVE 3)
XP_020868161.1	518	AT1G27100.1	AT1G27100.1	orthologue	GO:0000325;GO:0003674;GO:0005634	Actin cross-linking protein (At1g27100)
XP_020868162.1	202	AT1G51700.1	AT1G51700.1	orthologue	GO:0006355;GO:0000976;GO:0005634;GO:0003700;GO:0008270;GO:0003677	Dof zinc finger protein DOF1.7 (AtDOF1.7)
XP_020868163.1	1091	AT1G09620.1	AT1G09620.1	orthologue	GO:0009506;GO:0006429;GO:0009507;GO:0004823;GO:0002161;GO:0005737;GO:0005524;GO:0005829;GO:0009791;GO:0048608;GO:0006418;GO:0000166;GO:0004812	Leucine--tRNA ligase, cytoplasmic (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)
XP_020868165.1	935	AT1G09730.1	AT1G09730.1	orthologue	GO:0006508;GO:0070139;GO:0005634;GO:0016925;GO:0048576;GO:0016926;GO:0048578;GO:0008234	Cysteine proteinases superfamily protein;Probable ubiquitin-like-specific protease 2B (EC 3.4.22.-)
XP_020868167.1	844	AT1G09770.1	AT1G09770.1	orthologue	GO:0005576;GO:0003700;GO:0000974;GO:0000398;GO:0005515;GO:0006355;GO:0005634;GO:0042742;GO:0050832;GO:0005681;GO:0003677;GO:0006281;GO:0045087	Cell division cycle 5-like protein (Cdc5-like protein) (Atypical R2R3-MYB transcription factor CDC5) (MOS4-associated complex protein 1) (MAC protein 1) (Protein MYB DOMAIN CELL DIVISION CYCLE 5) (AtMYBCD5)
XP_020868168.1	714	AT1G09600.1	AT1G09600.1	orthologue	GO:0032968;GO:0008353;GO:0005634;GO:0006468;GO:0016310;GO:0000307;GO:0004674;GO:0005524;GO:0070816;GO:0004672	Probable serine/threonine-protein kinase At1g09600 (EC 2.7.11.-)
XP_020868169.1	633	AT1G09710.2	AT1G09710.2	orthologue	GO:0005634;GO:0003674;GO:0000976;GO:0003677	Homeodomain-like superfamily protein;Homeodomain-like superfamily protein (MYB transcription factor)
XP_020868172.1	1148	AT4G19510.4, AT4G19470.1	AT4G19510.4	other	GO:0008150;GO:0005737;GO:0003674;GO:0043531;GO:0009507;GO:0061809;GO:0007165;GO:0005524;GO:0006952	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein RPP2B (EC 3.2.2.6);Leucine-rich repeat (LRR) family protein
XP_020868176.1	606	AT1G09820.1	AT1G09820.1	orthologue	GO:0005739;GO:0003729;GO:0008150;;GO:0005515	Pentatricopeptide repeat-containing protein At1g09820
XP_020868177.1	530	AT1G09830.1	AT1G09830.1	orthologue	GO:0009507;GO:0004637;GO:0006189;GO:0009570;GO:0006164;GO:0009113;GO:0046872;GO:0005524	Phosphoribosylamine--glycine ligase, chloroplastic (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase)
XP_020868178.1	482	AT1G09810.1	AT1G09810.1	orthologue	GO:0061157;GO:0005634;GO:0003729;GO:0005515;GO:0005737;GO:1990247;GO:0003723	YTH domain-containing family protein
XP_020868179.1	449	AT1G09750.1	AT1G09750.1	orthologue	GO:0009505;GO:0009627;GO:0003674;GO:0048046;GO:0099503;GO:0005576;GO:0000166;GO:0004190;GO:0006508;GO:0043067	Aspartyl protease AED3 (EC 3.4.23.-) (Apoplastic EDS1-dependent protein 3)
XP_020868180.1	445	AT1G09790.1	AT1G09790.1	orthologue	GO:0010215;GO:0052324;GO:0005886;GO:0016020;GO:0003674;GO:0098552	COBRA-like protein;COBRA-like protein 6
XP_020868181.1	437	AT1G09850.1	AT1G09850.1	orthologue	GO:0005764;GO:0005783;GO:0000325;GO:0051603;GO:0004197;GO:0005576;GO:0005615;GO:0005886;GO:0010623;GO:0006508;GO:0008234	At1g09850 (Papain-like cysteine peptidase XBCP3) (Xylem bark cysteine peptidase 3)
XP_020868182.1	423	AT1G09840.1	AT1G09840.1	orthologue	GO:0005634;GO:0004674;GO:0030154;GO:0007165;GO:0005737;GO:0005739;GO:0005524;GO:0106310;GO:0004672;GO:0006468;GO:0018107	Shaggy-related protein kinase kappa (AtHIR1) (EC 2.7.11.1) (ASK-kappa) (AtK-1) (Shaggy-related protein kinase 41) (AtSK41);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_020868185.1	414	AT1G09640.1	AT1G09640.1	orthologue	GO:0005773;GO:0009506;GO:0010494;GO:0005737;GO:0004364;GO:0005576;GO:0005829;GO:0003746;GO:0006414	AT1G09640 protein (Translation elongation factor EF1B, gamma chain);Probable elongation factor 1-gamma 1 (EF-1-gamma 1) (eEF-1B gamma 1)
XP_020868186.1	409	AT1G09795.1	AT1G09795.1	orthologue	GO:0003879;GO:0000105;GO:0009570;GO:0009507;GO:0000287;GO:0005737	ATP phosphoribosyltransferase 2, chloroplastic (ATP-PRTase 2) (AtATP-PRT2) (EC 2.4.2.17)
XP_020868187.1	374	AT1G09650.1	AT1G09650.1	orthologue	GO:0008150;GO:0003674;GO:0005575;;GO:0005515	F-box/LRR-repeat/kelch-repeat protein At1g09650
XP_020868188.1	307	AT1G09700.1	AT1G09700.1	orthologue	GO:0005515;GO:0009737;GO:0031054;GO:0003725;GO:0010445;GO:0035279;GO:0005634;GO:0010468;GO:0009733;GO:0006396;GO:0042659;GO:0010267;GO:0035196;GO:0004525;GO:0042802;GO:0010589;GO:0010305;GO:0035198;GO:0009735;GO:0016607	Double-stranded RNA-binding protein 1 (Protein HYPONASTIC LEAVES 1) (dsRNA-binding protein 1) (AtDRB1);DsRNA-binding domain-like superfamily protein
XP_020868190.1	299	AT1G09660.1	AT1G09660.1	orthologue	GO:0048024;GO:0005634;GO:0003729;GO:0003723;GO:0003676	KH domain-containing protein At1g09660/At1g09670 (Quaking-like protein 5)
XP_020868191.1	293	AT2G42455.1, AT2G42460.1, AT2G42470.1, AT2G42480.1	AT2G42460.1	other	GO:0003674;GO:0005737;GO:0008150;GO:0005575;GO:0009507;;GO:0005515	MATH domain and coiled-coil domain-containing protein At2g42460 (RTM3-like protein At2g42460);MATH domain and coiled-coil domain-containing protein At2g42470 (RTM3-like protein At2g42470);MATH domain and coiled-coil domain-containing protein At2g42480 (RTM3-like protein At2g42480);MATH domain/coiled-coil protein
XP_020868192.1	254	AT5G59340.1	AT5G59340.1	orthologue	GO:0010654;GO:0048825;GO:0009942;GO:0003700;GO:0009880;GO:0090451;GO:0008284;GO:0005634;GO:0003677;GO:0099402	WUSCHEL-related homeobox 2
XP_020868193.1	249	AT1G09760.1	AT1G09760.1	orthologue	GO:0005654;GO:0015030;GO:0005737;GO:0000398;GO:0005634;GO:0005730;GO:0016607;GO:0030620;GO:1990904	U2 small nuclear ribonucleoprotein A' (U2 snRNP A')
XP_020868194.1	245	AT1G09580.1	AT1G09580.1	orthologue	GO:0005794;GO:0006888;GO:0005783;GO:0005793;GO:0030134;GO:0006886;GO:0003674;GO:0007030;GO:0005789;GO:0015031;GO:0016192	Transmembrane emp24 domain-containing protein p24delta3 (p24 family protein delta1a) (p24delta1a) (p24 family protein delta3) (p24delta3)
XP_020868195.1	196	AT1G09920.1	AT1G09920.1	orthologue	GO:0005634;GO:0005739;GO:0003674;GO:0008150;GO:0016020	Expressed protein (TRAF-type zinc finger-like protein)
XP_020868196.1	190	AT1G09665.1	AT1G09665.1	orthologue	GO:0003674;GO:0005737;GO:0007165;GO:0005634;GO:0006952	Toll-Interleukin-Resistance (TIR) domain family protein
XP_020868197.1	171	AT1G09740.1	AT1G09740.1	orthologue	GO:0008150;GO:0005737;GO:0003674;GO:0005575;GO:0016787	Adenine nucleotide alpha hydrolases-like superfamily protein (At1g09740) (Putative ER6 protein)
XP_020868200.1	164	AT1G09690.1, AT1G09590.1, AT1G57660.1, AT1G57860.1	AT1G09690.1	other	GO:0003674;GO:0005737;GO:0008150;GO:0005634;GO:0022625;GO:0005576;GO:0006412;GO:0003735;GO:0022626;GO:0005730;GO:0005840	Large ribosomal subunit protein eL21x/eL21w (60S ribosomal protein L21-2);Large ribosomal subunit protein eL21z/eL21y (60S ribosomal protein L21-1)
XP_020868201.1	122	AT1G09815.1	AT1G09815.1	orthologue	GO:0043625;GO:0000731;GO:0003887;GO:0006261;GO:0006260;GO:0005634	At1g09815 (Polymerase delta 4)
XP_020868202.1	113	AT2G42395.1	AT2G42395.1	orthologue	GO:0005575;GO:0003674	At2g42395
XP_020868203.1	73	AT1G09625.1	AT1G09625.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020	Transmembrane protein
XP_020868204.1	800	AT1G52320.2	AT1G52320.2	orthologue	GO:0005634;GO:0003674;GO:0006499	BZIP protein, putative; 48652-45869 (Kinesin-like protein);Kinesin-like protein
XP_020868205.1	529	AT1G80930.1	AT1G80930.1	other	GO:0000398;GO:0071013;GO:0003723;GO:0005634;GO:0006417;GO:0005515	At1g80930/F23A5_23 (F23A5.29 protein) (MIF4G domain-containing protein / MA3 domain-containing protein)
XP_020868206.1	426	AT1G42430.1	AT1G42430.1	orthologue	GO:2000904;GO:0005982;GO:0062052;GO:0009570;GO:0032948;GO:0043036;GO:0009959;GO:2001070;GO:0009958;GO:0048316	Inactive purple acid phosphatase-like protein;Protein EARLY STARVATION 1, chloroplastic (AtESV1) (Protein REDUCED GRAVITROPIC 1)
XP_020868207.1	793	AT1G42440.1	AT1G42440.1	orthologue	GO:0034511;GO:0000462;GO:0005525;GO:0000479;GO:0005634;GO:0003924;GO:0005730;GO:0042254;GO:0030688	At1g42440/F7F22_7 (Pre-rRNA-processing TSR1-like protein)
XP_020868208.1	130	AT5G57510.1	AT5G57510.1	orthologue	GO:0071456;GO:0005634;GO:0003674	Cotton fiber protein
XP_020868210.1	279	AT1G08810.1	AT1G08810.1	orthologue	GO:0009733;GO:0009744;GO:1902074;GO:0003700;GO:0009737;GO:0009416;GO:0080148;GO:0009409;GO:0009414;GO:0000976;GO:0005634;GO:0009646;GO:0009637;GO:0010118;GO:0009411	Transcription factor MYB60 (Myb domain protein 60) (AtMYB60)
XP_020868211.1	410	AT1G04490.1	AT1G04490.1	orthologue	GO:0005634;GO:0003674	At1g04490;Uncharacterized protein
XP_020868213.1	144	AT1G20693.1	AT1G20693.1	orthologue	GO:0005634;GO:0030527;GO:0003677;GO:0003700;GO:0000785;GO:0003682;GO:0005829;GO:0006325	High mobility group B protein 2 (High mobility group protein B 1) (AtHMGbeta1) (HMG beta 1) (Nucleosome/chromatin assembly factor group D 02) (Nucleosome/chromatin assembly factor group D 2)
XP_020868214.1	141	AT1G20696.2, AT1G20693.1	AT1G20693.1	other	GO:0005634;GO:0009507;GO:0003677;GO:0030527;GO:0000785;GO:0003682;GO:0003700;GO:0005829;GO:0006325;GO:0016020	High mobility group B protein 2 (High mobility group protein B 1) (AtHMGbeta1) (HMG beta 1) (Nucleosome/chromatin assembly factor group D 02) (Nucleosome/chromatin assembly factor group D 2);High mobility group B protein 3 (High mobility group protein B 2) (AtHMGbeta2) (HMG beta 2) (Nucleosome/chromatin assembly factor group D 03) (Nucleosome/chromatin assembly factor group D 3);High mobility group B3
XP_020868215.1	490	AT1G05160.1	AT1G05160.1	orthologue	GO:0051777;GO:0009686;GO:0016132;GO:0048868;GO:0005506;GO:0010268;GO:0005783;GO:0020037;GO:0005789;GO:0004497;GO:0016705;GO:0007275;GO:0016125;GO:0016491	Ent-kaurenoic acid oxidase 1 (AtKAO1) (EC 1.14.14.107) (Cytochrome P450 88A3)
XP_020868216.1	248	AT5G66560.1	AT5G66560.1	other	GO:0005634;GO:0003674;GO:0016567;GO:0009507	BTB/POZ domain-containing protein At5g66560;Phototropic-responsive NPH3 family protein
XP_020868218.1	346	AT1G13740.1	AT1G13740.1	orthologue	GO:0045892;GO:0009737;GO:0007165;GO:0009414;GO:0005515;GO:0005634	Ninja-family protein AFP2 (ABI five-binding protein 2) (ABI5-binding protein 2)
XP_020868219.1	922	AT1G54920.3	AT1G54920.3	orthologue	GO:0005634;GO:0003674	Uncharacterized protein
XP_020868223.1	507	AT1G48030.1	AT1G48030.1	orthologue	GO:0050660;GO:0005739;GO:0004148;GO:0048046;GO:0006103;GO:0005524;GO:0009416;GO:0045252;GO:0006090;GO:0008270;GO:0046686;GO:0005507;GO:0050897;GO:0045271;GO:0005634;GO:0005759;GO:0016668;GO:0016491	Dihydrolipoyl dehydrogenase 1, mitochondrial (AtmLPD1) (mtLPD1) (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase 1) (Glycine cleavage system L protein 1) (Pyruvate dehydrogenase complex E3 subunit 1) (E3-1) (PDC-E3 1)
XP_020868224.1	140	AT1G12090.1	AT1G12090.1	orthologue	GO:0003674;GO:0005575	At1g12090/T28K15.14 (Extensin-like protein) (F12F1.3 protein) (Putative pEARLI 1)
XP_020868225.1	328	AT2G37670.2	AT2G37670.2	other	GO:0005737;GO:0003674;GO:0005634;;GO:0005515	Putative WD-40 repeat protein (Transducin/WD40 repeat-like superfamily protein);Transducin/WD40 repeat-like superfamily protein
XP_020868226.1	891	AT1G28260.1	AT1G28260.1	orthologue	GO:0000184;GO:0005697;GO:0005634;GO:0042162;GO:0070034;;GO:0005515	Nonsense-mediated mRNA decay factor SMG7-like (Protein SMG7L) (Protetin SMG7-like)
XP_020868231.1	94	AT1G28265.1	AT1G28265.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein
XP_020868232.1	277	AT1G47250.1	AT1G47250.1	orthologue	GO:0005839;GO:0019773;GO:0005829;GO:0006511;GO:0043161;GO:0000502;GO:0009506;GO:0005634;GO:0005737;GO:0003674;GO:0051603	Proteasome subunit alpha type-1-B (20S proteasome alpha subunit F-2) (Proteasome component 2B) (Proteasome subunit alpha type-6)
XP_020868233.1	769	AT1G20160.1	AT1G20160.1	orthologue	GO:0008240;GO:2000122;GO:0004252;GO:0008236;GO:0048046;GO:0005768;GO:1900425;GO:0005576;GO:2000038;GO:0005515;GO:0006508;GO:0010037	CO(2)-response secreted protease (Subtilisin-like serine protease) (AtSBT5.2) (Tripeptidyl-peptidase II) (EC 3.4.14.10);Subtilisin-like serine endopeptidase family protein
XP_020868234.1	525	AT5G62650.1	AT5G62650.1	orthologue	GO:0003674;GO:0015031;GO:0005575;GO:0009507	AT5g62650/MRG21_7 (Tic22-like family protein)
XP_020868235.1	539	AT1G27070.1	AT1G27070.1	orthologue	GO:0030247;GO:0005515;GO:0009507;GO:0010581;GO:2001071;GO:0019252;GO:0009535	Protein PTST homolog 2, chloroplastic (PROTEIN TARGETING TO STARCH homolog 2)
XP_020868236.1	205	AT1G27050.1	AT1G27050.1	orthologue	GO:0003700;GO:0005634;GO:0006355;GO:0003723;GO:0003676	Uncharacterized protein At1g27050
XP_020868237.1	1049	AT1G50840.2	AT1G50840.2	orthologue	GO:0003887;GO:0008408;GO:0005515;GO:0006302;GO:0033259;GO:0006264;GO:0006261;GO:0009536;GO:0005634;GO:0009507;GO:0003677;GO:0005739;GO:0006281;GO:0003676;GO:0006139;GO:0006260	DNA polymerase I A, chloroplastic/mitochondrial (EC 2.7.7.7) (DNA polymerase PolI-like B) (AtPolI-like A) (Polymerase gamma 2) (POLGAMMA2);DNA-directed DNA polymerase (EC 2.7.7.7) (DNA polymerase PolI-like B)
XP_020868238.1	409					
