Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006297175.1	647	AT3G12560.1	AT3G12560.1	orthologue	GO:0005634;GO:0042162;GO:0008301	Telomere repeat-binding protein 3 (Protein TRF-LIKE 9) (Telomeric DNA-binding protein 2) (AtTBP2)
XP_006297176.2	629	AT2G14680.2	AT2G14680.2	orthologue	GO:0005737;GO:0009793;GO:0003674;GO:0005634	Myosin heavy chain-like protein
XP_006297177.1	646	AT3G19240.1	AT3G19240.1	orthologue	GO:0005634;GO:0006499;GO:0005515;GO:0005737;GO:0005635	Dem protein (Vacuolar import/degradation, Vid27-related protein)
XP_006297178.2	880	AT3G16290.1	AT3G16290.1	orthologue	GO:0004176;GO:0004222;GO:0009507;GO:0009941;GO:0005515;GO:0009793;GO:0045037;GO:0016464;GO:0062091;GO:0006508;GO:0016887;GO:0005524;GO:0031969	Probable inactive ATP-dependent zinc metalloprotease FTSHI 2, chloroplastic (AtFTSHI2) (Protein EMBRYO DEFECTIVE 2083) (Protein FTSH INACTIVE PROTEASE 2)
XP_006297179.1	646	AT3G11450.1	AT3G11450.1	orthologue	GO:0009909;GO:0051083;GO:0030544;GO:0009793;GO:0005829;GO:0048366;GO:0043022;GO:0006450;GO:0005634;GO:1902182;GO:0003677	DnaJ and Myb-like DNA-binding domain-containing protein
XP_006297180.2	639	AT3G01420.1	AT3G01420.1	orthologue	GO:0071732;GO:0042742;GO:1902609;GO:0009737;GO:0050832;GO:0009627;GO:0001561;GO:0020037;GO:0034614;GO:0071446;GO:0006629;GO:0005576;GO:0012511;GO:0006979;GO:0016702;GO:0009751;GO:0051213;GO:0004601;GO:0008219;GO:0009626;GO:0031408;GO:0046872;GO:0102672;GO:0016491	Alpha-dioxygenase 1 (Alpha DOX1) (EC 1.13.11.92) (Fatty acid dioxygenase AlphaDOX1) (Pathogen-induced oxygenase) (Plant alpha dioxygenase 1)
XP_006297181.1	643	AT3G18890.1	AT3G18890.1	orthologue	GO:0098807;GO:0009535;GO:0009534;GO:0003674;GO:0009941;GO:0005829;GO:0009507;GO:0009570;GO:0009706;GO:0015031	Protein TIC 62, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 62) (AtTIC62)
XP_006297182.1	643	AT3G19570.2	AT3G19570.2	orthologue	GO:0005880;GO:0005634;GO:0005874;GO:0008017;GO:0005737;GO:0051225;GO:0005777;GO:0009658	Protein SNOWY COTYLEDON 3 (QWRF motif-containing protein 1);SNOWY COTYLEDON protein (DUF566)
XP_006297183.1	642	AT3G07020.1	AT3G07020.1	orthologue	GO:0048316;GO:0016906;GO:0005634;GO:0030259;GO:0005886;GO:0016125;GO:0005829;GO:0005975;GO:0016757;GO:0016126;GO:0016758;GO:0008194	Sterol 3-beta-glucosyltransferase UGT80A2 (EC 2.4.1.173) (UDP-glucose:sterol glucosyltransferase 80A2);sterol 3beta-glucosyltransferase (EC 2.4.1.173)
XP_006297185.1	641	AT3G13772.1	AT3G13772.1	orthologue	GO:0005768;GO:0005794;GO:0005737;GO:0006878;GO:0016020;GO:0072657;GO:0003674;GO:0000138;GO:0000325;GO:0005576;GO:0006882;GO:0005802;GO:0005634;GO:0000139;GO:0006811;GO:0010008	Transmembrane 9 superfamily member 7 (Endomembrane protein 5) (Transmembrane nine protein 7) (AtTMN7)
XP_006297186.1	640	AT2G06510.1	AT2G06510.1	orthologue	GO:0000724;GO:0043047;GO:0007131;GO:0007004;GO:0005662;GO:0051026;GO:0007141;GO:0006289;GO:0009555;GO:0006281;GO:0000785;GO:0003684;GO:0048232;GO:0051321;GO:0005634;GO:0003677;GO:0006260;GO:0008270;GO:0006310;GO:0007140;GO:0003676	Replication protein A 70 kDa DNA-binding subunit A (AtRPA70A) (AtRPA1-3) (Replication factor A protein 1A) (Replication protein A 1A) (AtRPA1A);Replication protein A subunit
XP_006297187.1	639	AT3G16810.1	AT3G16810.1	orthologue	GO:0003723;GO:0009793;GO:0006417;GO:0005634;GO:0005730;GO:0003729	Pumilio homolog 24 (APUM-24) (AtPUM24)
XP_006297189.1	636	AT3G09520.1	AT3G09520.1	orthologue	GO:0006887;GO:0005546;GO:0005634;GO:0000145;GO:0015031	Exocyst subunit Exo70 family protein
XP_006297190.1	636	AT3G22330.1	AT3G22330.1	orthologue	GO:0005634;GO:0032991;GO:0009409;GO:0003729;GO:0000373;GO:0005730;GO:0005739;GO:0009505;GO:0003724;GO:0005829;GO:0005737;GO:0005524;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 53, mitochondrial (EC 3.6.4.13)
XP_006297191.1	636	AT3G03060.1	AT3G03060.1	orthologue	GO:0016887;GO:0005739;GO:0005515;GO:0008270;GO:0009505;GO:0007005;GO:0005524;GO:0005743;GO:0042645	P-loop containing nucleoside triphosphate hydrolases superfamily protein (Putative 26S proteosome regulatory subunit)
XP_006297192.1	635	AT3G07420.1	AT3G07420.1	orthologue	GO:0006421;GO:0006418;GO:0005739;GO:0004816;GO:0005524;GO:0009507;GO:0005737;GO:0004812;GO:0005829;GO:0000166	Asparagine--tRNA ligase, cytoplasmic 2 (EC 6.1.1.22) (Asparaginyl-tRNA synthetase 2) (AsnRS 2) (AtNS2);Asparaginyl-tRNA synthetase 2
XP_006297193.1	633	AT3G08680.1	AT3G08680.1	orthologue	GO:0009506;GO:0016301;GO:0006468;GO:0005515;GO:0005886;GO:0005576;GO:0004672;GO:0009505;GO:0005829;GO:0005524	Probable inactive receptor kinase At3g08680
XP_006297195.1	631	AT2G18330.1	AT2G18330.1	orthologue	GO:0007005;GO:0005515;GO:0005739;GO:0016887;GO:0005524;GO:0008270	AAA-type ATPase family protein (Putative AAA-type ATPase)
XP_006297196.1	631	AT3G24080.1	AT3G24080.1	orthologue	GO:0005634;GO:0000447;GO:0030686;GO:0005730;GO:0003674	KRR1 family protein
XP_006297197.1	631	AT2G14820.1	AT2G14820.1	orthologue	GO:0016567;GO:0071944;GO:0009958;GO:0003674;GO:0005634;GO:0005886;GO:0005829;GO:0005515	Phototropic-responsive NPH3 family protein NPY2 (MAB4/ENP/NPY1-like proten 3) (Protein NAKED PINS IN YUC MUTANTS 2)
XP_006297198.1	629	AT2G17525.1	AT2G17525.1	orthologue	GO:0003729;GO:0005739;GO:0006397;GO:0005737;GO:0005515	Pentatricopeptide repeat-containing protein At2g17525, mitochondrial
XP_006297199.1	629	AT3G18770.1	AT3G18770.1	orthologue	GO:0005776;GO:0034727;GO:1990316;GO:0000407;GO:0019887;GO:0034497;GO:0000045;GO:0000423;GO:0005634;GO:0005829;GO:0015031;GO:0031410;GO:0006914	Autophagy-related protein 13b (AtAPG13b)
XP_006297200.1	629	AT3G19610.1	AT3G19610.1	orthologue	GO:0005874;GO:0008150;GO:0008017	Uncharacterized protein
XP_006297201.2	587	AT3G17970.1	AT3G17970.1	orthologue	GO:0009707;GO:0009507;GO:0009536;GO:0009941;GO:0003674;GO:0005829;GO:0015031;GO:0016020;GO:0005515	Outer envelope protein 64, chloroplastic (Translocon at the outer membrane of chloroplasts 64-III);Translocon at the outer membrane of chloroplasts 64-III
XP_006297202.1	628	AT3G18040.3	AT3G18040.3	orthologue	GO:0035556;GO:0004707;GO:0009738;GO:0005634;GO:0005829;GO:0004672;GO:0005524;GO:0005737;GO:0007165;GO:0005739;GO:0106310;GO:0006468	Mitogen-activated protein kinase 9 (AtMPK9) (MAP kinase 9) (EC 2.7.11.24);mitogen-activated protein kinase (EC 2.7.11.24)
XP_006297203.2	591	AT3G10050.1	AT3G10050.1	orthologue	GO:0009097;GO:0006565;GO:0006567;GO:0004794;GO:0030170;GO:0009507;GO:0003941;GO:0006520	Threonine dehydratase biosynthetic, chloroplastic (EC 4.3.1.19) (Threonine deaminase) (TD)
XP_006297204.1	627	AT3G17330.1	AT3G17330.1	orthologue	GO:0003729;GO:0005737;GO:0005634;GO:0061157;GO:1990247;GO:0003723	COMPLEX 1 LYR-like protein;YTH domain-containing family protein
XP_006297205.1	627	AT3G20770.1	AT3G20770.1	orthologue	GO:0005634;GO:0005515;GO:0009873;GO:0000976;GO:0042742;GO:2000082;GO:0003700;GO:0009723;GO:0006355;GO:0010182;GO:0003677;GO:0001666;GO:0040029;GO:0042393;GO:0003682;GO:0019900	Protein ETHYLENE INSENSITIVE 3
XP_006297206.1	626	AT3G11710.1	AT3G11710.1	orthologue	GO:0006430;GO:0005737;GO:0000049;GO:0005829;GO:0004824;GO:0009506;GO:0003677;GO:0005524;GO:0046872;GO:0003676;GO:0000166;GO:0004812;GO:0006418	Lysine--tRNA ligase, cytoplasmic (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS) (Lysyl-tRNA synthetase 1) (AtKRS-1)
XP_006297207.1	626	AT3G24210.1	AT3G24210.1	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0005737;GO:0012505;GO:0016020;GO:0005515	Ankyrin repeat family protein
XP_006297209.1	626	AT2G18470.1	AT2G18470.1	orthologue	GO:0004672;GO:0005634;GO:0048364;GO:0009845;GO:0004674;GO:0005886;GO:0009738;GO:0019722;GO:0005524;GO:0106310;GO:0006468	Proline-rich receptor-like protein kinase PERK4 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 4) (AtPERK4);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_006297210.1	625	AT3G11590.1	AT3G11590.1	orthologue	GO:0003674;GO:0005634	At3g11590/F24K9_26 (Golgin family A protein);Golgin family A protein
XP_006297211.1	624	AT2G18750.1	AT2G18750.1	orthologue	GO:0080142;GO:0043565;GO:0005634;GO:0003700;GO:0005516;GO:0003677	Calmodulin-binding protein 60 C
XP_006297212.2	572	AT3G19490.1	AT3G19490.1	orthologue	GO:0006848;GO:0050833;GO:0009941;GO:0009507;GO:0006814;GO:0009651;GO:0015297;GO:0015386;GO:0031969;GO:0016020;GO:0055085	Sodium/proton antiporter 1 (AtNHD1) (Na(+)/H(+) antiporter 1)
XP_006297213.1	623	AT3G06440.1	AT3G06440.1	orthologue	GO:0030246;GO:0080147;GO:0000139;GO:0018258;GO:0010405;GO:0048354;GO:0016757;GO:0005794;GO:0008378;GO:1990714;GO:0006486;GO:0009101;GO:0016020;GO:0016758	Galactosyltransferase family protein;Hydroxyproline O-galactosyltransferase GALT3 (EC 2.4.1.-) (Beta-1,3-galactosyltransferase 16)
XP_006297214.1	623	AT2G15630.1	AT2G15630.1	orthologue	GO:0003729;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At2g15630, mitochondrial
XP_006297217.1	623	AT3G06510.2	AT3G06510.2	orthologue	GO:0016757;GO:0050826;GO:0009707;GO:0009941;GO:0008422;GO:0005975;GO:0009409;GO:0009507;GO:0005829;GO:0080079;GO:0009536;GO:0008378;GO:0005886;GO:0046480;GO:0003844;GO:0004553	Galactolipid galactosyltransferase SFR2, chloroplastic (EC 2.4.1.184) (Galactolipid:galactolipid galactosyltransferase) (GGGT) (Protein SENSITIVE TO FREEZING 2) (AtSFR2)
XP_006297218.2	592	AT3G14310.1	AT3G14310.1	orthologue	GO:0080147;GO:0048046;GO:0005515;GO:0051510;GO:0030599;GO:0050829;GO:0009624;GO:0005737;GO:0009505;GO:0010187;GO:0009617;GO:0042742;GO:0050832;GO:0009620;GO:0045490;GO:0048364;GO:0042545;GO:0010468;GO:0003729;GO:0046910;GO:0005829;GO:0004857;GO:0010043	Pectinesterase/pectinesterase inhibitor 3 (Protein OVERLY ZINC SENSITIVE 2) [Cleaved into: Pectinesterase 3 of 42 kDa; Pectinesterase 3 of 38 kDa] [Includes: Pectinesterase inhibitor 3 (Pectin methylesterase inhibitor 3); Pectinesterase 3 (PE 3) (EC 3.1.1.11) (Pectin methylesterase 27) (AtPME27) (Pectin methylesterase 3) (AtPME3)]
XP_006297219.1	622	AT2G17980.1	AT2G17980.1	orthologue	GO:0006890;GO:0016192;GO:0000139;GO:0006886;GO:0019905;GO:0006888;GO:0005739;GO:0015031	SEC1 family transport protein SLY1 (AtSLY1)
XP_006297221.1	621	AT2G20370.1	AT2G20370.1	orthologue	GO:0000138;GO:0009863;GO:0042353;GO:0006486;GO:0009826;GO:0000139;GO:0005794;GO:0016757;GO:0009969;GO:0010256;GO:0005802;GO:0005768;GO:0005515;GO:0032580;GO:0009101	Xyloglucan galactosyltransferase MUR3 (EC 2.4.1.-) (Protein KATAMARI) (Protein MURUS 3) (AtMUR3) (Protein SHORT ROOT IN SALT MEDIUM 3)
XP_006297223.1	621	AT3G14090.1	AT3G14090.1	orthologue	GO:0000145;GO:0005546;GO:0006887;GO:0005634;GO:0015031	Exocyst subunit Exo70 family protein
XP_006297224.1	621	AT3G05270.1	AT3G05270.1	orthologue	GO:0060178;GO:0030674;GO:1903754;GO:0005515;GO:0031410	Filament-like plant protein 3 (AtFPP3) (Protein VESICLE TETHERING 1)
XP_006297226.1	621	AT3G02280.1	AT3G02280.1	other	GO:0050660;GO:0009793;GO:0005515;GO:0010181;GO:0005829;GO:0016491;GO:0005634;GO:0003958;GO:0005737;GO:0016651;GO:0016226;GO:0050661;GO:0160246	NADPH-dependent diflavin oxidoreductase 1 (EC 1.18.1.-) (NADPH-dependent FMN and FAD-containing oxidoreductase)
XP_006297231.1	617	AT3G02880.1	AT3G02880.1	orthologue	GO:0022898;GO:0004672;GO:0005515;GO:1902427;GO:0005886;GO:0016301;GO:0015026;GO:0009505;GO:0009506;GO:0005576;GO:0005829;GO:0005524;GO:0006468	Probable inactive receptor kinase At3g02880
XP_006297232.1	620	AT3G08570.1	AT3G08570.1	orthologue	GO:0003674;GO:0016567;GO:0005575;GO:0005515	BTB/POZ domain-containing protein At3g08570
XP_006297233.1	619	AT3G15355.1	AT3G15355.1	orthologue	GO:0061631;GO:0016567;GO:0005634;GO:0005524	Probable ubiquitin-conjugating enzyme E2 25 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 25) (Ubiquitin carrier protein 25)
XP_006297234.2	601	AT3G13490.1	AT3G13490.1	orthologue	GO:0009507;GO:0006430;GO:0005737;GO:0003729;GO:0004824;GO:0048481;GO:0005739;GO:0000049;GO:0003677;GO:0005524;GO:0046872;GO:0000166;GO:0004812;GO:0006418;GO:0005829;GO:0003676	Lysine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS) (Lysyl-tRNA synthetase 2) (AtKRS-2) (Protein OVULE ABORTION 5)
XP_006297235.1	618	AT2G20790.1	AT2G20790.1	orthologue	GO:0016192;GO:0005764;GO:0005829;GO:0006886;GO:0030131;GO:0005770;GO:0016197;GO:0003674;GO:0005634;GO:0030119;GO:0005739;GO:0030659;GO:0012505	AP-5 complex subunit mu (Adaptor protein complex AP-5 subunit mu) (Adaptor protein-5 mu-adaptin) (Adaptor-related protein complex 5 subunit mu) (Mu5-adaptin);Clathrin adaptor complexes medium subunit family protein
XP_006297236.2	577	AT3G23990.1	AT3G23990.1	orthologue	GO:0000373;GO:0005739;GO:0005759;GO:0022626;GO:0140662;GO:0042026;GO:0003723;GO:0005507;GO:0007005;GO:0005524;GO:0006457;GO:0000325;GO:0009507;GO:0009408;GO:0005829;GO:0051131;GO:0003735	Chaperonin CPN60, mitochondrial (HSP60)
XP_006297237.2	604	AT3G07180.1	AT3G07180.1	orthologue	GO:0016255;GO:0042765;GO:0005783;GO:0005634;GO:0000325;GO:0003674;GO:0006506	GPI transamidase component PIG-S-like protein
XP_006297238.2	603	AT3G21210.1	AT3G21210.1	orthologue	GO:0005634;GO:0003674;GO:0008270	Putative CHP-rich zinc finger protein (Zinc ion binding protein)
XP_006297239.1	615	AT2G13790.1	AT2G13790.1	orthologue	GO:0004714;GO:0009507;GO:0071456;GO:0005515;GO:0005102;GO:0009626;GO:0033612;GO:0009742;GO:0005886;GO:0090351;GO:0005739;GO:0010150;GO:0004675;GO:0006468;GO:0005524;GO:0008219;GO:0106310;GO:0004672	Somatic embryogenesis receptor kinase 4 (AtSERK4) (EC 2.7.10.1) (EC 2.7.11.1) (Protein BAK1-like 1) (AtBKK1) (Somatic embryogenesis receptor-like kinase 2)
XP_006297241.1	614	AT3G21100.3	AT3G21100.3	orthologue	GO:0003674;GO:0005634;GO:0003677;GO:0003723;GO:0008270;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
XP_006297243.1	612	AT2G18915.2	AT2G18915.2	orthologue	GO:0006511;GO:0016567;GO:0015030;GO:0005829;GO:0007623;GO:0005634;GO:0042752;GO:0005515;GO:0019005;GO:0009637;GO:0009881;GO:0009908;GO:0048511	Adagio protein 2 (F-box only protein 2c) (FBX2c) (Flavin-binding kelch repeat F-box protein 1-like protein 1) (FKF1-like protein 1) (LOV kelch protein 2)
XP_006297246.1	609	AT3G22310.1	AT3G22310.1	orthologue	GO:0003724;GO:0009414;GO:0009651;GO:0005634;GO:0003676;GO:0000373;GO:0005737;GO:0032991;GO:0039694;GO:0009409;GO:0019034;GO:0003723;GO:0003677;GO:0005829;GO:0005524;GO:0005739;GO:0016887;GO:0006950;GO:0016787	DEAD-box ATP-dependent RNA helicase 9, mitochondrial (EC 3.6.4.13);RNA helicase (EC 3.6.4.13)
XP_006297247.1	609	AT3G23940.1	AT3G23940.1	orthologue	GO:0009570;GO:0009507;GO:0009536;GO:0009099;GO:0009082;GO:0009555;GO:0004160;GO:0048364;GO:0009651;GO:0009553;GO:0016836;GO:0005507;GO:0009097;GO:0051537;GO:0003824	Dihydroxy-acid dehydratase, chloroplastic (AthDHAD) (DAD) (EC 4.2.1.9)
XP_006297248.1	609	AT3G18060.1	AT3G18060.1	orthologue	GO:0051015;GO:0030864;GO:0080008;GO:0009507;GO:0030042;GO:0005829;GO:0003779;GO:0005515	Actin-interacting protein 1-2
XP_006297249.1	607	AT3G09550.2	AT3G09550.2	orthologue	GO:0005634;GO:0003674;GO:0005886;GO:0008150;GO:0005515	Ankyrin repeat family protein
XP_006297250.1	609	AT3G05740.1	AT3G05740.1	orthologue	GO:0003676;GO:0005634;GO:0000724;GO:0009378;GO:0042631;GO:0005737;GO:0070417;GO:0005694;GO:0006268;GO:0043138;GO:0006310;GO:0003677;GO:0004386;GO:0005524;GO:0016887;GO:0046872;GO:0006281;GO:0032508	ATP-dependent DNA helicase (EC 5.6.2.4);ATP-dependent DNA helicase Q-like 1 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ1) (RecQ-like protein 1) (AtRecQ1) (AtRecQl1)
XP_006297251.1	608	AT3G13600.1	AT3G13600.1	orthologue	GO:0005634;GO:0003674;GO:0005737	IQ domain-containing protein IQM2 (IQ motif-containing protein 2)
XP_006297252.1	608	AT3G06650.1	AT3G06650.1	orthologue	GO:0005737;GO:0140615;GO:0006633;GO:0005829;GO:0006085;GO:0003878;GO:0005524;GO:0006629;GO:0046872;GO:0003824;GO:0046912	ATP-citrate synthase beta chain protein 1 (ATP-citrate synthase B-1) (EC 2.3.3.8) (ATP-citrate lyase B-1) (Citrate cleavage enzyme B-1)
XP_006297253.1	606	AT3G24440.1	AT3G24440.1	orthologue	GO:0010048;GO:0009409;GO:0005677;GO:0009909;GO:0045814;GO:0005515;GO:0048575;GO:0040029;GO:0005634;GO:0016607;GO:0048572;GO:0008270;GO:0009908	Fibronectin type III domain-containing protein;VIN3-like protein 1 (Protein VERNALIZATION 5)
XP_006297254.1	606	AT3G14900.1	AT3G14900.1	orthologue	GO:0009507;GO:0009793;GO:0003674;GO:0009570	Uncharacterized protein At3g14900
XP_006297255.1	606	AT3G16170.1	AT3G16170.1	orthologue	GO:0090409;GO:0090410;GO:0031956;GO:0005829;GO:0005739;GO:0006631;GO:0009507;GO:0006633;GO:0005634	Malonate--CoA ligase (EC 6.2.1.76) (Acyl-activating enzyme 13) (Malonyl-CoA synthetase)
XP_006297256.1	605	AT3G06150.1	AT3G06150.1	orthologue	GO:0005575;GO:0003674	Cytochrome P450 family protein (F28L1.9 protein)
XP_006297257.1	602	AT3G18440.1	AT3G18440.1	orthologue	GO:0005886;GO:0009705;GO:0005253;GO:0015743	Aluminum-activated malate transporter 9 (AtALMT9)
XP_006297259.1	600	AT3G09360.1	AT3G09360.1	orthologue	GO:0006352;GO:0070897;GO:0017025;GO:0005634;GO:0006383;GO:0097550;GO:0001006;GO:0000126;GO:0055046;GO:0000995	Cyclin/Brf1-like TBP-binding protein;Cyclin/Brf1-like TBP-binding protein (Putative transcription factor)
XP_006297260.1	600	AT3G10720.2	AT3G10720.2	orthologue	GO:0042545;GO:0046910;GO:0005576;GO:0045490;GO:0004857;GO:0030599	Probable pectinesterase/pectinesterase inhibitor 25 [Includes: Pectinesterase inhibitor 25 (Pectin methylesterase inhibitor 25); Pectinesterase 25 (PE 25) (EC 3.1.1.11) (Pectin methylesterase 25) (AtPME25)]
XP_006297261.2	605	AT3G25060.1	AT3G25060.1	orthologue	GO:0043231;GO:0009451;GO:0003723;GO:0005739;GO:0005515	Putative pentatricopeptide repeat-containing protein At3g25060, mitochondrial
XP_006297263.2	554	AT3G19850.1	AT3G19850.1	orthologue	GO:0005634;GO:0003674;GO:0016567;GO:0005515	BTB/POZ domain-containing protein At3g19850
XP_006297264.1	598	AT3G22520.1	AT3G22520.1	orthologue	GO:0009941;GO:0009570;GO:0009507;GO:0005634;GO:0003674	Spindle assembly abnormal protein
XP_006297265.1	598	AT3G14440.1	AT3G14440.1	orthologue	GO:0016121;GO:0009570;GO:0009507;GO:0009688;GO:0010436;GO:0042538;GO:0045549;GO:0006970;GO:0009414;GO:0009535;GO:0046872;GO:0016702	9-cis-epoxycarotenoid dioxygenase NCED3, chloroplastic (AtNCED3) (EC 1.13.11.51) (Protein SALT TOLERANT 1)
XP_006297267.1	598	AT3G14720.1	AT3G14720.1	orthologue	GO:0005634;GO:0004707;GO:0005737;GO:0005739;GO:0005515;GO:0035556;GO:0007165;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase 19 (AtMPK19) (MAP kinase 19) (EC 2.7.11.24);mitogen-activated protein kinase (EC 2.7.11.24)
XP_006297268.1	597	AT3G16180.1	AT3G16180.1	orthologue	GO:0080054;GO:0015706;GO:0022857;GO:0055085;GO:0005886;GO:0016020	Protein NRT1/ PTR FAMILY 1.1 (AtNPF1.1) (Nitrate transporter 1.12)
XP_006297269.1	596	AT3G66658.2	AT3G66658.2	orthologue	GO:0043878;GO:0005783;GO:0004029;GO:0005737;GO:0006081;GO:0005576;GO:0016620;GO:0016491	Aldehyde dehydrogenase;Aldehyde dehydrogenase 22A1 (EC 1.2.1.3) (Novel aldehyde dehydrogenase family 22 member A1)
XP_006297270.1	596	AT3G22960.1	AT3G22960.1	orthologue	GO:0006096;GO:0004743;GO:0009507;GO:0009570;GO:0010431;GO:0005737;GO:0030955;GO:0006629;GO:0000287;GO:0005524;GO:0016301;GO:0003824	Plastidial pyruvate kinase 1, chloroplastic (PK1) (PKp1) (EC 2.7.1.40) (Pyruvate kinase II) (Pyruvate kinase isozyme A) (PKP-ALPHA)
XP_006297271.1	596	AT3G13470.1	AT3G13470.1	orthologue	GO:0005730;GO:0009507;GO:0042026;GO:0051085;GO:0009570;GO:0009941;GO:0140662;GO:0005739;GO:0005634;GO:0003729;GO:0022626;GO:0005524;GO:0006457	Chaperonin 60 subunit beta 2, chloroplastic (CPN-60 beta 2)
XP_006297274.2	560	AT3G08590.1	AT3G08590.1	orthologue	GO:0009637;GO:0006007;GO:0006096;GO:0048046;GO:0005737;GO:0010118;GO:0046537;GO:0009506;GO:0030145;GO:0005829;GO:0009737;GO:0009555;GO:0005975;GO:0010037;GO:0004619;GO:0003824;GO:0046872	Probable 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 2 (BPG-independent PGAM 2) (Phosphoglyceromutase 2) (EC 5.4.2.12) (PGAM-I 2)
XP_006297276.1	592	AT3G14010.5	AT3G14010.5	orthologue	GO:0005634;GO:0003729;GO:0003723;GO:0034063;GO:0010494;GO:0005515	CTC-interacting domain 4;Polyadenylate-binding protein-interacting protein 4 (PABP-interacting protein 4) (Poly(A)-binding protein-interacting protein 4) (PAM2-containing protein CID4) (Protein CTC-INTERACTING DOMAIN 4)
XP_006297279.1	590	AT1G53840.1, AT3G14300.1	AT1G53840.1	other	GO:0004857;GO:0045490;GO:0030599;GO:0042545;GO:0005634;GO:0009506;GO:0046910;GO:0071456;GO:0005802;GO:0005768;GO:0051722;GO:0000325;GO:0005886;GO:0005794;GO:0005515;GO:0005576;GO:0000139;GO:0016020	Pectinesterase 1 (PE 1) (EC 3.1.1.11) (Pectin methylesterase 1) (AtPME1);Putative pectinesterase/pectinesterase inhibitor 26 (AtPMEpcrC) [Includes: Pectinesterase inhibitor 26 (Pectin methylesterase inhibitor 26); Pectinesterase 26 (PE 26) (EC 3.1.1.11) (Pectin methylesterase 26) (AtPME26)]
XP_006297280.1	592	AT3G12670.1	AT3G12670.1	orthologue	GO:0009793;GO:0019856;GO:0044210;GO:0006241;GO:0042802;GO:0009733;GO:0005829;GO:0003883;GO:0005524;GO:0006221	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)
XP_006297281.1	592	AT3G17770.1	AT3G17770.1	orthologue	GO:0019563;GO:0004371;GO:0005737;GO:0005829;GO:0006071;GO:0005524	At3g17770 (Dihydroxyacetone kinase)
XP_006297282.1	591	AT3G10200.2	AT3G10200.2	orthologue	GO:0005737;GO:0005789;GO:0008168;GO:0032259;GO:0012505;GO:0016020;GO:0005768;GO:0005802	Methyltransferase (EC 2.1.1.-);Probable methyltransferase PMT6 (EC 2.1.1.-)
XP_006297283.2	563	AT3G01120.1	AT3G01120.1	orthologue	GO:0009507;GO:0003962;GO:0009086;GO:0030170;GO:0009570;GO:0001887;GO:0019346	Cystathionine gamma-synthase 1, chloroplastic (AtCGS1) (EC 2.5.1.160) (METHIONINE OVERACCUMULATION 1) (O-succinylhomoserine (thiol)-lyase)
XP_006297284.1	589	AT3G12360.1	AT3G12360.1	orthologue	GO:0005886;GO:0005737;GO:0009651;GO:0005515;GO:0005634	Ankyrin repeat family protein;Ankyrin repeat-containing protein ITN1 (Protein INCREASED TOLERANCE TO NACL)
XP_006297287.1	588	AT2G15620.1	AT2G15620.1	orthologue	GO:0009570;GO:0010167;GO:0009507;GO:0048046;GO:0050421;GO:0042128;GO:0005739;GO:0048307;GO:0020037;GO:0046872;GO:0051539;GO:0016491;GO:0051536	Ferredoxin--nitrite reductase, chloroplastic (NiR) (EC 1.7.7.1)
XP_006297288.1	587	AT2G19380.1	AT2G19380.1	orthologue	GO:0005634;GO:0008270;GO:0003677;GO:0008150;GO:0003729;GO:0003723;GO:0003676;GO:0000122;GO:0005730;GO:0006364	UBP1-associated proteins 1C
XP_006297289.1	587	AT2G19870.1	AT2G19870.1	orthologue	GO:0031167;GO:0009507;GO:0000154;GO:0008173;GO:0003729;GO:0005739;GO:0016435;GO:0008168;GO:0003723;GO:0006396	rRNA methyltransferase 1, mitochondrial
XP_006297290.2	568	AT3G21230.1	AT3G21230.1	orthologue	GO:0016207;GO:0009507;GO:0009699;GO:0005524;GO:0050563;GO:0106286;GO:0016874;GO:0016405	4-coumarate--CoA ligase 4 (4CL 4) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 5) (At4CL5) (4-coumaroyl-CoA synthase 4) (Sinapate--CoA ligase) (EC 6.2.1.-);4-coumarate:CoA ligase 5
XP_006297291.1	586	AT3G08660.1	AT3G08660.1	orthologue	GO:0005634;GO:0016567;GO:0003674;GO:0009507;GO:0005515	Phototropic-responsive NPH3 family protein;Putative BTB/POZ domain-containing protein At3g08660
