Arabidopsis_lyrata_Rawat	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
AL4G44450	385	AT2G45350.1	AT2G45350.1	other	GO:0016556;GO:1900865;GO:0005515;GO:0009507;GO:0005773;GO:0003723;GO:0006397;GO:0009451	Pentatricopeptide repeat-containing protein At2g45350, chloroplastic (Protein CHLORORESPIRATORY REDUCTION 4)
AL4G44460	468	AT2G45340.1	AT2G45340.1	orthologue	GO:0004672;GO:0045088;GO:0005515;GO:0005524;GO:0006468;GO:0005886;GO:0016020	Leucine-rich repeat protein kinase family protein (Leucine-rich repeat receptor-like protein kinase) (Putative receptor-like protein kinase)
AL4G44470	385	AT2G45350.1	AT2G45350.1	other	GO:0016556;GO:1900865;GO:0005515;GO:0009507;GO:0005773;GO:0003723;GO:0006397;GO:0009451	Pentatricopeptide repeat-containing protein At2g45350, chloroplastic (Protein CHLORORESPIRATORY REDUCTION 4)
AL4G44480	468	AT2G45340.1	AT2G45340.1	orthologue	GO:0004672;GO:0045088;GO:0005515;GO:0005524;GO:0006468;GO:0005886;GO:0016020	Leucine-rich repeat protein kinase family protein (Leucine-rich repeat receptor-like protein kinase) (Putative receptor-like protein kinase)
AL4G44490	606	AT2G45350.1	AT2G45350.1	orthologue	GO:0016556;GO:1900865;GO:0005515;GO:0009507;GO:0005773;GO:0003723;GO:0006397;GO:0009451	Pentatricopeptide repeat-containing protein At2g45350, chloroplastic (Protein CHLORORESPIRATORY REDUCTION 4)
AL4G44510	278	AT2G45380.1	AT2G45380.1	orthologue	GO:0005634;GO:0003674;GO:0005737	AT2G45380 protein (Myeloid leukemia factor);Myeloid leukemia factor
AL4G44520	308	AT3G60800.1	AT3G60800.1	other	GO:0009507;GO:0010150;GO:0019706;GO:0006612;GO:0000138;GO:0019707;GO:0005794;GO:2000377;GO:0005769;GO:0005802;GO:1900055;GO:0005783;GO:0016020;GO:0016409	Probable protein S-acyltransferase 14 (EC 2.3.1.225) (Probable palmitoyltransferase At3g60800) (Zinc finger DHHC domain-containing protein At3g60800)
AL4G44530	450					
AL4G44540	357	AT3G60980.1	AT3G60980.1	other	GO:0003674;GO:0006979;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At3g60980, mitochondrial
AL4G44550	455	AT3G60980.1	AT3G60980.1	other	GO:0003674;GO:0006979;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At3g60980, mitochondrial
AL4G44570	360	AT2G45400.1	AT2G45400.1	orthologue	GO:0010422;GO:0016131;GO:0005634;GO:0016132;GO:0009813;GO:0009646;GO:0016616;GO:0005737;GO:0016491	NAD(P)-binding Rossmann-fold superfamily protein;Protein BRI1-5 ENHANCED 1 (EC 1.1.1.-)
AL4G44580	193	AT2G45410.1	AT2G45410.1	orthologue	GO:0005634;GO:0001216;GO:0045893;GO:0009755;	LOB domain-containing protein 19 (ASYMMETRIC LEAVES 2-like protein 23) (AS2-like protein 23)
AL4G44590	260	AT2G45420.1	AT2G45420.1	orthologue	GO:0009755;GO:0045893;GO:0010089;GO:0010311;GO:0046982;GO:0005515;GO:0000987;GO:0001216;GO:0005634;GO:1990110	LOB domain-containing protein 18 (ASYMMETRIC LEAVES 2-like protein 20) (AS2-like protein 20)
AL4G44600	318	AT2G45430.1	AT2G45430.1	orthologue	GO:0005634;GO:0009640;GO:0010228;GO:0005515;GO:0003700;GO:0042826;GO:0009647;GO:0003680;GO:0009908	AT-hook motif nuclear-localized protein 22
AL4G44610	365	AT2G45440.1	AT2G45440.1	orthologue	GO:0009507;GO:0009089;GO:0008840;GO:0019877;GO:0016829	4-hydroxy-tetrahydrodipicolinate synthase 2, chloroplastic (HTPA synthase 2) (EC 4.3.3.7)
AL4G44620	92	AT2G45450.1	AT2G45450.1	orthologue	GO:0009943;GO:0005739;GO:0010358;GO:0005515	Protein LITTLE ZIPPER 1
AL4G44630	908	AT2G45460.3	AT2G45460.3	orthologue	GO:0005737;GO:0003674;;GO:0005515	SMAD/FHA domain-containing protein
AL4G44640	420	AT2G45470.1	AT2G45470.1	orthologue	GO:0099503;GO:0003674;GO:0005886;GO:0016020;GO:0048046;GO:0005829;GO:0009507;GO:0098552	Fasciclin-like arabinogalactan protein 8 (AtAGP8)
AL4G44650	432	AT2G45480.3	AT2G45480.3	orthologue	GO:0048366;GO:0005739;GO:0006355;GO:0005515;GO:0006351;GO:0005524;GO:0005634;GO:0099402;GO:0032502	Growth-regulating factor;Growth-regulating factor 9 (AtGRF9) (Transcription activator GRF9)
AL4G44660	288	AT2G45490.1	AT2G45490.1	orthologue	GO:0044022;GO:0035175;GO:0005634;GO:0007052;GO:0043687;GO:0016310;GO:0005876;GO:0006468;GO:0051233;GO:0044024;GO:0032465;GO:0005515;GO:0005819;GO:0000775;GO:0032133;GO:0005524;GO:0048471;GO:0106310;GO:0004674;GO:0004672	Aurora kinase (EC 2.7.11.1);Serine/threonine-protein kinase Aurora-3 (AtAur3) (EC 2.7.11.1) (Aurora-like kinase 3)
AL4G44670	491	AT2G45500.5	AT2G45500.5	orthologue	GO:0005634;GO:0015630;GO:0016887;GO:0000226;GO:0005524;GO:0005874;GO:0016853;GO:0005737;GO:0005819;GO:0008568;GO:0051013	microtubule-severing ATPase (EC 5.6.1.1)
AL4G44680	511	AT2G45510.1	AT2G45510.1	orthologue	GO:0005783;GO:0008150;GO:0020037;GO:0016705;GO:0005506;GO:0006629;GO:0016020;GO:0016713;GO:0004497	At2g45510 (Cytochrome P450, family 704, subfamily A, polypeptide 2) (Putative cytochrome P450)
AL4G44690	473	AT2G44890.1	AT2G44890.1	orthologue	GO:0004497;GO:0016705;GO:0008150;GO:0020037;GO:0005506;GO:0005576;GO:0016020;GO:0006629;GO:0016713	Cytochrome P450, family 704, subfamily A, polypeptide 1
AL4G44700	205	AT2G45520.1	AT2G45520.1	orthologue	GO:0005739;GO:0003674	Coiled-coil protein (Expressed protein)
AL4G44710	240	AT2G45530.1	AT2G45530.1	orthologue	GO:0008150;GO:0008270;GO:0005737;GO:0016020	At2g45530 (Expressed protein) (RING/U-box superfamily protein)
AL4G44720	2924	AT2G45540.2	AT2G45540.2	orthologue	GO:0005634;GO:0003674;;GO:0005515	BEACH domain-containing protein C2 (BEACH-domain homolog C2)
AL4G44730	506	AT2G45560.1	AT2G45560.1	orthologue	GO:0005506;GO:0009507;GO:0016705;GO:0004497;GO:0020037;GO:0016020	Cytochrome P450 76C1 (EC 1.14.-.-);Cytochrome P450, family 76, subfamily C, polypeptide 1
AL4G44740	512	AT2G45570.1	AT2G45570.1	orthologue	GO:0016705;GO:0005575;GO:0020037;GO:0005506;GO:0004497;GO:0016020	Cytochrome P450 76C2 (EC 1.14.-.-) (Protein YELLOW-LEAF-SPECIFIC GENE 6)
AL4G44750	513	AT2G45580.1	AT2G45580.1	orthologue	GO:0016709;GO:0016705;GO:0005506;GO:0016020;GO:0004497;GO:0020037;GO:0005576	Cytochrome P450 76C3 (EC 1.14.-.-);Cytochrome P450, family 76, subfamily C, polypeptide 3
AL4G44760	681	AT2G45590.1	AT2G45590.1	orthologue	GO:0044024;GO:0006468;GO:0005634;GO:0004674;GO:0005524;GO:0005886;GO:0106310;GO:0004672	Receptor-like serine/threonine-protein kinase At2g45590 (EC 2.7.11.1)
AL4G44770	327	AT2G45600.1	AT2G45600.1	orthologue	GO:0005634;GO:0106435;GO:0016787	Probable carboxylesterase 8 (AtCXE8) (EC 3.1.1.1)
AL4G44780	324	AT2G45610.1	AT2G45610.1	orthologue	GO:0106435;GO:0008150;GO:0005634;GO:0016787	Probable carboxylesterase 9 (AtCXE9) (EC 3.1.1.1)
AL4G44790	757	AT2G45620.1	AT2G45620.1	orthologue	GO:0010587;GO:0000289;GO:1900369;GO:0071076;GO:0050265;GO:0005634;GO:0003729;GO:0006397;GO:0005515;GO:0000932;GO:0046872;GO:0016779;GO:0031123	UTP:RNA uridylyltransferase 1 (EC 2.7.7.52)
AL4G44800	331	AT2G45630.2, AT5G28310.1	AT2G45630.2	orthologue	GO:0005737;GO:0005829;GO:0016618;GO:0051287;GO:0030267;GO:0009507;GO:0016616;GO:0140256;GO:0016020;GO:0009854	At2g45630/F17K2.16 (D-isomer specific 2-hydroxyacid dehydrogenase family protein) (Putative glycerate dehydrogenase);D-isomer specific 2-hydroxyacid dehydrogenase family protein (Putative glycerate dehydrogenase);NAD(P)-binding Rossmann-fold superfamily protein
AL4G44810	151	AT2G45640.1	AT2G45640.1	orthologue	GO:0005730;GO:0005515;GO:0005829;GO:0005634;GO:0045892;GO:0003714;GO:0009737;GO:0009651;GO:0008134	18 kDa Sin3-associated polypeptide;Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide)
AL4G44820	249	AT2G45650.1	AT2G45650.1	orthologue	GO:0045944;GO:0000977;GO:0009911;GO:0005634;GO:0005515;GO:0048437;GO:0003700;GO:0010228;GO:0000976;GO:0006357;GO:0000981;GO:0046983;GO:0000978;GO:0030154;GO:0003677;GO:0006355	Agamous-like MADS-box protein AGL6
AL4G44830	214	AT2G45660.1	AT2G45660.1	orthologue	GO:0010077;GO:0006357;GO:0005515;GO:0009908;GO:0045944;GO:0009911;GO:0003700;GO:0009739;GO:0000977;GO:0045893;GO:0000981;GO:0009409;GO:0000978;GO:0005634;GO:0046983;GO:0005737;GO:0030154;GO:0050793;GO:0003677;GO:0006355	AGAMOUS-like 20;MADS-box protein SOC1 (Agamous-like MADS-box protein AGL20) (Protein SUPPRESSOR OF CONSTANS OVEREXPRESSION 1)
AL4G44840	528	AT2G45670.1	AT2G45670.1	orthologue	GO:0000038;GO:0006644;GO:0071618;GO:0005509;GO:0047159;GO:0071617;GO:0005575;GO:0000139;GO:0008654;GO:0031902;GO:0047184;GO:0106262;GO:0106263;GO:0016746;GO:0008374	Lysophospholipid acyltransferase LPEAT2 (EC 2.3.1.23) (EC 2.3.1.n6) (EC 2.3.1.n7) (Lysophosphatidylethanolamine acyltransferase 2) (AtLPEAT2)
AL4G44850	366	AT2G45680.1	AT2G45680.1	orthologue	GO:0009624;GO:0005515;GO:0048364;GO:0005737;GO:0005634;GO:0003700;GO:1900056;GO:0006355;GO:0043565;GO:0000976;GO:0008361	Transcription factor TCP9
AL4G44860	368	AT2G45690.1	AT2G45690.1	orthologue	GO:0005778;GO:0005789;GO:0007031;GO:0003674;GO:0005777;GO:0006633	Peroxisome biogenesis protein 16 (Peroxin-16) (AtPEX16) (AtPex16p) (Protein SHRUNKEN SEED 1)
AL4G44870	73	AT2G45695.1	AT2G45695.1	orthologue	GO:0032447;GO:0005634;GO:0031386;GO:0002098;GO:0005829;GO:0034227;GO:0005737	Ubiquitin-related modifier 1 homolog 1
AL4G44880	726	AT2G45700.1	AT2G45700.1	orthologue	GO:0006303;GO:0005634;GO:0003684;GO:0036297;GO:0035312;GO:0016020;GO:0005515	Sterile alpha motif (SAM) domain-containing protein
AL4G44890	135	AT3G61110.1	AT3G61110.1	other	GO:0022627;GO:0000028;GO:0003729;GO:0003735;GO:0005737;GO:0022626;GO:0006412;GO:0003723;GO:0009506;GO:0005840;GO:0009505;GO:0008270	Small ribosomal subunit protein eS27y (40S ribosomal protein S27-2)
AL4G44900	153	AT5G49200.1	AT5G49200.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0003677;GO:0008270;GO:0005515	Zinc finger CCCH domain-containing protein 62 (AtC3H62) (Zinc finger CCCH domain and WD40 repeat-containing protein 4)
AL4G44910	553	AT2G45720.1	AT2G45720.1	orthologue	GO:0005575;GO:0003674;;GO:0005515	ARM repeat superfamily protein (At2g45720)
AL4G44920	447	AT2G45730.1	AT2G45730.1	orthologue	GO:0005515;GO:0005634;GO:0030488;GO:0031515;GO:0003743	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
AL4G44930	236	AT2G45740.1	AT2G45740.1	orthologue	GO:0042802;GO:0007031;GO:0005777;GO:0005778;GO:0005515;GO:0009507;GO:0005829;GO:0016559;GO:0005739;GO:0044375	Peroxisomal membrane protein 11D (Peroxin-11D) (AtPEX11d)
AL4G44940	631	AT2G45750.1	AT2G45750.1	orthologue	GO:0005737;GO:0005789;GO:0008168;GO:0032259;GO:0005768;GO:0005802	Probable methyltransferase PMT16 (EC 2.1.1.-)
AL4G44950	381	AT3G61180.1	AT3G61180.1	other	GO:0006511;GO:0000325;GO:0005634;GO:0016567;GO:0061630;GO:0008270;GO:0016020	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
AL4G44960	200	AT2G45760.1	AT2G45760.1	orthologue	GO:0005575;GO:0003674;GO:0006952;GO:0016020	BON1-associated protein 2 (Protein BON1-ASSOCIATED PROTEIN 1-LIKE)
AL4G44970	366	AT2G45770.1	AT2G45770.1	orthologue	GO:0009772;GO:0006614;GO:0009507;GO:0005047;GO:0006605;GO:0045038;GO:0016887;GO:0009534;GO:0005829;GO:0016020;GO:0005515;GO:0010027;GO:0003924;GO:0005525;GO:0009535;GO:0009570;GO:0046872	Cell division protein FtsY homolog, chloroplastic (Chloroplast SRP receptor homolog, alpha subunit CpFtsY) (Fused signal recognition particle receptor)
AL4G44980	169	AT4G00580.1	AT4G00580.1	other	GO:0005634;GO:0003674;GO:0008150	COP1-interacting protein-like protein;COP1-interacting protein-like protein (F6N23.4 protein)
AL4G44990	246	AT2G45790.1	AT2G45790.1	orthologue	GO:0004615;GO:0005515;GO:0019853;GO:0005829;GO:0006013;GO:0009298;GO:0006487;GO:0005737;GO:0046872	Phosphomannomutase (AtPMM) (EC 5.4.2.8)
AL4G45000	53					
AL4G45010	225	AT2G45800.1	AT2G45800.1	orthologue	GO:0051017;GO:0051015;GO:0005634;GO:0015629;GO:0005886;GO:0005737;GO:0005856;GO:0046872	LIM domain-containing protein PLIM2a (Pollen-expressed LIM protein 2) (AtPLIM2)
AL4G45020	521	AT2G45810.1	AT2G45810.1	orthologue	GO:0017148;GO:0034063;GO:0003724;GO:0033962;GO:0003729;GO:0005515;GO:0000932;GO:0010494;GO:0005737;GO:0005524;GO:0006397;GO:0006417;GO:0016887;GO:0051028;GO:0003676	DEAD-box ATP-dependent RNA helicase 6 (EC 3.6.4.13)
AL4G45030	190	AT2G45820.1	AT2G45820.1	orthologue	GO:0009506;GO:0005515;GO:0005886;GO:0051607;GO:0051665;GO:0009751;GO:0005829	Remorin (DNA-binding protein)
AL4G45040	526	AT2G45830.1	AT2G45830.1	orthologue	GO:0005576;GO:0005634;GO:0003674;GO:0016740	At2g45830 (Downstream target of AGL15 2);Downstream target of AGL15 2 (Glycosyltransferase)
AL4G45050	472	AT2G45840.1	AT2G45840.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0016020;GO:0016740	Glycosyltransferase (O-glucosyltransferase rumi-like protein (DUF821))
AL4G45060	340	AT2G45850.1	AT2G45850.1	orthologue	GO:0005634;GO:0003680;GO:0005886;GO:0003677	AT-hook motif nuclear-localized protein;AT-hook motif nuclear-localized protein 9
AL4G45070	79	AT2G45860.1	AT2G45860.1	orthologue	GO:0003674;GO:0005575	At2g45860
AL4G45080	410	AT2G45870.1	AT2G45870.1	orthologue	GO:0005886;GO:0042548;GO:0009533;GO:0005254;GO:0005247;GO:0042651;GO:0009535;GO:0034707;GO:0016020	Bestrophin-like protein;Voltage-dependent chloride channel 2, chloroplastic (AtVCCN2) (BESTROPHIN-like protein 2) (AtBest2)
AL4G45090	677	AT2G45880.1	AT2G45880.1	orthologue	GO:0016161;GO:0003700;GO:0005515;GO:0005634;GO:0048831;GO:0005576;GO:0000272;GO:0005737;GO:0016798	Beta-amylase 7 (EC 3.2.1.2) (1,4-alpha-D-glucan maltohydrolase) (Beta-amylase 4)
AL4G45100	435	AT2G45890.1	AT2G45890.1	orthologue	GO:0005515;GO:0009664;GO:0005085;GO:0048767;GO:0016324;GO:0005886;GO:0005634;GO:0009531;GO:0005737;GO:0050832	Rop guanine nucleotide exchange factor 4 (AtRopGEF4) (Rho of plants guanine nucleotide exchange factor 4)
AL4G45110	666	AT2G45900.1	AT2G45900.1	orthologue	GO:0005634;GO:0009739;GO:0003674;GO:0009506	Phosphatidylinositol N-acetyglucosaminlytransferase subunit P-like protein
AL4G45120	834	AT2G45910.1	AT2G45910.1	orthologue	GO:0005634;GO:0005829;GO:0004842;GO:0016567;GO:0004674;GO:0005524;GO:0106310;GO:0004672;GO:0006468	U-box domain-containing protein 33 (Plant U-box protein 33) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)]
AL4G45130	405	AT2G45920.1	AT2G45920.1	orthologue	GO:0016567;GO:0004842;GO:0005737	RING-type E3 ubiquitin transferase (EC 2.3.2.27);U-box domain-containing protein 37 (EC 2.3.2.27) (Plant U-box protein 37) (RING-type E3 ubiquitin transferase PUB37)
AL4G45140	259	AT3G61410.3	AT3G61410.3	other	GO:0003674;GO:0005634;GO:0016301	RING-type E3 ubiquitin transferase (EC 2.3.2.27)
AL4G45160	389	AT2G45940.2	AT2G45940.2	orthologue	GO:0005739;GO:0003674;GO:0008150	KIB1-4 beta-propeller domain-containing protein
AL4G45170	342	AT2G45950.2	AT2G45950.2	orthologue	GO:0031146;GO:0005634;GO:0006511;GO:0005737;GO:0097602;GO:0016567;GO:0019005;GO:0009733;GO:0009734;GO:0009753;GO:0009867	SKP1-like protein 20 (AtSK20)
AL4G45180	286	AT1G01620.1, AT3G61430.1, AT4G00430.1, AT4G23400.1	AT3G61430.1	other	GO:0005515;GO:0015267;GO:0005886;GO:0015250;GO:0009414;GO:0055085;GO:0005576;GO:0006833;GO:0005829;GO:0009941;GO:0005739;GO:0009506;GO:0000325;GO:0016020	Aquaporin PIP1-1 (AtPIP1;1) (Plasma membrane aquaporin-1) (Plasma membrane intrinsic protein 1a) (PIP1a);Aquaporin PIP1-3 (AtPIP1;3) (Plasma membrane intrinsic protein 1c) (PIP1c) (Transmembrane protein B) (TMP-B);Plasma membrane intrinsic protein 14;Plasma membrane intrinsic protein 1C;Probable aquaporin PIP1-4 (Plasma membrane intrinsic protein 1-4) (AtPIP1;4) (Transmembrane protein C) (TMP-C);Probable aquaporin PIP1-5 (AtPIP1;5) (Plasma membrane intrinsic protein 1d) (PIP1d)
AL4G45190	524	AT2G45970.1	AT2G45970.1	orthologue	GO:0005506;GO:0008610;GO:0070330;GO:0005576;GO:0006631;GO:0020037;GO:0010214;GO:0018685;GO:0016020;GO:0016712;GO:0004497;GO:0016705	Cytochrome P450 86A8 (EC 1.14.14.1) (Protein LACERATA)
AL4G45210	265	AT2G45980.1	AT2G45980.1	orthologue	GO:1904962;GO:0005783;GO:0005829;GO:0005515;GO:0005622;GO:0005634;GO:0043231;GO:0009570;GO:0071211;GO:0005789;GO:0031969	ATG8-interacting protein 1
AL4G45220	268	AT2G45990.1	AT2G45990.1	orthologue	GO:0005768;GO:0009507;GO:0009570;GO:0035493;GO:0000323;GO:0005829;GO:0000149;GO:0008168;GO:0032259	AT2G45990 protein (Expressed protein) (Ribosomal RNA small subunit methyltransferase G);Ribosomal RNA small subunit methyltransferase G
AL4G45230	206	AT2G46000.1	AT2G46000.1	orthologue	GO:0003674;GO:0005575;GO:0008150;;GO:0006457	At2g46000 (Expressed protein) (LDL receptor wingless signaling/trafficking chaperone)
AL4G45240	2187	AT2G46020.2	AT2G46020.2	orthologue	GO:0000785;GO:0006355;GO:0005515;GO:0003677;GO:0010199;GO:0045944;GO:0140658;GO:0005634;GO:0040029;GO:0031507;GO:0010050;GO:0140750;GO:1900036;GO:0090691;GO:0003682;GO:1903798;GO:0004386;GO:0005524;GO:0010449;GO:0016887	ATP-dependent helicase BRM (EC 3.6.4.12) (Protein BRAHMA) (AtBRM) (Protein CHROMATIN REMODELING 2) (AtCHR2)
AL4G45250	186	AT2G46030.3	AT2G46030.3	other	GO:0005634;GO:0004842;GO:0061631;GO:0000209;GO:0006511;GO:0016567;GO:0005524	E2 ubiquitin-conjugating enzyme (EC 2.3.2.23);Ubiquitin-conjugating enzyme E2 6 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 6) (Ubiquitin carrier protein 6) (Ubiquitin-conjugating enzyme E2-21 kDa 3) (Ubiquitin-protein ligase 6)
AL4G45260	566	AT2G46040.2	AT2G46040.2	orthologue	GO:0010628;GO:0048556;GO:0003674;GO:0000118;GO:0048235;GO:0005634;GO:0048555;GO:0003677	ARID/BRIGHT AND ELM2 DNA-binding domain-containing protein;AT-rich interactive domain-containing protein 1 (ARID domain-containing protein 1) (ARID and ELM2 domain-containing protein 1)
AL4G45270	585	AT2G46050.1	AT2G46050.1	orthologue	GO:0043231;GO:0005739;GO:0000963;GO:0080156;GO:0009451;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At2g46050, mitochondrial
AL4G45280	808	AT2G46060.1	AT2G46060.1	orthologue	GO:0003674;GO:0005576;GO:0005886;GO:0016020	At2g46060/T3F17.29 (Transmembrane protein-like protein);Transmembrane protein-like protein
AL4G45290	427				GO:0005515	
AL4G45300	406	AT2G46070.3	AT2G46070.3	orthologue	GO:0005524;GO:0080026;GO:0016301;GO:0005515;GO:0004713;GO:0071244;GO:0046777;GO:0035556;GO:0005634;GO:0010119;GO:0009733;GO:0007165;GO:0004674;GO:0004707;GO:0090333;GO:0005737;GO:0005886;GO:0009734;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase 12 (AtMPK12) (MAP kinase 12) (EC 2.7.11.24);mitogen-activated protein kinase (EC 2.7.11.24)
AL4G45310	347	AT2G46080.1	AT2G46080.1	orthologue	GO:0003674;GO:0009793;GO:0048364;GO:0048367;GO:0005634	BPS1-like protein (Expressed protein)
AL4G45320	368	AT2G46090.1	AT2G46090.1	orthologue	GO:0008654;GO:0006671;GO:0017050;GO:0009409;GO:0009507;GO:0005739;GO:0006665;GO:0005524;GO:0016020;GO:0016301;GO:0016310	Sphingoid long-chain bases kinase 2, mitochondrial (AtLCBK2) (LCB kinase 2) (EC 2.7.-.-)
AL4G45330	241	AT2G46100.1	AT2G46100.1	orthologue	GO:0003674;GO:0005829	At2g46100 (Nuclear transport factor 2 (NTF2) family protein);Nuclear transport factor 2 (NTF2) family protein
AL4G45340	200	AT2G46110.1	AT2G46110.1	other	GO:0005739;GO:0000287;GO:0015940;GO:0003864;GO:0009507;GO:0046872;GO:0003824	3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase 1)
AL4G45350	88	AT2G46110.1	AT2G46110.1	other	GO:0005739;GO:0000287;GO:0015940;GO:0003864;GO:0009507;GO:0046872;GO:0003824	3-methyl-2-oxobutanoate hydroxymethyltransferase 1, mitochondrial (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase 1)
AL4G45370	113	AT2G46130.1	AT2G46130.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0005515;GO:0043565	Probable WRKY transcription factor 43 (WRKY DNA-binding protein 43)
AL4G45380	736				GO:0003677;GO:0046983	
AL4G45390	166	AT2G46140.1	AT2G46140.1	orthologue	GO:0009269;GO:0005886;GO:0003674;GO:0005829	Desiccation-related protein At2g46140 (LEA type-2 family protein At2g46140)
AL4G45400	221	AT2G46150.1	AT2G46150.1	orthologue	GO:0005886;GO:0003674	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
AL4G45410	214	AT2G46160.1	AT2G46160.1	orthologue	GO:0009507;GO:0016567;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL67 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL67)
AL4G45420	257	AT2G46170.1	AT2G46170.1	orthologue	GO:0005886;GO:0005783;GO:0003674;GO:0005789;GO:0009617	Reticulon-like protein;Reticulon-like protein B5 (AtRTNLB5)
AL4G45430	735	AT2G46180.1	AT2G46180.1	orthologue	GO:0007030;GO:0005794;GO:0006888;GO:0031267;GO:0005576	Golgin candidate 4 (AtGC4)
AL4G45440	53	AT2G46190.1	AT2G46190.1	other	GO:0005575;GO:0003674;GO:0008150	Mitochondrial glycoprotein family protein
AL4G45450	48					
AL4G45460	385	AT2G46200.1	AT2G46200.1	orthologue	GO:0005737;GO:0003674;GO:0005689;GO:0005681;GO:0006397;GO:0008380;GO:1990904	U11/U12 small nuclear ribonucleoprotein;U11/U12 small nuclear ribonucleoprotein 59 kDa protein (U11/U12 snRNP 59 kDa protein) (U11/U12-59K)
AL4G45470	449	AT2G46210.1	AT2G46210.1	orthologue	GO:0052631;GO:0030148;GO:0070417;GO:0005783;GO:0016717;GO:0006629;GO:0005789;GO:0046872;GO:0016020;GO:0016491	Delta(8)-fatty-acid desaturase 2 (EC 1.14.19.29) (Delta(8)-sphingolipid desaturase 2) (Sphingoid long-chain base desaturase 2) (Sphingoid LCB desaturase 2) (Sphingolipid 8-(E/Z)-desaturase 2)
AL4G45480	237	AT2G46220.1	AT2G46220.1	orthologue	GO:0003674;GO:0009507	At2g46220/T3F17.13 (DUF2358 family protein (DUF2358)) (Expressed protein)
AL4G45490	306	AT2G46225.2	AT2G46225.2	orthologue	GO:0010090;GO:0005737;GO:0045010;GO:0005515;GO:0031209;GO:0005856	ABI-1-like 1;Protein ABIL1 (Abl interactor-like protein 1) (AtABIL1)
AL4G45500	193	AT2G46230.1	AT2G46230.1	orthologue	GO:0005634;GO:0032040;GO:0003674;GO:0005730;GO:0006364;GO:0042274	At2g46230/T3F17.12 (Expressed protein) (PIN domain-like family protein);PIN domain-like family protein
AL4G45510	1050	AT2G46240.1	AT2G46240.1	orthologue	GO:0010228;GO:0012502;GO:0009506;GO:0009408;GO:0005634;GO:0010508;GO:0005515;GO:0050832;GO:0006457;GO:0005516;GO:0051087;GO:0006914	BAG family molecular chaperone regulator 6 (Bcl-2-associated athanogene 6) (CaM-binding protein 1) [Cleaved into: Cleaved BAG6]
AL4G45520	473	AT2G46250.1	AT2G46250.1	orthologue	GO:0005737;GO:0003674	At2g46250/T3F17.10 (Myosin heavy chain-like protein);Myosin heavy chain-like protein
AL4G45540	561	AT2G46260.1	AT2G46260.1	orthologue	GO:0016567;GO:0010114;GO:0005515;GO:0005634;GO:0046982;GO:0005737;GO:0042803	BTB/POZ domain-containing protein At2g46260
AL4G45550	380	AT2G46270.1	AT2G46270.1	orthologue	GO:0043565;GO:0006355;GO:0009737;GO:0000976;GO:0005515;GO:0005634;GO:0005829;GO:0003700;GO:0005737	G-box binding factor 3;G-box-binding factor 3 (bZIP transcription factor 55) (AtbZIP55)
AL4G45560	328	AT2G46280.1, AT5G57650.1	AT2G46280.1	orthologue	GO:0003674;GO:0005575;GO:0005737;GO:0002183;GO:0005515;GO:0080008;GO:0005634;GO:0071541;GO:0003743;GO:0003723;GO:0001732;GO:0005852;GO:0016282;GO:0033290	Eukaryotic translation initiation factor 3 subunit I (eIF3i) (Eukaryotic translation initiation factor 3 subunit 2) (TGF-beta receptor-interacting protein 1) (TRIP-1) (eIF-3-beta) (eIF3 p36);Eukaryotic translation initiation factor-like protein;Serine-threonine kinase receptor-associated protein
AL4G45570	47	AT4G37680.3	AT4G37680.3	other	GO:0005739;GO:0038023;GO:0009744;GO:0009725;GO:0016020;GO:0046872	Heptahelical protein 4;Heptahelical transmembrane protein 4 (PAQR family protein HHP4)
AL4G45600	252	AT2G46300.1	AT2G46300.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0016020;GO:0098542;GO:0005886	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
