Noccaea_praecox	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Np004G256120	1496	AT1G04160.1	AT1G04160.1	orthologue	GO:0005634;GO:0007015;GO:0016020;GO:0051015;GO:0048767;GO:0030050;GO:0030048;GO:0003774;GO:0031982;GO:0000146;GO:0005737;GO:0015629;GO:0005516;GO:0005524;GO:0016459;GO:0005515	Myosin XI B;Myosin-8 (Myosin XI B) (AtXIB)
Np004G256130	204	AT3G30730.2	AT3G30730.2	orthologue	GO:0005575;GO:0003674;;GO:0003723;GO:0003729;GO:0010494;GO:0034063	Uncharacterized protein
Np004G256140	26					
Np004G256180	794	AT1G04140.2	AT1G04140.2	orthologue	GO:0043231;GO:1990756;GO:0005634;GO:0000045;GO:0000423;GO:0003674;GO:0080008;GO:0005515	Transducin family protein / WD-40 repeat family protein
Np004G256190	362	AT1G04130.1	AT1G04130.1	orthologue	GO:0006457;GO:0030544;GO:0005634;GO:0051879;GO:0005737;GO:0005515;GO:0005829	At1g04130/F20D22_10 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
Np004G256200	1516	AT1G04120.1	AT1G04120.1	orthologue	GO:1990069;GO:0030007;GO:0009651;GO:0055085;GO:0000325;GO:0005774;GO:0016020;GO:0140359;GO:0009507;GO:0042626;GO:0016887;GO:0008559;GO:0005773;GO:0008281;GO:0005524;GO:1901527	ABC transporter C family member 5 (ABC transporter ABCC.5) (AtABCC5) (EC 7.6.2.2) (ATP-energized glutathione S-conjugate pump 5) (Glutathione S-conjugate-transporting ATPase 5) (Multidrug resistance-associated protein 5);ABC-type xenobiotic transporter (EC 7.6.2.2)
Np004G256210	774	AT1G04110.1	AT1G04110.1	orthologue	GO:0009897;GO:0010103;GO:0004252;GO:0042127;GO:0005576;GO:0006508;GO:0048046;GO:0008236	Subtilisin-like protease SBT1.2 (EC 3.4.21.-) (Cucumisin-like serine protease SDD1) (Protein STOMATAL DENSITY AND DISTRIBUTION 1) (Subtilase subfamily 1 member 2) (AtSBT1.2) (Subtilisin-like protease SDD1)
Np004G256220	235	AT1G35410.1, AT1G35400.1, AT1G35365.1, AT1G35353.1, AT3G27900.2	AT3G27900.2	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0005739	Uncharacterized protein;Uncharacterized protein F12A4.5
Np004G256230	255	AT1G04100.1	AT1G04100.1	orthologue	GO:0005515;GO:0003700;GO:0000976;GO:0042802;GO:0005634;GO:0006355;GO:0009733;GO:0009734	Auxin-responsive protein IAA10 (Indoleacetic acid-induced protein 10)
Np004G256250	771	AT1G04080.3	AT1G04080.3	orthologue	GO:0000395;GO:0006397;GO:0006396;GO:0030627;GO:0005634;GO:0048573;GO:0048510;GO:0000243;GO:0071004;GO:0005515;GO:0005685;GO:0008380	Pre-mRNA-processing factor 39-1 (AtPRP39-1) (PRP39 homolog A) (Pre-mRNA-processing factor 39a);Tetratricopeptide repeat (TPR)-like superfamily protein
Np004G256260	95	AT1G04070.1	AT1G04070.1	orthologue	GO:0005742;GO:0009507;GO:0006626;GO:0015450	Mitochondrial import receptor subunit TOM9-1 (Mitochondrial import receptor subunit TOM22 homolog 1) (Translocase of outer membrane 22 kDa subunit homolog 1) (Translocase of outer membrane 9 kDa subunit TOM9-1)
Np004G256270	672	AT1G04050.1	AT1G04050.1	orthologue	GO:0005634;GO:0005515;GO:0042802;GO:0042054;GO:0008270;GO:0005730;GO:0005694;GO:0032259;GO:0031047	Histone-lysine N-methyltransferase SUVR2-like protein;Probable inactive histone-lysine N-methyltransferase SUVR1 (Protein SET DOMAIN GROUP 13) (Suppressor of variegation 3-9-related protein 1) (Su(var)3-9-related protein 1)
Np004G256280	272	AT1G04040.1	AT1G04040.1	orthologue	GO:0003993;GO:0005773;GO:0009506;GO:0005576;GO:0009505;GO:0000325;GO:0045735	At1g04040/F21M11_2 (F21M11.2 protein) (HAD superfamily, subfamily IIIB acid phosphatase) (Similar to acid phosphatase)
Np004G256290	424	AT1G04030.1	AT1G04030.1	orthologue	GO:0005634;GO:0007142;GO:0003674	Eisosome protein
Np004G256300	723	AT1G04020.1	AT1G04020.1	orthologue	GO:0048366;GO:0006281;GO:0070531;GO:0045944;GO:0000724;GO:0003677;GO:0009934;GO:0004842;GO:0005634;GO:0031436;GO:0008270;GO:0010078;GO:0010492;GO:0045892;GO:0065004;GO:0006974	BRCA1-associated RING domain protein 1 (AtBARD1) (Protein REPRESSOR OF WUSCHEL 1);Breast cancer associated RING 1
Np004G256310	640	AT1G04010.1	AT1G04010.1	orthologue	GO:0016127;GO:0043231;GO:0010150;GO:0080096;GO:0006629;GO:0008374;GO:0016747;GO:0080095;GO:0004607;GO:0005737;GO:0005783;GO:0016020	Phospholipid--sterol O-acyltransferase (EC 2.3.1.-) (Lecithin-cholesterol acyltransferase-like 2)
Np004G256320	155	AT1G04000.1	AT1G04000.1	orthologue	GO:0005634;GO:0003674	F21M11.6 protein
Np004G256330	762	AT1G03990.1	AT1G03990.1	orthologue	GO:0005575;GO:0050660;GO:0046577;GO:0016020;GO:0016614	Long-chain-alcohol oxidase FAO1 (EC 1.1.3.20) (Long-chain fatty alcohol oxidase 1)
Np004G256350	451	AT1G03980.2	AT1G03980.2	orthologue	GO:0046938;GO:0098849;GO:0010273;GO:0016756;GO:0005634;GO:0009507;GO:0010038;GO:0046872	Glutathione gamma-glutamylcysteinyltransferase 2 (EC 2.3.2.15) (Phytochelatin synthase 2) (AtPCS2);glutathione gamma-glutamylcysteinyltransferase (EC 2.3.2.15)
Np004G256360	271	AT1G03970.1	AT1G03970.1	orthologue	GO:0003700;GO:0005634;GO:0045893;GO:0005515;GO:0043565;GO:0000976;GO:0003677;GO:0006355	G-box-binding factor 4 (bZIP transcription factor 40) (AtbZIP40)
Np004G256370	220	AT1G51360.1	AT1G51360.1	other	GO:0003674;GO:0009753;GO:0009620;GO:0005634;GO:0005829;GO:0050832	Stress-response A/B barrel domain-containing protein DABB1 (Dimeric A/B barrel domain-containing protein 1) (AtDabb1)
Np004G256380	528	AT1G03960.1	AT1G03960.1	orthologue	GO:0019888;GO:0005634;GO:0000159;GO:0005509;GO:0006470	Calcium-binding EF hand family protein;Probable serine/threonine protein phosphatase 2A regulatory subunit B''epsilon (AtB''epsilon)
Np004G256390	210	AT1G03950.1	AT1G03950.1	orthologue	GO:0000815;GO:0032509;GO:0016192;GO:0007034;GO:0015031;GO:0003674;GO:0045324;GO:0005771	Vacuolar protein sorting-associated protein 2 homolog 3 (AtVPS2-3) (Charged multivesicular body protein 2 homolog 3) (ESCRT-III complex subunit VPS2 homolog 3)
Np004G256400	470	AT1G03940.1	AT1G03940.1	orthologue	GO:0005737;GO:0003674;GO:0016747	Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1 (EC 2.3.1.-)
Np004G256420	470	AT1G03930.1	AT1G03930.1	orthologue	GO:0005737;GO:0004712;GO:0006897;GO:0005634;GO:0004674;GO:0007165;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Casein kinase 1-like protein 9 (EC 2.7.11.1) (Dual specificity kinase 1) (Protein CASEIN KINASE I-LIKE 9) (Protein CASEIN KINASE I-LIKE 9 ALPHA) (Protein CASEIN KINASE I-LIKE 9 BETA)
Np004G256440	575	AT1G03920.1	AT1G03920.1	orthologue	GO:0016301;GO:0004674;GO:0035556;GO:0005515;GO:0005634;GO:0005737;GO:0018105;GO:0009555;GO:0009846;GO:0090406;GO:0005524;GO:0106310;GO:0004672;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Np004G256450	673	AT1G03910.2	AT1G03910.2	other	GO:0005681;GO:0045292;GO:0005515;GO:0000398;GO:0005634;GO:0009793;GO:0005737;GO:0016607	Splicing factor Cactin
Np004G256460	292	AT1G03905.1	AT1G03905.1	orthologue	GO:0016887;GO:0008150;GO:0005829;GO:0005524;GO:0005737	ABC transporter I family member 19 (ABC transporter ABCI.19) (AtABCI19) (GCN-related protein 2) (Non-intrinsic ABC protein 4);P-loop containing nucleoside triphosphate hydrolases superfamily protein
Np004G256470	271	AT1G03900.1	AT1G03900.1	orthologue	GO:0016192;GO:0006897;GO:0030125;GO:0016020;GO:0055085;GO:0005515;GO:0042626;GO:0005737	Uncharacterized protein At1g03900
Np004G256480	535	AT1G65660.1	AT1G65660.1	orthologue	GO:0008380;GO:0000398;GO:0003727;GO:0005681;GO:0005634;GO:0008284;GO:0030628;GO:0008270	Pre-mRNA-splicing factor SLU7-A (Protein SWELLMAP 1)
Np004G256490	447	AT1G03890.1	AT1G03890.1	orthologue	GO:0005576;GO:0045735;GO:0010431;GO:0000326	12S seed storage protein CRD (Cruciferin D) (Legumin-type globulin storage protein CRD) [Cleaved into: 12S seed storage protein CRD alpha chain (12S seed storage protein CRD acidic chain); 12S seed storage protein CRD beta chain (12S seed storage protein CRD basic chain)]
Np004G256500	248	AT1G03870.1	AT1G03870.1	orthologue	GO:0005886;GO:0099503;GO:0003674;GO:0009834;GO:0016020;GO:0005576;GO:0098552	Fasciclin-like arabinogalactan protein 9
Np004G256510	288	AT1G03860.1, AT2G20530.1, AT4G28510.1, AT5G44140.1	AT1G03860.1	other	GO:0005739;GO:0007005;GO:0000325;GO:0045271;GO:0003674;GO:0009507;GO:0005515;GO:0009505;GO:0005576;GO:0009506;GO:0005743;GO:0016020	Prohibitin-1, mitochondrial (Atphb1);Prohibitin-2, mitochondrial (Atphb2);Prohibitin-6, mitochondrial (Atphb6);Prohibitin-7, mitochondrial (Atphb7)
Np004G256520	155	AT1G03850.1	AT1G03850.1	orthologue	GO:0000122;GO:0050832;GO:0005515;GO:0005737;GO:0009735;GO:0080183;GO:0005634;GO:0046872;GO:0051537	Glutaredoxin family protein;Monothiol glutaredoxin-S13 (AtGrxS13) (Protein ROXY 18)
Np004G256530	498	AT1G03840.1	AT1G03840.1	orthologue	GO:0000976;GO:0045893;GO:0043565;GO:0003700;GO:0009939;GO:0005634;GO:0008356;GO:0005515;GO:0010075;GO:0006355;GO:0048364;GO:0034504;GO:0008270;GO:0009740	Zinc finger protein MAGPIE (Protein POLLEN SPECIFIC GENE 3) (Protein indeterminate-domain 3) (AtIDD3)
Np004G256540	1019	AT1G03830.2	AT1G03830.2	orthologue	GO:0005525;GO:0003924;GO:0003682;GO:0005634	F11M21.24 protein (Guanylate-binding family protein);Guanylate-binding family protein
Np004G256550	220	AT1G03820.1	AT1G03820.1	orthologue	GO:0003674;GO:0009507;GO:0008150	At1g03820 (E6-like protein) (F11M21.25 protein)
Np004G256560	136	AT1G03810.1	AT1G03810.1	orthologue	GO:0003674;GO:0005634;GO:0008150	F11M21.26 protein (Nucleic acid-binding, OB-fold-like protein)
Np004G256570	69					
Np004G256580	401	AT1G03790.1	AT1G03790.1	orthologue	GO:0010187;GO:0006355;GO:0005634;GO:0005737;GO:0005515;GO:0003700;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 2 (AtC3H2) (Protein SOMNUS) (SOM) (Tandem CCCH Zinc Finger protein 4) (AtTZF4)
Np004G256600	259					
Np004G256620	775	AT1G03780.3	AT1G03780.3	orthologue	GO:0005634;GO:0060236;GO:0005819;GO:0009941;GO:0008017;GO:0032147;GO:0030295;GO:0005880;GO:0051225;GO:0090307;GO:0005874;GO:0005654;GO:0009524;GO:0000278;GO:0005515;GO:0051301	Protein TPX2 (AtTPX2) (Targeting protein for XKLP2)
Np004G256630	466	AT1G03770.2	AT1G03770.2	orthologue	GO:0005634;GO:0035102;GO:0045892;GO:0010077;GO:0045814;GO:0010492;GO:0001709;GO:0016567;GO:0010076;GO:0005515;GO:0006325;GO:0008270;GO:0016740	Putative E3 ubiquitin-protein ligase RING1b (EC 2.3.2.27) (Polycomb complex protein RING1b) (Protein RING1b) (AtRING1b) (RING-type E3 ubiquitin transferase RING1b) (Ring finger protein 5);RING 1B
Np004G256640	402	AT1G03760.1	AT1G03760.1	orthologue	GO:0000122;GO:0005634;GO:0005829;GO:2001243;GO:0019212;GO:0005515;GO:0003714;GO:0003682;GO:0006457;GO:0009409;GO:0010923	Prefoldin chaperone subunit family protein
Np004G256650	865	AT1G03750.1	AT1G03750.1	orthologue	GO:0036297;GO:0005634;GO:0140658;GO:0003677;GO:0004386;GO:0005524;GO:0006281;GO:0016787	Switch 2 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 9) (AtCHR9)
Np004G256660	725	AT1G03740.1	AT1G03740.1	orthologue	GO:0005634;GO:0016310;GO:0032968;GO:0008353;GO:0000307;GO:0005576;GO:0005524;GO:0004674;GO:0004672;GO:0006468;GO:0070816	F21B7.34 (Protein kinase superfamily protein);Protein kinase superfamily protein
Np004G256670	173	AT1G03730.1	AT1G03730.1	orthologue	GO:0003674;GO:0009507;GO:0016020	At1g03730 (Pyrroline-5-carboxylate reductase)
Np004G256680	56	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
Np004G256690	271	AT1G03720.1	AT1G03720.1	orthologue	GO:0004197;GO:0005615;GO:0051603;GO:0005764;GO:0006508;GO:0008234	Cysteine proteinases superfamily protein;Cysteine proteinases superfamily protein (F21B7.32)
Np004G256700	239	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
Np004G256710	242	AT1G03710.1	AT1G03710.1	other	GO:0005634;GO:0003674;GO:0004869	Cystatin/monellin superfamily protein
Np004G256720	164	AT1G03700.1	AT1G03700.1	orthologue	GO:0005886;GO:0003674	CASP-like protein 1C2 (AtCASPL1C2)
Np004G256730	376	AT1G03687.1	AT1G03687.1	orthologue	GO:0016432;GO:0005575;GO:0008150;GO:0008033	tRNA-uridine aminocarboxypropyltransferase (EC 2.5.1.25)
Np004G256740	180	AT1G03680.1	AT1G03680.1	orthologue	GO:0009941;GO:0004857;GO:0015035;GO:0006109;GO:0009409;GO:0009570;GO:0043085;GO:0006979;GO:0009507;GO:0048046;GO:0010319;GO:0008047;GO:0043086;GO:0005576;GO:0005515;GO:0009579;GO:0005737;GO:1901149	Thioredoxin M1, chloroplastic (AtTrxm1)
Np004G256750	147	AT1G03660.1	AT1G03660.1	other	GO:0005575;GO:0003674;GO:0016020	Ankyrin-repeat containing protein
Np004G256760	148	AT1G03660.1	AT1G03660.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Ankyrin-repeat containing protein
Np004G256770	158	AT1G03650.1	AT1G03650.1	orthologue	GO:0016747;GO:0005737;GO:0008150	Acyl-CoA N-acyltransferases (NAT) superfamily protein
Np004G256780	402	AT1G03630.1	AT1G03630.1	orthologue	GO:0005576;GO:0009535;GO:0016630;GO:0009941;GO:0015995;GO:0009507;GO:0009534;GO:0005515;GO:0003959;GO:0015979;GO:0031969	NADPH-protochlorophyllide oxidoreductase (EC 1.3.1.33);Protochlorophyllide reductase C, chloroplastic (PCR C) (EC 1.3.1.33) (NADPH-protochlorophyllide oxidoreductase C) (POR C)
Np004G256790	265	AT1G03620.12	AT1G03620.12	orthologue		
Np004G256800	311	AT1G03610.1	AT1G03610.1	orthologue	GO:0005634;GO:0003674;GO:0071456	Plant/protein (DUF789)
Np004G256810	173	AT1G03600.1	AT1G03600.1	orthologue	GO:0010207;GO:0009543;GO:0009579;GO:0071484;GO:0010206;GO:0009535;GO:0009523;GO:0005576;GO:0009534;GO:0009507;GO:0003674	Photosystem II repair protein PSB27-H1, chloroplastic (Psb27-H1) (Thylakoid lumenal protein PSB27-H1)
Np004G256820	457	AT1G03590.1	AT1G03590.1	orthologue	GO:1902531;GO:0004722;GO:0017018;GO:0005575;GO:0046872;GO:0006470	Probable protein phosphatase 2C 1 (AtPP2C01) (EC 3.1.3.16) (AtPPC6;6)
Np004G256830	659	AT1G03560.1	AT1G03560.1	orthologue	GO:0005739;GO:0006396;GO:0007005;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At1g03560, mitochondrial
Np004G256840	283	AT1G03550.1	AT1G03550.1	orthologue	GO:0005886;GO:0032588;GO:0055038;GO:0015031;GO:0003674;GO:0030658;GO:0016020	Secretory carrier-associated membrane protein (Secretory carrier membrane protein);Secretory carrier-associated membrane protein 2 (AtSC2) (Secretory carrier membrane protein 2)
Np004G256850	608	AT1G03540.1	AT1G03540.1	orthologue	GO:0009451;GO:0009507;GO:0003723;GO:0043231;GO:0005515	Pentatricopeptide repeat-containing protein At1g03540
Np004G256890	805	AT1G03530.1	AT1G03530.1	orthologue	GO:0000493;GO:0001522;GO:0005732;GO:0003723;GO:0042254;GO:0005634;GO:0009506;GO:0006364	H/ACA ribonucleoprotein complex non-core subunit NAF1
Np004G256900	86	AT1G03520.1	AT1G03520.1	other	GO:0005794;GO:0016757;GO:0005634;GO:0015020;GO:0016020	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein;Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein (F21B7.14) (Glycosyltransferase) (Putative glycosylation enzyme)
Np004G256910	429	AT1G03510.1	AT1G03510.1	orthologue	GO:0009451;GO:0003723;GO:0043231;GO:0009507;GO:0005515	Putative pentatricopeptide repeat-containing protein At1g03510
Np004G256940	102	AT1G03495.1, AT1G03940.1	AT1G03495.1	other	GO:0003674;GO:0008150;GO:0005737;GO:0016747	Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1 (EC 2.3.1.-);Coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 2 (EC 2.3.1.-);HXXXD-type acyl-transferase family protein
Np004G256950	388	AT1G03475.1	AT1G03475.1	orthologue	GO:0015995;GO:0009570;GO:0048046;GO:0006782;GO:0004109;GO:0005576;GO:0033014;GO:0005737;GO:0009507;GO:0009536;GO:0042803;GO:0006779	Coproporphyrinogen-III oxidase 1, chloroplastic (AtCPO-I) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3) (Protein LESION INITIATION 2)
Np004G256960	259	AT1G03470.1	AT1G03470.1	orthologue	GO:0003779;GO:0005634;GO:0005774;GO:0005884;GO:0031965;GO:0005856	Protein NETWORKED 3A
Np004G256970	419	AT1G03457.2	AT1G03457.2	orthologue	GO:0048573;GO:0005634;GO:2000028;GO:0006402;GO:0005515;GO:0003729;GO:0005737;GO:1990904;GO:0003723;GO:0009908;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein;RNA-binding protein BRN2 (Protein BRUNO-LIKE 2) (AtBRN2)
Np004G256980	796	AT1G03445.1	AT1G03445.1	orthologue	GO:1900459;GO:0017018;GO:0005515;GO:0009742;GO:0004722;GO:0005634;GO:0032880;GO:0005886;GO:0046872;GO:0016787;GO:0004721	Serine/threonine-protein phosphatase (EC 3.1.3.16);Serine/threonine-protein phosphatase BSU1 (EC 3.1.3.16) (Bri1 suppressor protein 1)
Np004G257000	395	AT1G03440.1	AT1G03440.1	orthologue	GO:0006952;GO:0007165;GO:0003674;GO:0005739;GO:0016020;GO:0005515	Leucine-rich repeat (LRR) family protein
Np004G257010	155	AT1G03430.1	AT1G03430.1	orthologue	GO:0009736;GO:0009557;GO:0009927;GO:0043424;GO:0005737;GO:0000160;GO:0005634;GO:0080036;GO:0016310;GO:0009560;GO:0007165;GO:0005829	Histidine-containing phosphotransfer protein;Histidine-containing phosphotransfer protein 5
Np004G257020	462	AT1G03390.1	AT1G03390.1	orthologue	GO:0005737;GO:0016747	F21B7.2 (Transferase family protein)
Np004G257030	954	AT1G03380.1	AT1G03380.1	orthologue	GO:0042594;GO:0005737;GO:0003674;GO:0005774;GO:0006914;GO:0015031;GO:0034045;GO:0005515	Autophagy-related protein 18g (AtATG18g)
Np004G257040	836	AT1G03365.1	AT1G03365.1	orthologue	GO:0016567;GO:0005634;GO:0003674;GO:0008270;GO:0016740	Putative E3 ubiquitin-protein ligase RF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RF4)
Np004G257050	324	AT1G03360.1	AT1G03360.1	orthologue	GO:0000956;GO:0000460;GO:0071051;GO:0000177;GO:0034475;GO:0071035;GO:0005654;GO:0060149;GO:0000467;GO:0003723;GO:0071038;GO:0005737;GO:0000176;GO:0071034;GO:0005730;GO:0000178;GO:0034427;GO:0043928;GO:0003676	Exosome complex component RRP4 homolog (Ribosomal RNA-processing protein 4) (AtRRP4) (AtRrp4p)
Np004G257060	454	AT1G03350.1	AT1G03350.1	orthologue	GO:0003674;GO:0008150;GO:0005737	BSD domain-containing protein (F15K9.5 protein)
Np004G257070	263	AT1G03340.1	AT1G03340.1	orthologue	GO:0003674;GO:0008150;GO:0005739	F15K9.6
Np004G257080	93	AT1G03330.1	AT1G03330.1	orthologue	GO:0071013;GO:0000932;GO:1990726;GO:0071011;GO:0000398;GO:0005515;GO:0005634;GO:0005688;GO:0046540;GO:0003723;GO:0000290;GO:0005681;GO:0120115;GO:0006397	Sm-like protein LSM2 (AtLSM2) (U6 snRNA-associated Sm-like protein LSM2)
Np004G257090	225	AT1G03320.1	AT1G03320.1	orthologue	GO:0008150;GO:0005634;GO:0003674	F15K9.8
Np004G257100	873	AT1G03310.1	AT1G03310.1	orthologue	GO:0019252;GO:0019156;GO:0009507;GO:0005977;GO:0010021;GO:0005983;GO:0043033;GO:0005975;GO:0004553	Isoamylase 2, chloroplastic (AtISA2) (Protein DEBRANCHING ENZYME 1)
Np004G257120	569	AT1G03290.1	AT1G03290.1	orthologue	GO:0000796;GO:0007076;GO:0005576;GO:0000785;GO:0003682;GO:0000793	ELKS/Rab6-interacting/CAST family protein;ELKS/Rab6-interacting/CAST family protein (F15K9.11 protein)
Np004G257130	502	AT1G03270.1	AT1G03270.1	orthologue	GO:0003674;GO:0010960;GO:0005774;GO:0005886;GO:0022857;GO:0016020;GO:0005737;GO:0030026	Putative DUF21 domain-containing protein At1g03270 (CBS domain-containing protein CBSDUF4)
Np004G257140	277	AT1G03260.1	AT1G03260.1	orthologue	GO:0016020;GO:0003674;GO:0005886	At1g03260 (SNARE associated Golgi protein family)
Np004G257150	246	AT1G03250.2	AT1G03250.2	orthologue	GO:0005634;GO:0003676	At1g03250/F15K9_13 (R3H domain protein);R3H domain protein
Np004G257160	294	AT1G03210.2	AT1G03210.2	orthologue	GO:0016853;GO:0009058;GO:0003824;GO:0005737	F15K9.19 protein (Phenazine biosynthesis PhzC/PhzF protein);Phenazine biosynthesis PhzC/PhzF protein
Np004G257170	437	AT1G03230.1, AT1G03220.1	AT1G03220.1	orthologue	GO:0005576;GO:0010494;GO:0005794;GO:0004190;GO:0005886;GO:0009505;GO:0071456;GO:0099503;GO:0009506;GO:0006508;GO:0005618	Eukaryotic aspartyl protease family protein (F15K9.16 protein);Eukaryotic aspartyl protease family protein (F15K9.17 protein)
Np004G257180	759	AT1G03190.1	AT1G03190.1	orthologue	GO:0045951;GO:0005634;GO:0006281;GO:0009408;GO:0009411;GO:0006289;GO:0005515;GO:0003684;GO:0006366;GO:0003678;GO:0003677;GO:0005524;GO:0016887;GO:0046872;GO:0051539;GO:0016818;GO:0003676;GO:0004386;GO:0006139	General transcription and DNA repair factor IIH helicase subunit XPD (TFIIH subunit XPD) (EC 5.6.2.3) (DNA 5'-3' helicase XPD) (ERCC2 homolog) (RAD3 homolog) (UV hypersensitive protein 6) (AtUVH6) (XPD homolog) (AtXPD)
Np004G257190	267	AT1G03180.1	AT1G03180.1	orthologue	GO:0051026;GO:0005634;GO:0007096;GO:0005739;GO:0005515;GO:0005737	Non-structural protein
Np004G257200	252	AT1G03170.1	AT1G03170.1	orthologue	GO:0005634;GO:0010075;GO:0003674	Protein FANTASTIC FOUR 2
Np004G257210	922	AT1G03160.1	AT1G03160.1	orthologue	GO:0034051;GO:0010228;GO:0005525;GO:0031969;GO:0009507;GO:0010027;GO:1900425;GO:0009707;GO:0009228;GO:0009535;GO:0009706;GO:0016787	FZO-like protein;Probable transmembrane GTPase FZO-like, chloroplastic (EC 3.6.5.-)
Np004G257220	174	AT1G03150.1	AT1G03150.1	orthologue	GO:0031416;GO:0032956;GO:0004596;GO:0016747;GO:0120518;GO:0017196	N-terminal acetyltransferase B complex catalytic subunit NAA20 (EC 2.3.1.254) (NatB N-alpha-terminal acetylation complex catalytic subunit)
Np004G257230	152					
Np004G257240	230					
Np004G257250	221	AT1G05750.1	AT1G05750.1	orthologue	GO:0009507;GO:0005515;GO:0043231;GO:0009451;GO:0003723	Pentatricopeptide repeat-containing protein At1g05750, chloroplastic (Protein PIGMENT DEFECTIVE 247)
Np004G257260	235	AT1G05750.1	AT1G05750.1	orthologue	GO:0009507;GO:0005515;GO:0043231;GO:0009451;GO:0003723	Pentatricopeptide repeat-containing protein At1g05750, chloroplastic (Protein PIGMENT DEFECTIVE 247)
Np004G257270	179	AT1G03120.1	AT1G03120.1	orthologue	GO:0006873;GO:0005634;GO:0010226;GO:0005730;GO:0003674;GO:0009845;GO:0005829;GO:0005737	Late embryogenesis abundant protein 3 (LEA 3);Responsive to abscisic acid 28
Np004G257280	420	AT1G03110.1	AT1G03110.1	orthologue	GO:0003674;GO:0005829;GO:0008618;GO:0005737;GO:0006400;GO:0036265;GO:0005634;GO:0043527;GO:0106004;GO:0005515	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit (WD repeat-containing protein 4 homolog)
Np004G257290	162	AT1G03103.1	AT1G03103.1	orthologue	GO:0008150;GO:0005576;GO:0003674;GO:0005886;GO:0098552;GO:0006869;GO:0008289	Non-specific lipid transfer protein GPI-anchored 19 (AtLTPG-19) (Protein LTP-GPI-ANCHORED 19)
Np004G257300	794	AT1G03100.1	AT1G03100.1	orthologue	GO:0008150;GO:0005739;GO:0003674;GO:0005515	Pentatricopeptide repeat-containing protein At1g03100, mitochondrial
Np004G257310	739	AT1G03090.2	AT1G03090.2	orthologue	GO:0005739;GO:0022626;GO:0006552;GO:0005576;GO:0050897;GO:0004485;GO:0005524;GO:0005759;GO:0046872	Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial (MCCase subunit alpha) (EC 6.4.1.4) (3-methylcrotonyl-CoA carboxylase 1) (3-methylcrotonyl-CoA:carbon dioxide ligase subunit alpha)
Np004G257320	1819	AT1G03080.1	AT1G03080.1	orthologue	GO:0003779;GO:0005886;GO:0051015;GO:0016020	Protein NETWORKED 1D
Np004G257330	246	AT1G03070.1	AT1G03070.1	orthologue	GO:0016020;GO:0030968;GO:0016595;GO:0005262	Protein LIFEGUARD 4 (AtLFG4)
Np004G257340	3608	AT1G03060.1	AT1G03060.1	orthologue	GO:0080001;GO:0005515;GO:0071472;GO:0010090;GO:1902892;GO:1903335;GO:0005737;GO:0033962;GO:1904580;GO:0035619;GO:0005634;GO:0005768;GO:0000932;GO:0007033;GO:0009825	BEACH-DOMAIN HOMOLOG A1;Protein SPIRRIG (BEACH domain-containing protein A1) (BEACH-domain homolog A1)
Np004G257350	266	AT1G03055.1	AT1G03055.1	orthologue	GO:0106365;GO:0010223;GO:0005506;GO:1901601;GO:0009536;GO:0005634;GO:0009507;GO:0016853;GO:0016859	Beta-carotene isomerase D27, chloroplastic (EC 5.2.1.14) (Protein DWARF-27 homolog) (AtD27);Beta-carotene isomerase D27-like protein
Np004G257360	602	AT1G03050.1	AT1G03050.1	orthologue	GO:0030136;GO:0006900;GO:0072583;GO:0009860;GO:0005546;GO:0005545;GO:0032050;GO:0005634;GO:0030276;GO:0005905;GO:0048268;GO:0045334;GO:0000149;GO:0090404;GO:0090406;GO:0072659;GO:0005794;GO:0005543	Putative clathrin assembly protein At1g03050
