Cardamine_hirsuta	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CARHR136170	428	AT2G41060.1	AT2G41060.1	orthologue	GO:0009693;GO:0005737;GO:0006952;GO:0003729;GO:0010150;GO:0012501;GO:0005634;GO:0008219;GO:0003723;GO:0003676	UBP1-associated protein 2B
CARHR136180	266	AT2G41070.4	AT2G41070.4	orthologue	GO:0045893;GO:0000976;GO:0010115;GO:0009414;GO:0009738;GO:0003677;GO:0005634;GO:0001216;GO:0005515;GO:0003700;GO:0090332;GO:0043565;GO:0006355	ABSCISIC ACID-INSENSITIVE 5-like protein 3 (Dc3 promoter-binding factor 4) (AtDPBF4) (Protein ENHANCED EM LEVEL) (bZIP transcription factor 12) (AtbZIP12);Basic-leucine zipper (BZIP) transcription factor family protein
CARHR136190	650	AT2G41080.1	AT2G41080.1	orthologue	GO:0009451;GO:0043231;GO:0003723;GO:0008270;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At2g41080
CARHR136200	149	AT2G41110.2	AT2G41110.2	orthologue	GO:0005737;GO:0030163;GO:0005515;GO:0030234;GO:0005829;GO:0009846;GO:0005509;GO:0005634;GO:0005874;GO:0016460	Calmodulin 2;Calmodulin-2 (CaM-2)
CARHR136210	250	AT2G41120.1	AT2G41120.1	orthologue	GO:0009507;GO:0003674	At2g41120 (DUF309 domain protein)
CARHR136220	254	AT2G41130.1	AT2G41130.1	orthologue	GO:0005634;GO:0009941;GO:0006355;GO:0042538;GO:0003700;GO:0046983;GO:0003677	Transcription factor bHLH106 (Basic helix-loop-helix protein 106) (AtbHLH106) (bHLH 106) (Transcription factor EN 56) (bHLH transcription factor bHLH106)
CARHR136230	577	AT2G41140.1	AT2G41140.1	orthologue	GO:0004683;GO:0005737;GO:0010286;GO:0005886;GO:0009931;GO:0005516;GO:0046777;GO:0005634;GO:0005515;GO:0035556;GO:0005524;GO:0016020;GO:0046872;GO:0106310;GO:0004672;GO:0006468	CDPK-related kinase 1 (AtCRK1) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase 3) (Calmodulin-binding protein kinase 3) (AtCBK3) (CaM-binding protein kinase 3)
CARHR136240	405	AT2G41150.2	AT2G41150.2	orthologue	GO:0005739;GO:0005794;GO:0016757;GO:0005802;GO:0005768	Plant/protein
CARHR136250	288	AT2G41160.1	AT2G41160.1	orthologue	GO:0005515;GO:0010286;GO:0004252;GO:0061908;GO:0050832;GO:0005776;GO:0005783;GO:0016020	Rhomboid-like protein 18 (AtRBL18);Ubiquitin-associated (UBA) protein
CARHR136260	370	AT2G41170.2	AT2G41170.2	orthologue	GO:0009507;GO:0003674;GO:0016020;GO:0005515	F-box family protein;F-box protein At2g41170
CARHR136270	133	AT2G41180.1	AT2G41180.1	orthologue	GO:0009507;GO:0051091;GO:0005634;GO:0005515	Sigma factor binding protein 2, chloroplastic (Sigma factor binding protein II) (VQ motif-containing protein 16) (AtVQ16)
CARHR136280	531	AT2G41190.1	AT2G41190.1	orthologue	GO:0003333;GO:0005634;GO:0015171;GO:0016020;GO:0005886;GO:0000325;GO:0006865;GO:0005774;GO:0015179	Amino acid transporter AVT1A (AtAvt1A);Transmembrane amino acid transporter family protein
CARHR136290	773	AT2G41210.1	AT2G41210.1	orthologue	GO:0046488;GO:0009846;GO:0016308;GO:0090406;GO:0005886;GO:0016324;GO:0009860;GO:0046854;GO:0009827;GO:0005829;GO:0005524;GO:0052742	Phosphatidylinositol 4-phosphate 5-kinase 5 (AtPIP5K5) (EC 2.7.1.68) (1-phosphatidylinositol 4-phosphate kinase 5) (Diphosphoinositide kinase 5) (PtdIns(4)P-5-kinase 5)
CARHR136300	161	AT2G41200.1	AT2G41200.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Expressed protein (Transmembrane protein)
CARHR136310	1629	AT2G41220.1	AT2G41220.1	orthologue	GO:0009507;GO:0009941;GO:0016040;GO:0016041;GO:0019676;GO:0097054;GO:0006537;GO:0009536;GO:0009570;GO:0046872;GO:0051538;GO:0015930;GO:0016638;GO:0016491	Ferredoxin-dependent glutamate synthase 2, chloroplastic (EC 1.4.7.1) (Fd-GOGAT 2)
CARHR136320	88	AT2G41230.1	AT2G41230.1	orthologue	GO:0001558;GO:0005739;GO:0005783;GO:0071367;GO:0003674;GO:2000070;GO:0010104;GO:0090696;GO:0071369;GO:0071215;GO:0046622;GO:0051302;GO:0005634;GO:0016020	Protein ORGAN SIZE RELATED 1
CARHR136330	237	AT2G41240.1	AT2G41240.1	orthologue	GO:0009414;GO:0006355;GO:0006357;GO:0005634;GO:0000981;GO:0000977;GO:0003700;GO:0010106;GO:0090575;GO:0005515;GO:0060586;GO:0046983;GO:0003677	Transcription factor bHLH100 (Basic helix-loop-helix protein 100) (AtbHLH100) (bHLH 100) (Transcription factor EN 7) (bHLH transcription factor bHLH100)
CARHR136340	288	AT2G41250.1	AT2G41250.1	orthologue	GO:0005575;GO:0003674;GO:0016787	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
CARHR136350	195	AT2G41260.2, AT2G41280.1	AT2G41280.1	other	GO:0005783;GO:0005576;GO:0010162;GO:0003674;GO:0005773;GO:0009793	Late embryogenesis abundant protein M10 (AtM10);Late embryogenesis abundant protein M17 (AtM17)
CARHR136360	188	AT2G41260.2, AT2G41280.1	AT2G41280.1	other	GO:0005783;GO:0005576;GO:0010162;GO:0003674;GO:0005773;GO:0009793	Late embryogenesis abundant protein M10 (AtM10);Late embryogenesis abundant protein M17 (AtM17)
CARHR136370	371	AT2G41290.1	AT2G41290.1	orthologue	GO:0016787;GO:0005576;GO:0009058;GO:0005773;GO:0012505	Protein STRICTOSIDINE SYNTHASE-LIKE 2 (AtSSL2) (Strictosidine synthase) (Strictosidine synthase 10) (AtSS10)
CARHR136380	64	AT2G41300.1	AT2G41300.1	other	GO:0009058;GO:0016787;GO:0005576;GO:0005773	Protein STRICTOSIDINE SYNTHASE-LIKE 1 (AtSSL1) (Strictosidine synthase 7) (AtSS7)
CARHR136390	56	AT2G43386.1	AT2G43386.1	orthologue	GO:0005576;GO:0008150;GO:0003674	Transmembrane protein
CARHR136400	217	AT2G41310.1, AT2G07440.1	AT2G41310.1	orthologue	GO:0003674;GO:0009736;GO:0005634;GO:0000160;GO:0006355;GO:0000156;GO:0005737;GO:0005515;GO:0007623	Putative two-component response regulator protein (Two-component responsive regulator-related / response regulator protein-like protein);Two-component response regulator ARR8 (Response reactor 3)
CARHR136410	160	AT3G45800.1, AT2G11620.1, AT2G29850.1, AT2G29605.1, AT2G11623.1, AT4G07675.1, AT1G49700.1	AT2G29605.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0005575;GO:0005634	Uncharacterized protein;Uncharacterized protein At2g11620
CARHR136420	226	AT3G45800.1, AT2G11620.1, AT2G29850.1, AT2G29605.1, AT2G11623.1, AT4G07675.1, AT1G49700.1	AT2G11620.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0005575;GO:0005634	Uncharacterized protein;Uncharacterized protein At2g11620
CARHR136430	412	AT2G41330.1	AT2G41330.1	orthologue	GO:0005634;GO:0003674	At2g41330/F13H10.12 (Glutaredoxin family protein)
CARHR136440	85	AT2G41340.1	AT2G41340.1	orthologue	GO:0042797;GO:0003899;GO:0001056;GO:0006351;GO:0006362;GO:0003677;GO:0006366;GO:0005634;GO:0001055;GO:0000419;GO:0001054;GO:0000418	DNA-directed RNA polymerases IV and V subunit 5B (DNA-directed RNA polymerase 23kD subunit);RNA polymerase II fifth largest subunit, D
CARHR136450	142	AT2G41340.1	AT2G41340.1	other	GO:0042797;GO:0003899;GO:0001056;GO:0006351;GO:0006362;GO:0003677;GO:0006366;GO:0005634;GO:0001055;GO:0000419;GO:0001054;GO:0000418	DNA-directed RNA polymerases IV and V subunit 5B (DNA-directed RNA polymerase 23kD subunit);RNA polymerase II fifth largest subunit, D
CARHR136460	81	AT2G41342.1	AT2G41342.1	orthologue	GO:0003674;GO:0005634	Uncharacterized protein
CARHR136470	299	AT2G41350.2	AT2G41350.2	orthologue	GO:0005819;GO:0051225;GO:0070652;GO:0005829;GO:0005737;GO:0003674;GO:0005874;GO:0009524;GO:0051301	AUGMIN subunit 1
CARHR136480	167	AT3G57090.1	AT3G57090.1	other	GO:0005739;GO:0005741;GO:0009507;GO:0000266;GO:0060090;GO:0016559;GO:0005777;GO:0005778;GO:0008289;GO:0007005;GO:0005515;GO:0005829;GO:0000422	Mitochondrial fission 1 protein A (FIS1 homolog A) (AtFIS1a) (Protein BIGYIN 1)
CARHR136490	489	AT2G41370.1	AT2G41370.1	orthologue	GO:0010254;GO:0005634;GO:0048439;GO:0010227;GO:0010582;GO:0000976;GO:0009864;GO:0006355;GO:0010434;GO:0005515;GO:0016567;GO:0009944;GO:0009954;GO:0005737;GO:0008270;GO:0099402	Regulatory protein NPR5 (BTB/POZ domain-containing protein NPR5) (Protein BLADE ON PETIOLE 2)
CARHR136500	152	AT2G41400.1, AT2G41390.1, AT5G05020.1	AT5G05020.1	other	GO:0003674;GO:0008150;GO:0005576;GO:0016020	At2g41400 (Pollen Ole e 1 allergen and extensin family protein);At5g05020 (Gb|AAC78534.1) (Pollen Ole e 1 allergen and extensin family protein);Pollen Ole e 1 allergen and extensin family protein
CARHR136510	270	AT2G41380.1	AT2G41380.1	orthologue	GO:0008757;GO:0005739;GO:0009507;GO:0032259	At2g41380 (Putative embryo-abundant protein) (S-adenosyl-L-methionine-dependent methyltransferases superfamily protein)
CARHR136520	220	AT2G41410.1	AT2G41410.1	orthologue	GO:0005829;GO:0005509	Probable calcium-binding protein CML35 (Calmodulin-like protein 1) (Calmodulin-like protein 35)
CARHR136530	75	AT2G41415.1	AT2G41415.1	orthologue	GO:0005576;GO:0010098;GO:0003674	EMBRYO SURROUNDING FACTOR 1-like protein 4
CARHR136540	99	AT2G41420.1	AT2G41420.1	other	GO:0005886;GO:0009554;GO:0003674	Cysteine-rich and transmembrane domain-containing protein WIH2 (Cysteine-rich and transmembrane domain-containing protein A) (Protein WINDHOSE 2)
CARHR136550	157	AT2G41430.1	AT2G41430.1	orthologue	GO:0009617;GO:0009644;GO:0071456;GO:0009414;GO:0005829;GO:0005737;GO:0005515;GO:0042651;GO:0010196	Protein EARLY RESPONSIVE TO DEHYDRATION 15 (PAM2-containing protein CID1) (Polyadenylate-binding protein-interacting protein 1) (PABP-interacting protein 1) (Poly(A)-binding protein-interacting protein 1) (Protein CTC-INTERACTING DOMAIN 1) (Protein LIGHT STRESS-REGULATED 1)
CARHR136560	614	AT2G41450.1	AT2G41450.1	orthologue	GO:0016747;GO:0006974;GO:0005634	N-acetyltransferase
CARHR136570	506	AT2G41451.1	AT2G41451.1	orthologue	GO:0030244;GO:0009737;GO:0005576;GO:0009505;GO:0016757;GO:0005737;GO:0005886;GO:0030154;GO:0051301;GO:0071555	Glycosyltransferase-like At2g41451 (EC 2.4.1.-)
CARHR136580	542	AT2G41460.1	AT2G41460.1	orthologue	GO:0006284;GO:0045893;GO:0004519;GO:0006289;GO:0004528;GO:0005634;GO:0016791;GO:0003906;GO:0008081;GO:0005515;GO:0042644;GO:0008311;GO:0006281;GO:0008408;GO:0003677;GO:0046872;GO:0004518;GO:0003824	DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.-.-);DNA-(apurinic or apyrimidinic site) endonuclease, chloroplastic (EC 3.1.11.2) (Apurinic endonuclease-redox protein)
CARHR136590	179	AT2G41475.1	AT2G41475.1	orthologue	GO:0005515;GO:0009506;GO:0005576	Embryo-specific protein ATS3A (Protein ARABIDOPSIS THALIANA SEED 3A)
CARHR136600	343	AT2G41480.1	AT2G41480.1	orthologue	GO:0005576;GO:0004601;GO:0009664;GO:0020037;GO:0140825;GO:0098869;GO:0006950;GO:0009505;GO:0006979;GO:0009808;GO:0042744;GO:0046872	Peroxidase 25 (Atperox P25) (EC 1.11.1.7)
CARHR136610	430	AT2G41490.1	AT2G41490.1	orthologue	GO:0003975;GO:0006488;GO:0016020;GO:0005789;GO:0016757;GO:0016780	UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (EC 2.7.8.15) (GlcNAc-1-P transferase) (N-acetylglucosamine-1-phosphate transferase)
CARHR136620	553	AT2G41500.1, AT2G05720.1	AT2G41500.1	orthologue	GO:0000398;GO:0001709;GO:0005634;GO:0080008;GO:0016607;GO:0009560;GO:0005681;GO:0007267;GO:0046540;GO:0030621;GO:0009553;GO:0017070;GO:0005515	Putative U4/U6 small nuclear ribonucleoprotein (Transducin/WD40 repeat-like superfamily protein);U4/U6 small nuclear ribonucleoprotein PRP4-like protein (Protein EMBRYO DEFECTIVE 2776) (Protein LACHESIS)
CARHR136630	204	AT2G41510.2	AT2G41510.2	other	GO:0009823;GO:0071949;GO:0005576;GO:0048507;GO:0005773;GO:0019139;GO:0016491;GO:0009690;GO:0050660	Cytokinin dehydrogenase 1 (EC 1.5.99.12) (Cytokinin oxidase 1) (AtCKX1) (CKO 1);cytokinin dehydrogenase (EC 1.5.99.12)
CARHR136640	61	AT2G41510.2	AT2G41510.2	other	GO:0009823;GO:0071949;GO:0005576;GO:0048507;GO:0005773;GO:0019139;GO:0016491;GO:0009690;GO:0050660	Cytokinin dehydrogenase 1 (EC 1.5.99.12) (Cytokinin oxidase 1) (AtCKX1) (CKO 1);cytokinin dehydrogenase (EC 1.5.99.12)
CARHR136650	1082	AT2G41520.1	AT2G41520.1	orthologue	GO:0009507;GO:0005634;GO:0005829;GO:0003674;GO:0008150;GO:0005515	Heat shock protein DnaJ with tetratricopeptide repeat-containing protein
CARHR136660	284	AT2G41530.1	AT2G41530.1	orthologue	GO:0046294;GO:0018738;GO:0048046;GO:0005829;GO:0005737;GO:0052689	S-formylglutathione hydrolase (AtSFGH) (EC 3.1.2.12) (Esterase D)
CARHR136670	462	AT2G41540.1	AT2G41540.1	orthologue	GO:0005975;GO:0006072;GO:0005737;GO:0006116;GO:0005829;GO:0051287;GO:0141152;GO:0047952;GO:0046168;GO:0016616	Glycerol-3-phosphate dehydrogenase [NAD(+)] GPDHC1, cytosolic (EC 1.1.1.8)
CARHR136680	490	AT2G41550.1	AT2G41550.1	orthologue	GO:0006353;GO:0003674;GO:0005634	Rho termination factor
CARHR136690	1030	AT2G41560.1	AT2G41560.1	orthologue	GO:0006970;GO:0000325;GO:0042742;GO:0005634;GO:0005388;GO:0009705;GO:0043069;GO:0005773;GO:0005516;GO:0005774;GO:0070588;GO:0009651;GO:0051480;GO:0055081;GO:0016887;GO:0009507;GO:0009624;GO:0005829;GO:0043231;GO:0005886;GO:0005524;GO:0046872;GO:0016020;GO:0005215;GO:0019829;GO:0000166	Calcium-transporting ATPase (EC 7.2.2.10);Calcium-transporting ATPase 4, plasma membrane-type (EC 7.2.2.10) (Ca(2+)-ATPase isoform 4)
CARHR136700	208	AT2G41600.7	AT2G41600.7	orthologue	GO:0005634;GO:0005739;GO:0003674;GO:0005759	At2g41600/T32G6.12 (Mitochondrial glycoprotein family protein);Mitochondrial glycoprotein family protein
CARHR136710	861	AT2G41620.1	AT2G41620.1	orthologue	GO:0005635;GO:0016973;GO:0005730;GO:0006606;GO:0005643;GO:0005515;GO:0017056;GO:0005634;GO:0009506;GO:0015031;GO:0051028	Nuclear pore complex protein NUP93A (Nucleoporin 93A)
CARHR136720	312	AT2G41630.1	AT2G41630.1	orthologue	GO:0006352;GO:0016251;GO:0017025;GO:0080092;GO:0010183;GO:0009960;GO:0070897;GO:0005634;GO:0097550;GO:0005515;GO:0008270	Transcription initiation factor IIB-1 (General transcription factor TFIIB-1) (AtTFIIB1)
CARHR136730	496	AT2G41640.1	AT2G41640.1	orthologue	GO:0005576;GO:0016757;GO:0000139;GO:0016763	At2g41640/T32G6.16 (Expressed protein) (Glycosyltransferase);Glycosyltransferase family 61 protein
CARHR136740	303	AT2G41660.1	AT2G41660.1	orthologue	GO:0032541;GO:0003674;GO:0005739;GO:0010274;GO:0016020;GO:0005789;GO:0005783;GO:0005737;GO:0009658	Protein MIZU-KUSSEI 1
CARHR136750	388	AT2G41670.1	AT2G41670.1	orthologue	GO:0048481;GO:0032543;GO:0005739;GO:0003924;GO:0005525;GO:0009507;GO:0000911;GO:0016787;GO:0006412	P-loop containing nucleoside triphosphate hydrolases superfamily protein;Short integuments 2, mitochondrial (DAR GTPase 1)
CARHR136760	524	AT2G41680.1	AT2G41680.1	orthologue	GO:0005515;GO:0019430;GO:0042744;GO:0009507;GO:0010581;GO:0008047;GO:0045454;GO:0009570;GO:0043085;GO:0010380;GO:0005829;GO:0004791;GO:0016671;GO:0042802;GO:0005737;GO:0016491	NADPH-dependent thioredoxin reductase 3 (NTR3) (EC 1.8.1.9) (NADPH-dependent thioredoxin reductase C) (ANTR-C) (AtNTRC)
CARHR136770	216	AT2G41690.1	AT2G41690.1	orthologue	GO:0005515;GO:0006355;GO:0006357;GO:0043565;GO:0005634;GO:0003700;GO:0000978;GO:0005737	Heat stress transcription factor B-3 (AtHsfB3) (AtHsf-05)
CARHR136780	382	AT5G38390.1, AT5G38386.1	AT5G38390.1	orthologue	GO:0005575;GO:0008150;GO:0003674;;GO:0005515	Putative F-box protein At5g38390;Putative F-box/LRR-repeat protein At5g38386
CARHR136790	1913	AT2G41700.1	AT2G41700.1	orthologue	GO:0042626;GO:0005739;GO:0006869;GO:0055085;GO:0015171;GO:0140359;GO:0000325;GO:0005319;GO:0016887;GO:0043231;GO:0005524;GO:0016020	ABC transporter A family member 1 (ABC transporter ABCA.1) (AtABCA1) (ABC one homolog protein 1) (AtAOH1);ATP-binding cassette A1
CARHR136800	461	AT2G41705.1	AT2G41705.1	orthologue	GO:1903424;GO:0005886;GO:1903425;GO:0016020	Camphor resistance CrcB family protein (Expressed protein)
CARHR136810	427	AT2G41710.4	AT2G41710.4	orthologue	GO:0006355;GO:0005515;GO:0005634;GO:0003700;GO:0003677;GO:0009873	AP2-like ethylene-responsive transcription factor At2g41710;Integrase-type DNA-binding superfamily protein
CARHR136820	823	AT2G41720.1	AT2G41720.1	orthologue	GO:0010239;GO:0009507;GO:0008380;GO:0003735;GO:0009793;GO:0003729;GO:0005739;GO:0005515	Pentatricopeptide repeat-containing protein At2g41720 (Protein EMBRYO DEFECTIVE 2654);Tetratricopeptide repeat (TPR)-like superfamily protein
CARHR136830	970	AT2G41740.1	AT2G41740.1	orthologue	GO:0051015;GO:0005515;GO:0051017;GO:0005737;GO:0051014;GO:0003729;GO:0005829;GO:0005856;GO:0051693;GO:0003779;GO:0007010	Villin-2
CARHR136840	221	AT2G41760.1	AT2G41760.1	orthologue	GO:1901183;GO:0042742;GO:0005829;GO:0005634;GO:0008418;GO:0070773;GO:0016811	Protein N-terminal glutamine amidohydrolase (EC 3.5.1.122) (Protein NH2-terminal glutamine deamidase) (N-terminal Gln amidase) (Nt(Q)-amidase)
CARHR136850	256	AT2G41750.1	AT2G41750.1	orthologue	GO:0005634;GO:0006400;GO:0016432;GO:0008033;GO:0046872	tRNA-uridine aminocarboxypropyltransferase A (EC 2.5.1.25) (DTW domain-containing protein 2 A)
CARHR136860	770	AT2G41770.1	AT2G41770.1	orthologue	GO:0052324;GO:0005515;GO:2001009;GO:0009507;GO:0005794;GO:0016757;GO:0005802;GO:0005768;GO:0042802;GO:0008104;GO:0000139	Probable glycosyltransferase STELLO1 (EC 2.4.-.-)
CARHR136870	970	AT2G41790.1	AT2G41790.1	orthologue	GO:0043171;GO:0004222;GO:0005829;GO:0051603;GO:0005739;GO:0005737;GO:0005777;GO:0006508;GO:0046872	Insulin-degrading enzyme-like 1, peroxisomal (EC 3.4.24.-) (Insulysin-like 1) (Peroxisomal M16 protease) (Zinc-metallopeptidase)
CARHR136880	370	AT2G41800.1	AT2G41800.1	orthologue	GO:1902066;GO:0009505;GO:0009624;GO:0009733;GO:1905421;GO:0051511;GO:0003674;GO:0009506;GO:0030234;GO:0005576	Protein TEEBE
CARHR136890	370	AT2G41810.1	AT2G41810.1	orthologue	GO:0009505;GO:0005576;GO:0030234;GO:0003674;GO:1902066	Uncharacterized protein At2g41810
CARHR136900	890	AT2G41820.1	AT2G41820.1	orthologue	GO:0004714;GO:0006468;GO:0005515;GO:0005886;GO:0016301;GO:0005524;GO:0004672;GO:0033612	Leucine-rich repeat receptor-like tyrosine-protein kinase PXC3 (EC 2.7.10.1) (Protein PXY/TDR-CORRELATED 3)
CARHR136910	1028	AT2G41830.1	AT2G41830.1	orthologue	GO:0009555;GO:0005886;GO:0003674;GO:0005634	ARM repeat superfamily protein
CARHR136920	279	AT2G41835.1	AT2G41835.1	orthologue	GO:0005634;GO:0008270;GO:0005737	Zinc finger AN1 and C2H2 domain-containing stress-associated protein 11 (AtSAP11)
CARHR136930	279	AT1G58380.1, AT1G58684.1, AT1G58983.1, AT1G59359.1, AT2G41840.1, AT3G57490.1	AT1G59359.1	other	GO:0003729;GO:0009506;GO:0008150;GO:0022627;GO:0009505;GO:0005634;GO:0022626;GO:0005829;GO:0006412;GO:0005730;GO:0003735;GO:0005515;GO:0031047;GO:0003723;GO:0005840;GO:0015935	Small ribosomal subunit protein uS5w (40S ribosomal protein S2-4);Small ribosomal subunit protein uS5x (40S ribosomal protein S2-3) (AtRPS2C);Small ribosomal subunit protein uS5y/uS5u/uS5v (40S ribosomal protein S2-2);Small ribosomal subunit protein uS5z (40S ribosomal protein S2-1)
CARHR136940	434	AT2G41850.1	AT2G41850.1	orthologue	GO:0010047;GO:0009901;GO:0004650;GO:0010227;GO:0005576;GO:0045490;GO:0009830;GO:0005975	Polygalacturonase ADPG2 (AtADPG2) (PG ADPG2) (EC 3.2.1.15) (Pectinase ADPG2) (Protein ARABIDOPSIS DEHISCENCE ZONE POLYGALACTURONASE 2)
CARHR136950	521	AT2G41860.1	AT2G41860.1	orthologue	GO:0004674;GO:0035556;GO:0009931;GO:0005737;GO:0004683;GO:0004672;GO:0005886;GO:0005634;GO:0005516;GO:0005509;GO:0005524;GO:0016020;GO:0106310;GO:0006468	Calcium-dependent protein kinase 14 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
CARHR136960	265	AT2G41870.1	AT2G41870.1	orthologue	GO:0009737;GO:0009651;GO:0005737;GO:0010555;GO:0009414;GO:0005886;GO:0005515;GO:0019900	Remorin 4.2 (AtREM4.2) (Remorin group 4 member 2)
CARHR136970	385	AT2G41880.5	AT2G41880.5	orthologue	GO:0004385;GO:0005634;GO:0005829;GO:0009117;GO:0048229;GO:0005524;GO:0016301;GO:0046037;GO:0006163	Guanylate kinase 1 (AtGK1) (EC 2.7.4.8) (GMP kinase 1);Guanylate kinase 1 (EC 2.7.4.8) (GMP kinase 1);guanylate kinase (EC 2.7.4.8)
CARHR136980	771	AT2G41890.1	AT2G41890.1	orthologue	GO:0004674;GO:0005516;GO:0048544;GO:0005576;GO:0005524;GO:0005886;GO:0030246;GO:0031625;GO:0106310;GO:0004672;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase SD3-1 (EC 2.7.11.1) (S-domain-3 (SD3) receptor kinase 1) (SD3-1)
CARHR136990	722	AT2G41900.1	AT2G41900.1	orthologue	GO:0005634;GO:0005737;GO:0003700;GO:0006355;GO:1902074;GO:0005515;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 30 (AtC3H30)
CARHR137000	61	AT2G41905.1	AT2G41905.1	orthologue	GO:0003674;GO:0005886;GO:0016020	At2g41905 (Transmembrane protein)
CARHR137010	89	AT3G57740.2	AT3G57740.2	other	GO:0016310;GO:0005634;GO:0003674;GO:0005829;GO:0004674;GO:0005524;GO:0007166;GO:0106310;GO:0004672;GO:0006468;GO:0005886	Serine/threonine-protein kinase ZRK4 (EC 2.7.11.1)
CARHR137020	380	AT2G41910.1	AT2G41910.1	orthologue	GO:0004672;GO:0005524;GO:0005737;GO:0016310;GO:0007165;GO:0016020;GO:0006468	Protein kinase superfamily protein
CARHR137030	333	AT2G41930.1	AT2G41930.1	orthologue	GO:0004672;GO:0005739;GO:0007165;GO:0048868;GO:0009846;GO:0016310;GO:0005524;GO:0006468	Protein kinase superfamily protein
CARHR137040	251	AT2G41940.1	AT2G41940.1	orthologue	GO:0010090;GO:0003700;GO:0009788;GO:0006355;GO:0000976;GO:0005634;GO:0010026;GO:0005515;GO:0008270;GO:0009736;GO:0009738;GO:0009740;GO:0009739	Zinc finger protein 8
CARHR137050	158	AT2G41945.3	AT2G41945.3	orthologue	GO:0005634;GO:0009793;GO:0010431;GO:0003674;GO:0016020	At2g41945 (Transmembrane protein);Transmembrane protein
CARHR137060	1067	AT2G41960.1	AT2G41960.1	other	GO:0009506;GO:0003674;GO:0005737;GO:0005829	Uncharacterized protein At2g41960
CARHR137070	204	AT2G41950.1	AT2G41950.1	orthologue	GO:0008150;GO:0009507;GO:0009570;GO:0003674;GO:0000428	At2g41950/T6D20.26 (DNA-directed RNA polymerase subunit beta)
CARHR137080	74	AT2G41950.1	AT2G41950.1	other	GO:0008150;GO:0009507;GO:0009570;GO:0003674;GO:0000428	At2g41950/T6D20.26 (DNA-directed RNA polymerase subunit beta)
CARHR137090	365	AT2G41970.1	AT2G41970.1	orthologue	GO:0048768;GO:0009860;GO:0016310;GO:0004713;GO:0005886;GO:0005634;GO:0005737;GO:0005515;GO:0004674;GO:0005524;GO:0004672;GO:0006468	Probable protein kinase At2g41970 (EC 2.7.11.-);Protein kinase superfamily protein
CARHR137100	301	AT2G41980.1	AT2G41980.1	orthologue	GO:0005515;GO:2000785;GO:0061630;GO:0016567;GO:0005634;GO:0006511;GO:0008270;GO:0005737;GO:0005771;GO:0005776;GO:0016740;GO:0007275	Putative E3 ubiquitin-protein ligase SINAT1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SINAT1) (Seven in absentia homolog 1)
CARHR137110	1102	AT2G42010.2	AT2G42010.2	orthologue	GO:0005546;GO:0005515;GO:0009395;GO:0070290;GO:0042742;GO:0004630;GO:0005634;GO:0009506;GO:0005886;GO:0005737;GO:0016020;GO:0016042;GO:0046872;GO:0003824	Phospholipase D beta 1 (AtPLDbeta1) (PLD beta 1) (PLDbeta) (EC 3.1.4.4);phospholipase D (EC 3.1.4.4)
CARHR137120	358	AT2G42030.1	AT2G42030.1	orthologue	GO:0006511;GO:0036503;GO:0061630;GO:0016567;GO:0005737;GO:0044390;GO:0005789;GO:0008270;GO:0005783;GO:0046872	E3 ubiquitin-protein ligase RMA (EC 2.3.2.27) (Protein RING membrane-anchor) (RING-type E3 ubiquitin transferase RMA)
CARHR137130	274	AT2G42040.1	AT2G42040.1	orthologue	GO:0005575;GO:0000976	Expressed protein (WRC protein)
CARHR137140	269	AT2G42060.1	AT2G42060.1	orthologue	GO:0003674;GO:0005575;GO:0046872	At2g42060 (Cysteine/Histidine-rich C1 domain family protein)
CARHR137150	283	AT2G42070.1	AT2G42070.1	orthologue	GO:0009507;GO:0047631;GO:0042726;GO:0009416;GO:0047884;GO:0046872;GO:0016787	Nudix hydrolase 23, chloroplastic (AtNUDT23) (EC 3.6.1.-) (ADP-ribose pyrophosphatase) (EC 3.6.1.13) (FAD diphosphatase) (EC 3.6.1.18);Nudix hydrolase homolog 23
CARHR137160	261	AT2G42080.1	AT2G42080.1	orthologue	GO:0005515;GO:0051510;GO:0009742;GO:1903578;GO:0009644;GO:0005739;GO:0042538;GO:0009507	Chaperone DnaJ-domain superfamily protein
CARHR137170	134	AT2G42110.1	AT2G42110.1	orthologue	GO:0005634;GO:0003674	At2g42110
