Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013718910.1	264	AT5G07910.1	AT5G07910.1	orthologue	GO:0035556;GO:0005886;GO:0003674;GO:0005515;GO:0005737	Leucine-rich repeat (LRR) family protein
XP_013718913.2	260	AT1G77770.1	AT1G77770.1	orthologue	GO:0005634;GO:0005515;GO:0003700	At1g77770 (Forkhead box protein, putative (DUF1644));Forkhead box protein, putative (DUF1644)
XP_013718916.2	459	AT5G07800.1	AT5G07800.1	orthologue	GO:0004499;GO:0050661;GO:0050660;GO:0005634	Flavin-containing monooxygenase FMO GS-OX-like 9 (EC 1.8.-.-) (Flavin-monooxygenase glucosinolate S-oxygenase-like 9)
XP_013718917.1	182	AT5G07580.1	AT5G07580.1	orthologue	GO:0003700;GO:0006355;GO:0005622;GO:0009873;GO:0005634;GO:0000976;GO:0006950;GO:0003677	Ethylene-responsive transcription factor ERF106
XP_013718918.1	121	AT5G06270.1	AT5G06270.1	orthologue	GO:0080147;GO:0005515;GO:0045892;GO:0005634	Protein GL2-INTERACTING REPRESSOR 1
XP_013718921.1	196	AT5G63130.1	AT5G63130.1	orthologue	GO:0071456;GO:0005634;GO:0003674;GO:0005515	At5g63130 (Octicosapeptide/Phox/Bem1p family protein)
XP_013718922.1	329	AT5G06620.1	AT5G06620.1	orthologue	GO:0005634;GO:0003674;GO:0032259;GO:0042054;GO:0005515;GO:0018024;GO:0034968	Histone-lysine N-methyltransferase ATXR4 (EC 2.1.1.-) (Protein SET DOMAIN GROUP 38) (Trithorax-related protein 4) (TRX-related protein 4);SET domain protein 38
XP_013718927.1	228	AT4G18040.1	AT4G18040.1	orthologue	GO:0005515;GO:0006413;GO:0005737;GO:0005634;GO:0010494;GO:0048573;GO:0007623;GO:0009615;GO:0003743;GO:0000339;GO:0005730;GO:0005829;GO:0000932;GO:0016281;GO:0000340;GO:0003723;GO:0006417;GO:0006952	Eukaryotic translation initiation factor 4E-1 (eIF-4E-1) (eIF4E-1) (Protein cucumovirus multiplication 1) (eIF-4F 25 kDa subunit) (eIF-4F p26 subunit) (mRNA cap-binding protein)
XP_013718929.1	324	AT5G05340.1	AT5G05340.1	orthologue	GO:0009809;GO:0005794;GO:1901430;GO:0006979;GO:0009505;GO:0020037;GO:0010089;GO:0005515;GO:0140825;GO:0005576;GO:0048046;GO:0042744;GO:0046872;GO:0004601	Peroxidase 52 (Atperox P52) (EC 1.11.1.7) (ATP49)
XP_013718931.1	163	AT1G77765.4	AT1G77765.4	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
XP_013718932.1	149	AT5G07560.1, AT5G07571.1	AT5G07560.1	orthologue	GO:0019915;GO:0005681;GO:0008289;GO:1990715;GO:0048024;GO:0019953;GO:0012511;GO:0005576;GO:0005739;GO:0003674;GO:0009791;GO:0016020;GO:0048608	Glycine-rich protein 20 (Glycine-rich protein GRP20) (Oleosin-like protein);Oleosin family protein
XP_013718935.1	361	AT5G07430.1	AT5G07430.1	orthologue	GO:0042545;GO:0045490;GO:0030599;GO:0005576;GO:0052689	Probable pectinesterase 50 (PE 50) (EC 3.1.1.11) (Pectin methylesterase 50) (AtPME50)
XP_013718937.1	135	AT5G08150.1	AT5G08150.1	orthologue	GO:0005886;GO:0009690;GO:0005634;GO:0009736;GO:0003674;GO:0005737;GO:0009691	Protein SUPPRESSOR OF PHYTOCHROME B 5 (AtSOB5)
XP_013718938.1	255	AT5G07310.1	AT5G07310.1	orthologue	GO:0005634;GO:0006355;GO:0005515;GO:0009416;GO:1990110;GO:0003700;GO:0003677;GO:0009873	Ethylene-responsive transcription factor ERF115
XP_013718940.1	506	AT5G06900.1	AT5G06900.1	orthologue	GO:0016709;GO:0016020;GO:0020037;GO:0005506;GO:0016705;GO:0004497	Cytochrome P450
XP_013718941.2	179	AT5G06650.1	AT5G06650.1	orthologue	GO:0010090;GO:0009739;GO:0006355;GO:0009735;GO:0010026;GO:0003700;GO:0005634;GO:0008270;GO:0009736;GO:0009740	Zinc finger protein GIS2 (Protein GLABROUS INFLORESCENCE STEMS 2)
XP_013718942.1	78	AT1G77885.1	AT1G77885.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein
XP_013718946.1	197	AT5G06490.1	AT5G06490.1	orthologue	GO:0016567;GO:0005634;GO:0003674;GO:0008270;GO:0016020;GO:0016740	Putative RING-H2 finger protein ATL71 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL71)
XP_013718947.1	153	AT5G06480.1	AT5G06480.1	orthologue	GO:0015918;GO:0032934;GO:0032366;GO:0009507	At5g06480 (Immunoglobulin E-set superfamily protein) (Similarity to unknown protein)
XP_013718949.1	363	AT5G07410.1, AT1G69940.1	AT1G69940.1	orthologue	GO:0009860;GO:0042545;GO:0045490;GO:0030599;GO:0090406;GO:0005783;GO:0005794;GO:0005515;GO:0050829;GO:0009505;GO:0009846;GO:0005576;GO:0052689	Pectinesterase PPME1 (AtPPME1) (PE PPME1) (EC 3.1.1.11) (Pectin methylesterase 9) (AtPME9) (Pectin methylesterase PPME1) (Protein POLLEN SPECIFIC PME 1);Probable pectinesterase 48 (PE 48) (EC 3.1.1.11) (Pectin methylesterase 48) (AtPME48)
XP_013718952.1	181	AT5G63090.1	AT5G63090.1	orthologue	GO:0005515;GO:0000976;GO:0005634;GO:0010199;GO:0001216	Protein LATERAL ORGAN BOUNDARIES (ASYMMETRIC LEAVES 2-like protein 4) (AS2-like protein 4)
XP_013718954.1	165	AT5G05040.1, AT5G05060.1	AT5G05060.1	other	GO:0003674;GO:0008150;GO:0005634;GO:0004869	Cystatin/monellin superfamily protein
XP_013718955.1	439	AT5G07070.1	AT5G07070.1	other	GO:0004674;GO:0007165;GO:0005515;GO:0005737;GO:0005524;GO:0106310;GO:0004672;GO:0006468	CBL-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (SNF1-related kinase 3.2) (SOS2-like protein kinase PKS16)
XP_013718959.1	187	AT5G05500.1	AT5G05500.1	other	GO:0048767;GO:0003674;GO:0071944;GO:0009826;GO:0031982	At5g05500 (Pollen Ole e 1 allergen and extensin family protein)
XP_013718961.1	163	AT1G78020.1	AT1G78020.1	orthologue	GO:0019900;GO:0005829;GO:0005634;GO:0090351;GO:0005515;GO:0005737;GO:0016049;GO:0042594;GO:0005783;GO:0008270	FCS-Like Zinc finger 6
XP_013718962.3	306	AT5G07950.1	AT5G07950.1	orthologue	GO:0008150;GO:0003674;GO:0009507	Uncharacterized protein
XP_013718965.1	54	AT5G08040.1	AT5G08040.1	orthologue	GO:0005739;GO:0005742;GO:0005886;GO:0003674;GO:0015031	Mitochondrial import receptor subunit TOM5 homolog (Translocase of outer membrane 5 kDa subunit homolog)
XP_013718967.1	1061	AT5G06120.1	AT5G06120.1	orthologue	GO:0005739;GO:0015031;GO:0006611;GO:0005049;GO:0031267;GO:0006886;GO:0005643;GO:0005737;GO:0005634;GO:0051169	ARM repeat superfamily protein
XP_013718974.1	313	AT5G06130.2	AT5G06130.2	orthologue	GO:0031969;GO:0050821;GO:1904143;GO:0005739;GO:0005515;GO:0008270;GO:0009507;GO:0016020	Chaperone protein dnaJ-like protein;Protein ORANGE-LIKE, chloroplastic (DnaJ-like cysteine-rich domain-containing protein Or-like)
XP_013718975.1	209	AT5G05987.1	AT5G05987.1	orthologue	GO:0016020;GO:0016192;GO:0005783;GO:0003674;GO:0010008	PRA1 family protein A2 (AtPRA1.A2)
XP_013718976.2	361	AT5G07480.1	AT5G07480.1	orthologue	GO:0003674;GO:0005737;GO:0008150;GO:0005634;GO:0016491;GO:0046872	KAR-UP oxidoreductase 1
XP_013718978.2	633	AT5G04940.1	AT5G04940.1	orthologue	GO:0008270;GO:0005515;GO:0031490;GO:0005634;GO:0042054;GO:0001228;GO:0003690;GO:0040029;GO:0010385;GO:0000775;GO:0008168;GO:0032259	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH1 (EC 2.1.1.368) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Protein SET DOMAIN GROUP 32) (Suppressor of variegation 3-9 homolog protein 1) (Su(var)3-9 homolog protein 1)
XP_013718979.1	524	AT5G05010.1	AT5G05010.1	orthologue	GO:0030126;GO:0009506;GO:0005886;GO:0006888;GO:0006890;GO:0051645;GO:0003674;GO:0000139;GO:0015031	Coatomer subunit delta (Delta-coat protein) (Delta-COP)
XP_013718981.3	485	AT5G04980.2	AT5G04980.2	orthologue	GO:0004439;GO:0046856;GO:0005737;GO:0034485;GO:0009507;GO:0004445;GO:0016791	DNAse I-like superfamily protein;Type I inositol polyphosphate 5-phosphatase 10 (At5PTase10) (EC 3.1.3.-)
XP_013718984.1	701	AT5G63190.1	AT5G63190.1	orthologue	GO:0045892;GO:0005515;GO:0003729;GO:0005634;GO:0090549;GO:0043022;GO:0009646;GO:0005829;GO:0006417	MA3 DOMAIN-CONTAINING TRANSLATION REGULATORY FACTOR 1 (MA3 domain-containing protein 6)
XP_013718985.1	356	AT3G48410.2	AT3G48410.2	other	GO:0005783;GO:0008150;GO:0003674;GO:0005634;GO:0005829;GO:0016020	Alpha/beta-Hydrolases superfamily protein
XP_013718986.1	145	AT5G06020.1, AT5G06030.1, AT5G06040.1	AT5G06020.1	other	GO:0005575;GO:0003674;GO:0008150;GO:0005576;GO:0060320;GO:0016020	S-protein homolog 27;S-protein homolog 28;Self-incompatibility protein-like protein
XP_013718987.2	988	AT5G07350.2	AT5G07350.2	orthologue	GO:0010372;GO:0006402;GO:0005886;GO:0009651;GO:0005829;GO:0009306;GO:0034605;GO:0031047;GO:0000932;GO:0003729;GO:0009505;GO:0006397;GO:0005737;GO:0010494;GO:0003723;GO:0004518;GO:0005783;GO:0005634;GO:0005635;GO:0031332;GO:0048471	Ribonuclease TUDOR 1 (AtTudor1) (TUDOR-SN protein 1) (EC 3.1.-.-)
XP_013718989.2	423	AT5G63140.1	AT5G63140.1	orthologue	GO:0016788;GO:0003993;GO:0005575;GO:0016311;GO:0005576;GO:0046872;GO:0005737;GO:0016787	Probable inactive purple acid phosphatase 29
XP_013718993.1	524	AT5G07630.1	AT5G07630.1	orthologue	GO:0006488;GO:0005789;GO:0034203;GO:0003674;GO:0016020	Protein RFT1 homolog
XP_013718994.1	446	AT5G07670.1	AT5G07670.1	orthologue	GO:0031146;GO:0003674;GO:0019005;;GO:0005515	F-box protein At5g07670
XP_013718996.1	1121	AT5G05570.1	AT5G05570.1	orthologue	GO:0008168;GO:0005634;GO:0009555;GO:0005770;GO:0045159;GO:0006893;GO:0005737;GO:0005802;GO:0000149;GO:0006887;GO:0032259;GO:0003676;GO:0019905;GO:0005886;GO:0005096;GO:0005515	Transducin family protein / WD-40 repeat family protein
XP_013718998.2	432	AT5G05580.1	AT5G05580.1	orthologue	GO:0009507;GO:0016717;GO:0006636;GO:0042389;GO:0009266;GO:0006633;GO:0005886;GO:0009941;GO:0102993;GO:0031969;GO:0016020;GO:0006629;GO:0016491	Fatty acid desaturase 8;Temperature-sensitive sn-2 acyl-lipid omega-3 desaturase (ferredoxin), chloroplastic (EC 1.14.19.35) (Temperature-sensitive omega-3 fatty acid desaturase 8, chloroplastic)
XP_013718999.1	282	AT5G05590.1, AT1G07780.1, AT1G29410.2	AT1G07780.1	orthologue	GO:0000162;GO:0004640;GO:0009507;GO:0007275;GO:0009411;GO:0005634;GO:0006568	N-(5'-phosphoribosyl)anthranilate isomerase 1, chloroplastic (EC 5.3.1.24);N-(5'-phosphoribosyl)anthranilate isomerase 2, chloroplastic (EC 5.3.1.24);N-(5'-phosphoribosyl)anthranilate isomerase 3, chloroplastic (EC 5.3.1.24);phosphoribosylanthranilate isomerase (EC 5.3.1.24)
XP_013719001.2	379	AT1G78090.1	AT1G78090.1	orthologue	GO:0005992;GO:0005634;GO:0004805	Trehalose 6-phosphate phosphatase (EC 3.1.3.12);Trehalose-phosphate phosphatase B (AtTPPB) (EC 3.1.3.12) (Trehalose 6-phosphate phosphatase)
XP_013719018.1	724	AT5G07920.1	AT5G07920.1	orthologue	GO:0007200;GO:0004143;GO:0046486;GO:0005509;GO:0005737;GO:0016020;GO:0035556;GO:0005524;GO:0006952;GO:0008270;GO:0016301;GO:0007165	Diacylglycerol kinase (DAG kinase) (EC 2.7.1.107);Diacylglycerol kinase 1 (AtDGK1) (DAG kinase 1) (EC 2.7.1.107) (Diglyceride kinase 1) (DGK 1)
XP_013719021.1	752	AT5G06530.1	AT5G06530.1	orthologue	GO:0009414;GO:0005886;GO:0010148;GO:0016887;GO:0042626;GO:0016020;GO:0140359;GO:0055085;GO:0005739;GO:0005524	ABC transporter G family member 22 (ABC transporter ABCG.22) (AtABCG22) (White-brown complex homolog protein 23) (AtWBC23);ABC-2 type transporter family protein
XP_013719022.1	594	AT5G05450.1	AT5G05450.1	orthologue	GO:0003724;GO:0005730;GO:0005634;GO:0003723;GO:0005524;GO:0016887;GO:0003676	DEAD-box ATP-dependent RNA helicase 18 (EC 3.6.4.13)
XP_013719024.1	312	AT1G78100.1	AT1G78100.1	orthologue	GO:0005515;GO:0009736;GO:0010540;GO:0005634;GO:0016567;GO:0010541	F-box protein AUF1 (F-box protein At1g78100) (Protein AUXIN UP-REGULATED F-BOX PROTEIN 1)
XP_013719025.2	324	AT5G05410.1	AT5G05410.1	orthologue	GO:0045893;GO:0071456;GO:0000976;GO:0010224;GO:0003700;GO:0005515;GO:0010286;GO:0006355;GO:0009414;GO:0005634;GO:0006950;GO:0009408;GO:0042542;GO:0003677	DRE-binding protein 2A;Dehydration-responsive element-binding protein 2A (Protein DREB2A)
XP_013719026.1	565	AT5G05390.1	AT5G05390.1	orthologue	GO:0052716;GO:0005507;GO:0016491;GO:1990641;GO:0005576;GO:0046274;GO:0048046	Laccase-12 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 12) (Diphenol oxidase 12) (Urishiol oxidase 12)
XP_013719031.2	363	AT5G63160.1	AT5G63160.1	orthologue	GO:0009733;GO:0005634;GO:0006355;GO:0016567;GO:0005737;GO:0005516;GO:0009555;GO:0005515;GO:0009751;GO:0009553;GO:0042542;GO:0008270;GO:0009725	BTB and TAZ domain protein 1;BTB/POZ and TAZ domain-containing protein 1 (BTB and TAZ domain protein 1)
XP_013719032.1	506	AT5G06160.1	AT5G06160.1	orthologue	GO:0005515;GO:0000398;GO:0005681;GO:0045694;GO:0005634;GO:0008270;GO:0003723;GO:0003676	Splicing factor SF3a60 homolog (Protein ATROPOS) (Splicing factor ATO)
XP_013719033.1	468	AT5G07320.1	AT5G07320.1	orthologue	GO:0015866;GO:0006855;GO:0015867;GO:0005739;GO:0080122;GO:0098656;GO:0005347;GO:0015217;GO:0005315;GO:0070588;GO:1901679;GO:0035435;GO:0098655;GO:0005509;GO:0009507;GO:0080121;GO:0015085;GO:0005743;GO:0055085	Calcium-dependent mitochondrial ATP-magnesium/phosphate carrier protein 3 (AtAPC3) (Mitochondrial ATP-Mg/Pi carrier protein 3)
XP_013719035.1	315	AT1G78110.1	AT1G78110.1	orthologue	GO:0005634;GO:0003674	At1g78110 (Nucleolar GTP-binding protein)
XP_013719037.2	524	AT5G07630.1	AT5G07630.1	orthologue	GO:0006488;GO:0005789;GO:0034203;GO:0003674;GO:0016020	Protein RFT1 homolog
XP_013719038.2	306	AT5G61500.1	AT5G61500.1	other	GO:0005737;GO:0000422;GO:0044804;GO:0005829;GO:0061723;GO:0000045;GO:0019776;GO:0141046;GO:0000407;GO:0006914;GO:0015031;GO:0019787	Autophagy 3 (APG3);Autophagy-related protein 3 (Autophagy-related E2-like conjugation enzyme ATG3) (AtAPG3) (Protein autophagy 3)
XP_013719039.1	133	AT4G18100.1	AT4G18100.1	orthologue	GO:0003729;GO:0005730;GO:0022625;GO:0006412;GO:0005737;GO:0005829;GO:0022626;GO:0003735;GO:0005840	Large ribosomal subunit protein eL32z (60S ribosomal protein L32-1)
XP_013719040.1	411	AT5G07440.1	AT5G07440.1	other	GO:0005739;GO:0005886;GO:0005507;GO:0008270;GO:0005524;GO:0005737;GO:0000325;GO:0006538;GO:0004352;GO:0050897;GO:0004353;GO:0006520;GO:0004354;GO:0016491;GO:0016639	Glutamate dehydrogenase 2 (GDH 2) (EC 1.4.1.3);glutamate dehydrogenase [NAD(P)(+)] (EC 1.4.1.3)
XP_013719041.1	260	AT5G06360.1	AT5G06360.1	orthologue	GO:0000460;GO:0005730;GO:0005634;GO:0000470;GO:0030687;GO:0003674;GO:0005840	Ribosome biogenesis protein NSA2 homolog
XP_013719042.1	215	AT5G06300.1	AT5G06300.1	orthologue	GO:0102682;GO:0009691;GO:0005634;GO:0005829;GO:0016799;GO:0016787	Cytokinin riboside 5'-monophosphate phosphoribohydrolase LOG7 (EC 3.2.2.n1) (Protein LONELY GUY 7)
XP_013719047.1	546	AT1G78160.2	AT1G78160.2	orthologue	GO:0005737;GO:0010608;GO:0003723;GO:0009507;GO:0003729;GO:0006417	Pumilio 7;Putative pumilio homolog 7, chloroplastic (APUM-7) (AtPUM7)
XP_013719048.1	308	AT5G05780.1	AT5G05780.1	other	GO:0005838;GO:0045087;GO:0009965;GO:0006511;GO:0000502;GO:0043161;GO:0008237;GO:0005886;GO:0048731;GO:0005515;GO:0008233	26S proteasome non-ATPase regulatory subunit 7 homolog A (26S proteasome regulatory subunit RPN8a) (AtRPN8a) (Protein ASYMMETRIC LEAVES ENHANCER 3) (Protein MOV34) (AtMOV34);RP non-ATPase subunit 8A
XP_013719049.1	337	AT5G63010.1	AT5G63010.1	orthologue	GO:0005634;GO:0005737;GO:0080008;GO:0017183;GO:0061685;GO:0005515	Diphthine methyltransferase (EC 3.1.1.97) (Diphthamide biosynthesis protein 7) (WD repeat-containing protein 85)
XP_013719050.1	120	AT5G63030.1	AT5G63030.1	other	GO:0005737;GO:0005783;GO:0034599;GO:0005829;GO:0005515;GO:0015038;GO:0005777;GO:0016491	Glutaredoxin-C1 (AtGrxC1)
XP_013719053.1	462	AT5G04530.1	AT5G04530.1	orthologue	GO:0009922;GO:0009409;GO:0006633;GO:0009416;GO:0009507;GO:0016020;GO:0016746;GO:0016747	3-ketoacyl-CoA synthase 19 (KCS-19) (EC 2.3.1.199) (Very long-chain fatty acid condensing enzyme 19) (VLCFA condensing enzyme 19)
XP_013719056.1	150	AT3G11510.1, AT2G36160.1, AT3G52580.1	AT3G11510.1	orthologue	GO:0003729;GO:0005737;GO:0009506;GO:0006412;GO:0022627;GO:0005515;GO:0022626;GO:0005783;GO:0003735;GO:0000028;GO:0000325;GO:0005829;GO:0005730;GO:0005840;GO:1990904	Small ribosomal subunit protein uS11x (40S ribosomal protein S14-3);Small ribosomal subunit protein uS11y (40S ribosomal protein S14-2);Small ribosomal subunit protein uS11z (40S ribosomal protein S14-1)
XP_013719057.2	332	AT3G17611.1	AT3G17611.1	orthologue	GO:0005886;GO:0004252;GO:0008150;GO:0006508;GO:0008270;GO:0031966;GO:0016020	Rhomboid-like protein 14, mitochondrial (AtRBL14) (EC 3.4.21.-)
XP_013719058.1	384	AT1G49350.1	AT1G49350.1	orthologue	GO:0016301;GO:0050225;GO:0046131;GO:0005777;GO:0005737;GO:0005524;GO:0046872;GO:0004730;GO:0016798	Pseudouridine kinase (EC 2.7.1.83)
XP_013719061.1	486	AT3G11440.1	AT3G11440.1	orthologue	GO:0000976;GO:0045893;GO:0009740;GO:0006355;GO:1990019;GO:0048235;GO:0048655;GO:0005634;GO:0048653;GO:0003700;GO:0045926;GO:0043068;GO:0008285;GO:0003677;GO:0009653;GO:0040008	Myb domain protein 65;Transcription factor MYB65 (Myb-related protein 65) (AtMYB65)
XP_013719064.1	409	AT3G11520.1	AT3G11520.1	orthologue	GO:0005515;GO:0005634;GO:0016538;GO:0044772;GO:0000307;GO:0000082;GO:0005815;GO:0005737;GO:0010332;GO:0016020;GO:0051301	CYCLIN B13;Cyclin-B1-3 (Cyc2-At) (G2/mitotic-specific cyclin-B1-3) (CycB1;3)
XP_013719066.2	245	AT5G04395.1, AT3G17730.1	AT3G17730.1	orthologue	GO:0006355;GO:0003677;GO:0005634;GO:0003700	NAC domain containing protein 57 (No apical meristem family protein);NAC transcription factor-like protein
XP_013719067.1	431	AT3G11490.1	AT3G11490.1	orthologue	GO:0007165;GO:0009664;GO:0009507;GO:0034059;GO:0003674;GO:0005096	Rho GTPase-activating protein 4 (Rho-type GTPase-activating protein 4)
XP_013719068.1	163	AT5G59030.1	AT5G59030.1	orthologue	GO:0048364;GO:0006825;GO:0005375;GO:0035434;GO:0048235;GO:0005886;GO:0016020	Copper transporter 1 (AtCOPT1)
XP_013719070.2	296	AT3G17520.1	AT3G17520.1	orthologue	GO:0048316;GO:0005576;GO:0009414;GO:0140547;GO:0003674;GO:0005783;GO:0005773;GO:0016020	Late embryogenesis abundant protein (LEA) family protein
XP_013719076.1	254	AT2G17310.1	AT2G17310.1	orthologue	GO:0005739;GO:0019005;GO:0009620;GO:0009617;GO:0003674;GO:0016567;GO:0006952	Protein SUPPRESSOR OF NIM1 1
XP_013719077.1	210	AT1G78170.1	AT1G78170.1	orthologue	GO:0009737;GO:0005634;GO:0001217	E3 ubiquitin-protein ligase
XP_013719084.2	154	AT1G78410.1	AT1G78410.1	orthologue	GO:0050832;GO:0006979;GO:0005515;GO:0005634	VQ motif-containing protein 10 (AtVQ10) (Tobacco rattle virus-induced protein variant 1)
XP_013719098.2	402	AT5G28730.1, AT3G30525.1	AT5G28730.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005575;GO:0004518;GO:0016787;GO:0046872	Nuclease
XP_013719099.1	164	AT5G24020.1	AT5G24020.1	other	GO:0009507;GO:0009941;GO:0005515;GO:0005524;GO:0009570;GO:0016887;GO:0042803;GO:0030899;GO:0010020;GO:0009898;GO:0042802;GO:0005829;GO:0009706;GO:0051782	Septum site-determining protein minD homolog, chloroplastic (AtMinD1) (Protein ACCUMULATION AND REPLICATION OF CHLOROPLASTS 11) (Septum site-determining protein MinD1)
XP_013719100.1	612				GO:0004190;GO:0006508;GO:0003676;GO:0008270	
XP_013719102.1	167	AT3G46460.1	AT3G46460.1	orthologue	GO:0000209;GO:0006511;GO:0016567;GO:0061631;GO:0004842;GO:0005634;GO:0005515;GO:0005829;GO:0005524;GO:0016740	Ubiquitin-conjugating enzyme 13;Ubiquitin-conjugating enzyme E2 13 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 13) (Ubiquitin carrier protein 13) (Ubiquitin-protein ligase 13)
XP_013719103.1	320	AT1G78440.1	AT1G78440.1	orthologue	GO:0045487;GO:0009686;GO:0009416;GO:0045543;GO:0005575;GO:0046872	Gibberellin 2-beta-dioxygenase 1 (EC 1.14.11.13) (GA 2-oxidase 1) (Gibberellin 2-beta-hydroxylase 1) (Gibberellin 2-oxidase 1)
XP_013719104.1	92	AT5G39860.1	AT5G39860.1	orthologue	GO:0006355;GO:0009640;GO:0005634;GO:0005515;GO:0003700;GO:0009741;GO:0009826;GO:0046983;GO:0048510;GO:0040008;GO:0009740;GO:0009742	Transcription factor PRE1 (Basic helix-loop-helix protein 136) (AtbHLH136) (bHLH 136) (Protein BANQUO 1) (Protein PACLOBUTRAZOL RESISTANCE 1) (bHLH transcription factor bHLH136)
XP_013719105.2	240	AT3G17590.2	AT3G17590.2	orthologue	GO:0006338;GO:0005634;GO:0003682;GO:0000228;GO:0006357;GO:0003712;GO:0005515	Chromatin structure-remodeling complex protein BSH (AtBSH) (Protein BUSHY) (SNF5 homolog);Transcription regulatory protein SNF5, putative (BSH)
XP_013719106.1	79	AT3G11500.1	AT3G11500.1	other	GO:0043186;GO:0000398;GO:0071004;GO:0034719;GO:0005685;GO:0071011;GO:0005829;GO:0005689;GO:0005634;GO:0003723;GO:0005687;GO:0071013;GO:0005682;GO:0005730;GO:0005686;GO:0097526;GO:0000387;GO:0005681;GO:1990904	Small nuclear ribonucleoprotein G (snRNP-G)
XP_013719107.1	280	AT5G67350.1	AT5G67350.1	orthologue	GO:0003674;GO:0005634	At5g67350
XP_013719110.2	762	AT3G17690.1	AT3G17690.1	orthologue	GO:0005515;GO:0005216;GO:0099604;GO:0033198;GO:0005886;GO:0005634;GO:0080027;GO:0005516;GO:0016020;GO:0030552;GO:0030553;GO:0006811;GO:0055085	Cyclic nucleotide gated channel 19;Putative cyclic nucleotide-gated ion channel 19 (Cyclic nucleotide-binding transporter 2)
XP_013719112.1	385	AT1G54000.1, AT1G54010.1	AT1G54010.1	orthologue	GO:0000325;GO:0009506;GO:0005576;GO:0016788;GO:0005774;GO:0005634;GO:0005773;GO:0016042;GO:0005783;GO:0007029;GO:0016298	GDSL esterase/lipase 22 (EC 3.1.1.-) (Extracellular lipase At1g54000) (GDSL esterase/lipase At1g54000);Inactive GDSL esterase/lipase-like protein 23 (GDSL-like lipase 23) (Probable myrosinase-associated protein GLL23)
XP_013719113.2	195	AT3G23290.2	AT3G23290.2	orthologue	GO:0009299;GO:0005634;GO:0005739;GO:0009416;GO:0090698;GO:0003674;GO:0003677	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 4 (Protein ORGAN BOUNDARY 4)
XP_013719114.2	82	AT3G17580.1	AT3G17580.1	orthologue	GO:0005575;GO:0003674	SsrA-binding protein
XP_013719115.2	160	AT3G17600.1	AT3G17600.1	orthologue	GO:0005515;GO:0042802;GO:0048367;GO:0000976;GO:0048364;GO:0005634;GO:0006355;GO:0009630;GO:0003700;GO:0009733;GO:0009734	Auxin-responsive protein IAA31 (Indoleacetic acid-induced protein 31)
XP_013719118.1	693	AT5G39970.1	AT5G39970.1	orthologue	GO:0003674;GO:0016020;GO:0005576;GO:0005886;GO:0016491;GO:0098552	Catalytics;Catalytics (Similarity to hedgehog-interacting protein)
XP_013719119.1	809				GO:0019867;GO:0009658;GO:0009707;GO:0016020;GO:0045037	
XP_013719122.1	301	AT1G78690.1	AT1G78690.1	orthologue	GO:0005634;GO:0006650;GO:0005886;GO:0016746;GO:0008374;GO:0006644;GO:0071617;GO:0008654;GO:0016020	N-acylphosphatidylethanolamine synthase (NAPE synthase) (EC 2.3.1.-) (Lysoglycerophospholipid acyltransferase) (Monolysocardiolipin acyltransferase);Tafazzin family protein
XP_013719123.1	502	AT3G11430.1	AT3G11430.1	orthologue	GO:0090447;GO:0016791;GO:0010345;GO:0004366;GO:0016024;GO:0010143;GO:0016020;GO:0008514;GO:0016746	Glycerol-3-phosphate acyltransferase 5 (AtGPAT5) (EC 2.3.1.15)
XP_013719124.1	204	AT3G11550.1	AT3G11550.1	orthologue	GO:0042545;GO:0005886;GO:0007043;GO:0042803;GO:0005515;GO:0048226	Casparian strip membrane protein 2 (AtCASP2)
XP_013719126.2	387	AT1G67450.1	AT1G67450.1	orthologue	GO:0005575;GO:0003674;GO:0008150;;GO:0005515	Putative F-box protein At1g67450
XP_013719131.2	190	AT1G78815.1	AT1G78815.1	orthologue	GO:0009299;GO:0090698;GO:0003674;GO:0005634;GO:0009416;GO:0003677	Protein LIGHT-DEPENDENT SHORT HYPOCOTYLS 7 (Protein ORGAN BOUNDARY 7)
XP_013719133.1	395	AT3G17640.1	AT3G17640.1	orthologue	GO:0003674;GO:0005575;GO:0007165;GO:0016020;GO:0005515	Leucine-rich repeat (LRR) family protein (Leucine-rich repeat disease resistance protein-like)
XP_013719135.2	337	AT3G17680.2	AT3G17680.2	orthologue	GO:0009507;GO:0003779;GO:0016020;GO:0016301	At3g17680 (Kinase interacting (KIP1-like) family protein);Kinase interacting (KIP1-like) family protein
