Cardamine_glauca	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
Cg004G152640	148	AT2G16740.1	AT2G16740.1	orthologue	GO:0006511;GO:0016567;GO:0061631;GO:0005634;GO:0000209;GO:0004842;GO:0005524	Ubiquitin-conjugating enzyme E2 29 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 29) (Ubiquitin carrier protein 29)
Cg004G152650	627	AT2G16750.1	AT2G16750.1	orthologue	GO:0004672;GO:0003674;GO:0005634;GO:0051781;GO:0005737;GO:0010476;GO:0006468;GO:0005886;GO:0009739;GO:0004674;GO:0005524;GO:0009740;GO:0016787	Protein kinase STUNTED (EC 2.7.11.-)
Cg004G152660	255	AT2G16770.1	AT2G16770.1	orthologue	GO:0003677;GO:0000978;GO:0006357;GO:0000981;GO:0006351;GO:0003700;GO:0005515;GO:0006355;GO:0005634;GO:0010043;GO:0071294	Basic leucine zipper 23 (AtbZIP23) (bZIP protein 23)
Cg004G152670	419	AT2G16780.1	AT2G16780.1	orthologue	GO:0005634;GO:0006355;GO:0080008;GO:0006338;GO:0042393;GO:0006325;GO:0005515	WD-40 repeat-containing protein MSI2
Cg004G152680	190	AT2G16790.3	AT2G16790.3	orthologue	GO:0046177;GO:0046316;GO:0005737;GO:0005524;GO:0005975;GO:0016787;GO:0019521;GO:0016301	Gluconokinase (EC 2.7.1.12);Gluconokinase (EC 2.7.1.12) (Gluconate kinase);gluconokinase (EC 2.7.1.12) (Gluconate kinase)
Cg004G152700	369	AT2G16800.1	AT2G16800.1	orthologue	GO:0048481;GO:0048366;GO:0003674;GO:0009658;GO:0005886;GO:0009536;GO:0009507;GO:0031969	Chloroplast protein FOR GROWTH AND FERTILITY 2
Cg004G152720	279	AT2G16850.1	AT2G16850.1	orthologue	GO:0015250;GO:0005515;GO:0055085;GO:0006833;GO:0005737;GO:0005886;GO:0015267;GO:0016020	Probable aquaporin PIP2-8 (Plasma membrane intrinsic protein 2-8) (AtPIP2;8) (Plasma membrane intrinsic protein 3b) (PIP3b)
Cg004G152730	145				GO:0008270	
Cg004G152740	310	AT2G16860.1	AT2G16860.1	orthologue	GO:0071013;GO:0071014;GO:0000974;GO:0005737;GO:0003674;GO:0000398	Pre-mRNA-splicing factor SYF2
Cg004G152750	738	AT2G16880.1	AT2G16880.1	orthologue	GO:0009507;GO:0003729;GO:0008150;GO:0005515	Pentatricopeptide repeat-containing protein At2g16880
Cg004G152760	482	AT2G16890.2	AT2G16890.2	orthologue	GO:0009507;GO:0035251;GO:0016757;GO:0008194;GO:0046527	Glycosyltransferase (EC 2.4.1.-);UDP-glycosyltransferase 90A1 (EC 2.4.1.-)
Cg004G152770	386	AT2G16900.1	AT2G16900.1	orthologue	GO:0005634;GO:0003674	Expressed protein (Phospholipase-like protein (PEARLI 4) family protein);Phospholipase-like protein (PEARLI 4) family protein
Cg004G152780	574	AT2G16910.1	AT2G16910.1	orthologue	GO:0000978;GO:0003700;GO:0005515;GO:0005634;GO:0006355;GO:0003682;GO:0009555;GO:0048658;GO:0043565;GO:0046983	Transcription factor ABORTED MICROSPORES (Basic helix-loop-helix protein 21) (AtbHLH21) (bHLH 21) (Transcription factor EN 48) (bHLH transcription factor bHLH021)
Cg004G152790	1140	AT2G16920.1	AT2G16920.1	orthologue	GO:0061631;GO:0005634;GO:0016567;GO:0005524	Probable ubiquitin-conjugating enzyme E2 23 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 23) (Ubiquitin carrier protein 23)
Cg004G152800	557	AT2G16940.2	AT2G16940.2	orthologue	GO:0005634;GO:1990446;GO:0006397;GO:0005515;GO:0003723;GO:0003676	At2g16940 (Putative splicing factor) (Splicing factor, CC1-like protein);Putative splicing factor (Splicing factor, CC1-like protein);Splicing factor, CC1-like protein
Cg004G152810	142	AT5G13825.1	AT5G13825.1	other	GO:0005739;GO:0003674;GO:0008150;;GO:0003677	Uncharacterized protein
Cg004G152820	890	AT2G16950.1	AT2G16950.1	orthologue	GO:0005515;GO:0005634;GO:0006606;GO:0031267;GO:0008139;GO:0005737;GO:0051170;GO:0061608;GO:0140142;GO:0005654;GO:0070922;GO:0006886	Transportin-1 (AtTRN1) (Importin beta-2) (Karyopherin beta-2)
Cg004G152830	328					
Cg004G152860	855	AT2G17000.1	AT2G17000.1	orthologue	GO:0008381;GO:0006820;GO:0005886;GO:0050982;GO:0016020;GO:0034220;GO:0055085	Mechanosensitive ion channel protein;Mechanosensitive ion channel protein 7 (Mechanosensitive channel of small conductance-like 7) (MscS-Like protein 7)
Cg004G152870	894	AT2G17010.1	AT2G17010.1	orthologue	GO:0009859;GO:0009846;GO:0005886;GO:0005634;GO:0008381;GO:0005515;GO:0090406;GO:0012505;GO:0006820;GO:0034220;GO:0016020;GO:0055085	Mechanosensitive ion channel protein;Mechanosensitive ion channel protein 8 (Mechanosensitive channel of small conductance-like 8) (MscS-Like protein 8)
Cg004G152880	662	AT2G17020.1	AT2G17020.1	orthologue	GO:0006511;GO:0031146;GO:0005634;GO:0019005;GO:0005515;	F-box/LRR-repeat protein 10;F-box/RNI-like superfamily protein
Cg004G152890	412	AT2G17030.1	AT2G17030.1	orthologue	GO:0005515;GO:0016567;GO:0005634	F-box protein SKIP23 (SKP1-interacting partner 23)
Cg004G152900	507	AT2G17033.2	AT2G17033.2	orthologue	GO:0003729;GO:0009507;;GO:0005515	Pentatricopeptide (PPR) repeat-containing protein;Pentatricopeptide repeat-containing protein At2g17033
Cg004G152910	271	AT2G17040.1	AT2G17040.1	orthologue	GO:0048281;GO:0005634;GO:0003677;GO:0009965;GO:0006355;GO:0003700;GO:0045792	NAC domain containing protein 36
Cg004G152920	263	AT2G17080.1, AT2G17070.1	AT2G17070.1	other	GO:0005634;GO:0003674;GO:0048367;GO:0048364;GO:0009507	Uncharacterized protein
Cg004G152930	260	AT2G17080.1, AT2G17070.1	AT2G17080.1	other	GO:0005634;GO:0003674;GO:0048367;GO:0048364;GO:0009507	Uncharacterized protein
Cg004G152940	263	AT2G17080.1, AT2G17070.1	AT2G17070.1	other	GO:0005634;GO:0003674;GO:0048367;GO:0048364;GO:0009507	Uncharacterized protein
Cg004G152950	264	AT2G17070.1	AT2G17070.1	orthologue	GO:0048364;GO:0009507;GO:0048367;GO:0003674	Uncharacterized protein
Cg004G152960	260	AT2G17080.1, AT2G17070.1	AT2G17070.1	other	GO:0005634;GO:0003674;GO:0048367;GO:0048364;GO:0009507	Uncharacterized protein
Cg004G152970	263	AT2G17080.1	AT2G17080.1	orthologue	GO:0005634;GO:0003674;GO:0048367;GO:0048364	Uncharacterized protein
Cg004G152980	465	AT2G17090.1	AT2G17090.1	orthologue	GO:0009742;GO:0010098;GO:0009898;GO:0080159;GO:1902533;GO:0005634;GO:0005515;GO:0004674;GO:0005524;GO:0004672;GO:0006468	Probable inactive receptor-like kinase BSK12 (Brassinosteroid-signaling kinase 12) (Protein SHORT SUSPENSOR)
Cg004G153000	731	AT2G17110.1	AT2G17110.1	orthologue	GO:0003674;GO:0005634;GO:0000428	DNA-directed RNA polymerase subunit beta, putative (DUF630 and DUF632)
Cg004G153010	365	AT2G17120.1	AT2G17120.1	orthologue	GO:0009506;GO:0005739;GO:0016020;GO:0008061;GO:0005886;GO:0006952;GO:0098552	LysM domain-containing GPI-anchored protein 2 (Chitin elicitor-binding protein LYM2) (CEBiP LYM2)
Cg004G153020	366	AT2G17130.1	AT2G17130.1	orthologue	GO:0006102;GO:0005739;GO:0006099;GO:0009507;GO:0004449;GO:0046872	Isocitrate dehydrogenase [NAD] regulatory subunit 2, mitochondrial (IDH-II) (Isocitric dehydrogenase 2) (NAD(+)-specific ICDH 2)
Cg004G153030	877	AT2G17140.1	AT2G17140.1	orthologue	GO:0005739;GO:0003729;GO:0008150;;GO:0005515	Pentatricopeptide repeat-containing protein At2g17140
Cg004G153040	914	AT2G17150.1	AT2G17150.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0000987;GO:0003677;GO:0005515	Plant regulator RWP-RK family protein;Protein NLP1 (AtNLP1) (NIN-like protein 1) (Nodule inception protein-like protein 1)
Cg004G153050	692	AT5G49530.1	AT5G49530.1	other	GO:0003674;GO:0042797;GO:0005634;GO:0006351;GO:0005666	SIN-like family protein (Similarity to unknown protein)
Cg004G153060	284	AT2G17180.1	AT2G17180.1	orthologue	GO:0048235;GO:0006355;GO:0003700;GO:0005634;GO:0008270	Zinc finger protein ZAT2 (Protein DUO1-ACTIVATED ZINC FINGER 1)
Cg004G153070	565	AT2G17200.1, AT2G17190.1	AT2G17200.1	orthologue	GO:0006511;GO:0005515;GO:0005829;GO:0005739;GO:0005634;GO:0031593	Ubiquitin domain-containing protein DSK2a;Ubiquitin domain-containing protein DSK2b
Cg004G153080	743	AT2G17210.1	AT2G17210.1	orthologue	GO:0009451;GO:0043231;GO:0003723;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At2g17210
Cg004G153090	414	AT2G17220.1	AT2G17220.1	orthologue	GO:0004674;GO:0005634;GO:0005886;GO:0005524;GO:0006952;GO:0106310;GO:0004672;GO:0006468	Probable serine/threonine-protein kinase PIX13 (EC 2.7.11.1)
Cg004G153100	351	AT2G17230.1	AT2G17230.1	orthologue	GO:0005576;GO:0003674;GO:0048046	Protein EXORDIUM-like 5
Cg004G153130	619	AT1G17770.1, AT2G24740.1	AT1G17770.1	orthologue	GO:0003690;GO:0008270;GO:0005634;GO:0008150;GO:0042054;GO:0040029;GO:0008361;GO:0048366;GO:0000775;GO:0003677;GO:0032259;GO:0140947;GO:0005515	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH7 (EC 2.1.1.-) (EC 2.1.1.367) (Histone H3-K9 methyltransferase 7) (H3-K9-HMTase 7) (Protein SET DOMAIN GROUP 17) (Suppressor of variegation 3-9 homolog protein 7) (Su(var)3-9 homolog protein 7);Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH8 (EC 2.1.1.-) (EC 2.1.1.367) (Histone H3-K9 methyltransferase 8) (H3-K9-HMTase 8) (Protein SET DOMAIN GROUP 21) (Suppressor of variegation 3-9 homolog protein 8) (Su(var)3-9 homolog protein 8)
Cg004G153150	374	AT2G17310.1	AT2G17310.1	orthologue	GO:0005739;GO:0019005;GO:0009620;GO:0009617;GO:0003674;GO:0016567;GO:0006952;GO:0005515	Protein SUPPRESSOR OF NIM1 1
Cg004G153160	235					
Cg004G153170	147	AT2G17240.1	AT2G17240.1	orthologue	GO:0005634;GO:1901259;GO:0042255;GO:0032544;GO:0009507;GO:0003674;GO:0005739	Arginine/serine-rich-like splicing factor (At2g17240/T23A1.10) (Expressed protein)
Cg004G153180	586	AT2G17250.1	AT2G17250.1	orthologue	GO:0005730;GO:0030692;GO:0006364;GO:0005654;GO:0003674;GO:0009793;GO:0005634;GO:0032040;GO:0031965;GO:1990904;GO:0042254	Protein NUCLEOLAR COMPLEX ASSOCIATED 4 (AtNoc4) (Protein EMBRYO DEFECTIVE 2762)
Cg004G153190	930	AT2G17260.1	AT2G17260.1	orthologue	GO:0005217;GO:0009416;GO:0006874;GO:0019722;GO:0005886;GO:0005262;GO:0010118;GO:0006816;GO:0071230;GO:0008066;GO:0038023;GO:0015276;GO:0016020	Glutamate receptor 3.1 (AtGLR2) (Ligand-gated ion channel 3.1)
Cg004G153200	370	AT2G17265.1	AT2G17265.1	orthologue	GO:0048573;GO:0009507;GO:0009570;GO:0009086;GO:0009617;GO:0004413;GO:0009088;GO:0009620;GO:0005524;GO:0006952;GO:0006566	Homoserine kinase (EC 2.7.1.39) (Protein DOWNY MILDEW RESISTANT 1)
Cg004G153210	309	AT2G17270.1	AT2G17270.1	orthologue	GO:0005315;GO:0035435;GO:0005739;GO:1990547;GO:0005743;GO:0009651	Mitochondrial phosphate carrier protein 1, mitochondrial (Mitochondrial phosphate transporter 1) (MPT1) (Phosphate transporter 3;3)
Cg004G153220	272	AT2G17280.1	AT2G17280.1	orthologue	GO:0016791;GO:0005737;	Phosphoglycerate mutase-like protein (AtPGM)
Cg004G153230	287	AT2G17280.1	AT2G17280.1	orthologue	GO:0016791;GO:0005737;	Phosphoglycerate mutase-like protein (AtPGM)
Cg004G153240	551	AT2G17290.1	AT2G17290.1	orthologue	GO:0009931;GO:0005739;GO:0006468;GO:0005515;GO:0035556;GO:0005509;GO:0004674;GO:0004683;GO:0005516;GO:1902456;GO:0009738;GO:0005886;GO:0005737;GO:0005829;GO:0016020;GO:0005634;GO:0010119;GO:0046777;GO:0005524;GO:0010359;GO:0106310;GO:0004672	Calcium-dependent protein kinase 6 (EC 2.7.11.1) (Calcium-dependent protein kinase isoform CDPK3) (AtCDPK3) (Calmodulin-domain protein kinase CDPK isoform 6)
Cg004G153250	128	AT2G17300.1	AT2G17300.1	orthologue	GO:0005739;GO:0003674	At2g17300
Cg004G153270	369	AT2G17310.1	AT2G17310.1	orthologue	GO:0005739;GO:0019005;GO:0009620;GO:0009617;GO:0003674;GO:0016567;GO:0006952;GO:0005515	Protein SUPPRESSOR OF NIM1 1
Cg004G153280	99					
Cg004G153290	108	AT3G20400.1	AT3G20400.1	orthologue	GO:0009793;GO:0003674;GO:0005575	F-box associated ubiquitination effector family protein
Cg004G153300	359	AT2G17320.1	AT2G17320.1	orthologue	GO:0005634;GO:0004594;GO:0005524;GO:0015937;GO:0005829;GO:0005737;GO:0016301	AT2G17320 protein (Pantothenate kinase);Pantothenate kinase
Cg004G153310	117	AT2G17350.1	AT2G17350.1	orthologue	GO:0003674;GO:0005737	At2g17350 (Beta-mannosyltransferase-like protein)
Cg004G153320	262	AT2G17360.1	AT2G17360.1	orthologue	GO:0000325;GO:0006412;GO:0003735;GO:0005737;GO:0022627;GO:0005739;GO:0003723;GO:0003729;GO:0019843;GO:0005840;GO:1990904	Ribosomal protein S4 (RPS4A) family protein;Small ribosomal subunit protein eS4z (40S ribosomal protein S4-1)
Cg004G153340	584	AT2G17370.1	AT2G17370.1	orthologue	GO:0016126;GO:0008299;GO:0016104;GO:0004420;GO:0043231;GO:0015936;GO:0005778;GO:0005789;GO:0005634;GO:0005515;GO:0016616	3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 (AtHMGR2) (HMG-CoA reductase 2) (EC 1.1.1.34)
Cg004G153360	161	AT2G17380.1	AT2G17380.1	orthologue	GO:0035615;GO:0016192;GO:0005794;GO:0006886;GO:0043231;GO:0030121;GO:0015031;GO:0030117	AP-1 complex subunit sigma-1 (Adaptor AP-1 19 kDa protein) (Adaptor protein complex AP-1 sigma-1 subunit) (Adaptor-related protein complex 1 sigma-1 subunit) (Clathrin assembly protein complex 1 sigma-1 small chain) (Clathrin assembly small subunit protein AP19-1) (AtAP19-1) (Sigma 1 subunit of AP-1 clathrin) (Sigma-adaptin 1) (Sigma1-adaptin)
Cg004G153370	336	AT2G17390.1	AT2G17390.1	orthologue	GO:0009707;GO:0005515;GO:0006355;GO:0030941;GO:0045036;GO:0005739;GO:0005829;GO:0005634;GO:0008289	Ankyrin repeat domain-containing protein 2B
Cg004G153380	487	AT2G42160.1	AT2G42160.1	orthologue	GO:0005737;GO:0005515;GO:0004842;GO:0016567;GO:0010029;GO:0007265;GO:0046982;GO:0061630;GO:0000151;GO:0008270;GO:0016787	BRAP2 RING ZnF UBP domain-containing protein 1 (EC 2.3.2.27);Zinc finger (Ubiquitin-hydrolase) domain-containing protein
Cg004G153390	814	AT2G17410.1	AT2G17410.1	orthologue	GO:0005634;GO:0006357;GO:0006355;GO:0003700;GO:0032991;GO:0005515;GO:0003677	ARID/BRIGHT DNA-binding domain-containing protein;AT-rich interactive domain-containing protein 3 (ARID domain-containing protein 3)
Cg004G153410	93	AT5G55440.1, AT5G67040.1	AT5G67040.1	other	GO:0003674;GO:0005575;GO:0008150	F-box protein, putative (DUF295);F-box protein, putative (DUF295) (Gb|AAC80597.1)
Cg004G153430	382	AT2G17420.1	AT2G17420.1	orthologue	GO:0009860;GO:0005739;GO:0005759;GO:0048316;GO:0045454;GO:0005829;GO:0051781;GO:0019430;GO:0009507;GO:0004791;GO:0009846;GO:0005737;GO:0016491	Thioredoxin reductase (EC 1.8.1.9);Thioredoxin reductase 2 (EC 1.8.1.9) (NADPH-dependent thioredoxin reductase 2) (NTR2) (NADPH-dependent thioredoxin reductase A) (AtNTRA)
Cg004G153440	539	AT2G17430.1	AT2G17430.1	orthologue	GO:0012505;GO:0009507;GO:0005737;GO:0010483;GO:0005886;GO:0003674;GO:0005516;GO:0006952;GO:0016020	MLO-like protein 7 (AtMlo7) (Protein NORTIA)
Cg004G153450	521	AT2G17440.1	AT2G17440.1	orthologue	GO:0005886;GO:0035556;GO:0003674;GO:0005515;GO:0005737	Plant intracellular Ras-group-related LRR protein 5
Cg004G153460	189	AT2G17450.1	AT2G17450.1	orthologue	GO:0016567;GO:0005634;GO:0005515;GO:0061630;GO:0006513;GO:0008270;GO:0016020;GO:0051865	Probable E3 ubiquitin-protein ligase ATL44 (EC 2.3.2.27) (RING-H2 finger A3a) (RING-H2 finger protein ATL44) (RING-H2 zinc finger protein RHA3a) (RING-type E3 ubiquitin transferase ATL44)
Cg004G153470	553	AT2G17470.2	AT2G17470.2	orthologue	GO:0015140;GO:0015743;GO:0005774;GO:0071423;GO:0009705;GO:0034220;GO:0016020	Aluminum activated malate transporter family protein;Aluminum-activated malate transporter 6 (AtALMT6)
Cg004G153480	595	AT2G17480.1	AT2G17480.1	orthologue	GO:0005886;GO:0003674;GO:0005516;GO:0006952;GO:0016020	MLO-like protein 8 (AtMlo8)
Cg004G153490	399	AT2G17500.1	AT2G17500.1	orthologue	GO:0010311;GO:0010329;GO:0009507;GO:0080162;GO:0040009;GO:0009733;GO:0005789;GO:0140964;GO:0009734;GO:0016020;GO:0055085	Protein PIN-LIKES 5 (Auxin efflux carrier-like protein 5)
Cg004G153500	933	AT2G17510.2	AT2G17510.2	orthologue	GO:0016075;GO:0004519;GO:0000177;GO:0000176;GO:0071031;GO:0004540;GO:0000175;GO:0000178;GO:0003723;GO:0004527;GO:0005634;GO:0006364;GO:0046872;GO:0006402	Exosome complex exonuclease RRP44 homolog A (RRP44 homolog A) (EC 3.1.13.-) (EC 3.1.26.-) (Protein EMBRYO DEFECTIVE 2763) (Ribosomal RNA-processing protein 44A) (AtRRP44A);Ribonuclease II family protein
Cg004G153510	810	AT2G17520.1	AT2G17520.1	orthologue	GO:0042742;GO:0006396;GO:0030968;GO:0005783;GO:0046777;GO:0004521;GO:0004674;GO:0051082;GO:0036498;GO:0008380;GO:0099503;GO:1990604;GO:0009507;GO:0070059;GO:0009751;GO:0034976;GO:0005515;GO:0002376;GO:0005524;GO:0006397;GO:0042406;GO:0046872;GO:0106310;GO:0004672;GO:0006468;GO:0004540	Serine/threonine-protein kinase/endoribonuclease IRE1a (Endoplasmic reticulum-to-nucleus signaling 1-2) (Inositol-requiring protein 1-2) (AtIRE1-2) (Serine/threonine-protein kinase/endoribonuclease IRE1-2) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)]
Cg004G153530	392	AT5G52460.1, AT5G44850.1, AT1G05080.1	AT1G05080.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0010197	FBD, F-box and Leucine Rich Repeat domains containing protein;Gb|AAC79136.1 (Protein with RNI-like/FBD-like domain) (T19K24.4 protein);Putative F-box/FBD/LRR-repeat protein At5g52460 (Protein EMBRYO SAC DEVELOPMENT ARREST 41);Putative FBD-associated F-box protein At1g05080
Cg004G153540	269					
Cg004G153550	269					
Cg004G153590	628	AT2G17525.1	AT2G17525.1	orthologue	GO:0003729;GO:0005739;GO:0006397;GO:0005737;GO:0005515	Pentatricopeptide repeat-containing protein At2g17525, mitochondrial
Cg004G153600	437	AT2G17530.1	AT2G17530.1	orthologue	GO:0000245;GO:0004674;GO:0016310;GO:0005634;GO:0050684;GO:0005524;GO:0004672;GO:0006468;GO:0018105	non-specific serine/threonine protein kinase (EC 2.7.11.1)
Cg004G153630	317	AT2G17540.1	AT2G17540.1	orthologue	GO:0003674;GO:0005575	Uncharacterized protein At2g17540
Cg004G153640	795	AT2G17550.1	AT2G17550.1	orthologue	GO:0003674;GO:0005634	RB1-inducible coiled-coil protein
Cg004G153650	139	AT2G17560.1	AT2G17560.1	orthologue	GO:0003682;GO:0003677;GO:0003700;GO:0005634;GO:0000785;GO:0030527;GO:0005737;GO:0005829;GO:0006325	High mobility group B protein 4 (High mobility group protein G) (AtHMGgamma) (HMG gamma) (Nucleosome/chromatin assembly factor group D 04) (Nucleosome/chromatin assembly factor group D 4)
Cg004G153660	296	AT2G17570.1	AT2G17570.1	orthologue	GO:0005515;GO:0005783;GO:0016094;GO:0006486;GO:0016765;GO:0045547	Dehydrodolichyl diphosphate synthase 6 (Dedol-PP synthase 6) (EC 2.5.1.-)
Cg004G153670	764	AT2G17580.1	AT2G17580.1	orthologue	GO:0097222;GO:0003674;GO:0005739;GO:0009507;GO:0000166;GO:0001680;GO:0003723;GO:0016779;GO:0006396	Polynucleotide adenylyltransferase family protein
Cg004G153680	418	AT2G17620.1	AT2G17620.1	orthologue	GO:0005737;GO:0044772;GO:0005634;GO:0000082;GO:0005815;GO:0016538;GO:0005515;GO:0000307;GO:0051301	Cyclin-B2-1 (Cyc2a-At) (Cyclin-2a) (G2/mitotic-specific cyclin-B2-1) (CycB2;1)
Cg004G153690	324	AT2G17640.1	AT2G17640.1	orthologue	GO:0005737;GO:0006535;GO:0005829;GO:0000103;GO:0009001;GO:0016740	Serine acetyltransferase 2 (AtSAT-2) (AtSERAT3;1) (EC 2.3.1.30)
Cg004G153700	599	AT2G17650.1	AT2G17650.1	orthologue	GO:0003674;GO:0005575;GO:0005739;GO:0008150;GO:0006631;GO:0016874	Isovalerate--CoA ligase AAE2 (EC 6.2.1.-) (3-methylpentanoate--CoA ligase AAE2) (EC 6.2.1.-) (4-methylpentanoate--CoA ligase AAE2) (EC 6.2.1.-) (AMP-binding protein 2) (AtAMPBP2) (Acyl-activating enzyme 2) (Butanoate--CoA ligase AAE2) (EC 6.2.1.-) (Hexanoate--CoA ligase AAE2) (EC 6.2.1.-) (Pentanoate--CoA ligase AAE2) (EC 6.2.1.-)
Cg004G153710	459	AT2G17670.1	AT2G17670.1	orthologue	GO:0005515;GO:0009507;GO:0003729;GO:0005739;	Pentatricopeptide repeat-containing protein At2g17670;Tetratricopeptide repeat (TPR)-like superfamily protein
Cg004G153730	289	AT2G17680.1	AT2G17680.1	orthologue	GO:0003674;GO:0048364;GO:0048367;GO:0009507	DUF241 domain protein, putative (DUF241)
Cg004G153780	563	AT2G17700.1	AT2G17700.1	orthologue	GO:0005515;GO:0006468;GO:0044024;GO:0007165;GO:0004674;GO:0004712;GO:0009658;GO:0005634;GO:0005829;GO:0005524;GO:0106310;GO:0004672	Serine/threonine-protein kinase STY8 (EC 2.7.11.1) (Serine/threonine/tyrosine-protein kinase 8)
Cg004G153790	127	AT2G17705.1	AT2G17705.1	orthologue	GO:0003674;GO:0005886	Methionine-S-oxide reductase
Cg004G153800	158	AT2G17710.1	AT2G17710.1	orthologue	GO:0005739;GO:0003674	At2g17710/T17A5.17 (Big1)
Cg004G153810	291	AT2G17720.1	AT2G17720.1	orthologue	GO:0005783;GO:0000137;GO:0080147;GO:0004656;GO:0005506;GO:0005739;GO:0031418;GO:0000139;GO:0005789;GO:0018401;GO:0016705	Prolyl 4-hydroxylase 5 (AtP4H5) (EC 1.14.11.2)
Cg004G153820	236	AT2G17730.2	AT2G17730.2	orthologue	GO:0009535;GO:0009507;GO:0042170;GO:0005515;GO:0009416;GO:0008270;GO:0016020	NEP-interacting protein 2;NEP1-interacting protein 2 (RING-H2 finger protein ATL25)
Cg004G153830	248	AT2G17740.1	AT2G17740.1	orthologue	GO:0002238;GO:0009617;GO:0005515;GO:0002237;GO:0009561;GO:0005770;GO:0005634;GO:0002240;GO:0055046;GO:0005771;GO:0008270;GO:0016020	Protein VACUOLELESS GAMETOPHYTES
Cg004G153840	339	AT2G17740.1	AT2G17740.1	orthologue	GO:0002238;GO:0009617;GO:0005515;GO:0002237;GO:0009561;GO:0005770;GO:0005634;GO:0002240;GO:0055046;GO:0005771;GO:0008270;GO:0016020	Protein VACUOLELESS GAMETOPHYTES
Cg004G153850	398	AT2G17750.1	AT2G17750.1	orthologue	GO:0009535;GO:0005576;GO:0042170;GO:0005515;GO:0009416	NEP-interacting protein 1
Cg004G153860	515	AT2G17760.1	AT2G17760.1	orthologue	GO:0016020;GO:0003674;GO:0004190;GO:0005886;GO:0006508;GO:0098552	Aspartyl protease family protein 1 (EC 3.4.23.-)
Cg004G153880	246	AT2G17770.2	AT2G17770.2	orthologue	GO:0003700;GO:2000028;GO:0005515;GO:0045893;GO:0005634;GO:0003677;GO:0006355	bZIP transcription factor 27 (AtbZIP27) (Protein FD PARALOG)
Cg004G153890	400	AT2G17780.1	AT2G17780.1	orthologue	GO:0005634;GO:0048528;GO:0005262;GO:0070588;GO:0007166;GO:0005886;GO:0070509;GO:0016020	PLAC8 family protein;Protein MID1-COMPLEMENTING ACTIVITY 2
Cg004G153900	335	AT2G17787.1	AT2G17787.1	orthologue	GO:0005634;GO:0003674	At2g17787 (Cylicin)
Cg004G153910	787	AT2G17790.1	AT2G17790.1	orthologue	GO:0010008;GO:0006886;GO:0005515;GO:0042147;GO:0030906;GO:0005739;GO:0030904;GO:0005770;GO:0005794;GO:0005829;GO:0015031	Vacuolar protein sorting-associated protein 35A (Protein ZIG SUPPRESSOR 3) (Vesicle protein sorting 35A)
Cg004G153920	197	AT2G17800.1	AT2G17800.1	orthologue	GO:0031410;GO:0009734;GO:0007165;GO:0003924;GO:0007264;GO:0005737;GO:0005634;GO:0005515;GO:0005856;GO:0042995;GO:0007163;GO:0019901;GO:0008360;GO:0032956;GO:0009738;GO:0005819;GO:0007015;GO:0030865;GO:0005886;GO:0009524;GO:0005525	Rac-like GTP-binding protein ARAC1 (GTPase protein ROP3)
Cg004G153930	1198	AT2G17820.1	AT2G17820.1	orthologue	GO:0004673;GO:0000155;GO:0009414;GO:0005886;GO:0005515;GO:0010375;GO:0010431;GO:0009927;GO:0005034;GO:0006970;GO:0005634;GO:0009738;GO:0007165;GO:0000160;GO:0016310;GO:0016772	Histidine kinase 1 (EC 2.7.13.3) (Arabidopsis histidine kinase 1) (AtHK1) (Protein AUTHENTIC HIS-KINASE 1)
Cg004G153940	464	AT2G17840.1	AT2G17840.1	orthologue	GO:0005886;GO:0009737;GO:0009414;GO:0009409;GO:0009644;GO:0007623;GO:0009651;GO:0005634;GO:0003674;GO:0009507	Protein EARLY-RESPONSIVE TO DEHYDRATION 7, chloroplastic;Senescence/dehydration-associated protein-like protein
Cg004G153950	159	AT2G17850.3	AT2G17850.3	orthologue	GO:0003824;GO:0005576;GO:0009507;GO:0008150	Rhodanese-like domain-containing protein 17 (Sulfurtransferase 17) (AtStr17);Rhodanese/Cell cycle control phosphatase superfamily protein
Cg004G153960	298	AT2G17860.1	AT2G17860.1	orthologue	GO:0006952;GO:0003674;GO:0005576	Pathogenesis-related thaumatin superfamily protein
Cg004G153970	293	AT2G17870.1	AT2G17870.1	orthologue	GO:0009409;GO:0009826;GO:0005737;GO:0003729;GO:0005515;GO:0005634;GO:0009631;GO:0008270;GO:0005739;GO:0032508;GO:0003677;GO:0003676	Cold shock domain-containing protein 3 (AtCSP3)
Cg004G153980	159	AT2G17880.1	AT2G17880.1	orthologue	GO:0009507;GO:0003674	At2g17880 (Chaperone DnaJ-domain superfamily protein) (Putative DnaJ protein)
