Conringia_planisiliqua	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CP1_g37903_DN3_SP0_c.t1	157	AT1G52191.1	AT1G52191.1	orthologue	GO:0047617;GO:0008150;GO:0005575;GO:0005634;GO:0005739;GO:0005819;GO:0005829;GO:0006629	Acyl-coenzyme A thioesterase 13 (Hotdog-fold thioesterase superfamily member 2) (Thioesterase superfamily member 2)
CP1_g37905_DN3_SP6_c.t1	254	AT3G16240.1	AT3G16240.1	other	GO:0005886;GO:0008519;GO:0005794;GO:0009941;GO:0015204;GO:0009705;GO:0009506;GO:0006833;GO:0015250;GO:0000325;GO:0015840;GO:0015200;GO:0009505;GO:0016020;GO:0042807;GO:0055085;GO:0042802;GO:0000326;GO:0015267	Aquaporin TIP2-1 (Delta-tonoplast intrinsic protein) (Delta-TIP) (Tonoplast intrinsic protein 2-1) (AtTIP2;1) [Cleaved into: Aquaporin TIP2-1, N-terminally processed]
CP1_g37906_DN3_SP2_c.t1	837	AT1G52160.1	AT1G52160.1	orthologue	GO:0042780;GO:0005739;GO:0042781;GO:1990180;GO:0005634;GO:0046872;GO:0008033;GO:0016891	tRNase Z TRZ3, mitochondrial (EC 3.1.26.11) (Long tRNase Z 1) (tRNase ZL1) (AthTRZL1)
CP1_g37907_DN3_SP8_c.t1	319	AT1G52155.1	AT1G52155.1	orthologue	GO:0003674;GO:0005739;GO:0016020	Transmembrane protein
CP1_g37908_DN3_SP8_c.t1	837	AT1G52150.2	AT1G52150.2	orthologue	GO:1905392;GO:0003700;GO:0080060;GO:0000976;GO:0008289;GO:0010087;GO:0009855;GO:0005634;GO:0010075;GO:0010014;GO:0009965;GO:0048263;GO:0010073;GO:0003677;GO:0030154	Homeobox-leucine zipper family protein / lipid-binding START domain-containing protein;Homeobox-leucine zipper protein ATHB-15 (HD-ZIP protein ATHB-15) (Homeodomain transcription factor ATHB-15) (Protein CORONA) (Protein INCURVATA 4)
CP1_g37909_DN2_SP0_c.t1	61					
CP1_g37910_DN3_SP0_c.t1	211	AT1G52140.1	AT1G52140.1	orthologue	GO:0003674;GO:0005575;GO:0008150	Avr9/Cf-9 rapidly elicited protein (F5F19.20 protein)
CP1_g37911_DN3_SP0_c.t1	149	AT1G58160.1	AT1G58160.1	orthologue	GO:0051607;GO:0030246	Jacalin-related lectin 15 (Protein JACALIN-TYPE LECTIN REQUIRED FOR POTEXVIRUS RESISTANCE1)
CP1_g37912_DN3_SP0_c.t1	595	AT1G52080.1	AT1G52080.1	orthologue	GO:0055028;GO:0072699;GO:0003674;GO:0005737;GO:0016020	Actin binding protein family (At1g52080/F5F19_14) (F5F19.14 protein)
CP1_g37913_DN3_SP0_c.t1	746	AT5G35950.1, AT5G35940.1	AT5G35940.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0009506;GO:0005737;GO:0030246	Jacalin-related lectin 41;Jacalin-related lectin 42
CP1_g37914_DN3_SP1_c.t1	307	AT1G52070.1	AT1G52070.1	other	GO:0009651;GO:0003674;GO:0005576;GO:0005783;GO:0030246	Jacalin-related lectin 10;Mannose-binding lectin superfamily protein
CP1_g37915_DN1_SP0_c.t1	81	AT5G35950.1, AT5G35940.1	AT5G35940.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0009506;GO:0005737;GO:0030246	Jacalin-related lectin 41;Jacalin-related lectin 42
CP1_g37916_DN3_SP0_c.t1	293	AT1G52050.1	AT1G52050.1	orthologue	GO:0005576;GO:0005575;GO:0009651;GO:0003674;GO:0030246	Jacalin-related lectin 8
CP1_g37917_DN3_SP0_c.t1	637	AT1G52030.1	AT1G52030.1	other	GO:0009611;GO:0005737;GO:0006952;GO:0009908;GO:0010169;GO:0030246;GO:0010180;GO:0007155	Myrosinase-binding protein 2;Myrosinase-binding protein 2 (Jacalin-related lectin 6) (Myrosinase-binding protein-like At1g52030) (MBP)
CP1_g37918_DN3_SP0_c.t1	1057	AT1G52030.1	AT1G52030.1	other	GO:0009611;GO:0005737;GO:0006952;GO:0009908;GO:0010169;GO:0030246;GO:0010180;GO:0007155;GO:0005515	Myrosinase-binding protein 2;Myrosinase-binding protein 2 (Jacalin-related lectin 6) (Myrosinase-binding protein-like At1g52030) (MBP)
CP1_g37919_DN3_SP0_c.t1	767	AT1G52030.1	AT1G52030.1	other	GO:0009611;GO:0005737;GO:0006952;GO:0009908;GO:0010169;GO:0030246;GO:0010180;GO:0007155;GO:0005634;GO:0005829;GO:0030234;GO:0080028;GO:0005515	Myrosinase-binding protein 2;Myrosinase-binding protein 2 (Jacalin-related lectin 6) (Myrosinase-binding protein-like At1g52030) (MBP)
CP1_g37920_DN3_SP0_c.t1	620	AT1G52030.1	AT1G52030.1	other	GO:0009611;GO:0005737;GO:0006952;GO:0009908;GO:0010169;GO:0030246;GO:0010180;GO:0007155	Myrosinase-binding protein 2;Myrosinase-binding protein 2 (Jacalin-related lectin 6) (Myrosinase-binding protein-like At1g52030) (MBP)
CP1_g37921_DN3_SP0_c.t1	920	AT1G52030.1	AT1G52030.1	other	GO:0009611;GO:0005737;GO:0006952;GO:0009908;GO:0010169;GO:0030246;GO:0010180;GO:0007155;GO:0005634;GO:0005829;GO:0030234;GO:0080028;GO:0005515	Myrosinase-binding protein 2;Myrosinase-binding protein 2 (Jacalin-related lectin 6) (Myrosinase-binding protein-like At1g52030) (MBP)
CP1_g37923_DN3_SP0_c.t1	1174	AT1G52030.1	AT1G52030.1	other	GO:0009611;GO:0005737;GO:0006952;GO:0009908;GO:0010169;GO:0030246;GO:0010180;GO:0007155	Myrosinase-binding protein 2;Myrosinase-binding protein 2 (Jacalin-related lectin 6) (Myrosinase-binding protein-like At1g52030) (MBP)
CP1_g37924_DN3_SP0_c.t1	774	AT2G39310.1	AT2G39310.1	other	GO:0005737;GO:0003674;GO:0030246	Jacalin-related lectin 22 (Myrosinase-binding protein-like At2g39310)
CP1_g37925_DN3_SP8_c.t1	502	AT1G51980.1	AT1G51980.1	orthologue	GO:0005524;GO:0004222;GO:0045275;GO:0005739;GO:0000325;GO:0046872;GO:0005634;GO:0006508;GO:0005743;GO:0005759	Insulinase (Peptidase family M16) protein;Probable mitochondrial-processing peptidase subunit alpha-1, mitochondrial (Alpha-MPP 1) (Complex III subunit II) (Core protein II) (Cytochrome b-c1 complex subunit 2-1, mitochondrial) (Inactive zinc metalloprotease alpha-1) (Ubiquinol-cytochrome c oxidoreductase core protein 2-1)
CP1_g37927_DN3_SP0_c.t1	347	AT1G51960.1	AT1G51960.1	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0005516;GO:0005635;GO:0005737;GO:0005856;GO:0005515	Protein IQ-DOMAIN 27 (AtIQD27)
CP1_g37928_DN3_SP2_c.t1	272	AT1G51950.1	AT1G51950.1	orthologue	GO:0005515;GO:0009733;GO:0006355;GO:0003700;GO:0005634;GO:0009734	Auxin-responsive protein IAA18 (Indoleacetic acid-induced protein 18)
CP1_g37929_DN3_SP8_c.t1	663	AT1G51940.1	AT1G51940.1	orthologue	GO:0031348;GO:0009789;GO:0006468;GO:0050832;GO:0009737;GO:0019199;GO:0009738;GO:0009507;GO:0006952;GO:0016301;GO:0045087;GO:0005886;GO:0004674;GO:0005524;GO:0004672	LysM domain receptor-like kinase 3 (LysM-containing receptor-like kinase 3) (EC 2.7.11.-)
CP1_g37930_DN3_SP0_c.t1	875	AT1G51910.1	AT1G51910.1	orthologue	GO:0006468;GO:0003674;GO:0005575;GO:0016310;GO:0004674;GO:0005524;GO:0016020;GO:0004672	Leucine-rich repeat protein kinase family protein
CP1_g37931_DN3_SP0_c.t1	348	AT2G14830.1	AT2G14830.1	other	GO:0015031;GO:0005634;GO:0003674;GO:0008104	Ist1p
CP1_g37932_DN3_SP0_c.t1	888	AT1G51890.2	AT1G51890.2	orthologue	GO:0042742;GO:0006468;GO:0004672;GO:0005515;GO:0044024;GO:0004674;GO:0005634;GO:0016301;GO:0005524;GO:0016020;GO:0005886;GO:0106310	Leucine-rich repeat protein kinase family protein;Probable LRR receptor-like protein kinase At1g51890 (EC 2.7.11.1)
CP1_g37933_DN1_SP0_c.t1	75	AT1G51890.2	AT1G51890.2	other	GO:0042742;GO:0006468;GO:0004672;GO:0005515;GO:0044024;GO:0004674;GO:0005634;GO:0016301;GO:0005524;GO:0016020;GO:0005886;GO:0106310	Leucine-rich repeat protein kinase family protein;Probable LRR receptor-like protein kinase At1g51890 (EC 2.7.11.1)
CP1_g37934_DN3_SP0_c.t1	870	AT1G51880.3	AT1G51880.3	orthologue	GO:0004674;GO:0016310;GO:0016301;GO:0005575;GO:0005524;GO:0016020;GO:0106310;GO:0004672;GO:0006468;GO:0005515	Probable LRR receptor-like serine/threonine-protein kinase At1g51880 (EC 2.7.11.1);Root hair specific 6
CP1_g37935_DN3_SP1_c.t1	891	AT1G51860.1	AT1G51860.1	orthologue	GO:0004674;GO:0044024;GO:0016310;GO:0005634;GO:0005576;GO:0006468;GO:0016301;GO:0005524;GO:0016020;GO:0106310;GO:0004672	Leucine-rich repeat protein kinase family protein;Probable LRR receptor-like serine/threonine-protein kinase At1g51860 (EC 2.7.11.1)
CP1_g37948_DN3_SP0_c.t1	915	AT1G51790.2	AT1G51790.2	orthologue	GO:0005524;GO:0016310;GO:0006468;GO:0004672;GO:0005575;GO:0016301;GO:0004674;GO:0016020	Leucine-rich repeat protein kinase family protein
CP1_g37949_DN3_SP0_c.t1	441	AT1G51780.1	AT1G51780.1	orthologue	GO:0009850;GO:0010112;GO:0005634;GO:0009507;GO:0010178;GO:0010179;GO:0005788;GO:0046872;GO:0016787;GO:0005783	IAA-amino acid hydrolase ILR1-like 5 (EC 3.5.1.-)
CP1_g37951_DN3_SP5_c.t1	444	AT1G51760.1	AT1G51760.1	orthologue	GO:0005783;GO:0010179;GO:0009850;GO:0009611;GO:0009507;GO:0005634;GO:0005788;GO:0046872;GO:0016787	IAA-amino acid hydrolase ILR1-like 4 (EC 3.5.1.-) (jasmonoyl-L-amino acid hydrolase) (EC 3.5.1.127)
CP1_g37952_DN3_SP1_c.t1	652	AT1G51745.1	AT1G51745.1	orthologue	GO:0005634;GO:0008150;GO:0032991;GO:0003674	Tudor/PWWP/MBT superfamily protein;Uncharacterized protein At1g51745
CP1_g37953_DN3_SP6_c.t1	766	AT1G51740.1	AT1G51740.1	orthologue	GO:0005634;GO:0031201;GO:0003674;GO:0016192;GO:0009306;GO:0005794;GO:0005783;GO:0006890;GO:0015031;GO:0016020;GO:0005515	Syntaxin of plants 81;Syntaxin-81 (AtSYP81)
CP1_g37954_DN3_SP8_c.t1	281	AT1G51730.1	AT1G51730.1	orthologue	GO:0002181;GO:0005634;GO:0005737;GO:0003674;GO:0005515	Ubiquitin-conjugating enzyme family protein
CP1_g37955_DN3_SP7_c.t1	637	AT1G51720.1	AT1G51720.1	orthologue	GO:0005829;GO:0005739;GO:0006537;GO:0006520;GO:0004354;GO:0004353;GO:0016491;GO:0016639	glutamate dehydrogenase (NADP(+)) (EC 1.4.1.4)
CP1_g37956_DN3_SP7_c.t1	480	AT1G51710.1	AT1G51710.1	other	GO:0016579;GO:1904293;GO:0005634;GO:0070628;GO:0043161;GO:0005516;GO:0009506;GO:0004843;GO:0005515;GO:0061136	Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12);Ubiquitin carboxyl-terminal hydrolase 6 (EC 3.4.19.12) (Deubiquitinating enzyme 6) (AtUBP6) (Ubiquitin thioesterase 6) (Ubiquitin-specific-processing protease 6)
CP1_g37957_DN3_SP0_c.t1	205	AT1G51700.1	AT1G51700.1	orthologue	GO:0006355;GO:0000976;GO:0005634;GO:0003700;GO:0008270;GO:0003677	Dof zinc finger protein DOF1.7 (AtDOF1.7)
CP1_g37958_DN3_SP8_c.t1	493	AT1G51690.5	AT1G51690.5	orthologue	GO:0019888;GO:0005829;GO:0005737;GO:0005515;GO:0000159;GO:0005634	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform (AtB alpha) (PP2A, subunit B, alpha isoform);Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B
CP1_g37959_DN3_SP8_c.t1	550	AT1G51680.1	AT1G51680.1	orthologue	GO:0016207;GO:0009507;GO:0009620;GO:0009698;GO:0009611;GO:0009411;GO:0005737;GO:0005524;GO:0050563;GO:0106286;GO:0016874;GO:0016405	4-coumarate--CoA ligase 1 (4CL 1) (EC 6.2.1.12) ((E)-ferulate--CoA ligase) (EC 6.2.1.34) (4-coumarate--CoA ligase isoform 1) (At4CL1) (4-coumaroyl-CoA synthase 1);4-coumarate:CoA ligase 1
CP1_g37960_DN3_SP0_c.t1	368	AT1G51660.1	AT1G51660.1	orthologue	GO:0005737;GO:2000037;GO:0000165;GO:0010227;GO:0009570;GO:0004708;GO:0004674;GO:0098542;GO:0005515;GO:0010229;GO:2000038;GO:0005634;GO:0009875;GO:0004713;GO:0005524;GO:0009626;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase kinase 4 (AtMKK4) (MAP kinase kinase 4) (EC 2.7.12.2)
CP1_g37961_DN3_SP0_c.t1	72	AT1G51650.1	AT1G51650.1	other	GO:0045261;GO:0042776;GO:0005743;GO:0046933;GO:0015986;GO:0005739;GO:0005634;GO:0045259	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)
CP1_g37962_DN2_SP0_c.t1	656	AT1G51640.1	AT1G51640.1	orthologue	GO:0006887;GO:0000145;GO:0005546;GO:0090406;GO:0015031	Exocyst subunit Exo70 family protein
CP1_g37963_DN1_SP0_c.t1	57					
CP1_g37964_DN3_SP8_c.t1	422	AT1G51630.1	AT1G51630.1	orthologue	GO:0005797;GO:0052325;GO:0010412;GO:0005794;GO:0005768;GO:0097502;GO:0005802;GO:0016757;GO:0009505;GO:0051753;GO:0000139;GO:0006004	Protein MANNAN SYNTHESIS-RELATED 2 (AtMSR2) (EC 2.4.1.-) (O-fucosyltransferase 12) (O-FucT-12) (O-fucosyltransferase family protein)
CP1_g37965_DN3_SP0_c.t1	324	AT1G51620.2	AT1G51620.2	orthologue	GO:0004672;GO:0005524;GO:0005634;GO:0016310;GO:0005886;GO:0006468	At1g51620 (Protein kinase superfamily protein);Protein kinase superfamily protein (Protein kinase, putative)
CP1_g37966_DN3_SP0_c.t1	377	AT5G10010.1	AT5G10010.1	other	GO:0005730;GO:0045814;GO:1900034;GO:0003674;GO:0009408;GO:0010286;GO:0005737;GO:0010369;GO:0031452	Protein HEAT INTOLERANT 4
CP1_g37967_DN3_SP8_c.t1	451	AT1G51610.1	AT1G51610.1	orthologue	GO:0015562;GO:0006882;GO:0008324;GO:0009507;GO:0006829;GO:0005783;GO:0055085;GO:0005774;GO:0006812;GO:0016020	Metal tolerance protein C4 (AtMTPc4) (AtMTP7)
CP1_g37968_DN3_SP5_c.t1	302	AT1G51600.1	AT1G51600.1	orthologue	GO:0005515;GO:0000976;GO:0006355;GO:0005634;GO:0042802;GO:0008270;GO:0043565	GATA transcription factor 28 (Protein TIFY 2A) (ZIM-like 2 protein)
CP1_g37969_DN3_SP8_c.t1	559	AT1G51590.1	AT1G51590.1	orthologue	GO:0000137;GO:0036503;GO:0004559;GO:0048364;GO:0005886;GO:0006491;GO:0005768;GO:0005802;GO:0005794;GO:0000139;GO:0005783;GO:0006486;GO:0005509;GO:0004571;GO:0005975;GO:0016020;GO:1904382	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS1 (AtMANIb) (EC 3.2.1.113) (EC 3.2.1.209) (Alpha-mannosidase IB)
CP1_g37970_DN3_SP6_c.t1	609	AT1G51580.1	AT1G51580.1	orthologue	GO:0005737;GO:0003729;GO:0005634;GO:0003676;GO:0003723	At1g51580 (RNA-binding KH domain-containing protein)
CP1_g37971_DN3_SP8_c.t1	398	AT1G51560.1	AT1G51560.1	orthologue	GO:0005575;GO:0003674;GO:0005634;GO:0005737	Pyridoxamine 5'-phosphate oxidase family protein
CP1_g37972_DN3_SP5_c.t1	486	AT1G51550.1	AT1G51550.1	orthologue	GO:0005515;GO:0006511;GO:0005634;	F-box/kelch-repeat protein At1g51550
CP1_g37973_DN3_SP6_c.t1	423	AT1G51540.1	AT1G51540.1	orthologue	GO:0005794;GO:0005802;GO:0005797;GO:0003674;GO:0005768;GO:0005515	At1g51540 (Galactose oxidase/kelch repeat superfamily protein)
CP1_g37974_DN3_SP0_c.t1	647	AT1G50750.1, AT1G50790.1, AT1G50820.2	AT1G50820.2	other	GO:0003674;GO:0010073;GO:0009507;GO:0008483;GO:0048507	Aminotransferase-like, mobile domain protein;Plant mobile domain protein family
CP1_g37975_DN3_SP2_c.t1	202	AT1G51510.1	AT1G51510.1	orthologue	GO:0005730;GO:0010628;GO:0005634;GO:0016604;GO:0008380;GO:0005737;GO:0035145;GO:0003729;GO:0005654;GO:0005515;GO:0005829;GO:0000184;GO:0006397;GO:0006417;GO:0016607;GO:0051028;GO:0003723;GO:0006396;GO:0003676	RNA-binding protein Y14 (AtY14) (RNA-binding protein 8A)
CP1_g37976_DN3_SP8_c.t1	692	AT1G51500.1	AT1G51500.1	orthologue	GO:0055085;GO:0010025;GO:0005783;GO:0015562;GO:0051607;GO:0042626;GO:0009737;GO:0005515;GO:0140359;GO:0005886;GO:0009651;GO:0016887;GO:0140352;GO:0005524;GO:0006869;GO:0016020	ABC transporter G family member 12 (ABC transporter ABCG.12) (AtABCG12) (Protein ECERIFERUM 5) (White-brown complex homolog protein 12) (AtWBC12)
CP1_g37977_DN3_SP0_c.t1	338	AT1G47600.1, AT1G51470.1	AT1G47600.1	orthologue	GO:0009651;GO:0008422;GO:0019762;GO:0019137;GO:0005576;GO:0005975;GO:0019760;GO:0004553	Beta glucosidase 34;Myrosinase 4 (EC 3.2.1.147) (Beta-glucosidase 34) (AtBGLU34) (EC 3.2.1.21) (Sinigrinase 4) (Thioglucosidase 4);Myrosinase 5 (EC 3.2.1.147) (Beta-glucosidase 35) (AtBGLU35) (EC 3.2.1.21) (Sinigrinase 5) (Thioglucosidase 5)
CP1_g37978_DN3_SP0_c.t1	185	AT1G47600.1, AT1G51470.1, AT1G51490.1	AT1G47600.1	other	GO:0009651;GO:0008422;GO:0019762;GO:0019137;GO:0005576;GO:0005975;GO:0019760;GO:0004553;GO:0005739	Beta glucosidase 34;Beta glucosidase 36;Myrosinase 4 (EC 3.2.1.147) (Beta-glucosidase 34) (AtBGLU34) (EC 3.2.1.21) (Sinigrinase 4) (Thioglucosidase 4);Myrosinase 5 (EC 3.2.1.147) (Beta-glucosidase 35) (AtBGLU35) (EC 3.2.1.21) (Sinigrinase 5) (Thioglucosidase 5);Putative myrosinase 6 (EC 3.2.1.147) (Beta-glucosidase 36) (AtBGLU36) (Sinigrinase 6) (Thioglucosidase 6)
CP1_g37979_DN3_SP3_c.t1	687	AT1G51460.1	AT1G51460.1	orthologue	GO:0016887;GO:0009506;GO:0009651;GO:0140359;GO:0080051;GO:0042626;GO:0005886;GO:0080172;GO:0005524;GO:0016020	ABC transporter G family member 13 (ABC transporter ABCG.13) (AtABCG13) (White-brown complex homolog protein 13) (AtWBC13)
CP1_g37981_DN3_SP0_c.t1	525	AT1G51440.1	AT1G51440.1	orthologue	GO:0009507;GO:0008970;GO:0005576;GO:0004620;GO:0047714;GO:0004806;GO:0008150;GO:0016042;GO:0006629	Phospholipase A1-Igamma3, chloroplastic (EC 3.1.1.-) (DAD1-like lipase 2)
CP1_g37982_DN3_SP1_c.t1	423	AT1G51420.2	AT1G51420.2	orthologue	GO:0005986;GO:0000287;GO:0050307;GO:0000325	Probable sucrose-phosphatase 1 (AtSPP1) (EC 3.1.3.24);Sucrose-phosphatase (EC 3.1.3.24)
CP1_g37984_DN3_SP2_c.t1	490	AT1G51405.1	AT1G51405.1	orthologue	GO:0005634;GO:0008150;GO:0003674;GO:0005737	Myosin-like protein
CP1_g37985_DN3_SP0_c.t1	106	AT1G51400.1	AT1G51400.1	orthologue	GO:0005634;GO:0009535;GO:0010193;GO:0009611;GO:0010224;GO:0003674;GO:0009507;GO:0019904	At1g51400/F5D21_10 (F11M15.26 protein) (Photosystem II 5 kD protein)
CP1_g37986_DN3_SP8_c.t1	277	AT1G51390.1	AT1G51390.1	orthologue	GO:0016226;GO:0005739;GO:0005507;GO:0051539;GO:0106035;GO:0005506;GO:0005524;GO:0005634;GO:0009507;GO:0005198;GO:0051536	NifU-like protein 5, mitochondrial (AtNfu-I) (AtNfu5)
CP1_g37987_DN3_SP8_c.t1	402	AT1G51380.1	AT1G51380.1	orthologue	GO:0003724;GO:0005730;GO:0071013;GO:0000398;GO:0005634;GO:0003729;GO:0003676;GO:0003723;GO:0005524;GO:0006364;GO:0016887;GO:0016787	DEAD-box ATP-dependent RNA helicase 34 (AtRH34) (EC 3.6.4.13);RNA helicase (EC 3.6.4.13)
CP1_g37988_DN2_SP0_c.t1	204	AT1G51360.1	AT1G51360.1	orthologue	GO:0003674;GO:0009753;GO:0009620;GO:0005634;GO:0005829;GO:0050832	Stress-response A/B barrel domain-containing protein DABB1 (Dimeric A/B barrel domain-containing protein 1) (AtDabb1)
CP1_g37989_DN2_SP0_c.t1	118	AT1G51355.1	AT1G51355.1	orthologue	GO:0032875;GO:0003674;GO:0005739;GO:0005634;GO:0004860	Cyclin-dependent protein kinase inhibitor SMR9 (Protein SIAMESE-RELATED 9)
CP1_g37990_DN3_SP6_c.t1	660	AT1G51350.1	AT1G51350.1	orthologue	GO:0009507;GO:0034657;GO:0043161;GO:0003674;GO:0005634;GO:0005737;GO:0005515	ARM repeat superfamily protein (At1g51350)
CP1_g37991_DN3_SP8_c.t1	519	AT1G51340.2	AT1G51340.2	orthologue	GO:0015746;GO:0055085;GO:0005886;GO:0010044;GO:0035618;GO:0015137;GO:0042910;GO:0015297;GO:0034220;GO:0016020	MATE efflux family protein;Protein DETOXIFICATION 42 (AtDTX42) (Aluminum-activated citrate transporter) (AtMATE) (FRD-like protein) (Multidrug and toxic compound extrusion protein 42) (MATE protein 42)
CP1_g37992_DN2_SP0_c.t1	66					
CP1_g37993_DN2_SP0_c.t1	97					
CP1_g37994_DN3_SP8_c.t1	495	AT1G51310.1	AT1G51310.1	orthologue	GO:0009507;GO:0061708;GO:0000049;GO:0005524;GO:0008033;GO:0016783;GO:0016740	tRNA-5-taurinomethyluridine 2-sulfurtransferase (EC 2.8.1.14)
CP1_g37995_DN3_SP7_c.t1	376	AT1G51260.1	AT1G51260.1	orthologue	GO:0016024;GO:0003841;GO:0009507;GO:0012505;GO:0016020;GO:0016746	1-acyl-sn-glycerol-3-phosphate acyltransferase 3 (EC 2.3.1.51) (Lysophosphatidyl acyltransferase 3)
CP1_g37996_DN3_SP0_c.t1	321	AT1G51260.1	AT1G51260.1	other	GO:0016024;GO:0003841;GO:0009507;GO:0012505;GO:0016020;GO:0016746	1-acyl-sn-glycerol-3-phosphate acyltransferase 3 (EC 2.3.1.51) (Lysophosphatidyl acyltransferase 3)
CP1_g37997_DN1_SP0_c.t1	599	AT2G22410.1	AT2G22410.1	orthologue	GO:0005739;GO:0009451;GO:0003723;GO:0005515	Pentatricopeptide repeat-containing protein At2g22410, mitochondrial
CP1_g37998_DN2_SP7_c.t1	342	AT1G51220.1	AT1G51220.1	other	GO:0005634;GO:0080022;GO:0006355;GO:0003700;GO:0010468;GO:0008270;GO:0048856	Zinc finger protein WIP5 (WIP-domain protein 5) (AtWIP5)
CP1_g38000_DN2_SP0_c.t1	175	AT1G51200.1	AT1G51200.1	orthologue	GO:0005634;GO:0003677;GO:0008270	Zinc finger A20 and AN1 domain-containing stress-associated protein 2 (AtSAP2)
CP1_g38001_DN3_SP8_c.t1	572	AT1G51190.1	AT1G51190.1	orthologue	GO:0010449;GO:0048364;GO:0006355;GO:0005515;GO:0005634;GO:0009414;GO:0019827;GO:0003700;GO:0000723;GO:0007389;GO:0010073;GO:0003677;GO:0009734;GO:0009873	AP2-like ethylene-responsive transcription factor PLT2 (Protein AINTEGUMENTA-LIKE 4) (Protein PLETHORA 2)
CP1_g38002_DN3_SP0_c.t1	396	AT1G51170.1	AT1G51170.1	orthologue	GO:0009507;GO:0016301;GO:0004674;GO:0080060;GO:0036290;GO:0004672;GO:0051782;GO:0008134;GO:0005634;GO:0005737;GO:0005886;GO:0005524;GO:0106310;GO:0006468	Serine/threonine-protein kinase UCN (EC 2.7.11.1) (AGC serine/threonine-protein kinase subfamily 2 member 3) (Protein UNICORN)
CP1_g38003_DN3_SP8_c.t1	169	AT1G51160.1	AT1G51160.1	orthologue	GO:0005794;GO:0006888;GO:0003674;GO:0009555;GO:0009933;GO:0030008;GO:0005783;GO:0016192	Trafficking protein particle complex subunit
CP1_g38004_DN3_SP0_c.t1	239	AT2G42725.1, AT5G42325.1, AT4G18720.1	AT2G42725.1	other	GO:0005634;GO:0006351;GO:0003674;GO:0006357	Transcription factor;Transcription factor IIS protein
CP1_g38005_DN3_SP6_c.t1	390	AT1G51140.1	AT1G51140.1	orthologue	GO:0000987;GO:0042803;GO:0006355;GO:1902074;GO:0000976;GO:0005634;GO:0009737;GO:0000978;GO:0006357;GO:0009416;GO:0009414;GO:0005515;GO:0003700;GO:1902456;GO:0006970;GO:0071215;GO:0000981;GO:2000028;GO:0010468;GO:1903286;GO:0048573;GO:0160062;GO:0010119;GO:0042335;GO:0046983	Transcription factor bHLH122 (Basic helix-loop-helix protein 122) (AtbHLH122) (bHLH 122) (Transcription factor EN 70) (bHLH transcription factor bHLH122)
CP1_g38008_DN3_SP0_c.t1	356	AT1G51120.1	AT1G51120.1	orthologue	GO:0005634;GO:0006355;GO:0003700;GO:0003677;GO:0009873	AP2/ERF and B3 domain-containing transcription factor At1g51120 (RAV1-like ethylene-responsive transcription factor At1g51120)
CP1_g38009_DN3_SP5_c.t1	412	AT1G51110.1	AT1G51110.1	orthologue	GO:0009535;GO:0009507;GO:0009534;GO:0009941;GO:0003674;GO:0008150;GO:0005634	Probable plastid-lipid-associated protein 12, chloroplastic (Fibrillin-10)
CP1_g38010_DN3_SP0_c.t1	209	AT1G51100.1	AT1G51100.1	orthologue	GO:0010258;GO:0009570;GO:0009507;GO:0005515	Protein CHLORORESPIRATORY REDUCTION 41, chloroplastic
CP1_g38011_DN3_SP0_c.t1	169	AT1G51090.1	AT1G51090.1	orthologue	GO:1900425;GO:0050832;GO:0005634;GO:0046872;GO:1900150	Heavy metal transport/detoxification superfamily protein (Proline-rich protein, putative) (Putative proline-rich protein)
CP1_g38012_DN2_SP0_c.t1	296	AT1G51080.1	AT1G51080.1	orthologue	GO:0009507;GO:0003674;GO:0009536	At1g51080 (Golgin family A protein)
CP1_g38013_DN3_SP7_c.t1	229	AT1G51070.2	AT1G51070.2	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0046983;GO:0005515;GO:0060586;GO:0006879;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH115 (Basic helix-loop-helix protein 115) (AtbHLH115) (bHLH 115) (Transcription factor EN 134) (bHLH transcription factor bHLH115)
CP1_g38014_DN3_SP7_c.t1	133	AT1G51060.1	AT1G51060.1	other	GO:0005634;GO:0031507;GO:0046982;GO:0000786;GO:0030527;GO:0005730;GO:0009505;GO:0003677	Probable histone H2A.1 (HTA10)
CP1_g38015_DN3_SP0_c.t1	104	AT3G20650.1	AT3G20650.1	other	GO:0005634;GO:0004482;GO:0006370;GO:0003723;GO:0005845	mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase);mRNA cap guanine-N(7) methyltransferase 1 (EC 2.1.1.56) (mRNA (guanine-N(7))-methyltransferase 1) (mRNA cap methyltransferase 1)
