Aethionema_saxatile	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
As005G107970	469	AT5G03040.1	AT5G03040.1	orthologue	GO:0005634;GO:0005886;GO:0005874;GO:0003674;GO:0005516;GO:0005737;GO:0005856;GO:0005515	Protein IQ-DOMAIN 2 (AtIQD2)
As005G107980	135	AT5G03050.1	AT5G03050.1	orthologue	GO:0005634;GO:0005515	At5g03050 (Knotted 1-binding protein)
As005G107990	519	AT5G03070.1	AT5G03070.1	orthologue	GO:0006607;GO:0005634;GO:0006606;GO:0061608;GO:0005737;GO:0008139;GO:0005635;GO:0005515	Importin subunit alpha-9 (IMPa-9)
As005G108000	224	AT5G03080.1	AT5G03080.1	orthologue	GO:0006651;GO:0008195;GO:0048868;GO:0009507;GO:0009706;GO:0005789;GO:0006487;GO:0008610;GO:0043231;GO:0047874	Lipid phosphate phosphatase gamma (AtLPPG) (EC 3.1.3.-) (Phosphatidic acid phosphatase gamma) (Plastidic phosphatidic acid phosphatase gamma)
As005G108010	310	AT5G03110.1	AT5G03110.1	orthologue	GO:0003674;GO:0005634	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16 (At5g03110) (Protamine P1 family protein)
As005G108020	78	AT5G03120.2	AT5G03120.2	orthologue	GO:0003674;GO:0005576;GO:0016020	Transmembrane protein
As005G108030	715	AT5G03140.1	AT5G03140.1	orthologue	GO:0002229;GO:0016301;GO:0009507;GO:0005886;GO:0004674;GO:0005524;GO:0030246;GO:0106310;GO:0004672;GO:0006468	L-type lectin-domain containing receptor kinase VIII.2 (LecRK-VIII.2) (EC 2.7.11.1)
As005G108040	511	AT5G03150.1	AT5G03150.1	orthologue	GO:0005515;GO:0010075;GO:0005634;GO:0045604;GO:0045893;GO:0008356;GO:0006355;GO:0042803;GO:0003700;GO:0048364;GO:0034504;GO:0051302;GO:0043565;GO:0003677;GO:0008270	Zinc finger protein JACKDAW (ID1-like zinc finger protein 3) (Protein indeterminate-domain 10)
As005G108050	479	AT5G03160.1	AT5G03160.1	orthologue	GO:0005783;GO:0003674;GO:0044794;GO:0005788;GO:0005515	DnaJ protein P58IPK homolog (AtP58IPK) (Chaperone protein dnaJ 36) (AtDjA36) (AtJ36)
As005G108060	245	AT5G03170.1	AT5G03170.1	orthologue	GO:0009612;GO:0009505;GO:0005886;GO:0009531;GO:0009834;GO:0016020;GO:0005576;GO:1901348;GO:0003674;GO:0098552	Fasciclin-like arabinogalactan protein 11
As005G108070	465	AT3G09760.1	AT3G09760.1	orthologue	GO:0008150;GO:0008270;GO:0005634;GO:0016020	At3g09760/F8A24.19 (RING finger family protein) (RING/U-box superfamily protein)
As005G108080	484	AT5G03190.2	AT5G03190.2	orthologue	GO:0009414;GO:0008757;GO:0005575	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16 (Peptide upstream protein);Peptide upstream protein
As005G108090	457	AT5G03190.2	AT5G03190.2	orthologue	GO:0009414;GO:0008757;GO:0005575	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16 (Peptide upstream protein);Peptide upstream protein
As005G108100	73	AT5G03210.2	AT5G03210.2	orthologue	GO:0005634;GO:0051607;GO:0005829;GO:0003674	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16 (E3 ubiquitin-protein ligase);E3 ubiquitin-protein ligase
As005G108110	70	AT2G43340.1	AT2G43340.1	other	GO:0005634;GO:0003674	At2g43340
As005G108120	168	AT5G03220.1	AT5G03220.1	orthologue	GO:0051510;GO:0005634;GO:0006357;GO:0005515;GO:0009704;GO:0016592;GO:0003712;GO:0070847	Mediator of RNA polymerase II transcription subunit 7a
As005G108130	180	AT5G03230.1	AT5G03230.1	orthologue	GO:0003674;GO:0005634;GO:0010150	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16
As005G108140	534	AT1G65350.1, AT4G02890.3, AT4G05320.2, AT5G03240.1, AT5G20620.1, AT5G37640.1	AT4G05320.2	other	GO:0006511;GO:0000325;GO:0019941;GO:0005634;GO:0016567;GO:0031625;GO:0005737;GO:0031386;GO:0003729;GO:0005829;GO:0009536;GO:0009505;GO:0005622;GO:0005730;GO:0010224;GO:0005886;GO:0009751;GO:0005515	AT4g05320/C17L7_240 (Polyubiquitin 10);Polyubiquitin (Ubiquitin 11);Polyubiquitin 10 [Cleaved into: Ubiquitin];Polyubiquitin 14 [Cleaved into: Ubiquitin];Polyubiquitin 3 [Cleaved into: Ubiquitin];Polyubiquitin 4 [Cleaved into: Ubiquitin];Polyubiquitin 9 [Cleaved into: Ubiquitin-related 1; Ubiquitin-related 2; Ubiquitin-related 3; Ubiquitin-related 4];Ubiquitin 13;Ubiquitin 4
As005G108150	561	AT5G03260.1	AT5G03260.1	orthologue	GO:0016491;GO:0005576;GO:0005507;GO:0009809;GO:0052716;GO:0046274;GO:0048046	Laccase-11 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 11) (Diphenol oxidase 11) (Urishiol oxidase 11)
As005G108160	1311	AT5G03280.1	AT5G03280.1	orthologue	GO:0009651;GO:0106167;GO:0010150;GO:0015086;GO:0042742;GO:0009873;GO:0005515;GO:0009789;GO:0005886;GO:0050832;GO:0052544;GO:0048765;GO:0031348;GO:0009871;GO:0003682;GO:0008219;GO:0009753;GO:0009725;GO:0006979;GO:0034755;GO:0040029;GO:0006970;GO:0010182;GO:0002237;GO:0009408;GO:0005384;GO:0009926;GO:0009723;GO:0003729;GO:0051301;GO:0006828;GO:0010119;GO:0010087;GO:0030001;GO:0046873;GO:0042393;GO:0001736;GO:0005634;GO:0005789;GO:0009734;GO:0009736;GO:0016020	Ethylene-insensitive protein 2 (AtEIN2) (EIN-2) (Cytokinin-resistant protein AtCKR1) (Protein ORESARA 3) [Cleaved into: EIN2-CEND (EIN2C)]
As005G108170	66					
As005G108180	373	AT5G03290.1	AT5G03290.1	orthologue	GO:0006099;GO:0006102;GO:0005886;GO:0005739;GO:0051287;GO:0005524;GO:0008270;GO:0000287;GO:0004449;GO:0016616	Isocitrate dehydrogenase [NAD] catalytic subunit 5, mitochondrial (EC 1.1.1.41) (IDH-V) (Isocitric dehydrogenase 5) (NAD(+)-specific ICDH 5)
As005G108190	98	AT5G03310.1	AT5G03310.1	orthologue	GO:0009733;GO:0005575;GO:0003674	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16 (At5g03310) (SAUR-like auxin-responsive protein family)
As005G108210	411					
As005G108220	399	AT5G03320.1	AT5G03320.1	orthologue	GO:0002221;GO:0004674;GO:0080142;GO:0005515;GO:0005886;GO:0005524;GO:0006952;GO:0106310;GO:0004672;GO:0006468	Serine/threonine-protein kinase PCRK2 (EC 2.7.11.1) (Protein PTI-COMPROMISED RECEPTOR-LIKE CYTOPLASMIC KINASE 2)
As005G108230	353	AT5G03330.1	AT5G03330.1	orthologue	GO:0005737;GO:0004843;GO:0006508;GO:0016787;GO:0016579	OVARIAN TUMOR DOMAIN-containing deubiquitinating enzyme 10 (OTU domain-containing protein 10) (EC 3.4.19.12) (Deubiquitinating enzyme OTU10);ubiquitinyl hydrolase 1 (EC 3.4.19.12)
As005G108240	553	AT3G60400.1	AT3G60400.1	orthologue	GO:0009735;GO:0009739;GO:0005515;GO:0000262;GO:0009737;GO:0009733;GO:0005739;GO:0003690;GO:0006355;GO:0007005;GO:0006353;GO:0003676;GO:0043231	Transcription termination factor MTEF18, mitochondrial (Mitochondrial transcription termination factor 18) (Protein SUPPRESSOR OF HOT1-4 1)
As005G108250	221	AT5G52970.1	AT5G52970.1	orthologue	GO:0008150;GO:0003674;GO:0009579;GO:0009507;GO:0009543;GO:0031977	Thylakoid lumenal 15.0 kDa protein 2, chloroplastic
As005G108260	178	AT5G03370.1	AT5G03370.1	orthologue	GO:0009507;GO:0003998	acylphosphatase (EC 3.6.1.7)
As005G108270	382	AT5G03380.1	AT5G03380.1	orthologue	GO:0071456;GO:0005886;GO:0046872	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 6 (AtHIP06) (Cadmium induced protein CdI19)
As005G108280	484	AT3G46100.1, AT5G03406.1	AT3G46100.1	orthologue	GO:0004821;GO:0006427;GO:0005737;GO:0009507;GO:0005739;GO:0005524	histidine--tRNA ligase (EC 6.1.1.21);Histidine--tRNA ligase, chloroplastic/mitochondrial (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS) (Histidyl-tRNA synthetase 1) (AtHRS1)
As005G108290	375	AT5G03415.1	AT5G03415.1	orthologue	GO:0005515;GO:0006357;GO:0005634;GO:0005737;GO:0006355;GO:0042023;GO:0070176;GO:0000981;GO:0000977;GO:0046982;GO:0051726;GO:0000082;GO:0003677;GO:0005667	Transcription factor-like protein DPB (DP-like protein B) (AtDPbB) (E2F dimerization partner protein B)
As005G108300	647	AT5G03420.1	AT5G03420.1	orthologue	GO:0005515;GO:0009507;GO:0010581;GO:0019252	Protein PTST homolog 3, chloroplastic (PROTEIN TARGETING TO STARCH homolog 3)
As005G108310	498	AT5G03430.1	AT5G03430.1	orthologue	GO:0003919;GO:0006747;GO:0005737;GO:0003824	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase)
As005G108320	97	AT5G03440.1	AT5G03440.1	orthologue	GO:0005634;GO:0003674;GO:0008150	At5g03440 (Zinc finger protein)
As005G108330	603	AT5G03450.1	AT5G03450.1	orthologue	GO:0005634;GO:0016567;GO:0036297;GO:0004842;GO:0008270;GO:0005515	At5g03450 (Transducin/WD40 repeat-like superfamily protein)
As005G108340	137	AT5G03455.1	AT5G03455.1	orthologue	GO:0008794;GO:0005515;GO:0005737;GO:0046685;GO:0005739;GO:0006468;GO:0009507;GO:0004725;GO:0005634;GO:0030611;GO:0003824;GO:0046872;GO:0051301	Dual specificity phosphatase Cdc25 (EC 3.1.3.48) (Arath;CDC25) (Arsenate reductase) (AtASR) (Arsenate reductase 2) (EC 1.20.4.1) (Sulfurtransferase 5) (AtStr5);Rhodanese/Cell cycle control phosphatase superfamily protein
As005G108350	88	AT5G03460.1	AT5G03460.1	orthologue	GO:0005575;GO:0003674	Transmembrane protein
As005G108360	499	AT5G03470.1	AT5G03470.1	orthologue	GO:0019888;GO:0009556;GO:0005737;GO:0009554;GO:0005515;GO:0000779;GO:0005634;GO:0051177;GO:0042325;GO:0000159;GO:0009742;GO:0007165	Serine/threonine protein phosphatase 2A 57 kDa regulatory subunit B' alpha isoform (AtB' alpha) (PP2A, B' subunit, alpha isoform)
As005G108370	220	AT5G03510.1	AT5G03510.1	orthologue	GO:0000976;GO:0005634;GO:0006355;GO:0003700;GO:0012501;GO:0008270	C2H2-type zinc finger family protein
As005G108380	216	AT5G03520.1	AT5G03520.1	orthologue	GO:0003924;GO:0006887;GO:0005515;GO:0005886;GO:0016020;GO:0005794;GO:0000139;GO:0005525;GO:0015031	Ras-related protein RABE1d (AtRABE1d) (Ras-related protein Rab8C) (AtRab8C)
As005G108390	209	AT5G03530.1	AT5G03530.1	orthologue	GO:0005794;GO:0003924;GO:0080115;GO:0005886;GO:0005777;GO:0005515;GO:0006886;GO:0030742;GO:0012505;GO:0005525;GO:0015031	Ras-related protein RABC2a (AtRABC2a) (Ras-related protein Rab18B) (AtRab18B)
As005G108410	652	AT5G03540.3	AT5G03540.3	orthologue	GO:0090059;GO:0048354;GO:0048364;GO:0009507;GO:0010102;GO:0031982;GO:0005546;GO:0005829;GO:0070062;GO:0090404;GO:0042814;GO:0005886;GO:0000919;GO:2000652;GO:0031410;GO:1901703;GO:0005515;GO:0010089;GO:0060918;GO:0000145;GO:0005634;GO:0009506;GO:0005737;GO:0032502;GO:0048759;GO:0006887;GO:0060178;GO:0009832;GO:0009504;GO:0005576;GO:0005856;GO:0009524;GO:0015031	Exocyst complex component EXO70A1 (AtExo70a1) (Exocyst subunit Exo70 family protein A1);Exocyst subunit Exo70 family protein
As005G108430	589	AT5G03555.1	AT5G03555.1	orthologue	GO:0009526;GO:0015205;GO:0043100;GO:0009507;GO:0055085;GO:0015851;GO:0005886;GO:0031969;GO:0016020;GO:0022857	Purine-uracil permease NCS1 (Nucleobase cation symporter 1) (AtNCS1) (Plastidic nucleobase transporter) (Uracil/purine transport protein NCS1)
As005G108440	498	AT5G03560.2	AT5G03560.2	orthologue	GO:0003729;GO:0005739;GO:0009507;GO:0005737;GO:0006397;GO:0015391;GO:0005515	AT5g03560/F12E4 (Tetratricopeptide repeat (TPR)-like superfamily protein);Tetratricopeptide repeat (TPR)-like superfamily protein
As005G108450	504	AT2G38460.1, AT5G03570.3	AT5G03570.3	orthologue	GO:0006826;GO:0005886;GO:0005381;GO:0006824;GO:0034755;GO:0035444;GO:0009705;GO:0000041;GO:0015675;GO:0015099;GO:0010106;GO:0015087;GO:0010299;GO:0016020	Solute carrier family 40 member;Solute carrier family 40 member 1 (Ferroportin-1) (Iron-regulated transporter 1) (AtIREG1);Solute carrier family 40 member 2 (Ferroportin-2) (Iron-regulated transporter 2) (AtIREG2)
As005G108460	132	AT5G03580.1	AT5G03580.1	orthologue	GO:0008150;GO:0005575;GO:0003674;GO:0003723;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
As005G108480	119					
As005G108500	355	AT5G03610.1	AT5G03610.1	orthologue	GO:0005576;GO:0016788;GO:0016042	GDSL esterase/lipase At5g03610 (EC 3.1.1.-) (Extracellular lipase At5g03610)
As005G108510	751	AT5G03620.1	AT5G03620.1	orthologue	GO:0004252;GO:0008150;GO:0005576;GO:0006508;GO:0008236	Subtilisin-like protease SBT4.15 (EC 3.4.21.-) (Subtilase subfamily 4 member 15) (AtSBT4.15);Subtilisin-like serine endopeptidase family protein
As005G108520	435	AT5G03630.1	AT5G03630.1	orthologue	GO:0005829;GO:0009570;GO:0016651;GO:0005737;GO:0050660;GO:0005886;GO:0010043;GO:0016656;GO:0016491	Monodehydroascorbate reductase 2 (AtMDAR2) (EC 1.6.5.4)
As005G108530	895	AT5G03640.1	AT5G03640.1	orthologue	GO:0004672;GO:0004674;GO:0005634;GO:0009638;GO:0016310;GO:0016301;GO:0005886;GO:0005737;GO:0005524;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
As005G108540	859	AT5G03650.1	AT5G03650.1	orthologue	GO:0003844;GO:0005978;GO:0010021;GO:0004553;GO:0043169;GO:0019252;GO:0005737;GO:0005982;GO:0009570;GO:0009507;GO:0009501;GO:0071329;GO:0071332;GO:0071333;GO:0071482;GO:0005975;GO:0003824	1,4-alpha-glucan-branching enzyme 2-2, chloroplastic/amyloplastic (AtSBE II-2) (EC 2.4.1.18) (Branching enzyme 2) (AtBE2) (Starch-branching enzyme 2-2)
As005G108560	174	AT5G03660.1	AT5G03660.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0005886;GO:0009506	AT5g03660/F17C15_80 (Transcriptional activator (DUF662));Transcriptional activator (DUF662)
As005G108570	619	AT5G09860.1	AT5G09860.1	orthologue	GO:0031047;GO:0006406;GO:0010267;GO:0050832;GO:0000347;GO:0005634;GO:0009873;GO:0003674;GO:0005622;GO:0000445;GO:0003723;GO:0006397;GO:0008380	Nuclear matrix protein-like protein;THO complex subunit 1 (AtTHO1) (HPR1 homolog) (AtHPR1)
As005G108590	487	AT5G03670.1	AT5G03670.1	orthologue	GO:0005634;GO:0003674	Histone-lysine N-methyltransferase SETD1B-like protein
As005G108610	545	AT5G03680.1	AT5G03680.1	other	GO:0006355;GO:0048498;GO:0005634;GO:0048441;GO:0019900;GO:0048442;GO:0009909;GO:0046621;GO:0003677;GO:0000976;GO:0042803;GO:0090428;GO:0003700	Trihelix transcription factor PTL (Trihelix DNA-binding protein PETAL LOSS)
As005G108620	592	AT5G32613.1	AT5G32613.1	other	GO:0005634;GO:0008150;GO:0003676;GO:0008270	Zinc knuckle (CCHC-type) family protein
As005G108650	485	AT5G03700.1	AT5G03700.1	orthologue	GO:0003674;GO:0005794;GO:0005576;GO:0048544;GO:0005768;GO:0005802;GO:0016020	PAN domain-containing protein At5g03700
As005G108660	92				GO:0005576;GO:0008083;GO:0008283	
As005G108670	393	AT5G03720.1	AT5G03720.1	orthologue	GO:0006357;GO:0003677;GO:0006355;GO:0009408;GO:0000978;GO:0005634;GO:0034605;GO:0005515;GO:0003700;GO:0043565	Heat stress transcription factor A-3 (AtHsfA3) (AtHsf-17)
As005G108690	280	AT1G37020.1, AT2G10260.1, AT3G31910.1, AT4G08430.1, AT5G28810.1, AT5G45570.1	AT5G45570.1	other	GO:0003674;GO:0005634;GO:0008150;GO:0005575;GO:0008234;GO:0006508;GO:0016929;GO:0016926;GO:0005886;GO:0008233	Cysteine proteinases superfamily protein;Ulp1 protease family protein;Ulp1 protease family protein (DUF1985)
As005G108700	303	AT5G03740.1	AT5G03740.1	orthologue	GO:0009409;GO:0045892;GO:0004407;GO:0009414;GO:0005515;GO:0000976;GO:0009651;GO:0009737;GO:0005730;GO:0005634;GO:0005886;GO:0006325;GO:0008270;GO:0016787	Histone deacetylase HDT3 (HD-tuins protein 3) (Histone deacetylase 2c)
As005G108710	529	AT5G03760.1	AT5G03760.1	orthologue	GO:0005794;GO:0009617;GO:0016757;GO:0051753;GO:0009294;GO:0047259;GO:0000139;GO:0071555	Glucomannan 4-beta-mannosyltransferase 9 (EC 2.4.1.32) (Cellulose synthase-like protein A9) (AtCslA9) (Glucomannan synthase) (Mannan synthase 9) (Protein RESISTANT TO AGROBACTERIUM TRANSFORMATION 4)
As005G108720	440	AT5G03770.1	AT5G03770.1	orthologue	GO:0005886;GO:0016740;GO:0043842;GO:0036104;GO:0009245;GO:0005739;GO:0016757;GO:0016020	KDO transferase A;lipid IVA 3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase);Probable 3-deoxy-D-manno-octulosonic acid transferase, mitochondrial (AtKdtA) (Kdo transferase A) (EC 2.4.99.12) (EC 2.4.99.13) (Bifunctional Kdo transferase) (Kdo-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase) (Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase)
As005G108730	193	AT5G03790.1	AT5G03790.1	other	GO:0045893;GO:0009965;GO:0010434;GO:0005634;GO:0043565;GO:0003700;GO:0000981;GO:0010582;GO:0048510;GO:0003677;GO:0006355	Homeobox-leucine zipper protein (HD-ZIP protein) (Homeodomain transcription factor);Putative homeobox-leucine zipper protein ATHB-51 (HD-ZIP protein ATHB-51) (Homeodomain transcription factor ATHB-51)
As005G108770	512	AT5G03795.1	AT5G03795.1	orthologue	GO:0006486;GO:0005634;GO:0003674;GO:0000139;GO:0016757;GO:0071555;GO:0009101	Probable glycosyltransferase At5g03795 (EC 2.4.-.-)
As005G108780	895	AT5G03800.1	AT5G03800.1	orthologue	GO:0009451;GO:0003723;GO:0009793;GO:0008270;GO:0009507;GO:0005515	Pentatricopeptide repeat-containing protein At5g03800 (Protein EMBRYO DEFECTIVE 175)
As005G108790	351	AT5G03820.2, AT5G03810.1	AT5G03820.2	orthologue	GO:0016298;GO:0005576;GO:0006629;GO:0008150;GO:0016042;GO:0016020;GO:0016788	GDSL esterase/lipase At5g03810 (EC 3.1.1.-) (Extracellular lipase At5g03810);GDSL esterase/lipase At5g03820 (EC 3.1.1.-) (Extracellular lipase At5g03820);GDSL-like Lipase/Acylhydrolase family protein
As005G108800	324	AT2G44510.1	AT2G44510.1	orthologue	GO:0009507;GO:0005730;GO:0005634;GO:0003674;GO:0008150	Protein BCCIP homolog
As005G108810	178	AT5G03840.1	AT5G03840.1	orthologue	GO:0009910;GO:0005737;GO:0005634;GO:0010022;GO:0006623;GO:0010228;GO:0003712;GO:0009744;GO:0005886;GO:0005773;GO:0031982;GO:0009908;GO:0030154	Protein TERMINAL FLOWER 1
As005G108820	64	AT5G64140.1	AT5G64140.1	orthologue	GO:0022626;GO:0030490;GO:0006412;GO:0003729;GO:0003735;GO:0009536;GO:0005737;GO:0022627;GO:0000028;GO:0005840	Small ribosomal subunit protein eS28x (40S ribosomal protein S28-2)
As005G108830	562	AT5G03860.1	AT5G03860.1	orthologue	GO:0006097;GO:0004474;GO:0005634;GO:0005737;GO:0006099;GO:0009514;GO:0003824	Malate synthase (EC 2.3.3.9)
As005G108840	378	AT5G03870.1	AT5G03870.1	orthologue	GO:0003674;GO:0009506;GO:0005634	Emb|CAB85507.1 (Glutaredoxin family protein)
As005G108860	334	AT5G03880.1	AT5G03880.1	orthologue	GO:0009941;GO:0009535;GO:0003674;GO:0009507;GO:0008150;GO:0009534;GO:0005886	Thioredoxin family protein
As005G108870	102	AT5G03890.1	AT5G03890.1	other	GO:0009620;GO:0005634;GO:0003674	Emb|CAB85509.1
As005G108880	522	AT5G03900.2	AT5G03900.2	orthologue	GO:0009941;GO:0009507;GO:0003674;GO:0009536;GO:0008150;GO:0031969	Uncharacterized protein At5g03900, chloroplastic
As005G108890	159	AT5G03905.1	AT5G03905.1	orthologue	GO:0051539;GO:0106035;GO:0016226;GO:0005739;GO:0005506;GO:0051537;GO:0046872;GO:0051536	Iron-sulfur assembly protein IscA-like 2, mitochondrial;Iron-sulfur cluster biosynthesis family protein
As005G108900	631	AT5G03910.1	AT5G03910.1	orthologue	GO:0009941;GO:0009507;GO:0055085;GO:0016020;GO:0042626;GO:0016887;GO:0140359;GO:0005886;GO:0022857;GO:0005524;GO:0031969	ABC transporter B family member 29, chloroplastic (ABC transporter ABCB.29) (AtABCB29) (ABC2 homolog 12)
As005G108910	564	AT5G03940.1	AT5G03940.1	orthologue	GO:0008312;GO:0006614;GO:0003924;GO:0009507;GO:0016887;GO:0005515;GO:0005886;GO:0005048;GO:0009570;GO:0045038;GO:0080085;GO:0005525;GO:0005786;GO:0019904;GO:0032991;GO:0070208;GO:0048500	Signal recognition particle subunit SRP54, chloroplastic (54 chloroplast protein) (54CP) (SRP54) (cpSRP54) (EC 3.6.5.4) (FFC) (Signal recognition particle 54 kDa protein, chloroplastic)
As005G108920	395	AT1G76705.1, AT5G03960.2	AT5G03960.2	orthologue	GO:0003674;GO:0005739;GO:0005634;GO:0005516;GO:0005886;GO:0005515	Calmodulin binding protein;Protein IQ-DOMAIN 12 (AtIQD12)
As005G108930	405	AT5G03970.1	AT5G03970.1	orthologue	GO:0005515;GO:0005575;	F-box associated ubiquitination effector family protein;F-box protein At5g03970
As005G108940	240	AT5G04120.1	AT5G04120.1	orthologue	GO:0070179;GO:0005737;GO:0006564;GO:0016791;GO:0036424;GO:0005829;GO:0003824	Metal-independent phosphoserine phosphatase (iPSP) (EC 3.1.3.3) (Phosphoglycerate mutase-like protein 3)
As005G108950	263	AT5G03990.1	AT5G03990.1	orthologue	GO:0005634;GO:0003674	FK506-binding-like protein
As005G108960	129	AT5G04000.2	AT5G04000.2	orthologue	GO:0003674;GO:0005634	Uncharacterized protein;Uncharacterized protein F8F6_210
As005G108970	1414	AT5G04020.1	AT5G04020.1	other	GO:0005516;GO:0005634;GO:0006952	Calmodulin binding protein PICBP (Pathogen-induced CaM-binding protein)
As005G108990	129					
As005G109000	228					
As005G109010	844	AT5G04040.1	AT5G04040.1	orthologue	GO:0019433;GO:0004806;GO:0005634;GO:0012511;GO:0006641;GO:0005777;GO:0006071;GO:0016020;GO:0006629	Triacylglycerol lipase SDP1 (EC 3.1.1.3) (Protein SUGAR-DEPENDENT 1)
As005G109030	96					
As005G109050	764	AT5G04050.2	AT5G04050.2	orthologue	GO:0005739;GO:0090615;GO:0065003;GO:0006397;GO:0003964;GO:0008380;GO:0006315;GO:0000373;GO:0003677;GO:0004519;GO:0008270;GO:0005737	Nuclear intron maturase 3, mitochondrial (AtnMat3) (EC 3.1.-.-) (Nuclear intron maturase 2 a) (AtnMat2a);RNA-directed DNA polymerase (Reverse transcriptase)
As005G109060	363	AT5G04070.1	AT5G04070.1	orthologue	GO:0003674;GO:0005575;GO:0016020;GO:0016491	At5g04070 (NAD(P)-binding Rossmann-fold superfamily protein)
As005G109070	197					
As005G109080	72	AT5G04080.1	AT5G04080.1	orthologue	GO:0005515;GO:0008150;GO:0042802;GO:0005737;GO:0005886;GO:0042803	Cysteine-rich TM module stress tolerance protein;Protein CYSTEINE-RICH TRANSMEMBRANE MODULE 12 (AthCYSTM12)
As005G109090	76					
As005G109100	134	AT3G45800.1, AT2G11620.1, AT2G29850.1, AT2G29605.1, AT2G11623.1, AT4G07675.1, AT1G49700.1	AT1G49700.1	orthologue	GO:0003674;GO:0005739;GO:0008150;GO:0005575;GO:0005634	Uncharacterized protein;Uncharacterized protein At2g11620
As005G109110	158				GO:0046983	
As005G109120	499	AT5G04110.2	AT5G04110.2	orthologue	GO:0009507;GO:0003918;GO:0003916;GO:0003677;GO:0005524;GO:0005634;GO:0006265	DNA topoisomerase 2 (EC 5.6.2.2)
As005G109140	240	AT5G04120.1	AT5G04120.1	orthologue	GO:0070179;GO:0005737;GO:0006564;GO:0016791;GO:0036424;GO:0005829;GO:0003824	Metal-independent phosphoserine phosphatase (iPSP) (EC 3.1.3.3) (Phosphoglycerate mutase-like protein 3)
As005G109150	730	AT5G04130.1	AT5G04130.1	orthologue	GO:0003916;GO:0005739;GO:0005694;GO:0006265;GO:0034335;GO:0003677;GO:0003918;GO:0005524;GO:0046872	DNA gyrase subunit B, mitochondrial (EC 5.6.2.2)
As005G109160	1616	AT5G04140.2	AT5G04140.2	orthologue	GO:0009941;GO:0016041;GO:0009570;GO:0009507;GO:0019676;GO:0003729;GO:0097054;GO:0005515;GO:0009744;GO:0016040;GO:0005739;GO:0048046;GO:0005886;GO:0009416;GO:0009853;GO:0008047;GO:0006537;GO:0005759;GO:0046872;GO:0051538;GO:0015930;GO:0016638;GO:0016491	Ferredoxin-dependent glutamate synthase 1, chloroplastic/mitochondrial (EC 1.4.7.1) (Fd-GOGAT 1)
As005G109170	309	AT5G04160.1	AT5G04160.1	orthologue	GO:0015780;GO:0055085;GO:0048359;GO:0008514;GO:0005794;GO:0015297;GO:0000139	UDP-URONIC ACID TRANSPORTER 1
As005G109210	366	AT5G04170.1	AT5G04170.1	orthologue	GO:0005509;GO:0005634	Probable calcium-binding protein CML50 (Calmodulin-like protein 50)
As005G109220	269	AT5G04180.1	AT5G04180.1	orthologue	GO:0010037;GO:0016836;GO:0004089;GO:0008270;GO:0005737;GO:0006730;GO:0009570	Alpha carbonic anhydrase 3 (AtaCA3) (AtalphaCA3) (EC 4.2.1.1) (Alpha carbonate dehydratase 3)
As005G109240	357	AT5G04190.1	AT5G04190.1	orthologue	GO:0009611;GO:0010017;GO:0009638;GO:0005634;GO:0010218;GO:0005515;GO:0009585	Protein PHYTOCHROME KINASE SUBSTRATE 4
As005G109250	314	AT5G04200.1	AT5G04200.1	orthologue	GO:0008234;GO:0005634;GO:0006508;GO:0004197;GO:0005737;GO:0048046	Metacaspase-9 (AtMC9) (EC 3.4.22.-) [Cleaved into: Metacaspase-9 subunit p20; Metacaspase-9 subunit p10 (Metacaspase 2f) (AtMCP2f)]
As005G109260	312	AT3G10330.1	AT3G10330.1	other	GO:0005634;GO:0006352;GO:0070897;GO:0017025;GO:0016251;GO:0097550;GO:0005737;GO:0008270	Transcription initiation factor IIB-2 (General transcription factor TFIIB-2) (AtTFIIB2)
As005G109270	548	AT5G04220.2	AT5G04220.2	orthologue	GO:0140268;GO:0061817;GO:0005783;GO:0005886;GO:0009507;GO:0003674;GO:0009628;GO:0005737;GO:0006869;GO:0008289;GO:0012505;GO:0016020;GO:0046872	Calcium-dependent lipid-binding (CaLB domain) family protein;Synaptotagmin-3 (NTMC2T1.3) (Synaptotagmin C)
As005G109300	137					
As005G109310	131					
