Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_009135587.1	768	AT4G22120.1	AT4G22120.1	orthologue	GO:0005886;GO:0006812;GO:0005227;GO:0008381;GO:0042802;GO:0016020	Hyperosmolality-gated Ca2+ permeable channel 1.2 (AtOSCA1.2) (Calcium permeable stress-gated cation channel 1) (AtCSC1)
XP_009135589.2	342	AT3G18620.1	AT3G18620.1	orthologue	GO:0019706;GO:0005783;GO:0005794;GO:0006612;GO:0005774;GO:0016409	Protein S-acyltransferase 11 (EC 2.3.1.225) (Probable palmitoyltransferase At3g18620) (Zinc finger DHHC domain-containing protein At3g18620)
XP_009135590.1	214	AT3G18690.1	AT3G18690.1	orthologue	GO:0005515;GO:0002758;GO:0005634;GO:0006952	Protein MKS1 (Protein MAP kinase 4 substrate 1) (VQ motif-containing protein 21) (AtVQ21)
XP_009135591.1	334	AT3G18680.2	AT3G18680.2	orthologue	GO:0031425;GO:0009507;GO:0033862;GO:0006225;GO:1990825;GO:0009658;GO:0042548;GO:0044210;GO:0009570;GO:0009416;GO:0003723;GO:0005737;GO:0005524;GO:0006221	UMP kinase (EC 2.7.4.22) (Uridine monophosphate kinase);Uridylate kinase PUMPKIN, chloroplastic (EC 2.7.4.22) (Plastid UMP kinase) (Protein DEFECT IN PSAA/B TRANSCRIPT ACCUMULATION 1) (Uridine monophosphate kinase) (UMP kinase) (UMPK)
XP_009135594.1	139	AT3G18760.1	AT3G18760.1	orthologue	GO:0005840;GO:0003735;GO:0019843;GO:0070181;GO:0003746;GO:0005737;GO:0006412	Translation elongation factor EF1B/ribosomal protein S6 family protein;Translation elongation factor EF1B/ribosomal protein S6 family protein (Uncharacterized protein At3g18760)
XP_009135596.1	112	AT1G36240.1	AT1G36240.1	orthologue	GO:0003729;GO:0022625;GO:0003723;GO:0008150;GO:0003735;GO:0005634;GO:0009507	Large ribosomal subunit protein eL30z (Putative 60S ribosomal protein L30-1)
XP_009135597.1	217	AT3G18773.1	AT3G18773.1	orthologue	GO:0005575;GO:0016567;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL77 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL77)
XP_009135598.2	700	AT3G18810.1	AT3G18810.1	orthologue	GO:0005634;GO:0004674;GO:0008150;GO:0005524;GO:0005886;GO:0106310;GO:0004672;GO:0006468	Putative proline-rich receptor-like protein kinase PERK6 (EC 2.7.11.1) (Proline-rich extensin-like receptor kinase 6) (AtPERK6)
XP_009135599.1	377	AT3G18780.2	AT3G18780.2	orthologue	GO:0005515;GO:0005829;GO:0048768;GO:0048767;GO:0010053;GO:0005737;GO:0010218;GO:0009735;GO:0005634;GO:0015629;GO:0009644;GO:0005200;GO:0010114;GO:0005524;GO:0005856;GO:0016787;GO:0009653;GO:0048468;GO:0048731	Actin 2;Actin-2 (EC 3.6.4.-)
XP_009135600.1	206	AT3G18820.1	AT3G18820.1	other	GO:0006886;GO:0005886;GO:0009705;GO:0045324;GO:0005622;GO:0007033;GO:0005829;GO:0003924;GO:0005774;GO:0010008;GO:0005515;GO:0005634;GO:0005794;GO:0005525	Ras-related protein RABG3f (AtRABG3f) (Ras-related protein Rab71) (AtRab71) (Ras-related protein Rab7B) (AtRab7B)
XP_009135601.1	532	AT3G18830.1	AT3G18830.1	orthologue	GO:0010311;GO:0015575;GO:0005365;GO:0005351;GO:0009507;GO:0015168;GO:0015148;GO:0005354;GO:0015144;GO:0015576;GO:0015145;GO:0055056;GO:0015591;GO:0005886;GO:0016020;GO:0022857;GO:0055085	Polyol transporter 5 (Protein POLYOL TRANSPORTER 5) (AtPLT5) (Sugar-proton symporter PLT5)
XP_009135602.2	760	AT3G18860.1	AT3G18860.1	orthologue	GO:0009506;GO:0005634;GO:0043130;GO:0005737;GO:0043161;GO:0010992;GO:0005515	AT3g18860/MCB22_3 (Transducin family protein / WD-40 repeat family protein);Transducin family protein / WD-40 repeat family protein
XP_009135603.2	81	AT3G13437.2	AT3G13437.2	orthologue	GO:0009414;GO:0050832;GO:0005739;GO:1903409;GO:0005576;GO:0003674	Transmembrane protein
XP_009135604.1	282	AT3G18940.1	AT3G18940.1	orthologue	GO:0043248;GO:0003674;GO:0005829;GO:0005634	Proteasome assembly chaperone 2
XP_009135605.1	459	AT3G18950.1	AT3G18950.1	orthologue	GO:0005634;GO:0003674;;GO:0005515	En/Spm-like transposon protein-like (Transducin/WD40 repeat-like superfamily protein)
XP_009135607.2	353	AT3G19000.1	AT3G19000.1	orthologue	GO:0005737;GO:0003674;GO:0046872;GO:0051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (Oxylase-like protein)
XP_009135608.2	353	AT3G19000.1	AT3G19000.1	orthologue	GO:0005737;GO:0003674;GO:0046872;GO:0051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein (Oxylase-like protein)
XP_009135610.1	60	AT3G19030.1	AT3G19030.1	other	GO:0003674;GO:0005575	AT3g19030/K13E13_15 (Transcription initiation factor TFIID subunit 1b-like protein)
XP_009135611.2	119					
XP_009135612.1	458	AT3G19090.2	AT3G19090.2	orthologue	GO:0005730;GO:1990904;GO:0009846;GO:0003729;GO:0006396;GO:0010183;GO:0048027;GO:0005634;GO:0005737;GO:0003723;GO:0003676	La-related protein 6C (AtLARP6c);RNA-binding protein
XP_009135613.1	447	AT3G19120.1	AT3G19120.1	orthologue	GO:0005515;GO:0005575;GO:0004518;GO:0005634;GO:0016787;GO:0046872	AT3g19120/MVI11_3 (PIF / Ping-Pong family of plant transposase)
XP_009135614.1	592	AT3G19100.1	AT3G19100.1	orthologue	GO:0004713;GO:0009939;GO:0005516;GO:0009931;GO:0004674;GO:0005737;GO:0005634;GO:0004683;GO:0005886;GO:0035556;GO:0005524;GO:0016020;GO:0046872;GO:0106310;GO:0004672;GO:0006468	CDPK-related kinase 2 (AtCRK2) (EC 2.7.11.1) (Calcium/calmodulin-dependent protein kinase 2)
XP_009135615.1	178	AT4G37450.2, AT2G23130.1	AT4G37450.2	other	GO:0003674;GO:0005886;GO:0010306;GO:0016020;GO:0009554;GO:0098552	Arabinogalactan protein 17;Arabinogalactan protein 18;Lysine-rich arabinogalactan protein 17 (Lys-rich AGP 17);Lysine-rich arabinogalactan protein 18 (Lys-rich AGP 18)
XP_009135617.1	412	AT3G19130.1	AT3G19130.1	orthologue	GO:0005634;GO:0005515;GO:0010494;GO:0003729;GO:0034063;GO:0005829;GO:0034605;GO:0008143;GO:0006397;GO:0003723;GO:0003676	Polyadenylate-binding protein RBP47B (Poly(A)-binding protein RBP47B) (RNA-binding protein 47B) (AtRBP47B)
XP_009135618.1	177	AT3G19150.1	AT3G19150.1	orthologue	GO:0005515;GO:0005634;GO:0019900;GO:0042023;GO:0004861;GO:0030332;GO:0001673;GO:0005654;GO:0045736;GO:0051726	Cyclin-dependent kinase inhibitor 6 (Cyclin-dependent kinase inhibitor p22ack1) (Inhibitor/interactor of CDK protein 4) (KIP-related protein 6);KIP-related protein 6
XP_009135619.1	327	AT3G19160.1	AT3G19160.1	orthologue	GO:0052381;GO:0006400;GO:0009824;GO:0005739;GO:0009691;GO:0009507;GO:0052622;GO:0005524	Adenylate isopentenyltransferase 8, chloroplastic (AtIPT8) (EC 2.5.1.112) (Adenylate dimethylallyltransferase 8) (Cytokinin synthase 8) (Plant growth activator 22)
XP_009135620.1	1077	AT3G19170.1	AT3G19170.1	orthologue	GO:0009570;GO:0005515;GO:0046872;GO:0004222;GO:0005739;GO:0009941;GO:0009507;GO:0016485;GO:0048046;GO:0005829;GO:0005759;GO:0008237;GO:0006508	Presequence protease 1;Presequence protease 1, chloroplastic/mitochondrial (AtPreP1) (PreP 1) (EC 3.4.24.-) (Zinc metalloprotease 1) (AtZnMP1)
XP_009135621.2	346	AT3G63220.2	AT3G63220.2	orthologue	GO:0003674;GO:0005737;GO:0016567;GO:0005515	F-box/kelch-repeat protein SKIP30 (SKP1-interacting partner 30)
XP_009135622.1	296	AT3G19260.1	AT3G19260.1	orthologue	GO:0005886;GO:0010256;GO:0046513;GO:0042759;GO:0002238;GO:0050291;GO:0006665;GO:0005634;GO:0005783;GO:0005794;GO:0005789;GO:0016020	Ceramide synthase LOH2 (CS2) (CSI) (EC 2.3.1.291) (Protein LONGEVITY ASSURANCE GENE ONE HOMOLOG 2) (LAG One Homolog 2) (LAG1 homolog 2) (LAG1 longevity assurance homolog 2)
XP_009135623.1	475	AT3G19270.2	AT3G19270.2	orthologue	GO:0046345;GO:0010295;GO:0005506;GO:0020037;GO:0005739;GO:0016020;GO:0004497;GO:0016705;GO:0016125;GO:0016491	(+)-abscisic acid 8'-hydroxylase (EC 1.14.14.137);Abscisic acid 8'-hydroxylase 4 (ABA 8'-hydroxylase 4) (EC 1.14.14.137) (Cytochrome P450 707A4)
XP_009135625.2	355	AT3G19290.3	AT3G19290.3	orthologue	GO:0009651;GO:0045893;GO:0006355;GO:0009737;GO:0003700;GO:0000976;GO:1900057;GO:0005634;GO:0009738;GO:0009414;GO:0005515;GO:1903648;GO:0019760;GO:0003677	ABRE binding factor 4;ABSCISIC ACID-INSENSITIVE 5-like protein 7 (ABA-responsive element-binding protein 2) (Abscisic acid responsive elements-binding factor 4) (ABRE-binding factor 4) (bZIP transcription factor 38) (AtbZIP38)
XP_009135627.1	706	AT4G22130.1	AT4G22130.1	orthologue	GO:0005515;GO:0004672;GO:0005886;GO:0005576;GO:0005634;GO:0005524;GO:0007165;GO:0016020;GO:0006468	Protein STRUBBELIG-RECEPTOR FAMILY 8 (Leucine-rich repeat receptor kinase-like protein SRF8);STRUBBELIG-receptor family 8
XP_009135630.1	355	AT3G19360.1	AT3G19360.1	orthologue	GO:0005634;GO:0003729;GO:0006355;GO:0003700;GO:0003677;GO:0008270;GO:0046872	Zinc finger CCCH domain-containing protein 39 (AtC3H39)
XP_009135633.1	97	AT2G14900.1	AT2G14900.1	other	GO:0003674;GO:0005576;GO:0009740	Gibberellin-regulated protein 7 (GAST1 protein homolog 7)
XP_009135634.2	587	AT3G19480.1	AT3G19480.1	orthologue	GO:0051287;GO:0009570;GO:0004617;GO:0003954;GO:0009507;GO:0005739;GO:0006564;GO:0009643;GO:0016616	D-3-phosphoglycerate dehydrogenase 3, chloroplastic (EC 1.1.1.95)
XP_009135635.2	576	AT3G19490.1	AT3G19490.1	orthologue	GO:0006848;GO:0050833;GO:0009941;GO:0009507;GO:0006814;GO:0009651;GO:0015297;GO:0015386;GO:0031969;GO:0016020;GO:0055085	Sodium/proton antiporter 1 (AtNHD1) (Na(+)/H(+) antiporter 1)
XP_009135637.1	200	AT3G19460.3	AT3G19460.3	orthologue	GO:0003674;GO:0005575;GO:0005789;GO:0009617	Reticulon-like protein;Reticulon-like protein B11 (AtRTNLB11)
XP_009135638.1	224	AT4G22140.1	AT4G22140.1	orthologue	GO:2000028;GO:0005515;GO:0048579;GO:0009911;GO:0009845;GO:0045814;GO:0000976;GO:0005634;GO:0009791;GO:0003682;GO:0035064;GO:0008270;GO:0009908;GO:0140002;GO:0140678	Chromatin remodeling protein EBS (Protein EARLY BOLTING IN SHORT DAYS)
XP_009135641.1	267	AT3G19580.1	AT3G19580.1	orthologue	GO:0000976;GO:0005634;GO:0009414;GO:0009793;GO:0003700;GO:0009737;GO:0006355;GO:0045892;GO:0043565;GO:0042538;GO:0003677;GO:0008270;GO:0009738	Zinc finger protein AZF2 (Zinc-finger protein 2)
XP_009135643.1	96	AT3G19615.1	AT3G19615.1	orthologue	GO:0008150;GO:0005739;GO:0003674	Beta-1,4-xylosidase
XP_009135644.1	370	AT3G19630.1	AT3G19630.1	orthologue	GO:0008173;GO:0070475;GO:0030488;GO:0005737;GO:0046872;GO:0051539;GO:0003824;GO:0051536;GO:0006364	Radical SAM superfamily protein
XP_009135647.1	575	AT5G40595.1	AT5G40595.1	other	GO:0005739;GO:0003674;GO:0008150	DUF4283 domain-containing protein
XP_009135648.1	360	AT3G19710.1	AT3G19710.1	orthologue	GO:0009081;GO:0009611;GO:0005829;GO:0019761;GO:0005737;GO:0009416;GO:0004084;GO:0010326;GO:0003824	Methionine aminotransferase BCAT4 (EC 2.6.1.88) (Branched-chain-amino-acid aminotransferase 4) (Atbcat-4) (Methionine-oxo-acid transaminase BCAT4)
XP_009135649.1	302	AT4G22150.1	AT4G22150.1	orthologue	GO:0043161;GO:0007030;GO:0005829;GO:0061025;GO:0031468;GO:0000045;GO:0005634;GO:0043130;GO:0005515	Plant UBX domain-containing protein 3 (PUX3) (CDC48-interacting UBX-domain protein 3)
XP_009135650.2	408	AT3G19760.1	AT3G19760.1	orthologue	GO:0005634;GO:0035145;GO:0001666;GO:0005515;GO:0005730;GO:0000398;GO:0006397;GO:0003729;GO:0016607;GO:0003724;GO:0005829;GO:0071013;GO:0005654;GO:0000184;GO:0005524;GO:0006417;GO:0008380;GO:0016887;GO:0051028;GO:0003676	Eukaryotic initiation factor 4A-III homolog (AteIF4AIII) (eIF-4A-III) (eIF4A-III) (EC 3.6.4.13) (DEAD-box ATP-dependent RNA helicase 2) (AtRH02)
XP_009135651.1	544	AT3G19850.1	AT3G19850.1	orthologue	GO:0005634;GO:0003674;GO:0016567;GO:0005515	BTB/POZ domain-containing protein At3g19850
XP_009135652.1	416	AT3G19920.2	AT3G19920.2	orthologue	GO:0016567;GO:0005634;GO:0005811;GO:0003674	BTB/POZ domain protein
XP_009135653.1	543	AT4G38880.1	AT4G38880.1	orthologue	GO:0006189;GO:0006164;GO:0009113;GO:0004044;GO:0009507;GO:0005737;GO:0009570;GO:0046872;GO:0051536	Amidophosphoribosyltransferase 3, chloroplastic (AtATase3) (PRPP3) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 3) (AtGPRAT3)
XP_009135655.1	514	AT3G19930.1	AT3G19930.1	orthologue	GO:0005886;GO:0015770;GO:0015145;GO:0015749;GO:0015144;GO:0008506;GO:0022857;GO:0016020;GO:0055085	Sugar transport protein 4 (Hexose transporter 4)
XP_009135656.1	302	AT3G19950.2	AT3G19950.2	orthologue	GO:0016567;GO:0005634;GO:0005737;GO:0061630;GO:0008270	E3 ubiquitin-protein ligase RING1-like (EC 2.3.2.27) (RING finger protein 1) (RING-type E3 ubiquitin transferase RING1-like);RING-type E3 ubiquitin transferase (EC 2.3.2.27)
XP_009135657.1	1136	AT3G19960.2	AT3G19960.2	orthologue	GO:0051015;GO:0005768;GO:0010082;GO:0003774;GO:0030048;GO:0005737;GO:0007015;GO:0005886;GO:0016020;GO:0009504;GO:0009506;GO:0000146;GO:0009524;GO:0015629;GO:0005783;GO:0003779;GO:0005516;GO:0005524;GO:0006897;GO:0016459;GO:0005515	Myosin 1;Myosin-1 (AtATM1)
XP_009135658.1	439	AT3G19970.1	AT3G19970.1	orthologue	GO:0005575;GO:0003674;GO:0005640	AT3g19970/MZE19_2 (Alpha/beta-Hydrolases superfamily protein)
XP_009135659.1	303	AT3G19980.1, AT1G50370.1	AT3G19980.1	other	GO:0005515;GO:0004722;GO:0017018;GO:0005737;GO:0008270;GO:0009910;GO:0000159;GO:0006470;GO:0009793;GO:0004674;GO:0005634;GO:0016787	Phytochrome-associated serine/threonine-protein phosphatase 1 (AtFyPP1) (EC 3.1.3.16);Phytochrome-associated serine/threonine-protein phosphatase 3 (AtFyPP3) (EC 3.1.3.16) (Protein EMBRYO DEFECTIVE 2736)
XP_009135660.2	309	AT3G20000.1, AT1G50400.1	AT3G20000.1	orthologue	GO:0005739;GO:0005742;GO:0030150;GO:0008320;GO:0005743;GO:0005515;GO:0005741;GO:0061617;GO:0016036;GO:0006626;GO:0015450;GO:0005829;GO:0009507;GO:0000325;GO:0006811;GO:0015288;GO:0046930;GO:0055085	Mitochondrial import receptor subunit TOM40-1 (Translocase of outer membrane 40 kDa subunit homolog 1) [Cleaved into: Mitochondrial import receptor subunit TOM40-1, N-terminally processed];Probable mitochondrial import receptor subunit TOM40-2 (Translocase of outer membrane 40 kDa subunit homolog 2);Translocase of the outer mitochondrial membrane 40
XP_009135661.1	159	AT4G22160.2	AT4G22160.2	orthologue	GO:0005634;GO:0003674	Uncharacterized protein At4g22160
XP_009135662.1	1024	AT3G20010.1	AT3G20010.1	orthologue	GO:0006281;GO:0080188;GO:0005634;GO:0005515;GO:0140658;GO:0008094;GO:0003677;GO:0004386;GO:0005524;GO:0008270;GO:0016787;GO:0046872	Helicase-like transcription factor CHR27 (EC 3.6.4.-) (Protein CHROMATIN REMODELING 27) (Protein SNF2-RING-HELICASE-LIKE 1);SNF2 domain-containing protein / helicase domain-containing protein / zinc finger protein-like protein
XP_009135663.1	434	AT3G20020.3	AT3G20020.3	orthologue	GO:0042054;GO:0005737;GO:0016274;GO:2000028;GO:0006355;GO:0006338;GO:0032259;GO:0018216;GO:0019919;GO:0034969	Probable protein arginine N-methyltransferase 6 (EC 2.1.1.-);Protein arginine methyltransferase 6
XP_009135664.1	545	AT3G20050.1	AT3G20050.1	orthologue	GO:0006457;GO:0016887;GO:0051082;GO:0005829;GO:0140662;GO:0005737;GO:0005832;GO:0005524	T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha) (Chaperonin CCT1)
XP_009135666.1	1099	AT3G20150.1	AT3G20150.1	orthologue	GO:0016887;GO:0008017;GO:0007018;GO:0005737;GO:0009507;GO:0003777;GO:0005874;GO:0005871;GO:0005524;GO:0007112;GO:0009524;GO:0055046;GO:0080175	Kinesin motor family protein;Kinesin-like protein KIN-12F
XP_009135668.1	681	AT3G20190.1	AT3G20190.1	orthologue	GO:0004672;GO:0080092;GO:0005515;GO:0004674;GO:0005524;GO:0005739;GO:0016301;GO:0016020;GO:0106310;GO:0006468	Pollen receptor-like kinase 4 (AtPRK4) (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_009135670.1	476	AT3G20170.1	AT3G20170.1	orthologue	GO:0005634;GO:0003674;;GO:0005515	ARM repeat superfamily protein (At3g20170)
XP_009135671.1	377	AT4G22170.1	AT4G22170.1	orthologue	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	Putative F-box protein At4g22170
XP_009135672.1	348	AT3G20240.1	AT3G20240.1	orthologue	GO:0009507;GO:0055085;GO:0003674;GO:0005743	Probable mitochondrial adenine nucleotide transporter BTL1 (Adenine nucleotide transporter BT1-like protein 1)
XP_009135673.1	825	AT3G20250.2	AT3G20250.2	other	GO:0009819;GO:0000325;GO:0061158;GO:0003729;GO:0009651;GO:0005737;GO:0005829;GO:0003727;GO:0010608;GO:0051607;GO:0006970;GO:0006417;GO:0003723	Pumilio 5;Pumilio homolog 5 (APUM-5) (AtPUM5)
XP_009135677.1	422	AT3G20260.1	AT3G20260.1	other	GO:0005634;GO:0003674	DUF1666 family protein (DUF1666)
XP_009135678.2	447	AT3G20300.1	AT3G20300.1	orthologue	GO:0003674;GO:0005739;GO:0016020	AT3g20300/MQC12_5 (Extracellular ligand-gated ion channel protein (DUF3537))
XP_009135681.1	359	AT3G20360.1	AT3G20360.1	orthologue	GO:0008150;GO:0003674;GO:0005576;;GO:0005515	AT3g20360/MQC12_11 (TRAF-like family protein)
XP_009135682.1	383	AT3G20370.1, AT3G20380.1	AT3G20370.1	other	GO:0005886;GO:0009506;GO:0003674;GO:0005576;GO:0008150;GO:0005515	AT3g20370/MQC12_13 (TRAF-like family protein);TRAF-like family protein
XP_009135685.2	377	AT3G20380.1	AT3G20380.1	orthologue	GO:0008150;GO:0003674;GO:0005576;;GO:0005515	TRAF-like family protein
XP_009135686.1	182				GO:0005739;GO:0005829;GO:0019239;GO:1901565	
XP_009135688.1	377	AT3G20380.1	AT3G20380.1	orthologue	GO:0008150;GO:0003674;GO:0005576;;GO:0005515	TRAF-like family protein
XP_009135689.1	542	AT1G50700.2	AT1G50700.2	orthologue	GO:0004683;GO:0005886;GO:0004674;GO:0004672;GO:0009931;GO:0005516;GO:0005509;GO:0005634;GO:0005737;GO:0006468;GO:0035556;GO:0005524;GO:0106310;GO:0043226	Calcium-dependent protein kinase 33 (EC 2.7.11.1);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_009135690.1	120	AT3G20510.1	AT3G20510.1	orthologue	GO:0009706;GO:0015245;GO:0005739;GO:0005634;GO:0012505;GO:0015908;GO:0005737;GO:0016020	Protein FATTY ACID EXPORT 6 (At-FAX6)
XP_009135691.1	372	AT3G20530.1	AT3G20530.1	orthologue	GO:0005777;GO:0044024;GO:0004674;GO:0006468;GO:0005739;GO:0005524;GO:0005886;GO:0006952;GO:0106310;GO:0004672	Probable serine/threonine-protein kinase PBL23 (EC 2.7.11.1) (PBS1-like protein 23);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_009135694.2	382	AT4G22190.1	AT4G22190.1	orthologue	GO:0005739;GO:0003674	Serine/arginine repetitive matrix-like protein
XP_009135695.1	317	AT3G20550.1	AT3G20550.1	orthologue	GO:0035196;GO:0048638;GO:0005515;GO:0005634;GO:0003729;GO:0003723;GO:0051301	FHA domain-containing protein DDL (Protein DAWDLE)
XP_009135697.1	204	AT3G20570.1	AT3G20570.1	orthologue	GO:0005886;GO:0016020;GO:0009055;GO:0098552	Early nodulin-like protein 9 (AtENODL9) (Phytocyanin-like protein ENODL9) (Sieve elements-specific ENOD protein)
XP_009135698.1	484	AT3G20560.1	AT3G20560.1	orthologue	GO:0003756;GO:0005783;GO:0008150;GO:0030134;GO:0016020;GO:0046907	Protein disulfide-isomerase 5-3 (AtPDIL5-3) (Protein disulfide-isomerase 12) (PDI12) (Protein disulfide-isomerase 8-1) (AtPDIL8-1)
XP_009135699.1	668	AT3G20580.1	AT3G20580.1	orthologue	GO:0010183;GO:0016324;GO:0016020;GO:0009860;GO:0005737;GO:0031982;GO:0071555;GO:0005886;GO:0010215;GO:0003674;GO:0090406;GO:0098552	COBRA-like protein 10
XP_009135700.1	211	AT3G20600.1, AT3G20590.1	AT3G20600.1	orthologue	GO:0005886;GO:0042742;GO:0098542;GO:0009626;GO:0016020;GO:0005515;GO:0006952;GO:0009506;GO:0003674;GO:0050832;GO:0098552	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family (Non-race specific disease resistance protein-like);Protein NDR1 (Non-race specific disease resistance protein 1) (AtNDR1)
XP_009135701.2	797	AT3G20630.1	AT3G20630.1	orthologue	GO:0009734;GO:0016579;GO:0048767;GO:0005829;GO:0009793;GO:0071370;GO:0005634;GO:0042127;GO:0061815;GO:0004843;GO:0005515;GO:0009965;GO:0008270;GO:1990450;GO:0006508	Ubiquitin carboxyl-terminal hydrolase 14 (EC 3.4.19.12) (Deubiquitinating enzyme 14) (AtUBP14) (TITAN-6 protein) (Ubiquitin thioesterase 14) (Ubiquitin-specific-processing protease 14)
XP_009135702.1	428	AT3G20640.1	AT3G20640.1	orthologue	GO:0006357;GO:0003700;GO:0005634;GO:0006355;GO:0046983;GO:0000978;GO:0000981;GO:0005515;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH123 (Basic helix-loop-helix protein 123) (AtbHLH123) (bHLH 123) (Transcription factor EN 63) (bHLH transcription factor bHLH123)
XP_009135705.1	788	AT4G22200.1	AT4G22200.1	orthologue	GO:0009506;GO:0005515;GO:0009737;GO:0005242;GO:0042391;GO:0042802;GO:0005789;GO:0005249;GO:0005739;GO:0034702;GO:0006813;GO:0016020;GO:0005216;GO:0006811;GO:0055085	Potassium channel;Potassium channel AKT2/3
XP_009135706.1	191	AT3G20750.1	AT3G20750.1	orthologue	GO:0006357;GO:0006355;GO:0005634;GO:0000976;GO:0008270;GO:0043565;GO:0030154	GATA transcription factor 29
XP_009135711.1	277	AT3G20890.1	AT3G20890.1	orthologue	GO:1990904;GO:0005634;GO:0003674;GO:0003723;GO:0016020;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein
XP_009135712.1	137	AT3G20898.1	AT3G20898.1	orthologue	GO:0032875;GO:0005634;GO:0003674;GO:0004860	Cyclin-dependent protein kinase inhibitor SMR13 (Protein SIAMESE-RELATED 13)
XP_009135713.2	344	AT3G20920.1	AT3G20920.1	orthologue	GO:0005783;GO:0005634;GO:0031204;GO:0009555;GO:0016020;GO:0003674;GO:0005789;GO:0015031	Translocation protein SEC62
XP_009135721.1	106	AT3G21055.2	AT3G21055.2	other	GO:0009507;GO:0005829;GO:0003674;GO:0009523;GO:0009535;GO:0015979	Photosystem II 5 kDa protein, chloroplastic (PSII-T) (Nuclear encoded psbT) (PsbTn);Photosystem II subunit T
XP_009135722.1	402	AT3G21000.1	AT3G21000.1	other	GO:0005634;GO:0003674;GO:0008150	Gag-Pol-related retrotransposon family protein
XP_009135723.2	529	AT3G21070.3	AT3G21070.3	orthologue	GO:0003951;GO:0006741;GO:0005737;GO:0009507;GO:0019674;GO:0042736;GO:0016310;GO:0005524;GO:0016020	NAD kinase 1;NAD(+) kinase (EC 2.7.1.23);NAD(H) kinase 1 (AtNADK-1) (EC 2.7.1.23) (EC 2.7.1.86)
XP_009135724.1	410	AT3G21110.1	AT3G21110.1	orthologue	GO:0009570;GO:0009507;GO:0006164;GO:0006189;GO:0004639;GO:0009733;GO:0005524;GO:0005737	Phosphoribosylaminoimidazole-succinocarboxamide synthase, chloroplastic (EC 6.3.2.6) (SAICAR synthetase)
XP_009135725.1	159	AT4G22220.1	AT4G22220.1	orthologue	GO:0006879;GO:0016226;GO:0005737;GO:0005829;GO:0005739;GO:0005515;GO:0005506;GO:0005759;GO:0008198;GO:0005198;GO:0051537;GO:0051536	Iron-sulfur cluster assembly protein 1 (AtISU1) (AtIscU1) (Protein ISCU-LIKE 1) (NifU-like N-terminal domain-containing protein ISU1) (NifU-like protein ISU1)
XP_009135728.1	417	AT1G51540.1	AT1G51540.1	orthologue	GO:0005794;GO:0005802;GO:0005797;GO:0003674;GO:0005768;GO:0005515	At1g51540 (Galactose oxidase/kelch repeat superfamily protein)
XP_009135729.1	460	AT1G51550.1	AT1G51550.1	orthologue	GO:0005515;GO:0006511;GO:0005634;	F-box/kelch-repeat protein At1g51550
XP_009135730.2	177	AT4G37445.1	AT4G37445.1	orthologue	GO:0003674;GO:0005575	Calcium ion-binding protein
XP_009135731.1	382	AT3G21140.1	AT3G21140.1	orthologue	GO:0009507;GO:0003674;GO:0005737	Pyridoxamine 5'-phosphate oxidase family protein
XP_009135733.1	230	AT3G21150.1	AT3G21150.1	orthologue	GO:0009785;GO:0009909;GO:0008270;GO:0010017;GO:0005634;GO:0005515;GO:0045892;GO:0006355;GO:0003700;GO:0009640;GO:0005737	B-box zinc finger protein 32 (EIP6, EMF1-INTERACTING PROTEIN 6)
XP_009135734.1	571	AT3G21160.1	AT3G21160.1	orthologue	GO:0036503;GO:0005783;GO:0004571;GO:0005768;GO:0006486;GO:0005509;GO:0005794;GO:0004559;GO:0048364;GO:0006491;GO:0000139;GO:0005802;GO:0005975;GO:0000137;GO:0012505;GO:0016020;GO:1904382	Mannosyl-oligosaccharide 1,2-alpha-mannosidase MNS2 (AtMANIa) (EC 3.2.1.113) (Alpha-mannosidase IA);alpha-1,2-Mannosidase (EC 3.2.1.-)
XP_009135737.1	70	AT1G51650.1	AT1G51650.1	other	GO:0045261;GO:0042776;GO:0005743;GO:0046933;GO:0015986;GO:0005739;GO:0005634;GO:0045259	ATP synthase subunit epsilon, mitochondrial (ATPase subunit epsilon)
