Brassica_oleracea	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013610688.1	389	AT2G16290.1, AT2G16300.1	AT2G16290.1	other	GO:0008150;GO:0003674;GO:0005575	F-box protein At2g16300;Putative F-box protein At2g16290
XP_013610689.1	223	AT3G20155.1	AT3G20155.1	orthologue	GO:0005739;GO:0003674;GO:0008150	Uncharacterized protein
XP_013610690.1	354	AT2G44630.1, AT2G44700.1, AT4G02310.1	AT2G44700.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0005575;;GO:0005515	F-box/kelch-repeat protein At2g44630;F-box/kelch-repeat protein At2g44700;Putative F-box/kelch-repeat protein At4g02310
XP_013610691.1	357	AT3G27970.1	AT3G27970.1	orthologue	GO:0008408;GO:0006364;GO:0004527;GO:0005634;GO:0006396;GO:0003676;GO:0008270	RNA exonuclease 4
XP_013610692.1	151					
XP_013610694.1	477	AT2G18080.1	AT2G18080.1	orthologue	GO:0005576;GO:0070008;GO:0008239;GO:0009561;GO:0006508;GO:0005773	Probable serine protease EDA2 (EC 3.4.-.-) (Protein EMBRYO SAC DEVELOPMENT ARREST 2)
XP_013610696.1	518	AT4G08840.1	AT4G08840.1	orthologue	GO:0005737;GO:0010608;GO:0003729;GO:0003723;GO:0006417	Pumilio homolog 11 (APUM-11) (AtPUM11)
XP_013610697.1	875	AT3G13990.1	AT3G13990.1	orthologue	GO:0005634;GO:0003729;GO:0005515	AT3g13990/MDC16_11 (Dentin sialophosphoprotein, putative (DUF1296));Dentin sialophosphoprotein, putative (DUF1296)
XP_013610698.1	323	AT5G48270.1	AT5G48270.1	orthologue	GO:0009507;GO:0003674	DUF868 family protein (DUF868)
XP_013610699.1	171	AT5G26170.1	AT5G26170.1	other	GO:0006355;GO:0009867;GO:0050832;GO:0003700;GO:0005634;GO:0043565	Probable WRKY transcription factor 50 (WRKY DNA-binding protein 50)
XP_013610700.1	809				GO:0019867;GO:0009658;GO:0009707;GO:0016020;GO:0045037	
XP_013610701.1	332	AT5G11410.1	AT5G11410.1	other	GO:1900426;GO:0005524;GO:0009507;GO:0005515;GO:0002757;GO:0004672;GO:0005886;GO:0140301;GO:0016310;GO:0005634;GO:0004674;GO:0006952;GO:0006468	Inactive serine/threonine-protein kinase BKN2 (Protein SUPPRESSOR OF ZED1-D2) (Pseudokinase BRASSIKIN 2) (Receptor-like cytoplasmic kinase SZE2);Protein kinase superfamily protein
XP_013610702.1	275	AT4G01380.1	AT4G01380.1	orthologue	GO:0008150;GO:0005886;GO:0009055	Plastocyanin-like domain-containing protein (Putative copper-containing glycoprotein)
XP_013610704.1	359	AT2G13630.1, AT3G04660.1, AT4G29970.1, AT3G10790.1	AT3G04660.1	other	GO:0005634;GO:0003674;GO:0009507;GO:0008150;GO:0005737;GO:0016567;GO:0005575;GO:0005515	F-box associated ubiquitination effector family protein;F-box/kelch-repeat protein At3g04660;Putative F-box protein At3g10790;Putative F-box protein At4g29970
XP_013610705.1	145	AT4G04745.1	AT4G04745.1	orthologue	GO:0005739;GO:0003674	At4g04745
XP_013610706.1	99	AT5G66816.1	AT5G66816.1	orthologue	GO:2000280;GO:1901371;GO:0006995;GO:0048364;GO:0048046;GO:1902025;GO:0005576;GO:0005179	Precursor of CEP6 (PCEP6) [Cleaved into: C-terminally encoded peptide 6.1 (CEP6.1) (CEP6a); C-terminally encoded peptide 6.2 (CEP6.2) (CEP6b)]
XP_013610707.1	190	AT5G54790.1	AT5G54790.1	orthologue	GO:0010089;GO:0003674;GO:0005634;GO:0009825	CTD small phosphatase-like protein;Vascular-related unknown protein 4
XP_013610709.1	404	AT3G28280.1, AT3G28330.1	AT3G28330.1	other	GO:0005575;GO:0004842;GO:0031146;GO:0005634;;GO:0005515	F-box protein At3g28330;Putative F-box protein At3g28280
XP_013610710.1	300	AT5G58784.1	AT5G58784.1	orthologue	GO:0006486;GO:0009409;GO:0016094;GO:0009570;GO:0009668;GO:0045547;GO:0019408;GO:0009507;GO:0016765;GO:0005789	Dehydrodolichyl diphosphate synthase 5 (Dedol-PP synthase 5) (EC 2.5.1.-)
XP_013610711.1	828	AT4G32300.1	AT4G32300.1	orthologue	GO:0004672;GO:0031625;GO:0004674;GO:0005516;GO:0046777;GO:0005886;GO:0005576;GO:0005524;GO:0030246;GO:0106310;GO:0006468	G-type lectin S-receptor-like serine/threonine-protein kinase SD2-5 (EC 2.7.11.1) (S-domain-2 (SD2) receptor kinase 5) (SD2-5)
XP_013610712.1	335	AT4G04930.1	AT4G04930.1	orthologue	GO:0005575;GO:0030148;GO:0046513;GO:0042284;GO:0005789;GO:0016020;GO:0006629	Sphingolipid delta(4)-desaturase DES1-like (EC 1.14.19.17)
XP_013610713.1	63	AT5G03210.2	AT5G03210.2	orthologue	GO:0005634;GO:0051607;GO:0005829;GO:0003674	Arabidopsis thaliana genomic DNA, chromosome 5, P1 clone:MOK16 (E3 ubiquitin-protein ligase);E3 ubiquitin-protein ligase
XP_013610714.1	279	AT5G60440.1	AT5G60440.1	orthologue	GO:0005515;GO:0006357;GO:0045944;GO:0003700;GO:0005634;GO:0000977;GO:0046983;GO:0009960;GO:2000012;GO:0000978;GO:0000981;GO:0003677	Agamous-like MADS-box protein AGL62
XP_013610715.1	234	AT5G22380.1	AT5G22380.1	orthologue	GO:0006355;GO:0005515;GO:0003700;GO:0005634;GO:0003677	NAC domain-containing protein 90 (ANAC090)
XP_013610717.1	118	AT3G26110.1	AT3G26110.1	orthologue	GO:0016020;GO:0005576;GO:0003674	Anther-specific protein agp1-like protein (At3g26110)
XP_013610718.1	537	AT5G60780.1	AT5G60780.1	orthologue	GO:0071249;GO:0015112;GO:0015706;GO:0005886;GO:0016020;GO:0042128;GO:0022857;GO:0055085	High affinity nitrate transporter 2.3 (AtNRT2:3)
XP_013610719.1	189					
XP_013610720.1	496	AT3G10560.1, AT5G04630.1	AT5G04630.1	orthologue	GO:0016020;GO:0005576;GO:0005506;GO:0016705;GO:0020037;GO:0048868;GO:0016709;GO:0009567;GO:0008150;GO:0004497	Cytochrome P450 superfamily protein (Cytochrome P450, putative) (Putative cytochrome P450; 47418-45874);Cytochrome P450, family 77, subfamily A, polypeptide 9 (Cytochrome P450-like protein)
XP_013610721.1	869	AT1G61120.1	AT1G61120.1	other	GO:0010333;GO:0009507;GO:0009611;GO:0009753;GO:0009617;GO:0016102;GO:0080027;GO:0000287;GO:0000304;GO:0080013;GO:0005737;GO:0016114;GO:0016829	(E,E)-geranyllinalool synthase (AtGES) (EC 4.2.3.144) (Terpenoid synthase 4) (AtTPS04)
XP_013610722.1	199	AT4G25250.1	AT4G25250.1	orthologue	GO:0046910;GO:0005515;GO:0009505;GO:0043086;GO:0009827;GO:0004857;GO:2000280;GO:0009507;GO:0048046	Pectinesterase inhibitor 4 (Pectin methylesterase inhibitor 4) (AtPMEI4)
XP_013610723.1	235	AT5G06070.1	AT5G06070.1	orthologue	GO:0006355;GO:0009409;GO:0048441;GO:0003700;GO:0009934;GO:0005634;GO:0008270;GO:0030154	Probable transcriptional regulator RABBIT EARS
XP_013610724.1	161					
XP_013610725.1	182	AT4G10465.1	AT4G10465.1	orthologue	GO:0005576;GO:0008150;GO:0003674;GO:0046872	Heavy metal-associated isoprenylated plant protein 44 (AtHIP44)
XP_013610726.1	368	AT5G25410.1, AT5G25415.1, AT5G60380.1	AT5G60380.1	other	GO:0003674;GO:0008150;GO:0005575;GO:0005576	AT5g25410/F18G18_150 (Transmembrane protein, putative (DUF239));Neprosin PEP catalytic domain-containing protein;Transmembrane protein, putative (DUF239)
XP_013610727.1	149	AT5G51210.1	AT5G51210.1	orthologue	GO:0003674;GO:0019915;GO:0005576;GO:0019953;GO:0012511;GO:0005737;GO:0009791;GO:0016020;GO:0048608	Oleosin 14.9 kDa
XP_013610728.1	353	AT5G24220.1	AT5G24220.1	other	GO:0003674;GO:0006629;GO:0005634	Gb|AAD29063.1 (Lipase class 3-related protein)
XP_013610729.1	288	AT2G17680.1	AT2G17680.1	orthologue	GO:0003674;GO:0048364;GO:0048367;GO:0009507	DUF241 domain protein, putative (DUF241)
XP_013610730.1	379	AT5G19110.2	AT5G19110.2	orthologue	GO:0004190;GO:0005576;GO:0006508	Eukaryotic aspartyl protease family protein
XP_013610731.1	132	AT5G43410.1	AT5G43410.1	orthologue	GO:0043565;GO:0090332;GO:0009789;GO:0005634;GO:0045893;GO:0003700;GO:0010186;GO:0009873;GO:0006355;GO:0003677	Ethylene-responsive transcription factor ERF096
XP_013610732.1	154	AT2G07800.1	AT2G07800.1	other	GO:0005575;GO:0008150;GO:0003674;;GO:0008270	Transmembrane protein
XP_013610733.1	169	AT5G11440.1	AT5G11440.1	orthologue	GO:0043130;GO:0005634;GO:0008150;GO:0005515	Polyadenylate-binding protein-interacting protein 5 (PABP-interacting protein 5) (Poly(A)-binding protein-interacting protein 5) (PAM2-containing protein CID5) (Protein CTC-INTERACTING DOMAIN 5) (Protein INCREASED POLYPLOIDY LEVEL IN DARKNESS 1)
XP_013610735.1	387	AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1	AT1G62170.2	other	GO:0005575;GO:0003674;GO:0005576;GO:0004867;GO:0005615;GO:0008150;GO:0005515;GO:0006281;GO:0006974;GO:0005829;GO:0005634;GO:0010951	Probable non-inhibitory serpin-Z5 (ArathZ5);Putative serpin/serine protease inhibitor (Serine protease inhibitor (SERPIN) family protein);Serine protease inhibitor (SERPIN) family protein;Serine protease inhibitor (SERPIN) family protein (Serpin-related);Serpin-Z1 (ArathZ1);Serpin-Z2 (ArathZ2)
XP_013610736.1	235	AT4G39900.1	AT4G39900.1	orthologue	GO:0003674;GO:0005634;GO:0016020	AT4g39900/T5J17_70 (Adenine deaminase)
XP_013610737.1	159	AT4G10240.1	AT4G10240.1	orthologue	GO:0005634;GO:0005515;GO:0006355;GO:0003700;GO:0009640;GO:0008270	B-box zinc finger protein 23 (Protein DOUBLE B-BOX 4) (Protein SALT TOLERANCE HOMOLOG 6)
XP_013610738.1	162	AT4G04080.1	AT4G04080.1	orthologue	GO:0016226;GO:0005739;GO:0005737;GO:0051537;GO:0005759;GO:0006879;GO:0009507;GO:0008198;GO:0005506;GO:0005829;GO:0005198;GO:0051536	Iron-sulfur cluster assembly protein 3 (AtISU3) (Protein ISCU-LIKE 3) (NifU-like N-terminal domain-containing protein ISU3) (NifU-like protein ISU3)
XP_013610739.1	412	AT3G13920.5	AT3G13920.5	orthologue	GO:0002183;GO:0003743;GO:0005515;GO:0005737;GO:0003729;GO:0009505;GO:0003724;GO:0006413;GO:0005730;GO:0009506;GO:0010494;GO:0005829;GO:0003723;GO:0005524;GO:0016887;GO:0016787;GO:0004386;GO:0003676	Eukaryotic initiation factor 4A-1 (eIF-4A-1) (EC 3.6.4.13) (ATP-dependent RNA helicase eIF4A-1) (DEAD-box ATP-dependent RNA helicase 4) (AtRH04);RNA helicase (EC 3.6.4.13)
XP_013610740.1	112	AT4G02140.1	AT4G02140.1	orthologue	GO:0008150;GO:0005575;GO:0003674	At4g02140
XP_013610741.1	153	AT3G45320.1	AT3G45320.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0016020	Transmembrane protein
XP_013610742.1	178	AT4G11180.1, AT4G11190.1, AT4G11210.1	AT4G11180.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0009807;GO:0009699;GO:0048046	Dirigent protein 12 (AtDIR12);Dirigent protein 13 (AtDIR13);Dirigent protein 14 (AtDIR14)
XP_013610743.1	192	AT5G08141.1, AT5G60830.1	AT5G60830.1	orthologue	GO:0006355;GO:0003700;GO:0005634;GO:0003677;GO:0046983	Basic leucine-zipper 70;Basic leucine-zipper 75
XP_013610744.1	132	AT3G26934.1	AT3G26934.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Uncharacterized protein
XP_013610745.1	164	AT2G18670.1	AT2G18670.1	orthologue	GO:0016567;GO:0071456;GO:0005575;GO:0003674;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL56 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL56)
XP_013610746.1	1680	AT5G42950.1	AT5G42950.1	orthologue	GO:0003729;GO:0051607;GO:0009507;GO:0009536;GO:0031347;GO:0000932;GO:0002229;GO:0002237;GO:0005829;GO:0012501;GO:0030371;GO:0042742;GO:0050832;GO:0005515	Protein ESSENTIAL FOR POTEXVIRUS ACCUMULATION 1 (Plant SMY2-type ILE-GYF domain-containing protein 1) (Protein MUTANT, SNC1-ENHANCING 11)
XP_013610748.1	123	AT5G42980.1	AT5G42980.1	orthologue	GO:0009505;GO:0005739;GO:0010188;GO:0005737;GO:0005515;GO:0009507;GO:0009408;GO:0050832;GO:0005829;GO:0005886;GO:0010286;GO:0042542;GO:0003729;GO:0006457;GO:0000325;GO:0051259;GO:0009570;GO:0016671;GO:0005794;GO:0009506;GO:0009536	Thioredoxin H3 (AtTrxh3) (Thioredoxin 3) (AtTRX3)
XP_013610749.1	299	AT5G13620.1	AT5G13620.1	orthologue	GO:0008150;GO:0005575;GO:0003674	Gb|AAD43168.1
XP_013610750.1	476	AT4G39660.1	AT4G39660.1	orthologue	GO:0005886;GO:0005739;GO:0008270;GO:0009436;GO:0005737;GO:0019481;GO:0030170;GO:0008453;GO:0000325;GO:0009853;GO:0008483	Alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial (EC 2.6.1.44) (Beta-alanine-pyruvate aminotransferase 1);alanine--glyoxylate transaminase (EC 2.6.1.44)
XP_013610751.1	369	AT5G05030.1, AT5G11660.1	AT5G05030.1	other	GO:0003674;GO:0008150;GO:0005576;GO:0005575	NEP-interacting protein, putative (DUF239);NEP-interacting protein, putative (DUF239) (Similarity to carboxyl-terminal proteinase)
XP_013610753.1	377	AT5G08460.1	AT5G08460.1	orthologue	GO:0016788;GO:0008150;GO:0005576;GO:0016042	GDSL esterase/lipase At5g08460 (EC 3.1.1.-) (Extracellular lipase At5g08460)
XP_013610754.1	211	AT5G13910.1	AT5G13910.1	orthologue	GO:0006355;GO:0000976;GO:0009739;GO:0010030;GO:0003700;GO:0005634;GO:0009740;GO:0009873;GO:0003677	Ethylene-responsive transcription factor LEP (Protein LEAFY PETIOLE)
XP_013610755.1	414	AT3G54910.1	AT3G54910.1	other	GO:0005634;GO:0003674;GO:0008150;;GO:0005515	At3g54910 (RNI-like superfamily protein)
XP_013610756.1	160	AT5G57420.1	AT5G57420.1	orthologue	GO:0005515;GO:0006355;GO:0009733;GO:0003700;GO:0005634;GO:0009734	Auxin-responsive protein IAA33 (Indoleacetic acid-induced protein 33)
XP_013610757.1	189	AT5G46795.1	AT5G46795.1	orthologue	GO:0003674;GO:0009507;GO:0009555	Microspore-specific promoter 2
XP_013610758.1	127	AT1G63960.2	AT1G63960.2	orthologue	GO:0008150;GO:0005634;GO:0046872	Copper transport protein family
XP_013610759.1	552	AT3G13810.2	AT3G13810.2	orthologue	GO:0005634;GO:0003700;GO:0006355;GO:0003677;GO:0008270	Indeterminate(ID)-domain 11;Protein indeterminate-domain 11
XP_013610760.1	831	AT5G61550.2	AT5G61550.2	orthologue	GO:0004672;GO:0016567;GO:0005524;GO:0009507;GO:0004842;GO:0004674;GO:0106310;GO:0006468	RING-type E3 ubiquitin transferase (EC 2.3.2.27);U-box domain-containing protein 52 (Plant U-box protein 52) [Includes: E3 ubiquitin ligase (EC 2.3.2.27) (RING-type E3 ubiquitin transferase); Serine/threonine-protein kinase (EC 2.7.11.-)]
XP_013610761.1	90	AT2G14070.1	AT2G14070.1	orthologue	GO:0003674;GO:0008150;GO:0005575	Wound-responsive protein-like protein
XP_013610762.1	377	AT5G55050.1	AT5G55050.1	other	GO:0009536;GO:0016298;GO:0009507;GO:0005576;GO:0016042;GO:0016788;GO:0006629	GDSL esterase/lipase At5g55050 (EC 3.1.1.-) (Extracellular lipase At5g55050)
XP_013610763.1	231	AT5G23710.1	AT5G23710.1	orthologue	GO:0005515;GO:0005634;GO:0005666;GO:0006383	DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6)
XP_013610765.1	130	AT4G10860.1, AT4G10880.1, AT4G10870.1	AT4G10870.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0005575	F8M12.2 protein;F8M12.4 protein;F8M12.5 protein
XP_013610766.1	1266	AT5G64270.1	AT5G64270.1	orthologue	GO:0009536;GO:0005634;GO:0000245;GO:0071004;GO:0005689;GO:0005686;GO:0071013;GO:0003729	Nuclear protein-like (Splicing factor)
XP_013610767.1	556	AT5G64290.1	AT5G64290.1	other	GO:0005313;GO:0071423;GO:0009941;GO:0015729;GO:0015131;GO:0015367;GO:0019676;GO:0009536;GO:0009534;GO:0009507;GO:0009624;GO:0015140;GO:0015813;GO:0009706;GO:0016020;GO:0022857;GO:0055085	Dicarboxylate transporter 2.1, chloroplastic (AtpDCT1) (Glutamate/malate translocator)
XP_013610768.1	317	AT2G18690.1	AT2G18690.1	orthologue	GO:0003674;GO:0009507;GO:0016020	Expressed protein (Transmembrane protein);Transmembrane protein
XP_013610769.1	205	AT3G32420.1	AT3G32420.1	orthologue	GO:0008150;GO:0005739;GO:0003674;GO:0004721	Actin-binding FH2 (Formin-like) protein
XP_013610770.1	137	AT5G17180.1	AT5G17180.1	orthologue	GO:0008150;GO:0003674;GO:0005634;;GO:0005509	At5g17180
XP_013610771.1	349	AT3G43570.1, AT1G58725.1, AT1G59030.1, AT1G59406.1, AT1G58525.1	AT1G59406.1	orthologue	GO:0005576;GO:0016298;GO:0008150;GO:0006629;GO:0016042;GO:0016788	GDSL esterase/lipase At1g58525 (EC 3.1.1.-) (Extracellular lipase At1g58525);GDSL esterase/lipase At1g58725 (EC 3.1.1.-) (Extracellular lipase At1g58725);GDSL esterase/lipase At1g59030 (EC 3.1.1.-) (Extracellular lipase At1g59030);GDSL esterase/lipase At1g59406 (EC 3.1.1.-) (Extracellular lipase At1g59406);GDSL esterase/lipase At3g43570 (EC 3.1.1.-) (Extracellular lipase At3g43570);GDSL-like lipase/acylhydrolase superfamily protein
XP_013610774.1	99	AT5G56520.1	AT5G56520.1	orthologue	GO:0003674;GO:0005634	At5g56520
XP_013610775.1	545	AT4G38880.1	AT4G38880.1	orthologue	GO:0006189;GO:0006164;GO:0009113;GO:0004044;GO:0009507;GO:0005737;GO:0009570;GO:0046872;GO:0051536	Amidophosphoribosyltransferase 3, chloroplastic (AtATase3) (PRPP3) (EC 2.4.2.14) (Glutamine phosphoribosylpyrophosphate amidotransferase 3) (AtGPRAT3)
XP_013610776.1	106	AT2G19000.1	AT2G19000.1	orthologue	GO:0003674;GO:0005576;GO:0008150	At2g19000 (Expressed protein)
XP_013610777.1	257	AT2G14760.3	AT2G14760.3	orthologue	GO:0000978;GO:0009555;GO:0006357;GO:0005634;GO:0006355;GO:0003700;GO:0046983;GO:0000981;GO:0005515;GO:0003677;GO:0009733;GO:0048766	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH84 (Basic helix-loop-helix protein 84) (AtbHLH84) (bHLH 84) (bHLH transcription factor bHLH084)
XP_013610778.1	385	AT5G15670.1, AT5G15660.1, AT1G26515.1, AT1G26510.1	AT5G15660.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0052542;GO:0005515	Putative F-box protein At1g26510;Putative F-box protein At1g26515;Putative F-box protein At5g15660;Putative F-box protein At5g15670
XP_013610779.1	302	AT4G36840.1	AT4G36840.1	other	GO:0005634;GO:0003674;;GO:0005515	Galactose oxidase/kelch repeat superfamily protein
XP_013610780.1	343	AT2G04190.1, AT2G04170.1	AT2G04170.1	orthologue	GO:0003674;GO:0005739;GO:0005737;GO:0005634;GO:0005515	TRAF-like family protein
XP_013610781.1	112	AT1G12064.1	AT1G12064.1	orthologue	GO:0003674;GO:0005576	Transmembrane protein
XP_013610782.1	949	AT1G58370.2	AT1G58370.2	orthologue	GO:0009505;GO:0045493;GO:0031176;GO:0005576;GO:0004553;GO:0005975;GO:0016798	Endo-1,4-beta-xylanase 1 (AtXyn1) (Xylan endohydrolase 1) (Xylanase 1) (EC 3.2.1.8)
XP_013610783.1	667	AT4G38890.1	AT4G38890.1	orthologue	GO:0005634;GO:0005773;GO:0017150;GO:0050660;GO:0006397;GO:0008270;GO:0106414;GO:0008033;GO:0003723;GO:0046872	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]-like (EC 1.3.1.89) (Zinc finger CCCH domain-containing protein 50) (AtC3H50) (mRNA-dihydrouridine synthase DUS3 homolog) (EC 1.3.1.-) (tRNA-dihydrouridine synthase 3-like)
XP_013610785.1	918	AT1G59218.1, AT1G58848.1	AT1G59218.1	other	GO:0043531;GO:0005575;GO:0098542;GO:0005524;GO:0006952	Probable disease resistance protein RDL6;Probable disease resistance protein RF9
XP_013610786.1	515	AT1G58360.1	AT1G58360.1	orthologue	GO:0015193;GO:0015186;GO:0015171;GO:0015175;GO:0009624;GO:0015808;GO:0015800;GO:0015804;GO:0015172;GO:0015194;GO:0005886;GO:0003333;GO:0016020;GO:0043090;GO:0005313;GO:0098712;GO:0015180;GO:0015293	Amino acid permease 1 (Amino acid transporter AAP1) (Neutral amino acid transporter II)
XP_013610788.1	119					
XP_013610789.1	191	AT2G29880.1, AT5G27260.1, AT1G30140.1, AT5G35540.1	AT5G27260.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0005634;GO:0003677;GO:0016020	Myb/SANT-like DNA-binding domain protein;Transmembrane protein;Uncharacterized protein At2g29880
XP_013610790.1	189	AT3G04100.1	AT3G04100.1	orthologue	GO:0046983;GO:0006355;GO:0000978;GO:0006357;GO:0005634;GO:0003700;GO:0000981;GO:0003677	AGAMOUS-like 57 (MADS-box family protein) (Putative SRF-type transcription factor)
XP_013610791.1	94	AT3G59930.1, AT5G33355.1	AT3G59930.1	orthologue	GO:0005576;GO:0002215;GO:0097501;GO:0120127;GO:0003674;GO:0031640;GO:0050832	Defensin-like protein 206;Defensin-like protein 207
XP_013610792.1	86	AT5G26620.1	AT5G26620.1	orthologue	GO:0003674;GO:0005634;GO:0008150	Uncharacterized protein
XP_013610793.1	839	AT3G13750.1	AT3G13750.1	orthologue	GO:0009505;GO:0019388;GO:0030246;GO:0005576;GO:0004565;GO:0005773;GO:0005829;GO:0009827;GO:0009506;GO:0005975;GO:0048046;GO:0004553	Beta-galactosidase 1 (Lactase 1) (EC 3.2.1.23)
XP_013610794.1	545	AT5G51490.1	AT5G51490.1	orthologue	GO:0042545;GO:0045490;GO:0046910;GO:0005576;GO:0030599;GO:0004857	Probable pectinesterase/pectinesterase inhibitor 59 [Includes: Pectinesterase inhibitor 59 (Pectin methylesterase inhibitor 59); Pectinesterase 59 (PE 59) (EC 3.1.1.11) (Pectin methylesterase 59) (AtPME59)]
XP_013610795.1	115	AT5G55135.1	AT5G55135.1	orthologue	GO:0009507;GO:0008150;GO:0003674	Uncharacterized protein
XP_013610796.1	259	AT5G27880.1	AT5G27880.1	orthologue	GO:0003700;GO:0006355;GO:0009507;GO:0008270	C2H2 and C2HC zinc fingers superfamily protein
XP_013610797.1	210	AT5G07190.1	AT5G07190.1	orthologue	GO:0005576;GO:0005634;GO:0009793;GO:0016020;GO:0003674;GO:0005515	AT5G07190 protein (Embryo-specific protein 3);Embryo-specific protein ATS3 (Protein ARABIDOPSIS THALIANA SEED 3)
XP_013610798.1	646	AT5G02490.1	AT5G02490.1	orthologue	GO:0042026;GO:0005737;GO:0005515;GO:0005829;GO:0051085;GO:0009408;GO:0006457;GO:0009617;GO:0009505;GO:0009507;GO:0009615;GO:0005634;GO:0005794;GO:0140662;GO:0005886;GO:0031072;GO:0016887;GO:0044183;GO:0005524	Heat shock 70 kDa protein 2 (Heat shock cognate 70 kDa protein 2) (Heat shock cognate protein 70-2) (AtHsc70-2) (Heat shock protein 70-2) (AtHsp70-2)
XP_013610799.1	511	AT5G02480.1	AT5G02480.1	orthologue	GO:0005575;GO:0003674	AT5g02480/T22P11_70 (HSP20-like chaperones superfamily protein)
XP_013610800.1	149	AT5G07160.1	AT5G07160.1	orthologue	GO:0005634;GO:0003700;GO:0045893;GO:0006355;GO:0003677	Activator of spomin LUC3 (Basic-leucine zipper (BZIP) transcription factor family protein)
XP_013610801.1	192	AT5G27020.1	AT5G27020.1	orthologue	GO:0003674;GO:0008150;GO:0005739	F2P16.13 protein
XP_013610802.1	571	AT4G19450.1	AT4G19450.1	orthologue	GO:0003674;GO:0016020;GO:0005739	Major facilitator superfamily protein
XP_013610803.1	180	AT1G62935.1	AT1G62935.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0016020	Transmembrane protein
XP_013610804.1	246	AT2G12646.1	AT2G12646.1	orthologue	GO:2000377;GO:2000280;GO:0043434;GO:0010078;GO:0005515;GO:0005634;GO:0008270	PLATZ transcription factor family protein;Protein RGF1 INDUCIBLE TRANSCRIPTION FACTOR 1
XP_013610805.1	311	AT5G52140.1	AT5G52140.1	orthologue	GO:0046621;GO:0016567;GO:0048437;GO:0004842;GO:0031624;GO:0005886;GO:0008270	RING/U-box superfamily protein (Zinc finger protein-like protein)
XP_013610806.1	132					
XP_013610807.1	751	AT3G13690.1	AT3G13690.1	orthologue	GO:0004672;GO:0046777;GO:0004674;GO:0005886;GO:0005634;GO:0007165;GO:0005524;GO:0016787;GO:0006468	Kinase with adenine nucleotide alpha hydrolases-like domain-containing protein
XP_013610808.1	120	AT5G47550.1	AT5G47550.1	other	GO:0005576;GO:0010030;GO:0009505;GO:0034605;GO:0003674;GO:0004869;GO:0006952	Cysteine proteinase inhibitor 5 (AtCYS-5)
XP_013610809.1	237	AT3G47680.1	AT3G47680.1	other	GO:0003674;GO:0008150;GO:0009507	At3g47680 (DNA binding protein);Ternary complex factor MIP1 leucine-zipper protein
XP_013610810.1	466	AT2G17160.1, AT2G17090.1	AT2G17090.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0009742;GO:0010098;GO:0009898;GO:0080159;GO:1902533;GO:0005515;GO:0004674;GO:0005524;GO:0016301;GO:0004672;GO:0006468	Interleukin-1 receptor-associated kinase 4 protein;Probable inactive receptor-like kinase BSK12 (Brassinosteroid-signaling kinase 12) (Protein SHORT SUSPENSOR)
XP_013610811.1	107					
XP_013610813.1	184	AT2G40060.1	AT2G40060.1	other	GO:0009941;GO:0030132;GO:0030130;GO:0009504;GO:0016192;GO:0072583;GO:0005515;GO:0030125;GO:0005886;GO:0006886;GO:0005737;GO:0005198;GO:0005794;GO:0042802;GO:0032050;GO:0005856;GO:0009524	Clathrin light chain 2
XP_013610814.1	145	AT5G14345.1	AT5G14345.1	orthologue	GO:0005886;GO:0009055;GO:0008150;GO:0098552	Early nodulin-like protein 21 (AtENODL21) (Phytocyanin-like protein ENODL21)
XP_013610815.1	333	AT5G18720.1	AT5G18720.1	other	GO:0003674;GO:0009507;GO:0008150	DNAJ heat shock amino-terminal domain protein, putative (DUF3444)
XP_013610816.1	180	AT5G09940.1	AT5G09940.1	orthologue	GO:0003674;GO:0008150;GO:0005739	Gb|AAD24366.1
XP_013610817.1	204	AT5G51520.1	AT5G51520.1	orthologue	GO:0009827;GO:0004857;GO:0009505;GO:0043086;GO:0005575	Invertase (Ripening-related protein-like)
XP_013610818.1	112	AT4G04972.1	AT4G04972.1	orthologue	GO:0008150;GO:0003674;GO:0005634	Uncharacterized protein
XP_013610819.1	280	AT5G45830.1	AT5G45830.1	orthologue	GO:2000033;GO:0005515;GO:0009738;GO:0005634;GO:0010162;GO:0010182;GO:0006351;GO:0043565;GO:0042802	Delay of germination 1;Protein DELAY OF GERMINATION 1 (GLUCOSE SENSING QTL 5)
