Orthogroup	Brassica_rapa	Arabidopsis_lyrata_Rawat
OG0010392	XP_009129807.2, XP_018509562.1	AL6G40970
OG0010393	XP_033140688.1	AL6G44580
OG0010394	XP_018513093.1, XP_009118042.1, XP_018513134.1	AL7G23160
OG0010395	XP_009137562.1, XP_033144917.1	AL7G27130
OG0010396	NP_001288974.1, XP_009137844.1	AL7G29030
OG0010397	XP_009136089.1, XP_009136078.1	AL7G30860, AL8G12510
OG0010399	XP_009132908.1, XP_033133976.1	AL7G34560
OG0010400	XP_009136833.1	AL7G37450
OG0010401	XP_033143520.1, XP_033141484.1	nbis-gene-1824, nbis-gene-1842
OG0010402	XP_033132241.1, XP_033146610.1	AL7G42000
OG0010405	XP_009140089.1	AL7G48040
OG0010406	XP_009125192.1, XP_018509571.2	AL7G47680
OG0010407	XP_009101828.1, XP_009114024.1	AL8G18050
OG0010408	XP_009106518.1	AL25U10020, AL8G19580
OG0010409	XP_033134705.1	AL8G21260
OG0010410	XP_009151681.1, XP_009111856.1	AL8G21990
OG0010411	XP_009129772.1, XP_009151725.1	nbis-gene-2074
OG0010412	XP_009111873.1, XP_009151728.1	AL8G22970
OG0010413	XP_009134031.1, XP_009127370.1	AL8G23870
OG0010414	XP_033137327.1, XP_009127301.1	AL8G25760
OG0010415	XP_033137676.1	AL8G26320
OG0010416	XP_009127236.1, XP_009106704.1	AL205U10020, AL8G26970
OG0010417	XP_009127206.1, XP_009124171.1	AL8G27420
OG0010418	XP_009120246.1, XP_009126851.1, XP_009132142.2	AL8G33190
OG0010419	XP_009103518.1, XP_009112306.1	AL8G44980
OG0010421	XP_018511649.1	AL7G38420
OG0010421	XP_018513949.1	AL4G31830
OG0010422	XP_009109813.1, XP_009113769.1, XP_009102981.2	AL1G40780
OG0010424	XP_009128306.1, XP_009128327.1	AL7G44900
OG0010426	XP_009151817.3, XP_033136305.1, XP_009129337.1	nbis-gene-1250
OG0010427	XP_033140697.1, XP_033136130.1	AL3G44730
OG0010436	XP_033138829.1, XP_033137637.1	AL6G15530
OG0010437	XP_009137925.1	AL7G21650
OG0010438	XP_033144464.1	AL7G21620
OG0010439	XP_009108981.1	AL7G21590
OG0010440	XP_009137939.1	AL7G21560
OG0010441	XP_009127679.1	AL7G21490
OG0010442	XP_009137962.1	AL7G21400
OG0010443	XP_009140699.1	AL4G17530
OG0010444	XP_009137315.1, XP_009136711.1	AL7G30380
OG0010445	XP_018508183.1	AL5G25520
OG0010446	XP_009151475.2	AL5G28060
OG0010447	XP_009149811.1, XP_009151403.1	AL5G27980
OG0010448	XP_009150191.2	AL5G27880
OG0010449	XP_009150197.1, XP_033128975.1	AL5G27800
OG0010450	XP_009149855.1, XP_009150754.1	AL5G27300
OG0010451	XP_009150874.1	AL5G27490
OG0010452	XP_009150205.1	AL5G27530
OG0010453	XP_009150220.1, XP_009149870.1	AL5G27100
OG0010454	XP_009101368.1	AL5G10080
OG0010455	XP_009129213.1	AL5G10800
OG0010456	XP_009129163.1	AL5G11490
OG0010457	XP_033128752.1, XP_033128433.1, XP_009101284.1	AL5G11090
OG0010459	XP_009140004.1	AL7G49390
OG0010460	XP_009139994.1	AL7G49550
OG0010461	XP_018511176.1	AL6G29260
OG0010462	XP_009131613.1	AL6G28930
OG0010463	XP_009121052.1, XP_009131608.1	AL6G28880
OG0010464	XP_009126197.1, XP_009107532.1	AL6G28710
OG0010465	XP_009126192.1	AL6G28620
OG0010466	XP_009107522.1	AL6G28580
OG0010467	XP_009107510.2, XP_009126182.1	AL6G28470
OG0010468	XP_009126179.1	AL6G28410
OG0010469	XP_009121408.1, XP_009126170.1	AL6G28270
OG0010470	XP_009118471.1	AL1G16930
OG0010471	XP_009121457.1	AL6G27730
OG0010472	XP_009121463.1, XP_009131553.1	AL6G27680
OG0010473	XP_009131546.1	AL6G27470
OG0010474	XP_018511035.2, XP_018513144.1	AL6G27440
OG0010475	XP_009131536.1	AL6G27310
OG0010476	XP_009126099.1	AL6G27060
OG0010477	XP_009126096.1	AL6G27040
OG0010478	XP_009121519.1	AL6G26940
OG0010479	XP_009133001.1	AL4G30730
OG0010480	XP_009121574.1, XP_009126047.1	AL6G26300
OG0010481	XP_033143473.1, XP_033141670.1	AL6G26280
OG0010482	XP_009126029.1, XP_009121614.1	AL6G25920
OG0010483	XP_033131314.1	AL6G25680
OG0010485	XP_009126003.1, XP_009121637.1	AL6G25500
OG0010486	XP_009121639.1, XP_009125995.1	AL6G25470
OG0010487	XP_009131419.1	AL6G25410
OG0010488	XP_009139573.1	AL7G42490
OG0010489	XP_009131399.1	AL6G25060
OG0010490	XP_009121717.2, XP_009125950.1	AL6G24550
OG0010491	XP_018511064.1, XP_009131362.1	AL6G24430
OG0010492	XP_009125946.1, XP_009131361.1	AL6G24420
OG0010494	XP_009131355.1	AL6G24310
OG0010495	XP_033139765.1, XP_033142465.1	AL6G24270
OG0010496	XP_009125918.1, XP_009121758.1	AL6G24140
OG0010497	XP_018512208.1, XP_009131341.1	AL6G24080
OG0010498	XP_009125893.2	AL6G23810
OG0010499	XP_009121789.1, XP_009125892.1	AL6G23800
OG0010500	XP_009125875.1, XP_033137455.1	AL6G23590
OG0010501	XP_009121826.3	AL6G23460
OG0010503	XP_009121831.1, XP_009125867.1	AL6G23400
OG0010504	XP_033137753.1	AL8G19740
OG0010505	XP_018512551.2, XP_009125856.2	AL6G23090
OG0010506	XP_009131267.1, XP_009121864.1	AL6G23040
OG0010507	XP_033141842.1, XP_033137878.1	AL6G22910
OG0010508	XP_009121882.2	AL6G22880, AL6G44470
OG0010509	XP_009131233.3, XP_033141930.1	AL6G22580
OG0010510	XP_009125832.2	AL6G22570
OG0010511	XP_018510957.1, XP_009125827.1	AL6G22440
OG0010512	XP_033137524.1, XP_009125812.1	AL6G22220
OG0010513	XP_033137720.1, XP_009131211.1	AL6G22180
OG0010514	XP_009121945.1, XP_009125807.1	AL6G22120
OG0010515	XP_009125788.1	AL6G21780
OG0010516	XP_009131188.1, XP_009122009.1	AL6G21550
OG0010517	XP_009122013.1	AL6G21480
OG0010518	XP_009125265.1	AL6G21460
OG0010519	XP_009122052.1	AL6G20940
OG0010520	XP_009122054.1	AL6G20910
OG0010521	XP_009122065.1	AL6G20820
OG0010522	XP_009122088.1	AL6G20550
OG0010523	XP_009122115.1	AL6G20250
OG0010524	XP_033140959.1	AL6G20150
OG0010525	XP_009131118.1, XP_009125359.1	AL6G20000
OG0010526	XP_009131112.2, XP_009122521.1	AL6G19880
OG0010527	XP_009122515.1	AL6G19810
OG0010528	XP_009122511.1	AL6G19770
OG0010529	XP_009102386.1	AL3G42010
OG0010530	XP_009145455.1	AL3G35870
OG0010531	XP_009131072.2	AL6G18960, AL6G19160, AL487U10020
OG0010532	XP_009122455.1	AL6G19130, AL6G18940
OG0010533	XP_009125734.1	AL6G18900
OG0010534	XP_009125731.1, XP_009131064.2	AL6G18860
OG0010535	XP_033142525.1	AL6G18850
OG0010536	XP_009131027.1, XP_009125714.1	AL6G18390
OG0010537	XP_009125715.1, XP_033138447.1	nbis-gene-1485
OG0010538	XP_009125702.1, XP_009122400.2	AL6G18140
OG0010539	XP_009131003.2	AL6G17920
OG0010540	XP_018513433.1	AL6G50010
OG0010541	XP_009111249.1	AL6G49990
OG0010542	XP_009111244.1	AL6G49940
OG0010543	XP_009122143.1	AL6G49810
OG0010544	XP_009122086.1	AL6G49790
OG0010545	XP_009122105.1	AL6G49780
OG0010546	XP_009122075.3, XP_009134369.1	AL6G49750
OG0010547	XP_009121963.1	AL1G58800, AL6G49660
OG0010548	XP_009121928.1	AL6G49600
OG0010550	XP_009137495.2, XP_009138829.1	AL7G28070
OG0010552	XP_009137473.1	AL7G28400
OG0010553	XP_009103566.1	AL4G20180
OG0010554	XP_009111251.1	AL4G20260
OG0010555	XP_009133913.1	AL4G20570
OG0010556	XP_009140784.2	AL4G21160
OG0010557	XP_033145827.1	AL4G21410
OG0010558	XP_033130654.1	AL4G22710
OG0010559	XP_009140820.2	AL4G22540
OG0010560	XP_009103622.1	AL4G22480
OG0010561	XP_009103627.1	AL4G22410
OG0010562	XP_018508546.1, XP_009140835.1	AL4G22310
OG0010563	XP_009140851.1, XP_009103654.1	AL4G21930
OG0010564	XP_009103657.1	AL4G21870
OG0010565	XP_009140897.1	AL4G21680
OG0010566	XP_009103688.1	AL4G21570
OG0010567	XP_009140921.1, XP_009133867.1	AL4G23100
OG0010568	XP_009124363.1	AL4G23430
OG0010569	XP_009130482.1	AL4G23740, AL41U10070
OG0010570	XP_009144394.1	AL4G23770
OG0010571	XP_009144364.1	AL4G24270
OG0010572	XP_009144345.1	AL4G24640
OG0010573	XP_009132719.1, XP_009141052.1	AL4G25070, AL346U10010
OG0010574	XP_009144297.2	AL4G25360
OG0010575	XP_009141089.1, XP_009144279.1	AL4G25580
OG0010576	XP_033145383.1	AL4G11410
OG0010577	XP_033146802.1	AL4G25890
OG0010578	XP_009144267.1	AL4G25990
OG0010579	XP_009141125.1	AL4G26070, AL4G26150
OG0010580	XP_009144237.2	AL4G26400
OG0010581	XP_009141140.1	AL4G26410
OG0010582	XP_009132796.2	AL4G26780
OG0010583	XP_009144052.1	AL4G26980
OG0010584	XP_009141179.1, XP_009132815.1	AL4G27060
OG0010585	XP_009144019.1	AL4G27220
OG0010586	XP_009132826.1	AL80U10060, AL4G27290
OG0010587	XP_009144010.1	AL4G27460, AL103U10050
OG0010588	XP_009116951.2, XP_009117013.2	AL4G18960
OG0010589	XP_009144005.1	AL4G28000
OG0010590	XP_009141250.1, XP_009144002.1	AL4G27990
OG0010591	XP_009141242.2	AL4G27810
OG0010592	XP_009132846.1, XP_009143978.1	AL4G27780
OG0010593	XP_009143971.1	AL125U10030
OG0010594	XP_009132882.1	AL4G28290
OG0010595	XP_033147746.1, XP_033146336.1, XP_009132903.1	AL4G28400
OG0010596	XP_009143915.1, XP_033145297.1	AL4G28470
OG0010597	XP_009143907.2	AL120U10010
OG0010598	XP_009143860.1, XP_009141314.1	AL4G29100
OG0010599	XP_009123898.1	AL8G16820
OG0010600	XP_009109541.1	AL7G10500
OG0010601	XP_009101776.1	AL484U10020, AL8G16680
OG0010602	XP_033134809.1	AL8G16250
OG0010603	XP_009113937.1	AL8G15850
OG0010604	XP_009121750.1, XP_009134341.1	AL6G49310
OG0010605	XP_009121772.1	AL6G49360
OG0010606	XP_009121796.1	AL6G49390
OG0010607	XP_009121844.1	AL6G49440
OG0010608	XP_009121894.2, XP_009136292.1	AL6G49500
OG0010609	XP_009107398.1	AL1G54350
OG0010610	XP_009145030.1, XP_009107406.1	AL1G54100
OG0010611	XP_009107412.1	AL4G21430, AL1G54090
OG0010612	XP_009118923.1	AL1G53470
OG0010613	XP_009102963.1, XP_009109792.1	AL1G41160
OG0010614	XP_009107448.1	AL1G52870
OG0010615	XP_009102961.1, XP_009109783.1	AL1G41230
OG0010616	XP_009113704.1	nbis-gene-165
OG0010617	XP_009113687.1	AL1G41800
OG0010618	XP_009109730.1	AL1G42010
OG0010619	XP_009102906.1, XP_009113660.1	AL1G42080
OG0010620	XP_009109705.1, XP_009102897.1	nbis-gene-168
OG0010621	XP_009102888.1	AL1G42750
OG0010623	XP_009102830.3, XP_009109654.1	AL1G43510
OG0010624	XP_009115210.1, XP_033130099.1	AL1G43700
OG0010625	XP_009102797.2, XP_009109633.2	AL1G43790
OG0010626	XP_033132862.1, XP_009115199.1	AL1G43890
OG0010627	XP_033137259.1	AL1G44000
OG0010628	XP_009109615.1	AL1G44030, AL5G33120
OG0010629	XP_009109614.1, XP_009115185.1	AL1G44040
OG0010630	XP_009102710.1, XP_009115176.1	AL1G44210
OG0010631	XP_033130696.1, XP_009115161.1	AL1G44300
OG0010632	XP_009109581.1, XP_018508317.1	AL1G44500
OG0010633	XP_033137270.1, XP_033132243.1	AL1G44510
OG0010634	XP_009140134.1	AL7G47270
OG0010636	XP_033131729.1, XP_033136589.1	AL1G45140
OG0010637	XP_009102677.1, XP_009115025.1	AL1G45370
OG0010640	XP_009115008.2	AL1G49290
OG0010641	XP_009108113.1	AL1G49460
OG0010642	XP_009108104.1	AL1G45820
OG0010643	XP_009145231.1	AL1G45840
OG0010644	XP_009145227.2, XP_009114945.1	AL1G45950
OG0010645	XP_009145225.1	AL1G45970
OG0010646	XP_009114933.1, XP_009145217.1	AL1G46040
OG0010647	XP_018510359.1, XP_009145207.1	AL1G46200
OG0010648	XP_009145199.1	AL1G46300
OG0010649	XP_009114893.1, XP_009151425.1	AL1G46550
OG0010650	XP_009151433.1, XP_009114881.1	AL1G46710
OG0010651	XP_033132291.1	AL1G46850
OG0010652	XP_009151442.1	AL1G46890
OG0010653	XP_033147371.1	AL1G46920
OG0010654	XP_009101249.1	AL5G11850
OG0010655	XP_009129121.2	AL5G12010
OG0010656	XP_033139843.1	AL5G12030
OG0010657	XP_009142878.1	AL4G41330
OG0010658	XP_009129104.2, NP_001288907.1	AL5G12660
OG0010659	XP_009114176.1	AL5G12800
OG0010660	XP_009152171.1, XP_009129087.2	AL5G13260
OG0010661	XP_009103492.1	AL8G44730
OG0010662	XP_033136101.1, XP_033131636.1	AL8G44620
OG0010663	XP_009103477.1	AL8G44550
OG0010664	XP_033136100.1, XP_009103467.1	AL8G44440
OG0010665	XP_009112351.1	nbis-gene-535, AL8G44390
OG0010666	XP_009103452.1	AL8G44220
OG0010667	XP_009103446.2, XP_009112363.1	AL8G44150
OG0010668	XP_009103445.1	AL8G44140
OG0010669	XP_009103442.1	AL8G44110
OG0010670	XP_009103425.1, XP_009130549.2	AL8G43940
OG0010671	XP_009112218.1, XP_033131542.1	AL8G43910
OG0010672	XP_009150701.1	AL8G43810
OG0010673	XP_009113533.1	AL6G42980
OG0010674	XP_033135179.1	AL8G43550
OG0010676	XP_009150666.1	AL8G43460
OG0010677	XP_009112193.1, XP_009150655.1	AL8G43260
OG0010679	XP_009150637.1	AL8G43070
OG0010680	XP_009130502.1, XP_009150605.2	AL8G42760
OG0010681	XP_009150580.1, XP_009130485.1	AL8G42550
OG0010682	XP_009130471.1, XP_009150555.1	AL8G42230
OG0010683	XP_033134617.1, XP_009150804.1	AL8G42170
OG0010684	XP_009150544.1	AL8G42040
OG0010685	XP_009150515.1, XP_009112133.1	AL8G41730
OG0010686	XP_009112126.1, XP_009150500.1	AL8G41650
OG0010687	XP_009150493.1	AL372U10010
OG0010688	XP_009112121.1	AL8G41450
OG0010689	XP_009130433.1, XP_009150474.2	AL8G41290
OG0010690	XP_009150464.1	AL8G41220
OG0010691	XP_009112109.1	AL697U10020, AL8G41100
OG0010692	XP_009150444.1	AL8G41060
OG0010693	XP_009150446.1	AL8G41030
OG0010694	XP_009150428.1	AL8G40990
OG0010695	XP_009112080.1	AL8G40520
OG0010696	XP_009150393.2, XP_009112077.1	AL8G40460
OG0010698	XP_033128164.1, XP_009112031.1	AL8G39690
OG0010699	XP_009112028.1	AL8G39500
OG0010700	XP_009151373.2	AL8G39420
OG0010701	XP_009112094.1, XP_009151516.2	AL8G39070
OG0010702	XP_033141555.1	AL8G38940
OG0010703	XP_009112000.1	AL8G38520
OG0010704	XP_009130165.1	AL8G38370
OG0010705	NP_001288903.1, NP_001288951.1	AL8G38050
OG0010706	XP_009136400.2	AL8G37420
OG0010707	XP_009136376.1	AL6G34400
OG0010708	XP_009130121.1	AL6G34450
OG0010709	XP_009136377.1	AL6G34460
OG0010711	XP_009141520.1, XP_009150872.2	AL6G34670
OG0010712	XP_009150888.1	AL6G34840
OG0010713	XP_009122156.1	AL6G15400
OG0010714	XP_009141799.2, XP_009150912.1	AL6G35200
OG0010715	XP_009150930.1	AL6G35340
OG0010716	XP_009141862.1, XP_009150932.1	AL6G35350
OG0010717	XP_009150940.1, XP_009141925.1	AL6G35460
OG0010718	XP_009150943.1	AL6G35490
OG0010719	XP_009150946.1	nbis-gene-1561
OG0010720	XP_009130063.1	AL6G36030
OG0010721	XP_009111633.1, XP_018514978.1	AL6G36040
OG0010722	XP_009150979.1, XP_009130058.1	AL6G36120
OG0010723	XP_009130057.1, XP_009150980.1	AL6G36160
OG0010724	XP_009150995.1	AL6G36290
OG0010725	XP_033141216.1, XP_033128866.1	AL6G36550
OG0010726	XP_009129956.1	AL6G37330
OG0010727	XP_009151088.1	AL7G50060, AL6G37410
OG0010728	XP_009151092.1	AL6G37430
OG0010729	XP_009136134.1	AL3G42040
OG0010730	XP_009111682.1, XP_033129733.1	AL6G37820
OG0010731	XP_009151110.1	AL6G37830
OG0010732	XP_033141625.1	AL6G31010
OG0010733	XP_009126356.1, XP_009131735.1	AL6G30860
OG0010734	XP_009131745.1	AL6G31140
OG0010735	XP_009151680.1	AL6G31350
OG0010737	XP_009131767.1, XP_009126413.1	AL6G31600
OG0010738	XP_009126414.1, XP_009131769.1	AL6G31610
OG0010739	XP_009131770.1	AL6G31620
OG0010740	XP_009126420.1, XP_033144633.1	AL6G31660
OG0010741	XP_009131782.1	AL6G31730
OG0010742	XP_009120817.2	AL6G31870
OG0010743	XP_009120794.1	AL6G32140
OG0010744	XP_009120782.1	AL6G32250
OG0010745	XP_009120773.2, XP_009126474.1	AL6G32290
OG0010746	XP_009120749.1, XP_009126492.2	AL6G32490
OG0010748	XP_033138513.1	AL6G32800
OG0010749	XP_009126512.1, XP_009120710.1	AL6G32860
OG0010750	XP_009131842.1	AL6G32870
OG0010751	XP_009120703.1, XP_009126514.1	AL6G32910
OG0010752	XP_009126518.1	AL6G32970
OG0010753	XP_009131870.1, XP_009126534.1	AL6G33290
OG0010754	XP_009120667.1	AL6G33340
OG0010755	XP_009126543.1	AL6G33450
OG0010756	XP_009120651.1, XP_009126546.1	AL6G33510
OG0010757	XP_009120650.1	AL6G33520
OG0010758	XP_033137845.1	AL6G33540
OG0010759	XP_009126549.1, XP_009120637.1	AL6G33610
OG0010760	XP_009126565.1	AL6G33900
OG0010761	XP_009126583.1, XP_009120610.1	AL8G37350
OG0010762	XP_009131912.1	AL8G37080
OG0010763	XP_009120578.2	AL8G37050
OG0010764	XP_009126613.2	AL8G13380, AL8G36980
OG0010765	XP_009141892.2	AL4G38250
OG0010766	XP_009120471.1, XP_009126686.1	AL8G36110
OG0010767	XP_009120466.1, XP_009126690.1	AL8G36050
OG0010768	XP_009120459.1, XP_009131994.1	AL8G35950
OG0010769	XP_009126696.1	AL8G35940
OG0010770	XP_009120452.1	AL8G35900
OG0010771	XP_033137981.1	AL658U10010, AL8G35890
OG0010772	XP_009120421.1	AL8G35480
OG0010773	XP_009120411.1, XP_033139706.1	AL8G35400
OG0010774	XP_009120406.2	AL8G35340
OG0010775	XP_009126734.1	AL279U10010, AL8G35100
OG0010776	XP_009120389.1	AL8G35020
OG0010777	XP_009120388.1	nbis-gene-2172
OG0010778	XP_009126889.3, XP_009120344.1	AL8G34480
OG0010779	XP_009120336.1, XP_009132070.1	AL8G34370
OG0010780	XP_009132071.1	AL8G34360
OG0010781	XP_009120335.1	AL8G34350
OG0010782	XP_009132075.1, XP_009126778.1	AL8G34290
OG0010783	XP_009120323.2, XP_009126789.1	AL8G34200
OG0010784	XP_009132088.1	AL8G34100
OG0010785	XP_009132087.1, XP_009126797.2	AL8G34130
OG0010786	XP_009126796.1, XP_009120318.1	AL8G34120
OG0010787	XP_009126799.2, XP_009120315.2	AL8G34080
OG0010788	XP_009120306.1	AL8G33960
OG0010789	XP_009126809.1, XP_009120304.1	AL8G33870
OG0010790	XP_018512765.1	AL8G33830
OG0010791	XP_009120291.1, XP_009126814.1	AL8G33800
OG0010792	XP_009126821.1, XP_009120287.1	AL8G33750
OG0010793	XP_009120265.1, XP_009132126.1	AL8G33420
OG0010794	XP_033138480.1	AL8G33180, AL161U10040
OG0010796	XP_009132182.1	nbis-gene-2156
OG0010797	XP_009120185.1, XP_009132185.1	AL8G32570
OG0010798	XP_009120171.1	AL8G32440
OG0010799	XP_033139823.1, XP_009120159.1	AL8G32210
OG0010800	XP_009126960.1	AL8G31810
OG0010801	XP_009120124.1	AL8G31760
OG0010802	XP_009120117.2	AL8G31630
OG0010803	XP_009126984.1	AL8G31300
OG0010804	XP_009126986.1, XP_009132357.2	AL8G31280
OG0010805	XP_009132368.1, XP_009120079.1	AL8G31170
OG0010806	XP_009105905.1	AL2G32110
OG0010808	XP_009127002.1	AL8G30940
OG0010809	XP_033143599.1, XP_009127024.1	AL8G30680
OG0010810	XP_033139647.1, XP_033138720.1	AL8G30610
OG0010812	XP_009120018.1	AL8G30380
OG0010813	XP_009149770.1, XP_009150161.1	AL5G28580
OG0010814	XP_009149778.1	AL5G28480
OG0010815	XP_009150171.1	AL5G28330
OG0010816	XP_033140817.1	AL8G29110
OG0010817	XP_009119945.2	AL8G29260
OG0010818	XP_009119953.1	AL8G29400
OG0010819	XP_033142000.1, XP_009119966.1	AL8G29710
OG0010820	XP_009111303.1	AL6G50850
OG0010821	XP_009134077.1	AL6G41310
OG0010822	XP_009144561.1	AL6G50600
OG0010823	XP_033141054.1	AL6G50500
OG0010824	XP_009144552.3	AL6G50490
OG0010825	XP_009134416.2	AL6G50350
OG0010826	XP_009111262.1	AL6G50320
OG0010827	XP_009111259.1, XP_009144544.1	AL6G50280
OG0010828	XP_009122357.1	AL6G17510
OG0010829	XP_033144621.1	AL6G17370
OG0010830	XP_009109872.1	AL1G40060
OG0010831	XP_009122388.1, XP_009125673.1	AL6G17170
OG0010832	XP_009122392.1	AL6G17140
OG0010833	XP_009122394.1	AL6G17130
OG0010834	XP_009130974.2, XP_033143565.1	AL6G17070
OG0010835	XP_009122296.1	AL6G16940
OG0010836	XP_009122270.1	AL6G16670
OG0010837	XP_009122227.1	AL6G16280
OG0010838	XP_009130925.1, XP_009122223.2	AL6G16240
OG0010839	XP_009125633.1	AL6G16100
OG0010840	XP_009125626.2, XP_018511237.1	AL6G16070
OG0010841	XP_009125606.1, XP_009122161.1	AL6G15460
OG0010842	XP_009122155.1	AL6G15390
OG0010843	XP_033137768.1	AL6G15380
OG0010844	XP_009122148.1	AL6G15280
OG0010845	XP_009122140.1, XP_033141544.1	AL6G15200
OG0010846	XP_009122122.1, XP_033145092.1	AL6G14900
OG0010847	XP_009130855.1, XP_018511109.2	AL6G14710
OG0010848	XP_033137510.1, XP_009130850.1	AL6G14650
OG0010849	XP_009122568.1	AL6G14460
OG0010850	XP_009117245.1	AL4G14250
OG0010851	XP_009122591.1	AL6G14110
OG0010852	XP_009103112.1	AL1G38870
OG0010853	XP_009122614.1	AL6G13960
OG0010854	XP_009130792.2, XP_033137436.1	AL6G13470
OG0010856	XP_033138490.1	AL6G14790, AL6G13270
OG0010857	XP_009130774.1	AL6G13140
OG0010858	XP_009122700.1	AL6G12750
OG0010859	XP_009122722.1, XP_009125488.1	AL6G12570
OG0010860	XP_009130721.1	AL6G12560
OG0010861	XP_009130727.1	AL6G12400
OG0010862	XP_009125462.1	AL6G12030
OG0010863	XP_033137581.1	AL6G11950
OG0010864	XP_009122767.2	AL6G11850
OG0010865	XP_009122769.1	AL6G11800
OG0010866	XP_009122796.1	AL6G11480
OG0010867	XP_033144914.1, XP_033143804.1	AL6G11400
OG0010868	XP_009122804.1, XP_033143827.1	AL6G11370
OG0010869	XP_009122817.2	AL6G11210
OG0010870	XP_009122823.2	AL428U10020, AL8G17250, AL6G11080
OG0010871	XP_009122825.1	AL6G11040, AL6G14050
OG0010872	XP_009130663.1, XP_033139510.1	AL6G10900
OG0010873	XP_009122848.2	AL6G10830
OG0010874	XP_009120271.1, XP_009130633.1	AL6G10430
OG0010875	XP_009137692.1	AL6G10200
OG0010876	XP_009125387.2, NP_001288963.1	AL6G10130
OG0010877	XP_009131184.1	AL6G10070
OG0010879	XP_033145711.1	AL7G49210
OG0010880	XP_009140051.1	AL7G48600
OG0010881	XP_009140072.1	AL7G48280, AL7G48350
OG0010882	XP_009140086.1, NP_001288980.1	AL7G48080
OG0010883	XP_009140091.1	AL7G48000
OG0010884	XP_009140099.1, XP_009125191.2	AL7G47820
OG0010886	XP_009140148.3, XP_009125219.2	AL7G47060
OG0010887	XP_009104427.1	AL2G41720
OG0010888	XP_009104418.1	AL2G41800
OG0010889	XP_009122771.1	AL2G41830
OG0010890	XP_009128434.2	AL2G41180
OG0010891	XP_009128423.1	AL2G41080
OG0010892	XP_033131453.1, XP_009104477.1	AL2G40750
OG0010893	XP_009128389.1, XP_009106713.1	AL2G40570
OG0010894	XP_009106685.1, XP_009104514.2	AL2G40300
OG0010895	XP_009106657.1, XP_009128350.1	AL2G39970
OG0010896	XP_009106622.1, XP_009104550.1	AL2G39490
OG0010897	XP_009149972.1	AL5G25410
OG0010898	XP_009106579.1	AL2G39060
OG0010900	XP_009106547.1	AL2G38770
OG0010901	XP_009106539.1	AL2G38630, AL60U10010
OG0010902	XP_009106530.2	AL2G38580
OG0010903	XP_009106458.1, XP_009128274.1	AL2G38400
OG0010904	XP_033131594.1	AL2G38360
OG0010905	XP_009106429.1	AL2G38140
OG0010906	XP_009106416.1, XP_009104607.1	AL2G37950
OG0010907	XP_009128236.1	AL2G37810
OG0010908	XP_009128226.1	AL2G37630
OG0010909	XP_018512906.1, XP_009143644.2	AL2G37610
OG0010910	XP_009106390.1	AL2G37440
OG0010911	XP_009106372.1	AL2G37260
OG0010912	XP_009128184.2, XP_009106325.1	AL2G36720
OG0010913	XP_009113931.1	AL3G33850
OG0010914	XP_009123259.1	AL5G20890
OG0010915	XP_009106285.1	AL2G36360
OG0010916	XP_009117240.1	AL4G14350, AL4G14370
OG0010917	XP_033132298.1	AL2G36100
OG0010918	XP_009119611.1	AL1G12190
OG0010919	XP_009106218.1, XP_009128126.2	AL2G35680
OG0010920	XP_009104711.1	AL2G35250
OG0010921	XP_009104721.2, XP_009128075.2	AL2G35060
OG0010922	XP_018508770.1, XP_018512358.1	AL2G35020
OG0010923	XP_009112433.1, XP_009121108.1	AL3G50430
OG0010924	XP_009112436.1	AL3G50440
OG0010925	XP_009121097.1	AL3G50620
OG0010926	XP_009145808.1	AL3G32700
OG0010927	XP_009132437.1	AL8G29890
OG0010928	XP_009149903.2	AL5G26750
OG0010929	XP_009149902.1	AL5G26790
OG0010930	XP_009102018.1	AL1G64610
OG0010931	XP_009106805.1	AL1G64350
OG0010932	XP_009147514.1, XP_009103741.1	AL1G63340
OG0010933	XP_009106938.1	AL1G62810
OG0010934	XP_009107469.2, XP_009124429.2	AL1G52570
OG0010935	XP_033147006.1	AL1G62390
OG0010936	XP_009123972.2	AL1G62310
OG0010937	XP_018514985.1	AL1G62070
OG0010938	XP_009106969.1	AL1G62030
OG0010939	XP_009106999.1	AL1G61580
OG0010940	XP_033135517.1, XP_033134868.1	AL4G18970
OG0010941	XP_009147622.2	AL1G61520
OG0010942	XP_009143613.1	AL4G32220
OG0010943	XP_033143085.1, XP_009143607.1	AL4G32310
OG0010944	XP_009141569.1, XP_009143606.1	AL4G32320
OG0010945	XP_009141588.1, XP_009143587.1	AL4G32550
OG0010946	XP_033147789.1, XP_009133087.2	AL4G32650, nbis-gene-627
OG0010947	XP_009141603.1, XP_033146940.1	AL4G32820
OG0010948	XP_009149896.1	AL5G23540
OG0010949	XP_009149752.1	AL5G23350
OG0010950	XP_009150307.1	AL5G22600
OG0010951	XP_009129311.1	AL5G19080
OG0010952	XP_009108076.1	AL7G43640
OG0010953	XP_009124260.1	AL7G44570
OG0010954	XP_033138782.1, XP_009124172.1	AL8G27450
OG0010955	XP_009118896.1	AL8G24180
OG0010956	XP_009118904.1	AL8G23910
OG0010957	XP_009108067.1	nbis-gene-1881
OG0010958	XP_009139643.1	AL9U10790
OG0010959	XP_009144638.2	AL9U10380
OG0010961	XP_009107494.1	AL7G42550
OG0010962	XP_009139569.1	AL7G42420
OG0010963	XP_009144770.1	AL3G43890
