"Cardamine_amara"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"evm.model.RL_5.2768"	"AT1G31880.2, AT2G21030.1"	"AT1G31880.2"	"AT1G31880.2, AT2G21030.1"	"N0.HOG0003982"	"AT1G31880.2, AT2G21030.1"	"OG0001010"	"AT1G31880.2, AT2G21030.1, AT2G35600.1"	"AT1G31880.2"	347	358	99	96	346	91.618	665	"AT1G31880.2"	91.618	346	27	2	1	346	15	358	0	665	99	347	358
"evm.model.RL_5.2769"	"AT1G31870.1"	"AT1G31870.1"	"AT1G31870.1"	"N0.HOG0021729"	"AT1G31870.1"	"OG0015166"	"AT1G31870.1"	"AT1G31870.1"	565	561	99	99	563	83.659	856	"AT1G31870.1"	84.369	563	81	4	6	564	2	561	0	882	99	565	561
"evm.model.RL_5.277"	"AT1G04240.2"	"AT1G04240.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04240.2"	78.788	99	14	2	1	92	101	199	3.34e-48	155	81	113	289
"evm.model.RL_5.2770"	"AT1G31860.1"	"AT1G31860.1"	"AT1G31860.1"	"N0.HOG0015880"	"AT1G31860.1"	"OG0009667"	"AT1G31860.1"	"AT1G31860.1"	283	281	99	100	282	92.908	516	"AT1G31860.1"	92.908	282	19	1	1	282	1	281	0	534	99	283	281
"evm.model.RL_5.2771"	"AT1G31850.1"	"AT1G31850.1"	"AT1G31850.1"	"N0.HOG0015879"	"AT1G31850.1"	"OG0009666"	"AT1G31850.1"	"AT1G31850.1"	604	603	99	100	603	96.186	1222	"AT1G31850.1"	96.186	603	23	0	1	603	1	603	0	1222	99	604	603
"evm.model.RL_5.2772"	"AT1G31840.1"	"AT1G31840.1"	"AT1G31840.1"	"N0.HOG0025864"	"AT1G31840.1"	"OG0019130"	"AT1G31840.1"	"AT1G31840.1"	843	840	98	100	830	81.302	1377	"AT1G31840.1"	81.566	830	146	3	15	842	16	840	0	1390	98	843	840
"evm.model.RL_5.2773"	"AT1G49260.1"	"AT1G49260.1"	"AT1G49260.1"	NA	NA	"OG0013827"	"AT1G49260.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G49260.1"	43.564	101	46	3	13	112	56	146	6.79e-19	77	73	137	149
"evm.model.RL_5.2774.1.687c88bd"	"AT1G31830.1"	"AT1G31830.1"	"AT1G31830.1"	"N0.HOG0023518"	"AT1G31830.1"	"OG0016906"	"AT1G31830.1"	"AT1G31830.1"	495	495	99	100	495	92.525	909	"AT1G31830.1"	92.525	495	36	1	1	494	1	495	0	929	99	495	495
"evm.model.RL_5.2775"	"AT1G31820.1"	"AT1G31820.1"	"AT1G31820.1"	"N0.HOG0026133"	"AT1G31820.1"	"OG0019380"	"AT1G31820.1"	"AT1G31820.1"	476	482	99	100	483	84.472	797	"AT1G31820.1"	84.472	483	66	2	1	475	1	482	0	797	99	476	482
"evm.model.RL_5.2776"	"AT1G56270.1"	"AT1G56270.1"	NA	NA	NA	"OG0001394"	"AT1G56270.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G56270.1"	43.357	143	67	3	14	146	11	149	4.35e-26	96.7	84	158	162
"evm.model.RL_5.2777"	"AT1G31817.1"	"AT1G31817.1"	"AT1G31817.1"	"N0.HOG0014692"	"AT1G31817.1"	"OG0008550"	"AT1G31817.1"	"AT1G31817.1"	311	314	99	100	314	83.758	520	"AT1G31817.1"	83.758	314	47	2	1	310	1	314	0	520	99	311	314
"evm.model.RL_5.2778"	"AT1G31814.1"	"AT1G31814.1"	"AT1G31814.1"	"N0.HOG0025659"	"AT1G31814.1"	"OG0018943"	"AT1G31814.1"	"AT1G31814.1"	474	473	97	100	464	82.543	731	"AT1G31814.1"	82.543	464	71	5	1	458	1	460	0	731	97	474	473
"evm.model.RL_5.2779.1.687c88bd"	"AT1G31812.1"	"AT1G31812.1"	"AT1G31812.1"	"N0.HOG0010951"	"AT1G31812.1"	"OG0005215"	"AT1G31812.1"	"AT1G31812.1"	133	92	67	97	89	89.888	166	"AT1G31812.1"	89.888	89	9	0	43	131	3	91	1.08e-54	166	67	133	92
"evm.model.RL_5.278"	"AT1G04250.1"	"AT1G04250.1"	"AT1G04250.1"	"N0.HOG0009661"	"AT1G04250.1"	"OG0004159"	"AT1G04250.1"	"AT1G04250.1"	231	229	99	100	230	93.043	442	"AT1G04250.1"	93.043	230	15	1	1	230	1	229	2.59e-160	442	99	231	229
"evm.model.RL_5.2780"	"AT1G31810.1"	"AT1G31810.1"	"AT1G31810.1"	"N0.HOG0010477"	"AT1G31810.1"	"OG0004816"	"AT1G31810.1"	"AT1G31810.1"	1202	1230	99	100	1255	82.948	1810	"AT1G31810.1"	82.948	1255	135	6	1	1201	1	1230	0	1810	99	1202	1230
"evm.model.RL_5.2781"	"AT1G31800.1"	"AT1G31800.1"	"AT1G31800.1"	"N0.HOG0021272"	"AT1G31800.1"	"OG0014713"	"AT1G31800.1"	"AT1G31800.1"	595	595	99	100	595	93.277	1095	"AT1G31800.1"	93.277	595	39	1	1	594	1	595	0	1095	99	595	595
"evm.model.RL_5.2782"	"AT1G31790.1"	"AT1G31790.1"	"AT1G31790.1"	"N0.HOG0019838"	"AT1G31790.1"	"OG0013334"	"AT1G31790.1"	"AT1G31790.1"	406	409	99	100	409	84.597	701	"AT1G31790.1"	84.597	409	59	2	1	405	1	409	0	701	99	406	409
"evm.model.RL_5.2783"	"AT1G31780.1"	"AT1G31780.1"	"AT1G31780.1"	"N0.HOG0021271"	"AT1G31780.1"	"OG0014712"	"AT1G31780.1"	"AT1G31780.1"	681	680	99	100	680	96.029	1347	"AT1G31780.1"	96.029	680	27	0	1	680	1	680	0	1347	99	681	680
"evm.model.RL_5.2784"	"AT1G31770.1"	"AT1G31770.1"	"AT1G31770.1"	"N0.HOG0014691"	"AT1G31770.1"	"OG0008549"	"AT1G31770.1"	"AT1G31770.1"	685	648	93	100	648	93.981	1262	"AT1G31770.1"	93.981	648	30	1	46	684	1	648	0	1262	93	685	648
"evm.model.RL_5.2785"	"AT1G31760.1"	"AT1G31760.1"	"AT1G31760.1"	"N0.HOG0008320"	"AT2G35605.1, AT1G31760.1"	"OG0003280"	"AT1G31760.1, AT2G35605.1"	"AT1G31760.1"	116	112	99	100	115	75.652	167	"AT1G31760.1"	76.522	115	24	1	1	115	1	112	1.07e-58	176	99	116	112
"evm.model.RL_5.2786"	"AT1G31750.1"	"AT1G31750.1"	"AT1G31750.1"	"N0.HOG0016974"	"AT1G31750.1, AT2G04063.1"	"OG0010686"	"AT1G31750.1, AT2G04063.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G04063.1"	68.889	90	18	3	87	167	24	112	1.07e-18	76.6	48	168	112
"evm.model.RL_5.2787"	"AT1G31740.1"	"AT1G31740.1"	"AT1G31740.1"	"N0.HOG0003936"	"AT1G31740.1"	"OG0000987"	"AT1G31740.1"	"AT1G31740.1"	821	779	99	100	820	87.805	1491	"AT1G31740.1"	87.805	820	59	2	1	820	1	779	0	1491	99	821	779
"evm.model.RL_5.2788"	"AT1G31730.1"	"AT1G31730.1"	"AT1G31730.1"	"N0.HOG0012070"	"AT1G31730.1"	"OG0006169"	"AT1G31730.1"	"AT1G31730.1"	943	938	99	100	942	95.754	1857	"AT1G31730.1"	95.754	942	36	2	1	942	1	938	0	1857	99	943	938
"evm.model.RL_5.2789"	"AT1G31720.1"	"AT1G31720.1"	"AT1G31720.1"	"N0.HOG0015878"	"AT1G31720.1"	"OG0009665"	"AT1G31720.1"	"AT1G31720.1"	185	194	99	100	194	79.897	287	"AT1G31720.1"	79.897	194	29	1	1	184	1	194	2.51e-100	287	99	185	194
"evm.model.RL_5.279"	"AT1G04260.1"	"AT1G04260.1"	"AT1G04260.1"	"N0.HOG0010655"	"AT1G04260.1"	"OG0004967"	"AT1G04260.1"	"AT1G04260.1"	179	182	99	100	182	90.11	321	"AT1G04260.1"	90.11	182	14	1	1	178	1	182	6.06e-114	321	99	179	182
"evm.model.RL_5.2790"	"AT1G31650.1"	"AT1G31650.1"	"AT1G31650.1"	"N0.HOG0009176"	"AT1G31650.1"	"OG0003829"	"AT1G31650.1"	"AT1G31650.1"	559	576	99	100	576	90.799	1033	"AT1G31650.1"	90.799	576	35	3	1	558	1	576	0	1033	99	559	576
"evm.model.RL_5.2791"	"AT1G31600.1"	"AT1G31600.1"	"AT1G31600.1"	"N0.HOG0018028"	"AT1G31600.1"	"OG0011636"	"AT1G31600.1"	"AT1G31600.1"	348	431	99	80	346	87.861	605	"AT1G31600.1"	87.861	346	41	1	1	346	86	430	0	631	99	348	431
"evm.model.RL_5.2792"	"AT1G40390.1, AT1G43760.1"	"AT1G43760.1"	NA	NA	NA	"OG0000021"	"AT1G40390.1, AT1G43760.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G18880.1"	54.181	299	133	1	910	1208	1	295	6e-110	346	25	1209	295
"evm.model.RL_5.2793"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G07760.1"	35.659	129	83	0	259	387	210	338	3.45e-17	84.3	23	553	530
"evm.model.RL_5.2794"	"AT1G31530.1"	"AT1G31530.1"	"AT1G31530.1"	"N0.HOG0029220"	"AT1G31530.1"	"OG0022169"	"AT1G31530.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G31530.1"	61.538	299	80	7	45	327	2	281	8.66e-116	335	86	330	283
"evm.model.RL_5.2795.1.687c88bd"	"AT1G31500.7"	"AT1G31500.7"	"AT1G31500.7"	"N0.HOG0013521"	"AT1G31500.7"	"OG0007459"	"AT1G31500.7"	"AT1G31500.7"	394	422	99	100	431	80.046	683	"AT1G31500.7"	80.046	431	38	6	1	392	1	422	0	683	99	394	422
"evm.model.RL_5.2796"	"AT1G31490.1"	"AT1G31490.1"	"AT1G31490.1"	"N0.HOG0023294"	"AT1G31490.1"	"OG0016685"	"AT1G31490.1"	"AT1G31490.1"	445	444	99	100	444	88.288	809	"AT1G31490.1"	88.288	444	52	0	1	444	1	444	0	830	99	445	444
"evm.model.RL_5.2797.4.687c88bd"	"AT1G31480.1"	"AT1G31480.1"	"AT1G31480.1"	"N0.HOG0013520"	"AT1G31480.1"	"OG0007458"	"AT1G31480.1"	"AT1G31480.1"	943	933	99	100	937	89.968	1751	"AT1G31480.1"	89.968	937	90	1	6	942	1	933	0	1751	99	943	933
"evm.model.RL_5.2798"	"AT1G31470.1"	"AT1G31470.1"	"AT1G31470.1"	"N0.HOG0023293"	"AT1G31470.1"	"OG0016684"	"AT1G31470.1"	"AT1G31470.1"	589	582	99	100	589	90.153	1030	"AT1G31470.1"	90.153	589	50	3	1	588	1	582	0	1030	99	589	582
"evm.model.RL_5.2799"	"AT1G31460.1"	"AT1G31460.1"	"AT1G31460.1"	"N0.HOG0021270"	"AT1G31460.1"	"OG0014711"	"AT1G31460.1"	"AT1G31460.1"	308	301	99	100	315	78.095	407	"AT1G31460.1"	78.095	315	47	9	1	307	1	301	1.36e-147	416	99	308	301
"evm.model.RL_5.28"	"AT1G01453.2"	"AT1G01453.2"	"AT1G01453.2"	"N0.HOG0024700"	"AT1G01453.2"	"OG0018048"	"AT1G01453.2"	"AT1G01453.2"	269	289	98	91	266	81.955	393	"AT1G01453.2"	81.955	266	41	2	1	263	1	262	8.37e-142	399	98	269	289
"evm.model.RL_5.280"	"AT1G04270.1"	"AT1G04270.1"	"AT1G04270.1"	"N0.HOG0002134"	"AT1G04270.1, AT5G09510.1"	"OG0000358"	"AT1G04270.1, AT1G33850.1, AT5G09490.1, AT5G09500.1, AT5G09510.1, AT5G43640.1"	"AT1G04270.1"	153	152	99	100	152	97.368	301	"AT1G04270.1"	97.368	152	4	0	1	152	1	152	4.15e-107	301	99	153	152
"evm.model.RL_5.2800"	"AT1G31450.1"	"AT1G31450.1"	"AT1G31450.1"	"N0.HOG0004229"	"AT1G31450.1"	"OG0001125"	"AT1G31450.1, AT2G35615.1"	"AT1G31450.1"	445	445	99	100	445	87.416	770	"AT1G31450.1"	87.416	445	55	1	1	444	1	445	0	770	99	445	445
"evm.model.RL_5.2801.1.687c88bd"	"AT1G31440.1"	"AT1G31440.1"	"AT1G31440.1"	"N0.HOG0018027"	"AT1G31440.1"	"OG0011635"	"AT1G31440.1"	"AT1G31440.1"	464	439	99	100	470	84.894	796	"AT1G31440.1"	84.894	470	33	2	1	463	1	439	0	796	99	464	439
"evm.model.RL_5.2802"	"AT1G31430.1"	"AT1G31430.1"	"AT1G31430.1"	"N0.HOG0019379"	"AT1G31430.1"	"OG0012888"	"AT1G31430.1"	"AT1G31430.1"	547	570	99	100	570	85.263	1001	"AT1G31430.1"	85.263	570	60	1	1	546	1	570	0	1001	99	547	570
"evm.model.RL_5.2803"	"AT1G31420.1"	"AT1G31420.1"	"AT1G31420.1"	"N0.HOG0006648"	"AT1G31420.1, AT2G35620.1"	"OG0002354"	"AT1G31420.1, AT2G35620.1"	"AT1G31420.1"	593	592	99	100	592	93.75	1120	"AT1G31420.1"	93.75	592	37	0	1	592	1	592	0	1120	99	593	592
"evm.model.RL_5.2804"	"AT1G31410.1"	"AT1G31410.1"	"AT1G31410.1"	"N0.HOG0023292"	"AT1G31410.1"	"OG0016683"	"AT1G31410.1"	"AT1G31410.1"	524	524	99	99	522	86.398	893	"AT1G31410.1"	86.398	522	67	2	1	518	1	522	0	893	99	524	524
"evm.model.RL_5.2805"	"AT1G31360.3"	"AT1G31360.3"	"AT1G31360.3"	"N0.HOG0021269"	"AT1G31360.3"	"OG0014710"	"AT1G31360.3"	"AT1G31360.3"	706	739	99	94	697	93.892	1360	"AT1G31360.3"	93.892	704	42	1	1	703	35	738	0	1370	99	706	739
"evm.model.RL_5.2806"	"AT1G31350.2"	"AT1G31350.2"	"AT1G31350.2"	"N0.HOG0011917"	"AT1G31350.2"	"OG0006034"	"AT1G31350.2"	"AT1G31350.2"	389	431	99	89	389	85.861	635	"AT1G31350.2"	85.861	389	50	2	1	388	47	431	0	635	99	389	431
"evm.model.RL_5.2807"	"AT1G31340.1"	"AT1G31340.1"	"AT1G31340.1"	"N0.HOG0006017"	"AT1G31340.1, AT2G35635.1"	"OG0002019"	"AT1G31340.1, AT2G35635.1"	"AT1G31340.1"	157	156	99	100	156	98.077	303	"AT1G31340.1"	98.077	156	3	0	1	156	1	156	1.18e-107	303	99	157	156
"evm.model.RL_5.2808"	"AT1G31330.1"	"AT1G31330.1"	"AT1G31330.1"	"N0.HOG0012069"	"AT1G31330.1"	"OG0006168"	"AT1G31330.1"	"AT1G31330.1"	221	221	99	100	221	94.118	427	"AT1G31330.1"	94.118	221	12	1	1	220	1	221	6.58e-155	427	99	221	221
"evm.model.RL_5.2809"	"AT1G31320.1"	"AT1G31320.1"	"AT1G31320.1"	"N0.HOG0019378"	"AT1G31320.1"	"OG0012887"	"AT1G31320.1"	"AT1G31320.1"	173	172	99	100	172	96.512	347	"AT1G31320.1"	96.512	172	6	0	1	172	1	172	1.31e-124	347	99	173	172
"evm.model.RL_5.281"	"AT1G04280.1"	"AT1G04280.1"	"AT1G04280.1"	"N0.HOG0013123"	"AT1G04280.1"	"OG0007099"	"AT1G04280.1"	"AT1G04280.1"	531	534	99	100	537	86.22	863	"AT1G04280.1"	86.22	537	64	4	1	530	1	534	0	863	99	531	534
"evm.model.RL_5.2810"	"AT1G31310.1"	"AT1G31310.1"	NA	"N0.HOG0007928"	"AT1G31310.1, AT2G35640.1"	"OG0003038"	"AT1G31310.1, AT2G35640.1"	"AT1G31310.1"	386	383	98	100	391	80.818	482	"AT1G31310.1"	82.097	391	49	10	1	378	1	383	3.28e-175	493	98	386	383
"evm.model.RL_5.2811"	"AT1G31300.1"	"AT1G31300.1"	"AT1G31300.1"	"N0.HOG0014690"	"AT1G31300.1"	"OG0008548"	"AT1G31300.1"	"AT1G31300.1"	279	278	99	100	278	98.201	561	"AT1G31300.1"	98.201	278	5	0	1	278	1	278	0	561	99	279	278
"evm.model.RL_5.2812"	"AT1G31280.1"	"AT1G31280.1"	"AT1G31280.1"	"N0.HOG0009823"	"AT1G31280.1, AT1G31290.1"	"OG0004284"	"AT1G31280.1, AT1G31290.1"	"AT1G31280.1"	1055	1014	94	94	990	82.929	1643	"AT1G31280.1"	82.929	990	132	8	67	1054	60	1014	0	1650	94	1055	1014
"evm.model.RL_5.2813"	"AT1G31260.1"	"AT1G31260.1"	"AT1G31260.1"	"N0.HOG0009175"	"AT1G31260.1"	"OG0003828"	"AT1G31260.1"	"AT1G31260.1"	370	364	99	100	369	82.656	594	"AT1G31260.1"	84.011	369	54	2	1	369	1	364	0	626	99	370	364
"evm.model.RL_5.2814"	"AT1G31240.1"	"AT1G31240.1"	"AT1G31240.1"	"N0.HOG0018026"	"AT1G31240.1"	"OG0011634"	"AT1G31240.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G31240.1"	69.858	282	70	5	2	277	3	275	6.62e-126	359	99	280	277
"evm.model.RL_5.2815"	"AT1G31230.1"	"AT1G31230.1"	"AT1G31230.1"	"N0.HOG0018025"	"AT1G31230.1"	"OG0011633"	"AT1G31230.1"	"AT1G31230.1"	913	911	99	100	912	95.943	1803	"AT1G31230.1"	95.943	912	36	1	1	912	1	911	0	1803	99	913	911
"evm.model.RL_5.2816"	"AT1G31220.1"	"AT1G31220.1"	"AT1G31220.1"	"N0.HOG0013803"	"AT1G31220.1"	"OG0007715"	"AT1G31220.1"	"AT1G31220.1"	293	292	99	100	293	86.689	506	"AT1G31220.1"	86.689	293	37	2	1	292	1	292	0	506	99	293	292
"evm.model.RL_5.2817"	"AT1G10170.4"	"AT1G10170.4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G10170.4"	71.083	1200	237	19	1	1105	1	1185	0	1650	99	1109	1209
"evm.model.RL_5.2818"	"AT1G31200.1"	"AT1G31200.1"	"AT1G31200.1"	"N0.HOG0008280"	"AT1G31200.1"	"OG0003255"	"AT1G10155.1, AT1G31200.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G10155.1"	71.186	177	50	1	5	180	8	184	1.53e-94	272	97	181	184
"evm.model.RL_5.2819"	"AT1G31190.1"	"AT1G31190.1"	"AT1G31190.1"	"N0.HOG0018024"	"AT1G31190.1"	"OG0011632"	"AT1G31190.1"	"AT1G31190.1"	372	371	99	100	371	91.105	706	"AT1G31190.1"	91.105	371	33	0	1	371	1	371	0	706	99	372	371
"evm.model.RL_5.282"	"AT1G04290.1"	"AT1G04290.1"	"AT1G04290.1"	"N0.HOG0018094"	"AT1G04290.1"	"OG0011698"	"AT1G04290.1"	"AT1G04290.1"	161	155	99	100	160	80.625	257	"AT1G04290.1"	80.625	160	26	1	1	160	1	155	1.38e-89	257	99	161	155
"evm.model.RL_5.2820"	"AT1G31175.1"	"AT1G31175.1"	"AT1G31175.1"	"N0.HOG0025370"	"AT1G31175.1"	"OG0018676"	"AT1G31175.1"	"AT1G31175.1"	89	118	99	75	88	88.636	160	"AT1G31175.1"	88.636	88	10	0	1	88	31	118	7.9e-53	160	99	89	118
"evm.model.RL_5.2821"	"AT1G31170.4"	"AT1G31170.4"	"AT1G31170.4"	"N0.HOG0023291"	"AT1G31170.4"	"OG0016682"	"AT1G31170.4"	"AT1G31170.4"	126	198	96	61	121	95.868	238	"AT1G31170.4"	95.868	121	5	0	1	121	1	121	5.39e-82	238	96	126	198
"evm.model.RL_5.2822"	"AT1G31160.1"	"AT1G31160.1"	"AT1G31160.1"	"N0.HOG0021268"	"AT1G31160.1"	"OG0014709"	"AT1G31160.1"	"AT1G31160.1"	183	187	99	100	187	87.701	287	"AT1G31160.1"	87.701	187	18	3	1	182	1	187	2.4e-101	289	99	183	187
"evm.model.RL_5.2823"	"AT1G31140.2"	"AT1G31140.2"	"AT1G31140.2"	"N0.HOG0025658"	"AT1G31140.2"	"OG0018942"	"AT1G31140.2"	"AT1G31140.2"	257	215	79	89	204	76.471	290	"AT1G31140.2"	76.471	204	34	3	1	203	1	191	7.84e-100	290	79	257	215
"evm.model.RL_5.2824"	"AT1G31130.1"	"AT1G31130.1"	"AT1G31130.1"	"N0.HOG0013519"	"AT1G31130.1"	"OG0007457"	"AT1G31130.1"	"AT1G31130.1"	322	321	99	100	321	92.523	564	"AT1G31130.1"	92.523	321	24	0	1	321	1	321	0	564	99	322	321
"evm.model.RL_5.2825"	"AT1G31120.1"	"AT1G31120.1"	"AT1G31120.1"	"N0.HOG0007207"	"AT2G35060.2, AT1G31120.1"	"OG0002629"	"AT1G31120.1, AT2G35060.2"	"AT1G31120.1"	795	796	99	100	797	94.228	1452	"AT1G31120.1"	94.228	797	42	4	1	794	1	796	0	1452	99	795	796
"evm.model.RL_5.2826"	"AT1G31070.2"	"AT1G31070.2"	"AT1G31070.2"	"N0.HOG0005466"	"AT2G35020.1, AT1G31070.2"	"OG0001737"	"AT1G31070.2, AT2G35020.1"	"AT1G31070.2"	512	505	99	100	511	95.499	1016	"AT1G31070.2"	95.499	511	17	1	1	511	1	505	0	1016	99	512	505
"evm.model.RL_5.2827"	"AT1G16022.1"	"AT1G16022.1"	"AT1G16022.1"	"N0.HOG0017493"	"AT1G16022.1"	"OG0011154"	"AT1G16022.1"	"AT1G16022.1"	120	123	79	93	97	71.053	104	"AT1G16022.1"	72.165	97	25	2	17	111	19	115	2.96e-30	104	79	120	123
"evm.model.RL_5.2828"	"AT1G16020.1"	"AT1G16020.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G16020.1"	85.903	227	32	0	51	277	289	515	4.97e-143	411	82	278	515
"evm.model.RL_5.2829"	"AT1G31050.6"	"AT1G31050.6"	"AT1G31050.6"	"N0.HOG0019377"	"AT1G31050.6"	"OG0012886"	"AT1G31050.6"	"AT1G31050.6"	433	438	99	100	440	89.318	778	"AT1G31050.6"	89.318	440	37	6	1	432	1	438	0	797	99	433	438
"evm.model.RL_5.283"	"AT1G04300.3"	"AT1G04300.3"	"AT1G04300.3"	"N0.HOG0004855"	"AT1G04300.3"	"OG0001430"	"AT1G04300.3, AT5G43560.1"	"AT1G04300.3"	1080	1082	99	100	1093	80.878	1687	"AT1G04300.3"	80.878	1093	184	10	1	1079	1	1082	0	1687	99	1080	1082
"evm.model.RL_5.2830"	"AT1G31040.1"	"AT1G31040.1"	"AT1G31040.1"	"N0.HOG0012577"	"AT1G31040.1"	"OG0006598"	"AT1G31040.1"	"AT1G31040.1"	245	243	99	94	229	92.576	426	"AT1G31040.1"	92.623	244	17	1	1	244	1	243	2.98e-155	430	99	245	243
"evm.model.RL_5.2831"	"AT1G31020.1"	"AT1G31020.1"	"AT1G31020.1"	"N0.HOG0019376"	"AT1G31020.1"	"OG0012885"	"AT1G31020.1"	"AT1G31020.1"	160	159	99	100	159	85.535	288	"AT1G31020.1"	85.535	159	23	0	1	159	1	159	7.01e-102	288	99	160	159
"evm.model.RL_5.2832"	"AT1G31010.1"	"AT1G31010.1"	"AT1G31010.1"	"N0.HOG0015876"	"AT1G31010.1"	"OG0009664"	"AT1G31010.1"	"AT1G31010.1"	366	360	98	99	360	78.889	535	"AT1G31010.1"	78.889	360	74	2	1	360	1	358	0	535	98	366	360
"evm.model.RL_5.2833"	"AT1G30974.1, AT1G30972.1"	"AT1G30974.1"	"AT1G30974.1, AT1G30972.1"	"N0.HOG0025754"	"AT1G30974.1, AT1G30972.1"	"OG0019034"	"AT1G30972.1, AT1G30974.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G30974.1"	64.706	68	24	0	1	68	1	68	4.91e-30	100	94	72	79
"evm.model.RL_5.2834"	"AT1G30974.1, AT1G30972.1"	"AT1G30974.1"	"AT1G30974.1, AT1G30972.1"	"N0.HOG0025754"	"AT1G30974.1, AT1G30972.1"	"OG0019034"	"AT1G30972.1, AT1G30974.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G30974.1"	66.176	68	23	0	1	68	1	68	9.27e-31	102	94	72	79
"evm.model.RL_5.2835"	"AT1G30970.3"	"AT1G30970.3"	"AT1G30970.3"	"N0.HOG0014924"	"AT1G30970.3"	"OG0008768"	"AT1G30970.3"	"AT1G30970.3"	388	391	98	98	384	86.458	642	"AT1G30970.3"	86.458	384	47	4	1	380	1	383	0	660	98	388	391
"evm.model.RL_5.2836"	"AT1G30960.1"	"AT1G30960.1"	"AT1G30960.1"	"N0.HOG0014947"	"AT1G30960.1"	"OG0008791"	"AT1G30960.1"	"AT1G30960.1"	436	437	99	100	438	90.411	750	"AT1G30960.1"	90.639	438	37	2	1	435	1	437	0	750	99	436	437
"evm.model.RL_5.2837"	"AT1G30950.1"	"AT1G30950.1"	"AT1G30950.1"	"N0.HOG0021723"	"AT1G30950.1"	"OG0015160"	"AT1G30950.1"	"AT1G30950.1"	444	442	99	99	442	94.57	844	"AT1G30950.1"	94.57	442	21	2	1	440	1	441	0	844	99	444	442
"evm.model.RL_5.2838"	"AT1G30910.1"	"AT1G30910.1"	"AT1G30910.1"	"N0.HOG0017197"	"AT1G30910.1"	"OG0010883"	"AT1G30910.1"	"AT1G30910.1"	326	318	95	97	310	90.323	583	"AT1G30910.1"	90.323	310	30	0	16	325	9	318	0	583	95	326	318
"evm.model.RL_5.2839"	"AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1"	"AT1G33020.1"	NA	"N0.HOG0000256"	"AT1G31080.1, AT1G31090.1, AT1G67130.1, AT1G30920.1, AT5G42430.1, AT1G33010.1, AT1G33020.1, AT1G30925.1, AT1G30930.1, AT5G38810.2, AT3G57580.1, AT3G56890.1, AT3G57590.1"	"OG0000027"	"AT1G30920.1, AT1G30925.1, AT1G30930.1, AT1G31080.1, AT1G31090.1, AT1G33010.1, AT1G33020.1, AT1G60370.1, AT1G67130.1, AT3G56890.1, AT3G57580.1, AT3G57590.1, AT5G38810.2, AT5G42430.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G33020.1"	50.955	471	166	11	1	436	40	480	7.28e-134	400	79	551	548
"evm.model.RL_5.284"	"AT1G04310.1"	"AT1G04310.1"	"AT1G04310.1"	"N0.HOG0015379"	"AT1G04310.1"	"OG0009214"	"AT1G04310.1"	"AT1G04310.1"	632	645	99	97	623	82.972	1040	"AT1G04310.1"	82.972	646	93	6	1	630	1	645	0	1040	99	632	645
"evm.model.RL_5.2840"	"AT1G30900.1"	"AT1G30900.1"	"AT1G30900.1"	"N0.HOG0006998"	"AT1G30900.1"	"OG0002527"	"AT1G30900.1, AT2G34940.1"	"AT1G30900.1"	632	631	99	100	631	96.83	1281	"AT1G30900.1"	96.83	631	20	0	1	631	1	631	0	1281	99	632	631
"evm.model.RL_5.2841"	"AT1G30890.1"	"AT1G30890.1"	"AT1G30890.1"	"N0.HOG0005123"	"AT1G30890.1"	"OG0001570"	"AT1G30890.1, AT3G59500.1"	"AT1G30890.1"	270	269	99	99	268	97.761	534	"AT1G30890.1"	97.761	268	6	0	1	268	1	268	0	534	99	270	269
