"Euclidium_syriacum"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"ESY3_g30201_DN3_SP0_c0.t1"	516	"AT1G24540.1"	"AT1G24540.1"	"orthologue"	"AT1G24540.1"	"N0.HOG0020402"	"AT1G24540.1"	"OG0013875"	"AT1G24540.1"	"AT1G24540.1"	517	522	99	99	518	83.591	907	"AT1G24540.1"	"83.591"	"518"	"81"	"2"	"1"	"514"	"3"	"520"	"0"	"907"	"99"	"517"	"522"
"ESY3_g30202_DN3_SP0_c0.t1"	61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30205_DN3_SP0_c0.t1"	71	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30206_DN3_SP0_c9.t1"	1163	"AT3G13380.1"	"AT3G13380.1"	"orthologue"	"AT3G13380.1"	"N0.HOG0006599"	"AT3G13380.1"	"OG0002326"	"AT1G55610.1, AT3G13380.1"	"AT3G13380.1"	1164	1164	99	100	1164	87.457	1992	"AT3G13380.1"	"87.457"	"1164"	"145"	"1"	"1"	"1163"	"1"	"1164"	"0"	"2022"	"99"	"1164"	"1164"
"ESY3_g30207_DN3_SP8_c0.t1"	554	"AT3G13390.1"	"AT3G13390.1"	"orthologue"	"AT3G13390.1"	"N0.HOG0004532"	"AT3G13390.1"	"OG0001264"	"AT1G55570.1, AT3G13390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G55570.1"	"90.942"	"552"	"50"	"0"	"3"	"554"	"4"	"555"	"0"	"1046"	"99"	"554"	"555"
"ESY3_g30208_DN3_SP8_c0.t1"	550	"AT3G13400.1"	"AT3G13400.1"	"orthologue"	"AT3G13400.1"	"N0.HOG0005063"	"AT3G13400.1"	"OG0001535"	"AT1G55560.1, AT3G13400.1"	"AT3G13400.1"	551	551	99	99	550	93.273	1053	"AT3G13400.1"	"93.273"	"550"	"37"	"0"	"1"	"550"	"1"	"550"	"0"	"1053"	"99"	"551"	"551"
"ESY3_g30209_DN3_SP2_c0.t1"	321	"AT3G13410.1"	"AT3G13410.1"	"orthologue"	"AT3G13410.1"	"N0.HOG0008054"	"AT3G13410.1"	"OG0003111"	"AT3G13410.1"	"AT3G13410.1"	322	321	99	100	321	90.343	595	"AT3G13410.1"	"90.343"	"321"	"31"	"0"	"1"	"321"	"1"	"321"	"0"	"595"	"99"	"322"	"321"
"ESY3_g30210_DN3_SP0_c0.t1"	257	"AT3G13420.3"	"AT3G13420.3"	"orthologue"	"AT3G13420.3"	"N0.HOG0006131"	"AT3G13420.3"	"OG0002071"	"AT1G55535.1, AT3G13420.3"	"AT3G13420.3"	258	264	99	99	264	74.242	384	"AT3G13420.3"	"74.242"	"264"	"59"	"2"	"1"	"256"	"1"	"263"	"2.19e-136"	"384"	"99"	"258"	"264"
"ESY3_g30211_DN3_SP0_c12.t1"	316	"AT3G13430.1"	"AT3G13430.1"	"orthologue"	"AT3G13430.1"	"N0.HOG0006368"	"AT3G13430.1"	"OG0002195"	"AT1G55530.1, AT3G13430.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13430.1"	"69.551"	"312"	"72"	"7"	"1"	"304"	"1"	"297"	"8.45e-145"	"410"	"96"	"317"	"315"
"ESY3_g30212_DN2_SP0_c0.t1"	76	"AT3G13432.1"	"AT3G13432.1"	"orthologue"	"AT3G13432.1"	"N0.HOG0027267"	"AT3G13432.1"	"OG0020390"	"AT3G13432.1"	"AT3G13432.1"	77	71	99	100	76	72.368	91.7	"AT3G13432.1"	"72.368"	"76"	"16"	"1"	"1"	"76"	"1"	"71"	"4.49e-34"	"110"	"99"	"77"	"71"
"ESY3_g30213_DN1_SP0_c0.t1"	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30214_DN2_SP0_c0.t1"	245	"AT3G13440.1"	"AT3G13440.1"	"orthologue"	"AT3G13440.1"	"N0.HOG0014418"	"AT3G13440.1"	"OG0008298"	"AT3G13440.1"	"AT3G13440.1"	246	278	99	88	246	86.585	423	"AT3G13440.1"	"86.585"	"246"	"32"	"1"	"1"	"245"	"33"	"278"	"1.1e-151"	"423"	"99"	"246"	"278"
"ESY3_g30215_DN2_SP0_c0.t1"	328	"AT3G18905.1"	"AT3G18905.1"	"orthologue"	"AT3G18905.1"	"N0.HOG0000900"	"AT3G18905.1"	"OG0000106"	"AT1G25141.1, AT2G07140.1, AT3G18320.1, AT3G18330.1, AT3G18905.1, AT3G18910.1, AT3G18980.1, AT3G19410.1, AT3G25460.1, AT3G44120.1, AT3G49980.2, AT4G09870.1, AT5G47300.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G19410.1, AT3G18910.1"	"43.103, 43.023"	"348, 344"	"144, 158"	"14, 11"	"1, 3"	"325"	"56, 60"	"372, 386"	"1.54e-64, 2.72e-64"	"207"	"99, 98"	"329"	"373, 388"
"ESY3_g30216_DN3_SP8_c0.t1"	200	"AT3G13445.1"	"AT3G13445.1"	"orthologue"	"AT3G13445.1"	"N0.HOG0004302"	"AT3G13445.1"	"OG0001160"	"AT1G55520.1, AT3G13445.1"	"AT3G13445.1"	201	200	99	100	200	99	406	"AT3G13445.1"	"99"	"200"	"2"	"0"	"1"	"200"	"1"	"200"	"3.37e-147"	"406"	"99"	"201"	"200"
"ESY3_g30217_DN3_SP0_c0.t1"	245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G56420.1"	"39.894"	"188"	"104"	"5"	"4"	"187"	"8"	"190"	"2.82e-35"	"129"	"75"	"246"	"422"
"ESY3_g30218_DN1_SP0_c0.t1"	82	"AT5G56420.1"	"AT5G56420.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G56420.1"	"42.466"	"73"	"42"	"0"	"9"	"81"	"349"	"421"	"5.96e-11"	"56.2"	"88"	"83"	"422"
"ESY3_g30219_DN3_SP1_c0.t1"	662	"AT3G13460.1"	"AT3G13460.1"	"orthologue"	"AT3G13460.1"	"N0.HOG0007622"	"AT3G13460.1"	"OG0002864"	"AT1G55500.5, AT3G13460.1"	"AT3G13460.1"	663	667	99	100	678	82.596	1051	"AT3G13460.1"	"83.776"	"678"	"83"	"13"	"1"	"662"	"1"	"667"	"0"	"1093"	"99"	"663"	"667"
"ESY3_g30220_DN3_SP8_c0.t1"	596	"AT3G13470.1"	"AT3G13470.1"	"orthologue"	"AT3G13470.1"	"N0.HOG0003318"	"AT3G13470.1"	"OG0000741"	"AT1G55490.1, AT3G13470.1, AT5G56500.1"	"AT3G13470.1"	597	596	99	100	596	96.98	1155	"AT3G13470.1"	"96.98"	"596"	"18"	"0"	"1"	"596"	"1"	"596"	"0"	"1155"	"99"	"597"	"596"
"ESY3_g30221_DN2_SP0_c0.t1"	219	"AT3G13480.1"	"AT3G13480.1"	"orthologue"	"AT3G13480.1"	"N0.HOG0010379"	"AT3G13480.1"	"OG0004729"	"AT3G13480.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13480.1"	"68.31"	"142"	"37"	"4"	"1"	"135"	"13"	"153"	"9.05e-46"	"149"	"61"	"220"	"172"
"ESY3_g30223_DN1_SP0_c0.t1"	92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G01320.1"	"22.826"	"92"	"65"	"1"	"6"	"91"	"768"	"859"	"0.008"	"33.5"	"92"	"93"	"1372"
"ESY3_g30225_DN3_SP8_c0.t1"	594	"AT3G13490.1"	"AT3G13490.1"	"orthologue"	"AT3G13490.1"	"N0.HOG0017733"	"AT3G13490.1"	"OG0011371"	"AT3G13490.1"	"AT3G13490.1"	595	602	99	100	604	87.914	1019	"AT3G13490.1"	"87.914"	"604"	"61"	"3"	"1"	"594"	"1"	"602"	"0"	"1045"	"99"	"595"	"602"
"ESY3_g30226_DN2_SP0_c0.t1"	112	"AT3G13500.1"	"AT3G13500.1"	"orthologue"	"AT3G13500.1"	"N0.HOG0008573"	"AT3G13500.1"	"OG0003450"	"AT1G55365.1, AT3G13500.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13500.1"	"55.462"	"119"	"44"	"2"	"1"	"112"	"1"	"117"	"8.23e-30"	"103"	"99"	"113"	"117"
"ESY3_g30227_DN3_SP7_c0.t1"	420	"AT3G13510.1"	"AT3G13510.1"	"orthologue"	"AT3G13510.1"	"N0.HOG0007132"	"AT3G13510.1"	"OG0002591"	"AT1G55360.1, AT3G13510.1"	"AT3G13510.1"	421	419	99	100	421	91.449	814	"AT3G13510.1"	"91.449"	"421"	"33"	"2"	"1"	"420"	"1"	"419"	"0"	"814"	"99"	"421"	"419"
"ESY3_g30229_DN3_SP0_c0.t1"	61	"AT3G13520.1"	"AT3G13520.1"	"orthologue"	"AT3G13520.1"	"N0.HOG0002345"	"AT3G13520.1"	"OG0000413"	"AT1G55330.1, AT3G13520.1, AT4G26320.1, AT5G56540.1"	"AT3G13520.1"	62	60	98	100	61	88.525	97.8	"AT3G13520.1"	"88.525"	"61"	"6"	"1"	"1"	"61"	"1"	"60"	"2.43e-29"	"97.8"	"98"	"62"	"60"
"ESY3_g30230_DN3_SP8_c0.t1"	1380	"AT3G07980.1, AT3G13530.1"	"AT3G13530.1"	"orthologue"	"AT3G07980.1, AT3G13530.1"	"N0.HOG0008055"	"AT3G07980.1, AT3G13530.1"	"OG0003112"	"AT3G07980.1, AT3G13530.1"	"AT3G13530.1"	1381	1368	99	100	1382	92.33	2612	"AT3G13530.1"	"92.33"	"1382"	"90"	"5"	"1"	"1380"	"1"	"1368"	"0"	"2612"	"99"	"1381"	"1368"
"ESY3_g30231_DN3_SP3_c0.t1"	256	"AT3G13540.1"	"AT3G13540.1"	"orthologue"	"AT3G13540.1"	"N0.HOG0015583"	"AT3G13540.1"	"OG0009407"	"AT3G13540.1"	"AT3G13540.1"	257	249	95	99	249	81.102	376	"AT3G13540.1"	"82.329"	"249"	"31"	"7"	"4"	"246"	"3"	"244"	"2.21e-136"	"384"	"95"	"257"	"249"
"ESY3_g30232_DN3_SP5_c0.t1"	182	"AT3G13550.1"	"AT3G13550.1"	"orthologue"	"AT3G13550.1"	"N0.HOG0022799"	"AT3G13550.1"	"OG0016222"	"AT3G13550.1"	"AT3G13550.1"	182	182	100	100	182	92.308	351	"AT3G13550.1"	"92.308"	"182"	"14"	"0"	"1"	"182"	"1"	"182"	"5.12e-126"	"351"	"100"	"182"	"182"
"ESY3_g30233_DN3_SP4_c0.t1"	496	"AT3G13560.1"	"AT3G13560.1"	"orthologue"	"AT3G13560.1"	"N0.HOG0024032"	"AT3G13560.1"	"OG0017417"	"AT3G13560.1"	"AT3G13560.1"	496	505	97	96	484	90.289	879	"AT3G13560.1"	"90.289"	"484"	"46"	"1"	"1"	"483"	"1"	"484"	"0"	"885"	"97"	"496"	"505"
"ESY3_g30234_DN3_SP7_c0.t1"	271	"AT3G13570.1"	"AT3G13570.1"	"orthologue"	"AT3G13570.1"	"N0.HOG0006134"	"AT3G13570.1"	"OG0002072"	"AT1G55310.3, AT3G13570.1"	"AT3G13570.1"	271	262	100	94	271	77.491	292	"AT3G13570.1"	"79.336"	"271"	"31"	"6"	"1"	"271"	"1"	"246"	"3e-119"	"341"	"100"	"271"	"262"
"ESY3_g30238_DN3_SP6_c0.t1"	244	"AT3G13580.1"	"AT3G13580.1"	"orthologue"	"AT3G13580.1"	"N0.HOG0003133"	"AT3G13580.1"	"OG0000669"	"AT2G01250.1, AT2G44120.2, AT3G13580.1"	"AT3G13580.1"	245	244	99	100	244	98.361	488	"AT3G13580.1"	"98.361"	"244"	"4"	"0"	"1"	"244"	"1"	"244"	"3.35e-178"	"488"	"99"	"245"	"244"
"ESY3_g30239_DN3_SP0_c13.t1"	507	"AT3G13590.1"	"AT3G13590.1"	"orthologue"	"AT3G13590.1"	"N0.HOG0013280"	"AT3G13590.1"	"OG0007242"	"AT3G13590.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13590.1"	"51.016"	"492"	"211"	"12"	"15"	"497"	"39"	"509"	"1.78e-158"	"460"	"95"	"508"	"513"
"ESY3_g30240_DN3_SP8_c0.t1"	597	"AT3G13600.1"	"AT3G13600.1"	"orthologue"	"AT3G13600.1"	"N0.HOG0010829"	"AT3G13600.1"	"OG0005112"	"AT3G13600.1"	"AT3G13600.1"	598	605	99	99	612	88.562	1032	"AT3G13600.1"	"88.562"	"612"	"43"	"6"	"1"	"596"	"1"	"601"	"0"	"1032"	"99"	"598"	"605"
"ESY3_g30241_DN2_SP0_c0.t1"	69	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30242_DN3_SP8_c0.t1"	361	"AT3G13610.1"	"AT3G13610.1"	"orthologue"	"AT3G13610.1"	"N0.HOG0008920"	"AT3G13610.1"	"OG0003668"	"AT1G55290.1, AT3G13610.1"	"AT3G13610.1"	362	361	99	100	361	91.413	687	"AT3G13610.1"	"91.413"	"361"	"31"	"0"	"1"	"361"	"1"	"361"	"0"	"687"	"99"	"362"	"361"
"ESY3_g30243_DN3_SP0_c0.t1"	476	"AT3G13620.1"	"AT3G13620.1"	"orthologue"	"AT3G13620.1"	"N0.HOG0016682"	"AT3G13620.1"	"OG0010420"	"AT3G13620.1"	"AT3G13620.1"	476	478	100	99	477	85.115	831	"AT3G13620.1"	"85.115"	"477"	"69"	"2"	"1"	"476"	"3"	"478"	"0"	"831"	"100"	"476"	"478"
"ESY3_g30244_DN3_SP0_c0.t1"	184	"AT3G13650.1"	"AT3G13650.1"	"orthologue"	"AT3G13650.1"	"N0.HOG0017926"	"AT3G13650.1"	"OG0011548"	"AT3G13650.1"	"AT3G13650.1"	185	186	99	100	186	82.796	323	"AT3G13650.1"	"82.796"	"186"	"30"	"1"	"1"	"184"	"1"	"186"	"7.44e-115"	"323"	"99"	"185"	"186"
"ESY3_g30245_DN3_SP0_c0.t1"	184	"AT5G49040.1"	"AT5G49040.1"	"other"	NA	"N0.HOG0002274"	"AT5G49040.1"	"OG0000398"	"AT1G55210.1, AT3G13662.1, AT5G49040.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G49040.1"	"74.869"	"191"	"41"	"3"	"1"	"184"	"1"	"191"	"1.25e-100"	"288"	"99"	"185"	"191"
"ESY3_g30246_DN3_SP0_c0.t1"	184	"AT3G13662.1"	"AT3G13662.1"	"orthologue"	"AT3G13662.1"	"N0.HOG0002272"	"AT3G13662.1"	"OG0000398"	"AT1G55210.1, AT3G13662.1, AT5G49040.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G49040.1"	"74.346"	"191"	"42"	"3"	"1"	"184"	"1"	"191"	"1.14e-97"	"280"	"99"	"185"	"191"
"ESY3_g30247_DN3_SP8_c0.t1"	703	"AT3G13670.1"	"AT3G13670.1"	"orthologue"	"AT3G13670.1"	"N0.HOG0010830"	"AT3G13670.1"	"OG0005113"	"AT3G13670.1"	"AT3G13670.1"	704	703	99	100	703	95.306	1355	"AT3G13670.1"	"95.306"	"703"	"33"	"0"	"1"	"703"	"1"	"703"	"0"	"1355"	"99"	"704"	"703"
"ESY3_g30248_DN3_SP0_c0.t1"	218	"AT3G13672.2"	"AT3G13672.2"	"orthologue"	"AT3G13672.2"	"N0.HOG0025475"	"AT3G13672.2"	"OG0018780"	"AT3G13672.2"	"AT3G13672.2"	219	243	97	98	240	70	343	"AT3G13672.2"	"70"	"240"	"44"	"2"	"6"	"218"	"1"	"239"	"4.56e-121"	"343"	"97"	"219"	"243"
"ESY3_g30250_DN3_SP2_c0.t1"	76	"AT3G13677.1"	"AT3G13677.1"	"orthologue"	"AT3G13677.1"	"N0.HOG0022800"	"AT3G13677.1"	"OG0016223"	"AT3G13677.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13677.1"	"79.688"	"64"	"13"	"0"	"1"	"64"	"1"	"64"	"6.38e-31"	"105"	"83"	"77"	"171"
"ESY3_g30251_DN3_SP8_c0.t1"	940	"AT1G42540.1"	"AT1G42540.1"	"orthologue"	"AT1G42540.1"	"N0.HOG0019750"	"AT1G42540.1"	"OG0013249"	"AT1G42540.1"	"AT1G42540.1"	941	933	99	100	943	88.547	1691	"AT1G42540.1"	"88.653"	"943"	"94"	"5"	"1"	"940"	"1"	"933"	"0"	"1712"	"99"	"941"	"933"
"ESY3_g30252_DN1_SP0_c0.t1"	227	"AT3G17400.1"	"AT3G17400.1"	"orthologue"	"AT3G17400.1"	"N0.HOG0000555"	"AT3G17400.1"	"OG0000057"	"AT2G17830.1, AT2G18780.1, AT3G16740.1, AT3G16820.1, AT3G17320.1, AT3G17400.1, AT3G17620.1, AT3G18120.1, AT3G19470.1, AT3G22770.1, AT3G23420.1, AT3G24580.1, AT5G36200.1, AT5G36730.1, AT5G36820.1, AT5G42460.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G23420.1"	"59.777"	"179"	"66"	"4"	"11"	"186"	"1"	"176"	"1.19e-69"	"214"	"77"	"228"	"285"
"ESY3_g30253_DN1_SP0_c0.t1"	81	"AT3G20400.1"	"AT3G20400.1"	"other"	NA	NA	NA	"OG0006546"	"AT3G20400.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G24580.1"	"61.039"	"77"	"30"	"0"	"4"	"80"	"302"	"378"	"2.89e-25"	"95.9"	"94"	"82"	"378"
"ESY3_g30254_DN3_SP0_c0.t1"	345	"AT3G13680.1"	"AT3G13680.1"	"orthologue"	"AT3G13680.1"	"N0.HOG0000381"	"AT3G13680.1"	"OG0000040"	"AT1G24800.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G25211.1, AT1G54550.1, AT1G59680.2, AT1G66490.1, AT1G67450.1, AT3G13680.1, AT3G14030.1, AT3G20030.1, AT3G49510.1, AT3G49520.1, AT4G17200.1, AT5G60560.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13680.1"	"46.617"	"399"	"154"	"10"	"1"	"344"	"1"	"395"	"9.1e-110"	"325"	"99"	"345"	"395"
"ESY3_g30255_DN3_SP0_c0.t1"	741	"AT3G13682.1"	"AT3G13682.1"	"orthologue"	"AT3G13682.1"	"N0.HOG0022801"	"AT3G13682.1"	"OG0016224"	"AT3G13682.1"	"AT3G13682.1"	741	746	99	98	733	85.13	1251	"AT3G13682.1"	"85.13"	"733"	"106"	"3"	"3"	"735"	"2"	"731"	"0"	"1251"	"99"	"741"	"746"
"ESY3_g30256_DN3_SP8_c0.t1"	744	"AT3G13690.1"	"AT3G13690.1"	"orthologue"	"AT3G13690.1"	"N0.HOG0005064"	"AT3G13690.1"	"OG0001536"	"AT1G55200.1, AT3G13690.1"	"AT3G13690.1"	745	753	99	100	754	92.44	1438	"AT3G13690.1"	"92.44"	"754"	"46"	"4"	"1"	"744"	"1"	"753"	"0"	"1438"	"99"	"745"	"753"
"ESY3_g30257_DN3_SP8_c0.t1"	244	"AT3G48630.1, AT3G44150.1"	"AT3G44150.1"	"orthologue"	"AT3G48630.1, AT3G44150.1"	"N0.HOG0020700"	"AT3G48630.1, AT3G44150.1"	"OG0014160"	"AT3G44150.1, AT3G48630.1"	"AT3G44150.1"	245	246	99	100	247	87.449	432	"AT3G44150.1"	"87.854"	"247"	"26"	"2"	"1"	"244"	"1"	"246"	"6.27e-160"	"442"	"99"	"245"	"246"
"ESY3_g30258_DN3_SP1_c0.t1"	285	"AT3G13700.1"	"AT3G13700.1"	"orthologue"	"AT3G13700.1"	"N0.HOG0024033"	"AT3G13700.1"	"OG0017418"	"AT3G13700.1"	"AT3G13700.1"	286	296	99	100	303	79.538	458	"AT3G13700.1"	"79.538"	"303"	"37"	"2"	"1"	"285"	"1"	"296"	"3.58e-171"	"474"	"99"	"286"	"296"
"ESY3_g30259_DN3_SP0_c0.t1"	188	"AT3G13720.1, AT3G13710.1"	"AT3G13720.1"	"orthologue"	"AT3G13720.1, AT3G13710.1"	"N0.HOG0009515"	"AT3G13720.1, AT3G13710.1"	"OG0004055"	"AT3G13710.1, AT3G13720.1"	"AT3G13720.1"	189	188	99	100	188	84.043	300	"AT3G13720.1"	"84.043"	"188"	"30"	"0"	"1"	"188"	"1"	"188"	"2.2e-105"	"300"	"99"	"189"	"188"
"ESY3_g30260_DN3_SP0_c0.t1"	339	"AT2G05970.1"	"AT2G05970.1"	"orthologue"	"AT2G05970.1"	"N0.HOG0004068"	"AT2G05970.1"	"OG0001047"	"AT2G05970.1, AT4G17565.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G05970.1"	"52.941"	"340"	"135"	"6"	"1"	"337"	"54"	"371"	"2.2e-112"	"331"	"99"	"340"	"377"
"ESY3_g30261_DN3_SP6_c0.t1"	492	"AT3G13730.1"	"AT3G13730.1"	"orthologue"	"AT3G13730.1"	"N0.HOG0013281"	"AT3G13730.1"	"OG0007243"	"AT3G13730.1"	"AT3G13730.1"	492	491	95	99	469	90.204	852	"AT3G13730.1"	"91.045"	"469"	"41"	"1"	"22"	"490"	"22"	"489"	"0"	"882"	"95"	"492"	"491"
"ESY3_g30262_DN2_SP0_c0.t1"	66	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30263_DN3_SP0_c0.t1"	492	"AT3G13730.1"	"AT3G13730.1"	"orthologue"	"AT3G13730.1"	"N0.HOG0013281"	"AT3G13730.1"	"OG0007243"	"AT3G13730.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13730.1"	"87.234"	"470"	"59"	"1"	"22"	"491"	"22"	"490"	"0"	"857"	"96"	"492"	"491"
"ESY3_g30264_DN3_SP6_c0.t1"	290	"AT3G13740.3"	"AT3G13740.3"	"orthologue"	"AT3G13740.3"	"N0.HOG0017734"	"AT3G13740.3"	"OG0011372"	"AT3G13740.3"	"AT3G13740.3"	291	267	84	91	244	86.066	383	"AT3G13740.3"	"86.066"	"244"	"31"	"3"	"1"	"243"	"1"	"242"	"1.93e-135"	"383"	"84"	"291"	"267"
"ESY3_g30265_DN3_SP0_c0.t1"	452	"AT3G06530.4"	"AT3G06530.4"	"other"	NA	NA	NA	"OG0005384"	"AT3G06530.4"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G06530.4"	"41.042"	"307"	"127"	"10"	"1"	"255"	"304"	"608"	"8.24e-47"	"173"	"56"	"452"	"2210"
"ESY3_g30266_DN3_SP0_c0.t1"	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30267_DN3_SP8_c0.t1"	846	"AT3G13750.1"	"AT3G13750.1"	"orthologue"	"AT3G13750.1"	"N0.HOG0015584"	"AT3G13750.1"	"OG0009408"	"AT3G13750.1"	"AT3G13750.1"	847	847	99	100	847	96.812	1721	"AT3G13750.1"	"96.812"	"847"	"26"	"1"	"1"	"846"	"1"	"847"	"0"	"1721"	"99"	"847"	"847"
"ESY3_g30270_DN3_SP8_c0.t1"	641	"AT3G13772.1"	"AT3G13772.1"	"orthologue"	"AT3G13772.1"	"N0.HOG0007624"	"AT3G13772.1"	"OG0002865"	"AT1G55130.1, AT3G13772.1"	"AT3G13772.1"	642	641	99	100	641	97.348	1290	"AT3G13772.1"	"97.348"	"641"	"17"	"0"	"1"	"641"	"1"	"641"	"0"	"1290"	"99"	"642"	"641"
"ESY3_g30271_DN3_SP0_c0.t1"	300	"AT3G13780.1"	"AT3G13780.1"	"orthologue"	"AT3G13780.1"	"N0.HOG0022802"	"AT3G13780.1"	"OG0016225"	"AT3G13780.1"	"AT3G13780.1"	301	309	90	88	275	74.377	345	"AT3G13780.1"	"74.909"	"275"	"55"	"5"	"1"	"270"	"14"	"279"	"1.73e-119"	"345"	"90"	"301"	"309"
"ESY3_g30272_DN3_SP0_c0.t1"	343	"AT3G13782.1"	"AT3G13782.1"	"orthologue"	"AT3G13782.1"	"N0.HOG0024034"	"AT3G13782.1"	"OG0017419"	"AT3G13782.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13782.1"	"66.667"	"330"	"79"	"6"	"1"	"330"	"1"	"299"	"1.5e-135"	"387"	"96"	"344"	"317"
"ESY3_g30273_DN3_SP0_c0.t1"	513	"AT3G13784.2"	"AT3G13784.2"	"orthologue"	"AT3G13784.2"	"N0.HOG0025181"	"AT3G13784.2"	"OG0018510"	"AT3G13784.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G13784.2"	"82.524"	"515"	"84"	"3"	"1"	"513"	"62"	"572"	"0"	"885"	"99"	"514"	"572"
"ESY3_g30274_DN3_SP0_c0.t1"	513	"AT3G13784.2"	"AT3G13784.2"	"orthologue"	"AT3G13784.2"	"N0.HOG0025181"	"AT3G13784.2"	"OG0018510"	"AT3G13784.2"	"AT3G13784.2"	514	572	99	89	515	82.913	892	"AT3G13784.2"	"82.913"	"515"	"82"	"3"	"1"	"513"	"62"	"572"	"0"	"892"	"99"	"514"	"572"
"ESY3_g30275_DN3_SP8_c0.t1"	580	"AT3G13790.1"	"AT3G13790.1"	"orthologue"	"AT3G13790.1"	"N0.HOG0016876"	"AT3G13790.1"	"OG0010600"	"AT3G13790.1"	"AT3G13790.1"	581	584	99	100	584	92.295	1103	"AT3G13790.1"	"92.295"	"584"	"41"	"2"	"1"	"580"	"1"	"584"	"0"	"1104"	"99"	"581"	"584"
"ESY3_g30276_DN3_SP0_c0.t1"	190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30280_DN1_SP0_c0.t1"	109	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ESY3_g30281_DN3_SP0_c0.t1"	575	"AT1G66530.1, AT4G26300.5"	"AT4G26300.5"	"other"	NA	NA	NA	"OG0000774"	"AT1G66530.1, AT4G26300.5"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G26300.5"	"81.186"	"590"	"96"	"2"	"1"	"575"	"64"	"653"	"0"	"994"	"99"	"576"	"653"
