"Noccaea_praecox"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Np004G226790"	332	"AT5G06620.1"	"AT5G06620.1"	"orthologue"	"AT5G06620.1"	"N0.HOG0024294"	"AT5G06620.1"	"OG0017661"	"AT5G06620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G06620.1"	"87.651"	"332"	"34"	"2"	"1"	"332"	"1"	"325"	"0"	"593"	"99"	"333"	"325"
"Np004G226800"	238	"AT3G20980.1"	"AT3G20980.1"	"orthologue"	"AT3G20980.1"	"N0.HOG0001890"	"AT3G20980.1"	"OG0000287"	"AT3G20980.1, AT3G21000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G20980.1"	"49.758"	"207"	"78"	"8"	"48"	"235"	"185"	"384"	"9.21e-55"	"180"	"79"	"239"	"405"
"Np004G226810"	217	"AT3G20980.1"	"AT3G20980.1"	"orthologue"	"AT3G20980.1"	"N0.HOG0001890"	"AT3G20980.1"	"OG0000287"	"AT3G20980.1, AT3G21000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G20980.1"	"49.375"	"160"	"57"	"6"	"45"	"186"	"185"	"338"	"3.72e-40"	"141"	"65"	"218"	"405"
"Np004G226820"	217	"AT3G20980.1"	"AT3G20980.1"	"orthologue"	"AT3G20980.1"	"N0.HOG0001890"	"AT3G20980.1"	"OG0000287"	"AT3G20980.1, AT3G21000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G20980.1"	"49.375"	"160"	"57"	"6"	"45"	"186"	"185"	"338"	"3.68e-40"	"141"	"65"	"218"	"405"
"Np004G226830"	124	"AT3G20980.1"	"AT3G20980.1"	"orthologue"	"AT3G20980.1"	"N0.HOG0001890"	"AT3G20980.1"	"OG0000287"	"AT3G20980.1, AT3G21000.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G21000.1"	"55.319"	"94"	"29"	"1"	"20"	"100"	"11"	"104"	"2.08e-25"	"98.2"	"65"	"125"	"405"
"Np004G226840"	436	"AT1G26761.1"	"AT1G26761.1"	"orthologue"	"AT1G26761.1"	"N0.HOG0023804"	"AT1G26761.1"	"OG0017189"	"AT1G26761.1"	"AT1G26761.1"	437	444	99	100	461	75.488	681	"AT1G26761.1"	"75.705"	"461"	"70"	"7"	"1"	"436"	"1"	"444"	"0"	"684"	"99"	"437"	"444"
"Np004G226860"	250	"AT1G26770.2"	"AT1G26770.2"	"orthologue"	"AT1G26770.2"	"N0.HOG0005846"	"AT1G26770.2, AT1G69530.3"	"OG0001937"	"AT1G26770.2, AT1G69530.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G26770.2"	"93.6"	"250"	"15"	"1"	"1"	"250"	"11"	"259"	"1.64e-163"	"452"	"99"	"251"	"259"
"Np004G226870"	351	"AT1G26780.2"	"AT1G26780.2"	"orthologue"	"AT1G26780.2"	"N0.HOG0018700"	"AT1G26780.2"	"OG0012263"	"AT1G26780.2"	"AT1G26780.2"	352	359	99	100	360	86.667	552	"AT1G26780.2"	"86.667"	"360"	"38"	"5"	"1"	"351"	"1"	"359"	"0"	"552"	"99"	"352"	"359"
"Np004G226880"	77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np004G226900"	337	"AT1G26790.1"	"AT1G26790.1"	"orthologue"	"AT1G26790.1"	"N0.HOG0020396"	"AT1G26790.1"	"OG0013869"	"AT1G26790.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G26790.1"	"66.321"	"386"	"61"	"7"	"1"	"337"	"7"	"372"	"1.82e-166"	"468"	"99"	"338"	"372"
"Np004G226920"	250	"AT1G15215.4"	"AT1G15215.4"	"orthologue"	"AT1G15215.4"	"N0.HOG0018659"	"AT1G15215.4"	"OG0012225"	"AT1G15215.4"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G15215.4"	"67.623"	"244"	"71"	"3"	"1"	"236"	"1"	"244"	"5.19e-117"	"335"	"94"	"251"	"264"
"Np004G226930"	218	"AT1G26800.1"	"AT1G26800.1"	"orthologue"	"AT1G26800.1"	"N0.HOG0017511"	"AT1G26800.1"	"OG0011172"	"AT1G26800.1"	"AT1G26800.1"	219	204	90	94	194	85.052	320	"AT1G26800.1"	"85.572"	"201"	"24"	"4"	"1"	"198"	"1"	"199"	"5.03e-118"	"333"	"90"	"219"	"204"
"Np004G226940"	642	"AT1G26810.1"	"AT1G26810.1"	"orthologue"	"AT1G26810.1"	"N0.HOG0020395"	"AT1G26810.1"	"OG0013868"	"AT1G26810.1"	"AT1G26810.1"	643	643	99	100	651	89.862	1202	"AT1G26810.1"	"89.862"	"651"	"49"	"5"	"1"	"642"	"1"	"643"	"0"	"1207"	"99"	"643"	"643"
"Np004G226960"	494	"AT1G22000.1, AT1G26890.1"	"AT1G22000.1"	"other"	NA	"N0.HOG0000348"	"AT1G22000.1, AT1G26890.1"	"OG0000038"	"AT1G05080.1, AT1G22000.1, AT1G26890.1, AT3G10750.1, AT3G49480.2, AT3G53550.1, AT5G44850.1, AT5G52460.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G22000.1"	"56.939"	"490"	"168"	"5"	"4"	"489"	"14"	"464"	"4.53e-159"	"459"	"98"	"495"	"465"
"Np004G226970"	196	"AT4G03740.1"	"AT4G03740.1"	"other"	NA	"N0.HOG0001242"	"AT4G03740.1"	"OG0000152"	"AT4G03740.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G03740.1"	"29.286"	"140"	"80"	"4"	"56"	"192"	"171"	"294"	"3.66e-08"	"52"	"70"	"197"	"345"
"Np004G226980"	222	"AT1G26820.1"	"AT1G26820.1"	"orthologue"	"AT1G26820.1"	"N0.HOG0020394"	"AT1G26820.1"	"OG0013867"	"AT1G26820.1"	"AT1G26820.1"	223	222	99	100	222	94.144	447	"AT1G26820.1"	"94.144"	"222"	"13"	"0"	"1"	"222"	"1"	"222"	"1.01e-162"	"447"	"99"	"223"	"222"
"Np004G226990"	732	"AT1G26830.1"	"AT1G26830.1"	"orthologue"	"AT1G26830.1"	"N0.HOG0008379"	"AT1G26830.1"	"OG0003319"	"AT1G26830.1, AT1G69670.1"	"AT1G26830.1"	733	732	99	100	732	95.355	1461	"AT1G26830.1"	"95.355"	"732"	"34"	"0"	"1"	"732"	"1"	"732"	"0"	"1461"	"99"	"733"	"732"
"Np004G227000"	284	"AT1G26840.1"	"AT1G26840.1"	"orthologue"	"AT1G26840.1"	"N0.HOG0010290"	"AT1G26840.1"	"OG0004654"	"AT1G26840.1"	"AT1G26840.1"	285	284	99	100	284	90.141	530	"AT1G26840.1"	"90.141"	"284"	"28"	"0"	"1"	"284"	"1"	"284"	"0"	"530"	"99"	"285"	"284"
"Np004G227010"	169	"AT1G47350.1, AT1G47340.1"	"AT1G47340.1"	"orthologue"	"AT1G47350.1, AT1G47340.1"	"N0.HOG0001503"	"AT1G47350.1, AT1G47340.1, AT1G47300.1"	"OG0000205"	"AT1G47300.1, AT1G47340.1, AT1G47350.1, AT2G02660.1, AT2G02890.1, AT2G15640.1, AT2G16220.1, AT2G16450.1, AT2G23160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G47340.1"	"62.329"	"146"	"54"	"1"	"13"	"157"	"283"	"428"	"4.71e-58"	"187"	"85"	"170"	"459"
"Np004G227020"	218	"AT1G47300.1"	"AT1G47300.1"	"orthologue"	"AT1G47300.1"	"N0.HOG0001503"	"AT1G47350.1, AT1G47340.1, AT1G47300.1"	"OG0000205"	"AT1G47300.1, AT1G47340.1, AT1G47350.1, AT2G02660.1, AT2G02890.1, AT2G15640.1, AT2G16220.1, AT2G16450.1, AT2G23160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G47340.1"	"59.459"	"222"	"81"	"5"	"1"	"218"	"32"	"248"	"1.84e-81"	"249"	"99"	"219"	"459"
"Np004G227080"	84	"AT2G42260.1"	"AT2G42260.1"	"orthologue"	"AT2G42260.1"	"N0.HOG0006508"	"AT2G42260.1"	"OG0002277"	"AT2G42260.1, AT3G57860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42260.1"	"74.324"	"74"	"13"	"3"	"1"	"70"	"1"	"72"	"1.62e-26"	"97.4"	"82"	"85"	"259"
"Np004G227090"	2172	"AT2G42270.1"	"AT2G42270.1"	"orthologue"	"AT2G42270.1"	"N0.HOG0006086"	"AT2G42270.1"	"OG0002051"	"AT1G20960.1, AT2G42270.1"	"AT2G42270.1"	2173	2172	99	100	2180	84.45	3754	"AT2G42270.1"	"84.45"	"2180"	"323"	"8"	"1"	"2172"	"1"	"2172"	"0"	"3754"	"99"	"2173"	"2172"
"Np004G227100"	258	"AT2G42280.3"	"AT2G42280.3"	"orthologue"	"AT2G42280.3"	"N0.HOG0012855"	"AT2G42280.3"	"OG0006851"	"AT2G42280.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G42280.3"	"89.627"	"241"	"19"	"3"	"1"	"241"	"107"	"341"	"4.62e-149"	"420"	"93"	"259"	"360"
"Np004G227110"	616	"AT1G26850.1"	"AT1G26850.1"	"orthologue"	"AT1G26850.1"	"N0.HOG0011199"	"AT1G26850.1"	"OG0005421"	"AT1G26850.1"	"AT1G26850.1"	617	616	99	100	616	96.916	1262	"AT1G26850.1"	"96.916"	"616"	"19"	"0"	"1"	"616"	"1"	"616"	"0"	"1262"	"99"	"617"	"616"
"Np004G227120"	89	"AT5G59060.1"	"AT5G59060.1"	"orthologue"	"AT5G59060.1"	"N0.HOG0001412"	"AT5G59060.1"	"OG0000183"	"AT5G18880.1, AT5G59060.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G18880.1"	"57.746"	"71"	"29"	"1"	"20"	"89"	"225"	"295"	"4.18e-19"	"78.6"	"78"	"90"	"295"
"Np004G227130"	418	"AT1G26870.1"	"AT1G26870.1"	"orthologue"	"AT1G26870.1"	"N0.HOG0008544"	"AT1G26870.1"	"OG0003431"	"AT1G26870.1"	"AT1G26870.1"	419	418	99	99	418	86.842	702	"AT1G26870.1"	"86.842"	"418"	"54"	"1"	"1"	"418"	"1"	"417"	"0"	"702"	"99"	"419"	"418"
"Np004G227140"	544	"AT1G68845.1"	"AT1G68845.1"	"orthologue"	"AT1G68845.1"	NA	NA	"OG0003486"	"AT1G68845.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G19950.2"	"40.845"	"71"	"41"	"1"	"449"	"518"	"245"	"315"	"4.1e-11"	"64.7"	"13"	"545"	"386"
"Np004G227170"	413	"AT1G26870.1"	"AT1G26870.1"	"orthologue"	"AT1G26870.1"	"N0.HOG0008544"	"AT1G26870.1"	"OG0003431"	"AT1G26870.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G26870.1"	"85.885"	"418"	"53"	"3"	"1"	"413"	"1"	"417"	"0"	"684"	"99"	"414"	"418"
"Np004G227180"	83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np004G227200"	221	"AT1G26910.1"	"AT1G26910.1"	"orthologue"	"AT1G26910.1"	"N0.HOG0003275"	"AT1G26910.1"	"OG0000722"	"AT1G14320.1, AT1G26910.1, AT1G66580.1"	"AT1G26910.1"	222	221	99	100	221	98.19	451	"AT1G26910.1"	"98.19"	"221"	"4"	"0"	"1"	"221"	"1"	"221"	"3.14e-164"	"451"	"99"	"222"	"221"
"Np004G227210"	157	"AT5G43170.1"	"AT5G43170.1"	"orthologue"	"AT5G43170.1"	"N0.HOG0025826"	"AT5G43170.1"	"OG0019100"	"AT5G43170.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G27730.1"	"62"	"150"	"45"	"3"	"1"	"138"	"1"	"150"	"7.9e-53"	"167"	"87"	"158"	"227"
"Np004G227250"	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G62210.1"	"36.923"	"65"	"41"	"0"	"3"	"67"	"109"	"173"	"3.92e-09"	"50.4"	"89"	"73"	"279"
"Np004G227260"	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G62210.1"	"38.71"	"62"	"38"	"0"	"3"	"64"	"109"	"170"	"1.34e-09"	"51.6"	"85"	"73"	"279"
"Np004G227270"	166	"AT1G06220.1"	"AT1G06220.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G06220.1"	"93.976"	"166"	"10"	"0"	"1"	"166"	"822"	"987"	"3.25e-108"	"330"	"99"	"167"	"987"
"Np004G227280"	184	"AT1G26910.1"	"AT1G26910.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G26910.1"	"97.826"	"184"	"4"	"0"	"1"	"184"	"38"	"221"	"2.81e-134"	"374"	"99"	"185"	"221"
"Np004G227310"	166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Np004G227320"	170	"AT1G26920.1"	"AT1G26920.1"	"orthologue"	"AT1G26920.1"	"N0.HOG0004880"	"AT1G26920.1, AT1G69760.1"	"OG0001443"	"AT1G26920.1, AT1G69760.1"	"AT1G26920.1"	171	173	99	100	173	73.988	231	"AT1G26920.1"	"73.988"	"173"	"42"	"1"	"1"	"170"	"1"	"173"	"6.88e-79"	"231"	"99"	"171"	"173"
"Np004G227330"	429	"AT1G26930.1"	"AT1G26930.1"	"orthologue"	"AT1G26930.1"	"N0.HOG0016463"	"AT1G26930.1"	"OG0010212"	"AT1G26930.1"	"AT1G26930.1"	430	421	99	100	430	89.302	759	"AT1G26930.1"	"89.302"	"430"	"36"	"5"	"1"	"429"	"1"	"421"	"0"	"785"	"99"	"430"	"421"
"Np004G227340"	175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G21280.1"	"21.918"	"146"	"97"	"3"	"16"	"153"	"12"	"148"	"0.00024"	"40"	"78"	"176"	"237"
"Np004G227440"	227	"AT1G26940.1"	"AT1G26940.1"	"orthologue"	"AT1G26940.1"	"N0.HOG0015290"	"AT1G26940.1"	"OG0009127"	"AT1G26940.1"	"AT1G26940.1"	228	226	99	100	227	91.189	430	"AT1G26940.1"	"91.189"	"227"	"19"	"1"	"1"	"227"	"1"	"226"	"1.54e-155"	"430"	"99"	"228"	"226"
"Np004G227470"	94	"AT1G26945.1"	"AT1G26945.1"	"orthologue"	"AT1G26945.1"	NA	NA	"OG0005019"	"AT1G26945.1"	"AT1G26945.1"	95	94	99	100	94	100	179	"AT1G26945.1"	"100"	"94"	"0"	"0"	"1"	"94"	"1"	"94"	"7.97e-61"	"179"	"99"	"95"	"94"
"Np004G227480"	264	"AT1G26960.1"	"AT1G26960.1"	"orthologue"	"AT1G26960.1"	"N0.HOG0025568"	"AT1G26960.1"	"OG0018866"	"AT1G26960.1"	"AT1G26960.1"	265	255	99	100	268	83.582	441	"AT1G26960.1"	"83.582"	"268"	"27"	"6"	"1"	"264"	"1"	"255"	"4.64e-159"	"441"	"99"	"265"	"255"
"Np004G227490"	413	"AT1G26970.1"	"AT1G26970.1"	"orthologue"	"AT1G26970.1"	"N0.HOG0025979"	"AT1G26970.1"	"OG0019240"	"AT1G26970.1"	"AT1G26970.1"	414	412	99	100	413	84.988	685	"AT1G26970.1"	"84.988"	"413"	"61"	"1"	"1"	"413"	"1"	"412"	"0"	"694"	"99"	"414"	"412"
"Np004G227500"	591	"AT4G16730.1"	"AT4G16730.1"	"orthologue"	"AT4G16730.1"	"N0.HOG0024367"	"AT4G16730.1"	"OG0017727"	"AT4G16730.1"	"AT4G16730.1"	592	539	90	99	533	81.051	902	"AT4G16730.1"	"81.051"	"533"	"100"	"1"	"59"	"591"	"8"	"539"	"0"	"902"	"90"	"592"	"539"
"Np004G227510"	159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G04650.1"	"28.947"	"152"	"86"	"5"	"14"	"156"	"194"	"332"	"5.33e-10"	"56.2"	"89"	"160"	"332"
"Np004G227540"	177	"AT3G07610.3"	"AT3G07610.3"	"orthologue"	"AT3G07610.3"	"N0.HOG0006195"	"AT3G07610.3"	"OG0002102"	"AT3G07610.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G07610.3"	"49.296"	"213"	"54"	"2"	"17"	"175"	"271"	"483"	"8.25e-59"	"197"	"89"	"178"	"1049"
"Np004G227550"	370	"AT1G64030.1"	"AT1G64030.1"	"other"	NA	"N0.HOG0000869"	"AT1G64030.1"	"OG0000099"	"AT1G62160.1, AT1G62170.2, AT1G64010.2, AT1G64020.1, AT1G64030.1, AT2G14540.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G62170.2"	"55.528"	"407"	"139"	"8"	"1"	"367"	"62"	"466"	"1.79e-145"	"419"	"99"	"371"	"466"
"Np004G227560"	427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G07760.1"	"30.405"	"148"	"96"	"4"	"188"	"328"	"194"	"341"	"1.74e-13"	"72"	"33"	"428"	"530"
"Np004G227570"	224	"AT1G26970.1"	"AT1G26970.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G26970.1"	"84.889"	"225"	"32"	"1"	"1"	"223"	"1"	"225"	"4.32e-132"	"377"	"99"	"225"	"412"
"Np004G227660"	301	"AT1G27000.1"	"AT1G27000.1"	"other"	NA	NA	NA	"OG0005420"	"AT1G27000.1"	"AT1G27000.1"	302	304	99	100	304	86.184	534	"AT1G27000.1"	"86.184"	"304"	"39"	"1"	"1"	"301"	"1"	"304"	"0"	"534"	"99"	"302"	"304"
"Np004G227680"	227	"AT1G27130.1"	"AT1G27130.1"	"other"	NA	"N0.HOG0004194"	"AT1G69920.1, AT1G27140.1, AT1G27130.1"	"OG0001110"	"AT1G27130.1, AT1G27140.1, AT1G69920.1"	"AT1G27130.1"	228	227	99	100	227	82.379	397	"AT1G27130.1"	"82.379"	"227"	"40"	"0"	"1"	"227"	"1"	"227"	"1.16e-142"	"397"	"99"	"228"	"227"
"Np004G227690"	1023	"AT1G14610.1"	"AT1G14610.1"	"other"	NA	"N0.HOG0007096"	"AT1G14610.1"	"OG0002575"	"AT1G14610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G14610.1"	"71.909"	"1011"	"251"	"13"	"34"	"1023"	"79"	"1077"	"0"	"1500"	"97"	"1024"	"1108"
"Np004G227730"	311	"AT1G27020.1"	"AT1G27020.1"	"orthologue"	"AT1G27020.1"	"N0.HOG0003158"	"AT1G27020.1"	"OG0000677"	"AT1G27020.1, AT1G27030.1"	"AT1G27020.1"	312	308	99	99	308	85.065	547	"AT1G27020.1"	"85.065"	"308"	"45"	"1"	"1"	"308"	"1"	"307"	"0"	"547"	"99"	"312"	"308"
"Np004G227740"	68	"AT3G47550.3"	"AT3G47550.3"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G47550.3"	"86.275"	"51"	"7"	"0"	"5"	"55"	"135"	"185"	"4.74e-26"	"95.9"	"74"	"69"	"288"
"Np004G227760"	310	"AT1G27030.1"	"AT1G27030.1"	"orthologue"	"AT1G27030.1"	"N0.HOG0003157"	"AT1G27030.1"	"OG0000677"	"AT1G27020.1, AT1G27030.1"	"AT1G27030.1"	311	310	99	99	308	85.065	549	"AT1G27030.1"	"85.065"	"308"	"46"	"0"	"1"	"308"	"1"	"308"	"0"	"549"	"99"	"311"	"310"
"Np004G227770"	132	"AT4G00695.3, AT1G80245.1"	"AT1G80245.1"	"orthologue"	"AT4G00695.3, AT1G80245.1"	"N0.HOG0011780"	"AT4G00695.3, AT1G80245.1"	"OG0005922"	"AT1G80245.1, AT4G00695.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G80245.1"	"67.797"	"118"	"36"	"1"	"1"	"118"	"1"	"116"	"2.02e-55"	"169"	"89"	"133"	"127"
"Np004G227780"	577	"AT1G27040.1"	"AT1G27040.1"	"orthologue"	"AT1G27040.1"	"N0.HOG0008396"	"AT1G27040.1"	"OG0003330"	"AT1G27040.1, AT1G69850.1"	"AT1G27040.1"	578	567	99	99	575	77.913	895	"AT1G27040.1"	"77.913"	"575"	"113"	"3"	"1"	"575"	"5"	"565"	"0"	"895"	"99"	"578"	"567"
"Np004G227810"	225	"AT1G27045.4"	"AT1G27045.4"	"orthologue"	"AT1G27045.4"	"N0.HOG0024663"	"AT1G27045.4"	"OG0018011"	"AT1G27045.4"	"AT1G27045.4"	226	252	99	100	254	72.441	345	"AT1G27045.4"	"72.441"	"254"	"39"	"4"	"1"	"225"	"1"	"252"	"8.43e-122"	"345"	"99"	"226"	"252"
"Np004G227840"	138	"AT1G27050.1"	"AT1G27050.1"	"orthologue"	"AT1G27050.1"	"N0.HOG0023803"	"AT1G27050.1"	"OG0017188"	"AT1G27050.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G27050.1"	"89.051"	"137"	"14"	"1"	"1"	"137"	"1"	"136"	"1.29e-77"	"228"	"99"	"139"	"205"
"Np004G227850"	577	"AT1G27040.1"	"AT1G27040.1"	"orthologue"	"AT1G27040.1"	"N0.HOG0008396"	"AT1G27040.1"	"OG0003330"	"AT1G27040.1, AT1G69850.1"	"AT1G27040.1"	578	567	99	99	575	77.913	895	"AT1G27040.1"	"77.913"	"575"	"113"	"3"	"1"	"575"	"5"	"565"	"0"	"895"	"99"	"578"	"567"
"Np004G227860"	186	"AT1G27045.4"	"AT1G27045.4"	"orthologue"	"AT1G27045.4"	"N0.HOG0024663"	"AT1G27045.4"	"OG0018011"	"AT1G27045.4"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G27045.4"	"71.564"	"211"	"33"	"3"	"1"	"186"	"44"	"252"	"1.01e-96"	"280"	"99"	"187"	"252"
"Np004G227880"	200	"AT1G27050.1"	"AT1G27050.1"	"orthologue"	"AT1G27050.1"	"N0.HOG0023803"	"AT1G27050.1"	"OG0017188"	"AT1G27050.1"	"AT1G27050.1"	201	205	99	100	209	78.947	283	"AT1G27050.1"	"79.426"	"209"	"30"	"4"	"1"	"200"	"1"	"205"	"9.45e-104"	"297"	"99"	"201"	"205"
"Np004G227890"	379	"AT1G27060.1"	"AT1G27060.1"	"orthologue"	"AT1G27060.1"	"N0.HOG0015289"	"AT1G27060.1"	"OG0009126"	"AT1G27060.1"	"AT1G27060.1"	380	386	99	98	381	83.727	631	"AT1G27060.1"	"83.727"	"381"	"56"	"3"	"2"	"379"	"9"	"386"	"0"	"631"	"99"	"380"	"386"
"Np004G227900"	508	"AT1G27070.1"	"AT1G27070.1"	"orthologue"	"AT1G27070.1"	"N0.HOG0020393"	"AT1G27070.1"	"OG0013866"	"AT1G27070.1"	"AT1G27070.1"	509	532	99	100	542	74.908	737	"AT1G27070.1"	"74.908"	"542"	"92"	"10"	"1"	"508"	"1"	"532"	"0"	"737"	"99"	"509"	"532"
"Np004G227910"	78	"AT2G43790.1"	"AT2G43790.1"	"orthologue"	"AT2G43790.1"	"N0.HOG0007979"	"AT2G43790.1, AT3G59790.1"	"OG0003068"	"AT2G43790.1, AT3G59790.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43790.1"	"88.312"	"77"	"9"	"0"	"1"	"77"	"1"	"77"	"1.24e-40"	"136"	"97"	"79"	"395"
"Np004G227920"	569	"AT1G27080.1"	"AT1G27080.1"	"orthologue"	"AT1G27080.1"	"N0.HOG0023208"	"AT1G27080.1"	"OG0016610"	"AT1G27080.1"	"AT1G27080.1"	570	576	99	98	568	74.472	859	"AT1G27080.1"	"74.472"	"568"	"140"	"3"	"1"	"568"	"1"	"563"	"0"	"859"	"99"	"570"	"576"
"Np004G227930"	405	"AT1G27090.1"	"AT1G27090.1"	"orthologue"	"AT1G27090.1"	"N0.HOG0014355"	"AT1G27090.1"	"OG0008240"	"AT1G27090.1"	"AT1G27090.1"	406	420	99	81	350	72.96	532	"AT1G27090.1"	"72.96"	"429"	"83"	"9"	"1"	"405"	"1"	"420"	"0"	"534"	"99"	"406"	"420"
"Np004G227950"	513	"AT1G27100.1"	"AT1G27100.1"	"orthologue"	"AT1G27100.1"	"N0.HOG0017510"	"AT1G27100.1"	"OG0011171"	"AT1G27100.1"	"AT1G27100.1"	514	519	99	100	524	82.252	840	"AT1G27100.1"	"82.252"	"524"	"77"	"7"	"1"	"513"	"1"	"519"	"0"	"843"	"99"	"514"	"519"
"Np004G227960"	508	"AT1G27110.1"	"AT1G27110.1"	"orthologue"	"AT1G27110.1"	"N0.HOG0026146"	"AT1G27110.1"	"OG0019392"	"AT1G27110.1"	"AT1G27110.1"	509	483	98	99	498	75.502	736	"AT1G27110.1"	"75.502"	"498"	"101"	"2"	"12"	"508"	"6"	"483"	"0"	"736"	"98"	"509"	"483"
"Np004G227980"	686	"AT1G27120.1"	"AT1G27120.1"	"orthologue"	"AT1G27120.1"	"N0.HOG0011197"	"AT1G27120.1"	"OG0005419"	"AT1G27120.1"	"AT1G27120.1"	687	673	99	100	691	86.107	1156	"AT1G27120.1"	"86.107"	"691"	"73"	"6"	"1"	"686"	"1"	"673"	"0"	"1156"	"99"	"687"	"673"
"Np004G227990"	289	"AT1G53720.1"	"AT1G53720.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G53720.1"	"67.266"	"278"	"72"	"4"	"1"	"259"	"96"	"373"	"3.05e-124"	"363"	"89"	"290"	"506"
"Np004G228010"	227	"AT1G69920.1, AT1G27140.1, AT1G27130.1"	"AT1G27130.1"	"other"	NA	"N0.HOG0004194"	"AT1G69920.1, AT1G27140.1, AT1G27130.1"	"OG0001110"	"AT1G27130.1, AT1G27140.1, AT1G69920.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G27130.1"	"81.498"	"227"	"42"	"0"	"1"	"227"	"1"	"227"	"1.5e-140"	"392"	"99"	"228"	"227"
"Np004G228140"	213	"AT2G06105.1"	"AT2G06105.1"	"orthologue"	"AT2G06105.1"	"N0.HOG0000088"	"AT2G06105.1"	"OG0000013"	"AT2G06105.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G06105.1"	"42.157"	"102"	"58"	"1"	"8"	"108"	"35"	"136"	"3.2e-17"	"78.6"	"47"	"214"	"390"
"Np004G228150"	76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
