"Arabis_alpina"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Aa_G28300.h1.t1"	"AT3G46330.1, AT3G46340.1, AT3G46350.1, AT3G46370.1, AT3G46400.1, AT3G46420.1, AT5G59650.2, AT5G59660.3, AT5G59670.1, AT5G59680.1"	"AT5G59680.1"	NA	NA	NA	"OG0000149"	"AT3G46330.1, AT3G46340.1, AT3G46350.1, AT3G46370.1, AT3G46400.1, AT3G46420.1, AT5G59650.2, AT5G59660.3, AT5G59670.1, AT5G59680.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G59680.1"	69.065	695	202	3	43	726	195	887	0	924	94	726	887
"Aa_G283090.h1.t1"	"AT3G60980.1"	"AT3G60980.1"	NA	NA	NA	"OG0000859"	"AT3G60980.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G10270.1"	42.67	382	191	9	24	389	137	506	3.77e-79	261	93	394	913
"Aa_G28310.h1.t1"	"AT3G46330.1, AT3G46340.1, AT3G46350.1, AT3G46370.1, AT3G46400.1, AT3G46420.1, AT5G59650.2, AT5G59660.3, AT5G59670.1, AT5G59680.1"	"AT5G59660.3"	NA	NA	NA	"OG0000149"	"AT3G46330.1, AT3G46340.1, AT3G46350.1, AT3G46370.1, AT3G46400.1, AT3G46420.1, AT5G59650.2, AT5G59660.3, AT5G59670.1, AT5G59680.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G59660.3"	60	420	104	8	228	592	16	426	1.09e-149	452	62	592	855
"Aa_G283100.h1.t1"	"AT4G12770.1"	"AT4G12770.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G12770.1"	90.712	323	28	2	196	517	570	891	2.48e-139	423	62	517	891
"Aa_G283110.h1.t1"	"AT1G61540.1"	"AT1G61540.1"	"AT1G61540.1"	"N0.HOG0003670"	"AT1G61540.1"	"OG0000878"	"AT1G61540.1, AT4G39590.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G39590.1"	50.971	412	168	10	1	391	4	402	1.05e-122	360	100	391	402
"Aa_G283120.h1.t1"	"AT4G12770.1, AT4G12780.1"	"AT4G12770.1"	"AT4G12770.1, AT4G12780.1"	"N0.HOG0008689"	"AT4G12770.1, AT4G12780.1"	"OG0003517"	"AT4G12770.1, AT4G12780.1"	"AT4G12770.1"	716	891	98	76	706	81.303	863	"AT4G12770.1"	83.17	713	82	10	16	716	205	891	0	870	98	716	891
"Aa_G28320.h1.t1"	"AT1G30320.1"	"AT1G30320.1"	"AT1G30320.1"	"N0.HOG0012756"	"AT1G30320.1"	"OG0006760"	"AT1G30320.1"	"AT1G30320.1"	488	509	100	99	514	75.681	730	"AT1G30320.1"	75.681	514	91	10	1	488	1	506	0	730	100	488	509
"Aa_G283230.h1.t1"	"AT1G69120.1"	"AT1G69120.1"	"AT1G69120.1"	"N0.HOG0006574"	"AT1G26310.1, AT1G69120.1"	"OG0002313"	"AT1G26310.1, AT1G69120.1"	"AT1G69120.1"	256	256	100	100	256	96.094	513	"AT1G69120.1"	96.094	256	10	0	1	256	1	256	0	513	100	256	256
"Aa_G283240.h1.t1"	"AT1G57600.1"	"AT1G57600.1"	"AT1G57600.1"	"N0.HOG0016990"	"AT1G57600.1"	"OG0010701"	"AT1G57600.1"	"AT1G57600.1"	554	533	95	98	524	89.885	957	"AT1G57600.1"	89.885	524	53	0	31	554	10	533	0	982	95	554	533
"Aa_G283250.h1.t1"	"AT1G69085.1"	"AT1G69085.1"	"AT1G69085.1"	"N0.HOG0024744"	"AT1G69085.1"	"OG0018092"	"AT1G69085.1"	"AT1G69085.1"	118	117	100	100	119	74.79	172	"AT1G69085.1"	74.79	119	27	3	1	118	1	117	4.03e-57	172	100	118	117
"Aa_G283260.h1.t1"	"AT2G15860.2"	"AT2G15860.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G15860.2"	75.956	183	25	2	8	171	180	362	1.23e-88	269	86	190	524
"Aa_G283280.h1.t1"	"AT3G29670.1"	"AT3G29670.1"	NA	"N0.HOG0001173"	"AT3G29670.1"	"OG0000138"	"AT3G29635.1, AT3G29670.1, AT3G29680.1, AT3G29690.1, AT3G29720.1, AT5G61160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G29670.1"	60.823	462	162	7	1	454	1	451	0	549	100	454	451
"Aa_G283290.h1.t1"	"AT1G69080.1"	"AT1G69080.1"	"AT1G69080.1"	"N0.HOG0024266"	"AT1G69080.1"	"OG0017634"	"AT1G69080.1"	"AT1G69080.1"	222	223	100	100	225	83.111	374	"AT1G69080.1"	83.111	225	33	3	1	222	1	223	1.3e-133	374	100	222	223
"Aa_G28330.h1.t1"	"AT1G30330.2"	"AT1G30330.2"	"AT1G30330.2"	"N0.HOG0016123"	"AT1G30330.2"	"OG0009887"	"AT1G30330.2"	"AT1G30330.2"	941	935	100	100	946	95.137	1815	"AT1G30330.2"	95.137	946	30	6	1	941	1	935	0	1815	100	941	935
"Aa_G283300.h1.t1"	"AT1G69070.2"	"AT1G69070.2"	"AT1G69070.2"	"N0.HOG0022287"	"AT1G69070.2"	"OG0015715"	"AT1G69070.2"	"AT1G69070.2"	909	904	97	99	889	76.991	1263	"AT1G69070.2"	77.84	889	183	4	16	899	15	894	0	1283	97	909	904
"Aa_G283310.h1.t1"	"AT1G69060.1"	"AT1G69060.1"	"AT1G69060.1"	"N0.HOG0018950"	"AT1G69060.1"	"OG0012495"	"AT1G69060.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G69060.1"	59.776	624	132	14	1	515	12	625	0	615	99	517	630
"Aa_G283320.h1.t1"	"AT1G69050.1"	"AT1G69050.1"	"AT1G69050.1"	"N0.HOG0010811"	"AT1G69050.1"	"OG0005097"	"AT1G69050.1"	"AT1G69050.1"	100	94	100	100	100	72	111	"AT1G69050.1"	72	100	22	1	1	100	1	94	7.1e-36	117	100	100	94
"Aa_G283330.h1.t1"	"AT1G69040.2"	"AT1G69040.2"	"AT1G69040.2"	"N0.HOG0015509"	"AT1G69040.2"	"OG0009337"	"AT1G69040.2"	"AT1G69040.2"	451	455	100	99	451	94.678	898	"AT1G69040.2"	94.678	451	24	0	1	451	5	455	0	898	100	451	455
"Aa_G283440.h1.t1"	"AT1G68750.1"	"AT1G68750.1"	NA	"N0.HOG0009129"	"AT1G68750.1"	"OG0003799"	"AT1G68750.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G68750.1"	83.349	1057	143	6	1	1049	1	1032	0	1763	100	1049	1032
"Aa_G283450.h1.t1"	"AT1G26120.1"	"AT1G26120.1"	"AT1G26120.1"	"N0.HOG0016467"	"AT1G26120.1"	"OG0010216"	"AT1G26120.1"	"AT1G26120.1"	464	476	100	100	478	85.983	808	"AT1G26120.1"	85.983	478	51	5	1	464	1	476	0	808	100	464	476
"Aa_G283480.h1.t1"	"AT1G26130.2"	"AT1G26130.2"	"AT1G26130.2"	"N0.HOG0006834"	"AT1G26130.2"	"OG0002444"	"AT1G26130.2, AT1G68710.3"	"AT1G26130.2"	1191	1185	100	100	1198	89.983	2232	"AT1G26130.2"	89.983	1198	100	3	1	1191	1	1185	0	2232	100	1191	1185
"Aa_G283490.h1.t1"	"AT1G26150.1"	"AT1G26150.1"	"AT1G26150.1"	"N0.HOG0007095"	"AT1G26150.1, AT1G68690.1"	"OG0002574"	"AT1G26150.1, AT1G68690.1"	"AT1G26150.1"	751	762	58	77	433	78.523	830	"AT1G26150.1"	90.762	433	39	1	320	751	330	762	0	830	58	751	762
"Aa_G28350.h1.t1"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"AT3G47110.1"	NA	"N0.HOG0000790"	"AT3G47110.1, AT5G20480.1, AT5G39390.1"	"OG0000088"	"AT3G47090.1, AT3G47110.1, AT3G47570.1, AT3G47580.1, AT5G20480.1, AT5G39390.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G47090.1"	88.519	270	31	0	1	270	740	1009	3.87e-173	504	100	270	1009
"Aa_G283500.h1.t1"	"AT1G26160.1"	"AT1G26160.1"	"AT1G26160.1"	"N0.HOG0020400"	"AT1G26160.1"	"OG0013873"	"AT1G26160.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G26160.1"	93.407	91	6	0	1	91	168	258	2.55e-59	181	100	91	258
"Aa_G283510.h1.t1"	"AT1G26170.1"	"AT1G26170.1"	"AT1G26170.1"	"N0.HOG0023805"	"AT1G26170.1"	"OG0017190"	"AT1G26170.1"	"AT1G26170.1"	1019	1022	100	100	1024	88.379	1833	"AT1G26170.1"	88.477	1024	111	3	1	1019	1	1022	0	1860	100	1019	1022
"Aa_G283520.h1.t1"	"AT1G26180.1"	"AT1G26180.1"	"AT1G26180.1"	"N0.HOG0020399"	"AT1G26180.1"	"OG0013872"	"AT1G26180.1"	"AT1G26180.1"	287	289	100	100	293	85.666	469	"AT1G26180.1"	87.031	293	28	4	1	287	1	289	3.87e-178	492	100	287	289
"Aa_G283530.h1.t1"	"AT1G26190.1"	"AT1G26190.1"	"AT1G26190.1"	"N0.HOG0015297"	"AT1G26190.1"	"OG0009134"	"AT1G26190.1"	"AT1G26190.1"	675	674	100	100	675	94.667	1298	"AT1G26190.1"	95.111	675	32	1	1	675	1	674	0	1321	100	675	674
"Aa_G283540.h1.t1"	"AT1G26200.3"	"AT1G26200.3"	"AT1G26200.3"	"N0.HOG0015296"	"AT1G26200.3"	"OG0009133"	"AT1G26200.3"	"AT1G26200.3"	309	323	97	97	314	80.255	493	"AT1G26200.3"	80.255	314	49	3	9	309	10	323	0	508	97	309	323
"Aa_G283550.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G33520.1"	40	45	25	2	1	43	104	148	0.03	30.4	69	62	421
"Aa_G283560.h1.t1"	"AT1G26220.1"	"AT1G26220.1"	"AT1G26220.1"	"N0.HOG0022288"	"AT1G26220.1"	"OG0015716"	"AT1G26220.1"	"AT1G26220.1"	186	197	99	99	197	81.726	325	"AT1G26220.1"	81.726	197	23	2	1	185	1	196	2.03e-115	325	99	186	197
"Aa_G283570.h1.t1"	"AT1G26230.1"	"AT1G26230.1"	"AT1G26230.1"	"N0.HOG0018704"	"AT1G26230.1"	"OG0012267"	"AT1G26230.1"	"AT1G26230.1"	611	611	99	99	610	88.852	1069	"AT1G26230.1"	90.164	610	55	2	3	611	6	611	0	1109	99	611	611
"Aa_G283690.h1.t1"	"AT1G74420.3"	"AT1G74420.3"	"AT1G74420.3"	"N0.HOG0025224"	"AT1G74420.3"	"OG0018548"	"AT1G74420.3"	"AT1G74420.3"	516	563	100	91	518	78.958	844	"AT1G74420.3"	78.958	518	102	4	1	516	39	551	0	844	100	516	563
"Aa_G283700.h1.t1"	"AT1G74410.1"	"AT1G74410.1"	"AT1G74410.1"	"N0.HOG0020759"	"AT1G74410.1"	"OG0014219"	"AT1G74410.1"	"AT1G74410.1"	223	223	99	99	222	88.288	392	"AT1G74410.1"	88.288	222	26	0	1	222	1	222	1.48e-142	397	99	223	223
"Aa_G283710.h1.t1"	"AT1G74400.1"	"AT1G74400.1"	"AT1G74400.1"	"N0.HOG0025472"	"AT1G74400.1"	"OG0018777"	"AT1G74400.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G74400.1"	60.274	219	64	5	1	197	241	458	5.77e-84	255	97	204	462
"Aa_G283720.h1.t1"	"AT1G74390.1"	"AT1G74390.1"	"AT1G74390.1"	"N0.HOG0017715"	"AT1G74390.1"	"OG0011358"	"AT1G74390.1"	"AT1G74390.1"	507	506	100	100	508	77.756	759	"AT1G74390.1"	77.756	508	110	3	1	507	1	506	0	759	100	507	506
"Aa_G283730.h1.t1"	"AT1G74380.1"	"AT1G74380.1"	"AT1G74380.1"	"N0.HOG0005836"	"AT1G74380.1"	"OG0001930"	"AT1G18690.1, AT1G74380.1"	"AT1G74380.1"	460	457	100	100	460	95.87	903	"AT1G74380.1"	95.87	460	16	3	1	460	1	457	0	903	100	460	457
"Aa_G283740.h1.t1"	"AT1G74370.1"	"AT1G74370.1"	"AT1G74370.1"	"N0.HOG0014391"	"AT1G74370.1"	"OG0008271"	"AT1G74370.1"	"AT1G74370.1"	244	261	99	99	260	77.308	407	"AT1G74370.1"	77.308	260	42	2	1	243	1	260	6.63e-146	407	99	244	261
"Aa_G283750.h1.t1"	"AT1G74360.1"	"AT1G74360.1"	"AT1G74360.1"	"N0.HOG0006878"	"AT1G74360.1"	"OG0002464"	"AT1G74360.1"	"AT1G74360.1"	1026	1106	99	92	1025	89.463	1880	"AT1G74360.1"	89.463	1025	106	2	2	1026	84	1106	0	1883	99	1026	1106
"Aa_G283760.h1.t1"	"AT1G74340.1"	"AT1G74340.1"	"AT1G74340.1"	"N0.HOG0020760"	"AT1G74340.1"	"OG0014220"	"AT1G74340.1"	"AT1G74340.1"	80	80	100	100	80	96.25	155	"AT1G74340.1"	96.25	80	3	0	1	80	1	80	1.86e-51	155	100	80	80
"Aa_G283770.h1.t1"	"AT1G74330.1"	"AT1G74330.1"	"AT1G74330.1"	"N0.HOG0022756"	"AT1G74330.1"	"OG0016179"	"AT1G74330.1"	"AT1G74330.1"	702	699	99	98	696	90.805	1308	"AT1G74330.1"	90.805	696	54	4	1	696	1	686	0	1308	99	702	699
"Aa_G283780.h1.t1"	"AT3G26010.1"	"AT3G26010.1"	"AT3G26010.1"	NA	NA	"OG0000281"	"AT1G49990.1, AT3G26010.1, AT4G22430.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G26010.1"	57.179	397	144	10	3	393	7	383	6.67e-145	417	99	394	414
"Aa_G283790.h1.t1"	"AT1G61420.2, AT1G61460.1"	"AT1G61420.2"	"AT1G61420.2, AT1G61460.1"	"N0.HOG0002335"	"AT1G61550.1, AT1G61500.3, AT1G61480.1, AT1G61490.1, AT1G61430.1, AT1G61400.2, AT1G61440.2, AT1G61420.2, AT1G61460.1"	"OG0000410"	"AT1G61400.2, AT1G61420.2, AT1G61430.1, AT1G61440.2, AT1G61460.1, AT1G61480.1, AT1G61490.1, AT1G61500.3, AT1G61550.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G61480.1"	78.884	663	123	4	1	657	151	802	0	1087	99	663	809
"Aa_G283910.h1.t1"	"AT1G68370.1"	"AT1G68370.1"	"AT1G68370.1"	"N0.HOG0009996"	"AT1G68370.1"	"OG0004422"	"AT1G68370.1"	"AT1G68370.1"	411	410	99	99	409	94.621	806	"AT1G68370.1"	94.621	409	22	0	3	411	2	410	0	806	99	411	410
"Aa_G283920.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G45570.1"	31.126	302	189	6	3	292	67	361	3.08e-38	143	94	308	921
"Aa_G283930.h1.t1"	"AT1G68390.1"	"AT1G68390.1"	"AT1G68390.1"	"N0.HOG0014604"	"AT1G68390.1"	"OG0008464"	"AT1G68390.1"	"AT1G68390.1"	406	408	100	100	412	80.34	618	"AT1G68390.1"	80.34	412	71	3	1	406	1	408	0	618	100	406	408
"Aa_G2840.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G20400.1"	31.111	180	116	3	5	181	282	456	1.13e-17	86.3	34	521	944
"Aa_G284050.h1.t1"	"AT1G14850.1"	"AT1G14850.1"	"AT1G14850.1"	NA	NA	"OG0003887"	"AT1G14850.1"	"AT1G14850.1"	1454	1464	100	100	1465	91.604	2635	"AT1G14850.1"	91.672	1465	110	4	1	1454	1	1464	0	2635	100	1454	1464
"Aa_G284060.h1.t1"	"AT1G17530.1"	"AT1G17530.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G17530.1"	88	50	6	0	2	51	135	184	5.34e-14	62.4	72	69	187
"Aa_G284060.h2.t1"	"AT1G17530.1"	"AT1G17530.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G17530.1"	88	50	6	0	2	51	135	184	5.34e-14	62.4	72	69	187
"Aa_G284070.h1.t1"	"AT1G14840.1"	"AT1G14840.1"	"AT1G14840.1"	"N0.HOG0017959"	"AT1G14840.1"	"OG0011573"	"AT1G14840.1"	"AT1G14840.1"	604	604	99	99	605	91.24	1075	"AT1G14840.1"	91.24	605	49	3	1	603	1	603	0	1099	99	604	604
"Aa_G284080.h1.t1"	"AT5G63930.1"	"AT5G63930.1"	"AT5G63930.1"	"N0.HOG0021382"	"AT5G63930.1"	"OG0014821"	"AT5G63930.1"	"AT5G63930.1"	990	1102	99	92	1012	88.439	1749	"AT5G63930.1"	88.439	1012	89	1	5	988	86	1097	0	1768	99	990	1102
"Aa_G284090.h1.t1"	"AT1G14830.1"	"AT1G14830.1"	"AT1G14830.1"	"N0.HOG0012268"	"AT1G14830.1"	"OG0006342"	"AT1G14830.1"	"AT1G14830.1"	614	614	100	100	614	98.697	1248	"AT1G14830.1"	98.697	614	8	0	1	614	1	614	0	1248	100	614	614
"Aa_G284100.h1.t1"	"AT1G14820.3"	"AT1G14820.3"	NA	"N0.HOG0008032"	"AT1G14820.3"	"OG0003098"	"AT1G14820.3"	"AT1G14820.3"	250	252	98	97	244	86.066	442	"AT1G14820.3"	86.066	244	34	0	1	244	1	244	7.9e-160	442	98	250	252
"Aa_G284110.h1.t1"	"AT1G14810.1"	"AT1G14810.1"	"AT1G14810.1"	"N0.HOG0012269"	"AT1G14810.1"	"OG0006343"	"AT1G14810.1"	"AT1G14810.1"	375	375	100	100	375	94.4	720	"AT1G14810.1"	94.4	375	21	0	1	375	1	375	0	721	100	375	375
"Aa_G284120.h1.t1"	"AT1G14790.1"	"AT1G14790.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G14790.1"	79.856	139	28	0	1	139	1	139	1.68e-74	239	100	139	1107
"Aa_G284130.h1.t1"	"AT1G14780.1"	"AT1G14780.1"	"AT1G14780.1"	"N0.HOG0014175"	"AT1G14780.1"	"OG0008063"	"AT1G14780.1"	"AT1G14780.1"	591	627	100	100	627	85.965	1114	"AT1G14780.1"	85.965	627	52	2	1	591	1	627	0	1114	100	591	627
"Aa_G284140.h1.t1"	"AT1G14770.1"	"AT1G14770.1"	"AT1G14770.1"	"N0.HOG0011209"	"AT1G14770.1"	"OG0005431"	"AT1G14770.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G14770.1"	63.846	390	95	8	1	353	49	429	6.72e-163	462	99	354	429
"Aa_G284250.h1.t1"	"AT1G74190.1"	"AT1G74190.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G74190.1"	42.415	323	106	8	13	259	627	945	1.92e-57	198	83	299	965
"Aa_G284260.h1.t1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G55350.5"	39.535	43	26	0	40	82	1296	1338	0.096	30.4	51	85	2179
"Aa_G284270.h1.t1"	"AT3G24460.1"	"AT3G24460.1"	"AT3G24460.1"	"N0.HOG0006736"	"AT4G13345.4, AT3G24460.1"	"OG0002394"	"AT3G24460.1, AT4G13345.4"	"AT3G24460.1"	418	409	99	99	422	87.204	734	"AT3G24460.1"	87.204	422	32	4	1	415	1	407	0	746	99	418	409
"Aa_G284280.h1.t1"	"AT4G13350.1"	"AT4G13350.1"	"AT4G13350.1"	"N0.HOG0012102"	"AT4G13350.1"	"OG0006196"	"AT4G13350.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G13350.1"	64.795	659	155	13	1	639	1	602	0	744	100	639	602
"Aa_G284390.h1.t1"	"AT2G43580.1"	"AT2G43580.1"	"AT2G43580.1"	"N0.HOG0002760"	"AT2G43580.1"	"OG0000538"	"AT2G43580.1, AT2G43590.1"	"AT2G43580.1"	265	265	100	100	265	80.755	426	"AT2G43580.1"	80.755	265	51	0	1	265	1	265	7.56e-153	426	100	265	265
"Aa_G284400.h1.t1"	"AT2G43590.1"	"AT2G43590.1"	NA	"N0.HOG0002756"	"AT2G43590.1"	"OG0000538"	"AT2G43580.1, AT2G43590.1"	"AT2G43590.1"	266	264	100	100	266	88.722	463	"AT2G43590.1"	88.722	266	28	1	1	266	1	264	1.28e-167	463	100	266	264
"Aa_G284410.h1.t1"	"AT1G56680.2, AT2G43600.2"	"AT2G43600.2"	NA	NA	NA	"OG0004930"	"AT1G56680.2, AT2G43600.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43600.2"	69.203	276	84	1	5	280	20	294	1.52e-145	409	99	280	294
"Aa_G284420.h1.t1"	"AT1G47540.2, AT2G43510.1, AT2G43520.1, AT2G43535.1"	"AT2G43535.1"	NA	NA	NA	"OG0000340"	"AT1G47540.2, AT2G43510.1, AT2G43520.1, AT2G43535.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43535.1"	43.956	91	41	4	1	84	1	88	3.42e-16	67	91	92	97
"Aa_G284430.h1.t1"	"AT2G43610.1"	"AT2G43610.1"	"AT2G43610.1"	NA	NA	"OG0001241"	"AT2G43610.1, AT2G43620.1"	"AT2G43610.1"	279	281	100	100	281	93.95	542	"AT2G43610.1"	93.95	281	15	1	1	279	1	281	0	542	100	279	281
"Aa_G284440.h1.t1"	"AT2G43620.1"	"AT2G43620.1"	"AT2G43620.1"	"N0.HOG0004484"	"AT2G43620.1"	"OG0001241"	"AT2G43610.1, AT2G43620.1"	"AT2G43620.1"	281	283	100	100	283	86.926	508	"AT2G43620.1"	86.926	283	35	1	1	281	1	283	0	508	100	281	283
"Aa_G284450.h1.t1"	"AT2G43620.1"	"AT2G43620.1"	"AT2G43620.1"	"N0.HOG0004484"	"AT2G43620.1"	"OG0001241"	"AT2G43610.1, AT2G43620.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43620.1"	87.279	283	29	2	1	276	1	283	0	500	100	276	283
"Aa_G284460.h1.t1"	"AT2G43630.1"	"AT2G43630.1"	"AT2G43630.1"	"N0.HOG0007775"	"AT2G43630.1"	"OG0002952"	"AT2G43630.1, AT3G59640.1"	"AT2G43630.1"	274	274	99	99	273	79.121	394	"AT2G43630.1"	79.121	273	52	4	1	271	1	270	1.35e-147	414	99	274	274
"Aa_G284470.h1.t1"	"AT2G43640.1"	"AT2G43640.1"	"AT2G43640.1"	"N0.HOG0009639"	"AT2G43640.1"	"OG0004143"	"AT2G43640.1"	"AT2G43640.1"	121	121	100	100	121	90.909	202	"AT2G43640.1"	90.909	121	11	0	1	121	1	121	8.68e-69	202	100	121	121
"Aa_G284480.h1.t1"	"AT2G43650.1"	"AT2G43650.1"	"AT2G43650.1"	"N0.HOG0021895"	"AT2G43650.1"	"OG0015330"	"AT2G43650.1"	"AT2G43650.1"	654	654	99	100	665	71.729	744	"AT2G43650.1"	73.534	665	152	9	1	652	1	654	0	771	99	654	654
"Aa_G284490.h1.t1"	"AT3G28250.1"	"AT3G28250.1"	"AT3G28250.1"	"N0.HOG0003851"	"AT2G43670.1, AT3G28250.1, AT1G78520.1"	"OG0000952"	"AT1G78520.1, AT2G43670.1, AT3G28250.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43670.1"	79.487	39	8	0	1	39	83	121	5.76e-20	74.7	100	39	121
"Aa_G284500.h1.t1"	"AT3G28250.1"	"AT3G28250.1"	"AT3G28250.1"	"N0.HOG0003851"	"AT2G43670.1, AT3G28250.1, AT1G78520.1"	"OG0000952"	"AT1G78520.1, AT2G43670.1, AT3G28250.1"	"AT2G43670.1"	97	121	95	76	92	79.348	166	"AT2G43670.1"	79.348	92	19	0	6	97	30	121	5.78e-55	166	95	97	121
"Aa_G284510.h1.t1"	"AT2G43680.1"	"AT2G43680.1"	"AT2G43680.1"	"N0.HOG0016256"	"AT2G43680.1"	"OG0010013"	"AT2G43680.1"	"AT2G43680.1"	641	669	100	100	679	74.89	848	"AT2G43680.1"	74.89	681	119	13	1	641	1	669	0	848	100	641	669
"Aa_G284520.h1.t1"	"AT4G14320.2, AT3G23390.1"	"AT3G23390.1"	"AT4G14320.2, AT3G23390.1"	"N0.HOG0003826"	"AT4G14320.2, AT3G23390.1"	"OG0000942"	"AT3G23390.1, AT4G14320.2"	"AT3G23390.1"	105	105	100	100	105	97.143	208	"AT3G23390.1"	97.143	105	3	0	1	105	1	105	8.55e-72	208	100	105	105
"Aa_G284530.h1.t1"	"AT2G43700.1, AT2G43690.1"	"AT2G43700.1"	"AT2G43700.1, AT2G43690.1"	NA	NA	"OG0001240"	"AT2G43690.1, AT2G43700.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43700.1"	78.871	620	123	4	466	1078	40	658	0	1004	57	1078	658
"Aa_G28460.h1.t1"	"AT2G33420.1"	"AT2G33420.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G33420.1"	76.412	301	32	4	16	280	707	1004	5.83e-152	452	85	311	1039
"Aa_G284640.h1.t1"	"AT3G24760.1"	"AT3G24760.1"	"AT3G24760.1"	"N0.HOG0020889"	"AT3G24760.1"	"OG0014345"	"AT3G24760.1"	"AT3G24760.1"	373	383	99	97	374	74.866	524	"AT3G24760.1"	74.933	375	83	5	3	370	9	379	0	527	99	373	383
"Aa_G284650.h1.t1"	"AT1G26730.1, AT1G35350.1"	"AT1G35350.1"	"AT1G26730.1, AT1G35350.1"	"N0.HOG0009062"	"AT1G26730.1, AT1G35350.1"	"OG0003755"	"AT1G26730.1, AT1G35350.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G35350.1"	82.959	757	120	5	1	754	1	751	0	1302	100	754	751
"Aa_G284660.h1.t1"	"AT3G24750.2"	"AT3G24750.2"	"AT3G24750.2"	"N0.HOG0025245"	"AT3G24750.2"	"OG0018569"	"AT3G24750.2"	"AT3G24750.2"	340	258	75	97	256	77.734	388	"AT3G24750.2"	77.734	256	49	3	1	254	1	250	1.3e-136	388	75	340	258
"Aa_G284670.h1.t1"	"AT3G24740.1"	"AT3G24740.1"	"AT3G24740.1"	"N0.HOG0018393"	"AT3G24740.1"	"OG0011974"	"AT3G24740.1"	"AT3G24740.1"	355	354	100	100	356	84.27	523	"AT3G24740.1"	84.27	356	53	3	1	355	1	354	0	523	100	355	354
"Aa_G284680.h1.t1"	"AT3G24730.1"	"AT3G24730.1"	"AT3G24730.1"	"N0.HOG0022857"	"AT3G24730.1"	"OG0016277"	"AT3G24730.1"	"AT3G24730.1"	151	159	100	95	151	81.457	252	"AT3G24730.1"	81.457	151	28	0	1	151	9	159	9.5e-88	252	100	151	159
"Aa_G284690.h1.t1"	"AT3G24670.1"	"AT3G24670.1"	"AT3G24670.1"	"N0.HOG0007972"	"AT3G24670.1"	"OG0003063"	"AT3G24670.1, AT4G13210.2"	"AT3G24670.1"	437	440	100	100	441	90.249	797	"AT3G24670.1"	90.249	441	38	4	1	437	1	440	0	797	100	437	440
