"Aethionema_saxatile"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"As008G195150"	741	"AT1G05230.1"	"AT1G05230.1"	"orthologue"	"AT1G05230.1"	"N0.HOG0006297"	"AT2G32370.1, AT1G05230.1"	"OG0002157"	"AT1G05230.1, AT2G32370.1"	"AT1G05230.1"	742	721	99	100	742	88.005	1292	"AT1G05230.1"	"88.005"	"742"	"67"	"5"	"1"	"741"	"1"	"721"	"0"	"1313"	"99"	"742"	"721"
"As008G195160"	168	"AT1G05220.1"	"AT1G05220.1"	"orthologue"	"AT1G05220.1"	"N0.HOG0005167"	"AT2G32380.1, AT1G05220.1"	"OG0001594"	"AT1G05210.1, AT1G05220.1, AT2G32380.1"	"AT1G05210.1"	169	168	99	100	168	83.333	282	"AT1G05210.1"	"83.333"	"168"	"28"	"0"	"1"	"168"	"1"	"168"	"5.42e-99"	"282"	"99"	"169"	"168"
"As008G195170"	86	"AT1G05205.1"	"AT1G05205.1"	"orthologue"	"AT1G05205.1"	"N0.HOG0016524"	"AT1G05205.1"	"OG0010270"	"AT1G05205.1"	"AT1G05205.1"	87	91	99	95	86	94.186	169	"AT1G05205.1"	"94.186"	"86"	"5"	"0"	"1"	"86"	"1"	"86"	"9.76e-57"	"169"	"99"	"87"	"91"
"As008G195180"	961	"AT1G05200.1"	"AT1G05200.1"	"orthologue"	"AT1G05200.1"	"N0.HOG0016525"	"AT1G05200.1"	"OG0010271"	"AT1G05200.1"	"AT1G05200.1"	962	959	99	99	963	85.151	1668	"AT1G05200.1"	"85.254"	"963"	"132"	"2"	"1"	"959"	"1"	"957"	"0"	"1668"	"99"	"962"	"959"
"As008G195190"	226	"AT1G05190.1"	"AT1G05190.1"	"orthologue"	"AT1G05190.1"	"N0.HOG0010747"	"AT1G05190.1"	"OG0005044"	"AT1G05190.1"	"AT1G05190.1"	227	223	99	96	217	92.627	405	"AT1G05190.1"	"92.92"	"226"	"13"	"1"	"1"	"226"	"1"	"223"	"2.68e-152"	"421"	"99"	"227"	"223"
"As008G195200"	523	"AT1G05180.1"	"AT1G05180.1"	"orthologue"	"AT1G05180.1"	"N0.HOG0006106"	"AT1G05180.1"	"OG0002059"	"AT1G05180.1, AT2G32410.1"	"AT1G05180.1"	524	540	99	97	524	90.076	967	"AT1G05180.1"	"90.076"	"524"	"51"	"1"	"1"	"523"	"17"	"540"	"0"	"985"	"99"	"524"	"540"
"As008G195210"	408	"AT1G05170.2"	"AT1G05170.2"	"orthologue"	"AT1G05170.2"	"N0.HOG0007809"	"AT1G05170.2"	"OG0002972"	"AT1G05170.2, AT2G32430.1"	"AT1G05170.2"	409	407	99	100	408	89.951	780	"AT1G05170.2"	"89.951"	"408"	"40"	"1"	"1"	"408"	"1"	"407"	"0"	"780"	"99"	"409"	"407"
"As008G195220"	491	"AT1G05160.1"	"AT1G05160.1"	"orthologue"	"AT1G05160.1"	"N0.HOG0007520"	"AT1G05160.1"	"OG0002808"	"AT1G05160.1, AT2G32440.1"	"AT1G05160.1"	492	490	99	96	471	85.041	875	"AT1G05160.1"	"85.041"	"488"	"72"	"1"	"1"	"487"	"1"	"488"	"0"	"884"	"99"	"492"	"490"
"As008G195230"	797	"AT1G05150.1"	"AT1G05150.1"	"orthologue"	"AT1G05150.1"	"N0.HOG0008512"	"AT1G05150.1"	"OG0003412"	"AT1G05150.1, AT2G32450.1"	"AT1G05150.1"	798	808	99	100	808	88.985	1474	"AT1G05150.1"	"88.985"	"808"	"78"	"5"	"1"	"797"	"1"	"808"	"0"	"1474"	"99"	"798"	"808"
"As008G195240"	439	"AT2G32480.1, AT1G05140.1"	"AT2G32480.1"	"orthologue"	"AT2G32480.1, AT1G05140.1"	NA	NA	"OG0002841"	"AT1G05140.1, AT2G32480.1"	"AT2G32480.1"	440	447	99	100	447	77.629	683	"AT2G32480.1"	"77.629"	"447"	"92"	"2"	"1"	"439"	"1"	"447"	"0"	"683"	"99"	"440"	"447"
"As008G195260"	341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G07570.1"	"28.179"	"291"	"174"	"12"	"40"	"320"	"43"	"308"	"0.002"	"40"	"82"	"342"	"1504"
"As008G195270"	826	"AT1G05120.2"	"AT1G05120.2"	"orthologue"	"AT1G05120.2"	"N0.HOG0010750"	"AT1G05120.2"	"OG0005045"	"AT1G02670.3, AT1G05120.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G05120.2"	"76.168"	"835"	"182"	"8"	"1"	"822"	"44"	"874"	"0"	"1295"	"99"	"827"	"876"
"As008G195280"	840	"AT1G05120.2"	"AT1G05120.2"	"orthologue"	"AT1G05120.2"	"N0.HOG0010750"	"AT1G05120.2"	"OG0005045"	"AT1G02670.3, AT1G05120.2"	"AT1G05120.2"	841	876	99	95	842	77.197	1309	"AT1G05120.2"	"77.316"	"842"	"178"	"6"	"1"	"839"	"44"	"875"	"0"	"1316"	"99"	"841"	"876"
"As008G195290"	329	"AT1G05100.1"	"AT1G05100.1"	"orthologue"	"AT1G05100.1"	"N0.HOG0022431"	"AT1G05100.1"	"OG0015856"	"AT1G05100.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G05100.1"	"67.536"	"345"	"87"	"9"	"1"	"326"	"1"	"339"	"2.1e-155"	"438"	"99"	"330"	"339"
"As008G195300"	621	"AT1G05087.1"	"AT1G05087.1"	"orthologue"	"AT1G05087.1"	"N0.HOG0012291"	"AT1G05090.1, AT4G20720.1, AT1G05087.1"	"OG0006362"	"AT1G05087.1, AT1G05090.1, AT4G20720.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G20720.1"	"57.572"	"733"	"185"	"17"	"1"	"616"	"1"	"724"	"0"	"699"	"99"	"622"	"729"
"As008G195310"	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G41010.1"	"73.913"	"46"	"12"	"0"	"61"	"106"	"6"	"51"	"8.05e-23"	"83.2"	"43"	"107"	"51"
"As008G195320"	84	"AT1G05087.1"	"AT1G05087.1"	"orthologue"	"AT1G05087.1"	"N0.HOG0012291"	"AT1G05090.1, AT4G20720.1, AT1G05087.1"	"OG0006362"	"AT1G05087.1, AT1G05090.1, AT4G20720.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As008G195330"	282	"ATMG00860.1"	"ATMG00860.1"	"other"	NA	NA	NA	"OG0000015"	"ATMG00860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G67020.1"	"29.487"	"78"	"51"	"2"	"99"	"176"	"107"	"180"	"0.007"	"37.7"	"28"	"283"	"659"
"As008G195350"	387	"AT1G30920.1, AT1G30925.1, AT1G30930.1, AT1G31080.1, AT1G31090.1, AT1G33010.1, AT1G33020.1, AT1G60370.1, AT1G67130.1, AT3G56890.1, AT3G57580.1, AT3G57590.1, AT5G38810.2, AT5G42430.1"	"AT1G33020.1"	"other"	NA	NA	NA	"OG0000027"	"AT1G30920.1, AT1G30925.1, AT1G30930.1, AT1G31080.1, AT1G31090.1, AT1G33010.1, AT1G33020.1, AT1G60370.1, AT1G67130.1, AT3G56890.1, AT3G57580.1, AT3G57590.1, AT5G38810.2, AT5G42430.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G33020.1"	"42.526"	"388"	"179"	"12"	"11"	"385"	"13"	"369"	"3.78e-84"	"266"	"97"	"388"	"548"
"As008G195360"	70	"AT1G05340.1"	"AT1G05340.1"	"orthologue"	"AT1G05340.1"	"N0.HOG0004178"	"AT2G32210.1, AT2G32190.1, AT1G05340.1"	"OG0001100"	"AT1G05340.1, AT2G32190.1, AT2G32210.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32190.1"	"60.714"	"28"	"9"	"1"	"1"	"28"	"36"	"61"	"0.000699"	"34.3"	"39"	"71"	"71"
"As008G195380"	251	"AT1G05060.1"	"AT1G05060.1"	"orthologue"	"AT1G05060.1"	"N0.HOG0020503"	"AT1G05060.1"	"OG0013970"	"AT1G05060.1"	"AT1G05060.1"	252	253	99	100	254	83.858	425	"AT1G05060.1"	"83.858"	"254"	"37"	"3"	"1"	"251"	"1"	"253"	"6.81e-153"	"425"	"99"	"252"	"253"
"As008G195400"	204	"AT5G40170.1"	"AT5G40170.1"	"orthologue"	"AT5G40170.1"	"N0.HOG0007849"	"AT5G40170.1"	"OG0002994"	"AT5G40170.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G33080.1"	"51.031"	"194"	"90"	"3"	"1"	"193"	"195"	"384"	"2.92e-50"	"172"	"94"	"205"	"740"
"As008G195410"	100	"AT3G29780.1"	"AT3G29780.1"	"orthologue"	"AT3G29780.1"	"N0.HOG0005485"	"AT3G29780.1"	"OG0001747"	"AT3G29780.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G29780.1"	"40.23"	"87"	"41"	"2"	"23"	"98"	"31"	"117"	"5.53e-11"	"54.7"	"75"	"101"	"117"
"As008G195430"	420	"AT1G05055.1"	"AT1G05055.1"	"orthologue"	"AT1G05055.1"	"N0.HOG0022432"	"AT1G05055.1"	"OG0015857"	"AT1G05055.1"	"AT1G05055.1"	421	421	99	100	421	89.786	771	"AT1G05055.1"	"89.786"	"421"	"42"	"1"	"1"	"420"	"1"	"421"	"0"	"771"	"99"	"421"	"421"
"As008G195440"	738	"AT1G05020.1"	"AT1G05020.1"	"orthologue"	"AT1G05020.1"	"N0.HOG0014217"	"AT1G05020.1"	"OG0008103"	"AT1G05020.1"	"AT1G05020.1"	739	653	67	81	528	73.295	746	"AT1G05020.1"	"73.295"	"528"	"105"	"9"	"1"	"494"	"1"	"526"	"0"	"746"	"67"	"739"	"653"
"As008G195450"	323	"AT1G05010.1"	"AT1G05010.1"	"orthologue"	"AT1G05010.1"	"N0.HOG0023861"	"AT1G05010.1"	"OG0017246"	"AT1G05010.1"	"AT1G05010.1"	324	323	99	100	323	90.093	601	"AT1G05010.1"	"90.093"	"323"	"32"	"0"	"1"	"323"	"1"	"323"	"0"	"601"	"99"	"324"	"323"
"As008G195460"	243	"AT2G32960.1"	"AT2G32960.1"	"orthologue"	"AT2G32960.1"	"N0.HOG0012179"	"AT2G32960.1"	"OG0006264"	"AT2G32960.1"	"AT1G05000.2"	244	247	99	99	250	84.8	418	"AT1G05000.2"	"84.8"	"250"	"26"	"4"	"1"	"242"	"1"	"246"	"3.03e-150"	"418"	"99"	"244"	"247"
"As008G195470"	484	"AT3G59830.1"	"AT3G59830.1"	"orthologue"	"AT3G59830.1"	"N0.HOG0007029"	"AT3G59830.1"	"OG0002544"	"AT2G43850.1, AT3G59830.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G59830.1"	"81.913"	"481"	"82"	"3"	"4"	"484"	"2"	"477"	"0"	"827"	"99"	"485"	"477"
"As008G195480"	406	"AT1G04990.1"	"AT1G04990.1"	"orthologue"	"AT1G04990.1"	"N0.HOG0022433"	"AT1G04990.1"	"OG0015858"	"AT1G04990.1"	"AT1G04990.1"	407	404	99	99	407	73.71	588	"AT1G04990.1"	"73.71"	"407"	"94"	"6"	"4"	"406"	"5"	"402"	"0"	"603"	"99"	"407"	"404"
"As008G195490"	194	"AT1G04985.1"	"AT1G04985.1"	"orthologue"	"AT1G04985.1"	"N0.HOG0023862"	"AT1G04985.1"	"OG0017247"	"AT1G04985.1"	"AT1G04985.1"	195	193	97	98	190	83.158	299	"AT1G04985.1"	"83.158"	"190"	"30"	"2"	"1"	"189"	"1"	"189"	"6.07e-105"	"299"	"97"	"195"	"193"
"As008G195510"	441	"AT1G04980.1"	"AT1G04980.1"	"orthologue"	"AT1G04980.1"	"N0.HOG0025708"	"AT1G04980.1"	"OG0018990"	"AT1G04980.1"	"AT1G04980.1"	442	447	98	96	430	88.383	762	"AT1G04980.1"	"88.383"	"439"	"47"	"2"	"7"	"441"	"9"	"447"	"0"	"793"	"98"	"442"	"447"
"As008G195530"	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As008G195540"	484	"AT1G04970.1"	"AT1G04970.1"	"orthologue"	"AT1G04970.1"	"N0.HOG0022434"	"AT1G04970.1"	"OG0015859"	"AT1G04970.1"	"AT1G04970.1"	485	488	99	99	484	85.124	816	"AT1G04970.1"	"85.124"	"484"	"71"	"1"	"1"	"483"	"1"	"484"	"0"	"816"	"99"	"485"	"488"
"As008G195550"	324	"AT1G04960.2"	"AT1G04960.2"	"orthologue"	"AT1G04960.2"	"N0.HOG0022435"	"AT1G04960.2"	"OG0015860"	"AT1G04960.2"	"AT1G04960.2"	325	334	94	90	307	79.153	496	"AT1G04960.2"	"79.153"	"307"	"55"	"3"	"19"	"324"	"36"	"334"	"1.35e-178"	"496"	"94"	"325"	"334"
"As008G195560"	543	"AT1G04950.1"	"AT1G04950.1"	"orthologue"	"AT1G04950.1"	"N0.HOG0015375"	"AT1G04950.1"	"OG0009210"	"AT1G04950.1"	"AT1G04950.1"	544	549	99	100	549	85.064	924	"AT1G04950.1"	"85.064"	"549"	"76"	"3"	"1"	"543"	"1"	"549"	"0"	"924"	"99"	"544"	"549"
"As008G195570"	662	"AT2G32860.2"	"AT2G32860.2"	"orthologue"	"AT2G32860.2"	"N0.HOG0012935"	"AT2G32860.2"	"OG0006924"	"AT2G32860.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32860.2"	"54.093"	"562"	"237"	"7"	"20"	"575"	"26"	"572"	"0"	"602"	"84"	"663"	"614"
"As008G195580"	377	"AT1G04945.3"	"AT1G04945.3"	"orthologue"	"AT1G04945.3"	"N0.HOG0013118"	"AT1G04945.3"	"OG0007094"	"AT1G04945.3"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04945.3"	"69.849"	"398"	"87"	"6"	"8"	"377"	"252"	"644"	"0"	"538"	"98"	"378"	"644"
"As008G195590"	273	"AT1G04940.1"	"AT1G04940.1"	"orthologue"	"AT1G04940.1"	"N0.HOG0020504"	"AT1G04940.1"	"OG0013971"	"AT1G04940.1"	"AT1G04940.1"	274	274	99	100	275	84	448	"AT1G04940.1"	"84"	"275"	"40"	"2"	"2"	"273"	"1"	"274"	"3.96e-161"	"448"	"99"	"274"	"274"
"As008G195600"	332	"AT1G04930.2"	"AT1G04930.2"	"orthologue"	"AT1G04930.2"	"N0.HOG0006783"	"AT1G04930.2"	"OG0002417"	"AT1G04930.2, AT2G32840.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32840.1"	"58.104"	"327"	"117"	"11"	"9"	"328"	"15"	"328"	"8.49e-108"	"317"	"96"	"333"	"337"
"As008G195610"	1063	"AT1G04920.1"	"AT1G04920.1"	"orthologue"	"AT1G04920.1"	"N0.HOG0024693"	"AT1G04920.1"	"OG0018041"	"AT1G04920.1"	"AT1G04920.1"	1064	1062	99	99	1068	87.453	1927	"AT1G04920.1"	"87.453"	"1068"	"121"	"7"	"1"	"1062"	"1"	"1061"	"0"	"1927"	"99"	"1064"	"1062"
"As008G195620"	519	"AT1G04910.1"	"AT1G04910.1"	"orthologue"	"AT1G04910.1"	"N0.HOG0018804"	"AT1G04910.1"	"OG0012358"	"AT1G04910.1"	"AT1G04910.1"	520	519	99	100	519	93.834	1005	"AT1G04910.1"	"93.834"	"519"	"32"	"0"	"1"	"519"	"1"	"519"	"0"	"1005"	"99"	"520"	"519"
"As008G195630"	451	"AT1G04900.1"	"AT1G04900.1"	"orthologue"	"AT1G04900.1"	"N0.HOG0020505"	"AT1G04900.1"	"OG0013972"	"AT1G04900.1"	"AT1G04900.1"	452	442	99	100	451	88.47	822	"AT1G04900.1"	"88.47"	"451"	"43"	"1"	"1"	"451"	"1"	"442"	"0"	"822"	"99"	"452"	"442"
"As008G195640"	545	"AT1G04890.1"	"AT1G04890.1"	"orthologue"	"AT1G04890.1"	"N0.HOG0022436"	"AT1G04890.1"	"OG0015861"	"AT1G04890.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04890.1"	"63.636"	"407"	"101"	"11"	"159"	"533"	"1"	"392"	"1.53e-136"	"402"	"69"	"546"	"411"
"As008G195650"	442	"AT1G04880.1"	"AT1G04880.1"	"orthologue"	"AT1G04880.1"	"N0.HOG0010311"	"AT1G04880.1"	"OG0004671"	"AT1G04880.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04880.1"	"68.849"	"443"	"119"	"11"	"1"	"429"	"1"	"438"	"0"	"531"	"97"	"443"	"448"
"As008G195660"	969	"AT1G04860.1"	"AT1G04860.1"	"orthologue"	"AT1G04860.1"	"N0.HOG0008154"	"AT1G04860.1"	"OG0003175"	"AT1G04860.1, AT2G32780.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04860.1"	"67.202"	"997"	"254"	"20"	"1"	"964"	"1"	"957"	"0"	"1184"	"99"	"970"	"961"
"As008G195670"	91	"AT2G32760.1"	"AT2G32760.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32760.1"	"67"	"100"	"20"	"2"	"1"	"89"	"216"	"313"	"4.66e-36"	"124"	"97"	"92"	"352"
"As008G195680"	65	"AT2G32760.1"	"AT2G32760.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32760.1"	"54.839"	"62"	"27"	"1"	"1"	"61"	"1"	"62"	"7.1e-12"	"57.8"	"92"	"66"	"352"
"As008G195690"	413	"AT1G04850.1"	"AT1G04850.1"	"orthologue"	"AT1G04850.1"	"N0.HOG0016526"	"AT1G04850.1"	"OG0010272"	"AT1G04850.1"	"AT1G04850.1"	414	413	99	100	415	88.434	659	"AT1G04850.1"	"88.434"	"415"	"44"	"2"	"1"	"413"	"1"	"413"	"0"	"659"	"99"	"414"	"413"
"As008G195700"	668	"AT1G04840.1"	"AT1G04840.1"	"orthologue"	"AT1G04840.1"	"N0.HOG0024694"	"AT1G04840.1"	"OG0018042"	"AT1G04840.1"	"AT1G04840.1"	669	665	99	100	668	80.24	1102	"AT1G04840.1"	"80.24"	"668"	"129"	"1"	"1"	"668"	"1"	"665"	"0"	"1120"	"99"	"669"	"665"
"As008G195710"	451	"AT1G04830.2"	"AT1G04830.2"	"orthologue"	"AT1G04830.2"	"N0.HOG0015376"	"AT1G04830.2"	"OG0009211"	"AT1G04830.2"	"AT1G04830.2"	452	459	97	95	439	83.937	738	"AT1G04830.2"	"84.055"	"439"	"63"	"4"	"1"	"437"	"1"	"434"	"0"	"758"	"97"	"452"	"459"
"As008G195720"	413	"AT5G13730.1"	"AT5G13730.1"	"orthologue"	"AT5G13730.1"	"N0.HOG0014218"	"AT5G13730.1"	"OG0008104"	"AT5G13730.1"	"AT5G13730.1"	414	419	97	97	414	76.57	570	"AT5G13730.1"	"77.053"	"414"	"73"	"8"	"12"	"411"	"13"	"418"	"0"	"570"	"97"	"414"	"419"
"As008G195730"	1013	"AT1G04810.1"	"AT1G04810.1"	"orthologue"	"AT1G04810.1"	"N0.HOG0004857"	"AT1G04810.1"	"OG0001431"	"AT1G04810.1, AT2G32730.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32730.1"	"91.51"	"1013"	"75"	"3"	"1"	"1012"	"1"	"1003"	"0"	"1819"	"99"	"1014"	"1004"
"As008G195740"	473	"AT5G43060.1"	"AT5G43060.1"	"orthologue"	"AT5G43060.1"	"N0.HOG0004980"	"AT5G43060.1"	"OG0001493"	"AT1G47128.1, AT5G43060.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G47128.1"	"64.378"	"466"	"151"	"5"	"1"	"458"	"1"	"459"	"0"	"598"	"97"	"474"	"462"
"As008G195750"	799	"AT1G04810.1"	"AT1G04810.1"	"other"	NA	"N0.HOG0004857"	"AT1G04810.1"	"OG0001431"	"AT1G04810.1, AT2G32730.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04810.1"	"84.962"	"798"	"114"	"3"	"1"	"796"	"1"	"794"	"0"	"1355"	"99"	"800"	"1001"
"As008G195760"	789	"AT2G32700.7"	"AT2G32700.7"	"orthologue"	"AT2G32700.7"	"N0.HOG0012929"	"AT2G32700.7"	"OG0006921"	"AT2G32700.7"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G32700.7"	"78.256"	"814"	"144"	"9"	"1"	"789"	"1"	"806"	"0"	"1244"	"99"	"790"	"806"
"As008G195770"	157	"AT1G04800.1"	"AT1G04800.1"	"orthologue"	"AT1G04800.1"	"N0.HOG0004723"	"AT1G04800.1"	"OG0001361"	"AT1G04800.1, AT2G32690.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As008G195780"	863	"AT1G04790.1"	"AT1G04790.1"	"orthologue"	"AT1G04790.1"	"N0.HOG0016527"	"AT1G04790.1"	"OG0010273"	"AT1G04790.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G04790.1"	"63.76"	"367"	"118"	"8"	"509"	"863"	"271"	"634"	"3.48e-126"	"393"	"41"	"864"	"634"
"As008G195790"	661	"AT1G04780.1"	"AT1G04780.1"	"orthologue"	"AT1G04780.1"	"N0.HOG0015377"	"AT1G04780.1"	"OG0009212"	"AT1G04780.1"	"AT1G04780.1"	662	664	99	99	676	77.434	991	"AT1G04780.1"	"77.663"	"676"	"113"	"8"	"2"	"655"	"3"	"662"	"0"	"1017"	"99"	"662"	"664"
"As008G195810"	292	"AT5G22794.2, AT1G04770.1"	"AT1G04770.1"	"orthologue"	"AT5G22794.2, AT1G04770.1"	"N0.HOG0013119"	"AT5G22794.2, AT1G04770.1"	"OG0007095"	"AT1G04770.1, AT5G22794.2"	"AT1G04770.1"	293	303	99	97	295	81.017	480	"AT1G04770.1"	"81.017"	"295"	"48"	"2"	"4"	"292"	"11"	"303"	"4.8e-173"	"480"	"99"	"293"	"303"
"As008G195820"	102	"AT2G33130.1, AT2G20660.1"	"AT2G20660.1"	"orthologue"	"AT2G33130.1, AT2G20660.1"	"N0.HOG0009075"	"AT2G33130.1, AT2G20660.1"	"OG0003762"	"AT2G20660.1, AT2G33130.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G20660.1"	"55.882"	"102"	"39"	"4"	"5"	"102"	"2"	"101"	"2e-28"	"98.6"	"95"	"103"	"101"
"As008G195830"	987	"AT2G33100.1"	"AT2G33100.1"	"orthologue"	"AT2G33100.1"	"N0.HOG0012927"	"AT2G33100.1"	"OG0006919"	"AT2G33100.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G33100.1"	"87.651"	"996"	"111"	"3"	"1"	"987"	"44"	"1036"	"0"	"1826"	"99"	"988"	"1036"
"As008G195840"	220	"AT1G04750.1"	"AT1G04750.1"	"orthologue"	"AT1G04750.1"	"N0.HOG0001971"	"AT1G04750.1"	"OG0000314"	"AT1G04750.1, AT1G04760.1, AT2G32670.1, AT2G33110.1, AT2G33120.2"	"AT1G04750.1"	221	219	99	100	219	99.087	453	"AT1G04750.1"	"99.087"	"219"	"2"	"0"	"1"	"219"	"1"	"219"	"3.6e-165"	"453"	"99"	"221"	"219"
"As008G195850"	87	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As008G195860"	945	"AT1G04730.1"	"AT1G04730.1"	"orthologue"	"AT1G04730.1"	"N0.HOG0020506"	"AT1G04730.1"	"OG0013973"	"AT1G04730.1"	"AT1G04730.1"	946	943	99	99	952	80.252	1523	"AT1G04730.1"	"80.252"	"952"	"170"	"7"	"1"	"944"	"1"	"942"	"0"	"1523"	"99"	"946"	"943"
"As008G195870"	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G06250.1, AT5G18960.1"	"97.059"	"34"	"1"	"0"	"16"	"49"	"673, 697"	"706, 730"	"5.09e-18, 5.1e-18"	"76.3"	"40"	"86"	"764, 788"
"As008G195880"	1090	"AT1G04700.1"	"AT1G04700.1"	"orthologue"	"AT1G04700.1"	"N0.HOG0017582"	"AT1G04700.1"	"OG0011231"	"AT1G04700.1"	"AT1G04700.1"	1091	1042	99	100	1109	73.219	1522	"AT1G04700.1"	"73.67"	"1109"	"206"	"23"	"1"	"1090"	"1"	"1042"	"0"	"1542"	"99"	"1091"	"1042"
"As008G195890"	328	"AT1G04690.1"	"AT1G04690.1"	"orthologue"	"AT1G04690.1"	"N0.HOG0011706"	"AT1G04690.1"	"OG0005862"	"AT1G04690.1"	"AT1G04690.1"	329	328	99	100	328	96.037	662	"AT1G04690.1"	"96.037"	"328"	"13"	"0"	"1"	"328"	"1"	"328"	"0"	"662"	"99"	"329"	"328"
"As008G195900"	434	"AT1G04680.1"	"AT1G04680.1"	"orthologue"	"AT1G04680.1"	"N0.HOG0011707"	"AT1G04680.1"	"OG0005863"	"AT1G04680.1"	"AT1G04680.1"	435	431	99	100	434	90.323	795	"AT1G04680.1"	"90.323"	"434"	"39"	"3"	"1"	"434"	"1"	"431"	"0"	"799"	"99"	"435"	"431"
"As008G195910"	130	"AT1G04670.1"	"AT1G04670.1"	"orthologue"	"AT1G04670.1"	"N0.HOG0018805"	"AT1G04670.1"	"OG0012359"	"AT1G04670.1"	"AT1G04670.1"	131	126	96	100	126	80.952	199	"AT1G04670.1"	"80.952"	"126"	"24"	"0"	"5"	"130"	"1"	"126"	"1.62e-67"	"199"	"96"	"131"	"126"
"As008G195920"	229	"AT1G04660.1"	"AT1G04660.1"	"orthologue"	"AT1G04660.1"	"N0.HOG0013120"	"AT1G04660.1"	"OG0007096"	"AT1G04660.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"As008G195930"	1003	"AT1G04650.1"	"AT1G04650.1"	"orthologue"	"AT1G04650.1"	"N0.HOG0018806"	"AT1G04650.1"	"OG0012360"	"AT1G04650.1"	"AT1G04650.1"	1004	997	99	99	1008	75.595	1460	"AT1G04650.1"	"75.794"	"1008"	"223"	"9"	"1"	"1001"	"1"	"994"	"0"	"1495"	"99"	"1004"	"997"
"As008G195940"	238	"AT1G04640.1"	"AT1G04640.1"	"orthologue"	"AT1G04640.1"	NA	NA	"OG0005864"	"AT1G04640.1"	"AT1G04640.1"	239	235	98	99	234	86.325	426	"AT1G04640.1"	"86.325"	"234"	"32"	"0"	"5"	"238"	"2"	"235"	"1.44e-153"	"426"	"98"	"239"	"235"
"As008G195950"	143	"AT2G33220.2, AT1G04630.1"	"AT1G04630.1"	"orthologue"	"AT2G33220.2, AT1G04630.1"	NA	NA	"OG0002031"	"AT1G04630.1, AT2G33220.2"	"AT1G04630.1"	144	143	99	100	143	97.203	285	"AT1G04630.1"	"97.203"	"143"	"4"	"0"	"1"	"143"	"1"	"143"	"3.13e-101"	"285"	"99"	"144"	"143"
