"Odontarrhena_muralis"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"Om004G154330"	"AT2G22830.1"	"AT2G22830.1"	"AT2G22830.1"	"N0.HOG0007272"	"AT2G22830.1"	"OG0002669"	"AT2G22830.1, AT4G37760.1"	"AT2G22830.1"	589	585	99	99	603	76.451	868	"AT2G22830.1"	76.451	603	104	9	1	586	4	585	0	868	99	589	585
"Om004G154340"	"AT2G22840.1"	"AT2G22840.1"	"AT2G22840.1"	"N0.HOG0022334"	"AT2G22840.1"	"OG0015762"	"AT2G22840.1"	"AT2G22840.1"	512	530	99	99	539	77.737	780	"AT2G22840.1"	77.922	539	79	8	1	510	1	528	0	780	99	512	530
"Om004G154360"	"AT2G22860.1"	"AT2G22860.1"	"AT2G22860.1"	"N0.HOG0018737"	"AT2G22860.1"	"OG0012294"	"AT2G22860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G22860.1"	59.551	89	31	3	1	86	1	87	1.22e-29	100	99	87	87
"Om004G154370"	"AT2G22870.1"	"AT2G22870.1"	"AT2G22870.1"	"N0.HOG0017535"	"AT2G22870.1"	"OG0011194"	"AT2G22870.1"	"AT2G22870.1"	293	300	99	100	300	81.667	497	"AT2G22870.1"	81.667	300	47	2	1	292	1	300	8.66e-180	497	99	293	300
"Om004G154380"	"AT2G22880.1"	"AT2G22880.1"	"AT2G22880.1"	"N0.HOG0016493"	"AT2G22880.1"	"OG0010239"	"AT2G22880.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G22880.1"	62.121	132	32	2	1	132	1	114	6.36e-50	154	99	133	114
"Om004G154400"	"AT2G23030.1"	"AT2G23030.1"	"AT2G23030.1"	"N0.HOG0020429"	"AT2G23030.1"	"OG0013901"	"AT2G23030.1"	"AT2G23030.1"	342	339	99	100	341	89.443	624	"AT2G23030.1"	90.323	341	31	1	1	341	1	339	0	641	99	342	339
"Om004G154410"	"AT3G42860.1"	"AT3G42860.1"	"AT3G42860.1"	"N0.HOG0024739"	"AT3G42860.1"	"OG0018087"	"AT3G42860.1"	"AT3G42860.1"	350	372	99	100	377	70.027	466	"AT3G42860.1"	70.027	377	80	6	1	349	1	372	2.8e-177	496	99	350	372
"Om004G154420"	"AT2G23070.1"	"AT2G23070.1"	"AT2G23070.1"	"N0.HOG0011505"	"AT2G23070.1"	"OG0005688"	"AT2G23070.1"	"AT2G23070.1"	432	432	99	100	434	91.935	740	"AT2G23070.1"	91.935	434	30	2	1	431	1	432	0	749	99	432	432
"Om004G154430"	"AT2G22440.1"	"AT2G22440.1"	NA	"N0.HOG0000027"	"AT2G22440.1"	"OG0000004"	"AT2G22440.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G29090.1"	33.886	422	239	8	379	772	2	411	4.39e-69	238	50	785	575
"Om004G154440"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G43760.1"	24.46	278	194	6	136	401	222	495	6.3e-19	88.6	64	417	626
"Om004G154450"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G17920.1, AT2G13450.1"	34.978	223	144	1	1	223	1	222	5.2e-40	143	62	362	307
"Om004G154460"	"AT2G23090.1"	"AT2G23090.1"	NA	"N0.HOG0011039"	"AT2G23090.1"	"OG0005286"	"AT2G23090.1"	"AT2G23090.1"	79	78	99	100	78	93.59	150	"AT2G23090.1"	93.59	78	5	0	1	78	1	78	1.62e-49	150	99	79	78
"Om004G154470"	"AT2G23093.1"	"AT2G23093.1"	"AT2G23093.1"	"N0.HOG0022333"	"AT2G23093.1"	"OG0015761"	"AT2G23093.1"	"AT2G23093.1"	450	449	99	100	449	85.078	760	"AT2G23093.1"	85.078	449	67	0	1	449	1	449	0	760	99	450	449
"Om004G154480"	"AT2G23096.1"	"AT2G23096.1"	"AT2G23096.1"	"N0.HOG0025955"	"AT2G23096.1"	"OG0019217"	"AT2G23096.1"	"AT2G23096.1"	285	274	98	100	282	74.113	427	"AT2G23096.1"	74.113	282	63	5	1	280	1	274	9.35e-153	427	98	285	274
"Om004G154490"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G06265.1"	35.135	74	42	2	57	125	6	78	0.00026	38.1	53	130	134
"Om004G154510"	"AT2G24940.1"	"AT2G24940.1"	"AT2G24940.1"	"N0.HOG0023817"	"AT2G24940.1"	"OG0017202"	"AT2G24940.1"	"AT2G24940.1"	101	100	99	100	100	96	197	"AT2G24940.1"	96	100	4	0	1	100	1	100	1.13e-67	197	99	101	100
"Om004G154520"	"AT2G24830.1"	"AT2G24830.1"	"AT2G24830.1"	"N0.HOG0020425"	"AT2G24830.1"	"OG0013897"	"AT2G24830.1"	"AT2G24830.1"	503	497	99	100	504	77.579	697	"AT2G24830.1"	77.579	504	104	3	1	502	1	497	0	697	99	503	497
"Om004G154530"	"AT2G24820.1"	"AT2G24820.1"	"AT2G24820.1"	"N0.HOG0014152"	"AT2G24820.1"	"OG0008042"	"AT2G24820.1"	"AT2G24820.1"	531	539	99	100	542	85.978	939	"AT2G24820.1"	85.978	542	61	7	1	530	1	539	0	940	99	531	539
"Om004G154540"	"AT1G01640.1"	"AT1G01640.1"	"AT1G01640.1"	"N0.HOG0008553"	"AT1G01640.1"	"OG0003435"	"AT1G01640.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G01640.1"	88.265	196	23	0	1	196	1	196	3.08e-129	362	93	210	207
"Om004G154560"	"ATMG00860.1"	"ATMG00860.1"	NA	NA	NA	"OG0000015"	"ATMG00860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00860.1"	55.97	134	57	1	783	914	1	134	1.56e-44	158	9	1551	158
"Om004G154590"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G06105.1"	33.333	84	52	1	762	845	52	131	3.18e-05	47.4	8	1116	390
"Om004G154600"	"AT2G24800.1"	"AT2G24800.1"	"AT2G24800.1"	"N0.HOG0022324"	"AT2G24800.1"	"OG0015752"	"AT2G24800.1"	"AT2G24800.1"	331	329	99	92	303	82.121	545	"AT2G24800.1"	82.121	330	58	1	1	330	1	329	0	545	99	331	329
"Om004G154610"	"AT5G48050.1"	"AT5G48050.1"	NA	"N0.HOG0001097"	"AT5G48050.1"	"OG0000128"	"AT1G34070.1, AT5G48050.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G34070.1"	41.176	68	36	2	1	68	191	254	2.3e-06	42.7	87	78	308
"Om004G154630"	"AT5G25780.1, AT5G27640.2"	"AT5G27640.2"	"AT5G25780.1, AT5G27640.2"	"N0.HOG0008731"	"AT5G25780.1, AT5G27640.2"	"OG0003545"	"AT5G25780.1, AT5G27640.2"	"AT5G27640.2"	713	738	99	99	735	91.156	1350	"AT5G27640.2"	91.156	735	39	1	1	709	1	735	0	1383	99	713	738
"Om004G154640"	"AT5G06260.1"	"AT5G06260.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G06260.1"	80.567	247	48	0	1	247	146	392	6.49e-151	427	91	272	424
"Om004G154650"	"AT5G05010.1"	"AT5G05010.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G05010.1"	64.773	88	31	0	1	88	1	88	1.02e-29	109	95	93	527
"Om004G154670"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05850.1"	30.996	271	163	10	5	265	515	771	1.42e-24	102	97	269	777
"Om004G154680"	"AT2G07240.1"	"AT2G07240.1"	NA	NA	NA	"OG0000574"	"AT2G07240.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G07240.1"	33.533	167	104	2	2	163	700	864	1.11e-23	96.7	93	175	874
"Om004G154710"	"AT2G24610.2"	"AT2G24610.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G24610.2"	64.516	93	29	2	2	93	651	740	5.2e-31	114	94	98	741
"Om004G154760"	"AT5G13030.1"	"AT5G13030.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G13030.1"	85.714	70	10	0	3	72	564	633	1.87e-39	136	96	73	633
"Om004G154770"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G62850.1"	30.732	205	123	7	212	405	13	209	7.02e-24	103	43	449	472
"Om004G154780"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G62850.1, AT3G62850.1"	34.466	206	111	8	222	414	15	209	2.46e-27	113	43	452	472
"Om004G154790"	"AT2G24610.2"	"AT2G24610.2"	"AT2G24610.2"	"N0.HOG0014153"	"AT2G24610.2"	"OG0008043"	"AT2G24610.2"	"AT2G24610.2"	726	741	99	97	724	88.95	1294	"AT2G24610.2"	88.95	724	68	4	6	721	21	740	0	1317	99	726	741
"Om004G154800"	"AT2G24590.1"	"AT2G24590.1"	"AT2G24590.1"	"N0.HOG0006416"	"AT2G24590.1"	"OG0002224"	"AT2G24590.1"	"AT2G24590.1"	198	196	99	100	199	85.427	231	"AT2G24590.1"	85.427	199	24	2	1	197	1	196	7.73e-78	231	99	198	196
"Om004G154810"	"AT1G18050.1, AT3G30370.1, AT5G15685.1"	"AT5G15685.1"	NA	NA	NA	"OG0000019"	"AT1G18050.1, AT3G30370.1, AT5G15685.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G15685.1"	44.654	159	86	2	1	159	278	434	5.43e-40	140	96	165	493
"Om004G154820"	"AT2G24540.1"	"AT2G24540.1"	"AT2G24540.1"	"N0.HOG0023230"	"AT2G24540.1"	"OG0016627"	"AT2G24540.1"	"AT2G24540.1"	352	372	98	94	352	80.966	569	"AT2G24540.1"	80.966	352	59	3	6	351	23	372	0	586	98	352	372
"Om004G154830"	"AT2G24530.1"	"AT2G24530.1"	"AT2G24530.1"	"N0.HOG0004658"	"AT2G24530.1"	"OG0001328"	"AT2G24530.1, AT4G31440.1"	"AT2G24530.1"	415	407	99	100	414	76.57	639	"AT2G24530.1"	76.57	414	90	2	1	414	1	407	0	639	99	415	407
"Om004G154850"	"AT2G46700.1"	"AT2G46700.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G46700.1"	69.811	53	13	1	16	65	445	497	2.86e-17	73.9	63	79	595
"Om004G154860"	"AT2G23700.1"	"AT2G23700.1"	"AT2G23700.1"	"N0.HOG0017534"	"AT2G23700.1"	"OG0011193"	"AT2G23700.1"	"AT2G23700.1"	678	707	99	100	710	78.352	1071	"AT2G23700.1"	80.423	710	103	7	1	677	1	707	0	1098	99	678	707
"Om004G154870"	"AT2G23740.2"	"AT2G23740.2"	"AT2G23740.2"	"N0.HOG0016491"	"AT2G23740.2"	"OG0010237"	"AT2G23740.2"	"AT2G23740.2"	1405	1382	99	99	1387	79.524	2284	"AT2G23740.2"	79.524	1387	274	6	21	1404	3	1382	0	2284	99	1405	1382
"Om004G154880"	"AT2G23755.1"	"AT2G23755.1"	"AT2G23755.1"	"N0.HOG0016490"	"AT2G23755.1"	"OG0010236"	"AT2G23755.1"	"AT2G23755.1"	155	150	98	97	153	79.085	215	"AT2G23755.1"	79.085	153	23	4	3	154	6	150	6.58e-73	215	98	155	150
"Om004G154890"	"AT2G24180.1"	"AT2G24180.1"	"AT2G24180.1"	"N0.HOG0018943"	"AT2G24180.1"	"OG0012488"	"AT2G24180.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G24180.1"	84.11	472	74	1	32	503	32	502	0	832	94	504	503
"Om004G154900"	"AT2G24200.1"	"AT2G24200.1"	"AT2G24200.1"	"N0.HOG0005462"	"AT2G24200.1"	"OG0001734"	"AT2G24200.1, AT4G30910.2, AT4G30920.1"	"AT2G24200.1"	520	520	99	100	521	87.332	930	"AT2G24200.1"	87.332	521	63	2	1	519	1	520	0	930	99	520	520
"Om004G154950"	"AT2G24120.1"	"AT2G24120.1"	"AT2G24120.1"	"N0.HOG0011670"	"AT2G24120.1"	"OG0005836"	"AT2G24120.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G24120.1"	94.924	591	30	0	1	591	142	732	0	1182	97	608	993
"Om004G154960"	"AT2G24120.1"	"AT2G24120.1"	"AT2G24120.1"	"N0.HOG0011670"	"AT2G24120.1"	"OG0005836"	"AT2G24120.1"	"AT2G24120.1"	967	993	99	99	983	91.455	1832	"AT2G24120.1"	91.455	983	55	4	10	966	14	993	0	1832	99	967	993
"Om004G154980"	"AT5G01550.1"	"AT5G01550.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G01550.1"	68.75	160	40	3	1	150	9	168	4.73e-62	203	84	179	706
"Om004G154990"	"AT2G22440.1"	"AT2G22440.1"	NA	NA	NA	"OG0000004"	"AT2G22440.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G29090.1"	32.558	559	360	4	800	1344	2	557	1.21e-91	308	40	1369	575
"Om004G155000"	"AT2G24050.1"	"AT2G24050.1"	"AT2G24050.1"	"N0.HOG0008271"	"AT2G24050.1"	"OG0003248"	"AT2G24050.1"	"AT2G24050.1"	752	747	99	100	755	80	1150	"AT2G24050.1"	80	755	139	6	1	751	1	747	0	1150	99	752	747
"Om004G155040"	"AT2G24090.1"	"AT2G24090.1"	"AT2G24090.1"	"N0.HOG0011207"	"AT2G24090.1"	"OG0005429"	"AT2G24090.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G24090.1"	76	150	26	4	1	145	1	145	8.36e-63	189	99	146	145
"Om004G155050"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	34.592	503	305	7	299	797	71	553	2.69e-93	315	59	842	1043
"Om004G155060"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	34.132	501	306	7	108	604	73	553	4.51e-94	312	77	649	1043
"Om004G155070"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00300.1"	34	100	63	1	412	511	45	141	1.05e-10	59.7	16	627	145
"Om004G155090"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G54930.2, AT1G60650.1"	78.571	14	3	0	254	267	6	19	0.003	38.5	5	291	396
"Om004G155100"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00860.1"	38.636	132	78	2	822	951	1	131	2.76e-27	108	8	1560	158
"Om004G155130"	"AT2G26330.1"	"AT2G26330.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G26330.1"	91.815	281	23	0	3	283	8	288	0	525	99	284	976
"Om004G155140"	"AT2G23960.1"	"AT2G23960.1"	"AT2G23960.1"	"N0.HOG0026333"	"AT2G23960.1"	"OG0019555"	"AT2G23960.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23960.1"	90.688	247	23	0	1	247	1	247	1.49e-170	470	94	263	251
"Om004G155150"	"AT2G23980.2"	"AT2G23980.2"	"AT2G23980.2"	"N0.HOG0005460"	"AT2G23980.2"	"OG0001733"	"AT2G23980.2, AT4G30560.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23980.2"	90.247	769	48	4	1	742	1	769	0	1396	99	744	770
"Om004G155160"	"AT5G37650.1, AT5G37400.2"	"AT5G37650.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G37650.1, AT5G37400.2"	55.556	63	28	0	1	63	495	557	9.56e-18	75.9	67	94	607
"Om004G155230"	"AT2G23945.1"	"AT2G23945.1"	"AT2G23945.1"	"N0.HOG0018734"	"AT2G23945.1"	"OG0012291"	"AT2G23945.1"	"AT2G23945.1"	458	458	99	99	459	76.471	734	"AT2G23945.1"	76.471	459	104	3	1	457	1	457	0	734	99	458	458
"Om004G155240"	"AT2G23900.1"	"AT2G23900.1"	NA	"N0.HOG0011671"	"AT2G23900.1"	"OG0005837"	"AT2G23900.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23900.1"	88.445	476	49	3	1	470	1	476	0	864	99	472	477
"Om004G155250"	"AT2G23890.2"	"AT2G23890.2"	"AT2G23890.2"	"N0.HOG0022327"	"AT2G23890.2"	"OG0015755"	"AT2G23890.2"	"AT2G23890.2"	555	578	99	100	580	85.69	1029	"AT2G23890.2"	85.69	580	55	4	1	554	1	578	0	1029	99	555	578
"Om004G155260"	"AT2G23820.2"	"AT2G23820.2"	"AT2G23820.2"	"N0.HOG0011897"	"AT2G23820.2"	"OG0006019"	"AT2G23820.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23820.2"	80.093	216	29	3	1	206	46	257	1.41e-120	342	99	207	257
"Om004G155280"	"AT2G23820.2"	"AT2G23820.2"	"AT2G23820.2"	"N0.HOG0011897"	"AT2G23820.2"	"OG0006019"	"AT2G23820.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23820.2"	84.291	261	27	3	1	251	1	257	1.24e-160	445	99	252	257
"Om004G155290"	"AT2G23810.1"	"AT2G23810.1"	NA	"N0.HOG0006577"	"AT4G30430.1, AT2G23810.1"	"OG0002315"	"AT2G23810.1, AT4G30430.1"	"AT2G23810.1"	273	273	99	100	273	82.784	457	"AT2G23810.1"	82.784	273	46	1	1	272	1	273	4.15e-165	457	99	273	273
"Om004G155310"	"AT2G23800.1"	"AT2G23800.1"	"AT2G23800.1"	"N0.HOG0015316"	"AT2G23800.1"	"OG0009153"	"AT2G23800.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23800.1"	84.309	376	49	1	1	366	1	376	0	639	99	367	376
"Om004G155340"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G23160.2"	41.926	353	198	2	893	1241	53	402	1.06e-81	290	28	1244	1043
"Om004G155350"	"AT2G23790.1"	"AT2G23790.1"	"AT2G23790.1"	"N0.HOG0004831"	"AT2G23790.1"	"OG0001417"	"AT2G23790.1, AT4G36820.1"	"AT2G23790.1"	336	336	99	100	339	82.891	577	"AT2G23790.1"	82.891	339	51	3	1	335	1	336	0	577	99	336	336
"Om004G155370"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G66310.1"	36.111	36	23	0	157	192	530	565	0.054	33.9	18	196	1063
"Om004G155380"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ATMG00860.1"	29.73	111	73	3	535	642	21	129	2.02e-06	48.5	11	949	158
"Om004G155390"	"AT2G23780.1"	"AT2G23780.1"	"AT2G23780.1"	"N0.HOG0018735"	"AT2G23780.1"	"OG0012292"	"AT2G23780.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G23780.1"	81.818	231	34	5	1	227	1	227	1.59e-125	354	99	228	227
"Om004G155400"	"AT2G23770.1"	"AT2G23770.1"	"AT2G23770.1"	"N0.HOG0016489"	"AT2G23770.1"	"OG0010235"	"AT2G23770.1"	"AT2G23770.1"	607	612	99	96	596	74.351	858	"AT2G23770.1"	74.351	616	141	8	1	605	1	610	0	870	99	607	612
"Om004G155420"	"AT5G28730.1, AT3G30525.1"	"AT5G28730.1"	NA	"N0.HOG0001734"	"AT5G28730.1, AT3G30525.1"	"OG0000251"	"AT1G43722.1, AT3G30525.1, AT5G28730.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G43722.1"	50.847	295	140	1	2	291	25	319	1.2e-101	303	75	389	324
"Om004G155430"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G06105.1"	33.333	84	52	1	761	844	52	131	3.05e-05	47.4	8	1101	390
"Om004G155450"	"AT2G09388.1"	"AT2G09388.1"	NA	"N0.HOG0000224"	"AT2G09388.1"	"OG0000024"	"AT2G09388.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G57300.2"	29.293	99	66	2	52	148	423	519	0.064	33.1	61	159	1540
"Om004G155490"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G34100.1"	39.08	87	41	4	41	127	230	304	0.003	38.1	38	231	1108
"Om004G155510"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G34500.1"	27.957	93	57	2	63	145	227	319	0.1	33.5	35	240	495
"Om004G155610"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G50370.2"	34.021	97	58	3	37	131	472	564	0.006	37.4	40	240	2160
"Om004G155630"	"AT2G28700.1, AT3G05860.1"	"AT3G05860.1"	NA	"N0.HOG0004107"	"AT2G28700.1, AT3G05860.1"	"OG0001063"	"AT2G28700.1, AT3G05860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05860.1"	39.286	84	50	1	1	83	98	181	2.24e-16	72	68	122	260
"Om004G155640"	"AT2G28700.1, AT3G05860.1"	"AT3G05860.1"	NA	"N0.HOG0004107"	"AT2G28700.1, AT3G05860.1"	"OG0001063"	"AT2G28700.1, AT3G05860.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G05860.1"	44.444	144	77	2	1	142	16	158	3.42e-37	127	99	143	260
"Om004G155700"	"AT2G07698.1, ATMG01190.1"	"ATMG01190.1"	"AT2G07698.1, ATMG01190.1"	"N0.HOG0005265"	"ATCG00120.1, AT2G07698.1, ATMG01190.1"	"OG0001641"	"AT2G07698.1, ATCG00120.1, ATMG01190.1"	NA	NA	NA	NA	NA	NA	NA	NA	"ATCG00120.1"	99.248	133	1	0	1	133	219	351	6.88e-92	274	96	138	507
"Om004G155720"	"AT2G21900.1"	"AT2G21900.1"	"AT2G21900.1"	"N0.HOG0016887"	"AT2G21900.1"	"OG0010611"	"AT2G21900.1"	"AT2G21900.1"	201	202	99	99	204	72.549	246	"AT2G21900.1"	72.549	204	49	4	1	200	1	201	6.62e-84	246	99	201	202
"Om004G155730"	"AT2G21880.1"	"AT2G21880.1"	"AT2G21880.1"	"N0.HOG0017537"	"AT2G21880.1"	"OG0011196"	"AT2G21880.1"	"AT2G21880.1"	211	212	99	100	212	79.717	349	"AT2G21880.1"	79.717	212	41	2	1	210	1	212	2.66e-124	349	99	211	212
"Om004G155740"	"AT2G21870.1"	"AT2G21870.1"	"AT2G21870.1"	"N0.HOG0014163"	"AT2G21870.1"	"OG0008053"	"AT2G21870.1"	"AT2G21870.1"	241	240	99	100	240	91.667	442	"AT2G21870.1"	91.667	240	20	0	1	240	1	240	6.58e-160	442	99	241	240
"Om004G155750"	"AT2G21860.1"	"AT2G21860.1"	"AT2G21860.1"	"N0.HOG0015322"	"AT2G21860.1"	"OG0009159"	"AT2G21860.1"	"AT2G21860.1"	519	522	99	98	519	82.659	886	"AT2G21860.1"	82.659	519	81	3	2	516	8	521	0	886	99	519	522
"Om004G155760"	"AT2G21800.2"	"AT2G21800.2"	"AT2G21800.2"	"N0.HOG0008188"	"AT2G21800.2"	"OG0003195"	"AT2G21800.2, AT2G22140.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G21800.2"	60.656	549	148	7	1	482	1	548	0	610	99	484	549
"Om004G155770"	"AT2G21780.1"	"AT2G21780.1"	"AT2G21780.1"	"N0.HOG0014164"	"AT2G21780.1"	"OG0008054"	"AT2G21780.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G21780.1"	61.947	113	27	5	1	98	1	112	4.65e-29	100	97	101	112
"Om004G155780"	"AT2G21750.1, AT2G21740.1"	"AT2G21750.1"	"AT2G21750.1, AT2G21740.1"	"N0.HOG0003944"	"AT2G21750.1, AT2G21740.1"	"OG0000992"	"AT2G21740.1, AT2G21750.1, AT4G39340.1"	"AT2G21750.1"	124	125	99	100	125	84	207	"AT2G21750.1"	84	125	18	1	1	123	1	125	8.75e-71	207	99	124	125
"Om004G155790"	"AT2G21890.1, AT2G21730.1"	"AT2G21730.1"	"AT2G21890.1, AT2G21730.1"	"N0.HOG0020438"	"AT2G21890.1, AT2G21730.1"	"OG0013910"	"AT2G21730.1, AT2G21890.1"	"AT2G21730.1"	364	376	97	94	353	91.218	651	"AT2G21730.1"	91.218	353	30	1	10	361	5	357	0	651	97	364	376
"Om004G155800"	"AT3G62110.1"	"AT3G62110.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G62110.1"	82.407	108	16	1	6	110	7	114	1.77e-53	173	85	124	471
"Om004G155820"	"AT2G21720.2"	"AT2G21720.2"	"AT2G21720.2"	"N0.HOG0019812"	"AT2G21720.2"	"OG0013310"	"AT2G21720.2"	"AT2G21720.2"	672	737	99	92	677	84.49	1189	"AT2G21720.2"	84.49	677	99	4	1	671	61	737	0	1189	99	672	737
"Om004G155830"	"AT4G39280.1"	"AT4G39280.1"	NA	NA	NA	"OG0002496"	"AT4G39280.1"	"AT4G39280.1"	487	485	99	100	485	88.454	900	"AT4G39280.1"	88.454	485	56	0	1	485	1	485	0	900	99	487	485
"Om004G155840"	"AT2G21710.1"	"AT2G21710.1"	"AT2G21710.1"	"N0.HOG0022341"	"AT2G21710.1"	"OG0015769"	"AT2G21710.1"	"AT2G21710.1"	604	641	99	96	615	84.878	1050	"AT2G21710.1"	84.878	615	77	3	1	599	1	615	0	1054	99	604	641
"Om004G155850"	"AT5G42905.1"	"AT5G42905.1"	NA	"N0.HOG0001403"	"AT5G42905.1"	"OG0000178"	"AT5G42905.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G42905.1"	56.682	217	88	2	3	216	39	252	1.4e-86	258	78	273	258
"Om004G155860"	"AT2G21660.1"	"AT2G21660.1"	"AT2G21660.1"	"N0.HOG0016494"	"AT2G21660.1"	"OG0010240"	"AT2G21660.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G21660.1"	87.059	85	11	0	1	85	1	85	1.51e-49	157	50	171	176
"Om004G155870"	"AT2G21650.1"	"AT2G21650.1"	"AT2G21650.1"	"N0.HOG0005620"	"AT2G21650.1, AT4G39250.1"	"OG0001814"	"AT2G21650.1, AT4G39250.1"	"AT2G21650.1"	100	101	99	100	101	94.059	172	"AT2G21650.1"	94.059	101	4	1	1	99	1	101	1.34e-57	172	99	100	101
"Om004G155880"	"AT2G21610.2"	"AT2G21610.2"	NA	"N0.HOG0018743"	"AT2G21610.2"	"OG0012300"	"AT2G21610.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G21610.2"	87.5	120	15	0	1	120	230	349	4.51e-76	228	99	121	357
"Om004G155890"	"AT2G21620.2"	"AT2G21620.2"	"AT2G21620.2"	"N0.HOG0022342"	"AT2G21620.2"	"OG0015770"	"AT2G21620.2"	"AT2G21620.2"	188	193	99	100	193	89.119	311	"AT2G21620.2"	89.119	193	15	1	1	187	1	193	1.05e-109	311	99	188	193
