"Arabidopsis_lyrata_Rawat"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"AL5G40890"	508	"AT3G59010.1"	"AT3G59010.1"	"orthologue"	"AT3G59010.1"	"N0.HOG0016819"	"AT3G59010.1"	"OG0010552"	"AT3G59010.1"	"AT3G59010.1"	509	529	99	97	512	95.117	996	"AT3G59010.1"	"95.117"	"512"	"21"	"1"	"1"	"508"	"18"	"529"	"0"	"996"	"99"	"509"	"529"
"AL5G40900"	1030	"AT3G59020.2"	"AT3G59020.2"	"orthologue"	"AT3G59020.2"	"N0.HOG0015726"	"AT3G59020.2"	"OG0009541"	"AT3G59020.2"	"AT3G59020.2"	1031	1030	99	100	1030	96.796	2061	"AT3G59020.2"	"96.796"	"1030"	"33"	"0"	"1"	"1030"	"1"	"1030"	"0"	"2061"	"99"	"1031"	"1030"
"AL5G40910"	507	"AT3G59030.1"	"AT3G59030.1"	"orthologue"	"AT3G59030.1"	"N0.HOG0024163"	"AT3G59030.1"	"OG0017543"	"AT3G59030.1"	"AT3G59030.1"	508	507	99	100	507	95.069	968	"AT3G59030.1"	"95.069"	"507"	"25"	"0"	"1"	"507"	"1"	"507"	"0"	"968"	"99"	"508"	"507"
"AL5G40920"	443	"AT3G59040.2"	"AT3G59040.2"	"orthologue"	"AT3G59040.2"	"N0.HOG0019203"	"AT3G59040.2"	"OG0012729"	"AT3G59040.2"	"AT3G59040.2"	444	590	99	75	444	96.171	876	"AT3G59040.2"	"96.171"	"444"	"16"	"1"	"1"	"443"	"147"	"590"	"0"	"876"	"99"	"444"	"590"
"AL5G40930"	488	"AT3G59050.1"	"AT3G59050.1"	"orthologue"	"AT3G59050.1"	"N0.HOG0005553"	"AT3G59050.1"	"OG0001782"	"AT2G43020.1, AT3G59050.1"	"AT3G59050.1"	489	488	99	100	488	98.77	999	"AT3G59050.1"	"98.77"	"488"	"6"	"0"	"1"	"488"	"1"	"488"	"0"	"999"	"99"	"489"	"488"
"AL5G40940"	439	"AT3G59060.2"	"AT3G59060.2"	"orthologue"	"AT3G59060.2"	"N0.HOG0019204"	"AT3G59060.2"	"OG0012730"	"AT3G59060.2"	"AT3G59060.2"	440	444	99	100	444	91.441	749	"AT3G59060.2"	"91.441"	"444"	"33"	"2"	"1"	"439"	"1"	"444"	"0"	"749"	"99"	"440"	"444"
"AL5G40950"	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AL5G40960"	401	"AT3G59070.1"	"AT3G59070.1"	"orthologue"	"AT3G59070.1"	"N0.HOG0004792"	"AT3G59070.1"	"OG0001396"	"AT3G59070.1"	"AT3G59070.1"	402	466	99	86	403	90.819	738	"AT3G59070.1"	"90.819"	"403"	"35"	"1"	"1"	"401"	"1"	"403"	"0"	"739"	"99"	"402"	"466"
"AL5G40970"	539	"AT3G59080.1"	"AT3G59080.1"	"orthologue"	"AT3G59080.1"	"N0.HOG0024821"	"AT3G59080.1"	"OG0018169"	"AT3G59080.1"	"AT3G59080.1"	540	535	99	100	540	94.815	1052	"AT3G59080.1"	"94.815"	"540"	"22"	"3"	"1"	"539"	"1"	"535"	"0"	"1052"	"99"	"540"	"535"
"AL5G40980"	365	"AT3G59090.2"	"AT3G59090.2"	"orthologue"	"AT3G59090.2"	"N0.HOG0015023"	"AT3G59090.2"	"OG0008867"	"AT3G59090.2"	"AT3G59090.2"	366	373	98	97	363	94.49	704	"AT3G59090.2"	"94.49"	"363"	"17"	"1"	"4"	"363"	"3"	"365"	"0"	"704"	"98"	"366"	"373"
"AL5G40990"	1921	"AT3G59100.1"	"AT3G59100.1"	"orthologue"	"AT3G59100.1"	"N0.HOG0021045"	"AT3G59100.1"	"OG0014501"	"AT3G59100.1"	"AT3G59100.1"	1922	1921	99	99	1920	97.656	3895	"AT3G59100.1"	"97.656"	"1920"	"45"	"0"	"1"	"1920"	"1"	"1920"	"0"	"3895"	"99"	"1922"	"1921"
"AL5G41000"	513	"AT3G59110.1"	"AT3G59110.1"	"orthologue"	"AT3G59110.1"	"N0.HOG0011843"	"AT3G59110.1"	"OG0005973"	"AT3G59110.1"	"AT3G59110.1"	514	512	99	100	513	97.271	1028	"AT3G59110.1"	"97.271"	"513"	"13"	"1"	"1"	"513"	"1"	"512"	"0"	"1028"	"99"	"514"	"512"
"AL5G41010"	962	"AT3G59120.1"	"AT3G59120.1"	"orthologue"	"AT3G59120.1"	"N0.HOG0003123"	"AT3G59120.1, AT1G35610.1, AT3G13760.1, AT5G17960.1, AT2G17590.1, AT2G17600.1, AT3G59130.1, AT3G11390.1, AT3G11385.1, AT3G11370.1, AT3G11402.1"	"OG0000664"	"AT1G35610.1, AT2G17590.1, AT2G17600.1, AT3G11370.1, AT3G11385.1, AT3G11390.1, AT3G11402.1, AT3G13760.1, AT3G59120.1, AT3G59130.1, AT5G17960.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G59120.1"	"91.885"	"419"	"33"	"1"	"1"	"419"	"1"	"418"	"0"	"832"	"44"	"963"	"602"
"AL5G41020"	1433	"AT3G59140.1"	"AT3G59140.1"	"orthologue"	"AT3G59140.1"	"N0.HOG0021046"	"AT3G59140.1"	"OG0014502"	"AT3G59140.1"	"AT3G59140.1"	1434	1453	99	100	1453	94.976	2820	"AT3G59140.1"	"94.976"	"1453"	"52"	"2"	"1"	"1432"	"1"	"1453"	"0"	"2820"	"99"	"1434"	"1453"
"AL5G41030"	472	"AT3G59150.1"	"AT3G59150.1"	"orthologue"	"AT3G59150.1"	"N0.HOG0021047"	"AT3G59150.1"	"OG0014503"	"AT3G59150.1"	"AT3G59150.1"	473	475	99	100	475	91.789	862	"AT3G59150.1"	"91.789"	"475"	"36"	"1"	"1"	"472"	"1"	"475"	"0"	"863"	"99"	"473"	"475"
"AL5G41040"	465	"AT3G59170.1"	"AT3G59170.1"	"orthologue"	"AT3G59170.1"	"N0.HOG0000943"	"AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1"	"OG0000110"	"AT1G58310.1, AT3G49150.1, AT3G59160.1, AT3G59170.1, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT3G59270.1, AT4G14096.1, AT4G14103.2"	"AT3G59170.1"	466	473	99	99	467	86.51	806	"AT3G59170.1"	"86.51"	"467"	"60"	"3"	"1"	"465"	"8"	"473"	"0"	"806"	"99"	"466"	"473"
"AL5G41050"	479	"AT4G14096.1"	"AT4G14096.1"	"orthologue"	"AT4G14096.1"	"N0.HOG0000943"	"AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1"	"OG0000110"	"AT1G58310.1, AT3G49150.1, AT3G59160.1, AT3G59170.1, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT3G59270.1, AT4G14096.1, AT4G14103.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G14096.1"	"69.874"	"478"	"100"	"6"	"1"	"478"	"1"	"434"	"0"	"645"	"99"	"480"	"468"
"AL5G41060"	481	"AT3G59180.1"	"AT3G59180.1"	"orthologue"	"AT3G59180.1"	"N0.HOG0007402"	"AT3G59180.1"	"OG0002740"	"AT3G59180.1, AT3G59190.2"	"AT3G59180.1"	482	475	87	95	450	81.111	708	"AT3G59180.1"	"81.111"	"450"	"56"	"2"	"61"	"481"	"26"	"475"	"0"	"708"	"87"	"482"	"475"
"AL5G41070"	519	"AT3G59190.2"	"AT3G59190.2"	"orthologue"	"AT3G59190.2"	"N0.HOG0007400"	"AT3G59190.2"	"OG0002740"	"AT3G59180.1, AT3G59190.2"	"AT3G59190.2"	520	519	99	100	519	93.642	1013	"AT3G59190.2"	"93.642"	"519"	"33"	"0"	"1"	"519"	"1"	"519"	"0"	"1013"	"99"	"520"	"519"
"AL5G41080"	520	"AT3G59200.1"	"AT3G59200.1"	"orthologue"	"AT3G59200.1"	"N0.HOG0000943"	"AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1"	"OG0000110"	"AT1G58310.1, AT3G49150.1, AT3G59160.1, AT3G59170.1, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT3G59270.1, AT4G14096.1, AT4G14103.2"	"AT3G59200.1"	521	520	99	100	520	92.885	992	"AT3G59200.1"	"92.885"	"520"	"37"	"0"	"1"	"520"	"1"	"520"	"0"	"992"	"99"	"521"	"520"
"AL5G41090"	478	"AT3G59210.1"	"AT3G59210.1"	"orthologue"	"AT3G59210.1"	"N0.HOG0000943"	"AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1"	"OG0000110"	"AT1G58310.1, AT3G49150.1, AT3G59160.1, AT3G59170.1, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT3G59270.1, AT4G14096.1, AT4G14103.2"	"AT3G59210.1"	479	484	97	96	467	93.148	861	"AT3G59210.1"	"93.148"	"467"	"32"	"0"	"1"	"467"	"1"	"467"	"0"	"880"	"97"	"479"	"484"
"AL5G41100"	289	"AT3G59220.1"	"AT3G59220.1"	"orthologue"	"AT3G59220.1"	"N0.HOG0004582"	"AT3G59220.1, AT3G59260.1"	"OG0001293"	"AT3G59220.1, AT3G59260.1"	"AT3G59220.1"	290	287	99	100	287	94.077	564	"AT3G59220.1"	"94.077"	"287"	"17"	"0"	"3"	"289"	"1"	"287"	"0"	"564"	"99"	"290"	"287"
"AL5G41110"	130	"AT2G46535.1"	"AT2G46535.1"	"other"	NA	"N0.HOG0012116"	"AT2G46535.1"	"OG0006208"	"AT2G46535.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G46535.1"	"96.117"	"103"	"4"	"0"	"1"	"103"	"1"	"103"	"4.71e-68"	"202"	"79"	"131"	"175"
"AL5G41120"	491	"AT3G59230.1"	"AT3G59230.1"	"orthologue"	"AT3G59230.1"	"N0.HOG0000943"	"AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1"	"OG0000110"	"AT1G58310.1, AT3G49150.1, AT3G59160.1, AT3G59170.1, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT3G59270.1, AT4G14096.1, AT4G14103.2"	"AT3G59230.1"	492	491	99	100	491	86.762	868	"AT3G59230.1"	"86.762"	"491"	"65"	"0"	"1"	"491"	"1"	"491"	"0"	"868"	"99"	"492"	"491"
"AL5G41130"	436	"AT3G59240.1"	"AT3G59240.1"	"orthologue"	"AT3G59240.1"	"N0.HOG0000943"	"AT1G58310.1, AT3G59210.1, AT3G59200.1, AT3G59230.1, AT3G59250.1, AT3G59240.1, AT3G49150.1, AT3G59170.1, AT3G59160.1, AT4G14103.2, AT4G14096.1"	"OG0000110"	"AT1G58310.1, AT3G49150.1, AT3G59160.1, AT3G59170.1, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT3G59270.1, AT4G14096.1, AT4G14103.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G59240.1"	"68.986"	"503"	"70"	"6"	"6"	"424"	"1"	"501"	"0"	"649"	"96"	"437"	"504"
"AL5G41140"	285	"AT3G59260.1"	"AT3G59260.1"	"orthologue"	"AT3G59260.1"	"N0.HOG0004582"	"AT3G59220.1, AT3G59260.1"	"OG0001293"	"AT3G59220.1, AT3G59260.1"	"AT3G59260.1"	286	271	90	95	258	90.31	490	"AT3G59260.1"	"90.31"	"258"	"25"	"0"	"28"	"285"	"14"	"271"	"1.31e-177"	"490"	"90"	"286"	"271"
"AL5G41150"	374	"AT3G59270.1"	"AT3G59270.1"	"orthologue"	"AT3G59270.1"	"N0.HOG0000944"	"AT3G59270.1"	"OG0000110"	"AT1G58310.1, AT3G49150.1, AT3G59160.1, AT3G59170.1, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT3G59270.1, AT4G14096.1, AT4G14103.2"	"AT3G59270.1"	375	335	99	99	374	82.888	606	"AT3G59270.1"	"82.888"	"374"	"23"	"3"	"1"	"373"	"1"	"334"	"0"	"606"	"99"	"375"	"335"
"AL5G41160"	105	"AT3G59280.1"	"AT3G59280.1"	"orthologue"	"AT3G59280.1"	"N0.HOG0009542"	"AT3G59280.1"	"OG0004073"	"AT3G59280.1"	"AT3G59280.1"	106	116	99	91	105	99.048	213	"AT3G59280.1"	"99.048"	"105"	"1"	"0"	"1"	"105"	"12"	"116"	"8.99e-74"	"213"	"99"	"106"	"116"
"AL5G41170"	1026	"AT3G59290.1"	"AT3G59290.1"	"orthologue"	"AT3G59290.1"	"N0.HOG0025497"	"AT3G59290.1"	"OG0018799"	"AT3G59290.1"	"AT3G59290.1"	1027	1024	99	100	1031	93.792	1868	"AT3G59290.1"	"93.792"	"1031"	"52"	"4"	"1"	"1026"	"1"	"1024"	"0"	"1868"	"99"	"1027"	"1024"
"AL5G41180"	459	"AT3G59300.3"	"AT3G59300.3"	"orthologue"	"AT3G59300.3"	"N0.HOG0015727"	"AT3G59300.3"	"OG0009542"	"AT3G59300.3"	"AT3G59300.3"	460	465	98	97	452	97.124	907	"AT3G59300.3"	"97.124"	"452"	"13"	"0"	"8"	"459"	"14"	"465"	"0"	"907"	"98"	"460"	"465"
"AL5G41190"	333	"AT3G59330.3"	"AT3G59330.3"	"orthologue"	"AT3G59330.3"	"N0.HOG0004362"	"AT3G59310.2, AT3G59340.2, AT3G59330.3, AT3G59320.1"	"OG0001186"	"AT3G59310.2, AT3G59320.1, AT3G59330.3, AT3G59340.2"	"AT3G59320.1"	334	339	99	96	329	84.195	526	"AT3G59320.1"	"84.195"	"329"	"49"	"1"	"1"	"329"	"1"	"326"	"0"	"526"	"99"	"334"	"339"
"AL5G41200"	346	"AT3G59340.2"	"AT3G59340.2"	"orthologue"	"AT3G59340.2"	"N0.HOG0004362"	"AT3G59310.2, AT3G59340.2, AT3G59330.3, AT3G59320.1"	"OG0001186"	"AT3G59310.2, AT3G59320.1, AT3G59330.3, AT3G59340.2"	"AT3G59340.2"	347	360	96	92	333	95.195	649	"AT3G59340.2"	"95.195"	"333"	"14"	"1"	"1"	"333"	"28"	"358"	"0"	"649"	"96"	"347"	"360"
"AL5G41210"	366	"AT3G59350.6"	"AT3G59350.6"	"orthologue"	"AT3G59350.6"	"N0.HOG0005787"	"AT3G59350.6"	"OG0001906"	"AT2G43230.2, AT3G59350.6"	"AT3G59350.6"	367	423	99	86	365	99.452	762	"AT3G59350.6"	"99.452"	"365"	"2"	"0"	"1"	"365"	"58"	"422"	"0"	"762"	"99"	"367"	"423"
"AL5G41220"	405	"AT3G59360.1"	"AT3G59360.1"	"orthologue"	"AT3G59360.1"	"N0.HOG0005337"	"AT3G59360.1"	"OG0001677"	"AT2G43240.1, AT3G59360.1"	"AT3G59360.1"	406	405	99	100	405	98.519	815	"AT3G59360.1"	"98.519"	"405"	"6"	"0"	"1"	"405"	"1"	"405"	"0"	"815"	"99"	"406"	"405"
"AL5G41240"	240	"AT4G37510.1"	"AT4G37510.1"	"orthologue"	"AT4G37510.1"	"N0.HOG0017205"	"AT4G37510.1"	"OG0010891"	"AT4G37510.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G37510.1"	"87.072"	"263"	"11"	"1"	"1"	"240"	"1"	"263"	"6e-145"	"415"	"99"	"241"	"537"
"AL5G41250"	171	"AT4G37510.1"	"AT4G37510.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G37510.1"	"94.286"	"140"	"8"	"0"	"2"	"141"	"267"	"406"	"9.37e-94"	"281"	"81"	"172"	"537"
"AL5G41280"	326	"AT3G59380.1"	"AT3G59380.1"	"orthologue"	"AT3G59380.1"	"N0.HOG0023055"	"AT3G59380.1"	"OG0016474"	"AT3G59380.1"	"AT3G59380.1"	327	326	99	100	326	96.626	651	"AT3G59380.1"	"96.626"	"326"	"11"	"0"	"1"	"326"	"1"	"326"	"0"	"651"	"99"	"327"	"326"
"AL5G41290"	272	"AT3G59390.1"	"AT3G59390.1"	"orthologue"	"AT3G59390.1"	"N0.HOG0021048"	"AT3G59390.1"	"OG0014504"	"AT3G59390.1"	"AT3G59390.1"	273	273	99	100	273	95.604	538	"AT3G59390.1"	"95.604"	"273"	"11"	"1"	"1"	"272"	"1"	"273"	"0"	"538"	"99"	"273"	"273"
"AL5G41300"	266	"AT3G59400.1"	"AT3G59400.1"	"orthologue"	"AT3G59400.1"	"N0.HOG0014547"	"AT3G59400.1"	"OG0008419"	"AT3G59400.1"	"AT3G59400.1"	267	265	99	100	267	94.382	516	"AT3G59400.1"	"94.382"	"267"	"12"	"2"	"1"	"266"	"1"	"265"	"0"	"516"	"99"	"267"	"265"
"AL5G41310"	1273	"AT3G59410.2"	"AT3G59410.2"	"orthologue"	"AT3G59410.2"	"N0.HOG0021049"	"AT3G59410.2"	"OG0014505"	"AT3G59410.2"	"AT3G59410.2"	1274	1265	99	100	1297	93.369	2484	"AT3G59410.2"	"93.369"	"1297"	"30"	"3"	"1"	"1273"	"1"	"1265"	"0"	"2484"	"99"	"1274"	"1265"
"AL5G41330"	892	"AT3G59420.1"	"AT3G59420.1"	"orthologue"	"AT3G59420.1"	"N0.HOG0023598"	"AT3G59420.1"	"OG0016986"	"AT3G59420.1"	"AT3G59420.1"	893	895	99	99	893	97.2	1787	"AT3G59420.1"	"97.2"	"893"	"24"	"1"	"1"	"892"	"3"	"895"	"0"	"1787"	"99"	"893"	"895"
"AL5G41340"	455	"AT3G59430.1"	"AT3G59430.1"	"orthologue"	"AT3G59430.1"	"N0.HOG0017319"	"AT3G59430.1"	"OG0010998"	"AT3G59430.1"	"AT3G59430.1"	456	451	99	100	455	91.868	821	"AT3G59430.1"	"91.868"	"455"	"33"	"2"	"1"	"455"	"1"	"451"	"0"	"845"	"99"	"456"	"451"
"AL5G41350"	199	"AT3G59450.1, AT3G59440.1"	"AT3G59440.1"	"orthologue"	"AT3G59450.1, AT3G59440.1"	"N0.HOG0005006"	"AT3G59450.1, AT3G59440.1"	"OG0001505"	"AT2G43290.1, AT3G59440.1, AT3G59450.1"	"AT3G59440.1"	200	195	99	100	200	90.5	353	"AT3G59440.1"	"90.5"	"200"	"13"	"2"	"1"	"199"	"1"	"195"	"4.61e-126"	"353"	"99"	"200"	"195"
"AL5G41380"	251	"AT3G59470.2"	"AT3G59470.2"	"orthologue"	"AT3G59470.2"	"N0.HOG0015728"	"AT3G59470.2"	"OG0009543"	"AT3G59470.2"	"AT3G59470.2"	252	263	99	95	251	99.203	518	"AT3G59470.2"	"99.203"	"251"	"2"	"0"	"1"	"251"	"13"	"263"	"0"	"518"	"99"	"252"	"263"
"AL5G41390"	326	"AT3G59480.1"	"AT3G59480.1"	"orthologue"	"AT3G59480.1"	"N0.HOG0002454"	"AT3G59480.1"	"OG0000439"	"AT1G06020.1, AT1G06030.1, AT2G31390.1, AT3G59480.1"	"AT3G59480.1"	327	326	99	100	326	98.16	653	"AT3G59480.1"	"98.16"	"326"	"6"	"0"	"1"	"326"	"1"	"326"	"0"	"653"	"99"	"327"	"326"
"AL5G41400"	292	"AT3G59490.2"	"AT3G59490.2"	"orthologue"	"AT3G59490.2"	"N0.HOG0017852"	"AT3G59490.2"	"OG0011483"	"AT3G59490.2"	"AT3G59490.2"	293	293	99	100	293	94.539	558	"AT3G59490.2"	"94.539"	"293"	"15"	"1"	"1"	"292"	"1"	"293"	"0"	"558"	"99"	"293"	"293"
"AL5G41410"	269	"AT3G59500.1"	"AT3G59500.1"	"orthologue"	"AT3G59500.1"	"N0.HOG0005122"	"AT3G59500.1"	"OG0001570"	"AT1G30890.1, AT3G59500.1"	"AT3G59500.1"	270	269	99	100	269	98.141	535	"AT3G59500.1"	"98.141"	"269"	"5"	"0"	"1"	"269"	"1"	"269"	"0"	"535"	"99"	"270"	"269"
"AL5G41420"	416	"AT3G59510.1"	"AT3G59510.1"	"orthologue"	"AT3G59510.1"	"N0.HOG0014548"	"AT3G59510.1"	"OG0008420"	"AT3G59510.1"	"AT3G59510.1"	417	419	99	100	419	96.181	813	"AT3G59510.1"	"96.181"	"419"	"13"	"1"	"1"	"416"	"1"	"419"	"0"	"813"	"99"	"417"	"419"
"AL5G41430"	45	"AT2G43386.1"	"AT2G43386.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43386.1"	"45.455"	"33"	"18"	"0"	"1"	"33"	"1"	"33"	"0.008"	"30"	"72"	"46"	"56"
"AL5G41440"	269	"AT3G59520.1"	"AT3G59520.1"	"orthologue"	"AT3G59520.1"	"N0.HOG0023056"	"AT3G59520.1"	"OG0016475"	"AT3G59520.1"	"AT3G59520.1"	270	269	99	100	269	98.885	531	"AT3G59520.1"	"98.885"	"269"	"3"	"0"	"1"	"269"	"1"	"269"	"0"	"531"	"99"	"270"	"269"
"AL5G41450"	413	"AT3G59530.1"	"AT3G59530.1"	"orthologue"	"AT3G59530.1"	"N0.HOG0014549"	"AT3G59530.1"	"OG0008421"	"AT3G59530.1"	"AT3G59530.1"	414	403	99	99	411	94.404	805	"AT3G59530.1"	"94.404"	"411"	"12"	"1"	"1"	"411"	"1"	"400"	"0"	"805"	"99"	"414"	"403"
"AL5G41460"	906	"AT2G43410.2"	"AT2G43410.2"	"other"	NA	NA	NA	"OG0002954"	"AT2G43410.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G43410.2"	"65.594"	"901"	"249"	"12"	"12"	"885"	"13"	"879"	"0"	"1106"	"96"	"907"	"901"
"AL5G41470"	69	"AT2G43460.1, AT3G59540.1"	"AT3G59540.1"	"other"	NA	"N0.HOG0003833"	"AT3G59540.1, AT2G43460.1"	"OG0000944"	"AT2G43460.1, AT3G59540.1"	"AT2G43460.1, AT3G59540.1"	70	69	99	100	69	100	139	"AT3G59540.1, AT2G43460.1"	"100"	"69"	"0"	"0"	"1"	"69"	"1"	"69"	"1.77e-45"	"139"	"99"	"70"	"69"
"AL5G41480"	696	"AT3G59550.1"	"AT3G59550.1"	"orthologue"	"AT3G59550.1"	"N0.HOG0010330"	"AT3G59550.1"	"OG0004687"	"AT3G59550.1"	"AT3G59550.1"	697	693	99	100	699	89.413	1173	"AT3G59550.1"	"89.413"	"699"	"65"	"5"	"1"	"696"	"1"	"693"	"0"	"1188"	"99"	"697"	"693"
"AL5G41490"	534	"AT1G52950.1"	"AT1G52950.1"	"other"	NA	"N0.HOG0000132"	"AT1G52950.1"	"OG0000018"	"AT1G52950.1, AT3G31925.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G52950.1"	"37.968"	"561"	"305"	"7"	"6"	"529"	"8"	"562"	"1.06e-118"	"361"	"98"	"535"	"566"
"AL5G41500"	742	"AT3G59570.3"	"AT3G59570.3"	"orthologue"	"AT3G59570.3"	"N0.HOG0007778"	"AT3G59570.3"	"OG0002953"	"AT2G43490.1, AT3G59570.3"	"AT3G59570.3"	743	744	99	99	750	88	1309	"AT3G59570.3"	"88"	"750"	"70"	"4"	"1"	"741"	"1"	"739"	"0"	"1309"	"99"	"743"	"744"
"AL5G41510"	908	"AT3G59580.1"	"AT3G59580.1"	"orthologue"	"AT3G59580.1"	"N0.HOG0005004"	"AT3G59580.1"	"OG0001504"	"AT2G43500.2, AT3G59580.1"	"AT3G59580.1"	909	894	99	100	928	86.746	1558	"AT3G59580.1"	"86.746"	"928"	"69"	"9"	"1"	"908"	"1"	"894"	"0"	"1558"	"99"	"909"	"894"
"AL5G41520"	100	"AT3G59590.1, AT3G59610.1"	"AT3G59590.1"	"other"	NA	NA	NA	"OG0004485"	"AT3G59590.1, AT3G59610.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G59590.1"	"85.556"	"90"	"13"	"0"	"1"	"90"	"364"	"453"	"2.82e-49"	"161"	"89"	"101"	"454"
"AL5G41530"	146	"AT3G59600.1"	"AT3G59600.1"	"orthologue"	"AT3G59600.1"	"N0.HOG0010885"	"AT1G54250.1, AT3G59600.1"	"OG0005163"	"AT1G54250.1, AT3G59600.1"	"AT3G59600.1"	147	146	99	100	146	100	298	"AT3G59600.1"	"100"	"146"	"0"	"0"	"1"	"146"	"1"	"146"	"3.48e-106"	"298"	"99"	"147"	"146"
"AL5G41540"	417	"AT3G59630.1"	"AT3G59630.1"	"orthologue"	"AT3G59630.1"	"N0.HOG0013391"	"AT3G59630.1"	"OG0007349"	"AT3G59630.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G59630.1"	"75.153"	"491"	"48"	"6"	"1"	"417"	"1"	"491"	"0"	"705"	"99"	"418"	"491"
"AL5G41550"	607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G60260.1"	"65.823"	"79"	"26"	"1"	"126"	"203"	"155"	"233"	"1.16e-22"	"97.8"	"13"	"608"	"266"
"AL5G41560"	385	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT3G61650.1"	"77.778"	"72"	"1"	"1"	"323"	"379"	"333"	"404"	"3.01e-26"	"109"	"15"	"386"	"474"
"AL5G41570"	171	"AT5G64450.1"	"AT5G64450.1"	"other"	NA	"N0.HOG0008244"	"AT5G64450.1"	"OG0003232"	"AT5G64450.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G30760.1"	"37.624"	"101"	"60"	"1"	"13"	"110"	"20"	"120"	"1.04e-18"	"78.6"	"57"	"172"	"191"
"AL5G41580"	54	"AT5G26860.1"	"AT5G26860.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT5G26860.1"	"87.5"	"48"	"6"	"0"	"1"	"48"	"354"	"401"	"5.88e-21"	"83.2"	"87"	"55"	"985"
"AL5G41590"	761	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G40955.1, AT4G15096.1"	"47.899"	"119"	"58"	"1"	"146"	"264"	"83"	"197"	"3.92e-26, 4.28e-26"	"114"	"16"	"762"	"679"
"AL5G41600"	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT2G15560.1"	"31.646"	"79"	"52"	"1"	"2"	"78"	"124"	"202"	"2.28e-08"	"48.9"	"94"	"82"	"489"
