"Arabidopsis_lyrata_NCBI"	"prot_length"	"Arabidopsis_thaliana"	"single_Arabidopsis_thaliana"	"homologue_type"	"OL_Arabidopsis_thaliana"	"N0_HOG"	"N0_Arabidopsis_thaliana"	"OG_Orthogroup"	"OG_Arabidopsis_thaliana"	"RBH_B_id"	"RBH_A_length"	"RBH_B_length"	"RBH_A_qcovhsp"	"RBH_B_qcovhsp"	"RBH_length"	"RBH_pident"	"RBH_bitscore"	"BLAST_saccver"	"BLAST_pident"	"BLAST_length"	"BLAST_mismatch"	"BLAST_gapopen"	"BLAST_qstart"	"BLAST_qend"	"BLAST_sstart"	"BLAST_send"	"BLAST_evalue"	"BLAST_bitscore"	"BLAST_qcovhsp"	"BLAST_qlen"	"BLAST_slen"
"XP_020867023.1"	2228	"AT1G16800.2"	"AT1G16800.2"	"orthologue"	"AT1G16800.2"	"N0.HOG0016430"	"AT1G16800.2"	"OG0010182"	"AT1G16800.2"	"AT1G16800.2"	2228	2226	99	100	2226	95.373	4292	"AT1G16800.2"	"95.373"	"2226"	"102"	"1"	"1"	"2225"	"1"	"2226"	"0"	"4314"	"99"	"2228"	"2226"
"XP_020867025.1"	415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G16780.1"	"97.602"	"417"	"8"	"1"	"1"	"415"	"386"	"802"	"0"	"816"	"100"	"415"	"802"
"XP_020867026.1"	144	"AT1G16790.1"	"AT1G16790.1"	"orthologue"	"AT1G16790.1"	"N0.HOG0011648"	"AT1G16790.1"	"OG0005816"	"AT1G16790.1"	"AT1G16790.1"	144	144	100	100	144	95.833	282	"AT1G16790.1"	"95.833"	"144"	"6"	"0"	"1"	"144"	"1"	"144"	"8.92e-100"	"282"	"100"	"144"	"144"
"XP_020867027.1"	821	"AT1G31740.1"	"AT1G31740.1"	"orthologue"	"AT1G31740.1"	"N0.HOG0003936"	"AT1G31740.1"	"OG0000987"	"AT1G31740.1"	"AT1G31740.1"	821	779	99	100	820	91.707	1555	"AT1G31740.1"	"91.707"	"820"	"27"	"2"	"2"	"821"	"1"	"779"	"0"	"1555"	"99"	"821"	"779"
"XP_020867028.1"	70	"AT1G06137.1"	"AT1G06137.1"	"orthologue"	"AT1G06137.1"	"N0.HOG0002897"	"AT1G06137.1, AT2G31335.1"	"OG0000583"	"AT1G06135.1, AT1G06137.1, AT2G31335.1, AT2G31345.1"	"AT1G06137.1"	70	68	97	100	68	95.588	109	"AT1G06137.1"	"95.588"	"68"	"3"	"0"	"3"	"70"	"1"	"68"	"7.63e-34"	"109"	"97"	"70"	"68"
"XP_020867029.1"	739	"AT1G06150.2"	"AT1G06150.2"	"orthologue"	"AT1G06150.2"	"N0.HOG0027878"	"AT1G06150.2"	"OG0020948"	"AT1G06150.2"	"AT1G06150.2"	739	736	99	99	736	91.848	1365	"AT1G06150.2"	"91.848"	"736"	"58"	"1"	"1"	"736"	"1"	"734"	"0"	"1382"	"99"	"739"	"736"
"XP_020867032.1"	580	"AT1G06143.1"	"AT1G06143.1"	"orthologue"	"AT1G06143.1"	"N0.HOG0020498"	"AT1G06143.1"	"OG0013965"	"AT1G06143.1"	"AT1G06143.1"	580	577	100	100	580	91.897	1105	"AT1G06143.1"	"91.897"	"580"	"44"	"1"	"1"	"580"	"1"	"577"	"0"	"1105"	"100"	"580"	"577"
"XP_020867036.1"	947	"AT1G33700.1"	"AT1G33700.1"	"orthologue"	"AT1G33700.1"	"N0.HOG0017177"	"AT1G33700.1"	"OG0010864"	"AT1G33700.1"	"AT1G33700.1"	947	947	100	100	947	96.304	1935	"AT1G33700.1"	"96.304"	"947"	"35"	"0"	"1"	"947"	"1"	"947"	"0"	"1935"	"100"	"947"	"947"
"XP_020867037.1"	739	"AT1G33680.1"	"AT1G33680.1"	"orthologue"	"AT1G33680.1"	"N0.HOG0009606"	"AT1G33680.1"	"OG0004119"	"AT1G33680.1, AT4G10070.1"	"AT1G33680.1"	739	763	100	100	766	85.64	1192	"AT1G33680.1"	"85.77"	"766"	"79"	"7"	"1"	"739"	"1"	"763"	"0"	"1208"	"100"	"739"	"763"
"XP_020867038.1"	227	"AT1G20350.1"	"AT1G20350.1"	"orthologue"	"AT1G20350.1"	"N0.HOG0005114"	"AT1G20350.1"	"OG0001564"	"AT1G20350.1, AT2G37410.1"	"AT1G20350.1"	227	218	100	100	227	80.617	362	"AT1G20350.1"	"80.617"	"227"	"35"	"2"	"1"	"227"	"1"	"218"	"7.52e-129"	"362"	"100"	"227"	"218"
"XP_020867039.1"	167	"AT1G20340.1"	"AT1G20340.1"	"orthologue"	"AT1G20340.1"	"N0.HOG0007087"	"AT1G20340.1"	"OG0002569"	"AT1G20340.1, AT1G76100.2"	"AT1G20340.1"	167	167	100	100	167	96.407	325	"AT1G20340.1"	"96.407"	"167"	"6"	"0"	"1"	"167"	"1"	"167"	"3.09e-116"	"325"	"100"	"167"	"167"
"XP_020867040.1"	453	"AT1G48640.1"	"AT1G48640.1"	"orthologue"	"AT1G48640.1"	"N0.HOG0025494"	"AT1G48640.1"	"OG0018796"	"AT1G48640.1"	"AT1G48640.1"	453	453	100	100	453	97.13	904	"AT1G48640.1"	"97.13"	"453"	"13"	"0"	"1"	"453"	"1"	"453"	"0"	"904"	"100"	"453"	"453"
"XP_020867041.1"	364	"AT1G48635.2"	"AT1G48635.2"	"orthologue"	"AT1G48635.2"	"N0.HOG0006377"	"AT1G48635.2"	"OG0002199"	"AT1G48635.2, AT3G18160.3"	"AT1G48635.2"	364	400	100	100	400	85.25	690	"AT1G48635.2"	"85.25"	"400"	"23"	"1"	"1"	"364"	"1"	"400"	"0"	"690"	"100"	"364"	"400"
"XP_020867042.1"	1022	"AT1G26170.1"	"AT1G26170.1"	"orthologue"	"AT1G26170.1"	"N0.HOG0023805"	"AT1G26170.1"	"OG0017190"	"AT1G26170.1"	"AT1G26170.1"	1022	1022	100	100	1022	95.89	2014	"AT1G26170.1"	"95.89"	"1022"	"42"	"0"	"1"	"1022"	"1"	"1022"	"0"	"2014"	"100"	"1022"	"1022"
"XP_020867045.1"	928	"AT1G47890.1"	"AT1G47890.1"	"orthologue"	"AT1G47890.1"	"N0.HOG0002946"	"AT1G47890.1, AT1G45616.1"	"OG0000603"	"AT1G45616.1, AT1G47890.1"	"AT1G47890.1"	928	1019	97	88	897	88.183	1484	"AT1G47890.1"	"88.183"	"897"	"103"	"2"	"1"	"897"	"46"	"939"	"0"	"1505"	"97"	"928"	"1019"
"XP_020867046.1"	769	"AT1G21980.1"	"AT1G21980.1"	"orthologue"	"AT1G21980.1"	"N0.HOG0006569"	"AT1G21980.1"	"OG0002310"	"AT1G21980.1, AT1G77740.1"	"AT1G21980.1"	769	752	98	100	754	97.215	1511	"AT1G21980.1"	"97.215"	"754"	"18"	"3"	"17"	"769"	"1"	"752"	"0"	"1511"	"98"	"769"	"752"
"XP_020867047.1"	241	"AT1G21970.1"	"AT1G21970.1"	"orthologue"	"AT1G21970.1"	"N0.HOG0010286"	"AT1G21970.1"	"OG0004650"	"AT1G21970.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G21970.1"	"92.149"	"242"	"14"	"2"	"1"	"241"	"1"	"238"	"9.94e-156"	"431"	"100"	"241"	"238"
"XP_020867048.1"	147	"AT1G21950.1"	"AT1G21950.1"	"orthologue"	"AT1G21950.1"	"N0.HOG0007180"	"AT1G21950.1"	"OG0002615"	"AT1G21940.1, AT1G21950.1"	"AT1G21950.1"	147	130	50	57	74	82.432	102	"AT1G21950.1"	"82.432"	"74"	"13"	"0"	"1"	"74"	"1"	"74"	"4.98e-29"	"102"	"50"	"147"	"130"
"XP_020867050.1"	124	"AT1G21950.1"	"AT1G21950.1"	"orthologue"	"AT1G21950.1"	"N0.HOG0007180"	"AT1G21950.1"	"OG0002615"	"AT1G21940.1, AT1G21950.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G21950.1"	"58.716"	"109"	"44"	"1"	"16"	"124"	"22"	"129"	"9.7e-38"	"124"	"88"	"124"	"130"
"XP_020867051.1"	840	"AT1G30490.1"	"AT1G30490.1"	"orthologue"	"AT1G30490.1"	"N0.HOG0005888"	"AT2G34710.1, AT5G32670.1, AT1G30490.1"	"OG0001957"	"AT1G30490.1, AT2G34710.1, AT5G32670.1"	"AT1G30490.1"	840	841	100	100	841	98.811	1728	"AT1G30490.1"	"98.811"	"841"	"9"	"1"	"1"	"840"	"1"	"841"	"0"	"1728"	"100"	"840"	"841"
"XP_020867053.1"	382	"AT1G30510.2"	"AT1G30510.2"	"orthologue"	"AT1G30510.2"	"N0.HOG0023475"	"AT1G30510.2"	"OG0016866"	"AT1G30510.2"	"AT1G30510.2"	382	382	100	100	382	96.597	773	"AT1G30510.2"	"96.597"	"382"	"13"	"0"	"1"	"382"	"1"	"382"	"0"	"773"	"100"	"382"	"382"
"XP_020867054.1"	194	"AT1G30500.2"	"AT1G30500.2"	"orthologue"	"AT1G30500.2"	"N0.HOG0024305"	"AT1G30500.2"	"OG0017672"	"AT1G30500.2"	"AT1G30500.2"	194	190	100	100	194	90.722	361	"AT1G30500.2"	"90.722"	"194"	"14"	"1"	"1"	"194"	"1"	"190"	"1.26e-129"	"361"	"100"	"194"	"190"
"XP_020867057.1"	571	"AT5G58350.1"	"AT5G58350.1"	"orthologue"	"AT5G58350.1"	"N0.HOG0011259"	"AT5G58350.1"	"OG0005475"	"AT5G58350.1"	"AT5G58350.1"	571	571	100	100	571	97.023	1161	"AT5G58350.1"	"97.023"	"571"	"17"	"0"	"1"	"571"	"1"	"571"	"0"	"1161"	"100"	"571"	"571"
"XP_020867059.1"	573	"AT1G14240.1"	"AT1G14240.1"	"orthologue"	"AT1G14240.1"	"N0.HOG0004529"	"AT1G14250.1, AT1G14240.1"	"OG0001262"	"AT1G14230.1, AT1G14240.1, AT1G14250.1"	"AT1G14240.1"	573	483	82	97	471	88.747	865	"AT1G14240.1"	"88.747"	"471"	"49"	"2"	"1"	"470"	"1"	"468"	"0"	"865"	"82"	"573"	"483"
"XP_020867063.1"	503	"AT1G14230.1"	"AT1G14230.1"	"orthologue"	"AT1G14230.1"	"N0.HOG0004528"	"AT1G14230.1"	"OG0001262"	"AT1G14230.1, AT1G14240.1, AT1G14250.1"	"AT1G14230.1"	503	503	99	99	502	91.235	943	"AT1G14230.1"	"91.235"	"502"	"44"	"0"	"1"	"502"	"1"	"502"	"0"	"943"	"99"	"503"	"503"
"XP_020867065.1"	558	"AT5G58320.2"	"AT5G58320.2"	"orthologue"	"AT5G58320.2"	"N0.HOG0010797"	"AT5G58320.2"	"OG0005083"	"AT5G58320.2"	"AT5G58320.2"	558	558	100	100	558	94.444	1007	"AT5G58320.2"	"94.444"	"558"	"31"	"0"	"1"	"558"	"1"	"558"	"0"	"1007"	"100"	"558"	"558"
"XP_020867066.1"	440	"AT1G14330.1"	"AT1G14330.1"	"orthologue"	"AT1G14330.1"	"N0.HOG0004526"	"AT1G14330.1"	"OG0001261"	"AT1G14330.1, AT2G02870.1"	"AT1G14330.1"	440	441	100	100	445	92.584	839	"AT1G14330.1"	"92.584"	"445"	"24"	"4"	"1"	"440"	"1"	"441"	"0"	"839"	"100"	"440"	"441"
"XP_020867067.1"	338	"AT1G14270.1"	"AT1G14270.1"	"orthologue"	"AT1G14270.1"	"N0.HOG0016500"	"AT1G14270.1"	"OG0010246"	"AT1G14270.1"	"AT1G14270.1"	338	353	100	96	340	95.294	612	"AT1G14270.1"	"95.294"	"340"	"14"	"1"	"1"	"338"	"14"	"353"	"0"	"612"	"100"	"338"	"353"
"XP_020867069.1"	321	"AT1G14315.2"	"AT1G14315.2"	"orthologue"	"AT1G14315.2"	"N0.HOG0028664"	"AT1G14315.2"	"OG0021656"	"AT1G14315.2"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G14315.2"	"64.127"	"315"	"54"	"4"	"1"	"314"	"1"	"257"	"3.91e-128"	"367"	"98"	"321"	"303"
"XP_020867070.1"	282	"AT1G14250.1"	"AT1G14250.1"	"other"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G14250.1"	"90.476"	"273"	"26"	"0"	"1"	"273"	"1"	"273"	"2.8e-177"	"497"	"97"	"282"	"488"
"XP_020867071.1"	253	"AT1G14260.1"	"AT1G14260.1"	"orthologue"	"AT1G14260.1"	"N0.HOG0017541"	"AT1G14260.1"	"OG0011200"	"AT1G14260.1"	"AT1G14260.1"	253	265	100	100	270	83.704	397	"AT1G14260.1"	"83.704"	"270"	"22"	"4"	"1"	"253"	"1"	"265"	"1.68e-141"	"397"	"100"	"253"	"265"
"XP_020867072.1"	449	"AT5G58340.1"	"AT5G58340.1"	"orthologue"	"AT5G58340.1"	"N0.HOG0007762"	"AT1G15720.1, AT5G58340.1"	"OG0002945"	"AT1G15720.1, AT5G58340.1"	"AT5G58340.1"	449	448	100	100	450	86	760	"AT5G58340.1"	"86"	"450"	"60"	"2"	"1"	"449"	"1"	"448"	"0"	"760"	"100"	"449"	"448"
"XP_020867073.1"	828	"AT1G50500.2"	"AT1G50500.2"	"orthologue"	"AT1G50500.2"	"N0.HOG0010406"	"AT1G50500.2"	"OG0004754"	"AT1G50500.2"	"AT1G50500.2"	828	847	100	100	847	96.694	1685	"AT1G50500.2"	"96.694"	"847"	"9"	"1"	"1"	"828"	"1"	"847"	"0"	"1685"	"100"	"828"	"847"
"XP_020867074.1"	426	"AT1G50560.1, AT1G50520.1"	"AT1G50560.1"	"other"	NA	"N0.HOG0010038"	"AT1G50560.1, AT1G50520.1"	"OG0004459"	"AT1G50520.1, AT1G50560.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G50560.1"	"86.052"	"423"	"58"	"1"	"1"	"422"	"96"	"518"	"0"	"741"	"99"	"426"	"519"
"XP_020867077.1"	432	"AT1G01090.1"	"AT1G01090.1"	"orthologue"	"AT1G01090.1"	"N0.HOG0011128"	"AT1G01090.1"	"OG0005364"	"AT1G01090.1"	"AT1G01090.1"	432	428	100	100	433	96.767	859	"AT1G01090.1"	"96.767"	"433"	"8"	"3"	"1"	"432"	"1"	"428"	"0"	"859"	"100"	"432"	"428"
"XP_020867079.1"	261	"AT1G43640.1"	"AT1G43640.1"	"other"	NA	"N0.HOG0026149"	"AT1G43640.1"	"OG0019395"	"AT1G43640.1"	"AT1G43640.1"	261	429	100	60	267	79.775	426	"AT1G43640.1"	"79.775"	"267"	"38"	"3"	"1"	"261"	"173"	"429"	"3.33e-150"	"426"	"100"	"261"	"429"
"XP_020867080.1"	595	"AT1G31800.1"	"AT1G31800.1"	"orthologue"	"AT1G31800.1"	"N0.HOG0021272"	"AT1G31800.1"	"OG0014713"	"AT1G31800.1"	"AT1G31800.1"	595	595	99	99	594	95.96	1174	"AT1G31800.1"	"95.96"	"594"	"23"	"1"	"3"	"595"	"2"	"595"	"0"	"1174"	"99"	"595"	"595"
"XP_020867081.1"	494	"AT1G31830.1"	"AT1G31830.1"	"orthologue"	"AT1G31830.1"	"N0.HOG0023518"	"AT1G31830.1"	"OG0016906"	"AT1G31830.1"	"AT1G31830.1"	494	495	100	100	495	96.162	964	"AT1G31830.1"	"96.162"	"495"	"18"	"1"	"1"	"494"	"1"	"495"	"0"	"964"	"100"	"494"	"495"
"XP_020867083.1"	90	"AT1G31812.1"	"AT1G31812.1"	"orthologue"	"AT1G31812.1"	"N0.HOG0010951"	"AT1G31812.1"	"OG0005215"	"AT1G31812.1"	"AT1G31812.1"	90	92	100	98	90	95.556	175	"AT1G31812.1"	"95.556"	"90"	"4"	"0"	"1"	"90"	"1"	"90"	"4.31e-59"	"175"	"100"	"90"	"92"
"XP_020867084.1"	701	"AT1G18460.1"	"AT1G18460.1"	"orthologue"	"AT1G18460.1"	"N0.HOG0005032"	"AT1G18460.1"	"OG0001519"	"AT1G18460.1, AT1G73920.1"	"AT1G18460.1"	701	701	100	100	701	96.434	1405	"AT1G18460.1"	"96.434"	"701"	"25"	"0"	"1"	"701"	"1"	"701"	"0"	"1405"	"100"	"701"	"701"
"XP_020867086.1"	467	"AT1G18470.1"	"AT1G18470.1"	"orthologue"	"AT1G18470.1"	"N0.HOG0004873"	"AT1G18470.1"	"OG0001439"	"AT1G18470.1, AT1G73950.1"	"AT1G18470.1"	467	467	100	100	467	97.645	936	"AT1G18470.1"	"97.645"	"467"	"11"	"0"	"1"	"467"	"1"	"467"	"0"	"936"	"100"	"467"	"467"
"XP_020867088.1"	429	"AT1G10095.1"	"AT1G10095.1"	"orthologue"	"AT1G10095.1"	"N0.HOG0010739"	"AT1G10095.1"	"OG0005036"	"AT1G10095.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G10095.1"	"86.247"	"429"	"50"	"2"	"1"	"429"	"1"	"420"	"0"	"758"	"100"	"429"	"420"
"XP_020867092.1"	424	"AT1G10095.1"	"AT1G10095.1"	"orthologue"	"AT1G10095.1"	"N0.HOG0010739"	"AT1G10095.1"	"OG0005036"	"AT1G10095.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT1G10095.1"	"86.557"	"424"	"53"	"1"	"1"	"424"	"1"	"420"	"0"	"759"	"100"	"424"	"420"
"XP_020867095.1"	831	"AT1G34300.1"	"AT1G34300.1"	"orthologue"	"AT1G34300.1"	"N0.HOG0016106"	"AT1G34300.1"	"OG0009870"	"AT1G34300.1"	"AT1G34300.1"	831	829	97	97	809	92.707	1490	"AT1G34300.1"	"92.707"	"809"	"56"	"2"	"24"	"831"	"23"	"829"	"0"	"1516"	"97"	"831"	"829"
"XP_020867096.1"	930	"AT1G17110.2"	"AT1G17110.2"	"orthologue"	"AT1G17110.2"	"N0.HOG0013046"	"AT1G17110.2"	"OG0007022"	"AT1G17110.2"	"AT1G17110.2"	930	928	100	100	935	93.476	1756	"AT1G17110.2"	"93.583"	"935"	"48"	"4"	"1"	"930"	"1"	"928"	"0"	"1773"	"100"	"930"	"928"
"XP_020867100.1"	232	"AT1G17100.1"	"AT1G17100.1"	"orthologue"	"AT1G17100.1"	"N0.HOG0012233"	"AT1G17100.1"	"OG0006314"	"AT1G17100.1"	"AT1G17100.1"	232	232	100	100	232	96.121	463	"AT1G17100.1"	"96.121"	"232"	"9"	"0"	"1"	"232"	"1"	"232"	"1.11e-168"	"463"	"100"	"232"	"232"
"XP_020867102.1"	963	"AT5G45570.1, AT4G08430.1"	"AT4G08430.1"	"orthologue"	"AT5G45570.1, AT4G08430.1"	"N0.HOG0000433"	"AT1G37020.1, AT5G45570.1, AT4G08430.1, AT5G28810.1, AT2G10260.1, AT3G31910.1"	"OG0000044"	"AT1G37020.1, AT2G10260.1, AT3G31910.1, AT4G08430.1, AT5G28810.1, AT5G45570.1"	NA	NA	NA	NA	NA	NA	NA	NA	"AT4G08430.1"	"45.19"	"894"	"384"	"13"	"87"	"961"	"1"	"807"	"0"	"709"	"91"	"963"	"808"
"XP_020867103.1"	535	"AT1G24510.1"	"AT1G24510.1"	"orthologue"	"AT1G24510.1"	"N0.HOG0008729"	"AT1G24510.1"	"OG0003543"	"AT1G24510.1, AT1G67760.1"	"AT1G24510.1"	535	535	100	100	535	99.626	1098	"AT1G24510.1"	"99.626"	"535"	"2"	"0"	"1"	"535"	"1"	"535"	"0"	"1098"	"100"	"535"	"535"
"XP_020867104.1"	500	"AT1G24490.1"	"AT1G24490.1"	"orthologue"	"AT1G24490.1"	"N0.HOG0014136"	"AT1G24490.1"	"OG0008026"	"AT1G24490.1"	"AT1G24490.1"	500	499	100	99	503	91.849	875	"AT1G24490.1"	"91.849"	"503"	"31"	"3"	"1"	"500"	"1"	"496"	"0"	"900"	"100"	"500"	"499"
"XP_020867105.1"	895	"AT1G17680.1"	"AT1G17680.1"	"orthologue"	"AT1G17680.1"	"N0.HOG0013049"	"AT1G17680.1"	"OG0007025"	"AT1G17680.1"	"AT1G17680.1"	895	896	100	100	901	92.786	1645	"AT1G17680.1"	"92.786"	"901"	"54"	"5"	"1"	"895"	"1"	"896"	"0"	"1647"	"100"	"895"	"896"
"XP_020867108.1"	756	"AT1G17690.1"	"AT1G17690.1"	"orthologue"	"AT1G17690.1"	"N0.HOG0016432"	"AT1G17690.1"	"OG0010184"	"AT1G17690.1"	"AT1G17690.1"	756	754	100	100	765	89.804	1368	"AT1G17690.1"	"89.804"	"765"	"58"	"5"	"1"	"756"	"1"	"754"	"0"	"1368"	"100"	"756"	"754"
"XP_020867110.1"	1001	"AT1G50410.1"	"AT1G50410.1"	"orthologue"	"AT1G50410.1"	"N0.HOG0004763"	"AT1G50410.1"	"OG0001379"	"AT1G50410.1, AT3G20010.1"	"AT1G50410.1"	1001	981	100	100	1002	91.617	1833	"AT1G50410.1"	"91.617"	"1002"	"62"	"2"	"1"	"1001"	"1"	"981"	"0"	"1833"	"100"	"1001"	"981"
"XP_020867111.1"	481	"AT1G50420.1"	"AT1G50420.1"	"orthologue"	"AT1G50420.1"	"N0.HOG0012457"	"AT1G50420.1"	"OG0006504"	"AT1G50420.1"	"AT1G50420.1"	481	482	100	100	482	98.133	983	"AT1G50420.1"	"98.133"	"482"	"8"	"1"	"1"	"481"	"1"	"482"	"0"	"983"	"100"	"481"	"482"
"XP_020867112.1"	443	"AT5G58330.1"	"AT5G58330.1"	"orthologue"	"AT5G58330.1"	"N0.HOG0010796"	"AT5G58330.1"	"OG0005082"	"AT5G58330.1"	"AT5G58330.1"	443	443	100	100	443	99.097	908	"AT5G58330.1"	"99.097"	"443"	"4"	"0"	"1"	"443"	"1"	"443"	"0"	"908"	"100"	"443"	"443"
"XP_020867113.1"	605	"AT1G13030.1"	"AT1G13030.1"	"orthologue"	"AT1G13030.1"	"N0.HOG0013090"	"AT1G13030.1"	"OG0007066"	"AT1G13030.1"	"AT1G13030.1"	605	608	100	100	611	87.725	981	"AT1G13030.1"	"87.725"	"611"	"66"	"3"	"1"	"605"	"1"	"608"	"0"	"1014"	"100"	"605"	"608"
"XP_020867116.1"	1045	"AT1G04700.1"	"AT1G04700.1"	"orthologue"	"AT1G04700.1"	"N0.HOG0017582"	"AT1G04700.1"	"OG0011231"	"AT1G04700.1"	"AT1G04700.1"	1045	1042	100	100	1046	95.698	2085	"AT1G04700.1"	"95.698"	"1046"	"40"	"2"	"1"	"1045"	"1"	"1042"	"0"	"2085"	"100"	"1045"	"1042"
"XP_020867119.1"	943	"AT1G04730.1"	"AT1G04730.1"	"orthologue"	"AT1G04730.1"	"N0.HOG0020506"	"AT1G04730.1"	"OG0013973"	"AT1G04730.1"	"AT1G04730.1"	943	943	100	100	944	95.763	1866	"AT1G04730.1"	"95.763"	"944"	"38"	"2"	"1"	"943"	"1"	"943"	"0"	"1866"	"100"	"943"	"943"
"XP_020867120.1"	446	"AT1G04710.1"	"AT1G04710.1"	"orthologue"	"AT1G04710.1"	"N0.HOG0005356"	"AT1G04710.1"	"OG0001687"	"AT1G04710.1, AT2G33150.1"	"AT1G04710.1"	446	443	99	100	444	93.018	835	"AT1G04710.1"	"93.018"	"444"	"30"	"1"	"1"	"444"	"1"	"443"	"0"	"836"	"99"	"446"	"443"
"XP_020867121.1"	459	"AT1G32200.1"	"AT1G32200.1"	"orthologue"	"AT1G32200.1"	"N0.HOG0009824"	"AT1G32200.1"	"OG0004285"	"AT1G32200.1"	"AT1G32200.1"	459	459	100	100	459	97.821	936	"AT1G32200.1"	"97.821"	"459"	"10"	"0"	"1"	"459"	"1"	"459"	"0"	"936"	"100"	"459"	"459"
"XP_020867122.1"	296	"AT1G32220.1"	"AT1G32220.1"	"orthologue"	"AT1G32220.1"	"N0.HOG0021275"	"AT1G32220.1"	"OG0014716"	"AT1G32220.1"	"AT1G32220.1"	296	296	99	99	295	98.305	587	"AT1G32220.1"	"98.305"	"295"	"5"	"0"	"1"	"295"	"1"	"295"	"0"	"587"	"99"	"296"	"296"
"XP_020867123.1"	529	"AT1G52400.1"	"AT1G52400.1"	"orthologue"	"AT1G52400.1"	"N0.HOG0010036"	"AT1G52400.1"	"OG0004457"	"AT1G52400.1"	"AT1G52400.1"	529	528	99	100	528	95.076	1060	"AT1G52400.1"	"95.076"	"528"	"26"	"0"	"2"	"529"	"1"	"528"	"0"	"1060"	"99"	"529"	"528"
"XP_020867124.1"	455	"AT2G42400.1"	"AT2G42400.1"	"orthologue"	"AT2G42400.1"	"N0.HOG0012854"	"AT2G42400.1"	"OG0006850"	"AT2G42400.1"	"AT2G42400.1"	455	450	99	100	453	96.026	901	"AT2G42400.1"	"96.026"	"453"	"15"	"1"	"1"	"453"	"1"	"450"	"0"	"901"	"99"	"455"	"450"
"XP_020867125.1"	635	"AT1G09080.1"	"AT1G09080.1"	"orthologue"	"AT1G09080.1"	"N0.HOG0025135"	"AT1G09080.1"	"OG0018464"	"AT1G09080.1"	"AT1G09080.1"	635	675	100	95	639	96.244	1244	"AT1G09080.1"	"96.244"	"639"	"20"	"1"	"1"	"635"	"37"	"675"	"0"	"1244"	"100"	"635"	"675"
"XP_020867127.1"	1094	"AT1G53390.1"	"AT1G53390.1"	"orthologue"	"AT1G53390.1"	"N0.HOG0009763"	"AT1G53390.1"	"OG0004242"	"AT1G53390.1"	"AT1G53390.1"	1094	1109	99	99	1094	94.424	2115	"AT1G53390.1"	"94.424"	"1094"	"60"	"1"	"2"	"1094"	"16"	"1109"	"0"	"2115"	"99"	"1094"	"1109"
"XP_020867129.1"	1039	"AT1G53430.1"	"AT1G53430.1"	"orthologue"	"AT1G53430.1"	"N0.HOG0009318"	"AT1G53440.1, AT1G53430.1"	"OG0003922"	"AT1G53430.1, AT1G53440.1"	"AT1G53430.1"	1039	1038	100	100	1039	95.091	2006	"AT1G53430.1"	"95.091"	"1039"	"50"	"1"	"1"	"1039"	"1"	"1038"	"0"	"2006"	"100"	"1039"	"1038"
"XP_020867130.1"	1034	"AT1G53440.1"	"AT1G53440.1"	"orthologue"	"AT1G53440.1"	"N0.HOG0009318"	"AT1G53440.1, AT1G53430.1"	"OG0003922"	"AT1G53430.1, AT1G53440.1"	"AT1G53440.1"	1034	1035	100	100	1035	94.3	1982	"AT1G53440.1"	"94.3"	"1035"	"58"	"1"	"1"	"1034"	"1"	"1035"	"0"	"1982"	"100"	"1034"	"1035"
"XP_020867131.1"	967	"AT1G53310.1"	"AT1G53310.1"	"orthologue"	"AT1G53310.1"	"N0.HOG0002913"	"AT1G53310.1"	"OG0000588"	"AT1G53310.1, AT2G42600.1, AT3G14940.1"	"AT1G53310.1"	967	967	100	100	967	99.38	1986	"AT1G53310.1"	"99.38"	"967"	"6"	"0"	"1"	"967"	"1"	"967"	"0"	"1986"	"100"	"967"	"967"
"XP_020867133.1"	942	"AT1G53350.1"	"AT1G53350.1"	"orthologue"	"AT1G53350.1"	"N0.HOG0003288"	"AT5G43470.1, AT5G48620.1, AT5G35450.1, AT1G53350.1, AT1G10920.1"	"OG0000727"	"AT1G10920.1, AT1G53350.1, AT5G35450.1, AT5G43470.1, AT5G48620.1"	"AT1G53350.1"	942	906	96	100	906	92.384	1696	"AT1G53350.1"	"92.384"	"906"	"68"	"1"	"38"	"942"	"1"	"906"	"0"	"1696"	"96"	"942"	"906"
"XP_020867135.1"	726	"AT1G53600.1"	"AT1G53600.1"	"orthologue"	"AT1G53600.1"	"N0.HOG0024801"	"AT1G53600.1"	"OG0018149"	"AT1G53600.1"	"AT1G53600.1"	726	717	99	100	717	93.584	1405	"AT1G53600.1"	"93.584"	"717"	"46"	"0"	"1"	"717"	"1"	"717"	"0"	"1405"	"99"	"726"	"717"
