Orthogroup	Arabidopsis_lyrata_Rawat	Raphanus_sativus
OG0008979	AL6G33180, AL6G33160	XP_018445777.1, XP_018444834.1
OG0008980	AL6G33370	XP_018471141.1, XP_018447001.1, XP_018447010.1
OG0008981	AL6G33410	XP_018468330.1, XP_018444164.1
OG0008982	AL6G33660	XP_018462068.1, XP_018442131.1, XP_018472271.1, XP_018472238.1
OG0008983	AL8G29150	XP_018474795.1
OG0008984	AL6G33960	XP_018449762.1
OG0008985	AL6G34130	XP_018445032.1, XP_018468741.1
OG0008986	AL8G37290	XP_018445383.1, XP_018469248.1
OG0008987	AL8G36960	XP_018442972.1, XP_018474569.1
OG0008988	AL8G36820	XP_018472844.1, XP_018446138.1
OG0008989	AL8G36550	XP_018451651.1, XP_018462478.1
OG0008990	AL8G36520	XP_018462617.1, XP_018457487.1
OG0008991	AL8G36340	XP_018452857.1, XP_018468195.1
OG0008992	AL215U10040	XP_018452970.1
OG0008993	AL8G36280	XP_018454805.1, XP_018469073.1
OG0008994	AL8G35550, AL48U10050	XP_018453314.1
OG0008995	AL8G35510	XP_018466463.1
OG0008996	AL8G35390	XP_018452132.1, XP_018452673.1, XP_018469410.1
OG0008997	AL8G35350	XP_018469411.1, XP_018457305.1
OG0008998	AL8G35320, AL139U10030, AL3G40430	XP_018453045.1
OG0008999	AL8G34920	XP_018456455.1
OG0009000	AL8G34570	XP_018456688.1, XP_018473720.1, XP_018476616.1
OG0009001	AL8G34400	XP_018470319.1, XP_018470320.1
OG0009002	AL8G34260	XP_018467917.1, XP_018456807.1
OG0009003	AL1G34040	XP_018433286.1
OG0009004	AL8G34140	XP_018476124.1, XP_018455650.1
OG0009005	AL2G38920	XP_018464107.1, XP_018455602.1
OG0009006	AL8G33930	XP_018469194.1, XP_018456351.1, XP_018464322.1
OG0009007	AL8G33650	XP_018475497.1, XP_018469355.1
OG0009008	AL8G33530	XP_018454937.1, XP_018458364.1, XP_018462723.1
OG0009009	AL8G33350	XP_018446091.1
OG0009010	AL8G33270	XP_018454336.1, XP_018454339.1
OG0009011	AL8G33250	XP_018476308.1
OG0009012	AL8G33170	XP_018456371.1, XP_018469553.1, XP_018469555.1
OG0009013	AL8G33110	XP_018457546.1, XP_018455061.1
OG0009015	AL52U10060, AL8G32850	XP_018471840.1
OG0009016	AL52U10040	XP_018454802.1, XP_018468471.1
OG0009017	AL8G32730	XP_018475441.1, XP_018455552.1
OG0009018	AL8G32690	XP_018453193.1, XP_018473565.1
OG0009019	AL8G32630	XP_018457772.1, XP_018471294.1
OG0009020	AL8G32590	XP_018452826.1, XP_018473226.1
OG0009021	AL8G32400	XP_018454629.1, XP_018454426.1
OG0009022	AL8G32370	XP_018474769.1
OG0009023	AL8G32010	XP_018476128.1, XP_018457845.1
OG0009024	AL8G31990	XP_018472650.1, XP_018452156.1
OG0009025	AL8G31850, AL191U10010	XP_018453565.1, XP_018456318.1
OG0009026	AL8G31920	XP_018476760.1
OG0009027	AL8G31550	XP_018475719.1, XP_018454378.1
OG0009028	AL8G31540, AL840U10010, AL8G31520	XP_018457032.1
OG0009029	AL236U10010, AL8G31440	XP_018475843.1
OG0009030	AL8G31200	XP_018474678.1, XP_018455214.1, XP_018465775.1
OG0009031	AL8G31180	XP_018456864.1, XP_018452720.1
OG0009032	AL8G31090	XP_018453584.1, XP_018464717.1
OG0009033	AL8G31080	XP_018464718.1
OG0009034	AL8G30760	XP_018456110.1, XP_018476535.1
OG0009035	AL8G30660	XP_018468937.1, XP_018457192.1
OG0009036	AL8G30640	XP_018457194.1
OG0009037	AL8G30560, AL989U10010	XP_018456101.1
OG0009038	AL8G30450	XP_018474680.1, XP_018454601.1
OG0009039	AL5G29360	XP_018489631.1, XP_018437229.1
OG0009040	AL5G29010	XP_018434705.1, XP_018464417.1
OG0009041	AL5G28970	XP_018471558.1
OG0009042	AL5G28610	XP_018488870.1, XP_018437241.1
OG0009043	AL5G28560	XP_018433166.1
OG0009044	AL5G28420	XP_018469690.1, XP_018469645.1
OG0009045	AL5G28270	XP_018483135.1
OG0009046	AL8G29430	XP_018485016.1, XP_018473554.1
OG0009047	AL8G29600	XP_018471058.1
OG0009048	AL6G50770	XP_018466566.1
OG0009049	AL6G50150	XP_018460629.1, XP_018454879.1
OG0009050	AL4G17410	XP_018480417.1
OG0009051	AL6G17710	XP_018444950.1, XP_018444951.1, XP_018469037.1
OG0009052	AL7G44500	XP_018448631.1
OG0009053	AL2G10160	XP_018456815.1, XP_018456801.1
OG0009054	AL6G16960	XP_018442210.1, XP_018472625.1
OG0009055	AL6G16770	XP_018469752.1
OG0009056	AL6G16530	XP_018442513.1
OG0009057	AL6G16490	XP_018446389.1
OG0009058	AL6G16320	XP_018474871.1, XP_018443140.1
OG0009059	AL6G16260	XP_018475101.1, XP_018445235.1
OG0009060	AL6G29740	XP_018476744.1
OG0009061	AL6G29730	XP_018469952.1
OG0009062	AL1G40120	XP_018485090.1, XP_018490216.1
OG0009063	AL6G16020	XP_018475593.1, XP_018443416.1
OG0009064	AL1G40300	XP_018442950.1
OG0009065	AL6G15950	XP_018442986.1
OG0009066	AL6G15940	XP_018474722.1, XP_018457123.1
OG0009067	nbis-gene-1470	XP_018469689.1, XP_018444894.1
OG0009068	AL6G15590	XP_018445049.1, XP_018470179.1
OG0009069	AL6G15480	XP_018471748.1, XP_018471745.1
OG0009070	AL6G15350	XP_018476515.1, XP_018473074.1
OG0009071	AL6G15290	XP_018453053.1, XP_018444276.1, XP_018444273.1
OG0009072	AL6G15130	XP_018443402.1, XP_018443401.1
OG0009073	AL6G15040	XP_018476086.1, XP_018446252.1
OG0009074	AL6G15030	XP_018476085.1, XP_018446251.1
OG0009075	AL4G41380	XP_018480404.1
OG0009076	AL6G14850, nbis-gene-1463	XP_018443396.1, XP_018475362.1
OG0009077	AL6G14700	XP_018457550.1, XP_018446691.1
OG0009078	AL6G14690	XP_018468135.1, XP_018473672.1
OG0009079	AL6G14490	XP_018444216.1, XP_018476123.1
OG0009080	AL6G14080	XP_018445924.1
OG0009081	AL6G13940	XP_018442411.1, XP_018472819.1
OG0009082	AL6G13870	XP_018442673.1
OG0009083	AL6G13820	XP_018454718.1, XP_018451412.1, XP_018442441.1
OG0009084	AL6G53060	XP_018456699.1
OG0009085	AL6G13610	XP_018445681.1
OG0009086	AL6G13540	XP_018445902.1, XP_018472100.1
OG0009087	AL6G13450	XP_018456357.1, XP_018474622.1
OG0009088	AL6G13370	XP_018445249.1, XP_018474964.1
OG0009089	AL6G13300	XP_018446344.1, XP_018476689.1
OG0009090	AL6G13260	XP_018476449.1, XP_018445489.1
OG0009091	AL8G25050	XP_018473089.1
OG0009092	AL6G13180	XP_018472951.1, XP_018442854.1
OG0009093	AL6G12980	XP_018446036.1, XP_018466945.1
OG0009094	AL6G12970	XP_018468322.1, XP_018446037.1
OG0009095	AL6G12650	XP_018463486.1, XP_018453959.1, XP_018442461.1
OG0009096	AL6G12520	XP_018442573.1, XP_018473261.1
OG0009097	AL6G12450	XP_018458101.1, XP_018473444.1
OG0009098	AL6G12160	XP_018470055.1, XP_018476070.1
OG0009100	AL6G11780	XP_018452984.1
OG0009101	AL6G11620	XP_018474354.1, XP_018474352.1
OG0009102	AL6G11470	XP_018442790.1, XP_018469548.1
OG0009103	AL6G11360	XP_018472604.1
OG0009104	nbis-gene-1435	XP_018446984.1, XP_018443160.1
OG0009105	AL6G10460	XP_018474416.1
OG0009106	AL6G10410	XP_018474424.1
OG0009107	AL6G10350	XP_018470017.1, XP_018470016.1, XP_018444087.1
OG0009108	AL8G21460, AL6G10270	XP_018474430.1
OG0009109	AL6G10230	XP_018442601.1
OG0009110	AL6G10240	XP_018444436.1, XP_018474575.1
OG0009111	AL6G10040	XP_018447286.1, XP_018486022.1, XP_018486021.1
OG0009112	AL7G49190	XP_018482029.1, XP_018442944.1
OG0009113	AL7G48780	XP_018460806.1, XP_018479671.1, XP_018484795.1
OG0009114	AL7G48760	XP_018464160.1, XP_018484797.1, XP_018478931.1
OG0009116	AL7G48500	XP_018477413.1, XP_018442691.1
OG0009117	AL7G48470	XP_018478399.1
OG0009118	AL7G48450	XP_018442334.1, XP_018479686.1
OG0009119	AL3G19300	XP_018466438.1, XP_018489027.1, XP_018443680.1
OG0009120	AL7G47250	XP_018484442.1, XP_018465030.1, XP_018463841.1
OG0009121	AL2G41560	XP_018459572.1, XP_018446064.1, XP_018443024.1
OG0009122	AL2G41600	XP_018446261.1
OG0009123	AL2G41650	XP_018456727.1, XP_018453528.1, XP_018459561.1
OG0009124	AL2G41710	XP_018457191.1
OG0009125	AL2G41500	XP_018445354.1
OG0009126	AL2G41420	XP_018460066.1, XP_018462402.1
OG0009127	AL2G41400	XP_018475727.1, XP_018458889.1
OG0009128	AL2G41370	XP_018442862.1, XP_018447748.1
OG0009129	AL2G41320	XP_018442341.1, XP_018444296.1
OG0009130	AL2G41270	XP_018445137.1, XP_018444743.1
OG0009131	AL2G41150	XP_018470996.1, XP_018445955.1
OG0009132	AL2G40930	XP_018469644.1, XP_018454903.1
OG0009133	AL2G40870	XP_018469814.1
OG0009134	AL2G40810	XP_018457375.1
OG0009135	AL2G40800	XP_018470244.1, XP_018454644.1
OG0009136	AL2G40620	XP_018442894.1
OG0009137	AL2G40540	XP_018446635.1, XP_018457549.1
OG0009138	AL2G40440	XP_018457804.1, XP_018445646.1
OG0009139	AL2G40420	XP_018445641.1, XP_018457756.1
OG0009140	AL2G40390	XP_018457264.1, XP_018446856.1
OG0009141	AL2G40090	XP_018452366.1, XP_018468700.1
OG0009142	AL2G39550	XP_018445981.1
OG0009143	AL2G39380	XP_018453409.1
OG0009144	AL2G39190	XP_018456714.1, XP_018456717.1
OG0009145	AL2G39110	XP_018444795.1, XP_018442757.1
OG0009146	AL2G38990	XP_018468215.1, XP_018469089.1, XP_018455872.1
OG0009147	AL2G38790	XP_018456544.1, XP_018452136.1
OG0009148	nbis-gene-615, AL60U10070	XP_018461488.1, XP_018456015.1
OG0009150	AL2G38410	XP_018452326.1
OG0009151	AL2G38350	XP_018456670.1
OG0009152	AL2G38080	XP_018457532.1
OG0009153	AL5G21950	XP_018492490.1, XP_018492265.1
OG0009154	AL2G37980, AL89U10030	XP_018455877.1, XP_018453838.1
OG0009156	AL2G37600	XP_018457701.1
OG0009157	AL2G37590	XP_018463980.1, XP_018455173.1
OG0009158	AL2G37470	XP_018489704.1, XP_018464088.1, XP_018471757.1
OG0009159	AL2G37390	XP_018471709.1, XP_018471712.1, XP_018452297.1
OG0009160	AL2G37290	XP_018462119.1, XP_018444350.1, XP_018442208.1, XP_018456193.1
OG0009161	AL2G37150	XP_018445658.1, XP_018446144.1
OG0009162	AL2G37080	XP_018445494.1, XP_018445631.1
OG0009163	AL2G36630	XP_018452014.1, XP_018445978.1
OG0009164	AL2G36570	XP_018443158.1, XP_018464583.1
OG0009165	AL2G36410	XP_018442549.1
OG0009166	AL2G36190	XP_018445996.1, XP_018443433.1
OG0009168	AL3G26120	XP_018433083.1
OG0009169	AL2G36030	XP_018445634.1, XP_018445638.1, XP_018467219.1
OG0009170	AL2G35940	XP_018469092.1, XP_018468818.1, XP_018468966.1
OG0009171	AL2G35670	XP_018470543.1, XP_018444145.1
OG0009172	AL3G44850	XP_018486224.1, XP_018485675.1
OG0009173	AL2G35270	XP_018444257.1, XP_018444259.1, XP_018462789.1
OG0009174	AL2G35170	XP_018466971.1, XP_018444178.1
OG0009175	AL2G35120	XP_018444755.1, XP_018460677.1, XP_018442365.1
OG0009176	AL3G50550	XP_018432700.1
OG0009177	AL3G50580	XP_018455034.1, XP_018454940.1, XP_018432873.1
OG0009178	AL3G50680, AL3G27500	XP_018486814.1
OG0009179	AL3G50930	XP_018490480.1, XP_018435882.1
OG0009180	AL5G29910	XP_018454801.1, XP_018439293.1
OG0009181	AL8G30060	XP_018452848.1, XP_018451539.1
OG0009182	AL8G30050	XP_018457881.1, XP_018473190.1
OG0009183	AL8G30020	XP_018469487.1, XP_018454572.1
OG0009184	AL1G64550	XP_018449757.1, XP_018482117.1
OG0009185	AL1G64240, AL1G64100	XP_018441682.1
OG0009186	AL1G64060	XP_018448119.1, XP_018451500.1
OG0009187	AL1G63980	XP_018467923.1, XP_018489996.1
OG0009188	AL1G63760	XP_018493582.1, XP_018451430.1
OG0009189	AL1G63370	XP_018434819.1, XP_018460279.1
OG0009190	AL1G63300	XP_018436242.1, XP_018449263.1
OG0009191	AL1G62750	XP_018450667.1, XP_018450668.1
OG0009192	AL1G62470	XP_018434226.1, XP_018487196.1
OG0009193	AL1G62450	XP_018489447.1, XP_018435647.1
OG0009194	AL1G62430	XP_018450968.1, XP_018435630.1
OG0009196	AL1G62060	XP_018492077.1, XP_018491588.1
OG0009197	AL1G62040	XP_018492078.1, XP_018438292.1
OG0009198	AL1G62020	XP_018447649.1
OG0009199	AL2G27330	XP_018452040.1
OG0009200	AL1G61590	XP_018493115.1, XP_018470007.1
OG0009201	AL4G32100, AL970U10010	XP_018478238.1, XP_018478222.1
OG0009202	AL4G32140	XP_018461271.1, XP_018481200.1, XP_018437498.1
OG0009203	AL4G32300	XP_018441407.1, XP_018484911.1
OG0009204	AL4G32330	XP_018473052.1, XP_018441528.1
OG0009205	AL4G32630	XP_018438178.1, XP_018479913.1, XP_018475280.1
OG0009206	AL7G26750	XP_018448344.1
OG0009207	AL4G33060	XP_018439469.1
OG0009208	AL5G23950	XP_018437334.1, XP_018456416.1
OG0009209	AL5G23450	XP_018441621.1
OG0009210	AL5G22790, AL5G22870	XP_018434438.1
OG0009211	AL5G18820	XP_018481288.1, XP_018463892.1
OG0009212	AL6G41240	XP_018473531.1, XP_018452281.1
OG0009213	AL8G24200	XP_018466818.1, XP_018474453.1
OG0009214	AL8G27650	XP_018468482.1, XP_018455066.1
OG0009215	AL7G44760	XP_018445488.1, XP_018443692.1
OG0009217	AL7G44490	XP_018451685.1, XP_018458121.1
OG0009219	AL9U11740	XP_018485266.1, XP_018447607.1
OG0009220	AL9U10250	XP_018478510.1
OG0009221	AL7G42170	XP_018451282.1
OG0009222	AL7G42150	XP_018447310.1, XP_018477228.1
OG0009223	AL7G12590	XP_018471430.1, XP_018471432.1
OG0009224	AL7G41170	XP_018450386.1, XP_018469303.1
OG0009225	AL7G41100	XP_018444558.1, XP_018444511.1
OG0009226	AL7G40570	XP_018468632.1, XP_018444654.1
OG0009227	AL7G40480	XP_018451537.1
OG0009228	AL7G40080	XP_018450805.1
OG0009229	AL7G39990	XP_018471239.1, XP_018477495.1
OG0009230	AL2G32760	XP_018452860.1, XP_018464234.1
OG0009231	AL2G32800	XP_018470254.1, XP_018470252.1
OG0009232	AL2G32850	XP_018456525.1, XP_018433320.1, XP_018433276.1, XP_018442145.1
OG0009233	AL2G32930	XP_018472050.1
OG0009234	AL2G33250	XP_018457734.1, XP_018446862.1
OG0009235	AL2G33290	XP_018450879.1, XP_018457736.1
OG0009236	AL2G33470	XP_018447034.1, XP_018454618.1, XP_018456158.1
OG0009237	AL2G33660	XP_018452364.1, XP_018442658.1
OG0009238	AL2G33750	XP_018457805.1
OG0009239	AL2G34010	XP_018442624.1, XP_018448684.1, XP_018468280.1
OG0009240	AL2G34020	XP_018445074.1
OG0009241	AL8G22670	XP_018438118.1
OG0009242	AL2G34140	XP_018445082.1
OG0009243	AL2G34220	XP_018445135.1, XP_018445182.1, XP_018443536.1
OG0009244	AL2G27490	XP_018442315.1, XP_018470082.1
OG0009245	AL2G27770	XP_018453071.1, XP_018468456.1
OG0009246	AL2G27950	XP_018446680.1, XP_018451958.1
OG0009247	AL2G28090	XP_018453348.1, XP_018446893.1
OG0009248	AL2G28350	XP_018443014.1, XP_018456111.1
OG0009249	AL7G24050	XP_018481908.1, XP_018471970.1
OG0009250	AL7G23900	XP_018469657.1
OG0009251	AL7G23880	XP_018467855.1, XP_018478883.1
OG0009252	AL7G23770	XP_018449065.1, XP_018463994.1, XP_018484281.1
OG0009253	AL7G23660	XP_018470933.1, XP_018460042.1, XP_018465739.1
OG0009254	AL7G23460	XP_018451421.1, XP_018470192.1
OG0009255	AL8G27820	XP_018472026.1
OG0009256	AL2G11280	XP_018455673.1, XP_018455674.1
OG0009257	AL2G11270	XP_018456066.1
OG0009258	AL2G11110	XP_018455366.1, XP_018454283.1
OG0009259	AL7G50130	XP_018458823.1, XP_018442965.1
OG0009260	AL3G42320	XP_018480981.1, XP_018478345.1
OG0009261	AL7G49740	XP_018481251.1, XP_018442856.1
OG0009262	AL7G49720	XP_018481722.1
OG0009263	AL7G49710	XP_018478009.1
OG0009264	AL8G25030	XP_018473201.1, XP_018453669.1, XP_018466167.1
OG0009265	AL5G20130	XP_018452825.1
OG0009266	AL5G17230	XP_018463684.1, XP_018454766.1
OG0009267	AL5G17140	XP_018440701.1, XP_018483500.1
OG0009268	AL5G17060	XP_018480654.1, XP_018454607.1
OG0009269	AL4G46750	XP_018481452.1, XP_018438809.1
OG0009270	AL5G17000	XP_018477391.1, XP_018433158.1
OG0009271	AL5G16660	XP_018439073.1, XP_018480910.1, XP_018462451.1
OG0009272	AL5G16020	XP_018484560.1, XP_018456598.1
OG0009273	AL5G16000	XP_018484624.1, XP_018456601.1
OG0009274	AL5G15990	XP_018456597.1, XP_018484622.1
OG0009275	AL5G15970	XP_018465162.1, XP_018438687.1, XP_018481391.1
OG0009276	AL5G15950	XP_018456115.1, XP_018437339.1
OG0009277	AL5G15890	XP_018441964.1, XP_018483088.1
OG0009278	AL5G15870	XP_018483086.1
OG0009279	AL5G15640	XP_018435678.1
OG0009280	AL5G15510	XP_018483056.1
OG0009281	AL5G15200	XP_018461337.1, XP_018467398.1
OG0009282	AL5G15190	XP_018480762.1, XP_018433267.1
OG0009283	AL5G15180	XP_018480760.1, XP_018434637.1
OG0009284	AL5G14590	XP_018466024.1, XP_018442062.1, XP_018481518.1
OG0009285	AL5G14580	XP_018484486.1, XP_018452632.1
OG0009286	AL5G14460	XP_018456430.1, XP_018483301.1
OG0009287	AL8G24190	XP_018475417.1, XP_018465733.1
OG0009288	AL5G14250	XP_018433533.1, XP_018460865.1
OG0009289	AL8G24940	XP_018476643.1
OG0009290	AL2G28610	XP_018445318.1, XP_018452015.1
OG0009291	AL2G28480	XP_018457776.1, XP_018444520.1, XP_018462360.1
OG0009292	AL8G19350	XP_018477698.1
OG0009293	AL8G12550	XP_018436733.1
OG0009294	AL8G12730	XP_018433547.1, XP_018459606.1
OG0009295	AL8G21420	XP_018484431.1
OG0009296	AL8G12920	XP_018460942.1, XP_018452291.1
OG0009297	AL8G12940	XP_018452172.1
OG0009298	AL8G13470	XP_018434460.1, XP_018452879.1
OG0009299	AL2G19670	XP_018446658.1, XP_018446655.1
OG0009300	AL8G14110	XP_018483948.1, XP_018464161.1, XP_018439315.1
OG0009301	AL8G14200, AL8G14380	XP_018433172.1
OG0009302	AL1G57180	XP_018447275.1, XP_018467836.1
OG0009303	AL1G57820	XP_018432973.1
OG0009304	AL1G57940	XP_018466859.1, XP_018447669.1
OG0009305	AL1G58020	XP_018481307.1, XP_018486019.1, XP_018440190.1
OG0009306	AL1G58070	XP_018488639.1, XP_018477406.1, XP_018477419.1
OG0009307	AL1G27370	XP_018451475.1
OG0009308	AL1G59270	XP_018485289.1, XP_018447827.1
OG0009309	AL1G59640	XP_018449146.1, XP_018487206.1
OG0009310	AL1G59670	XP_018492039.1, XP_018449144.1
OG0009311	AL1G59980	XP_018447055.1, XP_018453799.1
OG0009312	AL1G60820	XP_018469584.1
OG0009313	AL1G60860	XP_018486948.1
OG0009314	AL1G60950	XP_018486426.1, XP_018490305.1
OG0009315	AL1G61340	XP_018447796.1, XP_018487183.1
OG0009316	AL8G17800	XP_018477607.1, XP_018460394.1
OG0009317	AL4G29260	XP_018466686.1, XP_018474919.1, XP_018485025.1
OG0009318	AL4G29380	XP_018436341.1, XP_018467212.1, XP_018485116.1
OG0009319	AL4G29560	XP_018477123.1
OG0009320	AL4G29870	XP_018434051.1
OG0009321	AL4G29930	XP_018434434.1
OG0009322	AL4G30080	XP_018437555.1, XP_018481299.1, XP_018459898.1
OG0009323	AL4G30490	YP_006665988.1, XP_018434712.1
OG0009324	AL4G30520	XP_018438003.1
OG0009325	AL4G30620	XP_018463017.1, XP_018476386.1
OG0009326	AL4G30640	XP_018461502.1, XP_018438639.1
OG0009327	AL4G30720	XP_018462946.1, XP_018462945.1, XP_018474088.1
OG0009328	AL924U10010, AL4G30850	XP_018481188.1, XP_018439076.1
OG0009329	AL4G30870	XP_018482473.1
OG0009330	AL4G30920	XP_018482489.1, XP_018438464.1
OG0009331	AL4G31170	XP_018459527.1, XP_018441111.1
OG0009332	AL716U10010, AL4G31300	XP_018434598.1
OG0009333	AL4G31460	XP_018477998.1, XP_018438000.1
OG0009335	AL4G31730	XP_018464745.1, XP_018476793.1
OG0009336	AL4G31870	XP_018479898.1, XP_018464073.1, XP_018475557.1
OG0009337	AL4G31900	XP_018480423.1, XP_018459733.1
OG0009338	AL4G31920	XP_018484530.1, XP_018476035.1
OG0009339	AL7G34690	XP_018449895.1, XP_018467901.1
OG0009340	AL4G37260	XP_018477456.1
OG0009341	AL7G34950	XP_018477757.1, XP_018471682.1
OG0009342	AL7G35290	XP_018478305.1, XP_018446313.1
OG0009343	AL7G35170	XP_018481568.1, XP_018468871.1
OG0009344	AL7G35150	XP_018458967.1
OG0009345	AL7G36400	XP_018447623.1, XP_018456396.1
OG0009346	AL7G36570	XP_018451513.1, XP_018470548.1
OG0009347	AL7G36720	XP_018480755.1, XP_018481102.1
OG0009348	AL7G36730	XP_018453264.1, XP_018481196.1
OG0009349	AL7G36940	XP_018471498.1
OG0009350	AL7G37440	XP_018481974.1, XP_018477778.1, XP_018468995.1
OG0009351	AL7G37470	XP_018469042.1, XP_018444778.1
OG0009352	AL7G37490	XP_018480396.1, XP_018448660.1
OG0009353	AL5G21010	XP_018437423.1
OG0009354	AL5G31350	XP_018439842.1
OG0009355	AL5G31260	XP_018437112.1, XP_018468772.1
OG0009356	AL1G29490	XP_018472990.1, XP_018466395.1
OG0009357	nbis-gene-1343	XP_018441465.1
OG0009358	AL5G30810	XP_018437608.1
OG0009359	AL5G30700	XP_018434504.1, XP_018468364.1
OG0009360	AL5G30680	XP_018441091.1, XP_018448468.1
OG0009361	AL5G30590	XP_018478822.1
OG0009362	AL5G30570	XP_018478367.1
OG0009363	AL7G29980	XP_018471475.1, XP_018471462.1, XP_018484488.1
OG0009364	AL8G24250	XP_018459723.1, XP_018457155.1
OG0009365	AL8G26780	XP_018473284.1
OG0009367	AL8G26130, AL8G30000	XP_018473075.1
OG0009368	AL8G25690	XP_018469328.1, XP_018452707.1
OG0009369	AL5G21120	XP_018490231.1, XP_018438727.1
OG0009370	AL3G44860	XP_018486359.1, XP_018453031.1
OG0009371	AL3G41850, AL3G45850	XP_018457932.1
OG0009372	AL3G47290	XP_018438657.1
OG0009373	AL3G47470	XP_018491590.1, XP_018490571.1, XP_018433506.1
OG0009374	AL3G47510	XP_018454562.1, XP_018437199.1
OG0009375	AL3G52340	XP_018493421.1, XP_018441581.1
OG0009376	AL3G49480	XP_018433199.1
OG0009377	AL5G45080, AL2G23460	XP_018432531.1
OG0009378	AL3G50080	XP_018452747.1, XP_018433432.1
OG0009379	AL3G50110	XP_018452793.1, XP_018439297.1
OG0009380	AL7G29200	XP_018445692.1, XP_018446033.1
OG0009381	AL7G29230	XP_018469942.1, XP_018482586.1
OG0009383	AL7G29420	XP_018470092.1
OG0009384	AL7G30510	XP_018477197.1, XP_018468695.1
OG0009385	AL7G30540	XP_018448927.1, XP_018458809.1
OG0009386	AL7G30830	XP_018478292.1, XP_018447522.1
OG0009387	AL7G30970	XP_018482082.1, XP_018468808.1
OG0009388	AL7G31290	XP_018480952.1, XP_018455587.1
OG0009389	AL7G31560	XP_018450762.1, XP_018468429.1
OG0009390	AL7G47340	XP_018480390.1
OG0009391	AL7G31910	XP_018484110.1
OG0009392	AL7G47530	XP_018460641.1, XP_018478257.1
OG0009393	AL7G33860	XP_018449994.1, XP_018469143.1, XP_018465044.1
OG0009394	AL7G33650	XP_018448511.1, XP_018469227.1
OG0009395	AL7G33620	XP_018455922.1
OG0009396	AL7G33490	XP_018447136.1, XP_018467953.1
OG0009397	AL7G33480	XP_018467963.1
OG0009400	AL1G29150	XP_018482988.1, XP_018458907.1
OG0009401	AL7G33060	XP_018449796.1, XP_018447573.1
OG0009402	AL3G11760, AL7G32920	XP_018449291.1
OG0009403	AL7G32770	XP_018468643.1
OG0009404	AL5G13070	XP_018463735.1, XP_018481106.1, XP_018434316.1
OG0009405	nbis-gene-1585, AL7G32500, AL7G32520	XP_018455735.1
OG0009406	AL3G53870	XP_018440721.1, XP_018435252.1, XP_018435254.1
OG0009407	AL8G19750	XP_018463594.1, XP_018477496.1
OG0009408	AL7G38720	XP_018470657.1, XP_018453437.1
OG0009409	AL7G38530	XP_018457677.1, XP_018478465.1
OG0009410	AL7G38350, AL7G38400	XP_018480407.1, XP_018478173.1
OG0009411	AL7G38190	XP_018471493.1
OG0009412	AL7G38090	XP_018472315.1
OG0009413	AL7G38020	XP_018471873.1
OG0009414	AL7G37670	XP_018481903.1, XP_018447091.1
OG0009415	AL7G37640	XP_018451182.1, XP_018451949.1
OG0009416	AL3G10340	XP_018438894.1, XP_018491628.1
OG0009417	AL3G10480	XP_018491985.1, XP_018492019.1
OG0009418	AL3G10500	XP_018491986.1, XP_018432711.1, XP_018465216.1
OG0009419	AL3G10690	XP_018485946.1, XP_018466173.1
OG0009421	AL8G44800	XP_018456771.1, XP_018433311.1
OG0009422	AL8G45060	XP_018441002.1
OG0009423	AL8G45070	XP_018457965.1, XP_018441000.1
OG0009424	AL8G45080, AL5G27160	XP_018436249.1, XP_018457964.1
OG0009425	AL8G45100	XP_018437090.1, XP_018455608.1
OG0009426	AL8G45320	XP_018456207.1, XP_018440129.1
OG0009427	AL8G45420	XP_018438940.1
OG0009428	AL5G46110	XP_018432949.1, XP_018459633.1
OG0009429	AL5G46090	XP_018490964.1
OG0009430	AL5G45940	XP_018481158.1, XP_018488663.1
OG0009431	AL5G45760	XP_018446812.1, XP_018492925.1, XP_018484009.1
OG0009432	AL5G45700	XP_018487228.1, XP_018487214.1, XP_018481045.1
OG0009433	AL5G45210	XP_018445940.1, XP_018485761.1, XP_018466607.1
OG0009434	AL213U10020, AL5G45190, AL5G24490	XP_018491340.1
OG0009435	AL5G45030, AL2G23530	XP_018446225.1, XP_018444351.1
OG0009436	AL5G44560	XP_018485700.1, XP_018447026.1
OG0009437	AL5G44530	XP_018490241.1, XP_018490246.1
OG0009438	AL304U10010	XP_018435240.1, XP_018435297.1
OG0009439	AL5G44430	XP_018484385.1, XP_018492511.1
OG0009440	AL5G44410	XP_018492510.1
OG0009441	AL5G44130, AL5G44070	XP_018467448.1, XP_018490840.1, XP_018491000.1
OG0009442	AL1G53570, AL5G43620	XP_018492411.1, XP_018492400.1
OG0009443	AL4G30010	XP_018436342.1
OG0009444	AL5G43470	XP_018478635.1, XP_018478619.1
OG0009445	AL5G43370	XP_018484570.1, XP_018492877.1
OG0009446	AL5G43270	XP_018465152.1, XP_018478556.1, XP_018478654.1
OG0009447	AL5G42970	XP_018488999.1, XP_018489010.1
OG0009449	AL5G42830	XP_018487237.1, XP_018444168.1
OG0009450	AL5G42820	XP_018444198.1, XP_018432803.1
OG0009451	AL5G42750	XP_018489033.1
OG0009452	AL5G42720	XP_018493179.1
OG0009453	AL5G42130	XP_018477976.1, XP_018462700.1
OG0009454	AL5G41400	XP_018488775.1
OG0009455	AL5G41380	XP_018442925.1, XP_018487129.1
OG0009456	AL5G41210	XP_018460700.1, XP_018492131.1, XP_018442129.1
