Orthogroup	Arabidopsis_lyrata_Rawat	Rorippa_islandica
OG0007950	AL4G12300	Roisl.0046s0557.1.p
OG0007951	nbis-gene-947, AL3G48210	Roisl.0046s0541.1.p
OG0007952	AL3G48200, nbis-gene-948	Roisl.0046s0540.1.p
OG0007953	AL4G12980	Roisl.0046s0505.1.p
OG0007954	AL4G13200	Roisl.0006s0595.1.p
OG0007955	AL4G13270	Roisl.0006s0590.1.p
OG0007956	AL4G13830	Roisl.0021s0566.1.p
OG0007957	AL4G14020	Roisl.0021s0584.1.p
OG0007958	AL4G14220	Roisl.0021s0599.1.p
OG0007959	AL4G18040	Roisl.0082s0513.1.p
OG0007960	AL4G16990	Roisl.0023s0097.1.p
OG0007961	AL4G18830	Roisl.0043s0042.1.p
OG0007962	AL4G14860	Roisl.0051s0016.1.p
OG0007963	AL4G17420	Roisl.0078s0003.1.p
OG0007964	AL7G28650	Roisl.0022s0102.1.p
OG0007965	AL7G28660	Roisl.0022s0101.1.p
OG0007966	AL7G28950	Roisl.0008s0246.1.p
OG0007967	AL1G51860	Roisl.0185s0003.1.p
OG0007968	AL1G51970	Roisl.0179s0102.1.p
OG0007969	AL1G52160	Roisl.0179s0080.1.p
OG0007970	AL1G52460	Roisl.0179s0042.1.p
OG0007971	AL1G52500	Roisl.0179s0037.1.p
OG0007972	AL1G50630	Roisl.0210s2121.1.p
OG0007973	AL1G50540	Roisl.0210s2104.1.p
OG0007974	AL1G50310	Roisl.0046s0065.1.p
OG0007975	AL1G49100	Roisl.0056s0009.1.p
OG0007976	AL1G48720	Roisl.0056s0031.1.p
OG0007977	AL1G48630	Roisl.0082s0531.1.p
OG0007978	AL1G48440	Roisl.0193s0011.1.p
OG0007979	AL1G48220	Roisl.0040s0051.1.p
OG0007980	AL1G48180	Roisl.0040s0054.1.p
OG0007981	AL6G43470	Roisl.0053s0032.1.p
OG0007982	AL6G43450	Roisl.0053s0031.1.p
OG0007983	AL6G43980, AL6G44000	Roisl.0020s0086.1.p
OG0007984	AL6G44120	Roisl.0020s0110.1.p
OG0007985	AL6G44820	Roisl.0057s0034.1.p
OG0007986	AL7G45650	Roisl.0210s2189.1.p
OG0007987	AL6G46260	Roisl.0213s0552.1.p
OG0007988	AL6G47030	Roisl.0209s0213.1.p
OG0007989	AL6G30430	Roisl.0210s1617.1.p
OG0007990	AL6G30480	Roisl.0210s1622.1.p
OG0007991	AL6G30540	Roisl.0210s1631.1.p
OG0007992	AL6G30770	Roisl.0210s1645.1.p
OG0007993	AL6G30830	Roisl.0210s1651.1.p
OG0007994	AL6G38240	Roisl.0046s0299.1.p
OG0007995	AL6G38300	Roisl.0046s0305.1.p
OG0007996	AL6G38720	Roisl.0046s0343.1.p
OG0007997	AL3G47870	Roisl.0214s0423.1.p
OG0007998	AL3G53270	Roisl.0214s0435.1.p
OG0007999	AL3G53490	Roisl.0214s0455.1.p
OG0008000	AL4G47760	Roisl.0067s0004.1.p
OG0008001	AL4G47630	Roisl.0067s0014.1.p
OG0008002	AL39U10010, AL4G47430	Roisl.0067s0033.1.p
OG0008003	AL6G44220	Roisl.0020s0121.1.p
OG0008004	AL4G46980	Roisl.0067s0076.1.p
OG0008005	AL4G46910	Roisl.0067s0083.1.p
OG0008006	AL4G46830	Roisl.0035s0010.1.p
OG0008007	AL4G45320	Roisl.0035s0140.1.p
OG0008008	AL4G45300	Roisl.0035s0142.1.p
OG0008009	AL4G45280	Roisl.0035s0143.1.p
OG0008010	AL4G45250	Roisl.0035s0146.1.p
OG0008012	AL4G45120	Roisl.0035s0156.1.p
OG0008013	AL4G45040	Roisl.0035s0164.1.p
OG0008014	AL4G44850	Roisl.0035s0183.1.p
OG0008015	AL4G44570	Roisl.0028s0043.1.p
OG0008016	AL4G43930	Roisl.0028s0100.1.p
OG0008017	AL4G43910	Roisl.0028s0102.1.p
OG0008018	AL4G43700	Roisl.0028s0123.1.p
OG0008019	AL4G43440	Roisl.0028s0145.1.p
OG0008020	AL4G42930	Roisl.0028s0184.1.p
OG0008021	AL4G42920	Roisl.0028s0185.1.p
OG0008022	AL4G42910	Roisl.0028s0186.1.p
OG0008023	AL4G42760	Roisl.0028s0199.1.p
OG0008024	AL4G42350	Roisl.0028s0251.1.p
OG0008025	AL4G41660	Roisl.0028s0311.1.p
OG0008026	AL4G41490	Roisl.0028s0327.1.p
OG0008027	AL4G40560	Roisl.0028s0400.1.p
OG0008028	AL4G40490	Roisl.0028s0406.1.p
OG0008029	AL4G40300	Roisl.0028s0421.1.p
OG0008030	AL4G40120	Roisl.0028s0439.1.p
OG0008031	AL4G26110	Roisl.0028s0482.1.p
OG0008032	AL4G39350	Roisl.0028s0486.1.p
OG0008033	AL8G11400	Roisl.0005s0101.1.p
OG0008034	AL8G10800	Roisl.0005s0052.1.p
OG0008035	AL8G11270	Roisl.0005s0087.1.p
OG0008036	AL3G10950	Roisl.0016s0093.1.p
OG0008037	AL3G10970	Roisl.0016s0095.1.p
OG0008038	AL3G11040	Roisl.0016s0103.1.p
OG0008039	AL3G11170	Roisl.0016s0115.1.p
OG0008040	AL3G11390	Roisl.0016s0138.1.p
OG0008041	AL6G24200	Roisl.0210s1054.1.p
OG0008042	AL3G11940	Roisl.0016s0190.1.p
OG0008043	AL3G12310	Roisl.0016s0220.1.p
OG0008044	AL3G12580	Roisl.0016s0242.1.p
OG0008045	AL3G12760	Roisl.0016s0250.1.p
OG0008046	AL3G13110	Roisl.0016s0280.1.p
OG0008047	AL3G13440, AL3G13430	Roisl.0016s0303.1.p
OG0008048	AL3G13510	Roisl.0016s0309.1.p
OG0008049	AL3G13900	Roisl.0016s0340.1.p
OG0008050	AL3G13940	Roisl.0016s0345.1.p
OG0008051	AL3G13980	Roisl.0016s0349.1.p
OG0008052	AL3G14000	Roisl.0016s0351.1.p
OG0008055	AL3G15250	Roisl.0039s0011.1.p
OG0008056	AL3G15470	Roisl.0039s0031.1.p
OG0008057	AL3G15520	Roisl.0039s0036.1.p
OG0008058	AL3G15770	Roisl.0039s0056.1.p
OG0008059	AL3G15930	Roisl.0039s0062.1.p
OG0008060	AL3G16070	Roisl.0039s0069.1.p
OG0008061	AL3G16120	Roisl.0039s0074.1.p
OG0008062	AL3G16720	Roisl.0039s0131.1.p
OG0008063	AL3G16770	Roisl.0039s0136.1.p
OG0008064	AL3G16840	Roisl.0039s0142.1.p
OG0008065	AL3G16980	Roisl.0039s0160.1.p
OG0008066	AL8G21450, AL3G18750	Roisl.0079s0137.1.p
OG0008067	AL3G17650	Roisl.0079s0042.1.p
OG0008068	AL3G17660	Roisl.0079s0043.1.p
OG0008069	AL3G17770	Roisl.0079s0053.1.p
OG0008070	AL3G17900, AL504U10010	Roisl.0079s0067.1.p
OG0008071	AL3G19120	Roisl.0079s0177.1.p
OG0008072	AL3G19590	Roisl.0079s0217.1.p
OG0008073	AL3G19890	Roisl.0079s0247.1.p
OG0008074	AL3G20020	Roisl.0079s0258.1.p
OG0008075	AL3G20290	Roisl.0079s0274.1.p
OG0008076	AL3G20130, AL3G20140	Roisl.0079s0267.1.p
OG0008077	AL3G20170	Roisl.0079s0270.1.p
OG0008078	AL3G20340	Roisl.0079s0279.1.p
OG0008079	AL3G20700	Roisl.0079s0307.1.p
OG0008080	AL3G20730	Roisl.0079s0311.1.p
OG0008081	AL3G20970	Roisl.0079s0331.1.p
OG0008082	AL3G21330	Roisl.0074s1022.1.p
OG0008083	AL3G21460	Roisl.0074s1014.1.p
OG0008084	AL3G21710	Roisl.0074s0987.1.p
OG0008085	AL7G34590	Roisl.0091s0349.1.p
OG0008086	AL3G21930	Roisl.0074s0962.1.p
OG0008087	AL3G22260	Roisl.0074s0937.1.p
OG0008088	AL3G22270	Roisl.0074s0936.1.p
OG0008089	AL3G22400	Roisl.0074s0922.1.p
OG0008090	AL3G22540	Roisl.0074s0910.1.p
OG0008091	AL3G22730	Roisl.0074s0886.1.p
OG0008092	AL3G22800	Roisl.0074s0879.1.p
OG0008093	AL3G23020	Roisl.0074s0860.1.p
OG0008094	AL3G23080	Roisl.0074s0855.1.p
OG0008095	AL3G23090	Roisl.0074s0854.1.p
OG0008096	AL3G23250	Roisl.0074s0836.1.p
OG0008097	AL3G23260	Roisl.0074s0835.1.p
OG0008098	AL3G23370	Roisl.0074s0824.1.p
OG0008099	AL3G23380	Roisl.0074s0821.1.p
OG0008100	nbis-gene-694	Roisl.0074s0811.1.p
OG0008101	AL3G23550	Roisl.0074s0810.1.p
OG0008102	AL3G23670	Roisl.0074s0796.1.p
OG0008103	AL3G23930	Roisl.0074s0777.1.p
OG0008104	AL3G23970	Roisl.0074s0773.1.p
OG0008105	AL3G24110	Roisl.0074s0762.1.p
OG0008106	AL3G24290	Roisl.0074s0745.1.p
OG0008107	AL3G24310	Roisl.0074s0743.1.p
OG0008108	AL7G43500, AL3G24320	Roisl.0074s0742.1.p
OG0008109	AL3G24370	Roisl.0074s0737.1.p
OG0008110	AL3G24660	Roisl.0074s0703.1.p
OG0008111	AL3G24760	Roisl.0074s0696.1.p
OG0008112	AL3G24940	Roisl.0074s0677.1.p
OG0008113	nbis-gene-308	Roisl.0021s0521.1.p
OG0008114	AL3G25340	Roisl.0074s0647.1.p
OG0008115	AL3G26010	Roisl.0074s0595.1.p
OG0008116	AL3G26060	Roisl.0074s0590.1.p
OG0008117	AL3G26160	Roisl.0074s0580.1.p
OG0008118	AL3G25980	Roisl.0074s0573.1.p, Roisl.0074s0572.1.p
OG0008119	AL3G26340	Roisl.0074s0561.1.p
OG0008120	AL3G26520	Roisl.0074s0542.1.p
OG0008122	AL3G26770	Roisl.0074s0522.1.p
OG0008123	AL3G27120	Roisl.0074s0486.1.p
OG0008124	AL3G27210	Roisl.0074s0478.1.p
OG0008125	AL3G27440	Roisl.0074s0457.1.p
OG0008126	AL3G27450	Roisl.0074s0456.1.p
OG0008127	AL3G28070	Roisl.0074s0405.1.p
OG0008128	AL3G28320	Roisl.0074s0383.1.p
OG0008129	AL3G28340	Roisl.0074s0381.1.p
OG0008130	AL3G28420	Roisl.0074s0375.1.p
OG0008131	AL3G28470	Roisl.0074s0370.1.p
OG0008132	AL3G28710	Roisl.0074s0340.1.p
OG0008133	AL3G28870	Roisl.0074s0327.1.p
OG0008134	AL3G29050	Roisl.0074s0315.1.p
OG0008135	AL3G29270	Roisl.0074s0298.1.p
OG0008135	AL3G29260	Roisl.0074s0299.1.p
OG0008136	AL3G29330	Roisl.0074s0292.1.p
OG0008137	AL3G29660	Roisl.0074s0271.1.p
OG0008138	AL3G30040	Roisl.0074s0235.1.p
OG0008139	AL3G30350	Roisl.0074s0212.1.p
OG0008140	AL3G30430	Roisl.0074s0205.1.p
OG0008141	AL3G30540	Roisl.0074s0197.1.p
OG0008142	AL3G30550	Roisl.0074s0196.1.p
OG0008143	AL3G30950	Roisl.0074s0159.1.p
OG0008144	AL3G30960	Roisl.0074s0158.1.p
OG0008146	AL3G31120	Roisl.0074s0142.1.p
OG0008148	AL1G62640	Roisl.0006s0468.1.p
OG0008149	AL3G31630	Roisl.0074s0095.1.p
OG0008150	AL3G31890	Roisl.0074s0074.1.p
OG0008151	AL3G32000, AL3G32020	Roisl.0074s0064.1.p
OG0008152	AL7G19290	Roisl.0003s0270.1.p
OG0008153	AL3G32110	Roisl.0074s0057.1.p
OG0008154	AL3G32220	Roisl.0074s0048.1.p
OG0008155	AL3G32240	Roisl.0074s0045.1.p
OG0008156	AL3G32520	Roisl.0074s0019.1.p
OG0008157	AL3G32670	Roisl.0074s0007.1.p
OG0008158	AL3G32870	Roisl.0028s0013.1.p
OG0008159	AL3G32890	Roisl.0028s0015.1.p
OG0008160	AL3G32970	Roisl.0115s0263.1.p
OG0008161	AL7G13890	Roisl.0001s0320.1.p
OG0008162	AL7G47130	Roisl.0200s0015.1.p
OG0008163	AL3G33940	Roisl.0115s0341.1.p
OG0008164	AL7G37720	Roisl.0091s0644.1.p
OG0008165	AL3G34190	Roisl.0115s0371.1.p
OG0008166	AL7G17320	Roisl.0008s0359.1.p
OG0008167	AL3G34850	Roisl.0115s0423.1.p
OG0008168	AL249U10010, AL3G35010	Roisl.0115s0440.1.p
OG0008169	AL3G35110	Roisl.0115s0453.1.p
OG0008170	AL3G35190	Roisl.0115s0457.1.p
OG0008171	AL8G27360	Roisl.0031s0051.1.p
OG0008172	AL8G27070	Roisl.0031s0025.1.p
OG0008173	AL8G27130	Roisl.0031s0031.1.p
OG0008174	AL7G50640	Roisl.0009s0310.1.p
OG0008175	AL7G51550	Roisl.0213s0828.1.p
OG0008176	AL7G45910	Roisl.0210s2192.1.p
OG0008177	AL8G19900	Roisl.0206s0003.1.p
OG0008178	AL3G38560	Roisl.0053s0315.1.p
OG0008179	AL3G38300	Roisl.0053s0325.1.p
OG0008180	AL242U10020, AL3G38180	Roisl.0053s0341.1.p
OG0008181	AL3G37940	Roisl.0053s0361.1.p
OG0008182	AL3G37540	Roisl.0053s0393.1.p
OG0008183	AL3G37340	Roisl.0053s0409.1.p
OG0008184	AL3G37260	Roisl.0115s0645.1.p
OG0008185	AL3G37220	Roisl.0115s0641.1.p
OG0008186	AL3G37060	Roisl.0115s0623.1.p
OG0008187	AL3G36790	Roisl.0115s0600.1.p
OG0008188	AL3G36650	Roisl.0115s0589.1.p
OG0008190	AL3G36350	Roisl.0115s0559.1.p
OG0008191	AL3G36380	Roisl.0115s0565.1.p
OG0008192	AL3G36300	Roisl.0115s0553.1.p, Roisl.0053s0390.1.p, Roisl.0115s0562.1.p
OG0008193	AL5G10710	Roisl.0011s0060.1.p
OG0008194	AL662U10020, AL3G35570	Roisl.0115s0497.1.p
OG0008195	AL3G35500	Roisl.0115s0491.1.p
OG0008196	AL3G35480	Roisl.0115s0489.1.p
OG0008197	AL7G21910	Roisl.0003s0033.1.p
OG0008198	AL7G21920	Roisl.0003s0032.1.p
OG0008199	AL7G21950	Roisl.0003s0029.1.p
OG0008200	AL7G22010	Roisl.0003s0026.1.p
OG0008201	AL7G22090	Roisl.0003s0020.1.p
OG0008202	AL7G22120	Roisl.0003s0017.1.p
OG0008203	AL7G22230	Roisl.0003s0009.1.p
OG0008205	AL2G22970	Roisl.0024s0023.1.p
OG0008207	AL2G22850	Roisl.0209s0030.1.p
OG0008208	AL2G19160, AL2G19220	Roisl.0083s0021.1.p
OG0008209	AL2G17900	Roisl.0214s0788.1.p
OG0008210	AL1G64870	Roisl.0083s0040.1.p
OG0008211	AL4G28430	Roisl.0194s0005.1.p
OG0008212	AL1G65120, nbis-gene-1946	Roisl.0189s0045.1.p
OG0008213	AL1G65130	Roisl.0189s0048.1.p
OG0008214	AL6G30400	Roisl.0210s1616.1.p
OG0008215	AL6G30190	Roisl.0210s1596.1.p
OG0008216	AL6G29850	Roisl.0210s1567.1.p
OG0008217	AL6G29760	Roisl.0210s1560.1.p
OG0008218	AL6G29630	Roisl.0210s1546.1.p
OG0008219	AL6G29440	Roisl.0210s1532.1.p
OG0008220	AL6G40530	Roisl.0046s0465.1.p
OG0008221	AL7G47080	Roisl.0012s0090.1.p
OG0008222	AL8G22040	Roisl.0036s0030.1.p
OG0008223	AL8G21330	Roisl.0014s0069.1.p
OG0008224	AL5G33200	Roisl.0046s1220.1.p
OG0008225	AL5G33040	Roisl.0046s1206.1.p
OG0008226	AL5G33010	Roisl.0046s1204.1.p
OG0008227	AL5G32850	Roisl.0046s1195.1.p
OG0008228	AL5G32700	Roisl.0046s1177.1.p
OG0008229	AL5G32430	Roisl.0046s1155.1.p
OG0008230	AL5G32210	Roisl.0046s1135.1.p
OG0008231	AL5G32190	Roisl.0046s1133.1.p
OG0008232	AL5G32100	Roisl.0046s1115.1.p
OG0008233	AL5G31960	Roisl.0046s1101.1.p
OG0008234	AL5G31580	Roisl.0046s1066.1.p
OG0008235	AL1G10090	Roisl.0210s0009.1.p
OG0008236	AL1G11370	Roisl.0210s0125.1.p
OG0008237	AL5G32960	Roisl.0210s0174.1.p
OG0008238	AL1G11790	Roisl.0210s0175.1.p
OG0008239	AL1G11900	Roisl.0210s0186.1.p
OG0008240	AL1G12270	Roisl.0210s0215.1.p
OG0008241	AL1G12440	Roisl.0210s0234.1.p
OG0008242	AL1G12580	Roisl.0210s0251.1.p
OG0008243	AL1G12660	Roisl.0210s0257.1.p
OG0008244	AL1G12760	Roisl.0210s0260.1.p
OG0008245	AL1G12820	Roisl.0210s0267.1.p, Roisl.0021s0103.1.p
OG0008246	AL1G12870	Roisl.0210s0272.1.p
OG0008247	AL1G13060	Roisl.0210s0291.1.p
OG0008248	AL1G13090	Roisl.0210s0295.1.p
OG0008249	AL1G13100	Roisl.0210s0296.1.p
OG0008250	AL1G13280	Roisl.0210s0308.1.p
OG0008251	AL1G13380	Roisl.0210s0316.1.p
OG0008252	AL8G18130, AL7G25630, AL1G64620, AL1G13580	Roisl.0210s0332.1.p
OG0008253	AL1G13620	Roisl.0210s0337.1.p
OG0008254	AL1G13790	Roisl.0210s0353.1.p
OG0008255	AL7G29020	Roisl.0008s0241.1.p
OG0008256	AL1G14070	Roisl.0210s0379.1.p
OG0008257	AL1G14230	Roisl.0091s0695.1.p
OG0008258	AL1G14240	Roisl.0091s0696.1.p
OG0008259	AL1G14600	Roisl.0091s0732.1.p
OG0008260	AL1G14770	Roisl.0091s0752.1.p
OG0008261	nbis-gene-35	Roisl.0091s0783.1.p
OG0008262	AL1G15150	Roisl.0091s0791.1.p
OG0008263	AL1G15190	Roisl.0091s0794.1.p
OG0008264	AL1G15260	Roisl.0091s0799.1.p
OG0008265	AL1G15320	Roisl.0091s0803.1.p
OG0008266	AL1G15660	Roisl.0091s0834.1.p
OG0008267	AL1G15700	Roisl.0091s0839.1.p
OG0008268	AL1G15790	Roisl.0091s0849.1.p
OG0008269	AL1G15800	Roisl.0091s0850.1.p
OG0008270	AL1G15940	Roisl.0091s0863.1.p
OG0008271	AL1G16020	Roisl.0091s0875.1.p
OG0008272	AL1G16190	Roisl.0091s0890.1.p
OG0008273	AL1G16420	Roisl.0091s0908.1.p
OG0008274	AL1G16480	Roisl.0091s0914.1.p
OG0008275	AL1G16790	Roisl.0091s0944.1.p
OG0008276	AL1G16800	Roisl.0091s0945.1.p
OG0008277	AL1G17160	Roisl.0091s0972.1.p
OG0008278	AL1G17340	Roisl.0091s0989.1.p
OG0008279	AL1G17360	Roisl.0091s0991.1.p
OG0008280	AL1G17440	Roisl.0091s1000.1.p
OG0008281	AL1G17460	Roisl.0091s1002.1.p
OG0008282	AL1G17850	Roisl.0091s1044.1.p
OG0008283	nbis-gene-50	Roisl.0091s1097.1.p
OG0008284	AL1G18640	Roisl.0091s1106.1.p
OG0008285	AL1G18970	Roisl.0091s1141.1.p
OG0008286	AL1G18990	Roisl.0091s1143.1.p
OG0008287	AL1G19030	Roisl.0091s1147.1.p
OG0008288	AL1G19220	Roisl.0091s1165.1.p
OG0008289	AL1G19440	Roisl.0091s1183.1.p
OG0008290	AL1G19570	Roisl.0091s1193.1.p
OG0008291	AL1G19760	Roisl.0091s1210.1.p
OG0008292	AL8G27030	Roisl.0031s0022.1.p
OG0008293	AL1G20210	Roisl.0021s0003.1.p
OG0008294	AL1G20350	Roisl.0021s0019.1.p
OG0008295	AL1G20520	Roisl.0021s0038.1.p
OG0008296	AL1G20690	Roisl.0021s0047.1.p
OG0008297	AL1G20720	Roisl.0021s0050.1.p
OG0008298	AL1G20740	Roisl.0021s0052.1.p
OG0008299	AL1G20820	Roisl.0021s0065.1.p
OG0008300	AL1G20860	Roisl.0021s0069.1.p
OG0008301	AL1G20900	Roisl.0021s0072.1.p
OG0008302	AL1G21010	Roisl.0021s0081.1.p
OG0008303	AL1G21180	Roisl.0021s0097.1.p
OG0008304	AL1G21460	Roisl.0021s0129.1.p
OG0008305	AL7G27050	Roisl.0022s0250.1.p
OG0008306	AL1G22040	Roisl.0021s0181.1.p
OG0008307	AL1G22130	Roisl.0021s0190.1.p
OG0008308	AL1G22520	Roisl.0021s0223.1.p
OG0008309	AL1G22530	Roisl.0021s0224.1.p
OG0008310	AL1G22610	Roisl.0021s0229.1.p
OG0008311	AL2G13860	Roisl.0209s0627.1.p
OG0008312	AL1G23030	Roisl.0021s0271.1.p
OG0008313	AL1G23040	Roisl.0021s0273.1.p
OG0008314	AL1G23160	Roisl.0021s0283.1.p
OG0008315	AL1G23750	Roisl.0021s0332.1.p
OG0008316	AL1G23790	Roisl.0021s0335.1.p
OG0008317	AL1G23850	Roisl.0021s0340.1.p
OG0008318	AL1G23880	Roisl.0021s0342.1.p
OG0008319	AL1G24120	Roisl.0021s0355.1.p, Roisl.0021s0356.1.p
OG0008320	AL1G24640	Roisl.0021s0391.1.p
OG0008321	AL1G24690	Roisl.0021s0397.1.p
OG0008322	AL1G24700	Roisl.0021s0398.1.p
OG0008323	AL1G24880	Roisl.0021s0417.1.p
OG0008324	AL1G25090	Roisl.0021s0432.1.p
OG0008325	AL1G25340	Roisl.0021s0452.1.p
OG0008326	AL1G25840	Roisl.0007s0757.1.p
OG0008327	AL1G25810	Roisl.0007s0761.1.p
OG0008328	AL1G26050	Roisl.0007s0733.1.p
OG0008329	AL1G26210	Roisl.0007s0716.1.p
OG0008330	AL1G26310	Roisl.0007s0705.1.p
OG0008331	AL1G26320	Roisl.0007s0704.1.p
OG0008332	AL1G26510	Roisl.0007s0687.1.p
OG0008333	AL1G26570	Roisl.0007s0681.1.p
OG0008334	AL1G26630	Roisl.0007s0676.1.p
OG0008335	AL1G26750	Roisl.0007s0663.1.p
OG0008336	AL5G22230	Roisl.0007s0662.1.p
OG0008336	nbis-gene-86	Roisl.0007s0656.1.p
OG0008337	AL1G26810, AL7G45380	Roisl.0007s0657.1.p
OG0008338	AL1G27350	Roisl.0007s0607.1.p
OG0008339	AL1G26920	Roisl.0007s0643.1.p
OG0008340	AL5G10490	Roisl.0011s0044.1.p
OG0008341	AL1G27060	Roisl.0007s0633.1.p
OG0008342	AL1G27090	Roisl.0007s0630.1.p
OG0008343	AL1G27170	Roisl.0007s0622.1.p
OG0008344	AL1G27500	Roisl.0007s0592.1.p
OG0008345	AL1G27510	Roisl.0007s0591.1.p
OG0008346	AL1G27960	Roisl.0007s0551.1.p
OG0008347	AL1G28390	Roisl.0007s0507.1.p
OG0008348	AL1G28910	Roisl.0007s0461.1.p
OG0008349	AL1G29010	Roisl.0007s0449.1.p
OG0008350	AL2G19660	Roisl.0021s0641.1.p
OG0008351	AL1G30060	Roisl.0007s0359.1.p
OG0008352	AL1G30580	Roisl.0007s0314.1.p
OG0008353	AL1G30670	Roisl.0007s0308.1.p
OG0008354	nbis-gene-101	Roisl.0007s0305.1.p
OG0008355	AL1G30790	Roisl.0007s0299.1.p
OG0008356	AL1G30800	Roisl.0007s0298.1.p
OG0008357	AL1G31060	Roisl.0007s0273.1.p
OG0008358	AL1G31090	Roisl.0007s0270.1.p
OG0008359	AL1G31110	Roisl.0007s0269.1.p
OG0008360	AL1G31400	Roisl.0007s0245.1.p
OG0008361	AL1G31550	Roisl.0007s0235.1.p
OG0008362	AL1G31560	Roisl.0007s0234.1.p
OG0008363	AL1G31620	Roisl.0007s0266.1.p, Roisl.0007s0222.1.p
OG0008364	AL1G31890	Roisl.0007s0198.1.p
OG0008365	AL1G32550	Roisl.0007s0151.1.p
OG0008366	AL1G32590	Roisl.0007s0148.1.p
OG0008367	AL1G32600	Roisl.0007s0147.1.p
OG0008368	AL1G32660	Roisl.0007s0141.1.p
OG0008369	AL1G32920	Roisl.0007s0121.1.p
OG0008370	AL1G33140	Roisl.0007s0103.1.p
OG0008371	AL1G33260, AL1G33330	Roisl.0007s0095.1.p
OG0008372	AL1G33640	Roisl.0007s0069.1.p
OG0008373	AL1G33750	Roisl.0007s0058.1.p
OG0008374	AL1G33860	Roisl.0007s0049.1.p
OG0008375	AL1G34110	Roisl.0007s0022.1.p
OG0008376	AL1G34440	Roisl.0049s0041.1.p
OG0008377	AL1G34160	Roisl.0049s0051.1.p
OG0008378	AL1G34640	Roisl.0049s0055.1.p
OG0008379	AL1G34720	Roisl.0049s0065.1.p
OG0008380	AL1G34730	Roisl.0049s0066.1.p
OG0008381	AL1G34820	Roisl.0049s0073.1.p
OG0008382	AL1G34870	Roisl.0049s0078.1.p
OG0008383	AL1G35100	Roisl.0191s0016.1.p
OG0008384	AL1G35510	Roisl.0191s0041.1.p
OG0008385	AL1G35780	Roisl.0191s0065.1.p
OG0008386	AL1G36610	Roisl.0191s0140.1.p
OG0008387	AL6G45350	Roisl.0213s0617.1.p
OG0008388	AL1G36690	Roisl.0191s0149.1.p
OG0008389	AL2G31400	Roisl.0019s0338.1.p
OG0008390	AL2G31180	Roisl.0019s0361.1.p
OG0008391	AL2G31020	Roisl.0019s0377.1.p
OG0008392	AL1G12770, AL2G30920	Roisl.0019s0380.1.p
OG0008393	AL2G30810	Roisl.0019s0402.1.p
OG0008394	AL2G30770	Roisl.0019s0407.1.p
OG0008395	AL2G30600	Roisl.0019s0422.1.p
OG0008396	AL2G30580	Roisl.0019s0424.1.p
OG0008397	AL2G30450	Roisl.0019s0437.1.p
OG0008398	AL2G30240	Roisl.0019s0448.1.p
OG0008400	AL2G29660	Roisl.0019s0499.1.p
OG0008401	AL2G29460	Roisl.0019s0515.1.p
OG0008402	AL2G29440	Roisl.0019s0517.1.p
OG0008403	AL7G29160	Roisl.0008s0225.1.p
OG0008404	AL1G47290	Roisl.0209s0128.1.p
OG0008405	AL1G47670	Roisl.0040s0103.1.p
OG0008406	AL2G10990	Roisl.0050s0092.1.p
OG0008407	nbis-gene-375	Roisl.0027s0015.1.p, Roisl.0010s0151.1.p
OG0008408	nbis-gene-376	Roisl.0027s0014.1.p, Roisl.0010s0150.1.p
OG0008409	AL2G11980, AL2G12020	Roisl.0010s0149.1.p, Roisl.0027s0013.1.p
OG0008410	AL2G12390	Roisl.0010s0129.1.p
OG0008411	AL2G12630	Roisl.0010s0106.1.p
OG0008412	AL1G40850	Roisl.0015s0109.1.p
OG0008413	nbis-gene-386	Roisl.0209s0563.1.p
OG0008414	AL1G42020	Roisl.0213s0103.1.p
OG0008415	AL2G14350	Roisl.0209s0655.1.p
OG0008416	AL2G14400	Roisl.0209s0659.1.p
OG0008417	AL2G14520	Roisl.0209s0670.1.p
OG0008418	AL2G15200	Roisl.0209s0740.1.p
OG0008420	AL2G16280	Roisl.0214s0602.1.p
OG0008421	AL2G16750	Roisl.0214s0643.1.p
OG0008422	AL2G17480	Roisl.0214s0693.1.p
OG0008423	AL2G17530	Roisl.0214s0695.1.p
OG0008424	AL2G18350	Roisl.0214s0744.1.p
OG0008425	AL2G18660, AL2G18480	Roisl.0214s0793.1.p
OG0008426	AL1G67330	Roisl.0214s0838.1.p
OG0008427	AL1G40080	Roisl.0191s0451.1.p
OG0008428	AL2G10490	Roisl.0050s0055.1.p
OG0008429	AL2G10460	Roisl.0050s0052.1.p
OG0008430	AL2G10290	Roisl.0050s0040.1.p
OG0008431	AL2G10170	Roisl.0050s0021.1.p
OG0008432	AL2G10040, AL2G10050	Roisl.0050s0005.1.p
OG0008433	nbis-gene-1983	Roisl.0005s0266.1.p
OG0008434	AL8G11790	Roisl.0005s0142.1.p
OG0008435	AL8G11440	Roisl.0005s0105.1.p
OG0008436	AL8G11370	Roisl.0005s0098.1.p
OG0008437	AL8G10240	Roisl.0005s0009.1.p
OG0008438	AL8G10210	Roisl.0005s0006.1.p
OG0008440	AL8G15300	Roisl.0012s0288.1.p
OG0008441	AL8G15540	Roisl.0012s0266.1.p
OG0008442	AL8G15670	Roisl.0012s0258.1.p
OG0008443	nbis-gene-1808	Roisl.0091s0207.1.p
OG0008444	AL6G48750	Roisl.0082s0273.1.p
OG0008445	AL6G48600	Roisl.0082s0261.1.p
