Orthogroup	Arabidopsis_lyrata_Rawat	Capsella_rubella
OG0007453	AL8G29580	XP_023641170.1
OG0007454	AL8G28770, AL8G29590	XP_023645845.1
OG0007455	AL6G50840	XP_006287533.1
OG0007456	AL6G50780	XP_006288215.1
OG0007457	AL6G50300	XP_006288678.1
OG0007458	AL6G50140	XP_006287974.1
OG0007459	AL6G17760	XP_006288596.1, XP_006286566.1
OG0007460	AL6G17540	XP_023636279.1
OG0007461	AL6G17490	XP_006287883.1
OG0007462	AL6G17180	XP_006287717.1
OG0007463	AL6G16790	XP_006287297.1
OG0007464	AL6G16580	XP_006290100.1
OG0007465	AL6G16560	XP_006290093.1
OG0007466	AL6G16340	XP_006288643.1
OG0007467	AL6G15740	XP_006288654.1
OG0007468	AL6G15520	XP_006287622.1
OG0007469	AL6G15080, AL6G14330	XP_006286489.1
OG0007470	AL6G15050	XP_006287970.1
OG0007471	AL6G14480	XP_006288265.2
OG0007472	AL6G14200	XP_006286481.1
OG0007473	AL6G13930	XP_006287516.1
OG0007474	AL6G13800	XP_006286833.1
OG0007475	AL3G21520	XP_006296622.1
OG0007476	AL6G13480	XP_006289149.1
OG0007477	AL6G13410	XP_006289547.1
OG0007478	AL6G13050, AL6G13060	XP_006289785.1
OG0007479	AL6G12740	XP_023636453.1
OG0007480	AL5G24810, AL6G12730	XP_006290989.1
OG0007481	AL4G16160	XP_006296476.1
OG0007482	AL6G12460	XP_006287667.1
OG0007483	AL6G12440	XP_006287634.1
OG0007484	AL6G12370	XP_006288605.1
OG0007485	AL6G12000	XP_006288341.2
OG0007487	AL6G11790	XP_023635850.1
OG0007488	AL6G11640	XP_006287552.1
OG0007489	AL6G11650	XP_023637182.1
OG0007490	AL6G11660	XP_023636751.1
OG0007491	AL6G11720	XP_023635974.1
OG0007492	AL8G23740, AL3G43490, AL9U10330	XP_006289002.1
OG0007493	AL6G11130	XP_006288058.1
OG0007494	AL6G11120	XP_006287256.1
OG0007495	AL6G10970	XP_006287534.1
OG0007496	AL6G10910	XP_006287885.1
OG0007497	AL6G10800	XP_006288271.1
OG0007498	AL6G10170	XP_006279345.1
OG0007499	AL7G48510	XP_006283644.2
OG0007500	AL7G47460	XP_006283718.1
OG0007501	AL7G47320	XP_006283614.2
OG0007502	AL7G47110	XP_006284002.1
OG0007503	AL2G41690	XP_006300949.1
OG0007504	AL2G40940	XP_006302052.2
OG0007506	AL2G40850	XP_006302240.1
OG0007507	AL2G40760	XP_006300673.1
OG0007508	AL2G40650	XP_023643632.1
OG0007509	AL2G40430	XP_006300498.1
OG0007510	AL6G12410, AL2G40330	XP_006300815.1
OG0007511	AL3G50150	XP_006298318.1
OG0007512	AL2G39870	XP_023643056.1
OG0007513	AL2G39580	XP_006302502.1
OG0007514	AL2G39520	XP_023644153.1
OG0007515	AL2G39510	XP_006301561.1
OG0007516	AL2G39480	XP_023643035.1
OG0007517	AL2G39460	XP_006301292.1
OG0007518	AL2G39170	XP_006302731.2
OG0007519	AL2G39100	XP_006302567.1
OG0007520	AL262U10020, AL2G39090	XP_006301840.1
OG0007521	AL2G39020	XP_006302525.1
OG0007522	AL60U10020, AL2G38640	XP_006302488.1
OG0007523	AL2G38430	XP_006302124.1
OG0007524	AL2G38330, AL2G38260	XP_006302909.1
OG0007525	AL2G38040	XP_023643424.1
OG0007526	AL2G38000	XP_006301166.2
OG0007527	AL142U10030, AL2G37830	XP_006300594.1
OG0007528	AL2G37670	XP_006302393.1
OG0007529	AL2G37430	XP_006302133.1
OG0007530	AL2G37370	XP_006300367.1
OG0007531	AL2G37330	XP_006302710.1
OG0007532	AL2G37270	XP_006301250.1
OG0007533	AL2G37020	XP_006302213.1
OG0007534	AL2G36900	XP_006301259.1
OG0007535	AL2G36330	XP_006301451.1
OG0007536	AL2G36110	XP_006302690.1
OG0007537	AL2G36080	XP_006301363.1
OG0007538	AL2G36000	XP_006302754.1
OG0007539	AL2G35800	XP_006301599.1
OG0007540	AL2G35790	XP_006301887.1
OG0007541	AL2G35660	XP_006302134.1
OG0007542	AL8G21600	XP_006290511.1
OG0007543	AL2G35110	XP_006300630.1
OG0007544	AL2G34970	XP_006302529.1
OG0007545	AL3G50280	XP_006296985.1
OG0007546	AL3G50330	XP_006298646.1
OG0007547	AL3G50400	XP_006299646.1
OG0007548	AL3G50770	XP_006299902.1
OG0007549	AL5G29970	XP_006291765.1
OG0007550	AL5G29960	XP_006291812.1
OG0007551	AL5G29890	XP_006293131.1
OG0007552	AL8G30040	XP_006281306.1
OG0007553	AL8G29910	XP_006280901.1
OG0007554	AL5G26930	XP_006291760.1
OG0007555	AL1G64430	XP_006306665.1
OG0007556	AL1G63960	XP_006305348.1
OG0007557	AL5G10120	XP_023638260.1
OG0007558	AL1G63330	XP_006307597.2
OG0007559	AL1G63230	XP_006305837.1
OG0007560	AL1G63160	XP_006304226.1
OG0007561	AL1G62890	XP_006307069.2
OG0007562	AL1G62610	XP_006303363.2
OG0007563	AL1G61890	XP_006304315.1
OG0007564	AL1G61730	XP_006306910.1
OG0007565	AL1G61400	XP_006307191.1
OG0007566	AL4G32170	XP_006294872.1
OG0007567	AL4G32370	XP_006296104.1
OG0007568	AL4G32440	XP_023639835.1
OG0007569	AL5G23530	XP_006290826.1
OG0007570	AL5G22730	XP_006290745.1, XP_006279395.2
OG0007571	AL8G24240	XP_023641416.1
OG0007572	AL8G24590	XP_023634813.1
OG0007573	AL8G27410	XP_006279561.1
OG0007574	AL8G27690	XP_006279485.1
OG0007575	AL8G27700	XP_023635118.1
OG0007576	AL8G27780	XP_006280090.1
OG0007577	AL8G23830	XP_006280044.1
OG0007578	AL8G24460	XP_006280184.1
OG0007579	AL8G37680	XP_006280367.1
OG0007580	AL7G44290	XP_006306789.2, XP_006282564.1
OG0007581	AL7G44470	XP_006284506.2
OG0007582	AL9U11910	XP_006282600.2
OG0007583	AL9U10880	XP_006284212.1
OG0007584	AL9U10750	XP_006284538.2
OG0007585	AL9U10290	XP_006283246.1
OG0007586	AL9U10080	XP_006283302.1
OG0007587	AL7G42800, AL5G12160	XP_006283531.2
OG0007588	AL7G41920	XP_006282443.1
OG0007589	AL7G41910	XP_006283701.1
OG0007590	AL7G41540	XP_006285669.2
OG0007591	AL7G41180	XP_023634954.1
OG0007592	AL7G41150	XP_006282514.1
OG0007593	AL7G41040	XP_006285217.1
OG0007594	AL7G40620	XP_006285268.1, XP_006279096.1
OG0007595	AL7G40490	XP_023635013.1
OG0007598	AL2G32770	XP_006300826.1
OG0007599	AL2G32870	XP_006303029.1
OG0007600	AL2G33130, AL2G33120	XP_006302810.1
OG0007601	AL2G33140	XP_006301097.1
OG0007602	AL2G33610	XP_006302251.1
OG0007603	AL2G33630	XP_006300550.2
OG0007604	AL2G34360	XP_006301143.1
OG0007605	AL2G34400	XP_006302897.1
OG0007606	AL2G34620	XP_006302742.2
OG0007607	AL2G27420	XP_006302328.1
OG0007608	AL7G19480	XP_006283639.1
OG0007609	AL2G27940	XP_006300869.1
OG0007610	AL2G28060	XP_006302571.1
OG0007611	AL7G24070	XP_023633694.1
OG0007612	AL7G24030	XP_006282820.1
OG0007613	AL7G23930	XP_023635659.1
OG0007614	AL7G23780	XP_006285300.1
OG0007615	AL7G23250	XP_006283327.1
OG0007616	AL8G27800	XP_023645995.1, XP_023640900.1
OG0007617	AL5G15220	XP_006291140.2
OG0007618	AL5G31440	XP_006292560.1
OG0007619	AL2G11580	XP_006300873.2
OG0007620	AL2G11130	XP_006301318.1
OG0007621	AL7G50200	XP_006282843.1
OG0007622	AL7G50190	XP_006284753.1
OG0007623	AL5G19380	XP_023638261.1
OG0007624	AL5G21890	XP_023639032.1
OG0007625	AL8G23120	XP_006281215.2
OG0007626	AL5G16440	XP_006290601.1
OG0007627	AL5G16270	XP_006290382.1
OG0007628	AL5G15680	XP_006293066.1
OG0007629	AL5G15590	XP_006292029.1
OG0007630	AL5G15550	XP_023638373.1
OG0007631	AL5G15140	XP_006290838.1
OG0007632	nbis-gene-1209	XP_006292902.2
OG0007633	AL8G25260	XP_006281168.1
OG0007634	AL22U10040	XP_006301524.1
OG0007635	AL22U10110	XP_006302005.1
OG0007636	AL2G29130	XP_006302641.1
OG0007637	AL2G29080	XP_006301936.1
OG0007638	AL2G29070	XP_006302260.1
OG0007639	AL3G43550	XP_023642319.1
OG0007641	AL8G12180	XP_023637149.1
OG0007642	AL8G12240	XP_006280347.2
OG0007643	AL8G21510	XP_006281137.1
OG0007644	AL8G12320	XP_006281117.2
OG0007645	AL8G12380	XP_006280560.1
OG0007646	AL8G12410	XP_006279616.1
OG0007647	AL8G12430	XP_006280800.1
OG0007649	AL8G13440	XP_023639323.1
OG0007650	AL7G44560	XP_006285336.1
OG0007651	AL8G13570	XP_006280245.1
OG0007652	AL1G56890	XP_006306346.1
OG0007653	AL1G56930	XP_023645453.1
OG0007654	AL7G27220	XP_006285002.1
OG0007655	AL1G57750	XP_006306237.1
OG0007656	AL1G57830, AL7G13030	XP_006306595.1
OG0007657	AL851U10010, nbis-gene-273	XP_006304231.1
OG0007658	AL1G58270	XP_006304574.1
OG0007659	AL1G58640, AL8G37460, AL2G19790, AL215U10010	XP_006304507.1
OG0007660	AL1G59010	XP_006306296.1
OG0007661	AL1G59260	XP_006307335.1
OG0007662	AL1G59540	XP_006307609.1
OG0007663	AL1G59570	XP_006304800.1
OG0007664	AL1G59690	XP_006304889.1
OG0007665	AL1G59990	XP_006305524.1
OG0007666	AL1G14680	XP_006307177.1
OG0007667	AL1G60170	XP_006307107.1
OG0007668	AL1G60240	XP_006306297.1
OG0007669	nbis-gene-956, AL1G60560	XP_006304343.1
OG0007670	AL1G61080	XP_006305362.1, XP_006306194.1
OG0007671	AL1G29970	XP_006304958.1
OG0007672	AL8G18390	XP_006281946.1
OG0007673	AL4G12150	XP_006293595.1
OG0007674	AL1008U10010, AL8G18180	XP_006280430.2
OG0007675	AL8G18080	XP_006279965.1
OG0007676	AL4G29160	XP_023639507.1
OG0007677	AL4G29220	XP_006294638.1
OG0007678	AL4G29600	XP_006295284.1
OG0007679	AL4G29610	XP_006293825.2
OG0007680	nbis-gene-1076	XP_006296039.1
OG0007681	AL4G29880	XP_006295172.1
OG0007682	AL4G30370	XP_023640554.1, XP_006307028.1
OG0007683	AL4G30420	XP_006295160.1
OG0007684	AL4G30540	XP_006294696.2
OG0007685	AL4G30770	XP_006293570.1
OG0007686	AL8G23330	XP_006281348.1
OG0007687	AL4G31520	XP_006295109.1
OG0007688	AL4G31780	XP_006295043.1
OG0007689	AL1G19150	XP_006304035.1
OG0007690	AL4G31980	XP_006295617.1
OG0007691	AL4G32000	XP_006295062.1
OG0007692	AL7G34680	XP_006282736.2
OG0007693	AL7G34920	XP_006282800.1
OG0007695	AL7G35730	XP_006282609.1
OG0007696	AL7G35840	XP_006282804.2
OG0007697	AL7G36010	XP_023635261.1
OG0007698	AL7G36360	XP_023634532.1
OG0007699	AL7G36430	XP_006283488.1
OG0007700	AL7G36560	XP_006283799.1
OG0007701	AL7G36690	XP_006283775.1
OG0007702	AL7G36710	XP_006285463.1
OG0007703	AL7G36850	XP_006284139.1
OG0007704	AL7G36890	XP_006284129.1
OG0007706	AL7G37290	XP_006285372.1
OG0007707	AL8G12050	XP_006279620.1
OG0007708	AL5G31570	XP_023638341.1
OG0007709	AL5G31520	XP_006291860.1
OG0007710	AL5G31510	XP_006290377.1
OG0007711	AL5G31450	XP_006292776.1
OG0007712	AL5G31110	XP_006291865.1
OG0007713	AL5G31040	XP_006291985.1
OG0007714	AL7G29750	XP_006284373.1
OG0007715	AL4G33920, AL7G29950	XP_006283603.1
OG0007716	AL8G26870	XP_006279826.1
OG0007717	AL8G26850	XP_006282311.1
OG0007718	AL8G26740	XP_006280174.1
OG0007719	AL8G25950	XP_023640639.1
OG0007720	AL8G25720	XP_006280007.1
OG0007722	nbis-gene-2088	XP_006281278.1
OG0007723	AL8G25090	XP_006280262.1
OG0007724	AL3G44070	XP_023641295.1
OG0007725	AL3G46720	XP_023642665.1
OG0007726	AL3G47370	XP_006297287.1
OG0007727	AL3G47650	XP_006297462.1
OG0007728	AL3G52490	XP_006297630.1
OG0007729	AL3G49260	XP_006298069.1
OG0007730	AL3G49670	XP_006300017.1
OG0007731	AL3G49870	XP_006297442.2, XP_006279156.2
OG0007732	AL3G50100	XP_006298800.1
OG0007733	AL7G29190	XP_006282779.2
OG0007734	AL7G29380	XP_006284583.1
OG0007735	AL7G29340	XP_023634150.1
OG0007736	AL7G29620	XP_006284175.1
OG0007737	AL7G29970	XP_023635289.1
OG0007738	AL7G30590	XP_006305083.1, XP_023634794.1
OG0007739	AL7G30640	XP_006283819.1
OG0007740	AL7G30820	XP_023635128.1, XP_023635127.1
OG0007741	AL7G31070	XP_023633650.1
OG0007742	AL7G31300	XP_006285154.1
OG0007743	AL7G31380	XP_006284541.1
OG0007744	AL2G10150	XP_006300843.1
OG0007745	AL7G33930	XP_006284762.1
OG0007746	AL7G33830	XP_006284687.1
OG0007747	AL7G33670	XP_023634029.1
OG0007748	AL7G33630	XP_006283067.1
OG0007749	AL6G50200	XP_023636140.1, XP_006287747.1
OG0007750	AL7G33570	XP_006284288.1
OG0007751	AL7G33410	XP_006283838.1
OG0007752	AL7G32610	XP_006284004.2
OG0007753	AL7G32290	XP_006283396.1
OG0007754	AL7G32160	XP_006284907.1
OG0007755	AL1G51410	XP_006286889.1
OG0007756	AL8G44790	XP_006280388.1
OG0007757	AL6G43110	XP_006287566.2
OG0007758	AL8G19670	XP_006280831.1
OG0007759	AL8G18570, AL8G18730	XP_023632609.1
OG0007760	AL7G38550	XP_006282729.1
OG0007761	AL7G38120	XP_006286159.1
OG0007762	AL7G37940	XP_006282732.1
OG0007763	AL7G37860	XP_006282590.1
OG0007764	AL7G37810	XP_023634046.1
OG0007765	AL3G17590	XP_023642192.1
OG0007766	AL3G10220	XP_006297859.1
OG0007767	AL3G10620	XP_006300020.1
OG0007768	AL3G10700	XP_006299626.1
OG0007769	AL3G10710	XP_006296811.1
OG0007770	AL3G10730	XP_006298510.1
OG0007771	AL8G44820	XP_006279638.1
OG0007772	AL8G45130	XP_006281171.1
OG0007773	AL8G45200	XP_006280758.1
OG0007774	AL8G45230	XP_023645753.1
OG0007775	AL5G31840	XP_006291443.1
OG0007776	AL5G46100	XP_006292277.1
OG0007777	AL5G46050	XP_006291308.1
OG0007778	AL5G46010	XP_006291652.1
OG0007779	AL5G45720	XP_006290368.1
OG0007781	AL5G45220	XP_023638055.1
OG0007782	AL5G44930	XP_006292461.1
OG0007783	AL5G44920	XP_006293116.1
OG0007784	AL5G44850, AL5G29560	XP_006291055.1
OG0007785	AL5G44880, AL5G44760, AL5G29600	XP_006291194.1
OG0007786	AL5G44520	XP_006291903.1
OG0007787	AL5G44330	XP_006291605.1
OG0007788	AL5G44080, AL5G44290	XP_006290256.2
OG0007789	AL5G44000	XP_006291512.1
OG0007790	AL5G43880	XP_006292416.1
OG0007791	AL5G43770	XP_006291716.1
OG0007792	AL5G43570	XP_006292178.1
OG0007793	AL5G43550	XP_006292623.1
OG0007794	nbis-gene-1405	XP_006292212.1
OG0007795	AL5G42960	XP_006292865.2
OG0007796	AL5G42880	XP_023639069.1
OG0007797	AL5G42620	XP_006285975.1
OG0007798	AL5G42410	XP_006291545.1
OG0007799	AL5G42320	XP_006290704.1
OG0007800	AL4G42640	XP_006295468.1
OG0007801	AL5G41780	XP_023639244.1
OG0007802	AL5G41740	XP_006293224.1
OG0007803	AL5G41450	XP_006291212.1
OG0007804	AL5G41420	XP_006290416.1
OG0007805	AL5G41300	XP_006292282.1
OG0007806	AL4G42040	XP_006294408.1
OG0007807	AL5G40980	XP_006291237.2
OG0007808	AL5G40900	XP_023638009.1
OG0007809	AL5G40650	XP_023638203.1
OG0007810	AL5G40640	XP_006291508.1
OG0007811	AL5G40530	XP_006293106.1
OG0007812	AL5G40480	XP_006291660.1
OG0007813	AL5G40390	XP_023638760.1
OG0007814	AL5G39850	XP_023639303.1
OG0007815	AL8G24380, AL664U10020	XP_006280250.1
OG0007816	AL5G39320	XP_023638426.1
OG0007817	AL5G39280	XP_006290488.1
OG0007818	AL5G39180	XP_006291644.1
OG0007819	AL5G38610	XP_006292732.1
OG0007820	AL5G38450	XP_023638522.1
OG0007821	AL5G38440	XP_006290655.1
OG0007822	AL5G37810	XP_006290430.2
OG0007823	AL5G37520	XP_006290350.1
OG0007824	AL8G21150	XP_006280190.1
OG0007825	AL5G36660	XP_023638437.1
OG0007826	AL5G37320	XP_006292571.1
OG0007827	AL5G37090	XP_006291276.1
OG0007828	AL5G36600	XP_023637786.1
OG0007829	AL5G35750	XP_023637979.1
OG0007830	AL5G35710	XP_006293084.1
OG0007831	AL5G35520	XP_006291043.1
OG0007832	AL5G35500	XP_006292507.2
OG0007833	AL5G35450	XP_006291188.1
OG0007834	AL5G35380	XP_006292594.1
OG0007835	AL5G35370	XP_023637759.1
OG0007836	AL5G35360	XP_023637760.1
OG0007837	AL5G35330	XP_006291407.1
OG0007838	AL5G35150	XP_006292719.1
OG0007839	AL1G23830	XP_006306684.1
OG0007840	AL5G34880	XP_023638489.1
OG0007841	AL5G34770	XP_006291268.1
OG0007842	AL5G34570	XP_006291827.1
OG0007843	AL5G34450	XP_006291758.2
OG0007844	AL5G34010	XP_023638222.1
OG0007845	AL5G33770	XP_006291790.1
OG0007846	AL5G33500	XP_006293211.1
OG0007847	AL8G29090	XP_006282084.1
OG0007848	AL8G29020	XP_006279801.1
OG0007849	AL8G28280	XP_006281523.1
OG0007850	AL8G28220	XP_006280149.1
OG0007851	AL8G28140	XP_023643324.1
OG0007852	AL8G28120	XP_006280958.1
OG0007853	AL8G27990	XP_006280717.1
OG0007854	AL8G27930	XP_006279677.1
OG0007855	AL7G39080	XP_006283871.1
OG0007856	AL3G40060	XP_006296716.1
OG0007857	AL3G40200	XP_006298341.1
OG0007858	AL3G40210	XP_006299616.1
OG0007859	AL26U10010	XP_006297348.1
OG0007860	AL3G41950	XP_006298708.1
OG0007861	AL3G42380	XP_023641750.1
OG0007862	AL3G43820	XP_006298491.1
OG0007863	AL2G25030	XP_023643876.1
OG0007864	AL2G25060	XP_006300368.1
OG0007865	AL2G25380	XP_006300743.1
OG0007866	AL2G25520	XP_006301498.1
OG0007867	AL2G25740	XP_023642838.1
OG0007868	AL2G25750	XP_006300299.1
OG0007869	AL2G25870	XP_006301418.1
OG0007871	AL6G38460	XP_023637040.1
OG0007872	AL2G25920	XP_023643716.1
OG0007873	AL2G25980	XP_006302174.2
OG0007874	AL2G25990	XP_023644114.1
OG0007875	AL2G26050	XP_006302407.1
OG0007876	AL2G26260	XP_006302470.1
OG0007877	AL2G26410	XP_006302128.1
OG0007878	AL2G26430	XP_006302399.2
OG0007879	AL2G26520	XP_023643957.1
OG0007880	AL1G40330	XP_006303478.1
OG0007881	AL2G26910	XP_006301917.2
OG0007882	AL2G27130	XP_006301618.1
OG0007883	AL2G27210	XP_006301738.1
OG0007884	AL2G27250	XP_006302341.1
OG0007885	AL3G51830	XP_006298137.1
OG0007886	AL8G14730	XP_023635382.1
OG0007887	AL3G52040	XP_006298812.1
OG0007888	AL3G53190	XP_006297211.1
OG0007889	AL3G52740	XP_023641620.1
OG0007890	AL5G11630	XP_006291510.1
OG0007891	AL5G18050	XP_006293028.1
OG0007892	AL3G48620	XP_006300293.2
OG0007893	AL4G39220	XP_006294890.1
OG0007894	AL4G39150	XP_006295195.1
OG0007895	AL4G39100	XP_006294851.1
OG0007896	AL4G39050	XP_006294842.1
OG0007897	AL5G32170	XP_006290349.2
OG0007898	AL4G34450, AL4G38670	XP_006295098.1
OG0007899	AL4G38590	XP_006293704.1
OG0007900	AL4G38390	XP_006295545.1
OG0007902	AL4G37900	XP_006294355.1
OG0007903	AL4G37870, AL4G37860	XP_006295728.1
OG0007904	AL4G37830	XP_006293648.1
OG0007905	AL4G37730	XP_006293965.1
OG0007906	AL4G37570	XP_006295818.1
OG0007907	AL2G22830	XP_006300574.1
OG0007908	AL4G36970	XP_006295819.1
OG0007909	AL463U10010, AL4G36860	XP_023639351.1
OG0007910	AL4G36730	XP_023640564.1
OG0007911	AL4G36720	XP_006296100.1
OG0007912	AL4G36330	XP_006294913.1
OG0007913	AL3G17790	XP_023641627.1
OG0007914	AL4G36150	XP_023640693.1
OG0007915	AL4G36120	XP_006294631.1
OG0007916	AL4G36070	XP_006293560.1
OG0007917	AL4G36060	XP_023640214.1
OG0007918	AL4G36050	XP_006293497.2
OG0007919	AL4G36040	XP_006294866.1
OG0007920	AL4G35980	XP_006295035.1
OG0007921	AL1G40190	XP_006305289.2
OG0007922	AL1G65950	XP_006295108.1
OG0007923	AL4G35250, AL4G35340	XP_023640291.1
OG0007924	AL4G34970	XP_006294617.1
OG0007925	AL4G34820	XP_006295903.1
OG0007926	AL3G21300	XP_006296678.1
OG0007927	AL4G34680	XP_006295343.1
OG0007928	AL4G34670	XP_006296475.1
OG0007929	AL4G34600	XP_006295025.2
OG0007930	AL4G33790	XP_023639901.1
OG0007931	AL4G33570	XP_006295079.1
OG0007932	AL4G33460	XP_006294887.1
OG0007933	AL4G33430	XP_006293893.1
OG0007934	AL4G33210	XP_006296293.2
OG0007935	AL6G47470	XP_006289154.1
OG0007936	AL6G47570	XP_006290188.2
OG0007937	AL5G10420	XP_006292412.1
OG0007938	AL6G47910	XP_006287494.1
OG0007939	AL6G47950	XP_006287881.1
OG0007940	AL6G48130	XP_006286991.1
OG0007941	AL6G47290	XP_006289429.1
OG0007942	AL4G10650	XP_006293831.1
OG0007943	AL4G11180	XP_006294766.2
OG0007944	AL4G11470	XP_006293551.1
OG0007945	AL4G11900	XP_006295667.1
OG0007946	AL4G12080	XP_023640030.1
OG0007947	AL4G12140	XP_023640929.1
OG0007948	AL4G12240	XP_023640798.1
OG0007949	AL6G39900, AL1G40580	XP_006282862.1, XP_006303162.1
OG0007950	AL4G12300	XP_006294574.1
OG0007951	nbis-gene-947, AL3G48210	XP_006294685.1
OG0007952	AL3G48200, nbis-gene-948	XP_006295757.1
OG0007953	AL4G12980	XP_006293682.1
OG0007954	AL4G13200	XP_006294990.1
OG0007955	AL4G13270	XP_023640057.1
OG0007956	AL4G13830	XP_006294776.1
OG0007957	AL4G14020	XP_006295798.1
OG0007958	AL4G14220	XP_006296121.1
OG0007959	AL4G18040	XP_006293830.1
OG0007960	AL4G16990	XP_006293760.1
OG0007961	AL4G18830	XP_006293899.2
OG0007962	AL4G14860	XP_006296338.1
OG0007963	AL4G17420	XP_006293919.2
OG0007964	AL7G28650	XP_023635593.1
OG0007965	AL7G28660	XP_006283726.1
OG0007966	AL7G28950	XP_006283365.1
OG0007967	AL1G51860	XP_006307521.1
OG0007968	AL1G51970	XP_023645326.1
OG0007969	AL1G52160	XP_006307397.1
OG0007970	AL1G52460	XP_006305116.1
OG0007971	AL1G52500	XP_006305434.1
OG0007972	AL1G50630	XP_006305394.1
OG0007973	AL1G50540	XP_023633002.1
OG0007974	AL1G50310	XP_006303282.1
OG0007975	AL1G49100	XP_006303971.2
OG0007976	AL1G48720	XP_006303943.1
OG0007977	AL1G48630	XP_006306856.1
OG0007978	AL1G48440	XP_006305703.1
OG0007979	AL1G48220	XP_006305458.1
OG0007980	AL1G48180	XP_006307022.1
OG0007981	AL6G43470	XP_006288727.1
OG0007982	AL6G43450	XP_023636553.1
OG0007983	AL6G43980, AL6G44000	XP_006288526.1
OG0007984	AL6G44120	XP_006286584.2
OG0007985	AL6G44820	XP_006289826.1
OG0007986	AL7G45650	XP_023634789.1, XP_006284615.1
OG0007987	AL6G46260	XP_006287969.1
OG0007988	AL6G47030	XP_006287228.1
OG0007989	AL6G30430	XP_006286855.1
OG0007990	AL6G30480	XP_006287336.1
OG0007991	AL6G30540	XP_006289450.1
OG0007992	AL6G30770	XP_023636211.1
OG0007993	AL6G30830	XP_006286419.1
OG0007994	AL6G38240	XP_006288080.1
OG0007995	AL6G38300	XP_006289688.1, XP_006287497.1
OG0007996	AL6G38720	XP_023636212.1
OG0007997	AL3G47870	XP_006300089.1
OG0007998	AL3G53270	XP_006299260.1
OG0007999	AL3G53490	XP_023642273.1
OG0008000	AL4G47760	XP_006300273.2, XP_006295530.2
OG0008001	AL4G47630	XP_006294213.1
OG0008002	AL4G47430	XP_006294141.1
OG0008003	AL6G44220	XP_006290194.1
OG0008004	AL4G46980	XP_006285366.1, XP_006296482.1
OG0008005	AL4G46910	XP_006294109.1
OG0008006	AL4G46830	XP_006293500.1
OG0008007	AL4G45320	XP_006295978.1
OG0008008	AL4G45300	XP_006295877.2
OG0008009	AL4G45280	XP_006293673.2
OG0008010	AL4G45250	XP_006295060.1
OG0008012	AL4G45120	XP_006293676.1
OG0008013	AL4G45040	XP_006296393.1
OG0008014	AL4G44850	XP_006295876.1
OG0008015	AL4G44570	XP_006294463.1
OG0008016	AL4G43930	XP_006294915.1
OG0008017	AL4G43910	XP_006293727.1
OG0008018	AL4G43700	XP_006293394.1
OG0008019	AL4G43440	XP_006294265.1
OG0008020	AL4G42930	XP_023639790.1
OG0008021	AL4G42920	XP_023639499.1
OG0008022	AL4G42910	XP_006294506.1
OG0008024	AL4G42350	XP_006295328.1
OG0008025	AL4G41660	XP_006294098.1
OG0008026	AL4G41490	XP_023639668.1
OG0008027	AL4G40560	XP_006294465.1
OG0008028	AL4G40490	XP_023640548.1
OG0008029	AL4G40300	XP_023639912.1
OG0008030	AL4G40120	XP_006294452.1
OG0008031	AL4G26110, AL4G39430	XP_006294798.1
OG0008032	AL4G39350	XP_006296485.1
OG0008032	nbis-gene-937	XP_023639540.1
OG0008033	AL8G11400	XP_006281890.1
OG0008034	AL8G10800	XP_006282206.1
OG0008035	AL8G11270	XP_006282104.1
OG0008036	AL3G10950	XP_006298265.1
OG0008037	AL3G10970	XP_006299938.1
OG0008038	AL3G11040	XP_006297923.1
OG0008039	AL3G11170	XP_006299569.1
OG0008040	AL3G11390	XP_006299473.1
OG0008041	AL6G24200	XP_006286922.1
OG0008042	AL3G11940	XP_006296709.1
OG0008043	AL3G12310	XP_006297231.1
OG0008044	AL3G12580	XP_006298755.2
OG0008045	AL3G12760	XP_006298826.1
OG0008046	AL3G13110	XP_006297811.1
OG0008047	AL3G13440	XP_006299961.1
OG0008048	AL3G13510	XP_006299967.1
OG0008049	AL3G13900	XP_006296725.1
OG0008050	AL3G13940	XP_023642559.1
OG0008051	AL3G13980	XP_006297959.1
OG0008052	AL3G14000	XP_006298440.1
OG0008053	AL3G14470	XP_023642128.1
OG0008054	AL3G14950	XP_006298299.1
OG0008055	AL3G15250	XP_023641799.1
OG0008056	AL3G15470	XP_006297044.1
OG0008057	AL3G15520	XP_006300215.2
OG0008058	AL3G15770	XP_006298431.1
OG0008059	AL3G15930	XP_006296886.1
OG0008060	AL3G16070	XP_006296949.1
OG0008061	AL3G16120	XP_023642026.1
OG0008062	AL3G16720	XP_006300146.1
OG0008063	AL3G16770	XP_023642229.1
OG0008064	AL3G16840	XP_006298092.2
OG0008065	AL3G16980	XP_006297632.1
OG0008066	AL8G21450, AL3G18750	XP_006298397.1
OG0008067	AL3G17650	XP_006298618.1
OG0008068	AL3G17660	XP_006298844.1
OG0008069	AL3G17770	XP_006298270.1
OG0008070	AL3G17900, AL504U10010	XP_006298475.1
OG0008071	AL3G19120	XP_023642689.1
OG0008072	AL3G19590	XP_023642678.1
OG0008073	AL3G19890	XP_023641837.1
OG0008074	AL3G20020	XP_006299014.1
OG0008075	AL3G20290	XP_006297513.2
OG0008076	AL3G20130, AL3G20140	XP_006299294.1
OG0008077	AL3G20170	XP_023641399.1
OG0008078	AL3G20340	XP_006297844.1
OG0008079	AL3G20700	XP_006297189.1
