Orthogroup	Arabidopsis_lyrata_Rawat	Arabis_alpina
OG0010851	AL6G14110	Aa_G73140.h1.t1
OG0010852	AL1G38870	Aa_G255000.h1.t1
OG0010853	AL6G13960	Aa_G181570.h1.t1
OG0010854	AL6G13470	Aa_G337150.h1.t1
OG0010855	AL6G13310	Aa_G226370.h1.t1
OG0010856	AL6G14790, AL6G13270	Aa_G226390.h1.t1
OG0010857	AL6G13140	Aa_G520010.h1.t1, Aa_G324420.h1.t1
OG0010858	AL9U10940, AL6G12750	Aa_G170170.h1.t1
OG0010859	AL6G12570	Aa_G456340.h1.t1
OG0010860	AL6G12560	Aa_G456330.h1.t1
OG0010861	AL6G12400	Aa_G451870.h1.t1
OG0010862	AL6G12030	Aa_G260700.h1.t1, Aa_G260710.h1.t1
OG0010864	AL6G11850	Aa_G260570.h1.t1
OG0010865	AL6G11800	Aa_G506890.h1.t1
OG0010866	AL6G11480	Aa_G274580.h1.t1
OG0010867	AL6G11400	Aa_G274510.h1.t1
OG0010868	AL6G11370	Aa_G18890.h1.t1
OG0010869	AL6G11210	Aa_G18700.h1.t1
OG0010870	AL428U10020, AL8G17250, AL6G11080	Aa_G18590.h1.t1
OG0010871	AL6G11040, AL6G14050	Aa_G443040.h1.t1
OG0010872	AL6G10900	Aa_G612080.h1.t1
OG0010873	AL6G10830	Aa_G420130.h1.t1
OG0010874	AL6G10430	Aa_G53820.h1.t1
OG0010875	AL6G10200	Aa_G264610.h1.t1
OG0010877	AL6G10070	Aa_G271720.h1.t1
OG0010879	AL7G49210	Aa_G266750.h1.t1
OG0010880	AL7G48600	Aa_G370890.h1.t1
OG0010881	AL7G48280, AL7G48350	Aa_G298270.h1.t1
OG0010882	AL7G48080	Aa_G165370.h1.t1
OG0010883	AL7G48000	Aa_G165300.h1.t1
OG0010884	AL7G47820	Aa_G201130.h1.t1
OG0010886	AL7G47060	Aa_G184850.h1.t1
OG0010887	AL2G41720	Aa_G239150.h1.t1
OG0010888	AL2G41800	Aa_G239230.h1.t1
OG0010889	AL2G41830	Aa_G239260.h1.t1
OG0010890	AL2G41180	Aa_G497400.h1.t1
OG0010891	AL2G41080	Aa_G312060.h1.t1
OG0010892	AL2G40750	Aa_G21630.h1.t1
OG0010893	AL2G40570	Aa_G21770.h1.t1
OG0010894	AL2G40300	Aa_G265780.h1.t1
OG0010895	AL2G39970	Aa_G145270.h1.t1
OG0010896	AL2G39490	Aa_G444550.h1.t1
OG0010897	AL5G25410	Aa_G99350.h1.t1
OG0010898	AL2G39060	Aa_G335540.h1.t1
OG0010901	AL2G38630, AL60U10010	Aa_G508930.h1.t1
OG0010902	AL2G38580	Aa_G508970.h1.t1
OG0010903	AL2G38400	Aa_G197880.h1.t1
OG0010904	AL2G38360	Aa_G204360.h1.t1
OG0010905	AL2G38140	Aa_G526840.h1.t1
OG0010906	AL2G37950	Aa_G121530.h1.t1
OG0010907	AL2G37810	Aa_G129450.h1.t1
OG0010908	AL2G37630	Aa_G129270.h1.t1
OG0010909	AL2G37610	Aa_G129250.h1.t1
OG0010910	AL2G37440	Aa_G141970.h1.t1, Aa_G104320.h1.t1
OG0010911	AL2G37260	Aa_G215610.h1.t1
OG0010912	AL2G36720	Aa_G111010.h1.t1
OG0010913	AL3G33850	Aa_G50950.h1.t1
OG0010914	AL5G20890	Aa_G490440.h1.t1
OG0010915	AL2G36360	Aa_G315400.h1.t1
OG0010916	AL4G14350, AL4G14370	Aa_G750960.h1.t1
OG0010917	AL2G36100	Aa_G410730.h1.t1
OG0010918	AL1G12190	Aa_G6700.h1.t1
OG0010919	AL2G35680	Aa_G822040.h1.t1, Aa_G64910.h1.t1
OG0010920	AL2G35250	Aa_G348770.h1.t1
OG0010921	AL2G35060	Aa_G259380.h1.t1
OG0010922	AL2G35020	Aa_G259420.h1.t1
OG0010923	AL3G50430	Aa_G199530.h1.t1
OG0010924	AL3G50440	Aa_G199540.h1.t1, Aa_G141620.h1.t1, Aa_G141650.h1.t1
OG0010925	AL3G50620	Aa_G329590.h1.t1
OG0010926	AL3G32700	Aa_G371370.h1.t1
OG0010927	AL8G29890	Aa_G123530.h1.t1
OG0010928	AL5G26750	Aa_G630210.h1.t1
OG0010929	AL5G26790	Aa_G425850.h1.t1
OG0010931	AL1G64350	Aa_G205620.h1.t1
OG0010932	AL1G63340	Aa_G231490.h1.t1
OG0010933	AL1G62810	Aa_G118330.h1.t1
OG0010934	AL1G52570	Aa_G92320.h1.t1
OG0010935	AL1G62390	Aa_G504500.h1.t1
OG0010936	AL1G62310	Aa_G355410.h1.t1
OG0010937	AL1G62070	Aa_G74260.h1.t1
OG0010938	AL1G62030	Aa_G74220.h1.t1
OG0010939	AL1G61580	Aa_G650270.h1.t1
OG0010940	AL4G18970	Aa_G371750.h1.t1
OG0010941	AL1G61520	Aa_G381970.h1.t1
OG0010942	AL4G32220	Aa_G313370.h1.t1
OG0010944	AL4G32320	Aa_G177490.h1.t1
OG0010945	AL4G32550	Aa_G12220.h1.t1
OG0010947	AL4G32820	Aa_G402630.h1.t1
OG0010948	AL5G23540	Aa_G208430.h1.t1
OG0010949	AL5G23350	Aa_G192040.h1.t1
OG0010950	AL5G22600	Aa_G115910.h1.t1
OG0010952	AL7G43640	Aa_G266950.h1.t1
OG0010953	AL7G44570	Aa_G246570.h1.t1
OG0010954	AL8G27450	Aa_G308740.h1.t1
OG0010955	AL8G24180	Aa_G73920.h1.t1
OG0010956	AL8G23910	Aa_G201690.h1.t1
OG0010957	nbis-gene-1881	Aa_G241700.h1.t1
OG0010958	AL9U10790	Aa_G183890.h1.t1
OG0010959	AL9U10380	Aa_G126890.h1.t1
OG0010961	AL7G42550	Aa_G7420.h1.t1
OG0010962	AL7G42420	Aa_G367900.h1.t1
OG0010963	AL3G43890	Aa_G378690.h1.t1, Aa_G890940.h1.t1
OG0010964	AL7G42140	Aa_G250840.h1.t1
OG0010965	AL7G42010, AL7G42020	Aa_G408330.h1.t1
OG0010966	AL7G42240	Aa_G369100.h1.t1, Aa_G369090.h1.t1, Aa_G677800.h1.t1
OG0010967	AL7G41520	Aa_G498460.h1.t1
OG0010968	AL7G41080	Aa_G31070.h1.t1
OG0010969	AL7G51410	Aa_G443230.h1.t1
OG0010970	AL7G40900	Aa_G31270.h1.t1
OG0010971	AL5G15360	Aa_G25720.h1.t1
OG0010972	AL7G40500	Aa_G482190.h1.t1
OG0010973	AL7G40410	Aa_G351590.h1.t1
OG0010974	AL7G40110	Aa_G496650.h1.t1
OG0010975	AL7G39840	Aa_G432430.h1.t1
OG0010976	AL1G35040	Aa_G532570.h1.t1
OG0010977	AL8G23850	Aa_G82890.h1.t1
OG0010978	AL7G39380	Aa_G327150.h1.t1
OG0010979	AL7G39330	Aa_G327200.h1.t1
OG0010980	AL7G39430	Aa_G551020.h1.t1
OG0010981	AL2G32720	Aa_G579220.h1.t1
OG0010982	AL2G32910	Aa_G341870.h1.t1
OG0010984	AL2G33150	Aa_G303450.h1.t1
OG0010985	AL2G33200	Aa_G303510.h1.t1
OG0010988	AL2G33450	Aa_G203150.h1.t1
OG0010989	AL4G31990	Aa_G286490.h1.t1
OG0010990	AL2G33620	Aa_G567770.h1.t1
OG0010991	AL2G33650	Aa_G30340.h1.t1
OG0010992	AL2G33680	Aa_G30370.h1.t1
OG0010994	AL2G33810	Aa_G30510.h1.t1
OG0010995	AL2G34050	Aa_G98890.h1.t1
OG0010996	AL2G34120	Aa_G449850.h1.t1
OG0010997	AL2G34240	Aa_G283720.h1.t1
OG0011001	AL2G34730	Aa_G64430.h1.t1
OG0011002	AL2G34740	Aa_G64420.h1.t1
OG0011003	AL2G34750	Aa_G64410.h1.t1
OG0011004	AL2G27480	Aa_G423710.h1.t1
OG0011005	AL2G27580, AL1G60180	Aa_G159510.h1.t1
OG0011006	AL2G28070	Aa_G305330.h1.t1
OG0011007	AL2G28110	Aa_G283310.h1.t1
OG0011008	AL2G28260	Aa_G690530.h1.t1
OG0011009	AL2G28310	Aa_G538470.h1.t1
OG0011010	AL7G43760	Aa_G194960.h1.t1
OG0011011	AL7G23800	Aa_G187480.h1.t1
OG0011012	AL7G23640	Aa_G23810.h1.t1
OG0011014	AL7G23470	Aa_G186690.h1.t1
OG0011015	AL7G23380	Aa_G450000.h1.t1
OG0011016	AL7G23370	Aa_G304530.h1.t1
OG0011017	AL3G42530	Aa_G211250.h1.t1
OG0011019	AL2G11530	Aa_G234450.h1.t1
OG0011020	AL2G11450	Aa_G65710.h1.t1
OG0011021	AL2G11360	Aa_G65820.h1.t1
OG0011023	AL2G11170	Aa_G361590.h1.t1
OG0011024	AL2G11150	Aa_G361580.h1.t1
OG0011025	AL7G50170	Aa_G151580.h1.t1
OG0011026	AL3G46790, AL3G42250	Aa_G151390.h1.t1
OG0011027	AL3G42310	Aa_G356900.h1.t1
OG0011028	AL7G49900	Aa_G356850.h1.t1
OG0011029	AL7G49850	Aa_G149780.h1.t1
OG0011030	AL7G49830	Aa_G567940.h1.t1, Aa_G398990.h1.t1
OG0011031	AL7G49770	Aa_G119940.h1.t1, Aa_G567930.h1.t1
OG0011032	AL7G39980	Aa_G119950.h1.t1
OG0011033	AL5G19280	Aa_G247710.h1.t1
OG0011034	AL5G17540	Aa_G34290.h1.t1
OG0011035	AL5G18070	Aa_G185310.h1.t1
OG0011036	AL5G22070	Aa_G17930.h1.t1
OG0011037	AL5G17240	Aa_G34130.h1.t1
OG0011038	AL5G16590	Aa_G263380.h1.t1
OG0011039	AL5G16360	Aa_G424670.h1.t1
OG0011040	AL5G16030	Aa_G120900.h1.t1
OG0011041	AL5G15600	Aa_G25540.h1.t1
OG0011042	AL5G15470	Aa_G25650.h2.t1, Aa_G25650.h1.t1
OG0011043	AL5G15270	Aa_G25780.h1.t1
OG0011044	AL5G15170	Aa_G276810.h1.t1
OG0011045	AL5G14790	Aa_G83320.h1.t1
OG0011046	AL5G14540	Aa_G257420.h1.t1
OG0011047	AL5G14490	Aa_G207040.h1.t1
OG0011048	AL5G14420	Aa_G207070.h1.t1
OG0011049	AL5G14240	Aa_G227070.h1.t1
OG0011050	AL5G14230	Aa_G227080.h1.t1
OG0011051	AL2G28910	Aa_G372910.h1.t1
OG0011052	AL2G28870	Aa_G585170.h1.t1
OG0011053	AL1G42570	Aa_G133910.h1.t1
OG0011054	AL2G28760	Aa_G540900.h1.t1
OG0011055	AL2G28680	Aa_G654890.h1.t1
OG0011056	AL2G28560	Aa_G626610.h1.t1
OG0011057	AL2G28450	Aa_G446060.h1.t1
OG0011058	AL2G28430	Aa_G446040.h1.t1
OG0011060	AL8G12330	Aa_G58190.h1.t1
OG0011061	AL6G42460	Aa_G97480.h1.t1
OG0011063	AL6G41970	Aa_G151100.h1.t1
OG0011065	nbis-gene-1986	Aa_G385510.h1.t1
OG0011066	AL8G12760	Aa_G419950.h1.t1
OG0011067	AL8G12960	Aa_G176630.h1.t1
OG0011068	AL8G13080, AL801U10020	Aa_G118010.h1.t1
OG0011069	AL8G13140, AL8G13150	Aa_G118070.h1.t1
OG0011070	AL8G13310	Aa_G527680.h1.t1, Aa_G239430.h1.t1
OG0011071	AL8G13410	Aa_G290880.h1.t1
OG0011072	AL8G13420	Aa_G290900.h1.t1
OG0011073	AL8G13430	Aa_G290910.h1.t1
OG0011074	AL2G22140	Aa_G664050.h1.t1
OG0011075	AL1G56860	Aa_G513250.h1.t1
OG0011076	AL5G41750	Aa_G322970.h1.t1
OG0011077	AL1G57160	Aa_G599980.h1.t1
OG0011079	AL1G58430	Aa_G92560.h1.t1
OG0011080	AL1G57520	Aa_G92500.h1.t1
OG0011081	AL1G57600	Aa_G181010.h1.t1
OG0011082	AL1G58130	Aa_G178300.h1.t1
OG0011083	AL1G58170	Aa_G178340.h1.t1
OG0011084	AL1G58330	Aa_G36870.h1.t1
OG0011085	AL1G58340	Aa_G36880.h1.t1
OG0011086	AL1G58400	Aa_G36930.h1.t1
OG0011087	AL1G58460	Aa_G36940.h1.t1
OG0011089	AL1G58690	Aa_G410570.h1.t1
OG0011090	AL1G58930	Aa_G431650.h1.t1
OG0011091	AL1G58970	Aa_G431630.h1.t1
OG0011092	AL1G59110	Aa_G415000.h1.t1
OG0011093	AL1G59240	Aa_G582090.h1.t1
OG0011094	nbis-gene-286	Aa_G225050.h1.t1
OG0011096	AL1G59680	Aa_G166330.h1.t1
OG0011098	AL1G60000	Aa_G677560.h1.t1
OG0011099	AL1G60570	Aa_G256000.h1.t1
OG0011100	AL1G60670	Aa_G386200.h1.t1
OG0011101	AL1G60680	Aa_G386190.h1.t1
OG0011102	AL8G18340	Aa_G150440.h1.t1
OG0011103	AL8G18330	Aa_G150420.h1.t1
OG0011104	AL8G18230, AL61U10020	Aa_G150400.h1.t1
OG0011105	AL4G29210	Aa_G440070.h1.t1
OG0011106	AL4G29230	Aa_G440090.h1.t1
OG0011107	AL4G29240	Aa_G440100.h1.t1
OG0011108	AL4G29460	Aa_G465700.h1.t1
OG0011109	AL4G29480	Aa_G337810.h1.t1
OG0011110	AL4G29660	Aa_G305820.h1.t1
OG0011111	AL4G29650	Aa_G438690.h1.t1
OG0011112	AL4G29710	Aa_G305710.h1.t1
OG0011113	AL4G30210	Aa_G142220.h1.t1
OG0011114	AL4G30500	Aa_G291660.h2.t1, Aa_G291660.h1.t1
OG0011115	AL4G30510	Aa_G291650.h1.t1
OG0011116	AL4G30560	Aa_G229240.h1.t1
OG0011117	AL4G30610, AL270U10030	Aa_G281350.h1.t1
OG0011118	AL4G30700	Aa_G406500.h1.t1
OG0011119	AL481U10030, AL4G30710	Aa_G406510.h1.t1
OG0011120	AL4G30800	Aa_G370710.h1.t1
OG0011121	AL4G31320	Aa_G52140.h1.t1
OG0011122	AL457U10010, AL4G31350	Aa_G52100.h1.t1
OG0011123	AL5G10880	Aa_G244010.h1.t1
OG0011124	AL7G34630	Aa_G299600.h1.t1
OG0011125	AL7G34810	Aa_G357060.h1.t1
OG0011126	AL3G53780	Aa_G88210.h1.t1, Aa_G627430.h1.t1
OG0011127	AL7G35220	Aa_G244580.h1.t1
OG0011128	AL1G64910	Aa_G62090.h1.t1
OG0011129	AL7G35550	Aa_G507680.h1.t1
OG0011130	AL7G35700	Aa_G345150.h1.t1
OG0011131	AL7G35760	Aa_G339960.h1.t1
OG0011132	AL7G35830	Aa_G340020.h1.t1
OG0011133	AL7G35930	Aa_G423100.h1.t1
OG0011134	AL7G35950	Aa_G423080.h1.t1
OG0011135	AL7G36100	Aa_G155420.h1.t1
OG0011136	AL7G36600	Aa_G289660.h1.t1
OG0011138	AL4G26520	Aa_G96210.h1.t1
OG0011139	AL7G37140	Aa_G607260.h1.t1
OG0011140	AL7G37200	Aa_G697080.h1.t1
OG0011141	AL7G37420	Aa_G96240.h1.t1
OG0011143	AL5G31500	Aa_G451300.h1.t1
OG0011144	AL5G31340	Aa_G682340.h1.t1
OG0011145	AL5G31240	Aa_G11470.h1.t1
OG0011147	AL2G27040	Aa_G780300.h1.t1, Aa_G218640.h1.t1
OG0011148	AL668U10020	Aa_G105460.h1.t1, Aa_G87500.h1.t1
OG0011149	AL5G30760	Aa_G473090.h1.t1
OG0011150	AL5G30750	Aa_G555500.h1.t1
OG0011151	AL3G13550	Aa_G45060.h1.t1
OG0011153	AL7G29880	Aa_G55700.h1.t1
OG0011154	AL7G30050	Aa_G439780.h1.t1
OG0011155	AL5G18630	Aa_G580980.h1.t1
OG0011156	AL8G26860	Aa_G629810.h1.t1
OG0011157	AL8G26430	Aa_G249070.h1.t1
OG0011158	AL8G26100	Aa_G598100.h1.t1
OG0011159	AL8G25840	Aa_G503920.h1.t1
OG0011160	AL8G25600	Aa_G84120.h1.t1
OG0011161	AL8G25350	Aa_G153100.h1.t1
OG0011162	AL8G25410	Aa_G83880.h1.t1
OG0011163	AL8G25370	Aa_G498060.h1.t1, Aa_G391110.h1.t1
OG0011164	AL8G25440	Aa_G83930.h1.t1
OG0011165	AL3G45410	Aa_G105320.h1.t1
OG0011166	AL3G45260	Aa_G105390.h1.t1
OG0011167	AL3G44140	Aa_G194500.h1.t1
OG0011168	AL5G41340	Aa_G340560.h1.t1
OG0011169	AL3G45250	Aa_G105400.h1.t1
OG0011170	AL1G62160	Aa_G105280.h1.t1
OG0011171	AL3G46570	Aa_G409910.h1.t1
OG0011172	AL3G46740	Aa_G269110.h1.t1
OG0011173	AL3G46480	Aa_G395410.h1.t1
OG0011177	AL5G20530	Aa_G534680.h1.t1
OG0011178	AL3G52590	Aa_G529370.h1.t1
OG0011179	AL3G52640	Aa_G543450.h1.t1
OG0011180	AL3G49660	Aa_G544710.h1.t1
OG0011181	AL3G49680	Aa_G544690.h1.t1
OG0011182	AL7G29370	Aa_G500520.h1.t1
OG0011183	AL7G29520	Aa_G124490.h1.t1
OG0011184	AL8G45460	Aa_G113860.h1.t1
OG0011185	AL7G30650	Aa_G19920.h1.t1
OG0011186	AL7G32860, AL2G16580	Aa_G495680.h1.t1
OG0011187	AL7G31370	Aa_G517280.h1.t1
OG0011188	AL7G31460	Aa_G380860.h1.t1
OG0011189	AL7G31620	Aa_G156180.h1.t1
OG0011190	AL7G31700	Aa_G117460.h1.t1
OG0011191	AL7G34150, AL7G34080	Aa_G340800.h1.t1
OG0011192	AL3G28560	Aa_G233760.h1.t1
OG0011193	AL7G33880	Aa_G204070.h1.t1
OG0011194	AL1G51350	Aa_G127480.h1.t1
OG0011195	AL7G33800	Aa_G204010.h1.t1
OG0011196	AL7G33640	Aa_G201470.h1.t1
OG0011197	AL7G33500	Aa_G245280.h1.t1
OG0011198	AL7G33300	Aa_G369900.h1.t1
OG0011199	AL7G32700	Aa_G58930.h1.t1
OG0011200	AL3G44110	Aa_G53580.h1.t1
OG0011201	AL7G32450	Aa_G398620.h1.t1
OG0011202	AL7G32440	Aa_G398610.h1.t1
OG0011203	AL7G32220	Aa_G782030.h1.t1
OG0011204	AL7G34250	Aa_G448070.h1.t1
OG0011205	AL7G34410	Aa_G148350.h1.t1
OG0011206	AL4G41180	Aa_G374700.h1.t1
OG0011207	AL6G43160	Aa_G3440.h1.t1
OG0011208	AL6G43210	Aa_G3380.h1.t1
OG0011209	AL8G19090	Aa_G39500.h1.t1
OG0011210	AL8G18870	Aa_G39550.h1.t1
OG0011211	AL8G18750	Aa_G39610.h1.t1
OG0011212	AL8G18650	Aa_G39650.h1.t1
OG0011213	AL8G18450	Aa_G150520.h1.t1, Aa_G647710.h1.t1
OG0011214	AL7G38590	Aa_G49480.h1.t1
OG0011215	AL7G38520	Aa_G49410.h1.t1
OG0011216	AL7G38680	Aa_G49550.h1.t1
OG0011217	AL7G38080	Aa_G406690.h1.t1
OG0011218	AL7G38040	Aa_G406660.h1.t1
OG0011219	AL7G37840, AL6G36200	Aa_G296010.h1.t1
OG0011220	AL7G37790	Aa_G296000.h1.t1
OG0011221	AL7G37660	Aa_G173240.h1.t1
OG0011222	nbis-gene-1831	Aa_G173180.h1.t1
OG0011223	AL7G37600	Aa_G16640.h1.t1
OG0011224	AL1G47010	Aa_G16600.h1.t1
OG0011225	AL1G46950	Aa_G16580.h1.t1
OG0011226	AL3G10470	Aa_G451650.h1.t1
OG0011227	AL8G45470	Aa_G113850.h1.t1
OG0011228	AL8G45590, AL472U10010	Aa_G113760.h1.t1
OG0011229	AL8G45640	Aa_G113710.h1.t1
OG0011230	AL8G45650	Aa_G113700.h1.t1
OG0011231	AL8G45680	Aa_G113680.h1.t1
OG0011232	AL5G46020	Aa_G336750.h1.t1
OG0011233	AL5G45970	Aa_G163700.h1.t1
OG0011234	AL5G45930	Aa_G163660.h1.t1
OG0011235	AL5G45580	Aa_G236620.h1.t1
OG0011236	AL5G45330	Aa_G187510.h1.t1, Aa_G435530.h1.t1, Aa_G167820.h1.t1
OG0011237	AL5G45300	Aa_G167800.h1.t1
OG0011238	AL5G45290	Aa_G167790.h1.t1
OG0011239	AL5G45260	Aa_G167780.h1.t1
OG0011240	AL5G45010	Aa_G2610.h1.t1
OG0011241	AL5G44550	Aa_G2300.h1.t1
OG0011242	AL5G44470	Aa_G2230.h1.t1
OG0011243	AL5G44460	Aa_G2220.h1.t1
OG0011244	AL5G44380	Aa_G2140.h1.t1
OG0011247	AL5G43840, AL5G43780	Aa_G81000.h1.t1
OG0011248	AL1G53580, AL5G43610, AL1G53590	Aa_G81130.h1.t1
OG0011249	AL5G43450	Aa_G57880.h1.t1
OG0011250	AL5G43160	Aa_G48740.h1.t1
OG0011251	AL5G43150	Aa_G48730.h1.t1
OG0011252	AL5G43000	Aa_G353920.h1.t1
OG0011253	AL5G42990	Aa_G353930.h1.t1
OG0011254	AL5G42920	Aa_G353980.h1.t1
OG0011255	AL5G42710	Aa_G77260.h1.t1
OG0011256	AL5G42430	Aa_G103400.h1.t1
OG0011257	AL5G42360	Aa_G103300.h1.t1, Aa_G103310.h1.t1
OG0011259	AL5G42000	Aa_G132640.h1.t1
OG0011260	AL5G41810	Aa_G132790.h1.t1
OG0011261	AL5G41730	Aa_G322990.h1.t1
OG0011262	AL7G23020	Aa_G158730.h1.t1
OG0011263	AL5G40990	Aa_G350910.h1.t1, Aa_G647680.h1.t1
OG0011264	AL5G40940	Aa_G262260.h1.t1
OG0011265	AL5G40920	Aa_G262280.h1.t1
OG0011266	AL5G40890	Aa_G262320.h1.t1
OG0011267	AL5G21690	Aa_G337600.h1.t1
OG0011268	AL5G40360	Aa_G345910.h1.t1
OG0011269	AL5G40330	Aa_G433230.h1.t1
OG0011270	AL5G39740	Aa_G221120.h1.t1
OG0011271	AL5G38680	Aa_G614490.h1.t1
OG0011272	AL6G44800	Aa_G107480.h1.t1
OG0011273	AL7G22330	Aa_G749400.h1.t1
OG0011274	AL2G27440	Aa_G110410.h1.t1
OG0011275	AL5G38270	Aa_G483460.h1.t1
OG0011276	AL5G38260	Aa_G562580.h1.t1
OG0011277	AL5G38220	Aa_G562540.h1.t1
OG0011278	AL5G38210	Aa_G562530.h1.t1
OG0011279	AL5G38010	Aa_G728370.h1.t1
OG0011280	AL5G37970	Aa_G559670.h1.t1
OG0011281	AL5G37950	Aa_G559690.h1.t1
OG0011282	AL5G37660	Aa_G378350.h1.t1
OG0011283	AL5G37640	Aa_G378370.h1.t1
OG0011284	AL5G37440	Aa_G869770.h1.t1, Aa_G287170.h1.t1
OG0011285	AL5G37430	Aa_G287180.h1.t1
OG0011286	AL5G37270	Aa_G287330.h1.t1
OG0011288	AL5G36990	Aa_G494920.h1.t1
OG0011289	AL5G36980	Aa_G494910.h1.t1
OG0011290	AL5G36940	Aa_G619510.h1.t1
OG0011292	AL5G36770	Aa_G213600.h1.t1
OG0011293	AL5G36360	Aa_G601470.h1.t1
OG0011294	AL5G36190	Aa_G501170.h1.t1
OG0011295	AL5G36170	Aa_G501190.h1.t1
OG0011296	AL5G35940	Aa_G381350.h1.t1
OG0011297	AL5G35900	Aa_G381300.h1.t1
OG0011298	AL5G35870	Aa_G381260.h1.t1
OG0011299	AL5G35770	Aa_G331310.h1.t1
OG0011300	AL5G35740	Aa_G511060.h1.t1
OG0011301	AL5G35730	Aa_G511050.h1.t1
OG0011302	AL5G35690	Aa_G511010.h1.t1
OG0011303	AL5G35540	Aa_G319010.h1.t1
OG0011304	AL5G35530	Aa_G319000.h1.t1
OG0011305	AL5G35480	Aa_G416660.h1.t1
OG0011306	AL5G35250	Aa_G277080.h1.t1
OG0011307	AL2G26280	Aa_G184460.h1.t1
OG0011308	AL5G35010	Aa_G265920.h1.t1
OG0011310	AL5G34890	Aa_G393760.h1.t1
OG0011311	AL5G34500	Aa_G402310.h1.t1
OG0011312	AL5G34420	Aa_G13920.h1.t1
OG0011313	AL5G34390	Aa_G13970.h1.t1
OG0011314	AL5G34020	Aa_G211620.h1.t1
OG0011315	AL5G33730	Aa_G395710.h1.t1
OG0011316	AL5G33680	Aa_G668320.h1.t1
OG0011317	nbis-gene-1356	Aa_G698150.h1.t1
OG0011318	AL5G33430	Aa_G153570.h1.t1
OG0011319	AL8G29610	Aa_G54490.h1.t1
OG0011320	AL8G29120	Aa_G88230.h1.t1
OG0011321	AL8G28960	Aa_G141130.h1.t1
OG0011322	AL8G28890	Aa_G231670.h1.t1
OG0011323	AL8G28680	Aa_G82320.h1.t1
OG0011324	AL8G28250	Aa_G372270.h1.t1
OG0011325	AL8G28050	Aa_G134100.h1.t1
OG0011326	nbis-gene-2117	Aa_G206890.h1.t1
OG0011327	AL7G39030	Aa_G139260.h1.t1
OG0011328	AL3G40270	Aa_G385870.h1.t1
OG0011329	AL3G40470	Aa_G284670.h1.t1
OG0011330	nbis-gene-785	Aa_G178740.h1.t1
OG0011331	AL8G18940, AL3G40760	Aa_G76870.h1.t1
OG0011332	AL3G40800	Aa_G76950.h1.t1
OG0011333	AL3G40930, AL3G41060	Aa_G77070.h1.t1
OG0011334	AL3G41590	Aa_G183430.h1.t1
OG0011335	AL3G41700	Aa_G183490.h1.t1
OG0011336	AL3G41870	Aa_G40.h1.t1
OG0011337	AL3G41910	Aa_G50.h1.t1
OG0011338	AL3G42350	Aa_G290.h1.t1
OG0011339	AL3G43120	Aa_G196610.h1.t1
OG0011340	AL3G43950	Aa_G194440.h1.t1
OG0011341	AL2G24630	Aa_G424330.h1.t1
OG0011342	AL2G25050	Aa_G3680.h1.t1
OG0011343	AL2G25170	Aa_G756430.h1.t1, Aa_G190960.h1.t1
OG0011344	AL2G25420	Aa_G544030.h1.t1
OG0011345	AL2G25840	Aa_G304710.h1.t1
OG0011346	AL2G26360	Aa_G184430.h1.t1
OG0011347	AL2G26400	Aa_G282870.h1.t1
OG0011348	AL2G26460	Aa_G427670.h1.t1
OG0011349	AL2G26730	Aa_G285650.h1.t1
OG0011350	AL1G40270	Aa_G431820.h1.t1
OG0011351	AL2G26960	Aa_G285660.h1.t1
OG0011352	AL2G26840	Aa_G131710.h1.t1
OG0011353	AL2G26750	Aa_G218560.h1.t1
OG0011354	AL2G27260	Aa_G345350.h1.t1
OG0011355	AL2G27320	Aa_G81870.h1.t1
OG0011357	AL8G21710	Aa_G139090.h1.t1
OG0011358	AL3G51180	Aa_G197330.h1.t1
OG0011359	AL3G51200	Aa_G197310.h1.t1
OG0011360	AL3G51260	Aa_G235650.h1.t1
OG0011361	AL3G51470	Aa_G99980.h1.t1
OG0011362	AL3G51510	Aa_G99930.h1.t1
OG0011363	AL3G51620	Aa_G415520.h1.t1
OG0011365	AL3G51760	Aa_G325950.h1.t1
OG0011366	AL3G51890	Aa_G483690.h1.t1
OG0011367	nbis-gene-903	Aa_G426600.h1.t1
OG0011368	AL3G53030	Aa_G185810.h1.t1
OG0011369	AL3G53010	Aa_G185800.h1.t1
OG0011370	AL3G52900	Aa_G695490.h1.t1
OG0011371	AL3G52830	Aa_G386790.h1.t1
OG0011372	AL3G48930	Aa_G244970.h1.t1
OG0011373	AL3G48790	Aa_G143450.h1.t1
OG0011374	AL3G48750	Aa_G143490.h1.t1
OG0011375	AL3G48590	Aa_G230190.h1.t1, Aa_G230210.h1.t1
OG0011376	AL3G48440	Aa_G64080.h1.t1
OG0011377	AL3G48410	Aa_G64090.h1.t1
OG0011378	AL4G39230	Aa_G88380.h1.t1, Aa_G647720.h1.t1, Aa_G88390.h1.t1
OG0011379	AL4G38900	Aa_G144220.h1.t1
OG0011380	AL4G38820	Aa_G281400.h1.t1
OG0011381	AL4G38800	Aa_G281380.h1.t1
OG0011382	AL4G38780	Aa_G281360.h1.t1
OG0011383	AL4G38560	Aa_G271680.h1.t1, Aa_G401770.h1.t1
OG0011384	AL4G38200	Aa_G560380.h1.t1
OG0011385	AL4G38170	Aa_G268080.h1.t1
OG0011386	AL4G37920, AL108U10020	Aa_G115360.h1.t1
OG0011387	AL4G37600	Aa_G292260.h1.t1
