Orthogroup	Arabidopsis_lyrata_Rawat	Eutrema_salsugineum
OG0006865	AL1G11340	XP_024009065.1
OG0006866	AL1G11600	XP_024008698.1
OG0006867	AL1G11770	XP_006418345.1
OG0006868	AL1G12340	XP_006418288.1
OG0006869	AL1G12410	XP_006418282.1
OG0006870	AL1G12500	XP_006418272.1
OG0006871	AL1G13430	XP_006418197.1
OG0006872	AL1G13880	XP_006418146.1, XP_024010181.1
OG0006873	AL3G47460	XP_006403629.1, XP_024016434.1
OG0006874	AL1G14270	XP_006418113.1
OG0006875	AL1G14370	XP_024008777.1
OG0006876	AL1G14480	XP_024008664.1
OG0006877	AL5G23480	XP_006419080.1
OG0006878	AL1G14670	XP_024008311.1
OG0006879	AL1G14860	XP_006418062.1
OG0006880	AL1G15040	XP_006418047.1
OG0006881	AL1G15530	XP_006418002.1
OG0006882	AL1G16030	XP_006417959.1
OG0006883	AL1G16060	XP_006417957.1
OG0006884	AL1G16510	XP_006417911.1
OG0006885	AL1G16590	XP_006417902.1
OG0006886	AL1G16840	XP_006417875.1
OG0006887	AL1G16990	XP_006417864.1
OG0006888	AL1G17020	XP_006417861.1
OG0006889	AL7G28840	XP_006413439.1
OG0006890	AL1G18440	XP_006417731.2
OG0006891	AL1G18620	XP_006417715.2
OG0006892	AL1G18690	XP_006417709.1
OG0006893	AL1G18780	XP_006417700.1
OG0006894	AL1G18910	XP_006391219.1
OG0006895	AL1G19230	XP_024008154.1
OG0006896	AL1G19340	XP_024008948.1
OG0006897	AL1G19410	XP_006417625.1
OG0006898	AL1G19600	XP_006417604.1
OG0006899	AL1G19800	XP_006417585.1
OG0006900	AL1G20290	XP_006417542.1
OG0006901	AL1G20590	XP_006417508.1
OG0006902	AL1G20830	XP_024008687.1
OG0006903	AL2G17350	XP_006417467.1, XP_006392265.1
OG0006904	AL1G21310	XP_006417459.1
OG0006905	AL1G21700	XP_006417418.1
OG0006906	AL1G22020	XP_006417396.1
OG0006907	AL1G22190	XP_006417384.1
OG0006908	AL1G22220	XP_024008633.1
OG0006909	AL1G22240	XP_006417378.1
OG0006910	AL1G22290	XP_024007753.1
OG0006911	AL1G22380	XP_006410751.2, XP_006417369.1
OG0006912	AL1G22730	XP_006417335.1
OG0006913	AL1G22790	XP_006417330.1
OG0006914	AL1G22930	XP_006417316.1
OG0006915	AL1G22950	XP_006408665.1
OG0006916	AL1G23380	XP_006417264.1
OG0006917	AL1G23550	XP_006417252.1
OG0006918	AL1G23740	XP_006417238.1
OG0006919	AL6G53260	XP_006396223.1
OG0006920	AL1G24090, AL1G23980	XP_006417215.1
OG0006921	AL1G24590	XP_006417171.1
OG0006922	AL1G24680	XP_006417165.1
OG0006923	AL1G25500	XP_006417097.1
OG0006924	AL1G25710	XP_006417082.2
OG0006925	AL1G25730	XP_006417080.1
OG0006926	AL1G25800	XP_006417073.1
OG0006927	AL1G26260	XP_006417017.1
OG0006929	AL7G45360, AL1G26820	XP_006416969.1
OG0006930	AL1G26830	XP_024008367.1
OG0006931	AL1G27160	XP_006416944.1
OG0006932	AL1G27310	XP_006416933.1
OG0006933	AL1G27460	XP_006416915.1
OG0006934	AL1G27540	XP_006416906.1
OG0006935	AL1G27930	XP_006416881.1
OG0006936	AL1G27970	XP_006416877.1
OG0006937	AL1G32490	XP_006389841.1
OG0006938	AL1G28310	XP_006416842.1
OG0006939	AL5G17580	XP_006395380.1
OG0006940	AL1G29020	XP_006416770.1
OG0006942	AL1G29410	XP_006416732.1
OG0006943	AL1G29600	XP_006416715.1
OG0006944	AL1G29950	XP_006416686.1
OG0006945	AL1G30040	XP_024016191.1, XP_006416676.1
OG0006946	AL1G30160	XP_006416666.1, XP_006391201.1
OG0006947	AL1G30180	XP_006416664.1
OG0006948	AL1G30200	XP_006416662.1
OG0006949	AL1G30310	XP_006416653.1
OG0006950	AL1G30720	XP_006416613.1
OG0006951	AL1G30910	XP_006416600.1
OG0006952	AL1G31050	XP_006416588.1
OG0006953	AL1G31450	XP_006416555.1
OG0006954	AL1G31800	XP_006416527.1
OG0006955	AL1G32260	XP_006416498.1
OG0006956	AL1G32290	XP_024008149.1
OG0006957	AL1G32960	XP_006416428.1
OG0006958	AL1G33580	XP_006416379.2
OG0006959	AL1G33830	XP_006416360.1
OG0006960	AL1G33920	XP_006416351.1
OG0006961	AL1G34090	XP_006416337.1
OG0006962	AL1G34510	XP_006416306.1
OG0006963	AL1G34590	XP_006416298.1
OG0006964	AL1G35020	XP_006416262.1
OG0006965	AL1G35080	XP_006416255.1
OG0006966	AL1G35110	XP_006416252.1
OG0006967	AL1G35500	XP_024008943.1
OG0006968	AL8G14060	XP_006398163.1
OG0006969	AL7G41600	XP_006406899.1
OG0006970	AL2G31350	XP_006390744.1
OG0006971	AL2G30900	XP_006390785.1
OG0006972	AL2G30570	XP_006390816.1
OG0006973	AL2G29210	XP_006390940.1
OG0006974	AL7G29170	XP_006413472.1
OG0006975	AL7G29140	XP_006413469.2
OG0006976	AL3G50190	XP_006412265.2
OG0006977	AL2G12430	XP_006391781.1
OG0006978	AL240U10020, AL2G12550	XP_006391788.1
OG0006979	AL2G13420	XP_006391866.1
OG0006980	AL2G13600	XP_024015305.1
OG0006981	AL2G14380	XP_006391971.1
OG0006982	AL2G14620	XP_006391983.1
OG0006983	AL1G40710	XP_024008456.1
OG0006984	AL2G15350	XP_024015511.1
OG0006985	AL2G15450	XP_006392069.1
OG0006986	AL2G18260	XP_006392315.1
OG0006987	AL2G10890	XP_006391666.1
OG0006988	nbis-gene-570	XP_006390963.1, XP_024012108.1
OG0006989	AL2G10080	XP_006391710.1
OG0006990	AL7G47050	XP_006405277.1
OG0006991	AL8G11760	XP_006398354.2
OG0006992	AL8G11710	XP_024011065.1
OG0006993	AL8G11610	XP_006398369.1
OG0006994	AL8G10410	XP_006398454.1
OG0006995	AL8G10310	XP_006398463.1
OG0006996	AL3G25830	XP_006398488.1
OG0006997	AL8G14890	XP_024011003.1
OG0006998	AL6G49000	XP_006396602.1
OG0006999	AL7G22880	XP_006412833.1
OG0007000	AL7G22640	XP_006412820.1
OG0007001	AL1G54540, AL1G54590	XP_006393493.1
OG0007003	AL2G34900	XP_024007659.1
OG0007004	AL2G34860	XP_006390365.1
OG0007005	AL2G34790	XP_006390372.1
OG0007006	AL7G10330	XP_006411637.1
OG0007007	AL7G10780	XP_006411679.1
OG0007008	AL7G11080	XP_006411713.1
OG0007009	AL7G11420	XP_006411743.1
OG0007010	AL7G11440	XP_006411744.1
OG0007011	AL7G12430, AL7G12410	XP_006411811.1
OG0007012	AL7G12880	XP_006411852.1
OG0007013	AL7G13150	XP_006411869.1
OG0007014	AL7G13420	XP_024005823.1
OG0007015	AL7G13690	XP_006411917.2
OG0007016	AL2G36200, nbis-gene-1716, AL7G14010	XP_006411948.1
OG0007017	AL7G14280	XP_006411967.1
OG0007018	AL7G14290	XP_006411969.1
OG0007019	AL7G14830	XP_006412017.1
OG0007020	AL7G15060	XP_006412036.2
OG0007021	AL7G15350	XP_006412065.1
OG0007022	AL7G15400	XP_006412070.1
OG0007023	AL7G15630	XP_006412093.1
OG0007024	AL2G14790	XP_006391996.1
OG0007025	AL7G16110	XP_006412150.1
OG0007027	AL7G16230	XP_006412165.1
OG0007028	AL7G16350, AL446U10020	XP_006412178.1
OG0007029	AL7G16430	XP_006412186.1
OG0007030	AL7G16520	XP_024005886.1
OG0007031	AL7G19640	XP_006412504.1
OG0007032	AL7G19620	XP_006412503.1
OG0007033	AL7G19540	XP_006412493.1
OG0007034	AL7G19210	XP_006412457.1
OG0007035	AL7G19190	XP_006412455.1
OG0007036	AL7G19020	XP_006412437.1
OG0007037	AL7G18930	XP_006412430.1
OG0007038	AL4G29540	XP_006410526.1
OG0007039	AL4G18010	XP_024015987.1
OG0007040	AL7G18480	XP_006412393.1
OG0007041	AL7G18300	XP_006412374.1
OG0007042	AL7G17970	XP_006412343.1
OG0007043	AL3G44920	XP_006409707.1
OG0007044	AL7G17810	XP_006412326.1, XP_006412325.2
OG0007045	AL7G17720	XP_006412316.1
OG0007046	AL7G17510	XP_006412299.1
OG0007047	AL7G17480	XP_006412295.1
OG0007048	AL7G17440	XP_024004533.1
OG0007049	AL7G17300	XP_006412278.1
OG0007050	AL7G17270	XP_024004447.1
OG0007052	AL7G19900	XP_006412532.1
OG0007053	AL7G20750	XP_006412605.1
OG0007054	AL7G20760	XP_006412606.1
OG0007055	AL7G20910	XP_024004362.1
OG0007056	AL7G20950	XP_006412630.1
OG0007057	AL7G21120	XP_006412646.1
OG0007058	AL7G21160	XP_006412654.1
OG0007059	AL7G21320	XP_006412667.1
OG0007060	AL3G38810	XP_006418833.1
OG0007061	AL3G39530	XP_006418779.2
OG0007062	AL2G32230	XP_006390647.1
OG0007063	AL2G32040	XP_006390669.1
OG0007064	AL2G31870	XP_006390687.1
OG0007065	AL1G37210	XP_006416084.2
OG0007066	AL1G37300	XP_006416074.1
OG0007067	AL1G38250	XP_006416012.1
OG0007068	AL4G17990	XP_006396412.1
OG0007069	AL6G51340	XP_006396392.1
OG0007070	AL6G51880	XP_006396350.2
OG0007071	AL6G52620	XP_006396329.1
OG0007072	AL6G52430	XP_006396318.1
OG0007073	nbis-gene-1672	XP_006396299.1
OG0007074	AL6G52100	XP_006396281.1
OG0007075	AL6G52770	XP_006396265.1
OG0007076	AL6G53280	XP_006396221.1
OG0007077	AL6G53490	XP_006396199.1
OG0007078	AL4G13130, AL4G40360	XP_006404531.1
OG0007079	AL1G40480	XP_024009020.1
OG0007081	AL7G24460	XP_006412990.1
OG0007082	AL1G14210, AL1G11910	XP_024008106.1
OG0007084	AL1G29130	XP_006416756.1
OG0007085	AL1G29660	XP_006416708.1
OG0007086	AL1G37240	XP_024008856.1
OG0007087	AL1G39140	XP_006415935.1
OG0007088	AL1G40340	XP_006415820.1
OG0007089	AL1G40500	XP_024008670.1
OG0007090	AL1G40680	XP_024008380.1
OG0007093	AL2G32180	XP_006390651.1
OG0007096	AL5G10190	XP_024011139.1
OG0007097	AL5G14360	XP_006395625.1
OG0007098	AL5G18890	XP_006395313.1
OG0007099	AL5G19910	XP_006395258.1
OG0007100	AL5G22200	XP_006404512.1
OG0007101	AL5G25860, AL5G25850	XP_006404449.1
OG0007102	AL5G32660	XP_024013839.1
OG0007103	AL5G34060	XP_006403717.1
OG0007104	AL5G40700	XP_024016622.1
OG0007105	AL6G29820	XP_006400404.1
OG0007106	AL6G38680	XP_006394909.1
OG0007107	AL6G43200, AL6G43190	XP_006397177.1
OG0007108	AL6G46490	XP_006396853.1
OG0007109	AL7G26450	XP_006413176.2
OG0007110	AL7G26940	XP_006413239.1
OG0007111	AL7G30410, AL6G44050	XP_006413581.1
OG0007112	AL7G35210	XP_024005545.1
OG0007113	AL7G52730	XP_024014764.1
OG0007115	AL8G20980, AL8G20990	XP_006395204.1
OG0007116	AL8G22840	XP_006395082.1
OG0007128	AL5G46080	XP_024012905.1
OG0007129	AL7G30430	XP_006413582.1
OG0007130	AL8G29730	XP_024011466.1
OG0007131	AL8G40390	XP_006394290.1
OG0007132	AL5G27870	XP_006404256.1
OG0007133	AL3G47170	XP_024013178.1
OG0007133	AL5G27810	XP_006404264.1
OG0007134	AL5G27600	XP_006404285.1, XP_024013737.1
OG0007135	AL5G27250	XP_006404314.1
OG0007136	AL5G27210	XP_006404319.1
OG0007137	AL5G10050	XP_006398495.1
OG0007138	AL5G10230	XP_006398516.1
OG0007139	AL7G22820	XP_006412825.1
OG0007140	AL5G10810	XP_006395859.1
OG0007141	AL5G11440	XP_006395804.1
OG0007142	AL4G34810	XP_006410985.1
OG0007143	AL8G11590	XP_006398370.1
OG0007144	AL2G38450	XP_006390018.1
OG0007145	AL6G28800	XP_006400314.1
OG0007146	AL6G28740	XP_006400307.1
OG0007147	AL6G28520	XP_024012049.1
OG0007148	AL6G28500	XP_024012144.1
OG0007149	AL6G28310	XP_006400258.1
OG0007150	AL6G28260	XP_006400251.1
OG0007151	AL6G27930	XP_006400236.1
OG0007152	AL6G27790	XP_006400219.1
OG0007153	AL6G27560	XP_006400198.1
OG0007154	AL7G52670, AL7G52680	XP_006400197.1
OG0007155	AL6G27480	XP_006400192.1
OG0007156	AL6G27400	XP_006400184.1
OG0007157	AL6G27210	XP_006400167.1
OG0007158	AL6G27000	XP_024011914.1
OG0007159	AL4G32610	XP_006410820.1
OG0007160	AL6G26670	XP_006400107.1
OG0007161	AL6G26590	XP_006400097.1
OG0007162	AL6G26400	XP_006400074.1
OG0007163	AL6G26390	XP_006400073.1
OG0007164	AL6G26080	XP_006400040.1
OG0007165	AL6G25840	XP_024012455.1
OG0007166	AL6G25740	XP_006400016.1
OG0007167	AL6G25730	XP_006400015.1
OG0007168	AL6G25690	XP_006400010.1
OG0007169	nbis-gene-1517	XP_006399997.1
OG0007170	AL6G25530	XP_006399992.1
OG0007172	AL6G44650	XP_006397031.2
OG0007174	AL6G24910	XP_006399933.1
OG0007175	AL6G24880	XP_024011569.1
OG0007176	AL6G24770	XP_024012340.1
OG0007177	AL6G24710	XP_006399910.1
OG0007178	AL6G24680	XP_006399907.1
OG0007179	AL6G24660	XP_006399904.1
OG0007180	AL6G24640	XP_006399902.1
OG0007181	AL6G24620	XP_024011156.1
OG0007182	AL6G24610	XP_006399898.1
OG0007183	AL6G24380	XP_024012581.1
OG0007184	AL6G24330	XP_024012126.1
OG0007185	AL6G24320	XP_006399868.1
OG0007186	AL6G24260	XP_006399860.1
OG0007187	AL6G24250	XP_006399859.1
OG0007188	AL8G22450, AL8G22420	XP_024006846.1
OG0007189	AL6G24180	XP_006399851.1
OG0007190	AL6G24130	XP_006399846.1
OG0007191	AL6G24120	XP_006399844.1
OG0007192	AL6G24010	XP_006399830.1
OG0007193	AL6G23920	XP_006399821.1
OG0007194	AL8G31380	XP_024011160.1
OG0007195	AL6G23680	XP_006399794.1
OG0007196	AL6G23620	XP_006399788.1
OG0007197	AL6G23190	XP_006399756.1
OG0007198	AL6G22900	XP_006399729.1
OG0007199	AL6G22830	XP_006399721.1
OG0007200	AL6G22690	XP_006399711.1
OG0007201	AL5G19400, AL5G19420	XP_024006854.1
OG0007202	AL6G22510	XP_024012181.1
OG0007203	AL6G22150	XP_006399654.1
OG0007204	AL6G22100	XP_006399649.1
OG0007205	AL7G29040	XP_006413459.1
OG0007206	AL6G21990	XP_006399636.1
OG0007208	AL6G21110	XP_024012375.1
OG0007209	AL8G20840	XP_006395210.1
OG0007210	AL6G21010	XP_006399547.1
OG0007211	AL6G20810	XP_006399525.1
OG0007212	AL6G20650	XP_024011738.1
OG0007213	AL6G20620	XP_006399503.1
OG0007214	AL6G20510	XP_006399495.1
OG0007215	AL6G20260	XP_024011813.1
OG0007217	AL6G19660	XP_024011520.1
OG0007218	AL6G19360	XP_024011656.1
OG0007219	AL6G19250	XP_006399355.1
OG0007220	AL6G18760	XP_024012628.1
OG0007221	AL6G18560	XP_006399303.1
OG0007222	AL6G18520	XP_006399301.1
OG0007223	AL6G18240	XP_006399273.1
OG0007224	AL6G50040	XP_024010153.1
OG0007225	AL6G49870	XP_006396534.1
OG0007226	AL6G49860	XP_006396535.1
OG0007227	AL6G49720	XP_006396551.1
OG0007228	AL7G28090	XP_006413350.1
OG0007229	AL7G28320	XP_006413375.1
OG0007230	AL7G28520	XP_024004475.1, XP_024004464.1
OG0007231	AL4G19850	XP_006397367.1
OG0007232	AL4G20250	XP_006408602.2
OG0007233	AL4G20880	XP_006408647.1
OG0007234	AL4G21250	XP_024016083.1, XP_006408702.1
OG0007235	AL4G21350	XP_024016067.1
OG0007236	AL4G21490	XP_006409774.2
OG0007237	AL4G22570	XP_006409781.1
OG0007238	AL4G12830, AL4G22350	XP_024016769.1
OG0007239	AL4G21780	XP_006409855.1
OG0007240	AL4G21610	XP_006409866.1
OG0007241	AL4G21550	XP_006409871.1
OG0007242	AL4G23110	XP_006409891.1
OG0007243	AL4G23380	XP_006409919.1
OG0007244	AL4G23440	XP_024003738.1
OG0007245	AL146U10030	XP_006409943.1
OG0007246	AL4G23600, AL146U10010	XP_006409944.2
OG0007247	AL4G24420	XP_006410025.1
OG0007248	AL4G24440	XP_006410030.1
OG0007249	AL4G24810	XP_006410055.2
OG0007250	AL500U10010, AL4G24860	XP_006410062.1
OG0007251	AL6G33600	XP_006400762.2
OG0007252	AL4G25230	XP_006410118.1
OG0007253	AL4G25390	XP_024004097.1
OG0007254	AL4G26030	XP_006410215.1
OG0007255	AL4G26040	XP_006410217.1
OG0007256	AL4G26310	XP_006410239.1
OG0007257	AL4G26630	XP_006410272.1
OG0007258	AL4G26720	XP_006410282.1
OG0007259	AL4G27400	XP_006410339.1
OG0007260	AL4G27850	XP_006410379.1
OG0007261	AL125U10020, AL4G27740	XP_024004109.1
OG0007262	AL4G27670	XP_006410361.1
OG0007263	AL4G28140	XP_006410398.2
OG0007264	AL4G28360	XP_006410419.1
OG0007265	AL4G28410	XP_006410428.1
OG0007266	AL4G28460	XP_006410431.1
OG0007267	AL4G28490	XP_006410435.1
OG0007268	AL4G28650	XP_006410449.1
OG0007269	AL4G29010	XP_006410475.1
OG0007270	AL4G29040	XP_024003828.1
OG0007271	AL8G16220	XP_006403165.2
OG0007272	AL8G15830	XP_006403130.1
OG0007273	AL7G27950	XP_006413330.1
OG0007274	AL7G27810	XP_006413318.1
OG0007275	AL7G27450	XP_006413287.1
OG0007276	AL7G27320	XP_006413279.1
OG0007277	AL1G53430	XP_006393595.1
OG0007278	AL1G53400	XP_006393603.1
OG0007279	AL1G53110	XP_006393635.1
OG0007280	AL1G53370	XP_006393613.1
OG0007281	AL1G53380	XP_006393611.1
OG0007282	AL1G41240	XP_024009161.1
OG0007283	AL1G41470	XP_024008692.1
OG0007284	AL1G41620	XP_006415696.1
OG0007285	AL1G41980	XP_024009152.1
OG0007286	nbis-gene-170, nbis-gene-1543	XP_024008416.1
OG0007287	AL1G42840	XP_006415611.2
OG0007288	AL1G42860	XP_006415609.1
OG0007289	AL1G42960	XP_006415600.1
OG0007290	AL1G43090	XP_006415589.1
OG0007292	AL1G43920	XP_006415520.1
OG0007293	AL1G44160	XP_006415498.1
OG0007294	AL1G44250	XP_006415488.1
OG0007295	AL1G44290	XP_006415483.1
OG0007296	AL1G44390	XP_006415472.1
OG0007297	AL1G44520	XP_006415465.2
OG0007299	AL1G44850	XP_006415426.1
OG0007300	AL1G45160	XP_006415398.1
OG0007301	AL1G45170	XP_006415397.1
OG0007302	AL1G45440	XP_006415378.1
OG0007303	AL1G49770	XP_006415349.1
OG0007304	AL1G49680	XP_006415336.1
OG0007305	AL1G49550	XP_006415321.1
OG0007306	AL1G46180	XP_006410713.2
OG0007307	AL1G46210	XP_006415249.1
OG0007308	AL1G46250	XP_006415244.1
OG0007309	AL1G46380	XP_006415234.1
OG0007310	AL1G46590	XP_006415200.1
OG0007311	AL1G46680	XP_006415196.1
OG0007312	AL5G11830	XP_006395775.1
OG0007313	AL5G12610	XP_006395743.1
OG0007314	AL5G12640	XP_006395741.1
OG0007315	AL5G12850	XP_006395734.1
OG0007316	AL5G13050	XP_006395712.1
OG0007317	AL8G44740	XP_006393866.1
OG0007318	AL8G44120	XP_024007489.1
OG0007319	AL8G43980	XP_006393932.1
OG0007320	AL8G43960	XP_006393935.1
OG0007321	AL7G24350	XP_006412979.1
OG0007322	AL8G43870	XP_006393947.1
OG0007323	AL8G43490	XP_006393988.1
OG0007324	AL8G43330	XP_006393997.1
OG0007325	AL8G43320	XP_006393998.1
OG0007326	AL8G43050	XP_006394027.1
OG0007327	AL8G42930	XP_006394045.1
OG0007328	AL8G42860	XP_006394051.1
OG0007329	AL8G42590	XP_006394079.2
OG0007330	AL8G42280	XP_006394109.1
OG0007331	AL8G42250	XP_006394112.1
OG0007332	AL8G42090	XP_006394126.1
OG0007333	AL8G41930	XP_024006793.1
OG0007334	AL1G11040	XP_006394060.2
OG0007335	AL8G41810	XP_006410843.1, XP_006394153.1
OG0007336	AL8G41800	XP_006394154.1
OG0007337	AL8G41750	XP_006394158.1
OG0007338	AL8G41710	XP_006394163.1
OG0007339	AL8G41400	XP_006394196.1
OG0007340	AL8G41260	XP_006394215.1
OG0007341	AL8G41240	XP_006394218.2
OG0007342	AL8G41130	XP_006394230.1
OG0007343	AL8G41070	XP_006394238.1
OG0007344	AL8G41010	XP_006394242.1
OG0007345	AL8G40270	XP_024007142.1
OG0007346	AL8G40250	XP_006394307.1
OG0007347	AL8G40200	XP_024004573.1
OG0007348	AL8G40190	XP_006394311.1
OG0007349	AL8G40150	XP_006394316.1
OG0007350	AL8G39740	XP_006394352.1
OG0007351	AL8G39330	XP_024006786.1
OG0007352	AL8G39310	XP_006394394.1
OG0007353	AL8G39090	XP_006394414.1
OG0007354	AL8G38720	XP_006394448.1
OG0007355	AL7G42690	XP_006414851.1
OG0007356	AL653U10020	XP_006394482.1
OG0007357	AL1041U10010, AL8G38320	XP_006394489.2
OG0007358	AL8G38270	XP_024006739.1
OG0007359	AL8G38230	XP_006394495.1
OG0007360	AL8G38000	XP_006394517.2
OG0007361	AL8G37690	XP_024007325.1
OG0007362	AL8G37550	XP_024007600.1
OG0007363	AL8G37540	XP_006394554.1
OG0007364	AL6G34290	XP_006394578.1
OG0007365	AL6G34890	XP_006394623.1
OG0007366	AL6G34980	XP_006394632.1
OG0007367	AL6G35030	XP_024007451.1
OG0007368	AL6G35230	XP_006394652.2
OG0007369	AL6G35560	XP_006394674.1
OG0007370	AL6G35680	XP_006394680.1
OG0007371	AL6G35850	XP_006394691.1
OG0007372	AL6G36050	XP_006394703.1
OG0007374	AL6G36230	XP_006394718.1
OG0007375	AL6G36240	XP_006394719.1
OG0007376	AL6G36300	XP_006394722.1
OG0007377	AL6G36670, AL6G36680	XP_006394753.1
OG0007378	AL6G36710	XP_006394755.1
OG0007379	AL6G36720	XP_006394754.1
OG0007380	AL6G37100	XP_006394788.1, XP_024007411.1
OG0007381	AL6G37290	XP_006394802.1
OG0007382	AL6G37340	XP_006394806.1
OG0007383	AL6G37630, AL3G45760	XP_006394825.1
OG0007384	AL6G30890	XP_006400499.1
OG0007385	AL6G30840	XP_006400492.1
OG0007386	AL6G31190	XP_006400530.1
OG0007387	AL6G31200	XP_024011773.1
OG0007388	AL6G31310	XP_006400539.1
OG0007389	AL6G31380	XP_024011437.1
OG0007390	AL6G31390	XP_024011438.1
OG0007391	AL6G31470	XP_006400558.1
OG0007392	AL6G31650	XP_006400577.1
OG0007393	AL6G31700	XP_006400582.1
OG0007394	AL6G32050	XP_006400615.1
OG0007395	AL6G32300	XP_024011494.1
OG0007396	nbis-gene-1546	XP_024011495.1
OG0007397	AL6G32500	XP_006400662.1
OG0007398	AL6G32530	XP_006400668.1
OG0007399	AL6G32780	XP_006400686.1
OG0007400	AL6G32900	XP_006400699.1
OG0007401	AL6G32950	XP_006400704.1
OG0007402	AL6G33470	XP_006400751.1
OG0007403	AL6G33590	XP_024005716.1
OG0007404	AL6G33760	XP_006400779.1
OG0007405	AL6G33810	XP_006400783.1
OG0007406	AL6G34080, AL5G32330	XP_006400803.1
OG0007407	AL8G37380	XP_024011517.1
OG0007408	AL8G37300	XP_024011577.1
OG0007409	AL8G37120	XP_006400840.1
OG0007410	AL1G55040	XP_006393417.1
OG0007411	AL71U10010, AL8G36650	XP_006400886.1
OG0007412	AL8G25910	XP_006401932.1
OG0007413	AL8G36560	XP_006400892.1
OG0007414	AL8G36530	XP_006400895.1
OG0007415	AL4G31080	XP_006410663.1
OG0007416	AL8G36230	XP_006400926.1
OG0007417	AL8G35780	XP_006400972.1
OG0007418	AL8G35190	XP_024012540.1
OG0007419	AL48U10090, AL8G35470	XP_006401003.1
OG0007420	AL8G35380	XP_006401014.1
OG0007421	AL3G40340, AL277U10020	XP_006401031.2
OG0007422	AL8G35050	XP_006401043.1
OG0007423	AL8G34990	XP_006401051.1
OG0007424	AL8G34750	XP_006401073.1
OG0007425	AL8G34730	XP_006401075.1
OG0007426	AL7G45820	XP_006401078.1
OG0007427	AL8G34110	XP_006401139.1
OG0007428	AL8G33910	XP_006401159.1
OG0007429	AL8G33890	XP_006401163.1
OG0007430	AL8G33850	XP_006401166.1
OG0007431	nbis-gene-2165	XP_006401182.1
OG0007432	AL8G33400	XP_006401206.1
OG0007433	AL8G24860	XP_006402075.1
OG0007434	AL8G32900	XP_006401256.1
OG0007435	AL8G32930	XP_006401252.1
OG0007436	AL8G33030	XP_006401244.1
OG0007437	AL8G33040	XP_024012697.1
OG0007438	AL8G33080	XP_024012563.1
OG0007439	AL8G32740	XP_006401272.2
OG0007440	AL8G32290	XP_006401311.1
OG0007441	AL8G31820	XP_006401366.1
OG0007442	AL8G31740	XP_006401377.1
OG0007443	AL8G31500	XP_006401398.1
OG0007444	AL7G23910, AL7G23920	XP_006412929.1
OG0007445	AL8G31160	XP_006401435.1
OG0007446	AL8G30590	XP_024011188.1
OG0007447	AL8G30510	XP_006401500.1
OG0007448	AL8G30400	XP_006401508.1
OG0007449	AL5G29440	XP_006404125.1
OG0007450	AL5G28760, AL5G28840	XP_024013510.1
OG0007451	AL5G28260	XP_006404219.1
OG0007452	AL8G29240	XP_006401626.1
OG0007453	AL8G29580	XP_006401592.1
OG0007454	AL8G28770	XP_024011912.1
OG0007455	AL6G50840	XP_006396437.1
OG0007456	AL6G50780	XP_006396441.1
OG0007457	AL6G50300	XP_006396485.1
OG0007458	AL6G50140	XP_006396503.1, XP_024016624.1
OG0007459	AL6G17760	XP_006399228.1
OG0007460	AL6G17540	XP_006399212.2
OG0007461	AL6G17490	XP_006399207.1
OG0007462	AL6G17180	XP_006399181.1
OG0007463	AL6G16790	XP_006399144.1
OG0007464	AL6G16580	XP_006399122.1
OG0007465	AL6G16560	XP_006399120.1
OG0007466	AL6G16340	XP_006399100.1
OG0007467	AL6G15740	XP_006399044.1
OG0007468	AL6G15520	XP_006399022.1
OG0007469	AL6G15080, AL6G14330	XP_006398986.1
OG0007470	AL6G15050	XP_006398983.1
OG0007471	AL6G14480	XP_006398934.1
OG0007472	AL6G14200	XP_024011657.1
OG0007473	AL6G13930	XP_024011775.1
OG0007474	AL6G13800	XP_006398874.1
OG0007475	AL3G21520	XP_006407598.1
OG0007476	AL6G13480	XP_006398850.1
OG0007477	AL6G13410	XP_024009640.1, XP_006398842.1
OG0007478	AL6G13060	XP_024011570.1
OG0007479	AL6G12740	XP_006398790.1
OG0007480	AL5G24810, AL6G12730	XP_006402113.1
OG0007482	AL6G12460	XP_006398765.1
OG0007483	AL6G12440	XP_006398763.1
OG0007484	AL6G12370	XP_006398758.2
OG0007485	AL6G12000	XP_006398728.1
OG0007487	AL6G11790	XP_006398711.1
OG0007488	AL6G11640	XP_006398701.1
OG0007489	AL6G11650	XP_006398702.1
OG0007490	AL6G11660	XP_006398703.1
OG0007491	AL6G11720	XP_006398707.1
OG0007492	AL8G23740, AL3G43490, AL9U10330, AL6G11450	XP_006398685.1
OG0007493	AL6G11130	XP_006398654.1
OG0007494	AL6G11120	XP_006398653.1
OG0007495	AL6G10970	XP_006398643.1
OG0007496	AL6G10910	XP_006398636.2
OG0007497	AL6G10800	XP_006398629.1
OG0007498	AL6G10170	XP_006398573.1
OG0007499	AL7G48510	XP_006405403.1
OG0007500	AL7G47460	XP_006405306.1
OG0007501	AL7G47320	XP_006405296.1
OG0007502	AL7G47110	XP_006405279.1
OG0007503	AL2G41690	XP_006389715.1
OG0007504	AL2G40940	XP_006389807.1
OG0007505	AL2G40860	XP_006389812.1
OG0007506	AL2G40850	XP_006389814.1, XP_006405081.2
OG0007507	AL2G40760	XP_006389822.1
OG0007508	AL2G40650	XP_006389831.1
OG0007509	AL2G40430	XP_006389853.1
OG0007510	AL6G12410, AL2G40330	XP_024006710.1
