Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_oleracea
OG0005964	AL1G30030	XP_013614688.1, XP_013587053.1
OG0005965	AL1G30520	XP_013638924.1, XP_013601508.1, XP_013603328.1
OG0005966	AL1G30700	XP_013637873.1
OG0005967	AL1G31010	XP_013605385.1, XP_013604907.1, XP_013584153.1
OG0005968	AL1G31720	XP_013583583.1, XP_013602510.1
OG0005969	AL1G31920	XP_013602895.1, XP_013583648.1, XP_013600309.1
OG0005970	AL1G32440	XP_013600610.1, XP_013585398.1
OG0005971	AL1G32880	XP_013595656.1, XP_013603961.1, XP_013583962.1
OG0005972	AL1G34770	XP_013597800.1, XP_013604222.1, XP_013585912.1
OG0005973	AL1G35290, AL1G35150	XP_013583613.1
OG0005974	AL1G35550	XP_013584918.1, XP_013596497.1, XP_013603631.1
OG0005975	AL1G35670	XP_013603374.1, XP_013584406.1, XP_013596273.1
OG0005976	AL1G35740	XP_013600191.1
OG0005977	AL1G36010	XP_013584555.1, XP_013596038.1, XP_013603073.1
OG0005978	AL1G36030, AL1G36040	XP_013585158.1
OG0005979	AL1G36360	XP_013638548.1, XP_013596951.1
OG0005980	AL2G31340	XP_013591357.1, XP_013618911.1, XP_013589724.1
OG0005981	AL2G31140	XP_013589997.1
OG0005982	AL2G30650	XP_013615156.1, XP_013592054.1, XP_013587854.1
OG0005983	AL2G30130	XP_013588173.1, XP_013621428.1
OG0005984	AL1G47200	XP_013583927.1, XP_013615376.1
OG0005985	AL2G11790	XP_013607175.1, XP_013621905.1, XP_013606061.1
OG0005986	AL2G15230	XP_013606087.1, XP_013636647.1
OG0005987	AL2G18070	XP_013593065.1, XP_013613266.1
OG0005988	AL7G47180	XP_013589884.1
OG0005989	AL2G26440	XP_013591780.1, XP_013614887.1, XP_013592600.1
OG0005990	AL8G11650	XP_013619500.1, XP_013597126.1, XP_013608774.1
OG0005991	AL8G11520	XP_013593356.1, XP_013615202.1, XP_013606554.1
OG0005992	AL8G10400	XP_013618553.1, XP_013595474.1
OG0005993	AL8G10350	XP_013621054.1, XP_013598578.1
OG0005994	AL8G10220	XP_013599068.1, XP_013608873.1, XP_013613824.1
OG0005995	AL6G49170	XP_013611389.1, XP_013626601.1
OG0005996	AL7G22590	XP_013594177.1, XP_013611141.1, XP_013609777.1
OG0005997	AL1G54460	XP_013589892.1
OG0005998	AL7G11290	XP_013588009.1, XP_013598445.1
OG0005999	AL1G40870	XP_013586646.1, XP_013625488.1
OG0006000	AL1G55910	XP_013639587.1, XP_013588972.1
OG0006001	AL1G56290	XP_013585038.1, XP_013601075.1
OG0006002	AL7G12030	XP_013591942.1, XP_013627444.1
OG0006003	AL7G12190	XP_013626368.1
OG0006004	AL7G13120	XP_013623665.1
OG0006005	AL7G13550	XP_013597342.1, XP_013627669.1, XP_013619218.1
OG0006006	AL7G13830	XP_013616461.1, XP_013596258.1
OG0006007	AL7G14260	XP_013583998.1, XP_013627348.1, XP_013596505.1
OG0006008	AL7G14570	XP_013595763.1, XP_013606626.1, XP_013625067.1
OG0006009	AL7G14660	XP_013595832.1, XP_013639129.1
OG0006010	AL7G14930	XP_013588814.1, XP_013603264.1
OG0006011	AL7G15360	XP_013621761.1
OG0006012	AL7G16150	XP_013626028.1, XP_013595669.1, XP_013583842.1
OG0006013	AL7G16240	XP_013597951.1
OG0006014	AL7G16500	XP_013595452.1
OG0006015	AL7G16850	XP_013610092.1, XP_013595913.1, XP_013625060.1
OG0006016	AL7G18820	XP_013605554.1, XP_013584743.1, XP_013596132.1
OG0006017	AL7G18170	XP_013619710.1, XP_013628817.1, XP_013584854.1
OG0006018	AL7G17890	XP_013606968.1
OG0006019	AL7G17880	XP_013606987.1, XP_013598536.1
OG0006020	AL7G17870	XP_013598535.1, XP_013629753.1
OG0006021	AL7G19850	XP_013596917.1, XP_013593437.1
OG0006022	AL7G20780	XP_013625269.1, XP_013636666.1
OG0006023	AL7G20870	XP_013598986.1, XP_013598554.1
OG0006024	AL7G21200	XP_013609061.1, XP_013595161.1, XP_013630571.1
OG0006026	AL2G31640	XP_013620328.1, XP_013592228.1
OG0006027	AL2G31580	XP_013590282.1, XP_013618358.1, XP_013590554.1
OG0006029	AL1G37560	XP_013637702.1, XP_013604865.1
OG0006030	AL1G39260	XP_013585710.1, XP_013626550.1, XP_013595401.1
OG0006031	AL6G52170	XP_013628963.1, XP_013612306.1
OG0006032	AL6G52120	XP_013609462.1, XP_013628624.1
OG0006033	AL6G53460	XP_013610255.1, XP_013621948.1
OG0006035	AL7G26250	XP_013593804.1, XP_013605462.1, XP_013608058.1
OG0006036	AL7G25110	XP_013600834.1, XP_013594121.1
OG0006037	AL5G13490	XP_013618557.1, XP_013609668.1, XP_013596546.1
OG0006038	AL1G15640	XP_013605712.1
OG0006039	AL1G23350	XP_013602219.1, XP_013600835.1, XP_013583518.1
OG0006040	AL1G29280, AL1G29260	XP_013603442.1, XP_013605721.1, XP_013587445.1
OG0006041	AL1G39130	XP_013627619.1, XP_013596530.1
OG0006042	AL1G39960	XP_013625765.1, XP_013583837.1, XP_013595297.1
OG0006043	AL1G40070	XP_013638949.1, XP_013630438.1, XP_013598419.1
OG0006044	AL8G32240	XP_013612108.1
OG0006045	AL1G51650	XP_013617838.1, XP_013626204.1
OG0006047	AL3G21770	XP_013587247.1, XP_013628590.1, XP_013595602.1
OG0006049	AL5G10100	XP_013595636.1, XP_013618561.1, XP_013609457.1
OG0006050	AL5G13940	XP_013613647.1, XP_013596246.1, XP_013610371.1
OG0006051	AL5G19840	XP_013599285.1, XP_013619244.1, XP_013609475.1, XP_013611092.1
OG0006053	AL5G30720	XP_013603704.1
OG0006055	AL7G35770	XP_013627512.1, XP_013594834.1, XP_013597422.1, XP_013597338.1
OG0006056	AL7G36280	XP_013606638.1
OG0006057	AL8G17150, nbis-gene-2015, AL97U10020, AL97U10010, AL8G17140	XP_013609705.1
OG0006059	AL8G27620, AL8G27610	XP_013622203.1
OG0006060	AL9U11960	YP_004927501.1
OG0006062	nbis-gene-963	XP_013602909.1
OG0006075	AL7G21690	XP_013638424.1, XP_013596109.1
OG0006076	AL7G21540	XP_013602422.1, XP_013599031.1
OG0006077	AL7G21510	XP_013595508.1, XP_013637381.1
OG0006078	AL7G30470	XP_013596734.1, XP_013588049.1
OG0006079	AL5G26570	XP_013626622.1
OG0006080	AL5G27360	XP_013604325.1
OG0006081	AL5G27470	XP_013615487.1, XP_013626169.1, XP_013614564.1, XP_013604542.1
OG0006082	AL5G10030	XP_013598484.1, XP_013614069.1
OG0006083	AL5G10070	XP_013598056.1
OG0006084	AL5G10430	XP_013621087.1, XP_013614550.1
OG0006085	AL5G10470	XP_013593018.1, XP_013621681.1
OG0006086	AL6G29330	XP_013622953.1, XP_013619451.1, XP_013615093.1
OG0006087	AL6G47180, AL4G20980	XP_013615130.1, XP_013631114.1
OG0006088	AL6G28780	XP_013606425.1, XP_013620285.1
OG0006089	AL6G28670	XP_013610364.1
OG0006090	AL6G28200	XP_013630815.1, XP_013616481.1
OG0006091	AL6G28090	XP_013629602.1, XP_013616156.1
OG0006092	AL2G14600	XP_013587984.1
OG0006093	AL3G31860	XP_013585315.1, XP_013584816.1, XP_013626111.1
OG0006094	AL6G27320	XP_013625183.1, XP_013615949.1
OG0006095	AL6G27170	XP_013628189.1, XP_013611145.1
OG0006096	AL6G27050	XP_013616575.1, XP_013627270.1
OG0006097	AL6G26610	XP_013618376.1, XP_013611984.1
OG0006098	AL5G18810	XP_013595505.1, XP_013614467.1
OG0006099	AL6G26520	XP_013628170.1, XP_013619283.1
OG0006100	AL6G26480	XP_013616341.1, XP_013625322.1
OG0006101	AL6G26440	XP_013611590.1, XP_013620597.1
OG0006102	AL6G26260	XP_013620771.1, XP_013611998.1
OG0006103	AL6G26230	XP_013625514.1, XP_013608790.1
OG0006104	AL6G26190	XP_013607182.1, XP_013625855.1, XP_013616160.1
OG0006105	AL6G26040	XP_013619246.1, XP_013627168.1, XP_013614400.1
OG0006106	AL3G16340	XP_013628553.1
OG0006107	AL7G21880	XP_013598677.1, XP_013622915.1
OG0006108	AL3G48250	XP_013611914.1, XP_013597198.1
OG0006109	AL6G47050	XP_013608841.1
OG0006110	AL6G25490	XP_013621151.1, XP_013612470.1
OG0006111	AL6G25480	XP_013621152.1, XP_013610628.1, XP_013623463.1
OG0006112	AL6G40770	XP_013620467.1
OG0006113	AL5G10410	XP_013614549.1, XP_013619403.1
OG0006114	AL6G25070	XP_013626659.1, XP_013616131.1
OG0006115	AL6G25040	XP_013627652.1, XP_013610539.1, XP_013635711.1
OG0006116	AL8G44270, AL6G25020	XP_013612722.1, XP_013629852.1
OG0006117	AL7G45930, AL4G16080	XP_013614888.1
OG0006118	AL6G24440	XP_013615381.1, XP_013622676.1
OG0006119	AL6G24340	XP_013621259.1, XP_013612357.1
OG0006120	AL6G24150	XP_013625507.1
OG0006121	AL6G24100	XP_013612879.1, XP_013629338.1
OG0006122	nbis-gene-1513	XP_013612899.1, XP_013609545.1
OG0006123	AL6G23910	XP_013612173.1
OG0006124	AL6G23870	XP_013626579.1, XP_013609826.1, XP_013619428.1
OG0006125	AL6G23580	XP_013611074.1, XP_013619472.1, XP_013628102.1
OG0006126	AL6G23500	XP_013618606.1, XP_013626675.1
OG0006127	AL6G23370	XP_013622452.1, XP_013611223.1
OG0006128	AL6G23260	XP_013622702.1, XP_013612545.1
OG0006129	AL6G23210	XP_013625712.1, XP_013608967.1
OG0006130	AL6G22540	XP_013622633.1, XP_013616334.1
OG0006131	AL6G22170	XP_013608836.1, XP_013621275.1, XP_013628724.1
OG0006132	AL6G21870	XP_013612355.1
OG0006133	AL6G20500	XP_013629586.1
OG0006134	AL6G20010	XP_013606468.1
OG0006135	AL6G19390	XP_013620644.1, XP_013611571.1
OG0006136	AL6G19350	XP_013611209.1
OG0006137	AL6G19230	XP_013629987.1, XP_013612086.1
OG0006138	AL6G18810	XP_013622851.1
OG0006139	AL6G18690	XP_013625742.1, XP_013608791.1
OG0006140	AL6G18540	XP_013610657.1, XP_013619018.1
OG0006141	AL6G18220	XP_013623381.1, XP_013609017.1
OG0006142	AL6G18020	XP_013607217.1, XP_013612313.1
OG0006143	AL6G49950	XP_013607400.1, XP_013625849.1
OG0006144	AL6G49910	XP_013621862.1, XP_013611483.1
OG0006145	AL6G49850	XP_013623316.1
OG0006146	AL6G49710	XP_013619463.1
OG0006147	AL6G49680	XP_013608630.1
OG0006148	AL6G49670	XP_013608628.1, XP_013629034.1
OG0006149	AL6G49630	XP_013601880.1, XP_013608638.1
OG0006150	AL7G28020	XP_013598541.1, XP_013619504.1
OG0006151	AL7G28180	XP_013605225.1, XP_013602044.1
OG0006152	AL4G20580	XP_013633323.1, XP_013636662.1, XP_013636695.1
OG0006153	AL4G20740, AL4G20640	XP_013631351.1, XP_013626245.1
OG0006154	AL4G21260	XP_013632009.1, XP_013625896.1
OG0006155	AL4G21450	XP_013636787.1, XP_013637637.1
OG0006156	AL4G22520	XP_013634817.1, XP_013634582.1
OG0006157	AL4G22080	XP_013622673.1, XP_013635578.1
OG0006158	nbis-gene-1020	XP_013633299.1, XP_013633289.1
OG0006159	AL4G21890	XP_013633748.1
OG0006160	AL4G21640	XP_013631578.1, XP_013630559.1
OG0006161	AL4G21580	XP_013635863.1, XP_013635511.1
OG0006162	AL4G23240	XP_013635190.1, XP_013635319.1
OG0006163	AL2G31560	XP_013616004.1, XP_013588729.1
OG0006164	AL558U10030, AL1G30300, AL4G23980	XP_013631733.1
OG0006165	AL4G24240	XP_013636138.1
OG0006166	AL4G24250	XP_013636136.1
OG0006167	nbis-gene-1036	XP_013632677.1
OG0006168	AL4G24790	XP_013630917.1, XP_013636841.1, XP_013622508.1
OG0006169	AL4G25060	XP_013634780.1, XP_013627753.1, XP_013635199.1
OG0006170	AL4G25200	XP_013634930.1, XP_013634737.1
OG0006171	AL4G25210	XP_013632182.1, XP_013622472.1
OG0006172	AL4G25260	XP_013635742.1, XP_013634676.1
OG0006173	AL4G25600	XP_013637522.1, XP_013629100.1
OG0006174	AL4G25810	XP_013622080.1, XP_013636508.1
OG0006175	AL4G25860	XP_013632038.1
OG0006176	AL5G22210, AL4G26000	XP_013631015.1, XP_013635897.1
OG0006177	AL4G26830, AL762U10010	XP_013628158.1, XP_013633579.1
OG0006178	AL5G34840, AL4G26850	XP_013628154.1
OG0006179	AL4G27050	XP_013637460.1, XP_013637126.1
OG0006180	AL4G27070	XP_013631425.1, XP_013622377.1
OG0006181	AL4G27950	XP_013635629.1, XP_013627842.1
OG0006182	AL4G27910	XP_013633562.1
OG0006183	AL4G27790	XP_013631355.1, XP_013628894.1, XP_013636170.1
OG0006184	AL4G27590	XP_013635289.1
OG0006185	AL4G28480	XP_013631835.1, XP_013632218.1
OG0006186	AL8G17060	XP_013612811.1, XP_013621426.1
OG0006187	AL3G38190	XP_013598843.1
OG0006188	AL8G16280	XP_013607336.1, XP_013616670.1
OG0006189	AL8G16170	XP_013599345.1, XP_013608575.1
OG0006190	AL8G16110	XP_013621479.1, XP_013597936.1
OG0006191	AL8G16000	XP_013610130.1, XP_013598130.1, XP_013620880.1
OG0006192	AL7G27820	XP_013596501.1, XP_013599709.1
OG0006193	AL1G53790	XP_013592335.1
OG0006194	AL1G53230	XP_013589911.1, XP_013603200.1
OG0006195	AL1G41270	XP_013584948.1, XP_013594644.1, XP_013627730.1
OG0006196	AL1G41390	XP_013629612.1
OG0006197	AL1G41890	XP_013593055.1, XP_013623457.1, XP_013638451.1
OG0006198	AL1G42130	XP_013625812.1, XP_013596774.1
OG0006199	AL1G42140	XP_013587025.1, XP_013629688.1
OG0006200	AL1G42450	XP_013627923.1, XP_013585289.1
OG0006201	AL1G42910	XP_013596024.1, XP_013626487.1
OG0006202	AL1G43080	XP_013596832.1, XP_013627768.1, XP_013584975.1
OG0006203	AL1G43140	XP_013621726.1
OG0006204	AL1G43590	XP_013622169.1, XP_013585513.1
OG0006205	AL1G43820	XP_013593759.1, XP_013611938.1
OG0006206	AL1G43950	XP_013627131.1, XP_013584942.1
OG0006207	AL1G43980	XP_013626369.1, XP_013584963.1
OG0006208	AL1G44090, AL700U10010	XP_013585154.1
OG0006209	AL1G44260	XP_013623067.1, XP_013638733.1
OG0006210	AL1G44320	XP_013638764.1
OG0006211	AL1G44380	XP_013585906.1, XP_013635723.1
OG0006212	AL1G44490	XP_013594956.1, XP_013639499.1
OG0006213	AL1G49740	XP_013595821.1, XP_013584442.1
OG0006214	AL1G45890	XP_013583838.1, XP_013584027.1, XP_013614488.1
OG0006215	AL1G46150	XP_013587088.1, XP_013587305.1
OG0006216	AL8G41660	XP_013612678.1, XP_013629636.1
OG0006217	AL1G46370	XP_013586232.1, XP_013586275.1
OG0006218	AL5G11920	XP_013596001.1, XP_013607105.1
OG0006219	AL5G12410	XP_013599420.1, XP_013621461.1
OG0006220	AL5G13190	XP_013596087.1, XP_013614368.1
OG0006221	AL5G13280	XP_013606519.1, XP_013618269.1
OG0006222	AL3G31470	XP_013637833.1
OG0006223	AL8G44560	XP_013607583.1
OG0006224	AL8G44530	XP_013597483.1, XP_013619750.1
OG0006225	AL8G43890	XP_013607417.1, XP_013587456.1, XP_013616335.1, XP_013593247.1
OG0006226	AL8G43680	XP_013619917.1, XP_013627015.1
OG0006227	AL334U10030	XP_013619048.1, XP_013626012.1
OG0006228	AL8G43180	XP_013625923.1, XP_013618886.1, XP_013606218.1
OG0006229	AL8G43120	XP_013628399.1, XP_013616541.1
OG0006230	AL8G43090	XP_013612082.1, XP_013628398.1
OG0006231	AL666U10010, AL8G42890	XP_013613639.1, XP_013622099.1
OG0006232	AL8G42690	XP_013609268.1, XP_013613624.1, XP_013625690.1
OG0006233	AL8G42620	XP_013628100.1, XP_013609091.1
OG0006234	AL8G42500	XP_013608938.1, XP_013623003.1
OG0006235	AL8G42400	XP_013619857.1
OG0006236	AL8G42270	XP_013619312.1, XP_013623106.1
OG0006237	AL8G42100	XP_013622378.1, XP_013610912.1, XP_013589679.1, XP_013618528.1
OG0006238	AL8G41630	XP_013610766.1, XP_013628988.1
OG0006239	AL8G41350	XP_013618321.1, XP_013622668.1
OG0006240	AL8G41230	XP_013621375.1, XP_013629676.1
OG0006241	AL8G41090	XP_013611385.1, XP_013622013.1
OG0006242	AL8G40630	XP_013606008.1, XP_013622626.1
OG0006243	AL8G40170	XP_013612552.1, XP_013622101.1
OG0006244	AL8G40040	XP_013621901.1
OG0006245	AL8G39980	XP_013623556.1, XP_013609034.1
OG0006246	AL4G30990	XP_013631102.1, XP_013634117.1
OG0006247	AL8G39770	XP_013628571.1, XP_013613189.1
OG0006248	AL8G39750	XP_013606466.1, XP_013628573.1
OG0006249	AL6G41010	XP_013609285.1
OG0006250	AL8G39490	XP_013613229.1, XP_013630604.1
OG0006251	AL8G39480	XP_013609188.1, XP_013630255.1
OG0006252	AL8G39220	XP_013604579.1, XP_013621805.1
OG0006253	AL8G39180	XP_013625384.1, XP_013621690.1
OG0006254	AL8G39080	XP_013618995.1, XP_013610143.1, XP_013625897.1
OG0006255	AL8G39060	XP_013621797.1, XP_013610593.1
OG0006256	AL8G39010	XP_013613061.1, XP_013620975.1
OG0006257	AL8G38360	XP_013616587.1, XP_013596262.1
OG0006258	AL8G37950	XP_013599223.1
OG0006259	AL8G37890	XP_013612918.1, XP_013598291.1
OG0006261	AL8G37630	XP_013592952.1, XP_013612405.1, XP_013606823.1
OG0006262	AL8G37610	XP_013595689.1, XP_013618814.1
OG0006263	AL8G37570	XP_013597477.1
OG0006264	AL6G34270	XP_013598132.1, XP_013612503.1
OG0006265	AL6G34550	XP_013597846.1, XP_013606328.1
OG0006266	AL6G34560	XP_013597843.1, XP_013606327.1
OG0006267	AL6G34800	XP_013609082.1, XP_013595542.1
OG0006268	AL6G34910	XP_013620526.1, XP_013611957.1
OG0006269	AL6G35470	XP_013608759.1, XP_013596670.1
OG0006270	AL6G35480	XP_013593585.1, XP_013612963.1
OG0006271	AL6G36440	XP_013618288.1, XP_013598287.1
OG0006272	AL6G36450	XP_013598286.1
OG0006273	AL6G36820	XP_013610006.1, XP_013618894.1
OG0006274	AL6G37310	XP_013598471.1, XP_013608799.1, XP_013621242.1
OG0006275	AL6G37660	XP_013620798.1, XP_013615246.1, XP_013595352.1
OG0006276	AL6G37680	XP_013595600.1, XP_013609293.1
OG0006277	AL6G37780	XP_013610011.1, XP_013593984.1
OG0006278	AL6G38160	XP_013596728.1
OG0006279	AL6G30950, AL6G30960	XP_013607348.1
OG0006280	AL6G30880	XP_013620948.1, XP_013612228.1
OG0006281	AL6G31210	XP_013619942.1, XP_013611248.1
OG0006282	AL6G31430	XP_013630006.1, XP_013612421.1
OG0006283	AL6G31580	XP_013616099.1, XP_013623282.1
OG0006284	AL5G13030, AL6G31740	XP_013623705.1, XP_013614933.1
OG0006285	AL8G23180	XP_013609292.1, XP_013595315.1
OG0006286	AL6G31860	XP_013623828.1, XP_013611495.1
OG0006287	AL6G32150	XP_013620435.1, XP_013611559.1
OG0006289	AL6G32920	XP_013623518.1, XP_013619676.1, XP_013610222.1
OG0006290	AL6G33050	XP_013618505.1
OG0006291	nbis-gene-1052, AL6G33090	XP_013625490.1
OG0006292	AL6G33220	XP_013608798.1, XP_013622097.1
OG0006293	AL8G37250	XP_013609470.1, XP_013618778.1, XP_013630122.1
OG0006294	AL4G18600	XP_013621262.1
OG0006294	AL8G37170	XP_013613205.1
OG0006295	AL8G36800, AL817U10010	XP_013610949.1, XP_013625777.1
OG0006296	AL3G48030	XP_013600448.1, XP_013614009.1
OG0006297	AL8G36350	XP_013610522.1, XP_013626246.1
OG0006298	AL139U10020, AL8G35300	XP_013613306.1
OG0006299	AL277U10010, AL3G40350	XP_013628101.1, XP_013620052.1
OG0006300	AL8G34450	XP_013620421.1, XP_013611021.1, XP_013629332.1
OG0006301	AL7G30980	XP_013593687.1
OG0006302	AL1G16200	XP_013604760.1, XP_013604589.1
OG0006303	AL8G34330	XP_013618211.1, XP_013612024.1, XP_013629089.1
OG0006304	AL8G34170	XP_013606579.1, XP_013623135.1
OG0006305	AL7G37410	XP_013599719.1, XP_013621274.1
OG0006306	AL8G33760	XP_013619395.1
OG0006307	AL8G33670	XP_013611796.1, XP_013607545.1, XP_013623102.1
OG0006308	AL8G33640	XP_013619303.1, XP_013610427.1, XP_013627144.1
OG0006309	AL2G31530	XP_013588357.1, XP_013616245.1
OG0006310	AL8G33240	XP_013622584.1, XP_013606186.1
OG0006311	AL8G32910	XP_013606590.1, XP_013621869.1, XP_013615663.1
OG0006312	AL8G32980	XP_013613292.1, XP_013606016.1
OG0006313	AL5G29500	XP_013629285.1
OG0006314	AL8G32800, AL52U10030	XP_013620938.1
OG0006316	AL8G32280	XP_013610774.1
OG0006317	AL8G32270	XP_013621214.1, XP_013626198.1, XP_013610054.1
OG0006318	AL8G31900	XP_013623034.1, XP_013611485.1
OG0006319	AL8G31670, AL2G24490, AL2G22990	XP_013608218.1
OG0006320	AL8G30670	XP_013606663.1, XP_013619035.1
OG0006321	AL7G43590	XP_013622574.1, XP_013597525.1, XP_013638568.1, XP_013615080.1
OG0006322	AL8G30110	XP_013609873.1, XP_013618411.1
OG0006323	AL5G29350	XP_013622434.1, XP_013605626.1
OG0006324	AL5G28940	XP_013629102.1, XP_013604511.1, XP_013616735.1
OG0006325	AL5G28900	XP_013600015.1, XP_013637818.1
OG0006326	AL5G28400	XP_013603538.1, XP_013622618.1
OG0006327	AL5G28250	XP_013616833.1, XP_013604801.1
OG0006328	AL8G29250	XP_013609785.1, XP_013621672.1
OG0006329	AL8G29390	XP_013623452.1, XP_013606070.1
OG0006330	AL6G50750	XP_013618602.1, XP_013625327.1
OG0006331	AL6G50180	XP_013608747.1
OG0006332	AL6G17520	XP_013606438.1
OG0006333	AL6G17550	XP_013619518.1, XP_013627875.1, XP_013610265.1
OG0006334	AL1G67190	XP_013633863.1, XP_013617804.1
OG0006335	AL6G17150	XP_013619808.1, XP_013611376.1
OG0006336	AL6G16870	XP_013609988.1, XP_013629850.1
OG0006337	AL6G16660	XP_013626387.1, XP_013610400.1
OG0006338	AL6G16620	XP_013621579.1, XP_013612616.1
OG0006339	AL6G16520, AL6G16990	XP_013609340.1
OG0006340	AL6G16440	XP_013618170.1, XP_013609081.1
OG0006341	AL6G16360	XP_013625501.1, XP_013606012.1
OG0006342	AL6G16270	XP_013625604.1
OG0006343	AL5G25420	XP_013609316.1, XP_013634496.1
OG0006344	AL6G15320	XP_013607127.1, XP_013625499.1
OG0006345	AL6G15250	XP_013609005.1
OG0006346	AL6G15020	XP_013608523.1, XP_013622269.1
OG0006347	AL6G14860	XP_013608526.1, XP_013608525.1, XP_013608812.1, XP_013625184.1
OG0006348	AL6G14630	XP_013611031.1, XP_013628259.1
OG0006349	AL6G14570	XP_013618509.1, XP_013626903.1
OG0006350	AL6G14560	XP_013611937.1, XP_013626899.1
OG0006351	AL6G14180	XP_013614608.1, XP_013609983.1
OG0006352	AL6G14140	XP_013609546.1, XP_013619591.1
OG0006353	AL6G14130	XP_013607109.1, XP_013623340.1
OG0006354	AL6G14030	XP_013613101.1, XP_013628917.1
OG0006355	AL1G13500, AL1G12230, AL6G13550	XP_013610482.1, XP_013620671.1
OG0006356	AL6G13460	XP_013623803.1, XP_013606314.1, XP_013614445.1
OG0006357	AL6G12700	XP_013628236.1
OG0006358	AL6G12500	XP_013623495.1, XP_013610713.1, XP_013619473.1
OG0006359	AL6G12430	XP_013618949.1, XP_013623652.1, XP_013606415.1
OG0006360	AL6G12340	XP_013621313.1
OG0006361	AL6G12320	XP_013619807.1, XP_013611296.1, XP_013625989.1
OG0006362	AL6G12020	XP_013621183.1, XP_013612618.1
OG0006363	AL6G11590	XP_013622514.1, XP_013613177.1
OG0006364	AL6G11700	XP_013609578.1, XP_013625612.1, XP_013618455.1
OG0006365	AL6G11710	XP_013609001.1, XP_013625919.1
OG0006366	AL6G11540	XP_013609799.1
OG0006367	AL6G11270	XP_013621997.1, XP_013608739.1
OG0006368	AL5G23600	XP_013606956.1
OG0006369	AL8G20880	XP_013620038.1, XP_013593056.1
OG0006370	AL6G10740	XP_013610158.1, XP_013626801.1, XP_013619736.1
OG0006371	AL3G31560	XP_013587552.1
OG0006372	AL7G47280, AL7G50530	XP_013592519.1, XP_013636892.1
OG0006373	AL1G33500, AL2G41240	XP_013621565.1
OG0006374	AL7G51770	XP_013591546.1
OG0006375	AL2G41090	XP_013591639.1, XP_013620330.1, XP_013587777.1
OG0006376	AL2G40890, AL4G18160	XP_013620405.1
OG0006377	AL2G40740	XP_013590397.1, XP_013628060.1, XP_013588622.1
OG0006378	AL2G40290	XP_013620448.1, XP_013591701.1
OG0006379	AL2G40000	XP_013592657.1
OG0006380	AL2G39990	XP_013592498.1, XP_013592656.1
OG0006381	AL2G38830	XP_013589711.1
OG0006382	AL2G38780	XP_013619478.1
OG0006383	AL2G38470	XP_013620154.1, XP_013590703.1
OG0006384	AL2G38010	XP_013590627.1, XP_013588714.1, XP_013617350.1, XP_013618917.1
OG0006385	AL2G37530	XP_013618524.1
OG0006386	AL7G36630	XP_013593248.1, XP_013603427.1
OG0006387	AL2G37100	XP_013590088.1
OG0006388	AL2G37010	XP_013613390.1, XP_013592334.1
OG0006389	AL2G36530	XP_013619595.1, XP_013588851.1
OG0006390	AL2G35720	XP_013621243.1, XP_013588159.1
OG0006391	AL2G35690	XP_013616458.1, XP_013592738.1
OG0006392	AL2G35560	XP_013590458.1, XP_013590537.1, XP_013619058.1
OG0006393	AL2G35290	XP_013619541.1, XP_013589800.1
OG0006394	AL2G35160	XP_013588123.1, XP_013616014.1, XP_013588453.1
OG0006395	AL1G56360	XP_013590481.1, XP_013590379.1
OG0006396	AL3G50230	XP_013625570.1, XP_013595898.1
OG0006397	AL3G50710	XP_013625373.1, XP_013593176.1
OG0006398	AL5G29780	XP_013620416.1, XP_013602922.1, XP_013598093.1
OG0006399	AL5G29770	XP_013603189.1, XP_013628809.1
OG0006400	AL8G30030	XP_013609202.1, XP_013625756.1
OG0006401	AL5G26940	XP_013639321.1, XP_013622890.1, XP_013630465.1
OG0006402	AL3G17510	XP_013621899.1, XP_013583716.1
OG0006403	AL1G64040	XP_013587839.1, XP_013629818.1
OG0006404	AL1G63890	XP_013625017.1, XP_013591218.1
OG0006405	AL1G63880	XP_013621713.1, XP_013591179.1
OG0006406	AL1G63600	XP_013588326.1, XP_013627960.1
OG0006407	AL5G13590, AL3G42500	XP_013618188.1, XP_013593268.1
OG0006408	AL1G63390	XP_013589901.1, XP_013625539.1
OG0006409	AL1G63080	XP_013592730.1, XP_013629644.1
OG0006410	AL1G62880	XP_013592816.1, XP_013590436.1, XP_013622821.1
OG0006411	AL1G62840	XP_013627125.1, XP_013591099.1, XP_013591175.1
OG0006412	AL1G62730	XP_013588474.1, XP_013621780.1
OG0006413	AL1G62320	XP_013613485.1, XP_013590135.1
OG0006414	AL1G62170	XP_013587758.1, XP_013625242.1, XP_013591878.1
OG0006415	AL1G61430	XP_013589067.1, XP_013588410.1
OG0006416	AL1G61410	XP_013629794.1, XP_013592282.1
OG0006417	AL4G32040	XP_013629804.1, XP_013636674.1, XP_013633564.1
OG0006418	AL4G32130, AL110U10020	XP_013634307.1, XP_013635023.1
OG0006420	AL7G35790	XP_013585566.1, XP_013594171.1
OG0006421	AL5G22480	XP_013614106.1, XP_013630536.1
OG0006422	AL5G22530	XP_013622599.1
OG0006423	AL5G20150	XP_013617839.1
OG0006424	AL7G43750	XP_013605652.1
OG0006425	AL8G27680	XP_013623487.1, XP_013606750.1
OG0006426	AL8G27760	XP_013620751.1, XP_013611178.1
OG0006427	AL8G23890	XP_013614301.1, XP_013607046.1
