Orthogroup	Arabidopsis_lyrata_Rawat	Brassica_rapa
OG0009896	AL7G51560	XP_009139811.1, XP_033145953.1
OG0009897	AL4G14970	XP_009140560.1
OG0009898	AL7G51880	XP_009125092.1
OG0009899	AL7G52040	XP_009125081.1, XP_018513667.1, XP_009139795.1
OG0009900	AL7G52660	XP_009139764.1, XP_009125063.1
OG0009901	AL7G46010	XP_009108080.1
OG0009902	AL7G45470	XP_033147446.1, XP_009124218.1
OG0009903	AL7G45420	XP_009124223.1
OG0009904	AL8G19800	XP_009151580.1, XP_009129690.2
OG0009905	AL3G38090	XP_009107998.1, XP_009102619.1
OG0009906	AL3G38070	XP_009136067.1, XP_009102621.1
OG0009907	AL3G37680	XP_033130900.1
OG0009908	AL3G37320	XP_009135837.1, XP_009108481.1
OG0009909	AL3G54110, AL3G54090	XP_009117465.1
OG0009910	AL3G37100	XP_009135824.1, XP_009145268.1
OG0009911	AL3G36700	XP_009135806.1, XP_009145330.1
OG0009912	AL3G36570	XP_009135801.2, XP_009145391.1
OG0009913	AL3G36520	XP_009145397.1
OG0009914	AL3G36260	XP_009109239.1
OG0009915	AL5G18920, AL3G36190	XP_033144228.1, XP_033143249.1
OG0009916	AL3G36070, AL3G36050	XP_009109288.1
OG0009917	AL3G36060, AL3G36040	XP_009109297.1
OG0009918	nbis-gene-751, nbis-gene-752	XP_009145446.1
OG0009919	AL3G35840	XP_009135769.2, XP_009145459.2
OG0009920	AL3G35600, AL5G19540, AL7G43520	XP_033144247.1
OG0009921	AL3G35390	XP_033147474.1, XP_009135745.1
OG0009922	AL7G21780	XP_033133244.1, XP_009127869.2
OG0009923	AL7G21830	XP_033148684.1, XP_009137911.1
OG0009924	AL64U10030, AL8G25810	XP_009107385.1
OG0009925	AL7G22180	XP_009109010.1, XP_009137884.1
OG0009926	AL7G22300	XP_009128222.1, XP_009109014.1
OG0009927	AL2G24050	XP_009127482.1, XP_009105197.1
OG0009928	AL2G19520	XP_009128463.2, XP_009127375.2
OG0009929	AL2G22130	XP_018512350.1, XP_009105149.2
OG0009930	AL1G64840	XP_009119387.1
OG0009931	AL6G30320	XP_009120930.1, XP_009131714.1
OG0009932	AL6G30260	XP_009126290.1, XP_009131704.1
OG0009933	AL6G41130	XP_009151281.1, XP_009111917.1
OG0009934	AL6G40780	XP_009151263.1, XP_009111899.1
OG0009935	AL6G40790	XP_009129814.1, XP_009151264.1
OG0009936	AL6G40810	XP_009111900.1
OG0009937	AL8G22220	XP_009111862.1, XP_033129699.1
OG0009938	AL8G22200	XP_009151698.1, XP_009130030.2
OG0009939	AL8G24420	XP_009134058.1
OG0009940	AL5G32770	XP_033145535.1, XP_009115927.2
OG0009941	AL5G32680	XP_009139482.1
OG0009942	AL5G32650	XP_009136653.1, XP_009115913.1
OG0009943	AL5G32610	XP_009139484.2, XP_009115908.1
OG0009944	AL5G32390	XP_009136641.1, XP_009115890.1
OG0009945	AL5G31930	XP_009148978.2, XP_033136980.1
OG0009946	AL5G31820	XP_009115818.1
OG0009947	AL5G31700	XP_009136610.1
OG0009948	AL5G31620	XP_009115798.1, XP_009136603.1
OG0009949	AL1G10080	XP_009118862.2, XP_009119757.1
OG0009950	AL1G10200	XP_009125224.2, XP_009118856.2, XP_033138412.1
OG0009951	AL1G10220	XP_009118853.1, XP_009119750.1
OG0009952	AL1G10260	XP_009147834.2
OG0009953	AL1G10720	XP_009118826.2, XP_009119715.1
OG0009954	AL1G10810	XP_009119709.1, XP_009118816.2
OG0009955	AL7G20560	XP_009107632.1
OG0009956	AL1G11140	XP_033135953.1, XP_009119686.1
OG0009957	AL1G11210	XP_009119681.1, XP_009118804.1
OG0009958	AL1G11290	XP_009118796.1
OG0009959	AL1G11400	XP_009118793.1, XP_009119672.2
OG0009960	AL1G11460	XP_018509476.2, XP_033138119.1
OG0009961	AL1G11750	XP_009111200.1, XP_009119635.1
OG0009962	AL1G11800	XP_009118766.1, XP_009119629.2
OG0009963	AL1G12120	XP_009118749.1
OG0009964	AL1G12130	XP_009118748.1, XP_009119614.1
OG0009965	AL1G12200	XP_009119609.1, XP_009118743.1
OG0009966	AL1G12460	XP_009118723.2, XP_033138298.1
OG0009967	AL1G12470	XP_033138360.1, XP_033134966.1
OG0009968	AL1G12540	XP_009118716.1, XP_033138278.1
OG0009969	AL1G12560	XP_033140651.1
OG0009970	AL1G12680	XP_009111161.1
OG0009971	AL1G12970	XP_033135231.1, XP_009119539.1
OG0009972	AL1G13040	XP_009119534.1
OG0009973	AL1G13120	XP_009119525.2
OG0009974	AL1G13130	XP_033132218.1, XP_009119523.1
OG0009975	AL1G13400	XP_009118688.1, XP_033138317.1
OG0009976	AL1G13470	XP_009118685.1
OG0009977	AL1G13560	XP_009119347.1
OG0009978	AL1G13610	XP_018511180.1, XP_009118679.1
OG0009979	AL1G13910	XP_009119315.1, XP_009111113.1
OG0009980	AL1G14150	XP_009119291.1, XP_033132350.1
OG0009981	AL1G14190	XP_009118638.1, XP_033138302.1
OG0009982	AL1G14360	XP_009111092.1
OG0009983	AL1G14380	XP_009118624.1, XP_009119266.1
OG0009984	AL1G14410	XP_009119261.1
OG0009985	AL1G14500	XP_009111081.2, XP_009119254.1
OG0009986	AL1G14510	XP_009119252.1
OG0009987	AL1G14960	XP_009118614.1, XP_009119183.1
OG0009988	AL1G14970	XP_009119182.1, XP_009118613.1
OG0009989	AL1G15250	XP_033135620.1, XP_033138494.1
OG0009990	AL1G15290	XP_009118585.1, XP_009119153.1
OG0009991	AL1G15340	XP_009111049.2, XP_009119149.1
OG0009992	AL1G15460	XP_009118584.2, XP_033138188.1
OG0009993	AL1G15960	XP_009111013.1, XP_009118562.1
OG0009994	AL1G16010	XP_009111008.1
OG0009995	AL1G16240	XP_018511175.1, XP_009110999.1
OG0009996	AL1G16290	XP_009118547.1
OG0009997	AL1G16390	XP_009118542.1
OG0009998	AL1G16560	XP_009119050.1
OG0010000	AL1G16670	XP_009110978.1, XP_018511221.1
OG0010001	AL1G17410	XP_009118976.1
OG0010002	AL1G17580	XP_009118439.1, XP_009118961.2
OG0010003	AL1G17810	XP_009110932.1, XP_009118948.1
OG0010004	AL1G18310	XP_009148047.2, XP_009118400.1
OG0010005	AL1G18360	XP_009148054.1, XP_009110910.1
OG0010007	AL1G18630	XP_009110900.1, XP_009118386.1
OG0010008	AL1G18740	XP_009148090.1, XP_009118380.2
OG0010009	AL1G18750	XP_009148092.2
OG0010010	AL1G18860	XP_033133211.1, XP_009118375.1
OG0010011	AL1G18930	XP_009118370.1, XP_009110889.1
OG0010012	AL1G19000	XP_009148112.1, XP_009118368.1
OG0010013	AL1G19010	XP_009148113.1, XP_033135437.1
OG0010014	AL1G19050	XP_009148114.2, XP_009110879.1
OG0010015	AL1G40700	XP_009102991.1, XP_009113779.2
OG0010016	AL1G19100	XP_009134293.1
OG0010017	AL4G11080, AL1G19140	XP_009148125.1
OG0010018	AL1G19210	XP_009110875.1
OG0010019	AL2G22090	XP_009105148.1, XP_018511682.2
OG0010020	AL1G19260	XP_009148138.1
OG0010021	AL1G19280	XP_009148139.1, XP_009118340.1
OG0010022	AL1G19500	XP_009110857.1
OG0010023	nbis-gene-222, AL3G13600	XP_009144616.1
OG0010024	AL1G19810	XP_009148183.1, XP_009118323.1
OG0010025	AL1G19880	XP_009148766.2
OG0010026	AL1G66650	XP_033135243.1
OG0010027	AL1G20050	XP_009148249.1, XP_009118315.2
OG0010028	AL1G20060	XP_009110822.1, XP_009148252.1
OG0010030	AL1G21500	XP_033129129.1, XP_009144426.1
OG0010031	AL1G21510	XP_009144424.1, XP_009148409.1
OG0010032	AL1G21520	XP_009148410.1, XP_033133585.1
OG0010033	AL1G21660	XP_009144414.1, XP_009118207.1
OG0010034	AL1G21690	XP_009118209.3, XP_033133578.1
OG0010035	AL1G21820	XP_033133576.1
OG0010036	AL1G21850	XP_009148430.1
OG0010037	AL7G39320	XP_009107090.1
OG0010038	AL1G22120	XP_009118233.1, XP_009148444.1
OG0010039	AL1G22180	XP_009118199.2
OG0010040	AL1G22480	XP_009118188.1, XP_009148469.1
OG0010041	AL1G22490	XP_009110734.1, XP_009148470.1
OG0010042	AL1G22630	XP_009118186.1
OG0010043	AL1G22710	XP_009110717.1, XP_009112477.2, XP_009110715.2
OG0010044	AL2G14210	XP_009113113.1
OG0010045	AL1G22860	XP_009148504.1, XP_009110703.1
OG0010046	AL1G23000	XP_009110702.1
OG0010047	AL1G23010	XP_009110694.2, XP_018514935.1
OG0010048	AL1G23110	XP_009123348.1
OG0010049	AL1G23420	XP_009118108.1, XP_033133753.1
OG0010050	AL1G23680	XP_009118089.1, XP_009148600.1
OG0010051	AL1G24580	XP_009110611.1
OG0010052	AL1G24630	XP_033135460.1, XP_033129166.1
OG0010053	AL1G24670	XP_033133754.1, XP_009118038.1
OG0010054	AL1G24980	XP_009118010.1, XP_009110592.1
OG0010055	AL1G25100	XP_009110585.1
OG0010056	AL1G25530	XP_009148664.1, XP_009117975.1
OG0010057	AL1G25700	XP_009110574.1, XP_009117959.1
OG0010058	AL1G25920	XP_033134935.1, XP_009110563.1
OG0010059	AL1G25780	XP_009117952.1
OG0010060	AL1G26080	XP_033129093.1, XP_009117925.2
OG0010061	AL1G26110	XP_009110556.1, XP_009117922.1
OG0010062	AL1G26150	XP_009148709.1, XP_009110551.1
OG0010063	AL4G19120	XP_009103034.1
OG0010064	AL1G26600	XP_009117887.1, XP_009148844.1
OG0010065	AL1G27030	XP_009117860.1, XP_033129908.1
OG0010066	AL1G27050	XP_009117858.1, XP_009148885.1
OG0010067	AL1G27070	XP_009148888.1, XP_033133820.1
OG0010068	AL1G27110	XP_009117854.2, XP_009148890.2
OG0010069	AL1G27330	XP_009148909.2, XP_009117842.1
OG0010070	AL1G27530	XP_009110485.1, XP_009148933.1
OG0010071	AL1G27560	XP_009148939.2, XP_009110481.1
OG0010072	AL1G27680	XP_009117822.1, XP_009148952.1
OG0010073	AL1G27770	XP_009148958.1, XP_009117815.1
OG0010074	AL1G28130	XP_009117787.1, XP_009110465.1
OG0010075	AL1G28190	XP_033134680.1, XP_009149045.1
OG0010076	AL1G28450	XP_033128771.1, XP_009110454.1
OG0010077	AL1G28490	XP_033128774.1, XP_009149070.2
OG0010078	AL1G28510	XP_009110451.1
OG0010079	AL1G28670	XP_009117761.1, XP_033128780.1
OG0010080	AL1G28700	XP_009117760.1
OG0010082	AL1G29050	XP_009110437.1, XP_009149124.1
OG0010083	AL1G29310	XP_009149147.1, XP_009110426.2
OG0010084	AL1G29370	XP_009149157.1, XP_009110424.1
OG0010085	AL1G29650	XP_033128790.1, XP_009117662.2, XP_009110413.2
OG0010087	AL1G29990	XP_009149218.1
OG0010089	AL1G30600	XP_033132843.1
OG0010089	AL1G30590	XP_009149080.1
OG0010090	AL1G30680	XP_009149274.1, XP_009110355.1
OG0010091	AL1G30890	XP_009117613.1, XP_009110342.1
OG0010092	AL1G31020	XP_009149331.1, XP_009110338.1
OG0010093	AL1G31070	XP_009149351.1, XP_009110330.1
OG0010094	AL1G31120	XP_009110327.1
OG0010095	AL1G31210	XP_009149361.1, XP_009117587.1
OG0010096	AL1G31470	XP_033130082.1, XP_033136765.1
OG0010097	AL1G31790	XP_009149397.1, XP_009117558.1
OG0010098	AL1G31850	XP_009149402.1, XP_009110287.1
OG0010099	AL1G32020	XP_009149423.1, XP_009117540.1
OG0010100	AL1G32190	XP_009149432.1, XP_009117539.1
OG0010101	AL1G32230	XP_009149436.1, XP_009110273.1
OG0010102	AL1G32360	XP_009103381.1, XP_009149447.1, XP_033133906.1
OG0010103	AL1G32420	XP_009110263.1, XP_009149453.1
OG0010104	AL1G32520	XP_009149466.1, XP_009110257.1
OG0010105	AL1G32650	XP_009110250.1, XP_009149489.1
OG0010106	AL1G32680	XP_009103372.1, XP_009110248.1
OG0010107	AL1G32710	XP_009103368.1, XP_009110245.1
OG0010108	AL1G32720	XP_009149495.1
OG0010109	AL1G33020	XP_009149505.1, XP_009110237.1
OG0010110	AL1G33030	XP_009103350.1
OG0010111	AL1G33600	XP_009103332.2, XP_009149543.1
OG0010112	AL1G33870	XP_009103325.2, XP_009110208.1
OG0010113	AL1G33880	XP_033129325.1, XP_009110207.1
OG0010114	AL1G34060	XP_009103313.1
OG0010115	AL1G34140	XP_009103308.1, XP_009149589.1
OG0010116	AL1G35420	XP_009103271.1, XP_009110158.2
OG0010117	AL1G35440	XP_009110156.1, XP_009145382.1
OG0010118	AL1G35460	XP_009103266.1, XP_009145380.1
OG0010119	AL5G10720	XP_009129218.1, XP_009101329.1
OG0010120	AL1G35710	XP_009103249.1, XP_009145359.1
OG0010121	AL1G36150	XP_009110132.1, XP_009103228.2
OG0010122	AL1G36240	XP_033130855.1, XP_009115611.1
OG0010123	AL1G36250	XP_009103222.1, XP_009115609.1
OG0010124	AL1G36530	XP_009115571.1
OG0010125	AL1G36660	XP_009103199.1, XP_009115564.2
OG0010126	AL2G31540	XP_009105857.1, XP_009127884.1
OG0010127	AL2G31470	XP_033141550.1, XP_033132005.1
OG0010128	AL2G31450	XP_033131471.1
OG0010129	AL2G31220	XP_009127862.1, XP_033130290.1, XP_009104908.1
OG0010130	AL2G30120	XP_009105737.1, XP_018511759.1
OG0010131	AL2G29980	XP_009127810.1
OG0010132	AL2G29890	XP_009105718.1, XP_009127804.1
OG0010133	AL2G29800	XP_018508245.1, XP_009127793.1
OG0010134	AL2G29790	XP_033141480.1
OG0010135	AL2G29780	XP_009105701.1, XP_009127790.1
OG0010136	AL2G29680	XP_009105700.2
OG0010137	AL2G29580	XP_009104955.1, XP_009105696.2
OG0010138	AL2G29530	XP_009105694.1, XP_009104957.2
OG0010139	AL2G29240	XP_009127770.1, XP_009104974.1
OG0010140	AL1G47610	XP_009123747.1, XP_009107944.1
OG0010141	AL5G21360	XP_009123267.1
OG0010142	AL8G18770	XP_009101845.1
OG0010143	AL2G11370	XP_009147982.2, XP_009150302.2
OG0010144	AL2G12340	XP_009112972.1
OG0010145	AL2G12580	XP_033143604.1, XP_033143786.1, XP_009112989.1
OG0010146	AL2G12590	XP_009113027.1, XP_009112720.2
OG0010147	AL2G13230	XP_018509826.2, XP_009113065.1
OG0010148	AL2G13590	XP_033135592.1
OG0010149	AL1G47750	XP_009114796.2
OG0010150	AL2G14540	XP_009113121.1, XP_009104922.1
OG0010151	AL2G14630	XP_009124660.2, XP_009124659.2, XP_009123577.1
OG0010152	AL2G14660	XP_009104830.2, XP_009124635.2
OG0010153	AL2G14990	XP_033143432.1, XP_009104615.1
OG0010154	AL2G15050	XP_009104582.3, XP_009113139.1
OG0010155	AL2G15090	XP_009113144.1, XP_033133855.1
OG0010156	AL2G15530	XP_009104210.1
OG0010157	AL2G15920	XP_009103938.1, XP_009113196.1
OG0010158	AL2G15950	XP_009103885.1
OG0010159	AL2G16490	XP_009103658.1
OG0010160	AL2G16630	XP_009103607.1, XP_009113255.2
OG0010161	AL2G16710	XP_009103291.1
OG0010162	AL2G17120	XP_009103121.2
OG0010163	AL2G17340	XP_009113291.1
OG0010164	AL2G17800	XP_033136179.1
OG0010165	AL2G17850	XP_009113315.1
OG0010166	nbis-gene-2159, AL52U10010	XP_033137641.1, XP_018513615.1
OG0010167	nbis-gene-1671	XP_009111424.1
OG0010168	AL2G18180	XP_009113329.2, XP_009102721.2
OG0010169	AL2G18080	XP_009113331.1, XP_009102651.1
OG0010170	AL1G67160	XP_009113357.1
OG0010171	AL7G40010	XP_009147265.1, XP_009107844.2
OG0010172	AL2G10970	XP_009112901.1, XP_009112802.2
OG0010173	AL2G10480	XP_009112883.1, XP_033135366.1
OG0010174	AL2G10450	XP_009112876.1
OG0010175	AL6G41870	XP_009134088.1
OG0010176	AL8G11690	XP_009101501.1, XP_033136865.1
OG0010177	AL8G11560	XP_009101489.2, XP_009128896.2
OG0010178	AL8G11540	XP_009128897.1
OG0010179	AL8G10270	XP_009114257.1
OG0010180	AL8G10260	XP_009128992.1, XP_009101396.2
OG0010181	AL8G14800	XP_009113900.1, XP_009101645.2
OG0010182	AL8G14840	XP_009123608.1, XP_009101649.1
OG0010183	AL8G18440	XP_009101841.1
OG0010184	AL8G15270	XP_009123603.1, XP_009101697.1
OG0010185	AL8G15380	XP_009113910.1, XP_018508034.1
OG0010186	AL7G28970	XP_009137903.1, XP_009137439.1
OG0010187	AL6G48560	XP_033136385.1
OG0010188	AL7G23070	XP_009109043.1, XP_009128829.2
OG0010189	AL7G22660	XP_009128592.1
OG0010190	AL7G22420	XP_009128427.1, XP_009109022.2
OG0010191	AL7G15250	XP_009149700.1
OG0010192	AL1G55510	XP_009107336.1, XP_009147942.1
OG0010193	AL1G55760	XP_009144994.2, XP_009147931.1
OG0010194	AL1G55860	XP_033133508.1, XP_009147923.2
OG0010195	AL1G55890	XP_009147920.1, XP_009107320.1
OG0010196	AL1G56310	XP_009144979.1
OG0010197	AL2G34840	XP_009106151.1, XP_009128069.1
OG0010198	AL2G34820	XP_009106149.1, XP_009104737.1
OG0010199	AL7G10160	XP_033129125.1
OG0010200	AL7G10170	XP_009101953.2
OG0010201	AL7G44710, AL7G10300	XP_009102546.1
OG0010202	AL7G10390	XP_033129121.1, XP_009109549.1
OG0010203	AL7G10510	XP_009109540.1, XP_009101934.1
OG0010204	AL7G10520	XP_009101933.2, XP_009109538.1
OG0010205	AL7G10860	XP_009109512.1
OG0010206	AL7G11130	XP_033133114.1, XP_009101895.1
OG0010207	AL7G11250	XP_009109892.1, XP_009109480.1
OG0010208	AL7G11340	XP_009115076.2
OG0010209	AL7G11470	XP_009101872.2
OG0010210	AL7G11940	XP_009109448.1, XP_018512598.1
OG0010211	AL7G12010	XP_009127647.1
OG0010212	AL7G12070	XP_009128353.2, XP_009109435.2
OG0010213	AL7G12120	XP_009138552.1, XP_009128651.1
OG0010214	AL7G12450	XP_033140731.1, XP_009109422.2
OG0010215	AL7G12570	XP_018509547.2
OG0010216	AL7G12580	XP_009109415.1
OG0010217	AL7G12600	XP_009109416.1, XP_009131194.1
OG0010218	AL7G12860	XP_009132987.1, XP_009109393.1
OG0010219	AL7G12950	XP_033130933.1, XP_009138527.2
OG0010220	AL7G13110	XP_009138518.1, XP_009109387.1
OG0010221	AL7G13250, AL5G41240	XP_009135118.1
OG0010222	AL7G13360	XP_009109372.2
OG0010223	AL7G13540	XP_009137164.1
OG0010225	AL7G13740	XP_033142229.1, XP_009138472.1
OG0010226	AL9U12240	XP_009150168.1, XP_009151619.1
OG0010227	AL7G14250	XP_009138449.2
OG0010228	AL7G14500	XP_009109324.1, XP_009143738.1
OG0010229	AL7G14530	XP_009109313.1, XP_009138432.1
OG0010230	AL7G14720	XP_009145073.1
OG0010232	AL7G15270	XP_033135883.1, XP_009109265.1
OG0010233	AL7G15340	XP_009150586.1
OG0010234	AL7G15950	XP_009108622.1, XP_009104299.1, XP_009123286.2
OG0010235	AL7G16010	XP_009108627.1, XP_009105030.1
OG0010236	AL7G16160	XP_009108689.1, XP_009106425.1
OG0010237	AL7G16280	XP_009107761.1, XP_009108693.1
OG0010238	AL7G16470	XP_009109369.1, XP_009138324.1
OG0010239	AL7G16540	XP_009110394.1, XP_009108717.1
OG0010240	AL7G16700	XP_033142506.1, XP_009108724.1
OG0010241	AL7G16740	XP_009108728.1
OG0010242	AL7G16750	XP_009112198.1, XP_009138297.1
OG0010243	AL7G16800	XP_009112598.2, XP_009108732.1
OG0010244	AL1G40360	XP_018508413.1, XP_009113818.1, XP_009113820.1
OG0010245	AL7G16820	XP_033142515.1, XP_033132789.1
OG0010246	AL7G18520	XP_009125059.1
OG0010247	AL7G19170	XP_009108867.1, XP_033135547.1
OG0010248	AL7G19110	XP_033143106.1, XP_009125694.2
OG0010249	AL7G19040	XP_033132634.1, XP_009125595.1
OG0010250	AL7G18760	XP_009125241.1, XP_009138152.1
OG0010251	AL7G18740	XP_009108822.1, XP_009138153.2
OG0010252	AL7G18490	XP_009125048.1
OG0010253	AL7G18450	XP_009125025.2, XP_009138161.1
OG0010254	AL7G18370	XP_009138168.1, XP_009124478.1
OG0010255	AL7G18230	XP_009123351.1, XP_009108806.1
OG0010256	AL7G18210	XP_009138182.1, XP_009108805.1
OG0010257	AL7G18160	XP_009122889.2, XP_009138185.2
OG0010258	AL7G18150	XP_009122784.1, XP_009138186.1
OG0010259	AL7G18130	XP_033148729.1, XP_009138190.1
OG0010260	AL7G18120	XP_009122458.1, XP_009108800.1
OG0010261	AL7G17900	XP_033133965.1
OG0010262	AL8G24630	XP_009127357.2
OG0010263	AL7G17460	XP_009138251.2, XP_009118282.1
OG0010264	AL7G17380	XP_009117671.1
OG0010265	AL7G19720	XP_009108893.1
OG0010266	AL7G20150	XP_009126604.1
OG0010267	AL7G20260	XP_009126680.1
OG0010268	AL7G20290	XP_009138032.1, XP_009126700.1
OG0010269	AL343U10010	XP_009138022.1, XP_033135901.1
OG0010270	AL7G20500	XP_009108922.1, XP_009126891.1
OG0010271	AL7G20510	XP_033144960.1
OG0010272	AL7G20630	XP_009126975.1, XP_033133897.1
OG0010273	AL7G20700	XP_009108932.1, XP_033144480.1
OG0010274	AL7G21220	XP_009127438.1
OG0010275	AL7G21260	XP_009127453.1, XP_009137973.1
OG0010276	AL3G39040, AL3G39020	XP_009102554.1
OG0010277	AL3G39110	XP_033137762.1, XP_009102549.1
OG0010278	AL2G32400	XP_009127946.1, XP_033130931.1
OG0010279	AL2G32280	XP_009105920.1, XP_009104850.2
OG0010280	AL2G31980	XP_009105890.1, XP_009127925.1
OG0010281	AL2G31900	XP_009127911.1, XP_009105882.2
OG0010282	AL2G31890	XP_033131630.1, XP_009127910.1
OG0010283	AL2G31710	XP_009105870.1
OG0010284	AL2G31660	XP_009104879.1
OG0010285	AL2G31550	XP_009105858.1, XP_009104884.1
OG0010286	AL1G38390	XP_009115441.2, XP_033130978.1
OG0010287	AL1G38430	XP_009110059.1, XP_009115440.1
OG0010288	AL1G38610, AL1G41130	XP_009115422.1, XP_009110053.1
OG0010289	AL1G38960	XP_009115408.1, XP_009103107.2
OG0010290	AL1G39270	XP_009115365.1, XP_009103093.1
OG0010291	AL1G39560	XP_009103085.1, XP_009109904.2
OG0010292	AL1G40740	XP_009102987.1, XP_009113777.1
OG0010293	AL6G50860	XP_009144584.1
OG0010294	AL6G50870	XP_009144580.1, XP_033134642.1
OG0010295	AL6G50920	XP_009144586.1
OG0010296	AL6G50940	XP_009111311.1
OG0010297	AL6G51000	XP_009111315.1
OG0010298	AL6G51110	XP_009102821.1
OG0010299	AL6G51180	XP_009111321.2, XP_009134449.2
OG0010300	AL6G51220	XP_009111325.1
OG0010301	AL6G51450	XP_009111337.1
OG0010302	AL5G18030	XP_009151876.1, XP_033140775.1
OG0010304	AL6G51900	XP_009111380.1
OG0010305	AL6G51910	XP_009111381.1
OG0010306	AL6G51950	XP_009128512.1, XP_009111382.1
OG0010307	AL6G52340	XP_033142070.1
OG0010308	AL6G52130	NP_001288962.1
OG0010309	AL6G52090	XP_009111447.1, XP_009134525.1
OG0010310	AL6G52730	XP_009111460.1, XP_033136587.1, XP_009134532.1
OG0010311	AL6G52790	XP_009111463.1, XP_009134540.1
OG0010312	AL6G52800	XP_009134538.1, XP_009111462.1
OG0010313	AL6G52840	XP_009111470.2
OG0010314	AL6G52890	XP_009111475.1
OG0010315	AL6G52990	XP_009134547.1
OG0010316	AL6G53180	XP_033141618.1, XP_033142137.1
OG0010317	AL7G21050	XP_018509605.1
OG0010318	AL4G10120	XP_009117445.1
OG0010319	AL4G10160	XP_009140248.1
OG0010320	AL1G40450	XP_009103036.1, XP_009113803.1
OG0010321	AL1G39770	XP_009109889.2, XP_009115334.1
OG0010322	AL1G39650	XP_033135763.1, XP_009109902.1
OG0010323	AL1G51340	XP_009103636.1, XP_009140838.2
OG0010324	nbis-gene-1776	XP_009142212.1, XP_009137590.1
OG0010325	AL7G25870	XP_009109157.1, XP_033128022.1
OG0010326	AL7G25860	XP_009109156.1
OG0010327	AL7G25720	XP_009109150.1, XP_033144049.1
OG0010328	AL7G25480	XP_009137652.1, XP_009143320.1
OG0010329	AL7G25340	XP_009143442.1
OG0010330	AL7G25320	XP_009109141.1, XP_009143465.1
OG0010331	AL7G25290	XP_009109140.1, XP_009137663.1
OG0010332	AL7G25250	XP_033144715.1, XP_009143549.2
OG0010333	AL7G24520	XP_009144170.1, XP_009144177.1
OG0010334	AL7G24400	XP_009109109.1
OG0010335	AL7G24340	XP_009137773.1, XP_009109106.1
OG0010336	AL7G24310	XP_009144342.1, XP_009109104.1
OG0010337	nbis-gene-1200	XP_009152151.1, XP_009114141.1
OG0010338	AL5G13520	XP_009152150.2, XP_009129076.2
OG0010339	AL5G13620	XP_009114130.1, XP_009129066.1
OG0010340	AL5G14120	XP_009152128.1, XP_033136463.1
OG0010341	nbis-gene-24	XP_033138411.1
OG0010343	AL1G32330, AL7G11150	XP_009110269.1
OG0010344	AL1G33930	XP_009149569.1, XP_009103317.1, XP_033132211.1
OG0010345	AL1G37050, AL1G31860	XP_009115546.1
OG0010346	AL1G39890	XP_033131304.1, XP_009115314.1
OG0010347	AL1G40110	XP_009115296.1, XP_009109864.1
OG0010351	AL3G26840	XP_009146350.1
OG0010352	AL1G62570	XP_009147575.1, XP_009123642.1
OG0010353	AL2G15040, AL3G10370	XP_009124047.1
OG0010356	AL2G18090, AL4G42210, AL7G53040	XP_033148364.1, XP_009133603.1
OG0010359	AL3G14010	XP_009125007.1
OG0010360	AL2G27050	XP_033131932.1, XP_033131933.1
OG0010361	AL2G32140	XP_009127935.1, XP_033130107.1
OG0010362	AL2G33430	XP_009128002.1, XP_009106022.1
OG0010363	AL3G19020	XP_033146603.1, XP_009147044.2
OG0010365	AL3G26090	XP_009135343.1, XP_033147164.1
OG0010368	AL4G11710	XP_009140338.1
OG0010369	AL4G11970	XP_009140358.1, XP_009112525.1
OG0010371	AL4G15100	XP_009117118.1, XP_009140561.1
OG0010372	AL4G15210	XP_009140566.1, XP_009117111.1
OG0010374	AL4G16850	XP_009117225.1, XP_009140672.1
OG0010375	AL7G23540, AL7G23510, AL7G23520	XP_009137817.1
OG0010376	AL4G28070	XP_009141257.1, XP_009141256.1
OG0010377	AL4G32010	XP_009133055.1, XP_009133056.1, XP_033146327.1
OG0010378	AL4G36130	XP_009133302.1, XP_033145307.1
OG0010380	AL1G20360, AL4G40820	XP_009142390.1
OG0010381	AL4G46430	XP_009104889.1, XP_009127874.2
OG0010382	AL5G11040	XP_009101287.2, XP_009114219.1
OG0010383	AL5G14510	XP_033139881.1, XP_009152103.1
OG0010384	AL5G17080	XP_009111581.1, XP_009129400.1
OG0010385	AL5G18600	XP_033129679.1, XP_033136951.1
OG0010386	AL5G28090	XP_009150181.1, XP_009149803.1
OG0010387	AL5G30160	XP_018513057.1, XP_009101596.1
OG0010388	AL5G34160	XP_009103851.2, XP_033137108.1
OG0010389	AL5G38720	XP_009138271.1, XP_009115272.1
OG0010390	AL6G24780	XP_033137834.1, XP_033143152.1
OG0010391	AL6G34050	XP_009131895.2, XP_009120623.1
OG0010392	AL6G40970	XP_009129807.2, XP_018509562.1
OG0010393	AL6G44580	XP_033140688.1
OG0010394	AL7G23160	XP_018513093.1, XP_009118042.1, XP_018513134.1
OG0010395	AL7G27130	XP_009137562.1, XP_033144917.1
OG0010396	AL7G29030	NP_001288974.1, XP_009137844.1
OG0010397	AL7G30860, AL8G12510	XP_009136089.1, XP_009136078.1
OG0010399	AL7G34560	XP_009132908.1, XP_033133976.1
OG0010400	AL7G37450	XP_009136833.1
OG0010401	nbis-gene-1824, nbis-gene-1842	XP_033143520.1, XP_033141484.1
OG0010402	AL7G42000	XP_033132241.1, XP_033146610.1
OG0010405	AL7G48040	XP_009140089.1
