Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_NCBI
OG0006137	Om005G208120, Om001G011460	XP_020873608.1
OG0006138	Om008G350100	XP_020878080.1
OG0006139	Om001G012660	XP_020868520.1
OG0006140	Om007G315140, Om001G014990	XP_020870594.1
OG0006141	Om001G015690	XP_002893966.1
OG0006142	Om007G286850	XP_002869734.1
OG0006143	Om008G324250	XP_020885149.1
OG0006144	Om007G288130	XP_020866374.1
OG0006146	Om007G287770	XP_020870258.1
OG0006147	Om007G288750	XP_020866865.1
OG0006148	Om007G288800, Om007G292780, Om004G163270	XP_002893527.1
OG0006150	Om007G289580	XP_020869070.1
OG0006151	Om007G289670	XP_002890807.1
OG0006152	Om007G289720	XP_002890809.2
OG0006153	Om007G290530	XP_020870278.1
OG0006154	Om007G290700	XP_002862322.1, XP_002890857.1
OG0006155	Om007G290920	XP_002890866.1
OG0006156	Om007G290990	XP_002890870.1
OG0006157	Om001G035180	XP_020874957.1
OG0006158	Om001G036680	XP_002869026.1
OG0006159	Om001G037290	XP_020874902.1
OG0006160	Om001G038150	XP_002868991.1
OG0006161	Om001G039550	XP_020872888.1
OG0006162	Om001G040530	XP_020874824.1
OG0006163	Om001G041430	XP_020872407.1
OG0006164	Om007G314010	XP_002868524.1
OG0006165	Om007G314860	XP_020875447.1
OG0006166	Om002G046730	XP_002868754.1
OG0006167	Om002G047390, Om002G067700	XP_020888047.1
OG0006168	Om007G292070	XP_020868814.1
OG0006169	Om007G292360	XP_002890948.1
OG0006170	Om008G337650	XP_020883722.1
OG0006171	Om008G345770	XP_002874584.1
OG0006172	Om005G181830	XP_020877499.1
OG0006173	Om008G340570	XP_002879476.1
OG0006174	Om008G340740	XP_020885287.1
OG0006175	Om002G063100	XP_020891245.1, XP_020891233.1
OG0006176	Om008G346390, Om008G346560	XP_020878991.1
OG0006178	Om008G349930	XP_020878346.1
OG0006179	Om008G351660	XP_002874697.1
OG0006180	Om008G351880	XP_002872624.1
OG0006181	Om008G352790	XP_002874728.1, XP_002874727.1
OG0006182	Om008G352020	XP_002874754.1
OG0006183	Om001G008820, Om008G353590	XP_020877718.1
OG0006184	Om008G353910	XP_020877666.1
OG0006185	Om008G354040	XP_002874807.1
OG0006186	Om008G354960	XP_020876420.1
OG0006187	Om008G357590, Om007G314150	XP_002863522.1
OG0006188	Om008G358090	XP_002863490.2, XP_002863493.1
OG0006189	Om008G359790	XP_020871123.1
OG0006190	Om008G359800	XP_020878623.1
OG0006191	Om008G360200	XP_020881089.1
OG0006192	Om008G362890	XP_020887390.1
OG0006193	Om002G078040	XP_020873890.1
OG0006194	Om005G183670, Om005G214760	XP_002889592.1
OG0006195	Om004G171620	XP_020876456.1
OG0006196	Om003G104140	XP_002863138.1
OG0006197	Om003G103750	XP_020875522.1
OG0006198	Om003G102780	XP_020873064.1
OG0006199	Om003G102730	XP_020872681.1, XP_020872680.1
OG0006200	Om003G101910	XP_002870260.1
OG0006201	Om003G101310	XP_002870223.2
OG0006202	Om008G328300, Om008G328240, Om005G227590	XP_002870646.1
OG0006203	Om002G050570	XP_002870634.1
OG0006204	Om008G320170	XP_020883381.1
OG0006205	Om008G320290	XP_002880266.1
OG0006206	Om008G320320	XP_020884218.1
OG0006207	Om008G320600	XP_002880254.1
OG0006208	Om008G320690	XP_020882715.1
OG0006209	Om003G127020	XP_020880818.1
OG0006210	Om003G096120, Om008G321150	XP_020884503.1
OG0006211	Om008G322190	XP_002882012.2
OG0006212	Om008G322270	XP_002880173.1
OG0006213	Om008G322660	XP_002881994.1
OG0006214	Om008G322760	XP_020882677.1
OG0006215	Om008G323010	XP_002881979.1
OG0006216	Om008G324530	XP_002881930.1
OG0006217	Om008G324670	XP_002880063.1
OG0006218	Om008G325340	XP_002881898.1
OG0006219	Om008G326390	XP_020883437.1
OG0006220	Om003G120750	XP_002878162.1
OG0006221	Om003G120400	XP_002878144.1
OG0006222	Om008G327890	XP_002879935.1
OG0006223	Om004G176690	XP_020875851.1
OG0006224	Om004G175760	XP_020876812.1
OG0006225	Om004G175200	XP_002873067.1
OG0006226	Om004G160920	XP_020879553.1
OG0006227	Om004G174140	XP_020876513.1
OG0006228	Om004G173450	XP_020877580.1
OG0006229	Om006G241410	XP_002873964.2
OG0006230	Om006G242240	XP_020878988.1
OG0006231	Om006G242390	XP_002874009.1
OG0006232	Om006G243260	XP_002874038.1
OG0006233	Om006G243380	XP_020877335.1
OG0006234	Om006G243430	XP_020877828.1
OG0006235	Om006G244790	XP_020871953.1
OG0006236	Om006G245260	XP_002864671.1
OG0006237	Om004G170650	XP_020882487.1
OG0006238	Om006G246700	XP_002866314.1
OG0006239	Om006G247150	XP_020879886.1, XP_020886240.1
OG0006240	Om003G112670, Om003G112680, Om006G234570	XP_020866427.1
OG0006241	Om006G234130	XP_020871135.1
OG0006242	Om006G234100	XP_002864854.1
OG0006243	Om006G233580	XP_020890390.1
OG0006244	Om005G200610, Om002G082170	XP_002886204.1
OG0006245	Om006G232710	XP_020871249.1
OG0006246	Om006G232680	XP_002866631.1
OG0006247	Om006G231910	XP_020882283.1, XP_020871153.1
OG0006248	Om006G231720	XP_020867149.1
OG0006249	Om006G231630	XP_020865703.1
OG0006250	Om006G231540	XP_020869986.1
OG0006251	Om006G229740, Om001G019870	XP_020867707.1
OG0006252	Om006G229370	XP_002875304.2
OG0006253	Om004G157280	XP_020879138.1
OG0006254	Om004G158040	XP_020878700.1
OG0006255	Om004G158730, Om004G158720	XP_002874976.2
OG0006256	Om004G159140	XP_002872868.2
OG0006257	Om004G159760	XP_020879248.1
OG0006258	Om004G160060	XP_002874908.1
OG0006259	Om004G160080	XP_002874907.1
OG0006260	Om004G160100	XP_002872828.1
OG0006261	Om007G277510	XP_002863622.1
OG0006263	Om007G278610	XP_002879431.1
OG0006264	Om007G278740	XP_020883862.1
OG0006265	Om007G279360	XP_020885303.1
OG0006266	Om007G280010	XP_020884470.1
OG0006267	Om007G280120	XP_020884636.1
OG0006268	Om007G280810	XP_020872736.1, XP_020882726.1
OG0006269	Om007G280980	XP_020883336.1, XP_020885122.1
OG0006270	Om007G281640	XP_002881107.2
OG0006271	Om007G307640, Om007G282280	XP_020883874.1
OG0006272	Om007G282290	XP_020885173.1
OG0006274	Om007G282410	XP_002881056.1
OG0006275	Om007G283610	XP_020884596.1
OG0006276	Om007G284340	XP_020885799.1
OG0006277	Om005G188310, Om001G020280	XP_020872191.1
OG0006278	Om002G042740	XP_002882182.1
OG0006279	Om004G177470	XP_020875798.1
OG0006280	Om002G051000	XP_020887472.1
OG0006281	Om004G177270	XP_002872989.1
OG0006282	Om007G289890	XP_020873581.1, XP_020873576.1
OG0006283	Om002G043030	XP_002882194.1
OG0006284	Om002G043230	XP_002884295.1
OG0006285	Om007G299340	XP_002873740.1
OG0006286	Om004G156840, Om002G044850	XP_020888661.1
OG0006287	Om002G045060	XP_002884392.2, XP_002884391.1
OG0006288	Om002G045280	XP_020888928.1
OG0006289	Om002G045480	XP_020887036.1
OG0006290	Om002G045980	XP_002882341.1
OG0006291	Om002G047480	XP_020887235.1
OG0006293	Om002G049780	XP_002882509.1
OG0006294	Om002G049980	XP_002862294.2, XP_002884637.2
OG0006295	Om008G329640	XP_020882786.1
OG0006296	Om008G329650	XP_002879871.1
OG0006297	Om008G331410	XP_002881674.1
OG0006298	Om008G331750	XP_020884991.1
OG0006299	Om008G332500	XP_002862908.1, XP_020885795.1
OG0006300	Om008G333180	XP_020885328.1
OG0006301	Om008G337980	XP_002881418.2
OG0006302	Om008G337350	XP_020885008.1
OG0006303	Om008G337030	XP_020883198.1
OG0006304	Om006G254390	XP_020882069.1
OG0006305	Om008G335420	XP_002881514.1
OG0006306	Om008G335060	XP_002879706.1
OG0006307	Om008G333880	XP_002879743.1
OG0006308	Om005G196600	XP_020868672.1
OG0006309	Om005G197070	XP_020867600.1
OG0006310	Om005G197520	XP_020870427.1, XP_020878024.1
OG0006311	Om005G197530	XP_002892915.1
OG0006312	Om005G197760	XP_002890189.1
OG0006314	Om005G198200	XP_020867100.1
OG0006315	Om005G199130	XP_002892964.1
OG0006316	Om005G199850	XP_020869506.1
OG0006317	Om005G199650	XP_002892985.1
OG0006318	Om005G200990	XP_020867018.1
OG0006319	Om005G202390	XP_020869058.1
OG0006320	Om005G202500	XP_002893108.1, XP_020866918.1
OG0006321	Om004G136330	XP_002889075.1
OG0006322	Om005G202840	XP_002890407.1
OG0006323	Om005G202950	XP_020870749.1
OG0006324	Om005G203900	XP_020868554.1
OG0006325	Om005G205340	XP_002893249.1
OG0006327	Om004G146160	XP_020870377.1
OG0006328	Om005G212240	XP_002887131.2
OG0006330	Om004G148510	XP_020867753.1
OG0006331	Om004G151790	XP_002893473.1
OG0006332	Om004G149180, Om007G289130	XP_020870881.1
OG0006333	Om004G168500, Om008G325360	XP_002869731.1
OG0006334	Om004G163790	XP_020873560.1
OG0006335	Om004G151240	XP_002867655.1
OG0006336	Om007G285770	XP_020873513.1
OG0006337	Om007G286210	XP_002867618.1
OG0006339	Om004G153770	XP_020883253.1
OG0006340	Om004G156170	XP_002878546.2
OG0006342	Om005G195370	XP_002892832.1
OG0006343	Om005G195300	XP_020870535.1
OG0006344	Om005G194580	XP_002892805.1
OG0006346	Om005G192050	XP_020868098.1
OG0006347	Om005G191940	XP_020867854.1
OG0006348	Om004G174620	XP_020870761.1
OG0006349	Om005G190130	XP_002889859.1
OG0006350	Om005G185990	XP_002892434.1
OG0006351	Om005G188230	XP_002889774.1
OG0006352	Om005G188620	XP_002892549.1
OG0006354	Om005G186350	XP_020870331.1
OG0006355	Om005G185690	XP_002889668.1
OG0006356	Om005G184790	XP_002889636.1
OG0006357	Om005G184450	XP_020870307.1
OG0006358	Om005G184340	XP_002889621.1
OG0006359	Om006G257490	XP_020879932.1
OG0006360	Om005G183720	XP_002889596.1
OG0006361	Om005G183610	XP_002889588.1
OG0006362	Om005G182310	XP_020869001.1
OG0006363	Om005G181090	XP_002892194.2
OG0006364	Om005G180240	XP_002892156.1
OG0006365	Om005G180260	XP_020870319.1
OG0006367	Om006G273270, Om005G179050	XP_002892097.1
OG0006368	Om007G301660	XP_002873653.1
OG0006369	Om007G300370	XP_002873707.1
OG0006370	Om007G300030	XP_020876599.1
OG0006371	Om007G300210	XP_020878554.1
OG0006372	Om007G298550	XP_020878122.1
OG0006373	Om007G297720	XP_020877936.1
OG0006374	Om007G296850	XP_002871772.1
OG0006375	Om005G212120	XP_020890353.1, XP_002888616.1
OG0006376	Om007G296670	XP_002873843.1
OG0006377	Om007G296490	XP_020877795.1
OG0006378	Om007G295610, Om007G295650	XP_002871823.1
OG0006379	Om007G308230	XP_020878216.1
OG0006380	Om006G256330	XP_020880640.1
OG0006381	Om004G169990	XP_020878473.1
OG0006383	Om004G170690	XP_020875914.1
OG0006384	Om004G170900	XP_002873232.1
OG0006385	Om004G157310	XP_020876853.1
OG0006386	Om006G240300	XP_020877898.1
OG0006387	Om006G240080	XP_020876848.1
OG0006388	Om006G252910	XP_020881416.1
OG0006389	Om006G239140	XP_020876768.1
OG0006391	Om006G238550	XP_002872084.1
OG0006392	Om006G238400	XP_020877890.1
OG0006393	Om006G238340, Om006G238350	XP_020879372.1
OG0006394	Om006G237160	XP_002864716.1
OG0006395	Om006G236460	XP_002864744.1
OG0006396	Om006G236090	XP_002866463.1
OG0006397	Om006G235820, Om006G235830	XP_002864773.2
OG0006398	Om006G235710	XP_020871540.1
OG0006399	Om006G235630	XP_002864786.1
OG0006401	Om006G235000	XP_020887970.1
OG0006402	Om007G293970, Om006G234990	XP_002866511.1
OG0006403	Om006G247390	XP_020871466.1
OG0006404	Om006G247800	XP_020882226.1
OG0006405	Om006G257620	XP_020881059.1
OG0006406	Om006G257710	XP_002876066.1
OG0006407	Om006G257760	XP_020882351.1
OG0006408	Om006G259730	XP_020881943.1
OG0006409	Om006G261570	XP_020881403.1
OG0006410	Om006G263700	XP_002877585.1
OG0006411	Om006G267860	XP_020881723.1
OG0006412	Om005G210960	XP_002888663.1
OG0006413	Om001G031790, Om005G182060	XP_020881128.1
OG0006414	Om005G211950	XP_002888623.1
OG0006415	Om004G148080	XP_020866849.1
OG0006416	Om005G211890	XP_002887146.1
OG0006417	Om005G210130	XP_020889923.1
OG0006418	Om005G209760	XP_020865772.1
OG0006419	Om005G209190	XP_020865971.1
OG0006420	Om005G208840	XP_020865618.1
OG0006421	Om005G208440	XP_020875288.1
OG0006422	Om005G195290	XP_020873206.1, XP_020870532.1
OG0006423	Om005G206240	XP_020890593.1
OG0006424	Om008G333200, Om005G205780	XP_020891267.1
OG0006425	Om004G143210	XP_002887407.1
OG0006426	Om004G165120	XP_020876735.1
OG0006427	Om004G142910	XP_020889937.1
OG0006428	Om004G133730	XP_020889781.1
OG0006429	Om004G134280	XP_020865944.1
OG0006431	Om005G200040	XP_020890221.1
OG0006432	Om004G138380	XP_020889679.1
OG0006433	Om004G137940, Om008G351040	XP_002887588.1
OG0006434	Om004G138530	XP_002888993.1
OG0006435	Om004G140690	XP_002888943.1
OG0006436	Om004G141750	XP_002888912.1
OG0006437	Om004G142450	XP_002888882.2
OG0006438	Om004G132240	XP_020891606.1
OG0006439	Om004G132080	XP_020891713.1
OG0006440	Om004G131820	XP_020890244.1
OG0006441	Om004G130770	XP_020890394.1
OG0006442	Om002G056690	XP_002884931.1
OG0006443	Om002G058820	XP_020886605.1
OG0006444	Om003G093160	XP_002891741.1
OG0006445	Om002G060800	XP_020886837.1
OG0006446	Om002G061140	XP_002885094.1
OG0006447	Om002G061500	XP_020887061.1
OG0006448	Om002G062010	XP_002885127.1
OG0006449	Om002G063610	XP_020889215.1
OG0006450	Om006G260740	XP_002875954.1
OG0006451	Om002G064020	XP_020889142.1
OG0006452	Om002G064070, Om003G112080	XP_002885213.1
OG0006453	Om002G064110	XP_002885215.1
OG0006454	Om002G064220	XP_002883071.1
OG0006455	Om002G064490	XP_002885227.1
OG0006456	Om002G064580	XP_020889125.1
OG0006457	Om002G064600	XP_020889189.1
OG0006458	Om002G064630	XP_002883095.1
OG0006459	Om002G064760	XP_002885236.1, XP_002862807.1
OG0006460	Om003G101970	XP_020873925.1
OG0006461	Om002G065120	XP_002883119.1
OG0006462	Om002G065480	XP_020887394.1
OG0006463	Om002G065950	XP_002883152.1
OG0006464	Om002G065990	XP_002885281.1
OG0006465	Om002G066930	XP_020887668.1
OG0006466	Om002G067610	XP_020889037.1
OG0006467	Om002G068040	XP_002885368.1
OG0006469	Om002G068710	XP_002883270.1
OG0006470	Om002G068900	XP_002883277.1
OG0006471	Om002G069640	XP_002883311.1
OG0006472	Om002G070540	XP_020886721.1
OG0006473	Om002G070630	XP_020886713.1
OG0006474	Om002G071140	XP_020886723.1, XP_002862780.1
OG0006475	Om002G071260	XP_020886931.1
OG0006476	Om002G071820	XP_002883411.1
OG0006477	Om002G071870	XP_002885560.1, XP_002862443.1
OG0006478	Om002G072460	XP_002883434.1
OG0006479	Om002G073360	XP_002883508.1
OG0006480	Om002G076130	XP_002883647.1
OG0006481	Om002G081660	XP_002885962.1
OG0006482	Om002G042140, Om003G099620, Om002G083790	XP_020889063.1
OG0006483	Om002G084250	XP_020887285.1
OG0006484	Om002G084560	XP_020886511.1
OG0006485	Om002G086040	XP_020888691.1
OG0006486	Om002G085690, Om006G261250	XP_020889069.1
OG0006487	Om002G085550	XP_020889289.1
OG0006488	Om002G087020	XP_020888403.1
OG0006490	Om002G088240	XP_020887327.1
OG0006491	Om002G088400	XP_020888562.1
OG0006493	Om005G209640	XP_002894525.1
OG0006493	Om001G004000	XP_020881559.1
OG0006494	Om003G090570	XP_020870713.1
OG0006495	Om003G091240	XP_020870143.1
OG0006496	Om003G091380	XP_020869983.1, XP_020866326.1
OG0006497	Om003G091470	XP_002891791.1
OG0006498	Om003G092870	XP_002891751.1
OG0006499	Om003G093120	XP_002894437.1
OG0006500	Om003G094890	XP_002894357.1
OG0006501	Om003G095240	XP_002891672.1
OG0006502	Om003G096030	XP_020868772.1, XP_020869450.1
OG0006503	Om003G095920	XP_020870847.1
OG0006504	Om003G097110	XP_020867111.1
OG0006505	Om003G097750	XP_020890727.1, XP_002894222.1
OG0006506	Om003G097930, Om003G097920	XP_020866708.1
OG0006507	Om003G099950	XP_002891407.1, XP_002894090.1
OG0006508	Om003G100340	XP_002868157.1
OG0006509	Om008G339850	XP_002879508.1
OG0006510	Om008G339870	XP_020871737.1, XP_020885052.1
OG0006511	Om008G339940	XP_020882793.1
OG0006512	Om008G339960	XP_002879502.1
OG0006513	Om006G256470	XP_002877843.1
OG0006514	Om006G256430	XP_002876127.1
OG0006515	Om006G252780, Om005G213580	XP_020880472.1
OG0006516	Om006G251930	XP_002876302.1
OG0006517	Om006G251920	XP_020880021.1
OG0006518	Om006G251200	XP_002876341.1
OG0006519	Om006G250480	XP_002876363.1
OG0006520	Om003G119500	XP_020880240.1
OG0006521	Om003G120390	XP_020881317.1
OG0006522	Om003G122520	XP_002878236.1
OG0006523	Om003G124680	XP_002876539.1
OG0006526	Om003G127090	XP_002878408.1
OG0006527	Om003G127500	XP_020880831.1
OG0006528	Om003G128740	XP_002878489.2
OG0006529	Om003G129060	XP_002865292.1, XP_002878503.1
OG0006530	Om002G066600	XP_002878504.1
OG0006531	Om003G129300	XP_002878518.1
OG0006532	Om006G256480	XP_002876125.1
OG0006533	Om006G257120	XP_002877810.1
OG0006534	Om004G174780, Om004G174800	XP_020879237.1
OG0006535	Om008G347130, Om008G347280	XP_020881812.1, XP_020881506.1
OG0006536	Om002G062860	XP_020889120.1
OG0006538	Om004G134260	XP_020891396.1
OG0006539	Om001G023730	XP_002869457.2
OG0006540	Om005G185430	XP_020868756.1
OG0006541	Om005G203250	XP_002890423.2
OG0006542	Om005G211090	XP_002887176.1
OG0006543	Om004G159260	XP_020879475.1
OG0006544	Om002G071100	XP_002883376.1
OG0006548	Om005G220480	YP_009357258.1
OG0006549	Om001G009360	XP_020873672.1
OG0006551	Om005G186670	XP_002878041.1
OG0006556	Om001G002450	XP_020875482.1
OG0006558	Om002G048530	XP_020885891.1
OG0006558	Om008G351470	XP_002872586.1, XP_020891755.1
OG0006570	Om001G022810	XP_002869496.1
OG0006571	Om001G023050	XP_002867442.1
OG0006572	Om001G023250	XP_002869483.1
OG0006573	Om001G023350	XP_002869477.1
OG0006574	Om001G024010, Om001G024000	XP_020872513.1
OG0006575	Om001G024070	XP_002869446.1
OG0006576	Om001G024720	XP_002867397.1
OG0006577	Om001G025200	XP_020874506.1
OG0006578	Om004G176550	XP_002865617.1
OG0006579	Om001G026240	XP_020875737.1
OG0006580	Om001G027460	XP_020875696.1
OG0006581	Om001G027670	XP_020875642.1
OG0006582	Om001G027830	XP_020872386.1
OG0006583	Om001G028730	XP_020872815.1
OG0006584	Om001G029020	XP_020874339.1
OG0006585	Om001G029520	XP_020874675.1
OG0006586	Om005G200570	XP_020867391.1
OG0006587	Om001G029700	XP_020872446.1, XP_020875632.1
OG0006589	Om001G031480	XP_020872573.1
OG0006590	Om001G031740	XP_002869186.1
OG0006592	Om001G033050	XP_020872145.1
OG0006593	Om001G033390	XP_020872041.1
OG0006594	Om001G033590	XP_002886065.1, XP_002867098.1
OG0006595	Om001G033600	XP_002867097.1
OG0006596	Om001G033740	XP_020875345.1
OG0006597	Om001G034250	XP_020873207.1
OG0006598	Om007G291740	XP_002893672.1
OG0006599	Om007G276820	XP_002893724.1
OG0006600	Om007G276490	XP_002868085.1
OG0006601	Om007G276260	XP_020874277.1
OG0006602	Om007G276250	XP_002870131.1
OG0006603	Om007G276020	XP_002870142.1
OG0006604	Om008G338150	XP_020883729.1
OG0006605	Om003G098950	XP_020878419.1
OG0006606	Om005G187910	XP_020868190.1
OG0006607	Om005G219630	XP_002888199.2
OG0006608	Om005G189090	XP_020868835.1
OG0006609	Om005G222120	XP_020890036.1
OG0006610	Om005G190310	XP_002892642.1
OG0006611	Om005G190410	XP_020868647.1
OG0006612	Om005G190930	XP_020868950.1
OG0006613	Om005G195750	XP_020870780.1
OG0006615	Om003G096600	XP_002876750.2
OG0006616	Om006G275090, Om008G351110	XP_020882316.1
OG0006617	Om006G274260	XP_002875183.1
OG0006618	Om005G193840	XP_002892778.1
OG0006619	Om005G193710	XP_020868218.1
OG0006620	Om006G273510	XP_020880857.1
OG0006621	Om006G273310	XP_002875266.2
OG0006622	Om006G272900	XP_002875287.1
OG0006623	Om006G272530	XP_020881157.1
OG0006624	Om006G272490	XP_002876970.1
OG0006625	Om006G272140	XP_020881191.1
OG0006626	Om006G272100	XP_002875337.1
OG0006629	Om006G271140	XP_020880705.1
OG0006630	Om006G271120	XP_020881130.1
OG0006631	Om006G269840	XP_020880976.1
OG0006632	Om008G334190	XP_020879692.1
OG0006633	Om004G167380	XP_002875469.1
OG0006634	Om006G269520	XP_020879900.1
OG0006635	Om003G116210	XP_020885230.1
OG0006636	Om005G215510	XP_002886792.1
OG0006637	Om005G215570	XP_002888301.1
OG0006638	Om005G215600	XP_020890955.1
OG0006640	Om003G106420	XP_020882122.1
OG0006641	Om005G215810	XP_020890633.1
OG0006642	Om006G232080	XP_002870592.1
OG0006643	Om007G318450	XP_020872092.1
OG0006644	Om005G227190	XP_002886373.1
OG0006645	Om005G225980	XP_002887967.1
OG0006646	Om005G225620	XP_020865977.1, XP_020871991.1
OG0006647	Om008G329330	XP_020883959.1
OG0006648	Om002G051570	XP_020886470.1
OG0006649	Om002G051620	XP_020889483.1
OG0006650	Om001G034740	XP_002869084.1
OG0006651	Om002G051800	XP_002882611.1, XP_002862963.1
OG0006652	Om004G174710	XP_020877438.1
OG0006653	Om002G052870	XP_020888966.1
OG0006654	Om002G053610	XP_002882684.2, XP_002883823.1
OG0006655	Om002G053880	XP_002882695.1
OG0006656	Om002G054200	XP_020887354.1
OG0006657	Om002G054310	XP_020888280.1
OG0006658	Om002G054300	XP_020888195.1
OG0006659	Om002G054870	XP_020888243.1
OG0006660	Om002G055200	XP_002862710.1, XP_002884855.1
OG0006661	Om002G055290	XP_020888240.1
OG0006662	Om002G055430	XP_002884867.1
OG0006663	Om002G055680	XP_002882764.1
OG0006664	Om002G055780	XP_020888288.1
OG0006665	Om002G056180	XP_002882777.1
OG0006666	Om003G109350	XP_020871826.1
OG0006667	Om006G241740	XP_020879021.1
OG0006668	Om007G285870	XP_020873822.1
OG0006669	Om003G112030	XP_002864095.1
OG0006670	Om003G112450	XP_020871971.1
OG0006671	Om003G113640	XP_020888605.1
OG0006672	Om003G113730	XP_002865917.1
OG0006674	Om003G114380	XP_020871763.1
OG0006675	Om003G114850	XP_002865972.1
OG0006676	Om003G115850	XP_002866025.1
OG0006677	Om003G115440	XP_020884353.1
OG0006678	Om002G043340	XP_002866042.1
OG0006679	Om003G116100	XP_002864335.1
OG0006680	Om003G116180	XP_002864345.1
OG0006681	Om003G116340	XP_002864350.1
OG0006682	Om003G116780	XP_020883573.1
OG0006684	Om003G117780	XP_020881740.1
OG0006685	Om003G118550	XP_002864443.1
OG0006686	Om003G119160	XP_020871282.1
OG0006687	Om006G249660	XP_020879968.1
OG0006688	Om006G249540	XP_020887338.1
OG0006689	Om006G249250	XP_002866209.1, XP_020878916.1
OG0006691	Om007G313250	XP_002865571.1
OG0006692	Om004G161990	XP_002873592.1
OG0006693	Om004G162060	XP_002873588.1
OG0006694	Om004G162190	XP_002873579.1
OG0006695	Om004G162270	XP_020876258.1
OG0006696	Om004G165180, Om004G165200	XP_002871427.1
OG0006697	Om004G165370	XP_002873462.1
OG0006698	Om004G165860	XP_002871407.1
OG0006699	Om004G165960	XP_020878008.1
OG0006700	Om004G166310	XP_020878436.1
OG0006701	Om006G233320	XP_002866597.1
OG0006702	Om004G167010	XP_002873391.2
OG0006703	Om004G167350	XP_020877628.1
OG0006704	Om004G167640	XP_020878593.1
OG0006705	Om004G167760	XP_002871315.1
OG0006706	Om004G168000	XP_020878887.1
OG0006707	Om004G168480	XP_002871282.1
OG0006708	Om001G000070	XP_020873210.1
OG0006709	Om001G000120	XP_002870111.1
OG0006710	Om001G000600	XP_020872602.1
OG0006711	Om001G000640	XP_002868047.1
OG0006712	Om001G001320	XP_002868018.1
OG0006713	Om001G001360	XP_020875354.1
OG0006714	Om001G001840	XP_020874375.1
OG0006716	Om001G003210	XP_002867966.1
OG0006717	Om001G003750	XP_002869995.1
OG0006718	Om001G004570	XP_020872410.1
OG0006719	Om001G004660	XP_020874978.1
OG0006720	Om008G356910	XP_002863545.1
OG0006721	Om001G005750	XP_002869944.1
OG0006722	Om001G005840	XP_002869938.1
OG0006723	Om003G120900, Om001G000090, Om008G353620	XP_002870113.1
OG0006724	Om001G007270	XP_020873789.1
OG0006725	Om001G007870	XP_020873792.1, XP_002869867.1
OG0006726	Om001G008090	XP_002867819.1
OG0006727	Om001G009350	XP_020873494.1
OG0006728	Om001G010650	XP_020873674.1
OG0006729	Om001G010620	XP_002869777.1
OG0006730	Om001G010840	XP_002867698.1
OG0006731	Om001G011060	XP_002869764.2, XP_020878811.1
OG0006732	Om001G011120	XP_020873481.1
OG0006733	Om001G011300	XP_002869750.1
OG0006734	Om001G011390	XP_002867682.1
OG0006735	Om001G011410	XP_002869745.1
OG0006736	Om001G011640, Om001G011620	XP_020873787.1
OG0006737	Om001G011660	XP_002869735.1
OG0006739	Om001G014250	XP_020868074.1
OG0006740	Om005G199910	XP_020869444.1
OG0006741	Om001G015480	XP_002893979.1
OG0006742	Om001G015820	XP_002891270.1, XP_020870458.1
OG0006743	Om005G195900	XP_020866389.1
OG0006745	Om007G287330	XP_020869358.1
OG0006746	Om007G288170	XP_002893493.1
OG0006747	Om005G185400	XP_020868458.1
OG0006748	Om001G017120, Om007G302580	XP_020873253.1
OG0006749	Om007G287970	XP_002890746.1
OG0006750	Om007G287760	XP_020868940.1
OG0006751	Om007G288090	XP_020870635.1
OG0006752	Om002G087850	XP_002886003.1
OG0006753	Om007G288880	XP_002890780.1
OG0006754	Om007G289370	XP_020866902.1
OG0006755	Om007G289390	XP_020866903.1
OG0006756	Om007G289460	XP_002893552.1
OG0006757	Om007G289660	XP_002893557.1
OG0006758	Om007G290200	XP_002890828.1
OG0006759	Om007G290550	XP_020866626.1
OG0006760	Om007G290880	XP_020869951.1
OG0006761	Om007G291000	XP_020866910.1
OG0006763	Om007G291630	XP_020868657.1
OG0006764	Om001G035070	XP_020875053.1
OG0006765	Om001G035920	XP_002867029.1
OG0006766	Om001G036490	XP_002867005.1
OG0006767	Om001G036690	XP_002866995.1
OG0006768	Om001G037370	XP_002866969.1
OG0006769	Om001G037600	XP_002866965.2
OG0006770	Om001G038380	XP_020875165.1
OG0006771	Om001G038430	XP_002868977.2
OG0006773	Om004G154090	XP_020884237.1
OG0006775	Om004G156240	XP_020884995.1
OG0006776	Om001G041160	XP_020872762.1
OG0006777	Om001G041440	XP_020872408.1
OG0006778	Om001G041660	XP_002866800.1
OG0006779	Om003G098480	XP_020870860.1, XP_020882673.1
OG0006781	Om008G338730	XP_020885828.1
OG0006782	Om006G245500	XP_020878486.1, XP_020877484.1
OG0006783	Om001G015740	XP_002893967.1
OG0006784	Om008G340370	XP_002879483.1
OG0006785	Om001G030510, Om001G030010	XP_002879472.1
OG0006786	Om007G287720, Om008G341850	XP_002863725.1
OG0006787	Om008G341870	XP_020871179.1
OG0006788	Om003G124830	XP_020870282.1
OG0006789	Om002G044250	XP_020889319.1
OG0006791	Om008G351250	XP_020877941.1
OG0006792	Om008G351750	XP_020878226.1
OG0006793	Om008G351850	XP_020877949.1, XP_002872610.1, XP_002887091.1
OG0006794	Om004G144520	XP_002872619.1, XP_002872612.1
OG0006795	Om008G352810	XP_002874726.1
OG0006796	Om008G352130	XP_020877674.1
OG0006797	Om008G353930	XP_020877696.1
