Orthogroup	Odontarrhena_muralis	Arabidopsis_lyrata_Rawat
OG0006699	Om004G165960	AL6G20550
OG0006700	Om004G166310	AL6G20260
OG0006701	Om006G233320	AL8G41400
OG0006702	Om004G167010	AL6G19670
OG0006703	Om004G167350	AL6G19230
OG0006704	Om004G167640	AL6G18820
OG0006705	Om004G167760	AL6G18690
OG0006706	Om004G168000	AL6G18430
OG0006707	Om004G168480	AL6G18020
OG0006708	Om001G000070	AL7G37480
OG0006709	Om001G000120	AL7G37410
OG0006711	Om001G000640	AL7G36920
OG0006712	Om001G001320	AL7G36440
OG0006713	Om001G001360	AL7G36400
OG0006714	Om001G001840	AL7G36180
OG0006716	Om001G003210	AL7G35170
OG0006717	Om001G003750	AL7G34870
OG0006718	Om001G004570	AL7G34410
OG0006719	Om001G004660	AL7G34360
OG0006720	Om008G356910	AL8G14730
OG0006721	Om001G005750	AL7G33640
OG0006722	Om001G005840	AL7G33570
OG0006723	Om003G120900, Om001G000090, Om008G353620	AL7G37440
OG0006724	Om001G007270	AL7G32620
OG0006725	Om001G007870	AL7G31630, AL7G32200
OG0006726	Om001G008090	AL7G32030
OG0006727	Om001G009350	AL7G30920
OG0006728	Om001G010650	AL7G29990
OG0006729	Om001G010620	AL4G33920, AL7G29950
OG0006730	Om001G010840	AL7G29720
OG0006731	Om001G011060	AL7G29590, AL6G45280
OG0006732	Om001G011120	AL7G29530
OG0006733	Om001G011300	AL7G29340
OG0006734	Om001G011390	AL7G29290
OG0006735	Om001G011410	AL7G29270
OG0006736	Om001G011640, Om001G011620	AL7G29160
OG0006737	Om001G011660	AL7G29140
OG0006739	Om001G014250	AL1G50630
OG0006740	Om005G199910	AL1G30720
OG0006741	Om001G015480	AL1G52160
OG0006742	Om001G015820	AL1G51850, AL1G51860
OG0006743	Om005G195900	AL1G27310
OG0006745	Om007G287330	AL1G53410
OG0006746	Om007G288170	AL1G41390
OG0006747	Om005G185400	AL1G17800
OG0006748	Om001G017120, Om007G302580	AL7G29080
OG0006749	Om007G287970	AL1G41240
OG0006750	Om007G287760	AL1G53110
OG0006751	Om007G288090	AL1G41310
OG0006752	Om002G087850	AL3G48030
OG0006753	Om007G288880	AL1G42130
OG0006754	Om007G289370	AL1G42840
OG0006755	Om007G289390	AL1G42860
OG0006756	Om007G289460	AL1G42910
OG0006758	Om007G290200	AL1G43590
OG0006759	Om007G290550	AL1G43980
OG0006760	Om007G290880	AL1G44260
OG0006761	Om007G291000	AL1G44390
OG0006763	Om007G291630	AL1G45160
OG0006764	Om001G035070	AL7G15400
OG0006765	Om001G035920	AL7G14830
OG0006766	Om001G036490	AL7G14450
OG0006767	Om001G036690	AL7G14280
OG0006768	Om001G037370	AL7G13770
OG0006769	Om001G037600	AL7G13690
OG0006770	Om001G038380	AL7G13150
OG0006771	Om001G038430	AL7G13110
OG0006773	Om004G154090	AL4G12150
OG0006775	Om004G156240	AL4G10410
OG0006776	Om001G041160	AL7G10780
OG0006777	Om001G041440	AL7G10510
OG0006778	Om001G041660	AL7G10330
OG0006779	Om003G098480	AL1G56120, AL4G25080
OG0006781	Om008G338730	AL4G31520
OG0006782	Om006G245500	AL6G42680, AL6G41660
OG0006783	Om001G015740	AL1G51990
OG0006784	Om008G340370	AL4G30100
OG0006785	Om001G030510, Om001G030010	AL4G29540
OG0006786	Om007G287720, Om008G341850	AL8G18060
OG0006787	Om008G341870	AL8G18180
OG0006788	Om003G124830	AL8G18800
OG0006789	Om002G044250	AL3G12290
OG0006791	Om008G351250	AL6G45470
OG0006792	Om008G351750	AL6G46180
OG0006793	Om008G351850	AL6G46430, AL6G46300, AL2G25300
OG0006794	Om004G144520	AL6G46440, AL6G46320
OG0006795	Om008G352810	AL6G46530
OG0006796	Om008G352130	AL6G46900
OG0006797	Om008G353930	AL6G47950
OG0006798	Om008G354320	AL6G48270
OG0006799	Om008G355720	AL6G49170
OG0006800	Om008G355900	AL8G15540
OG0006802	Om001G021000	AL7G25120
OG0006803	Om008G358880	AL8G12750
OG0006804	Om008G359550	AL8G12380
OG0006805	Om008G360970	AL8G11720
OG0006806	Om008G361200	AL8G11650
OG0006807	Om008G361430	AL8G11610
OG0006808	Om008G361490	AL8G11540
OG0006809	Om008G361580	AL8G11440
OG0006810	Om008G361910	AL8G11170
OG0006811	Om008G334640	AL4G34970
OG0006812	Om008G362750	AL8G10350
OG0006813	Om007G302850, Om005G212700	AL8G10210
OG0006814	Om002G059480	AL3G52010
OG0006815	Om002G075900	AL3G41950
OG0006816	Om002G074880, Om002G074960	AL26U10010
OG0006817	Om002G074420	AL3G40280
OG0006818	Om003G104240	AL9U10660
OG0006819	Om003G103420	nbis-gene-1868
OG0006820	Om002G071410	AL3G37340
OG0006821	Om003G102420	AL7G41150
OG0006822	Om003G102300	AL7G41040
OG0006823	Om003G101540	AL7G40120
OG0006825	Om001G021070	AL7G39910
OG0006826	Om007G317410	AL7G49000
OG0006827	Om007G317670	AL7G48780
OG0006828	Om007G318530	AL7G47110
OG0006829	Om007G318540	AL7G47060
OG0006830	Om008G318670	AL4G47690
OG0006831	Om008G318720	AL4G47650
OG0006832	Om003G103940	AL5G15310, AL1G47770, AL8G14950
OG0006833	Om007G317160, Om008G319460	AL4G46980
OG0006834	Om008G340070	AL4G30490
OG0006835	Om008G320280	AL4G46290
OG0006836	Om008G320520	AL4G46130, AL4G46110
OG0006837	Om008G320950	AL4G45700
OG0006838	Om008G321050	AL4G45600
OG0006839	Om008G321310	AL4G45260
OG0006840	Om008G321360	AL4G45210
OG0006841	Om008G321540	AL4G45040
OG0006842	Om008G321780	AL4G44860
OG0006843	Om008G321800	AL4G44840
OG0006845	Om008G322920	AL4G43910
OG0006846	Om008G325330, Om008G325300	AL4G42050
OG0006847	Om008G325630	AL4G41790
OG0006848	Om008G326110	AL4G41450
OG0006849	Om008G326140	AL4G41420
OG0006850	Om008G326720	AL4G40830, AL409U10020
OG0006851	Om008G326880	AL4G40640
OG0006852	Om008G327450	AL4G40120
OG0006853	Om008G327990	AL4G39510
OG0006854	Om004G175780	AL6G11340
OG0006855	Om004G175990	AL6G11540
OG0006856	Om004G175660	AL6G11700
OG0006857	Om004G175650	AL6G11710
OG0006858	Om004G174850	AL6G12340
OG0006859	Om004G174720	AL6G12430
OG0006860	Om008G334550, Om008G334490, Om004G174630	AL6G12520
OG0006861	Om004G174470	AL6G12660
OG0006862	Om004G173640	AL6G13460
OG0006863	Om004G173610	nbis-gene-1449
OG0006864	Om007G289140	AL1G42450
OG0006865	Om006G241300	AL6G31190
OG0006867	Om006G241670	AL6G31490
OG0006868	Om006G241900	AL5G13030, AL6G31740
OG0006869	Om006G242030	AL6G31860
OG0006870	Om006G242600	AL6G32360
OG0006871	Om006G242690	nbis-gene-1546
OG0006872	Om006G242790	AL6G32530
OG0006873	Om006G243230	AL6G32900
OG0006874	Om006G243390	AL6G33050
OG0006875	Om006G244420	AL5G32330, AL6G34080
OG0006876	Om006G244680	AL8G37250
OG0006877	Om006G245060	AL8G36960
OG0006878	Om006G245460	AL8G36550
OG0006879	Om006G245700	AL8G36350
OG0006880	Om006G234530	AL8G40250
OG0006881	Om006G233790	AL8G41010
OG0006882	Om006G233780	AL8G41020
OG0006883	Om006G233550	AL8G41260
OG0006884	Om006G233450	AL8G41350
OG0006885	Om006G233240	AL8G41590, AL8G41560
OG0006886	Om003G099990	AL8G41660
OG0006887	Om006G233020	AL8G41800
OG0006888	Om006G232990	AL8G41810
OG0006889	Om006G232590	AL8G42250
OG0006890	Om006G232430	AL8G42400
OG0006891	Om006G232310	AL8G42500
OG0006892	Om006G232180	AL8G42590
OG0006893	Om006G231880	AL8G42930
OG0006894	Om006G231670	AL8G43090
OG0006895	Om006G230900	AL8G43830
OG0006896	Om006G230870	AL8G43870
OG0006897	Om006G230740	AL8G43980
OG0006898	Om005G211570	AL2G26840
OG0006899	Om006G229470	AL8G45130
OG0006900	Om004G152550, Om003G105280, Om004G137250, Om007G293280, Om006G275140	AL6G28340, AL6G28360
OG0006901	Om006G229360	AL8G45200
OG0006902	Om004G157050	AL6G53490
OG0006903	Om004G157300, Om001G027560	AL6G53260
OG0006904	Om004G157820	AL6G52770
OG0006905	Om004G157610	AL6G53010
OG0006906	Om004G158240	nbis-gene-1672
OG0006907	Om004G158550	AL6G52620
OG0006908	Om005G178780	AL1G11400
OG0006909	Om004G159380	AL6G51110
OG0006910	Om004G160480	AL6G50040
OG0006911	Om004G160580	AL6G49950
OG0006912	Om004G160740	AL6G49850
OG0006913	Om007G302230	AL6G49670
OG0006914	Om005G180750	AL1G13270
OG0006915	Om007G277470	AL8G16110
OG0006916	Om007G277530	AL8G16170
OG0006917	Om007G277610	AL8G16280
OG0006918	Om007G278340	AL4G29010
OG0006919	Om007G278670	AL4G28650
OG0006920	Om007G279180	AL4G27590
OG0006921	Om007G279060	AL4G28140
OG0006922	Om007G279010	AL4G28190
OG0006924	Om007G278850	AL4G28360
OG0006925	Om007G279500	AL4G27910
OG0006926	Om007G279440	AL4G27850
OG0006927	Om007G279610	AL4G27520, AL4G27510
OG0006928	Om007G279780	AL4G27400
OG0006929	Om007G280070	AL4G27070
OG0006930	Om007G280090	AL4G27050
OG0006931	Om007G280300	AL4G26830, AL762U10010
OG0006932	Om007G280990	AL4G26040
OG0006933	Om007G281270	AL4G25600
OG0006934	Om007G281520	AL4G25390
OG0006935	Om007G281690	AL4G25210
OG0006936	Om005G184420	AL1G16990
OG0006938	Om007G281980	AL500U10010, AL4G24860
OG0006939	Om007G282320	nbis-gene-1036
OG0006940	Om007G283010	AL146U10030
OG0006941	Om007G283180	AL4G23400
OG0006942	Om007G283310	AL4G23240
OG0006943	Om007G283510	AL4G23050
OG0006944	Om007G283670	AL4G21640
OG0006945	Om007G285200	AL4G20470
OG0006946	Om007G285100	AL4G20740, AL4G20640
OG0006947	Om007G285020	AL4G20880
OG0006948	Om007G284810	AL4G21260
OG0006949	Om007G284650	AL4G21450
OG0006950	Om004G150400	AL4G18380
OG0006951	Om001G030120	AL4G18010
OG0006952	Om001G006710	AL4G17680
OG0006953	Om002G042850	AL3G10860
OG0006954	Om001G017800	AL7G26550
OG0006955	Om001G019200	AL7G25900
OG0006956	Om002G042930	AL3G10950
OG0006957	Om002G043160	AL3G11150
OG0006958	Om002G043210	AL3G11170
OG0006959	Om002G043440	AL3G11400
OG0006960	Om002G043880	AL3G11940
OG0006961	Om002G044000	AL3G12040
OG0006962	Om002G044230	AL3G12270
OG0006963	Om002G044390	AL3G12430
OG0006964	Om002G044510	AL3G12570
OG0006965	Om002G045130	AL3G13370
OG0006966	Om002G045270	AL3G13510
OG0006967	Om002G045380	AL3G13670
OG0006968	Om002G045730	AL3G13940
OG0006969	Om002G045960	AL3G14250
OG0006970	Om002G046200	AL3G14380
OG0006971	Om002G046310	AL3G14590
OG0006972	Om002G046610	AL3G14950
OG0006973	Om002G046810, Om002G046820	AL3G15250
OG0006974	Om002G047420	AL3G15780
OG0006975	Om002G047610	AL3G16100
OG0006976	Om002G048360	AL3G16790
OG0006977	Om002G048370	AL3G16800
OG0006978	Om002G048480	AL3G16910
OG0006979	Om002G048730	AL3G17100
OG0006980	Om002G048790	AL3G17160
OG0006981	Om007G295720	AL6G29760
OG0006982	Om002G049460	AL504U10010, AL3G17900
OG0006983	Om003G096720, Om002G049490	AL3G17920
OG0006984	Om002G049730	AL3G18230
OG0006985	Om002G049870	AL3G18410
OG0006986	Om002G050130	AL3G18720
OG0006987	Om002G050590	AL3G19160
OG0006988	Om002G051440	AL3G20000
OG0006989	Om008G330280	AL4G37930, AL108U10010
OG0006990	Om008G330530	AL4G37820
OG0006991	Om008G330740	AL4G37690
OG0006992	Om008G331110	AL4G37380
OG0006993	Om008G331380	AL4G37230
OG0006994	Om008G331700	AL4G37040
OG0006995	Om008G332150	AL5G26030, AL4G36600
OG0006996	Om008G332060	AL4G36720
OG0006997	Om008G333020	AL4G36150
OG0006998	Om008G333090, Om008G333150	AL4G36090
OG0006999	Om008G333190	AL4G36050
OG0007000	Om008G333210	AL4G36040
OG0007001	Om008G338020	AL4G31980
OG0007002	Om008G337990	AL4G32000
OG0007003	Om008G337730	AL110U10020, AL4G32130
OG0007004	Om008G337700	AL4G32170
OG0007005	Om008G337560	AL4G32300
OG0007006	Om008G337440	AL4G32370
OG0007007	Om008G337120	AL4G32610
OG0007008	Om008G336090	AL4G33460
OG0007009	Om008G335910	AL4G33630
OG0007010	Om008G335810	AL4G33710
OG0007011	Om008G335770	AL4G33760, AL4G34370
OG0007012	Om008G335690	AL4G33830
OG0007013	Om008G334810	AL4G34830
OG0007014	Om008G334070	AL4G35320
OG0007015	Om008G333650, Om008G333620	AL4G35780
OG0007016	Om005G196610	AL1G27980
OG0007017	Om005G196690, Om004G130870	AL2G40760
OG0007018	Om005G197240	AL1G28450
OG0007020	Om005G197830	AL1G29020
OG0007021	Om005G197890	nbis-gene-96
OG0007022	Om005G198250	AL1G29310
OG0007023	Om004G142720	AL2G31990
OG0007024	Om005G198960	AL1G29950
OG0007025	Om005G199020	AL1G30030
OG0007026	Om005G199350	AL1G30200
OG0007027	Om005G199480	AL1G30310
OG0007028	Om005G200340	AL1G31050
OG0007029	Om005G200860	AL1G31550
OG0007030	Om005G200870	AL1G31560
OG0007031	Om005G201150	AL1G31790
OG0007032	Om005G201160	AL1G31800
OG0007033	Om005G201520	AL5G16560, AL1G32290
OG0007034	Om005G201650	AL1G32420
OG0007035	Om005G202720	AL1G33640
OG0007036	Om006G270700, Om007G286670	AL1G33910
OG0007037	Om005G203650	AL1G34510
OG0007038	Om005G204240	AL1G35080
OG0007039	Om005G204310	AL1G35150, AL1G35290
OG0007040	Om005G204520	AL1G35500
OG0007041	Om005G204550	AL1G35540, AL2G17640
OG0007042	Om005G205880	AL2G31450
OG0007043	Om004G143780	AL1G37210
OG0007044	Om004G144410	nbis-gene-144, AL1G37530
OG0007045	Om004G144510	AL1G37740
OG0007046	Om004G144830	AL1G38240
OG0007047	Om004G146890	AL1G39760
OG0007048	Om004G147680	AL1G40340
OG0007050	Om006G272670	AL7G28910
OG0007051	Om004G148330	AL7G28660
OG0007052	Om007G285590	AL7G28520
OG0007053	Om003G112800	AL8G25880
OG0007054	Om001G021060	AL7G25070
OG0007055	Om004G153320, Om018G373990	AL4G14860
OG0007056	Om004G152160	AL4G13530
OG0007057	Om008G334620	AL4G34990
OG0007058	Om004G154300, Om003G110600	AL4G12320
OG0007059	Om004G153640	AL4G11660
OG0007060	Om004G156540	AL4G10140
OG0007062	Om005G194780, Om005G194770	AL1G26510
OG0007063	Om005G194310, Om005G194300	AL1G26110
OG0007064	Om005G193870	AL1G25730
OG0007065	Om005G192890	AL1G24880
OG0007066	Om005G192610	AL1G24680
OG0007067	Om005G192530	AL1G24590
OG0007068	Om005G191900	AL1G23790
OG0007069	Om005G191830	AL1G23740
OG0007070	Om005G208960, Om005G191090	AL1G23040
OG0007072	Om005G190010	AL1G22220
OG0007073	Om005G189980	AL1G22190
OG0007074	Om005G189850	AL1G22040
OG0007075	Om005G189810	AL1G22020
OG0007076	Om005G188860	AL1G21070
OG0007077	Om005G188480	AL1G20720
OG0007078	Om005G188020	AL1G20290
OG0007079	Om005G188010	AL1G20280
OG0007080	Om005G187350	AL1G19760
OG0007081	Om005G187020	AL1G19440
OG0007082	Om005G186840	AL1G19230
OG0007083	Om005G186230	AL1G18690
OG0007084	Om006G262020, Om006G262060, Om008G320750	AL4G45920
OG0007085	Om005G185240	AL1G17630, AL1G17640
OG0007086	Om005G184960	AL1G17460
OG0007087	Om005G184930	AL1G17440
OG0007088	Om005G184370	AL1G16920
OG0007089	Om003G111600	AL8G25080
OG0007090	Om001G030370	AL7G18460
OG0007091	Om005G183660	AL1G16190
OG0007092	Om005G183500	AL1G16030
OG0007093	Om005G183120	AL1G15630
OG0007094	Om005G182130	AL1G14670
OG0007095	Om005G181900	AL1G14480
OG0007096	Om005G181790	AL1G14370
OG0007097	Om005G181530	AL1G14270
OG0007098	Om005G181570	AL1G14230
OG0007099	Om005G181320	AL1G13880
OG0007100	Om005G180430	AL1G13540, AL1G13000
OG0007101	Om005G180850	AL1G13430
OG0007102	Om005G179830	AL1G12440
OG0007103	Om005G179800	AL1G12410
OG0007104	Om005G179710	AL1G12340
OG0007105	Om005G179680	nbis-gene-1161, AL1G12300
OG0007106	Om005G178400	AL1G10920
OG0007107	Om006G257210	AL5G31960
OG0007108	Om005G177680	AL1G10200
OG0007109	Om007G301420	AL6G25070
OG0007110	Om007G301470	AL6G25040
OG0007111	Om007G301490	AL8G44270, AL6G25020
OG0007112	Om007G301630	AL6G24880
OG0007113	Om007G300780	nbis-gene-1517
OG0007114	Om007G299960	AL6G26230
OG0007115	Om007G300220	AL6G26030, AL6G26010
OG0007116	Om007G299500	AL6G26520
OG0007117	Om007G298370	AL6G27320
OG0007118	Om007G298100	AL7G52670, AL7G52680
OG0007119	Om007G298090	AL6G27560
OG0007120	Om002G083960, Om007G297540	AL6G27950
OG0007121	Om007G297280	AL6G28310
OG0007122	Om007G297090	AL6G28500
OG0007123	Om007G295400	AL6G29950
OG0007124	Om007G294840	AL6G30630
OG0007125	Om007G294610	AL6G38320
OG0007126	Om007G294440	AL6G38460
OG0007127	Om007G294070	AL6G39000
OG0007128	Om007G293640	AL6G39560
OG0007129	Om007G303300	AL6G40840
OG0007130	Om007G303680	AL8G23180
OG0007131	Om007G304570	AL8G22220
OG0007132	Om002G065080	AL8G22070
OG0007133	Om007G308140, Om002G074690	AL8G21150
OG0007134	Om007G306390, Om009G363540	AL8G21710
OG0007135	Om004G161330	AL6G24120
OG0007136	Om004G169590	AL6G17150
OG0007137	Om004G169930	AL6G16870
OG0007138	Om004G170130	AL6G16660
OG0007139	Om004G161350	AL6G24100
OG0007140	Om004G161360	nbis-gene-1513
OG0007141	Om004G170410	AL6G16360
OG0007142	Om004G171430	AL6G15450
OG0007143	Om004G172070	AL6G14860
OG0007144	Om004G172420	AL6G14560
OG0007145	Om008G335020, Om004G172290	AL6G14630
OG0007146	Om004G172820	AL6G14130
OG0007147	Om006G240990, Om006G240980	AL6G30960, AL6G30950
OG0007148	Om006G240580	AL6G37780
OG0007149	Om006G240550	AL6G37680
OG0007150	Om006G240520	AL6G37660
OG0007151	Om006G239750	AL6G36720
OG0007152	Om006G239710	AL6G36670, AL6G36680
OG0007153	Om006G239450	AL6G36450
OG0007154	Om006G239440	AL6G36440
OG0007155	Om006G238860	AL6G35680
OG0007156	Om006G238730	AL6G35480
OG0007157	Om006G238720	AL6G35470
OG0007158	Om006G261230	AL5G28400
OG0007159	Om006G238160	AL6G34910
OG0007160	Om006G238070	AL6G34800
OG0007161	Om006G237780	AL6G34560
OG0007162	Om006G237770	AL6G34550
OG0007163	Om006G237360	AL8G37500
OG0007164	Om006G237300	AL8G37540
OG0007165	Om006G237230	AL8G37610
OG0007166	Om006G236910	AL8G37890
OG0007167	Om006G236560	AL8G38230
OG0007168	Om006G235550	AL8G39300
OG0007169	Om006G235440	AL8G39390
OG0007170	Om006G235310	AL8G39480
OG0007171	Om006G235020	AL8G39740
OG0007172	Om006G263410, Om006G263400	AL5G27350
OG0007173	Om006G234820	AL8G39980
OG0007174	Om006G247400	AL8G34990
OG0007175	Om006G258130	AL5G31220
OG0007176	Om006G259740	AL5G29770
OG0007177	Om006G260200	AL5G29450
OG0007178	Om007G306780, Om006G263200	AL5G27480
OG0007181	Om006G266570	AL5G26160
OG0007182	Om006G245610	AL8G36420, AL5G24740
OG0007183	Om004G176350	AL5G23600
OG0007184	Om006G267660	AL5G23500
OG0007185	Om006G268790	AL5G22480
OG0007186	Om006G268620	AL5G21900
OG0007187	Om005G212360	AL2G26050
OG0007188	Om005G212410, Om005G212680	AL2G25990
OG0007190	Om002G051320	AL3G19890
OG0007191	Om005G209450	AL2G28500
OG0007192	Om005G209220	AL2G28710
OG0007193	Om005G211360	AL2G27000
OG0007194	Om005G208510	AL22U10090
OG0007195	Om005G208500	AL22U10080
OG0007196	Om005G208410	AL2G29210
OG0007197	Om005G207120	AL2G30240
OG0007198	Om005G206940	AL2G30450
OG0007199	Om005G206840	AL2G30570
OG0007200	Om005G206620	AL2G30790
OG0007201	Om005G205970	AL2G31350
OG0007202	Om004G143290	AL2G31550
OG0007203	Om006G241500	AL6G31380
OG0007204	Om004G133410, Om004G138880	AL2G38660
OG0007206	Om008G357930	AL8G13760
OG0007207	Om004G134900	AL2G37530
OG0007208	Om004G135030	AL2G37430
OG0007209	Om004G135640	AL2G36900
OG0007210	Om004G136090	AL2G36530
OG0007211	Om004G136550, Om004G136540	AL2G36330
OG0007212	Om004G136960	AL2G36110
OG0007213	Om004G137540	AL2G35720
OG0007214	Om004G137580	AL2G35690
OG0007215	Om004G138760	AL2G34860
OG0007216	Om004G138650	AL2G34790
OG0007217	Om004G138540	AL2G34720
OG0007218	Om004G138500	AL2G34680
OG0007219	Om004G139470	AL2G34350
OG0007220	Om004G140560	AL2G33570
OG0007221	Om004G141740	AL2G32980
OG0007222	Om005G225240, Om008G318630	AL4G47720
OG0007223	Om004G142170	AL2G32470
OG0007224	Om004G142640	AL2G32060
OG0007225	Om004G133300	AL2G38740
OG0007226	Om004G132840	AL262U10020, AL2G39090
OG0007227	Om002G053480	AL3G21930
OG0007228	Om004G131960	AL2G39880
OG0007229	Om004G131830	AL2G39990
OG0007230	Om004G131480	AL2G40290
OG0007231	Om005G196910	AL1G28150
OG0007231	Om004G131210	AL1G32490
OG0007232	Om004G129910, Om007G302980	AL2G41500
OG0007233	Om004G131120	AL2G40570
OG0007234	Om004G131040, Om004G131050, Om004G146080	AL2G40620
OG0007235	Om004G130910	AL2G40740
OG0007236	Om004G130610	AL4G18160, AL2G40890
OG0007237	Om005G196540	AL1G27930
OG0007238	Om004G130200, Om001G006300	AL1G33500, AL2G41240
OG0007239	Om002G056200, Om004G130150	AL2G41300, AL3G17940
OG0007240	Om002G056910	AL3G24720
OG0007241	Om002G056980	AL3G24750
OG0007242	Om002G067980	AL3G25500
OG0007243	Om002G058080	AL3G25780, AL180U10020
OG0007244	Om002G058330	AL3G26010
OG0007245	Om002G058890	AL3G26410
OG0007246	Om002G058960	AL3G26470
OG0007247	Om002G059610	AL3G26930
OG0007248	Om002G060690	AL3G27870
OG0007249	Om002G060930	AL3G28090
OG0007250	Om002G061120	AL3G28180
OG0007251	Om002G061410	AL3G28420
OG0007252	Om002G061470	AL3G28470
OG0007253	Om002G061850	AL810U10030, AL3G28700
OG0007254	Om002G061860	AL3G28710
OG0007255	Om002G061960	AL3G28830
OG0007256	Om002G062050	AL3G28890
OG0007257	Om006G275130, Om002G065260	AL3G31560
OG0007258	Om002G063570	AL3G30040
OG0007259	Om002G063750	AL3G30230
OG0007261	Om002G064520	AL3G30950
OG0007262	Om002G064540	AL3G30970
OG0007263	Om002G064680	AL3G31110
OG0007264	Om002G064850	AL3G31250
OG0007265	Om002G065040	AL3G31340
OG0007266	Om002G065510	AL3G31770
OG0007267	Om002G065850	AL3G32120
OG0007268	Om002G066070	AL3G32240
OG0007269	Om002G066620	AL3G32670
OG0007270	Om002G066680	AL3G32760
OG0007271	Om002G066770	AL3G32830
OG0007272	Om002G066830	AL3G32890
OG0007273	Om002G067120	AL3G33150
OG0007274	Om002G067500	AL3G33640
OG0007275	Om002G067920	AL3G33940
OG0007276	Om002G068880	AL3G34850
OG0007277	Om002G069200	AL3G35200
OG0007278	Om002G069620	AL3G35660
OG0007279	Om002G069500	AL3G35500
OG0007280	Om002G069490	AL3G35480
OG0007281	Om002G069390	AL3G35390
OG0007282	Om002G070430	AL3G36350
OG0007283	Om002G070440	AL3G36380
OG0007284	Om002G070570	AL3G36560
OG0007285	Om002G070580, Om002G045070	AL3G36570
OG0007286	Om002G070810	AL3G36790
OG0007287	Om002G070980	AL3G36950
OG0007288	Om002G071080	AL3G37060
OG0007289	Om002G072650	AL3G38310
OG0007290	Om002G072740	AL3G38560
OG0007291	Om002G072840	AL3G38650
OG0007292	Om002G073150	AL3G39090
OG0007293	Om003G095730	AL8G20560, AL3G39270
OG0007294	Om002G073880	AL3G39850
OG0007295	Om002G074200	AL3G40060
OG0007296	Om004G163750	AL3G44920
OG0007297	Om007G283830	AL4G21890
OG0007298	Om002G077860	AL3G44830
OG0007299	Om002G081180	nbis-gene-852
OG0007301	Om002G083680	AL3G49970
OG0007302	Om002G083890	AL3G50230
OG0007303	Om002G084390	AL3G50710
OG0007304	Om002G085070, Om002G085060, Om002G085050	AL3G51340
OG0007305	Om002G086390	AL3G53010
OG0007306	Om002G086810	AL3G49030
OG0007307	Om002G087250	AL3G48650
OG0007308	Om002G088180	AL3G53400
OG0007309	Om002G056450	AL3G24340
OG0007310	Om003G090230	AL1G63600
OG0007311	Om003G090640, Om004G130800	AL1G63340
OG0007312	Om003G090870	AL1G63230
OG0007313	Om003G092150, Om003G092040	AL1G62470
OG0007314	Om003G094320	AL1G60860
OG0007315	Om003G094760	AL1G60410
OG0007316	Om003G094880	AL1G60240
OG0007317	Om003G095500	AL1G59690
OG0007318	Om003G095660, Om004G131340	AL1G59520
OG0007319	Om003G097530	AL1G57590
OG0007320	Om003G098320	AL1G56310
OG0007321	Om003G099140	AL1G55450
OG0007322	Om003G098970	AL1G55760
OG0007323	Om003G099580	AL1G55040
OG0007324	Om003G099730	AL1G54840
OG0007325	Om003G100090	AL1G54460
OG0007327	Om003G100230	AL7G38900
OG0007328	Om003G100690	AL7G39340
OG0007329	Om008G339610	AL4G30790
OG0007331	Om006G256520	AL3G35760
OG0007332	Om006G256500	AL5G32640
OG0007333	Om006G256120	AL5G33010
OG0007334	Om006G255860	AL5G33200
OG0007335	Om006G255850	AL5G33210
OG0007336	Om006G255000	AL5G34060
OG0007337	Om006G256800	AL5G32280
OG0007338	Om006G256910	AL5G32190
OG0007339	Om006G253330, Om006G253310	AL5G35450
OG0007340	Om006G253070	AL5G35690
OG0007341	Om006G252700	AL5G36000
OG0007342	Om006G251900	AL5G36620
OG0007343	Om002G065760, Om001G029410	AL7G19290
OG0007344	Om006G251320	AL5G37090
OG0007345	Om003G119400	AL5G37840
OG0007346	Om003G119810	AL5G38230
OG0007347	Om003G122460	AL5G40430
OG0007348	Om003G122480	AL5G40460
OG0007349	Om003G123890	AL5G41640, AL5G41610, AL5G41540
OG0007350	Om003G125600	AL5G42910
OG0007351	Om003G125770	AL5G43020
OG0007352	Om003G126340	AL5G43590
OG0007353	Om003G127610	AL5G44680
OG0007354	Om003G127720	AL5G29560, AL5G44850
OG0007355	Om003G129010	AL5G46030
OG0007356	Om003G094610	nbis-gene-956, AL1G60560
OG0007357	Om008G332810	AL4G20400, AL4G36260
OG0007360	Om003G127770	AL5G44920
OG0007361	Om008G362880	AL8G10220
OG0007363	Om008G340180	AL4G30360
OG0007364	Om008G339920	AL4G30550
OG0007365	Om008G339430	AL4G30930
OG0007366	Om008G321430	AL4G46610
OG0007367	Om002G072590	nbis-gene-765
OG0007368	Om004G137950	AL2G35290
OG0007369	Om004G139420	AL2G34380
OG0007370	Om001G028790	AL7G19850
OG0007371	Om001G035860	AL7G14890
OG0007372	Om005G181700	AL1G14090
OG0007373	Om005G191750	AL1G23650
OG0007374	Om002G064360	AL3G30810
OG0007376	Om002G061650	AL3G28590
OG0007379	Om004G161800	AL6G23730
OG0007380	Om001G008100	AL7G32020
OG0007381	Om001G003140	AL7G35210
OG0007382	Om001G002160	AL7G36240
OG0007384	Om007G284750, Om007G284720	AL4G21350
OG0007385	Om007G297390	AL6G28200
OG0007386	Om007G293180	AL6G40530
OG0007387	Om003G119110	AL8G32230, AL1G46450
OG0007393	Om002G085970	AL3G51930
OG0007396	Om005G206270	AL5G13540
OG0007398	Om006G267160	AL5G25200
