Orthogroup	Conringia_planisiliqua	Aethionema_saxatile
OG0010296	CP11_g32253_DN3_SP4_c.t1	As009G203110
OG0010297	CP11_g32246_DN3_SP4_c.t1	As009G203190
OG0010298	CP13_g19063_DN2_SP0_c.t1, CP11_g32206_DN3_SP4_c.t1	As009G203600
OG0010299	CP10_g42393_DN3_SP2_c.t1	As009G204090
OG0010300	CP8_g54504_DN3_SP1_c.t1	As009G204190
OG0010301	CP8_g54438_DN3_SP8_c.t1	As009G204840
OG0010302	CP8_g54410_DN3_SP0_c.t1	As009G205100
OG0010303	CP5_g677_DN3_SP8_c.t1	As009G206800
OG0010304	CP2_g48635_DN3_SP8_c.t1	As009G206900
OG0010305	CP2_g48647_DN3_SP1_c.t1	As009G206990
OG0010306	CP2_g48653_DN3_SP5_c.t1	As009G207050
OG0010307	CP2_g48661_DN3_SP8_c.t1	As009G207130
OG0010308	CP2_g48663_DN3_SP5_c.t1	As009G207160
OG0010309	CP2_g48694_DN3_SP3_c.t1	As009G207540
OG0010310	CP2_g48696_DN3_SP0_c.t1	As009G207570
OG0010312	CP2_g48701_DN3_SP5_c.t1	As009G208070
OG0010313	CP2_g48778_DN3_SP8_c.t1	As009G209680
OG0010314	CP10_g42746_DN3_SP3_c.t1	As009G209820
OG0010315	CP11_g32603_DN3_SP1_c.t1	As009G210240
OG0010316	CP11_g33294_DN3_SP5_c.t1	As009G211290
OG0010317	CP1_g39461_DN3_SP8_c.t1	As009G211940
OG0010318	CP11_g33236_DN3_SP0_c.t1	As009G212200
OG0010319	CP11_g33231_DN3_SP0_c.t1	As009G212230
OG0010320	CP11_g33221_DN3_SP0_c.t1	As009G212390
OG0010321	CP11_g33328_DN3_SP3_c.t1	As009G213000
OG0010322	CP11_g33335_DN3_SP8_c.t1	As009G213070
OG0010323	CP11_g33344_DN3_SP5_c.t1	As009G213130
OG0010324	CP11_g33356_DN3_SP8_c.t1	As009G213300
OG0010325	CP11_g33362_DN3_SP0_c.t1	As009G213670
OG0010326	CP11_g33365_DN3_SP3_c.t1	As009G213790
OG0010327	CP11_g33374_DN3_SP8_c.t1	As009G213900
OG0010328	CP11_g33375_DN3_SP0_c.t1	As009G213910
OG0010329	CP11_g33395_DN3_SP8_c.t1	As009G214180
OG0010330	CP11_g33394_DN3_SP1_c.t1	As009G214210
OG0010331	CP2_g48488_DN2_SP3_c.t1	As009G214960
OG0010332	CP2_g48425_DN3_SP8_c.t1	As009G215490
OG0010333	CP2_g48378_DN3_SP0_c.t1	As009G216010
OG0010334	CP2_g48372_DN3_SP0_c.t1	As009G216250
OG0010336	CP2_g48329_DN3_SP1_c.t1	As009G216520
OG0010337	CP2_g48322_DN3_SP8_c.t1	As009G216600
OG0010338	CP2_g48311_DN3_SP0_c.t1	As009G216770
OG0010339	CP2_g48284_DN3_SP8_c.t1	As009G217020
OG0010340	CP2_g48236_DN3_SP6_c.t1	As009G217450
OG0010341	CP2_g48217_DN3_SP7_c.t1	As009G217620
OG0010342	CP2_g48160_DN3_SP1_c.t1	As009G218050
OG0010343	CP2_g48148_DN3_SP4_c.t1	As009G218180
OG0010345	CP2_g48058_DN3_SP8_c.t1	As009G218910
OG0010346	CP2_g48055_DN3_SP3_c.t1	As009G218960
OG0010348	CP8_g53828_DN3_SP8_c.t1	As009G220110
OG0010349	CP3_g14228_DN3_SP6_c.t1	As010G220270
OG0010350	CP3_g14273_DN3_SP0_c.t1	As010G220590
OG0010351	CP3_g14295_DN2_SP1_c.t1	As010G220720
OG0010352	CP3_g14297_DN3_SP0_c.t1	As010G220730
OG0010353	CP3_g14338_DN3_SP0_c.t1	As010G221070
OG0010354	CP5_g3279_DN3_SP0_c.t1, CP3_g14411_DN3_SP8_c.t1	As010G221620
OG0010355	CP3_g14462_DN2_SP0_c.t1	As010G222140
OG0010356	CP3_g14471_DN3_SP3_c.t1	As010G222200
OG0010357	CP3_g14514_DN3_SP8_c.t1	As010G222520
OG0010358	CP3_g14523_DN3_SP8_c.t1	As010G222600
OG0010359	CP3_g14535_DN3_SP0_c.t1, CP3_g14536_DN3_SP0_c.t1	As010G222690
OG0010360	CP3_g14564_DN3_SP1_c.t1	As010G222910
OG0010361	CP3_g14589_DN3_SP1_c.t1	As010G223180
OG0010362	CP3_g14612_DN3_SP8_c.t1	As010G223370
OG0010364	CP3_g14949_DN3_SP6_c.t1	As010G225750
OG0010365	CP3_g15138_DN3_SP7_c.t1	As010G226040
OG0010366	CP3_g15151_DN3_SP8_c.t1	As010G226070
OG0010367	CP3_g15554_DN3_SP3_c.t1	As010G226440
OG0010368	CP3_g15568_DN3_SP0_c.t1	As010G226480
OG0010369	CP3_g14613_DN3_SP0_c.t1	As010G226660
OG0010370	CP9_g28340_DN3_SP1_c.t1	As010G227710
OG0010371	CP9_g28310_DN2_SP0_c.t1	As010G228320
OG0010372	CP9_g28397_DN2_SP1_c.t1	As010G229630
OG0010373	CP9_g28368_DN3_SP2_c.t1	As010G230030
OG0010374	CP9_g28441_DN3_SP0_c.t1	As010G231170
OG0010375	CP9_g28450_DN3_SP8_c.t1	As010G231280
OG0010376	CP9_g28468_DN2_SP0_c.t1	As010G231480
OG0010378	CP9_g28487_DN3_SP2_c.t1	As010G231840
OG0010379	CP9_g28499_DN3_SP0_c.t1	As010G232100
OG0010380	CP9_g28510_DN3_SP6_c.t1	As010G232230
OG0010381	CP9_g28530_DN3_SP8_c.t1	As010G232450
OG0010382	CP9_g28634_DN3_SP5_c.t1	As010G233210
OG0010383	CP9_g28730_DN3_SP0_c.t1	As010G233960
OG0010384	CP9_g28746_DN3_SP0_c.t1	As010G234110
OG0010385	CP9_g28791_DN3_SP3_c.t1	As010G234550
OG0010386	CP9_g28852_DN3_SP1_c.t1	As010G235080, As010G234880
OG0010387	CP9_g29469_DN3_SP7_c.t1	As010G235160
OG0010388	CP9_g29444_DN3_SP1_c.t1	As010G235420
OG0010389	CP9_g29421_DN1_SP0_c.t1	As010G235630
OG0010390	CP9_g29405_DN3_SP0_c.t1	As010G235810
OG0010391	CP9_g29383_DN3_SP0_c.t1	As010G236050
OG0010392	CP3_g14218_DN3_SP0_c.t1	As010G236200
OG0010393	CP9_g29359_DN3_SP0_c.t1	As010G236290
OG0010394	CP9_g29351_DN3_SP7_c.t1	As010G236350
OG0010395	CP7_g45754_DN3_SP5_c.t1	As010G237610
OG0010396	CP9_g29155_DN3_SP8_c.t1	As010G238400
OG0010397	CP9_g29053_DN3_SP2_c.t1	As010G239380
OG0010398	CP9_g29050_DN3_SP1_c.t1	As010G239410
OG0010399	CP9_g29023_DN3_SP3_c.t1	As010G239670
OG0010400	CP9_g29018_DN2_SP8_c.t1	As010G239720
OG0010401	CP9_g28999_DN3_SP5_c.t1	As010G239960
OG0010402	CP9_g28988_DN1_SP0_c.t1	As010G240110
OG0010403	CP9_g28977_DN3_SP7_c.t1	As010G240200
OG0010404	CP9_g28936_DN2_SP8_c.t1	As010G240690
OG0010405	CP9_g28928_DN3_SP8_c.t1	As010G240830
OG0010407	CP9_g28927_DN3_SP6_c.t1	As010G240880
OG0010408	CP9_g28870_DN3_SP8_c.t1	As010G241420
OG0010409	CP9_g29550_DN3_SP2_c.t1	As010G242470
OG0010410	CP9_g29577_DN3_SP2_c.t1	As010G242770
OG0010411	CP9_g29607_DN3_SP8_c.t1	As010G243110
OG0010413	CP9_g29647_DN3_SP0_c.t1	As010G243520
OG0010414	CP9_g29666_DN3_SP8_c.t1	As010G243700
OG0010415	CP9_g29698_DN3_SP0_c.t1	As010G244030
OG0010416	CP9_g29708_DN3_SP0_c.t1	As010G244160
OG0010417	CP8_g53502_DN3_SP8_c.t1	As010G244370
OG0010418	CP10_g43271_DN3_SP0_c.t1	As011G244980
OG0010419	CP10_g43289_DN1_SP0_c.t1	As011G245160
OG0010420	CP10_g43325_DN3_SP7_c.t1	As011G245580
OG0010421	CP10_g43403_DN3_SP0_c.t1	As011G246380
OG0010422	CP10_g43415_DN2_SP0_c.t1	As011G246500
OG0010423	CP10_g43420_DN3_SP7_c.t1	As011G246540
OG0010424	CP10_g43424_DN3_SP0_c.t1	As011G246580
OG0010425	CP10_g43448_DN3_SP3_c.t1	As011G246930
OG0010426	CP8_g54317_DN3_SP5_c.t1	As011G247110
OG0010427	CP10_g43492_DN3_SP8_c.t1	As011G247360
OG0010428	CP10_g43508_DN3_SP0_c.t1	As011G247510
OG0010430	CP12_g29907_DN3_SP7_c.t1	As011G247840
OG0010431	CP12_g29989_DN3_SP8_c.t1	As011G248540
OG0010433	CP12_g30074_DN3_SP1_c.t1	As011G249450
OG0010435	CP12_g30125_DN3_SP3_c.t1	As011G249970
OG0010436	CP12_g30163_DN3_SP0_c.t1	As011G250340
OG0010437	CP12_g30171_DN3_SP8_c.t1	As011G250410
OG0010438	CP12_g30175_DN3_SP7_c.t1	As011G250450
OG0010439	CP12_g30187_DN3_SP2_c.t1	As011G250590
OG0010440	CP12_g30200_DN3_SP8_c.t1	As011G250730
OG0010441	CP12_g30218_DN3_SP0_c.t1	As011G250910
OG0010442	CP12_g30232_DN3_SP0_c.t1	As011G251060
OG0010443	CP12_g30236_DN3_SP0_c.t1	As011G251090
OG0010444	CP12_g30246_DN3_SP2_c.t1	As011G251170
OG0010445	CP1_g38159_DN2_SP0_c.t1	As011G251180, As012G272830
OG0010446	CP12_g30310_DN3_SP0_c.t1	As011G251720
OG0010447	CP12_g30312_DN3_SP0_c.t1	As011G251770
OG0010448	CP12_g30328_DN3_SP2_c.t1	As011G251930
OG0010449	CP12_g30329_DN3_SP1_c.t1	As011G251940
OG0010450	CP1_g38072_DN3_SP8_c.t1	As012G272190, As011G252150
OG0010452	CP12_g30369_DN3_SP3_c.t1	As011G252450
OG0010453	CP12_g30370_DN3_SP3_c.t1	As011G252460
OG0010454	CP12_g30375_DN3_SP8_c.t1	As011G252510
OG0010455	CP12_g30376_DN3_SP5_c.t1	As011G252520
OG0010456	CP12_g30397_DN3_SP8_c.t1	As011G252710
OG0010458	CP12_g30413_DN3_SP0_c.t1	As011G252850
OG0010459	CP12_g30461_DN3_SP0_c.t1, CP12_g30424_DN3_SP7_c.t1	As011G252930
OG0010460	CP12_g30456_DN3_SP8_c.t1	As011G253210
OG0010461	CP12_g30511_DN3_SP0_c.t1	As011G253460
OG0010462	CP12_g30535_DN3_SP8_c.t1	As011G253830
OG0010463	CP12_g30546_DN3_SP7_c.t1	As011G253970
OG0010464	CP12_g30552_DN3_SP0_c.t1	As011G254000
OG0010465	CP12_g30569_DN3_SP0_c.t1	As011G254080
OG0010466	CP12_g30637_DN3_SP0_c.t1	As011G254700
OG0010467	CP12_g30822_DN3_SP8_c.t1	As011G254860, As011G256360
OG0010468	CP12_g30654_DN3_SP7_c.t1	As011G254880
OG0010470	CP12_g30661_DN3_SP0_c.t1	As011G254960
OG0010471	CP12_g30670_DN3_SP0_c.t1	As011G255070
OG0010472	CP12_g30679_DN3_SP2_c.t1	As011G255190
OG0010473	CP12_g30718_DN3_SP8_c.t1	As011G255410
OG0010474	CP12_g30806_DN1_SP0_c.t1, CP12_g31499_DN2_SP0_c.t1	As011G255920
OG0010475	CP12_g30796_DN3_SP7_c.t1	As011G255980
OG0010476	CP12_g30823_DN3_SP8_c.t1	As011G256370
OG0010477	CP12_g30987_DN3_SP6_c.t1	As011G258600
OG0010478	CP20_g4163_DN3_SP8_c.t1	As011G259860
OG0010479	CP15_g34551_DN3_SP8_c.t1	As011G262350
OG0010480	CP10_g44077_DN1_SP0_c.t1	As011G262770
OG0010481	CP10_g44018_DN3_SP0_c.t1	As011G263020
OG0010483	CP10_g43953_DN3_SP8_c.t1	As011G263380
OG0010484	CP10_g43878_DN3_SP0_c.t1	As011G263730
OG0010485	CP10_g43875_DN3_SP8_c.t1	As011G263750
OG0010486	CP10_g43858_DN3_SP0_c.t1	As011G263880
OG0010487	CP10_g43825_DN3_SP3_c.t1	As011G264270
OG0010488	CP10_g43675_DN3_SP0_c.t1	As011G265340
OG0010489	CP10_g43574_DN3_SP0_c.t1	As011G266240
OG0010490	CP10_g43572_DN3_SP8_c.t1	As011G266260
OG0010491	CP10_g43562_DN3_SP0_c.t1	As011G266390
OG0010492	CP10_g43544_DN3_SP8_c.t1	As011G266480
OG0010493	CP10_g43865_DN3_SP3_c.t1	As011G266560
OG0010494	CP10_g43523_DN3_SP6_c.t1	As011G266710
OG0010495	CP5_g1099_DN3_SP0_c.t1	As011G266730
OG0010496	CP10_g43517_DN3_SP8_c.t1	As011G266780
OG0010497	CP12_g29860_DN3_SP0_c.t1	As011G267070
OG0010498	CP12_g29841_DN3_SP8_c.t1	As011G267210
OG0010499	CP12_g29840_DN3_SP4_c.t1	As011G267220
OG0010500	CP7_g46475_DN3_SP6_c.t1	As012G267720
OG0010501	CP7_g46467_DN3_SP5_c.t1	As012G267800
OG0010502	CP7_g46417_DN3_SP2_c.t1	As012G268210
OG0010503	CP6_g8544_DN3_SP7_c.t1	As012G268910
OG0010504	CP1_g37962_DN2_SP0_c.t1	As012G271400
OG0010505	CP3_g14217_DN3_SP2_c.t1	As012G271570
OG0010506	CP1_g38029_DN3_SP0_c.t1	As012G271620
OG0010507	CP1_g37994_DN3_SP8_c.t1	As012G271800
OG0010508	CP1_g38045_DN3_SP8_c.t1	As012G271940
OG0010509	CP1_g38064_DN3_SP8_c.t1	As012G272110
OG0010510	CP1_g38068_DN3_SP8_c.t1	As012G272140
OG0010511	CP1_g38080_DN3_SP1_c.t1	As012G272270
OG0010512	CP1_g38156_DN3_SP6_c.t1	As012G272810
OG0010513	CP1_g38233_DN3_SP3_c.t1	As012G273160
OG0010514	CP1_g38205_DN3_SP0_c.t1	As012G273250
OG0010515	CP1_g38273_DN3_SP0_c.t1	As012G273640
OG0010516	CP1_g38291_DN3_SP0_c.t1	As012G273790
OG0010517	CP1_g38322_DN3_SP8_c.t1	As012G274010
OG0010520	CP4_g25285_DN3_SP0_c.t1, CP6_g7570_DN3_SP2_c.t1	As012G275260
OG0010521	CP4_g25289_DN3_SP0_c.t1	As012G275310
OG0010523	CP3_g14164_DN2_SP0_c.t1	As012G275600
OG0010524	CP3_g14162_DN3_SP8_c.t1	As012G275620
OG0010525	CP3_g14143_DN3_SP0_c.t1	As012G275810
OG0010526	CP3_g14141_DN3_SP1_c.t1	As012G275830
OG0010527	CP3_g14124_DN3_SP0_c.t1	As012G275990
OG0010528	CP3_g14072_DN3_SP8_c.t1	As012G276450
OG0010530	CP8_g54332_DN3_SP0_c.t1	As012G276480
OG0010531	CP3_g14068_DN3_SP8_c.t1	As012G276520
OG0010532	CP3_g14038_DN3_SP1_c.t1	As012G276630
OG0010533	CP3_g14046_DN3_SP7_c.t1	As012G276690
OG0010534	CP3_g14039_DN3_SP0_c.t1	As012G276700
OG0010535	CP3_g14010_DN3_SP8_c.t1	As012G277240
OG0010536	CP3_g13997_DN3_SP8_c.t1	As012G277300
OG0010537	CP3_g13964_DN3_SP0_c.t1	As012G277980
OG0010538	CP3_g14182_DN3_SP4_c.t1	As012G278630
OG0010539	CP3_g13922_DN3_SP8_c.t1	As012G279860
OG0010540	CP3_g13890_DN3_SP8_c.t1	As012G280320
OG0010541	CP3_g13868_DN3_SP8_c.t1	As012G280550
OG0010542	CP3_g13843_DN3_SP6_c.t1	As012G281310
OG0010543	CP3_g13841_DN3_SP4_c.t1	As012G281330
OG0010544	CP3_g13825_DN3_SP8_c.t1	As012G281570
OG0010545	CP3_g13780_DN3_SP0_c.t1	As012G282160
OG0010546	CP3_g13665_DN3_SP0_c.t1	As012G283300
OG0010548	CP3_g13658_DN3_SP6_c.t1	As012G283380
OG0010549	CP3_g13502_DN3_SP2_c.t1	As012G284820
OG0010550	CP3_g13500_DN3_SP8_c.t1	As012G284830
OG0010551	CP3_g13484_DN3_SP0_c.t1	As012G285010
OG0010552	CP3_g13471_DN3_SP2_c.t1	As012G285130
OG0010553	CP3_g13923_DN3_SP1_c.t1	As012G285560
OG0010554	CP3_g13422_DN3_SP8_c.t1	As012G285680
OG0010555	CP3_g13414_DN3_SP8_c.t1	As012G285750
OG0010556	CP3_g13343_DN3_SP1_c.t1	As012G286390
OG0010557	CP3_g13331_DN2_SP0_c.t1	As012G286710
OG0010558	CP3_g13283_DN3_SP0_c.t1	As012G287180
OG0010559	CP3_g13281_DN3_SP0_c.t1, CP3_g13277_DN3_SP2_c.t1	As012G287230, As012G287210
OG0010560	CP3_g13269_DN3_SP0_c.t1	As012G287350
OG0010561	CP3_g13266_DN3_SP0_c.t1	As012G287390
OG0010562	CP3_g13245_DN3_SP0_c.t1	As012G287500
OG0010563	CP3_g13210_DN3_SP0_c.t1	As012G287830
OG0010565	CP3_g13201_DN3_SP1_c.t1	As012G287890
OG0010567	CP3_g13145_DN3_SP8_c.t1	As012G288380
OG0010568	CP3_g13110_DN2_SP1_c.t1	As012G288770
OG0010569	CP7_g44856_DN3_SP0_c.t1	As012G288920
OG0010570	CP3_g13084_DN3_SP3_c.t1	As012G289050
OG0010571	CP3_g13077_DN1_SP0_c.t1	As012G289120
OG0010660	CP5_g1182_DN2_SP3_c.t1	As001G000090
OG0010661	CP5_g1169_DN3_SP0_c.t1	As001G000220
OG0010662	CP5_g1135_DN3_SP8_c.t1	As001G000530
OG0010663	CP5_g1064_DN3_SP8_c.t1	As001G001190
OG0010664	CP5_g977_DN1_SP0_c.t1	As001G002270
OG0010666	CP5_g5_DN3_SP8_c.t1	As001G003090
OG0010667	CP5_g891_DN3_SP8_c.t1	As001G003290
OG0010668	CP5_g872_DN3_SP1_c.t1	As001G003470
OG0010669	CP5_g852_DN3_SP8_c.t1	As001G003760
OG0010670	CP5_g825_DN3_SP1_c.t1	As001G004030
OG0010671	CP5_g789_DN3_SP8_c.t1	As001G004580
OG0010672	CP5_g748_DN3_SP8_c.t1	As001G005310
OG0010673	CP5_g734_DN3_SP8_c.t1	As001G006390
OG0010674	CP5_g693_DN3_SP8_c.t1	As001G006700
OG0010675	CP5_g705_DN3_SP8_c.t1	As001G006780
OG0010676	CP8_g54173_DN3_SP8_c.t1	As001G011020, As001G011010, As005G113230
OG0010677	CP5_g626_DN3_SP8_c.t1	As001G012520
OG0010678	CP4_g24976_DN3_SP8_c.t1	As006G146350, As001G012560
OG0010679	CP5_g591_DN3_SP4_c.t1	As001G013490, As011G262690
OG0010680	CP5_g608_DN3_SP6_c.t1, CP12_g31572_DN3_SP0_c.t1	As001G013650
OG0010681	CP5_g566_DN3_SP8_c.t1	As001G013830
OG0010682	CP9_g28276_DN3_SP8_c.t1	As001G014630
OG0010683	CP5_g520_DN3_SP3_c.t1	As001G014640
OG0010684	CP5_g492_DN3_SP8_c.t1	As001G015020
OG0010685	CP11_g32591_DN3_SP2_c.t1	As001G015060
OG0010687	CP7_g44695_DN3_SP8_c.t1	As001G016540
OG0010688	CP6_g7124_DN3_SP6_c.t1	As001G017250
OG0010689	CP6_g7130_DN3_SP0_c.t1	As004G079940, As001G017320
OG0010690	CP6_g7136_DN3_SP8_c.t1	As001G017360
OG0010691	CP6_g7180_DN3_SP0_c.t1	As001G017850, As004G083050
OG0010692	CP6_g7188_DN3_SP0_c.t1	As001G017900
OG0010693	CP6_g7189_DN2_SP0_c.t1	As001G017920
OG0010694	CP6_g7198_DN3_SP0_c.t1	As001G018040
OG0010695	CP6_g7206_DN3_SP8_c.t1	As001G018110
OG0010696	CP6_g7210_DN3_SP0_c.t1	As001G018170
OG0010697	CP2_g49977_DN3_SP1_c.t1	As001G018900
OG0010698	CP3_g13696_DN3_SP4_c.t1	As001G018920
OG0010699	CP2_g49948_DN3_SP2_c.t1	As001G018960
OG0010700	CP2_g49775_DN3_SP0_c.t1	As001G019180
OG0010701	CP2_g49744_DN3_SP6_c.t1	As001G019260
OG0010702	CP2_g49521_DN2_SP0_c.t1	As001G019560
OG0010703	CP2_g49491_DN3_SP6_c.t1	As001G019620
OG0010704	CP2_g49422_DN3_SP6_c.t1	As001G019860, As001G019820
OG0010705	CP2_g49366_DN3_SP1_c.t1	As001G020210
OG0010706	CP2_g49376_DN3_SP7_c.t1	As001G020300
OG0010707	CP2_g49345_DN3_SP0_c.t1	As001G020370
OG0010708	CP2_g49336_DN3_SP3_c.t1	As001G020400
OG0010709	CP2_g49329_DN3_SP0_c.t1	As001G020430
OG0010710	CP2_g49307_DN3_SP3_c.t1	As001G020490
OG0010711	CP2_g49286_DN3_SP8_c.t1	As001G020580
OG0010712	CP2_g49288_DN3_SP8_c.t1	As001G020590
OG0010713	CP2_g49292_DN3_SP2_c.t1	As001G020630
OG0010714	CP2_g49279_DN3_SP2_c.t1	As001G020740
OG0010715	CP2_g49272_DN3_SP0_c.t1, CP2_g49273_DN3_SP3_c.t1	As001G020830
OG0010716	CP2_g49238_DN3_SP0_c.t1	As001G021130
OG0010717	CP2_g49186_DN3_SP0_c.t1	As001G021410
OG0010718	CP2_g49156_DN3_SP8_c.t1	As001G021580
OG0010719	CP2_g49107_DN3_SP5_c.t1	As001G021820
OG0010720	CP2_g49097_DN3_SP8_c.t1	As001G021910
OG0010721	CP2_g49084_DN3_SP8_c.t1	As001G022020
OG0010722	CP13_g19700_DN3_SP6_c.t1	As001G022270
OG0010723	CP13_g19633_DN3_SP8_c.t1	As001G022910
OG0010724	CP13_g19592_DN2_SP0_c.t1	As001G023350
OG0010725	CP13_g19574_DN3_SP6_c.t1	As001G023480
OG0010726	CP13_g19570_DN3_SP8_c.t1	As001G023530
OG0010727	CP13_g19560_DN3_SP7_c.t1	As001G023590
OG0010728	CP13_g19554_DN2_SP0_c.t1	As001G023640
OG0010729	CP13_g19548_DN3_SP2_c.t1	As001G023710
OG0010730	CP13_g19508_DN3_SP7_c.t1	As001G024040
OG0010731	CP13_g19444_DN3_SP8_c.t1	As001G024680
OG0010734	CP1_g37622_DN1_SP0_c.t1	As001G025130, As008G184140
OG0010735	CP13_g19396_DN3_SP1_c.t1	As001G025150
OG0010737	CP13_g19373_DN2_SP0_c.t1	As001G025290
OG0010738	CP13_g19247_DN3_SP1_c.t1	As001G026530
OG0010739	CP13_g19244_DN3_SP5_c.t1	As001G026580
OG0010740	CP13_g19214_DN3_SP0_c.t1	As001G026860
OG0010741	CP13_g19203_DN2_SP0_c.t1	As001G026960
OG0010742	CP2_g48862_DN3_SP4_c.t1	As001G027990
OG0010743	CP9_g28202_DN3_SP8_c.t1	As001G028710
OG0010744	CP9_g27782_DN2_SP2_c.t1	As001G029450
OG0010745	CP64_g21087_DN3_SP8_c.t1	As001G029820
OG0010746	CP10_g42417_DN3_SP8_c.t1	As001G029890
OG0010747	CP5_g3311_DN3_SP2_c.t1	As004G076740
OG0010748	CP13_g19043_DN3_SP8_c.t1	As001G030180
OG0010749	CP2_g48900_DN1_SP0_c.t1	As001G030200
OG0010750	CP13_g19055_DN3_SP2_c.t1	As001G030350
OG0010751	CP13_g19076_DN3_SP0_c.t1	As001G030540
OG0010752	CP13_g19077_DN3_SP8_c.t1	As001G030550
OG0010753	CP13_g19084_DN3_SP6_c.t1	As001G030630
OG0010754	CP13_g19104_DN3_SP0_c.t1	As004G098100, As001G030760
OG0010755	CP2_g48888_DN3_SP8_c.t1	As001G031000
OG0010756	CP2_g48909_DN3_SP8_c.t1	As001G031170, As004G097930
OG0010757	CP2_g48995_DN3_SP4_c.t1	As001G031830
OG0010758	CP10_g43207_DN3_SP0_c.t1	As002G032440
OG0010759	CP19_g18018_DN3_SP8_c.t1	As002G032850
OG0010760	CP4_g24594_DN3_SP8_c.t1	As002G033120, As002G032940
OG0010761	CP4_g24626_DN3_SP3_c.t1	As002G033420
OG0010762	CP4_g24622_DN3_SP6_c.t1	As002G033450
OG0010765	CP10_g42879_DN3_SP0_c.t1, CP4_g24070_DN3_SP0_c.t1	As002G033970
OG0010766	CP10_g42906_DN3_SP3_c.t1	As006G148740, As002G034280
OG0010767	CP10_g42977_DN3_SP6_c.t1	As002G035340
OG0010768	CP10_g42983_DN3_SP8_c.t1	As002G035440
OG0010769	CP10_g42984_DN3_SP8_c.t1	As002G035450
OG0010770	CP6_g6802_DN3_SP3_c.t1	As004G087000, As002G035720
OG0010771	CP10_g43049_DN3_SP0_c.t1	As002G036380
OG0010772	CP5_g355_DN3_SP5_c.t1	As002G036410
OG0010773	CP10_g43072_DN3_SP0_c.t1	As002G036640
OG0010775	CP10_g43112_DN3_SP0_c.t1	As002G037350
OG0010776	CP10_g43153_DN3_SP0_c.t1	As002G037920
OG0010777	CP10_g43174_DN3_SP8_c.t1	As002G038520
OG0010778	CP10_g43184_DN3_SP8_c.t1	As002G038600
OG0010779	CP10_g43185_DN3_SP3_c.t1	As002G038780
OG0010780	CP10_g43198_DN3_SP0_c.t1	As002G038940
OG0010781	CP10_g43199_DN3_SP5_c.t1	As002G038960
OG0010782	CP30_g9986_DN3_SP6_c.t1	As002G039490
OG0010783	CP69_g34236_DN3_SP7_c.t1	As002G040450, As002G040440, As002G040460, As002G040070
OG0010784	CP26_g51203_DN3_SP8_c.t1	As002G040150
OG0010785	CP8_g52175_DN3_SP8_c.t1	As002G040590
OG0010786	CP8_g52848_DN3_SP2_c.t1	As002G042010
OG0010787	CP8_g52817_DN3_SP6_c.t1	As002G042070
OG0010788	CP8_g52830_DN3_SP0_c.t1	As002G042190
OG0010789	CP8_g52864_DN3_SP5_c.t1	As002G042250
OG0010790	CP8_g52931_DN3_SP1_c.t1	As002G042460
OG0010791	CP8_g52979_DN3_SP8_c.t1, CP19_g18140_DN3_SP3_c.t1	As002G042790
OG0010792	CP8_g53014_DN3_SP5_c.t1	As002G043190
OG0010793	CP8_g53044_DN3_SP8_c.t1	As002G043370
OG0010794	CP8_g53054_DN3_SP1_c.t1	As002G043430
OG0010795	CP8_g53100_DN3_SP8_c.t1	As002G043570
OG0010796	CP8_g53123_DN3_SP8_c.t1	As002G043770
OG0010797	CP8_g53176_DN3_SP6_c.t1	As002G044070
OG0010798	CP8_g53295_DN3_SP6_c.t1	As002G044730
OG0010799	CP8_g53278_DN3_SP0_c.t1	As002G044860
OG0010800	CP8_g53310_DN3_SP8_c.t1, CP2_g49742_DN2_SP0_c.t1	As002G045210
OG0010801	CP8_g53337_DN3_SP0_c.t1	As002G045390
OG0010802	CP8_g53394_DN3_SP1_c.t1	As002G045420, As002G045880
OG0010804	CP8_g53348_DN3_SP5_c.t1	As002G045800
OG0010805	CP8_g53437_DN3_SP8_c.t1	As002G046450
OG0010806	CP5_g1298_DN3_SP5_c.t1	As002G046550
OG0010807	CP8_g53465_DN1_SP0_c.t1	As006G132690
OG0010808	CP8_g53535_DN3_SP0_c.t1, CP8_g53536_DN3_SP0_c.t1	As002G047310
OG0010809	CP8_g53560_DN2_SP0_c.t1	As002G047530
OG0010810	CP8_g53579_DN3_SP8_c.t1	As002G047710
OG0010811	CP8_g53607_DN3_SP0_c.t1	As002G047970
OG0010812	CP8_g53697_DN3_SP4_c.t1	As002G048730
OG0010813	CP8_g53712_DN3_SP6_c.t1	As002G048880
OG0010815	CP8_g53755_DN3_SP4_c.t1	As002G049260
OG0010816	CP8_g53778_DN3_SP1_c.t1	As002G049510
OG0010817	CP8_g53799_DN3_SP5_c.t1	As002G049800
OG0010818	CP11_g32652_DN3_SP3_c.t1	As002G050520
OG0010819	CP11_g32689_DN3_SP1_c.t1	As002G050850
OG0010820	CP11_g32723_DN3_SP0_c.t1	As002G051170
OG0010821	CP11_g32747_DN3_SP0_c.t1	As002G051400
OG0010822	CP11_g32763_DN3_SP8_c.t1	As002G051520
OG0010823	CP11_g32770_DN3_SP8_c.t1	As002G051620
OG0010825	CP11_g32779_DN3_SP0_c.t1	As002G051730
OG0010826	CP11_g32814_DN3_SP7_c.t1	As002G052080
OG0010828	CP11_g32830_DN3_SP0_c.t1	As002G052210
