Orthogroup	Arabidopsis_arenosa	Rorippa_islandica
OG0009179	jg27925	Roisl.0066s0134.1.p
OG0009180	jg14850	Roisl.0046s0929.1.p
OG0009181	jg22284	Roisl.0080s0879.1.p
OG0009182	jg22283	Roisl.0080s0880.1.p
OG0009183	jg22280	Roisl.0080s0883.1.p
OG0009184	jg33820	Roisl.0007s0807.1.p
OG0009185	jg33782	Roisl.0007s0769.1.p
OG0009186	jg33773	Roisl.0021s0498.1.p
OG0009187	jg33765	Roisl.0021s0506.1.p
OG0009188	jg33742	Roisl.0021s0524.1.p
OG0009189	jg33692	Roisl.0006s0543.1.p
OG0009190	jg33686	Roisl.0006s0535.1.p
OG0009191	jg33635	Roisl.0006s0482.1.p
OG0009192	jg33604	Roisl.0006s0456.1.p
OG0009193	jg33601	Roisl.0006s0454.1.p
OG0009194	jg33599	Roisl.0006s0452.1.p
OG0009195	jg33581, jg33578, jg33579	Roisl.0006s0436.1.p
OG0009196	jg33558	Roisl.0006s0424.1.p
OG0009197	jg33556	Roisl.0006s0422.1.p
OG0009198	jg33554	Roisl.0006s0420.1.p
OG0009199	jg2411	Roisl.0019s0709.1.p
OG0009200	jg33523	Roisl.0006s0391.1.p
OG0009201	jg18733	Roisl.0028s1029.1.p
OG0009202	jg18737	Roisl.0028s1033.1.p
OG0009203	jg18751	Roisl.0028s1048.1.p
OG0009204	jg18754	Roisl.0028s1051.1.p
OG0009205	jg18781	Roisl.0054s0023.1.p
OG0009206	jg9832	Roisl.0022s0282.1.p
OG0009207	jg18825	Roisl.0032s0060.1.p, Roisl.0017s0019.1.p
OG0009208	jg14301	Roisl.0020s0154.1.p, Roisl.0020s0155.1.p
OG0009209	jg14249	Roisl.0027s0101.1.p
OG0009210	jg14201	Roisl.0027s0038.1.p
OG0009211	jg13699	Roisl.0188s0085.1.p
OG0009213	jg21672	Roisl.0214s0164.1.p
OG0009214	jg22026	Roisl.0031s0074.1.p
OG0009215	jg11995	Roisl.0053s0085.1.p
OG0009216	jg11882	Roisl.0015s0132.1.p, Roisl.0015s0143.1.p
OG0009217	jg11959	Roisl.0053s0050.1.p
OG0009218	jg11686	Roisl.0082s0050.1.p
OG0009219	jg11673	Roisl.0082s0044.1.p
OG0009220	jg11520	Roisl.0058s0029.1.p
OG0009221	jg11366	Roisl.0075s0148.1.p
OG0009222	jg11364	Roisl.0075s0149.1.p
OG0009223	jg8527	Roisl.0001s0437.1.p
OG0009224	jg11278	Roisl.0002s0252.1.p
OG0009225	jg11267	Roisl.0002s0249.1.p
OG0009226	jg11215	Roisl.0002s0204.1.p
OG0009227	jg11203	Roisl.0002s0198.1.p
OG0009228	jg11167	Roisl.0002s0157.1.p
OG0009229	jg11157	Roisl.0002s0148.1.p
OG0009230	jg2941	Roisl.0019s0189.1.p
OG0009231	jg2945	Roisl.0019s0185.1.p
OG0009232	jg2950	Roisl.0019s0178.1.p
OG0009233	jg2958	Roisl.0019s0170.1.p
OG0009233	jg2959	Roisl.0019s0169.1.p
OG0009234	jg2987	Roisl.0019s0134.1.p
OG0009235	jg2992	Roisl.0019s0130.1.p
OG0009236	jg3010	Roisl.0019s0110.1.p
OG0009237	jg3026	Roisl.0019s0091.1.p
OG0009238	jg3036	Roisl.0004s0516.1.p
OG0009239	jg3062	Roisl.0004s0493.1.p
OG0009240	jg3063	Roisl.0004s0492.1.p
OG0009241	jg21533	Roisl.0198s0011.1.p
OG0009242	jg3080	Roisl.0004s0476.1.p
OG0009243	jg3089	Roisl.0004s0468.1.p
OG0009244	jg2430	Roisl.0019s0696.1.p
OG0009245	jg2459	Roisl.0019s0671.1.p
OG0009246	jg2475	Roisl.0019s0653.1.p
OG0009247	jg2485	Roisl.0019s0642.1.p
OG0009248	jg2505	Roisl.0019s0607.1.p
OG0009250	jg9568	Roisl.0044s0011.1.p
OG0009251	jg9566	Roisl.0044s0013.1.p
OG0009253	jg9548	Roisl.0044s0030.1.p
OG0009254	jg9533	Roisl.0044s0046.1.p
OG0009255	jg22041	Roisl.0002s0184.1.p
OG0009256	jg479	Roisl.0050s0120.1.p
OG0009257	jg478	Roisl.0050s0118.1.p
OG0009258	jg462	Roisl.0050s0100.1.p
OG0009259	jg12579	Roisl.0009s0264.1.p
OG0009260	jg26988	Roisl.0213s0760.1.p
OG0009261	jg12628	Roisl.0009s0227.1.p
OG0009262	jg12631	Roisl.0009s0225.1.p
OG0009263	jg12635, jg12632	Roisl.0009s0223.1.p
OG0009264	jg21745	Roisl.0012s0031.1.p
OG0009265	jg13827	Roisl.0054s0010.1.p
OG0009266	jg13537	Roisl.0011s0573.1.p
OG0009267	jg13527	Roisl.0011s0566.1.p
OG0009268	jg13519	Roisl.0011s0561.1.p
OG0009269	jg20128	Roisl.0035s0019.1.p
OG0009270	jg13513	Roisl.0011s0554.1.p
OG0009271	jg13468	Roisl.0011s0529.1.p
OG0009272	jg13401	Roisl.0011s0490.1.p
OG0009274	jg13400	Roisl.0011s0487.1.p
OG0009275	jg13398	Roisl.0011s0484.1.p
OG0009276	jg13396	Roisl.0011s0482.1.p
OG0009277	jg13386	Roisl.0011s0476.1.p
OG0009278	jg13384	Roisl.0011s0474.1.p
OG0009279	jg13372	Roisl.0011s0459.1.p
OG0009279	jg13370	Roisl.0011s0458.1.p
OG0009280	jg13356, jg31431	Roisl.0011s0442.1.p
OG0009281	jg13331, jg13332	Roisl.0011s0420.1.p
OG0009282	jg13330	Roisl.0011s0419.1.p
OG0009283	jg13329	Roisl.0011s0418.1.p
OG0009284	jg13271	Roisl.0011s0364.1.p
OG0009285	jg13267	Roisl.0011s0363.1.p
OG0009286	jg13250	Roisl.0011s0348.1.p
OG0009287	jg21670	Roisl.0214s0174.1.p
OG0009288	jg13233	Roisl.0011s0333.1.p
OG0009289	jg21737	Roisl.0012s0050.1.p
OG0009290	jg2533	Roisl.0019s0590.1.p
OG0009291	jg2519	Roisl.0019s0619.1.p
OG0009292	jg21139	Roisl.0041s0043.1.p
OG0009293	jg20480	Roisl.0005s0232.1.p
OG0009294	jg20496	Roisl.0005s0254.1.p
OG0009295	jg21391	Roisl.0014s0114.1.p
OG0009295	jg21217	Roisl.0014s0074.1.p
OG0009296	jg20509	Roisl.0005s0271.1.p
OG0009297	jg20510	Roisl.0005s0272.1.p
OG0009298	jg20558	Roisl.0005s0318.1.p
OG0009299	jg1802	Roisl.0021s0640.1.p
OG0009300	jg20604	Roisl.0012s0390.1.p
OG0009301	jg20615	Roisl.0012s0373.1.p
OG0009302	jg33098	Roisl.0006s0038.1.p
OG0009303	jg33153	Roisl.0006s0080.1.p
OG0009304	jg33165	Roisl.0006s0087.1.p
OG0009305	jg33176	Roisl.0006s0093.1.p
OG0009306	jg33180	Roisl.0006s0097.1.p
OG0009307	jg30014	Roisl.0007s0605.1.p
OG0009308	jg33285	Roisl.0006s0198.1.p
OG0009309	jg33329	Roisl.0006s0226.1.p
OG0009310	jg33332	Roisl.0006s0229.1.p
OG0009311	jg33368	Roisl.0006s0251.1.p
OG0009312	jg33447	Roisl.0006s0313.1.p
OG0009313	jg33450	Roisl.0006s0315.1.p
OG0009314	jg33458	Roisl.0006s0323.1.p
OG0009315	jg33500	Roisl.0006s0370.1.p
OG0009316	jg20971	Roisl.0214s0275.1.p
OG0009317	jg18456	Roisl.0028s0759.1.p
OG0009318	jg18470	Roisl.0028s0769.1.p
OG0009319	jg18486	Roisl.0028s0786.1.p
OG0009320	jg18502	Roisl.0028s0803.1.p
OG0009322	jg18519	Roisl.0028s0822.1.p
OG0009323	jg18553	Roisl.0028s0856.1.p
OG0009324	jg18557	Roisl.0028s0862.1.p
OG0009325	jg18566	Roisl.0028s0871.1.p
OG0009326	jg18568	Roisl.0028s0873.1.p
OG0009327	jg18590	Roisl.0028s0883.1.p
OG0009328	jg18599	Roisl.0028s0897.1.p
OG0009329	jg18603	Roisl.0028s0899.1.p
OG0009330	jg18608	Roisl.0028s0905.1.p
OG0009331	jg18632	Roisl.0028s0931.1.p
OG0009332	jg18648	Roisl.0028s0944.1.p
OG0009333	jg18664	Roisl.0028s0959.1.p
OG0009334	jg18694	Roisl.0028s0985.1.p
OG0009334	jg939	Roisl.0214s0191.1.p
OG0009335	jg18697	Roisl.0028s0988.1.p
OG0009336	jg18709	Roisl.0028s1001.1.p
OG0009337	jg18712	Roisl.0028s1004.1.p
OG0009338	jg18714	Roisl.0028s1006.1.p
OG0009339	jg10641	Roisl.0091s0367.1.p
OG0009340	jg19200	Roisl.0017s0353.1.p
OG0009341	jg10664	Roisl.0091s0391.1.p
OG0009342	jg10700	Roisl.0091s0421.1.p
OG0009343	jg10689	Roisl.0091s0410.1.p
OG0009344	jg10687	Roisl.0091s0408.1.p
OG0009345	jg10804	Roisl.0091s0520.1.p
OG0009346	jg10814	Roisl.0091s0529.1.p
OG0009347	jg10832	Roisl.0091s0547.1.p
OG0009348	jg10833	Roisl.0091s0548.1.p
OG0009349	jg10851	Roisl.0091s0565.1.p
OG0009350	jg10892	Roisl.0091s0613.1.p
OG0009351	jg10895	Roisl.0091s0616.1.p
OG0009352	jg10897	Roisl.0091s0618.1.p
OG0009353	jg13991	Roisl.0208s0047.1.p
OG0009354	jg14976	Roisl.0046s1049.1.p
OG0009355	jg14967	Roisl.0046s1044.1.p
OG0009356	jg30248	Roisl.0075s0089.1.p
OG0009357	jg14952	Roisl.0046s1025.1.p
OG0009358	jg14935	Roisl.0046s1007.1.p
OG0009359	jg14926	Roisl.0046s0996.1.p
OG0009360	jg14922	Roisl.0046s0994.1.p
OG0009361	jg14911	Roisl.0046s0985.1.p
OG0009362	jg14909, jg14907, jg15549	Roisl.0046s0983.1.p
OG0009363	jg10154	Roisl.0008s0146.1.p
OG0009364	jg21678	Roisl.0214s0155.1.p
OG0009365	jg21930	Roisl.0189s0120.1.p
OG0009366	jg21916	Roisl.0189s0136.1.p
OG0009367	jg21864, jg22267, jg22276	Roisl.0189s0183.1.p
OG0009368	jg21810	Roisl.0189s0236.1.p
OG0009369	jg13985	Roisl.0208s0052.1.p
OG0009370	jg27359	Roisl.0188s0012.1.p
OG0009371	jg27443	Roisl.0062s0014.1.p
OG0009372	jg27576	Roisl.0045s0059.1.p
OG0009373	jg27602	Roisl.0045s0037.1.p
OG0009374	jg27606	Roisl.0045s0034.1.p
OG0009375	jg27668	Roisl.0053s0150.1.p
OG0009376	jg27770	Roisl.0066s0282.1.p, Roisl.0066s0280.1.p
OG0009377	jg16303	Roisl.0018s0364.1.p
OG0009378	jg27845	Roisl.0066s0224.1.p
OG0009379	jg27849	Roisl.0066s0218.1.p
OG0009380	jg10074	Roisl.0008s0221.1.p
OG0009381	jg10078	Roisl.0008s0215.1.p
OG0009382	jg10100	Roisl.0008s0198.1.p
OG0009383	jg10096	Roisl.0008s0202.1.p
OG0009384	jg10224	Roisl.0091s0014.1.p
OG0009385	jg10227	Roisl.0091s0018.1.p
OG0009386	jg10254	Roisl.0091s0049.1.p
OG0009387	jg10270	Roisl.0091s0062.1.p
OG0009388	jg10299	Roisl.0091s0088.1.p
OG0009389	jg10327	Roisl.0091s0108.1.p
OG0009390	jg12836	Roisl.0009s0021.1.p
OG0009391	jg10356	Roisl.0091s0130.1.p
OG0009392	jg12818	Roisl.0009s0036.1.p
OG0009393	jg10567	Roisl.0091s0306.1.p
OG0009394	jg10549	Roisl.0091s0286.1.p
OG0009395	jg10541	Roisl.0091s0279.1.p
OG0009396	jg10527, jg10520, jg10515	Roisl.0091s0267.1.p
OG0009397	jg10514, jg10526	Roisl.0091s0266.1.p
OG0009398	jg10501	Roisl.0091s0261.1.p
OG0009399	jg14277	Roisl.0027s0113.1.p
OG0009400	jg30220	Roisl.0007s0433.1.p
OG0009401	jg10463	Roisl.0091s0225.1.p
OG0009402	jg10448	Roisl.0091s0212.1.p
OG0009403	jg10433	Roisl.0091s0199.1.p
OG0009404	jg13136	Roisl.0011s0242.1.p
OG0009405	jg10409	Roisl.0091s0179.1.p
OG0009406	jg28299	Roisl.0214s0500.1.p
OG0009407	jg21190	Roisl.0075s0009.1.p
OG0009408	jg11020	Roisl.0002s0034.1.p
OG0009409	jg10999	Roisl.0002s0017.1.p
OG0009410	jg10983	Roisl.0002s0007.1.p
OG0009411	jg10963	Roisl.0091s0692.1.p
OG0009412	jg10955	Roisl.0053s0014.1.p, Roisl.0091s0683.1.p
OG0009413	jg10950, jg28045	Roisl.0091s0658.1.p
OG0009414	jg10916	Roisl.0091s0640.1.p
OG0009415	jg10911	Roisl.0091s0634.1.p
OG0009416	jg23915	Roisl.0016s0034.1.p
OG0009417	jg23928	Roisl.0016s0045.1.p
OG0009418	jg23930	Roisl.0016s0047.1.p
OG0009419	jg23948	Roisl.0016s0069.1.p
OG0009420	jg23959	Roisl.0016s0080.1.p
OG0009421	jg23722	Roisl.0024s0608.1.p
OG0009422	jg23747	Roisl.0024s0633.1.p
OG0009423	jg23748	Roisl.0024s0634.1.p
OG0009424	jg23749, jg14588	Roisl.0046s0693.1.p
OG0009425	jg23751	Roisl.0024s0636.1.p
OG0009426	jg23774	Roisl.0024s0657.1.p
OG0009427	jg23778	Roisl.0024s0662.1.p
OG0009428	jg16415	Roisl.0018s0469.1.p
OG0009429	jg16412, jg16396, jg16404	Roisl.0018s0467.1.p
OG0009430	jg16382	Roisl.0018s0452.1.p
OG0009431	jg16367	Roisl.0018s0436.1.p
OG0009432	jg16361	Roisl.0018s0430.1.p
OG0009433	jg16312	Roisl.0018s0379.1.p
OG0009434	jg16310	Roisl.0018s0377.1.p
OG0009435	jg16298	Roisl.0018s0358.1.p
OG0009436	jg16259	Roisl.0018s0326.1.p
OG0009437	jg16256	Roisl.0018s0323.1.p
OG0009438	jg24445	Roisl.0039s0068.1.p
OG0009439	jg16249	Roisl.0018s0312.1.p
OG0009440	jg16247	Roisl.0018s0310.1.p
OG0009441	jg16223	Roisl.0018s0288.1.p
OG0009442	jg16187, jg32489	Roisl.0018s0257.1.p
OG0009443	jg18514	Roisl.0082s0639.1.p, Roisl.0028s0815.1.p
OG0009444	jg16172	Roisl.0018s0236.1.p
OG0009445	jg16164	Roisl.0018s0223.1.p
OG0009446	jg16154	Roisl.0018s0219.1.p
OG0009447	jg16125	Roisl.0018s0188.1.p
OG0009448	jg16117	Roisl.0018s0180.1.p, Roisl.0018s0183.1.p
OG0009449	jg16112	Roisl.0018s0171.1.p
OG0009450	jg16111	Roisl.0018s0170.1.p
OG0009451	jg16106	Roisl.0012s0230.1.p, Roisl.0016s0158.1.p, Roisl.0079s0173.1.p, Roisl.0018s0166.1.p
OG0009452	jg16103	Roisl.0018s0161.1.p
OG0009453	jg16047	Roisl.0018s0105.1.p
OG0009454	jg15994	Roisl.0018s0062.1.p, Roisl.0050s0025.1.p
OG0009455	jg15992	Roisl.0018s0059.1.p
OG0009456	jg15979	Roisl.0018s0048.1.p
OG0009457	jg15974	Roisl.0018s0045.1.p
OG0009459	jg15927	Roisl.0018s0008.1.p
OG0009460	jg15907	Roisl.0026s0006.1.p
OG0009461	jg15899	Roisl.0026s0014.1.p
OG0009462	jg15891	Roisl.0026s0023.1.p
OG0009463	jg15881	Roisl.0026s0036.1.p
OG0009464	jg15871	Roisl.0026s0045.1.p
OG0009465	jg15839	Roisl.0026s0068.1.p
OG0009466	jg15834	Roisl.0026s0073.1.p
OG0009467	jg15819	Roisl.0026s0088.1.p
OG0009468	jg15806	Roisl.0026s0103.1.p
OG0009469	jg15719, jg15661	Roisl.0204s0095.1.p
OG0009470	jg15670, jg23926	Roisl.0026s0183.1.p
OG0009471	jg15678	Roisl.0026s0190.1.p
OG0009472	jg15690	Roisl.0026s0205.1.p
OG0009474	jg15623	Roisl.0046s1653.1.p
OG0009475	jg15599	Roisl.0046s1634.1.p
OG0009476	jg15565	Roisl.0046s1595.1.p
OG0009477	jg15540	Roisl.0046s1579.1.p
OG0009478	jg15495	Roisl.0046s1546.1.p
OG0009479	jg15481	Roisl.0046s1532.1.p
OG0009480	jg15475	Roisl.0046s1526.1.p
OG0009481	jg15465	Roisl.0046s1518.1.p
OG0009482	jg15463	Roisl.0084s0008.1.p
OG0009483	jg15432	Roisl.0046s1485.1.p
OG0009484	jg15429	Roisl.0046s1481.1.p
OG0009485	jg15409	Roisl.0046s1460.1.p
OG0009486	jg15407	Roisl.0046s1457.1.p
OG0009487	jg15403	Roisl.0046s1453.1.p
OG0009489	jg15372	Roisl.0046s1420.1.p
OG0009491	jg15362	Roisl.0046s1402.1.p
OG0009492	jg15357	Roisl.0079s0165.1.p
OG0009493	jg15355	Roisl.0046s1393.1.p
OG0009494	jg15350	Roisl.0046s1388.1.p
OG0009495	jg30634, jg24040	Roisl.0007s0044.1.p
OG0009496	jg15341	Roisl.0046s1383.1.p
OG0009497	jg15321	Roisl.0046s1363.1.p
OG0009498	jg15281	Roisl.0046s1326.1.p
OG0009499	jg15253	Roisl.0046s1298.1.p
OG0009500	jg15251	Roisl.0046s1296.1.p
OG0009501	jg15250	Roisl.0046s1295.1.p
OG0009502	jg15246	Roisl.0046s1291.1.p
OG0009503	jg15210	Roisl.0046s1259.1.p
OG0009504	jg15209	Roisl.0046s1258.1.p
OG0009505	jg15179	Roisl.0046s1305.1.p
OG0009506	jg22142	Roisl.0184s0104.1.p
OG0009507	jg22126	Roisl.0184s0090.1.p
OG0009508	jg22080	Roisl.0031s0133.1.p
OG0009509	jg22079	Roisl.0031s0132.1.p
OG0009510	jg22068	Roisl.0031s0121.1.p
OG0009511	jg22066	Roisl.0031s0118.1.p
OG0009512	jg22056	Roisl.0031s0109.1.p
OG0009513	jg22054	Roisl.0031s0107.1.p
OG0009514	jg11055	Roisl.0002s0065.1.p
OG0009515	jg26767	Roisl.0053s0224.1.p
OG0009516	jg26779	Roisl.0053s0214.1.p
OG0009517	jg26857, jg26856	Roisl.0053s0156.1.p
OG0009518	jg27102	Roisl.0213s0661.1.p
OG0009519	jg26726	Roisl.0053s0253.1.p
OG0009520	jg27105	Roisl.0038s0047.1.p
OG0009521	jg2140	Roisl.0024s0033.1.p
OG0009523	jg2258	Roisl.0019s0846.1.p
OG0009526	jg2293	Roisl.0019s0815.1.p
OG0009527	jg2310	Roisl.0019s0800.1.p
OG0009528	jg2376	Roisl.0019s0767.1.p, Roisl.0185s0051.1.p
OG0009529	jg2374	Roisl.0019s0765.1.p
OG0009530	jg2358	Roisl.0019s0750.1.p
OG0009531	jg2356	Roisl.0019s0748.1.p
OG0009532	jg2381	Roisl.0019s0741.1.p
OG0009533	jg2385	Roisl.0019s0737.1.p
OG0009534	jg2408	Roisl.0019s0712.1.p
OG0009535	jg12037	Roisl.0053s0121.1.p
OG0009536	jg12044	Roisl.0053s0129.1.p
OG0009537	jg21458	Roisl.0036s0018.1.p
OG0009538	jg28073, jg27940	Roisl.0066s0118.1.p
OG0009539	jg27961	Roisl.0066s0101.1.p
OG0009540	jg28038	Roisl.0066s0038.1.p
OG0009541	jg28084	Roisl.0066s0005.1.p
OG0009542	jg28142	Roisl.0214s0351.1.p
OG0009543	jg28143	Roisl.0214s0352.1.p
OG0009544	jg28164	Roisl.0214s0369.1.p
OG0009545	jg19398	Roisl.0028s0500.1.p
OG0009546	jg19375	Roisl.0028s0524.1.p
OG0009547	jg19352	Roisl.0028s0540.1.p
OG0009548	jg19344	Roisl.0028s0547.1.p
OG0009549	jg19339	Roisl.0028s0551.1.p
OG0009550	jg19330	Roisl.0028s0562.1.p
OG0009551	jg19313	Roisl.0028s0582.1.p
OG0009552	jg19312	Roisl.0028s0583.1.p
OG0009553	jg19293	Roisl.0028s0600.1.p
OG0009554	jg19284	Roisl.0028s0604.1.p
OG0009555	jg19272	Roisl.0017s0415.1.p
OG0009556	jg19250	Roisl.0017s0402.1.p
OG0009557	jg19247	Roisl.0017s0399.1.p
OG0009558	jg19218	Roisl.0017s0365.1.p
OG0009559	jg19213	Roisl.0017s0361.1.p
OG0009560	jg19210	Roisl.0017s0358.1.p, Roisl.0033s0157.1.p
OG0009561	jg19209	Roisl.0017s0357.1.p
OG0009562	jg19191	Roisl.0017s0343.1.p
OG0009563	jg14034	Roisl.0011s0536.1.p
OG0009564	jg19174	Roisl.0017s0329.1.p
OG0009565	jg19170	Roisl.0017s0325.1.p
OG0009566	jg19162	Roisl.0017s0318.1.p
OG0009567	jg19132	Roisl.0017s0292.1.p
OG0009568	jg19097	Roisl.0017s0285.1.p
OG0009569	jg19071	Roisl.0017s0258.1.p
OG0009570	jg19063	Roisl.0017s0248.1.p
OG0009571	jg19062	Roisl.0017s0247.1.p
OG0009572	jg19057	Roisl.0017s0239.1.p
OG0009573	jg19055	Roisl.0017s0237.1.p
OG0009574	jg19053	Roisl.0017s0235.1.p
OG0009575	jg19045	Roisl.0017s0226.1.p
OG0009576	jg19044	Roisl.0017s0225.1.p
OG0009577	jg19034	Roisl.0017s0216.1.p
OG0009578	jg19032	Roisl.0017s0214.1.p
OG0009579	jg19009	Roisl.0017s0194.1.p
OG0009580	jg18996	Roisl.0017s0187.1.p
OG0009581	jg18979	Roisl.0017s0171.1.p
OG0009582	jg18972	Roisl.0017s0164.1.p
OG0009583	jg18964	Roisl.0017s0156.1.p
OG0009584	jg12927	Roisl.0011s0032.1.p
OG0009585	jg18950	Roisl.0017s0143.1.p
OG0009586	jg18941	Roisl.0017s0132.1.p
OG0009587	jg18895	Roisl.0017s0086.1.p
OG0009588	jg18890	Roisl.0017s0083.1.p
OG0009589	jg18885	Roisl.0017s0077.1.p
OG0009590	jg13019	Roisl.0011s0110.1.p
OG0009591	jg18882	Roisl.0017s0074.1.p
OG0009592	jg7211	Roisl.0032s0087.1.p
OG0009593	jg18874	Roisl.0017s0066.1.p
OG0009594	jg18859	Roisl.0017s0052.1.p
OG0009595	jg18850	Roisl.0017s0044.1.p
OG0009596	jg18835	Roisl.0017s0028.1.p
OG0009597	jg18833	Roisl.0017s0027.1.p
OG0009598	jg7657	Roisl.0082s0152.1.p
OG0009599	jg7661	Roisl.0082s0158.1.p
OG0009600	jg7689	Roisl.0082s0188.1.p, Roisl.0082s0190.1.p
OG0009601	jg7696	Roisl.0082s0240.1.p
OG0009602	jg7713	Roisl.0082s0217.1.p
OG0009603	jg12938	Roisl.0011s0043.1.p
OG0009604	jg7740	Roisl.0082s0235.1.p
OG0009605	jg7608	Roisl.0209s0207.1.p
OG0009606	jg7639	Roisl.0209s0232.1.p
OG0009607	jg7642	Roisl.0209s0237.1.p
OG0009608	jg7645	Roisl.0209s0240.1.p
OG0009610	jg16543	Roisl.0063s0050.1.p
OG0009611	jg16573	Roisl.0082s0126.1.p
OG0009612	jg16580	Roisl.0082s0114.1.p
OG0009613	jg16604	Roisl.0046s0652.1.p
OG0009614	jg16605	Roisl.0046s0651.1.p
OG0009615	jg16806	Roisl.0006s0579.1.p
OG0009616	jg16846	Roisl.0021s0568.1.p
OG0009617	jg16839	Roisl.0006s0552.1.p
OG0009618	jg21415, jg16908	Roisl.0004s0015.1.p
OG0009619	jg17087	Roisl.0023s0053.1.p
OG0009620	jg17051	Roisl.0023s0012.1.p
OG0009621	jg17349	Roisl.0198s0051.1.p
OG0009622	jg17328	Roisl.0198s0059.1.p
OG0009623	jg17314	Roisl.0037s0038.1.p, Roisl.0043s0038.1.p
OG0009624	jg17363	Roisl.0040s0041.1.p
OG0009625	jg10014	Roisl.0022s0109.1.p
OG0009626	jg32570	Roisl.0185s0014.1.p
OG0009627	jg17168	Roisl.0017s0381.1.p
OG0009628	jg32388	Roisl.0017s0310.1.p
OG0009629	jg32284	Roisl.0210s2150.1.p
OG0009630	jg32217	Roisl.0210s2080.1.p
OG0009631	jg32164	Roisl.0048s0017.1.p
OG0009632	jg32161	Roisl.0048s0021.1.p
OG0009633	jg32115	Roisl.0056s0060.1.p
OG0009634	jg32042	Roisl.0040s0049.1.p
OG0009635	jg32402, jg32408	Roisl.0040s0067.1.p
OG0009636	jg7291	Roisl.0184s0135.1.p
OG0009637	jg7287	Roisl.0184s0138.1.p
OG0009638	jg7101, jg7138	Roisl.0184s0025.1.p
OG0009639	jg7160, jg7077	Roisl.0184s0002.1.p
OG0009640	jg7382	Roisl.0020s0122.1.p
OG0009641	jg7412	Roisl.0057s0020.1.p
OG0009642	jg7416	Roisl.0057s0024.1.p
OG0009644	jg7430	Roisl.0057s0035.1.p
OG0009645	jg7578	Roisl.0213s0542.1.p
OG0009646	jg5785	Roisl.0210s1643.1.p
OG0009647	jg5788	Roisl.0210s1644.1.p
OG0009648	jg6539	Roisl.0046s0304.1.p
OG0009649	jg6542	Roisl.0046s0307.1.p
OG0009650	jg6547	Roisl.0046s0312.1.p
OG0009651	jg6557	Roisl.0046s0322.1.p
OG0009652	jg6574	Roisl.0046s0334.1.p
OG0009653	jg6589	Roisl.0046s0350.1.p
OG0009654	jg6604	Roisl.0046s0366.1.p
OG0009655	jg13184	Roisl.0209s0065.1.p
OG0009656	jg6621	Roisl.0046s0382.1.p
OG0009657	jg6643	Roisl.0046s0396.1.p
OG0009658	jg6656	Roisl.0046s0407.1.p
OG0009659	jg6657	Roisl.0046s0409.1.p
OG0009660	jg6774	Roisl.0046s0462.1.p
OG0009661	jg28214	Roisl.0214s0407.1.p
OG0009662	jg28219	Roisl.0214s0413.1.p
OG0009663	jg28228	Roisl.0214s0421.1.p
OG0009664	jg28246	Roisl.0214s0434.1.p
OG0009665	jg28252	Roisl.0214s0440.1.p
OG0009666	jg28267	Roisl.0214s0453.1.p
OG0009667	jg28307	Roisl.0214s0509.1.p, Roisl.0214s0395.1.p
OG0009668	jg14404	Roisl.0209s0324.1.p
OG0009669	jg14403	Roisl.0209s0321.1.p, Roisl.0209s0319.1.p
OG0009670	jg14402	Roisl.0209s0317.1.p
OG0009671	jg20220	Roisl.0067s0011.1.p
OG0009672	jg20217	Roisl.0067s0015.1.p
OG0009673	jg20213, jg9022	Roisl.0067s0020.1.p
OG0009674	jg20209, jg28200	Roisl.0067s0023.1.p
OG0009675	jg20206	Roisl.0067s0027.1.p
OG0009676	jg20204	Roisl.0067s0029.1.p
OG0009677	jg20197	Roisl.0067s0036.1.p
OG0009678	jg20182	Roisl.0067s0051.1.p
OG0009679	jg20079	Roisl.0035s0066.1.p
OG0009680	jg20077	Roisl.0035s0068.1.p
OG0009681	jg20070	Roisl.0035s0077.1.p
OG0009682	jg20058	Roisl.0035s0089.1.p
OG0009683	jg9739	Roisl.0022s0379.1.p
OG0009684	jg20057	Roisl.0035s0090.1.p
OG0009685	jg20056	Roisl.0035s0091.1.p
OG0009686	jg20046	Roisl.0035s0097.1.p
OG0009687	jg32626	Roisl.0179s0059.1.p
OG0009688	jg20026	Roisl.0035s0125.1.p
OG0009689	jg20022	Roisl.0035s0127.1.p
OG0009690	jg20015	Roisl.0035s0135.1.p
OG0009691	jg20008	Roisl.0035s0141.1.p
OG0009692	jg20000	Roisl.0035s0147.1.p
OG0009693	jg19971	Roisl.0035s0174.1.p
OG0009694	jg19969	Roisl.0035s0176.1.p
OG0009695	jg19968	Roisl.0035s0177.1.p
OG0009696	jg19958	Roisl.0035s0190.1.p
OG0009697	jg19942	Roisl.0028s0029.1.p
OG0009698	jg19941	Roisl.0028s0030.1.p
OG0009699	jg19934	Roisl.0028s0039.1.p
OG0009700	jg26962, jg19914	Roisl.0028s0058.1.p
OG0009701	jg19912	Roisl.0028s0059.1.p
OG0009702	jg19908	Roisl.0028s0064.1.p
OG0009703	jg19899	Roisl.0028s0073.1.p
OG0009704	jg19872	Roisl.0028s0080.1.p
OG0009705	jg19870	Roisl.0028s0082.1.p
OG0009706	jg19831	Roisl.0028s0114.1.p
OG0009707	jg19796	Roisl.0028s0147.1.p
OG0009708	jg19770	Roisl.0028s0170.1.p
OG0009709	jg19760	Roisl.0028s0177.1.p
OG0009710	jg19728	Roisl.0028s0211.1.p
