Orthogroup	Raphanus_sativus	Rorippa_islandica
OG0010277	XP_018434280.1, XP_018461770.1, XP_018460853.1	Roisl.0053s0278.1.p
OG0010278	XP_018469631.1, XP_018457248.1	Roisl.0019s0223.1.p
OG0010279	XP_018469343.1, XP_018457406.1, XP_018462928.1	Roisl.0019s0235.1.p
OG0010280	XP_018457121.1, XP_018457125.1, XP_018453817.1	Roisl.0019s0272.1.p
OG0010281	XP_018469986.1, XP_018454612.1	Roisl.0019s0284.1.p
OG0010282	XP_018454727.1, XP_018468692.1	Roisl.0019s0285.1.p
OG0010283	XP_018452536.1	Roisl.0019s0308.1.p
OG0010284	XP_018446245.1, XP_018444200.1	Roisl.0019s0313.1.p
OG0010285	XP_018452475.1, XP_018442404.1	Roisl.0019s0322.1.p
OG0010286	XP_018438269.1	Roisl.0191s0289.1.p
OG0010287	XP_018450979.1, XP_018492834.1	Roisl.0191s0293.1.p
OG0010288	XP_018436860.1, XP_018448160.1	Roisl.0191s0311.1.p
OG0010289	XP_018472912.1, XP_018435047.1	Roisl.0191s0339.1.p
OG0010290	XP_018484274.1, XP_018434906.1	Roisl.0191s0368.1.p
OG0010292	XP_018437366.1	Roisl.0015s0098.1.p
OG0010293	XP_018472159.1, XP_018475463.1	Roisl.0191s0677.1.p
OG0010294	XP_018463324.1, XP_018472160.1, XP_018457519.1	Roisl.0191s0676.1.p
OG0010295	XP_018453458.1, XP_018471008.1	Roisl.0191s0672.1.p
OG0010296	XP_018455982.1, XP_018455985.1	Roisl.0191s0670.1.p
OG0010297	XP_018465869.1	Roisl.0191s0659.1.p
OG0010298	XP_018472747.1, XP_018473612.1	Roisl.0191s0653.1.p
OG0010299	XP_018475957.1	Roisl.0191s0587.1.p
OG0010300	XP_018454500.1, XP_018454499.1	Roisl.0191s0590.1.p
OG0010301	XP_018461671.1, XP_018456484.1	Roisl.0191s0608.1.p
OG0010302	XP_018481015.1, XP_018437613.1	Roisl.0025s0064.1.p
OG0010304	XP_018474999.1, XP_018452544.1	Roisl.0191s0641.1.p
OG0010305	XP_018453088.1	Roisl.0191s0642.1.p
OG0010306	XP_018453011.1	Roisl.0191s0646.1.p
OG0010307	XP_018474367.1, XP_018474383.1	Roisl.0191s0558.1.p, Roisl.0191s0549.1.p
OG0010308	XP_018453027.1, XP_018462388.1	Roisl.0191s0529.1.p
OG0010309	XP_018456206.1	Roisl.0191s0525.1.p
OG0010310	XP_018475318.1	Roisl.0191s0512.1.p
OG0010311	XP_018456216.1	Roisl.0191s0506.1.p
OG0010312	XP_018476565.1, XP_018456211.1	Roisl.0191s0500.1.p
OG0010313	XP_018457498.1, XP_018457502.1	Roisl.0191s0495.1.p
OG0010314	XP_018452606.1, XP_018452616.1	Roisl.0191s0491.1.p
OG0010315	XP_018464597.1, XP_018456140.1	Roisl.0191s0478.1.p
OG0010316	XP_018460265.1, XP_018468998.1	Roisl.0015s0045.1.p
OG0010317	XP_018453304.1	Roisl.0018s0231.1.p
OG0010318	XP_018440491.1	Roisl.0063s0017.1.p
OG0010319	XP_018484987.1, XP_018478789.1	Roisl.0063s0021.1.p
OG0010320	XP_018433761.1	Roisl.0015s0070.1.p
OG0010321	XP_018447387.1, XP_018479203.1	Roisl.0191s0414.1.p
OG0010322	XP_018435706.1, XP_018448146.1	Roisl.0191s0402.1.p
OG0010323	XP_018441300.1, XP_018477401.1	Roisl.0082s0081.1.p
OG0010324	XP_018472263.1	Roisl.0022s0294.1.p
OG0010325	XP_018449380.1, XP_018445987.1	Roisl.0022s0363.1.p
OG0010326	XP_018451427.1	Roisl.0022s0364.1.p
OG0010327	XP_018447516.1, XP_018450909.1, XP_018484612.1	Roisl.0022s0374.1.p
OG0010328	XP_018482197.1, XP_018469400.1	Roisl.0022s0394.1.p
OG0010329	XP_018485138.1, XP_018468980.1	Roisl.0022s0404.1.p
OG0010330	XP_018468985.1, XP_018451092.1	Roisl.0022s0406.1.p
OG0010331	XP_018449584.1, XP_018481697.1	Roisl.0022s0409.1.p
OG0010332	XP_018484983.1, XP_018471551.1	Roisl.0022s0413.1.p
OG0010333	XP_018482283.1, XP_018469517.1, XP_018472186.1	Roisl.0022s0479.1.p, Roisl.0022s0478.1.p
OG0010334	XP_018451745.1	Roisl.0022s0493.1.p, Roisl.0091s0118.1.p
OG0010335	XP_018464786.1, XP_018451344.1, XP_018451345.1	Roisl.0022s0499.1.p
OG0010336	XP_018455150.1	Roisl.0022s0503.1.p
OG0010337	XP_018482592.1, XP_018455802.1	Roisl.0011s0273.1.p
OG0010338	XP_018477315.1, XP_018435168.1, XP_018464838.1	Roisl.0011s0275.1.p
OG0010339	XP_018467396.1, XP_018458397.1, XP_018455715.1, XP_018438663.1	Roisl.0011s0285.1.p
OG0010340	XP_018460567.1, XP_018480668.1, XP_018436839.1	Roisl.0011s0322.1.p
OG0010341	XP_018465303.1, XP_018465493.1	Roisl.0210s0142.1.p
OG0010343	XP_018450086.1	Roisl.0007s0172.1.p, Roisl.0115s0677.1.p, Roisl.0115s0678.1.p
OG0010345	XP_018473771.1	Roisl.0191s0166.1.p
OG0010346	XP_018489577.1, XP_018462297.1, XP_018480014.1	Roisl.0191s0427.1.p
OG0010347	XP_018482205.1, XP_018450340.1	Roisl.0191s0456.1.p
OG0010350	XP_018488109.1, XP_018478253.1, XP_018467444.1	Roisl.0006s0185.1.p
OG0010351	XP_018493468.1	Roisl.0074s0514.1.p
OG0010352	XP_018478892.1, XP_018490124.1	Roisl.0006s0462.1.p
OG0010353	XP_018491900.1	Roisl.0209s0087.1.p, Roisl.0209s0088.1.p, Roisl.0016s0037.1.p
OG0010356	XP_018438610.1, XP_018475535.1	Roisl.0028s0261.1.p
OG0010359	XP_018437777.1	Roisl.0016s0352.1.p
OG0010360	XP_018455644.1	Roisl.0019s0714.1.p, Roisl.0019s0739.1.p
OG0010361	XP_018447693.1, XP_018448121.1, XP_018456741.1	Roisl.0019s0252.1.p
OG0010362	XP_018468173.1, XP_018456034.1, XP_018456031.1	Roisl.0019s0114.1.p
OG0010363	XP_018440382.1, XP_018493440.1, XP_018487444.1	Roisl.0079s0164.1.p
OG0010364	XP_018435357.1	Roisl.0029s0032.1.p, Roisl.0074s0758.1.p, Roisl.0074s0759.1.p
OG0010365	XP_018489252.1, XP_018459549.1, XP_018435380.1	Roisl.0074s0586.1.p
OG0010367	XP_018481660.1	Roisl.0066s0148.1.p
OG0010368	XP_018438873.1, XP_018438867.1	Roisl.0046s0615.1.p
OG0010369	XP_018439594.1, XP_018480725.1, XP_018480720.1	Roisl.0046s0592.1.p
OG0010370	XP_018436199.1	Roisl.0210s1362.1.p
OG0010371	XP_018433686.1, XP_018477768.1	Roisl.0051s0039.1.p
OG0010372	XP_018480972.1, XP_018437180.1	Roisl.0051s0045.1.p
OG0010374	XP_018435138.1, XP_018483630.1	Roisl.0023s0076.1.p
OG0010375	XP_018477409.1	Roisl.0044s0041.1.p
OG0010376	XP_018466020.1, XP_018481237.1, XP_018478625.1	Roisl.0028s0648.1.p
OG0010377	XP_018475331.1, XP_018475168.1, XP_018481558.1	Roisl.0028s1017.1.p
OG0010378	XP_018482273.1, XP_018484982.1	Roisl.0017s0368.1.p, Roisl.0017s0252.1.p
OG0010380	XP_018472745.1, XP_018478643.1, XP_018479140.1	Roisl.0028s0375.1.p
OG0010381	XP_018444784.1, XP_018470426.1	Roisl.0035s0043.1.p
OG0010382	XP_018459536.1, XP_018481829.1, XP_018455141.1	Roisl.0011s0098.1.p
OG0010383	XP_018434716.1, XP_018483331.1, XP_018463593.1	Roisl.0011s0351.1.p
OG0010384	XP_018454714.1, XP_018437931.1	Roisl.0011s0563.1.p
OG0010385	XP_018481635.1, XP_018455989.1	Roisl.0188s0107.1.p
OG0010386	XP_018432855.1, XP_018440374.1	Roisl.0046s0787.1.p
OG0010387	XP_018479276.1, XP_018470232.1	Roisl.0046s0945.1.p
OG0010388	XP_018455667.1, XP_018490298.1	Roisl.0046s1302.1.p
OG0010389	XP_018484418.1	Roisl.0046s0338.1.p, Roisl.0026s0171.1.p
OG0010390	XP_018473716.1, XP_018473717.1	Roisl.0210s1112.1.p
OG0010391	XP_018444895.1	Roisl.0210s1953.1.p
OG0010392	XP_018437190.1, XP_018440043.1, XP_018452851.1, XP_018461278.1	Roisl.0068s0001.1.p
OG0010393	XP_018468384.1, XP_018468376.1	Roisl.0057s0009.1.p, Roisl.0057s0010.1.p
OG0010394	XP_018482488.1, XP_018460085.1, XP_018482426.1, XP_018482485.1, XP_018460083.1, XP_018460084.1	Roisl.0044s0079.1.p
OG0010395	XP_018484459.1, XP_018484323.1, XP_018470638.1	Roisl.0022s0242.1.p
OG0010396	XP_018485299.1, XP_018485306.1, XP_018472336.1	Roisl.0008s0240.1.p
OG0010397	XP_018469829.1	Roisl.0214s0114.1.p, Roisl.0091s0052.1.p, Roisl.0091s0053.1.p
OG0010399	XP_018437375.1	Roisl.0091s0347.1.p
OG0010400	XP_018480316.1	Roisl.0091s0614.1.p
OG0010401	XP_018482541.1, XP_018469931.1	Roisl.0036s0035.1.p, Roisl.0044s0051.1.p
OG0010402	XP_018451004.1, XP_018484121.1	Roisl.0075s0169.1.p
OG0010405	XP_018444585.1, XP_018481356.1, XP_018482164.1	Roisl.0009s0088.1.p
OG0010406	XP_018443183.1, XP_018453079.1	Roisl.0009s0061.1.p
OG0010407	XP_018480696.1, XP_018454159.1	Roisl.0214s0291.1.p
OG0010408	XP_018436802.1	Roisl.0075s0031.1.p
OG0010409	XP_018454873.1	Roisl.0014s0050.1.p, Roisl.0014s0048.1.p, Roisl.0014s0044.1.p, Roisl.0014s0056.1.p, Roisl.0014s0054.1.p
OG0010410	XP_018480421.1, XP_018454929.1	Roisl.0036s0017.1.p
OG0010411	XP_018435635.1, XP_018435636.1, XP_018462133.1, XP_018478355.1	Roisl.0198s0027.1.p
OG0010412	XP_018454841.1, XP_018467577.1	Roisl.0198s0045.1.p
OG0010413	XP_018461569.1, XP_018461025.1, XP_018462045.1	Roisl.0214s0068.1.p
OG0010414	XP_018452737.1, XP_018451971.1	Roisl.0189s0231.1.p
OG0010415	XP_018452388.1	Roisl.0189s0166.1.p
OG0010416	XP_018457492.1	Roisl.0031s0009.1.p
OG0010417	XP_018471877.1, XP_018457781.1, XP_018455781.1	Roisl.0031s0058.1.p
OG0010418	XP_018452832.1, XP_018469070.1, XP_018466755.1, XP_018474215.1	Roisl.0080s0582.1.p, Roisl.0209s0553.1.p
OG0010419	XP_018434892.1, XP_018437265.1, XP_018452382.1	Roisl.0024s0626.1.p
OG0010421	XP_018453712.1	Roisl.0002s0008.1.p
OG0010421	XP_018480682.1	Roisl.0028s0998.1.p
OG0010422	XP_018449837.1, XP_018485551.1, XP_018490142.1	Roisl.0015s0102.1.p
OG0010423	XP_018468844.1, XP_018464246.1, XP_018455161.1, XP_018455028.1	Roisl.0031s0099.1.p
OG0010424	XP_018463562.1, XP_018467802.1	Roisl.0044s0135.1.p, Roisl.0044s0132.1.p
OG0010426	XP_018480973.1, XP_018437022.1	Roisl.0188s0081.1.p
OG0010437	XP_018484553.1, XP_018484551.1	Roisl.0003s0060.1.p
OG0010438	XP_018445242.1, XP_018480487.1	Roisl.0003s0063.1.p
OG0010439	XP_018462809.1, XP_018449521.1	Roisl.0003s0066.1.p
OG0010440	XP_018461850.1, XP_018480495.1	Roisl.0003s0069.1.p
OG0010441	XP_018471656.1, XP_018471655.1	Roisl.0003s0076.1.p
OG0010442	XP_018485245.1, XP_018463836.1	Roisl.0003s0084.1.p
OG0010443	XP_018485205.1	Roisl.0026s0001.1.p
OG0010444	XP_018471727.1	Roisl.0091s0002.1.p
OG0010445	XP_018491444.1, XP_018465907.1, XP_018440642.1	Roisl.0209s0365.1.p
OG0010446	XP_018471575.1	Roisl.0046s0785.1.p
OG0010447	XP_018446104.1, XP_018445898.1	Roisl.0046s0778.1.p
OG0010448	XP_018458319.1	Roisl.0053s0097.1.p, Roisl.0053s0098.1.p, Roisl.0046s0770.1.p
OG0010449	XP_018440765.1	Roisl.0046s0761.1.p
OG0010450	XP_018437757.1, XP_018437751.1, XP_018458125.1	Roisl.0046s0712.1.p
OG0010451	XP_018439977.1, XP_018458791.1	Roisl.0046s0726.1.p
OG0010452	XP_018458316.1	Roisl.0046s0732.1.p
OG0010453	XP_018488785.1, XP_018440404.1	Roisl.0046s0685.1.p
OG0010454	XP_018441330.1	Roisl.0011s0009.1.p
OG0010455	XP_018433149.1	Roisl.0011s0071.1.p
OG0010456	XP_018434521.1, XP_018484363.1	Roisl.0011s0133.1.p
OG0010457	XP_018483930.1	Roisl.0011s0103.1.p
OG0010459	XP_018477908.1, XP_018462554.1	Roisl.0009s0199.1.p
OG0010460	XP_018478500.1	Roisl.0009s0214.1.p
OG0010461	XP_018472704.1, XP_018442267.1	Roisl.0210s1511.1.p
OG0010462	XP_018474625.1	Roisl.0210s1485.1.p
OG0010463	XP_018476829.1	Roisl.0210s1479.1.p
OG0010464	XP_018472062.1, XP_018472061.1	Roisl.0210s1461.1.p
OG0010465	XP_018445549.1, XP_018468710.1	Roisl.0210s1452.1.p
OG0010466	XP_018442110.1, XP_018459140.1	Roisl.0210s1448.1.p
OG0010467	XP_018472107.1	Roisl.0210s1437.1.p
OG0010468	XP_018466659.1, XP_018469291.1	Roisl.0210s1431.1.p
OG0010469	XP_018444305.1	Roisl.0210s1419.1.p
OG0010470	XP_018486401.1	Roisl.0091s0955.1.p
OG0010471	XP_018443844.1, XP_018443843.1	Roisl.0210s1374.1.p
OG0010472	XP_018476027.1	Roisl.0210s1368.1.p
OG0010473	XP_018476526.1	Roisl.0210s1350.1.p
OG0010474	XP_018444666.1, XP_018476527.1	Roisl.0210s1348.1.p
OG0010475	XP_018466740.1	Roisl.0210s1336.1.p
OG0010476	XP_018467882.1	Roisl.0210s1316.1.p
OG0010477	XP_018448322.1, XP_018462578.1, XP_018462580.1	Roisl.0210s1314.1.p
OG0010478	XP_018446844.1, XP_018446872.1	Roisl.0210s1304.1.p
OG0010479	XP_018462901.1, XP_018472697.1	Roisl.0028s0884.1.p
OG0010480	XP_018470892.1	Roisl.0210s1245.1.p
OG0010481	XP_018470893.1	Roisl.0210s1243.1.p
OG0010482	XP_018444854.1	Roisl.0210s1212.1.p
OG0010483	XP_018443546.1	Roisl.0210s1192.1.p, Roisl.0004s0332.1.p
OG0010485	XP_018444160.1	Roisl.0210s1175.1.p
OG0010486	XP_018442750.1, XP_018472475.1	Roisl.0210s1172.1.p
OG0010487	XP_018472628.1, XP_018472774.1	Roisl.0210s1165.1.p
OG0010488	XP_018477632.1	Roisl.0075s0116.1.p
OG0010489	XP_018466353.1, XP_018473684.1, XP_018473682.1	Roisl.0210s1136.1.p
OG0010490	XP_018444897.1, XP_018444630.1, XP_018469503.1	Roisl.0210s1088.1.p
OG0010491	XP_018472545.1	Roisl.0210s1077.1.p
OG0010492	XP_018477019.1	Roisl.0210s1076.1.p
OG0010493	XP_018475142.1, XP_018444335.1	Roisl.0210s1075.1.p
OG0010494	XP_018476673.1	Roisl.0210s1066.1.p
OG0010495	XP_018470375.1, XP_018476674.1	Roisl.0210s1062.1.p
OG0010496	XP_018445422.1	Roisl.0210s1047.1.p
OG0010497	XP_018476273.1	Roisl.0210s1040.1.p
OG0010498	XP_018447845.1, XP_018447968.1	Roisl.0210s1009.1.p
OG0010499	XP_018442268.1	Roisl.0210s1008.1.p
OG0010500	XP_018472323.1, XP_018445536.1	Roisl.0210s0989.1.p
OG0010501	XP_018444569.1, XP_018444532.1	Roisl.0210s0981.1.p
OG0010503	XP_018470498.1	Roisl.0210s0976.1.p
OG0010504	XP_018443435.1	Roisl.0075s0010.1.p
OG0010505	XP_018473111.1, XP_018472252.1	Roisl.0210s0953.1.p
OG0010506	XP_018474866.1, XP_018446645.1	Roisl.0210s0949.1.p
OG0010507	XP_018446891.1	Roisl.0210s0937.1.p
OG0010508	XP_018445013.1	Roisl.0210s0934.1.p
OG0010509	XP_018462093.1, XP_018474318.1, XP_018467578.1	Roisl.0210s0908.1.p
OG0010510	XP_018471489.1	Roisl.0210s0907.1.p
OG0010511	XP_018472110.1	Roisl.0210s0892.1.p
OG0010512	XP_018454880.1	Roisl.0210s0872.1.p
OG0010513	XP_018491937.1	Roisl.0210s0868.1.p
OG0010514	XP_018446776.1	Roisl.0210s0863.1.p
OG0010515	XP_018468413.1	Roisl.0210s0833.1.p
OG0010516	XP_018474470.1, XP_018446975.1	Roisl.0210s0810.1.p
OG0010517	XP_018445275.1	Roisl.0210s0806.1.p, Roisl.0003s0293.1.p
OG0010518	XP_018453158.1	Roisl.0210s0804.1.p
OG0010519	XP_018446599.1	Roisl.0210s0761.1.p
OG0010520	XP_018446626.1	Roisl.0210s0758.1.p
OG0010521	XP_018445622.1	Roisl.0210s0750.1.p
OG0010522	XP_018474715.1	Roisl.0210s0725.1.p
OG0010523	XP_018445201.1	Roisl.0210s0694.1.p
OG0010524	XP_018469448.1, XP_018443360.1	Roisl.0210s0685.1.p
OG0010525	XP_018475989.1, XP_018471159.1	Roisl.0210s0670.1.p
OG0010526	XP_018475995.1, XP_018442520.1	Roisl.0210s0656.1.p
OG0010527	XP_018442759.1	Roisl.0210s0648.1.p
OG0010528	XP_018443985.1	Roisl.0049s0031.1.p, Roisl.0210s0644.1.p
OG0010529	XP_018488633.1	Roisl.0049s0023.1.p
OG0010530	XP_018486827.1	Roisl.0115s0528.1.p
OG0010531	XP_018474514.1	Roisl.0210s0599.1.p
OG0010532	XP_018446307.1	Roisl.0210s0597.1.p
OG0010533	XP_018471190.1	Roisl.0210s0591.1.p
OG0010534	XP_018474526.1	Roisl.0210s0587.1.p
OG0010535	XP_018474524.1	Roisl.0210s0586.1.p
OG0010536	XP_018473255.1, XP_018459317.1, XP_018459205.1	Roisl.0210s0546.1.p
OG0010537	XP_018468184.1, XP_018468179.1	Roisl.0210s0537.1.p
OG0010538	XP_018468287.1, XP_018443352.1	Roisl.0210s0521.1.p
OG0010539	XP_018474774.1, XP_018475659.1	Roisl.0210s0503.1.p
OG0010540	XP_018476736.1	Roisl.0082s0378.1.p
OG0010541	XP_018456566.1	Roisl.0082s0376.1.p
OG0010542	XP_018452251.1, XP_018452218.1	Roisl.0082s0368.1.p
OG0010543	XP_018457826.1	Roisl.0082s0354.1.p
OG0010544	XP_018457828.1, XP_018466930.1	Roisl.0082s0353.1.p
OG0010545	XP_018457830.1, XP_018467227.1, XP_018466931.1	Roisl.0082s0352.1.p
OG0010546	XP_018476118.1, XP_018472813.1	Roisl.0082s0349.1.p
OG0010547	XP_018456770.1	Roisl.0082s0340.1.p
OG0010548	XP_018452829.1	Roisl.0082s0336.1.p
OG0010549	XP_018472014.1, XP_018471977.1	Roisl.0022s0153.1.p
OG0010550	XP_018470852.1	Roisl.0022s0150.1.p
OG0010551	XP_018435680.1	Roisl.0082s0478.1.p, Roisl.0082s0479.1.p, Roisl.0082s0475.1.p, Roisl.0082s0476.1.p
OG0010552	XP_018484845.1, XP_018435480.1	Roisl.0022s0122.1.p
OG0010553	XP_018436254.1	Roisl.0029s0018.1.p, Roisl.0029s0015.1.p
OG0010554	XP_018456570.1, XP_018454965.1	Roisl.0029s0017.1.p
OG0010555	XP_018474989.1	Roisl.0091s0043.1.p
OG0010556	XP_018482472.1	Roisl.0204s0115.1.p, Roisl.0204s0119.1.p
OG0010557	XP_018482603.1, XP_018477699.1	Roisl.0204s0073.1.p
OG0010558	XP_018436557.1	Roisl.0204s0038.1.p
OG0010559	XP_018478697.1	Roisl.0204s0025.1.p
OG0010560	XP_018436262.1	Roisl.0204s0021.1.p
OG0010561	XP_018434136.1	Roisl.0204s0012.1.p
OG0010562	XP_018437925.1, XP_018483665.1	Roisl.0082s0539.1.p
OG0010563	XP_018439142.1	Roisl.0082s0569.1.p
OG0010564	XP_018439989.1	Roisl.0082s0579.1.p
OG0010565	XP_018465534.1, XP_018478629.1	Roisl.0082s0595.1.p
OG0010566	XP_018438391.1, XP_018441830.1	Roisl.0082s0604.1.p
OG0010567	XP_018480571.1, XP_018473477.1	Roisl.0082s0626.1.p
OG0010568	XP_018436859.1	Roisl.0082s0663.1.p
OG0010569	XP_018475451.1	Roisl.0082s0708.1.p
OG0010570	XP_018439611.1	Roisl.0209s0526.1.p, Roisl.0209s0520.1.p
OG0010571	XP_018441750.1	Roisl.0082s0749.1.p
OG0010572	XP_018440850.1	Roisl.0033s0003.1.p
OG0010574	XP_018436293.1	Roisl.0033s0066.1.p
OG0010575	XP_018478969.1, XP_018437491.1	Roisl.0033s0090.1.p
OG0010576	XP_018477701.1	Roisl.0046s0626.1.p
OG0010577	XP_018436300.1	Roisl.0033s0158.1.p
OG0010578	XP_018440081.1, XP_018436284.1	Roisl.0033s0155.1.p
OG0010579	XP_018485007.1	Roisl.0033s0145.1.p
OG0010580	XP_018442030.1, XP_018442029.1	Roisl.0033s0119.1.p, Roisl.0007s0796.1.p
OG0010581	XP_018481763.1	Roisl.0033s0118.1.p
OG0010582	XP_018473017.1	Roisl.0017s0505.1.p
OG0010583	XP_018433643.1	Roisl.0017s0484.1.p
OG0010584	XP_018483214.1, XP_018476739.1	Roisl.0017s0474.1.p
OG0010585	XP_018436318.1	Roisl.0017s0463.1.p
OG0010586	XP_018473068.1, XP_018473080.1	Roisl.0017s0457.1.p
OG0010587	XP_018439633.1	Roisl.0017s0439.1.p
OG0010588	XP_018485641.1	Roisl.0198s0055.1.p
OG0010589	XP_018434266.1	Roisl.0028s0643.1.p
OG0010590	XP_018440716.1	Roisl.0028s0642.1.p
OG0010591	XP_018485126.1	Roisl.0028s0629.1.p
OG0010592	XP_018476694.1, XP_018440324.1	Roisl.0028s0625.1.p
OG0010593	XP_018436321.1	Roisl.0028s0619.1.p
OG0010594	XP_018476729.1	Roisl.0028s0667.1.p
OG0010595	XP_018482053.1, XP_018475221.1	Roisl.0028s0677.1.p
OG0010596	XP_018441855.1	Roisl.0028s0683.1.p
OG0010597	XP_018484169.1, XP_018478782.1	Roisl.0028s0687.1.p
OG0010598	XP_018434265.1, XP_018486835.1, XP_018464783.1, XP_018478655.1	Roisl.0028s0741.1.p
OG0010599	XP_018434056.1	Roisl.0012s0122.1.p
OG0010600	XP_018450218.1	Roisl.0115s0736.1.p
OG0010601	XP_018478454.1, XP_018477380.1	Roisl.0012s0136.1.p
OG0010602	XP_018457126.1	Roisl.0012s0188.1.p
OG0010603	XP_018463583.1, XP_018455812.1	Roisl.0012s0235.1.p
OG0010604	XP_018455760.1, XP_018473520.1	Roisl.0082s0316.1.p
OG0010605	XP_018455358.1, XP_018463082.1	Roisl.0082s0318.1.p
OG0010606	XP_018452772.1	Roisl.0082s0320.1.p
OG0010607	XP_018456432.1	Roisl.0082s0325.1.p
OG0010608	XP_018452189.1, XP_018490302.1	Roisl.0082s0330.1.p
OG0010609	XP_018450867.1	Roisl.0013s0166.1.p
OG0010610	XP_018493603.1, XP_018447338.1	Roisl.0013s0178.1.p
OG0010611	XP_018447762.1	Roisl.0013s0179.1.p
OG0010612	XP_018485647.1	Roisl.0013s0221.1.p
OG0010613	XP_018451927.1	Roisl.0015s0126.1.p
OG0010614	XP_018486356.1, XP_018447499.1, XP_018461039.1	Roisl.0066s0378.1.p
OG0010615	XP_018447468.1	Roisl.0213s0034.1.p
OG0010616	XP_018463588.1, XP_018481615.1	Roisl.0213s0067.1.p
OG0010617	XP_018461862.1, XP_018437347.1	Roisl.0213s0085.1.p
OG0010618	XP_018450474.1, XP_018450475.1, XP_018447211.1	Roisl.0213s0101.1.p
OG0010619	XP_018458762.1	Roisl.0213s0108.1.p
OG0010620	XP_018451805.1	Roisl.0213s0116.1.p
OG0010621	XP_018464454.1	Roisl.0213s0147.1.p
OG0010622	XP_018485746.1	Roisl.0213s0216.1.p
OG0010623	XP_018451055.1	Roisl.0213s0224.1.p
OG0010624	XP_018463617.1	Roisl.0213s0247.1.p
OG0010625	XP_018451812.1	Roisl.0213s0258.1.p
OG0010626	XP_018434032.1	Roisl.0213s0266.1.p
OG0010627	XP_018464222.1	Roisl.0213s0273.1.p
OG0010628	XP_018447417.1, XP_018458087.1	Roisl.0213s0276.1.p
OG0010629	XP_018451673.1, XP_018462751.1, XP_018481864.1	Roisl.0213s0277.1.p
OG0010630	XP_018489748.1, XP_018485390.1	Roisl.0213s0287.1.p
OG0010631	XP_018469638.1	Roisl.0213s0297.1.p
OG0010632	XP_018488629.1	Roisl.0213s0308.1.p
OG0010634	XP_018485153.1	Roisl.0009s0014.1.p
OG0010636	XP_018489861.1, XP_018458993.1	Roisl.0213s0359.1.p
OG0010637	XP_018458970.1	Roisl.0213s0373.1.p
OG0010638	XP_018458971.1	Roisl.0213s0377.1.p
OG0010639	XP_018485691.1	Roisl.0213s0392.1.p
OG0010640	XP_018492634.1, XP_018490848.1	Roisl.0213s0396.1.p
OG0010641	XP_018447583.1	Roisl.0213s0435.1.p
OG0010642	XP_018449831.1, XP_018449810.1	Roisl.0213s0449.1.p
OG0010643	XP_018485667.1	Roisl.0213s0451.1.p
OG0010644	XP_018492696.1, XP_018438129.1	Roisl.0213s0464.1.p
OG0010645	XP_018432813.1	Roisl.0213s0466.1.p
OG0010646	XP_018486593.1	Roisl.0213s0475.1.p
OG0010648	XP_018459294.1	Roisl.0213s0511.1.p
OG0010649	XP_018436497.1, XP_018485969.1	Roisl.0209s0189.1.p
OG0010650	XP_018486101.1	Roisl.0209s0176.1.p
OG0010651	XP_018448651.1	Roisl.0209s0159.1.p
OG0010652	XP_018469541.1, XP_018489347.1	Roisl.0209s0158.1.p
OG0010653	XP_018489249.1	Roisl.0209s0156.1.p
OG0010654	XP_018453106.1	Roisl.0011s0157.1.p
OG0010655	XP_018440271.1, XP_018483250.1	Roisl.0011s0172.1.p
OG0010656	XP_018437008.1, XP_018461631.1	Roisl.0011s0174.1.p
OG0010657	XP_018437567.1	Roisl.0028s0061.1.p, Roisl.0028s0341.1.p
OG0010658	XP_018433293.1, XP_018481143.1	Roisl.0011s0196.1.p
OG0010659	XP_018456339.1	Roisl.0011s0201.1.p
OG0010660	XP_018478326.1	Roisl.0011s0253.1.p
OG0010661	XP_018459864.1	Roisl.0024s0601.1.p
OG0010662	XP_018455564.1, XP_018466538.1, XP_018436244.1	Roisl.0024s0589.1.p
OG0010663	XP_018441159.1, XP_018459868.1	Roisl.0024s0583.1.p
OG0010664	XP_018434422.1	Roisl.0024s0574.1.p
OG0010665	XP_018440049.1, XP_018462264.1	Roisl.0024s0569.1.p
OG0010666	XP_018439806.1, XP_018466189.1	Roisl.0024s0552.1.p
OG0010667	XP_018434325.1, XP_018457748.1	Roisl.0024s0547.1.p
OG0010668	XP_018440920.1, XP_018440919.1	Roisl.0024s0546.1.p
OG0010669	XP_018452223.1, XP_018438954.1, XP_018438952.1	Roisl.0024s0543.1.p
OG0010670	XP_018439243.1, XP_018441340.1	Roisl.0024s0525.1.p
OG0010671	XP_018452679.1	Roisl.0024s0522.1.p
OG0010673	XP_018464298.1, XP_018454753.1	Roisl.0214s0051.1.p
OG0010674	XP_018457013.1	Roisl.0024s0483.1.p
OG0010676	XP_018488562.1, XP_018488573.1	Roisl.0024s0473.1.p
OG0010677	XP_018492913.1	Roisl.0024s0462.1.p
OG0010678	XP_018448276.1	Roisl.0019s0269.1.p
OG0010679	XP_018492136.1, XP_018488454.1	Roisl.0024s0441.1.p
OG0010680	XP_018492461.1	Roisl.0024s0413.1.p
OG0010681	XP_018439352.1	Roisl.0024s0395.1.p
OG0010682	XP_018437668.1, XP_018489494.1	Roisl.0024s0364.1.p
OG0010683	XP_018455807.1, XP_018490512.1	Roisl.0024s0359.1.p
OG0010684	XP_018492867.1	Roisl.0024s0347.1.p
