Orthogroup	Capsella_rubella	Arabidopsis_lyrata_Rawat
OG0005728	XP_006300835.1	AL2G26340, AL2G26380
OG0005729	XP_006300541.1	AL2G27170
OG0005730	XP_006302663.2	AL2G27180
OG0005731	XP_006302964.1	AL2G27290
OG0005732	XP_006296744.1	AL3G51190
OG0005733	XP_006298199.1	AL3G51530
OG0005734	XP_023641618.1	AL3G11120
OG0005735	XP_023642388.1	AL3G48760
OG0005737	XP_006294143.1	AL3G43010, AL4G38640, AL4G34430
OG0005738	XP_006296492.1	AL4G38480
OG0005739	XP_006296202.2	AL4G38260
OG0005740	XP_006295672.1	AL4G37680
OG0005741	XP_006295396.1	AL4G37580, AL624U10010
OG0005742	XP_006293784.1	AL4G37220
OG0005743	XP_006294362.1	AL4G37070
OG0005744	XP_006293598.1	AL4G36680, AL5G26090
OG0005745	XP_023640109.1	AL4G36640
OG0005746	XP_006294709.1	AL5G26030, AL4G36600
OG0005747	XP_006279422.2	AL3G44220
OG0005748	XP_006295687.1	AL92U10080, AL4G36410
OG0005749	XP_006294121.1	AL4G35620
OG0005750	XP_006293973.2	AL4G35550, nbis-gene-2220, AL4G35590
OG0005751	XP_006294698.1	AL4G35090
OG0005752	XP_006293872.1	AL4G34880
OG0005753	XP_006294549.1	AL4G34830
OG0005754	XP_006294459.1	AL4G34140, AL4G34200
OG0005755	XP_006295210.2	AL4G34120, AL4G34180
OG0005756	XP_023640184.1	AL4G33770, AL4G34330
OG0005757	XP_006295240.1	AL4G33350
OG0005758	XP_006306867.1	AL1G25590
OG0005759	XP_006287068.1	AL7G41290, AL6G47620
OG0005760	XP_023636507.1	AL6G47810
OG0005761	XP_006288870.1	AL6G48270
OG0005762	XP_006287112.1	AL6G48340
OG0005764	XP_006296098.1	AL4G12040
OG0005765	XP_006294264.1	AL4G12880
OG0005766	XP_006295352.1	AL4G12900
OG0005767	XP_023640986.1	AL4G14180
OG0005768	XP_006307198.2	nbis-gene-237
OG0005769	XP_006306050.1	AL2G26150, AL1G52200
OG0005770	XP_006304771.2	nbis-gene-200
OG0005771	XP_006306798.1	AL1G47780
OG0005772	XP_006286377.1	AL6G42250
OG0005773	XP_006288349.2	AL6G42240
OG0005774	XP_006288402.1	nbis-gene-1623
OG0005775	XP_023636641.1	AL6G44860
OG0005776	XP_006289656.1	AL6G45180
OG0005777	XP_006287353.1	AL6G46080
OG0005778	XP_006288574.1	AL6G46180
OG0005779	XP_006287290.2	AL6G46330
OG0005780	XP_006288577.1	AL6G30560
OG0005781	XP_006288650.1	AL6G38350
OG0005782	XP_023635889.1	AL6G40150
OG0005783	XP_006300042.1	AL3G48060
OG0005784	XP_023641069.1	AL3G10860
OG0005785	XP_006298870.1	AL3G53640
OG0005786	XP_006295139.1	AL4G47280
OG0005787	XP_006295685.1	AL4G47020
OG0005788	XP_006296221.1	nbis-gene-629, nbis-gene-1172
OG0005789	XP_006294837.1	AL4G46410
OG0005790	XP_023640058.1	AL4G46280
OG0005791	XP_023640574.1	AL4G46260
OG0005792	XP_006296369.1	AL5G41110, AL4G45960
OG0005793	XP_006306556.1	AL1G26590
OG0005794	XP_006295673.1	AL4G45230
OG0005796	XP_006296305.1	AL4G44580
OG0005797	XP_006293447.2	AL4G44460, AL4G44480, AL4G44440
OG0005798	XP_006294955.1	AL4G44310
OG0005799	XP_006296201.1	AL4G43720
OG0005800	XP_006293351.2	AL4G43170
OG0005801	XP_006293813.1	AL4G42380
OG0005802	XP_006293647.1	AL4G41830
OG0005803	XP_023640498.1	AL4G41420
OG0005804	XP_006296565.1	AL4G41170
OG0005805	XP_006295804.1	AL4G41130
OG0005806	XP_006296375.1	AL4G40860
OG0005807	XP_023643540.1	AL2G23810
OG0005808	XP_006294953.1	AL4G40760
OG0005809	XP_006294827.1	AL4G40410
OG0005810	XP_006295481.1	AL4G40330
OG0005811	XP_023639911.1	AL4G40290
OG0005812	XP_006294692.1	AL4G39960, AL4G39810
OG0005813	XP_006279696.1	AL8G10810
OG0005814	XP_006299954.2	AL3G11050
OG0005815	XP_006297226.1	AL3G11560
OG0005816	XP_006298650.1	AL3G11920
OG0005817	XP_006298583.1	AL3G12210
OG0005818	XP_006296584.2	AL3G12240
OG0005819	XP_006299229.1	AL3G12430
OG0005820	XP_006297191.1	AL3G12570
OG0005821	XP_006298723.1	AL3G12780
OG0005822	XP_006299649.1	AL3G14290
OG0005823	XP_006296847.1	AL3G15320, AL294U10020
OG0005824	XP_006297819.1	AL3G15620
OG0005825	XP_006296629.1	AL3G15660
OG0005826	XP_006298819.1	AL3G16090
OG0005827	XP_006296605.1	AL3G16660
OG0005828	XP_006299272.1	AL3G17100
OG0005829	XP_006296751.1	AL3G17140
OG0005830	XP_006297647.1	AL3G17360
OG0005831	XP_023641977.1	AL3G17640
OG0005832	XP_006298655.1	AL3G17840
OG0005833	XP_006297065.1	AL3G17980
OG0005834	XP_006296956.1	AL159U10010, AL3G18070, AL3G18040, AL3G18090
OG0005835	XP_006297183.1	AL3G18230
OG0005836	XP_023641630.1	AL3G18330
OG0005837	XP_023642009.1	AL267U10010
OG0005838	XP_006298437.1	AL3G18690
OG0005839	XP_006297942.1	AL3G18930
OG0005840	XP_006299350.1	AL3G19580
OG0005841	XP_006297548.2	AL3G20350, AL710U10010
OG0005842	XP_006297974.1	AL3G20500
OG0005843	XP_023642008.1	AL3G29160
OG0005844	XP_006297941.2	AL3G45830, AL3G22010
OG0005845	XP_023641584.1	AL3G22460
OG0005846	XP_006296753.2	AL3G22560
OG0005847	XP_006297665.1	AL3G22700
OG0005848	XP_006299615.2	AL3G23240
OG0005849	XP_006298127.1	AL3G23790
OG0005850	XP_006298400.1	AL3G24440
OG0005851	XP_006299769.1	AL3G24540
OG0005852	XP_006300038.1	AL3G24560
OG0005853	XP_023642724.1, XP_006299795.1	AL3G25580
OG0005854	XP_006300220.1	AL3G25130
OG0005855	XP_006283124.1	AL7G39910
OG0005856	XP_023641071.1	AL3G25730
OG0005857	XP_006297048.2	AL3G26050
OG0005858	XP_006300053.1	AL3G26350
OG0005859	XP_023642802.1	AL3G26390
OG0005860	XP_006299671.1	AL3G26470
OG0005861	XP_023642140.1	AL3G27320
OG0005862	XP_006297817.1	AL3G27370
OG0005863	XP_006297661.1	AL3G28190
OG0005864	XP_023642379.1	AL3G28590
OG0005865	XP_006299634.1	AL810U10030, AL3G28700
OG0005866	XP_006298401.1	AL3G28940
OG0005867	XP_006297850.1	AL3G29310
OG0005868	XP_006280258.1	AL8G19230, AL8G19220
OG0005869	XP_006298702.1	AL3G30000
OG0005870	XP_006299452.1	AL3G30250
OG0005871	XP_023642231.1	AL3G30580
OG0005872	XP_006299424.1	AL3G30810
OG0005873	XP_006299778.1	AL3G31000
OG0005874	XP_023642285.1	AL143U10010, AL3G31160
OG0005875	XP_006299414.1	AL3G31380
OG0005876	XP_006297861.1	AL3G31400
OG0005877	XP_006300163.1	AL3G31720
OG0005878	XP_006299814.1	AL3G32040
OG0005879	XP_006299288.1	AL3G32140
OG0005880	XP_006297564.1	AL3G32340
OG0005881	XP_006299472.1	AL3G32370
OG0005882	XP_006299791.2	AL5G46070
OG0005883	XP_006297872.1	AL3G32760
OG0005884	XP_006297509.1	AL3G35670
OG0005885	XP_006298849.1	AL3G32960
OG0005886	XP_006297645.1	AL3G33480
OG0005887	XP_006297993.2	AL3G33520
OG0005888	XP_006298273.1	nbis-gene-734
OG0005890	XP_006296699.1	AL3G34010
OG0005891	XP_006297578.2	AL3G34020
OG0005892	XP_006297611.2	AL3G34520
OG0005893	XP_006292942.1	AL5G19350
OG0005894	XP_006286274.1	AL7G44910
OG0005895	XP_006299680.1	AL3G37090
OG0005896	XP_006298111.1	AL3G38310
OG0005897	XP_006299834.1	AL3G38200
OG0005898	XP_006299256.1	AL471U10010, AL3G37880
OG0005899	XP_006296632.1	AL3G37830
OG0005900	XP_006297773.1	AL3G37150
OG0005901	XP_006298700.1	AL3G36980
OG0005902	XP_006299850.1	AL3G36910
OG0005903	XP_006297264.1	AL3G36830
OG0005904	XP_006297830.1	nbis-gene-756
OG0005905	XP_023641088.1	AL3G36410
OG0005906	XP_023634929.1	AL7G21930
OG0005907	XP_006302299.1	AL2G24320, AL2G23030, nbis-gene-545
OG0005908	XP_006288662.1	AL6G40650
OG0005909	XP_006279350.1	AL6G41020, AL1G65220
OG0005910	XP_006279665.1	AL8G22030
OG0005911	XP_023642686.1	AL3G48340
OG0005912	XP_023637771.1	AL5G32710
OG0005913	XP_023637974.1	AL5G32300
OG0005914	XP_006292505.1	AL5G32280
OG0005915	XP_023636725.1	AL6G52940
OG0005916	XP_023632606.1	AL1G10680
OG0005917	XP_006298860.1	AL1G11270
OG0005918	XP_006303523.1	AL1G11610
OG0005919	XP_006305278.2	AL1G11680
OG0005920	XP_023645463.1, XP_006285889.1, XP_006279282.2	nbis-gene-1161
OG0005921	XP_006305805.1	AL1G12840
OG0005922	XP_006304095.1	AL1G13650
OG0005923	XP_023645141.1	AL1G14010
OG0005924	XP_006307575.1	AL1G14390
OG0005925	XP_006304227.2	AL1G15630
OG0005926	XP_006303295.1	AL1G16120
OG0005927	XP_006303778.2	AL1G16920
OG0005928	XP_023632671.1	AL1G17200
OG0005929	XP_023645704.1	AL1G17350
OG0005930	XP_006305282.1	AL1G18120
OG0005931	XP_006303645.1	AL1G17640
OG0005932	XP_006305860.2	AL1G17700
OG0005933	XP_006304468.1	AL1G17930
OG0005934	XP_023632553.1	AL1G18320
OG0005935	XP_006306574.1	AL1G18660
OG0005936	XP_006305762.1	AL1G18790
OG0005937	XP_006305485.1	AL1G19090
OG0005938	XP_006305005.1	AL1G19250
OG0005939	XP_006306375.1	AL1G19320
OG0005940	XP_006305565.2	AL1G20110
OG0005941	XP_006306924.1	AL1G20130
OG0005942	XP_006306713.1	AL1G20280
OG0005943	XP_006307357.1	AL1G20470
OG0005944	XP_023645736.1	AL1G20730
OG0005945	XP_006304865.1	AL1G21000
OG0005946	XP_006304481.2	AL1G21070
OG0005947	XP_023632565.1	AL1G21750
OG0005948	XP_006304871.1	AL1G21780
OG0005950	XP_006307103.1, XP_023645614.1	AL1G22390
OG0005951	XP_006303952.2	AL1G23090
OG0005952	XP_006304168.1	AL1G23260
OG0005953	XP_006304458.1	AL1G23710
OG0005954	XP_006307242.1	AL1G23930
OG0005955	XP_006306978.1	AL1G26850, AL1G32120
OG0005956	XP_006305465.1	AL1G27210
OG0005957	XP_023645700.1	AL1G28280
OG0005958	XP_006304976.2, XP_006305874.2	AL1G28540, AL1G28520
OG0005959	XP_023645068.1	AL6G51070, AL6G51100, AL1G28740
OG0005960	XP_006304968.1	AL1G28830
OG0005961	XP_006306572.1	AL1G28970
OG0005962	XP_006303877.1	AL1G28980
OG0005963	XP_006304166.1	AL1G29300
OG0005964	XP_006306735.1	AL1G30030
OG0005965	XP_023633134.1	AL1G30520
OG0005966	XP_006305253.2	AL1G30700
OG0005967	XP_006305192.1	AL1G31010
OG0005968	XP_006305169.2	AL1G31720
OG0005969	XP_006303306.1	AL1G31920
OG0005970	XP_023644882.1	AL1G32440
OG0005971	XP_023645594.1	AL1G32880
OG0005972	XP_023644743.1	AL1G34770
OG0005973	XP_006303459.1	AL1G35290, AL1G35150
OG0005974	XP_006303556.1	AL1G35550
OG0005975	XP_006305384.1	AL1G35670
OG0005976	XP_006304083.1	AL1G35740
OG0005977	XP_006304982.1	AL1G36010
OG0005978	XP_006303849.1	AL1G36030, AL1G36040
OG0005979	XP_006304697.1	AL1G36360
OG0005980	XP_006301512.1	AL2G31340
OG0005981	XP_006302798.1	AL2G31140
OG0005982	XP_023642852.1	AL2G30650
OG0005983	XP_006302673.1	AL2G30130
OG0005984	XP_006303476.1	AL1G47200
OG0005985	XP_006300388.2	AL2G11790
OG0005986	XP_006300585.2	AL2G15230
OG0005987	XP_006302442.1	AL2G18070
OG0005988	XP_006284679.1	AL7G47180
OG0005989	XP_006301374.1	AL2G26440
OG0005990	XP_006281989.1	AL8G11650
OG0005991	XP_006280877.1	AL8G11520
OG0005992	XP_006281322.1	AL8G10400
OG0005993	XP_006279501.1	AL8G10350
OG0005994	XP_006280763.1	AL8G10220
OG0005995	XP_006288147.2	AL6G49170
OG0005996	XP_006283498.1	AL7G22590
OG0005997	XP_023632605.1	AL1G54460
OG0005998	XP_006286302.1	AL7G11290
OG0005999	XP_023632888.1	AL1G40870
OG0006000	XP_006304539.1	AL1G55910
OG0006001	XP_006306539.2	AL1G56290
OG0006002	XP_006284376.1	AL7G12030
OG0006003	XP_006285007.1	AL7G12190
OG0006004	XP_006283511.1	AL7G13120
OG0006005	XP_006285787.1	AL7G13550
OG0006006	XP_006285080.1	AL7G13830
OG0006007	XP_006285103.1	AL7G14260
OG0006008	XP_006283951.1	AL7G14570
OG0006009	XP_006284092.1	AL7G14660
OG0006010	XP_006282477.1	AL7G14930
OG0006011	XP_023635447.1	AL7G15360
OG0006012	XP_006284334.1	AL7G16150
OG0006013	XP_006296785.1	AL3G49370
OG0006013	XP_006283144.1	AL7G16240
OG0006014	XP_006284711.2	AL7G16500
OG0006015	XP_006282971.1	AL7G16850
OG0006016	XP_006284030.2	AL7G18820
OG0006017	XP_006283309.1	AL7G18170
OG0006018	XP_006283169.1	AL7G17890
OG0006019	XP_006285495.1	AL7G17880
OG0006020	XP_006283255.1	AL7G17870
OG0006021	XP_006283917.1	AL7G19850
OG0006022	XP_006284457.1	AL7G20780
OG0006023	XP_006285818.1	AL7G20870
OG0006024	XP_006283288.1	AL7G21200
OG0006025	XP_006283029.1	nbis-gene-1743
OG0006026	XP_006301977.1	AL2G31640
OG0006027	XP_006302793.1	AL2G31580
OG0006029	XP_006307216.1	AL1G37560
OG0006030	XP_006303557.1	AL1G39260
OG0006031	XP_006286696.1	AL6G52170
OG0006032	XP_006287558.1	AL6G52120
OG0006033	XP_023635805.1	AL6G53460
OG0006034	XP_023637725.1	AL6G42960
OG0006035	XP_023633666.1	AL7G26250
OG0006036	XP_006284069.1	AL7G25110
OG0006037	XP_006291635.1	AL5G13490
OG0006038	XP_006304284.1	AL1G15640
OG0006039	XP_023633149.1	AL1G23350
OG0006040	XP_023645914.1	AL1G29280, AL1G29260
OG0006041	XP_006304248.1	AL1G39130
OG0006042	XP_006304090.1	AL1G39960
OG0006043	XP_006307530.1	AL1G40070
OG0006044	XP_006304001.1	AL1G46440
OG0006045	XP_006303784.2	AL1G51650
OG0006046	XP_006300407.1	nbis-gene-325, AL1G66080
OG0006046	XP_023643461.1	AL1G66050
OG0006047	XP_006299685.1	AL3G21770
OG0006048	XP_023634296.1	AL2G22210, AL4G20680, AL1G50260, AL8G21950, AL1G50730, AL5G12750, AL7G11610, AL2G19880, AL1G59760, AL6G41880, AL9U11430
OG0006049	XP_006291966.1	AL5G10100
OG0006050	XP_006292701.1	AL5G13940
OG0006051	XP_023638692.1	AL5G19840
OG0006052	XP_006281920.1	AL5G20900
OG0006053	XP_006292956.1	AL5G30720
OG0006055	XP_006282863.1	AL7G35770
OG0006056	XP_023635327.1	AL7G36280
OG0006057	XP_006280856.2	AL8G17150, nbis-gene-2015, AL97U10020, AL97U10010, AL8G17140
OG0006058	XP_006281552.1	nbis-gene-2067
OG0006061	XP_023642634.1	AL3G13700
OG0006061	XP_006298940.1	nbis-gene-650
OG0006062	XP_023640642.1	nbis-gene-963
OG0006075	XP_006284659.1	AL7G21690
OG0006076	XP_006283330.1	AL7G21540
OG0006077	XP_006285720.1	AL7G21510
OG0006078	XP_006284940.1	AL7G30470
OG0006079	XP_006291868.1	AL5G26570
OG0006080	XP_006290393.2	AL5G27350
OG0006081	XP_006290288.1	AL5G27470
OG0006082	XP_023638782.1	AL5G10030
OG0006083	XP_006293033.1	AL5G10070
OG0006084	XP_006291000.1	AL5G10430
OG0006085	XP_006290827.1	AL5G10470
OG0006086	XP_006288472.1	AL6G29330
OG0006087	XP_006294169.1	AL6G47180, AL4G20980
OG0006088	XP_006287722.1	AL6G28780
OG0006089	XP_023637340.1	AL6G28670
OG0006090	XP_006287470.1	AL6G28200
OG0006091	XP_006289489.1	AL6G28090
OG0006092	XP_006301000.1	AL2G14600
OG0006093	XP_023642531.1	AL3G31860
OG0006094	XP_006286538.1	AL6G27320
OG0006095	XP_023636321.1	AL6G27170
OG0006096	XP_006287845.1	AL6G27050
OG0006097	XP_006289166.1	AL6G26610
OG0006098	XP_006291203.2	AL5G18810
OG0006099	XP_006286878.1	AL6G26520
OG0006100	XP_006287794.1	AL6G26480
OG0006101	XP_006287012.1	AL6G26440
OG0006102	XP_006289759.1	AL6G26260
OG0006103	XP_006288784.1	AL6G26230
OG0006104	XP_023636800.1	AL6G26190
OG0006105	XP_006288918.1	AL6G26040
OG0006106	XP_006299015.1	AL3G16340
OG0006107	XP_006284057.2	AL7G21880
OG0006108	XP_006297075.1	AL3G48250
OG0006109	XP_006287903.1	AL6G47050
OG0006110	XP_006289291.1	AL6G25490
OG0006111	XP_006289437.1	AL6G25480
OG0006112	XP_023635881.1	AL6G40770
OG0006113	XP_006290380.2	AL5G10410
OG0006114	XP_006286583.1	AL6G25070
OG0006115	XP_006289133.1	AL6G25040
OG0006116	XP_006288790.1	AL8G44270, AL6G25020
OG0006117	XP_006293967.1	AL4G16080
OG0006118	XP_006287238.1	AL6G24440
OG0006119	XP_006287834.1	AL6G24340
OG0006120	XP_023636695.1	AL6G24150
OG0006121	XP_006287212.1	AL6G24100
OG0006122	XP_006288814.1	nbis-gene-1513
OG0006123	XP_006289522.1	AL6G23910
OG0006124	XP_006289857.2	AL6G23870
OG0006125	XP_006289366.1	AL6G23580
OG0006126	XP_006287724.1	AL6G23500
OG0006127	XP_023636187.1	AL6G23370
OG0006128	XP_006287244.1	AL6G23260
OG0006129	XP_006286516.2	AL6G23210
OG0006130	XP_006289197.1	AL6G22540
OG0006131	XP_023637325.1	AL6G22170
OG0006132	XP_006287304.1	AL6G21870
OG0006133	XP_006288396.1	AL6G20500
OG0006134	XP_006298528.1, XP_006288635.1	AL6G20010
OG0006135	XP_006287236.1	AL6G19390
OG0006136	XP_006289881.1	AL6G19350
OG0006137	XP_006287433.2	AL6G19230
OG0006138	XP_023637469.1	AL6G18810
OG0006140	XP_023637349.1	AL6G18540
OG0006141	XP_023637480.1	AL6G18220
OG0006142	XP_006287649.1	AL6G18020
OG0006143	XP_006288698.2	AL6G49950
OG0006144	XP_006287594.1	AL6G49910
OG0006145	XP_006287671.2	AL6G49850
OG0006146	XP_006289383.1	AL6G49710
OG0006147	XP_006289467.1	AL6G49680
OG0006148	XP_023637211.1	AL6G49670
OG0006149	XP_006286433.1	AL6G49630
OG0006150	XP_006284394.1	AL7G28020
OG0006151	XP_006284781.1	AL7G28180
OG0006152	XP_006293644.1	AL4G20580
OG0006153	XP_006294822.1	AL4G20740, AL4G20640
OG0006154	XP_006295959.1	AL4G21260
OG0006155	XP_006293742.1	AL4G21450
OG0006156	XP_006295314.1	AL4G22520
OG0006157	XP_006295618.1	AL4G22080
OG0006158	XP_006293415.2	nbis-gene-1020
OG0006160	XP_006296175.1	AL4G21640
OG0006161	XP_006296284.1	AL4G21580
OG0006162	XP_006295104.2	AL4G23240
OG0006163	XP_006301750.2	AL2G31560
OG0006164	XP_006294944.1	AL558U10030, AL1G30300, AL4G23980
OG0006165	XP_006295337.1	AL4G24240
OG0006166	XP_006295244.1	AL4G24250
OG0006167	XP_023640033.1	nbis-gene-1036
OG0006168	XP_006293478.1	AL4G24790
OG0006169	XP_006295044.1	AL4G25060
OG0006170	XP_023640753.1	AL4G25200
OG0006171	XP_006294402.2	AL4G25210
OG0006172	XP_006295535.1	AL4G25260
OG0006173	XP_023640248.1	AL4G25600
OG0006174	XP_006295885.1	AL4G25810
OG0006175	XP_006295576.1	AL4G25860
OG0006176	XP_006294266.1	AL4G26000
OG0006177	XP_006294867.2	AL4G26830, AL762U10010
OG0006178	XP_006294593.2	AL4G26850
OG0006179	XP_006296254.1	AL4G27050
OG0006180	XP_023640141.1	AL4G27070
OG0006181	XP_006295515.1	AL4G27950
OG0006182	XP_023639755.1	AL4G27910
OG0006183	XP_006293358.1	AL4G27790
OG0006184	XP_023640592.1	AL4G27590
OG0006185	XP_006294836.1	AL4G28480
OG0006186	XP_023637734.1, XP_023638596.1	AL8G17060
OG0006187	XP_006296683.1	AL3G38190
OG0006188	XP_006282250.1	AL8G16280
OG0006189	XP_006280634.1	AL8G16170
OG0006190	XP_023638898.1	AL8G16110
OG0006191	XP_006280379.1	AL8G16000
OG0006192	XP_006281357.1, XP_023634075.1	AL7G27820
OG0006193	XP_023645221.1	AL1G53790
OG0006194	XP_006305155.2	AL1G53230
OG0006195	XP_006304444.1	AL1G41270
OG0006196	XP_006306828.1	AL1G41390
OG0006197	XP_006305356.2	AL1G41890
OG0006198	XP_006304249.1	AL1G42130
OG0006199	XP_006303989.1	AL1G42140
OG0006200	XP_006305866.2	AL1G42450
OG0006201	XP_006304398.1	AL1G42910
OG0006202	XP_006303448.1	AL1G43080
OG0006203	XP_006304199.1	AL1G43140
OG0006204	XP_006307238.1	AL1G43590
OG0006205	XP_023645006.1	AL1G43820
OG0006206	XP_006305027.1	AL1G43950
OG0006207	XP_006304941.1	AL1G43980
OG0006208	XP_006304081.1	AL1G44090, AL700U10010
OG0006209	XP_023645521.1	AL1G44260
OG0006211	XP_006306918.1	AL1G44380
OG0006212	XP_006304382.2	AL1G44490
OG0006213	XP_023632634.1	AL1G49740
OG0006214	XP_006303193.1	AL1G45890
OG0006215	XP_006307262.1	AL1G46150
OG0006216	XP_006279609.1	AL8G41660
OG0006217	XP_006303942.1	AL1G46370
OG0006218	XP_023637792.1	AL5G11920
OG0006219	XP_006290789.1	AL5G12410
OG0006220	XP_006292753.1	AL5G13190
OG0006221	XP_006291384.1	AL5G13280
OG0006222	XP_006297776.1	AL3G31470
OG0006223	XP_006280305.1	AL8G44560
OG0006224	XP_006280835.1	AL8G44530
OG0006225	XP_006281433.1	AL8G43890
OG0006226	XP_006281181.1	AL8G43680
OG0006227	XP_006279718.1	AL334U10030
OG0006228	XP_023640922.1	AL8G43180
OG0006229	XP_023636781.1	AL8G43120
OG0006230	XP_006279476.2	AL8G43090
OG0006231	XP_006280832.1	AL666U10010, AL8G42890
OG0006232	XP_006280731.1	AL8G42690
OG0006233	XP_006280815.1	AL8G42620
OG0006234	XP_023639017.1	AL8G42500
OG0006236	XP_006281145.1	AL8G42270
OG0006237	XP_023638776.1	AL8G42100
OG0006238	XP_006282032.1, XP_023634156.1	AL8G41630
OG0006239	XP_023638183.1	AL8G41350
OG0006240	XP_006280668.1	AL8G41230
OG0006241	XP_006280478.1	AL8G41090
OG0006242	XP_023633277.1	AL8G40630
OG0006243	XP_006281489.2	AL8G40170
OG0006244	XP_006281521.1	AL8G40040
OG0006245	XP_006279846.1, XP_006280732.1	AL8G39980
OG0006246	XP_023639962.1	AL4G30990
OG0006247	XP_006280321.1	AL8G39770
OG0006248	XP_006280395.1	AL8G39750
OG0006249	XP_023643110.1	AL6G41010
OG0006250	XP_006281969.1	AL8G39490
OG0006251	XP_006280220.1	AL8G39480
OG0006252	XP_006280427.1	AL8G39220
OG0006253	XP_006281134.1	AL8G39180
OG0006254	XP_006279635.1	AL8G39080
OG0006255	XP_023632690.1	AL8G39060
OG0006256	XP_006279587.1	AL8G39010
OG0006257	XP_006282324.1	AL8G38360
OG0006258	XP_006280431.1	AL8G37950
OG0006259	XP_006281203.1	AL8G37890
OG0006261	XP_023643421.1	AL8G37630
OG0006262	XP_006280693.1	AL8G37610
OG0006263	XP_006281938.1	AL8G37570
OG0006264	XP_006287009.1	AL6G34270
OG0006265	XP_006288850.1	AL6G34550
OG0006266	XP_006287711.1	AL6G34560
OG0006267	XP_006288138.1	AL6G34800
OG0006268	XP_006289897.1	AL6G34910
OG0006269	XP_006288314.2	AL6G35470
OG0006270	XP_006287402.2	AL6G35480
OG0006271	XP_006288231.1	AL6G36440
OG0006272	XP_006286769.1	AL6G36450
OG0006273	XP_006288555.1	AL6G36820
OG0006274	XP_006287577.1	AL6G37310
OG0006275	XP_006287378.1	AL6G37660
OG0006276	XP_006289163.1	AL6G37680
OG0006277	XP_006288129.1	AL6G37780
OG0006278	XP_006288778.1	AL6G38160
OG0006279	XP_006287950.1	AL6G30950, AL6G30960
OG0006280	XP_006287044.1	AL6G30880
OG0006281	XP_006289719.1	AL6G31210
OG0006282	XP_006289344.1	AL6G31430
OG0006283	XP_006287693.1	AL6G31580
OG0006284	XP_006288954.1	AL5G13030, AL6G31740
OG0006285	XP_006281254.1	AL8G23180
OG0006286	XP_006289386.1	AL6G31860
OG0006287	XP_006286910.2	AL6G32150
OG0006288	XP_006287369.1	AL6G32720
OG0006289	XP_006288608.1	AL6G32920
OG0006290	XP_006288502.1	AL6G33050
OG0006291	XP_023637189.1	AL6G33090
OG0006292	XP_006289493.1	AL6G33220
OG0006293	XP_006280883.2	AL8G37250
OG0006294	XP_006282160.1	AL8G37170
OG0006295	XP_006281054.1	AL8G36800, AL817U10010
OG0006296	XP_006298209.1	AL3G48030
OG0006297	XP_006280768.2	AL8G36350
OG0006298	XP_006281961.1	AL139U10020, AL8G35300
OG0006299	XP_006282192.1	AL277U10010, AL3G40350
OG0006300	XP_006282057.2	AL8G34450
OG0006301	XP_006285440.1	AL7G30980
OG0006302	XP_006286997.1	AL1G16200
OG0006303	XP_006282322.1	AL8G34330
OG0006304	XP_006281161.1	AL8G34170
OG0006305	XP_023633859.1	AL7G37410
OG0006306	XP_023633150.1	AL8G33760
OG0006307	XP_006280546.1	AL8G33670
OG0006308	XP_006280778.1	AL8G33640
OG0006309	XP_006302324.1	AL2G31530
OG0006310	XP_006280548.1	AL8G33240
OG0006311	XP_006282246.1	AL8G32910
OG0006312	XP_023641323.1	AL8G32980
OG0006313	XP_006290602.1	AL5G29500
OG0006314	XP_006281308.1	AL8G32800, AL52U10030
OG0006316	XP_006281368.1	AL8G32280
OG0006317	XP_006279759.1	AL8G32270
OG0006318	XP_006280109.1	AL8G31900
OG0006319	XP_006280439.1	AL8G31670, AL2G24490, AL2G22990
OG0006320	XP_006281358.1	AL8G30670
OG0006321	XP_006284327.1	AL7G43590
OG0006322	XP_006281153.1	AL8G30110
OG0006323	XP_006291082.1	AL5G29350
OG0006324	XP_006290776.1	AL5G28940
OG0006325	XP_006291163.1	AL5G28900
OG0006326	XP_006291794.1	AL5G28400
OG0006327	XP_006291593.1	AL5G28250
OG0006328	XP_023635607.1	AL8G29250
OG0006329	XP_006280456.1	AL8G29390
OG0006330	XP_006286580.1	AL6G50750
OG0006331	XP_006289099.2	AL6G50180
OG0006332	XP_023637023.1	AL6G17520
OG0006333	XP_006289257.1	AL6G17550
OG0006334	XP_006302637.1	AL1G67190
OG0006335	XP_006289710.1	AL6G17150
OG0006336	XP_006288803.1	AL6G16870
OG0006337	XP_006288164.1	AL6G16660
OG0006338	XP_006287123.1	AL6G16620
OG0006339	XP_006289054.1, XP_006290095.1	AL6G16520, AL6G16990
OG0006340	XP_006288389.2	AL6G16440
OG0006341	XP_006289999.1	AL6G16360
OG0006342	XP_006286812.1	AL6G16270
OG0006343	XP_006293209.1	AL5G25420
OG0006344	XP_006288690.1	AL6G15320
OG0006345	XP_006282317.2, XP_023636136.1, XP_006289188.1	AL6G15250
OG0006346	XP_006287700.1	AL6G15020
OG0006347	XP_006288507.1	AL6G14860
OG0006348	XP_006289521.1	AL6G14630
OG0006349	XP_006288003.1	AL6G14570
OG0006350	XP_006287219.1	AL6G14560
OG0006351	XP_006287689.1	AL6G14180
OG0006352	XP_006289714.1	AL6G14140
OG0006353	XP_006288296.1	AL6G14130
OG0006354	XP_023635793.1	AL6G14030
OG0006355	XP_023637328.1	AL1G13500, AL1G12230, AL6G13550
