Orthogroup	Arabidopsis_lyrata_NCBI	Aethionema_saxatile
OG0010674	XP_020875429.1	As001G006700
OG0010675	XP_020873186.1	As001G006780
OG0010676	XP_020876299.1	As001G011020, As001G011010, As005G113230
OG0010677	XP_020875450.1	As001G012520
OG0010678	XP_002879682.1	As006G146350, As001G012560
OG0010679	XP_002867130.1	As001G013490, As011G262690
OG0010680	XP_002867136.1	As001G013650
OG0010681	XP_020875119.1	As001G013830
OG0010683	XP_020874610.1	As001G014640
OG0010684	XP_002869102.1	As001G015020
OG0010685	XP_002873628.1	As001G015060
OG0010686	XP_002893683.1	As001G016230
OG0010687	XP_002893697.1	As001G016540
OG0010688	XP_020874547.1	As001G017250
OG0010689	XP_002868087.2	As004G079940, As001G017320
OG0010690	XP_020873205.1	As001G017360
OG0010691	XP_020873975.1	As001G017850, As004G083050
OG0010692	XP_020873981.1, XP_020873982.1	As001G017900
OG0010694	XP_020873986.1	As001G018040
OG0010695	XP_020873971.1	As001G018110
OG0010696	XP_002870161.1	As001G018170
OG0010697	XP_020868314.1	As001G018900
OG0010698	XP_020881349.1	As001G018920
OG0010699	XP_002891950.2	As001G018960
OG0010700	XP_020869077.1, XP_020868945.1	As001G019180
OG0010701	XP_020869189.1	As001G019260
OG0010702	XP_020891093.1	As001G019560
OG0010703	XP_020890560.1	As001G019620
OG0010704	XP_020865585.1	As001G019820
OG0010705	XP_002886664.2	As001G020210
OG0010706	XP_020890294.1	As001G020300
OG0010707	XP_002886651.1	As001G020370
OG0010708	XP_002886649.1	As001G020400
OG0010709	XP_020890648.1	As001G020430
OG0010710	XP_020890168.1	As001G020490
OG0010711	XP_002886635.1	As001G020580
OG0010712	XP_002886634.1	As001G020590
OG0010713	XP_002886633.1	As001G020630
OG0010714	XP_020865632.1	As001G020740
OG0010715	XP_002886618.1	As001G020830
OG0010716	XP_002886602.1	As001G021130
OG0010717	XP_020890060.1	As001G021410
OG0010718	XP_020890081.1	As001G021580
OG0010719	XP_002888076.1	As001G021820
OG0010720	XP_020891340.1	As001G021910
OG0010721	XP_020891335.1	As001G022020
OG0010722	XP_002876732.1	As001G022270
OG0010723	XP_002876777.2	As001G022910
OG0010724	XP_020880651.1	As001G023350
OG0010725	XP_020881090.1	As001G023480
OG0010726	XP_020881070.1	As001G023530
OG0010727	XP_002875137.1	As001G023590
OG0010728	XP_002876827.1	As001G023640
OG0010729	XP_020881040.1	As001G023710
OG0010730	XP_002876884.2, XP_002876881.1	As001G024040
OG0010731	XP_020881481.1	As001G024680
OG0010733	XP_020879846.1	As001G025050
OG0010734	XP_020869890.1	As001G025130, As008G184140
OG0010735	XP_002875310.1	As001G025150
OG0010736	XP_002876954.1	As001G025240
OG0010737	XP_020881155.1	As001G025290
OG0010738	XP_020880902.1	As001G026530
OG0010739	XP_020879782.1	As001G026580
OG0010740	XP_020880955.1	As001G026860
OG0010741	XP_002877098.1	As001G026960
OG0010742	XP_020882071.1	As001G027990
OG0010743	XP_020891491.1	As001G028710
OG0010744	XP_002886918.1	As001G029450
OG0010745	XP_020890907.1	As001G029820
OG0010746	XP_002884434.1	As001G029890, As006G137450
OG0010747	XP_002870398.1	As004G076740
OG0010748	XP_020865663.1, XP_020891654.1	As001G030180
OG0010749	XP_002887867.1	As001G030200
OG0010751	XP_002887889.2	As001G030540
OG0010752	XP_020889951.1	As001G030550
OG0010753	XP_002887895.1	As001G030630
OG0010754	XP_020890603.1	As004G098100, As001G030760
OG0010755	XP_002887930.2	As001G031000
OG0010756	XP_020891432.1	As001G031170, As004G097930
OG0010757	XP_020890419.1	As001G031830
OG0010758	XP_020888322.1	As002G032440
OG0010759	XP_020873473.1	As002G032850
OG0010760	XP_002881764.2	As002G033120, As002G032940
OG0010761	XP_020885386.1	As002G033420
OG0010762	XP_002879899.1	As002G033450
OG0010763	XP_002881732.1	As002G033840
OG0010764	XP_002882598.1	As002G033890
OG0010765	XP_002882604.1	As002G033970
OG0010766	XP_020887258.1	As006G148740, As002G034280
OG0010767	XP_020887295.1	As002G035340
OG0010768	XP_002884783.1	As002G035440
OG0010769	XP_002882657.1	As002G035450
OG0010771	XP_020885975.1	As002G036380
OG0010772	XP_020891515.1	As002G036410
OG0010773	XP_020890125.1, XP_020888217.1	As002G036640
OG0010774	XP_002867196.1	As002G037340
OG0010775	XP_020888271.1	As002G037350
OG0010776	XP_020888229.1	As002G037920
OG0010777	XP_002884881.1	As002G038520
OG0010778	XP_002882769.1	As002G038600
OG0010779	XP_020888238.1	As002G038780
OG0010780	XP_002884899.1	As002G038940
OG0010781	XP_002884900.1	As002G038960
OG0010782	XP_002874481.1	As002G039490
OG0010783	XP_020884085.1	As002G040450, As002G040440, As002G040460, As002G040070
OG0010784	XP_020887802.1	As002G040150
OG0010785	XP_002865763.1	As002G040590
OG0010786	XP_002865798.1	As002G042010
OG0010787	XP_020886604.1	As002G042070
OG0010788	XP_002863001.2, XP_002865789.1	As002G042190
OG0010789	XP_002865800.1	As002G042250
OG0010790	XP_002864076.2	As002G042460
OG0010791	XP_002865836.1	As002G042790
OG0010792	XP_020877578.1	As002G043190
OG0010793	XP_020883629.1	As002G043370
OG0010794	XP_020874284.1, XP_002864115.1	As002G043430
OG0010795	XP_020887770.1	As002G043570
OG0010796	XP_002864135.2	As002G043770
OG0010797	XP_002864158.1	As002G044070
OG0010798	XP_002864235.1	As002G044730
OG0010799	XP_020889610.1	As002G044860
OG0010800	XP_002864244.1	As002G045210
OG0010801	XP_002864265.1	As002G045390
OG0010802	XP_020871510.1	As002G045420, As002G045880
OG0010803	XP_002864290.2	As002G045570
OG0010804	XP_002864283.1	As002G045800
OG0010805	XP_002866055.1	As002G046450
OG0010806	XP_002867522.2	As002G046550
OG0010807	XP_002866067.1	As002G046710, As006G132690
OG0010808	XP_020871595.1	As002G047310
OG0010809	XP_002866112.1	As002G047530
OG0010810	XP_020874772.1, XP_002864418.1	As002G047710
OG0010811	XP_002864442.1, XP_020872433.1	As002G047970
OG0010812	XP_020889017.1	As002G048730
OG0010813	XP_002866189.1	As002G048880
OG0010814	XP_002864506.1	As002G048930
OG0010815	XP_002866220.1	As002G049260
OG0010816	XP_020889678.1	As002G049510
OG0010817	XP_020888187.1	As002G049800
OG0010818	XP_002873600.1	As002G050520
OG0010819	XP_020879381.1	As002G050850
OG0010821	XP_002873531.1	As002G051400
OG0010822	XP_020878543.1	As002G051520
OG0010823	XP_020877004.1	As002G051620
OG0010824	XP_020879573.1	As002G051660
OG0010825	XP_020876532.1	As002G051730
OG0010826	XP_020879499.1	As002G052080
OG0010827	XP_002871458.2	As002G052110
OG0010828	XP_002873490.1	As002G052210
OG0010829	XP_020876739.1	As002G052260
OG0010830	XP_020876715.1	As002G052480
OG0010831	XP_002864962.1	As002G052730
OG0010832	XP_020876736.1	As002G052740
OG0010833	XP_002873437.1	As002G053220
OG0010834	XP_020879333.1	As002G053230
OG0010835	XP_020878812.1	As002G053560
OG0010836	XP_002871379.1	As002G053680
OG0010837	XP_020869949.1	As005G117180, As002G053860
OG0010838	XP_020878141.1	As002G054390
OG0010839	XP_020882837.1	As002G055210
OG0010840	XP_002873307.2	As002G055350
OG0010841	XP_002868076.1	As003G055640
OG0010842	XP_020873200.1	As003G056100
OG0010843	XP_020874762.1	As003G056380
OG0010844	XP_020873918.1	As003G056780
OG0010845	XP_002867987.1	As003G056990
OG0010846	XP_020873059.1	As003G057040
OG0010847	XP_020875453.1	As003G057110
OG0010848	XP_020874544.1	As003G057370
OG0010849	XP_020874542.1	As003G057530
OG0010850	XP_002867945.1	As003G057710
OG0010851	XP_020872406.1	As003G057870
OG0010853	XP_002867875.1	As003G058740
OG0010854	XP_020872370.1	As003G058810
OG0010856	XP_020873289.1	As003G059560
OG0010857	XP_020873649.1	As003G059600
OG0010858	XP_002869869.1	As003G059750
OG0010860	XP_020873583.1	As003G061600
OG0010861	XP_002869739.1	As003G062170
OG0010862	XP_020866631.1	As004G083570, As003G062720
OG0010863	XP_020866351.1	As003G062830
OG0010864	XP_020867036.1	As003G062870
OG0010865	XP_020868512.1	As003G062970, As004G083300
OG0010866	XP_020868806.1	As003G063530, As004G080460
OG0010867	XP_002893857.1	As003G063580
OG0010868	XP_002880700.1	As003G064400
OG0010869	XP_020869082.1	As003G064560
OG0010870	XP_002891274.1	As003G064720
OG0010871	XP_002891265.1	As003G064840
OG0010872	XP_002891344.1	As003G065810
OG0010873	XP_002890758.2	As003G068400
OG0010874	XP_002890766.1	As003G068750
OG0010875	XP_002890777.1	As003G069110
OG0010876	XP_020870351.1	As003G069140
OG0010877	XP_020868887.1	As003G069210
OG0010878	XP_020867308.1	As003G069460
OG0010879	XP_020867406.1	As003G070740
OG0010880	XP_020866844.1	As003G071080
OG0010881	XP_020869406.1	As003G071200
OG0010882	XP_020869147.1	As003G071330
OG0010883	XP_020868619.1	As003G071600
OG0010884	XP_002869072.1	As011G264650, As003G071970
OG0010885	XP_020874034.1	As003G072360
OG0010886	XP_020873208.1	As003G072540
OG0010887	XP_020887199.1	As003G072700, As011G265440
OG0010889	XP_020872480.1	As003G072910
OG0010890	XP_020874667.1	As003G073690
OG0010891	XP_020881400.1, XP_020872732.1	As003G073800
OG0010892	XP_020873032.1, XP_020888677.1	As003G074290
OG0010893	XP_002866899.1	As007G180360, As003G074730
OG0010894	XP_002866884.1	As003G074910
OG0010895	XP_020872779.1	As003G075510
OG0010896	XP_020872126.1	As003G075800
OG0010897	XP_002868851.1	As003G076190
OG0010898	XP_020875570.1	As003G076240
OG0010900	XP_002878525.1	As007G182150, As003G076320
OG0010901	XP_020872525.1	As003G076400
OG0010902	XP_002866793.1	As003G076460
OG0010903	XP_020874960.1	As003G076530
OG0010904	XP_020874959.1	As003G076540
OG0010905	XP_020872839.1	As003G076610
OG0010906	XP_002870472.2	As004G076860
OG0010907	XP_020874235.1	As004G076980
OG0010908	XP_002870515.1	As004G077160
OG0010909	XP_020886737.1	As004G077190
OG0010910	XP_020875185.1	As004G077400
OG0010911	XP_002868760.1	As004G077890
OG0010912	XP_020872190.1	As004G077930
OG0010913	XP_002870814.1	As004G078020
OG0010914	XP_020872927.1	As004G078120
OG0010915	XP_002870770.1	As004G078460
OG0010916	XP_002881369.1	As004G078730
OG0010917	XP_020883013.1	As004G078780
OG0010918	XP_002881387.1	As004G079680
OG0010919	XP_020866842.1	As004G079750
OG0010920	XP_020879097.1	As004G080150
OG0010921	XP_020890901.1	As004G080170
OG0010922	XP_020877467.1	As004G080640
OG0010923	XP_020877532.1	As004G080780
OG0010924	XP_020877477.1	As004G080900
OG0010925	XP_020882689.1	As004G081090
OG0010926	XP_002881320.1	As004G081220
OG0010927	XP_020882697.1	As004G081390
OG0010928	XP_020884020.1	As004G081450
OG0010929	XP_002863667.1	As004G081820
OG0010930	XP_002865484.1	As004G082330
OG0010931	XP_020871193.1	As004G082400
OG0010933	XP_020871542.1	As004G082450
OG0010934	XP_002865515.1	As004G082610
OG0010935	XP_002872493.1	As004G083440
OG0010936	XP_020876689.1	As004G083960
OG0010937	XP_002872570.1	As004G084430
OG0010939	XP_002874797.1	As004G085630
OG0010940	XP_002874817.1	As004G085910
OG0010941	XP_020876346.1	As004G085960
OG0010942	XP_020876396.1	As004G086000
OG0010943	XP_020876360.1	As004G086050
OG0010944	XP_002863568.1	As004G086720
OG0010945	XP_002888639.2	As004G087070
OG0010946	XP_020879184.1, XP_002863471.1	As004G088020
OG0010947	XP_020871281.1	As004G088180
OG0010948	XP_020885905.1	As004G088250
OG0010949	XP_020881096.1	As004G088940
OG0010950	XP_002865169.1	As004G089130
OG0010951	XP_002865145.1	As004G089710
OG0010952	XP_020871669.1	As004G090540
OG0010953	XP_002865122.1	As004G091130
OG0010954	XP_020887411.1	As004G091520, As009G211660
OG0010955	XP_002883635.1	As004G091830
OG0010956	XP_002868444.2	As004G092560
OG0010957	XP_002883629.1	As004G092690, As011G258260
OG0010959	XP_002879817.1	As004G092940
OG0010960	XP_020877133.1	As004G094080
OG0010961	XP_020874748.1	As004G094860
OG0010962	XP_020874690.1	As004G094880
OG0010963	XP_002868324.1	As004G094920, As004G094930
OG0010964	XP_002868321.1	As004G095060
OG0010965	XP_020890002.1	As004G095260
OG0010966	XP_020872584.1	As004G095770
OG0010967	XP_020872795.1	As004G096550
OG0010968	XP_002870740.1	As004G096810
OG0010969	XP_020872949.1	As004G096830
OG0010970	XP_020888391.1	As004G096880
OG0010971	XP_020889283.1	As004G096940
OG0010972	XP_002883656.1	As004G096950
OG0010973	XP_002870724.1	As004G096960
OG0010974	XP_020874719.1	As004G097260
OG0010975	XP_020868269.1, XP_020874699.1	As004G097320
OG0010976	XP_020875146.1	As004G097430
OG0010977	XP_020873040.1	As004G097500
OG0010978	XP_002870621.1	As004G098180
OG0010979	XP_002868562.2	As004G098450
OG0010980	XP_020874876.1, XP_020884406.1	As005G098830
OG0010981	XP_020882912.1	As005G098990
OG0010982	XP_020882692.1	As005G099000
OG0010983	XP_002880305.1	As005G099450
OG0010984	XP_002882118.2	As005G099520
OG0010985	XP_020885513.1	As005G099610
OG0010986	XP_020883922.1	As005G099770
OG0010987	XP_002880261.2	As005G100290
OG0010988	XP_020882838.1	As005G100940
OG0010989	XP_020883898.1	As005G101350
OG0010990	XP_020884706.1	As005G101420
OG0010991	XP_002882023.1	As005G101430
OG0010992	XP_020885615.1	As005G101860
OG0010993	XP_002880152.1	As005G102100
OG0010994	XP_020884829.1	As005G102550
OG0010995	XP_002880127.1	As005G102560
OG0010996	XP_002880124.1	As005G102630
OG0010997	XP_002880111.1	As005G102820
OG0010999	XP_002888666.1	As005G104380
OG0011000	XP_020885409.1	As005G104430
OG0011001	XP_002881875.1	As005G104550
OG0011002	XP_002879997.1	As005G104730
OG0011003	XP_020884269.1	As005G105280
OG0011005	XP_002881795.1	As005G105680
OG0011006	XP_002879948.1	As005G105800
OG0011007	XP_020884178.1	As005G105810
OG0011008	XP_020885525.1	As005G105960
OG0011009	XP_020884162.1	As005G106000
OG0011010	XP_020878915.1, XP_020871318.1	As005G106200
OG0011011	XP_020877106.1	As005G106310
OG0011012	XP_002870903.1	As005G106320
OG0011013	XP_002870908.1	As005G106380
OG0011014	XP_020876631.1	As005G106400
OG0011015	XP_002873003.1	As005G106440
OG0011016	XP_020876351.1	As005G106710
OG0011018	XP_002870977.1	As005G107570
OG0011019	XP_002873063.1	As005G107670
OG0011020	XP_002873064.1	As005G107700
OG0011021	XP_020879558.1	As005G107850
OG0011022	XP_002873086.1	As005G108190
OG0011023	XP_002877454.2, XP_002871031.1	As005G108280
OG0011024	XP_020878879.1	As005G108930
OG0011026	XP_002874305.1	As005G109690
OG0011027	XP_020876287.1	As012G277170
OG0011028	XP_002866779.1	As005G111930, As005G120870
OG0011029	XP_002874005.1	As005G111950
OG0011030	XP_020879050.1	As005G112240
OG0011031	XP_020877548.1	As005G112410
OG0011032	XP_002871968.2	As005G112630
OG0011033	XP_020878556.1	As005G113010, As005G113050, As005G113060
OG0011034	XP_020877823.1	As005G113070
OG0011035	XP_002872004.1	As005G113440
OG0011036	XP_020877230.1	As005G113450
OG0011037	XP_002866388.1	As005G114090
OG0011038	XP_002866385.1	As005G114120
OG0011039	XP_020871538.1	As005G114230
OG0011041	XP_020868192.1	As005G115080
OG0011042	XP_020881164.1	As005G115600
OG0011043	XP_020886064.1, XP_020871703.1, XP_002862813.1	As005G115880
OG0011044	XP_020889449.1	As005G116560
OG0011045	XP_020880340.1, XP_020871140.1	As005G116810
OG0011046	XP_020871287.1	As005G117120
OG0011047	XP_020871284.1	As005G117130
OG0011048	XP_020883582.1, XP_020871562.1	As005G117220
OG0011049	XP_020885850.1	As005G117620
OG0011050	XP_020879768.1	As010G220920, As005G119800
OG0011051	XP_002866743.2	As005G119940
OG0011052	XP_020889922.1	As005G119950
OG0011053	XP_020890776.1	As005G120280
OG0011054	XP_020883882.1	As005G120610
OG0011055	XP_020871742.1	As005G120790
OG0011056	XP_020881287.1	As005G120920
OG0011057	XP_002872941.1	As006G121390
OG0011058	XP_020878064.1	As006G121400
OG0011059	XP_020878723.1	As006G121590
OG0011060	XP_002872959.1	As006G121680
OG0011061	XP_020876837.1	As006G122180
OG0011062	XP_002874978.1	As006G122390
OG0011063	XP_002872885.1	As006G122450
OG0011064	XP_002874971.1	As006G122460
OG0011065	XP_002874970.2	As006G122490
OG0011066	XP_020876672.1	As006G122560
OG0011067	XP_002874964.1	As006G122590
OG0011068	XP_020876303.1	As006G122680
OG0011069	XP_020877253.1	As006G122750
OG0011070	XP_002874945.1	As006G122860
OG0011071	XP_020876316.1	As006G123040
OG0011072	XP_002872837.1	As006G123220, As008G197650
OG0011073	XP_020878258.1	As006G123260
OG0011074	XP_020879270.1	As006G123340
OG0011075	XP_020878327.1	As006G123630
OG0011076	XP_020878646.1	As006G123670
OG0011077	XP_002872780.1	As006G124140
OG0011078	XP_020889093.1	As006G124730
OG0011079	XP_020884256.1, XP_002862860.1	As006G125630
OG0011080	XP_020873045.1	As006G125890
OG0011081	XP_002881245.2	As006G125910
OG0011082	XP_002881254.1	As006G126030
OG0011083	XP_002879425.1	As006G126040
OG0011084	XP_020873522.1, XP_002879365.2	As006G126390
OG0011085	XP_020884176.1	As006G127470
OG0011086	XP_002881145.1	As006G127690
OG0011087	XP_002879266.1	As006G128020
OG0011088	XP_002879234.1	As006G128620
OG0011089	XP_002879218.1	As006G128770
OG0011090	XP_020887023.1, XP_002879214.1	As006G128890
OG0011091	XP_020885602.1	As006G129310
OG0011092	XP_002879168.1	As006G129650
OG0011093	XP_020884173.1	As006G129920
OG0011094	XP_002880939.1	As006G129970
OG0011095	XP_002879115.1	As006G130110
OG0011096	XP_020882519.1, XP_020885676.1	As006G130430
OG0011097	XP_002880853.1	As006G130500
OG0011098	XP_002880901.1	As006G130810
OG0011099	XP_020883276.1	As006G130980
OG0011100	XP_002880845.1	As006G130990
OG0011101	XP_002863889.1	As006G131250
OG0011102	XP_020876646.1	As006G131430
OG0011103	XP_020867833.1	As007G161430, As006G131800
OG0011104	XP_002880703.1	As006G132190
OG0011106	XP_020886962.1	As006G132760
OG0011107	XP_020886092.1	As006G132840
OG0011108	XP_020885946.1	As006G133150
OG0011109	XP_020874431.1, XP_020885346.1	As006G133270
OG0011110	XP_002884244.1	As006G133610
OG0011111	XP_002879928.1	As006G134030
OG0011112	XP_002881770.1	As006G134040
OG0011113	XP_002867541.1	As006G134530
OG0011114	XP_002867544.1	As006G134570
OG0011115	XP_020873709.1	As006G134580
OG0011117	XP_020888064.1	As006G135680
OG0011118	XP_020889329.1	As006G135740
OG0011119	XP_020888489.1	As009G202720, As006G135960
OG0011120	XP_002871895.1	As006G136290
OG0011121	XP_002882305.1	As006G136860
OG0011122	XP_002882351.1	As006G137620
OG0011123	XP_020887059.1	As006G138220
OG0011124	XP_020886541.1, XP_020888680.1	As006G138300
OG0011125	XP_002882397.1	As006G138420
OG0011126	XP_020871341.1	As006G138850
OG0011127	XP_020887891.1	As006G139240
OG0011128	XP_020887654.1, XP_020875234.1	As006G139560
OG0011129	XP_020885890.1	As006G139610
OG0011130	XP_002885795.1	As006G139740
OG0011131	XP_002884578.1	As006G140030
OG0011132	XP_020889058.1	As006G141170
OG0011133	XP_020888170.1	As006G141720
OG0011134	XP_020887908.1	As006G141870
OG0011135	XP_020886941.1	As006G142220
OG0011136	XP_002884706.1	As006G142240
OG0011137	XP_002879873.1	As006G142340
OG0011138	XP_020883692.1	As006G142960
OG0011139	XP_020884001.1	As006G143320
OG0011140	XP_020884556.1	As006G144140
OG0011141	XP_002879764.1	As006G144310
OG0011142	XP_020866454.1, XP_020883719.1	As006G144550
OG0011143	XP_002879598.1	As006G144750
OG0011144	XP_020883891.1	As006G145560
OG0011145	XP_020883376.1	As006G145970
OG0011146	XP_020885578.1	As006G146170
OG0011147	XP_002879690.2	As006G146670
OG0011148	XP_002879707.1	As006G146820
OG0011149	XP_020884804.1	As006G147010
OG0011150	XP_002881574.1, XP_020883346.1	As006G147090
OG0011151	XP_002879750.1	As006G148150
OG0011152	XP_002881602.1	As006G148270
OG0011153	XP_020867474.1	As007G152420
OG0011154	XP_002892892.1	As007G152510
OG0011155	XP_020870339.1	As007G152560
OG0011156	XP_002892905.1	As007G152860
OG0011157	XP_020870978.1	As007G153620
OG0011158	XP_002892939.1	As007G153640, As010G241570
OG0011159	XP_002892962.2	As007G154100
OG0011160	XP_002890244.1	As007G154130
OG0011161	XP_020866823.1	As007G154370
OG0011162	XP_020869137.1	As007G155900
OG0011163	XP_020867749.1	As007G156020
OG0011164	XP_020870469.1	As007G156280
OG0011165	XP_020866917.1, XP_002893107.1	As007G156530
OG0011166	XP_002890438.1	As007G157280
OG0011167	XP_020870614.1	As007G157980
OG0011168	XP_002890541.1	As007G159000
OG0011169	XP_002890593.1	As007G159710
OG0011170	XP_020867325.1	As007G160040
OG0011171	XP_020868161.1	As007G160190
OG0011172	XP_020868748.1	As007G160480
OG0011173	XP_002893399.1	As007G160730
OG0011174	XP_020886586.1	As007G160890
OG0011175	XP_002893424.1	As007G161310
OG0011176	XP_002890692.1	As007G161350
OG0011177	XP_020870039.1	As007G161480
OG0011178	XP_020870299.1	As007G161700
OG0011179	XP_002890702.1	As007G161730
OG0011180	XP_020876880.1, XP_002893455.1	As007G161980
OG0011181	XP_002893465.1	As007G162040
OG0011182	XP_020890350.1	As010G228910, As007G162050
OG0011183	XP_020866659.1	As007G162290
OG0011184	XP_020870878.1	As007G162660
OG0011185	XP_020874631.1	As007G163420
OG0011186	XP_002869687.1	As007G164450
OG0011187	XP_020873493.1	As007G165170
OG0011190	XP_020872936.1	As007G177660
OG0011191	XP_002878725.1	As007G178530
OG0011192	XP_002880524.2	As007G179170
OG0011193	XP_020885400.1	As007G179200
OG0011194	XP_002878640.1, XP_002886010.1	As007G179860
OG0011195	XP_020885785.1	As007G180510
OG0011196	XP_020882745.1	As007G180640
OG0011197	XP_020884184.1	As007G180780
OG0011198	XP_002878536.1	As007G181920
OG0011199	XP_020869026.1	As008G183070
OG0011200	XP_020867071.1	As008G183240
OG0011201	XP_002890040.1	As008G183300
OG0011202	XP_002890028.1	As008G183480
OG0011203	XP_002892767.1	As008G183680
OG0011204	XP_020870760.1	As008G184380
OG0011205	XP_020870525.1	As008G184460
OG0011206	XP_020869346.1	As008G184710
OG0011207	XP_020869852.1	As008G185360
OG0011208	XP_002892657.1	As008G185590
OG0011209	XP_020870712.1	As008G185960
OG0011211	XP_002889814.1, XP_002892708.2	As008G187100
OG0011212	XP_020867793.1	As008G187310
OG0011213	XP_020870478.1	As008G187780
OG0011214	XP_020867301.1	As008G188990
OG0011215	XP_002870137.1	As008G189180
OG0011216	XP_020870849.1	As008G189340
OG0011217	XP_002892467.1	As008G189970
OG0011218	XP_002894076.1	As008G190130
OG0011219	XP_002889680.1	As008G190880
OG0011220	XP_002889642.1	As008G192890
OG0011221	XP_002892390.1	As008G192940
OG0011222	XP_002889623.1	As008G193220
OG0011223	XP_002889600.1	As008G193720
OG0011224	XP_020867849.1	As008G194140
OG0011225	XP_002889580.1	As008G194180
OG0011226	XP_020870588.1	As008G194230
OG0011227	XP_020869096.1	As008G194260
OG0011228	XP_020866557.1	As008G194730
OG0011229	XP_020870560.1	As008G194810
OG0011230	XP_002892288.1	As008G194890
OG0011231	XP_020867116.1	As008G195880
OG0011232	XP_020868535.1	As008G196000
OG0011233	XP_002892189.1	As008G196730
OG0011234	XP_002892167.1	As008G196770
OG0011235	XP_020869931.1	As008G196830
OG0011236	XP_002892179.1	As008G196960
OG0011237	XP_020870322.1	As008G197150
OG0011238	XP_002889451.1	As008G197210
OG0011239	XP_020868080.1	As008G197300
OG0011240	XP_002889439.2	As008G197340
OG0011241	XP_002892135.1	As008G197580
OG0011242	XP_020870287.1	As008G197780
OG0011243	XP_002892116.1	As008G197850
OG0011244	XP_002889406.1	As008G197920
OG0011245	XP_020870527.1	As008G198560
OG0011246	XP_020868113.1	As008G199400
OG0011247	XP_020875817.1	As009G199810
OG0011248	XP_020876223.1	As009G200100
OG0011249	XP_002873654.1	As009G200210
OG0011251	XP_020878699.1	As009G200440
OG0011252	XP_020876605.1	As009G201280
OG0011253	XP_002873772.1	As009G202350
OG0011254	XP_020878293.1	As009G202430
OG0011255	XP_002871730.1	As009G202640
OG0011256	XP_020876268.1	As009G203300
OG0011257	XP_020876548.1	As009G203350, As009G203340, As009G203330
OG0011258	XP_020877803.1	As009G203770
OG0011259	XP_020891208.1	As009G203940
OG0011260	XP_020878953.1	As009G204240
OG0011261	XP_020879257.1	As009G204340
OG0011262	XP_002871824.1	As009G204490
OG0011263	XP_002871858.2	As009G204920
OG0011264	XP_020878437.1	As009G205430
OG0011265	XP_020879066.1	As009G205630
OG0011266	XP_020876872.1	As009G205730
OG0011267	XP_002872246.1	As009G205780
OG0011268	XP_020876974.1	As009G205920
OG0011269	XP_020876867.1	As009G206720
OG0011270	XP_002872327.1	As009G207180
OG0011271	XP_002872333.1	As009G207220
OG0011272	XP_020885565.1	As009G207320
OG0011273	XP_002863981.1	As009G207560
OG0011274	XP_002863962.2	As009G207950
OG0011275	XP_020866359.1	As009G208020
OG0011277	XP_002873616.1	As009G210510
OG0011278	XP_020879447.1	As009G211130, As009G210980
OG0011279	XP_002871206.1	As009G212480
OG0011280	XP_020876001.1	As009G212800
OG0011281	XP_020876017.1	As009G213120
OG0011282	XP_002871164.1	As009G213220
OG0011283	XP_020875932.1	As009G213260
OG0011284	XP_002871155.1	As009G213310
OG0011285	XP_020888309.1	As009G213320
OG0011286	XP_002871094.1	As009G214610
OG0011288	XP_020877862.1	As009G215210
OG0011289	XP_002874269.2	As009G215220
OG0011290	XP_020876090.1	As009G215320
OG0011291	XP_002874246.2	As009G215440
OG0011292	XP_002874228.1	As009G215760
OG0011293	XP_020878332.1	As009G215890
OG0011294	XP_020877345.1	As009G216400
OG0011295	XP_020876141.1	As009G216540
OG0011296	XP_002872082.1, XP_020870585.1	As009G216740
OG0011297	XP_002874147.1	As009G216830
OG0011298	XP_020866614.1	As009G217770
OG0011299	XP_002866445.2	As009G218210
OG0011300	XP_020871805.1	As009G219140
OG0011301	XP_002862630.1, XP_002866293.1	As009G219480
OG0011302	XP_020866375.1	As009G219600
OG0011303	XP_020882236.1	As009G220010
OG0011304	XP_002866259.2	As009G220030
OG0011305	XP_002864558.1	As009G220130
OG0011306	XP_020881522.1	As010G220460
OG0011307	XP_020882221.1	As010G220900
OG0011308	XP_002877754.2	As010G220910
OG0011309	XP_002877752.1	As010G220940
OG0011310	XP_002877747.2	As010G221010
OG0011311	XP_020881880.1	As010G221030
OG0011312	XP_020881785.1	As010G221430
OG0011313	XP_020879990.1	As010G222220
OG0011314	XP_002875913.1	As010G222540
OG0011315	XP_002877617.1	As010G222570
OG0011316	XP_020880357.1	As010G222990
OG0011317	XP_002890030.2	As010G223720
OG0011318	XP_020869543.1, XP_002875776.1	As010G224680
OG0011319	XP_020882529.1	As010G224700
OG0011320	XP_002875712.1, XP_002875715.1	As010G225620, As010G224940
OG0011321	XP_020882054.1	As010G225680
OG0011322	XP_020881451.1	As010G226180
OG0011323	XP_002875584.1	As010G227310
OG0011324	XP_020879654.1	As010G227500
OG0011325	XP_020873878.1	As010G228210
OG0011326	XP_020891732.1	As010G228580
OG0011327	XP_020891773.1	As010G230100
OG0011328	XP_002888635.1	As010G230390
OG0011329	XP_002888673.2	As010G231190
OG0011330	XP_002888676.1	As010G231300
OG0011331	XP_002887246.1	As010G232700
OG0011332	XP_020890537.1	As010G232770
OG0011333	XP_020891258.1	As010G233110
OG0011334	XP_020891129.1	As010G233360
OG0011335	XP_002888786.1	As010G233420
OG0011336	XP_002887310.1	As010G233490
OG0011337	XP_002887327.1	As010G233680
