Orthogroup	Erysimum_linariifolium	Alyssum_gmelinii
OG0009142	El007G345110	Ag001G041240
OG0009143	El003G160220	Ag007G586780
OG0009144	El003G159900	Ag007G598440
OG0009145	El003G159800	Ag007G598580
OG0009146	El006G315070	Ag006G524880
OG0009149	El006G315740	Ag006G525430
OG0009150	El006G316850	Ag001G021820, Ag001G021730
OG0009151	El006G317150	Ag006G524820
OG0009152	El006G317770	Ag006G524300
OG0009153	El006G318090	Ag004G340430
OG0009155	El006G318880	Ag006G523780
OG0009156	El001G021750	Ag001G067020
OG0009157	El006G319640	Ag006G523160
OG0009159	El006G320470	Ag006G521890
OG0009160	El006G321220	Ag006G521140
OG0009161	El006G321580	Ag006G518030
OG0009162	El002G099080	Ag004G322360
OG0009163	El002G098820	Ag004G321540
OG0009164	El002G098650	Ag004G321100
OG0009165	El002G098090	Ag004G319850
OG0009166	El002G098060	Ag004G319780
OG0009167	El002G097820	Ag004G319480
OG0009168	El002G096930	Ag004G317830
OG0009169	El002G096960	Ag004G317860
OG0009170	El002G096550	Ag004G317140
OG0009171	El002G095830	Ag004G315720
OG0009172	El002G095160	Ag004G314740
OG0009173	El002G095040	Ag004G314510
OG0009174	El002G094670	Ag004G313700
OG0009175	El002G093830	Ag004G312600
OG0009176	El002G093810	Ag004G312580
OG0009177	El002G093710	Ag004G312360
OG0009178	El002G093230	Ag004G311530
OG0009179	El002G092670	Ag004G310750
OG0009180	El002G092880	Ag004G310840
OG0009181	El002G092330	Ag004G310310
OG0009182	El002G092100	Ag004G309870
OG0009183	El002G092030	Ag004G309700
OG0009184	El002G091840	Ag004G309310
OG0009185	El002G091720	Ag004G309180
OG0009186	El001G060260	Ag008G718940
OG0009187	El002G091580	Ag004G309030
OG0009188	El002G091530	Ag004G308960
OG0009189	El002G091300	Ag004G308700
OG0009190	El002G091310	Ag004G308710
OG0009191	El002G091330	Ag004G308730
OG0009192	El002G091350	Ag004G308750
OG0009193	El002G091230	Ag004G308630
OG0009194	El002G091170	Ag004G308560
OG0009195	El002G090690	Ag004G307830
OG0009196	El002G091050	Ag004G308390
OG0009197	El002G090280	Ag004G307340
OG0009198	El002G089970	Ag004G306980
OG0009200	El002G088840	Ag004G305590
OG0009201	El002G088780	Ag004G305530
OG0009202	El002G088670	Ag004G305400
OG0009203	El002G088640	Ag004G305370
OG0009205	El002G088070	Ag004G304760
OG0009206	El002G087590	Ag004G303970
OG0009207	El002G087570	Ag004G303940
OG0009208	El002G087440	Ag004G303780
OG0009209	El004G234320	Ag003G208230, Ag002G161190
OG0009210	El002G087050	Ag001G009640, Ag004G303200
OG0009211	El002G086900	Ag004G303020, Ag004G303010
OG0009212	El002G086850	Ag004G302970
OG0009213	El002G086550	Ag004G302580
OG0009214	El002G086260	Ag004G302300
OG0009215	El002G085880	Ag004G301980
OG0009216	El002G085310	Ag004G300880
OG0009217	El002G084880	Ag004G300250
OG0009218	El002G084810	Ag004G300140
OG0009219	El002G084510	Ag004G299840
OG0009220	El002G084240	Ag004G299560
OG0009221	El002G084160	Ag004G299450
OG0009222	El002G083930	Ag004G299160
OG0009223	El002G083860	Ag004G298870
OG0009224	El002G083810	Ag005G442530, Ag002G191950, Ag005G451610, Ag002G104650, Ag004G298790
OG0009225	El002G083680	Ag004G298690
OG0009226	El002G083600	Ag004G298600
OG0009227	El002G083530	Ag004G298500
OG0009228	El002G083200	Ag004G298160
OG0009229	El001G000630	Ag004G297810
OG0009230	El002G082570	Ag004G297420
OG0009231	El002G082460	Ag004G297330
OG0009233	El001G067580	Ag007G613170
OG0009234	El001G067310	Ag007G613550
OG0009235	El001G067460	Ag003G235790, Ag007G613290, Ag008G692020
OG0009236	El001G066580	Ag007G616420
OG0009237	El001G066530	Ag007G616710
OG0009238	El001G066450	Ag007G616990
OG0009239	El001G065740	Ag007G619320
OG0009240	El001G066040	Ag007G618510
OG0009241	El001G066250	Ag007G617730
OG0009242	El001G065600	Ag007G619830
OG0009243	El001G065190	Ag007G621200
OG0009244	El001G065110	Ag007G621360
OG0009245	El001G064260	Ag007G623140
OG0009246	El001G064200	Ag007G623430
OG0009247	El001G063890	Ag007G624330
OG0009248	El001G063780	Ag006G492560, Ag007G624620
OG0009249	El001G063290	Ag007G626150
OG0009250	El001G062540	Ag007G628550
OG0009251	El001G061610	Ag007G629280
OG0009252	El001G061520	Ag007G628990
OG0009253	El001G061120	Ag007G633040
OG0009254	El001G061080	Ag007G633060
OG0009255	El001G049420	Ag007G637070
OG0009256	El001G047650	Ag007G641580
OG0009257	El007G346150	Ag003G231840
OG0009258	El007G345290	Ag002G161430
OG0009259	El004G208900, El007G346490, El007G346460	Ag007G612130
OG0009260	El007G346880	Ag007G642550
OG0009263	El001G068100	Ag007G612000
OG0009264	El001G075040	Ag006G505580
OG0009265	El001G075020	Ag006G505600
OG0009267	El001G067840	Ag007G612540
OG0009268	El001G075210	Ag006G505170
OG0009269	El001G075240	Ag006G505100
OG0009270	El001G068360	Ag007G611540
OG0009271	El001G075920	Ag006G503700
OG0009272	El001G075940	Ag006G503680
OG0009273	El001G076150	Ag006G502800
OG0009274	El001G076210	Ag006G501940
OG0009275	El001G076400	Ag006G501620
OG0009276	El001G076920	Ag006G500440
OG0009277	El001G077050	Ag006G500050
OG0009278	El001G077080	Ag006G500010
OG0009279	El001G077340	Ag006G499430
OG0009280	El001G077740	Ag006G499090
OG0009281	El001G052670	Ag008G720510
OG0009282	El001G052420	Ag004G380780, Ag008G720300
OG0009283	El001G052630	Ag008G720470
OG0009284	El001G052990	Ag008G721000
OG0009285	El001G053390	Ag008G721110
OG0009286	El001G053600, El002G128900	Ag008G721280
OG0009287	El001G054250	Ag008G721580
OG0009288	El001G054310	Ag008G721600
OG0009289	El001G054760	Ag008G721960
OG0009290	El001G055050	Ag008G722020
OG0009291	El001G025550	Ag001G076100
OG0009292	El001G055150	Ag008G722090
OG0009293	El001G055410, El001G055380	Ag008G722450
OG0009294	El001G056090	Ag008G723310
OG0009295	El001G056540	Ag008G723870
OG0009296	El001G056650	Ag008G723990
OG0009297	El001G056720	Ag008G724150
OG0009298	El001G056750	Ag008G724180
OG0009299	El001G056970	Ag008G724380
OG0009300	El007G329740	Ag008G725310
OG0009301	El007G329060	Ag008G726470
OG0009302	El007G328830	Ag008G726760
OG0009303	El007G327760	Ag008G728560
OG0009304	El001G017700	Ag001G054940
OG0009305	El007G327610	Ag008G728740
OG0009306	El007G332650	Ag008G706660
OG0009307	El007G333080	Ag008G705860
OG0009308	El001G021530	Ag001G067430
OG0009309	El001G021480	Ag001G067480
OG0009310	El001G021460	Ag001G067530
OG0009311	El001G021300	Ag001G059450, Ag001G059630
OG0009312	El001G021150	Ag001G063090
OG0009313	El001G020740	Ag001G061920
OG0009314	El001G020620	Ag001G061430
OG0009315	El001G020000	Ag001G059060
OG0009316	El001G019970	Ag001G058940
OG0009317	El001G019950	Ag001G058910
OG0009318	El001G019520	Ag008G693210, Ag005G428450
OG0009319	El001G019150	Ag008G692270
OG0009320	El001G018850	Ag008G691780
OG0009321	El001G018440	Ag008G690800
OG0009322	El001G018220	Ag001G057040
OG0009323	El001G018110	Ag001G056220
OG0009324	El001G018020	Ag001G056100
OG0009325	El001G017510	Ag001G055380
OG0009326	El001G017410	Ag001G054660
OG0009327	El001G016680	Ag004G379400, Ag002G141680, Ag001G053390
OG0009328	El001G012670	Ag010G739480, Ag001G049360
OG0009329	El001G011680	Ag001G059390, Ag001G059550
OG0009330	El003G149590	Ag003G277150
OG0009331	El001G046650	Ag005G418140
OG0009332	El004G217410	Ag004G356300
OG0009333	El004G217440	Ag004G356270
OG0009334	El004G219410	Ag004G351810
OG0009335	El004G219690	Ag004G350830
OG0009336	El004G219580	Ag004G351360
OG0009337	El004G220090	Ag004G350400
OG0009338	El004G220300	Ag004G349820
OG0009339	El004G220390	Ag004G349360
OG0009340	El004G220620	Ag004G348910
OG0009341	El006G310330	Ag007G598140
OG0009342	El004G221080	Ag004G347710
OG0009343	El004G221090	Ag004G347700
OG0009344	El004G221380	Ag004G346540
OG0009345	El004G221990	Ag004G345270
OG0009346	El004G222330	Ag004G344440
OG0009347	El004G223080	Ag004G343320
OG0009348	El004G223200	Ag004G343100
OG0009349	El004G223440	Ag004G342600
OG0009350	El004G223680	Ag004G342040
OG0009351	El004G223770	Ag004G341710
OG0009352	El004G224080	Ag003G240460
OG0009353	El004G224170	Ag003G240160
OG0009354	El004G224180	Ag003G240100
OG0009356	El004G231580	Ag003G214690
OG0009357	El004G230340	Ag003G218610
OG0009358	El004G230240	Ag003G218690
OG0009359	El004G230000	Ag003G218990
OG0009360	El005G259360	Ag005G442130, Ag005G443400
OG0009361	El004G229930	Ag003G219280
OG0009362	El004G229850	Ag003G219420
OG0009363	El004G228320	Ag003G224630
OG0009364	El004G227750	Ag003G227210
OG0009365	El004G227490	Ag003G228590
OG0009366	El004G227470	Ag003G228640
OG0009367	El004G227070	Ag003G230820
OG0009368	El004G227040	Ag003G230850
OG0009369	El004G227020	Ag003G230990
OG0009370	El004G226220	Ag003G234200
OG0009371	El004G225900	Ag003G235260
OG0009372	El002G102430	Ag004G329690
OG0009373	El004G225770	Ag003G235910
OG0009374	El004G225730	Ag003G236280
OG0009375	El004G225580	Ag003G236610
OG0009376	El001G064670, El003G149800, El005G267360	Ag008G711180
OG0009377	El004G225120	Ag003G238000
OG0009378	El004G224740	Ag003G239020
OG0009379	El004G224700	Ag003G239140
OG0009380	El004G224610	Ag003G239230
OG0009382	El004G224340	Ag003G240030
OG0009383	El004G231680	Ag003G233010
OG0009384	El004G231740	Ag003G214280
OG0009385	El004G231790	Ag003G214220
OG0009386	El004G231960	Ag003G213500
OG0009387	El004G231990	Ag003G213470
OG0009388	El004G232040	Ag003G213370
OG0009389	El004G232200	Ag003G212750
OG0009390	El004G232370	Ag003G212410
OG0009391	El004G232570	Ag003G212080
OG0009392	El004G233360	Ag003G210630
OG0009393	El004G233380	Ag003G210590
OG0009394	El004G233470	Ag003G210340
OG0009395	El004G233880	Ag003G209080
OG0009396	El004G234270	Ag003G208280
OG0009397	El004G234360	Ag003G208160
OG0009398	El004G234550	Ag003G207380
OG0009399	El004G234570	Ag003G207410
OG0009400	El004G234700	Ag003G207680
OG0009401	El005G248600	Ag005G470580
OG0009402	El005G248860	Ag005G470230
OG0009403	El005G248960	Ag005G470000
OG0009404	El005G248980	Ag005G469980
OG0009405	El005G249170	Ag005G469740
OG0009406	El005G249300	Ag005G469520
OG0009407	El005G249480	Ag005G469010
OG0009408	El005G249740	Ag005G468360
OG0009409	El005G250500	Ag005G466240
OG0009410	El005G250540	Ag005G466110
OG0009411	El005G250650	Ag005G465890
OG0009412	El005G250720	Ag005G465790
OG0009413	El005G250860	Ag005G465460
OG0009414	El005G251030	Ag005G465200
OG0009416	El005G251470	Ag005G464510
OG0009417	El005G251510	Ag005G464480
OG0009418	El005G251530	Ag005G464440
OG0009419	El005G252330	Ag005G462910
OG0009420	El005G252450	Ag005G462670
OG0009421	El005G252470	Ag005G462650
OG0009422	El005G252510	Ag005G462620
OG0009423	El005G252530	Ag005G462600
OG0009424	El005G252860	Ag005G461820
OG0009425	El005G252900	Ag005G461760
OG0009426	El005G252950	Ag005G461670
OG0009427	El005G253600	Ag005G459950
OG0009428	El005G253660	Ag005G459820
OG0009429	El005G253680	Ag005G459810
OG0009430	El005G254130	Ag005G454400, Ag005G458870
OG0009431	El005G254230	Ag005G458440
OG0009432	El005G275900, El005G254240	Ag005G458430
OG0009433	El001G000830	Ag006G516870
OG0009434	El005G254550	Ag005G457380
OG0009435	El005G255140	Ag005G456240
OG0009436	El005G255410	Ag021G743400, Ag003G225400, Ag007G630580
OG0009437	El005G255680	Ag005G454840
OG0009438	El005G255890	Ag005G453550
OG0009439	El005G255930	Ag005G453510
OG0009440	El005G256330	Ag005G452600
OG0009441	El005G256930	Ag002G114340, Ag005G450050
OG0009442	El005G257000	Ag005G449470
OG0009443	El005G257010	Ag005G449460
OG0009444	El005G257500	Ag005G448150
OG0009445	El005G257580	Ag005G447420
OG0009446	El005G258060	Ag005G446300
OG0009447	El005G258240	Ag005G445980
OG0009448	El005G258290	Ag005G445940
OG0009449	El005G258390	Ag005G445820
OG0009450	El005G258880	Ag005G444310, Ag005G443020
OG0009451	El005G259170	Ag005G443750, Ag005G442600
OG0009452	El005G260030	Ag005G441170
OG0009454	El005G261320	Ag005G438340
OG0009455	El005G262500	Ag005G436910
OG0009456	El005G264910	Ag005G435010
OG0009457	El005G264920	Ag013G741620, Ag005G435000
OG0009458	El005G268670, El005G268740	Ag005G427290
OG0009459	El007G342620	Ag008G679880
OG0009460	El005G271420	Ag005G421360
OG0009461	El005G271360	Ag005G420950
OG0009462	El005G271570	Ag005G420870
OG0009463	El005G271710	Ag005G420820
OG0009464	El005G271720	Ag005G421650
OG0009465	El005G271880	Ag005G421720
OG0009466	El001G069610	Ag007G608410
OG0009467	El005G273100	Ag004G302390
OG0009468	El005G273110	Ag005G419130
OG0009469	El005G273130	Ag005G419030
OG0009470	El005G273180	Ag005G418950
OG0009471	El005G274590	Ag005G416500
OG0009472	El005G274870	Ag005G415920
OG0009473	El005G274920	Ag005G415700
OG0009474	El005G275480	Ag005G414920
OG0009475	El005G276880	Ag005G410530
OG0009476	El005G277490, El005G277510	Ag005G408310
OG0009477	El005G278000	Ag005G405990
OG0009478	El005G278730	Ag005G403090
OG0009479	El005G278750	Ag005G403140
OG0009480	El005G278810	Ag005G403380
OG0009481	El005G278900	Ag005G403570
OG0009482	El005G279480	Ag005G404350
OG0009484	El002G140280	Ag001G002420
OG0009485	El002G140080	Ag001G002880
OG0009486	El002G139690	Ag001G003830
OG0009487	El002G139340	Ag001G004840
OG0009488	El002G139320	Ag001G004870
OG0009489	El002G138900	Ag001G006130
OG0009490	El002G138650	Ag001G006840
OG0009491	El002G137990	Ag001G007130
OG0009492	El002G137860	Ag001G007340, Ag001G007370
OG0009493	El002G137210	Ag001G008540
OG0009494	El002G135180	Ag001G012420
OG0009495	El002G135460	Ag001G011780
OG0009496	El002G134600	Ag001G015220, Ag001G015210
OG0009497	El002G134420	Ag001G016240
OG0009498	El002G134260	Ag001G016610
OG0009499	El001G067940	Ag007G612280
OG0009500	El002G133930	Ag001G018100
OG0009501	El002G133720	Ag001G019150, Ag001G018890
OG0009502	El002G133610	Ag011G740820, Ag001G019630
OG0009503	El001G034870	Ag001G097840
OG0009504	El002G132910	Ag001G022780
OG0009505	El002G132860	Ag001G022940
OG0009506	El002G132780	Ag001G023290
OG0009507	El006G296620	Ag002G161010
OG0009509	El006G296890	Ag002G160580
OG0009510	El001G022230	Ag001G065490
OG0009511	El001G022440	Ag001G064610
OG0009512	El001G022510	Ag001G064530, Ag003G246370
OG0009513	El001G023390	Ag001G070580
OG0009514	El001G023790	Ag001G071810
OG0009515	El001G023750	Ag001G071710
OG0009516	El001G024120	Ag001G072690
OG0009517	El001G024510	Ag001G073380
OG0009518	El001G024750	Ag001G074090
OG0009519	El001G024840	Ag001G074440
OG0009520	El001G024860	Ag001G074490
OG0009522	El001G024890	Ag001G074690
OG0009523	El007G356410, El007G356420, El007G356400	Ag002G109360, Ag002G113350
OG0009524	El001G025470	Ag001G075880
OG0009525	El001G025460	Ag001G075870
OG0009526	El006G291180	Ag002G178740
OG0009527	El001G025590	Ag001G076140
OG0009528	El001G025800	Ag001G076470
OG0009529	El001G026300	Ag001G078320
OG0009530	El001G027250	Ag001G080260
OG0009531	El001G027270	Ag001G080380
OG0009532	El001G027500	Ag001G080900
OG0009533	El001G027600	Ag001G081160
OG0009534	El001G028300	Ag001G083170
OG0009535	El001G028360	Ag001G083420
OG0009536	El001G028450	Ag001G083620
OG0009537	El001G029500	Ag001G085990
OG0009538	El001G029710	Ag001G086330
OG0009539	El001G029770	Ag001G086430
OG0009540	El001G030440	Ag001G088800
OG0009541	El001G030600	Ag001G089560
OG0009542	El001G030880	Ag001G090380
OG0009543	El001G031040	Ag001G090710
OG0009544	El001G056440, El003G188750	Ag008G723750
OG0009545	El001G032250	Ag001G093080
OG0009546	El001G032270	Ag001G093120
OG0009547	El001G032450	Ag001G093450
OG0009548	El001G033000	Ag001G093900
OG0009549	El001G033140	Ag001G094250
OG0009550	El001G033170	Ag001G094270
OG0009551	El001G033650	Ag001G095100
OG0009552	El001G034680	Ag001G097430
OG0009553	El001G034690	Ag001G097440
OG0009554	El001G035430	Ag001G098490
OG0009555	El001G035540	Ag001G098630
OG0009556	El001G035630	Ag001G098740
OG0009557	El001G032710	Ag001G093650
OG0009558	El043G374990	Ag006G549730
OG0009561	El002G133490	Ag002G147310, Ag001G019870
OG0009562	El003G146390	Ag003G286790, Ag003G286660, Ag001G028830, Ag003G286670
OG0009563	El001G028550	Ag001G083760
OG0009564	El007G322780	Ag001G100100
OG0009565	El007G361530	Ag002G125220
OG0009566	El036G374460	Ag002G148600
OG0009567	El003G158240	Ag006G553320
OG0009568	El006G292340	Ag002G174760
OG0009569	El006G291910	Ag002G176020
OG0009570	El006G288210	Ag002G189900
OG0009571	El006G281620	Ag002G203510
OG0009572	El004G224820	Ag003G238930
OG0009573	El003G155920	Ag003G253360
OG0009574	El003G148690	Ag003G273920
OG0009575	El003G149510	Ag003G276940
OG0009576	El002G087470	Ag004G303810
OG0009579	El002G092900	Ag004G310920
OG0009580	El002G093690	Ag004G312320
OG0009581	El002G095330	Ag004G315010
OG0009582	El002G095520	Ag004G315250
OG0009583	El002G099880	Ag004G323910
OG0009585	El004G223230	Ag004G343060
OG0009586	El004G219290	Ag004G352280
OG0009587	El005G277440	Ag005G408510
OG0009588	El002G130940	Ag005G419840
OG0009591	El001G068070	Ag005G489880
OG0009592	El001G080940	Ag006G492870
OG0009594	El001G079120	Ag006G495960
OG0009595	El003G169510	Ag006G577580
OG0009596	El002G115530, El002G114640	Ag007G582020
OG0009597	El002G129360	Ag007G584160
OG0009598	El002G130670	Ag007G585300
OG0009600	El002G124660, El006G299450	Ag007G589830, Ag007G589800
OG0009601	El006G301040	Ag007G591230
OG0009603	El001G067600	Ag007G613090
OG0009604	El001G066540	Ag007G616670
OG0009605	El001G066200	Ag007G617790
OG0009606	El001G066020	Ag007G618600
OG0009607	El001G064180	Ag007G623690
OG0009608	El001G062710, El001G062330	Ag007G631120
OG0009609	El003G191680, El007G355550	Ag007G654100
OG0009610	El003G193410	Ag007G657410
OG0009611	El007G333230	Ag008G705540
OG0009612	El001G052620	Ag008G720460
OG0009613	El007G329200	Ag008G726150
OG0009614	El007G329150	Ag008G726190
OG0009615	El007G323110	Ag008G734840
OG0009616	El007G323050	Ag008G734930
OG0009635	El005G279410	Ag006G566750
OG0009636	El003G168890, El006G319880	Ag006G576630
OG0009637	El003G153430, El003G154260	Ag003G257830
OG0009638	El003G153660	Ag002G182740, Ag001G040580, Ag003G258500
OG0009639	El003G153410	Ag003G258960
OG0009640	El003G153290	Ag003G259180
OG0009641	El003G152980, El008G370520	Ag003G260710
OG0009643	El003G152480	Ag002G138100, Ag002G134620
OG0009644	El001G060230	Ag008G718890
OG0009645	El003G152220	Ag003G266800
OG0009646	El003G151880	Ag003G267860
OG0009647	El002G130920	Ag007G585330
OG0009648	El005G243630, El003G151210	Ag003G270570
OG0009649	El003G150270	Ag003G279060
OG0009650	El003G149820	Ag003G277850
OG0009651	El003G149880	Ag003G278080
OG0009652	El003G149540	Ag003G277040
OG0009653	El003G149220	Ag003G276250
OG0009654	El001G058730	Ag008G716320
OG0009655	El003G148880	Ag003G274540
OG0009656	El003G148840	Ag003G274400
OG0009657	El003G148520	Ag003G273620
OG0009658	El005G273200	Ag005G418920
OG0009659	El003G148140	Ag003G281440
OG0009660	El003G147490	Ag003G283070
OG0009661	El003G147380	Ag003G283370
OG0009662	El001G057530, El006G311340	Ag008G714040
OG0009663	El003G147170	Ag003G284730
OG0009664	El002G118020	Ag007G579710, Ag007G580410
OG0009665	El002G118890	Ag007G578960
OG0009666	El002G119070	Ag007G578740
OG0009667	El002G119080	Ag007G578730
OG0009668	El002G119160	Ag007G578660
OG0009669	El002G119720	Ag007G578240
OG0009670	El002G119740	Ag007G578210
OG0009671	El002G119890	Ag007G578100
OG0009672	El002G119980	Ag007G578000
OG0009673	El003G162540	Ag006G550740
OG0009674	El002G120150	Ag007G577930
OG0009675	El002G120190	Ag007G577900
OG0009676	El002G120200	Ag001G101100
OG0009677	El002G120220	Ag001G101120
OG0009678	El003G170120	Ag001G101370
OG0009679	El003G170180	Ag001G101400
OG0009680	El003G171230	Ag004G340210
OG0009681	El003G171340	Ag001G102080
OG0009682	El004G208600	Ag004G366320
OG0009683	El004G206370	Ag004G307710, Ag003G209050
OG0009684	El004G206310	Ag004G367130
OG0009685	El004G206280	Ag006G506460, Ag004G340990
OG0009687	El004G203460	Ag004G368490
OG0009688	El004G202140	Ag004G369740
OG0009689	El004G202150	Ag004G369590
OG0009690	El004G201600	Ag004G370350
OG0009691	El004G200140	Ag004G373940
OG0009692	El004G200120	Ag004G373970
OG0009693	El004G199090	Ag004G377500
OG0009695	El001G036240	Ag002G174490
OG0009696	El001G036260	Ag005G452890, Ag005G452860
OG0009697	El001G036290	Ag002G140880
OG0009698	El002G099060	Ag004G322340
OG0009699	El001G036350	Ag002G139150
OG0009700	El001G036560	Ag004G338840
OG0009701	El002G098580	Ag004G321020
OG0009702	El001G037250	Ag008G659610, Ag008G658840
OG0009703	El001G038110	Ag008G661810
OG0009704	El001G038850	Ag008G662870
OG0009705	El001G038950	Ag008G663050
OG0009706	El001G038970	Ag008G663140
OG0009707	El001G039670	Ag008G663940
OG0009708	El001G039700	Ag008G664070
OG0009709	El001G040080	Ag008G665250
OG0009710	El001G040830	Ag002G122660, Ag002G114500, Ag004G387480, Ag004G392830
OG0009711	El001G040950	Ag001G034320
OG0009712	El001G041240	Ag008G667340
OG0009713	El001G041250	Ag008G667360
OG0009714	El001G042330	Ag008G669540
OG0009717	El001G044430	Ag001G022240, Ag003G226170
OG0009718	El001G044480	Ag001G048920, Ag010G738410
OG0009719	El001G045190	Ag008G674810
OG0009720	El001G045890	Ag008G672860
OG0009721	El001G045900	Ag010G738290, Ag001G048520
OG0009722	El003G188460	Ag007G647730
OG0009723	El004G217220	Ag004G356710
OG0009724	El004G217210	Ag004G356760
OG0009725	El004G215810	Ag004G358510
OG0009726	El004G215130	Ag001G089490
OG0009727	El004G214980	Ag004G360450
OG0009728	El004G213630	Ag004G334720
OG0009729	El004G213210	Ag004G364270
OG0009730	El004G213050	Ag004G309010
OG0009731	El004G211790	Ag008G704660
OG0009733	El004G211500	Ag004G363550
OG0009734	El004G193880	Ag004G401830
OG0009735	El004G193940	Ag004G401740
OG0009736	El004G194120	Ag004G401080
OG0009737	El004G194280	Ag004G400200
OG0009738	El004G194790	Ag004G392150, Ag004G396830, Ag004G396850, Ag004G392180, Ag004G396590
OG0009739	El004G195170	Ag004G395270, Ag004G390430
OG0009740	El004G195660	Ag004G394090, Ag004G389100
OG0009741	El004G196630	Ag004G383200
OG0009742	El004G197060	Ag004G381950
OG0009743	El002G095980	Ag004G315970
OG0009744	El004G198320	Ag004G378930
OG0009745	El006G321170	Ag006G521260
OG0009747	El003G158470, El004G209660	Ag003G250140
OG0009748	El006G288140	Ag002G189990
OG0009749	El006G288170	Ag002G189940
OG0009750	El006G288590	Ag002G188430
OG0009751	El006G288610	Ag002G188410
OG0009752	El006G288640	Ag002G188390
OG0009753	El006G288660	Ag002G188230
OG0009754	El006G288710	Ag002G188160
OG0009755	El006G288720	Ag002G188150
OG0009756	El005G244450	Ag005G477780
OG0009757	El005G244830	Ag005G476740
OG0009758	El005G245430	Ag005G475960
OG0009759	El004G215420	Ag005G474880
OG0009760	El005G246480	Ag005G474120
OG0009761	El005G246570	Ag005G473890
OG0009762	El005G246860	Ag005G473410
OG0009763	El005G247650	Ag005G472090
OG0009764	El005G248090	Ag005G471430
OG0009765	El005G274510	Ag003G211500
OG0009767	El007G344370	Ag001G047750, Ag010G737610
OG0009768	El007G344310	Ag007G609110, Ag008G682570, Ag008G679380
OG0009769	El007G344150	Ag001G086310
OG0009770	El007G344070	Ag001G040510
OG0009771	El007G343230	Ag008G677640, Ag004G316610
OG0009772	El007G342930, El007G342970	Ag005G403410
OG0009773	El007G342920	Ag008G676560
OG0009774	El007G342660	Ag008G679810
OG0009776	El001G067850	Ag007G612530
OG0009777	El007G341980	Ag008G681040
OG0009778	El007G341590	Ag008G681250
OG0009779	El007G341430	Ag004G308920
OG0009780	El007G341350	Ag008G681740
OG0009781	El007G341210	Ag008G681900
OG0009783	El007G340590, El007G340660	Ag008G684150
OG0009784	El007G340510	Ag008G684610
OG0009785	El007G340390, El007G340440	Ag008G684630
OG0009786	El007G339820	Ag008G685880
OG0009787	El007G339880, El003G187590	Ag008G685630
OG0009788	El007G339980	Ag008G685220
OG0009789	El007G339760	Ag008G685900
OG0009790	El007G339500	Ag008G686970
OG0009791	El007G338680	Ag008G714090
OG0009792	El007G338840	Ag008G687830
OG0009793	El007G338890	Ag008G687610
OG0009794	El007G338970	Ag008G687460
OG0009795	El007G338120	Ag008G689620, Ag008G688810
OG0009796	El007G337800	Ag001G058050
OG0009797	El007G337630	Ag002G157690
OG0009798	El007G337240	Ag008G694490
OG0009799	El007G337140, El007G337110	Ag008G694870
OG0009800	El007G336510	Ag008G696060
OG0009801	El007G336410	Ag008G696310
OG0009802	El007G336300	Ag007G610780, Ag002G203310
OG0009803	El007G335850	Ag008G697940
OG0009804	El007G335480	Ag008G699390
OG0009805	El007G335350	Ag008G699710
OG0009806	El007G335190	Ag008G699960
OG0009807	El007G335090	Ag008G700390
OG0009808	El007G334890	Ag008G700950
OG0009809	El007G334120	Ag008G703360
OG0009810	El007G333870	Ag008G704210
OG0009811	El007G333830	Ag008G704340
OG0009812	El007G333800	Ag008G704410
OG0009813	El007G333530	Ag008G705110
OG0009814	El007G333430	Ag008G705220
OG0009815	El007G333410	Ag008G705270
OG0009816	El001G030570	Ag001G089350
OG0009817	El002G128390	Ag001G004890
OG0009819	El001G068570	Ag007G610700
OG0009820	El001G069230	Ag007G609360
OG0009821	El001G069250	Ag007G609290
OG0009822	El001G069270	Ag007G609250
OG0009823	El001G069280	Ag007G609240
OG0009824	El001G069390	Ag007G609090
OG0009825	El001G069510	Ag007G608870
OG0009826	El001G069540	Ag007G608840
OG0009827	El001G069620	Ag007G608400
OG0009828	El001G070090	Ag007G607620
OG0009829	El001G070150	Ag007G607500
OG0009830	El001G070790	Ag008G674160
OG0009831	El001G070940	Ag007G606090
OG0009832	El001G071030	Ag007G605920
OG0009833	El001G071090	Ag007G605830
OG0009834	El001G071570	Ag007G604760, Ag007G604780, Ag007G604770
OG0009835	El001G071840	Ag007G604350
OG0009836	El001G072560	Ag007G602470
OG0009837	El007G326110	Ag008G731080
OG0009838	El001G072770	Ag007G602130
OG0009839	El001G073270	Ag007G601470
OG0009840	El001G073370	Ag007G601230
OG0009842	El001G073840	Ag007G600540
OG0009843	El001G074110	Ag007G600030
OG0009844	El001G074290	Ag006G508480
OG0009845	El001G017170	Ag001G054090
OG0009846	El003G169470	Ag006G577530
OG0009847	El003G169030	Ag006G576920
OG0009848	El003G168310	Ag006G575190
OG0009849	El003G168290	Ag006G575150
OG0009850	El003G168080	Ag006G574800
OG0009851	El003G167650	Ag006G574080
OG0009852	El003G167340	Ag006G572810
OG0009853	El003G166930	Ag006G571840
OG0009854	El003G166660	Ag006G571230
OG0009855	El004G222530, El003G166000	Ag006G557020
OG0009856	El003G165000	Ag006G563620
OG0009858	El003G164130	Ag006G566990, Ag006G566920
OG0009859	El003G163830	Ag006G555980, Ag006G555960, Ag006G555970
OG0009860	El003G162330	Ag006G547810, Ag006G550020, Ag006G550000, Ag006G547790
