Orthogroup	Erysimum_linariifolium	Arabidopsis_lyrata_Rawat
OG0008791	El002G117990	AL1G45370
OG0008792	El001G076600	AL6G15520
OG0008793	El002G119480	AL1G46210
OG0008794	El006G295370	AL4G31740
OG0008795	El001G009980	AL6G43200, AL6G43190
OG0008796	El006G297860	AL4G29710
OG0008797	El007G355240	nbis-gene-2015, AL97U10020, AL8G17140, AL97U10010, AL8G17150
OG0008798	El007G358070	AL8G17800
OG0008799	El007G358000	AL8G18050
OG0008800	El006G282610	AL4G44920
OG0008801	El007G355410, El007G355490	AL8G19650
OG0008802	El001G008990	AL6G44270
OG0008803	El001G007860	AL6G45350
OG0008804	El001G006880, El001G006820	AL6G46810
OG0008805	El001G006460	AL6G47050
OG0008806	El001G006220	AL6G47260
OG0008807	El001G006180	AL6G47310
OG0008808	El001G006010	AL6G47520
OG0008809	El001G005150	AL6G48340
OG0008810	El001G004780	AL6G48750
OG0008811	El001G004720	AL6G48810
OG0008811	El003G164820	nbis-gene-1808
OG0008812	El007G360990	AL8G15380
OG0008813	El007G361080	AL8G15270
OG0008814	El007G361560	AL8G14800
OG0008815	El007G362050	AL8G14380, AL8G14200
OG0008816	El007G363290	AL8G13470
OG0008817	El007G364100	AL8G12730
OG0008818	El007G364160	AL8G12650
OG0008819	El007G365670	AL8G11620
OG0008820	El007G365730	AL8G11560
OG0008821	El007G366000	AL8G11260
OG0008822	El007G366870	AL8G10270
OG0008823	El007G366880	AL8G10260
OG0008824	El003G183350	AL7G44490
OG0008825	El003G179660	AL9U11740
OG0008826	El003G178340	AL9U10880
OG0008827	El003G178180	AL9U10750
OG0008828	El008G368830, El003G177530	AL9U10080
OG0008829	El005G267320	AL3G39630
OG0008830	El003G175670	AL7G42170
OG0008831	El003G175260	AL7G42000
OG0008832	El003G175170	AL7G41910
OG0008833	El003G174390	AL7G41170
OG0008834	El003G173800, El003G173470	AL7G40560
OG0008835	El003G173620	AL7G40490
OG0008836	El003G172870	AL7G40070
OG0008837	El003G172790	AL7G39990
OG0008838	El003G190790	AL7G49740
OG0008839	El003G192120, El001G011300	AL7G48530
OG0008840	El003G191600	AL7G49190
OG0008841	El003G192210	AL7G48450
OG0008842	El003G192180	AL7G48470
OG0008843	El003G193040	AL7G47820
OG0008844	El003G193390	AL7G47340
OG0008845	El003G193470	AL7G47250
OG0008846	El006G279800	AL4G47620
OG0008847	El006G279850	AL39U10130, AL4G47530
OG0008848	El006G279900	AL4G47490, AL39U10100
OG0008849	El006G281190	AL4G46180
OG0008850	El006G281270	AL4G46060
OG0008851	El006G281460	AL4G45930
OG0008852	El006G281950	AL4G45410
OG0008853	El006G282040	AL4G45310
OG0008854	El006G282590	AL4G44940
OG0008855	El006G283000	AL4G44590
OG0008856	El006G283200	AL4G44320
OG0008857	El006G283350	AL4G44220
OG0008858	El006G283420	AL4G44140
OG0008859	El001G031920	AL5G42430
OG0008860	El006G284590	AL4G43140
OG0008861	El006G284760	AL4G42930
OG0008862	El006G284800	AL4G42890
OG0008863	El006G284810	AL4G42880
OG0008864	El006G285010	AL4G42680
OG0008865	El006G285570	AL4G42000
OG0008866	El006G285830	AL4G41690
OG0008867	El001G030680	AL5G40980
OG0008868	El001G045560, El006G286320	AL4G41240
OG0008869	El006G286680	AL409U10030, AL4G40840
OG0008870	El006G286720	AL4G40810, AL409U10010
OG0008871	El006G286750	AL4G40770
OG0008872	El001G069880	AL6G22450
OG0008873	El006G287370	nbis-gene-1140
OG0008874	El006G287660	AL4G40020
OG0008875	El006G287890	AL4G39560
OG0008876	El006G287910	AL4G39920, AL4G39540
OG0008877	El001G081520	AL6G10800
OG0008878	El001G081420	AL6G10910
OG0008879	El001G081340	AL6G10970
OG0008880	El001G081220	AL6G11120
OG0008881	El001G080710	AL6G11660
OG0008882	El001G080180	AL6G12000
OG0008883	El001G079780	AL6G12450
OG0008884	El001G079020	AL6G13180
OG0008885	El001G078910	AL6G13300
OG0008886	El001G078740	AL6G13480
OG0008887	El001G078400	AL6G13820
OG0008888	El001G060950	AL6G30880
OG0008889	El001G060580	AL6G31110
OG0008890	El001G060520	AL6G31160
OG0008891	El001G060450	AL6G31250
OG0008892	El001G060020	AL6G31680
OG0008893	El001G059990	AL6G31700
OG0008894	El001G060410	AL6G31270
OG0008895	El001G059530	AL6G32050
OG0008896	El007G330060	AL8G37490
OG0008897	El001G059100	AL6G32500
OG0008898	El001G059080	AL6G32520
OG0008899	El001G058840	AL6G32780
OG0008900	El001G058770	AL6G32860
OG0008901	El001G058710	nbis-gene-1547
OG0008902	El001G058550	AL6G32990
OG0008903	El001G058170	AL6G33370
OG0008904	El001G058120	AL6G33410
OG0008905	El001G057460	AL6G33960
OG0008906	El001G057160	AL6G34130
OG0008907	El007G330220	AL8G37290
OG0008908	El007G330720	AL8G36820
OG0008909	El007G326670	AL8G41120
OG0008910	El007G331000	AL8G36530
OG0008911	El007G331010	AL8G36520
OG0008912	El007G331090	AL215U10040
OG0008913	El007G331170	AL8G36340
OG0008914	El007G331210	AL8G36280
OG0008915	El007G332030	AL8G35550, AL48U10050
OG0008916	El007G332130	AL48U10090, AL8G35470
OG0008917	El007G331550	AL8G36050
OG0008919	El007G332230	AL8G35390
OG0008920	El007G332340	AL8G35350
OG0008921	El007G332390	AL8G35300, AL139U10020
OG0008922	El007G326780	AL8G41000
OG0008923	El007G326720	AL8G41070
OG0008924	El002G090940	AL1G18630
OG0008925	El007G326600	AL8G41180
OG0008926	El007G326280	AL372U10020, AL8G41500
OG0008927	El007G326130	AL8G41690
OG0008928	El007G325780	AL8G42050
OG0008929	El007G325610	AL8G42230
OG0008930	El007G325260	AL8G42530
OG0008931	El007G325150	AL8G42620
OG0008932	El007G325130	AL8G42640
OG0008933	El007G324070	AL8G43640
OG0008934	El007G323910	AL8G43750
OG0008935	El007G323720	AL8G43940
OG0008936	El007G323560	AL8G44060
OG0008937	El007G323160	AL8G44450
OG0008938	El007G322960	AL8G44650
OG0008939	El007G322940	AL8G44670
OG0008940	El007G322810	AL8G44800
OG0008941	El007G322590	AL8G44980
OG0008942	El007G322510	AL8G45070
OG0008943	El007G322490	AL8G45100
OG0008944	El007G322360	AL8G45210
OG0008945	El007G322180	AL8G45420
OG0008946	El007G321950	AL8G45650
OG0008947	El001G000750	AL6G52800
OG0008948	El002G082950	AL1G10560
OG0008949	El001G000500	AL6G53060
OG0008950	El001G000400	AL6G53180
OG0008951	El001G000360	nbis-gene-1678
OG0008952	El001G000960	AL6G52090
OG0008953	El001G001300	AL6G52430
OG0008954	El001G001570	AL6G51990
OG0008955	El001G002340	AL6G51180
OG0008956	El006G313510	AL4G17990
OG0008957	El001G002790	AL6G50860
OG0008958	El001G003330	AL6G50280
OG0008959	El001G003430	AL6G50150
OG0008960	El001G003770	AL6G49860
OG0008961	El001G003790	AL6G49840
OG0008962	El006G298600	AL4G29000
OG0008963	El007G359760	AL8G16270
OG0008964	El007G359740	AL8G16290
OG0008965	El003G162370	AL484U10020
OG0008966	El007G359190	AL8G16750
OG0008967	El006G298670	AL4G28960
OG0008968	El006G298880, El006G297470, El006G297280	nbis-gene-1068, AL569U10010
OG0008969	El006G298760	AL4G28890
OG0008970	El006G299210	AL4G28350
OG0008971	El006G299150	AL4G28410
OG0008972	El006G299550	AL4G28000
OG0008973	El006G299590	AL4G27950
OG0008974	El006G299620	AL4G27900
OG0008975	El002G121760, El002G141570	AL1G64610
OG0008976	El006G300320	nbis-gene-1058
OG0008976	El006G300340	nbis-gene-1057, nbis-gene-1965
OG0008977	El006G301010	AL4G26660
OG0008978	El006G301160	AL4G26510
OG0008979	El006G301390	AL4G26300
OG0008980	El006G301700	AL4G25860
OG0008981	El006G301940	AL4G25580
OG0008982	El006G302410, El002G090440	AL4G25130
OG0008983	El006G302480	AL4G25070, AL346U10010
OG0008984	El006G303650	AL4G23960
OG0008985	El006G304170	AL4G23620
OG0008986	El006G304190	AL4G23600, AL146U10010
OG0008987	El006G304370	AL4G23440
OG0008988	El006G304400	AL4G23410
OG0008989	El006G304900	AL4G23150
OG0008990	El006G304940	AL4G23110
OG0008991	El006G305300	AL4G21650
OG0008992	El006G305450	AL4G21800
OG0008993	El006G305720	AL4G22030
OG0008994	El006G306280	AL4G22560
OG0008995	El006G306300	AL4G22570
OG0008996	El006G307450	AL4G21140
OG0008997	El006G307090, El006G307290	AL4G21250
OG0008998	El006G307210	AL4G21320
OG0008999	El006G306680	AL4G21490
OG0009000	El006G307520	AL6G47180, AL4G20980
OG0009001	El006G311510	AL4G19310
OG0009002	El006G313790	AL4G17420
OG0009003	El006G313820	AL4G17410
OG0009004	El003G156710	AL7G25290
OG0009005	El003G156760	AL7G25320
OG0009006	El003G157270	AL7G25720
OG0009007	El005G235610	AL3G10730
OG0009008	El005G235590	AL3G10710
OG0009009	El005G235580	AL3G10700
OG0009010	El005G235330	AL3G10470
OG0009011	El005G235340	AL3G10480
OG0009012	El005G235170	AL3G10340
OG0009013	El003G158100	nbis-gene-1776
OG0009014	El003G157380	AL7G25870
OG0009015	El003G157510	AL7G26030
OG0009016	El005G236060, El001G066110	AL3G11140
OG0009017	El005G236340	AL3G11420
OG0009018	El005G236720	AL3G11910
OG0009019	El005G236840	AL3G11980
OG0009020	El005G237100	AL3G12260
OG0009021	El005G237200	AL3G12360
OG0009022	El005G237350	AL3G12580
OG0009023	El005G237420	AL3G12750
OG0009024	El005G237430	AL3G12760
OG0009025	El005G237750	AL3G13090
OG0009026	El005G238050	AL3G13430, AL3G13440
OG0009027	El005G238560	AL3G13900
OG0009028	El005G238660	AL3G13970
OG0009029	El005G238670	AL3G13980
OG0009030	El005G238900	AL3G14260
OG0009031	El005G239040	AL3G14430
OG0009032	El005G239240	AL3G14670
OG0009033	El005G239350	AL3G14730
OG0009034	El005G239440	AL3G14790
OG0009036	El005G240010	AL3G15520
OG0009037	El005G240060	AL3G15600
OG0009038	El005G240620	AL3G16320
OG0009039	El005G240640	AL3G16340
OG0009040	El005G241230	AL3G16930
OG0009041	El005G241460	AL3G17180
OG0009042	El005G241760	AL3G17540
OG0009043	El005G241920	AL3G17730
OG0009044	El005G242180	AL3G18020
OG0009045	El005G242360	AL3G18320
OG0009046	El007G347060	AL8G21990
OG0009047	El005G242570	AL3G18600
OG0009048	El005G242610	AL3G18630
OG0009049	El005G242640	AL3G18650
OG0009050	El005G243390	AL3G19300
OG0009051	El006G312150	AL4G18970
OG0009052	El005G265950, El005G266070	AL3G38880
OG0009053	El005G243490	AL3G19420
OG0009054	El005G243550	AL3G19480
OG0009055	El002G129290	AL1G53320
OG0009056	El006G288990	AL4G38390
OG0009057	El006G289060	AL4G38330
OG0009058	El006G289110	AL4G38270
OG0009059	El006G289210	AL4G38190
OG0009060	El006G289250	AL4G38150
OG0009061	El006G289380	AL4G37940
OG0009062	El006G290120	AL4G37170
OG0009063	El006G290130	AL4G37150
OG0009064	El006G290380	AL4G36930
OG0009065	El006G290800	AL4G36530
OG0009066	El006G290500	AL4G36810
OG0009067	El006G290900	AL4G36430
OG0009068	El006G291400	AL4G36030
OG0009069	El004G218740	AL2G26800
OG0009070	El006G291420	AL4G36010
OG0009071	El006G294720	AL4G32220
OG0009072	El006G294650	AL4G32310
OG0009073	El006G294620	AL4G32330
OG0009074	El001G023180	nbis-gene-1356
OG0009075	El006G294250	AL4G32650, nbis-gene-627
OG0009076	El006G294090	AL4G32820
OG0009077	El006G293610	AL4G33140
OG0009078	El006G293480	AL4G33390
OG0009079	El006G293110	AL4G33740
OG0009080	El006G292420	AL4G34800
OG0009081	El006G292410	AL4G34810
OG0009082	El006G291580	AL4G35880
OG0009083	El006G291590	AL4G35870
OG0009084	El006G292230	AL4G35040
OG0009085	El006G291710	AL4G35760
OG0009086	El006G291870	AL96U10060, AL4G35560, AL4G35520
OG0009087	El006G291880	AL4G35510
OG0009088	El006G295170	AL4G31920
OG0009089	El002G099310	AL1G27330
OG0009090	El002G099330	AL1G27350
OG0009091	El002G099460	AL1G27500
OG0009092	El002G099530	AL1G27560
OG0009093	El002G099640	AL1G27680
OG0009094	El002G099710	AL1G27770
OG0009095	El002G100040	AL1G28130
OG0009097	El002G100400	AL1G28550
OG0009098	El002G100490	AL1G28670
OG0009099	El002G100520	AL1G28700
OG0009100	El002G100870	AL1G29050
OG0009101	El002G101320	AL1G29460
OG0009102	El002G101460	AL1G29630, AL8G26820
OG0009103	El002G101490	AL1G29650
OG0009104	El002G101780	AL1G29970
OG0009105	El002G102330	AL1G30560
OG0009106	El002G102760	AL1G31020
OG0009107	El003G158280	AL7G26780
OG0009108	El002G102810	AL1G31070
OG0009109	El002G102830	AL1G31090
OG0009110	El002G103270	AL1G31620
OG0009111	El002G104240	AL1G32650
OG0009112	El002G104250	AL1G32660
OG0009113	El002G104530	AL1G33030
OG0009114	El002G105350	AL1G34040
OG0009115	El002G105490	AL1G34140
OG0009116	El001G024930	AL5G35250
OG0009117	El002G106370	AL1G35100
OG0009118	El002G106490	AL1G35440
OG0009119	El002G106500	AL1G35460
OG0009120	El002G107810	AL1G36240
OG0009121	El002G107840	AL1G36250
OG0009122	El002G108360	AL1G36660
OG0009123	El002G108670	AL1G37120
OG0009124	El002G108780	AL1G37240
OG0009125	El002G109120, El002G109130, El003G188910	AL1G37480
OG0009126	El002G109960, El002G136990	AL1G38430
OG0009127	El002G110190	AL1G38610, AL1G41130
OG0009128	El002G111420	AL1G38960
OG0009129	El002G111320	AL1G39070
OG0009130	El004G220410	AL2G28450
OG0009131	El002G111150	AL1G39270
OG0009132	El002G110890	AL1G39470
OG0009133	El002G110820, El002G110690	AL1G39550
OG0009134	El002G111680	AL1G39560
OG0009135	El002G112020	AL1G39860
OG0009136	El002G112040	AL1G39890
OG0009137	El002G112360	AL1G40120
OG0009138	El003G179110, El002G112410	AL1G40190
OG0009139	El002G112640	AL1G40470
OG0009140	El002G112960	AL1G40740
OG0009141	El003G160490	AL7G28970
OG0009142	El007G345110	AL8G23550
OG0009143	El003G160220	AL7G28720
OG0009144	El003G159900	AL7G28400
OG0009145	El003G159800	AL7G28290
OG0009146	El006G315070	AL4G16610
OG0009148	El006G315820	AL4G16200
OG0009149	El006G315740	AL4G16270
OG0009150	El006G316850	AL4G14980
OG0009151	El006G317150	AL4G14600
OG0009152	El006G317770	AL4G14020
OG0009153	El006G318090	AL4G13820
OG0009154	El006G318580	AL4G13260
OG0009155	El006G318880	AL4G12980
OG0009156	El001G021750	AL5G31930
OG0009157	El006G319640	AL4G12100
OG0009158	El006G319790	AL4G11970
OG0009159	El006G320470	AL4G11170
OG0009160	El006G321220	AL4G10560
OG0009161	El006G321580	AL4G10210
OG0009162	El002G099080	AL1G27070
OG0009163	El002G098820	AL1G26790
OG0009164	El002G098650	AL1G26600
OG0009165	El002G098090	AL1G26080
OG0009166	El002G098060	AL1G26050
OG0009167	El002G097820	AL1G25810
OG0009168	El002G096930	AL1G24980
OG0009169	El002G096960	AL1G25060
OG0009170	El002G096550	AL1G24630
OG0009171	El002G095830	AL1G23680
OG0009172	El002G095160	AL1G22980
OG0009173	El002G095040	AL1G22860
OG0009174	El002G094670	AL1G22490
OG0009175	El002G093830	AL1G21690
OG0009176	El002G093810	AL1G21660
OG0009177	El002G093710	AL1G21520
OG0009178	El002G093230	AL1G21010
OG0009179	El002G092670	AL1G20430
OG0009180	El002G092880	AL1G20520
OG0009181	El002G092330	AL1G20050
OG0009182	El002G092100	AL1G19810
OG0009184	El002G091840	AL1G19570
OG0009185	El002G091720	AL1G19410
OG0009186	El001G060260	AL6G31420
OG0009187	El002G091580	AL1G19260
OG0009188	El002G091530	AL1G19210
OG0009189	El002G091300	AL1G19000
OG0009190	El002G091310	AL1G19010
OG0009191	El002G091330	AL1G19030
OG0009192	El002G091350	AL1G19050
OG0009193	El002G091230	AL1G18930
OG0009194	El002G091170	AL1G18860
OG0009195	El002G090690	AL1G18360
OG0009196	El002G091050	AL1G18740
OG0009197	El002G090280	AL1G17850
OG0009198	El002G089970	AL1G17580
OG0009200	El002G088840	AL1G16480
OG0009201	El002G088780	AL1G16420
OG0009202	El002G088670	AL1G16290
OG0009203	El002G088640	AL1G16240
OG0009204	El002G088340	AL1G15940
OG0009205	El002G088070	AL1G15700
OG0009206	El002G087590	AL1G15190
OG0009207	El002G087570	AL1G15150
OG0009208	El002G087440	AL1G15040
OG0009209	El004G234320	AL2G41320
OG0009210	El002G087050	AL1G14680
OG0009211	El002G086900	AL1G14550
OG0009212	El002G086850	AL1G14500
OG0009213	El002G086550	AL1G14190
OG0009214	El002G086260	AL1G13910
OG0009215	El002G085880	AL1G13620
OG0009216	El002G085310	AL1G12970
OG0009217	El002G084880	AL1G12540
OG0009218	El002G084810	AL1G12470
OG0009219	El002G084510	AL1G12200
OG0009220	El002G084240	AL1G11900
OG0009221	El002G084160	AL1G11800
OG0009222	El002G083930	AL1G11600
OG0009223	El002G083860	AL1G11500
OG0009224	El002G083810	AL1G11440
OG0009225	El002G083680	AL1G11290
OG0009226	El002G083600	AL1G11210
OG0009227	El002G083530	AL1G11140
OG0009228	El002G083200	AL1G10810
OG0009229	El001G000630	AL6G52940
OG0009230	El002G082570	AL1G10220
OG0009231	El002G082460	AL1G10080
OG0009232	El001G067640	AL6G24620
OG0009233	El001G067580	AL6G24680
OG0009234	El001G067310	AL6G24910
OG0009235	El001G067460	AL6G24770
OG0009236	El001G066580	AL6G25690
OG0009237	El001G066530	AL6G25740
OG0009238	El001G066450	AL6G25840
OG0009239	El001G065740	AL6G26490
OG0009240	El001G066040	AL6G26260
OG0009241	El001G066250	AL6G26080
OG0009242	El001G065600	AL6G26620
OG0009243	El001G065190	AL6G27030
OG0009244	El001G065110	AL6G27110
OG0009245	El001G064260	AL6G27710
OG0009246	El001G064200	AL6G27770
OG0009247	El001G063890	AL6G28090
OG0009248	El001G063780	AL6G28260
OG0009249	El001G063290	AL6G28670
OG0009250	El001G062540	AL6G29320
OG0009251	El001G061610	AL6G30260
OG0009252	El001G061520	AL6G30320
OG0009253	El001G061120	AL6G30760
OG0009254	El001G061080	AL6G30770
OG0009255	El001G049420	AL6G39590
OG0009256	El001G047650	AL6G40780
OG0009257	El007G346150	AL8G22670
OG0009258	El007G345290	AL8G23330
OG0009259	El004G208900, El007G346490, El007G346460	AL8G22420, AL8G22450
OG0009260	El007G346880	AL8G22200
OG0009261	El007G346930	AL8G22150
OG0009263	El001G068100	AL6G24170
OG0009264	El001G075040	AL6G16940
OG0009265	El001G075020	AL6G16960
OG0009267	El001G067840	AL6G24440
OG0009268	El001G075210	AL6G16810
OG0009269	El001G075240	AL6G16770
OG0009270	El001G068360	AL6G23960
OG0009271	El001G075920	AL6G16270
OG0009272	El001G075940	AL6G16260
OG0009273	El001G076150	AL6G16020
OG0009274	El001G076210	AL6G15950
OG0009275	El001G076400	AL6G15740
OG0009276	El001G076920	AL6G15250
OG0009277	El001G077050	AL6G15080, AL6G14330
OG0009278	El001G077080	AL6G15050
OG0009279	El001G077340	AL6G14710
OG0009280	El001G077740	AL6G14480
OG0009281	El001G052670	AL6G37290
OG0009282	El001G052420	AL6G37650
OG0009283	El001G052630	AL6G37330
OG0009284	El001G052990	AL6G37070
OG0009285	El001G053390	AL6G36910
OG0009286	El001G053600, El002G128900	AL6G36810
OG0009288	El001G054310	AL6G36600
OG0009289	El001G054760	AL6G36310
OG0009290	El001G055050	AL6G36230
OG0009291	El001G025550	AL5G35850
OG0009292	El001G055150	AL6G36180
OG0009293	El001G055410, El001G055380	AL6G35980
OG0009294	El001G056090	AL6G35260
OG0009295	El001G056540	AL6G34770
OG0009296	El001G056650	AL6G34670
OG0009297	El001G056720	AL6G34600
OG0009298	El001G056750	AL6G34570
OG0009299	El001G056970	AL6G34340
OG0009300	El007G329740	AL8G37800
OG0009301	El007G329060	AL8G38530
OG0009302	El007G328830	AL8G38660
OG0009303	El007G327760	AL8G39870
OG0009304	El001G017700	AL5G27490
OG0009305	El007G327610	AL8G40040
OG0009306	El007G332650	AL8G35050
OG0009307	El007G333080	AL8G34570
OG0009308	El001G021530	AL5G31710
OG0009309	El001G021480	AL5G31640
OG0009310	El001G021460	AL5G31620
OG0009311	El001G021300	AL5G31450
OG0009312	El001G021150	AL5G31290
OG0009313	El001G020740	AL5G30810
OG0009314	El001G020620	AL5G30680
OG0009315	El001G020000	AL5G29960
OG0009316	El001G019970	AL5G29910
OG0009317	El001G019950	AL5G29890
OG0009318	El001G019520	AL5G29440
OG0009319	El001G019150	AL5G29010
OG0009320	El001G018850	AL5G28610
OG0009321	El001G018440	AL5G28260
OG0009322	El001G018220	AL5G28000
OG0009323	El001G018110	AL5G27870
OG0009324	El001G018020	AL5G27800
OG0009325	El001G017510	AL5G27320
OG0009326	El001G017410	AL5G27210
OG0009327	El001G016680	AL5G26570
OG0009328	El001G012670	AL5G22530
OG0009329	El001G011680	AL5G21010
OG0009330	El003G149590	AL7G18480
OG0009331	El001G046650	AL5G20530
OG0009332	El004G217410	AL2G25830
OG0009333	El004G217440	AL2G25860
OG0009334	El004G219410	AL2G27490
OG0009335	El004G219690	AL2G27770
OG0009336	El004G219580	AL2G27650
OG0009337	El004G220090	AL2G28090
OG0009338	El004G220300	AL2G28350
OG0009339	El004G220390	AL2G28430
OG0009340	El004G220620	AL2G28610
OG0009341	El006G310330	AL4G19660
OG0009342	El004G221080	AL2G29070
OG0009343	El004G221090	AL2G29080
OG0009344	El004G221380	AL2G29240
OG0009345	El004G221990	AL2G29780
OG0009346	El004G222330	AL2G30120
OG0009347	El004G223080	AL2G30770
OG0009348	El004G223200	AL1G12770, AL2G30920
OG0009349	El004G223440	AL2G31210
OG0009350	El004G223680	AL2G31470
OG0009351	El004G223770	AL2G31540
OG0009352	El004G224080	AL2G31820
OG0009353	El004G224170	AL2G31890
OG0009354	El004G224180	AL2G31900
OG0009355	El004G224190	AL2G31910
OG0009356	El004G231580	AL2G38580
OG0009357	El004G230340	AL2G37470
OG0009358	El004G230240	AL2G37390
OG0009359	El004G230000	AL2G37150
OG0009360	El005G259360	AL3G35290
OG0009361	El004G229930	AL2G37080
OG0009362	El004G229850	AL2G37010
OG0009363	El004G228320	AL2G35670
OG0009364	El004G227750	AL2G35120
OG0009365	El004G227490	AL2G34840
OG0009366	El004G227470	AL2G34820
OG0009367	El004G227070	AL2G34400
OG0009368	El004G227040	AL2G34360
OG0009369	El004G227020	AL2G34340
OG0009370	El004G226220	AL2G33650
OG0009371	El004G225900	AL2G33340
OG0009372	El002G102430	AL1G30680
OG0009373	El004G225770	AL2G33280
OG0009374	El004G225730	AL2G33250
OG0009375	El004G225580	AL2G33130
OG0009375	El004G225570	AL2G33120
OG0009377	El004G225120	AL2G32760
OG0009378	El004G224740	AL2G32330
OG0009379	El004G224700	AL2G32280
OG0009380	El004G224610	AL2G32220
OG0009381	El004G224490	AL2G32140
OG0009382	El004G224340	AL2G31980
OG0009383	El004G231680	AL2G38710
OG0009384	El004G231740	nbis-gene-615, AL60U10070
OG0009385	El004G231790	AL2G38790
OG0009386	El004G231960	AL2G38990
OG0009387	El004G231990	AL2G39020
OG0009388	El004G232040	AL2G39060
OG0009389	El004G232200	AL2G39190
OG0009390	El004G232370	AL2G39380
OG0009391	El004G232570	AL2G39580
OG0009392	El004G233360	AL2G40420
OG0009393	El004G233380	AL2G40440
OG0009394	El004G233470	AL2G40540
OG0009395	El004G233880	AL2G40930
OG0009396	El004G234270	AL2G41270
OG0009397	El004G234360	AL2G41370
OG0009398	El004G234550	AL2G41560
OG0009399	El004G234570	AL2G41580
OG0009400	El004G234700	AL2G41710
OG0009401	El005G248600	AL3G24480
OG0009402	El005G248860	AL3G24680
OG0009403	El005G248960	AL3G24780
OG0009404	El005G248980	AL3G24800
OG0009405	El005G249170	AL3G25020
OG0009406	El005G249300	AL3G25210
OG0009407	El005G249480	AL3G25450
OG0009408	El005G249740	AL3G25800
OG0009409	El005G250500	AL3G26540
OG0009410	El005G250540	AL3G26590
OG0009411	El005G250650	AL3G26680
OG0009412	El005G250720	AL3G26770
OG0009413	El005G250860	AL3G26890
OG0009414	El005G251030	AL3G27030
OG0009416	El005G251470	AL3G27420
OG0009417	El005G251510	AL3G27450
OG0009418	El005G251530	AL3G27470
OG0009419	El005G252330	AL3G28340
OG0009420	El005G252450	AL3G28440
OG0009421	El005G252470	AL3G28460
OG0009422	El005G252510	AL3G28500
OG0009424	El005G252860	AL3G28810
OG0009425	El005G252900	AL3G28850
OG0009426	El005G252950	AL3G28910
OG0009427	El005G253600	AL3G29720
OG0009428	El005G253660	AL3G29810
OG0009429	El005G253680	AL3G29820
OG0009430	El005G254130	AL3G30240
OG0009431	El005G254230	AL3G30350
OG0009432	El005G275900, El005G254240	AL3G30360
OG0009433	El001G000830	AL6G52730
OG0009434	El005G254550	AL3G30740
OG0009435	El005G255140	AL3G31210
OG0009436	El005G255410	AL3G31470
OG0009437	El005G255680	AL3G31670
OG0009438	El005G255890	AL3G31890
OG0009439	El005G255930	AL3G31930
OG0009440	El005G256330	AL3G32330
OG0009441	El005G256930	AL3G32840
OG0009442	El005G257000	AL3G32910
OG0009443	El005G257010	AL3G32920
OG0009444	El005G257500	AL3G33470
OG0009445	El005G257580	AL3G33620
OG0009446	El005G258060	AL3G34040
OG0009447	El005G258240	AL219U10020, AL3G34170
OG0009448	El005G258290	AL3G34190
OG0009449	El005G258390	AL3G34380
OG0009450	El005G258880	AL3G34830
OG0009451	El005G259170	AL3G35090
OG0009452	El005G260030	AL3G35790
OG0009453	El005G261110	AL3G36540
OG0009454	El005G261320	AL3G36740
OG0009455	El005G262500	AL3G37260
OG0009456	El005G264910	AL3G38070
OG0009457	El005G264920	AL3G38090
OG0009458	El005G268670, El005G268740	AL3G41050, AL26U10030, AL3G41020, AL123U10010, AL26U10060, AL3G40880
OG0009459	El007G342620	AL8G25720
OG0009460	El005G271420	AL3G44140
OG0009461	El005G271360	AL3G44070
OG0009462	El005G271570	AL3G44860
OG0009463	El005G271710	AL3G45250
OG0009464	El005G271720	AL3G45260
OG0009465	El005G271880	AL3G45410
OG0009466	El001G069610	AL6G22670
OG0009467	El005G273100	AL3G47460
OG0009468	El005G273110	AL3G47470
OG0009469	El005G273130	AL3G47510
OG0009471	El005G274590	AL3G50080
OG0009472	El005G274870	AL3G50310
OG0009473	El005G274920	AL3G50430
OG0009474	El005G275480	AL3G50930
OG0009475	El005G276880	AL3G51830
OG0009476	El005G277490, El005G277510	AL3G52830
OG0009477	El005G278000	AL3G48710
OG0009478	El005G278730	AL3G53260
OG0009479	El005G278750	AL3G53270
OG0009480	El005G278810	AL3G53330
OG0009481	El005G278900	AL3G53470
OG0009482	El005G279480	nbis-gene-912
OG0009483	El002G141240	AL1G64240
OG0009484	El002G140280	AL1G63330
OG0009485	El002G140080	AL1G63160
OG0009486	El002G139690	AL1G62770
OG0009487	El002G139340	AL1G62450
OG0009488	El002G139320	AL1G62430
OG0009489	El002G138900	AL1G62060
OG0009490	El002G138550	AL1G61520
OG0009491	El002G137990	AL1G61340
OG0009492	El002G137860	AL1G61220
OG0009493	El002G137210	AL1G60670
OG0009494	El002G135180	AL1G58640
OG0009495	El002G135460	AL1G58970
OG0009496	El002G134600	AL1G58020
OG0009497	El002G134420	AL1G57750
OG0009498	El002G134260	AL1G57600
OG0009499	El001G067940	AL6G24330
OG0009500	El002G133930	AL1G57180
OG0009501	El002G133720	AL1G56960
OG0009502	El002G133610	AL1G56930
OG0009503	El001G034870	AL5G45420
OG0009504	El002G132910	AL1G55890
OG0009505	El002G132860	AL1G55860
OG0009506	El002G132780	AL1G55790
OG0009507	El006G296620	AL4G30640
OG0009508	El006G296680	AL4G30580, AL270U10010
OG0009509	El006G296890	AL4G30370
OG0009510	El001G022230	AL5G32390
OG0009511	El001G022440	AL5G32650
